Location 	 great location great service comfortable bed ever . stay hotel 2 night August great hotel . staff helpful attentive . dine restaurant dinner breakfast could fault either occasion . would recommend hotel family friend . 
 Sep 26 2008 	 Excellent 	 staff - friendly helpfulroom - clean , tidy , classy generally nice . location - far enough able relax close enough walk straight town . all , wife love place . be look hotel boast sheer class , deffinately right place . 
 Sep 23 2008 	 great location great value 	 hotel conveniently locate easy walk distance theater district , Carnegie Hall , Lincoln Center , Museum Modern Art lot restaurant . , course , face south end Central Park . stay twice , renovation , . neither time feel stay really classy hotel worth five hundred dollar night . New York City expensive , get decent view park one would pay even $ 500 , less price hotel ( e.g. , Hilton ) nearby similar convenience location . also , despite renovation , bathroom remain small shower reminiscent college apartment . small point little annoying- conspicuous lipstick stain pillow , nonfunctional telescope room simply take space- seem underscore place attentive detail really good hotel . the staff friendly pleasant . 
 Sep 18 2008 	 Great Central Park 	 first stay recently renovate Jumeirah Essex House . room full park view high floor could catch view park corner room . room large adequate New York modern recently renovate . the fitting modern fucntional interior styling similar Jumeriah Carlton Towers London . great thing hotel feel like small boutique hotel despite size . breakfast excellent hotel bar also good . the Essex House building historical interest hotel lobby great photo New York thoughout history well worth minute appreciate . the hotel excellent location face Central Park loan free bicycle first come first serve basis prove great sunday morning ride around central park . a great choice New York . 
 Sep 17 2008 	 Modern Grandeur 	 stay one night Essex House stay Marriot could extended relief ! pay less per night Marriott ( £ 198 comparison £ 245 ) hotel another class entirely . reception hall grand , 5th floor room beautiful - extremely modern lovely clean bathroom . unfortunately read service include checking , dismay ! hotel free bike rental service , one cycle round Central Park , complimentary limo service within 10 block hotel - excellent Madison Avenue shop drop . gripe cost breakfast - $ 37 include service charge ! food brilliant price make sure sneak lunch , mean feat amount attentive staff duty ! 
 Sep 16 2008 	 great hotel right across Central Park 	 stay hotel brother friend two day September . although weather unseasonably hot humid , hotel could not well . great service ( great advice Luis doorman Yankees game ) .We two bed room view , everything else need . comfy bed , spacious room bathroom . walk distance everything right subway line . if 1 complaint , AC not cool thing well would like . I would recommend anyone stay NYC . 
 Sep 7 2008 	 Perched Park 	 4 night stay marvellous . fantastic room . clean , comfortable modern . service good staff understand minibar incompetence ! great hotel bar , although expensive . would stay . enjoy . 
 Sep 2 2008 	 essex house - perfect location 	 stay Essex House Central Park night , perfect location tour New York . hotel wonderful , room comfortable elegance relax long day sightseeing shopping . eat Sarabeth 's breakfast door right - awesome egg 's benedict ! ! also eat hotel 's restaurant food ok overprice entree . good food Rockerfellar center ( restaurant skating rink ) , prime rib excellent . Skip Guggenheim definately see Natural Museum Art Met Museum . skip carriage ride park borrow bike hotel ride around central park . Metro cafe great sandwich dessert . see Phantom Opera love ! ! '' miss Times Square ! also harbour cruise worth cost . husband say 9 - 11 museum must see . fun enjoy Jumeriah Essex house ... lovely . 
 Sep 1 2008 	 good indeed 	 good hotel excellent location . the room nice big usual thing need . big tv ... concierge excellent , even well . reserve couple ticket restaurant transportation every single one do efficiently , could say othe hotel . we like , good value since considerably chepaer four Seasons Ritz Carlton . will stay Mandarin Peninsula next time though , seem one step . 
 Aug 30 2008 	 get deal 	 put father Essex house come visit . book month ahead get & quot ; Junior Suite & quot ; $ 400 night Hotels.com ( bulk buy bulk , tell ) . room traditional suite two room certainly comfortable suite have . the service truly impressive , world class hotel service room bargain . make huge difference stay , special need handle hitch . other thing bargain , room service quite good ( recommend ) expensive , hotel restaurant ok much well place neighborhood . father limited mobility feel like go hotel restaurant fine . expect pay $ 150 $ 200 per person dinner half price elsewhere . the area touristy , prefer place away Central Park South Times Square area , deal want CPS , personal reason . finally , smell horse manure something want part NYC experience , CPS place stay , dine al fresco . ( note : smell hotel ) . however , across street Central Park something want ( like Jackie , rich new yorker ) get . 
 Aug 29 2008 	 comfortable hotel centrally locate sight Manhatton . 	 stay long weekend Essex house hotel central park south . professional welcoming staff . handed chill towel check freshen . initially 3rd floor move 18th floor spectacular view central park . room although small adequate two . bed comfortable make daily turn nightly . lighting system operate touch pad telephone easy fathom . floor light briliant idea get dark problem suggest . Bathroom restock twice day fresh towel toiletry . good facility hotel . House keep prompt nothing much trouble . good security bonus security staff present suit look highly professional , cheerful well mannered . Doorman remember guest greet nice welcome smile cheerful banter . on day check luggage securely store later departure able freshen prior leave airport . comfortable relaxing stay highly recommend high quality excellent service . would definitely stay . 
 Aug 26 2008 	 disappoint 	 read review place not really take seriously stop chain Dubai & amp ; London find service second none . however case New York . arrival pass wet towel rather flippant manner , clearly think heading room , defeat purpose . seem symbolize experience overall , lot gesture tick box without effect . essex suite lovely comfortable however never clean properly . item hairdryer iron stay leave never put away . spilt juice remain 2 day ask wipe clean . turn - down service unable close blind 4 day row , Ice available complimentary water go , Toiletries replenish go on . I finally complain surface gesture make day lack service usual . expect 4/5 * hotel . similar disappointment spa area change room 6 locker 2 shower . this hotel glos front little substance . I certainly feel good hotel . future take board review read learn hard way . 
 Aug 24 2008 	 Great Stay 	 stay Essex House 5 night August . got good rate direct site month stay . register reduce rate upgrade available allocate 6th floor Essex Suite arrival . massive , huge sitting room , large bedroom ( large hotel room ) , good size bathroom walk wardrobe . close generator outside do not disturb we sleep well every night . bed bit soft like still comfortable . 2 large flatscreen Tv 's busy use . alot poster mention light . problem except light floor level side bed . put spare pillow front night problem . we also enjoy hotel 's bar , although pricey , great place drink seem get popular . would recommend stay . 
 Aug 17 2008 	 memorable stay 	 second trip NYC choose Jumeirah give unique blend historical building recent major renovation extraordinary view Central Park . book two special offer hotel website : week - end package well NY Waterfalls package . arrive 4:30 pm . room ready yet reception propose another room come back 6 pm make sure room ready . give proximity Central Park , choose second option take advantage make first shoot Central Park . upon return , nice surprise upgrade suite 32nd floor . find Reception highly efficient immediate attention give four staff member different origin cater hotel 's diverse customer profile . we dinner recently open hotel restaurant South Gate look cool trendy . appreciate food , less wine glass , even $ 14 + + entry price would let expect highlight . Sauvignon first order strange unpleasant taste , Chardonnay suggest waitress replacement acceptable . the suite spacious 4 window allow different photographic angle . live comfortable wall flat screen office / make - up space two window . find one picture live backlit adjustment allow appreciate view central park inside living . a nice king size bedroom two window : one full Central Park view even bed view SE corner . the primary bathroom spacious shower cabin bathtub . secondary bathroom use . in general , suite immaculate really enjoy stay . downside number minibar charge without open minibar despite fact immediately advise customer relation recurring phenomenon . another highlight lounge highly design breakfast buffet area , brilliant complement classic hall fit old phone set outstanding B & amp ; W photography . continental breakfast include package , find limited decide $ 15 + + upgrade full american breakfast taste vast variety item offer . the location Essex House absolutely top : situate middle Park Avenue South find immediately heart Central Park , museum mile , high end shopping , Fifth Avenue , Rockefeller Center , Lincoln Center Times Square . overall , memorable stay would recommend hotel one value unique blend feature . 
 Aug 16 2008 	 great location remarkable excel nothing else 	 book & quot ; high & quot ; floor room & amp ; place 5th floor give view nothing tree - top . high New York mean 10th floor . fairly reasonable hotel major city , one expect ? nothing bad , nothing nice feeling . a comfortable big bed , date bathroom crude plumbing , large tv screen modest picture quality , crude air - conditioning , hideous decoration , madden light easily control , unreliable wi - fi etc .... plus bad , bad , bad feature hotel room - masse small light source night - phone , light switch , permanent light bathroom , loosely fitting window blind inch clear space door corridor . oh dear .... nice doorman desk staff downstairs . 
 Aug 4 2008 	 outstanding 	 fault anything hotel . perfect location opposite central park . walk distance theatre 5th ave . upgrade large room without even ask . towel change twice day . huge flat screen tv wall ( time watch ) . large bathroom . take couple hour figure lighting system room . choose do screen telephone . press wall ... simple . whatever please not eat Lindy 's cheesecake . $ 10 small slice aweful cheesecake $ 5 1 cup cold tea ! ! Lot 's small eatery area $ 5 delicious cheesecake . Lot 's nice breakfast place area well . actually lot 's everything .. ny . great restaurant away crowd upper west side ( walk distance ) , Columbus Av . would definitely return . 
 Jul 21 2008 	 great stay 	 book junior suite connect double bed room . Room connect outside hallway door directly . one child sleeping room husband leave early business , not safe leave four we sleep one room . double bed room complete view pipe . location great Central Park walk daily Rockefeller Center , 5th Avenue shop . service great , not like lobby set be relax . breakfast suppose receive breakfast voucher everyday we due Silver Sirius card holder status . voucher continental breakfast hot breakfast $ 15 more / person . sometimes server would charge we 2 people since 3 child times 5 people . every time bring voucher go ask someone not see . real hassle . 's coffee make facility room tough time find glass drink water . never hard get taxi anywhere doorman efficient . always greet smile everywhere go . sofa bed junior suite comfortable spring end put floor . guess almost $ 1000 / night not worth problem . price reasonable Manhattan , however , money spend room service extra , stay . 
 Jul 8 2008 	 Quit luxurious attentive staff ask ! ! ! 	 stay Jumeirah Essex House one night way back home . minty towel give upon check , ask connect room high floor late check time get . the room newly renovate ; space wise fine NYC standard , marble bath . lighting , AC set set via telephone near bed . room really oasis quietness , room get twin double King Essex room . motion sensitive light room bathroom nice touch . breakfast hotel & quot ; include deal & quot ; service true 5 star experience food yummy . 
 Jul 6 2008 	 return hotel . 	 partner stay hotel much research comparison similar hotel NYC . live Long Island , stay several highly rate NYC hotel , Casablanca Hilton hotel . pick Central Park King room base hotel website description state Park view room offer & quot ; dramatic view New York ' fame Central Park & quot ; & quot ; present exquisite view Central Park , sure reserve lavish Park View Room . & quot ; celebrate anniversary , decide spend extra $ 100 highly esteemed & quot ; Central Park View & quot ; , request high floor . we arrive early 11:30 hotel , tell room 5th floor , & quot ; tree line & quot ; . ask room available high floor , tell . room lovely clean quiet , air conditioning work well , would go 67 degree . Central Park View promise end view large tree , park view whatsoever ( see picture include review ) . telescope provide room , could see leave tree . exciting , definitely worth extra money . want look tree , could do elsewhere lot less money . we contact manager duty let know disappointed stay , make attempt compensate we whatsoever . fact , try blame we say booked room day . understand may room available give last minute booking , still receive thought pay , , accord website , & quot ; lavish & quot ; & quot ; exquisite & quot ; view Central Park . opinion , go room tree obstruct view Central Park , list website & quot ; obstruct view room & quot ; like , consumer mislead expect something well tree view . will not stay .... receive term room bad view faulty air conditioning , worth pay . 
 Jul 1 2008 	 comfortable stay Essex House 	 end Essex House firm 's New York hotel roulette ( & quot ; find room Midtown , & quot ; believe say ) . get cab JFK give address ( & quot ; 59th 6th 7th & quot ; ) , say , & quot ; oh , Essex House New York Athletic Club ? & quot ; clearly know hotel . when arrive , doorman open door cab suitcase disappear bellman . wait line ( line swank hotel ? ) someone approach cold washcloth plate could refresh myself . I request hypoallergenic room ' m allergic feather , front desk clerk send someone make sure do ( not ) . wait , ask someone could make dinner reservation , within ten second concierge come make reservation italian restaurant Seventh Avenue ( good , expensive quality ) .I take upstairs city - view room 12th floor somewhat small ( armchair oddly - place ) , extremely comfortable . light come automatically -- later -- get ready dinner . the toilet odd -- take nearly twenty second time push lever time actually , erm , flush . sink one & quot ; bowl sit counter & quot ; type , handle front -- small child , EASILY reach flood bathroom . shower extremely comfortable -- two shower head , good temperature great water pressure especially twelfth floor , oddly drain stopper pull rubber lead , lend ugly touch bathroom . towel , heavy warm , nice -- wick away water quickly -- be store shower tend get soak use moveable shower head . porter see 98 - pound weakling replace house robe slipper something appropriate tall guy . the bed -- lay bed go & quot ; aaaaaahhhhhhh , ' m never get , nice ! & quot ; soft comfortable . new pillow fine -- foam pillow foam pillow -- hypoallergenic blanket terrible . brown thin stiff scratchy like camping blanket . give replace plush comforter , terribly happy , . would take little small stash comfortable , hypoallergenic comforter . when go , ask turndown return . return bed turn , mint pillow heating plate milk side table cocoa mix mix . nice ! get bed , problem -- turn light ? mean , ' ve work ten year ' ve never problem turn light hotel room . take nearly twenty minute -- refuse give call -- figure light control front door , light control side wall next bed , purple ( purple ? ? ) light headboard control switch centre headboard , lamp individual control . still not know lamp control work , appear touch control , spun dial , would either turn , turn . try control anything room control system phone ( three phone 20 m^2 room ) exercise futility -- could see blink furiously transmit datum , nothing would happen four minute , sudden give , have plunge darkness . & quot ; mood & quot ; useless well . irritate thing , though , something trumpet website -- stumble light . bedside table bathroom vanity motion sensor move past , underlighte turn CA not turn . two minute non - motion go turn . sound like great idea , let us say turn blanket fall slightly bed , arm dangle , sudden 's bright room . be one room get go slash , will wake everyone else . have ok stumble light bathroom make turn ! ! go back regular light switch , please.same room temperature . never figure . thermostat wall show 22 c ( be , hm , 73 F ) , want , phone control say room set 25 C ( 77 F ) warm . could not get fan run except use . confusing ! ! one nice piece technology not open door put & quot ; disturb & quot ; & quot ; maid service please & quot ; sign -- control switch right inside front foor light red LED outside & quot ; disturb & quot ; green lead outside & quot ; maid service please & quot ; . room also doorbell -- knock . the hotel car service trip within 10 - block radius be fairly forgive 10 block ( definitely want use ' ve ever try hail cab rain ) , weather fine use hotel 's bicycle . addition lend umbrella . go gym 3rd floor work , personal trainer help stretch , explain want ( additional price ) could exercise equipment trainer bring room , in - room yoga . internet access available -- wire 802.11 g wireless -- wireless signal strength good fringe building . access EXTREMELY expensive -- order $ 25 day -- could get month 's worth access use cell phone modem price three day ' internet access . I not eat drink anything hotel except tap water ( New York good tap water America , pay water ? ) call request ice ( deliver day ) . read $ 33 breakfast buffet honestly , be petrossian across street , Le Pain Quotidien kitty - corner ( 58th Seventh Avenue ) , sixth 56th 57th espresso bar call Zibetto could torn straight Rome ( seat -- stand bar get go , soy no - foam latte half - caf nonsense , cheap price Fourbucks ) , really want New York experience , go cart 58th 6th get bacon , egg cheese hard roll . in general , excellent hotel will pamper -- convince get bed . however , go crazy try control room . ' ve fight battle ( skirmish stumble light block bed table motion sensor spare pillow ) , will happy return . 
 Jun 30 2008 	 Loved hotel beautiful extremely quiet classy ! 	 lovely stay hotel . easy check , kind staff . beautiful room well . room bit small , nyc . nice tastfully decorate . also quiet . could not hear street sound , could not hear anyone open close door , could not hear anyone turn water shower .. nothing ...... dead silence ! perfect place stay beautiful experience restful nite . also lovely lounge great selection beautiful area relax lobby . 
 Jun 24 2008 	 beautiful - great location - nice staff 	 stay two night Essex business meeting host . rate $ 379 , reasonable 4 - 5 star hotel NY midweek . the sleeping room lovely - bed wonderful - love King Size regular size pillow . great plasma tv . nice light Disturb - respect . little touch appreciate . robe luxurious , soap amenity top notch , newspaper ( choice NY Times Wall St Journal ) deliver bag hung door morning . Ramon bellman font information remember name see next three day . business amenity nice . individually wrap box luxury mint meeting table , Voss water glass bottle , nice pen notepad , helpful staff business center . I would return - could pay $ 400 less . 
 Jun 19 2008 	 overrate 	 hotel extremely overrate . room partially renovate . sleep area nicely renovate bathroom original 60 's era plumbing , shower not even work properly , toilet , sink , tub decade old . [ - ] facade old building . service extremely unprofessional incompetent . problem administration stay ever hotel take hours time resolve . staff also unresponsive request book assistance arrival . hotel choose , see reason select one . 
 Jun 19 2008 	 enjoy Essex House 	 return three night Essex House NYC , nice . recent trip ' ve stay Parker Meridien , Michaelangelo Soho Grand , like . Essex House , husband stay park view King 14th floor kid stay two - queen bed interior room 14th floor , connect . room redone nicely , although kid ' room ( 1425 ) nicer large bathroom ( 1405 ) . king room small compare Michaelangelo , compare Parker Meridien . borrow hotel 's four complimentary , first - come , first - serve bicycle tour Central Park . great , even though two bike little small boy . location hotel Central Park South 6th 7th make ideal explore run park . find staff friendly . enjoy expensive nice breakfast buffet ( $ 37 ) . enjoy bar view right onto Central Park South . negative : quite space hotel room door drunken partier come 3 get enjoy conversation pass door , kid room right next elevator , emit mechanical noise . tough , light sleeper , never bother kid . final negative seem though line front desk property price point . however , must say kid ' room really large NY two queen large bathroom , great option people share room . three large window look onto nothing , bring light . apparently , high floor two queen room available 14th floor . many different type room view property , may want call hotel directly . wish accommodation NY expensive- -these two room cheap . 
 Jun 10 2008 	 Best Hotel bed ever ! 	 new NYC hotel perfect location . right south side Central Park walk front door see every day . plus taxi driver seem know , mean feat consider number hotel city . apart location thing set hotel apart , opinion , fantastic bed ( pillow ) . unlike bed ever sleep . say feel like float cloud exaggeration ! almost ask concierge could take we . not fussy sleeper usually , many people experience , first night strange city / bed / etc . usually restful . long , hectic w / e however , always look forward fall wonderful cocoon every night ( can not believe tragic sound say ) .The ensuite little peculiar , ' m sure toilet seat heat bf say imagination . however , nice touch cold spring weather . gripe shower seem two setting : scald hot 3rd degree burn . the breakfast quite dear , worthwhile luxury afford . staff helpful course service smile . would hesitate recommend . 
 Jun 4 2008 	 great historical hotel 	 lot little touch hotel make specail . bed probably well ever sleep . way well Westin Dream Bed . seem like always someone clean room whenever come back . nice , almost much . light control touch screen phone , confusing . also motion sensore . one morning , light go bathroom shower . overall , experience great though . feel ill arrive tell room available yet ( 11:30 ) . indicate feel well , room within hour . bike availbe use Central Park . also , car service may use limited area . 
 Jun 2 2008 	 delightful stay 	 stay property since 70 's see several ownership change . many virtue , location extremely convenient visit city , course , change ownership change ! ' ve several time since Jumeirah take , time good service get well . everyone staff pleasant helpful . check - in easy quick extremely welcoming . everyone meet ( include house staff corrider ) smile say hello . nice touch . we like cosmetic improvement room bed unbelievably comfortable . other note , light switch mystery , 's amusing challenge hassle . finally , 15 minute away city ( way home car ) realize have leave pair sunglass room . call hotel ( 6:30 ! ) time drive back hotel , retrieve glass hold front desk we . thank ! wish hotel bit less expensive , consider home city welcome improvement service level . 
 may 27 2008 	 still good bet NYC 	 generally , great location , walk distance subway , shop healthy … . theater district ! mostly advantage four / five star . tastefully restore historic lobby , 5star restaurant / lounge , bellman , doorman , security , etc . , deposit box , ATM , gym , new renovated room . staff appear friendly willing satisfy always move . newly renovate room could lose star . room spotless housekeeping worry ! however , contractor / architectural designer problem opinion attribute poor construction poor design . entire electric system room ill thought . turn light panel phone . sometimes light come right away sometimes system think . even light room , half room dim . track light focus window absolute waste . picture … while one side room darkness look see nicely illuminate window treatment ! ? one outlet desk outlet make sense . outlet bath ( hang hand towel ) one 7 ' high … .. inside closet ! ( oh & amp ; way closet two light . ) try use iron board ; either iron closet doorway bathroom . even though ample vacant wall space outlet . bathroom . ' say blame hotel faux pas either . designer contractor lead wrong path . contemporary sink oversized bowl strangely shape allow water go everywhere . faucet awkwardly place front . toilet ( probably water saving design ) appear also think work . new fiberglass tub already big chip floor tub door swing stopper start crack side . faucet showerhead obviously instal incorrectly start come apart base look shabby . 4 " color square noticed wallpaper actually , upon close examination hole drywall wallpaper cover right over . the good part room plasma TV , new furniture especially BED . one comfortable bed ever sleep away home . even design issue ' return deal go . hate even give four star feel obvious hotel try live one well NYC hotel , room potential problem . 
 May 19 2008 	 wonderful stay Essex 	 stay Essex House special birthday wonderful . service impressive . check surprised tell upgrade room . book king room city view give junior suite 38th floor . spectacular , 2 bathroom , living room , large bedroom . dinner South Gate , good food wonderful service . service area , hotel miss beat , right make sure everything perfect .. excellent buffet breakfast include . cheap worth price want treat special . 
 May 18 2008 	 Perfect New York experience 	 stayed still call Westin / Essex , be still property . year early stay cheap Times Square Hotel get cheap experience , time want stay place want visit locate extremely pleased . it marvelous come airport straight swank Hotel Directly Central Park South . lobby beautiful . our reservation mix ( three we ) , say could take two . ' ve learn hard way polite firm stand ground , show reservation , eventually upgrade we , see resolve . we delight room , large , spacious , incredible bed like sleep cloud . even delighted roll - away bring teen , incredibly , also luxury bed ! ' ve never see luxury roll - away ! nice elevator guard day night , attendant immediately seem memorize face greet we politely time . it incredible CLOSE everything important New York ... Central Park , shop Madison Avenue , tv studio ... even Times Square brisk walk ( brisker cab ride back . ) awesome stroll NY Deli , breakfast shop .... feel like live Seinfield episode . be go tourist New York , spring extra stay wonderful hotel like , centrally locate . think request room park view ... mistake , even fun . the spa wonderful reasonably price . 
 may 15 2008 	 Best New York stay ever ! ! ! 	 reserve hotel via American Express Centurion . however , week decide check website be 50 % suite deal ( really 50 % good deal ) . thus , re - book room directly hotel . make clear wanted suite adjoining room - almost hotel confirm check . arrive , room adjoining , 10 floor apart . lady front desk bring manager desk ( Caroline ) proceed work magic . actually email couple day prior tell suite book could floor ( , fault checking email ) . manager secure suite possibly well view Central Park property New York ( see attach picture ) . also get we wonderful connect room friend . 37th floor ; room new , beautiful , flat screen , bed comfortable . wake first morning , haze Central Park , wind flow crack window sun slowly peak horizon - pure heaven - memorable morning ' ve ever . wife couple stay actually txt 'd couple day leave said & quot ; miss Essex House . & quot ; well , ; room awesome , service great security crazy . night , three security staff guard elevator . ' m sure special guest ( Dave Chapelle stay , 's surely head state ) , could feel safe . also , every night go dinner get free use Mercedes gl450 . great , party 8 could squeeze . stressful day , think special place wish ; , place Essex House beautiful room overlook Central Park . force complain , thing think wireless internet connection work 37th floor . complaint , , first time , will stay hotel New York next year . 
 May 11 2008 	 could much well . . . . . 	 hiatus several year , return Essex House ( & quot ; Jumeirah & quot ; ) weekend stay recently . know new ownership room renovate ; excited see property improve . regular frequent guest ' 80 ' 90 . check - in take nearly 40 minute , wait line . request King Room high floor , Central Park view . available one third floor , refuse , keenly anticipate special weekend New York , want good view park . ( call morning reconfirm check - in time , told & quot ; guarantee 3 o'clock check - in ; lot open inventory . & quot ; ) ultimately end room 22nd floor outstanding view . enter room , suite , heart sank see promise King Queen . enough time run back front desk ; dress quickly event , not want deal hassle endure check - in . needless say , small bed result fitful sleep companion night . try figure work light , telephone thermostat less twenty minute . , must member MENSA.Room service : coffee one = $ 12.50 , plus little extra tip ( top include service charge ) . turn - down service first night . ask in - room coffee maker deliver room ( charge ) . use coffee cup , coffee carafe , filter ground leave behind daytime cleaning . take dirty coffee cup use filter ground room place prominent table foyer 5 pm yesterday - - - still 10 am today check out . use towel washcloth remove never replace . wash face morning corner towel . hey- really major problem , know ' m nit - picking , one would expect price hype . miss old & quot ; library & quot ; bar , use near 58th street entrance , replace stuffy little restaurant outrageous breakfast price . all , moderately disappointed experience , can not beat location , especially early morning run Central Park , visit MOMA Bergdorf 's , delighful dinner Nino 's Tuscany Restaurant , evening Domingo Metropolitan Opera ! people work security elevator bank always gracious friendly ; bellman doorman great ; special thank Carlos front desk , gem , make lot property 's deficit . 
 May 1 2008 	 fabulous ! 	 husband recently enjoy long weekend . find great deal Tra velzoo come $ 274 night include excellent breakfast buffet ( normally $ 66 plus tax tip two people ) . location perfect base explore city . able go run Central Park ( directly across street ) easily walk midtown location ( Broadway , 5th avenue , Times Square , Lincoln Center , etc . ) room nicely appoint , boast large bathroom , quite comfortable bed , virtually noise . highly recommend Jumeirah Essex House ! 
 Apr 26 2008 	 second time around ... come back 	 ' ve review hotel website , want edit initial review previous stay 's option . , ' m write second review base stay April 2008.i arrive hotel hour husband check store luggage bell desk . woman helping check ring bell 5 time 5 bellhop stand around lobby area talk . none even realize try one come take luggage . store belonging safe deposit box exit hotel . safe room old could see safe appear miss box . strange sight . when finally check room , go bathroom wash hand notice shampoo conditioner bottle miss liquid . OBVIOUS past guest use small amount instead throw bottle away , housekeep re - seal put next guest use . appalling . make wonder & quot ; cut corner & quot ; . check sheet thorougly climb ! ! ceiling bathroom re - finish look like not belong rest decor . idea hotel finish 's room , fail completely re - finish bathroom . yuck . ( bathroom be celie bad ceiling bathroom 2 month 's prior ) .I call housekeeping ask new shampoo conditioner bottle bring right away . also contact housekeeping use steamer ( clothing ) one bring room use . hotel normally provide steamer think nice let use theirs . I use one plug steamer short light room , call houseclean someone re - set electricity . partially fault plug , however , check notice plug ( plug ) voltage seem ok much needed support steamer . the room fine , nice view 57th street building directly behind hotel completely go . go claim belonging safe deposit box , woman front desk could not figure open box take 15 minute finally find someone else . staff hotel checkin , bellhop , houseclean meet anything 3 star hotel . give review 2 star ( average 4 star rating give first time ) 
 Apr 16 2008 	 could Excellent .... 	 everything charming almost faultless hotel apart technology room . great shame frankly be little bit mess . hi - tech in - room ighte intuative . guy , ' ve get something observe reviewer , be clearly problem . silly unmarked button touch sensitive Nortel phone not work leave baffle little frustrated . sorry , could , , well . 
 Apr 15 2008 	 Classic Essex 	 really lovely stay Essex , totally renovate heritage property border Central Park . location fabulous short stay New York , close 5th Avenue shopping , Carnegie Hall , park ( course ) short cab ride hustle bustle Times Square . we book Junior Suite , upgrade one bedroom suite , perfect family four . room large spacious , impeccable luxurious . other mention difficulty try operate high tech light tv porter give we quick tutorial upon arrival problem . park view - cost go dramatically category . bathroom ( ) really big . the Essex staff polite professional , especially front desk . choose Essex seem good value suite location ( want quieter area ) . be among Ritz Carlton , Plaza , Helmsley , etc . significantly affordable , yet still 5 star quality . bed amazingly comfortable we think replace one home ! first visit New York stay Essex base Tripadvisor review friend recently stay . would definitely recommend . 
 Apr 11 2008 	 Bad Experience Hotel ! 	 nice location , hotel suck ! staff extremely rude provide level service expect four diamond hotel . never stay . 
 Apr 9 2008 	 love Essex house 	 stay suite , room spacious . hotel also provide car service take far 10 block ( handy raining ! ) . room date technology ( Plasma T.V , Bose radio , touchscreen telephone , automatic lighting ) although beware take anything minibar 30 sec charge ! locate outside Central Park South . brillant trip ! 
 Apr 7 2008 	 nice incredible price 	 would received excellant rating , however , price pay relative amenity worth . hotel great location , beautiful lobby , nice modern room . however , room shoebox . bathroom nice , tub old cauking peel away . good feature automatic light walk bathroom , turn . helpful nighttime visit . eat restaaurant , bar modern staff friendly helpful . would received excellent rating $ 300 / night , $ 700 , would expect bit . 
 Mar 30 2008 	 Awesome ! 	 return fantastic trip New York stay suite 33rd floor Jumeirah Essex House . manhatten view , lounge could see central park skating rink . despite couple teethe problem room , hotel staff attentive quick sort problem . breakfast quite expensive - 33 dollar buffet not massive choice , sometimes queue not many table . many place get breakfast fraction cost . concierge helpful recommend local italian restaurant even book table we . hotel ideally situate walk thing - 5th Avenue , Rockefellar , Empire State , Theatre District Times Square . tube quick cheap long journey ( not tip ! ! ) also hop hop tour good way see lot short space time . we eat hotel newly open restaurant southgate food reasonably price tasty indeed . would recommend hotel anyone . p.s . beds soooo comfortable bathroom lovely bright clean . ( 1 week stay master hi - tech light ! ) never New York beware tax add thing also gratuity - restaurant automatically add 15 - 20 % ! ! lot ! p.p.s . Pre - book many thing go - especially statue liberty - get reserve ticket beat one half hour queue want go inside low area statue need get monument ticket . 
 Mar 28 2008 	 view amazing ... service 	 choose hotel want spend final night week long holiday New York overlook Central Park . when go check room available fine early . keep bag spend day NY.On return c. 6 pm hold back check room ready subsequently upgrade we room high floor . now room . room lovely . nicely decorate , plenty space lovely clean bathroom . bed comfy . the fault - tv terrible signal barely watchable , kettle even several request , light system phone control panel not work , light bed stay could not turn , safe drawer mark safe . would stay ? probably reason stay get view Central Park ' ve do . 
 Mar 27 2008 	 Jumeirah Essex House deliver 	 Jumeirah Essex House not cheap , worth money . hotel elegant , room spacious location can not beat Central Park South 6th 7th Aves . easily walk moma , theatre , restaurant , shopping 5th Ave Columbus Circle , etc , avoid noise , crowd congestion Theatre District . spa nice plus want splurge service . part hotel still renovation ( gift shop , dining room ) many nearby convenience , not problem . 
 Mar 18 2008 	 Memorable Hotel 	 return special stay Essex House . love everything -- service excellent , renovation tasteful , bed comfortable , view park window lovely ! definitely try stay . thank , Essex House , make 25th wedding anniversary memorable ! 
 Mar 15 2008 	 enjoy stay 	 spacious corner room 18th floor . extremely quiet bed comfortable . hotel staff member gracious helpful , always hand need anything . elevator fast - seem like little thing , 18th floor issue . decor fresh lovely . would definitely stay . oh - tiny & quot ; gift shop & quot ; ever see ! right elevator could run get coffee morning nice lady . definitely recommend hotel . 
 Mar 10 2008 	 Great Stay 	 stay first week March 2008 . not 2 year , first thing notice renovation . beautiful change ! love automatic lighting room , modern style bathroom , orange / red color scheme . service great , love ice bucket fill night ! overall great place stay ! 
