review 	 reading review decide share opinion . 2nd time stay fitzpatrick manhattan good remain good mediocre remain mediocre . bad part stay desk . agent good girl give we attitude first stay repeat second time . put regular room suppose two bed suite would say would pay extra could not find confirmation . explain forget say nothing could . speak reservation manager explain book 5 room one room suppose 2 bed suite . minute say mistake hotel end apologise everything fix . we start trip bad note problem have . the positive note stay besides brilliant room concierge Michael book we 3 show restaurant we include load time guide we right place . make stay excellent time always smile . bar staff also great especially David always great . new special Fitz light wallet . back month hope see good stay good bad become good . 
 great value perfect location 	 ' m back 5 night stay . not usually write hotel review think one really deserve mention . got great value deal , expect small room huge one 2 double bed 2 people . little noise nice cool room . staff lovely location perfect ( 5 min walk subway 59th street ) not use restaurant ( would 're New York ? ! ) get good bargain not think could much well . 
 Oct 2 2007 	 good hotel ever 	 love Fitzpatrick Manhattan . staff wonderful especially bartender Carol ... great , every bar member staff like she . we definately go back ! ! 
 Oct 1 2007 	 Great Deal 	 two friend stay three night Fitzpatrick Manhattan girl ' weekend . nice two - room suite living room bedroom . living room pull sofa bed comfortable still pull sofa bed . bedroom extra plush , super comfy queen size bed luxurious . take turn sleep one night sofa bed . also nice fluffy bathrobe every night come back shopping bed make three nice bottle spring water chocolate wait we . overall impressed hotel . staff friendly helpful , location great . complaint hotel smell cigarette smoke , be sensitive might like . 
 Sep 30 2007 	 behind closed door .... 	 ..... secret await comfortable friendly hotel . ok not get room view need one , New York goodness sake . hotel modren , comfortable ( bit like staying grannie mean nice way ) .Our room great , soft bed ' ve ever sleep , room great size ( big enough store shopping , well girl get shop eh ! ) tastfull furniture , indulge smellie bathroom staff friendly helpfull . walk leg NY , be really lovely walk Fitzpatricks hotel know great room relax quiet drink bar without hassle . breakfast pricey hearty hotel maybe opt eat ............. eat Sunday morning city 's local diner close . would not stay anywhere else ny . can not wait return . 
 Aug 22 2007 	 OK 	 not thrilled Fitzpatrick , decent hotel . some good thing : ~very comfy bed ~ room bathroom classy ~ wonderful shower ! bad thing : ~the room bathroom incredibly cramp ~ they undergo renovation elevator slow always crowd ~ there bathroom lobby ; instead give key vacant hotel room 2nd floor ~ front desk service vary ; seem problem task management / organization.~no gym pool ~ I expect well complimentary breakfast - assortment fruit + package pastry - hotel caliber . spite problem , good location , room quality . everything clean . 
 Jul 30 2007 	 great comfy base explore NYC 	 brilliant hotel , attentive staff , handy bar nightcap great bar food . although currently undergo renovation not spoil stay , get great sized room bathroom . 's great hotel explore ny , walk distance Bloomingdales subway explore uptown downtown . great restauant nearby , Smith Wollensky great steak ! 
 Jul 11 2007 	 fantastic location great hotel 	 fiancee stay hotel four night break could recommend enough . great place stay comfort , location overall experience . room , deluxe queen , large expect , include walk wardrobe , contain safe , iron board iron , hanger extra pillow . bathroom decent enough size clean , however , bath oddest shape low ground , useful shower ! staff friendly hotel pleasant atmosphere , surprisingly quiet . area also relax great starting point explore city . subway station two block north hotel bloomingdale ( perhaps close , give fiancee love shop ) . subway lot safe would lead believe inexpensive way travel around ticket sightseeing bus run ! also nearby central park block away tiffany ( close ! ) . wish gain perspective well city bounce back since 9/11 , visit memorial centre Ground Zero , impossible see move . overall , would definitely recommend hotel city anyone , couple , family otherwise , disappointed . P.S . bed comfortable hotel ' ve ever stay . 
 Jun 19 2007 	 welcome hotel great location ! 	 stay family ( 5 ) 7 night end may link suite . great long day 's activity around Manhattan . particularly visit Times Square ( daytime nightime ) realise stay ideal part town relaxation ( want ! ) family friendly environment . staff throughout make feel personal guest , concierge , reception , bar & amp ; restaurant . we dine restaurant couple time & amp ; good round add benefit enjoy ' night home ' change along good pint Fitzers bar . I would happy recommend wholeheartedly . 
 May 29 2007 	 Great Place 	 back great trip New York Four night Fitzpatrick 's Manhattan find excellent place stay . close Fifth Avenue short walk Times Square . friendly hotel staff would go way make stay enjoyable . expect small room New York room spacious everything could need day - even umbrella closet wet day New York . hotel staff pleasent morning staff breakfast bar staff last thing night . overall would recomend hotel anyone visit New York . 
 May 25 2007 	 great hotel - pricey ! ! 	 stay 3 night travel upstate wedding April . get room suite load space ! heating not work - bit chilly ( apparently heating not work April October ) , NY freezing ! room clean well maintain . staff helpful overall great stay - pricey , suppose expect mid - town hotel . Stayed Fitzpatrick 's Grand Central return upstate feel much well location great food bar , however staff pleasant ! 
 Mar 21 2007 	 excellent choice reasonable price 	 stay Fitzpatrick ' New York live billing cozy , reasonably price ( New York ) , elegant hotel . Fitzpatrick Grand Central , room small well suit single traveler couple like close . say room nicely decorate , excellent amenity , flat screen tv , double headed shower , bathrobe , etc . , - everything would expect high end hotel . find size bathroom quite adequate . staff polite helpful . leave overnight kit behind back two day fuss . seem like small thing , rarely retrieve one personal item hotel go smoothly . 
 Mar 5 2007 	 wonderful hote 	 short , hotel great midtown location , like reviewer , although hardly use anything room base , deal staff , helpful courteous . originally book 3 night , ask extend another 3 , quickly accomodate . room attend every day , even though one annoying staff always still bed regular servicing hour . drink bar downstairs , lively warm . the location great . walk Times Square , Central Park , zillion subway station . not know people complain noise , be middle busy city world ! ! ! sleep windows open night , noise not bother . 15th floor . when check , bag stored hour trouble last walk around city complete task . Cab call , concierge find address airport hotel quick smart . room spotless , shower bathroom perfect size . two double bed , great flat screen tv , even internet access via tv ( although website not work , navigation non - trivial ! ) . close million eatery . sometimes think bad review website people never satisfied . fitzpatrick Manhattan great experience . pay $ 280 total per night , satisfied . 
 Mar 5 2007 	 good town .... 	 stay ther 2 night part long trip ny . pay 250 euro per night book 1 week beforehand suite . must say place fantastic , great sized room New York City , love decor overall aura hotel . main room 42 inch plasma bedroom 28 inch screen , perfect old jet lag kick find awake 4.30 first 2 morning . movie selection recent reasonably price 10 dollar . film even uk cinemas yet . fitzer bar downstairs also top class , food selection good light snack hospitality ooze staff . location central GOOD WALK REACH ATTRACTIONS MANHATTAN ISLAND . highly recommend 2 hour boat tour Manhattan statue liberty etc , leave pier 42 every 2 - 3 hour . 20 something dollar head . all return someday soon , slight niggle price pint bar 7 dollar plus tip ! ! ! ! tv break main room request fix be not .... although second one end bed mean stuck ... try local eaterie call Europcafe Lexington gorgeous snack 5 min walk east hotel ..... highly recommend stay irish well hotel full we thick paddys ..... 
 Mar 1 2007 	 Deluxe suite suitable 3 	 stay hotel last weekend 23rd february part group 40 . book deluxe suite treble . unfortunate 3rd person sleep sit area pull dodwn couch b ed . problem provide ne blanket . window ajar noght could closed . never sleep one bit cold . complain follow morning , blanket provide follow night caretaker send close window . problem , nice firendly atmosphere breakfast good . 
 Dec 11 2006 	 rare treat ... warm friendly new york hotel ! 	 stay 3 night start december , first time fitzpatricks.i book suite extra space tell nonsuite { delux room } small.we arrive night nightmare taxi ride newark airport [ unbelievably rude taxi driver do not know way ] , settle hotel.myself wife suite friend book delux room.the staff check irish welcoming . suite pleasant 2 drawback , aircoditione small hotel bathroom ever seen.it explain air conditioning work summer month , winter use heat room only.opene window help cool room provide we fan.the bed extremly comfortable room come wiht 2 plasma televisions.the hotel excellent friendly staff ... indeed rare find new york.a small cosey bar lobby regret do not use more.our friend love hotel .. yes say room small , comfy bed make it.while hotel flash , recommend , mainly due friendly irish staff , good location bed ! .pity tiny bathroom small crib otherwise excellent hotel 
 Sep 22 2006 	 Fantastic Stay 	 book room hotel last night stay US . nice way finish holiday . 's wonderful hotel . staff friendly welcoming . suite beautiful sitting room , kitchen , bedroom bathroom . queen size bed , extremely pleasant stay . would highly recommend anyone ! 
 Sep 1 2006 	 clean friendly nothing exceptional 	 reasonable location close Park 5th Avenue . suite 2 young kid fine , clean well clean etc . view 6th floor , need get high room . the staff friendly especially breakfast make kid feel special . otherwise good place stay reasonable price without mind blow anyway complaint either . 
 Aug 22 2006 	 Misleading 	 Onthe hotel 's .com website , Fitz Patrick Manhattan rate well think get good place little getaway . room book deluxe room non smoking . also , Hotels.com say hotel update 2005.the staff friendly minute stepped room know something wrong . even though clearly mark non - smoking room , could smell cigarette smoke everywhere . cigeratte hole curtain entire table / desk cover dust . the bathroom not even big enought turn around . mirrow lose 's finish ( clear sign place remodel last year ) bottom vanity also kcike in . next time go back place know little bit less trust Hotels.com information . 
 Aug 18 2006 	 great family 	 , good bad Fitzpatrick manhattanon good side : get two room suite kitchenette price hotel room NY . stay twice young child . stay good number night row , get good discount . , week past July , cost around $ 250 night real two room suite- ( fake suite alcove ) really like decent sized apartment . unbeatable New York . great option family want put kid bed go bed . the staff nice . many employee ireland . nice small hotel feel . location great . right midtown- bit upscale area . , away lunacy Times Square . brine kid NY- great option- not stay Times Square ! bad : two visit row get hotel late night give we key . open door find room ready we . first time open door find someone else 's clothe still closet . close door quickly- may . second visit , open door find dirty wine glass garbage table , use shower wet towel floor . the housekeeping front desk staff REALLY need get act together know people indeed really check out . both shock unforgivable hotel . on ocassion problem checkin . housekeep fine rest time . so , overall , recommend hotel , problem note . 
 Jun 29 2006 	 Service beat style 	 girlfriend call Fitzpatrick Manhattan home six night late April . one thing stand place exceptional service . we arrive early morning Easter Sunday long flight London . bleary eye fully prepared walk around like zombie check - in , lovely lady front desk give we room straight away ! godsend much appreciate . although room compact face inside wall hotel , not mind quiet mouse ( something rare NYC ) .though room small bed comfortable bathroom need . subway station block half Lexington , take anywhere want go . also convenient pub adjoining hotel friendly barman . Geez irish nice ! not eat hotel 's restaurant bit expensive , plenty eat surround block . overall impressed friendliness staff standard room . would definitely stay . 
 May 20 2006 	 Unbeatable 	 stay honeymoon could honestly say staff hotel without doubt good . soon arrive , upgrade suite . room ready send bar complimentary drink . upon arrive room , bottle champagne ice , butler chocolate note wish we good honeymoon . staff friendly courteous ' obvious see try well make feel welcome home . busy day shopping New York , nothing nice return cosy atmosphere hotel . room quite small clean & amp ; comfortable honest spend short amount time room size really make much difference . hotel great location , walk distance everything . would highly recommend hotel anyone stay New York . may big plush hotel opinion atmosphere staff make good hotel around ! ! 
 may 4 2006 	 warm welcome large room great value 	 book hotel Expedia basis price location . quite cheap period around $ 225 / night inc tax , bit nervous quality would experience . however , right check - in experience great . check staff extremely welcome friendly . give we room 3rd floor elevator , fear would substandard room , often happen book internet agency . true , room overlook light - well , reasonably bright importantly noise street , kitchen elevator . fact , good surprise room huge NYC standard , small kitchen area , lobby walk closet , well queen size bed full bathroom ( great toiletry way well ) . criticism room would traditional floral decor might everyone 's taste ( include mine ) .We find bar bit dingy , friendly irish staff , well live rugby . concierge ( also irish ) give we great recommendation go hotel drink well , pour rain , bell - boy happy lend we umbrella . finally , location perfect shopping ( especially Bloomingdales ) lot reasonably price eatery breakfast lunch nearby . would definitely return next time New York - far friendly hotel stay feel like small guest - house . 
 Apr 30 2006 	 cosy central comfortable charming - pricey ! 	 spend week hubby another couple impressed hotel . room cosy , spacious , bed lovely comfortable , bathtub ( big plus ) , coffeemake facility everything clean . two minor complaint would fix showerhead ( bugbear mine ) 10 dollar internet charge - want 10 min check mail . staff friendly helpful . irish bar cosy perhaps bartender not charm other ! nice touch have arrive long flight room not quite ready offer complimentary drink bar . hotel facility , small bar restaurant , will not suit everyone fine we , not spend much time hotel , could fabulous city wait we outside ! hotel great central location , not find noisy . would definitely use . 
 Apr 19 2006 	 Great Stay 	 enjoy hotel much . room ideal -- perfect wife 14 - year - old daughter . travel agent forgot let hotel know bring daughter along trip , hotel staff accomodate we without trouble . sofa ( hideaway bed ) bedroom . bar great place grab nice ale scotch dinner . good location close subway stop , Central Park , shopping . 
 Apr 19 2006 	 Adored hotel 	 stay Fitzpatrick 's honeymoon - although completely unplanned . initially check really diappointe Doubletree Hilton Lexington night prior head Caribbean could not wait get away place . anyway pop Fitzpatrick 's chance would room get one € 140 ! great room , small perfectly adequate , really lovely . service second none , food great ( nachos bar super ) , staff really excellent make we feel welcome . stay way back Jamaica say really make honeymoon we . great place breakfast across street , side street , call Palace - try ! 
 Apr 11 2006 	 good experience 	 spend week suite two year old daughter . sum : positive : •location ( important thing hotel ) .•Room size , admittedly suite excellent value.•service – hotel staff courteous , friendly & amp ; knowledgeable . ' try restaurant bar.•bed – huge & amp ; comfortable•room amenity – fridge , counter & amp ; sink , two television , great sofa . negative : •relatively noisy , Manhattan . get use & amp ; sleep well.•lack " facility " , Manhattan excuse bore . we April , ' know effective heating air - conditioning be . we ' back . 
 Apr 6 2006 	 stay far away .... 	 fiance stay Fitzpatrick Manhattan Hotel long weekend . Front desk friendly , never go way make feel special , friendly enough . room little small , good enough need plan shopping entire trip anyway . terrible experience last night bar . Americans treat not belong . rude bartender irish accent , extremely short could not wait finish we go back chat irish ' friend ' . not even bother finish drink ( expensive ) . not irish , stay bar , feel welcome ! ! ! ! 
 Mar 31 2006 	 Ahhh ... bed ! 	 room small perfectly form everthing need . cosy warm . bed lovely , really comfortable great storage . would like strong power shower though . we love art deco decor elevator . service excellent , reception concierage bar . food real comfort fare home , always tasty . would nice separate restaurant though love huge lady bathroom bar ! Murphys bar let ! brilliant location , love . everything nearby noisy night . would definitely stay . 
 Mar 25 2006 	 Ritz ? 	 need Ritz get Fitzpatrick Manhattan ! 
 Mar 5 2006 	 stay somewhere else 	 Facilities . restaurant , one bar downstairs close private function one night stay . disappointed hotel hype Ireland . location good though . 
 Feb 16 2006 	 comfortable bed 	 flight Kennedy cancelledon Monday blizzard , decide stay city . stay fitzpatrick suite , none available time . book phone get great rate $ 199.00 regular room . bed good part pillow top mattress soft pillow . staff friendly go way handle request . room small comfortable . restaurant serve high quality comfort food . would recommend hotel highly . 
 Feb 14 2006 	 Came Rescue ! 	 strand New York record - break blizzard February 12 , need place stay , call Fitzpatrick friend 's reccommendation . the experience could not nicer . staff unbelievably caring , elegant room cozy warm oasis frigid winter night . bedtime turn - down service include soft , fluffy robe , slipper . mineral water , delicious irish chocolate . I also enjoy hotel 's authentic irish pub - style restaurant . fireplace warm room , hearty stew choose dinner perfect cold winter night . bar great place enjoy cocktail meet people also & quot ; stranded & quot ; .... none we complain , though . 
 Jan 31 2006 	 Excellent location hotel 	 stay fitzpatrick manhattan 25th 29th January . get excellent rate $ 199 night arrival meet manager welcome we check quickly . bag take room we room huge ! separate kitchen area use store luggage , lovely bedroom nice big bed big bathroom , bath / shower . also get complimentary drink voucher bar check . staff friendly , bar lovely . do not eat restaurant full night seem well . location perfect , 2 block away metro bloomingdale , 3 block cross - town 5th avenue . walk everywhere good location . would recommend hotel anyone 
 Dec 17 2005 	 Nice Hotel make feel home ! 	 arrive 10 pm 8 am interview . fly west coast nice welcome check - in quickly . bed comfortable worried would not wake time ! another user point air conditioning little noisy - ' ve barely hotel not similar problem . everything clean welcome - little mint chocolate pillow . go winter will really enjoy terry robe . couple beer adjacent pub meet lot nice people . morning treat nice quiet continental breakfast . upon return hotel interview check - quickly give direction bell lock thing could go lunch friend Central Park . return bell quickly hail cab - first cabbie rude obnoxious bell politely send hail another . wonder one hotel choice company - afterall get job ! 
 Dec 7 2005 	 Lovely Hotel Staff 	 two friend stay fitzpatrick Manhattan hotel 30th Nov 6th December . book suite seperate bedroom living room pull sofabe . also small kitchen fridge , sink coffee maker . room good size spotlessly clean . hotel small considering size hotel new york like fact intimate . staff eager help make point ask day . bar restaurant small also like . great thing Fitzpatricks fact start shop doorstep . two block away Bloomingdales , Gap , Ninewest , H & amp ; , Levis many other . also great get ferry statue liberty . subway stop right across street bloomingdale . overall loved hotel plan book second stay january . 
 Nov 7 2005 	 make one feel like royalty ! 	 lovely , quaint boutique - type hotel offer comfort home ! room impeccably clean pillow bed invite restful sleep ! important , staff go extra mile make sure satisifed stay . make every effort friendly , accomodate personable . anything ever request staff , ' ve deliver smile ! make effort refer name knack make feel like be special guest ! ' ve stay three time past three year , ' ve never disappoint . ' m plan fourth stay couple month return NYC . warmth irish hospitality evident fine establishment ! 
 Aug 20 2005 	 Great Place 	 stay Fitzpatrick Manhattan 14th Feb 05 6 night love hotel . we get great deal room rate booking directly website .... think headin NYC Jan end Feb offer website great will not beat try first ! first time NYC many people tell expect much way bedroom size , ( especially hear rate getting ! ) , standard enough bedroom Manhattan small side suprise spacious room small kitchenette , double dump ground shopping luggage . find room little cold . feb understandably cold outside would expect heating full blast room cool side ...... not upset we much change sleep . the staff great hotel friendly could not helpful . one reviewer point bar small serve purpose great place chat fellow guest get tip different thing see . evening head well know bar area get real taste nightlife NY . eat restaurant not overly impressed food tasty enough . the location great walk everywhere . 2 minute walk Bloomingdales 5/10mins 5th Avenue entrance Central Park . overall would definitely recommend stay particularly go Jan / Feb fantastic value money cosy homely hotel . one thing shopper among .... think go Feb try around 22nd Feb ( Presidents Day ) . Monday around date National Holiday US sale run Monday great especially Woodbury Common Shopping Outlet discount place 50/75 % make long trip outlet well worth ! ! ! ! 
 Jul 23 2005 	 good 	 sure everyone else seem love . room damp , AC incredibly noisy , part ceiling collapse bathroom , wall paper thin ( could hear traffic / dump truck clean dumpster night ) strange moldy odor throughout floor ( 5th ) . look great Boutique hotel NYC , try Hudson . 
 Apr 26 2005 	 love feeling like Family 	 stay Fitzpatrick weekend 3/10/05 . never stay boutique - style hotel , came recommend we someone live nearby . travel NYC family five challenge certainly expensive . hotel offer suite , much affordable even single room major hotel . first phone call ( see would completely irritate show three young boy ) , pleasant , informative , welcoming , accomodating . arrive greet we name make we feel ready wait we . suite beautifully appoint tasteful current styling . linen high - end irish line , lamp evoke Waterford crystal feel . boy , nintendo room , well small extremely useful kitchenette . accomodation we perfect , husband share king - sized bed bedroom child sleep oversized pull - out sofa living room . weekend staff greet boy name , provide information quickly could ask , greet we regularly smile name . restaurant hotel wonderful , service equally perfect . irish Breakfast requirement , provide authentic Irish Sausage , fabulous egg fluffy , completely fill pancake . in - law recently return Ireland say taste exactly remember . bar neighborhood irish Pub feel , Guinness tap plenty irish local fill seat . accomodate , pour two guinesse help get room return early evening . maybe help right St. Patrick 's Day , experience perfect . stay every time return New York , wonderful step away standard New York attitude welcome home irish . 
 Mar 28 2005 	 Emmm .... ok 	 stay Fitzpatricks Jan 05 . admit expect hype read . lovely friendly hotel staff extremely attentive , hotel small enough . food quite nice restaurant , ( breakfast expensive though , go delis nearby ) bar small . room nice enough , previous reviewer say , could stay Waldorf price regretfully not . Waldorf would much central well . hightlight stay share lift one morning 9th floor Phil Coulter ! overall would stay Waldorf Sheraton Manhattan available . 
 Feb 28 2005 	 good Great . 
 Jan 17 2005 	 Excellent hotel 
 Jul 2 2004 	 great location 
 Jun 19 2004 	 Nice Hotel great location 
 May 27 2004 	 Loved Fitzpatrick ! 
 May 24 2004 	 great hotel 
 Jan 29 2004 	 top notch ! 
 Jan 14 2004 	 even money object Fitzpatrick still hotel would choose 
 Nov 11 2003 	 fireside ... 
 Nov 6 2003 	 Great Family Hotel 
 Aug 6 2009 	 très bel hotel au juste emplacement ! 
