always 	 second stay London Elizabeth definitely look stay . deny tired shabby place chip crack . clean comfortable character . first room quite small must happy book next London trip room last weekend spacious two armchair , fireplace , desk wardrobe . street noise time not really bother we . room warm hotel ( air conditioning not turn ) . tea coffee facility take travel kettle etc , fridge find ledge outside window put milk . location brilliant , ( google , street view ) , bus stop outside , second away Lancaster Gate tube minute walk Kensington Gardens , minute Hyde Park . ( mid fifty ) easily walk back Royal Albert Hall ( take fifteen - twenty minute ) . staff meet friendly , check staff brilliant helpful . lovely pub around corner call Swan . Breakfast come room occasion bread roll stale , cereal , tin fruit , yoghurt fresh blueberry muffin . croissant , pastry brioche not ' comment freshness . add breakfast last time ( end June ) much well . time though , two we , breakfast not cost £ 80 everything price ( London ) bargain . afford pay , maybe , budget , would definitely try . 
 Jan 7 2008 	 Fantastic Hotel Fantastic Location Fantastic experience ! ! ! ! ! ! 	 Fantastic do not even begin compliment hotel . book Hyde Park Suite two night girlfriend christmas present . read room website nothing prepare amazing room enter . room vast size view amazing ( sure check photo room view balcony ) . staff friendly helpful , advise we bus time could not enough ensure enjoy experience . although road outside busy even midnight , become totally irrelevant consider room view . Lancaster Gate tube station step away perfect travel around London , also regular bus service stop right outside front door every couple min . also open top bus tour stop across road . food fantastic breakfast evening meal ! ! ! ! ! ! ! ! ! hotel room really make weekend enjoyable would like thank staff great experience . 
 Dec 28 2007 	 Lovely London Elizabeth 	 research internet , book London Elizabeth Hotel via Orbitz get good rate ... least London ! read negative review , decide upgrade arrive -- ' m glad ! room large decorate fashion english manor house -- dark cherry wood , crystal chandelier , wingback chair , etc . the room comfortable bathroom clean . ( always plus ! ) hotel locate across street Hyde Park . 's also conveniently locate Lancaster tube station . they little restaurant hotel reasonable food good . eat breakfast ( $ 8 English ) also good . negative think elevator small not work part time . use stair quite bit . we look forward stay future . 
 Dec 13 2007 	 Love hotel 	 stay two night . room clean bright , bed comfortable , soap top class ( Neutrogena ) . thing less perfect poor cable selection tv . hotel across street Lancaster Gate Tube station , short walk Paddington Station . leave mobile phone room ( check rush , leave luggage hotel ) . call two hour later , say would look . get back get luggage find phone also tie leave . wonderful people . would certainly stay next time go London . there air conditioning - problem November , possibly downer globally Warmed London July . ceiling fan . 
 Dec 12 2007 	 Love London Elizabeth 	 love London Elizabeth ! that s say ! suite beautiful , bed comfortable , breakfast delicious ! back soon ! 
 Dec 10 2007 	 room disappointing 	 book triple room line , look hotel web site note review post . disappointed room , number 118 , whilst adequate live expectation bear little resemblance picture show . double bed , report comfortable small camp type bed , sag middle , push radiator , window , comfortable . room back hotel , window whilst large , sort recess drape rather grubby net curtain afford little natural light . generally room appear rather dingy , decor little tired . room also strong odour remind we TCP ! bathroom facility fine , nice selection toiletry powerful hot shower . the european breakfast superb quite set day , though restaurant be not big enough number guest people wait table . the hotel locate accessible area , handy Cabs , Tubes , Buses walk many popular haunt . because disappointment room , would hesitate recommend hotel , however location , shower breakfast would ! 
 Nov 9 2007 	 great room huge bed 	 read various review slightly concerned would tiny room small bed , room quite opposite . room ( 226 ) fairsize small staircase go bathroom lovely . king size bed big bed ever sleep huge . room really lovely downsize near tiny lift abit noisy would not put booking room again . the breakfast ok abit miffed pay £ 4 extra want cook one ! overall hotel lovely right next Hyde park great walk around . pay £ 160 deluxe room be not bad consider location . 
 Oct 15 2007 	 tiny room convenient 	 find hotel via Rick Steve 's guidebook ... expect somewhat large room disappoint sooo small say , everything else fine . I glad elevator , take luggage stairs huge pain . breakfast fine , get ready day . the Belgrave neighborhood fill nice little restaurant within walking distance . nice little Thai restaurant around corner hotel . my boyfriend feel safe walk night , neighborhood fill little hotel B & amp ; b' . Friday Saturday night seem party night Hotel Elizabeth far enough away cheap place travel student stay party . Hotel Elizabeth 15 minute walk Victoria Station . bus station Victoria Coach street , tour bus pick .... return necessarily . check tour company book return . 
 Oct 4 2007 	 LOVE London Elizabeth ! ! 	 fantastic experience London Elizabeth . trish rest staff nice , room wonderful , food service breakfast splendid ( room service food good ' ve ever ! ) , location charm top . not want stay anywhere else future , London travel veteran . high recommendation ! Liz Mark Easter 
 Sep 25 2007 	 grow . 	 kinda know expect previous review limited experience London Hotels . yes , room small bed tiny . ? 's convert mansion resort Cancun . go see stuff . trust , put kind mile sightseeing Wife put every day will not trouble bed end evening . especially pint bar downstair Swan around corner . spend 7 night . lift , advise use itty bitty elevator go take stair . & lt ; & gt ; ( dumbest dign ever : placard say occupancy limit 3 person elevator . could not get 2 shoehorn ! ) & lt ; /i & gt ; rate average helpful staff excellent location . Lancaster Underground station step away bus stop right front door . Paddington station minute walk Hyde Park right across street . could not find well location . however , look Marriot type experience key card king size bed , move along . 
 Sep 18 2007 	 OK 	 stay early June 2007 husband . mixed review mostly true . the front desk staff nice efficient . definitely big plus . breakfast staff leave lot desire . always challenge get attention order get coffee tea refill , near time stop serve breakfast , tend become downright rude . besides , breakfast terrible . husband use Europe - style continental breakfast , perhaps weak one ' ve see long time . we charming room , Elizabethan look , wooden beam wall along ceiling . unlike room ' ve see photo room catch gilmpse door leave open clean . : ) really nice . seem clean enough , bathroom . bed not bad . however , room air conditioning . weather still nicely cool , could certainly see drawback warm month . we mind super small elevator . mind many time seem work / or likely seem stop staff could use . also wake clean staff speak / gossip * * loudly either among cell phone , directly outside door ! become bad enough get bed ( hispanic , lady ) ask please quiet . overall fairly certain look stay elsewhere next visit London . not horrible , certainly not great ! something well comparable rate . 
 Sep 15 2007 	 horrible service 	 room old smell smoke door knob break . management rude . 
 Sep 14 2007 	 great location old building 	 selling point hotel location ; subtract would rather stay different , cheap place . be across street Hyde Park , wonderful relaxing place ; include Kensington Gardens make pleasant 15 min stroll Buckingham Palace . take walk Buckingham Thames every day . the restaurant next hotel extremely overprice food taste average . want good , ethnic ( british though : ) ) food take Wigmore Street ( 1,2 block Oxford ) - somewhere around Bond street million restaurant . food hotel good , overprice well . breakfast , usually include , substantial . staff friendly , though many seem overwork tired , feel bad bug question . negative old carpet give hotel dusty feeling . overall , recommend hotel , think location unbeatable make minor negative . 
 Sep 12 2007 	 wonderful Quaint Hotel ! 	 four we travel first trip London hotel one highlight trip . soo easy get Heathrow airport , especially first timer rental car . take metro bag find right away . restaurant grocery walk distance free internet ! quad room nice , cozy CLEAN . keep mind old historic hotel . air condition ceiling fan . lift / elevator super small one we walk stair wait think small like England . make funny story tell back home . concierge Patrick well lad ever ! ! ! ton useful information direction know little bit everything we constantly laugh till hurt . be good , Patrick ! ! afternoon tea Rose room spend breakfast every morning pretty . outside little rose garden enjoy . 's border Hyde Park GORGEOUS walk course ever near Lancaster Gate Station hop skip jump away . good time ! 
 Aug 25 2007 	 London Elizabeth Hotel 	 2nd stay hotel past 2 year . pleased hotel staff & amp ; hotel manager , prompt return visit . old hotel . every room different & amp ; unique . like stay place character vs. place every room , location . small bar adjacent lobby . serve excellent light food . dining room open dinner good menu . dining room open breakfast hotel guest ( nice continental include stay & amp ; fee cook meal ) . staff eager please . hotel manager ( Trish ) 1st rate . Tube & amp ; Bus outside front door . Hyde Park directly across street nice morning evening walk beside pond & amp ; Diana memorial . 
 Aug 20 2007 	 ok hotel 	 hotel locate great spot believe charge much room . hotel right across hyde park half block away underground station . room ok size , going stay hotel ask courtyard facing room , street loud . bed comfortable think would well replace , would make huge difference . room clean patio road noise make pace would not want spend much time except really late night . tv get 7 channel , , not go london TV . internet free nice everything else london cost money . Breakfast include actually pretty good . great good . wierd quirk hotel not leave hotel key , drop front desk leave upon return give . bit pain , big deal opinion , least can not lose key . staff friendly willing help , even buy ticket certain attraction front desk get prepay line ( queue ) attraction often short . 
 Aug 9 2007 	 good location much 	 stay London Elizabeth 5 night early July 2007 . hotel indeed convenient term location , right across Hyde Park meter away Lancaster Gate tube station . apart location , however , nothing impressive : room shabby , noisy breakfast offer limited selection . overall , find London Elizabeth overrate . 
 Aug 7 2007 	 Elizabeth Hotel grear place stay inLondon 	 husband visit London year stay Elizabeth Hotel Lancaster Gate . hotel look Hyde Park . bus pull front hotel tube across road . Paddington Railway station behind hotel avout ten minute walk . big Bus tour pull front hotel . hotel small friendly . Breakfast include . worth check hotel site sometimes special change rate . eg . pay USA dollar $ 1 equal 1 pound . hotel also available hotel website . always enjoy stay like go home . 
 Aug 7 2007 	 Lovely Old Hotel 	 's close Lancaster Tube Station - two - minute walk . be also close Hyde Park . the hotel family - own indeed 's old building . room reasonable size bed quite comfortable . 's air - condition 's big fan ceiling 's big window . the breakfast okay . the staff polite helpful . it be pretty noisy 's locate near busy road close tube . every coin two side - good location noise problem . not think . be okay always fall asleep easily . there be three minor problem . 1 . ceiling bit terrible paint keep peel off.2 . 's coffee - make machine.3 . elevator 's incredibly small . two slim people travel one time . but think will definitely return hotel next London trip . 
 Jul 31 2007 	 Beware Reservation System 	 find hotel Trip Advisor pass onto Central Reservation System . beware ! ! ! arrive London , hotel say overbooked reservation receive even though make week advance . room we ! front desk receptionist say would & quot ; upgrade & quot ; we room hotel street . bad idea . new hotel horrible . upset turn event . want go sightseeing stay horrible hotel room . go back London Elizabeth tell upgrade . trish , manager , apologetic much well first person meet . tell would pay new room say would could . thank goodness London one night . mess ! not end pay new room . lesson ... always , always contact hotel directly . rely 3rd party reservation system especially Europe ! 
 Jul 17 2007 	 ..... not ! 	 ok .... ' ve use Tripadvisor trip quite time first time felt duppe . usually read negative review & quot ; grain salt & quot ; long overall review positive feel ok take change . with hotel wrong . still decide go good luck get Lancaster Gate station ( 2 min walk ) Paddington ( 10 min walk ) . arrive plan sleep one dillapidaate hotel city . place need major upgrade . room small , bed ok , AC , room not clean , paint peel wall noisey . highlight 8 & quot ; television , seriously . bottomline , need place lie head hour may ok ear plug . good thing stay visit local italian restaurant call & quot ; Ask & quot ; , food price great . , stay elsewhere . dozen review ' ve write negative one . trust , dissappointe . 
 Jul 6 2007 	 Hmm ... 	 book hotel one business traveller . although location breakfast good , hotel need modernise traffic noise outside room make difficult sleep ( soundproofing require ) . would return hotel issue overlook business traveller . 
 Jun 26 2007 	 great old fashioned service ! ! 	 sister stay Hyde Park call festival 24th June 2007 . choose hotel location price - £ 260 twin room two night . not expect much not expensive want place put head night - oh god surprise ! hotel literally 200 yard away Lancaster Gate tube station central line . hotel room pretty basic quaint clean , room service excellent - would pretty much get whatever want whenever want , pain killer middle night run get cigarette late night shop ! ! bar open whenever staff friendly accommodate - even 2 am ! ! staff even run rain flag we taxi would not get wet . overall pleasant stay would definately stay recommend friend . book website cheap advertised rate hotel £ 160 per night . 
 May 30 2007 	 Home Home 	 find delightful hotel accident nearly 5 year ago since stay many occasion business pleasure . have plan meeting last moment use boardroom competitive rate lunch serve terrace pleasant . nothing much trouble staff usual happy helpful self . all room stay certain charm lovely cosy feel almost fade elegance . theatre bar small attractive meet many interesting people . always bonus travel alone . trish , Guest Relations Manager bend backwards ensure every guest know way around hotel local neighbourhood . always keen share knowledge London help get b ease . I find real home home would happily recommend anybody . . 
 may 21 2007 	 good find London 	 stay four night enjoyable stay . location fantastic , short walk Paddington Station practically right next door Lancaster Gate Tube Stop . room front hotel cop traffic noise , not stop sleep first night barely notice . room fine decent size London standard . furnishing not anything fancy , room comfortable . staff lovely friendly . always smile willing help anything . downside could think breakfast - not well spread see away - sufficient . definately stay London Elizabeth next time visit London . 
 may 12 2007 	 way stay 	 stay London Elizabeth hotel many occassion whether business pleasure always find friendly environment . staff courteous enough . one good thing not go eat menu good taste even well . would recommend hotel anyone visit London . oh manage get Hyde park road girl main shop 15 minute walk away . 
 Apr 26 2007 	 incredibly friendly staff great location 	 get back stay London Elizabeth Hotel great experience . downside , sure ( top - floor room get uncomfortably close stuffy due heat spate warm weather ) , great thing well ( incredibly friendly staff , believe - can not beat location ) .The first night arrive hotel take late flight Chicago not arrive nearly midnight . staff reservation right hand confusion whatsoever type reservation make . bellman help bag check inside probably five minute ( aside chat Patrick , insanely friendly helpful night desk clerk ) . turn , put room near front hotel overlook Bayswater Road , six - lane main artery feature loud traffic siren hour night . morning ask move another room back hotel , turn trouble , staff could not cooperative helpful . ( travel lot rarely encounter staff people seem genuinely interested visitor think city . also suggest number option visit thing want see efficient whenever anything request . ) trouble carry bag room - lift trifle small arrive promptly without delay ... great thing hotel shower - plenty hot water great water pressure ; fact , aside road noise , hotel totally quiet - people not run hall slam door ; * free * buffet breakfast guest hotel , featured cereal , pastry fresh fruit - terrible exchange rate , will not want pay meal necessary ; great waitstaff restaurant , also friendly , helpful efficient . 's 24 - hour room service think price reasonable . 's also small bar ground floor hotel get glass ice soft drink . room furnishing could use update - furniture see well day , never manage receive two channel television - offset fact hotel literally 20 step Lancaster Gate tube stop Central Line within sight italian Gardens , beautiful victorian reflect pool locate within gate Hyde Park . also two great meal Swan , traditional english pub locate next door hotel ( note : be open till 11 stop serve food 10 ) , be small local market next door well buy postcard snack . will close Spring Street , bank good restaurant , within two block walk Paddington Station , many National Rail train Tube line converge . probably not modern glitzy hotel will ever encounter , bed reasonably comfortable clean , even aside great location , not even slightly nervous neighborhood walk night several time . also hear wonderful sound bird chirp Hyde Park open window . ( screen , careful pigeon , fresh air worth . ) would definitely recommend stay low floor warm weather air conditioning ( though ceiling fan ) , ask place near back hotel . room not huge ' ve see small , be provide tall armoire two chest drawer , cut & quot ; stuff & quot ; clutter . trouble free wireless internet - will need call desk access code , signal strength good broadband service work flawlessly . overall , good experience hotel huge , expensive major city , would stay . 
 Mar 29 2007 	 good great location 	 London five night conference find London Elizabeth everything need good value money ( budget ! ) . room tad small 's major complaint . breakfast adequate . internet free usually available . problem phone noise . staff friendly courteous . the big plus accessibility . right adjacent Lancaster Gate underground five minute walk Paddington , hence train Heathrow part England readily accessible . will definitely use back London work matter . 
 Mar 23 2007 	 good start get well 	 upon early morning arrival US , room ready , staff gracious provide place freshen offer breakfast . upon return office afternoon , disappointed room have give ( extremely small shabby , broken tile dirty bathroom , renovation hallway severe paint odor room ) . call desk inquire change room , tell room get book rate have book ( have book discount site ) . inquire distinction room book site room list site , answer . tell additional room available , since prepay , would money move another hotel . , minute later , manager call offer tour room suddenly become available . definitely need get act together deal customer complaint well manner . able pick suitable room , pleasant stay remainder trip . exception one interaction regard move room , staff gracious pleasant time . location great , right central tube line , great trip around . 
 Mar 23 2007 	 great little hotel 	 hotel great . have warn european hotel room small , room cozy , big enough friend bag . clean warm quiet . staff helpful polite . little restaurant serve great food reasonable price . overall great experience . also , hotel right several bus line right across street tube stop . downside , probably something find europe , people could smoke hotel , public area private room . 
 Mar 20 2007 	 good hotel young single review suggest 	 book hotel , choose well price review good . the hotel cute old british kind way . awesome room terrace face Hyde Park . hotel directly accross street Lancaster Tube Station Hyde Park fantastic . staff friendly continental breakfast good . internet access free accessible . London hotel , room good size . on downside ; toilet hard time flush , could use phone without hear aweful dialtone background , little far west city like . young single , would stay , rather close Picadilly Circus nothing action within walk distance hotel . overall , good hotel good value . 
 Feb 27 2007 	 good ! 	 say London Elizabeth Hotel . let first say first stay London . travel London pleasure six time within past 7 year . typically book tourist class hotel ' expect much London high price . time book double Deluxe room king size bed four night ( Room 224 ) . ask quiet room smoking . reservation desk good answering email take care reservation prior arrival . good thing hotel across street Hyde Park next Lancaster Gate Tube Station . hotel staff friendly part accommodate . hotel room large non smoking room . continental breakfast also good . find nice restaurant within couple minute walk well . good . even though room non - smoking , put we smoking floor . ( girlfriend allergic smoke , make sneeze eye turn red watery . ) hallway haze smell bar . smoke smell would eventually work ' way room . hotel staff member say we ongoing problem depend amount room occupy smoker . king size bed actually two double bed push together . could feel seam bed small height difference mattress make bed uncomfortable . the bathroom recently renovate replace pretty shabby look vanity shower head adjustable 6 foot tall good luck get underneath showerhead . wallpaper cracking , refrigerator room work , hallway carpet wear . nothing boil water cup tea room . wall rather thin could clearly hear people adjacent room speak listen tv . inquire move another room section hotel less smoky , inform we two floor dedicate non - smoking room available would upgrade would require we pay money . would stay London Elizabeth ? answer would . think find stay tourist class hotel London well room less money . 
 Jan 29 2007 	 Loved hotel ! 	 ' ve return short stay Elizabeth Suite London Elizabeth Hotel would like say lovely . room elegant look great & quot ; cottage & quot ; style feel . old style fireplace four post bed finish room touch class , whilst bathroom modern comfortable . bar restaurant great serve lovely food , price reasonable value . staff member helpful take time talk help every need , especially manager , second none . finally , hotel great location overlook Hyde Park great link sight sound London , Lancaster Station 30 yard entrance . great hotel . Lee & amp ; Elaine Liverpool . 
 Jan 4 2007 	 great stay london elizabeth 	 14 - year old daughter great time London Elizabeth . although book double room could change upon arrival twin room . room 445 turn beautiful spacious corner room . unfortunately change room 2 night , nice large clean twin - room . staff nice , hotel look lovely Christmas decoration , breakfast plentiful ( cheese , meat , buy little shop around corner ) . use computer library great bar welcoming . thing rather hot hotel ! transportation possiblitie great doubledecker bus right front hotel Oxford Street Victoria Station . walk Hyde park , across street , Harrods lovely . definitely stay ! ! 
 Dec 31 2006 	 another great Stay London Elizabeth 	 husband stay London Elizabeth second time past Sept. book spacious Elizabeth room fireplace , lovely furnishing , large bathroom . arrive hotel electricity due broken water main nearby street . extremely friendly helpful staff carry large , heavy bag way stair room top floor , provide we candle , recommend nearby restaurant dinner . electricity come back within 15 minute , thoroughly enjoy remainder stay . room service fast reliable , downstair bar / lounge great place hang apertif nightcap . staff member help we flag cab curbside extremely busy Sat . night go dinner Tamarind Mayfair . 's also free internet access guest library . Hyde Park right across street hotel enjoy pleasant walk Kensington Palace . queensgate , Notting Hill Oxford Street within walk distance well , underground literally right outside front door hotel . highly recommend London Elizabeth . 
 Dec 31 2006 	 great Christmas week London Elizabeth 	 requirement adult daughter look : old , small clean hotel character near transportation . find requirement London Elizabeth . hotel sit across Hyde Park enjoy walk daughter enjoy jog . bus stop front Hotel Lancaster Gate Tube 1/2 block away . staff friendly helpful Hotel beautifully decorate Christmas . the room front building could noisy street room back quiet . twin room small shower tub able upgrade much large room tub . upgrade , pass hotel budget worth make & quot ; overspending & quot ; bring cheese , bun , avocado , tomatoe bottle wine yummy meal fraction cost go out . Renee Teresa , Vancouver , Canada 
 Dec 3 2006 	 Excellent stay 	 first stay London , thoroughly enjoy time . hotel good location , extremely convenient . my room good standard , although lift far small . could fit case ! thoroughly enjoy continental breakfast morning . english breakfast available , enough bread fruit available fill lunchtime . the restaurant close evening stay , could try evening meal . I definitely go back hotel ' m capital next time . 
 Nov 29 2006 	 never 	 stay teenage daughter three night late October . location good Lancaster Gate tube station open ( not ) . specifically ask quiet twin room give double ( small queen size bed ) room first floor next elevator top must ventilation system whole hotel . noisy . room fade design , wear carpet curtain television work repair replace despite several complaint . staff rude helpful either . ask twice extra sheet blanket . bathroom nice clean though . 
 Nov 16 2006 	 Decent hotel price 	 London Elizabeth good location feel safe walking around night , good value consider London accomodation expensive . room small , back hotel overlook little park do not problem noise . also right next lift do not notice noise . buffet brekky nice - cereal , pastry , fruit , yoghurt etc . reception staff terribly helpful rude either . yes fitting furniture quite dated place , do not affect stay . one thing watch though - stairs uneven place , roof stairway low - husband nearly duck do not bump head ! 
 Nov 10 2006 	 Satisfaction depend rate pay . 	 hotel make number historic townhouse potential delight really tick . delighting would happen lot often owner make small change . for one , rate moderate one expect standard maintenance get budget maintenance . stair carpet threadbare . trouble tv , sometimes fiddle much long control channel offer . hot water anything regular ( learn take short shower still sometimes get tepid hair rinse ) . water pressure good toilet . tub high get wet one dangerous mat , slip twice 11 day . table need screw . actually love way floor slope good 3 - 4 inch short foot - 150 year history walk on . Most employee friendly helpful , not find rude either . ask direction advice number time nearly always find lacking get street . be busy thing behind scene ( though always number ) never stop think be local . two combine tend get quick rattling not offer much , good , information . but , lady restaurant ( bar ) wonderful , sweet kind . allow check early upon arrival without difficulty . , have week start treat kind welcome - training obviously not stress warmth welcome . the breakfast fine heartier one not terribly expensive . room safes appreciate . maid bell service good . for , bottom line location . across street Lancaster Gate tube station busy corner important . never feel unsafe walk alone late night back hotel . station construction close later year , might want check status . Paddington Station ( train & amp ; tube ) probably 10 min away , circuit less busy , dark street . Queensway & amp ; Bayswater 10 - 15 min away generally busy street , great shopping option . also , two building across street Kensington Gardens seem good get . trip - real highlight . the bottom line probably balance price quaintness . get good rate not mind difficulty come quaint . 
 Oct 6 2006 	 wonderful Stay 	 delightful stay early September first visit London . husband , adult daughter spend four day prior transatlantic cruise . hour research want right fit . ! ! great location , wonderful staff , small charming boutique hotel show little wear ok we . want large modern chain hotel . hard find triple room ! ! location great , previous reviewer say . high ceiling , doorway window , small , always light fireplace lobby . comforable , homey furniture , cozy sunny restaurant white linen large variety breakfast item morning buffet , access free internet email , little bar room leather furniture small rear terrace . our room cute , three comfortable single bed good shower . street noise expect , not bother we . could look see Hyde Park . also lot walk area always feel safe . 
 Sep 14 2006 	 wonderful experience ! 	 go ton review different website find London Elizabeth . everything look first trip London . lovely english decor small balcony overlook relatively quiet side street . nice step morning watch people go . staff helpful friendly , matter hour . breakfast continental style , could eat much want . room keep clean , plenty towel , great water pressure shower , color tv plenty channel . classic double first floor ( second floor we state . ) boardroom offer free internet access bar restaurant onsite . hotel provide small safe armoire , telephone , clock radio clothe press . please stay . reception area provide leaflet attraction city really appreciate . find close tube station go closed stay , email ask near underground . get back prompt reply ( Paddington ) timely advice stay . praise hotel enough . live star . 
 Sep 12 2006 	 tired shabby 	 good location positive thing say . the room shabby 11 year old daughter ask could sleep car . the t.v black white front panel . I dare lie bath come face face mouldy black grouting . 
 Sep 11 2006 	 London Elizabeth : Rude Staff POOR Service 	 London Elizabeth : Rude Staff ServiceWe stay four night rent two room . this hotel central sightseeing lovely area . pay deluxe room can not say anything deluxe . second room small noisey . specifically ask Quiet room ( book 7 month advance ) , Holes carpet , fade design otherwise adequate . problem lack service plain rudeness majority desk staff . ignore ask towel , bother request ice.told busy assist us direction ; refuse take cash payment ( say already charge card arrive assure & quot ; pre - authorized & quot ; ) , claim book agent go right website hit reservation . Refused call we cab aiport transfer show . say ? .... last resort . 
 Aug 25 2006 	 good stay London 	 London Elizabeth convenient location Lancaster Gate tube station open ( not ) . located central line get nearly anywhere fairly quickly . hotel old date - banister feel could easily break . room large many one find London . bathroom relatively update nice . bed incredibly uncomfortable ! street noise outside keep we awake . even though hotel airconditione , plus , let noise street . breakfast simple quite adequate many family . staff , courteous , quite average . 
 Aug 16 2006 	 Great Location 	 husband , teenage son stay London Elizabeth 22nd - 29th July 2006.one reason book Hotel fact overlook Hyde Park think would nice outlook . disappointment - room basement ( Room G10 ) lovely view brick wall busy bus stop . mean room quite noisy constant traffic also dull due natural sunlight get room . unfortunately hotel fully book could not change room . say , room spacious plenty space three we spotlessly clean . walk wardrobe/ cupboard handy extra & quot ; dress room & quot ; trying get ready time . I suppose room one advantage basement - weather really hot whilst meant room not get overly hot room sun not beat window ! ! ! other say , staff friendly , polite helpful breakfast well expect - large variety cereal , roll , muffin , croissant , bread / cake well fresh fruit salad , yoghurt , fruit juice boil egg . the location ideal . although Lancaster Gate Tube Station close five minute walk Paddington Tube Train Station bus stop outside door every minute take busy west end . it also great cross road Hyde Park spend evening feed swan duck near Kensington Palace . on whole , happy London Elizabeth location would hesitation stay ( would prefer room basement ) 
 Aug 5 2006 	 Perfect Hotel 	 10 - year old son stay July 27th July 31st . can not say enough wonderful experience stay hotel we . agree elevator small , flush toilet several time , minor inconvenience think hotel perfect . write many email hotel stay question hotel general London question . answer promptly , professionally . get hotel long overnight flight , greet warmly offer drink get room ready early . many little way , make stay comfortable . definitely stay . 
 Aug 4 2006 	 Great Hotel 	 hotel super place stay look local charm hospitality . Hilton large impersonal style hotel , rather type place guest feel like part family . trip Advisor comment rip supposedly tawdry furnishing feel base . hotel brand new , live feel add charm . family stay Grenville Janner Suite July 5 - 9 , 2006 , complaint , lot compliment . front desk staff efficient knowledgeable London direction recommendation , particularly Trish Norbury Patrick Karol . room - include roll away bed 13 yr old son - good sized , well cool air conditioning good sized bathroom . room safe appreciate , small balcony . room rear hotel , quiet night . Breakfast Rose Room Continental style , good assortment cereal , baked good , yogurt etc . bar fun place evening drink , reasonable price , be quiet outside area bar fresh air socializing . , two thumb well locate hotel north side Hyde Park - right Lancaster Gate tube station , close renovation October 2006 . 
 Jul 29 2006 	 precaution 	 great Continental Breakfast ! good news . room tiny , bed soft , shower difficult turn change water temp , pillow hard old fiberfill , curtain wear dilapidate , window single pane protection onslaught continual heavy traffic noise , elevator tiny fit one person one suitcase . aware ! HarrisonsPt Moody , B.C.Canada 
 Jul 20 2006 	 Great Location 	 stay London Elizabeth July family five . stay standard family room third floor . agree previous review window open get noisy night since night cool window close noise problem . one night order air conditioner work beautifully cool room . positive note include friendly professional staff , excellent breakfast Rose Garden restaurant fantastic location Hyde Park Tube great pub restaurant nearby . the hotel little worn family room plainly decorate budget , stay one suite . see conservatory beautiful . 
 Jul 18 2006 	 lovely great location 	 request 3 person room 2 teenage boy . room give plentiful 3 single bed plenty room roam . bathroom good size . location right across Hyde Park next Lancaster tube station prime . keep mind , lancaster station close start July 3 , 2006 renovation . not remember open . station nearby , little bit walk . intersection bit noisy , be ok long not keep window open be try sleep . receive wireless internet room plus . , pleased hotel feel great authentic london experience . 
 Jul 18 2006 	 good enough 	 hotel mostly good point : 1 ) enquire rate phone volunteer discount rate 90 pound 1 ( Saturday ) night stay . 2 ) upgrade deluxe rather spacious room accord . 3 ) location good . 5 minute walk Paddington ( direct train Heathrow Airport arrive / depart ) . 4 ) virtually entrance Hyde Park rather nice . pleased : 1 ) bathroom door could really use paint job . 2 ) forgot give wakeup call . 3 ) staff member deal front desk check in / check , competent , particularly congenial . overall , reasonable choice . 
 Jul 17 2006 	 nice location clean bit tired . 	 stay 1 night whilst attend function Royal Lancaster 50 yard away . our room 4th floor rear facing , still quite noisy . decor furniture date twee . room fairly clean though bed fairly comfortable . breakfast fine nothing special . the bar happy provide ice bucket glass bottle bubbly nice . lift small ever good claustrophobic , typical european hotel another reviewer state . the food seem reasonable although not eat , other say good . we pay £ 73 room extra £ 10 park car 24 hour , even manage avoid congestion charge despite cross London get here . all , ok hotel money good location could bit update . 
 Jul 12 2006 	 clean great location ! 	 woman travel alone , feel completely safe London Elizabeth Hotel . good sized room London . charming , decor lot like grandmother 's house . great location , ok breakfast , check - in check - out breeze . good part - clean , spacious bathroom ! would return second . 
 Jun 30 2006 	 Book hotel enjoy London comfort 	 look clean hotel professional staff great location . hotel describe comfortable clean bedroom bathroom . close Oxford Street bonus . step hotel look Hyde Park near tube station accross road . worth visit . 
 Jun 20 2006 	 friendly helpful staff great location 	 husband stay London Elizabeth June 7 - 10 , love staff , location , garden terrace . Victoria Room ( deluxe double ) 3rd floor comfortable roomy , air conditioning work well , consider weather warmer usual . restaurant bar staff accommodate . theater ticket not time eat dinner hand , arrange food deliver room 10 p.m. would wait we return theater . , delicious . eat dinner terrace one night , ( choose want eat , dining area , room , bar , terrace ) . terrace peaceful , lot rose , traffic noise . although hotel old , well maintain clean . 's funny size elevator , small . ask bell staff deliver bag room instead try maneuver elevator stair . hotel step away Hyde Park , Lancaster Gate tube station , easy get around town . good restaurant nearby . return London , will stay . 
 Jun 18 2006 	 great location - good budget hotel 	 stay hotel June 2006 , happy choice . hotel locate right next Lancaster Gate tube station . staff friendly room clean . negative hotel air conditioning , London quite warm ( 30 c ) .strongly recommend hotel traveller . cheap place , place great ! 
 Jun 12 2006 	 good value money nice staff 	 book hotel three night stay London . my room ( second floor ) face crossroad , quite noisy even night ; moreover , weather London warm ( 29 c ) stay , room warm , air conditioning ( apart fan ceiling , noisy ) . apart , room charm comfortable three star hotel London . room bathroom clean keep clean stay . position great : walk distance Lancaster Gate tube , central line , opposite italian fountain Kensington Gardens short walk Queensway , lot animation good restaurant . continental breakfast include room rate ( full english breakfast available request , surcharge ) , good . staff nice funny ! will come back London , will surely try stay . 
