refuge 	 stay hotel reason lot traveller - conveniently locate train station . hotle moderately price , seem even bargain pay New York . our room recently refurbish lovely . bed spectacularly comfortable good sleep whole trip . unlike other , think room definitely large enough . view nice . room service ok , drink lounge downstair good quality , reasonably price accompany great service snack . surprise free wifi , pay , whereas 2 * hotel New York able provide it . the location ok , able find good restaurant use metro system ease . would definitely recommend . 
 Mar 10 2009 	 great hotel great location ! ! ! 	 stay Fairmont 3 day ... location could better we viarail'ed Toronto Montreal Hotel station ... also close lot shopping restaurant direct access & quot ; underground city & quot ; MontrealHotel big busy reception always crowd ... Lobby not anything great speak room , opinion nice , large neat modern amenity . 
 Feb 17 2009 	 Le Reine / Queen Elizabeth make Valentine 's weekend . 	 first , address couple negative remark other leave : yes , bed firm Q.E ..... like rest Canada , Europe everywhere else ' ve outside U.S. country ' m aware sell sleep many & quot ; soft & quot ; mattress . ( oddly enough , also will not find dozen chiropractic office line street place wait area full incredibly overweight people cane walker like U.S . either . ) Q.E. , however , find soft high end sheet , comfy duvet , nice , big , thick natural feather pillow ( fibre - fill one readily available ask allergenic ) pretty darn accommodate 3 great night 's sleep return . nicely appoint well update clean standard room King book response good , recent Travelzoo.com rate offer , obviously intend bolster season revenue . service / staff friendly , professional , yet genuinely personable throughout , something - inn - owner , catch onto quickly . flower , order locally advance , await arrival room ready tee . Yep , standard room not large . 's 's standard room .... ( um ? ) bath also small , be planning & quot ; in - hotel experience & quot ; elbow room key issue may want check room option . bring kid along romantic city like 's personal problem can not help ya ' . ( blow grandparent option . ! ) one negative ( ! ) forward Q.E . management directly around fitness club / pool hot tub ( ... never waste perfectly good time , air brain cell tell sort negative operation stuff poor attendant / staff . ) not direct control issue / problem . b . ) may forward issue / problem along ladder various reason , include not want bear mis - direct blame ) not clean , period . Saturday , think foam ring may result heavy Valentine 's Day use since Hotel , tub , pretty busy . notice scummy dark ring along top tub ... ok , maybe busy .... ? well , ring even foam tub Sunday not ( ! ) . own / offer / maintain hot tub establishment feel fair say Q.E . tub need well TLC give hotel 1000 + room . pool , locker room , etc . , nicely upgrade , seemingly well maintain / clean , fine we , hot tub one turn - off / negative substantial one give public health issue . , dirty ... ring , could cure nightly drain - out refill like cruise ship . ( hey , be go offer hot tub , inherent operating cost keep establishment ever reputation damage outbreak & quot ; yech - i - tis & quot ; rest stay good 's actually sad write , be potentially serious issue give public access ..... all - righty , enough ... Q.E . location great ! ! say , be right Central Station ( train ) Underground Montreal access , sprawl prime reason go Montreal February ( like , huh ? ? ? ) underground amazing term scope architecture include hundred ( ! ) retail store , restaurant , tailor' / laundry , florist , , etc . , etc . , interconnect major hotel , Bell Center , trade show hall , bank , Place de Arts , college labyrinth 20 mile well lit , clean , modern tunnel way . cool large underground world . ... major card gladly accept everywhere shopping maniac ! shop range El cheapo ( less 10 % ) , Rolex 's in - between . the Premiere - Moison bakery hotel excellent ( get Montreal 5 star equivalent ) find cuban cigar little newstand / shop around corner main hall Central Station ask blond gal run ( Cigars enclose humidor ask , do / learn ) , Q.E . 's also McD's / Subway Canada clone Staple 's Office Supply . really cool like walk able walk Q.E . exhibit Place de Arts , 15 16 + block away , shirt sweater never step foot outside get . could walk to / from room right Celine Dion concert Bell Center way beat street crowd / fray . cool ! meal Q.E . one would recommend will full weekend , Sunday Brunch ! Par De Excellence ! veritable treat , even consider close proximity Northampton , undisputed dining mecca Western New England . Q.E . host excellent brunch include everything custom omelet crepe , sauteed mushroom , smoke baked salmon , entire table gourmet salad dish , sort Quebecoise dessert di ... , well , count calorie cholesterol , ok ! anyway , way much list $ 33.00 ( $ 25 US 02/15 ) per person rush move anyone door , plenty good , well prepared , food . glad sleep past morning breakfast buffet will go back meal future - even not stay , know ! ! Lot 's Montreal local present attest overall value . last positive , note timing ... Q.E . gym get term hotel gym facility . buffet might time check well equipped , cleanly modern facility . one after - think gym find stick old janitor 's closet often . well lit , roomy , modern full time congenial staff live Q.E . would kill local gym like within 10 mile home , , real neg . damn hot tub .... probably set right soon cut , paste , forward review along Q.E . 's home management team Fairmont . ; - ) parking ! SUV folk note garage ( $ 26 / day ) accommodate 6 ' 6 & quot ; vehicle , small trucks/ p.u . cap , another reason original pick Q.E . since take FWD truck due poss . snow forecast . Valet Parking game Q.E. , anywhere near - by , parking staff good deal , smile drop 5/10 guy , know would pay much Montreal above - ground lot wheel get cover ice snow ... anyway , be go back Jazz Fest July Q.E . strong possibility list first stay . ( usually stay Gouveneur Place du Puis ) .-Doc LeDuc 
 Feb 15 2009 	 centrally locate reliable extremely pet friendly . 	 Queen Elizabeth centrally locate downtown Montreal within easy walk distance downtown shopping core . connect underground system basically shop mall make downtown building basement connect together . underground system also connect Viarail ( Amtrak ) Montreal 's subway system . tourist attraction Old Montreal subway stop away . underground mall / downtown walkway : definitely need frequently refer map find way around building participate other not easily loose sense direction even clear sign . almost everything system include Tim Hortons , Starbucks , shop , drugstore bookstore . the room : room large , mid - sized comfortable . room armchair , desk chair , desk ( high speed internet extra charge ) tall round table Fairmont Magazine hardbound Montreal tourist book . tv , coffee making supply complimentary coffee tea . minibar tamperproof seal lock . curtain blackout - line . the bathroom marble - tile , small slightly date . fairmont bathroom generally small other class . equip hairdryer , work laundry line , wide shower - rod . although even light , extra magnifying makeup mirror usually get hotel class . one bathrobe hook behind bathroom door closet . bath amenity citrus scented Miller Harris brand include plastic shower cap shoe mitt . there small in - room safe , iron , iron board , plastic laundry bag extra pillow ( blanket ) .The front desk courteous efficient . Free Wifi available lobby room offer high - speed additional charge . join Fairmont frequent traveler program call President 's Club ( free ) high - speed free stay . business center locate basement hotel 's mall right low elevator lobby . the car valet also locate basement usually charge separately room . separate cashier . Taxis usually available front ( north ) entrance small passenger pickup / delivery area locate side ( west ) . get hotel 's cover parking garage , must drive around side try find awkward entrance extend hotel build Viarail / Amtrak / office building . ( cheap ) public pay - parking area hotel 's parking north building . easy way would drop car front entrance . hotel parking fee self park valet parking . special request puppy handle efficiently friendly concierge . Lobby Lounge / Afternoon Tea excellent . Scones tea serve fine china correct temperature correct method . service slow one overwork waitress entire area extremely efficient polite despite workload . breakfast buffet full spread , egg order , large selection bread , yoghurt , fruit , fresh juice , cold meat salad . Tea Coffee serve table refill . complaint tiny plate slice smoke fish ( trout , salmon , stuff herring ) half hide garnish readily refill . overall pleasant stay classic date hotel . would hesitate reccomend hotel reliable , centrally locate , extremely pet friendly hotel . many choice class fairmont good backup . 
 Feb 4 2009 	 Cold outside warm Fairmont 	 room clean luxurious ! staff super helpful . November not good time visit Montreal , least hotel warm cozy . 
 Jan 26 2009 	 Lost 's lustre 	 think Fairmont need look property manage change thing . room get Junior Suite nice layout . bed outdate especially compare starwood brand . main comforter stain , blanket cheap bathroom small . room clean little detail overlook like corner doorknobs stain . wish bring wipe could well clean job . food Montrealer restaurant ok , nothing spectacular . great thing abotu hotel location connect underground get amazing sandwich , Tim Hortons coffee also wine store . service great hotel need renovation , desperately . hotel Place D'arms W well choice Montreal . 
 Jan 10 2009 	 deceiving ! ! not trust staying room get break ! 	 stay Fairmont Queen Elizabeth special family occassion . group 30 4 night . arrive , check - in slow . room nice ; mattress hard . ask concierge tip shop restaurant around city . claim idea thing around city , eager promote restaurant shop locate within hotel . number room ( mine include ) break , cash credit card steal . accord credit card company , attempt make & quot ; big tickiet & quot ; item local electronics store , well gas station . upon notify Hotel , seem somewhat disintereste someone break room . not seem take we serious . not want take responsibility . not wallet dust finger print , not get lock record door access information retrieve lock , not offer sort compensation inconvenience ; little attempt make acknowledge happen . not offer ride police station . date , resolution occur , call hotel get response . be over - rate , not trust waste time stay . 
 Jan 1 2009 	 long LIve Queen 	 spend long weekend Fairmont Queen Elizabeth get away see friend Montreal . disappoint usual fine Fairmont treatment . book room website receive great 3 night two offer e - mail reduce nightly rate start , especially favorable exchange rate . emphasize enough enjoy city Fairmont hotel join president Club . free entitles free internet local call , free health club , treatment like special guest . also get special e - mail offer reduce rate select Fairmonts select date . check late day Christmas friendly reception employee give we lovely room marvelous view Cathedral 15th floor although original booking call less room . find nice , time right , right person , well fairmont ultimate room assignment . room , though large , nicely appoint , clean nothing place . bathroom , though smallish ( Fairmont trait often seem ) , fine , excellent order , everything work strong shower . plenty towel . one day upgrade television flat panel matter . wife need microwave warm heating pad problem shoulder since , explain , medical reason heat food would incurred additional charge , promptly provide charge . robe also promptly bring razor shaving cream call explain forget razor . hotel centrally locate main train station direct access Amtrak , subway , maze underground shop wind way downtown . never eat restaurant , choose take quick elevator ride two flight numerous food shop surround train station morning coffee muffin ( although coffee maker room ) . free ( President 's Club membership ) health club pool well equip maintain . staff extremely friendly accommodate entire three night visit . hotel easy two block walking distance St. Catherine Street shopping district among attraction . really speak thin / noisy wall might base review since hotel fairly quiet post - christmas disturbance seem would problem . service complete first day , receive reminder call call housekeeping advise room could make since stay room lunch time . find gap Fairmont level service stay 5 separate Fairmont Hotels year , Queen Elizabeth may good service . 
 Dec 9 2008 	 great location want downtown core 	 get great rate online pleased able go shopping , access train station metro without go outdoors . great service : forgot daughter 's stroller lend we one three day . 
 Nov 26 2008 	 Decent hotel great city 	 upon research hotel Montreal , call Fairmont Queen Elizabeth . offer great deal sign President 's Club . location hotel great . attach underground mall sure vital bad weather . front desk staff friendly check easy . however , room like room chain hotel . President 's Club not feel different . also first night noisy one since room overlook major street . next morning hotel staff accomodate change room one across hall . unfortunately still not get good night 's rest consider hear neighbor next door . overall , staff hotel wonderful . location ideal breakfast restaurant good . regular room light sleeper may want reconsider . 
 Nov 24 2008 	 enjoyable stay 	 long strike well truly everything back normal stayed . the staff friendly foyer area nice . the room huge certainly large enough room clean bed comfortable . price also fine . there great food court shopping centre also attach hotel . I would stay . 
 Nov 12 2008 	 great location shame strike 	 see previous comment effect strike . check effect strike clearly explain we front desk .It would nice bar restaurant open big deal we .The staff service room every day staff Montrelais breakfast could not helpful .The concierge desk superb - they get 3 restaurant recommend we great advice thing .great location go metro .Also want small breakfast take back room easily able get take away numerous place lift staion level . 
 Nov 10 2008 	 disappoint 	 disappointed visit Fairmont Queen Elizabeth . hotel strike - make aware book hotel stay . husband away romantic anniversary weekend deeply disappointed find staff bare bone ; pool , sauna , hot tub fitness centre close ; room service ; bar restaurant hotel close maid service . refuse give we money back show room , tiny hotel room would ever ! needless say , affect ' romantic ' weekend . will not stay . 
 Oct 26 2008 	 4oth wedding anniversary 	 gorgeous hotel ! stay many time long count time exquisite . say read negative comment cleanliness strike ( labour disruption ) never find problem . room make every day clean towel thing put away . actually ask clean know hard work . upon arrival plate little petit fours wait room . nice even labour disruption ? also staff Montrealis restaurant morning could not kind . fact , see someone drink cafe au lait ask could buy 4 bowl allow . also last day hotel speak clean staff room 20 minute later arrive tray Baileys , 2 glass , 2 bottle water carousel tiny baked good wish we happy 40th anniversary . nothing wonderful thing say hotel hope back soon 
 Oct 17 2008 	 favorite hotel ever 	 family 's favorite hotel time . 's beautiful hotel downtown Montreal , heart ( opinion ) good city Canada . hotel connect train station ( across way ) underground tunnel . 's also connect underground city Metro way . weather bad Montreal , winter , walk underground Catherine St catch metro without step outside . the room hotel amazing .. say ? not get well marble lobby bathroom . always give corner room spacious everything high end , bed robe linen . there wonderful pool gym low level . pool smallish beautiful , gym top notch ' ve never see busy . complaint hotel old daughter ( 20 ) treat poorly take young brother pool husband go gym - on two different occasion - and two different staff . 's young look 20 yr old rude .. surprised customer service training happen mention staff . aside , be great hotel heart downtown . ' ve stay many time - with without kids family never disappoint . 
 Oct 16 2008 	 Fit Queen ( princess ! ! ) 	 excellent location right train station . convenient take AMTRAK back New York City . hotel worker strike , bellman help luggage towel locate hallway elevator . minor inconvenience . excellent room large bed , plenty pillow great big bathroom . Carpet & quot ; gushy & quot ; really enjoyed go barefoot ! ! ton room walk around . consider limited maid service , room spotless ! ! vision front desk guy suit clean toilet make bed . sick funny humor ! ! great location train station make easy access food court main terminal walk underground passageway shopping mall 's food court = handy spending last & quot ; loonie & quot ; get souvenier ! ! GREAT hotel , GREAT location , exceptional room amenity ! ! 
 Oct 15 2008 	 total hospitality failure . zero star 	 Holiday Inn masquerade 4 star hotel . Location ( central train station ) one redeem factor hotel . obnoxious intrusive staff rude unprofessional . would never stay could never recommend other . real disappointment otherwise enchant city country . 
 Sep 29 2008 	 good enough fairmont 	 understand labor issue quality service might decrease person impress stay concierge . front desk people abrupt due strike room clean stay . also evident cleaning stay clean room base basic standard candy wrapper bed bloody napkin end table ... view Mont Royal amazing think would stay . 
 Sep 27 2008 	 still nice stay - regardless strike ! 	 stay Fairmonth Queen Elizabeth 2 night September , 2008 . feel bad crossing picket line gain access lobby , fly night Montreal , need room . front desk staff front strike give we opportunity book somewhere else . choose stay give we early check . friendly courteous , come expect Fairmonth property . room upon check clean bed SUPER comfy . the good thing property location ! walk everywhere - shop , Old Montreal , St. Catherine 's , Crescent Street , Bell Centre ... great ! couple time really wish room service , due strike restaurant house keeping shut down . we not let strike hinder great time Montreal - still think Fairmont Queen Elizabeth great hotel ! 
 Sep 23 2008 	 still good 	 stay many place Montreal year , Queen Elizabeth still rate top , value , convenience , size room , cleanliness , young , top quality helpful staff . room spacious , without sign wear tear prime location . various concierge attendant right analysis local restaurant , gracious , helpful patient almost fault . hotel warn advance ongoing strike , pick clean towel make bed , five minute chore , staff duty incredibly helpful , accommodate polite , surprisingly quick respond . room perfect order arrive , check take three minute . recently problem internet service Boston hotel ( $ 1200 night ) take hour staff member appear correct problem , internet service still cost extra $ 12 day . half room price , internet service Fairmont 's gorgeous hotel free sign President 's Club ( charge ) , problem break cable , ( despite strike ) appear less five minute new cable . hotel may attitude , nothing beat Queen Montreal . thank , Fairmont ! 
 Sep 21 2008 	 Fairmont Standards 	 conference take Montreal business mid - September . we know middle strike decide stay excited stay Fairmont property . manage fine strike ( even real housekeeping six day ) . towel washcloth stack table floor . come make bed couple day . sheet change . regardless strike , would disappoint property . date room need major renovation . Dark , drab , small room high room price . compare Fairmont property stay U.S . location indeed good . staff everything could make strike . next visit would definitely stay somewhere else hear many comment other conference thrilled hotel .... many great choice Montreal . 
 Aug 31 2008 	 good siege 	 hotel 27th 29th August . room delightful regularly service strike . one sympathise low pay staff work hotel , striker seem pleasant enough , cheerful latin music pavement outside quite fun . restaurant shut breakfast still serve , really quite excellent , work 4 sous chef still turn . management splendid good keep hotel run guest already book . breakfast waiter impeccably suit management seem rather enjoy sharp end proving could still . many management obviously work double shift keep show road . hotel return computer power lead leave Royal York Toronto , part bill deduct apology lack service . still good .. 
 Aug 25 2008 	 beware ! least work rule 	 finish stay book knowledge union trouble . day go without room clean ( not even bother tell , know happen ) . People scavenge towel cleaning cart sit hallway unmoved hour . even mini bar remain unattended ( watch someone pop room grab beer cart ( unattended hour ) pop back room . doubt run room ! Royal Service line ( force call get anywhere - even concierge front desk - take 10 - 20 minute top route another line wait . concierge bad come across many good hotel . know nothing useful , singularly unhelpful provide ( experience ) information plain wrong . it bite amusing first see union member short shirt ( cap name tag ) , lose comedic impact . union employee seem intent make stay miserable . work . the hotel plain dirty right . people snarly . feel bit primal .... every guest themselves . I stay many time bizarre . solve issue employee , stay far away . 
 Aug 25 2008 	 never . 	 nice suite corner high floor ! disgraceful . Beaver 's Club classic casual restaurant overdone food bad . big , feel . location pretty good buisness would go back . 
 Aug 24 2008 	 nice 	 little late review well late never . good place stay . clean , pleasant staff ( even help little French , course make sure ask not busy ) . good location although agenda make drive everywhere 's due bad location . night club high rise across street bring interesting people area , also long weekend people play . parking available $ 25 day . try luck park street morning last day ( labor day , monday holiday ) get $ 150 parking ticket . OMG ! 1 ) guess parking restriction apply holiday 2 ) separate sign restriction 6 - 9 aside sign restriction rest day not forget signage parking spot # pay . 3 sign one set parking space . 3 ) ticket 5 minute 6 must wait we tourist mess , not one . 4 ) $ 150 ! ! ! ! even NYC not steep . hotel fault shame Montreal ! 
 Aug 10 2008 	 much 	 stay Fairmont midst hotel strike review might little taint . worker strike management try fill . room clean check , never clean . call towel , shampoo , coffee , etc . , bring room . pool close restaurant almost everything else . buy ticket hop hop tour ( whick really like ) desk woman tell we door 11:30 would pick take start tour . 11:25 , bus come 11:40 drive 2 block drop we . say next bus would 12:00 miss 11:30 . waste 30 minute would walk 2 block start tour catch 11:30 . arrival hotel confusing drop luggage door street level . direct underground garage park . since valet strike , luggage rack unload luggage , drag almost city block elevator take main floor hotel . transfer luggage seperate elevator get room . exhaust frustrated time finaly get key go room . room okay . dirty carpet , coffee pot not work , tiny bathroom outdate television . bed pillow wonderful ! location great , would nover pick hotel stay . first time ever disappoint Fairmont . 
 Aug 7 2008 	 arrive strike take toll 	 arrive Tuesday August 5th warn upon check might & quot ; sporadic & quot ; problem service due labor strike . tell room would make , find unmade please call . restaurant open tell pool would open time . delightful high tea celebrate arrival Montreal ( delicious tea scone ) . never service room though . wake loud whistle loud music , strike worker gather street directly room ( floor 6 ) . read someone stay GOld floor disruption service , find , unfortunately . management friendly staff walk ? sympathetic strike worker , husband annoy even though ask anything & quot ; unusual & quot ; go hotel ( like construction , anything else could disrupt stay ) book ten day advance , give warning . real problem book family holiday ( young kid ) room service , restaurant close ( happen two hour check ) not warn likely , jetlagge kid get hungry late night food safe , comfortable way feed . end luckily find open place train station ( hotel ) 11 pm . Fairmont management decide open one restaurant breakfast ( buffet ) limit period morning next day post bother inform guest room ( miss ) . offer free in - room movie ( get message room phone entitle free film ) , much compensation service room , carpet everywhere get dirty dirtier . people stay duty nice , really little could make stay comfortable . feel hotel management front arrive really downplay possibility serious disruption hotel service . two day later move different hotel Montreal . word warn , Fairmont hotel affect strike . several chain , book Montreal , make sure strike end , research choice carefully book . 
 Aug 5 2008 	 maybe next time 	 family three stay Queen Elizabeth one night experience . good thing : location close Old Montreal , underground city , subway , & amp ; Science Centre . bad thing : hotel worker union strike ( travel agent know ) staff hit miss . room service take well hour , forget speak concierge housekeeping lack . our double room small . crumb bed / desk chair telephone mess . one night delt . daughter disappointed pool ( small , salt water ) floor around pool health hazard . buffet breakfast good include rate . would like stay Montreal , maybe Ritz . 
 Aug 3 2008 	 satisfy 	 extremely satisfied stay Fairmont Queen Elizabeth Montreal . book WhataHotel , room much nice room book six month early . staff courteous location excellent . 
 Jul 29 2008 	 charmer 	 stay Queen six day attend conference think hotel really quite lovely . work stoppage , service speed , although management try hard make stay positive one . room nice good view quite adequate size . fitness center top - notch , . plenty restaurant near basilica across street . , nice stay . 
 Jul 28 2008 	 beautiful room 	 stay one night really love decor room , perhaps small side not really anything large . unfortunately , strike , rubbish floor corridor well bed linen leave housekeeping staff . besides , location great , centrally locate downtown quiet comfotable . staff pleasant helpful ... would definitely stay 
 Jul 26 2008 	 Fairmont Gold Golden 	 wife spend two night Queen Elizabeth Gold room . third time hotel , first time Gold floor . magnificent . note labour dispute / negotiation underway , expect subpar service thing do , etc . contrary , service excellent . we drive greet promptly doorman steal quick look luggage call name . pretty cool . take private elevator ( gold floor ) gold floor reception . quick personal service . person know right away third stay . nice thanked & quot ; come back . & quot ; Room large thought have ( website say room 375 sq ft . -- can not . 's small mean ) . Bathroom smallish , okay . room nicely tastefully furnish , subdue gold dark brown tone . electronic safe & quot ; technical difficulty & quot ; stay . coffeemaker room . large workdesk , sit area . spacious two . room look west , right top cathedral next door . nice view Blvd Rene Levesque night . Breakfast include , idea continental include crepe , scramble egg , sort fruit , cold cut , smoke salmon , pastry , oatmeal , etc . nice spread . from 5 - 7 evening 's large spread goody , sushi , smoke salmon , pastry , many delicacy . literally dinner there . btw , day , till 11 pm get drink , water , soda , coffee , tea etc lounge . service attitude excellent . all , enjoyable stay . 
 Jul 14 2008 	 Great Location 	 husband ( 2 ex - Montrealers ) come back visit city July 7 - 10 . book regular room offer upgrade gold level $ 50 ( day ) . stay 19th floor room newly renovate . gold service include private lounge fabulous view serve breakfast , evening snack , cold drink available day / night . internet service free , maid service twice daily newspaper choice . also concierge desk helpful staff - not need go main lobby check out . the room nice & amp ; great view - however enough drawer / storage space . okay , want watch tv channel French . one amusing thing - lobby . husband high school graduation ( be 40 's ) lobby decor still ! possibly John Oko stay ? not affect we hang there . location - pick hotel 's great location - walk Old Montreal , along underground ( Place Ville Marie , Eaton Centre , Place Montreal Trust , etc . ) St. Catherine Street . plus train station ( Central Station ) right downstairs , nothing walk Metro catch bus ton cab available . plan stay Queen e next year . 
 Jul 11 2008 	 Great Hotel 	 recently return week stay Fairmont Queen Elizabeth , enjoy beautiful junior suite $ 330 per night . suite include bedroom , sit room , two bath , robe , great view . ( initially book & quot ; apartment & quot ; elsewhere city - upon arrival find accurately represent photo post website . ) acceptable we , call Fairmont receive great service reservationist . arrive hotel suite ready , fine since call 15 mintue early . pascal , front desk clerk take great care we , give we two free drink coupon bar wait . staff friendly accommodating . the hotel great location , within walk distance Vieux Montreal directly central train station . station , great bakery coffee shop , connect vast underground shopping mall . the hotel great fitness center several treadmill , eliptical , strength training equipment . also pool , bit cold , sauna , jacuzzi whirlpool . hotel offer tea service afternoon lobby , quite fun . order room service twice . prompt , food correct temperature , delicious beautifully present . enjoy stay much . 
 Jul 9 2008 	 disappoint 	 expect would . upon arrival , advise hotel midst labor strike service available - even though pay & quot ; Gold & quot ; level service - whatever suppose mean . realize pay service totally unavailable , request room change move 21st floor . clearly , renovation hotel may begin get . carpet interesting shade pink comfortable walk around without flip flop . curtain bed cover obviously remnant 80 's . furniture beat tired looking . comfortable place stay Montreal see site , would recommend . close enough anything make tired place worth stay . 
 Jul 8 2008 	 Beautiful Hotel Clean Room Great Location 	 stay Montreal Jazz Festival . GoodOverall room bathroom clean . nice appointment furniture , robe bathroom . downtown location give easy accessibility Jazz Festival ( 10 min walk ) train station ( next door ) . hotel lobby nicely lay restaurant tourist shop . the Good Room little small used hotel rating class . read prior review Tripadvisor guest state thing booking . hotel worker join strike hotel worker many hotel Montreal imagine service present change room handle bag . fortunately we check day strike happen . however see management step try bring luggage room cart leave hallway fresh towel , soap , etc . 
 Jun 22 2008 	 back ! 	 expect 5 star hotel ! travel world business stay cost lot lot less 5 star hotel . firmly believe get pay ( not mind pay ) , except time ! room small , renovation complete ( least hope , bathroom really need ) , carpet hall way hazardous bulge . definitely clean . I Fairmont Queen e conference , stay eight night . fourth day realize red bump ( scabbe quickly ) around neck head ear - morning , bed bug bite . hotel staff try convince due allergy laundry cleaning chemical ( change bed new clean vinegar / water ) advise talk doctor get home . confirm bed bug bite . refuse kind compensation this . the good part stay location . handy everything else could possible need ( site , shopping , culture , night life & amp ; food ) staff pleasant . tour informative . spa fabulous ! would highly recommend spa , would stay elsewhere . 
 Jun 13 2008 	 Nice 	 Hotel conveniently locate walk distance old Montreal . give reputation hotel , bit disappointed . carpet room elevator lobby floor ( 20th ) buckle need stretch . would easy trip . also find room quite warm , spite a / c on . everything clean calibre expect . expectation high , think . 
 may 17 2008 	 nice ! worth check ! 	 Fairmont QE centrally locate heart Montreal . husband stay three day ( conference ) . although room small , comfortable . like fact could walk everywhere also close museum shopping . downside everything hotel expensive - $ 12.50 drink , $ 8.50 bottle evian , $ 1.70 snicker bar . otherwise , would recommend hotel .. 
 Apr 20 2008 	 gold floor -- gold service 	 Queen Elizabeth charming hotel fantastic location -- close business , restaurant , shopping . gold floor modern comfortable . lounge offer appetizer breakfast daily . also view city internet access . service excellent would highly recommend gold floor QE Montreal anyone . 
 Apr 18 2008 	 use 	 business traveller , use stay Fairmont time . second time row Queen Elizabeth change room middle night . try , time , room quiet , alarm empty room next mine wake we 6 am . pool downstairs full group biker , dirt ring 5 cms around jacuzzi . diner last night room service mix , therefore 45mn late , breakfast , coffee never serve leave ... finally , walk room tonight , security floor guest smoke , swear room ... hotel seem ripe party goer , business traveler family ... avoid either situation ! 
 Apr 17 2008 	 rate Hotel . save money stay elsewhere . 5 star quality . 	 hotel claim 5 star hotel , really ordinary hotel inside . room plain small . parking valet run outside company hire rude unclean people . valet rough vehicle not surprised get scratch vehicle . know ... $ 15.00 night internet service , $ 26.00 day poor valet parking service , $ 1.50 per local call , rude valet hotel staff , andhousekeeping clean room early morning ( prepared put distribute sign go bed ) . would rather stay Holiday Inn Express save $ 100 night ! ! ! ! 
 Apr 14 2008 	 Weekend Queen Elizabeth 	 high hope hotel . stay Fairmont Mont Tremblant . nice hotel many positive , perfect . room fairly small bathroom tiny , nicely do probably expect city hotel . driver bring we Mont Tremblant tell we good hotel city service , find one two aspect little disappointing . first , lovely selection Fairmont tea room kettle . ask twice kettle produce seem take forever . staff member bring , realise heating work , try fob us firm agree look ! ( room cold snow heavily outside . ) appear computer control switch , problem sort . despite fact three us room , get 2 cup ask third , maid take away second day ask ! minor issue , irritate . surely know staying room ? public area hotel beautiful staff reception helpful . Sunday business centre close , receptionist check we flight print boarding pass , save we lot time . the food bar excellent staff really helpful friendly . the hotel really well situated sit top railway station excellent shopping mall really good food court . get excellent breakfast station $ 20 three people . the old port 20 minute walk hotel main shopping street 5 minute away . the main downside large hotel tend noisy . always door slam somewhere along corridor lift always crowd . overall really enjoyable stay Montreal . 
 Feb 24 2008 	 expect ... 	 stay one night - business trip . stay 20th floor . expect . one four lamp work burn light bulb . office space small . desk tiny position odd way allow watch tv ( even thou tv pull slightly rotate ) . decor room old stale . marble bathroom feel like design tiny person . sink small hardly counter top space . truly expect hotel since holds & quot ; Fairmont & quot ; name . quite disappointed . the good thing hotel location . 
 Feb 18 2008 	 Gold Service - nice room small 	 wife book Fairmont Gold section hotel 19th Floor . room cost around 350 $ one night . service good however , room ridiculously small bathroom tuck away like closet . room suite mean one big room . stay large room travel lodge . four poster bed nice , however television place location one side bed could not watch bed post way . maid walk room , not even knock . glad leave hotel honest would not stay . 
 Feb 10 2008 	 good experience Queen Liz 	 two night return home Calgary . get suite upgrade stay fabulous . hotel walk distance good shopping food . also close Latin Quarters Chinatown . suite 1 full bathroom inside bedroom 1/2 bathroom living room area . Miller Harris toiletry per usual Fairmont Standards . gym facility spacious clean . noticed hotel staff find unusual request afternoon tea send hotel suite quite customary Fairmonts western Canada . hotel staff exceptionally helpful friendly = ) 
 Jan 29 2008 	 Great Location 	 stay Fairmont hotel 3 night find great location . go summer , walk everywhere problem . 2 minute walk Saint catherine st 15 min walk old town . staff friendly help get we around . never order room service plenty place eat around town . breakfast great . would recommend stay want central everything . 
 Jan 22 2008 	 good location pricey 	 stay business 3 night December 2007 . hotel excellent location , connect extensive underground mall close transportation ( train , subway , lot taxis ) . main shopping street also close . number good restaurant . dine hotel ridiculously expensive , would skip eating go outside . one recently renovate room , quite satisfied accommodation . price , certainly not exceptional . overall - overprice food accommodation , well locate clean quiet . 
 Jan 15 2008 	 well ... well ... 	 well ... kid 's love stay Fairmont Hôtel ... Château Frontenac .... decide try one Montréal ... QE ... guest employes not contract ... certainely not feel ... room nice .. except bathroom floor need dusting ... Certainely Château Frontenac well Valet Concierge service far ... 
 Dec 19 2007 	 Loved QE 	 arrive train , location phenomenal ! winter , easy access underground mean could walk everywhere comfort . room mid - sized , spacius enough two , quite nicely decorate . great view ! hotel lobby quite spectacular . would definitely recommend be visit Montreal . 
