San 	 average overall fine need . Thought would japanese hotel really refurbish hotel 80 's japanese decor . still , staff pleasant . room good size great big bath - probably good thing room ) twin room plenty space . 10 min cab Union Square 20 min bus ride outside . room idea restaurant like . Filmore St min walk roab interesting shop + restaurant . 
 Jun 24 2009 	 place stay SF 	 lot research deciding spend 4nights SF Hotel Kabuki . retrospect , great choice ! value - great value respect comparable hotel consider . legitimate 3.5 hotel opinion , great part city . get great internet rate $ 90 / night deluxe - view room , low comparable hotel Fisherman 's Wharf , Union Square area , Embarcadero . plus , hotel come free internet in - room fridge ; self - parking $ 15 / day . Union Sqr Wharf hotel charge $ 30- $ 50 parking per day . boot , upgrade we Corner View Room free ! Room - Corner View Room 10th floor , great . spacious room , nice comfy bed , nice bed linen , thick bath towel , clean carpet . other comment , bathroom magnificent . separate shower deep sink tub next . tub great soak . bath salt provide , though , great . actually get real japanese hot spring bath salt ( sell package box ) nearby store Miyako Mall call Ichiban - Kan. much well . room show wear tear certain spot , overall well - keep . big problem free wireless internet extremely spotty connection . location - impression Union Square Fisherman 's Wharf area might good location city . hindsight Hotel Kabuki 's location work well . Union Square area lot brand - name store convenient BART Chinatown , etc . SF check brand - name store , 's lot homeless presence area . Fisherman 's Wharf area hectic touristy . hand , Hotel Kabuki connect Japantown mall load great japanese shop restaurant ( recommend Sophie 's Crepes great crepe gelatos , Benihana Mifune lunch ) . enter eastern end japantown mall directly hotel lobby walk across mall western end will right Fillmore District load cafe , eatery shop line Fillmore St ... one cool hangout street SF . 20minute walk north hotel get Union St , another street fill shop cafe . service - free room upgrade major plus . down - side , many basic thing hard time getting supply we . like shampoo ... never give we new shampoo , even run third night . another time need plate front desk tell we would could get restaurant room - service closed day every housekeeping staff busy . end take 30minute get plate nearly long get extra shampoo . not know place short - handed . Housekeeping 's pretty good overall , little bit quirky ... like supply new shampoo one day give we less number towel . , major issue . 
 Jun 23 2009 	 Nice Place stay Japantown 	 stay week daughter UCSF . location fine since want place far hospital . view room 2 double 11th floor . room quiet , could not even hear ipod playing loudly next door go hallway . everything clean bathroom spacious . liked separate shower tub , plenty hot water . bed comfortable , although 2 queen size would better . daughter enjoy free wireless internet could & quot ; stay connected & quot ; trip . think strange though share balcony room next door . would think might security risk . one complaint parking . almost $ 40 / night & quot ; valet & quot ; parking service , mean park car parking lot right front door . park lot still pay $ 40 . last night lot full find alternate underground parking garage $ 15 overnight could take elevator garage straight 11th floor ! much well bargain convenient . 
 Jun 22 2009 	 comfortable welcoming 	 stay hotel visit first time San Fran . good thing make first hotel 6 day trip , day trip plan elsewhere . stay 2 night . we love everything Hotel Kabuki , regardless fact bed , course happen Sleep Number bed . book one King Kabuki Rooms , not regret one bit ! bed one small problem right side , not even work properly use controller . another problem unable soak & quot ; deep tub & quot ; everyone rave . ( wish work we , though ) would nice , since walk day put many mile walk steep hill ! get time bath , knob faucet come loose fall ! Whoops . unable get work point want bother staff minor issue . go bath ! however shower head amazing time . room bright clean everyday . Breakfast offer end lounge area , awesome see morning ! be wonder staff , everyone pleasant . treat guest , willing accomodate request . even go far flag cab car . ( not do much , come midwest ! ) wonderful people hotel . really , could not wish patient people hotel people serve you . we eat din area seem kind spendy , expect , 's restaurant inside hotel . otherwise many food choice along street . lot cheap good sushi area . you will not regret stay . staff amaze . quick cab ride Union Square cost $ 7 . walk many sight , see ! 
 Jun 21 2009 	 Neat Hotel - worth visit 	 stay 2 night hotel . room nice , 6th floor would prefer high level floor view directly someone 's apartment whenever go onto small balcony . think value great price would definately stay Kabuki future . flight leave 5 a.m. rental car , park car street front hotel night leave gararge close sometime midnight not open 6 a.m . meter free 6 p.m . staff hotel professional rude way . arrive room , heat working , call someone come repair system immediatley . black female feel though treat unfairly time . can not say would happen ask different room . since spend 3 day wine country great time much matter . use bus system hotel even though car garage . staff knowledgeable always give we great direction along map and/or bus number destination . 
 Jun 9 2009 	 Quiet Elegance 	 2nd stay Hotel Kabuki . tower room beautifully decorate , bed extremely comfy always enjoy japanese - style soaking tub . staff always helpful courteous . place relax long day sightseeing business , away hustle / bustle Financial District . locate Japantown , many awesome restaurant nearby . 
 Jun 7 2009 	 Kabuki excellent 	 love Kabuki . 's japantown location wonderfully tranquil allow plenty low - key walking - distance eating activity . begin recapture feel glory day ( Miyako Hotel ) . 
 may 17 2009 	 Relaxing Stay 	 husband stay five night Anniversary April could happy ! stay corner king room wrap around balcony great view city . bed comfortable , bathroom large deep tub perfect long day walk . we never hear traffic outside neighbor . hotel staff friendly helpful recommendation place eat price range . breakfast hotel high good . free wi - fi fast never crash . use often . tea service prompt fun . room service prompt burger great . price high , room service not ? Kabuki centrally locate SF not take 10 min get part city . Japan town small get friendly neighborhood see slice everyday life good food away bustle tourist horde easy access public transportation take . the hotel courtyard Japanese Garden connect mall . portion mall hotel connect small cross courtyard pagoda rest mall large many interesting shop . definitely back ! ! 
 May 17 2009 	 Great Location Cozy Hotel Nice Price ! 	 husband love recent stay Hotel Kabuki . neighborhood perfect ; initially afraid would quiet , lovely . japantown interesting , excellent shopping restaurant Fillmore short walk away . share space Hotel Kabuki start show age ( elevator & amp ; hallway , ) room ( deluxe corner king ) clean , bright , spacious , invite . bed amazingly comfortable . soak tub ... ah ! fabulous ! problem whatsoever service gladly stay future trip San Francisco . great rate Travelzoo . 
 May 12 2009 	 nice hotel price safe location 	 boyfriend Texas want go San Francisco , watch travelzoo good price hotel San Francisco . Hotel Kabuki come $ 75 / night , check review tripadvisor decide go . price seriously can not beat city . able park valet lot front hotel check decide pay extra money valet parking . read downstairs parking privelege lot close like 2:30 - 5am something . must say checkin , see sign clearly post counter note $ 50 fee checking hour use self parking . drive half block get parking lot , however stretch underground Benihana hotel elevator , find necessary unpack valet parking park right hotel elevator . neighborhood seem clean safe , experience issue noise read people . city noisy place , not think 's anything hotel could help situation . sign loyalty club visit give we view upgrade 13th floor . balcony narrow , perfect view city . love soak tub , go Lush union square get bath goody . noticed people mention rude staff review , one bad thing say staff . seem friendly helpful . fact , one girl desk spend 10 minute we discuss different type public transportation , much cost get . definitely go back ! 
 May 11 2009 	 could friendly would ok 	 boyfriend find staff kubuki rude . moment come time go . call make reservation early find would ok bring large mellow dog . course lady speak say would problem long dog behave . even call back head city confirm everything fine . course , person phone say problem . arrive act try pull something make we feel completely unwelcome . finally get check much grumbling whisper behind counter , want quickly unload car take car garage . not want valet parking would not let we use cart move luggage beg . the room ok . obviously cover crappier room exist . advertise balcony enough room one person stand one pass behind they . the good part save grace place bathroom . rock . deep tub shower room nice vanity area . bed really comfortable room large . we purchase food package eat restaurant room . food excellent , little price . not credit bill first check go back ask re - do . deal luggage cart , except time boyfriend let guy know think ... 
 May 10 2009 	 great value great neighborhood 	 get great price online . room large , comfortable , nice sheet , room little worn , nice soak tub room . good , understate service . love neighborhood - japan town border pacific height - peaceful street , san francisco 's good restaurant within 1 block radius ( Kiss Seafood Quince ) , Fillmore Street block away breakfast , shopping , restaurant . cab hard find SF , place great put foot one SF 's bes , non - touristy neighborhood ( use live neighborhood especially welcome ) . 
 May 10 2009 	 okay 	 would read review african american woman travel alone post month ago . ' ve similar experience , not want let negative experience influence . sure enough , initially give crappy room . must say room change ( take ) , stay okay . location great . lot great restaurant area ( try 1300 Fillmore ) . six dollar cab ride downtown . club room spacious . although need upgrade . continental breakfast enough hold we ' til lunch . overall expect hundred buck night San Francisco . 
 Apr 27 2009 	 beware ! 	 actual hotel okay . be average , beware . flight leave 6am , leave hotel around 4AM . try leave go airport , self parking garage tell park close . say want get car need pay regular parking fee plus extra $ 50 . know nothing guy front desk point little piece paper write . , extort $ 50 would not even let put credit card . make pay security guard $ 50 cash open garage gate . 
 Apr 23 2009 	 wonderful extra 	 get right hotel . wonderful little extra , soak tub bathroom , tea pot room balcony view . front door staff front desk staff friendly helpful . spotless room safe , large closet , walk bathroom , seperate toilet . two shower even , mine standard room . there japanese garden pond . quite business center . room 2 bed comfortable . provide bath salt , want . soak long day , feel ready go nightlife . across street lot choice eat . 50yrds 3 busline . parking $ 15 garage connect hotel . we pay $ 84 , great deal . 
 Apr 21 2009 	 tub good noise bad 	 ' m sit room write . room great , tub great , bed great . unlimited hot water . neighbor must croup emphysema something apparently like close bar . street noise horrible . siren , bang , people without muffler , motorcycle racing - till midnight every night . ' m educational seminar get sleep ruin experience . heavy sleeper - go ! maybe floor high would o.k .. 
 Apr 20 2009 	 nice place stay ... 	 hubby stay Kabuki want reconnect Japantown , place fond memory long ago . disappoint . happy overall stay . come early able let we room , corner king wonderful view . room wonderful . spacious , great bed great tub bathing area . nice oriental decor , overwheleme . bring kid next day staff accommodate ( great around ) even provide we crib . room spacious enough two kid ( 4 ) love bath ! japantown nice much see . even able visit Fillmore block away . one thing would nice coffee maker room . without nearby coffee shop , resort room service not always cheap , coffee good . also , be & quot ; welcome tea service & quot ; mention ( JDV ) website . kettle tea pot room , nothing asian tea selection - orange cranberry ( ? ) . also , hotel give spa - like feel nice bath nearby spa , not expect spa - like amenity like good bath product luxurious towel , although robe nice . internet access work fine room park convenient japantown center garage ( $ 15 / day ) .Overall , really nice place stay would definitely go back . 
 Apr 13 2009 	 spacious room 	 stay Radisson Miyako name change Kabuki , much change . the king bed room spacious balcony share room next door . be mainly balcony view standing room , view sure nice . room feel bit old new time . the bed awesome . work desk chair great we spend time work hotel room . room feel nice enough be spacious , stay fine minibar stack full tasy bag chip , candy etc , good stuff . small desk couch well . room also small closet space clothe safe , little vertical space hang pant shirt bite annoying . the bathroom split toilet awesome japanese bath . bath huge 's kind different bath salt try . certainly great place relax good part Kabuki experience . toiletry nice whole bathroom feel nice homely state art fashionable get uncomfortable . 's enough space toiletry etc well . the bar lobby usual hotel bar . breakfast room basic food mostly comprise usual american breakfast , allright , nothing special . the location awesome want Japantown right next great restaurant Fillmore not far , downtown San Francisco experience , be quite walk Union Square ( 18 - 20 minute ) , cab cheap . still , location feel nice downtown homeless people roam around , want step hotel get Starbucks / fast food / shopping fix , far . 
 Apr 12 2009 	 great hotel great location ... awesome room ! 	 receive room upgrade end king corner room soak tub ... gorgeous , room spacious view window nice although choose room balcony view ( something live without ) bathroom bath tub Excellent provide need great bathing experience . check complimentary tea nice touch . the wifi access patchy say least , ask concierge say provider could nothing well trick quick internet check . the Kabuki spring Spa ( access book website ) nice massage good place quite openly gay ... prepare see funny thing go ... SF ! ! room clean one day come back ask reason tell probably disturb sign door ( case ) . maids leave 6 ... room although bring fresh towel rest . the concierge rest staff great providing direction , change , service , etc . the Izakaya restaurant serve delicious food . the hotel nicely connectec Union Sq bus number 2 , 3 4 ( think ) also 38 come back Union Sq . bus 22 go Castro stop 2 block away . all place much thought would something totally recommend 
 Apr 6 2009 	 want like .. 	 choose hotel location great , near Fillmore far haight . know would noisy use not bother . give big king room comfortable first two night ruin horrifically inconsiderate couple scream swear whilst little kid cry . manage least give new room sleep thankfully couple leave whatever horrible life create eleswhere . would nice hotel clean dirty diaper leave outside room time spend . rest stay ok except tv reception stop work give half hearted & quot ; nothing sir 's win ' response . give try get fix . internet service really patchy perhaps band width enough people stay hotel . frustrate try use business . one day stop work altogether restaurant close Monday Tuesday pain plenty restaurant area . also open lunch . however eat think food good staff pleasant . staff hotel mixed bag helpful surly useless . think need work quickly . average hotel need sharpen 's service . sure would stay frustrated tv internet mayt petty stay place two week business good able relax room watch tv night . 
 Apr 6 2009 	 Native San Franciscan give thumb ! 	 husband live so.cal take two young child , 3 yr old 10 month old SF . know SF way , like stay centrally locate , be close great restaurant , neighborhood , shopping , museum park . prefer stay 's touristy . location hotel perfect give direct access beautiful neighborhood good restaurant always hide , be quick cab ride theatre district downtown . arrive hotel staff extremely hospitable , check quick easy . room clean , neat cluttered . stay suite kid able play ; old son room puzzle , play read . baby could crawl around get hurt . perfect . bed literally one comfortable bed ' ve ever sleep . give hotel 5 star rating ! definitely return . 
 Apr 6 2009 	 soak tub . 	 husband spend 4 day San Francisco , get away . hear traditional japanese bath , sell . Hotel Kabuki disappoint . room lovely , sumptuous linen , beautiful view city , tub ! ' m still pine . doorman help we arrange rental car day trip Muir Woods , front desk courteous , clean crew keep room tip - top shape . we snack cocktail Izakaya Lounge yummy . price consistent hotel restaurant , menu nice variety . find tasty ( affordable ) food nearby Japan Center . 's hardly shortage great food San Francisco go , explore , eat ! 
 Mar 26 2009 	 good bad ... 	 college - aged daughter stay Hotel Kabuki Friday , March 13th Tuesday , March 17th . good thing good thing hotel . good thing first : arrive SFO early allow check prior noon . nice . room lovely - plenty room , two comfortable bed , nice amenity include comfy robe ( nice touch ! ) . bad : extremely loud street noise ! ! location perfect , right corner overlook Geary day night could hear street traffic . wireless internet , free ( good ) , terribly slow , could even get connection ( extremely frustrating college kid addict Facebook want post daily update ) . also , stay hotel four night , odd dresser room . place unpack suitcase . $ 10 credit day restaurant . use one day continential breakfast - danish probably day old fresh fruit great . mini bar ( nice touch ) two bag chip past freshness date . , nice place stay , alittle attention detail maybe sort noise cancel option street noise ( white noise machine , maybe ) . thank , though , staff could not gracious lovely time . 
 Mar 25 2009 	 quite like Miyako still good ... 	 Hotel Kabuki , formerly Miyako Hotel , reinvent part JDV hotel group . quite used look old school japanese style ( like japanese breakfast could get restaurant ) , remain good place , especially like quiet pedestrian friendly environ Japantown 
 Mar 25 2009 	 wonderful San Francisco hotel . 	 wife stay Hotel Kabuki two son ( early twenty ) adjacent room . room clean , attractive comfortable , join external balcony - perfect arrangement we . hotel 's decor definitely japanese , overdone , wife find room 's soak tub thing day walk San Francisco 's hill . view room excellent . 
 Mar 18 2009 	 great hotel great location cool ! 	 get great deal hotel decide try . good size room price pay ( $ 100 ) especially San Francisco . heart Japantown , amazing thing walk distance ( Fishermans warf 3 mile , furth thing see ) .The bed super comfortable ... white , soft bedding 4 pillow bed . bath soap shampoos high quality , room clean . 2 robe room match japanese decor . we not try breakfast available . room service base japanese cuisine also american food . bathroom hotel favorite part , unique . little strange , really clean nice ( traditional japanese soak tub steam room ) .As far parking go , ' ve see reasonable self park Japantown mall garage . special entrance elevator take directly floor lobby . $ 15 per day versus $ 35 valet per day . its great able stay middle San Francisco hear noise street . Free Wi - Fi ! ! ! sleep well definitely come back . 
 Mar 12 2009 	 good value 	 love asian design expect stay Japantown . room comfortable clean . quite spacious expect certainly par hotel . corner balcony ( hehe ) foot half deep allow walk around look city . location hotel great ... 's actually connect mall giant food court . please note everything open 11ish close pretty early . include hotel 's restaurant room service . bed comfortable thought tv oddly place across room desk cut good amount work space out . the bathroom nice large tub separate shower enclose one area . bit uncomfortable door toilet wooden louver bathroom door shoji .... much privacy intend guest sit right outside door watch tv . the front desk personnel ok ask place late night eat ... refer bellman instead . exceptionally helpful . taxi cost hotel ferry building Chinatown back $ 9 way . oh yeah ... parking outrageous $ 35 night not bring vehicle not . 
 Mar 6 2009 	 Nice Rooms Atmosphere Great Location 	 enjoy authentic japanese Bath room proximity city centre . free wifi actually work : ) 
 Mar 3 2009 	 Liked atmosphere immediate neighborhood 	 see - saw experience . first room give tiny , next service elevator , across housekeeper ' supply closet . Noise begin early . elevator cable whine grind , etc . Spoke manager offer choice two room . move much nice room price . move new room ask doorman taxi . point black car - - taxi light top . climb look meter . Driver say price $ 20 destination . say tourist way know reasonable ; price go $ 15 . get . driver doorman become quite unpleasant . went desk speak manager show taxi stand nearby . fare $ 8 . quite town car tourist trap . target back ? night doorman duty get airport shuttle 6 pleasant helpful . local Japanese mall shop interesting good restaurant . free internet room . nice tea service . note : old black woman travel alone , decade request well room first give bad house ; almost become routine . wish hotel would surprise . 
 Mar 2 2009 	 enjoyable neighborhood comfortable hotel 	 stay Kabuki February 2009 5 day . find people friendly helpful location great we , love japanese food , sample local restaurant explore local market . be locate next Japan Centre , full great shop restaurant several building . get nice Internet Special deal , make price within reasonable range . filmore district , ton jazz club , block away , bus go Union Sq nearby . filmore farmer market ( walk past Japan Centre , make leave Filmore walk 2 3 block ) lovely outdoor venue Saturdays excellent jazz band playing , great place spend hour pretty Saturday . ( great produce vendor pick fruit -- not miss Afghani food vendor -- want stuff bread sauce lunch ) . starbuck well ... 2 snag room : wireless extra charge , simple breakfast option early riser : hotel 's buffet expensive -- even call & quot ; continental & quot ; breakfast , provision get coffee roll something . Japan Centre eatery not open 10:30 , even deli crepe place . electric kettle cups , japanese teapot cup room , coffee maker tea supply -- buy market . one day toast coffee send room , Saturday eat pastry Farmer 's Market & amp ; get coffee Starbucks . find kind dodgy place couple block away finally , breakfast -- customer place . cup coffee tea morning important we ! visitor want see major sight , etc . , maybe convenient place ; old couple child area take we event park , though , really love neighborhood . 
 Feb 28 2009 	 fantastic experience 	 arrive tired 15 hour journey Scotland staff doorman receptionist make we welcome . upgrade us queen size deluxe room corner balcony amazing view San Francisco . the location perfect Japan town Fillmore street , superb place eat drinking . we head Peru come back hotel 12 day hotel happy keep luggage we . the downside would say cost breakfast fantastic wee place Japan centre great brekkie.all enjoyable stay would go back minute . 
 Feb 28 2009 	 Awesome bed room ! 	 self - park Japantown Parking Garage , hill H. Kabuki save $ 20 parking . soak tub welcome tea service high - end amenity affordable SF rate ! new favorite place . 
 Feb 11 2009 	 Jewel JTown foodie 	 stay 3 night mid January Kabuki , reasonably price convenient launch pad local japanese restaurant meet point old friend . room Garden wing ; eat hotel breakfast buffet ; many great joint Fillmore , 5 minute away ( include terrific crepe restaurant ) . Room & quot ; somewhat & quot ; renovate , decent size . look forward use japanese bath Kabuki Spa nearby , unfortunately , tell water temperature high enough open . great attraction Kabuki adjacent JTown Center , large number small japanese restaurant stripe : bit heaven ! jtown bit uneven hotel short 5 minute walk middle Pacific Heights . also convenient japanese grocery store close . Kabuki ( term location , quality ) comparable , Kyoto ( old New Otani ) LA 's LIttle Tokyo , opinion , bit fresher . 
 Feb 9 2009 	 reasonable disappointing 	 room decent recently renovate 80 % . amenity mostly absent . fitness room joke & quot ; Kabuki Spa & quot ; actually block away . place middle nowhere , near point interest 1 1/2 mile away . add least $ 30 day cab . not bother drive , parking always full . even close decent breakfast place ( buffet even close standard ) mere 12 block , make nice , brisk morning walk . do not order room service unless want get rip . item $ 14 dollar arrive bill $ 24 time add various suspect charge . cool tea set room coffee . the price not bad off - season rate San Francisco @ $ 140 / night deluxe room . build engineer , housekeep doormen friendly rest staff ice cold . 
 Feb 8 2009 	 Delightful ! 	 daughter study Japanese , 16th birthday want something special . book night Kabuki , get great rate deluxe double / double 3 friend , corner king husband . room attractively furnish , elicited & quot ; wow & quot ; . corner king great , lot room , enjoy relax chaise lounge look view husband snore away . bathroom also lovely . ' ve travel Japan , fun japanese style shower / bath . service front desk good , room service fine , dinner downstairs Izakaya good enough , girl love coconut mochi dessert . 's great location walk around Japantown Fillmore ( low Pacific Heights ) , catch movie Sundance Kabuki Theatre AMC Van Ness . great meal Maki Japantown , pleasant breakfast Majestic Cafe , drop girl Haight Street . 's quick bus , drive cab ride downtown . park car garage hour street free Sat Sunday . downside ? sound insulation not fabulous - one top floor could hear traffic could also hear people room next door . , great place , love Joie de Vivre hotel , would highly recommend anyone . 
 Jan 28 2009 	 Aussie Japan Town 	 first visit San Francisco select Kabuki review offer net . overall Kabuki offer good value reasonable accomodation . book renovated room king bed like reviewer note room get little tired worn carpet wall paper , though bed furniture newish comfortable . hotel resturant / bar & quot ; Izakaya Lounge & quot ; excellent friendly attentive staff good quality Japaness style food reasonable price . hotel breakfast usual choice & quot ; Continetal American cook breakfast & quot ; appetise reasonably price . one problem encounter noise , hotel adequatley insulate street noise ( sixth floor ) internal noise insulation room also poor . Unfortunatley alone would effect decision stay Kabuki , though young traveller night owl would probably mind long flight jetlagge . 
 Jan 5 2009 	 Understated well think - out love 	 husband stay corner king room Christmas day , leave car park Japan Town Center lot . recommend friend , love ! nice design , simple , understated , well - thought . nice touch : shoji screen front slide glass door offer privacy , daylighte , insulation . way nice typical blackout curtain . cool wood block print panel decorate wall . electric kettle tea pot room . japanese soak tub fantastic . they cover thing irritate hotel lion - share american building . little thing love : coat / shoe closet front door ; toilet separate shower sink ; toilet mount wall ( san grody caulking floor ) ; drain floor bath area . if want something & quot ; luxurious & quot ; , gigantic probably not spot . want central location , like go japanese shop , appreciate something different fair price , Kabuki way go . would say Marriott Kabuki , like Lincoln Navigator Prius . dig Prius , love Kabuki . 
 Dec 18 2008 	 Nice something bit different 	 clean , small room . restaurant downstair overprice not fit theme place . charge charitable donation bill without ask . otherwise decent place good restaurant nearby . 
 Dec 17 2008 	 Excellent Value 	 stay Hotel Kabuki two night cold winter $ 89 per night fantastic value . room warm immaculately clean , nice bathroom . bed comfortable , soft , cosy linen . staff helpful . car park associate car park $ 15 24 hour choose walk around instead . hotel approximately 25 minute walk Union square , not mind . not fancy walk , bus 38 run along Geary street behind hotel . japanese food near hotel fantastic . not mind location , would highly recommend hotel cleanliness great value . 
 Dec 2 2008 	 Great Hotel Stellar Service ! 	 stay Kabuki last month birthday weekend S.F . second stay , probably last . find first time 2 year ago ( Miyako ) 's low rate relative closeness thing like far enough away tourist trap like visit not want stuck . rate little high time around ( still cheap many comparable hotel find ) get email say buy 2 night get 3rd free , figured heck make long weekend it . we love stay Japantown , be much quieter Union Square yet be still close enough take 5 minute cab ride , 30 minute walk . room fantastic , great view almost room . sunken soak tub , new tv 's , free internet ! 's plenty restaurant choose nearby -- hotel , though not try breakfast sound amazing , tight budget not & quot ; cheapest & quot ; could find -- great shopping Miyako mall . but , good part service . front desk crew nice doorman would always greet smile . top , leave personalized frame bring sister give , town show frame hold picture we comedian see personalize quote want sign . leave behind ticket stub remember hour leave . call find right away proceed FedEx . helpful every step way , call . even carefully wrap part frame bubble wrap -- be two separate piece glass sit personalized silver frame , fragile -- wrap tightly towel . pleased take good care something obviously important could not replace . ' ve experience similar situation hotel not even bother look item -- albeit much less important item still . and mention Garden ! ! ! be truly beautiful hotel , be look something beat path enjoy japanese food culture would highly recommend Kabuki . 
 Nov 25 2008 	 eh ! 	 think helps know write review , basic information : husband mid - late 30 's . like HIlton , Marriott - type hotel also like splurge hotel nice B & amp ; B 's give chance . 's review : fine . seem like convert Holiday Inn . shower great , robe room , love . however , toilet run entire time , promise complimentary tea service not come time order dirty food tray next door neighbor sit outside room least 36 hour pick . customer service people always seem overwhelmed . we want park lot associate hotel , full time try . , park garage hotel recommend attach hotel . nothing go right - automatic payment machine not work . , tell garage open 6:00 a.m. Sunday ( leave exactly 6:00 , probably little early return rental car make flight ) . make way garage , hotel guard tell we garage not open till 7:00 would pay $ 50 / cash open gate . keep push back sound fishy ask someone front desk tell we garage open 6:00 . go garage wait someone open gate say garage not open till 6:15 . beg open door early let we already late flight - thank goodness do . I would return hotel would give low rating , $ 109 / night San Francisco , o.k . we . 
 Nov 22 2008 	 Great Location 	 conveniently locate Geary Street , enjoy wonderful stay Hotel Kabuki . hotel recently renovate , minimalist japanese architecture furniture actually work exceptionally well we travel two toddler son . coupe airplane rent car son love wide open space two room suite . moment arrive , staff attentive need . valet parking car ask name , point entire four night stay greet warmly name every time arrive leave . hotel operator cheerfully handle three year repeatedly call ( horror ! ) room clean , queen size bed one comfortable hotel bed ever sleep . Kabuki nicely locate close enough major site San Francisco , exceptionally convenient access highway well . all satisfied stay , look forward visit . 
 Nov 18 2008 	 love soak tub 	 great neighborhood , great concept great service Kabuki . corner king room soak tub separate shower . room huge two large slide door slide japanese screen slide cover , privacy quiet street noise excellent . many nice touch , tea set , wall inset , divan , robe , etc . grant furnishing not newest slide door close way , way lessen enjoyment . every single thing brand new work well . say , new flat screen tv excellent free internet provide well . elevator come instantly pleasant shopping abound surround Japantown . usually find overnight parking free street wake 9 park adjacent garage $ 15.00 per night . full valet parking $ 35.00 per day high roller . do not forget ask room high floor enjoy excellent view . one problem though , ask direction mispronounce hotel name & quot ; Bukaki & quot ; meet guffaw unknown reason . 
 Nov 14 2008 	 Hotel Kabuki modern theatrical opera 	 Hotel Kabuki reminiscent japanese theatre . on surface glam modern theatrical opera , stay awhile realize 's opera be see hey day . 1 ) so - call newly - renovate guestroom look like renovate late 80 -early 90 . see huge stereo t.v . club lounge . definitely work digital t.v . come town . also , fitness center need upgrade.2 ) false advertisement hotel brochure - the courtesy shuttle always reliable . -the 24 hr . business ctr . inoperable printer , not count use ! fact , count chargedextra use . ( long story ... ) -the complimentary wine ( sake ) hour not exist , sobuy wine elsewhere . on flip side , hotel quiet somecharm like Sjoji window screen , traditional tea room , asian bedding . just remember hotel need TLC ( tender love care ) hopefully one day Hotel Kabuki shine ! 
 Oct 17 2008 	 overvalue hotel 	 even though remodel hotel . still far 31/2 - star hotel . not control air conditioning heating system . hope be right season avoid problem . front desk will not tell check - in ... aware ... 
 Oct 7 2008 	 Adored Kabuki 	 stay Kabuki unfortunately one night end trip across CA absolutely love , hotel , theme , room , garden , food delicious , service brilliant back soon , treasure SF : ) 
 Oct 6 2008 	 good bathroom 	 stay double room night September , 2008 . bathroom well ' ve see outside Tokyo Seoul . beyond large area sink toilet , shower another alcove behind glass door . multiple shower ( 2 shower head opposite wall 3 body spray near one ) , tile bench along one wall could sit take shower choose removable showerhead opposite one 3 body spray . bathroom almost large bedroom . bed also extremely comfortable . service immediate friendly . bath product Lather , smell wonderful . go annual convention San Fran , first time ' ve stay almost entire time hotel- take couple long shower daily read bed day . although stay different hotel every year , book Kabuki . room nice will book well room future . like 4 star hotel . care 2 thing top list hotel- bathroom bed , will not go wrong Kabuki . 
 Sep 29 2008 	 Kabuki pleasant 	 research day visit one busy time year , look unique , away hustle bustle union square find Kabuki . choose Corner KIng lovely view city . decor minimalistic serenely japanese lovely . hotel staff professional accomodate . parking great ... must expect spend least 25 - 35 dollar valet park city anywhere . staff : host , bartender valet , ad housekeeper accomodate . japanese tub super . Kabuki simply ... pleasant stay . 
 Sep 24 2008 	 great place stay SF ! 	 Hotel Kabuki San Francisco 's japantown great alternative often over - crowd over - price hotel scene near Union Square . lovely 250 sq foot room balcony . entire hotel recently renovate definitely worth look . gerat lounge / restaurant well . 
 Sep 22 2008 	 good hotel little way 	 stay Saturday night September . fairly recent visitor SF ans know way around reasonably well though would never stay Japan Town .... honest doubt will stay area . want close ' downtown ' be well stay elsewhere . the hotel not cheap although view corner room quite impressive . the public car park reasonably price easy access hotel elevator directly underground level , ask nicely hotel even validate ticket even be include room rate : ) 
 Sep 8 2008 	 Great Room - Loved Bath 	 stay one night ask King Corner special tub . room clean spacious comfy bed . tub terrific feel amazing . get room 13th floor ( note ice machine even number floor ) love view . great location . 
 Sep 4 2008 	 Hotel Kabuki Excellent Price 	 San Francisco third week August 2008 -- book three star hotel via Priceline -- two excellent ; one bad . highly recommend Hotel Kabuki Kensington Park might get on - line $ 100- $ 125 . beware hotel & quot ; renovation & quot ; no - frill , & quot ; Boutique & quot ; . not want identify latter hotel manager nice , arrive 3 tv channel , spotty wi - fi , face brick wall , mold . hotel company ( SF Personality Hotels , Kimpton , Joie ' Vivre , etc . ) book much well accommodation . 
 Sep 1 2008 	 Perfect we 	 stay Kabuki Japantown three night interview job . perfect we : fussy ostentatious , nice touch like clean , new sheet bed ( supremely comfy bed ) toiletrie friendly staff . worried go over - the - top japanese theme , tasteful like amusement park fear would . really nice view ( 12th floor face North ) nice convenient yet calm noisy part town . free wireless , decent tv . wonderful deep japanese - style bathtub , eucalyptus salt provide . fancy dancy hotel , be clean , comfortable detail attend . also convenient bus . restaurant good ( exception Udon get room service ) hostess go way help we . little pond koi fish tiny nice touch . we get cheap bundle deal plane plus hotel Travelocity . 
 Aug 31 2008 	 great place stay japantown 	 room spacious great japanese bathroom breakfast . would recommend place especially get good deal room rate . 
