beat 	 terrible 's nice hotel casino sleep night town . stay many other strip busy day traffic unbearable . terrible 's short drive strip walk athletic . room luxurious go vegas locked room , long somewhere crash that s sleazy smelly terrible 's make cut . 
 Aug 22 2008 	 basic fine night 	 friend & amp ; go Las Vegas weekend attend friend 's party . look hotel one night lie head head Summerlin area spend time . I get great rate www.travelnow.com website . seem cheap rate Vegas hotel , believe , scour ! get $ 39 + tax rate include $ 25 slot play free breakfast buffet . pleased rate . just hear people getting suppose get make sure print page TravelNow 's website show suppose get promotion . fortunately need paper glad bring anyways case ! arrive Terrible 's 1030PM Thursday night . when make reservation request smoking room king bed . even call hotel reiterate request . time check neither request available- give non - smoking room 2 double bed . request honor room ground floor near casino entrance . when get room find 2 bed nonsmoking call front desk tell nothing else avaiable . decide fight since go one night already practically bedtime . however , suppose stay 1 night would go back front desk make sure get want else get move want next day . but one night ? could survive ! room fine one night . nothing fancy , basic . think one recently renovate room . rather small , 42 & quot ; tv wall , 2 double bed , air conditioner keep room nice cold , vanity area tiny bathroom toilet tub . I little scared bathtub rubber bathmat grab rail always afraid slip tub . fortunately didn't . the bed comfortable enough although foam rubber pillow like . water shower hot good pressure check breeze . buffet breakfast come room fine . great waffle , plenty choice , even guy make egg & amp ; omlet . Terrible 's one favorite casino Las Vegas - like smallness slot machine offer . always rent car Vegas love Terrible 's location & amp ; new parking garage . would return ? perhaps one night much long . room small day stay . 
 Aug 22 2008 	 another Great stay Terrible 's 	 second stay Terrible 's . time new Tower Rooms $ 50 per night , be really tower , 6 floor , despite room quite nice , thing thought could upgrade bedspread , little thin , oh plastic cup ice bucket , otherwise would think room cost $ 100 per night , clean flat screen TV.I use pool area one day 's adequate Vegas pool price room . the Casino game might want play , food coffee shop good be mood venture . PF Chang 's right across street restaurant nearby well . also convenience store lobby coffee snack player 's club good , get free shirt join earn point pretty quick . another bonus hotel walk Hard Rock Casino bit bar like Gipsy Double . would definitely recommend Terrible 's one two night stay , especially need place convention fight strip place overprice . 
 Aug 10 2008 	 basic place cheap price 	 basic place catch sleep Vegas . actually convenient 1 mile east Ballys corner Flamingo Paradise . free shuttle airport . walk block south Paradise Hard Rock . Hard Rock shuttle several place strip every hour not want walk take taxi Terribles catch . terrible clean enough . fairly smoky , small , everything cheap include nice convenience store hotel . food restaurant fair . not anything great like everything else place CHEAP ! stay . 
 Jul 1 2008 	 Terrible 's life name ! 	 choose hotel pay fairly high rate & quot ; extras & quot ; advertise - free breakfast , slot play credit , shuttle to / from airport - thought & quot ; package & quot ; would worth . get hotel , wait 10 - 15 minute desk staff go talk manager , decide inflated rate pay high enough receive promotion . breakfast , slot credit , plenty negative attitude . service staff try help - denial come straight manager . plus drag luggage wind way noisiest , crowded casino see Vegas check . ( airport ride offer odd , fix time - can not go , still take taxi . ) & quot ; new tower & quot ; room nice enough , would never stay - manager arbitrarily decide honor advertise promotion honest , frustrating embarrassing experience . 
 Jun 29 2008 	 nothing Terrible Hotel 	 stumble across little hotel mile strip 2 month first open , never stay anywhere else Las Vegas . travel least 3 time / year book trip around availability hotel . atmosphere casino intimate fiendly , staff make feel like family . restaurant good basic food , service , pleasant , touch slow . recent renovation add selection machine available slot gambler , still fiind $ 5 table right time day . well bet Terribles Las Vegas . 
 Jun 25 2008 	 nice place budget ! 	 wonderful place ! ! ! ! ! ! people friendly , room great , deal big time deal ! ! ! ! ! want complain would b buffet , & quot ; TERRIBLE & quot ; ! ! ! ! , husband & amp ; love small time casino . visit , ask Ellis Island , steak well ! go Vegas 1st year anniversary love ! ! please not forget try cafe ' upstairs , food great ! ! worried , not let review worry ! go & amp ; enjoy ! really wonderful time TERRIBLE 'S . pool fab - u - lous ! ! ! ! ! ! ! ! ! ! ! 
 Jun 23 2008 	 Terrible Terrible 's 	 stay facility business trip . frankly , reason even book close facility class hold little room available due several big ticket item go town week . the facility situate complicated manner . manage find front desk , ask internet service . ( Work . ) tell yes , hook - up , not wireless . pointed & quot ; general & quot ; direction elevator ( discover 4 day later close one . ) go room . the flat screen tv nice thing room . every night awaken thump sound car stereo people drop pick shift , lay listen tour bus idle window . thing loud air conditioner leave every night . the bed hard uncomfortable sheet thickness new sheet crispness pizza box . room small cramp bathroom tiny . request clean glass every day leave many plastic glass daily end stay accumulate 28 unopened one . 4 day arrival log laptop could not get line . come find , shut drum 400.00 charge & quot ; internet service . & quot ; buisness traveler never occur charge long distance call whenever log . inform specifically inquire check . list paperwork . detailed room . anywhere . manager would not talk . call desk let clerk know position . ask nightly report , somebody not find strange speak first night ? wait 4 day ? not prepare pay checkout discover reduce bill 1/2 . good enough opinion not go look gift horse mouth , either . travel work several time year ' ve never stay anywhere charge internet service . look inexpensive place stay & quot ; Vegas vacation & quot ; withstand trade - off noisy inconsiderate people , less friendly desk staff , go . never stay , vacation , business otherwise . 's nothing glorify truck - stop . 
 Jun 21 2008 	 enjoy Stay 	 husband book air / hotel package Allegiant Air Bellingham , WA great price , approx $ 600 air 4 night standard room . great service check - in , player club , bar service , restaurant buffet staff . still work renovation old part hotel , new carpeting instal hallway . standard room clean , king bed , flat screen tv , round table 2 chair . lot room 2 we . use coupon coupon book give sign player card use two morning breakfast buffet - cost two we , coupon $ 5.38 tax . large buffet selection . miss breakfast buffet one morning eat restaurant instead . large menu good food reasonably price . use pool one morning - hot stay long sun . towel service lot chair available . crowded 9:30 morning . small convenience store site everything need . 's locate corner Flamingo Paradise Roads , two long block strip . long walk strip , bus strip across hotel . rental car location not problem . would definitely stay . stay new tower room face inside pool area . room face parking lot , not much traffic noise . 
 Jun 17 2008 	 almost live name 	 stay Terrible 's week business trip look low - price place . like many casino , smokey find registration desk tough . casino , hallway , elevator dirty depressing . room '' bad , reek past smoker . on plus side , restaurant breakfast dinner buffet not bad money . $ 3.50 margarita decent . several excellent restaurant within walking distance ; Cozymel 's ( mexican excellent example ) , Hamada 's Japanese ( also excellent ) , PF Chang 's Asian Bistro ( asian fusion guess , tasty ) . three pricy Terrible 's fare , par restaurant Venetian ( unless well expense account mine ) .A coffeemaker provide , although coffee packet often not replace . service staff generally helpful & amp ; courteous . I stay . will look non - gaming hotel one thecasino isolate . 
 Jun 13 2008 	 first stay terrible 	 first stay Terribles Las Vegas . it be strip near Hard Rock . probably half mile east strip . stay old part hotel , 3 floor . easy , park ramp garage . one elevator myroom , 3 floor , not short wait elevator . have clean non smoking room old cleanwith coffee maker . flat screen 42 inch tv rather limiteddirect tv channel . ( probably want watch movie channel ) convience store 1st floor ( common inhotel Vegas ! , regular price find convience store ) good comp terrible card , work casino elsewhere . needless say , would stay . ( ' ve stay many hotel Vegas , like small one well get quickly . walk strip , probably take 20 minute . 
 Jun 4 2008 	 's still good place stay 	 5th stay hotel ( 8yr timespan ) still good one . though Terrible 's price go little , search still good deal . budget ; book room ' old ' tower low thirty ... go . pay ( weekday ) option like Gold Coast Orleans give value buck . location : hotel locate within walking distance Strip Hard Rock hotel end street . parking easy hike room , like many hotel , neccessary . new parkinggarage , be easy park late evening well . hotel : nice theme , clean comfortable . clean wall hallway well carpet ( least ground floor ) look fresh clean . check always quite easy little wait . staff could friendly reception locate casino prepar somewhat smokey wait . room : new tower wit brand new room , bargain anymore . old room still clean , large average update modern standard new furniture room 42inch plasma tv . really neccessary channel poor ( noisy ) quality . ice manchine 's locate corner hallway , every floor might end hiking hotel . food : budget , hotel buffet great . 2 1 coupon find pillow eat next nothing . food 's quality ok ( fresh waffle egg cook order ) pay half regular price 's great deal . we find , though , quality food go do little weekend brunch change raise price ( something hotel buffet lately ) not eat cafe , not know one . in little shop coffee ( fresh ) Krispy kreme donut 1 dollar . pool area : place . little oasis tree flower nice shaped pool ( cold water ) large hottub . 's nice place relax plenty seat . friday pool party free woman . music afternoon , make even relax . casino : though never much luck place get player card earn point free food goody . triple point thrusday sunday . the casino cramp though guess casino 's strip much nicer great evening out . shuttle : provide shuttle service , not good experience . not bet make sure prepar taxiride . 
 May 29 2008 	 Terribles Casino -- bad place visit 	 stay one night Terribles May 26 , 2008 , room give we comp sign player club awhile back . room nice , two queen bed bathroom shower tub . slot loose anywhere problem get 5 dollar black jack table . buffet good , large seating area holiday pretty busy . wait line 20 minute staff professional seem enjoy job , food not bad either . cocktail service good long play machine table game willing tip server drink easy get . 
 May 28 2008 	 another great Stay terrible 	 girlfriend leave annual girl week away May 9th book room around 11:30 pm . unfortunately smoke room leave request move next day . breakfast new room ready move settle rest week . as past stay issue staff . one thing year leave little thank card housekeep tip every day . surprise day leave handwritten thank note . we love play casino lot well luck win . friend $ 3,000 half terrible . all Terribles wonderful place stay already count week return next year . thank terrible great vacation . 
 May 27 2008 	 Terrible 's Way Go 	 stay Terrible 's memorial weekend year . course read review regard bad . well money time Terrible 's place stay . sure strip walk long . use Monorail save foot . even find taxie cost bad . Strat . Terrible 's $ 12.00 Cir./Cir $ 9.00 . casino liking , lot penny / nickle slot crowd even memorial day Weekend . room great money Hotel Staff real friendly . problem airport shuttle , call Hotel twice Friday morning get shuttle come airport . would stay Terrible 's heart beat . 
 may 21 2008 	 Good Value 	 stay one night fly . first time stay casino surprise quiet room . large room ( tower ) everything refurbish recently except shower head .... maybe still update process . bit primitive . loved big - screen tv . nice , quiet pool area . plenty parking . check - in fast friendly . 's bit walk Strip so - so area . drive park garage behind Miracle Mile Shops free . 
 May 18 2008 	 May Getaway 	 stay Terribles Hotel & amp ; Casino May 9th May 16th . we book Hotel , air , car package Travelocity . we look go cheap staying stip fine we since car . the hotel nice , stay new tower room 1121 . back door patio pool right . pool area nice tropical , hotel pool strip look nice Terribles . Terribles Flamingo Road 1 mile strip . ventrue twice strip one night take taxi Freemont Street . third time Vegas , 1st strip , would definately stay terrible . since Vegas 7 year ago , strip change quite bit , strip quiet tropical relaxing . the thing like hotel A / c loud , every time a / c came turn volume TV louder hear , love would stay . 
 Apr 30 2008 	 Terrible 's terrible 	 stay Terrible 's Hotel Casino couple day quick Vegas trip , not terrible ! 's strip , price pretty good . typical casino hotel room ; fairly clean . staff friendly part . Most casino Vegas not smell like smoke use , place unfortunate exception . non - smoking room , really not matter ; moment enter hallway , odor pretty overpower . the pool area nice , though . large seclude many tree bush . I would stay , base great price get , would not spend much time room , casino . btw , place decent breakfast buffet well ... worth price . 
 Apr 30 2008 	 Terrible 's Always Satisfies 	 review hotel quite ago feel recent stay , due new review . hotel & quot ; old & quot ; & quot ; new & quot ; part . yet stay tower never dissapointe old room . stay , room 2048 . farth south end hotel . first negative room side edge parking log get noisy bus delivery truck morning . the room clean . room non - smoking evidence otherwise . use iron trip work perfectly . room much spacious Vegas hotel . nice sitting area , desk flat screen HD tv finish room . piece advice - unless deal low website , book property directly . play limited 25 cent video poker include one night 5x point . earn 25,000 point trip pay 2 night room 5,000 point ( Sun - Thurs ) . third night compe casino host play outright . book third party , get option checkout . buffet lunch dinner dirt cheap always coupon , good . breakfast good enough practically free . access place easy Flamingo Paradise go straight airport . I would stay anytime ! 
 Apr 30 2008 	 's terrible 's definitely low rent 	 stay one night could not get room hotel want first day trip . since arrive late want place sleep , want someplace cheap . fit bill . the cigarette smoke knock moment open door Terrible 's . low - rent local 's joint , be start look little worn . room decent sized . be little dark - lighting could bit bright . be 52 & quot ; plasma tv wall , ' ve engrave front tv & quot ; THCLV & quot ; front discourage people walk door . shower hot bed fairly comfortable . the 24 hour coffee shop cheap breakfast special 7:00 morning . think steak egg $ 7.99 , tasty . if not mind feel like total low - roller , get acceptable room really cheap . need room crash , would come back . want feel like ' m vacation , will go someplace little nicer . 
 Apr 28 2008 	 great Stay April 16 - 19 2008 	 Mom & amp ; find great airfare Las Vegas want go sun gambling budget . I read good bad review terrible happy pay old room great inexpensive price . we ask upgrade new Tower Room 6 story high upgrade charge 6th floor . our room clean everything new include large flat screen tv , granite counter bathroom beautiful hardware . we also comfy piilow top mattress bed nice pillow . on request iron & amp ; board bring room . the free internet old section Hotel 2nd floor Excercise Room . the equipment look good shape never time that . the pool & amp ; jacuzzi great tropical vegetation palm surround , like OasisThe pool really , really cold may middle April .They provide towel guest pool . the Hotel store outside pool gate walk pick soda , water , beer , snack etc . the side Hotel food really horrible picky eater . the Buffett bad walk look everything walk out . we end go across street corner Bahama Breeze Restaurant PF Changs right across street . the Hard Rock Cafe Hotel block away . there place check restaurant area . we catch bus front Bahama Breeze Restaurant Strip $ 2.50 24 hour pass short ride walk hear take 20 minute . another day take bus Strip catch another Bus front Margaritaville Restaurant Flamingo Hotel additional $ .50 go Freemont Street Freemont Experience check old Hotels like Golden Nugget , Fitzgeralds,4 Queens , Binions etc . we end take taxi back later night cost we $ 25.00 terrible Hotel Freemont Street . they safety deposit box cashier Window guest . the free shuttle Airport back great , use Courtesy white phone Arrivals , Terminal # 2 arrive call pick we call front desk leave arrange shuttle . 
 Apr 28 2008 	 Great Place Great Food Great Deal 	 good place save money good time eat . first join player club , free machine play coupon book load free stuff discount . one use . coffee gift shop excellant . room clean good hour sleep , flat screen tv . coffee room also . Shower could use new head . complaint . the Buffet good eat Lunch Breakfast . Bourgainville cafe well eat day night everything great . country fry steak whole Pound ! wait staff friendly helpful . the Pool area like tropical garden clean relax . if like camp place play hassel drive walk great choice . 
 Apr 5 2008 	 briiliant stay 	 stay terrible 2005 , bit wary coz cheap strip . upon arrival pleasantly surprised , check fast , ground floor room fine , comfy bed , hairdryer etc . bar cheap compare strip hotel , try cafe upstairs also cheap , fine , eat time lunchtime , breckfast buffet be not good can not ! pool area really lovely , plenty bed available . twenty minute walk strip - or could enter ballys side entrance ( 15 min ) . fine daytime , would not walk nite cab frequent terrible , maybe ten min wait.would stay imperial palace much expensive well location . 
 Apr 4 2008 	 fine price 	 be definitely & quot ; off - strip & quot ; terrible easy 10 minute walk strip proper , make good base want enjoy bright light without price . our room not first flush youth , odd corner wallpaper peel bathroom , hint air room non - smoking not always use case one handle miss chest - of - drawer . say , clean , large bed comfortable . the food hotel focusse quantity gourmet quality reasonably tasty good value . 
 Mar 29 2008 	 nice room 	 room nice , spacious , clean , inexpensive . 2 source noise , flightpath airport , car speed parking lot . stay , would request room away perimeter building . 
 Mar 25 2008 	 Budgeter 's Delight 	 5 minute walk Hard Rock , place ideal alternative look save money blackjack table ( usually $ 5 minimum ) .Our regular 2 double bed room clean , spacious , comfortable , even flat screen tv wall . pleased hotel , though check - in take little long have . I say hotel near seedy spot , long stay near casino , fine . keep mind 10 - 15 minute cab ride strip , depend itinerary ( parking ample ) .Check cheap breakfast buffet - great deal early riser come late . 
 Feb 16 2008 	 good budget trip 	 stay one night January see feel like stay 2 1/2 star hotel , also save money . pay $ 40 standard room . ask renovated room upon checkin guy say yes , upon enter room know renovate 's flat panel tv ( ' ve read new room ) . get fool right ! maybe get much confidence standard room would think have assume renovate ! 's dishonest ! hall elevator rather dingy , say another poster . room however clean , decent large average motel 6 . bathroom average like Motel 6 . 's coffeemaker room . staff dishonesty , would give hotel high rating . try Cafe , portion huge , big pancake ' ve life . wife chicken entree . pay $ 17 plus tip two . not try buffet want try good one Strip , although get 241 coupon sign player card , also give free shirt ! overall , be look budget place , place sleep crash night , work . clean big . be use Bellagio , Venetian , not stay . will dissapointe ! really depend fussy . great value pay $ 50 , nothing . would not make destination , prefer litlle bit luxurious vacation . 
 Feb 16 2008 	 great place price 	 stay recommendation friend . little reluctant , however , pleasantly surprised . room spacious clean , staff pleasant . good meal Cafe , like buffet . overall , great place stay Vegas price . location also good , smack middle everything want see . 
 Feb 13 2008 	 Nice Tower Room 	 stay new tower room great .. room nice 42 & quot ; Plasma tv wall room clean good order arrive . they give we top floor end unit quiet , never hear thing . its 1 mile & quot ; Strip & quot ; 25 minute walk . we never rent car Vegas always walk grab bus move around .. take Terry Fators show Hilton nice walk back Terribles there . Bougainvillea Cafe serve great food basement price , eat day either breakfast dinner . casino ok fairly cramp smoky & gt ; ( Vegas ) not spend much time .. one thing not like hallway weird greasy food smell little annoying ! smell room overbearing assume come air vent hallway ? say would return stay .. good value treat well . 
 Jan 16 2008 	 Terrible 's terrible 	 receive trip Las Vegas friend hotel stay Terrible 's . hotel gross . walk casino not look bad . check tell room . hallway room awful . stain wall ceiling . could smell vomit hallway hear loud television set go small child cry ( scary think family likely living place ) . room good sized air conditioner work well , however blanket sheet stain . bathroom clean overall room scary . good news could hear room . pool look nice not really want venture see . basically use room change place stay little possible . order room service one early morning ( starve long night strip ) . food horrible , price take forever get room . would recommend location anyone . 
 Dec 11 2007 	 Good Hotel Price ! 	 hotel average consider significantly cheap price room versus one strip . stay one night move another hotel business . sufficient . room clean . not stay & quot ; tower & quot ; expensive ( probably little nice ) . need cheap hotel Vegas , hotel . 
 Nov 14 2007 	 Great Value .... clean room 	 Terrible 's one favorite place .... outdoor parking good food , raise price T - Bone steak Prime Rib special , , , inflation ? good value ! 
 Nov 3 2007 	 Excellent Value Money 	 stay hotel 2 week find excellent value money . the hotel provide free shuttle service airport . use courtesy white telephone arrival ( Terminal 2 ) telephone hotel request shuttel . find facility excellent . the hotel although strip 25 minute walk . good way find get around $ 2.5 off - strip 24hour bus pass . bus easy use , went regularly stop outside hotel . the corridor hotel dark could update redecorate . the room second floor overlook pool good . good facility include coffee making could turn ac open window , like . clean every day clean sheet towel provide . if sign player club allocate 1000 point use free breakfast ( 250 point ) , pool party ( 500 point ) several offer . also get chance enter free daily weekly tourament prize $ 500.the buffet breakfast good omlette waffle cooked order . we thoroughly enjoy stay Terribles . flash strip hotel clean , friendly value money . 
 Oct 22 2007 	 great little place 	 place great budget , room spotless , maid service every day.check quick friendly.buffet cafe excellent , great freshly make omelette , cafe especially special superb , t - bone steak great.i 3 day everything first class.gambling - you could not find well friendly , crap dealer find scottish even friendly especially put bet , lose appreciation there.they throw comp you.bee scottish like wee drink , comp manage get 3 litre vodka , have not finish yet lol ! player club staff friendly , complaint - I give voucher barman free drink look 3 head - still get * * * * * everywhere.apart wee hotel well worth money 
 Oct 20 2007 	 great value average room 	 compare hotel , 3 - star . term value , 5 - star . hence rate 4 - star . my wife choice : either leave dawn get decent hour ( save price night 's hotel ) , take late flight , crash soon get , move another hotel . choose latter . flight land 11 pm , check 11:30 pm . next day , check switch MGM Grand . Terrible 's decent review website decide go . got good price also include free all - you - can - eat breakfast . pay , amazing deal . check - in slow . one counter 15 minute ( though note arrive 11:30 pm ) , frustrating . room big , nice 42 & quot ; plasma tv large bed . clean tell one point someone smoke ( non - smoker ) , not bad . bathroom tiny . consider crashed get could get early start next morning , problem room all . Terrible 's mile strip . could not find bus stop taxis not queue front hotel like other ... unless drop someone . person try flag cab , not come often . tip : be airport take cab hotel , driver business card cab company ... take minute cab reach you . overall , pleased staying . want relax , probably place . want save money -- especially be take late flight Vegas -- would recommend hotel . 
 Sep 16 2007 	 Terrible 's well worth price 	 stay Terrible 's one trip Vegas . work travel industry visit Vegas 3 - 4 time year . try stay different hotel well advise client . bit leery first due review , especially AC comment . hotel old average . internet access available except new tower room . hotel staff advise working instal rest hotel . computer guest use locate exercise room ( printer locate computer ) . unlike strip hotel , completely free . Terrible 's consider local hotel casino therefore gear price Vegas resident . hotel gift shop good sundrie price see Vegas . be comparable case low convenience store price . bottled water good , bottle carry Terrible 's name sell $ .25 . Terrible 's also generous slot club able accumulate point play slot , also gift shop purchase purchase ( include gas ) make one Terrible 's convenience store Vegas area . breakfast buffet nothing rave . good , average food decent number menu item select . however , price definately make worthwhile . though property way strip , walk city bus run past hotel strip regular basis . terrible 's also provide free shuttle service airport , another amenity find Strip . , enjoy stay Terrible 's , stay would definately recommend property friend , family client . 
 Sep 15 2007 	 Great Value 	 great value around $ 40 non - weekend night free airport shuttle bus . walkable main strip ( 20mins ) . really clean , new , safe well equip breakfast buffet $ 5 superb . good restaurant locate crossroad - namely Mortons ( good steakhouse $ $ $ ) . far Gorden Biresch micro brewery want escape bar ring slot . 
 Aug 31 2007 	 great ! 	 absolutely love Terrible 's ! stay be back Las Vegas . even old room clean comfortable ; new tower super . pool spa nice . love video machine . one Thanksgiving week sport bar put husband 's request game right large screen . Terrible 's place go friendly people well make stay enjoyable . Buffet cafe excellent reasonably price - coupon always available - else get breakfast buffet , include cook order egg / omlet $ 4.50 two people ? ? ? close strip right across street good pizza will ever eat . 
 Aug 29 2007 	 Terrible 's - terribly bad 	 book hotel Priceline hope find good deal . unpleasantly surprised find place strip , brand hotel . search countless review find hotel , casino . read perplexed become . alas , hotel prepay could get refund . , force complete check terrible . maneuver smokey maze slot machine gaming table , arrive front desk . check fast efficient . lament $ 10 charge air conditioning . not room come standard air conditioning ? apparently . extra $ 10 night Terrible 's deliver free stand air conditioning unit room . unit promptly deliver within 15 minute arrival . receive room key , make way across somewhat worn carpet linger smoke tower room . hestitantly open door find surprisingly large efficient room . surprised large plasma tv pair starbuck iced coffee drink wait welcome gift . overall , experience quite pleasant . room comfortable slightly large average , although bathroom area slightly cramp . one plus Terrible 's convenience store . slightly small price , nice able pick disposable camera replace one leave home sarong cover look mirror bathing suit , without leave hotel search elusive mini mall overprice gift shop . another plus Terrible 's buffet cheap eat . snack like hot dog , chicken strip like available practically 24 hour $ 3 $ 4 . buffet , Rio one large buffet quite fill , tasty inexspensive . saving increase use coupon Fun Book Player 's Club . 2 1 coupon able purchase two Sunday Brunch Buffet 's , include prime rib , shrimp - yes champagne less $ 12 . mention purchase champagne brunch two people $ 12 . count relax pool tropical palm tree , location ( 3 block strip , walk distance Planet Hollywood , less mile UNLV , block major bus line , block convenient store like Target , McDonalds , etc ) price start around $ 43 weeknight , seriously consider Terrible 's Hotel Casino competitive Vegas destination . especially true plan often use hotel sleep . easy drive block strip , take bus taxi gaming , dining sight seeing . mention room start around $ 43 night ? anyone find hotel room $ 43 night ? apparently , Terrible 's . close , ( yes closing ) consider question plan next Vegas vacation . budget ? yes , Terrible 's definately look . want ultra deluxe hotel spa ? , consider venetian one deluxe Strip hotel . want right strip ? Terrible 's may , although easily drive take bus Strip . use car ? , may want consider stay right strip . use hotel relax sleep . use hotel destination relax pamp terrible 's . use hotel catch hour sleep casino , club tour difinately consider Terrible 's . next Vegas visit . 
 Aug 22 2007 	 Fab Fab Fab ! ! ! 	 book Terribles Hotel Feb 2007 . go trip advisor couple month later get little worried bad review . arrive hotel imagine worst . spider , dirt , cochroache etc . staff front desk really friendly . receive 2 card get room , go lift , far good everything clean . ' m locate third floor room 3008 . put card dread door oh nightmare , bad image go mind . open door guess room absolutely immaculate plasma screen wall , clean bathroom , dust decorate nicely collapse bed exhausted mind tired worry nothing fall asleep . pool also nice , clean tidy . next morning go breakfast get allsort choose buffet food edible lunch dinner could improve . go back room get change cleaner polite room make . whilst must try crispy cream doughnut , cheesecake factory hard rock cafe along road put half stone whilst Vegas regret would deffinately come stay place . 
 Aug 7 2007 	 A / C live hotel 's name 	 stay terrible ' Friday Saturday night early August , night $ 79 – low price could find hotel availability somewhat near Strip also respectable , base TripAdvisor review . impression : hotel relatively small ( 400 room ) , ' easy get back forth room . rarely anyone else elevator . room fine – nothing special , certainly adequate ( new portion hotel ) . big shortcoming , potentially reason stay hotel , air conditioning unit extremely loud , shut every 5 - 7 minute . able sleep , ' room , ' quite annoying . ' watch tv , mean ' constantly adjust volume . perhaps issue ' hot outside , around 100 degree . one thing – hallway , inexplicably , scorch ( like 90 degree ) . seem heat full blast , even though dead summer . location , walk Strip 20 - 25 minute ( depend pace ) . seem close , ' particularly pleasant walk , walk bunch lot either vacant abandon ( combination two ) . end Bally ' , get Monorail . close Hard Rock ( probably 10 minute walk ) . taxi situation somewhat hit miss . front desk tell ' call one , must go front hotel ask valet call . ' try pick one street , ' law pick . call , someone drop , jump one , thus ' know long would normally take one show . ' wireless internet access , business center nothing simple computer , usb drive anything ( ' also locate exercise room ) . want print something , print front desk . would potentially big problem , ' 24 hour Kinko ' walk 3 minute . restaurant , breakfast . ' lot like able order 3 big pancake $ 2.99.when people ask be stay , amusing see reaction tell name hotel & quot ; Terrible 's . & quot ; people , cabdriver , seem know . would stay ? give A / c issue room , probably , unless real pinch . 
 Jul 23 2007 	 Loved Terrible 's 	 husband Vegas first week July . Vegas many time stay many different hotel . stay Mirage , Treasure Island , Riviera , Orleans other , ' m sure forgot . pleased stay Terrible 's . new tower bed comfortable hotel ever stay . huge flat screen tv nice , although watch much television . view pool love fact open slide window . think hotel Vegas . hot ( 117 ) even think open window , would nice option cool season . pool look nice tropical setting palm tree plenty lounge chair , want heat , go Vegas swim . room standard nice bathroom , king bed , table 2 chair dresser . coffee maker big plus , hate go casino morning first cup coffee ! ! problem maid service , someone state another review . husband drop change bed come back sit nightstand . also see bug kind hotel . love fact need room key use elevator , key elevator go . hotel offer free shuttle airport gym internet access second floor . staff front desk save us hassle go upstairs print boarding pass we . want go strip car bus stop across street drop Caesars catch bus back Bally 's . bus back stop right front hotel . casino , small strip casino good comp see . offer double triple point certain day get different gift , buffet spend store , big gambler , mostly penny nickel slot . 5 day spend maybe 1/4 time Terrible be still $ 75.00 comp 2 we spend store . also free cruise Mexico draw every Friday night . first trip Vegas want whole strip thing , tired crowd hassle get around strip would go Terrible 's . place stay Vegas . stay new tower , speak old part hotel . Terrible 's owner name reflect stay . 
 Jun 22 2007 	 loud air conditioner ! 	 stay Terribles June 18 - 20 new tower suite . like security use hotel room key operate elevator . also , can not get room lock inside . nice new , beautiful big , flat screen tv . bad part horrible air conditioner . indoor / outdoor a / c . new tower make room central air heat . Everytime a / c would come giant boom continue operate loudly . also check another room loud a / c operate . hardly get sleep 2 night . try sleep window open , 85 degree 3 am , do not provide comfort . breakfast buffet always good deal 2 - for-1 coupon . deal deal 1cent machine payoff . matter fact , none slot . do not stay want quiet night sleep . 
 Jun 16 2007 	 chain - smoker wellcome 	 new tower room nicely do giant lcd - tv . pool area well keep . unless chain - smoker , advice anybody go even non - smoking room air smoke - fill via bathroom exhaust hallway . 
 Jun 13 2007 	 Terrible Buffet 	 Read review Buffet . good other bad . price seem good ( $ 9.99 / dinner ) , try . simple eater pretty easy please . figure people bad review food snob , fancy eater . well , correct . food average . even 10 12 year old disappointed . clean place . needless say , none we go back second . waitress nice , long line . someone front buy one get one free coupon , say get front desk register / filling form ( think casino ) . 
 Jun 4 2007 	 price work ! ! 	 first time stay hotel , say beat expectation . rate get hotel wonderful ( consider packed weekend vegas ) . room nothing fancy clean , big screen plasma tv amenity would expect 3 star hotel . casino size big expect 5 buck blackjack friday saturday nite nice small time gambler like ! 
 Jun 2 2007 	 bad ! ! ! happy stay ! ! ! ! 	 group we stay hotel ... probably 10 room complaint whatsoever ! everyone group enjoy stay . name & quot ; terrible & quot ; ... name . hotel / casino far terrible ! stay memorial weekend . hotel far main strip we want walk strip . far away enough get away busy busy traffic strip memorial weekend . room nice .... tv nice . nothing wrong bathroom . pool great . casino nice ... people group want leave casino go another ... happy terrbile casino result ( alot $ $ $ ! ) lot lot parking . anything negative hotel , would say smoke smell casino . that s las vegas ... can not really get away . overall ...... hotel / casino great affordable ! would stay ! 
 May 31 2007 	 would stay ! 	 want bargain Vegas , place . want pamper luxury , place ! stay May 14 - 18 , find bad & quot ; terrible & quot ; . room bit date , clean bed fairly comfortable . , carpet maybe not well good , go Vegas look carpet room ? see bug . complaint would bathroom , small weird layout . nice pool area , never problem get lounge chair . lot penny slot budget . buffett eatable , good ' ve ever . little walk strip , summer heat , quite exhausting . rent car , never problem parking garage . would recommend place .. bargain comfortable place lie head shower ( time spend room ) . 
 May 20 2007 	 thieving maid cockroach 	 stay start fine . room clean maintain day 3 become apparently maid snoop belonging drawer ( thing move fold differently ) . day four find cockroach bathroom maid steal personal item store drawer bedside table . management nothing . not even offer appology seem surprised , brush we promise ' someone would call we ' . tell long want maid service put Disturb sign door every morning maid bang door wake we . would never stay recommend . 
