nice 	 hotel nice spend much time , chop room , double bed barely fit room , standard not bath small shower , bathroom tiny , unless pay suite , would not u would stay 4 star hotel , u will not wireless room , iron board , aircon ( hotel hot ) buy eye drop nose bleed hot night . rest hotel nice would recommend stay room awful try make much money possible we make room small get u get nothing , u even pay use hotel pool ! ? . 
 Excellent Location Noisy though . 	 Partner Stayed hotel 24th November 1 night see Lion King . arrive early get hotel go midday hotel staff could still check we although read normal check not 2.30pm . bonus ! Conceirge happy hold bag not possible though do not keep we . room 1st floor front hotel bit quieter other still noisy enough partner find hard get sleep . bed uncomfortable also do not help . extremely hard ! bathroom tiny ! excellent location tube 2 minute walk road Oxford street next street , perfect Christmas shopping explore London . would stay location 1 night ! 
 definitely will not go back 	 stay hotel 2 night , never go back . price cheap , read review still try b / c think London 's hotel like , small expensive . goodness , sleep one night , leg red dot , see nanny work hotel , therefore room clean . not feel comfortable hotel even though location great . receptionist lobby trainee , think tired job , can not hear say , talk nose . look sleepy . busy hotel , check , elevator working , end need walk ground floor , outdated hotel . walk distance British Museum . 
 Excellent - go suite include fab breakfast . great location comfortable room 	 thoroughly enjoy stay , seasoned traveller know like . excellent location theatre , good restaurant Oxford Street . good transport link , bus straight Victoria , Tottenham Court Road tube round corner . British Museum round corner . staff friendly helpful . choose top range suite excellent include luxury breakfast real term pay £ 149 ( £ 169 minus 2 x £ 10 breakfast ) air condition 7th floor noise . worth every penny . hotel full busy everyone keep smile ( except barmaid 11.00 night obviously long day ! ) concierge desk excellent help use London . plan make base next trip . 
 Mar 7 2009 	 good location . mediocre hotel . 	 first , positive : good location -- right around corner Tottenham Court Rd tube station , couple block British Museum , walk distance ok restaurant pub , block grocery store chemist . affordably price central location . access big ymca excellent fitness facility . second , negative : load badly behave tour group . room ready check arrange , lead logistical problem we . Miniscule , badly light bathroom faucet would turn . mildew shower . go get towel housekeeping cart several time not replace . small , cramp , not - too - clean room bad lighting temperature control . uncomfortable bed old , lumpy pillow . school cafeteria style breakfast buffet crowd time morning worth hassle . concierge desk give downright incorrect direction several time . enough internet access hotel size , two terminal available hire lobby ( hog unsupervised teenager whenever try check email ) . designate smoking area outside , often walk cloud smoke pavement come go hotel . long wait elevator make get high floor annoyance . if need place shower sleep , not mind problem note , St. Giles might work . otherwise , stay someplace else . 
 Feb 24 2009 	 hotel TRULY terrible 	 really hotel , hostel . room tiny , decor severely date room dirty . stay two night , completely fail clean room second day . phone request clean towel etc . breakfast resemble school canteen arrangement probably low budget meal ever eat . brilliant location , worth . 
 Feb 21 2009 	 acceptable central London hotel 	 London business meeting want combine trip theatre - St Giles ideally locate also close one favourite restaurant . room ( double single use , £ 84 without breakfast ) slightly small well - equip clean , comfortable bed . problem hotel overheat way reduce temperature . even leave window open theatre still need open night - 5th floor , still lot noise delivery etc . street throughout night . not have give four star . 
 Feb 21 2009 	 functional hotel cheap cheerful 	 stay twin room @ £ 95 per night , reasonable consider location right heart London . go West end show partner would definitely consider place . bed almost comfortable room big clean , fancy good place stay night . 
 Feb 20 2009 	 Location Location Location 	 stay 3 night walk everywhere . hotel terrific location . room really small clean . staff friendly helpful nice couch sit relax . breakfast good canteen style , long queue tray huge pile food serve . coffee good ther eis good variety juice cold meat fruit . I would recommend hotel 's location value . certainly stay time visit London . 
 Feb 8 2009 	 much Better Reviews lead believe 	 book theatre package last year ' Oliver ' include one night stay St Giles Hotel . reasonable centrally locate hotel ( ten minute walk Drury Lane ) . fail look Reviews day go , glad not read early might try alter accommodation , think would shame . review terrible , expect bad . arrive meet curb lead reception . hour early check - in get room arrival find check - in staff friendly efficient . room small side clean well present . bathroom minute , were'nt planning spend much time . one dissapointe thing despite request ' non - smoking ' room distinct nicotine smell room . still can not blame staff antic visitor . room little cool , sub - zero outside . night room reasonbly quiet hotel size . the breakfast good buffet breakfast could want , staff attentive . would advise anyone go get breakfast early . make 7.30 leisurely breakfast , 8.00 queue start develop . having stay hotel feel previous review unjustified . Savoy not pay Savoy price . money think good , especially consider central location . 
 Feb 4 2009 	 lovely hotelstaff friendly hotel clean .. 	 hotel staff friendly helpful , hotel clean .. room ideal , quite small ideal , problem would say window quite thin , could hear noise car night snowin abit cold find last night put heatin side dressin table make difference .. there s also resturante within walkin distance china town one stop tube , take quite abit money london cheap .. whole overall stay good , disappointed show cancel due snow , never mind deffinatley come back ! 
 Feb 2 2009 	 stay away ......... 	 back weekend hotel awful write let warn other . hotel set like hostel , staff awful , room small , dirty badly need revamp . ok location os good good thing say St. Giles . get price hostel go , anything rip ! 
 Jan 29 2009 	 avoid cost ! 	 start ! ? breakfast canteen elbow way food table . there individual condom take strip vend machine . the room barely light . the place manky . do not . 
 Jan 25 2009 	 never 	 coach outing see 2 show London , bedroom small side ok one night . meal prior evening show book , leave lot desire , menu , idea expect , come plonked table silence , chicken , vegetable small portion potato . man party totally inadequate . sweet lot well , fruit salad . buffet breakfast next day marginally well . the two show see & quot ; Mamma Mia & quot ; & quot ; Hairspray & quot ; excellent , highly recommend , make poor hotel . 
 Jan 25 2009 	 ok hotel centrally situate 	 stay 3 night middle January . hotel great location corner Oxford Street Charing Cross Road . walk distance many famous sight London . British Museum five minute 's walk away . Shaftsbury Avenue theatre also close . Soho Covent Garden . Tottenhan Court Road underground station right outside hotel , get around London , hotel convenient base . hotel big 12 floor 705 room four lift ( one working time ) could rather long wait sometimes . room small bathroom , clean functional . breakfast ok staff friendly helpful . pay £ 97 per night bad centrally situated hotel London . everything ok , luxury . probably stay another time well . 
 Jan 19 2009 	 basic overprice 	 stay family 1 night could get theatre ticket book hotel package . 1 double room 1 twin room . hotel room clean stay would advise book twin room rather double room big . decor date unappealing . be not expect luxury be not treat stay . own tv room would thrown 10 year ago . the bathroom look clean smell strongly urine . hair dryer weak old fashioned . concierge helpful - the reception staff miserable disintereste . if walk canteen high street would walk -its way past sell date - rip faded uninvite furniture . again staff helpful food good mediocre would choose eat here - plenty surrounding really dampen appetite ! really would not recommend stay well hotel London - the experience fortunately overshadow great time London tourist - but spoilt look forward come back hotel . 
 Jan 19 2009 	 truth St Giles ............... 	 Booked Hotel reading review say may make mistake . go open mind read alot negative comment Hotel . start good thing hotel . reception area posh decor nice , give good first impression Hotel . bar join onto hotel also good modern stylish , wonder get busy ! gym part hotel good high standard . that s far go positive thing 2 3 thing part hotel . the negative thing : room ! basic small , need good modernise makeover . although ok stay , need decorate big time . bed ok apart uncomfortable pillow . nice warm . stay 8th floor lift ok apart check in / out , could wait half hour lift . majority hotel staff efficient pleasent . first night stay wake 5 am hotel staff chisel away something make racket ! really annoying time people room tell stop ! leave towel shower tell , get change reason room get do even though put sign door & quot ; service room please & quot ; , quite annoying really ! really take [ -- ] charge pound keep luggage check checking need . unbelievable need charge pound never hotel do not expect either ! yes hotel gym join onto guest pay 4 quid use facility although Hotel show picture pool inclusive pay . overall view hotel badly run . that s big problem . big revamp need decor management , would make hotel good . alot improvement need though . stay Bonnington Hotel would recommend anyone stay . God know choose different hotel , must price ! get Bonnington future Kids . Hope review help . 
 Jan 13 2009 	 Excellent location .... bad hotel central London 	 stay hotel 3 night New Year . per previous review room small compare hotel stay job 3 night . check quick parent . lift quite slow could wait one come . however , room clean modern along bathroom also good shower usual provision . room also tea / coffee making faciitie tv . room service every morning bed make fresh towel provide . the location excellent city centre tube station doorstep nearly ! good night sleep think middle city- odd siren could hear , would not expect anything else really . I would recommend hotel anyone look short break good location good price . 
 Jan 9 2009 	 Good Location little else good 	 come London February half term last year see Phantom . initially really please location east reach right tube station well within easy walk distance Soho West end . however , room check ( queue 25 minute check ) small , dingy hot . top floor room adjecent lift hear whir every time anyone floor call . bathroom clean provide we need hot shower ' ve walk day ! less impressive standard travellodge style bathroom . first morning go breakfast like cattle market feel like school canteen , food ok really worth money pay . whole place rather date feel not inspire we want make return visit . want good location sightseeing worry crash night 's fine , look anything , look elsewhere . 
 Jan 9 2009 	 Hotel ? . HOSTEL 	 jan 2009 . spend one night one night many . stay group people opportunity view people room bias report- hotel sure consistant ; consistantly shabby . day return ( today ) find interesting fact hotel previously YMCA hostel .. equal standard today explain broom cupboard size room . write review soon return would like warn people stay . small threadbare bathroom towel ( one stain swap ) so - call carpet look trample doormatthe room barely big bedsthe bed wheel nudge bed , nudge wall bed start rollingdidnt feel comfortable bed night . although sheet appear clean valance sheet clearly freshly change black mark around bottom itthere duvet blanket sheet limp topcover fade pattern onunhygeinic bathroom , sink shower mould around edgesthe shower curtain look old grey entrance shower small difficult touch rotton curtaincondom hall vend machinesi can not tell breakfast do not dare eat except bowl cereal . go canteen area croissant hard even believe kitchen clean cook food still look appetizing . 
 Jan 3 2009 	 good hotel 	 hotel use sister go go see Tutankahmun lion king London ; hotel perfect base outside tottenham court road subway station . it pretty warm inside hotel fan cupboard ; bathroom clean room breakfast give tasty . good hotel , good location complaint 
 Dec 30 2008 	 will not come ! ! ! ! 	 stay Monday night 29th December 2008 go theatre . arrival queue 3/4 hour check . double room ( could call double room ) small swung cat around would hit wall . the word use describe room dingey . breakfast like school canteen . book break Superbreak dissapointed . pay lot money hotel will not come back . 
 Dec 22 2008 	 great value Money ! 	 stay 2nights begin December . the location hotel excellent , literally 2 min walk tube Station - Tottenham Court Road . sainsbury within 1minute walk , main shopping street around we . location , key stay hotel perspective get 5 5.check quick , time time hotel experience problem lift , however , tend key time , eg check breakfast . room small , feel take consideration cost . need 2nights stay , clean , tidy facility need . room shower , compact , managable couple day . water hot , bathroom clean , adequate need . Decor date , flowery bedspread quite bright , affect stay , really use room sleep ! room really warm , open window time . experience issue noise . breakfast get busy , open restaurant table stage manage high number people come breakfast room . due mixture european nationality stay hotel , table put together , selection continental hot breakfast available . food hot plentiful . hotel offer 2 evening restaurant , would give miss , open time be . I pay 5 * price stay hotel , feel receive value money . would stay hotel future . if question , feel free contact . 
 Dec 12 2008 	 Zero Service 	 far bad hotel stay recent year serve reminder similar experience stay East Bloc country hotel communist era . five night without single smile sour faced staff . five night one small room one imagine . absolutely zero value money call breakfast ` ` highlight '' bad school canteen . hotel sleep factory willing put zero service . 
 Dec 11 2008 	 would stay ! ! 	 return 2 night stay hotel , little worried go like read review hotel bad would likely stay again . check fast staff friendly helpfull . the room fairly small fine amount time spend clean clean everyday , thing bathroom old need change hairdryer terrible would recommend take own . the noise be not bad friend sleep well suspose light sleeper could bad . breakfast ok be not great deal choice , small selection cereal , bread roll , croissant , bean , scrambeld egg , hash brown , sausage bacon nice enough . the hotel great location min walk place near tube less across road . 
 Dec 10 2008 	 great location bad hotel ! 	 St. Giles Hotel great location ( 2 minute walk Oxford Street , 5 minute walk british Museum , 10 minute walk Covent Garden , 5 10 minute walk Soho Chinatown ... ) expensive . decide expend 3 night 5 8 December 2008.the lobby quite nice , check - in fast people reception really nice . instance , pay anything neither advance upon reservatrion internet upon arrival , end ( something many hotel london ask we , corporate apartment even ask we pay 100 % 4 week advance ! ! ) .The room small comfy . however , extra bed could fit since little place leave . table work small wardrobe ( dislike , since open wardrobe , like self actually , not like clothe ... thing safety box ' work , carry always money we ) . bath pretty small too . however , clean , room clean daily , towel change bathroom facility replace . consider short time would hotel interesting place London , small room problem . instead , almost everything London within walk distance great ! 
 Dec 9 2008 	 wonder London bad reputation ! 	 many year ago , spend year stay one hotel another London wonder city get away charge much little . tiny room , poor staff , expensive rate quite often major chain . stay London know mean . eventually find handful hotel offer ok room ok money last 5 year , use regular basis . but visit see hotel book . straight away , remember stay many year ago good experience . so arrive hotel queue check get long , number staff front desk get few . eventually 20 people queue 2 staff front desk . when turn , staff friendly , efficient welcome complaint there . when get room though , remember bad hotel . I forget small London hotel room be . on one side room single bed . run entire length room . give idea small room , would able 2nd single bed along side without remove wall . I single cabin cross channel ferry space . shabby , dark , small . even 5th floor , noise outside ( right heart London ) loud . there well hotel London kind money rating Trip Advisor well 571st ! ! ! please use website find . enjoy stay plus spend much money . 
 Dec 8 2008 	 get pay ! ! ! 	 number colleague stay hotel ( thankfully ) one night , book we London base colleague evidently not want we enjoy ! ! we book different time cause significant confusion whilst check . accuse pre booking pay room ( pay front ) .It seem due read review Tripadvisor get well bad lot , ask high room get little view noise suggest previous reviewer . room also twin small twin would ever stay . colleague single room seem small , one bed , view low significant noise road around Hotel . the bathroom small bending lead serious possibility crack head open sink ! shower cubicle minute , bang elbow try shower ! ! ! pay £ 60 per night Hotel , , say , get pay , quite central London doubt would get another Hotel cheap , not book breakfast ' m pleased say , resident queue age fit woefully inadequate dining room leave . all , would not go near dump , be go Stag / Hen night probably fit purpose ! ! 
 Dec 2 2008 	 never ! ! 	 return girl shopping / birthday weekend thoroughly look forward . hotel recommend we unfortunately recommend anyone else ! ! although ideal situation plenty shopping , hotel not much else offer . ( good service concierge staff ) check tell double room reserve instead Twin room book would opposite ! info enter computer system tell problem someone else hold room hotel completey full would room near twin bed end floor different part hotel . room require attention small . return hotel evening , overhear member staff offering room another guest ( cheap rate ) , could hotel full ? ? long day Saturday return hotel early evening find sort sewerage pipe burst unfortunate us room flood . obviously hotel 's fault , thing happen two staff helpful move we high floor . inconvenience offer free breakfast follow mornirng . poor , long time quee luke warm food ! dining room much like school canteen poorly maintain . day departure decide hold one room order store bag , arrange reception find return key would open room . ( communication staff obviously ! ask speak Manager departure seem hide behind closed door eventually appear attitude brash sympathy complaint offer apart £ 20.00 per room discount special rate next stay , not think ! ! 
 Dec 1 2008 	 bad ever hotel experience ! 	 regularly stay hotel due business pleasure good bad experience never anything feel need rant ... ! arrive hotel initial impression ' nice ' . reception area seem bit small fact instantly face concierge desk give kind big hotel feel place . wrong ! trip arrange first anniversary . ticket theatre book along meal etc , etc . we arrive hotel enough time get ready get theatre delay receptionist , apart quite difficult understand , take absolute age process detail although fact pre - booked . eventually receive key room fire alarm mean lift limit . tell problem could take stair . 6th floor carry case , need get ready get theatre ... not think so . we decide would leave case concierge go . alarm stop decide would go room get change . when finally get room appal . little dinky twin room ( request double ) would look suited pay - by - the - hour motel see american film . not smell clever either ! totally unacceptable . not time complain show start decide would request different room return . arrive theatre late ( dodgy direction receptionist lead we 1/2 mile Oxford St ask policeman . theatre 200 yard hotel entrance ! ) return speak staff voice concern meet blank stare say & quot ; want ? & quot ; ask see duty manager . arrival quick tell fully book room . argument not give correct room begin insist nothing could . ask want book one expensive suite would one available . go silent . offer we free breakfast compensate reply free breakfast stop room form crap ! offer we 10 % discount room point blank refused say 50 % would like inconvenience . I request full refund advise would go elsewhere . arguing toss another 5 minute ( reluctant first even say allow ) leave . jump cab wonderful taxi driver name George phone around we organise room another hotel . God bless George ! not even want take money fro we feel thank somehow . I amaze hotel actually receive good review people can not really rate customer service experience unless actually situation engage customer service representative . believe hotel would fail miserably . I would recommend hotel single soul . would rather stay cheap motorway hotel least know exactly be get money . it be really say something even staff feel oblige mention room rubbish hey ? 
 Nov 27 2008 	 avoid ` ` hotel '' cost 	 possibly bad hotel ever stay . filty small room , filthy shower , cigarette burn furniture . slept clothe would sleep room otherwise . remember bring torch stay light poor read paper probably deliberate see bad room . although book Bed Breakfast rate bother eat room anything go . collegue reckon room even worse give good review must staff . £ 135 per night would expect more . wipe foot leave ! ! ! 
 Nov 26 2008 	 Soulless central 	 hotel completely soulless . room small , paper thin wall . enough lift guest , especially busy period , breakfast . breakfast room cold buffet food lukewarm . redeem feature central location near Dominion theatre . 
 Nov 22 2008 	 could well 	 excellent location short break include shop west end theatre . busy popular business people tourist . room small shower cublicle ( bath ) minute . breakfast food ok sufficient choice , prepare queue tray ( waiter service ) canteen - style like school dining room . staff friendly helpful . short city break , ( 3 night Superbreaks ) manage , well hotel around . 
 Nov 18 2008 	 well expect ! ! ! 	 find staff friendly & amp ; helpful . room clean reasonable facility - ask , get , room bath , initially allocate room tiny shower room . location excellent - noise not keep either wife awake . eat ' Il Grasso ' - hotel 's restaurant - first night really enjoy experience . do not wait long register check - out . total cost two we two night £ 226 ( room - only ) . not breakfast , can not comment value - for - money ( £ 9.95 pp ) . 
 Nov 15 2008 	 Good Value Money Hotel 	 stay hotel three night . worried read review leave booking last minute want central location . glad say everything go really well . foyer lovely . marble finish floor , long wood polished reception desk , smartly turn staff . check quickly , possibly Sunday afternoon . room adaquate size perfectly comfortable clean . ( think room vary lot size ) Note- room non smoking . curtain room noisy window open , central London . nice resident lounge mezzanine floor , wireless access pay internet access . expensive get much well value pop across road Internet Cafe , also good coffee , sandwich outside table need nicotine . the breakfast bit work canteen term presentation , good selection food plenty . buffet choice include cereal , cold ham , cheese , bread roll , croissant , cook English . problem get table . the attached pub good value local custom , always good sign . also outside seat nicotine fiend . chinese restaurant part hotel eat night arrive . good meal . however , go japanese fusion restaurant attach hotel follow night amazed high quality value money . really good set menu superb value . food good eat Japan . friend dine we night think good value Japanese Restaurant London . we check We d morning helpful Porters desk take luggage assist we sort tube back Heathrow . overall like hotel . 
 Nov 7 2008 	 never ... 	 arrival , one hotel desk staff laugh staff & quot ; demanding & quot ; customer dare ask decaf coffee . lift not work ( watch be ninth floor ) stair narrow pipe run across head level duck . sign ( come across several lost people maze stairs doorway ) stairwell badly light . room narrow door get , much small standard door , metal plate corner wall stop place fall presumably . room tiny barely move round bed . bath hole water sink come murky could not see plug . window not fit frame wind come . heating not work room freeze . top sheet bed filthy stink someone else 's stale B.O . carpet filthy . tv not work . hairdrier not work . dead lock chain room door . vend machine next lift corridor sell selection condom next chocolate bar . breakfast chaotic , enough seat , terrible food . can not even get toast . try overcharge we room £ 40 , take hour resolve manager would not help girl try serve we , new not know fix . keep ask help manager not even look , ignore speak . 
 Nov 6 2008 	 large impersonal hotel noisy location 	 location clue - right Tottenham Court Road extremely close Oxford Street , nervous would noisy ( book late little choice ) right . room appear double glaze , noise non - stop - even middle night due night bus lorry unload shop across road . hotel also suffer overly large - 11 storey nowhere near enough lift . & quot ; peak & quot ; time wait good five minute . contrast , room pretty small - bathroom extremely small . staff food fine , mean make extreme lack sleep due noise . go back . 
 Nov 5 2008 	 can not fault ... 	 people complain bedroom bathroom small hotel noisy , can not seem think ... stay hotel Central London one busy street ! ! yes , room small bathroom tiny , can not expect central hotel . honest , visit London sightseeing trip need hotel base ; somewhere wash somewhere sleep . want big room , pay double price hotel minute street ! noise , obvious noise central . I could not really fault hotel . clean central one need visit city . criticism check - in take long necessary staff seem incompetent . , would stay location . 
 Nov 2 2008 	 unbelievably noisy hotel 	 2 week theatre tour Canada . incredibly noisy , small room / bathroom thing go , location . would rather pay money stay quieter , downtown location . get move another room side hotel not make difference noise level condition room run move . elevator incredibly slow , option take stair 9th floor . would stay stay 1 2 night could not afford upgrade well hotel . 
 Nov 2 2008 	 great location 	 central hotel , simple clean amenity . friendly staff . 
 Oct 26 2008 	 big 	 stay 1 night 24/10/08 part theatre break see Jersey Boys Prince Edward Theatre . the Hotel close theatre reason choose it . that point favour . basically hotel big lot lot people stay there . you queue lift bear mind 11 storey people would use they . the room small shower room small . the surround street busy noisy difficult walk crowd theatre . get breakfast problem .The queue long breakfast ok serve it . it seem quieten around 10 am leave late big part day go . the problem Hotel number people stay staff good cope number . sorry do not think would stay even though location good . 
 Oct 24 2008 	 absolutely fine hotel ! ! ! 	 stay last night one night . one hotel triple room although room little small fine night . hotel centrally locate room quiet central place . rate extremely reasonable room clean . not really need one night stay . 
 Oct 23 2008 	 worth be run 	 two - night stay St. Giles , sandwich stay family outside London . first , be close Covent Garden claim . huge deal ... fault MapQuesting it . got great rate consider booked week . hotel not pretty . seem constant state repair arrive several baseboard rip carpet peel back common area arrive ... time return first day fix . could tell see 's share traveler stomp out . that say , room clean , include bathroom . open window air noisey ... close , silent . perfect stay be go London see London . early home late ( hotel bar open late , plus nightcap ) really need want hotel service . imagine , be look something & quot ; comforting & quot ; not . be look clean room flop day museum , shopping pub , nice . 
 Oct 20 2008 	 big noisy 	 big hotel many people . stay 12th floor tiny room terrible view . breakfast bad ever eat . breakfast room chaos , staff unfriedly . leisure facility able use o.k . members sport club complain club manager hotel quest allow use facility . like child swimming pool . even go time allow people age swim . never stay - good thing location . near British Museum Oxford Street that s . next time find small hotel near . 
 Oct 18 2008 	 great location shame wear old Hotel 	 Hotel fabulous location West End 3 minute walk Tottenham Court Underground Station , sadly real benefit Hotel . check 2 night ok apart large group wait , ( seem large number coach group stay along group school child regularly block entrance foyer morning evening ) . wait one 6 lift floor regular nightmare lift slow lift well crowd matter time day . fast use fire escape stair , luckily level 1 not inconvenience . room smell like musty old bar stench stale cigarette , reception assure recently make non - smoking , bed relatively comfortable room clean . air - con room open window fresh air slept ear plugs avoid street noise constant siren . morning always hot water word warn hot water seem run evening save hot shower morning expect tepid shower night . English Buffet Breakfast reasonable thing line like sheep many guest 's bit fight line tray , food eventually table . clear place not renovation long time , surely could afford one seem place good business . 
 Oct 15 2008 	 Location Price Excellent ! ! 	 come back stay would say get pay consider location want hotel room London . I stay 1 night whilst go O2 see Queen . hotel ideal one change tube O2 take 30 min . next morning heart London . breakfast ok much eat two northern lad fill we day . leave bag free give tip anyway . allow we use lounge rest later train leave 9:30pm . would recomend hotel ? yes ! central London , buffet breakfast £ 100.00 per night . yes bit tired hear little noise due thickness window . bathroom clean tired . hotel value money location , location , location . stay problem take wife 2 child . 
 Oct 13 2008 	 Disgusting 	 Location thing go hotel . twin bedroom tiny extremely noisy night . bed pillow uncomfortable - spring see well day . bathroom also small leak tap fix weeklong stay despite report three occasion . foul smell permeate lift bad 7th floor one day stay . breakfast average staff generally unhelpful . interestingly feedback form information folder provide follow request . 
 Oct 11 2008 	 Bagain tired 	 surprisingly large hotel would not notice unless look , would wish not .... hotel get 4 start price . centre London , concrete monstrosity home tiny room , fade decor small bathroom , charge £ 100 per night . business travel , hardly see hotel room , be ideal . the staff courteous , need smile - mostly foreign , assume london need grumpy . below hotel huge & quot ; londoner - after - work & quot ; gym . 's functional , ie yuk , busy . 25 m pool rarity city hotel . 
 Oct 5 2008 	 ok Central London one night 	 Great Location Central London , cheap , get pay . room small , clean , use blind curtain light wake . noisy . lift slow , wait five minute one 9th floor . breakfast ok buffet style , , cheap Central London . would want stay one night . 
 Sep 29 2008 	 Decent sized clean comfortable room fantastic location ! ! ! ! ! ! ! ! ! ! 	 book hotel read review seriously consider cancel booking would fool , please do not take comment seriously hotel great . I ve already recommend friend would definately stay , could fault . everyone different expectation experience mine fantastic one saw weekend think would unlucky bad one . we get tube king Cross Tottenham Court road hotel literally 2 second walk , could see straight away , save lot time look map wander around luggage . check 2 pm arrive 20 past 1 get check straight away problem , check staff friendly efficient . worried room would like problem decent size clean comfortable . thing would say quite warm warm day also . because hotel centrally locate noisey night lovely meal nearby china town ( many restaurant choose ) drink nearby pub soon get sleep . the next day check early leave luggage day could go shopping cost £ 1 per bag bargain ! ! can not stress enough good hotel , location fantastic could see London Eye Big Ben window ! 
 Sep 28 2008 	 Adequate short stay 	 St Giles large , impersonal hotel , probably build 1970 . unsuited business traveler , stay several day would probably find substandard Bu short , non - business stay , not bad option . pro : * friendly staff , efficient reception checkout . * surprisingly decent modern bar malaysian restaurant . * clean room bath . * Bloomsbury location : British Museum street , theatre - land Soho within 10 minute walk . * reasonable price . con : * show wear -- fray carpet , scuffed wall . * room tiny ; almost cell ( however , could see & quot ; fire map & quot ; class room small hotel ) . * tiny , fuzzy television , limited selection channel ( CNN business channel ) . * wireless Internet , except expensive hotspot lobby . * noisy place first five floor overlook Tottenham Court Road . * concierge really push dodgy & quot ; car service & quot ; Heathrow , overprice wholly unnecessary . I two night , attend meeting Friday , Saturday free , fly home early Sunday . , St. Giles fine . stay long , room size noise would become problem . business , would find wholly unacceptable . 
 Sep 23 2008 	 fantastic value money 	 stay hotel 2 night 2 sister mother . read review go bit apprehensive . I m glad say pleasanty surprise . the staff hotel friendly , efficient helpful . 2 room 10th floor average size . room bathroom spotless . downside could quite wait lift busy hotel . go breakfast 8 clock avoid queue . great choice food breakfast . location excellent . hotel great value money central . would definately stay hotel , would recommend anyone short stay London . 
 Sep 23 2008 	 great location small noisy room 	 good location , walk Leicester Square , Covent Garden central location . right opposite Tottenham Court Road tube station . Superior Double Room small ( maybe ok short weekend stay 6 night ) even single occupency . bed comfy enough though chargeable internet access lack wireless room great . also small tv poor signal . I 2nd floor room overlook Charing Cross Road . even window shut could hear every single car drive past , road not shy emergency service vehicle either ( early morning idiot megaphone ) . thing could drown noise put air conditioning make sound like loud road drill not seem work . overal : great location room small noisy . 
 Sep 15 2008 	 nice 	 boyfriend stay hotel end August one night . choose hotel 's location Dominion Theatre go see ' we Rock ' . hotel even five minute walk Theatre would say location good thing hotel . we arrive hotel check - in queue half mile long take age get see good start . staff incredibly miserable , face enough make anyone feel depressed . none smile guest burden . we give room , small . ' ve stay small room one really top ! bed almost take entire room bathroom tiny . plus window hardly open room become really fusty get ready go night air . we get one night end day base breakfast follow morning top . get restaurant 9.30am absolutely packed . spare table people wander around place tray food look sit . time , food go cold . the queue breakfast really long time manage get table , sit wait boyfriend go get breakfast vice versa . mean come back mine , already finished not even eat together . in opinion , staff give time breakfast make sure enough table everyone . the food horrible left . hate moan like cattle market . when check , staff still really miserable even much thank say . not expect royalty treatment customer service skill would not go miss . I really would not recommend hotel . plenty area would chose another next time go London . 
 Sep 15 2008 	 great location 	 return short 2 night theatre break see Wicked Apollo . hotel ideally locate walk tube . room smallish , clean , honest 's go spend day hotel room ? be go sleep . bed comfortable , yes , lot noise street night , central London , be hardly hotel 's fault ? breakfast adequate could much want coffee ugh ! would liked see fried egg menu . concierge staff brilliant . could not helpful pleasant . last day , have check , able leave bag long want free we drag luggage around day . cost small tip ( optional ) . would stay ? location - yes , tend try different hotel time travel . wicked , well wicked , real must see , awesome ! 
 Sep 12 2008 	 Great Hotel - BRILLIANT location 	 initially book hotel read review extremely worried go reading ! . arrive Tottenham Court Road tube station make way onto busy street meet dominion theatre show rock continue walk road 45 second later arrive hotel . outside look lovely inside also do not dissapoint . around 11:45 get hotel part check official check be not 2 pm . allow leave case hotel go day . arrive back around 3 pm collect case allocate room . reception explain everything we regard breakfast use leisure facility . room 3rd floor , 2 single bed , telly , view face front hotel view BT tower . nice wardrobe drawer storage , safe basic bathroom LOVELY shower . next day use pool ( around 06:45 ) £ 4.00 per person per stay worth . lovely pool staff friendly helpful . go breakfast . around 8:15 already busy . there s cold food hot food . nice - thoroughly enjoy . end stay : - ( checkout easy - official time 11 am choose @ 9 am could go day . leave case hotel go back afternoon . all really really lovely stay . 1 plug socket room take double plug we problem . definitely use room hope soon rather later ! . 
 Sep 11 2008 	 Great Hotel price 	 6 we stay hotel range 39 69was go change booking read bad comment hotel , glad didnt . go London mum 60th go see Mamma Mia fantasic . room good ok little small big enough need . think must good room bath mine separate seat area , room good infact except bath clean ad look like recently do . carnt coment breakfast do not , bar stair good laugh frindly staff busy . one bad comment lift slow ok 2nd floor mum 9th wait long time . 
 Sep 9 2008 	 miserable small clean . 	 boy staff miserable , find hotel London outside M25 . reception area nice enough , corner room small , go one night watch & quot ; wil rock & quot ; production , girlfriend plan spending lot time room , big issue . restaurant food nice , ask could take glass back room leave £ 5 deposit pick reception morning leave glass . problem reception refuse take glass back give deposit back restaurant independent hotel . Argued toss say need bit basic communication , become point principal , 10 minute huge sigh guy reception , get deposit back . food , really enjoy , breakfast really nice , definitely fill way home . location , could perfect , minute get room theatre underground . great base shopping first day . would not look come , see promotion would definitely consider come back , gripe trivial nothing major . show great way , like rock Queen go see , will love , actually think going see second time . 
 Sep 8 2008 	 bad hotel ever ! 	 moment enter room leave awful . the room small , smell , try open window stuck . sheet hole , two towel . bathroom even bad , dripping tap , crack sink , flush loose shower small cove mould . spend first night hard small bed wake early alarm tv go could switch . later want watch film tv turn 's self every two minuet . breakfast never stay hotel collect breakfast tray like work canteen ! glass juice ( real juice ) leave . dump go ! 
