Excellent 	 wife recently stay property one year old . say enough wonderful service . hotel well manage , staff extremely pleasant professional . could get within 15 ft stair someone help we stroller . area close 2 large park adjacent metro stop . grocery across street several restaurant close . arrive early staff take we lounge brief stay room ready . regular marriott business traveler , use lounge . one nice compare . room clean well appoint . would definitely stay . 
 Terrific Service Interesting Neighbourhood 	 move hotel 3 night October 2009 stay London , attend business meeting . use Marylebone Station hotel put within walking distance early morning start . also business account , budget increase personal one . moment enter lobby , apparent enter luxury hotel . ratio staff clientele increase three - fold previous & quot ; leisure & quot ; hotel . decor beautiful service warm inviting . give early access room , even though expect store luggage . room clean , stylish comfortable , seat room previous hotel . I use business centre daily find quiet . question download view file , always helpful staff member nearby find answer ( not make feel silly asking ) .The neighbourhood interesting , lot arabic restaurant shop . coffee shop across corner , case want venture hotel 's restaurant . also particularly good restaurant call Beirut Express around corner , phenomenal food . course , Oxford street two block away , load shop fast - food place . near tube station within two block hotel well - locate lot interesting walk nearby . 
 Nice Hotel easy taxi ride airport Heathrow . 	 get taxi Heathrow Marriott £ 38 www.heathrowminicabs.com Tel [ -- ] get easy walk many tourist spot London 
 Dec 1 2008 	 Perfect hotel 	 arrive back stay hotel 3 night . hotel perfect , staff polite always willing help moment walk door . room spotless two big double bed . food lovely breakfast well worth money . definatley stay ths hotel return london . location perfect five minute walk hyde park oxford street.overall fantastic four day london make even well stay marriott 
 Dec 1 2008 	 Great experience 	 quick trip Aug . room excellent staff even well . everyone go way help voucher Buckingham Palace . would usually pay would stay staff room quality . 
 Nov 24 2008 	 great accomodation 	 stay 6 night . room large european standard . very clean . front desk oncierge staff could not enough you . room clean . breakfast buffet wonderful . excellent experience . 
 Oct 31 2008 	 Outstanding 	 outstanding . service top notch . room clean , comfortable shower like stand Niagra Falls ! service friendliness great . wife stay 4 night ... dream . indoor pool basement peaceful perfect ... great long day sight seeing . 2 minute walk metro ( tube ) accross street Speaker 's Corner . great place ! can not say enough ... 
 Oct 4 2008 	 good experience 	 stay Marriott May ( see report ) poor experience . complain offer reduce price stay again . this time everything perfect . nice room first floor , hotel ( ) bright clean make feel welcome . food bar nice not touch mini bar time ! ! ! breakfast good . think good value London would stay problem originally sort . 
 Jul 26 2008 	 Excellent Hotel 	 recently stay hotel four day find decent hotel . London standard , room reasonable size two double bed . room redone new look . room clean , air - conditioning work well , especially return surprisingly warm day . point previous reviewer , hotel locate predominantly muslim area . make five minute walk begin Oxford Marble Arch , encounter many cafe Muslims enjoy cigarette , coffee , and/or meal . concierge desk helpful , front desk accommodate . fairly typical Marriott , be pay experience . 
 Jun 22 2008 	 service beyond 	 love place ! go friend pleasure trip London week 15 June . stay Marble Arch 3 night , go Paris 3 night return Marble Arch last night depart home next day . every situation , experience excellent . room clean spacious , staff polite courteous . remember we upon arrival tell we would miss we hurry back leave last day . concierge even phone Paris confirm restuaurant reservation we ! nothing would not make stay enjoyable . would definitely recommend definitely stay . * * also , stay , get concierge point right direction 2 minute walk GREAT pub call Duke York . british charming cute . loyal patron make feel right home likely pop chat giggle . owner , Gareth , great guy . Cheese Fries excellent ! 
 Jun 14 2008 	 nice hotel 	 nice hotel . Islamaphobic not right hotel , halal restaurant place ( great Muslims ) . channel hotel also greatly cater Middle East guest . funny enough not seem many Muslims stay hotel even though location perfect muslim traveler . location good many restaurant around grocer , easy feel home . also mcdonald around 5 minute away , supermarket . bit walk tube , honestly , bus much cheap get close attraction tube , quick consider walk tube entrance whatnot . 
 May 12 2008 	 Great Hotel 	 stay 2 friend weekend . hotel good location , really central Oxford Street , Marble Arch & amp ; Hyde Park - great go sightseeing plenty bus tour go Marble Arch . hotel lovely . room 2 double bed . really clean , facility great . the staff extremely friendly helpful . restaurant really good bar food great light bite . I would definately return hotel recommend anyone know go London stay ! ! 
 Apr 28 2008 	 Good Hotel 	 good hotel , staff efficient friendly . location little far Oxford street within walking distance ( little confusing first fine ) . food good service great . would stay , room nice comfortable decent Marriott hotel . 
 Apr 27 2008 	 great stay - highly recommend 	 reason choose hotel positive review read tripadvisor.com . completely positive experience - polite , helpful staff clean room comfortable bed executive lounge . highly recommend pay extra money executive lounge . include breakfast every morning , drink day , hor doevre early evening dessert later evening . plus computer unlimited access internet . the concierge extremely helpful . one night secure us 7th row ticket great play . also recommend place grab quick sandwich also authentic english pub dinner one night . the surround area primarily middle - eastern . always feel safe walk comfortably area day evening . tube stop 10 minute walk wish close , diminish enjoyment hotel trip London . highly recommend . travel child , executive lounge even useful . 
 Apr 16 2008 	 great renovation ! 	 stay hotel weekend leisure visit . whole experience great ! hotel go renovation , still evident lobby area . room clearly renovate recently great shape . bedroom large bed comfortable ! surprised find UK ! hotel brisk 5 - 7 minute walk Marble Arch tube station / Oxford Street , pretty great location . overall - great stay ! complaint ! 
 Mar 28 2008 	 great Marble Arch location 	 nice business hotel Marble Arch hotel . walk distance selfridge , Liberty , UK department store . Tube stop close . room big London standard . staff nice hotel ' ve London . room decor typical american chain . food ok . dinner one night , would recommend Thai restaurant next door . amazing food . 
 Feb 29 2008 	 good experience 	 wife two friend stay week - end recentlyWe find hotel clean appealing , staff friendly . hotel actually Marble Arch , that s Marriott Park Lane ten minute walk away . the room clean adequate couple day stay . find great choice breakfast cook good standard . would hesitate book hotel , use Tesco voucher find reasonable price . 
 Feb 19 2008 	 enjoy stay ! 	 spend 5 night great hotel ! , clean comfortable . room certainly spacious 3 we . always clean , always enough towel , etc . lobby area concierge wonderful . everyone helpful nice advise we transportation , dining , touring . buffet breakfast terrific . choose use bus instead underground transportation since bus right ! convenient . would surely return . 
 Feb 9 2008 	 bad ... 	 stay Marriott Marble Arch couple buddy . all bad hotel , nice size room comfortable bed . warn construction go hotel , barely noticable . ( except fire alarm seven morning , cause construction worker drilling water pipe ! ) two reason choose give hotel three star instead four : first , tell book get rollaway bed room would problem . end impossible , due fire regulation . solution offer get second room 400 dollar night . thank ! second , website say wireless internet room . true , cost 30 dollar 24 hour . fault research enough , guess . all , good hotel central location , would consider stay future . 
 Jan 18 2008 	 Marble Arch -- mixed service 	 stay 12/29 - 1/2/08 . room not ready 4 pm , hour later promise . free soft drink provide we wait . ask suggestion nearby restaurant ( recent knee surgery ) not give assistance except suggestion visitor book hotel . next day go ER accomodate get taxi know close hospital . also , without we ask , upon view cane , locate we quiet room elevator , truly appreciate . bell captain also accomodate get cab , even though mean run main street flag one . atypically , due knee , use room service several meal find service quick food good , even though order 4 breakfast , never bring enough serving ware , i.e. , one knife 2 order breakfast pastry 2 breakfast include toast ! ! 2 tea / coffee cup 2 adult 2 teen party forthcoming even though request . get back ER 2 pm , room not touch , call housekeeping , come 4:30pm , rest family return prepare go evening . perhaps experienced cleaning staff New Year ? bed pillow truly wonderful -- unfortunately , spend 4 day bed ! 
 Dec 28 2007 	 worth visit 	 stay Marriot Marble Arch 21 - 23 December 2007 . choose hotel number other read TripAdvisor review let . hotel good condition staff friendly helpful . stay family room ( 2 double bed ) ' overly crowded . location hotel good theatreland ( see Mary Poppins ) necessarily handy access tube ; spend reasonable amount taxi result ( although good bus service adjacent main road ) . arrive late first day bar meal , friendly helpful staff bar , food reasonable . breakfast hotel good great hot cold buffet . mixed view rather soft bed – good rest necessarily provide great sleep . would certainly use hotel would hesitation recommend traveller . 
 Nov 21 2007 	 nothing special . indifferent throughout 	 Marriot frequent traveller card stay hotel around world . the hotel let follow way : check : one person front desk take long time get attend : good first impression . room : properly clean kettle do not work . there fridge put stuff ( minibar electronicallly tag can not remove thing make space ) .breakfast good : conmplaint there . I think problem hoitel soul . go motion little real engagement punter . go executive room look average Joe feel lack . 
 Nov 2 2007 	 marble ARCH = PARK LANE BETTER 	 hotel give 3 star pretty average typical Marriott . US traveler go UK exchange rate $ 2 per pound , rate 188 pound / night come $ 400 / night . say would like non - smoking room & quot ; guarenteed & quot ; request . get could change room non - smoking room . bathroom room ultra - small . postive side room overall nice , bed comfortable staff friendly . title review Park Lane well Park Lane Marriott right Hyde Park next Marble Arch Tube stop next actual Marble Arch monument - much easy get pretty much price . big complaint = Marriott Gold Rewards member grant access concierge lounge . nice lounge usual ammenitie : water , soda , fruit snack . however , morning eat scrabble egg toast host came ask room number ( # 306 btw ) ask . tell 4 pound ( $ 8 ) per day charge & quot ; food & quot ; lounge ? ! ? ! want eat toast egg morning pay $ 8 lounge . front desk & quot ; forgot & quot ; give letter explain upon check would not take bill . regardless , sign host come eat tell . think cheap . point reward member access conceirge lounge pay - not suppose one reward ? ! anyway watch hidden charge . cheer ! 
 Oct 17 2007 	 great hotel comfortable bed ! ! ! ! 	 husband stay fo 2 night love . put poster comment dangerous area . ! London multicultural city want surround white , english speak people stay home . staff lovely room exceptionally clean . thing could say need improve bath towel . quite fluffy one would expect 4 star hotel overall everything great . 5 min walk underground lot place eat nearby . little patisserie call Chouette 2 block away lovely pastry breakfast mood fry . 
 Jul 14 2007 	 Good Value Convenient Central Location 	 Booked Priceline rate £ 62 per night , turn exceptionally good value money . arrive hotel 9 am room available great start ! ! typical Marriott hotel generally clean comfortable . room adequealty size , bathroom also spacious good range toiletry . the hotel 10 minute walk underground station Marble Arch Edgeware road . only downside thr stay limited room service menu 11 pm - quite late night restaurant shop around feel hungry . also , lift exceptionally slow ! ! ! apart , well worth price pay . would happy stay . 
 Jun 27 2007 	 enjoy Marriott Marble Arch 	 Marriott right we . frequently stay Marriott property one not disappoint . extra cot room crowd sufficient two adult two teenager . wish close underground stop - its 5 block away close would like , area safe end enjoy walk . 
 May 28 2007 	 Safe Bet Young Families 	 okay not Marble Arch hotel pretty central good choice , especially family . negative comment arab area ? well , London - 's multi - cultural never problem . not Baghdad ! anyway , back hotel . stay two night child age 9 4 make welcome . room king size double fold - down sofa bed . would prefer two queen bed fine . room spotless service exemplary nice touch balloon kid wait check - in . the pool good brilliant . 's little small limited change facilitite fine . gripe ? fact continually tell would pay eld child 's breakfast , despite fact rate state entitle free kid ' breakfast child 12 . fortunately , print rate description ( & quot ; Escape Family Time & quot ; something like ) little annoyed keep produce print ! compensation , breakfast - note - average good choice , quality ingredient efficient service . as say , fairly central . walk Regent 's Street around 30 minute kid cabs Covent Garden cost around £ 12.the staff worthy mention , particularly concierge maitre breakfast . , five star solid four star choice especially good family . 
 May 27 2007 	 Nice Convenient Hotel 	 find Marriott Mable Arch modern nice hotel . room size good condition room . overall nothing truly special average quality . staff helpful attentive . as early reviewer state hotel directly Marble Arch convenient still Marble Arch tube station also Paddington station Heathrow Express , wich three four bus stop away still within walking distance . 
 May 27 2007 	 Return Marriott Marble Arch 	 second visit month staff fantastic . can not complain location , know not Marble Arch go . apart , make welcome staff must rank among well encounter . moan time offer refill coffee lunch charge full price . though , worry 15 minute brisk walk Marble Arch worth try . 
 may 15 2007 	 Brilliant start finish ! 	 moment call make reservation impressed . receptionist speak extremely polite , helpful attentive , ask whether stay special occasion . week arrival send email confirm element reservation offer opportunity pre - book certain service . arrival help car bag car securely park helpful doorman . check - in smooth even though choose three adult share king room , pleasantly surprised size amenity offer . leave evening staff arrange us sofa bed put ready we ... duly do return pretty comfortable . generally one book hotel ' chain ' , prefer independent hotel go long way alter opinion , particularly staff . definitely go back . oh also forget mention price reasonable central London , especially three adult prepare share ! 
 Apr 27 2007 	 Nice Hotel Marble Arch 	 Hotel name Marriot Marble Arch ten minute walk Marble Arch Oxford Stree . I book smoking room check 4.30 pm tell none leave . after discussion one find , room nice clean well appoint . evening bed turn chocolate leave pillow second night reason . the breakfast nice staff friendly . pity hotel describe Marriott Marble Arch two hotel close . Marriott Park Lane Grosvenor House Hotel 
 Apr 22 2007 	 Superb Hotel will not disappoint ! 	 moment , step hotel feeling go good . reception area beutifully decorate straight away staff greeting help lugguage . problem check arrive time .. room ready least another hour , however not mind give we time take site get know fascinating multi - cultural area hotel locate ! eventually check room comfertable spotlessly clean . breakfast hotel second none though WATCH ! ! book family 4 2 people breakfast include , end pay 40 pound another 2 breakfast . believe , however main attraction hotel unbelievable location , right heart everything , directly main road . London 8 time far good location hotel stay ! hotel definatly worth stay . 
 Apr 3 2007 	 Marriott really nice 	 girlfriend stay Marble Arch Marriott 6 night mid January . really nice hotel pretty decent sized room ( especially Europe ) . staff great upon check helpful planning activity , get cab , etc ... room clean , neat , visit every day hotel staff . bed turn fresh fruit chocolate every night . I Marriott Platinum member , access lounge free breakfast evening snack . reward member , breakfast really good , nice variety free food . internet access pretty expensive . think spend $ 25 $ 30 24 hour room access . also buy increment time ( get card code use 15 , 30 45 minute ) use lobby computer , turn pretty good option send email two day . we use Premium Tours . go Bath ( really pretty town ) Stone Henge ( close due really bad weather get ) , Leed 's Castle , Canterbury , Windsor Castle , London Bridge tour group . tour guide really good bus immaculate condition . careful , though , sign guide trip . trip Scotland , Paris , etc ... basically send train ... , sure be awesome , verify getting make reservation . we find tube easy navigate bus . try use tube mostly , get cab 3 4 time . cab really bad price . fly Gatwick purchase ticket tube . purchasee ticket Gatwick Express ticket one week tube / bus system . combination ticket get train Victoria Station weeklong ticket get bus tube . buy another ticket ride back Victoria airport . course , may want take cab airport hotel , expensive . take train VIctoria Station , get cab Marble Arch . cab ride 5 pound - 10 dollar . know sound confusing , work get .... lot people help out . the hotel perfectly fine neighborhood . middle eastern area , make interesting 's way . feel safe hotel time . place world , , two girl alone , careful night . man large group , would completely comfortable outside late night . , truth , probably would fine myself . I would definitely consider stay Marble Arch again . oh , yeah ... food great London . vegetarian think lose weight vacation ... friend meat eater might . say fish chip really good everywhere , ... say hotel restaurant good food ... advice food ... beware Rockets ... everything ( include pizza ) use , may able finish meal . 
 Mar 20 2007 	 Loved Marble Arch 	 great western - style hotel would comfortable Americans look comfort home . great corner room nice sitting area overlook Oxford Street . convenient Underground Marble Arch tube stop Central Line literally right front hotel ( Park Lane Exit ) . comfortable bed great linen . staff wonderful . friendly eager help . great stay ! 
 Mar 12 2007 	 Nice Stay 	 reading review , little concerned neighborhood . talk ? ? maybe block 2 Edgeware Middle - Eastern . problem convienant late night pizza snack local carry - out . walk Cumberland Street Marble Arch Tube station miss activity Edgeware . hotel accomadating staff friendly . stay 3 night old high school buddy annual guy trip . blast , location could not well price room . would recommend get access executive level , eat breakfast everyday drink snack day evening . well worth extra charge . , great hotel consistent Marriotts around world . come guy least 50 night year 1 mm point reward plan . 
 Feb 16 2007 	 central location staff can not enough great ! 	 good 5 minute walk marble arch decent gym pool spotlessly clean large nicely furnish room , fabulous breakfast . staff can not enough well mannered , polite , pleasant stay door open check meal / bar . along staff happen pass corridor . real pleasure atmosphere well do Marriott . , 
 Jan 13 2007 	 fine hotel 	 tuck away main road traffic 3 - 4 minute walk Oxford Street shopping Marriott Marble Arch . hotel spotlessly clean recently refurbish appearence . stay 3 night business offer fantastic facility short notice great price . the staff efficient friendly ' m tell work sometime unlike high turnover London hotel . breakfast excellent though quite expensive , plentyful room clean extremely comfortable . new bed give luxurious feel . bar relax great atmosphere security tight obvious . I stay many Marriott hotel throughout world experience , doorstep , one good . Bob P . 
 Dec 15 2006 	 Nice Place 	 wife stay three night small Marriott property satisfy overall . the location weak point beat path bit hike Marble Arch Underground station . we use Marriott point , priority selecting location . request room high floor get executive level room 12th floor , nice . 30gbp access executive lounge floor breakfast refreshment throughout day . good deal save time convenient , pleasant , etc . staff helpfull . small pub restaurant . good fish chip , salad pub . bit pricy convenient comfortable . we use Heathrow Express train to / from Paddington station ( aprox 12GBP ) cab aprox 5gbp . well worth . clear hotel Marriot George Street take cab . other review make mention middle eastern neighborhood islamic language hotel . overrated . worry . Edgeware Road busy commercial street lot middle eastern business people . . wish avoid , take George Street North Cumberland St Marble Arch walk quiet residential neighborhood . London traffic grow exponentially since last visit six year ago . average speed eight mph . avoid bus / taxi / car possible . 
 Nov 14 2006 	 conference delight 	 delightful experience stay Marriot Marble Arch turn . arrival , escort taxi reception arrival handle courtesy efficiency . the room generously proportion massive bed selection pillow would put many hotel shame . holiday inn offer choice pillow hotel put room . bathroom large good selection soap , shampoo bubble bath . view window rather depressing ( hotel ' fault ) absolutely nothing shut curtain ' cure . light good desk sufficiently large spread work still room put glass . I stay hotel business conference facility place absolutely excellent . conference staff first class nothing much trouble . amazingly , room set arrival delegate pack lay table projector turn focussed go . breakfast fill well serve lunch menu excellent sit describe private dining area . coffee / tea break accompany pastry fruit delegate go home happy content … .. shall definitely tell company book . 
 Oct 3 2006 	 Great London Hotel . 	 Hotel extremely well present , friendly helpful staff . the room well appoint quiet ( apart usual London siren noise ] .evening meal restaurant pleasant helpful staff feed 4 year old son mixture dish . breakfast fantastic ! 
 Sep 3 2006 	 US visitor : upgrade executive level enjoy full breakfast roo 	 spend 3 night late august . use AAA get executive room lounge access , cost 15 pound per room ( per person ) well worth . lounge access come full english breakfast buffet restaurant downstair continental breakfast lounge . unlimited snack / soda / coffee lounge day . evening , canape 530 - 730 , hot hor d'oeuvre 730 - 930 , dessert 930 - 1100 . want , could eat day 15 pound ( not person surely could ) . compe breakfast alone family 4 cost 60 pound daily . great bargain light terrible exchange rate high cost , terrific us hearty breakfast start day . pool hour 9 - 9 kid , one hotel pool air conditioning . pool big shallow - probably 4 foot deep . pool lap swimmer . staff wonderful - go way we , concierge knowledgeable helpful sight . tell we backpack kid British Museum phenomenal freebie . dead recs activity kid 4 8 . would stay again . I agree poster area turn mini - middle east . fresh fruit produce available area hour , several 24 hour store block around hotel . prepared shopkeeper speak english Edgeware road . five minute walk tube , bus stop block Hotel Edgeware road . inconvenient . 
 Aug 10 2006 	 bad could well 	 great stay Marriott . bad timing , probably anything . got later July hot day london heatwave . air conditioning quick work throughout hotel take day fix . even fix room still air . guest relation dept . helpful move we door room air . unfortunately bed room horrible condition , since hotel fully book really alternative . room servicable tourist ( small one need ) . staff bright spot hotel . guest relation could concierge help we lot tourist stuff . yes , highly arab area never problem , fact two block away ( towards Marble Arch tube stop ) one good italian restaurant will find London ( Biaggi 's ) . ask concierge get reservation . excellent food . , hope bit money ( nearly US400 per night taxis include ) . 
 Jul 28 2006 	 not listen complainer ! 	 great hotel . stay week . husband work every day two child , age 5 7 . take every tourist attraction London . concierge helpful everything , include run street get purse , leave restaurant night . easy get around . tube easy walk street , even two kid . also hop bus top street also take anywhere . ask concierge will tell bus number . would recommend get Oyster card tube bus travel . child ride free tube bus . it good hotel . 's arab neighborhood . big deal . highly recommend hotel . lock valuable safe , ipod dissapeared . the pool excellent child gym fine . friendly staff helpful . not know people talk staff friendly . get back give , suppose . 
 Jul 10 2006 	 nice hotel heavy arab area 	 hotel certainly nice conceriage helpful heavily populate arab area . restaurant surround hotel arab info hotel English Arabic . make little uncomfortable US . staff helpful ! 
 Jul 7 2006 	 Fringe 	 spend two night small Marriott property first trip London . Clean would expect Marriott . smallish room . located fringe ethnic neighborhood , might uncomfortable fit american woman . hotel cater tourist , seem acknowedge middle Eastern influence resident . convenient location find place early breakfast , hotel , problem . nice pub within easy walk . 
 Apr 25 2006 	 bad well option 	 write Marriott Marble Arch . first floor room horrible view 12 story apartment complex . room typical London - small clean . one previous reviewer write , bed topsheet light comforter - strange huge problem . lobby nice one restaurant . small . everything hotel small - lobby , restaurant , gym , pool . decent hotel short business trip . one take family . I would agree majority arab business neighborhood safe would add attractive . interest eat one restaurant - adventurous guess . near tube stop Marble Arch block away - nice walk unless lot bag . Marble Arch tube stop also happen directly next Marriott Park Lane . price right , would definitly stay Park Lane next time . one final note - take Heathrow Express padding station taxi . 's way go . Heathrow Express great ! taxi driver bring Marriott Park Lane mistake . concerierge Park Lane help get another taxi say taxi driver make mistake time . sure tell taxi driver stay Marriott Marble Arch George St . 
 Apr 15 2006 	 Fantastic Hotel Good Location 	 stay London Marriott Marble Arch 3 night rate hotel highly . 5 min walk marble arch underground station / oxford street conveneient . the staff Hotel curtious , friendly helpful . restaurant adequate Pool big help kid ( 5 7 ) .the room nice size 9th floor 2 x double bed . point fact upgrade Executive Floor order guarantee Non - smoking room . plus side mean full access Executive Lounge free ( non - alcoholic ) drink snack also breakfast . 
 Mar 27 2006 	 good hotel - inconvenient location 	 hotel comfortable . nice lobby , well furnish good condition . attractive bar area casual restaurant . room 5th floor newly decorate hallway , however room need refurbishment . nothing major , smartene - new wallpaper , paint skirt board / door frame . furniture good condition bed bed comfortable . bathroom fine little worn part . worth mention service staff - excellent . extrememly friendly service female receptionist check we . great service restaurant breakfast . top mark service overall . what let hotel inconvenient location . take we age get anywhere . Marble arch tube station quite walk away along grotty street ( Edgware Road ) . not think get right impression London stay hotel dearly wish have pay extra £ 27 per room per night stay 5 * Marriott County Hall . 
 Mar 14 2006 	 Typical Marriott 	 London Marriott Marble Arch typical ( good sense ) Marriott . make reservation on - line not guarantee non - smoking double . follow - up e - mail guest relation manager hotel secure room want . the complaint size bathroom . be small , tub unusually narrow . hotel locate couple block north Marble Arch George Street , Edgware Road . 's bus stop # 15 bus block away hotel Edgware Road take Oxford Circus , Picadilly Circus , Trafalgar Square onto Tower London . 's good economical way get back forth sight . nice day , Buckingham Palace pleasant 20 - 25 minute walk away hotel past Hyde Park . this hotel lot staff . several concierge helpful securing transportation , theater ticket restaurant recommendation / reservation . eat light meal bar . food Marriott quality ( good ) english twist although price little high , even London standard . main restaurant typical hotel menu , also number middle eastern dish . internet access pricy - 15 pound , $ 30 . 
 Dec 16 2005 	 nice hotel good location ! 	 third time hotel past 6 month pleased occasion . hotel locate near Marble Arch , Oxford Street , Hyde Park several tube station within easy reach ( Marble Arch & amp ; Edgeware Road ) . area fine ' ve always feel safe walking / hotel . my recent stay 2 night . girl check ( trainee ) friendly make feel welcome . room nice , two double bed , spacious . nice touch chocolate pillow . complimentary water would nice - give 's 4 * rating , overall lovely stay would definately reccommend Marriott Marble Arch . 
 Oct 6 2005 	 Hidden Jewel 	 stay London Marriott Hotel Marble Arch use Marriott Rewards Points ( Silver member ! ) surprised give top Executive Floor room ( include access Executive Lounge free drink breakfast ) . also provide we champagne strawberry tell honeymoon ! staff kind front desk representative even waive parking fee we . the hotel great location – within couple minute walk Hyde Park Tube . even though people mention arab neighborhood , still feel safe walking around night . People attend conference even airline crew member stay hotel . 
 Sep 15 2005 	 Beware area 	 stay Marble Arch Marriott Sept. 2005 . book stay beware hotel locate highly arab neighborhood . feel unsafe walking area , comfort location american oversee . we find restaurant immediate area want eat , quite walk take cab ride go dinner . it also important note Marriott directly across Marble Arch , one several block away Marble Arch . the room nice clean . the concierge helpful choose restaurant area eat , pretty much own . we stay hotel Marriott point overall disappointed number point take stay substandard location . 
 Jul 12 2005 	 Marriott Marble Arch okay 	 stay hotel use Marriott point Marriott London accept point . hotel close bus subway one walk Hyde Park shopping . main street near noisy busy , couple block away , one feel one cute London neighborhood . concierge helpful . get breakfast include room , , otherwise , go elsewhere breakfast 's expensive hotel . additionally , hotel charge $ 25 24 hour high speed internet ( go starbuck couple block away ) . also , per minute charge phone call $ 1.75 per minute , even local call . pay phone block away . ' ve never hotel per minute charge . room okay , although much drawer space . bed top sheet , light comforter mean hot , hot . 
 Jul 5 2005 	 enjoy stay 	 family 4 ( parent two teenager ) stay week enjoy hotel . staff friendly accomodating . platinum status allow access executive lounge make stay enjoyable , also provide breakfast every morning . internet cafe ( minimum 1 pound 60 minute ) one minute walk . local pub , Wargrave Arms ( say hello Gary owner ) 3 minute walk . seashell restaurant 10 minute walk . forum writer not like Edgeware Street , find lively always plenty people street safety never concern . tend bother someone , free travel via parallel Cumberland street tube station avoid busy / lively Edgeware . purchase hop on / off tour concierge desk bill directly hotel bill . room always clean mid - day fruit / mint deliver every night . would stay . one London hotel allow Marriott point use 4 room . 
 Jun 28 2005 	 Convenient Location ; Great Staff ; Small Hotel ; fine experience ! 	 family four complete nine day stay , result redemption point Marriott Rewards program , thoroughly enjoy stay . check - in handle promptly , provide upgrade room access Concierge Lounge , recognition Platinum status Marriott . bag efficiently transport room bell captain . our room nicely appoint two double bed , accomodate daughter , wife . addition nightly turndown service , staff member deliver fresh fruit plate mint . room service daily housekeeping , provide extra toiletry towel without special request . Hotel Quiet ! access Coincierge Lounge provide we complimentary daily breakfast buffet . consist scramble egg , muffin , croissant , toast , orange juice , smoke salmon , slice baked ham , slice cheese , cereal , slice fresh fruit , among other . Josephine , concierge , efficiently handle breakfast traffic , personally greet guest offer service , replenish buffet ; joy , take personal interest we . note coffee machine individually brew espresso , hot beverage ; appreciate good coffee expresso .... weekday evening , concierge lounge offer vary complimentary hor d'oevres ( hot cold ) , mixed nut , cold beverage { alcohol available cost } . self service cold beverage available throughout day midnight . the mgt staff host weekly cocktail party concierge level guest , wonderful . provide # insight tourist activity recommendation nearby pub , invaluable service . Hor d'oevres wine serve . staff interest satisfaction GENUINE.The Customer Service Manager , Matthew , take personal interest we spend considerable time make stay pleasurable , include note extend good wish trip home . hotel locate adjacent arab business district , nothing unusual fact virtue cosmopolitan London . public bus service available appoximately 300 ft hotel entrance ; near Tube station ( Marble Arch ) 3 walkable block ; Paddington Station five minute bus ride . never question personal safety area ; surround area 6 story residential neighborhood replete antique store , market , school , etc . can not comment restaurant food commitment ; enjoy cocktail lounge , cosmopolitan staff attentive friendly -- good , quiet place nightcap elevator step away . our experience delightful would ( include 20 yr old daughter ) . change reserve Concierge Level room , perquisite worth . hope enjoy stay much ! 
 Jun 12 2005 	 upsetting experience 	 everything wrong hotel begin . stay hotel two week business trip . reception staff rude ignore request would give . room leave unlocked twice cleaning staff nowhere find . gym attendant give inappropriate personal lesson girlfriend floor middle small gym hour touch place make guest blush . food dissapointing say absolutely least . repeatedly ask cleaner could clean room come home work day . first receptionist say empty room give priority cleaning . three say & quot ; problem ... make note & quot ; , every day come home clean room , unlocked room . inconvenient want come , get change go business dinner . lift break entire two week would wait average 10 minute morning get downstair . room nice apart bed sink one side , clean . 
 May 23 2005 	 awful overprice food 	 not impressed Marriott Marble Arch would recommend anyone stay there . the room adequate clean , little small side staff whole friendly courteous , apart concierge demand present ID one evening let back room mistakenly lock whilst put roomservice tray outside . barefoot , pyjama , quite clearly ID - lock room . rude condescending - real & quot ; Jobs Worth & quot ; .On subject food ... would not recommend eat . 3 time fortnight stay , think eat overprice mediocre food depress much force eat local Lebanese - own establishment . , something mistake food poor ... , female alone , find atmosphere Edgware Road intimidate , particularly night . end two week resort eat raw carrot obtain local supermarket . the toilet lobby often dirty untidy lift gym pool work duaration stay , mean walk outside hotel dank desolate car park order reach leisure facility . ideal 6 morning . also endure 2 cold shower boiler apparently pack 2 day run . the upside relatively short walk near tube station shop Oxford Street ... needless say , cheered spend money would save eat hotel good old fashioned retail therapy 
 Apr 26 2005 	 would expect 	 big fan hotel ... stay almost 2 week business trip . reservation Arab - dominate area hotel . even hotel menu / brochure double - print Arabic . that say , think great area . Marble Arch / Edgemare Rd . excellent example international London - many great middle eastern restaurant . hotel also 5 minute walk Oxford St./Hyde Park . amenity would expect standard Marriott - good room service , clean hotel frill fancy London Marriotts ( Chancery Court , Park Lane ) . 
 Mar 18 2005 	 relax away hustle bustle city 	 book weekend away husband birthday , want somewhere near centre city , noisy . definitely choose right . hotel 5 minute walk Marble Arch ( problem rain ) . outside impressive , inside surrounding comfortable inviting . staff friendly , room lovely . suppose room double bed , like super king . small sofa coffee table relax . bathroom immaculate . even leave pear knife , unexpected ! word warn nosy , pick anything mini bar unless intend . due husband fiddle , three item charge account , ( include packet condom ) , none use drunk . much amusement reception staff , charge . ( luckily find funny ) . food bar excellent , watch drink , soon mount ! Breakfast include stay , enough choice . overall excellent weekend , would like slightly close tube station , especially carry luggage 
