great 	 upgrade 3 bedroom apt fabulous : stylish , roomy modern . issue kitchen quickly set right helpful staff . bed comfortable plenty hot water well appoint bathroom . staff go way friendly helpful , especially Francesco . great little restraunt bar ; adjacent shopping arcade good gym pool . could want ? 
 Sep 21 2008 	 Comfortable Convenient 	 friend stay Dolphin House 9/11/08 - 9/15/08 . first trip London . find hotel via Trip Advisor meet need perfectly . book online hotel 's website pay 90gbp per night . choose hotel largely due rate location . cheap hotel London , also want decent room location . location good , albeit slightly outside main tourist area ( help rate ) . plan use Tube get sight around town Dolphin House convenient Pimlico station Victoria line ( 10 minute walk ) . line close part visit ( certainly hotel 's fault ) , replacement bus take passenger Victoria station cost . Dolphin House largely apartment community , not expect typical hotel feel . find hotel office staff overly formal ( slightly remove , disintereste , friendly ) taste , check - in check - out go fine . bellman take we room , help luggage , answer several question . complex health club , include pool . not get chance use facility , tour club find decent ( free weight , sauna / steam , locker room , etc . ) . guest access club , not time . complex also small group store come handy ( notably coffee shop grocery store ) .The room nice , # 17 . quite spacious modern , quality furniture bed , kitchenette ( sink / microwave / refrigerator / coffee maker ) , two large closet ( safe ) , unexpectedly big bathroom ( tub / shower combo ) . attach couple room photo take . room offer hotel secure building , reassure 24 - hour guard monitor complex . door inner courtyard well exit street lock . problem never question security stay . room generally quiet comfortable . room include tv DVD player . friend access internet well . problem DVD player , call front desk two staffer quickly come assist we . room clean daily . overall , like Dolphin House provide we & quot ; home base & quot ; tour London . room quiet complex much offer . not expect typical hotel Dolphin House , great mingle local resident apartment real Londoners ! Tube link Pimlico key transfer point , minute away place want see pay less room visitor popular tourist area . 
 Sep 19 2008 	 unimpressed 	 ' ve stay Dophin Square hotel , guest room complex use able book via resident . do lovely place ? be take front house look modern impersonal - lot designer furniture polite useless staff dark suit sit behind Apple Macs . pay £ 200 stay room part build use house guest room available guest permanent resident . basically room upgrade soft furnishing addition sink fridge bedroom . bathroom , designer bath product ! also noisy irritate hum noise come electrical equipment outside . arrive late not energy go way back reception change room , noise keep awake throughout night . in morning discover hair dryer room call three time someone bring one round . over - price underwhelming . will not go back . 
 Sep 9 2008 	 not live expectation 	 read fantastic review Dolphin House book ' run house ' , website three night . choose service apartment rather hotel want basic self catering evening . at check allocate apartment 1 ground floor . disappointing . room small slightly grubby . carpet front kitchen unit dirty stain . microwave , kettle toaster . fridge turn , defrost full warm water . crockery one person only . we ring reception ask could move room microwave working fridge . member staff say not know , someone would ring back 5 minute . 20 minute response , march back reception luggage , find message pass one choose act it . we tell since book ' run house ' tariff , could not move . assertive complain state room , one bedroom apartment 6th floor ' find ' . lecture member staff great upgrade get not really - surely ' run house ' mean get well available room , bad one . the one bedroom apartment big improvement , large bedroom , bathroom sit room . however still small kitchen ' unit ' tiny sink , microwave kettle , squeeze hallway apartment , seem strange use space . perhaps unlucky , apartment see slightly shabby grubby , barely adequate kitchen facility . customer service clearly high priority Dolphin House . half staff come across pleasant , half unhelpful indifferent . dolphin House good location within walk distance Houses Parliament , Westminster Abbey etc , would stay recommend . 
 Sep 6 2008 	 hotel people sensitve construction noise stuffy heat ... 	 stay 1 bedroom apartment Dolphin House four day late august/ early September . let first comment room lovely- exactly advertised- spacious , well appoint , clean . unfortunately positive outweigh negative experience hotel . major construction Pimlico School across street hotel- weekday construction take place 8:00 20:00 weekend work Saturday morning afternoon . accord sign outside school construction ongoing 2010 . face street sensitive noise please hotel . arrive early transatlantic flight wait 3:00 p.m. access room . immediately upon check request room face square oppose construction zone husband light sleeper . tell none available check back tomorrow . follow day complain tell pack luggage would move we another room face courtyard day . arrive late evening find move luggage record request alas courtyard room available- suggest check back tomorrow . rather continue keep luggage pack continually disappointed make request . one discussion , front desk also assure we would construction weekend case . staff front desk always nice ' effective case ' keep track commitment . weather hot London reason room building hallway extremely hot stuffy . imagine stay weather hotter- think would excruciate experience . window open night construction cease reason flat would cool . staff restaurant breakfast poor reviewer mention . manager rush around restaurant ' clear might exactly . ' help patron come restaurant wait table even two waitress hand full patron already seated- literally walk back forth breakfast area ' much make eye contact patron pass . overall construction complete winter would hotel would consider . hotel could recommend . 
 Aug 30 2008 	 great location - reasonable price 	 stay 2 night one square ' 1 - bedroome apartment . check - in staff attentive efficient . room spotlessly clean small kitchen , living room en - suite bedroom , do modern tasteful style roomy good location . living room include large flat screen tv connect multimedia computer give either selection Digital tv station ( Freeview ) access on - demand movie , game internet access , though pay . WiFi also available room reasonable £ 5 24 hour . first night treat phone - for take - away company call Deliverance , whose menu leave apartment . food adequate ' really deliver rave review back menu , particularly chinese shredded beef . shop attach complex ground floor , include small supermarket off - licence , gardens roam around square . downside room noise come building site across road , although window close ' overly intrusive . main complaint attach restaurant serve continental breakfast . food high quality , second day none leave ask put . service staff poor , off - hand attitude . suggest get provision nearby Pimlico ( 5 min walk ) make room kitchen ! overall , excellent apartment , close central London give good service reasonable price . 
 Aug 25 2008 	 fabulous 	 fabulous stay book 2 night 23/08/2008 1 bedroom apartment get lovely 2 bed apartment everything u need therehighly recommendedand visit 
 Aug 18 2008 	 great stay great Value ! 	 stay 2 night Dolphin House Serviced Apartments August weekend sightseeing visit London . we book weekend package deal lateroom - 100 % recommend - £ 170 total two people 2 night ( + breakfast include ) one bedroom apartment ( normal rate £ 450 ) . apartment smart , modern , clean mod con . apartment consist lounge , bathroom , small kitchen , hallway large bedroom . although not use facility complex inform free use leisure facilite ( include swimming pool , gym , tennis court etc ) access attractive garden . dolphin House 5 minute walk Pimlico tube station ( zone 1 ) ideal sightseeing . central London hotel quality place excellent booked rate find , offer outstanding value . one minor grumble reagrding accommodation room hot night ( air conditioning ) . however , fan provide bedroom therefore big issue . we would recommend hotel leisure visit business stay alike . extremely comfortable stay - back . 
 Jul 28 2008 	 find ! 	 stumble across appartment [ -- ] find . cheap central London $ 230 NZ night , honest not expect much , get rave review lateroom , think , give go , well position walking see sight not mind bit grotty , , appartment lovely , add bonus nice restaurant site good coffee London well store hairdresser gym pool complex . we blow away good be . just 5 minute walk tube couple restaurant nearby . complaint room terribly hot ...... not know , . lucky enough fan leave night , appart room spacious immaculate , bathroom huge well . definetly stay . Wendi Green Christchurch New Zealand . 
 Jul 27 2008 	 sanctuary London 	 stay twice five day July Dolpin Square , prepayed & quot ; run house & quot ; room stay although management acknowledge one prepay , headache sort credit card home . apartment really lovely , pool amazing garden spendid ! first stay one bedroom , spacious two sink bathroom , two tv 's , king bed simple kitchen fill need , come kettle , fridge , two set dinnerware . second stay face courtyard hotel style room , probably spacious apartment hotel room find London . this place pefect family , take two year old swimming love . rare find London hotel much green space pool . pimlico tube station short walk first stop Victoria station . another tip ovesea guest , buy first class train ticket Britrail Canada easy hop train without make reservation , British rarely travel first class entire visit one two business man sit we , compare sit crowd standard class people often book seat , real treat ! exception airconditione management think seriously instal , would book Dolphin Square . 
 Jul 23 2008 	 utterly frustrating 	 frustrating ! get wireless internet working need login . get login , need fire Dell PC tv , use frustrating wireless keyboard sign . wireless drop frequently , make impossible use vpn connection . only 2 setting kitchen ( 2 glass , 2 plate , etc ) . sink plug not fit , toilet break cleaning staff , extra towel keep remove , ceiling light lack decent lamp , toilet not flush properly . internal door room close wedge open cardboard . bed lumpy lunar crater . the phone useless echo . nothing room place 's address postcode ( must - have be order phone UK ) . 
 Jul 22 2008 	 highly recomende 	 book business trip colleague would definately return future trip . apartment clean , spacious bed enormous , extremely comfy . great small kitchen fridge cool drink . disappointment book three bed apartment inform arrival overbooke take two bedroom one . turn ok apartment really big , pleased initially , disappointment appease however , free bottle champagne deliver oom complain ! room warm stuffy due hot weather could sleep window open third floor quiet . leisure facility look fab altough time use they . will stay 
 Jul 22 2008 	 understate style decent space 	 Dolphin House quite find central London . reception room understate stylishness - muted earth tone , modern design - get good amount space money ( least London standard ) .room spotlessly clean feature mini - kitchen allow save quite pound make breakfast . service generally friendly efficient . location superb central London sightseeing ( Houses Parliament , London Eye , Trafalgar Square pretty close ) . two criticism . none room appear aircon , could problem happen short british summer . not problem we , pleasantly mild stay , might wary booking August . also , restaurant ( beautiful ) garden much . slow service patchy food - avoid horrendously overcooked pasta . overall , great spot reasonable price , however . 
 Jul 21 2008 	 Good Facility Beware Management 	 book 2 bedroom/2 bathroom apartment family week - long stay London pay full 3 month trip . arrive exhausted international flight around 2:30 pm tell room & quot ; overstayed & quot ; would ready 2 3 hour ! tell manager acceptable & quot ; find & quot ; another unit send we look , 1 bathroom . back lobby another conversation manager , say apartment have book & quot ; overbooke & quot ; . discussion , finally tell apartment filthy would take 2 3 hour clean . wander around look place eat rest afternoon come back wait another hour . manager rude unaccomodating . awful beginning trip . apartment nice , need new management . 
 Jul 1 2008 	 Ticks box 	 husband book apartment surprise birthday . location excellent ... central close Pimlico tube station .. 1 stop victoria change picadilli line .... sound complicated actually really simple look tube map . the garden ground gorgeous , little quite santuary busy city . 1 bed apartment , spotless beautifully decorate , although rarely always . cute little indoor shopping mall , cafe . also bar restaurant reaonably price London , lovely swimming pool . fault thse apartment , perfect ! ! 
 Jun 30 2008 	 Hidden Gem 	 search high low comfortable resonably price accomodation London . exceed expectation . great room , superb location excellent service . negative air con corridor warm ! 
 Jun 27 2008 	 Westminster Gem 	 fiance stay Dolphin House two night mid - June . first floor & quot ; Run House & quot ; room , standard room accord Expedia . pleasantly surprise large size room ( european standard ) general comfort / cleanliness room . include small kitchenette ( bascially sink small fridge ) , king size bed ( deliciously soft comfortable day heavy - duty sightseeing ) , full bath . hotel part large residential community choose it- rather completely touristy area time , wonderful walk Tube morning worker , school - child , etc . small glimpse London living . three block Pimlico station restaurant / corner store . walk 15 minute Parliament , 20 minute London Eye . complaint : even though warm outside , stuffy warm night inside room . ask fan , concierge bring one within 5 minute , work fine . , delightful place stay ! would definitely stay . 
 Jun 19 2008 	 Excellent Value 	 stay three night . choose family reason want close Chelsea , need make several trip via Victoria Station , would great location general tourism . room small perfectly adequate need , , £ 90 , remarkably good value . bathroom excellent . ground floor room hot ( June ) — the hotel staff clearly reluctant leave window open day . room completely free street noise — if one dislike noise , one avoid directly embankment ( i.e . Thames ) . heathrow flight path , ' bother we , share expensive residential housing world people would minor drawback . one evening come back fairly late , tired want go ; pleasantly surprise well small restaurant suit need light supper . garden apartment complex well maintain would nice place sit read , Battersea Park across river pleasant place walk . use indoor pool facility look great . staff remarkably friendly . shall stay . 
 May 31 2008 	 Great Location Value 	 one bedroom unit week . even though tiny US standard , Bedroom , Bath , separate living Room Kitchen Stove , Small Refrigerator bare minimum appliance . give little bit homey feeling compare tiny hotel room Europe . room quite clean comfortable . see individual temperature control room could problem hot / cold day . furniture nothing fancy adequate . it 10 - 15 minute walk Victoria Station London Eye . bus 24 go directly quite tourist spot Pimlico tube station short walking distance . also nice commercial area restaurant , shop , full grocery store , etc within walking distance , location ideal . there shop , ATM restaurant within hotel convenient . high Speed wireless internet access free Hotel bar work well . all people hotel professional , friendly helpful . overall , great value location especially look something dry hotel room . would go back time . 
 may 26 2008 	 great ! loved . 	 pay £ 115 one night . double bedroom , ensuite bath shower separate kitchen / lounge area . fifth floor . lovely decor , extremely comfortable bed , good quality bathroom handy little cafe downstairs breakfast . swimming pool worth take advantage . be new , modern relaxing . check midday try get use . eat nearby indian restaurant near Pimlico tube . see anywhere else , hotel restaurant look expensive . downside could see receptionist hard understand ( brilliant English ) check seem take long . lot staff ( many ? ! ) around attentive helpful need . 
 Apr 27 2008 	 newly renovate Nice Location 	 hotel actually part large apartment complex recently renovate past year . conveniently locate within short walk tube , nice restaurant / shop nearby . room small , ridiculous London standard . bathroom new fitting , free toiletry high - quality . furniture fairly new , seem questionable quality - wonder well stand constant wear tear hotel use . shopping arcade complex , include liquor store convenience store . bed linen nice , tv new flat - screen . check - in prompt , service competent . , great place stay get discount regular rate , quote room rate & quot ; luxury & quot ; range , would probably stick establish hotel chain . 
 Apr 19 2008 	 Great Value 	 pay £ 90 one night stay serviced apartment . apart room ready get ( 7 pm ? ? ) impress place . room extremely well equip , feel expensive pay . room 519 , quiet location , kingsize bed . flat screen tv , Kitchen nice bathroom . nice swimming pool , adequate fitness suite place even small shopping arcade bar grill .. beer price cheap local pub ! five minute walk Pimlico tube , probably 15min walk Victoria 25mins Houses Parliament , be good quiet spot close central London . 
 Apr 9 2008 	 Loved ! 	 everything hotel great ! book studio apartment fantastic ! bathroom huge separate sitting room . we not want get bed - massive soooo comfortable ! staff friendly breakfast lovely - deliver door . stay Valentines ( chance intentionally ) even complimentary bottle sparkle wine fridge ! great access tube ( Pimlico ) local shop necessary item - love every minute ... good place stay London ! ! 
 Mar 25 2008 	 Ssshhhhh ! find good overnight town . 	 good thing Dolphin Square ( House ) Hotel currently 393 Tripadvisor 's list place stay London . happily ensure time come remain little hush hush - possibly good value place stay Capital . appreciate may find whole experience little informal - hotel like enough . upstairs hallway damn long could little freaky one may forgiven wonder Jack Nicholson emerge axe hold high ! appreciate poor chap put two elevator mechanic ' in stereo ' hate every minute . certainly imagine pleasant frankly undertrained staff , could cause coronary blip ... luckily stay two occasion rave . occasion pay £ 135 get appartment ( one occasion ' huge ' ) well , place refurbish someone actually understand human . bed pillow joy - place pretty quiet london hotel quiet backside room light shine window show tourist ( frequent area ) lovely place ! joy joy windows open ..... wide ! top even find ' warm ' floor bathroom small kitchen perfectly fit nice glass drink . oh genius ? complaint rather noisy dvd bedroom ( turn ) swelter room arrrival - turn radiator - dead easy . notice air con hot summer night sure would like well .... home ! ( window open ) new reception area , pool bar / restaurant complete whole thing add good value night yet find London year search . restaurant manager also fine taste good value wine . hope carry displeasing know ask , continue enjoy great night sleep reasonable price - concept seem tricky 90 % hotelier manage . finally happy spend night town without worry wallet . thank do not change thing . 
 Mar 16 2008 	 Terrable 	 stay London Dolphin Square hotel , 2 day business . stay regularly hotel apartment hotel 4 5 star world wide . arrive hotel 14.00 , reception inform room ready till 15.00.so wait . later arrive room locate in - between 2 elevator . left bag go meet . arrive back 2130 . shower notice small indeed . one could see make room cheap . door handle small kitchen several screw miss ; picture bedroom half hide cupboard . try go sleep early business meeting morning . impossible sleep could hear elevator mechanism every 3 minuet ! short phone reception ask move . receptionist try tell hotel fully book . say shall come bag 10 minute , . receptionist find another room ( 1 bed studio ) . small 1 bed studio . do cheap . day go early meeting , return 1545 , room ready . speak reception cleaner say take 20 minute . wait . , go back room – thing - 2 cleaner – bed . coffee cup water glass clean , toiletry take away replace , coffee indeed tea replace . do absulutly nothing bed . phone speak duty manager say pay £ 200.00 . send receptionist , clean manager 2 cleaner ! claim say bed ! one move request room clean – extra charge . mention early stay numerous apartment hotel -0 ' clean also wash dish . if want pay £ 200 room cleaning , replace toiletry coffee hotel you . they also forget mention time book pool area refurbish lot noise workman shout hear . I disappoint hotel . 
 Mar 12 2008 	 newly renovate apartment old Dolphin Square 	 stay 10 day two bedroom apartment living room small kitchen . nice location Pimlico near tube station . several nice restaurant immediate area several pub . near Parliment . stay several year owner decide get hotel business become apartment long term tenant . recently decide mix regular tenant short term rental . much nice hotel room , tv 's new flat screen bedroom one living room . clean quiet bathroom modern . staff friendly helpful time . free access exercise facility swimming pool . internet WIFI fee internet tv . plan stay . book via aparment broker . apartments4london.com 
 Feb 17 2008 	 home home 	 back 2002 , stay Dolphin Square Hotel almost year ( weekday ) . generally get quite anxious hotel - hotel food , musty carpet sound people adjacent room drive search Capital many time finally find place - reward . closed sell 2006 think . stay last night close re - open short - let apartment October 2007 , go back . nervous - would home home reliable staple would disappoint ? well , gladly , nothing enjoy lose . every room cook facility - small studio multiple room apartment . not hear people room quite big . place completely refurbe . location minute ' walk Pimlico , 10 minute brisk walk beautiful road georgian town house Victoria . Sloan Square also little 10 minute ' walk away couple minute , cut lovely garden , be river 10 minute ' Battersea Park . much without ever get tube Victoria far away , whole London accessible . really not like tube , taxi town cost £ 6-£8 . feel Dolphin Square people like feel safe secure , bit space feel like be hotel . be expensive either , London . 
 Feb 2 2008 	 great new find ... 	 place ( think use call Dolphin Sq . ) seem totally new hotel . room totally new - look carpet go - quiet comfortable . mini kitchen area . amazing value money - book lateroom £ 100.The hotel seem share premise apartment company . they swim pool restaurant still built , hardly issue London maybe good Summer . it five minute walk Pimlico tube ( ten min Victoria station ) slightly beat track nice area . really friendly efficient staff - back . 
 Jan 26 2008 	 comfortable stay 	 stay 11 month old daughter fail extend reservation usual 5 * hotel . general term 's great location convenient , specially be travel child plane stay couple day . 's great area London , busy still central easy access . a full renovation conclude less year ago , however , opinion , bathroom still bite far ideal . washbasin bathtub traditional english style , i.e . separate hot cold tap easy use . smart choice hotel expect international guest . the toiletry good quality either bring visit pharmacy supermarket conveniently next door . for travel baby , not really count local convenient store supply touristic neighborhood really keep minimal stock certain brand . all , good experience , even though shift 5 * star , will probably go back baby , however not get excited price facility , be right price super cheap option . the hotel staff nice helpful wherever possible accommodate . 
 Jul 13 2009 	 Je n ' reviendrai pas 
 Jun 2 2009 	 Bonne affaire ! 
 Apr 23 2009 	 Estupenda estancia gran localización 
 Apr 15 2009 	 Super ! 
 Feb 22 2009 	 bonne situation 
 Jan 30 2009 	 Bon petit séjour à Londres 
 Oct 13 2008 	 todo perfecto 
 May 19 2008 	 ottimo pulito comodo tutto 
