consistently 	 stay Hotel several time , use call Royal Lancaster , every time without fail make feel welcome . carefully rehearse corporate greeting chant every client genuine personal professional interest Guest right time arrival eventual departure . if lucky enough get room overlook Hyde Park view across London spectacular , especially night . the location central one tube station within yard / metre hotel entrance . also nice able walk Park Oxford St Knightsbridge shop , even Royal Albert Hall . also livery stable yard close wish ride Park . I would choose Nipa Restaurant alone ! 
 bad value money 	 small bathroom , small superior room , poor continental breakfast ! ! ! 
 good stay 	 stay one night happy . room smal clean good view 10th floor . staff friendly helpful . a good base sighseeing walk Oxford Street Hyde Park Harrods . intend see Winterwonderland tell tacky not go end . room breakfast charge high £ 24 head walk Jarvis Ramada 20 minute walk pay well rate £ 15.50 each . we park opposite Ramada Euro car park . £ 15 24 hour Sunday morning pay £ 10 twelve hour . I recommend stay Lancaster London . 
 Jun 20 2009 	 Nice 	 stay Royal Lancaster hotel five night start Honeymoon . reception staff friendly trouble check . room 14th floor lovely view Hyde park . room huge , comfortable maid great job cleaning everyday . bathroom little tight two people use time , not matter , take turn . breakfast lovely . serve second floor also view Hyde park . & quot ; English Breakfast & quot ; & quot ; Continental Breakfast & quot ; choose . generally eat english breakfast nice cereal , toast , jam , fruit juice choose . continental breakfast also item well hot food like bacon , egg sausage . the Hotel little way central london ( Picadilly Circus & amp ; Oxford Street ) , easy catch cab . take we 15 - 20 minute walk Marble Arch Hotel . walk Hyde park Harrods one morning . take 1 hour . we also use tube train one day . easy . station behind hotel train arrive every 2 minute . would recommend rather & quot ; hop hop & quot ; bus tour . much quick cheap get want go . train stop near every major attraction . we & quot ; hop hop & quot ; tour first two day find useful listen guide learn bit history , take age get anywhere many stop . stop near hotel , roadwork , 5 - 10 minute walk get next stop . we book guide tour Windsor Castle , Stonehenge Bath Evan Evan 's tour . fantastic trip would highly recommend . castle huge , Bath beautiful Stonehenge amazing . tour guide quite funny really interesting fact . also go Tower London 3:30pm guide tour . would not recommend not leave enough time look around tower close 5:30pm . would try early tour 12:30pm . there great little restaurant call & quot ; Ask & quot ; around corner Hotel . serve pizza & amp ; pasta really affordable . pizza really delicious . get take - away pizza one night 5 pound per pizza ( cheap eating ) . Food London pretty expensive , enjoy place eat . overall , think really nice hotel . go back London would probably stay little close Picadilly Circus like middle action . 
 Jun 19 2009 	 good hotel good location 	 stay total 4 night two twin room . room good size , comfortable clean , air conditioning . staff competent helpful . location good , close Paddington Station park , good neighbourhood . great view London upper floor . island restaurant serve fine food . hotel good value money time year London . two minor negative : cold water tap bathroom one twin room deliver hot water time time , internet access charge high ( spoil North America free internet access common hotel ) .overall good place stay London . 
 Jun 19 2009 	 Excellent Business Hotel 	 ' m regular business traveler London Royal Lancaster include company 's list . highly recommend hotel - 's comfortable , clean , excellently locate right beside Hyde Park . big positive staff great service consistently receive . breakfast , important hotel catering service business traveller , good . if split hair would say sometimes busy , detract little breakfast wait seat . also , not gym - location park running make view . overall , hesitation make recommendation . 
 Jun 19 2009 	 Lovely Hotel friendly staff 	 stay Royal Lancaster 20th wedding anniversary . staff make stay enjoyable flower chocolate lovely suprise , visit . 
 Jun 17 2009 	 Favorite Hotel 	 impressed , travel extensively around world . car parking definate plus central London . as many hotel allow sufficient time registration check . 
 Jun 15 2009 	 gem London 	 ' ve London many many time usually stay one converted hotel Kensington , Gloucester Road area Imperial Hotel Russell Square . gem stay Royal Lancaster twice trip . 2 night London wait husband join trip St. Petersburg- find incredible rate 91 pound ( breakfast ) inclusive vat , etc Royal Lancaster website . rate single double occupancy superior room . room although spacious big enough comfortable queen size bed look smart adequately equip amenity include safe , flatscreen tv , write table , internet facility ( complimentary ) , airconditione , nice compact bathroom lovely view . ' m sure hotel last refurbushed lobby , restaurant , lounge area nice plush . Elizabeth Hotel across road want charge 120 pound tired look room top narrow creaky stair lift barely enough 1 person luggage . year ago ask pay 80 pound single room Park International Gloucester Road tiny small standard bathroom one 's home . I love Royal Lancaster 's purpose build hotel - creaky floorboard can not hear people upstairs flush toilet . arrive Heathrow HK 6 am reach hotel 7.30am . pleasantly surprised room ready checkin . find staff efficient courteous although breakfast staff bit slow replenish glass plate . dinner Thai restaurant - service good also nice vegetarian menu . lounge 1st floor comfortable relax unwind read various daily newspaper . location also great - underground round corner bus across road connect everywhere . Paddington station within 8 min walk lovely Hyde Park across road enjoy walk , even walk across Park Knightsbridge . after St. Petersburg , husband return Hong Kong stay London another 4 night . lucky find yet another good rate Royal Lancaster , time bookinhotels.com 112 pound inclusive continental breakfast want upgrade full english breakfast , pay additional 2 pound sit breakfast . I also please hotel store luggage charge . previous & quot ; hotel & quot ; Gloucester Road , ' ve make pay pound piece luggage even hour . this definitely London hotel future trip especially travel solo . internet complimentary charge 17 pound per 24 hrs . find cheap solution frequent UK traveller laptop without check email facebook . get mobile broadband gadget pay go SIM card . really much cheap . frequent London visitor also buy Oyster card travel underground bus - much cheap get Peak day travel card . 
 Jun 14 2009 	 reasonably good hotel 	 stay previously March 09 write review stay . stay May 09 hotel much last time . however , room time good previous occasion slightly small less view . also quite bit expensive last time , ' ve mark ' value money ' . try Island restaurant time . nice say also first time ' ve ever fish chip serve ' nouvelle cuisine ' style . ' m afraid not work , not let put , restaurant otherwise good . breakfast usual hot buffet scramble egg get nice view breakfast room window . 
 Jun 13 2009 	 nice clean friendly hotel . 	 husband stay 3 night . staff friendly . breakfast buffet vi pay continental breakfast , something know first morning . could upgrade english breakfast pay 2 £ per meal . next time ` book breakfast go eat cheap , good english breakfast pub nearby . we feel we comfortable , metro nearby local street peaceful . room 10th floor , clean standard ( norwegian ) size . furniture show sign ware nothing worried . bath small , nice important ; clean . 
 Jun 9 2009 	 Super Smart Hotel ! 	 great hotel - smart well maintain . wonderful doorman , always greet smile enter exit hotel . standard double room spacious high quality expect , good quality toiletry fluffy robe include . would recommend anyone look classy hotel close Hyde Park . 
 Jun 8 2009 	 much glass Sambuca ? ? ? 	 great location , especially close Swan Inn next door ..... impressive squishy squashy carpet lobby ! bar staff behind temporary bar Nine king Suite robotic ( £ 70 bottle red , £ 70 bottle white , £ 70 bottle rise , £ 70 , £ 70 , £ 70 etc etc etc ) .lastly , anyone find false eyelash , 's mine ! x 
 Jun 7 2009 	 wonderful place stay 	 husband & amp ; stay 5 night . hotel next underground & amp ; right across Hyde Park / Kensington Gardens . stay traditional double room . compare european standard room big expect . clean well bathroom . marble bathroom spotless . bed comfortable . a / c work perfectly & amp ; even american outlet could charge cell phone without buy adapter . book enhancement breakfast Island restaurant reservation & amp ; food fantastic . concierge & amp ; restaurant staff courteous & amp ; helpful . would definitely stay . cheap stay compare price see small room away central London Underground station . recommend everyone . if interested , 3 block away pub call Victoria fantastic food & amp ; beer & amp ; across indian restaurant call Noorjhan ( sp ? ) good . also Italian & amp ; chinese restaurant block not go . also eat another pub also 2 - 3 block away call Mitre also great food . 
 Jun 2 2009 	 Welcoming Hotel 	 always put ease friendly welcome Doreen Soltan Guest Relations Manager . breakfast one well experience London . situation across Hyde Park close Tube station relax . bar lounge area great place meet friend . 
 Jun 1 2009 	 ok room view 	 hotel walking distance Paddington Station convenient Heathrow Express choose . enjoy upgrade room view Hyde Park make stay . big challenge large somewhat soul - less hotel much choice place eat drink surround area . try Thai restaurant hotel ok , nothing special local pub , Swan serve reasonable pint Fullers London Pride . would stay early morning flight Heathrow want close Paddington , hotel convenient shop , theatre museum . 
 may 31 2009 	 extra mile 	 ' ve stay number time past several year . Hyde Park location perfect easy stroll Knightsbridge South Ken , Oxford Street Bayswater . time aircon sound room bother we . problem : hotel go make sure happy , Sandra front desk simply fantastic . offer choice number room quickly find one happy . pleasant experience . we be tell hotel improve facility add gym . gripe internet connection . ( wi - fi , least 17th floor , painfully slow , use ethernet connection excellent . ) either case , £ 17 charge 24 hour access strike greedy ; free internet access quickly becoming expect feature hotel address soon . that aside , be perfectly happy , will back Royal Lancaster next London visit . 
 May 31 2009 	 many visit 	 always enjoy stay Royal Lancaster , staff always welcome , pleasant nothing much trouble greet door arrival onwards . maybe ' certain time year stay quite frequent always feel ' home ' . home - near get hotel . use hotel three year happy service would wish change . 
 May 28 2009 	 great service 	 stop Royal Lancaster number occasion always find staff helpful . room always clean well present great view Hyde park room restaurant . 
 May 25 2009 	 Fab location - warm 	 go weekend trip visit friend London . first night dine , second night try Thai restaurant , Nipa recommendation member staff , food fantastic , ambience authentic restaurant manager lovely . room ok would expect London hotel , location Hyde Park great especially weather nice go nice walk . would definitely come stay . 
 May 25 2009 	 Great Location Exploring London 	 large modern hotel . room bathroom nice , clean . around corner great Tube station ( Lancaster Gate ) , across Hyde Park : make routine morning walk park view art hang rail along Bayswater Road , sightseeing around London , home rest , dinner easy . friendly staff , bit overwhelmed group check . 
 May 24 2009 	 well home home ! 	 regular guest hotel year ; hotel convenient London office also offer good value accommodation standard Paddington area . lucky occasion allocate luxurious room one memorable occasion suite particularly full . however , imagine delight 22nd April arrive usual allocate lovely corner executive suite really lovely personal touches- fresh fruit , bottled water personal letter client relationship manager . single parent particularly appreciate luxurious touch receive hotel ` access home ( also peace quiet able watch want television ! ) .The restaurant particularly good ; love Thai food Nipa second none particular favourite risotto Island restaurant . staff always try encourage try something different love much happy ! know every time stay . I always recommend hotel colleague , Royal Lancaster convenient office Oxford Street ! continue stay business guest also personal level family trip plan near future . hotel conveniently situate almost tube station close Paddington mainline station ( far enough away issue ! -no noise ! ) . also directly opposite italian Gardens Hyde Park breakfast usually spend gaze morning mist fountain . Hyde Park also worth explore , boat Lake , Rotten Row , Princess Diana Memorial Fountain play area . the view upper floor stun especially night see Battersea Power Station , London Eye , Gherkin , Natwest tower , Post Office Tower - not window , certain suite near damn ! thank Royal Lancaster always make welcome ! 
 May 21 2009 	 good thing could better 	 hotel nice big . good location near Lancaster tube station . Paddington station far away . like room much . warm colour , nice ok size . bathroom nice marble . little tiny . can not really complain get good price room book almost 1 month advance . wait long time check . 1 woman reception ! 2 lady discuss lot rec . wait . finally 10 minute one woman come reception could check room . good start ! aircondition hardly work , even full speed . use room service 2 time . 1 . time early food come 1 h 30 min . ! say take 25 min . next time food time . I stay 2 night . morning check get invoice roomservice . sign leave key get . not talk reception . check good . like : design room / hotellocationcleanpricecheck outmarble bathbeddislike : slow incheckslow roomservice 1 . timeairconditionthin wallswill back . 
 may 19 2009 	 great value location 	 get back short weekend stay- overall really impress everything hotel . breakfast service great- room service ws great even midnight . my husband gripe ws bed long ( be 5 ft 9ins ) .The location hotel great - close tube- pub ( swan next door ) across park . much well expect far well price hotel stay capital city throughout Europe . would recommend return visit London . 
 May 13 2009 	 good stay 	 stay 3 night end April . room 17th floor , king size room - deluxe double city view . could see London Eye room ( give perspective view ) .The room clean , large enough ( big enough king size bed , two chair , desk desk chair ) , sufficient closet space two we . bath clean , sufficiently large . overall hotel quiet , even though meeting event happen hotel . concierge helpful , doorman , direct we Swan pint various restaurant want try . hotel also ultra - convenient tube stop . absolutely complaint stay . eat hotel , choose walk road various breakfast place , several restaurant walk distance dinner . think good value room rate . would stay without question . 
 May 13 2009 	 good hotel london stay london far 	 london expensive city hotel expensive . go london often always change hotel . finally find good hotel good bed . complaint bit noisy . clean , bed good , 2 tube station close . good place eat ( indian italian ) fruit stand close . staff nice helpful . price , location would recommend hotel . book hotels.com pay $ 141 night . hotel beautiful view however would pay view room . hotel street would request floor high possible . noise problem door neighbor . thin wall 
 May 11 2009 	 FAB FAB FAB 	 spend amazing evening Royal Lancaster celebrate friend Birthday . lucky enough two adjoining room 18th floor overlook Hyde Park . 's hard believe one crowded city world . cleanliness Hotel fantastic . eat Nipa Restaurant , offer wonderful food , opt fix menu , reasonably price . drink little expensive lounge area , service offer friendly staff wonderful . thank staff Royal Lancaster maintain high standard throughout Hotel . 
 may 11 2009 	 hiccup bad 	 hotel thoroughly review mixed comment . think depend room view many case . book superior room disappoint give view rooftop tiny bit green viewscape stand window ( 14th floor , room 1411 ) . interconnect room could hear clearly conversation couple next room . give pay extra park vew , ask change like previous reviewer , take 3 call 45 minute show another room . warn traveller so - call view park side view unless suite . sure different side building . new room 13th floor ( room 1323 ) still full view park , well first . room bright airy . open window , need A / c heating 5 day stay . also problem noise next room - think door adjoining room lessen soundproof . bathroom good , marble finish good quality towel , etc . annoyed towel change put hook , even though environmental message display . the wifi internet efficient , expensive . many modern hotel around world offer complimentary wifi , would good addition hotel . the taxi driver grumble short fare hotel Paddington . cabin luggage light luggage , really walkable , heavy suitcase briefcase . not claim 5 star hotel , would rate 3 plus . desk furniture room shabby tired , bed comfy large flat screen tv good . would stay - other say , location fantastic . 
 May 8 2009 	 ideal headquarter 	 stay ten night . TripAdvisor review pretty good , expect hotel would pretty good , . , opinion , far well merely pretty good . first , location Lancaster Gate , right split Hyde Park Kensington Gardens , convenient everything . moreover , Tube stop ( Central Line ) 50 yard front door . staff uniformly polite , cheerful , helpful . always call name telephone . hotel well keep , term condition place cleanliness . room happen large usual brilliant view Hyde Park toward Big Ben , see , small room side , well , acceptable . bathroom huge , marble Gilbert Soames toiletry , good towel heat towel rack , large bathtub . hotel provide turndown service . room come flat - screen tv , minibar , bathrobe , safe . also , window open bit , dependent air conditioning air . two hotel restaurant ( English Thai , respectively ) highly rate , although pricey . area hotel ( bayswater ) fine . fancy , good . one pub block - and - a - half away , much stuff four block away area Paddington Station . Paddington , way , London terminu Heathrow Express train Heathrow , extremely convenient respect , well . , must say understand review get post TripAdvisor . seem though people shock get Peninsula quality even though hotel third price . wonderful hotel would happily stay anytime . 
 May 8 2009 	 nice ` ` Old England '' hotel 	 luck upgrade & quot ; Royal Suite & quot ; ( really huge ) , stay Royal Lancaster absolutely pleasant . wonderful view Hyde Park . all good hotel , even room old furniture . nice bar restaurant , good service . 
 May 1 2009 	 good compare European Standards 	 sister stay 3 night overall would rate stay 7 . upon arrival check send room give king size bed instead two twin bed . call front desk say have immediately send someone help we luggage give we key new room , unfortunately though take 3 follow call around 30 - 40min someone finally show escort we new room . room general however substantially big put comparison lot hotel around area . major drawback wall paper thin ( much could hear door closing phone ring room next us 7 am ) ; housekeeping take rather long time ( day leave 10 am get back around 5 pm , room still not make ) . good thing hotel though location view ! centrally locate next Hyde Park / Kensington Gardens offer spectacular view surround neighborhood . overall , price would definitely stay hotel , likely come summer . 
 Apr 29 2009 	 amazing hotel fantastic staff 	 husband stay 3 night celebrate 50th birthday . level customer service well ' ve ever experience - especially reception restaurant staff . ask stay special reason ( 50th ) - come back follow day bottle champagne ice courtesy hotel ! city view room 8th floor still panoramic view park well London 's West end - could not fault . will definitely go recommend friend family . 
 Apr 28 2009 	 absolutely fantastic ! 	 second time pleasure stay hotel , time amazed . level professionalism , friendliness staff cleanliness room superb . occasion , room upgrade suite - boy surprised . view hotel breathtaking - great location ! really would recommend hotel anyone , whether be business trip come explore wonder London family . hotel definately favourite , need stay hotel London , Royal Lancaster Hotel definately hotel choice ! 
 Apr 25 2009 	 wonderful stay . would highly recommend . 	 Royal Lancaster Hotel fantastic hotel situate opposite Hyde Park right along side Lancaster Gate tube station , great location . staff friendly really could not enough help stay . actually get upgrade one Royal Suites really make stay extra special - room really something else ! usually stay Waldorf Hilton travel London , travel other want triple room ( available Waldorf ) think would try Royal Lancaster . disappoint - location , quality room , staff excellent breakfast first rate . definately stay . 
 Apr 24 2009 	 value money 	 good hotel , easy access paddington ( HEX ) , close Hyde Park , right top tube station , friendly staff - good value money 
 Apr 24 2009 	 wow lovely experience 	 wife stay week part anniversary , beautiful experience , staff professional room clean tidy great view Hyde park , excellent location travel around London . definate recommendation experience delicious food Island Restaurant , wow delicious food elegant designing , staff really make we feel like royalty . 
 Apr 22 2009 	 nice cosy hotel 	 despite fact big turist hotel , room clean , elegant cozy , normal size , quiet confortable ! view room impressive relaxing . staff polite helpful . location perfect underground acce central line Paddington station little bit far walk city center , London big town , use metro bus anyway . around hotel charm Hyde Park nice residential british area . rate around 100 pound find website , really enjoy stay hotel ! , small annoying problem : 1 . despite reservation make month advance , arrive hotel , thay say not available double smoking room , stay one night twin room next day transform bed one king size bed ; 2 . housekeeper refill sugar coffee machine ; 3 . one day , find housekeeper 's garbage bag forget room , luggage ; 4 . another day , make stop hotel afternoon , could enter room even 2 minute , housekeeper understand need stay moment . fair underrate hotel issue , spoil nice stay London , consider good know kind small inconvenience could appear ... 
 Apr 14 2009 	 great hotel definately recommend { easter break } 	 great location stunning view hyde park stay 7th floor room 727 royal suite everything room spot , conclerge staff nice people helpful . delighted stay overall excellent would not hesitate go back small grandchild { feel safe } thank wonderful stay staff make stay enjoyable 
 Apr 9 2009 	 well situated hotel friendly staff 	 Hotel 's location , Hyde Park / Kensington Gardens immediately Lancaster Gate tube ideal stay . public room well appoint although may see & quot ; old fashioned & quot ; lend air genteel class - especially Lounge bar . stayed 6th floor , view stunning although corner room partial & quot ; park & quot ; view , bonus pay & quot ; city & quot ; view room ( reduce amount & quot ; pass traffic & quot ; corridor ) . room begin show sign wear tear ( scuff wall scratch ) nothing worth complain , particularly give comfort large double bed . bathroom perhaps little small , clean serviceable decent shower . experience staff confirm hotel 's view customer service important find everybody unfailingly pleasant helpful . Nipa Thai restuarant particular high - point , food excellent expensive would expect ( nice allocate Nipa breakfast get window table , breakfast overlook italian Garden one life 's little pleasure ) . downside , would expect 4 * London Hotel , bar price border eye - watering ( nearly £ 15 beer vodka tonic , come bit shock northerner ) would possibly feel breakfast price excessive part package . two point reason slightly low rating ' ve give value . air conditioning room could also upgrade something bit quieter . 
 Apr 5 2009 	 place want decent internet access work night 	 great location hotel sadly need update bathroom sleeping room . internet access short cable top dresser , make extremely difficult work . tv 's barely work , room -- colleague experience . internet access spotty often lose connection . otherwise , food decent ; service good . meeting room fine staff accommodate . small note , businss center charge print outrageous -- one british pound per page ! 
 Apr 1 2009 	 Fab hotel would definately recommend 	 comfortable good size room fantastic view . bathroom lovely stunning view city shower ! location ideal 2 min walk tube - huge benefit day sightseeing ! breakfast good great table overlook hyde park , part hotel room rate , however may worth £ 20 walk rate ... staff friendly happy help time . it ideal weekend stay - immediate shop nearby may suite long stay really would recommend hotel great central base get around London 
 Mar 21 2009 	 fine mix sort 	 despite check website website Agency book , make special request booking form good view , disappointed say least give room 4th floor spectacular view car park . call reception word manageresss result welcome ' complimentray upgrade ' ( despite fact understand room type have book ) 17th floor , afford fantatstic view London Hyde Park . room well appoint , staff friendly helpful . Didi not eat 2 restaurant ( pricey ) breakfast can not comment food standard . as reviewer note , great location handy tube . would stay . 
 Mar 20 2009 	 solid choice area . 	 large typical 4 * city hotel , popular ( least summer ) arab guest include many large family group . ( mean additional middle Eastern breakfast item buffet though , great ! ) staff clearly well train efficient friendly ( particularly front desk great & amp ; extremely polite ) . concierge also helpful information map / leaflet . hotel public area little date classical botanical style print wall . the breakfast restaurant however make - over modern quite funky . 's airy overlooks edge greenery Hyde Park . standard room small ( bathroom tiny barely turn round ) arm chair squeeze flat screen tv . good quality bed linen . park view . ask high floor overlook rooftop London towards Wembley stadium far distance . top Tube station extremely convenient . park literaly road fantastic jogging , stroll grass gallery , Lido , Serpentine . 's maybe 30 min park Mall , Knightsbridge ( try getting take away lunch Harrods food hall & amp ; eat park ) Mayfair . Recommend Thai restaurant - expensive , friendly good quality ( live SE Asia ) overall , good choice fair value money , consider London price . 
 Mar 19 2009 	 world 	 minute walk door greet warmth part family . reception staff polite friendly ask many question assit stay . room spacious immaculate clean great pslama watch favourite sport . food room serivce great prompt . hotel great stay . 
 Mar 9 2009 	 Superb ! wonderful experience ! 	 fantastic location ! probably good view London central hotel ? find staff exceptionally efficient friendly without & quot ; one 's face & quot ; , perfectly & quot ; & quot ; hand whenever need . Food Island restauarant superb quality , exceptional service ! thoroughly enjoy unique atmosphere lounge whilst enjoy post - pradial drink ! lovely ! room lovely wake , especially superb , panoramic view capital ! heavenly way one ! 
 Mar 8 2009 	 Good Location Great view London ! 	 stay 13th floor great view look towards BT tower , London eye Gurkin . Room smallish adequate . bed comfortable soft luxurious sheet ! got back hotel around midnight request coffee milk , bring we within 5 min . Felt checkout slightly impersonal receipt leave door night instruction leave key room need checkout reception . do not breakfast expensive , however could afford pay normal room rate probably would not think ! ! overall nice hotel ! ! 
 Mar 8 2009 	 great hotel superb location friendly staff 	 book room grandmother 90th birthday visit london could choose well . give cheerful bright airy room dramatic view London Hyde Park , get well day pass night wonderful city light . room well equip tea coffee facility room , nice touch . from moment arrive moment leave , staff could helpful , friendly , warm welcoming . breakfast substantial , delicious serve overlook lovely fountain Hyde Park . the hotel perfect location park 's doorstep quick West End new shopping centre Westfield visit . thank memorable stay ! 
 Mar 2 2009 	 hotel godd staff brilliant continental breakfast rubbish ! 	 stay hotel saturday night overall pleased choice . hotel fantastic location first impression good . slight hiccup room sort quickly polite efficient reception staff . room spotless little small , lovely view park .... definately ask high floor room . nice comfy bed good shower ... real complaint hairdryer cheap fix wall type bathroom - break . mention checkout member staff speak resolve complaint swiftly without argument satisfaction - take hairdryer need one ! room come continental breakfast , real disappointment stay . pay seperately believe would around £ 20 . I m pleased do not . although food fine , limited selection be not offer coffee finish eat ! appriciate hotel breakfast expensive convenience can not comment full breakfast option feel continental breakfast option bit afterthought hotel.all pleasant stay nice room convienient location , brilliant staff . pop coffee shop breakfast bagel unless go whole hog . 
 Mar 2 2009 	 great location good value ! 	 good location , literallly around corner tube road hyde park . fairly standard 4 star friendly helpful staff decent room . two twin room , clean well present . wheel bed slighlty irritating , slide place lean ! adjoining door open 2nd night make life bit easy 4 we get ready go . continental breaskfast ok , nothing exciting foreign waiting staff leave lot desire , little communication all . overall well locate well keep hotel , slightly impersonal . 
 Feb 28 2009 	 treat like Royalty . 	 stay parent present . also mum 's birthday say treat like royalty . staff & amp ; service excellent would not hesitate stay hotel . , thank everyone make stay enjoyable one.x 
 Feb 26 2009 	 Location Excellent 	 Royal Lancaster good location , stay many time really like 5 min away paddington train station , right top Lancaster Gate tube station Hyde Park right there . I get great rate executive room use Expedia plenty space room ... fantastic view ! hotel luxurius , huge bar / tea place , 2 restaurant , large elevator member staff helpful . it good choice business tourism . 
 Feb 12 2009 	 truly wonderful stay excellent hotel . 	 visit Royal Lancs January 2009 , suffice say hotel good bedroom superb . restaurant bar service prompt unobtrusive restaurant high calibre . probably pleasing aspect calmness throughout hotel stress free weekend . the ability park site also useful . 
 Feb 10 2009 	 great room price - exorbitant price extra 	 stay one night . room price park view 129 GBP , reasonable consider location high room quality . strongly recommend pay surcharge room view Hyde Park London Eye . good service - except first give key room impossible get - even employee 's master key could open it . the downside exorbitant price everything can not check . example , room price exclude VAT ( oh yes , write tiny print book ) . breakfast 18 - 20 GBP plus service charge - nothing special , example orange juice taste concentrate . colleague mine stay hotel several night . second morning outraged breakfast price walk 10 minute get breakfast nearby cafe 5 GBP . internet 17 GBP 24 hour . dinner adjoining Islands restaurant good surprisingly reasonably price . 
 Jan 31 2009 	 faecal smear bathrobe ! 	 stay 2 night upgrade executive suite upon arrival . imagine surprise fiancee don hotel bathrobe find 10x10 cm faecal smear locate inner aspect robe puuting . not bad enough , call reception 3 time 40 min period robe attended take away . would something expect whilst backpack 4 star central London . fruit platter give apology . service business cold efficient . overall nice hotel locate right next Underground Hyde Park . 
 Jan 27 2009 	 absolutely Fantastic Hotel 	 travel London friend watch West End show raise many question hotel stay , location , star rating , budget etc . hear many horror story choose use Royal Lancaster friend recommend lovely break recently enjoy . from arrive door , leave follow day , whole experience exquisite . the reception staff concierge fantastic friendly , reception spacious tactfully decorate fantastic plant . room lovely fantastic panoramic view London . the bar excessively price , although cheap either . the bed ! probably good sleep hotel year . I would whole heartily recommend anybody . 
 Jan 23 2009 	 surpass expectation 	 hotel exceed expectation almost every way . location perfect , close Oxford Street ( sale ) central London shopping area . tube station right Hotel ( not worry , can not hear ) . service good , room well equip , modern spacious ( go one top floor room , view alone worth small extra , Hyde Park opposite hotel ) . thia restaurant one good , expensive , Island restaurant serve traditional english dish good standard . like anything , especially hotel , compare price quality , hotel really rate excellent , good value look superior accommodation facility central London location , hard beat . go back . 
 Jan 4 2009 	 great location terrible service ... 	 location great service worst ever experience - ask waitress breakfast whether & quot ; really go eat & quot ; , hurry breakfast friend join table tell could not place setting would sit elsewhere ( despite table least 6 ) try clear table order room service never arrive , luggage deliver room ..... attitude bar managerial staff poor . check , one member staff reception keep wait half hour . finally , lift slow beyond belief regularly hike 14th floor . these incident experience 2 night stay ! , disappointing stay consider room rate location . would warn anyone think stay look elsewhere stay prepared poor service staff appear feel like clientele favour job . stay hotel Budapest day previously , contrast service manner startling - Budapest hospitality win every level . 
 Dec 30 2008 	 average hotel 	 stay one night evening not really sample general facility hotel . 's nice location next large park couple minute walk Lancaster Gate underground rail station . reception friendly even though arrive check - in time helpfully ask housekeeping prioritise getting room ready . pre - pay room although usual still want credit card get cross ( ! ) refuse . the hotel appear quite upmarket lot regal - look marble like sort thing . be quite big fairly deserted feel quite spooky sit completely large public area . my room 6th floor ordinary small . pretty much expect central London however . clean though bed fairly comfortable ; although view onto main road much noise either traffic guest . usual tv , coffee - make stuff , hairdryer it . downside discover 2am sink bathtub work ( water drain away ) tired get fix checking next morning anyway . also careful put & quot ; disturb & quot ; door wake twice first want clean room lady want count minibar . reasonable place spend night 's . 
 Dec 29 2008 	 great location hotel - little pricey 	 Stayed Royal Lancaster Hotel short break end December 2008 . great location overlook Hyde Park minute walk Lancaster Gate underground station . downside , price high bar . also , english breakfast order buffet style . apart would recommend . 
 Nov 19 2008 	 new guilty pleasure Lonson 	 make book thru BA website . travel London 4 time year , since hotel normally book close renovation seek new hotel would satisfy business need well personal . usually stay Knightsbridge area , side park experience . the hotel gracious clean , enjoy standard room locate end hallway , quietly ( key ! ! ) look Sussex Gardens , stone throw Paddington , good restaurant , convenience store , Heathrow Express . Hyde Park across street wonderful benefit , right next italian Gardens . breakfast fine , coffee maker room add bonus . call make housekeeping promptly attend to . I plan visit London early December already book room Royal Lancaster ... new favorite . 
 Nov 10 2008 	 enjoyable stay 	 second stay Royal Lancaster , every bit enjoyable first . the price stay quite expensive , expect London , good quality hotel be . as hotel high rise building view London breathtaking , lucky enough one top floor . the room comfortable clean , provide toilettrie , robe slipper . also room mini - bar , flat screen Tv tea make facility . the function attend hotel well run every detail . look forward next visit . 
 Nov 3 2008 	 average experience 	 stay business 6 day . location good , around corner Lancaster Gate tube station far Paddington station . room clean , washroom bit small - definitely could not fit 2 people use sink . hotel boast room view Hyde Park , unfortunately , view room hotel across street . good amenity , warm towel , tv , desk , comfy bed ... say , number thing not enjoy stay . one , inconvenience loan iron board return 1 hour , enough everyone . overall look hotel date , carpeting lobby look like could use good wash . concierge service hit miss , depend work . day would get plenty dinner suggestion day would tell walk particular street ( 4/5 restaurant strip , great selection ) . 
 Nov 2 2008 	 great location- cheeky bar restaurant price 	 entrance lobby area impressive . quality room ok -but little small . staff wonderfully helpful . but cheeky price bar- £ 5.50 small glass house red , plus service charge . the applie restaurant- £ 70 meal two main wine ! lovely , good value hotel . 
 Oct 31 2008 	 second visit- still worthwhile ! 	 husband return second visit hotel -we visit October last year . give upgrade room 13th floor- unlucky ! ! ? - we , pleasant wonderful view Hyde Park city . room reasonable size , nice decor , carpet good lighting . bed king size comfortable . the bathroom however extremely small ( minor issue think need mention ! ) clean , large bath / shower quite deep , good quality towel bathrobes- plenty hot water times day . we not eat hotel ( breakfast not include deal time ) remember fine last year . drink hotel couple occasion late evening find expensive hotel London drink pricey anywhere London bar ! however , pay twelve half per cent service charge waiter service order drink hotel bar unnecessary ! ! overall can not really fault hotel- smart entrance , pleasant staff , good location- couple minute walk Lancaster Gate tube station next Hyde Park- certainly worth leisurely stroll . we certainly stay next visit . 
