FAB 	 Excellent value hotel great location . call negotiate great rate bed breakfast . good size room ( studio ) large bathroom . clean comfortable . good food especially room service curry ! ! staff come contact helpful , efficient friendly . take 15 minute walk Eye along river pass Houses Parliament great location . pleased hotel would stay . 
 Jan 3 2009 	 Loved Park Plaza - Excellent Location 	 stay hotel 5 night Nov - Dec 2008 , love . great location , could walk everything view Thames worth cost . would stay 
 Dec 31 2008 	 certainly nice hotel stay 	 stay hotel regular basis close London office . positive thing : -very good room exactly , therefore & quot ; room lottery & quot ; -good bed very - very soft pillow - always clean - staff polite - good breakfast ( not try restaurant ) -river view ( expensive room ) -Quiet ( compare many London hotel ) -large tv many channel - free WiFi internet -nice big bathroom - everything modern good conditionnegative thing : -A bit far away local point interest , always taxi ride long walk - when give cheap room river view , 10 % river view 90 % railway view . ; bother river view , get inner court view , quieter - once ask shirt press - iron come back . use service - ruin shirtsoverall , proffered hotel London moment - would stay business well private trip 
 Dec 28 2008 	 nice place stay 	 's good : everything smart new , especially fairly reasonable rate usually available . breakfast cocktail much well . Apart river , little see within 10 minute walk - hang ... within 20 minute absolutely everything : Big Ben , Trafalgar Square , Piccadilly Circus , London Eye , Shakespeare 's Globe , Tate Britain & amp ; Modern . tube station within close walking distance ( Vauxhall 10 minute ) bus stop right outside door every five minute night day . in winter air - con 's switch - sound fair enough unless room 's constantly hot ( least 25 degree C reckon ) . bathroom rather tiny least proper tub separate shower . perfect choice be modern / minimalist look find decent rate ( less £ 150 night would make good buy compare other London ) . 
 Dec 12 2008 	 much commendable one glare black mark 	 location , staff , food accommodation Riverbank mostly commendable , poise aplomb openly display friendly manner . I counsel careful ascertain location room , rear railway room window 2006 central air shaft , face room . Breakfast provide , buffet nearly sumptuous well - tend . un - muffled din , small table uncomfortable seat weak point . the one thing get past , stark contrast , clearly immature obviously un- under - supervise Concierge desk , staff inattentive , adolescent boy . turn away 3 attempt delivery name ( give twice , advance ) wife 's , room registerd . attitude display , incidence , surprisingly undiscipline dismissive . otherwise , service , ambience amenity superior . however , due impression lack competence Concierge desk , would recommend stay . 
 Dec 9 2008 	 Loved Hotel 	 stay husband one night ..... first time England ... love Hotel ..... Reception area beautiful well bar ... romantic evening time ... ' try food , cocktail ' make -Mmmmm ! ! ! ! ! Staff helpful , give we late check next day , flight ' till 20.00 .. room nice , comfy bed . back face room , quite .... suppose bottle wine arrival , none room check , ask receptionist , sort quickly . we really enjoy stay definitely come back Hotel .... 
 Nov 19 2008 	 great styling little noisy 	 stay one night standard room Park Plaza attend function hotel Saturday night . park hotel car park small railway bridge short walk hotel slightly concerned security seem well fence fairly secure . having read review make point ask reception desk could room away train - receptionist go enquire colleague say would see could . end towards rear hotel 7th floor still quite close train - hugely impressed reception desk , although impressed soundproof consideration decide ask change room . room large well furnish spotless . bathroom nicely appoint clean . view room another building train line . bed comfy lovely warm . husband say could hear lift go night ( even though well away ) could hear train not stop get good night sleep quite light sleeper . I would stay hotel attend another function otherwise would try find somewhere bit central quieter location . 
 Nov 18 2008 	 relax 	 Stayed 2 night , much enjoy stay , room modern clean . iron burn carpet room quite small . breakfast nice well cooked . drink expensive that s London ! staff good obviously well trained . happy weekend ! 
 Nov 10 2008 	 Good Location Big room Brilliant Food ! 	 hotel not good location tube , plenty bus . room big , strange orange lighting ( turn ) , clean comfy . staff friendly . noise train back room muffle audible be light sleeper take ear plug . restaurant one good Europe , afford , Club Lounge food fantastic although service bit slow . 
 Oct 19 2008 	 Fanfastic stay 	 wife come back weekend stay hotel . arrived greet friendly staff immediately inform upgrade 5 star accommodation extra cost . room was'nt quite ready we compensate inconvenience , ( minimal ) , give free drink bar . suite give beyond expectation , like fully equip apartment , immaculately clean & amp ; modern . worth mention nice little touch add make feel important , come back end day find bed make , music playing room & amp ; chocolate pillow welcome you . to summarise , great hotel & amp ; staff , great location & amp ; great value , real find . desperately try find excuse stay again . Mr & amp ; Mrs Crayford , 
 Oct 15 2008 	 poor cook breakfast end sleepless night 	 nice public area friendly concierge smart look room good start . room back hotel . there annoying low level extractor hum come somewhere mildly annoying go bed two , however train travel past unbearable . audible six constant roar rush hour . net result next sleep . breakfast uninspire cook breakfast inedible . bad cooked breakfast ever remember anywhere . in opinion hotel fail basic requirement hotel , i.e . can not get night sleep place . can not get room front away lift avoid place , otherwise fine imagine 
 Oct 4 2008 	 nothing special ! 	 hotel extremely average . room feel like not clean properly , iron burn carpet little extra room - usual tea make facility ( even biscuit ) . room tired need TLC , use toilet roll , holder fall wall . the positive room large term London standard , staff pleasant lovely walk along Thames Millenium Wheel sunny Sunday morning - course weather can not guarantee ; ) young couple use room base we want something special , go somewhere else . 
 Oct 2 2008 	 become favourite . 	 stay Riverbank number occasion recommend . large modern hotel , room excellent - large London hotel room large bathroom . well equip ( include DVD player ) room great view . breakfast comprehensive though cook version bit lack freshness hotplate long . need large bank loan want anything mini - bar recommend little shop almost next door stay open 11.00 stock thing . the real disadvantage many people location - fair distance near tube limit range eat place immediate vicinity . 
 Sep 26 2008 	 good location fulfill need 	 stay leave cruise . arrive early staff helpful find we room available early Friday afternoon . 's centrally locate , walk Houses Parlament late afternoon tour , find dinner . number nearby bar , one visit later evening meet number people leave cruise next day . this 3rd time London , location service good place ' ve stay . would certainly stay . 
 Sep 26 2008 	 uninspiring ... 	 recently stay Park Plaza Riverbank two night partner ; London celebrate anniversary book ' Executive ' room two night . the hotel promise much good location . however , experience utterly uninspire : hotel really nothing special . 's , series niggle minor irritation somewhat spoil occasion . the blatant error sheet clean first night . return city find room clean , fresh towel provide , no - one see fit change bedding . I ' ve stay pokey hotel apartment less £ 50 per night sheet change daily metronomic precision ; , pay £ 200 per night ? also annoying ' Executive ' package - associate promotion . we suppose able access executive lounge , drink canape include , would nice , view room wall apartment block ( presumably ) dirty side street ... could not get in . nobody pick phone call query ; , ask reception , inform we drink serve instead bar . the bar staff know nothing leave quite disappointed . breakfast also quite dismal - similarly confusing . ( serve three different place shuffle . ) , although sit towards end allotted slot breakfast , staff seem actively want get rid we . the overall package - comfort , quality , service , etc . - average ( good ) would expect third price . outlay £ 420 ( two night ) , expect lot more . definitely recommend ! 
 Sep 23 2008 	 well worth try 	 book hotel lastminute.com ( one mystery hotel ) £ 300 ( Thu & amp ; Fri ) executive room . give rate include full breakfast free drink & amp ; snack 6.00 & amp ; 8.00 pm bit bargain . ( ) partial river view room 10th floor quiet . would not upgrade river view room , even offerred pay difference price ( odd ) .The hotel quite new furnishing immaculate . design bedroom , quality bed en - suite first class . aircon effective noisy setting . the executive lounge closed drink / snack serve basement club lounge - half full coach - party guest - conducive quiet drink . Breakfast non - executive room guest Club room look pretty horrendous ; breakfast Chino restaurant much well , table would much close together dinner . check / check efficient . careful ask concierge call taxi though ; make sure get real black cab . porter appear arrangment firm unmetre minicab lie wait outside entrance . take bag one guy , , get destination , proceed demand double normal taxi fare . beware . mangement put stop scam . 
 Sep 19 2008 	 Room improvement 	 Hotel prime location , adjacent Thames . room front excellent view Houses Parliament , room rear next railway line terrible view industrial area . many young staff foreign command english always good . bar understaffed rushing , create relaxed atmosphere . continental breakfast far well full english , include tin mushroom , watery scramble egg bacon rasher appear boil . overall disappointing hotel class . 
 Sep 15 2008 	 expect 	 stay one night nearby Premier Inn £ 68 thought would splash stay luxury hotel night . ok , book London discount hotel website , turn , desk say reservation enter system . luckily printout reservation grudgingly give we room check . receptionist refuse believe entitle breakfast say room only . eventually , half hour , find booking agree indeed breakfast . the room beautiful , although back hotel overlook main railway line ( approx 25 yard away ) Waterloo . spite triple glaze sound train could heard night . breakfast good . so - lovely hotel ask room front overlook river . set back lot least will get sleep . 
 Sep 15 2008 	 good business traveller 	 frequently visit London think hotel one good hotel business traveller . stay twice like location modern facility . RemziTurkey 
 Sep 4 2008 	 good could 	 stay night business , everything hotel not quite good might ; receptionist busy attend guest check ; room - great - sheen dirt every surface , cigarette ash floor ( non - smoking room ) , drink stain furniture ; housekeeping come barge without knock 3 time many hour ; room key disabled return evening ; 4 bar staff lock conversation actually serve guest ... little niggle surefire sign someone need fire rocket management standard slip really badly . 
 Sep 3 2008 	 great stay ... but 	 stay two night ... upgrade riverview without request ... simply stunning . staff helpfull professional time . one stylish , cut edge hotel London ... chino latino restaurant highly recomende , one good dining experience long time ( bring cash ) .this fourth stay , ( one occasion Amy Winehouse also guest time , altough much see ) time hotel surpass standard , truly worth premium ... 
 Aug 26 2008 	 Clean Modern Hotel Good Location 	 get back 1 week stay hotel pleasently surprised modern , clean , quiet friendly staffed hotel . highly would recommend stay hotel 's worth extra $ $ . location convenient everything ... tube , bus , Eye , Big Ben small convenient store next door hotel price great picking snack bottled water . cash station right next door hotel well . telephone booth front hotel . pub restaurant locate block well . recommend Portugese restaurant , good food . not surprised male Gay bar go towards Vauxhal Station not seem happen 10 pm . know even exist walk back hotel tube one night . room bite small bathroom great .... big clean . separate tub shower plenty counter space . get breakfast package well buffet every morning properly serve ... matter time go eat always plenty food service top notch . wait staff alert polite quickly respond personally seat we serve we coffee / tea . whole hotel extremely modern update clean . say hotel nothing wrong . entire staff front desk restaurant make stay comfortable would definately stay recommend friend visit London . hotel give a+ area . 
 Aug 16 2008 	 EXCELLENT experience 	 location thiis hotel ideal visit london eye top attraction . locate alongside Thames near Lambeth pier/ bridge take we gentle ten minute walk London Eye 4 year old 2 year old tow . . check quick simple staff friendly .The concierge desk busy efficient know stuff not affraid get much information .Our stay part executive package room spacious , clean modern . the executive lounge close executive package still cater low lounge area . nice experience complimentary drink canape . relax staff accommodate efficient . Breakfast serve Latino restaraunt la Carte menu offer . staff efficient friendly . breakfast nice good choice adult child . overall pleased choice hotel , cover everything want good location hotel amenity highly recommend hotel . thank staff ensure visit enjoyable . . 
 Jul 30 2008 	 Fantastic Hotel 	 stay hotel two night super . side river attraction easily accessible tube . room spotless modern great attention pay detail . lovely toiletry , fruit plate , slipper etc provide stye thi basic room ! view hotel river night really quite beautiful . room back hotel perhaps little close railway line , booking would suggest ask room side front . great service bar downstairs , although little pricey - around £ 17 two spirit mixer . overall would recommend hotel make point return . 
 Jul 30 2008 	 Pillows die 	 stay one night hotel early July colleague . bedroom lovely real pleasure separate shower bath rather usual bath shower common many London hotel . pillow comfortable hotel would really like bring one home ! breakfast good freshly cook . room overlook rear hotel not good one night fine . not dinner hotel colleague say food good . my gripe long wait check hotel . get stage staff bring drink queue ideal start holiday hurry get room . I would stay perhaps try get room river view . 
 Jul 28 2008 	 great hotel business sightseeing alike 	 stay several week business thoroughly pleasant experience . staff helpful , food good , price reasonable ( thing consider London ) . location good way ( close enough walk across bridge see sight , right downtown horde tourist ) . meet two nice hr staff hotel extremely hospitable friendly . experience make respect high caliber staff hotel attract apparent courtesy professional carry . overall , five star . could not ask much hotel 
 Jul 24 2008 	 great hotel - central locate - still quite area - excellent long 	 stay family hotel 12 day partly business partly private . hotel great , luxery room . pleasant staff work hotel . room clean . really enjoy stay London fro long period 
 Jul 22 2008 	 good spacious hotel request river view upon booking 	 book mystery room via last minute.com get superior room quite bargain rate . request river view booking ( 2 month advance ) although seem forget , change we river view room 8th floor ( ' m pretty sure upgrade ) ask check . spectacular view Westminster , especially night ( room 841 ) . room spacious , large lounge room flat screen tv . mini bar lock unless leave credit card imprint ( sensitive sensor fridge deduct credit card every time move item spot ) . near room personal item leave fridge . say , ice machine floor handy . also flat screen tv bedroom well . bathroom also fantastic , large selection toiletry , separate bath shower . complimentary bath robe pair slipper . strange thing hotel request additional bath robe ( give we one double room ) , deny flatly explain reason . second day , housekeeping also give we two cactus little strange . the concierge check - in staff nice ( especially man call Tom ) . food Chino Latino also good , come reasonable price 25 % discount give room . , room service fantastic . location within walk distance London Eye . 10 - 15 minute walk distance Vauxhall Lamberth North , convenient luggage ( bus take one stop Vauxhall station hotel ) . 
 Jun 18 2008 	 Excellent Location Service 	 constantly amazed thing people complain . negative comment review hotel generally churlish good . find clean , well maintain , friendly . service excellent cheerfully render . room clean , spacious comfortable . concierge , Thom , great help problem associate tour company dine recommendation . location good could possibly wish . leisurely walk destination Westminster area much other . Vauxhall Underground station nearby serve good departure point many city location . restaurant quite good , bit pricey . however , many fine quaint place eat within easy walk distance , , short cab ride . it true railway route Waterloo station go right behind hotel . however , make sure get room away location noise problem . moreover , convenient ATM right next hotel entry mini - mart adjacent side . mention phone booth outside cab area ( important want make overseas call call card pay hotel fee ) . convenient . , enjoyable stay highly recommend . 
 Jun 3 2008 	 disappointing ; room clean properly ; strong smell cig 	 Booked hotel company ; map wrong alight wrong Tube arrive shatter near collapse ( medical reason ) . spite obvious distress , ask sit checking , sit check - in desk foot away . upgrade though river front room ; told & quot ; normal & quot ; company room would back overlook busy rail line would not got sleep ! room long walk lift ( furthest room away , remember state ! ) . strong smell cigarette smoking ( non smoking room corridor ) carpet not vacuum clean properly ; complain , room freshen spray . otherwise pleasant room . hotel distant London eat place visit expensive asian type & quot ; fushion & quot ; restaurant ( 25 % discount card room ) . meal good service excellent friendly ( own hotel ) . breakfast include rate good good staff . call speak duty manager room issue , check - in number thing ; listen politely ; nothing . return home , quite chance , find hotel debit card twice ; apology though put right . probably good hotel & quot ; careless & quot ; management ? 
 Jun 1 2008 	 fantastic view service match 	 travel London regular basis hard find good hotel London without pay 300 GBP plus . Riverbank Park Plaza great find . room contemporary fresh , spacious bathroom , plasma screen wifi room . room business traveller . hotel bar modern stylish great vive . Chino Lationa main restaurant great place , fun , great food , stylish ... love ! 
 May 23 2008 	 Nothing Special 	 Park Plaza locate Albert Embankment fair trek tube . double room single occupancy adequate size , comfortable bed ' pillow menu ' recommend - shame insulation room high standard . fact hotel back onto train line ( least seven ) Waterloo front busy dual carriageway . well proportion bath room - towels fine bit small side . plenty essential toiletry provide . bad gripe breakfast , £ 2.50 two slice toast jam absolute disgrace one care . £ 3.00 burn coffee also rip . 
 May 16 2008 	 pleasant stay 	 stay Riverbank Plaza long weekend pleasant stay . booked & quot ; mystery hotel & quot ; lastminute.com nice surprise ! location convenient , London Eye 10 minute ' walk away grocery store right next hotel buy fruit etc . staff helpful professional make stay enjoyable . find allergic feather cushion request synthetic pillow front desk arrive straight away . concierge helpful advise us tubeline close stay . trainline right behind hotel unless executive suite room face trainline river . however , ' m light sleeper still not find much problem . room service good expensive . room clean nicely decorate japanese style . bathroom tub shower cubicle , complimentary toiletry spotless . Hairdryer ironing board also provide . I recommend hotel anybody need stylish confortable hotel close Westminster . 
 May 16 2008 	 River location always river view ! 	 hotel locate yard Thames , might well think would enjoy wonderful view river nearby Houses Parliament ; case ' afraid , view wall window busy railway track . fortunately , read Trip Advisor member ’ review , prepared view ' wall window ' ; however , one night boss pay , real issue . aside , hotel wonderful ambience , feel spacious clean . standard double room well decorate usual facility would expect 4 star establishment . light especially imaginative strong orange lighting heavily net window . separate shower bath nice touch luxury large bed extremely comfortable . disappointment : virtually hot water 7.30 make morning shower chilly affair ! plate breakfast cold scramble egg end temperature shower . tv remote control work . also , usual , Minibar exorbitantly price coke price £ 2.50 Mars bar £ 1.50 ! probably would stay hotel unless could guarantee river view ( someone else pay ) . 
 May 15 2008 	 really Ropey - shame 	 book lastminute executive room find check pay extra 35 quid - rip stress ful . issue room service arrive , check 30 minute delay - meaning eat restaurant find room ticket 25 % discount ! Rang reception sort problem minibar - husband move thing around get charge touch stuff , check find have do nothing - another time rang something lie to . then arrange late check clean barge tap watch angrily we . add insult injury receptionist say would make sure compensation not receive thing ! lie . be rude . do not go go prepared complain loudly . would not post not even get touch compensation - think 's appalling service . go Novotel be much well . 
 May 14 2008 	 Good Value Weekend rate 	 good value hotel 5 - 10mins walk Westminster Waterloo . probably 4 * , decent sized room bathroom , furnish well Wifi room . we book & quot ; Enjoy Weekend & quot ; rate around £ 120 superior room , continental breakfast , late checkout free bottle wine . room clean , breakfast varied fresh ( pay £ 4 upgrade full English ) . would recommend include breakfast rate , expensive £ 13.50/£17.50 continental/ English . only small downside lack nearby tube station . Victoria line suspend visit could use Vauxhall , think even station 10 min away . walk along South Bank warm weather bag ( fair , lovely walk past London Eye Houses Parliament could got taxi ) . otherwise , absolutely complaint . 
 May 8 2008 	 Nice hotel great staff fantastic restaurant 	 hotel book surprise birthday present turn pleasant surprise indeed . we superior room nice comfortable bed ( although be not fan squishy pillow - may ! ) . bathroom lovely spotlessly clean , rest room . do not much view though - train track , although train noise minimal . the complaint regard room air conditioning do not seem work , even turn low setting still blast warm - ish air . call reception send engineer within 5 minute impressive ( 1 am well ) , take look mumble something main powerplant say would go sort - obviously never problem still . temporarily solve engineer opening window us - sure many H & amp ; guideline 7th floor , also mean train noise increase . be not really major problem we though barely room - see show etc , hotel restaurant / bar etc . spend time would make much impact room warm time . the good part hotel restaurant , also open outside guest . fairly expensive - around £ 20ish dish , well worth visit headchef previously head chef Nobu . receive 25 % voucher meal room nice touch , combine excellent food fantastic service - staff attentive without overbearing - make enjoyable meal . this hotel definately worth 4 star rating great location , have not experience air con problem would def rate 5 . 
 May 4 2008 	 Noisy 	 Booked hotel part lastmin.com package deal theatre ticket . I book surprise day London partner ' birthday . room nice room service staff friendly . the reception staff friendly seem like ' want help . noise pollution unreal we could sleep properly 2 night ! price £ 249.00 stated booking ! ! ! ! ! position hotel good stay sleep impressed . 
 May 3 2008 	 good hotel London ...... 	 book pay stay online , want room view face River Thames , seem like perfect hotel . arrive , give confirmation reception guy , inform us room book available ! tell we would upgrade we well room , free charge , think good . when get room , look window find 10 foot mainline railway track .... even tv blaring , could still hear train go past every 5 - 15 minute , noisy . also , whenever anybody use hot water , high pitch noise go right room ! needless say , almost sleepless night train go past , relax would hope for . we would go back stay ! ! anybody book hotel online , would urge wary , may get room pay . 
 May 1 2008 	 River view suite 	 initially make book hotel last minute.com . price 2 room seem reasonable although hotel secret location review look good . upon give detail hotel check regular price suitably pleased , however booking seem fall outside guarantee low price online guarantee . prior arrival hotel upgrade room exec double suite river view . charge £ 100 hotel upgrade . say impressed room view . suite comprise large lounge area desk , sofa , flat screen tv ( although little small room size ) plenty bit peice . view floor ceiling window really treat . seperate bedroom another tv plenty storage space . bathroom everything would expect hotel bathroom . friend also stay hotel worth note get upgrade standard ( Superior ) double exec double . note however exactly room extras reason £ 35 upgrade charge . receive bathrobe bit bob room . also get breakfast include access executive lounge . the hotel pleasant breakfast really good . take advice previously see eat downstairs . access additional feature access executive lounge bit let . room fairly small , not view city would want . complimentary drink offer 6 pm 8 pm snack far . drink however serve dedicated waiter although suspect may stop wish get monie worth drink . we use hotel valet parking although advertise £ 26 night fee . summary say really great stay would recommend other . manage extra fee river view really treat . 
 Apr 18 2008 	 Great Concierge service . 	 Great Concierge service .... thank Thom . 
 Apr 13 2008 	 careful stick ! 	 return virtually sleepless Saturday night feel sufficiently move write review . not get wrong , be nice hotel , impressive reception , smile staff ( although would like see justify £ 17.50 breakfast , digress ) - watch room give ! think luck upgrade suite ( room 303 ) - wrong could ... note map , six lane railway track directly behind hotel , woeful sound insulation suite make we feel like attempt bed middle St Pancreas station . train clatter 11 pm , start relentlessly 5.45am - even earplug not drown clatter . seriously , overstate loud train be . my partner pay hotel Lastminute part theatre deal pay full price suite would demand money back . you warn ! 
 Apr 8 2008 	 Nice Hotel 	 locate bank Thames River , terrific view Big Ben Parliament side . room small american standard room small UK . hotel feature 3 restaurants- one bar another 2 lobby . location bit far crowd touristy place cab bus quickly get wherever want go . clean quiet helpful staff . 
 Apr 7 2008 	 Woke flea bite ! 	 second stay Park Plaza . impressed first time around huge suite give beautiful bathroom . fantastic deal £ 100 lastminute.com . however , time , leave sorely disappoint . decide pay slightly upgrade executive room ( include full english breakfast ) mistake turn . room half size , four five ciggarette burn carpet , break toilet seat unattractive view railway track . we try make well ok ( ish ) time follow morning ..... however , wake cover flea bite ! really type complain feel amount money pay , together poor condition room flea bite warrant enough reason highlight reception staff . person speak initially not say much advise Guest Relations Manager would come speak we . half hour later , turn say send colleague check room - almost imply make . boyfriend show bite not really much could say . pre - pay lastminute.com , allow refund hotel bill waive parking charge discount room service bill 50 % . fairly disappointed feel complaint not really take seriously . also offer free upgrade next time stay , however , think likelihood we go back pretty low ! , good hotel , get right room decent view think majority room need big upgrade along hotel staff . 
 Mar 27 2008 	 excellent time excellent hotel 	 lucky enough stay Park Plaza hotel bank holiday Monday Easter period . stay girlfriend first anniversary . lucky stay hotel pay lastminute.com mystery hotel section . pay 1 night 's accomodation suite £ 75 worth every penny . unfortunately not good view window face railway track rather opposite side hotel face house parliament river Thames . occasion hear train pass however not cause much disturbance we . use hotel base explore London . hotel 10 minute walk house Parliament approximately London Eye . underground system easy walk ing distance hotel convenient way explore London offer . hotel amazing value money £ 75 night . would stretch £ 90 night hotel , anymore think would hard justify . breakfast food item menu seem price worth shelling consider hundred eat establishment central London . business user could see perfect hotel stay . personal use good high standard although little pricey pay full asking price . 
 Mar 27 2008 	 Eggcellent 	 stay 4 night Easter weekend . got great rate £ 79 room plus taxis hotel . check seamless , not much interaction staff . close Vauxhall Station make everything within easy reach ; oyster card , spend day underground . mention Victoria Line close around 10 pm night late get taxi less £ 10 Leicester Square / Piccadilly . walk along river embankment nice well worthwhile not mind stretch leg . hotel room modern , comfortable & amp ; spacious slight river view probably much get without upgrade . large bathroom separate shower bath . room include mini bar , safe , iron & amp ; iron board , hair - dryer etc . spotless arrival everyday return matter much mess have make ! would not classify touristy hotel , be great escape crowd evening battle day . however give friendliness staff ' m sure would able help request . 
 Mar 26 2008 	 ok base city break 	 modern hotel situate 5 minute Vauxhall tube station , get good deal lastminute.com , sure would pay goign rate thsi hotel . check appal , slow un - organise , everything seem take age . room actually quite nice , make sure do not get room back hotel . room face main line Waterloo get noisy quite late night . room LCD TV , internet access via seperate handset complete waste time , page do not fit screen correclty keypad slow , do not waste money , use internet cafe town . dining , menu ok like Pan asian food , cheap inline hotel price London , do not use restaurant choose eat . portuguese restaurant near garage amazing well worth visit . catch no.3 bus city walk tube . overall average hotel little isolated city , do not take long get , ideally situate London eye 
 Mar 25 2008 	 Great Hotel 	 book Lastminute.com Easter Holidays . great weekend . Stayed Executive room , great extra . could not fault hotel . good location bus number 77 stop right outside take far Waterloo . friendly helpful staff . would stay . 
 Mar 24 2008 	 nice hotel 	 husband stay 10 day Riverbank Park Plaza Honeymoon London . lobby beautifully appoint staff seem friendly . hotel restaurant interesting - look bar contemporary décor . hotel room small many american hotel standard , spacious european standard . en suite bathroom well keep spacious , lack extensive counter space toiletry . room attractive , one exception – visibly stain carpet . aside , room seem clean comfortable acclimated compact size London hotel . point american traveler keep mind – learn hard way – clock , alarm otherwise , hotel room . apparently , common Europe . take travel clock . positive note american traveler , US standard outlet include room ! hairdryer include room , button must firmly continuously press run . find make difficult maneuver styling end buy regular one local drug store . neither husband care room service food , however , pay little extra package include breakfast executive level . breakfast pretty good include enough option satisfy anyone continental option hot egg sausage . disappoint way hotel handle WIFI access . require pay extra access limit one hour per day . hotel sit right Themes view Lambeth Bridge Parliament . 10 - 15 minute walk Vauxhall tube station fairly convenient public transportation within London . overall , enjoy stay would return Riverbank Park Plaza ! 
 Mar 19 2008 	 park plaza 	 spend night ... certainly nice hotel push & quot ; near house parliament & quot ; tag bit much .While quite close parliament , doubt many rooom view house parliament appear website literature room , certainly , view eight railway line . luckily stay saturday night . I would imagine weekday noise train would result early awakening . I think start 0600 hrs sunday there . other ask twice complimentary wine mean get . we problem good quality hotel , order room service good.£7.60 two pint lager include service charge ( thought bit cheeky ) .... would certainly consider stay chain hotel 
 Mar 17 2008 	 wonderful view 	 stay late night meeting Westminster . 10 minute walk across Lambeth Bridge House Commons . easy find direction provide although hotel signage low key night . I not check meeting arrive late ( 11:30 ) pm tell double . nanosecond think might taxi sister hotel County Hall instead upgrade 9th floor river view suite . the view excellent across river House Lords / Commons , Big Ben ( ) London Eye . suite first rate , contemporary spacious . tv dvd lounge bedroom . bathrobe , slipper , full sized wardrobe , iron ironing board , tea coffee making , lot free tv channel . bathroom also excellent sacrifice function form bath separate shower black polished granite design lot free toiletry include shoe polisher , comb , razor , toothbrush etc . Breakfast morning include rate although serve Club Lounge , subterranean affair natural light buffet par Holiday Inn Express . quite busy business traveller look bit understaffed although staff work hard keep everyone supply coffee etc . fast accurate check - in check . first class experience provide pay teh river view . otherwise hope upgrade ! 
 Mar 11 2008 	 great hotel comfortable helpful staff 	 return business trip London stay Park Plaza ( March 2 - March 8 , 2008 ) . overall , really enjoy hotel . clean , bed comfortable , room everything need even spacious . bathroom spacious well separate tub shower . downfall state minor shower drainedd extreemely slow almost point spill edge . staff helpful accomodate , especially since let room 7:00 check ( arrive LHR 6:00 ) would definitely recommend hotel . pro : clean , spacious , comfortable helpful staff . con : non really ... thing note . close tube stop 5 - 10 minute walk . hotel website say Waterloo close station however close station Vauxhall . Waterloo like 15 - 20 minute walk away . Vauxhall stop Victoria Line currently shut 10:30 pm , be later want get back , might stick cab . bus catch right front hotel well . 
 Mar 10 2008 	 Great Price Weekend Stay - Fabulous Location ! 	 fortunate enough escape London day February 2008 , get great deal hotel ! pay $ 150 per night ( include taxis ) think steal give location amenity . the doorman , Stephen , fantastic we ! give we lot tip thing enjoy area , really help we make short visit . our room clean comfortable , bathroom modern roomy . even though value - price room back side hotel , not hear anything night ( i.e . train ) 9th floor room . the check - in experience great we , feel sorry couple checking - in next we . agent not nearly helpful polite ! arrive around 11 am , able put we right non - smoking room request . Bonus ! not eat restaurant ( stunned breakfast two would 25 pound ) , lot choice nearby . head front door go left , great pub minute away call Rose . decent food , nice atmosphere , fill local nice . also , be reasonably price . if walk hotel door head immediate right , small grocery store fresh bread , snack , beer , wine incidental . quite convenient ! 10 - minute walk London Eye , near lot site attraction , close tube . all - in - all , great location ! beware , tube run greatly reduce schedule many line stop closed weekend . quite adventure get home one night ! great experience , price would highly recommend other . cheer ! 
 Mar 10 2008 	 great stay 	 stay saturday 8th march 2008 3 double rooms.i book last minute directly hotel.i shortlist hotel ` book slightly price range rang hotel directly give we rate £ 101 per room include continental b / f , bottle wine per room late checkout . ( explain celebrate anniversary ) hotel directly road thame outside see westminster / london eye.only executive room view , read review near train track request quiet room room 710 , 725 727.they explain room 725 slightly large certainly well sized room addition settee table look thwe leave could see river.when arrive tell room would ready 12 go shop return 2 anyway.as go hotel entrance turn leave near tube , vauxhall , take we 4 5 min walk to.not pleasant look area , road , garage couple small shop motorbike shop.entrance lobby nice , helpful friendly concierge , check quick , room quit neutral colour everything spotlessly clean ( work wedding planner housekeeper know fussy ) ` find fault rooms.within minute we go someone come nice bottle wine glasses.bed comfy , shower cubicle separate bath clean ` even see one side - look like open.all black slate marble trendy style sink etc , white towel chrome fittings.lighte good.only gripe ? hotel close another building look like apartment directly opposite although blackout curtain private night bathroom face window slightly opaque frost large door close curtain end room ( window floor ceiling room slightly big also whole side one wall nice.one thing ask 2 key card keep keep light bath , hubby go one room get something andtook card ` able let back mean light go ! overall would stay recommend.oh breakfast room basement shame ` sure could put floor face river make view room window extremely pleasant clean nice selection buffet style able much want . 
 Mar 4 2008 	 Good City Centre Hotel 	 stay one night mid - week business trip . hotel handy location room lovely . bed comfortable , breakfast fine , service staff good . not hotel long - perhaps 12 hour total ( 6 7 spend sleep ) not eat dinner hotel relax bar bar look quite invite funky . pleasant stay . would stay hotel . 
