well 	 15 year . WOW even well remember ! Frist , FREE Parking & amp ; SAFE ! take frist timer city , fall love . great walking , Great Resterants Bars within 2 block . kind food can not get 2 block . walk around block , get 30 bus see world . jump 49 bus front , go Golden Gate Park see King TUT de - Young . walk around park 3 4 hour get bus pass go see everything go City . staff helpful get way . yes street side room little street noise . hell sound City . sleep window open take . extra charge . rate great , romms . not dumb , stay save $ $ spend great time check City . good base trip . b Sandbank -spark NV . 
 Jun 14 2007 	 ah Suite life 	 excellent location right busy Lombard Street heart Marina District , cow hollow mix regular hotel room suite . stay 2br 2b suite back , underground parking , entrance exit onto quiet back street literally 5 step away Noah 's Coffee supply we caffeine breakfast couple cold San Francisco morning . suite like fully furnish apartment , full kitchen , fireplace , 4 poster bed one bedroom ridiculously soft comforter , walk - in closet another pullout living area . restaurant water hole ring motel , count 10 within one block front door . everything pizza korean food . convenient laundry room right across hall , free soap . * * minus . old tube tv ( break knobs & amp ; button ) bedroomthat could manage greenish tinge picture . overcome nice flatscreen living area complete dvd player . like watch Leno sleep ! room keep spotless staff , trash sink check one day , one make room ! lot towel , big deal . guy come empty trash act though we favor . tip buddy ! course , requisite kid upstairs jump bed wall . chalk youthful exuberance , go hour , call desk . problem solve . finally , call make reservation tell AARP discount 10 % would apply . course , never take name , upon check matronly lady say quite curtly & quot ; AAA not apply suite . & quot ; thank much . , biggy , every little aggravation seem amplify certain expectation . know mean ? suite confuse five star hotel , turn - down service chocolate pillow , appreciatedfor , comfortable , family orient , base operation explore SF offer . overall would go back . 
 May 27 2007 	 clean good value - one problem 	 stay cow Hollow 4 night May - 2 night go Yosemite 2 night . price reasonable ( especially free parking ) . room clean . free wireless internet . other complain noise , even though room face Lombard , bother noise ( come quiet town 16,000 , use traffic sound ) . also like location - feel safe lot place eat nearby ( like Bay Watch next door breakfast ) . walk Fisherman 's wharf - long walk , doable . our problem - third night , toilet clog . husband call front desk ask send someone plunger fix - tell would not , plunger available want come get fix clog ! stay hotel , expect plumbing work not certainly not expect fix ! late ( 10:00 ) seem easy plunge toilet rather argue front desk , , whole incident certainly lower overall opinion cow Hollow . that say , would stay . 
 May 7 2007 	 ok problem 	 stay cow Hollow , Coventry , Chelsea Motor Inns every time visit San Francisco ( 2 - 3 time year ) past 20 year . last 15 year , stay exclusively cow Hollow . like neighborhood ( lot good restaurant ) appreciate free parking reasonable price . year , however , service room quality decline . last year , service good , check , hotel could meet request floor room type , apologize good could accommodate . long case . last 3 stay involve perfunctory even unpleasant experience check . front desk charm airport ticket counter , adversarial , hurried feeling . ask anyone even read request 3rd floor , tell shrug & quot ; popular now . & quot ; check , notice many welcome bag back counter get impression hotel cater group really care individual traveller anymore . room reasonably size get little worn look , scuffed furniture , somewhat worn mattress , occasional stain carpet . get room back 2nd 3rd floor , hotel still good deal , end Steiner St. worse yet Lombard St. would well mind lot traffic noise . may stay Cow Hollow , also motivated seek new place SF . 
 Apr 20 2007 	 Great Location ! ! ! ! 	 husband drive San Fran Vancouver Canada . long drive , well worth trip ! ! love San Francisco , hotel central flat side ! ! huge hill climb . area call Marina district . close trendy shop excellent restaurant . People San Francisco polite helpful . give we good site go walk , like Marina , Golden Gate bridge , George Lucas Productions . room always spotless every morning . Traffic Lombard Ave . , alittle noisy , buy not bother we . area great ! ! venture coast August stay long time ! 
 Apr 15 2007 	 Clean Friendly 	 husband stay Cow Hollow Motor Inn 9 day . like place great value - clean , free parking ( unusual city ) , free internet ( also unusual ) , excellent housekeeping , great food choice within step hotel . hotel staff great - husband crutch give everything ask - extra blanket pillow , HP parking next elevator , HP accessible bathroom . corridor inside , two elevator , ice machine . room well appoint television . coffee maker , hairdryer , soap shampoo , bathroom modern clean . bed towel new clean , rug brand new , pillow great everything room smell good . nice , good quality furniture . like fresh air appreciate window open . shortcoming , minor , mattress not plush room near elevator , stair ice machine , noisy . come back San Francisco 10 day may definitely stay . 
 Apr 13 2007 	 Great Value Great Location 	 return two night stay , base mostly review website . deluxe room two double bed , travel two kid . pay $ 101 per night , third floor room back hotel . ( ie . , face Lombard Street ) . room spacious , clean quiet . ( big concern kid might make much noise ) . kid excited see view Golden Gate bridge window- four - year old put , & quot ; oh , be lovely ! & quot ; also love free covered parking ! pleasantly surprise neighborhood / location- Chestnut street block away , full great shop restaurant . mainstream place , need comfort home ( Starbucks , Pottery Barn , Gap ) , well unique little shop restaurant adventurous . eat breakfast Noah 's Bagels ; place eat neighborhood : Pluto 's ( fun little place lunch kid - friendly ) , Amici 's ( pizza place across street hotel ) , Andale ( mexican restaurant Chestnut- little overpriced basic mexican food- not really recommend ) .We find easy get around city- pleasant walk Exploratorium four six year old ( stroller ! ) ; however , would drive know one attraction offer free parking . easily take bus Fisherman 's Wharf , Chinatown , etc ... front desk staff extremely helpful courteous- upon arrival , ( Dottie ? ) tell we nearby child 's playground- find- really help kid blow steam 8 - hour car drive ! also give we detailed instruction bus take various location , well local kid - friendly restaurant . definitely recommend Cow Hollow Motor Inn friend visit SF . want good value fun neighborhood , place ! 
 Mar 27 2007 	 good deal SF hand . 	 come San Francisco need nice , inexpensive accommodation , ESPECIALLY drive , look Cow Hollow Motor Inn . find property credit good TripAdvisor review , let . room San Francisco $ 100 , room clean , comfy nicely appoint . oh yeah , parking free . folk front desk pleasant accommodate location heart bustle Marina district . step hotel entrance Steiner Street least dozen great little restaurant range steak sushi organic vegetarian . be block away shop Chestnut Street three block shop Union Street . course , hotel locate Lombard street , fairly quick drive part city . downside room face Lombard Street bit noisy traffic , hey , be part charm San Francisco ! 
 Mar 14 2007 	 good value money 	 pleasant outstanding room , well worth reasonable ( SF ) rate . 's second time ' ve book hotel , will stay . two complaint , really . book room back hotel , possible . early morning noisy Lombard Street , sleep poorly result . bring ear plug ! shower water pressure bit low . find staff businesslike friendly , irritate . complaint , praise , either . 
 Feb 10 2007 	 Great Deal cow Hollow Motor Lodge 	 stay two night . staff friendly helpful . price great include cover parking . muni bus make easy navigate city . recommend family couple . clean safe . 
 Jan 25 2007 	 Great Location Decent Hotel money 	 read review Cow Hollow Motor Inn take trip business pleasure San Francisco , seem decent option . hotel great location , restaurant bar nearby , easy access 101 . parking somewhat tight available . elevator stink , slow . would recommend use stair . first room give not make yet , 's honest mistake , quickly give another room . odd reason , desk locate opposite wall power plugs ethernet cable , use wireless anyway since wire ethernet would work . bathroom pretty decent clean , good water pressure , room size ample . would stay price , without doubt . 
 Jan 18 2007 	 Nice Place 	 family enjoy stay Cow Hollow , room bathroom clean . furniture outdate not bother we . 1 block away Chestnut St. catch bus almost anywhere . also , Chestnut St. lot shop place eat . even catch bus Giants baseball game come within 2 block stadium . get room face Lombard St. beware alot noise form traffic , die little night . wear earplug . also , Gus 's across street , great food good price . 
 Jan 12 2007 	 Disappointed 	 Atter read positive feedback cow Hollow book 4 night . find staff unfriendly , room small , traffic noise shocking . location good nice restaurant nearby . know know would got hotel close Fisherman 's Wharf . 
 Dec 26 2006 	 gorgeous room poor service 	 first , positive : two room suite book gorgeous , clean comfortable . neighborhood quaint shop people , friendly . love way everyone dog shop put water nearly every store front . chinese food Country Sky restaurant across street absolutely wonderful , highly recommend fish , dim sum hot sour soup . Star Donuts delicious early morning pastry late night dining , Mels Drive , clean tasty . , side . desk clerk upon arrival rude . arrive 3:15pm , quickly inform us & quot ; suite would ready 4 4:15pm . & quot ; point printed reservation sheet say 3 pm check - in , insist apply suite ( expensive room inn late check time ? ) . finally , decide pick phone check housekeeping see room ready . . never apologize , simply act really inconvenience hand we key send we way . can not recall ever treat poorly hotel , especially reserve costly room property ! contact desk call inquire morning newspaper . , man , disintereste tone say , & quot ; manager bring paper around 7 am .... & quot ; wait 30 minute finally walk newspaper stand purchase one . not expect great service hotel . closing , would like give high praise & quot ; Colors Christmas & quot ; performance Symphony Hall . get opportunity see , will not disappoint ! 
 Dec 20 2006 	 great get quiet room ! 	 stress enough importance get quiet room . read review thought & quot ; can not bad , will wear earplug & quot ; warning : hear Lombard Street they . the night switch quieter room thing excellent . room huge well appoint . location good car , be long walk otherwise . be also hilly : be fit not car stay . car , park convenient secure . load brilliant restaurant turn right right entrance . you walk main attraction half hour be fairly fit . make sure book ticket blue gold fleet well advance want visit Alcatraz . 
 Nov 30 2006 	 Clean Hotel 	 stay feedback receive people website . would not say dissapointe be not expect . upon arrival park hotel underground car park check . staff look unhappy get impression do not want , unfreindly even little smile ! anyway back hotel .... room wonderfully clean , compleatly spotless reasonable size . view brick wall small roof wernt look window do not bother we . free internet room brilliant work perfectly . amenity anything else hotel know stay . location wise ok . yes fantastic little place eat within walk distance load shop . 20 minute walk hill famous part Lombard Street possibly 30 - 40 min fisherman walk tram stop location take get we place . eventually get feed uphill walk take bus go behind hotel regular . car parking expensive do not want hassle , public transport good . Union Square far walk $ 10 cab . I would recommend hotel , good value money next time would like little near attraction fisherman walk / Union Square etc without take transport time spend time place . 
 Oct 20 2006 	 great location good price 	 return week cow hollow research many choice , be happy decision . pay $ 125 per night less 10 % AAA discount ( $ 112.50 ) standard king room . car , free parking huge plus , especially 6 night stay . friend pay $ 28 per night parking hotel . other say , location terrific , perhaps big plus hotel . ton great restaurant shop within step door , much local flavor Fisherman 's Warf area . & quot ; Mel 's & quot ; across street may famous ; however , hotel restaurant , Bay Watch , even well breakfast . excellent breakfast reasonable price . room average size city hotel , clean comfortable bed . a / c heating system efficient ; however also pretty noisy . noisy enough keep awake , noticable blend background . elevator agonizingly slow ( be ny , maybe be bit impatient ? ) , 3 floor , stair always option . guess list speed elevator negative , thing pretty good . we will stay next visit , bottom line hotel . nice room , fair price , free parking , great reatuarant b'kfst , great location . 
 Oct 17 2006 	 Reviews right cow Hollow 	 book night cow Hollow Motor Inn read review , disappointed . room spacious spotless , free parking great bonus . number shop , restaurant cafe nearby , Marina Green ( great view bay Golden Gate bridge ) couple block away . hotel right Lombard , busy thoroughfare , road noise throughout night . decoration standard hotel furniture , be look place unique San Francisco charm character , might place . overall though , great value price . note hold $ 150 card one night 's stay $ 99 room rate . seem standard number San Francisco hotel , necessarily make clear front . 
 Oct 15 2006 	 convenient car 	 4 storey hotel basement ground floor give parking locate Lombard St ( Route 101 ) always busy . stay 5 night $ 86 + tax night ' city view ' room . mean Lombard St view , have think side hotel would pretty noisy . the room well appoint clean . issue . not room near ice / drink machine though . terribly noisy . the hotel badly need window replacement . metal - frame single - glaze window break catch ( see 3 room whilst - break window catch ) course little keep traffic noise . 
 oct 9 2006 	 Brilliant location 	 could not fault cow Hollow Motor Inn . location brilliant , especially nearby restaurant shop , doorstep . parking free ( huge plus ) , room extremely comfortable really quiet ( view , traffic noise either ) .I research lot hotel Fisherman 's Wharf area , glad choose cow hollow area instead . Fisherman 's Wharf seem area slightly tacky tourist restaurant snack bar , & quot ; seaside resort & quot ; souvenir shop chain hotel , whereas cow hollow full great restaurant shop . look nice restaurant last night overwhelmed choice - ISA , Betelnut , A16 , name . end Bistro Aix excellent . the number 30 Muni bus run along Chestnut St go really close Fisherman 's wharf . extremely good value central city hotel . 
 Sep 23 2006 	 Home Away home 	 stay cow hollow least month home away home ! room always fresh & amp ; clean , fantastic location ~ heart Marina District ! would highly recommend hotel anyone look great value location . 
 Sep 17 2006 	 Oustanding Place ! 	 Read hotel site decide take chance . glad ! normally stay Marriot , place great review decide try . hotel exceptionally clean , nicely appoint , quiet . ask back room live country use city noise . view not great ( another window ) hear anything room , exactly want ! plenty parking nice well - light 2 story basement garage . nice clean laundermat right around corner . also find Safeway 6 easy walking block away could buy hot dinner 6.99 , instead buy dinner restaurant , save we ton money . also nice restaurant attach hotel open breakfast lunch quite reasonably price . wife feel safe enough walk curve back , 9 block away , . also Starbucks , Walgreen 's Pharmacy numerous restaurant small bar area . hotel guest pleasant friendly , hotel staff . , great place stay , especially little money spend stay . complaint Guest Services directory room . would nice could compile something hotel service area establishment . say answer question , include good place park baseball game . thank cow hollow , stretch fund allow we much San Francisco . 
 Sep 12 2006 	 great value nice neighborhood 	 stay second time within two month motor inn think great value San Francisco . pay - depend season- $ 90 $ 125 room ZERO parking . pay $ 55 parking hotel SF like cow Hollow Motor Inn even well . true , room plain , not expect price range high end luxury . staff always helpful - request room face busy Lombard Street always honor . also love cow hollow neighboorhood nice , small restaurant , wine bar coffe shop . eat Izzy 's steakhouse Steiner roam wine bar Chestnut -- - delightful . 
 Aug 28 2006 	 good value good location good place 	 stay family four - parent plus two teenager - cow Hollow Inn two night August 2006 . read positive review TripAdvisor right . apart unfortunate mistake arrive , give key room already occupy - desk clerk not seem concerned go back reception - everything good - plenty space room , nice bathroom plenty towel , soap , coffee etc , useful garage . breakfast , Mel 's DIner across road lot restaurant nearby . easy get rest city bus - recommend . 
 Aug 27 2006 	 good Value great area 	 wife spend 3 night cow Hollow Motor Inn . locate Lombard St great area . 's close Union Street even close Chestnut St Marina district . mean walk district good restaurant anywhere , mention boutique shop . location value key word . pay $ 125 / night reasonable plain room , good San Francisco . real amenity , except free parking , something unusual City . park rental car leave , bus along Lombard take towards Fishermans Wharf , Union Square . room give partial view Golden Gate view . one highlight trip walk across Bridge Sausalito , take ferry back . actually bus Bridge , really walk distance hotel . cow Hollow Motor Inn fancy , offer great base visit San Francisco , without break budget . 
 Aug 10 2006 	 Great Place Price ! 	 Based Trip advisor review , friend stay cow Hollow Inn 4 night . room spacious , bed comfortable , esp . pillow , room CLEAN . price great , free parking appeciate rented car . location convenient restaurant , transportation easy find . eat Ristaurante Parma next door , often line people wait seat , know be pretty good . stay room face Lombard st , bit noisy do not bother we use city noise . shop restaurant neighborhood . alot family stay alot folk come back year year . motel nicer high- end hotel stay . would return without hesitation ! 
 Aug 5 2006 	 AWESOME ! bargain ! ! ! 	 great find ! great location , right Lombard Street great residential area . walk around corner will find wonderful restaurant , frequent local . 7 minute walk marina watch fog roll early morning . great view Alcatraz GG Bridge . short bus ride take attraction . walk 5 mile one day , hill neat neighborhood every step way feel safe . hotel clean , clean spacious three we . ask third floor room face Lombard . rent fridge 5 buck day . free parking great perk well . great family hotel high end chain hotel room cleanliness . dissappointe . 
 Jul 29 2006 	 outstanding everything hotel ! 	 recently stay cow hollow first visit San Francisco , good ! give low price ( & lt ; $ 100.00 / night ) worry hotel locate great area major american city . however , armed excellent review friends family , pleasantly surprised . room face onto Lombard Street , although clearly could hear traffic outside , not keep we awake minute long day sightsee beautiful San Francisco . free parking real bonus , especially someone flat city little intimidate San Francisco topography . location central locate excellent bus route ( recommend buy metro pass get around ! ) close great restaurant well . couple block Union Street , great place afternoon beverage hot day amongst tourist . great breakfast place right hotel , nice restaurant around corner . overall , definately visit hotel - good old - fashioned value money , something always find major north american city ( include ) . 
 Jul 5 2006 	 exceed expectation 	 love cow Hollow Motor Inn . parking free , let we check early , front desk knowledgeable friendly . recommend restaurant ( " anything Sterling excellent " ) tell we near place get bus pass ( Fisherman ' Warf ) . room neat clean , ' feel cheep . bed also comfortable . downside street noise – loud – distance center town . noise ' problem we , end walk Fisherman ' Warf ( 25 minute walk ) take trolley town . great hotel . 
 Jul 3 2006 	 pretty god noisy 	 cow Hollow Lombard Street 's fairly central , close public transport , restaurant ( famous Mels Diner across road ) , shop bar . mean , course , traffic noise . near main thoroughfare traffic noise keep we awake ( Diablo Mountain Inn , Walton Creek ) .room nice , clean , big enough , american hotel stay provide small bath towel ? ' m tall . large . hotel provide complimentary parking ( one city ) pretty tight ! breakfast Judy 's ( Chestnut street , parralel Lombard ) two occasion stay , keep we go 18 hour ! ask third night July 4 weekend approach availabilty , however , book we Chelsea road . would stay . 
 Jun 15 2006 	 fantastic place stay 	 wife stay cow Hollow Motor Inn 5 night May year . decide hotel read review website say disappointed ! location outstanding many different aspect , close restaurant shop Union Street Chestnut Street . hotel not restaurant breakfast lunch place building call & quot ; Bayview & quot ; good food good . across Lombard directly opposite Mel 's Diner open early late , service food good , place price cheap well . Marina district good location stay close Bay 10 minute walk Fillmore get good view Golden Gate Bridge harbour . the Muni bus , number 30 go Chestnut take Fishermans Wharf Downtown well . bus service excellent save find pay parking . stay room front hotel ( Lombard ) may find traffic noise bit distracting , even small price pay excellent location really helpful staff . room level 3 face Lombard big bathroom , clean . whole would hesitaton either recommend stay visit San Francisco future . 
 May 31 2006 	 perfect set we 	 family stay 5 night 2 bedroom suite cow Hollow Suites could well experience . since gather event ( son 's graduation ) , great apartment like set common living room rather everyone try crowd hotel room . although frequently eat , completely furnish kitchen allow we save money breakfast , snack , dinner young one could not go late . suites street quiet everything clean well keep . suite pleasantly decorate comfortable furniture antique piece throw . comfortable bed large closet . conveniently locate everything need within block easy access attraction . reasonable price . definitely stay . 
 may 15 2006 	 stay 	 bargain : ' ve pay 110 $ /day , 2 weekend nights.location : good neighbourhood.superb use car since parking place.during weekend stay encounter almost traffic.though walk hotel pier 39 , enjoy sight way . ( take 20 - 30 min walk , consider partially uphill , weather excellent , do not recommend hot .. ) be diner across street - open 6am.room : take room city view ( lombard st . ) - nice view.nice spacious room , allot storage volume , clean , a / c working ( test heating ) , like picture.parke : parking space entrance floor . many parking space garage floor . ( free ) 
 May 12 2006 	 Great Hotel tourist look convenience local shop site ! 	 stay cow Hollow last month experience unforgettable . free parking great b / c able commute ever want city , bus stop # 30 bus go toward Fishermans Wharf right behind hotel . well great shop , restaurant bar walk distance hotel . although room Lombard St. side noise tolerable consider come NYC . room impeccably clean well maintain big plus ! location perfect us b / c unlike downtown San Fran hardly notice vagabond walk around neighborhood , never feel like look shoulder time walk around look something eat . also discover last night hotel also block away San Fran bay get great glimpse Golden Gate bridge . want try great asian fusion restaurant head Betelnut Union St. couple block away cow hollow , amazing Calamari ! want convenient place stay affordable price cow hollow definitely good choice ! .. HIGHLY RECOMMENDED 
 Mar 28 2006 	 Excelent family great location ! 	 stay 5 day hotel 7 - moth old baby . it perfect , especially consider reasonable price . great restaurant shop around corner ; noisy touristic neighborhood , free parking , easy access ( car ) main city attraction . room spacious comfortable , free internet acce ( though wireless ) . highly recommend . 
 Mar 14 2006 	 Loved ! 	 place GREAT ! location great , free parking bonus room really nice . great value city like San Francisco . 
 Nov 8 2005 	 cow hollow great ! 	 cow hollow great location amid excellent restaurant shop less 2 mile Fisherman 's Wharf . room clean convenient hotel 's free parking . 
 Sep 8 2005 	 great stay cow hollow ! 	 family spend week cow Hollow thoroughly enjoy stay . hotel fantastic location room large clean . 2 year old 6 year old easily jump swe hotel life . find parking space every night rejoice fact not take public transportation child . probably spend two month search good hotel feel book cow Hollow . AAA rate we go local AAA join get two one type deal .... membership AAA year great hotel $ 100 . FANTASTIC doughnut shop corner , great sushi place across street laundry mat one block . really would recommend hotel especially see downtown look like : ) can not beat price LOCATION ! 
 Sep 5 2005 	 convenient location good service 	 everything need- apart fridge . huge room , air - con , tv , excellent bathroom . . . security car.30 minute central SF ' bus , fantastic restaurant around corner , easy find Highway 101 . want ? reasonable value $ 125 . 
 Aug 29 2005 	 cow Hollow Motor hotel San Francisco 	 stay second week August . this hotel good option car come free parking , handy San Francisco . room , although tastefully decorate , big , confortable clean bathroom . overlook Lombard Street nice view ( not foggy ) . opposite hotel , Mel 's diner great place breakfast . 's 50 's style diner excellent -though cheap - food . area around hotel also interesting touristy . nice street walk across Lombard Street . 
 Aug 4 2005 	 would stay 	 pick cow hollow reasonable price , free parking location . clean hotel , bathroom clean date . high speed internet access , soda ice machine floor . room overlook Lombard St noisy , live along busy noisy street not bother we much . staff overally friendly , assist we bus route even allow friend exchange parking spot we could ride together pier . would recommend stay cow Hollow . 
 Aug 1 2005 	 Great Location 	 nice , clean hotel . 's great location , near many restaurant bus stop . stay 3 night 2 kid please everything . would definately recommend . 
 Jul 28 2005 	 Absolute Gem 	 stay cow Hollow every time go San Francisco . clean , cute room friendly staff . excellent location restaurant , bar , bit shopping . suite like home away home excellent group friend family ! ' m go back soon .... 
 Jun 21 2005 	 Houstonians Love cow Hollow Motor Inn Suites 	 stay cow hollow numerous time year feel come home every visit . location well nice walk marina , Exploratorium , Fort Mason . Chestnut Street wonderful restaurant delis , movie theatre . use bus handy stop Chestnut get ballet , Caltrain station , Beach Blanket Babilon , Golden Gate Park , North Beach , Fisherman 's Wharf cable car stop . even though cow Hollow not charge fabulous parking garage , delighted location allow we fun without car parking problem city . staff wonderful helpful , room great , w. king size bed , Bay Watch Restaurant fabulous breakfast right stair . price right . everything cow Hollow make good deal San Francisco Houstonians ! 
 Jun 9 2005 	 good value San Fran 	 stay cow Hollow one night two day visit San Fran last week . first foremost , hard beat price hotel free parking San Francisco . free internet room well . map give check great map tour city . room clean average hotel room , shower absolutely pressure big negative . great restaurant close either Chestnut Union St . would stay return trip . 
 Apr 17 2005 	 like Cow Hollow Inn 	 stay cow Hollow Inn ( Lombard Ave , Marina District ) April 2 3 , 2005 . two - queen room large clean . hotel free parking . ( parking run $ 30 - 40 per night downtown hotel . ) many good restaurant nearby . would note especially Mel 's drive - in , right across street . Meatloaf , fried chicken , roast turkey . * * good . cheap . 
 Apr 6 2005 	 stupendous 	 stay cow hollow week march 26th 2005 could please room , staff , location , price superior ! park great lady front desk always cheerful picture website date room much well one website ! room large room bathroom well keep ask one toward rear third floor get great view city cow hollow locate lombard close van ness main drag city also close golden gate bridge plenty place dine within walk distance neighborhood safevery satisfied ! ! 
 Dec 4 2004 	 good 	 Agree completely review . our gripe son quote low price we refuse match room . make sure know pay ! not use Bay Watch restaurant go Mel 's Diner across road . excellent basic food , good service . 
 Nov 10 2004 	 home away home ! 	 cow Hollow Motor Inn become home away home . visit San Francisco least month stay exclusively ! motor inn clean , staff courteous helpful , location can not beat ! heart Marina District , walk everywhere . would recommend motor inn anyone , several friend stay upon recommendation making plan come back soon ! 
 Nov 2 2004 	 comfortable great safe location 	 spend 2 night cow Hollow Motor Inn October . staff friendly helpful . room comfortable quiet . 's wise ask room away street . location great , within short walk many good restaurant shopping . take bus civic center return marina area delicious dinner ISA evening stroll . would definitely stay cow Hollow . 
 Aug 26 2004 	 home away home 	 stay every year suites - like apartment favorite city . staff always friendly neighborhood charming . not look , want stay ! ! ! 
 Jul 6 2004 	 10 10 	 boyfriend stay Apr / May 2004 first stop trip SF , LA , Las Vegas Grand Canyon . delight hotel honestly say probably nice hotel stay throughout trip . room spacious decorate well . drawback ice machine corridor make bit noise . would suggest ask room away main road woken traffic . hotel thick thing SF actually prefer . short walk water could catch sight Alcatraz bridge . however , catch bus round corner get centre , get china town spend day walk . walk enthusiast hotel fab , walk Pier 39 one day trip Alcatraz long walk scenic . ample restaurant / cafe bar near hotel . 
 Jul 5 2004 	 Ideal Choice 	 choose cow hollow reading review many San Francisco hotel TripAdvisor . little concerned first trip San Francisco , could not make well choice . cow Hollow ideally locate - walk Ghirardelli Square cable car 15 minute , use bus run along Chestnut Street , one street Lombard . local neighbourhood Chestnut plenty restaurant shop , enjoyed walk along evening . room large clean , view Golden Gate Bridge . little noisy night restaurant , city location . staff friendly helpful , free parking definite plus . restaurant door block Lombard good breakfast . tempt stay Fisherman 's Wharf area glad not visit find seriously touristy / seedy . happy escape back cow Hollow . 
 Jun 30 2004 	 location ? 	 nice hotel happy busy street location . close wharf cable car . move sister inn - Columbus Inn could walk wharf hop cable car . 
 Jun 30 2004 	 love cow hollow ! 	 cow hollow clean , room spacious decorate quite nicely , staff friendly , location can not beat ! love . step away type restaurant choose , block bus stop , within walk distance many attraction . definitely recommend hotel would stay time visit SF . price can not beat ! 
 Jun 30 2004 	 great choice 	 hotel locate far enough hustle bustle city actually relax be . hotel clean . , get room , lobby area might meet people party . the parking huge bonus ! excellent food choice Steiner St. Chestnut St. negative comment stay room face Lombard St. early morning traffic loud . 
 May 21 2004 	 good Kept Secret San Francisco 	 go cow Hollow Suites every year . lovely antique reproduction , view SF bridge , variety restuarnt make place go SF . perhaps advetise & quot ; well keep secret San Francisco & quot ; , San Francisco native exclaim last year invite room . 
 Apr 26 2004 	 Awesome every respect ! 
 Nov 10 2003 	 can not beat neighborhood 
 Nov 3 2003 	 love cow Hollow Motor Inn 
 Oct 18 2003 	 Excellent Value - Great Location ! 
 Aug 30 2003 	 Attitude 
 Aug 4 2003 	 Great Hotel 
 Jul 31 2003 	 cow Hollow Motor Inn 
 Jan 7 2003 	 secret 's ... 
 Dec 18 2002 	 gem lombard 
 Apr 27 2001 	 Jewel Accomodation SF 
 Feb 16 2008 	 Ottimo ( ) hotel ci tornerei sicuramente . 
 Feb 5 2008 	 Ottimo motel 
 Sep 23 2007 	 Schönes Hotel toller lage 
