glorious 	 stay Claridge 's weekend November suite , tell recently ' refurbish ' . bedroom living room , although large central London , rather worn vintage curtain chip paint tired carpet - fine generally , £ 1,200 per night ! service standard good , probably amongst good town , lobby one glamorous . we , though , room big let - down . brown furniture , cheap picture old fashioned light . remind chic Connaught , albeit room fraction size . 
 Nov 7 2008 	 epitome old style charm service 	 claridge good hotel UK deservedly belong group Leading Hotels World . it old style charm couple attentive impeccable service . assure wonderful experience arrival departure . always delight climb sweeping staircase lead Foyer onto wide grand corridor suite / room . lift prefer relax ascent ! fortunate stay Claridges several time room supremely comfortable . actually , large bedroom bathroom luxury UK hotel stay . one room particular , Suite 216 Art Décor paradise . absolutely fantastic . however , favourite piece décor grand Dale Chihuly chandelier adorne ceiling Foyer area . Claridges Bar still one stylish Mayfair staff amaze we fantastic memory personal drink preference . Gordon Ramsey ' must , enjoy fine cuisine London . advisable book well advance secure table reservation . however , aware , GR be not keen supporter vegetarian therefore choice limited . 
 Nov 1 2008 	 Claridges London - Nice good hope 	 book queen sized luxury room weekend husband 's birthday . hotel recommend friend . we pay car pick we airport take we hotel . Mercedes Class luxurious well worth money . arrival hotel amazing greet footman top hat take luggage room check . hotel perfectly locate shopping , theatre sightseeing around London . the room ok , lovely high ceiling , air con flat screen tv . issue room : internet work bedroom ; shower screen leak shower bathroom floor pool water ; night room overlook inner courtyard could hear noise fan airconditione machine , even use earplug ! whilst fault service location hotel would expect keep awake night sound fan airconditione pay stay 5 star hotel . 
 Oct 12 2008 	 wonderful 	 family stay Claridges time . lose flair , still remain one good hotel london . book one linley suite several room find excellent condition . staff usual friendly make tremendous effort , particular Martin concierge , friendly elevator boy . still top notch , wonderful sixth floor good location . highly reccomend . 
 Sep 6 2008 	 lesson make people love .... 	 friend book twin room Claridges not cheap . however worth every single penny . every penny . everything perfect . service ? service make proud british . room not ready 10 minute - escort bar complimentary champagne . one key not work - free champagne . every member staff excellent . greet everywhere go . everyone helpful . room wonderful , bath like swimming pool bed ? ! bed would fit bag would nick comfortable . gush really can not fault . life 's reputation . really special treat . ' ve give place 5 star - class apart . 
 Aug 22 2008 	 wow wow wow 	 amazing 3 night stay Claridges mid August . bring away husband celebrate 40th birthday arrival find bottle Laurent Perrier Champagne ice plate hand make chocolate happy birthday write chocolate courtesy hotel . book superior king room get lovely room 4th floor look side street . choice art deco room traditional decor opt traditional understate lovely . large king size bed mirror bedside locker write desk lounge chair . dress room wardrobe fab mirror dress table lead bathroom original 1920 decor update shower head size average dinner plate ! switch bathroom could opt listen tv / cd player . toiletry Asprey Purple water range - fabulous shower gel , shampoo conditioner available along silver dish cotton buds usual sewing kit etc . , really clever button pad system bedside locker valet , maid privacy button . opt privacy button would light outside room one would bother ( disturb without hassle hanging sign door ) . could valet come unpack honest far concious suitcase content ! leave shoe outside door evening polish free charge . change fruit room daily . order breakfast first day although room huge bemused would eat obvious side table . waiter arrive hostess trolley - pull 2 side leave dress table linen etc . , breakfast silver platter individual cool bucket select juice .... even little box full dry fruit nut little tag say & quot ; elevense & quot ; . attention detail amazing yet staff friendly not feel fawn . clever brass plaque wall beside lift door floor tell lift situate ground floor i.e . exit right concierge desk . lifts sofa 's ! flick hotel information book one day come across suggest jog route range 1.5 - 5 kms map mapping route . the dress code smart casual do not encourage camera public area privacy policy anyone famous staying . ( do not spot anyone ) . bar small cozy extensive cocktail range nice nibble courtesy waiter . eat Gordon Ramsays Claridges evening birthday fab . opt taste menu although 7 course long not christmas day feel do ( need stop chip way home ! ) . hotel excellently locate around corner Bond St tube station , Oxford Street , Bond Street Regent Street . pay £ 360 per night include breakfast £ 32 per person . although expensive felt get value money . would definetely go back - next time christmas would love see foyer decorate christmas tree etc . , go worth expense - live . 
 Aug 17 2008 	 Hope back 	 pass pleasant two night August 08 . pay £ 300 per night without breakfast . central location , near Oxford / Bond Street tube stop . its real class act , service excellent , friendly professional , overtly pretentious like e.g Ritz , Paris . the hotel mainly Art Deco style beautiful feature ( see pic ) .room , comfortable , clean , sumptuous , nicely furnish large hotel stay none less nice . foyer area wardrobe space , main room marble clothe bathroom , huge bath , wide deep , usual 5 star hotel paraphernalia , bathrobe , slipper , soap , wi - fi , tv , umbrella , turndown service etc . bar , choice two , addition main foyer serve cream tea , meal . one bar quite / intimate & quot ; Fumior & quot ; , leather seat , elegant Art Deco , quite lively laidback , although nowhere nicely furnish Fumoir . service spot . drink price £ 10 glass red , £ 11 + cocktail . restaurant , 3 , include Gordon ramsay £ 70 three course menu . not try look great . for £ 300 per night good value . 
 Aug 8 2008 	 Paradise earth 	 stay Claridge 's four day August 2008 . hotel certainly cheap , accept hotel worth price , Claridge 's certainly . room excellent size , Art Deco detail exquisite . furnishing wonderful , modern convenience supply . however , truly distinguish Claridge 's service . everyone receive perfect service , whether Grand Duke Luxembourg ( possible hotel ) ordinary visitor . second day , elevator operator know know floor want . make reservation , tell hotel celebrate milestone birthday , birthday upon return room small ( delicious ) birthday cake . entire staff invariably pleasant serve . amazing remain background discreetly not need , somehow sense want , even summon . imagine well hotel . could afford go often . 
 Aug 8 2008 	 Quite disappointing 	 special treat ( 7 month advance ) reserve last 2 night vacation . arrival late afternoon Paris find room ready despite repeat assurance would 10 minute wait almost hour . I read lot glow report room say renovation must forget room get ( far 3rd floor think ) . except new electrical outlet noisy A / C seem nearly untouched since War . on plus side , public room hotel nice , food excellent bathrobe cost less Meurice ( though Meurice 's nice ) .over guess would stay unless sure get one fab new room hear ... 
 Jul 6 2008 	 Class London 	 go wife Claridge 's London two day vacation . reserve superior room . reason , upgrade we junior suite . the junior suite recently renovate . elegant ( 30 art deco ) confortable . subtle flower smell float around , bottle Laurent Perrier Champagne wait we . room big confortable living room big . make stay blast . whole suite maybe 90 sqm . turn service also well do , number indirect light give cosy atmosphere , fatly pad slipper foot , bottle water thirsty night , new towel , etc etc ... every detail attend . even shower exceptional- Head shower shoulder shower ! ! ! tea ceremony 17:00 . ambiance refined , service good , tea pastry tasty . pay indulgence 35 GBP however skip sandwich champagne save around 50 extra gbp . morale : nice experience , veeery expensive . London ... hotel centrally locate , 10 min walk picadilly circus , 20 min theater district . there nothing say negative hotel apart fact expensive , ( worth money u afford ) , staff courteous friendly , ambiance superb , make u feel like royalty . even couch elevator ! ! ! strongly recommend 2 day romantic getaway . 
 May 23 2008 	 Best Hotel London 	 stay two night Claridge 's ( stay previous occasion ) , thoroughly delighted . deluxe refurbish room seventh floor , extremely spacious , large bathroom ( include walk - in shower ) , lobby walk - in wardrobe . style room tone - down Art Deco ( rather Belle Epoque ) , elegantly do . service general hotel less flawless , seamless flow door room . one 's bag whip taxi reappear room ; reception staff helpful , lift - operator always friendly , usually remember floor . something whole operation seem work much well anywhere else . one tell concern staff get thing right every time . breakfast comfortable Foyer read Room excellent , uncivilised buffet nonsense . order want bring . staff also know name serve you . two slight disappointment hotel , first , almost impossible get table Gordon Ramsay Restaurant without book month advance ; secondly , main bar get full little rowdy time . one settle drink Foyer Fumoir instead . service remain , nevertheless exemplary . I hotel different , one well . 
 May 22 2008 	 Timeless Glamour ! 	 moment arrive sweep away style glamour London property . the bar ooze class food reading room die ! room art deco style conforatble night sleep . breakfast bed bed next day fantastic menu choice available- even make we item feature ! ! soak atmosphere leave know back end year - definitely new London home we ! ! 
 May 16 2008 	 Loved Claridge 's . discreet attentive service wow factor ! 	 stop suite 30th birthday . Suite great - large sitting room dvd , cd player , flat screen etc . bedroom also large flat screen . bathroom massive . Champagne , flower choc . fault . 's expensive £ 330 per night honest , worth every penny ! really magnificent Claridge 's though make difference 4 * 5 * hotel IMHO service . service FANTASTIC ! ! ! breakfast example ask would like orange juice say ' yes please ' waiter , ' secondary waiter ' behind , snap finger OJ appear instantly courtesy secondary waiter . rather marvellous . Claridge 's also earth pretentious . staff , include door staff , reception chambermaid speak , incredibly professional friendly . one woman meet work 30 year . stop Claridge 's experience think everyone least lifetime ! Book early ( i.e . 3 month advance ) get table Gordon Ramsay Claridge 's though will not get ! ! 
 Apr 14 2008 	 Grand Hotel Great Service 	 stay Claridge 's four night business April 2008 . fine property ! grand hotel really know mean word & quot ; service . & quot ; room large ( even american standard ) furnishing nice . room even antique desk , beautiful addition functional . bathroom also large . room service prompt ( ask breakfast arrive 7:00 , 7:00 dot ) food delicious . service staff helpful courteous , always go way make sure everything need . location also great -- - heart fashionable Mayfair close Hyde Park Bond Oxford Streets . take Heathrow Express Paddington Station , less 10 minute cab ride Claridge 's Paddington . Claridge 's quite pricey , Americans everything U.K. expensive day . exchange rate 1 - 1 , Americans would probably think Claridge 's bargain consider comfort service receive . would go back second . 
 Mar 6 2008 	 classic 	 stay recently claridge find magnificent.it truely institution good service customer care.had stay 99 since undergone facelift especially public space find change complete tastefully.the room large spacious location central london excellent.while certainly rather expensive say worth . 
 Jan 29 2008 	 Amazing Hotel 	 love Claridge 's ! pleasure stay one night , find one good hotel ' ve ever stay . we former employee Ritz - Carlton hotel company , pretty particular come hotel experience - although Claridge 's big splurge we . moment get cab , fantastic experience friendly non - stuffy bellman , front desk staff in - room dining . room beautiful - linen great , bathroom sparkle magazine selection make happy . issue shower , drain properly hard time partial glass curtain ( guess Americans use fully enclose shower ) bathroom pretty flood two shower . can not wait go back ! 
 Jan 15 2008 	 Claridge 's -- ultimate luxury hotel 	 stay Claridge 's four five time . hotel someone like modern sleek hotel , Claridge 's aspire neither . 's would imagine stay Buckingham Palace would -- excite extremely nice , little bit dowdy . the lobby Claridge 's sparkling electric however , line photo prior customer ( think Churchill , Hepburn , Jackie ) . location hotel top - notch . love walk , Claridge 's put fantastic London location . lot work hotel lately -- new carpet room refurbishment . however , idea seem maintain traditional feel hotel . get really unusual ( would argue unattractive ) light fixture , wonderful shape . bathroom countertop kind black marble look forever -- good fifty year , although fabulously well - maintain well . piece furniture room rather questionable taste ( chrome coatrack come mind ) . see budget hotel would surprised . couple really beautiful , old build - in wood fixture - mahogany closet drawer not see like today . truly , feel place magical , another world time . frankly , be enjoy London -- feel able travel back time . perhaps good quality hotel fantastic staff . housekeeping standard top - notch . staff readily available take care request . promptly run get need medicine us time late - night pharmacy Marble Arch . far totally stick tradition , however , Claridge 's make change necessary . free wireless interenet access room ( much appreciated ) new Asprey toiletrie big improvement . we travel lot , find must look hard hard truly unique memorable travel experience . Claridge 's one definitely worth try luxury hotel lover . 
 Jan 15 2008 	 tired outdate 	 stay Claridges one night return fanatastic break New York . we arrive hotel 9.30 feeling tired need freshen up . firstly 6 suitcase remove taxi ask done - not expect . reception little well , although another guest check pleased stay receptionist fetch hotel manager check ! ! ! show room , quick tour facility . offer compilmentary coffed , gladly accept . after 40 minute wait coffee , rang reception apologise send within 10 minute . this would bad want shower go bed hour sleep . after coffee arrive , time look around room , clearly need much needed refreshment . the carpet lifting place although lovely time , wardrobe furniture could restoration . I fully aware modern hotel modern fitting , excuse look tired . the bathroom however lot well appearance wise , lift toilet seat find unwanted leftover last guest housekeeping . want get bed , nothing say check morning . there apology check desk , note mention housekeeping . very poor expect top class hotel . throughout night stay , open door leave enter building doorman seem far intersted chatting delivery driver / taxis . perhaps experience one picky , hotel level perfect service rely false englishness sake foreign visitor . Quaintness may well overawe american tourist , return perfect stay american hotel New York , frankly claridge little poor say least . I would recommend hotel , far well hotel London , sway name . our stay may one , leave dissapointed . 
 Jan 6 2008 	 Pretty Good Stay 4 5 overall 	 stay Claridges recently return London UK round trip stay Dorchester week . read review would say brief seem largely depend room allocate quality experience . experience average : - 1 ) arrive hotel 11 am immediately show room.2 ) allocate Luxury Double room refurbish 7th floor . find room quite spacious separate dressing area , separate entrance corridor , bathroom separate shower bath - marble appropriate high quality.3 ) quality amenity also high enjoy thick slipper robe . if picky , negative would highlight : -1 ) av system refurbish room old - early 90 Philips tv Sony Stereo . would expect new plasma / lcd screen find new hotel ( Covent Garden , Soho House example ) .2 ) maid service good little surprised get knock door 9 am ask time would able clean ( final morning well .. ) .finally , comparison Dorchester , think room Claridges slightly well ; public space excellent service , Dorchester however offer well value money room rate include excellent breakfast . 
 Jan 1 2008 	 peaceful indulgence 	 four we spend three wonderful night Claridge 's celebrate birthday . arrive Heathrow around 7:30am warmly greet driver send hotel pick we . although Claridge be within 30 minute , hotel room ready we . check - in breeze - friendly efficient . room - superior king - nicely appoint , nice room ' ve stay . large , bed heavenly , plenty closet drawer space , light sufficent ; large bathroom equip double sink , bidet toilet , towel warming rack , warm marble floor , tub / shower large shower head ' ve see ! separate room & quot ; good & quot ; rather uninspire carpeting ( sort rust / brown wall - to - wall look like belong den ) rather drab decorate color . list 569 pound per night , expect little & quot ; zip & quot ; . couple 's room ( still superior king ) bite different : small , narrow bathroom separate bedroom small sit area desk closet . also , half - glass wall tub / shower leak dreadfully time shower . bedroom identical , however . two room , agree prefer one b / c & quot ; sit room & quot ; not necessary location room ( 146 ) seem loading area result hear frequent & quot ; scrape & quot ; noise - unbearalbe , occasional annoyance . since spend little time room , decide ask room switch . service : impeccable , efficient , friendly , helpful . concierge service book theatre night dinner reservation , find we driver car 5 hour la carte tour city ( 55 pound per hour w/ minimum 2 hrs . well worth every pound ! ) , answer many question . take breakfast morning dining room downstairs ( Foyer ) , dine sumptiously Gordon Ramsay , afternoon tea ( sister - in - law , ) , dinner cocktail bar . despite heard & quot ; uninspiring & quot ; english food , meal delicious . worth particular mention : afternoon tea ( 42 pound per person , believe ) almost 2 hour pamper dinner Gordon Ramsay quality service outdone quality food . departure day , driver ready we time return Heathrow . & quot ; downside & quot ; memorable stay shocking price London . go yearly Paris price certainly inexpensive , pale comparison find London ! 
 Jan 1 2008 	 Resting Laurels 	 decide , sort spur moment , go London New Year 's Eve long weekend , thought would blast stay claridge . well , $ 1000 night , well blast . plus side , location perfection , always thrill walk door . minus : room hideously ugly cube overlooking airshaft , paint shade turquoise , cram full tacky furniture olive green curtain clunky armchair . massive armoire hold outdated tv take space bed ( two twin push together , & quot ; king & quot ; -- however bed linen lovely ) . enough light even dress , let alone read paper , antiquated lamp . room full dust , particularly thick layer coated glass bedside table -- suppose light room , would dust visible . bathtub huge , boast three different set tap , one shower , one tub , one handshower -- leak constantly , call desk repair result improvement drip , filth plumber bathroom . chambermaid leave dirty sponge tub day , use . layout narrow bathroom terrible -- toilet bidet inch sink . ( plus -- load asprey amenity ) . Charm ? sometimes euphemism date . , fabulous time London , doubt would book Claridges . 
 Dec 24 2007 	 wonderful experience 	 husband book 60th birthday suprise afternoon tea Claridges , show , stay night Claridges . fom moment drive hotel entrance greet Roman , doorman till car bring back hotel leave could well service attention . staff everywhere attentive welcoming , truely make we feel special . afternoon tea quintessential & quot ; English Afternoon Tea & quot ; , delightful . room superior twin , enormous , much wardrobe draw space , spotlessly clean , bathroom , large clean , beautiful luxury towel bathrob . complimentry coffee , fruit , bottle champagne choc arrival room add special feeling , deliver extremely plesent room service . little add touch room , shoe clean clothesbrush bathroom toileterie etc etc . book smoking room upon entry really would know smoking room . if expect walk bright , modern marbled hotel forget . Claridges Art Deco , might consider old fashioned , that s give character . black & amp ; white highly polished marbled floor enter famous revolving door , beautiful chandlier whole style wall , ceiling etc , gorgous wide carpet staircase . 3 day befor chirstma expect Claridges beautifuly decorate , infact one huge silver decorate christmas tree foyer small one dining area , tasteful , anymore would tacky . we room service snack show , slow expect 11.30pm . however room service soon wake 8.00am excellent . breakfast superb , full english , cook perfection . different staff , charming moment enter dining area till leave . roman doorman seem duty 24/7 charming . greet we arrival , wish we happy evening leave see Sound Music , greet we arrive back show time chat we 11.30pm indeed wave we noon Sunday . even willing pose photo . claridge bold modern hotel , like Belagio example Vegas , old hotel Art Deco style slightly modern twist , truely superb hotel , without quesion would recommend claridge . 
 Dec 8 2007 	 simply good 	 wife stay Claridges number occasion , main celebrate birthday / anniversary etc . it always great treat go albeit night . Gordon Ramseys always excellent ever staff courteous polite , lunch menu still represent good value money . fact take friend lunch quite recently 60th everyone well make day one remember . Sue Richard 
 Nov 30 2007 	 Amazing 	 say good hotel , arrive leave thing always remain mine wife mind , room amazing , service amazing , fruit deliver 5 pm snack ? ? ? ? good hotel ever stay ( could afford ) would stay London hotel . this wife birthday surprise must say worth every penny spend . we stay mid week first stay hotel find great , say Mr & amp ; Mrs Edwards love hotel would recommend anyone . please Claridge 's invite we back would happily drop everything back could say north south divide . Paul & amp ; Eileen 
 Nov 26 2007 	 Underwhelmed Beware Room 701 	 excited two night Claridge 's last week . staff excellent upon arrival public area impressive . exceptionally large room ( deluxe king ) , however , disappointment . broken crooked lamp shade , lot empty bookshelf ( weird ) , unclean / broken bathroom fixture , antiquated HVAC unit work less 1/2 visit . wall seventh floor ( apparently new addition hotel ) also paper thin . clearly hear conversation , phone ring , television , door close . service generally top notch although call twice iron one night front desk less warm check -- surprised ask enjoy stay . issue ( except noise ) could overlook less hotel , $ 800 + per night give Claridge 's reputation , expect . 
 Nov 24 2007 	 Mediocre New Decor 	 year consider Claridge 's one good hotel London , world . perfect location , stunning lobby first class service three reason truly love hotel . however , new decor really disappointed . something significant lose & quot ; update & quot ; , room hallway familiar feel , business center remain ( London ) absurdly tiny . simply put , decor feel ordinary , price pay stay , not want average pedestrian . 
 Oct 19 2007 	 wonderful experience 	 stay Claridge 's 3 night deluxe room thoroughly enjoy . service hotel good -- room ready 9 ( flight come ) .The room British somewhat quirky layout -- enter small vestibule could turn leave bathroom right bedroom . enormous build armoire bedroom drawer shirt , ect . room reasonably large although add cot child would tight fit . actually like unique nature room someone want cookie cutter hotel room , place . room not much view ( not important though since spend time outside hotel -- FYI want view , lanesborough room face park . ) hotel counter purchase ticket play nice fireplace lobby couple chair ( visit December ) sit read . concierge arrange we tea hotel ( quite nice ) make reservation post theater dinner ( also good ) indian restaurant ( good indian food ever ) . bar hotel fabulous place get drink end night . central location make get around various tourist location extremely easy -- walk almost everywhere . wife love Floris product bathroom -- quite large nice ( although layout unusual -- narrow long ) . would definitely return . 
 Oct 8 2007 	 Opulent wonderful - expect 	 husband treat we night Claridges proper luxury live London . real pleasure . staff check room service charm helpful . room huge wonderful art deco feature wardrobe space ' ve get clothe ( be say something ! ) . bathroom huge bath like small swimming pool . shower head also enormous involve back neck massage jet . Heaven . room quiet comfortable need . Breakfast deliver we huge table , beautifully set flower everything plentiful delicious . hotel public area magnificent make feel set glorious classic film . lunch lovely food also room ambience . afternoon tea exquisite surely good London . scone heaven send experience believe . eat restaurant occasion guest wedding night - do thought excellent . yes - Claridges expensive . would expect anything else ? beautiful , historic hotel feel totally spoil decadent would way . look forward excuse . 
 Sep 19 2007 	 Timeless Elegance 	 " timeless elegance " would describe 3 - night stay Claridge ' early September . upon enter hotel , smite beautiful Art Deco lobby " titanic - like " staircase . ( expect see Katherine Hepburn Spencer Tracy stroll formal attire - Spencer Tracy say die ' want go heaven , want go Claridge ' – know exactly feel . ) staff incredibly attentive guide we reception desk . housekeeping staff apply finish touch room , go drink bar . brief wait , escort room . room Art Deco motif dark wood ornate molding wall ceiling . superior King room , seem large 377 square foot quote website . bathroom alone 100 square foot – 6 - foot long tub / shower , sink , toilet , bidet heat towel rack . also wooden dresser storage . room flat - screen tv internet access foyer could closed second door . two large closet third closet enclose safe , shelf glass drawer storage . hotel provide bottled water bowl fruit replenish daily throughout stay . overall , staff could warmer helpful . for interest , location Claridge ' could ideal . 50 foot Bond Street – equivalent Beverly Hill ' Rodeo Drive New York ' 5th Avenue . ' 15 - 20 minute walk Buckingham Palace , Westminster Abbey , west end ( theater ) Hyde Park . needless say , ' centrally locate . there numerous restaurant surround hotel Gordon Ramsay ' Michelin - star restaurant Claridge ' . excellent 3 - course prix fixe lunch 30 pound per person , steal consider London ' price poor exchange rate dollar . two cocktail set we back $ 65 . taxi fare Heathrow central London run $ 110 . beware sticker shock London ! pay 309 pound / night , poor exchange rate , would favorable price stay legendary hotel . unfortunately , $ 2 pound , price become rather inflated . despite , would rate stay Claridge ' one memorable ever . stay many luxurious hotel high - tech modern convenience , none aura old - world style Claridge ' . without doubt , ' back . 
 Sep 15 2007 	 good hotel pity restaurant 	 wife spend night Claridge ' . main purpose visit visit Gordon Ramsay ' restaurant . although expensive hotel room service excellent . fault quality picture massive television make almost impossible watch . ' touch impressive mini bar unless multi millionaire . pity restaurant . high price charge food service excellent exceptional . : service rather rush , inattentive impersonal quality food would raise several point serve hot lukewarm . ' eat several Michelin star restaurant opinion standard . breakfast include room price , disappointing . arrive quickly could freshly prepare . poach egg almost cold everything else except coffee toast . service verge hand even though sit easily accessible table two , maitre ' clear wife ' plate stretch across face without even apology . incidentally time one three group breakfast , rush . ' well breakfast greasy spoon establishment . the dining experience let hotel Gordon Ramsay ' reputation credit . 
 Sep 12 2007 	 Loved Claridges 	 Hotel situated heart Mayfair embody essence english style . the room amaze interior design , encompass traditional art deco . I think hotel recently restore maintain authenticity whilst offer late creature comfort . great hotel well worth money . [ -- -- -- - ] 
 Sep 12 2007 	 great hotel expensive excellent quality 	 spend 3 night Claridge 's absolutely enjoy time . high - end hotel rate not excessive service definitely 5 - star . always several hotel staff wait around lobby assist whatever need every request meet smile immediate accommodation , would expect hotel level . check early day original room not ready quickly call housekeeping find one available minute offer we tea coffee wait . shortly escort room luggage arrive within 5 minute . room large closet space could need want well appoint . be old , historic hotel floor creak could tell many fixture ancient clean well maintain . welcome plate chocolate truffle Harrod 's basket fruit replenish throughout day , day stay . housekeeping turndown service flawless seem time come time room . tend stay nice hotel usually be bathrobe mint pillow high price . Claridge 's one hotel truly feel extra price justify accommodation service . afternoon tea lobby nice , not quite live rest service receive Claridge 's agree tea service well hotel even States . 
 Aug 28 2007 	 beautiful hotel 	 Good Hotel .beautiful area room . long wait check lunch anyway bother . live London need day away choose somewhere could go get rest . near park close good bar shop .. good choice.good deal website check fact book direct Hotel . superb breakfast bed choice . the Bar expensive want glass wine . silly price even use London price . Great Hotel get away reality .Nice afternon tea scene interested . huge interaction staff anything bother we . 
 Aug 21 2007 	 well worn 	 wife stay room 144 .the view window terrible look fan window paint flake along dozens cigarette butts directly outside window.the carpet bedroom wear split .the bathtub paint peel .the room dreary dark , five star hotel ever stay leave mineral water beside bed turndown.breakfast take lobby gale blow front door.i think hotel live past need urgent refurbishment.in london would say stay brown dorchester hotel much superior product . 
 Aug 12 2007 	 nice .... 	 nice hotel , crack . staff uneven service -- sometimes great , sometimes non - existent . call several time get champagne ( include rate ) deliver room , breakfast ( also include rate ) , service mediocre good . food similarly unintereste mediocre . staff gym excellent repairman terrific . say , also stay Dorchester trip report bed hotel far comfortable Claridge 's , service well well . 's pity , prefer Claridge 's location , would choose stay hotel premium price one , view , worth . 
 Aug 6 2007 	 expect good 	 book night Claridges treat husband 's birthday , Sunday lunch Gordon Ramsay restaurant next day . book double £ 350 room - something happened never happen we - get upgrade ! next level room suite - absolutely beautiful , 3 huge room , art deco style everything fabulous . bed comfortable beautiful bed linen towel . the service impeccable , receptionist lovely , friendly , helpful sincere . it beautiful hotel great history - well worth stay . that evening - Saturday - decide early drink go theatre - disappointment hotel - champagne bar fab fill non - guest drinking mean even 6 pm could not get seat get serve . bit disappointing . well , Sunday lunch Gordon ramsay wonderful . superb food , attentive staff overall lovely experience . lunch actually surprisingly reasonable even drink wine . however , room service Claridges expensive breakfast prove pricey . well worth special occasion perfect spot shopping , theatre lovely bar . 
 Aug 5 2007 	 Fastastic hotel 	 be back 3 day second part honeymoon fantastic time . stay part 3 day package include airport transfer breakfast book hotel website work good value indeed . travel style Bentley airport beautiful brand new class mercede way back . driver Kevin informative local sight en route end mini guide tour . get upgrade one bedroom Linley Suite refurbish top quality furnishing hugh . breakfast consistently excellent whether room downstair service attentive . find concierge helpful booking dinner give advice . bar great great cocktail . hotel location convenient definately new place stay London . 
 Jul 21 2007 	 London Hotel 	 home London . one world ' fine hotel excellent location . 5 minute Bond Street 5 minute nice end Oxford Street . might find hotel stuffy little old fashioned welcome change bland chain hotel dot world , stay know London . service discreet superb housekeeping equally . one good feature massive shower head bathroom , plumbing fixture 50 ' british enough say . many different room configuration , shape size view first decide . afternoon tea Foyer / Lobby must especially piano violin duo accompany scone , double Devonshire cream strawberry jam ! doorman great , nice finally new uniform . 
 Jul 19 2007 	 great stay ... 	 business meeting great stay . superior room , clean ! , great bathroom , great bed , bed linen . super nice service staff restaurant top notch . business / meeting room superior . convenient location sightseete park . would definitely come back vacation . 
 Jul 8 2007 	 Great Hotel 	 love Claridges lot reason , lot reason not first choice London , honor usually go Carlton Tower Rembrandt similar reason . love health club Knightsbridge location . but review Claridges ..... never feel quite comfortable , feel good behavior time English nanny going come scold boorish American . staff polite , reserve . room comfortable , understate . everything almost perfect , uptight . the huge plus 's location , be fabulous restaurant nifty afternoon tea . 
 Jul 6 2007 	 one great hotel 	 first time stay Claridge 's , previously stay Connaught , renovation . difference strike . room quite bit large , activity lobby restaurant / bar make fun . service spectacular . could believe would go coffee morning , return , room would already make . try restaurant , fellow traveler report main restaurant so - so . say , hotel wonderful place stay . 
 Jun 30 2007 	 London gem 	 stay hotel many time find hotel flawless . checkin time breeze . take deluxe art deco room . favorite part room far wall glass paneling , one panel open bathroom . also enjoy deep tub bathroom . feel hotel place stay London . 
 Jun 16 2007 	 wonderful Wedding Present 	 husband stay Claridges newly decorate Linley one bedroom corner suite 4th Floor weekend 9/10th June . wed present sister . arrive 3 hour normal check - in time take straight suite . staff friendly helpful . say suite fantastic would understatement . hall , bathroom , bedroom lounge spacious , warm friendly . perhaps little warm like air - con click almost silently soon require . beautiful Asprey bathroom goody soon use , although bath long lie ! shower head must measure 10 & quot ; across . mini - bar mini stock expensive champagne one side chocolate bar . dinner Gordon Ramsey 's hotel evening . staff wonderful , attentive knowledgable . food fantastic , apart icecream bland . husband order cheese board come amazing ' cheese waiter ' whose love cheese job obvious - worth order recommend thought would like enquire normally enjoy ! meal overly expensive price wine drink . bed , linen crisp , white invite bed , fact wider long could hold 5 6 people side side . morning order full Organic English Breakfast room must say terribly dissapointe , although tasty , 2 poach egg slice bread , 1 sausage 1 mushroom 2 slice bacon , ( black pudding turn ) tea , coffee , juice , toast marmalade definately worth £ 31 per person ! say truly magical weekend would love . thank Claridges super time . 
 Jun 14 2007 	 rest location reputation 	 first , good . arrive afternoon two bedroom suite ready luggage quickly drop room . room spacious bright clean . high ceiling although decor rather dull , update . ( 5th floor ) . bed linen nice comfortable . location great , easy get underground get taxi room insulate outside noise ( indoor noise , however ) .The bad . contact concierge three week arrival ask dinner reservation four night 7 8 pm . arrive first night tell reservation 9:30 -- three child -- make reservation fourth night . first tell , concierge later able change reservation act quite put effort take . hotel also give nice handwritten note detail reservation . write never contact reservation fourth night stay ! room service slow late food mediocre good . know room service quite expensive $ 11 side toast edible . food seem cold everything seem cooked hour . realize London must ask water , every morning ask water receive two four morning . water also never refill room water place bedside table night . feel like stick head sink get enough water . also quite hot room airconditioner break two three room . late night service call , neither one properly fix room stay warm throughout day night . the bar horrific , smoky service poor . pleasant place sit relax enjoy unbelievably expensive crowded hotel . business center ridiculous charge border obscene . hotel caliber offer service free minor charge . finally , note service . read hotel try know name , go way provide good personal service . must disagree . receive average aloof service despite fact number people stand lobby , one ever offer assistance seem care . 5 percent add service charge end stay insult ! . 
