great 	 small hotel clean , roomy , well maintain , good staff free breakfast . can not beat price NYC . Chinatown / Little Italy . 
 great value hotel new york 	 stay bowery hanbee thanksgiving , hotel lovely , room large modern , hotel locate close little Italy chinatown great dining , short walk get subway ( green line ) find great getting sight , hotel provide self service breakfast enough get start morning , area hotel locate seem bit dodge problem . really enjoy stay value hotel toward standard hotel price rangeis unbeliveable stay . 
 Mar 19 2009 	 Great Place stay .... 	 husband & amp ; stay one night , March 15th . , , book room internet $ 89.00 / night see Travelzoo . find ! ! room 912 face Grand Street . bit noisey , tired , really not bother we . room , clean . even give we room 2 queen size bed , even tho 2 we . love plush bed , pillow blanket . flat screen TV plus . breakfast adequate get we good start morning -- bagel , toast , juice , muffin , pastry , boil egg , cereal , coffee . never stay low Mahatten , find able walk everywhere sight seeing venture . go Walking Tour World Trade Center give volunteer / survivor 9/11 disaster . tour start 120 Liberty Street last approx . 1 hr . cost $ 10.00 . excellent tour give gal work Port Authority office tower . ground floor tower first plane hit . make want cry people . we walk Lombardo 's block away excellent pizza one evening . ASlo little shopping Century 21 . would rate hotel excellent . complaint anything . 
 Mar 17 2009 	 clean convenient - perfect stay 	 also get special rate $ 89 ( 1 night ) room travel zoo , awesome ! travel two young boy hotel could not nicer . really like idea pergo floor room , especially toddler . everything clean efficient . not find noise street bad , room 907 , maybe exhausted day . breakfast nothing special , nice able go get little one milk cereal 7:00 . 
 Mar 15 2009 	 could not beat price . watch room location . 	 get special rate 89 $ ( 1 night ) room travel zoo , awesome ! arrive 3/14 around 1:30 p.m. room ready . tell check 4 p.m. biggie . leave bag go sightseeing/ walk . neighborhood Chinatown / Little Italy . walk establishment must ride elevator 2nd floor check . plenty shopping restaurant , bars- name area . get back 4 p.m. room ready . get elevator go room look say , " room number ? " employee forget write room number key card holder . travel back check give room number . room tiny , stylish . walk Katz deli- know sandwich snack . well , BIG snack . Rooms- room face Bowery St . negative thing room EXTREMELY noisy . sleep maybe 1 hour . complain due price score , bring ear plug maybe sleep aid help . city , Bowery busy night . bed nice comfy . flat screen television delight . really like style bathroom . rubber – like wall shower hip . ' feel well , wake 6 a.m. leave home . continental breakfast nothing write home . cereal tad stale . bakery area , hotel look team one breakfast . overall , stay right money . perhaps feel well , ' sleep night , noisy , suggest ask room away street . high room well view . check exercise room- couple machine keep one occupy . room internet 2 computer lobby . nice view room ! location awesome ! great stay ! 
 Mar 15 2009 	 clean 	 great trip NYC always . can not beat location . room clean . little expensive like NYC hotel stay . comfortable bed . probably stay . 
 Mar 10 2009 	 highly recommend 	 book hotel group hotel website . moment contact sale manager , moment check , service great . travel group 21 middle school student NYC challenge , staff hotel treat we well help we navigate city ease . even recommend fun restaurant we take kid . room ideal we , wood floor , comfy bed , flat screen tv . nice lobby gather seperate eating area take advantage get great chinese food readily available . find chinese bakery around corner visit daily . walk subway , Little Italy , Soho easy location . staff could do we , treat student respect not talk . tell really like place ? 
 Mar 8 2009 	 great value well - decorate room watch elevator 	 arrive 8 pm ask room upper floor , desk clerk say lucky assign room 9th floor . well , elevator door open 9th floor , make horrible , scary sound , shake floor violently . see room next elevator ( # 901 ) , look keycard , see room . night , every time elevator come 9th floor , noisy shake floor room . course , lot hotel patron also noisy get elevator ( 2- one quiet ) . not complain , though , get good deal room Travelzoo ( $ 89 night ) . room decorate nicely- feel like boutique hotel Best Western . bed comfortable , shower great . not enormous , not tiny , either . bit cold , though , could not figure turn heat ( something call & quot ; thermasoft & quot ; bathroom , not seem warm room much ) . another thing would consider & quot ; con & quot ; fact room lack refrigerator . the desk clerk friendly , 2 computer hotel lobby guest use free . one time check , use , another time free . apparently free wi - fi room , ( not bring laptop , 's be advertised . ) back elevator . second night , scary noise elevator reach 9th floor . however , something wrong elevator , check hotel , janitor , , one person get stick first floor ( lobby 2nd floor building ) . well , not last long , terrified stuck elevator , not happy . janitor get we back 2nd floor , patron take stair leave building . patron say have already get stuck elevator couple time visit . come back later pick bag , elevator get stuck cordone 2 people stand inside cordon seemingly argue . oh , try take stair go lobby , door stair lock ground floor , force take remain elevator up.another annoying thing charge 5 buck per bag store bag check - out . consider terrific rate get , can not complain much.the location ( southern edge little italy , northeast edge chinatown ) kind refreshing change stay near times square . would say take 10 minute walk nearest subway station ( unless miss close one ) , be quick train ride downtown , whereever want go . 's fun walk chinatown , except people try sell counterfeit handbag every three foot . lot cheap tasty restaurant near hotel . first night , get takeout little chinese buffet next block- 4 type food , rice soup $ 3.75 . can not beat that.so , overall would reccomend hotel , incredible value , nicely decorate comfortable room , friendly staff . even pay bit , would still terrific value . would caution future guest ask room away elevator , perhaps take stair not get stuck . 
 Mar 2 2009 	 wonderful View Room 915 	 back 6 day New York . choose stay BW Bowery Hanbee location affordability disappoint . even first time guest place high ask room 7th 9th floor , room 915 must good room hotel . View east , need drawing curtain . very clean room bamboo floor . but breakfast ok hotel charge 5 $ per piece luggage storage checkout , top rating service . like China Town , absolute perfect place stay . 
 Mar 1 2009 	 NYC bargain good Urban best western find 	 BW hotel , exceed expectation . travel work 80 + day year , high quality new bed , new everything accomodate staff beat many 3 - 4 star hotel . two luxurious queen bed fit family 4 easily ; bath large NYC ; bath amenity sparse well western ; breakfast cereal muffin , fruit - everything need . could pay $ 100 night comparable NYC . 
 Feb 18 2009 	 Inconsistent 	 another one hotel , know be first - timer , give bad possible room see complain . oppose give good possible room want return . not know policy , since clearly fully occupy . I decide stay hotel hearing rave review Tripadvisor . frustrating read good service Tripadvisor member find inconsistent . guess 's separate hotel top 20 outside top 50 . one top 20 mostly consistent review , whereas one outside top 50 one good review , follow one bad one , another good another bad . I give room low floor view . also disappoint bathtub . also , although hotel say smokefree make sign something say bill $ 350 smoke , room strong smell someone smoke there . I one night not complain low floor . not think rate pay . pay $ 179 plus tax , come $ 200 night . 's major reason not stay best western often . charge Marriott , would stay best western ? find want stay next week hotel , need pay $ 129 . well , guess can not complain pay $ 129 , $ 179 , expect bit getting . the save aspect hotel locate Chinatown . 's nice close activity street . find good chinese restaurant . ' m afraid be it . I would consider stay get $ 129 rate . know enough hotel , demand kind room want , instead let give bad room possible . 
 Feb 10 2009 	 Downtown Diamond 	 go away business delighted find hide gem hotel direct Chinatown / Little Italy district Manhattan . room rate reasonable amazed friendly helpful staff time stay . Chinatown within walk distance soho tribeca , downtown site , easy get 5th av get around area full culture fabulous restaraunt bar . hotel excede expectation cleanliness level service , much well New york boutique hotel visit . hotel uptown could charge least double pay excellent standard trip . definitely go back 2009 business leisure . 
 Feb 1 2009 	 bad could ' ve well 	 stay Bowery Hanbee New Years holiday . can not say would stay . price right , location not bad . two block walk subway , minute get anywhere . chinatown busy , enjoy . soundproof could ' ve well . hear door slamming night , cleaner run vacuum first thing morning . hair bathroom check . front desk staff fairly clueless good restaurant area . not expect expert , least decent knowledge area be work . hardly room store clothe . dresser small chest drawer would ' ve nice . breakfast alright , not much room dining area . find take food back room . bad part stay Hanbee manager . not aware sale tax not bill we book phone . bring manager check , basically many word call we idiot . make seem try get pay tax , definitely . say clerk check people make aware final charge include . comment & quot ; check 20 people today know pay tax & quot ; rude . not look freebe handout , apology make we aware charge . nope , manager good apology . , decent hotel , good location . thank manager , will not stay , recommend place friend . 
 Jan 22 2009 	 Excellent ! warmly recommend ! 	 great location ! 3 minute underground , China town surround numerous affordable asian restaurant , neighbor SOHO posh boutique restaurant ( Balthazar restaurant 5 minute away well Bloomingdales store ) . super clean , fresh , new huge room , necessary equipment . Believe , choosy one ! complimentary internet lobby wireless room , breakfast ( cereal , oats , apple , bagel , muffin , juice … ) include price . warmly recommend ! 
 Jan 4 2009 	 great bed clean acccommodate great location 	 family stay right Christmas . grant Plaza , staff extremely friendly accommodate , room clean bed amazingly comfortable . fact ' ve never good night 's sleep hotel life except one . breakfast basically cereal , toast , bagel , etc . be stay Manhattan not want big breakfast anyway , save dim sum Mott Street Lombardi 's block away , steakhouse dinner . next ton fun thing overall plesant stay . one thing : AC not work would not care stay summer ! 
 Jan 1 2009 	 good stay China Town NYC 	 hotel locate NYCs China Town pretty close Grand St subway station . easy get quickly everywhere . the breakfast basic well go another place good food . the room convenient modern . bad thing heater do not work make bad noise . room main door thin able everthing floor . suck especially night wan na sleep people open close door . on first day arrive do not get book King Size Room instead Queen Size . afterwards move King Size . least drop room rate day . on 5th level noisy coke fridge floor . ; - ) ask room inner courtyard . street busy . all hotel expect . expensive average quality . that s New York ... 
 Dec 28 2008 	 great experience 	 husband stay great little hotel 3 night mid December . review read booking let we ! room spotless , staff helpful genuinely nice location perfect want stay city , prefer quieter area come & quot ; home & quot ; trek shop sightseeing day . hotel right heart Chinatown , colourful friendly , Little Italy , 2 minute away amazing eat easy tube link city cheap easy negotiate . downside ? go back NYC March birthday room rate favourable think head Hilton / Doubletree Jersey City .............. unless rate 's change favour ! 
 Dec 18 2008 	 great hotel ! 	 husband return 4 day 5 night stay good city world wonderful experience hotel . check check pleasant experience . room spacious keep clean . continental breakfast plus . everyone hotel come contact friendly helpful . first time stay Chinatown enjoy area Little Italy much . take little time get back forth bus Times Square , etc . , familiar ride subway . opinion , hotel definitely bargain price right time year . already recommend hotel friend co - worker . 
 Dec 5 2008 	 lovely hotel 	 's nice cozy heart Chinatown . everybody nice reception . breakfast good include . room right size , bed comfortable . day , would say good place go back sleep ! will use next time go NYC ! 
 Nov 20 2008 	 Excellent excellent excellent 	 excellent location . excellent spacious clean well - facilitated room . good curteous friendly helpful service . fairly price . a continental breakfast include pleased range drink food provide -- usual continental breakfast . the room safe large enough laptop , camera accessory . I return hotel next NY trip recommend friend family . 
 Oct 10 2008 	 good find NYC 	 like other say , location good Little Italy , Soho , Chinatown , Lower East Side , , not mind bit walk : tribeca , Village etc etc . NYC shop unique store go town versus sightseeing , great location . hotel newly renovate find clean ( & quot ; new & quot ; ) , bed comfortable , decor tasteful relaxing . light sleeper , ask upper floor room , get , problem outside noise ( unusual NYC ) . recommend request room away elevator hallway door shut loudly . likewise , warn hotel hard find arrive . look Hanbee sign noticeable & quot ; Best Western & quot ; . business traveler , may find work space cramp serviceable . stay New York , may shock ratio room size room cost find hotel good value money ... New York anyway . try breakfast ; diner restaurant nearby . find staff polite truly friendly helpful . enjoy stay , complaint definitely stay . 
 Oct 7 2008 	 Good Choice Chinatown 	 convenient location , Chinatown , near Soho , near Little Italy , good price compare New York hotel . neighborhood feel safe close lot excitement Manhattan . book two room family gathering . room two queen bed reasonably price , small crowded . king suite expensive , wonderful -- spacious , smartly furnish sofa ( open double bed ) , several upholstered chair , table chair , mircowave , fridge . suite great hang 6 - 8 people . hotel lobby small crowded , oddly second floor , small area continental breakfast . everything hotel newly refurbish attractive . great buy locate Manhattan near Soho want . 
 Oct 6 2008 	 great clean hotel 	 first trip & quot ; Big City & quot ; . meet son finish work camp summer . some staff stay book room . what clean clean clean hotel . spotless . bed comfy room spotless . lot care staff . how beat 1 block subway . 2 block Mulberry street . return , back NYC 1st choice . change something work well . 
 Oct 3 2008 	 love place 	 Husband stay San Gennaro 's feast Little Italy . place GREAT . ' ve never stay NYC hotel clean nicer ' ve stay many time & quot ; city & quot ; . 3rd trip year alone ! girl front desk friendly 2 man encounter security desk downstairs . love bathroom . stand shower big enough 4 5 bench sit great window frost glass . hardly turn light much light come thru window ! location terrific Village , Little Italy , South Street , etc . next time need & quot ; downtown & quot ; would definatley stay . oh get great rate ... $ 151.00 . try book another room 4 day later friend jump $ 356.00.i know place new ( open 4/08 ) hope stay current condition . 
 Sep 29 2008 	 Home Grand Bowery 	 two daughter ( 20 stay 4 night economically . recommend anyone . subway one block away . short walk Little Italy . we please room . it clean bathroom new look tub shine . the staff friendly helpful general information neighbourhood . the breakfast truly continental juice , coffee / tea , toast muffin bagel . two Computers lobby customer use free wi - fi room . tip : buy unlimited Transit pass get bus subway see somewhere want go . 
 Sep 22 2008 	 great hotel without mid - town price 	 return 3 night Bowery Hanbee Chinatown . wife little nervous staying area leave say glad stay . local friendly polite . gem tuck busy street vendor little shop . hotel open 6 month look brand new . staff excellent job . friendly front desk staff go way help . unlike uptown hotel housekeeepe staff job without give huge tip every day . convenient location , B / d subway 1 block away ( NYC block small ) , J train connect JFK air - train 2 block away . little Italy 2 block away . hotel include nice breakfast , cold cereal , oatmeal , fruit , juice , toast , bagel , muffin , coffee , hot chocolate etc . chinese bakery fruit stand . thing would change ask room away ice machine elevator . wife impress Bath & amp ; body toiletry . return NYC definitely go back hotel 
 Aug 29 2008 	 fantastic place ! 	 stay sort family reunion weekend August 2008 . know place new book , like becasue centrally locate event Little Italy Bowery . studio probably big apartment NYC ! table 4 , living room area pull couch 2 comfy chair , microwave / coffee maker area two flat screen tv ! get real deal book 6 week ahead time online . Breakfast expect nice ; small lobby fill peak breakfast time , lounge like area side table area . staff helpful suggest transportation eat option . grow , bowery nice part town , never feel unsafe area . love experience NYC hotel add great experience . highly recommend real NYC experience . 
 Aug 29 2008 	 almost perfect .... 	 spend 3 night hotel would give 5 star except minor thing keep , reality , 4.5 star . deserve full 5 star : cleanliness - place spotless . room bathroom clean common area . complaint . hotel fairly new show - wear tear anywhere . the bed - soooo comfy . lovely thick duvet , pillowtop mattress . wonderful . the room - nice size , well lay could use bit storage space . deserve 4 starsbreakfast - ok nothing spectacular . usual bread , bagel , cereal , hard boil egg , peanut butter , cream cheese bake good . the coffee come machine also make cappucino hot chocolate . quality surprisingly good one machine lot people try use peak breakfast time . the shower - look impressive temperature pressure always great design little strange . 's large ledge shower keep flood water shower . slight slant ledge would fix problem . 's horrible , little strange . overall , however , bathroom large heated floor ! staff - nice polite could not recommend restaurant Mulberry Street ( 2 street ! ) . area . 's heart Chinatown . safe - even late night . block Canal Street walk distance SoHo , NoHo , shopping , etc . subway 1 block away . little Italy 2 street away . nice area - safe . deserve 3 star - business area . 2 computer one break full 4 day . 's hard get computer fix ! 
 Aug 19 2008 	 Great Hotel 	 Best Western Bowery Hanbee corner Grand Street / Bowery Street Chinatown , Manhattan . easily walk Downtown , East Village , Little Italy , Lower eastside , tribeca , Soho . Metro ( Subway ) within walk distance well . the room newly renovate , modern tastefully furnish , light neat . Standard Room come comfortable Queen Bed , Flat Screen tv , Desk chair , Safe , Hairdryer , coffee / tea maker . room laminate floor instead carpet . bathroom big window spotlessly clean . roomsize one Queen Bed Room nice 2 Persons . travel 2 Persons need space , book 2 Queen Bed Rooms Suite . could hear noise street , hear hotelguest bang door talk floor . non smoke Hotel , see smoking pole next breakfast area front Hotel . the breakfast Best Western Bowery Hanbee bite disappointing . you´ll get coffee juice automat , cereal box , toast , bagel , donut . outside Hotel find easily little chinese italian restaurant . recommend NYONA 194 Grand Street , ABC Chinese Restaurant 34 Pell Street Chinatown Ice Cream Factory Bayard Street . food authentic price ok . the italian Restaurants Little Italy touristy . even though food good service friendly , like much restaurant add 20 % gratuity bill without ask . ( bill show meal include taxis gratuity separately , appear like taxis . sure many tourist realise give additional tip . ) 
 Aug 18 2008 	 great hotel well worth 	 hotel think , little scared since China town amazing hotel . impressed , clean , roomy room . sure go back . 8 woman go feel safe area , two street Little Italy great place eat GO sofia 's CUCINA 143 MULBERRY STREET . pay 10.00 side dish pasta . good go owner try talkto rude want listen .. stay away lot restaurant there.so hotel amazing go back 
 Aug 11 2008 	 expect NYC Hotel 	 Best Western Bowery Hambee Hotel China Town Grand , far Holland Tunnel come New York City . bit hard see , impose façade . instead , relatively small sign entrance way . chair upright desk entrance elevator doorman , often unguarde . however , security camera everywhere . go second floor elevator get lobby . check go smoothly . bell hop rush grab bag , wheel trouble take . however , luggage assistance available request . two elevator fast . one always come less minute . the rule hotel park New York City nightmare . good Western Bowery Hambee strictly observe rule . parking three block away . take half hour wait long time creep car length drive New York traffic get . route garage one way street , short route block & quot ; turn & quot ; sign . without help gps , sure could find . GPS finally say , pull stare minute figure . park $ 35 night " " . want kind hassle , stay New Jersey , take bus Grand Central Station take subway , bus taxi . thirty five dollar would pay lot , end pay anyway park New York City hotel garage , since get , brave traffic expect park somewhere else much option . New York City friend even car . the room , however , nice . roomy . nice desk another table coffee maker . bed adequate size comfortable . floor carpet , instead sort artificial wood covering . vinyl floor tacky , cover actually quite attractive . two small picture bed , decoration room . nice size television mount wall , reasonable selection cable channel . strangely , however , lot channel good picture , sound . street noise room , could hear people next room talk telephone coughing . bathroom adequate size clean . bathroom floor heat . ice machine soda machine hall . also nice sized safe room store valuable . room include complementary WiFi internet , excellent . fast internet service home . even , get next morning , inexplicable reason , hotel turn . convenience store immediate area hotel . shop area sell chinese food chinese merchandise . ' find snack item even soda drink various chinese market nearby . however , go two block east Grand cross Mott , get Little Italy , offer much well range product food item non - chinese would seek . New York City friend recommend Joe ' Shanghais restaurant supper . walk around corner hotel go five block south Bowery Pell . see look west Pell intersection . popular . take number lady stand door take we half hour get . take credit card , meal price fifteen dollar range . food good outstanding . service polite , attentive . ask include white rice meal water . serve tea meal . meal okay , ' go way eat again . the complimentary continental breakfast Best Western Bowery Hambee disappointing . breakfast cereal box , hard boil egg , bread ( toaster ) , bagel , donut cellophane wrapper , fresh fruit ( banana ) bowl fruit juice . danish . however , coffee machine produce surprisingly good coffee . exception disappointing breakfast , hotel expect hotel New York City . bad parking situation expect brave ( foolish ) enough drive car New York City . would stay . 
 Jul 16 2008 	 brand spank new great service convenient location 	 family four love stay Bowery Hanbee . room modern , sleek comfortable . subway station two block away , convenient access museum sight . hotel staff courteous helpful . Chinatown Little Italy right outside door . swanky neighbourhood , great eat every corner . 
 Jun 30 2008 	 centrally locate Problems Service 	 stay Sunday , June 22 - 27th room 511 attend training class downtown . wake morning June 24th bite appear bed bug call front desk ask bed inspect . need work present inspection occur . return hotel evening , inquire front desk status room . Stanley , front desk person , inform room inspect bed bug find . wary bitten , ask move another room one room available 2nd floor . room close street , behind front desk , face street . feel would disturb noise . also feel bed bug could also new room . take chance remain room # 511.i ask front desk Manager Duty contact provide detail inspection ( bed inspect , else look , etc ) arrive room , look completely untouched . also make request brand new pillow . inform Stanley Manager Duty onsite 9 - 5 pm would able call . intense work schedule 8:30 - 5 pm could call day . lack management response extremely poor show badly representation hotel best western brand . subsequently bite one time . follow night , remove blanket & amp ; pillow bed . slept sheet away headboard ( google bed bug reside behind headboard ) . bitten . disappoint non - response management . blame housekeeping front desk . good could guess . still bite . overall , hotel centrally locate . guess still bed bug ( something ) new hotel . ' ve warn ! 
 May 30 2008 	 New Hotel Close Subways Loved ! 	 new hotel right middle Chinatown Little Italy , one block major subway station 5 minute walk two other . good Western Bowery feel upscale boutique hotel would find double triple price Times Square . short 5 minute subway ride , easily get major hot spot Manhattan hotel . week long stay Big Apple , actually prefer away Times Square get authentic feel neighborhood shop restaurant less tourist trap . the hotel fabulous ! room brand new , bathroom swank stand shower , tile wall wall dark stone give modern feel . bedroom Sharp LCD TV , nice decor , hardwood floor , desk , side chair , comfy bed . say ' ve do great job make room feel special fool think ' ve check upscale boutique instead well western ! overall 5 star stay . hotel staff warm friendly . business center free computer use also provide continental breakfast . can not tell enough glad try place instead stay Times Square . well worth short subway ride . on side note , stay , take 5 minute walk place call Cafe Habana Prince Street . vote good cuban food New York New York Magazine . go try roasted corn . 's right , say corn . will thank later .... delicious ! 
 May 30 2008 	 Excelentes instalacione buena ubicación 
 May 30 2008 	 Buen hotel . 
 Nov 8 2009 	 Entre Chinatown et Little Italy 
 Aug 3 2009 	 Pas très cher pour New York 
 Jun 2 2009 	 très bon rapport qualité prix 
 May 31 2009 	 Super Hotel mit schönen Zimmern China - Town - direkt der U - Bahn 
 May 12 2009 	 hotel sympa pro bien placé à taille humaine 
 Jan 16 2009 	 assolutamente perfetto 
 Jan 10 2009 	 un albergo bello una location stancante 
 Nov 14 2008 	 Hôtel excellent - à recommander 
 Sep 25 2008 	 belle hotel mais rue particuliérement bruyante 
 Sep 23 2008 	 sehr schöne Hotel 
 Sep 11 2008 	 Molto positivo 
 Jun 9 2008 	 Un très bon choix de séjour ( Chinatown Little Italy et Soho à portée de main ! ) 
 May 12 2008 	 Très bon hôtel 
