wow 	 girlfriend spend 9 wonderful night hotel must say one good hotel every in . very close union square view 10th floor beautiful staff friendly try cater ur every need . room clear neat bed big soft comfort level die coffee maker fast . tea sherry afternoon lobby great long day out . the problem leak bathroom sort pretty quickly . resturant diner stone throw away food great , shopping u want designer store macey square . 
 May 16 2008 	 great location though area may busy . 	 girlfriend decide go San Francisco , investigation matter , settle upon Kensington Park . tend stay hotel fairly price location , Bill 's Vegas . ' m fan super splurging hotel , , ' m go save buck put we rather unpleasant area . stay , say 99.9 % positive minor issue . locate main intersection Powell Post , Kensington Park great location . be fan Cheesecake Factory , girlfriend , absolutely adore area town , restaurant top Macy 's building 5 minute walk away . many restaurant within area , little doubt find anything within immediate area , find something block away . hotel also minute walk many posh boutique , Chinatown , Financial District , well famous Cable Cars . public transit also accessible location , Geary Market St within walk distance well , good base operation time spend San Francisco , mainly focus northern area city ( Bay / Golden Gate Bridge , Golden Gate Park , Ocean Beach , Chinatown , Japantown , Legion Honor , Fisherman 's Wharf , Alcatraz ) .gette hotel breeze . simply ( well , simply find station ) hop BART , get Powell , head North Post St. due popularity area however , actually navigate Powell make hill luggage tow bit challenge . can not even begin imagine difficulty one would encounter child along well . also note several homeless people along route . however , anything would cause nuisance disturb peace . once arrive hotel , greet luxurious , old school classy , dark coloured lobby , complete piano , several comfortable couch . check complete , go room furnish typical hotel item , minus fridge cooking implement . important , room clean , something importance people . term bed , be difficult quantify level comfort , person person thing . say bed bit soft side , may may like . naturally , great city , not spend much time hotel room , sleep night . time come back , room tidy professionally , minor mess make take care . front desk staff equally friendly approachable , accommodate strange request make . one final item note light sleeper may want room away Post St , perhaps consider hotel area . luck would , post one - way street , street San Francisco Fire Department depot , room , could hear / see truck whiz every single night . despite 7 floor , still quite lot noise . similarly , ' m guess Police Department something area , hear noise every night well . all boil bottom line : would stay ? rating not quite spell , answer yes , assume ' m stuff part town , not want rent car . give price hotel area , Kensington Park offer one good combination location price around . 
 Apr 21 2008 	 fantastic hotel great price 	 lot research prior book hotel read review . narrow hotel sure glad ! wonderful time hotel . staff super friendly helpful . room fair size update look . bed comfortable like fact flat screen tv instal . bathroom bite small price pay , not mind . room clean . Kensington Park hotel locate perfectly Union Square close everything . walk shop go San Francisco 's good nightclub , Ruby Sky , right around corner -- convenient could walk back hotel pay cab . Powell Street cable car stop right near hotel also . would highly recommend hotel anyone make first trip San Francisco positive one ! 
 Apr 14 2008 	 Great Location 	 stay Kensington Park Hotel 5 night early April . book Priceline not quite sure get hand . hotel great location - right middle Union Square . convenient everything want San Francisco . old hotel remodel recent year . lobby still old fashioned . theater second floor comedy show . elk also lodge gym building . little strange bad way - different . room clean & amp ; comfortable queen size bed flat screen tv . not huge room not feel small either . lot street noise . staff nice enough . serve sherry tea lobby every afternoon . all , nice stay . book Priceline get good rate ( $ 160 / night ) . would recommend location price . 
 Apr 7 2008 	 great location 	 Kensington Park far exceed expectation 2 1/2 3 star hotel . staff helpful , room clean , linen upscale , bed comfortable enough , though tad firm . the location excellent - directly across street Marriott short walk Union Sq , shopping , restaurant , theater . Walgreen 's around corner . location also convenient access tourist site via public transportation . $ 15 ( one - way ) shuttle ride pp get airport , i.e. , need rental car . the location feel safe many people , business , shopper , tourist , street , even night . public transportation feel safe , , everyone use it . we see street people , not try intimidate hassle we . not feel threaten all . two mid - age sister share double room three day . adequate size , consider use primarily sleep . closet large plenty place store thing . bath large one , two could share without much problem . main room two mirror alternative hair makeup . nice , unexpected feature refrig , magnify makeup mirror , flat screen tv wall , lamp plug base . tell a / c ; , could not find . however , not need early April . open window cool room early evening ; close sleeping run ceiling fan . would definitely recommend other . 
 Mar 24 2008 	 great Birthday Celebration 	 husband share birthday . day , year , six hour old ( like old woman ) . have stay Kensington Park Hotel - Post Street Theatre entrance hotel go see & quot ; Putnam County Spelling Bee & quot ; play stay overnight . know would wonderful stay be pick . tell staff birthday add nice little birthday perk . hotel update bed bed high thread count great sleep comfort . hotel also quiet , something like . especially enjoy tea sherry time lobby tough afternoon shopping Union Square . door enjoy birthday dinner Morton 's Steak House after - dinner glass Port mellow jazz around corner Harry Denton 's Starlight Room . walk . wow ! memorable birthday . [ -- ] 
 Mar 24 2008 	 great hotel Kensington Park 	 get back trip San Francisco , CA . went & quot ; kids & quot ; , 24 marry , 2 - 21 yr . old , spring break . San Jose wedding , stay Marriott , Kensington quite bit different , love . staff extra nice , & amp ; bed unbelievably comfortable super quiet , except sound city outside . never complimentary cocktail afternoon lobby , husband & amp ; go drink one night Farallons , ever spectacular , decor serve , seafood bar , & amp ; jellyfish lighting . would highly recommend hotel , already , friend ! 
 Mar 5 2008 	 new San Francisco base 	 hotel 's location can not beat , one block away Union Square , extremely reasonable price big city . stay recently remodelle room . clean , elegant serene . imagine ! faux fur throw lovely white bed ! want buy pillow . good night 's sleep ' ve year . complaint room bit dim . need well light reading . polite friendly staff , concierge great , hotel call stay see anything could improve stay . 
 Feb 22 2008 	 Perfect Stay 	 stay long President 's Day weekend could not please . newly renovate room 6th floor surprisingly quiet . great price w / AAA discount . centrally locate @ Union Square . friendly front desk & amp ; concierge . small bathroom w / no fancy amenity -- clean & amp ; expect old boutique hotel . comfortable bed & amp ; pillow . flat screen tv . not feel cramp even room 2 double bed . definitely return . 
 Feb 15 2008 	 good location 	 nice close shopping Union Square ..... big plus . everything else average . 
 Feb 7 2008 	 okay 	 book hotel base Tripadvisor review , stay three night February . location great , price reasonable , staff friendly . like idea boutique hotel . problem . tell upgrade recently renovate room king size bed 11th floor . bed king - size , particularly comfortable . furniture new . important stay smoke - free hotel . although certainly hotel policy , seem incapable enforce corridor , smoke come door . sound guest return room 2 am . hear every time door floor close . heating system noisy radiator bang lot turn ; last night work . next time visit San Francisco , try somewhere else . 
 Feb 2 2008 	 tired wear 	 stay Kensington Park Hotel 19/01/08 4 night . although hotel reasonable area ie Financial District find hotel tired wear even though give describe refurbish room . carpet room situate 12th floor dirty heating system look work like something ark warm room slight . window extremely draughty housekeeping noisy early morning talk loudly outside room even though display disturb sign door . pay $ 130 per night however would use hotel . tour Alcatraz highlight stay must visit San Fransisco . Book direct Alcatraz Tours pier 33 near Fishermans Wharf save lot rather book tour company . 
 Jan 30 2008 	 great value money hotel San Francisco 	 stay 3 night really enjoy . room acceptable size comfortable bed , plasma screen tv bath tub . would definitely stay would perhaps request room away front hotel get bit noisy . one thing bear mind not air condition ( room not anyway ) ceiling fan . reception staff incredibly friendly helpful . 
 Jan 21 2008 	 Love Love Love Kensington Park 	 husband stay Kensington Aniversary . antique linen , comfortable . great time . everything close . go well know comdeian Show dinner outside heater North Beach . ' m sure well , comedian people watch street San Francisco . entertainment everywhere ! 
 Dec 2 2007 	 lovely room 	 recently stay Kensington Hotel granddaughter find lovely experience . recieve upgrade 7th floor extremely pleasantly surprised . reservation last minute expect much honest . room spacious clean , linen new , bed extremely comfortable . bathroom recently upgrade large walk shower . nice view surround downtown area central location unsurpassed convenience . overall atmosphere quiet understated elegance extremely affordable price . the support staff ( houseman clean ) extremely friendly accomodate . feel front desk staff concierge bit cold formal give ambieance perhaps atmosphere hotel interested portraying . 
 Nov 18 2007 	 Great Location Good Value 	 Kensington Park ideally situate Post Street , half block Powell Street cable car line . hotel room occupy upper floor building , theater Elks Lodge . room clean , bed comfortable , lovely view Nob Hill . bathroom not large ( much countertop space ) , immaculate , walk - in shower ( tub ) great . if be look hotel 's website , know room large appear . say , room adequate . wall - mount flat screen tv nice touch . bed linen pillow excellent . the lobby small bit tired looking , since not hang , care ? price extremely reasonable San Francisco 's Union Square area , book hotel 's website , get 15 % stay 3 night ( ) .The & quot ; business center & quot ; nothing fifth floor room one desktop computer high - speed connection , visit front desk receive key , be especially convenient . one two time want use , occupy . want go online check depart flight , front desk staff graciously allow one computer . travel computer , hotel also provide wireless . the big strength hotel staff -- great . gracious , friendly , accommodate , extremely knowledgeable city . I ride BART San Francisco airport . $ 5.15 , thirty minute ride Powell Street station put within short walk hotel ( anything else Union Square neighborhood , matter ) . Kensington Park not Fairmont Four Seasons , not price like , either . clean , friendly , safe accommodation neighborhood , 's bargain , would stay . 
 Nov 12 2007 	 never Hyatt 	 four we ( 2 room ) return 5 night stay Kensington . think room large enough - certainly compare city room elsewhere . build old find charming . big PLUS staff - Romy , check we , Bob concierge Rosa serviced room -- everyone delightful . coffee available 7 morning right floor ( well in - room coffee maker ) Tea Sherry serve every afternoon lobby . great come tiring day able sit chat guest compare note . , location great ! & quot ; Big Boxes & quot ; might amenity , never well service Kensington . 
 Nov 7 2007 	 Union Square Jewel 	 love hotel 's ammenitie , location price . stay 3 night , never need drive car . park , offer lot information without impatience . step away Union Square , trolley ride , great restaurant , shop . good location first time visitor . got great price ( $ 100 / night ) book Venere.com , live information list . around corner good Borders book , Macy 's short stroll historic Fisherman 's wharf . LOVED whole experience . concierge fellow guest help navigate route toward Sacramento could cross Golden Gate Bridge depart . come stay . fabulous ! one caveat , visit July , bring jacket , trench coat . be windy quite cool time year . 's 90 's inland , will 60 's SF day cool night . 
 Oct 28 2007 	 Perfect ! 	 town Nike Woman 's Half Marathon choose hotel fantastic location event . yet find perfect property pro con eye . pro : heart Union Square , near theatre ... location can not beatattentive staff flat screen tv comfortable bed fantastic sheetsfairly quiet room ( soundproof Excellent water pressure shower small fridge Complimentary tea , sherry coffee . con : high price offsite valet parking ... take quite car return , self park lot half cost . small room light great bathroom vanity low ... ' m 5 ' 5 & quot ; look sleek modern property look elsewhere . top priority clean , comfortable room fantastic location Kensington Park ! literally check hotel 6:50 a.m. right need start NWM ' 07 ! definitely back next year . 
 Sep 23 2007 	 Outstanding 	 hotel far comfortable place ever stay . bed comfortable -- -- ' never sleep well . cause get new bed view unmatched -- -- -watche fog roll window awesome sight . first time San Francisco ; fall love city well hotel well -- -- -- -just everything else . thank great service hospitality . next visit San Francisco involve stay hotel . matter fact , become ritual … .. stay hotel every time ' San Francisco . thank againsincerely Frank De Paz 
 Sep 20 2007 	 great location great price 	 stay 4 night September family 2 adult 2 teenager , take 2 room . expedia price excellent value conveniently locate , Union Square . room good size extremely comfortable bed - good night sleep ! front desk staff clean staff wonderful , provide everything could wish for . our comment improvement would would nice fridge room ' free continental breakfast floor ' advertise Expedia wrong - tea coffee provide , whiich much help morning hungry teenager ! however , couple minute walk away Lori 's - 50 's style diner excellent food day great price juke box table - well worth visit ! hotel though offer complimentary sherry lobby evening civilise much appreciated . would certainly stay . 
 Aug 28 2007 	 Great Hotel Great Location 	 , like , like holiday away tourist somwhere local buzz hotel great place stay San Francisco . old style building lot charecter right heart city 50 yard Union Square cable car Fisherman 's Wharf . Golden Nugget Saloon round corner worth visit old world charm , well least old get earthquake zone ! chinatown short walk away many shop area restaurant suit . 's small Thai place leave walk cable car terminus excellant value . a short stroll cable car take Fisherman 's Wharf tourity bit short taxi ride take Alcatraz boat trip . ( take official National Park Service trip 's one land island allow visit prison ) staff friendly helpful , room clean well keep combine great rate place would choice go SF . one tip motorcycle use public car park Union Square rate $ 6 per day beat valet car park . main area motorcycle parking visible car park office man 24/7 provide element security . 
 Aug 24 2007 	 excellent little gem 	 stay 4 night love . great , clean , newly reno - ed property excellent location . staff amazing , bellhop , chambermaid , front - desk staff , helpful professional . pleasant surprise size room , large SF quiet . loud bang door hallway noise . great value $ $ $ - wish place would stay radar keep excellent standard . bravo ! 
 Aug 2 2007 	 consistently good 	 Agree review . picture bathroom review typical . GOODlarge roomslocation location location ( 3 minute walk everything ) large flat screen tv'sconsistenlty clean good shapefriendly staffJUST OKoldersmall bathroomsI stay lot . feel though ' m pay much pay $ 150 - prescott across street much well shape sometimes $ 20 night . 
 Jul 11 2007 	 great small hotel SF 	 return 4 day stay Kensington Park hotel San Francisco . locate right Union Square . great place , extremely friendly helpful ( though possibly overwork ) staff . comfortable charming room . old hotel , extremely well keep . go 3 morning coffee , one housekeeper tell we free coffee juice etc 11th floor . would helpful know first morning instead last . every day 4 serve tea sherry lobby ! fun european style place . stay instant . 
 May 18 2007 	 Overall Great Place ! 	 nice hotel . bed cover plush . decent bathroom / shower size . front desk helpful question . great location since 's half block Powell Street Cable Car line . good muni pass . never get chance try tea sherry morning coffee horrendous . bitter regular Starbucks brew bold ! , great hotel great price ! 
 May 11 2007 	 Location Location Location 	 arrive Kensington Park early morning , around 9 am . thought could leave luggage concierge , explore San Francisco . much delight , room ready ! make life much easy . concierge duty , Robert ( Bob mate ) , great help . Bob ensure shuttle bus book trip airport leave , give we map San Francisco , tell we good place eat , buy clothe , general get stay . room small , problem . room clean , clean staff friendly , make point say hello every time see anyone around . nice touch . 1/2 block cable car , handy come back Fisherman 's Wharf . Kensington Park certainly worth stay , yes 's old hotel , think add charm stay . 
 Apr 30 2007 	 try hard 	 new hotel . actually old Elks Lodge . problem reservation give renovated room 10th floor- & quot ; royal court & quot ; . newly renovate , small . bathroom big enough two people - not enough shelf space . lobby dark furniture old , dark , comfortable . problem ( maid miss room one day , tv , cold air continually flow vent bathroom ) . report problem attentive staff see within hour . give point . household staff go way say & quot ; hello & quot ; . literally dozens hotels Union Square area . one great location , think next time San Francisco , might try another hotel . 
 Apr 20 2007 	 Excellent hotel great location 	 lovely boutique hotel great location . right Union Square . half block cable car great restaurant . service excellent , take great care make restaurant reservation , shuttle arrangement general area info . give boutique hotel like Kensington Park anyday , stay another number 
 Apr 13 2007 	 great hotel location Union Square 	 stay great , 6 people total 3 room . everyone 's room little something different . enjoy location close Union Square shopping cable car away wharf . staff friendly helpful . would definately stay return SF . 
 Apr 10 2007 	 thank Tripadvisor ! 	 visit March weather perfect . book month early use AAA rate . economical , use tripadvisor review make choice . arrive check luggage room quite ready . reception staff great . lobby hearken early 20th century bavarian hotel . nice . daily tea available guest afternoon . room great . AC , bay , will need summer . room look similar picture website spacious flat screen tv wall mount furniture desk extra chair present . bed bit old still comfortable . bathroom cleanThere good complimentary coffee tea morning , willing go 9th floor get it . all , can not go wrong Kensington park . location amazing . 's 5 minute walk Powell Bart station next Powell cable car line , close stop literally fifty pace powell . really Union Square close major shopping . 10 minute walk China town . # 30 bus go Wharf / Ghiradelli square area well Palace fine art stockton next street powell , close bus stop hundred yard union stockton . there walgreen block hotel , right around corner need basic good snack . might spring disposable cooler ice ( ice machine floor 9 12 ) . also Borders step away case need Seattle 's good coffee guidebook . caveat : -no bathroom lobby - no AC - ice convenient , ice bucket linersDespite , definitely recommend hotel . 
 Apr 8 2007 	 feel like Queen 	 first stay Kensington Park last May 2006 husband friend . child 's summer break Philippines husband decide bring vacation Califronia . San Francisco last stop look forward courteous service hotel staff . surprise , big treat . improve interior rooms- tv sheet , decor etc ! five year old - daughter say make feel like princess- ? feel like queen . see royalty day two ! 
 Apr 7 2007 	 good value location 	 stay business trip happy find centrally - locate hotel San Francisco reasonable rate . location can not beat- walk numerous restaurant , shop , public transit anywhere town . room adequate size , bathroom lovely , everything clean . staff friendly helpful . downside , cable tv extremely basic window drape completely block heater close , chilly night . also , internet access complicated- get key front desk 5th - floor business center . overall , great hotel be look reasonably - price base explore city . be look cocoon room , ' l probably want well room . 
 Mar 19 2007 	 Wonder Time 	 return weekend San Francisco area . Stayed downtown S.F first time ever . chose Kensington Park Hotel see promotional ad tv . loved stay . friendly helpful staff , free coffee / tea juice morning , free sherry tea late afternoon early evening . comfortable feather bed mattress pad , fibron pillow , place clean put flat screen tv 's . quiet inside hotel hall etc . lot street noise etc . outside night , Post street side , 10th floor . think would noise anywhere big city bring ear plug be sound sleeper . Less block cable car route , Union Square , Borders , Disney store . many great place eat close . good breakfast Pinecrest Restrautant 401 Geary ( walk distance ) . Wonderfull dinner Millennium Restrauant ( vegan ) 580 Geary ( also walk distance ) , expensive $ 145.00 two we , glass wine . everything would need walking distance hotel . would stay . 
 Feb 25 2007 	 4 Star Treatment Kensington 	 receive outstanding service prior stay Kensington February17 - 19 , 2007 . friendliness warmth staff half reason choose Kensington ; rest , course , beauty charm Royal Court Suite Sherwood Room . the Suite enormous , lush , richly appoint , extremely clean . comfortably fit 18 guest dinner , love huge sitting room , dining table , 2 large bathroom , shower / bath combo . appreciate bedroom area entrance / exit -- main entrance , enter either bedroom sit room area , close bedroom sit room well . also like kitchenette , although mini - fridge not useful keep food / beverage item cold enough . room mainly quiet , except early morning , garbage truck ( 12 floor we , still hear quite clearly ! ) empty dumpster nearby restaurant . the Sherwood Room intimate meeting space Mezzanine use wedding ceremony . perfect ! sale manager , say first use room wedding since have around , give we helpful suggestion support prepare decoration , room set - up , ceremony timing , etc . whole event go without hitch . could not ask well site small wedding ceremony , friend impress gorgeous room helpful staff . say , front desk staff amazing -- always friendly , helpful , go way assist we guest wedding ceremony . hotel close walk distance huge variety restaurant , bar , shopping , theater , entertainment ( Ruby Skye ! ) , well hotel . problem could not stay long ! ! 
 Feb 15 2007 	 Nice Hotel Perfect Location 	 Four we , 2 room , return stay Kensington Park Hotel . room nice , clean , comfy . front desk staff always helpful accommodate . be true little louder face Post St. maybe ask room back , one ceiling fan get stuffy window close . Bob , concierge helpful . quite nice bar restaurant walk distance . check Lefty O'Doule 's Geary St. ( side St. Francis Hotel ) , nice irish piano bar / pub casual super fun gather around piano sing long . cosmopolitan restaurant great food good Cosmo 's , well , see Sam bar Huckleberry martini ... outstanding . breakfast Mason St. restaurant Mason south Post St. block , one Lori 's diner . not waste time wait line Dottie 's true blue cafe ... worth it . your good bet tour Joe [ -- - ] . WONDERFUL take 6 hr . wine tour . Joe 's recommendation stop Robledo 's winery make whole day -- good wine , excellent experience . price competative , service , personality , knowledge exceptional . thouroughly enjoy time San Francisco . -- -The Hojnacki 's 
 Feb 14 2007 	 great hotel awesome location ! 	 little hotel great location , less 1 block Union Square . easy access cable car stop next door shopping . hotel charm inside . room available 3 hour normal check - in time 2:00pm . nice . everyone courteous helpful . room 11th floor . still use real key ! room clean perfect couple . bathroom clean towel thick . checkout easy . 12:00pm standard checkout . park car valet overnight ( good rate town , $ 39 in / out privilige ) . check room , could keep car park 5:00pm . store bag spend rest day about . I look forward next visit city . definately stay hotel . affordable ! would recommend everyone . 
 Feb 9 2007 	 Great Botique Hotel 	 get great deal . right across street St Francis Union Square . good room king size bed . hotel lot charm .. friendly staff . 
 Jan 10 2007 	 Great Time City 	 last week family stay Kensington Park Hotel San Francisco . first time hotel , although visit city often . wonderful time service incredible . give fantastic direction wonderfulsuggestion place go . already recommend hotel 2 friend well mother law ( know picky . ) sure back soon ! thank wonderful stay , Hansens 
 Jan 2 2007 	 great stay small child 	 wife book room four ( child age 18 month 7 year ) travelzoo webite . give upgrade Royal Court room front desk person see family four need standard room . front desk staff helpful welcome many time arrive depart 3 - night stay . problem stroller hotel feel stigma guest 16 year age ? stay next time wife make trip without kid . 
 Nov 27 2006 	 perfect end roadtrip 	 stay KPH two night . reception area clean love style hotel . allocate suite 11th floor perfect . bed huge incredibly comfortable . shower pressure , bizarre may seem , something really appreciate . coffee / fruit juice station floor lovely treat sherry receive afternoon amenity . hotel charm , warmth comfortable place stay . would however bear mind aspect hotel could update / refurbish , lift particular nothing deter stay . staff efficient , concierge helpful . unfortunate enough experience one reception staff feel be / probably stay hotel ( think comfortable travel clothing - jean t - shirt - might something disdain ) , nothing tarnish stay enough make unpleasant . check hotel one night return another three night stay , kind enough allocate room , make seem bit like home . would recommend hotel consider ... location central everything would want see San Francisco . 
 Oct 27 2006 	 Great Value Top Notch Service 	 spend 3 glorious day San Francisco open Westfield Center impress excellent service , convenient location great value Kensington Park Hotel . room spacious overlook Union Square . ' m picky substantial comfy pillow , like home . work teach marketing think friendliness staff really contribute enjoyment . top everything really go beyond call duty . coffee juice every morning floor , easy get move . price room competitive SF . 
 Oct 18 2006 	 great boutique hotel 	 enjoy 4 night Kensington Park Hotel . staff could enough make stay comfortable pleasant . location excellent room charm . sherry tea offer guest foyer every afternoon nice touch . we definitely return 
 Aug 15 2006 	 Great Place Stay ! 	 return week 's stay Bay Area , include three night Kensington Park Hotel . this relatively small hotel ( 70 - 80 room , believe ) everything girlfriend hope . convenient location ( 1/2 block Union Square ) , room clean , comfortable well - appoint . we arrive Saturday morning , take BART San Francisco Airport Powell Street station . 4 - 5 block walk hotel , pack heavily , problem . get hotel around 11 a.m. , expect simply check bag hour room would ready . imagine pleasure desk clerk inform room already clean available . our room 10th floor 12 - story hotel , guest room floor 6 - 12 . read room front hotel ( Post St. ) side tend noisy , find problem . yes , street musician corner us evening , seem quit 10 - 11 p.m. , plenty early enough we . plus , quite good ! bless wonderful San Francisco weather . day high 70 night low 60 . really could ask well . do lot research ahead time , pretty good idea want go get , staff front desk always eager answer question help request . friendly responsive . be small hotel , on - site housekeeping food service . housekeeping never issue , room clean staff come day , need hour quickly handle bell staff desk staff . , many fantastic restaurant SF , certainly not come intention eat room service meal . hotel arrangement Cafe door continental breakfast service . get voucher front desk go street tea coffee , muffin danish . not expect much service , not get much , either . impressive selection service Cafe . the hotel 's 2nd 3rd floor house Post St. Theatre , quaint little theatre bad seat house . saw & quot ; 25th Annual Putnam County Spelling Bee , & quot ; play familiar ahead time , highly entertaining . good music , great performance character , fun , cute show . get ticket morning show TIX booth Union square less $ 30 . well worth , hurry , close early September . would love see another show theatre , be stay hotel , certainly can not beat ease drive home show . the hotel great location . San Francisco time , really enjoy stay around Union Square well location . 3 - day passport get public transportation , could take cable car , streetcar , bus subway train additional cost . well $ 18 ever spend SF , feel could get anywhere want within city start within step hotel . with great shopping , eat people - watch love Union Square area , hotel great choice we . 
 Aug 2 2006 	 surprised ! 	 stay San Francisco business quite often usually one Hyatt 's Hiltons . available reading review decide give try . surprised service describe present stay . reserve Royal Court Room give standard room run comparison . also , refuse low rate standard room rate $ 30.00 less originally book . misplace credit card staff nice enough check room office report back find . experience reviewer , guess back giant ( Hyatt @ Embarcedero ) 
 May 27 2006 	 's well 	 stay Kensington Park decade . always good experience . therefore , concerned read review site mix - up reservation . result , week arrival , call discuss poor review tell explicit expectation late arrival mother Mother 's Day weekend would wrought anxiety inconvenience . accommodate we beautifully . thank write negative review sure proactive , would turn well . unfortunate guest ' experience unpleasant . I hope Kensington Park rough time awhile get together . certainly game . 
 Jan 13 2006 	 great location great service 	 stay Kensington business trip would definitely recommend anyone need convienience great location SF friendly service . take BART SFO within block hotel 5 buck vs $ 35 - 40 cab . Bob bellman extremely helpful get cab , recommendation go , etc . room nice well maintain . free coffee 9th floor avaialable . 3 - 4 block walk Moscone Convention Center . room clean well keep . even give discount card Macy 's ! ! 
 Dec 5 2005 	 ` ` confirm '' reservation anything 	 make reservation Kensington send another property along several other different party . , apparently , par course Kensington . property , Steinhart , awful . security , service , amenity . permanent guest hotel carry questionable activity room adjacent mine . kind activity would interest police . want get , . course , man front desk nowhere find go check early . finish touch ? bill entire stay rather one night compe Kensington Park . Personality Hotels . personality .... 
 Nov 12 2005 	 reservation not mean room 	 arrive hotel 9:30PM find three room confirm available , travel twenty three hour disapionting . offer alternative accomadation standard , one hotel warn front door say ; building contain chemical know cause cancer birth defect . management available deal problem find alternative . next morning hotel manager accept full responsibilty give we night free . overall hotel nice great location , annoyed happen first night three week holiday America . 
 Oct 30 2005 	 nice little hotel 	 wife stay quick stop visit San Francisco . first impression great . foyer really quite beautiful expect . arrive 2.5 hour check time due early flight time staff quick ready room we . room nice facing towards Post Street . read previous review trumpeter playing till wee hour morning , however fact saxophonist find quite relaxing . quiet definately ask room back hotel . hotel locate great position , close Union Square famous cable car well bustle shopping district . pan handler pretty harmless generally leave alone . overall nice little place , friendly staff , great location nice room price . 
 Oct 27 2005 	 raise price cut amenity .... 	 come home last night 5 day stay Kensington Park . travel alone feel safe . cleaning / maintenance staff friendly . front desk staff indifferent good . like traveler 's suggest , ask room back hotel glad , quiet . hotel long 24 hour coffee tea service , 7am-10am . still free access business center . breakfast in - room coffeemaker , even though advertise . Tea / Sherry afternoon okay , tea weak powdered creamer ( ech ! ) & quot ; real & quot ; milk cream . room pleasant clean . glad pay $ 129 per night , notice price least $ 30 high site other . close everything , watch walk O'Farrell ( go west ) , get bit scared people feel safe . overall , Kensington convenient , not & quot ; feel love & quot ; reviewer , perhaps cut amenity . 
 Sep 29 2005 	 reservation may mean stay 	 family reserve confirm two room . reconfirm room start trip . arrive , offer check daughter due late arrival assure room assign even provide room number . arrive , join several displace traveler send another property . instead nice room reserve , find sleep bed fold wall . profound disappointment loss quality family time difficult schedule . apologetic , management staff available resolve problem . 
 Sep 19 2005 	 lovely hotel 	 stay hotel boyfriend 8 night first Sept . lovely hotel , staff friendly nothing much trouble even bring wine opener room could drink instead goin tired day trip . the room fridge handy keeping water cool . hotel grat location close everyte , shop , restaurant , bus cable car . everything within 5 min location . Loris diner road hotel great breakfast . my complaint room look onto post street like another reviewer say man trumpet play till 12 am night nearly drive mad buy earplug never hear another thing & amp ; noise do not bother boyfriend . Id problem go back hotel great i d ask room back hotel . 
 Aug 29 2005 	 great location noisy 	 hotel old fashion quite charming . location great - half block cable car Union Square . lot bus trolly be nearby well . complaint street noise . street musician corner play trumpet midnight three seven night . keep awake . also lot horn honking , truck seem like move van street 3 am . think one night roadie move equipment show theater next door . stay , suggest ask room front Post Street . besides -the view Post Street poor . 
 Aug 28 2005 	 expect ... 	 stay 4 5 star hotel , not sure expect boutique hotel downtown SF ... 5 night ... expect . stylish hotel lobby right 30 's front desk complete mail / keyboxe , lobby grand piano mysterious hooded piano virtuoso , complimentary afternoon tea sherry , couple spacious elevator complete antique uphostered sofa bench ( thing miss elevator operator take floor ) .The room spacious enough 4 we want place crash long day ) . 2 double bed quite comfortable ( though be use queen bed ) . bathroom modern towel , toiletry , hairdryer , etc ... quite acceptable . overall , room linen quite clean though furniture , carpet bedspread could update give room overall 4 star rating ( queen bed would make 5 star ) . maid service virtually unseen though know day ... bed turn day return ... content safe undisturbed . safe hotel . we ask receive non - smoking room situate rear hotel ... view not spectacular , certainly quieter streetfront side . business centre useful equip complimentary computer printer . 12th flr ( not check othe floor ) wireless internet access room laptop computer . the hotel right Union Square centre shopping , shopping , shopping . Turn leave hotel lobby be stand catch famous cable car Fisherman 's Wharf take short walk Chinatown . beside Union Square bonus hotel room seem bit small parent grow teenager ... park bench full entertainment , sights comfort ... great location hotel . beware panhandler ; quite around , not threaten . stay close Powell Street ( cable car ) night ... several xxx theatre , massage palour , etc . block west Powell towards Civic Centre Asian Art Museum . area fill transient homeless ... overly threaten ... unnerve esp . child . if be travel SF airport , take BART Powell / Market Street station ... safe , inexpensive , convenient ( i.e . traffic congestion costly taxi ride ) , 4 short block hotel . BART station foot cable car line great way greet SF . not bother rent car be plan spend time downtown SF .... traffic , parking cost , cable car certainly make wish not . buy Citypass 7 day MUNI transit pass ( will need ride cable car ) plus 1/2 price ticket SF Museum Modern Art , Asian Art Museum , Exploratorium , choice two museum .... definitely worthwhile expenditure . plan spend 2 hour ( fast tour ) 4 hour ( thorough tour ) first 2 museum refer ... be worth visit .... wish not start Asian Art museum 2 hrs close . exploratorium excellent place kid . finally , downtown SF Fisherman 's Wharf ... dress warmth . breezy plus bitterly cold cloud / fog roll . inland south , 10 - 15 degree temperature difference . want see Golden Gate Bridge Alcatraz ... take harbour tour mid - day less chance cloud fog rolling / out . Hope help .... enjoy ! 
