excellent 	 stay Wolcott , would recommend anyone . room large clean . Maid service everyday . staff friendly . locate 2 block away Empire State Building , conviniently place . bathroom little small side . otherwise room clean . the entrance foyer particularily impressive budget hotel . complimentary coffee muffin breakfast well . this hotel make great base explore Manhattan . far Macy 's , Herald Square . 
 locationlocationlocation great price 	 location important be try impress anyone stay interested see site spend hard earn cash enjoy rather swish hotel , place need . quite low expectation read review , fine . old school hotel - like bit character . staff friendly helpful - location make - price , not think could well - literally around corner Macys , Empire State , Madison Sq Garden , Jack Demsey 's pub ( man watch english soccer match . live ) couple block Time Square subway close travel afield . hotel also locker available 50 cent store luggage last day late flight . make criticism small bathroom - cares - New York ! 
 Trustworthy hotel good price 	 new york - hotel - research internet find one . first trip Big Apple expectation , price seem extremly reasonable consider location hotel go . experience nut shell positive . tidy look lobby corridor sympathetic room everything basic visitor need . & quot ; life & quot ; hotel room anyway ? next line som + - : + nice tidy look interior+ enough fresh - look room ( corridor smell like 5 - star hotel ; ) ) + tv + safe+ price easy payment methods+ Location- staff seem bit bored way rude ( don´t let affect stay ) give hotel 8 10 . 
 Great Location 	 hotel suit need perfectly . book twin room ideal need ( spend sleep time ) . bathroom large , clean tidy yes shower work perfectly . ideally situate staff helpful pleasant . complaint whatsoever would use . 
 Aug 27 2008 	 could not beat big stick 	 girlfriend spend 7 night Wolcott . first time stay NYC find hotel absolutely fantastic . the great strengh hotel without doubt , 's location . empire State building within 5 minute walking distance , Times Square within 10 minute walk distance Penn station 5 minute 's walk also . I find staff overly friendly , say , note helpful . room clean enough space two we . bathroom decor date , shower great provide ample supply fresh towel morning , clean staff great job hotel 's room always clean tidy . I find room quiet , surpise particulary stay town Manhattan . morning guest provide complimentary muffin , coffee newspaper , nice . the A.C. room alittle noisy , can not everything 2star great price . hotel shuttle bus service also great value 45 dollar . overall great , would stay again . m . Mullan M. Mc GreevyBelfast 
 Aug 22 2008 	 Nice hotel great price superb location 	 stay two night may really enjoy . hotel fine clean , bed comfortable bathroom adequate clean . price NYC good location we perfect . would not hesitate stay . 
 Aug 20 2008 	 Hotel Wolcott 	 stay 8 night hotel . great . location within walk distance everything . room good . would recommend anyone , family , couple . 
 Jul 17 2008 	 positive experience 	 stay Memorial Day weekend ' 08 . overall , good experience people expect 5 - star service 2 - star hotel . would especially note hallway , room , bathroom clean nice . wonderful location daily room service make stay pleasant . I join reviewer note grumpiness front desk staff : give print reservation name BIG BOLD letter front desk employee , greet follow : & quot ; give ID , without would know ' m look chicken ? & quot ; kid . guess 's noo - yawkish , maybe ... day busy , never actually get around breakfast - 's really necessary give numerous cafe / restaurant locate two - three block vicinity . Dunkin donut right across street , example . in general , recommend hotel short stay Midtown area . 
 Jul 3 2008 	 amazing location money .. awesome air conditioning must NYC summer 	 Wolcott hotel central attraction NYC block Empire State building Penn station ( subway / train anywhere NYC ) . hotel cheap good value clean , awful view expect kind money New York ? ! ? dread hotel read review fear , room fine ! people want good view air con do not rattle New York shell money ! good wine cheese chocolate bar right across street serve good brie ' ve ever taste ... would recommend hotel cheap frill stay NYC . 
 Jun 25 2008 	 Good Bad 	 go NYC Belmont Stake year want hotel close Penn Station Friday night could take train right track Saturday morning . since not plan spending lot time room , also look & quot ; bargin . & quot ; good : Location , location , location . block form Penn Station subbway . also & quot ; locker & quot ; downstair secure small belonging prior check - in check - out $ 1 . free Continental Breakfast , crowded , go & quot ; Jimmy 's & quot ; ( fast service good food http : //www.menupix.com / nyc / restaurants.php ? id=301570 # ) around corner Madison . also great french resturant , Serge , block Madison . take walk 29th ( Park / Madison ) drink classy Red Sky ( http : //www.redskynyc.com / default.htm ) . finally , room three twin bed , work nice family . the bad : old hotel update not expect deluxe bathroom . elevator slow small not particularly like stand body body stranger . front desk staff grumpy express check . hotel seem get lot tourist would recommend business traveler . stay Vinici Avalon nearby . the Ugly : appear one twin bed change . , grow farm , little bother , bug see bathroom middle night last straw . look like beetle roach , not know wsa suprise - . anyhow , keep light handicapping rest night . the result : $ 10 win winner , hit Tri - fecta , thank Big Brown . BHR 
 Jun 25 2008 	 Super Hotel 	 return last week week stay Wolcott . hotel beautiful hotel great service . muffin morning lobby good free ! Decor bit date , ' m spend week hotel room . problem hot water . let shower run 20 minute . give we handicap accessible bathroom cool big . also , make turn air conditioning day , energy save world great . problem window air conditioner room insulate properly could see outside corner . energy saving . hotel nice location block Herald Square Macy 's . view apartment window , tht make quiet . staff great treat mother wheelcahir wonderfully . would stay price . 
 Jun 22 2008 	 great hotel 	 able book great room less 24hr notice . able get early check quick phone call , start stellar service . the room clean quiet . first stay Manhattan surprised quiet room . location great block time square penn station not pay price would pay stay block away . we city bit later checkout , let we keep bag storage past bag storage removal time . manager , Naeem Butt key great stay . helpful entire stay . oh yea , free breakfast . free food Manhattan ? fantastic . highly recommend place , definitely stay next time ' m town . 
 Jun 22 2008 	 great hotel 	 great hotel great location . clean good value . stay year past 6 year recommend . 
 may 21 2008 	 brilliant place stay 	 come Boston bus arrive Port Authority , $ 6 ( + tip .. average 17.5 % ) taxi hotel . Times Square ten block away ... one minute walk per block avenue ( north - south ) two min street ( east - west ) enjoy stay Wolcott , coffee & amp ; muffin complimentary newspaper foyer , computer access free airport booking - in computer , hotel shuttle airport good value , pay $ 44 + tip . like buffet style restaurant , within short walking distance , might worth bring cutlery plastic cutlery provide . 
 May 12 2008 	 Loved kitch wolcott 	 stay Wolcott mother sister October last year first day three bed room , sister leave two bed room . excellent ! be little old , that s 's charm - find everything clean staff helpful , though furnishing bite shabby wear . there free muffin coffee breakfast lobby tasty , internet machine use lobby small cost . location mind blow , be right next empire state building ! think money great hotel . stay Penn hotel year 's three time price good . 
 May 5 2008 	 Ideal Location 	 picture hotel lobby give indication age hotel , old fixture fitting seem original ! ! first room stay old iron radiator rattle night shot vent steam regular interval . second room high floor much well temperature hotel like sauna . view window fire escape office building behind ( make sure curtain closed wander around without PJ 's ! ) however , coffee muffin morning nice touch depend want hotel . 10 minute walk Macy 's , Empire State Building Broadway could not find well location , especially first time ny.all , good location want decent night 's sleep - take good earplug . 
 Apr 30 2008 	 hide gem Midtown ! ! 	 daughter NYC first time - choose hotel location price . worth every penny ! ! within walking distance Empire State Building , Macy 's . staff ( one ) helpful , room clean . definitely stay ! 
 Apr 15 2008 	 excellent value 	 hotel good value . comfortable stay quiet , clean room . single bed good . slight niggle rather gloomy view fire escape would hesitation recommend hotel . 
 Apr 10 2008 	 Excellent location price 	 first time holiday NY - go son . read review Wolcott apprehensive problem describe relate state room , happy stay . front desk staff fine , one bit abrupt nut rude , other friendly helpful . place still redecorate , room still old - style , bit tired , clearly finish look lot smart . room view , quiet decent sized bathroom problem - clean towel , hot water . twin bed huge tv room safe . quite lot people gather morning downstairs muffin coffee want get explore grab muffin way morning find one many good diner nearby breakfast . bagel shop across fifth good busy ( altho would not eat ) plenty place walk along fith . make ( 15 min walk ) expensive Pershing Square place opposite grand central must real new york breakfast . good thing wolcott location , good uptown downtown ( 33 st subway ) plenty swanky place stay , fine . one thing do book shuttle bus JFK airport via hotel help desk , not end try get Penn Station , think easy way leave ny . 
 Apr 10 2008 	 geat hotelexcellent location . 	 stay wolcott hotel march 2008 , previously stay 4 year ago , hotel redecorate since then.it excellent location , safe.the staff curtious helpful.the muffin coffee morning add bonus.i definately recommend hotel friend family . 
 Mar 31 2008 	 nice hotel good location 	 stay November 2004 5 night . 's nice hotel stay not want spend fortune not mind basic . bed comfortable . room decent size clean . view Empire State Building room window lovely . 's good location . short walk esb , little Korea Time Square . bad thing bit cold room . free muffin coffee every morning lobby . would definately stay goingto New York budget . 
 Mar 24 2008 	 affordable central room need tlc 	 foyet look amazing check easy . room view empire state building . soon change room safety deposit box break . bed big comfy , problem aircondition unit mega noisy without room really hot . bathroom clean bath / shower , sink toilet . free coffee muffin morning also bonus . concierge bit rubbish , Russia New York week know restaurant would good steak ! , fine need day use room sleep . be warn lock room door night , forget one night someone try open door early morning not one cleaner . the location good , although street look bit grimey smell bin . Close Empire State Building , Time Square , Little Korea . 
 Mar 19 2008 	 noisy chilly hotel 	 central heating system hotel noisy.and bad thing work . room remain freezy.the location hotel good . little bit stinky area . need 3or 4blocks subway st . block 5Av . 
 Mar 12 2008 	 rare 3 bed hotel drawback 	 firstly , advantage hotel . provide room three bed . surprisingly hard find , room double , double bed single bed . three us- need three bed , go ! rate $ 210 include taxis , $ 70 night . check ok , quick , although staff seem little rude eg & quot ; need passport & quot ; rather & quot ; could passport please ? & quot ; room big enough- one bed slightly seperate area , tv . bed ok , clean etc . room pretty grubby , honest . pipe seem leak noisy , bathroom horribly small uncomfortable . tv pay movie , vend ice machine throughout hotel . generally , serve purpose base explore New York . location good- near Empire State Building , 5th Avenue etc . , would probably book part group three , otherwise would consider hotel . 
 Mar 5 2008 	 Brilliant value money - great location 	 English family 4 ( 2 Teenage daughter ) spend 6 night Wolcott totally satisfied stay . yes budget hotel reflect price facility . room clean , large expect warm enough ( despite snow outside ) . stay meet number school / university group England take view education authority approve Wolcott must meet standard parent student would find acceptible . negative feedback read hotel proverbial traveller expect 5 * facility 2 * price - Ignore place really good value money . my complaint tea / coffee make facility room unlimited coffee reception 6.30am take room . thoroughly recommend . 
 Mar 3 2008 	 Great Affordable Location New York 	 locate Broadway & amp ; 5 th Avenue , great little hotel , affordable , basic clean , friendly staff walk everything . highly recommend . 
 Feb 15 2008 	 nice price excellent location 	 comfortable pleasant 4 night stay Wolcott . room clean , bed comfortable , bed bug , mouse , door slamming , musty hallway . yes , bathroom small , shower bit tempermental heat , none issue detract stay one bit . 90 % staff pleasant . can not beat location price . would definitely consider stay ! 
 Feb 4 2008 	 Great Location - Tiny Bed 	 price hotel , location great . 's 10 - 15 minute walk Times Square 2 block 31st subway station . location good part hotel . reason bed really small . 5 ' 2 female almost roll bed time . sound proof also horrible . door really heavy slam shut hear every time someone go room . bathroom also freeze cold winter . gap window ventilation ( instead fan suppose ) unless show jacket , 's problem . good thing though late check - out time ( noon ) get actually sleep . 
 Jan 31 2008 	 good value hotel 	 recently spend week hotel one triple room . good point : -- good value NYC standard - could not find en - suite triple room central Manhattan $ 200- location - minute Penn Station , several subway line , v.easy get anywhere NYC . also walk distance number sight - Empire State , 5th av , Macy 's etc.- Room big , clean also really quiet .... certainly not disturb bang door middle night like review suggest . bad point : -- major fault hotel , minor downside .. - Antique heating make lot noise one night , swiftly fixed- room bit dingy old fashion ... make 1904 , expect ... ! - Hotel locate slightly soulless business district - much way eat / drinking option doorstep - 's easy get not really matter- Puny muffin provide breakfast bit stingy - however place call Brooklyn Bagel Cafe round corner great value breakfast . overall , would definately recomend hotel good value base explore New York . 
 Jan 26 2008 	 stay least 10x Years price increasingly increase 	 Parts property update year . use pay $ 130 7 year ago price increase steadily basic stay bell & amp ; whistle . would recommend Wolcott $ 200 , could certainly find 3 star Hotwire list property money comfort . 
 Jan 23 2008 	 Great Hotel Great Location 	 stay September 2006 . find Internet , read review , really nervous booked week holiday . pleasantly surprised . triple room quite big basic hotel clean . good facility provide room- iron , iron board , hairdryer , etc . location really good . 3 block behind Empire State Building 10 minute walk Macy 's . staff friendly professional even organize car get us airport flight home . really great hotel not able fault . 
 Jan 15 2008 	 Great Value Money 	 stay hotel November 2007 read review bit apprehensive staying need not worried . find room clean bit small side go NYC spend time room ! bathroom ( also small ) clean clean towel room service everyday . shower bit temperamental running scald freeze not let ruin stay . housekeeping staff friendly although reception staff quite rude also concierge rude last day ask would order we taxi airport grudgingly do . say would stay location alone , central 5 min Empire State Building Macys . afraid stay . PS see mice elevator ok . 
 Jan 15 2008 	 Disappointing 	 book one night accommodation Wolcott Jan 2nd read mixed review . think location would suit we travel Montreal Amtrak short distance Penn Station . check staff friendly give impression inconvenience arrive request room . the room outdate run . two bed one room another little side room bathroom . bed stale smell floor wall dirty . bathroom small need major work . crack tile dirty floor give welcoming feeling . glad book one night even though hard enough deal time . I would certainly recommend stay look something clean , comfortable welcoming . location handy Penn Station positive thing Hotel . I definitely return Hotel even location . 
 Jan 4 2008 	 nice stay Hotel Wolcott 	 stay 2 night Hotel Wolcott think great deal cost . old hotel room clean , bathroom super small showerhead tall . one problem last morning COLD water could shower risk scald . call front desk could fixed check , leave shower . email hotel get home manager get back give credit $ 25 , fine . prompt reply give excellent service . hotel fairly close Herald Square subway great subway lot line travel . third time New York City Christmas Vacation feel good hotel money . Breakfast include muffin coffee adequate getting go . go New York sightsee room much . budget friendly hotel New York City Midtown . 
 Jan 2 2008 	 good budget hotel - great location 	 Hotel Wolcott - budget hotel ( $ 250 night ) great location 2 block south empire state building . warning - shower fine long one else floor use bath good day foot & amp ; fill quickly . try get upper floor - decor much nicer - stay 1019 great view empire state building . occasional odd smell - think people eat room 10 min air con & amp ; fine . bed comfortable ' ve ever hotel & amp ; air con good quiet model . basically tired want sleep & amp ; hotel perfect . check Heartlands Brewery / Bar empire state building - beer & amp ; food great . 
 Dec 30 2007 	 Horror Hotel NYC 	 build 1904 look . wallpaper fade dirty , bathroom counterspace , tile break , rug dirty . radiator pipe burst night 3:30am shut heat room instead repair . elevator break people stick , vend machine break , telephone room service ... need go ? leave 1 night ! care lack sleep room condition charge full price anyway . never go back ! 
 Dec 24 2007 	 amazing location 	 location hotel AMAZING . 5 min Empire State 5 min Macy 's . room clean , tidy staff friendly helpful . budget hotel expectation . slight problem temperature shower end day care . hotel cheap location make trip . would thoroughly recommend hotel stay . note : luxury pamper . sample shop site New York want place rest ! 
 Dec 19 2007 	 great 	 Dingy run . faint smell must cigarette smoke . room wear , depress bathroom really unpleasant , unclean , depressing . Shower work poorly , unable get warm water . either ice cold scald hot . spend several minute morning try make adjustment avail . jump take shower quickly possible water get hot . beat air conditioning / heating unit window . particularly great location . would stay . 
 Dec 19 2007 	 would stay 	 really worried read review hotel however upon arrival greatly relieved ! ! ! ! reception area nicely decorate christmas . check within 5 minute . room small clean . big tv , clean sheet - handy iron ironing board within room also hairdryer . bathroom almost size bedroom ! clean , towel change everyday . reception helpful explaining use subway , get , often come etc . overall would stay . 
 Dec 17 2007 	 Potential Wolcott let 	 hotel prime location , block Empire State Building . visable room , contact hotel beforehand request room view carry . look hotel grand website suggest , unfortunately heat either hot planning stay take nice warm pyjama . window keep noise cold , however bed linen towel clean change daily ( despite claim like use towel much possible save environment , pretty much change every day ) . lift slow , spotlessly clean well keep . reception staff polite , except one speak village idiot quite blatantly comment staff size baggage although nothing move around ! spoil originally go positive review staff . mid way stay visit mouse , appear room help Indian take away leave over . contact reception desk tell we would send someone deal , hour pass ( not particularly relish fact sit hotel room outside explore city ) husband call reception tell Housekeeping would deal . simple . offer move we room , apology management incentive come back tell world wife Wolcott mouse infestation . notice towards end stay American complain price room member staff , clearly think standard accomodation high price ( personally think reasonable ) lenghty discussion justify rate hamper call subsequently take room little sweetener . maybe lot stroppy mouse incident may recieve complimentry hamper . now hotel surrounding , Dunkin Donuts end street , coffee disgusting doughnut not bad . also posh restaurant jus accross street rediculously price . venture 31st Street head towards Empire State Starbucks little place call Heartland Brewery reccomend NY Cheesecake ( good ' ve ever taste ) ! lot within close proximity hotel beat location . small tip though , contact hotel arrange shuttle bus pick arrival airport , cost we almost $ 80 catch yellow cab time pay toll tip $ 48 plus tip get shuttle bus back . wish someone would tell we ! hotel great , hope not get visit mouse , particular staff member visit light sleeper ! 
 Dec 14 2007 	 really impressed 	 stay hotel 6 night December 07 find amazing . bedroom window view Empire State Building . staff friendly , pleasent helpful quick check we . Towels linen change daily room clean immaculately . massive tv room couch plenty room . complimentary muffin coffee morning nice touch . lift slow old . wonderful stay Wolcott Hotel defintely stay return New York . 
 Dec 12 2007 	 Ideal Hotel 	 bit apprehensive reading review assure hotel great . located 5th avenue , be ideal especially price . room immaculate towel bed linen change daily . staff friendly other friendly would recommend hotel . definitely return Hotel visit New York . would suggest stay request room back hotel quite noisy night time . staff oblige request request room low floor arrive get one second . Great Hotel great location price . 
 Dec 10 2007 	 excellent sall respect 	 stay four friend five night Wolcott thanksgiving weekend . fantastic value money , definately stay . room , bedding , towel clean fresh , staff pleasant helpful want stay city . coffee muffin lobby every morning helped start busy shopping day . 
 Dec 8 2007 	 Fair Price - great location 	 O.K . -- 's deal . old hotel . will start bad point . - 1 . elevator die . -- ( meaning may die wait one ) 2 . person ( ) room next come go lot late nite -- well , let us hope not let door slam . ( rattle room ) good NEWS ! New York Standards -- affordable . easy walk distance Empire State Building ( 2 block ) . Macy 's ( 3 block ) Grand Central , Rockerfeller Plaza , Times Square , Radio City -- within 10 block . within walking distance -- weather permit . I highly recommend get & quot ; hop hop & quot ; New York SiteSeeing pass . take Ground Zero , Uptown , Chinatown , Harlem , etc . well worth price . ( $ 40 2 day pass ) use quite bit get around . hotel Staff quite frindly helpful . room , small clean comfortable . fresh coffee muffin lobby every morning well . overall , would stay -- New York Minute . 
 Nov 27 2007 	 Moth Eaten Grandeur 	 lobby grand let fade decoration shabby furnishing . satff neither pleasant helpful outright rude . elevator wide girth . room interesting . look like largish room hold two twin plus vestibule hold another twin tv desk . room , small clost crudely add . furnishing carpet quite shabby stain . however , teeny bathroom positively sparkle . shower control hard operate could easily scald airplane sized sink manage splash thoroughly . window poorly seal first arrive room absolutely freeze street noise loud clear night . call front desk produce miantenance man able turn heat bit explain heat come every 40 minute . old radiator every 40 minute include clanging pipe . like historical aspect 1904 hotel price compare NYC hotel Thanksgiving weekend . bedbug infestation aware . 
 Nov 27 2007 	 do not let Bed Bugs Bite ! 	 stay Wolcott 3 time never problem worry book Junior Suite two friend next trip . stay Room 1113 . queen bed luckily day bed couple day start itch day come home cover lump obvious bite . complain reception staff show little interest - send someone inspect room - do not know do not know human could see bed bug naked eye ! ! let we change room last night friend refuse sleep bed ! arrive home email General Manager state check room sign bed bug friend must take allergic reaction something outside hotel - bit coincidence - especially speak another group woman experience exactly thing ! shame always like Wolcott would wary staying attitude staff complaint total disinter . 
 Nov 27 2007 	 will not get well wolcott 	 friend stay 18th November 25th November . honest little worried reading review ... arrival though quite impressed , extremely happy hotel . queen room 11th floor spectacular view Empire state building . room big telly average size bathroom . also safe choose code find great store valuable . room lovely warm hot water everytime shower . room redecorate maid come clean room everyday also leave fresh towel . else want ? ? NYC shouldnd hotel long need .. complain bad lighting hallway do not know talk .. would recommend eye test light bright hallway always clean .. staff always friendly willing help whenever could . regard location could not ask well , Empire State build 5 min walk , Macys 5 min walk , Madison Square Garden 7 min walk Times square 10 min walk .. can not get well .. go see knick game would highly recommend game visit .. ticket 60 dollar worth every penny .. would also recommend gray line bus tour . board bus empire state guy red jacket sell ticket . pay 49 dollar 48 hour hop hop tour also one night tour would highly recommend . China town also must lady greenwich village beautiful . Statue Liberty Ellis Island well worth visit get early avoid Q 's .. say brilliant time , feel safe time do not problem . meet lovely people hotel feel we hotel perfect trip . muffin tea / coffee more great good start day .. one thing would recommend trip Woodbury common one first second day . get great bargain , one mention would got two pair men Timberland boot brother 70 dollar .. Ill let sum ... ! Ill definately back next year stay Wolcott ... ! 
 Nov 26 2007 	 quarter step hostel 	 stay hotel one night early November sheer desperation -- truly decent hotel border $ 400 + Wolcott $ 180 . serve purpose mean run water , tv , bed , much else . be look basic , budget travel absolutely frill , place . offer complimentary muffin breakfast internet access $ 10 day . clean , can not complain much , barely step hostel . 
 Nov 20 2007 	 happy Hotel Wolcott 	 lot research find & quot ; affordable & quot ; hotel Manhattan . price low end scale time visit ( although would pay place ! ) . say location great ( walk distance subway , shopping , 5th ave , etc ) . area feel safe . staff friendly helpful . although fancy , room clean . relieve book ! 
 Nov 19 2007 	 good budget hotel 	 book triple room Wolcott get fantastic room 9th Floor view Empire State Building room good size hotel general great , nice staff , good location good value money . problem electrical appliance adaptor plug would work ? hotel box uk adaptor plugs try . never problem use US ? buy new hair straightner could not charge battery camera . 
 Nov 18 2007 	 fantastic all - round budget hotel ! 	 well , excellent hotel ! lobby beautiful , staff professional friendly room comfortable clean . having come direct Americana Inn ( terrible ) , perhaps slightly biased relief stay somewhere lovely ! highly recommend , right centre action ! 
 Nov 12 2007 	 basic clear 	 true hotel see well day 's clear centrally locate ( 5 minute walk Empire State Building 10 minute walk Times Square ) . triple room really big NY standard . poster say pipe noisy manage sleep . street noise room front - back room quieter darker . it far reasonable hotel could find would recommend look somewhere clean central lay head - want spend lot time room NY outside door ! ! 
 Nov 11 2007 	 Shabby Chic 	 entrance ornate especially ceiling ballroom behind reception desk . room basic shabby functional , hotel fine use base , ideally locate sight see city . every morning reception coffee muffin go Tick Tock diner 34th 8th New Yorker hotel . the hotel quite old problem noisey pipe get sleep tablet local drug store can not sleep . 
 Nov 9 2007 	 dump ! 	 go New York get marry book stay 9 night . say ? ! ! get bad hotel ever stay ( stay crumby one Europe ) ' suite ' old interior old air con system , view hotel room ( do not see day light ) , ask could room view tell could room would tiny ! place probably ok gang friend want somewhere lie head , we , horrible . want something enjoy relax be not . staff rude , lift slow room clastrophobic can not relax . 
 Nov 7 2007 	 stay 	 title suggest recommend hotel . stay week October . pay 1100 euro 6 night feel little steep go review good . thought room run worth money . call breakfast mediocre . but come big problem . wake 2nd last morning go bathroom 2 eye terribly swollen bite arm leg . however worried eye look dreadful . go doctor worried think need antibiotic pharmacist advise get check . go doc diagnose bed bug . say lot hotel 3/4 problem Wolcott . go back show reception manager eye . Reception seem shocked could understand happen . manager come speak say problem like hotel ( load crap ) ... see state eye still deny everything . they apparently get pest control go room find nothing ( load crap ) injection doc give ( $ 80 later ) take day take full effect never forget treat hotel never treat badly . imagine deny ever problem bed bug - for God sake hotel well wolcott ( ie 99 % hotel ) ..... oh never mention 1st day spark start fly hairdryer room ... let put context . easy person please hotel concern ( stay good place like Ibiza ) hate people complain littlest thing ... big favour world tell base experience stay ever 
 Nov 5 2007 	 love 	 love Hotel . Booked Triple love . room pretty big problem step inch bath room stub toe . sheet really soft either price right 
 Nov 5 2007 	 fantastic location value money 	 return first visit New York stay Wolcott friend recommendation . walk lobby believe budget hotel beautiful chandelier original feature . we book triple room fact two room connect archway . room clean large comfortable bed . T.V . room electronic safe free . the bathroom small not go NY spend hour bathroom ! decor throughout room hallway pleasant look like refurbish . there tea / coffee facility room free coffee muffin serve lobby every morning Subway / Dunkin donut opposite caffeine fix may need . the location great walk 500 yard right 5th Avenue 500 yard right Broadway . subway station next street use full expectation getting lose happen station staff helpful New Yorkers speak . hotel right Empire state building even view room window . we walk easily Rockerfeller Centre 20 minute ancd central park distance . would thoroughly recommend Top Rock horse carriage ride around Central Park . Times Square 15 minute walk Broadway shop restaurant could possibly need , also great show . downside Times Square rapper try sell cd polite & quot ; thankyou & quot ; trick . I hope visit NY next year would definately stay Wolcott . 
 Oct 30 2007 	 Great Location 	 see good bad review hotel little worried prior get . reason worry , disappointed . location fantastic : walk distance Penn Street Station , Empire State , Times Square etc . Dunkin donut Subway across road . staff helpful friendly organise transport airport . room clean comfortable view Empire State . tv , iron , iron board , hairdryer safe room . hotel internet , game , ATM , washer dryer facility along gym ( although use ) . get coffee muffin every morning thoroughly enjoy stay , would stay recommend other . 
 Oct 22 2007 	 Great Stay 	 6 day stay Hotel Wolcott wonderful . staff great , room always clean , bathroom postage size expect review roomy Sheraton charge twice amount size room small bath ! ! nice fluffy towel load we ( maid even thank we personally tip ) , bed comfortable Jr. Suite locate right next elevator never hear noise . location hotel perfect great Bagel cafe street ( always buzz NYC energy ! ! ) , walk distance Times Square , Broadway , Herald Square metro stop . two great irish pub refill tank around corner refule ! ! coffee morning nice way get morning start fellow guest . lot Europeans local frequent recognize value without fluff cost lot ! ! return recommend anyone travel experience NYC ! ! 
 Oct 15 2007 	 Charming Hotel ! ! ! ! ! ! 	 hotel wolcott charming hotel , locate right heart new york ! ! ! ! stay two friend find perfect base explore city.despite central location hotel nice quiet place retreat enough hustle bustle city ! ! ! ! room great staff helpful ! furthermore free muffin morning ! ! ! ! ! would reccommend hotel anyone ! ! ! ! 
 Oct 11 2007 	 tremendous value ! superb location ... 	 back 4 night stay , say , overall , pay , Walcott great ! yeah sure , be little grubby need update part , expect price ? staff welcome helpful ask upon , room adequate , location second none ! ! ok lift painfully slow , stank something awful hallway - God sake , be spend enough time hotel NY let thing like annoy , be ny right ! ! get street enjoy ! ! bag drop / place tp kip , Walcott perfect ! triple room ( 3 lad rip ! ) great , 2 tv 's , 3 bed , safe , iron board , wardrobe , closet , clean bathroom , etc . - real room complaint shower erratic piece [ -- ] ever , either blisteringly hot , painfully cold , heat wave stay , cold shower actually nice ! price range , good Midtown ! ! not listen really bad review , unlucky absolute snob ! next time , will probably stay away touristy side thing , first second timer , will well get well walcott ! 
 Oct 8 2007 	 Marvellous Hotel 	 stay Wolcott find absolutely perfect . room spacious , clean , quiet . bathrrom clean , shower work fine plenty towel . the Hotel perfectly place , around corner Empire State Building Macys within walk distance Times Square . 
 Oct 6 2007 	 Wonderful Wolcott 	 6 we stay Wolcott New Yorks Tartan week celebration . delightful stay . room adequate , shower warm , complimentary tea , coffee muffin breakfast . staff helpful hotel locker store luggage . ideal late flight home still want explore NYC . centrally locate can not go wrong hotel . 
 Oct 3 2007 	 Wolcott - Problems ! 	 sister stay Wolcott Hotel , West 33rd Street last October . not sure expect since inexpensive actually turn great . reasonable sized room , clean airy - everything need comfortable stay . serve delicious muffin lobby morning , tea coffee - need set we morning long day 's shopping sightseeing ! Maids friendly ( although people work front desk not ) location excellent - everything within walk distance . all happy stay much friend go back March - can not wait ! ! would highly recommend anyone budget , be . ANNA MARIE - CO . WEXFORD - IRELAND . 
 Sep 16 2007 	 Wolcott Wow 	 daughter stay Wolcott hot , steamy week August . purpose ot 5 day stay tour see much could . want hotel near Penn Station since be arrive leave . ( take train Long Island catch flight ) also want safe relatively clean . wolcott fit bill . make reservation ask quiet room location recently remodel room . check , give we room far elevator ! yea . room pretty clean , large bath , air work well . air conditioner hum we sleep every night . able store luggage locker first floor 50 cent room ready . muffin coffee need . would recommend hotel someone want see city - use hotel home base . 's great location price right . 
 Sep 9 2007 	 wonderful ! ! ! elegant ! ! -- Sept 1 2007 	 wife return New York trip stay Wolcott Hotel . though read mixed review previous customer , try -- -and like . hotel lobby do exuberant Rococo décor quite spacious . scene good muffin coffee every morning free newspaper guest . pleasant staff good concierge plus well . room medium sized plenty large enough walk - in closet make sleeping room feel even large . bath small well think clean . ' know hotel ' naysayer travel much Europe even country , hotel large metropolitan area -- -this steal darn nice one . 
 Sep 6 2007 	 lovely place ! 	 great location , friendly service . muffin lobby bonus . 
 Aug 27 2007 	 ok place 	 3 we stay 4 nites triple room , problem bug towel . male staff helpful , elevator small , muffin good . still renovate floor . enjoy deli 's block away convenient food . place busy problem , not afraid stay . would go back new york minute . 
 Aug 23 2007 	 Great Location 	 much enjoy stay . location central everything want see Manhatten . Area seem safe . complimentary muffin coffee add bonus morning ! 
 Aug 22 2007 	 Disappointing experience 	 look place stay NYC last minute . way train Connecticut , see add Amtrak magazine use & quot ; book code & quot ; add would get room $ 169 . call tell room leave could honor coupon ! ! ! nothing add say . since book late ( day ) go room $ 190 still within budget . however , upset find room security lock ! push bed front door security travel alone ( make clear booked reservation , way , tell non - refundable since make last minute . ) also give smoking room , complete ashtray . lastly , air conditioner noisy wear ear cancel headphone bed . air conditioner loud back rows jet liner - even low setting . keep air conditioner room tiny heat quickly New York summer heat . since arrive late ( 9PM ) decide tough complain morning ask sort partial refund . time give apology tell manager arrive 9AM - convenient since business traveler leave early that . I tell would write negative report hotel . not seem care . the reason give hotel 2 star one gentleman desk friendly , convenient Penn Station lobby beautifully restore . 
 Aug 1 2007 	 Loved ! 	 travel friend Wolcott perfect we ! lovely clean room maid service everyday , excellent value money ! helpful staff good , friendly hotel ! fantastic location well , would definitely recommend ! 
