really 	 room spacious although feel bit impersonal 'cause be big , staff make really friendly helpful . desk staff excellent move we room look across hudson ( ? ) river . the location poor , get pricey cab subway times square ( rubbish ) central park ( nice ) area . got good deal hotwire feel decent value choice . 
 Bad 	 family - wife , three boy ( 11 , 8 & amp ; 5 ) - New York Thanksgiving . choose Embassy Suites familiar chain ( ' ve stay hotel Washington DC Monteray Bay ) , frankly , not many hotel comfortably accommodate family five one room . the NYC version Embassy Suites pretty hope . familiar brand , know gig . big room ( well , two actually ) , decent breakfast , free drink evening . promise . on hotel particular , not find room especially date , comment review . find matress bit soft - design simply age ' m sure . not make great night 's sleep . as location , think fine . 's good base Brooklyn ferry south island . 's brisk five minute walk underground , rapid transit midtown attraction . not lazy - need five minute walk comprehensive breakfast ! 
 far can not deliver promise room 	 main reason stay Embassy Suites allegedly offer suite two double bed , mean family two teen fit - save price second room . ( otherwise , hotel end Manhattan , be 25 dollar taxi fare mid - town ) .However , work we first two time stay Embassy Suites Manhattan , past two stay two - bed reservation turn King size bed cot - & quot ; go somewhere else be happy . & quot ; , cot freeze cold flimsy blanket , especially place next window . breakfast buffet ok mob . stand line food , fight table . even table , hostess may try remove chair get coffee , happen we - even though daughter still table . protest , however mildly , might invite torrent sarcasm , protest ( & quot ; Excuse , chair & quot ; ) . much hospitality - problem ? ? ? ? business center : two day row , wait behind bunch kid work .... ' m sure business work . lots kid though , ' ve got wait . suite need work - lamp without knob turn , mildew bathtub , bent towel rack hide towel fall toilet reach , rack bent ..... , get two bed desk , might worth . bring lot patience buffet business center . otherwise , look mid - town . . 
 Nov 16 2008 	 Big Comfy Rooms cheap 	 crazy value dollar . room huge , include free breakfast day ( omlete , pancake , etc ) come free drink 5 - 7pm . not right hapening area meatpacke district around strip , much save take subway taxi . be definately cheap right ground zero construction , go be do . take advantage . 
 Nov 14 2008 	 Great Value comfortable 	 recently stay 6 night suite 1124 truly love stay . travel friend corner suite next door . room great view extreemly comfortable . bed totally comfortable sleep well . friend sleep hide bed think comfortable . find staff helpful cheery . breakfast great , cook order lot choice prepare quickly . business center never busy use say great pay use computer printing stuff . room bit warm though . find hotel clean nicely decorate . room decor look brand new . would definately return NYC , great location . 
 Nov 10 2008 	 dissapointing 	 although hotel great review feel property & quot ; rest 's laurel . & quot ; doormen great , find staff lack enthusiasm warmth , seem stressed go motion job . breakfast dissapointing , fruit look old bruise many item suppose warm buffet stone cold . the airline check kiosk not airline list , go overcrowded overheated business center long wait use computer . the room adequate use update . wallpaper begin peel friend report sofabe uncomfortable . finally , feel safe walk night subway hotel , 's isolate section financial district little foot traffic business hour . 
 Nov 6 2008 	 Gem NYC 	 Major research done select hotel . visit New York week , bring 16 year old daughter , stay Times Square 3 year ago . look value , comfort , location space Embassy Suites tick box ! corner suite , Room 508 . love size room , comfortable bed sofa bed 2 television . everything hand enhance stay . bathroom adequate , robe lovely towels/ toiletry replace daily . hotel bright , clean modern . public area amazing view Hudson . concerned review read breakfast nothing complain . food fresh , plentiful appitising . remove food take room facilitate take - away container readily availableThe staff polite , helpful served smile . come early late breakfast always get table never queue long food . reception area run efficiently , check - in / out go smoothly . door man help direction , advice , cab , case etc . we buy weekly metro card $ 25 , use metro several time . station short walk , take we past Ground Zero , Century 21 , St. Paul 's Church . neighbourhood quiet night safe walk around . walkways river breath - taking . bar restaurant immediately apparant nevertheless . we never try Cinema gym , simply not time 's plus part hotel . we book trip Feb . really disappointed price drop 600 euro July . rang see possible cancel re - book ! ! difference refund immediately . we love Embassy Suites . husband miss hustle bustle Time Square night . overall - a real jem . ! 
 Nov 6 2008 	 great family 	 family 2adult 3Children find large enough room accomodate we always problem . though find hotel fantastic family . near Battery Park hustle bustle Midtown Manhattan great young kid . subway less 5min walk away hop hop double decker tourist bus 5 minute walking distance . Taxis never problem Central Park cost anywhere 20 $ 30 usd . use we work good option . taxi almost always use evening public transport day good way . Breakfast include never problem find table queue . manager drink bonus treat refillable soft drink nibblie charge all . room clean 2 double bed large pull sofa , fresh towel daily tidy room do daily basis . would definately recommend hotel family willing stay hustle bustle midtown . 
 Nov 6 2008 	 shopping break 18th 	 great hotel , minute underground really handy , good breakfast . less expensive suite not see website still nice . excellent shoe shop cinema actuall hotel . free local bus South Street Seaport ( GAP , Footlocker , & amp ; F & lt ; much well 5th Avn busy & gt ; .Staff helpful , free internet plenty taxi outside v cheap ! financial centre across road chemist , GAP , nice chinese . overall great hotel , expensive , quiet good location far anything ! 
 Nov 4 2008 	 would stay 	 return trip New York , three we stay Embassy Suites Hotel Lower Manhattan . would definitely stay ! could fault place . staff friendly professional , room good size spotlessly clean . really think great layout breakfast , plus Manager 's reception every evening . less 10 min walk subway ... never problem ! would definitely stay . 10/10 . 
 Nov 3 2008 	 Fabulous 	 first time stay , upon recomendation friend stay year ago recomendation website . find one single fault Embassy Suites , staff pleasant , friendly willing help anything , consierge really helpful . room spacious , clean beautifully lay . breakfast bonus , selection food complimentary staff helpful pleasant morning . 8th Floor room look office World Financial Centre 4 , leave could see Ground Zero right river . absolutely fantastic . hotel bite away hussle Times Square problem , taxis plentiful area subway short walk away . the slight glich leave hotel head airport , one bell boy seem drum business Limo driver outside give we choice get yellow cab limo , feel slightly pressuried get limo - set price advance fairness limo driver well arrive JFK problem . 
 Oct 27 2008 	 great Manhattan Experience 	 stay Manhattan , stay island will not . be share cost , place stay . plenty room 2 - 4 people . Standard Embassy suite size not bump wall like boutique hotel room city . service good . big breakfast ! ! everything want / need some . I receive complimentary upgrade room , top floor corner look Hudson . wow . right next WFC WTC . subway close , bus close . $ 1000 total 3 night split two way come $ 166 / night /person CHEAP Manhattan . 
 Oct 22 2008 	 ny ? Embassy Suites ! ! ! 	 spend two post - cruise day Embassy Suites Hotel absolutely nothing complain ! pay 275 $ per night ( incl . taxis , breakfast , evening reception ) ; book Hilton website . the breakfast crowede saturday morning staff everything speed service . quality quantity breakfast item perfect . will like location : everything imagine : wholefood store one block away ; cinema , ( good ) italianrestaurant Applebee building . subway two block away ; watertaxi front hotel . everything else already say review . 
 Oct 20 2008 	 enjoyable stay 	 spend four day standard suite find well equip spacious ( Manhattan standard ) .especially welcome excellent breakfast arrangement - buffet cook order - & quot ; happy hour & quot ; ( like three hour , think ) bar every evening . number eat drinking place within walk distance subway ferry far away . we find staff friendly helpful price competitive although jump UN come town . 
 Oct 9 2008 	 Loved Embassy Suites New York 	 ' ve return 2 separate visit Embassy Suites New York . suite 14th floor first time , great - dress gown , umberella suite etc . go Cleveland day return . staff welcome we back , give suite 11th floor ( corner suite , look sideway Statue Liberty great view Hudson River ) . email hotel previously mention 30th wedding anniversary would great upgrade suite surprise husband - reply say would upgrade we free charge riverview suite part stay ) . breakfast great , staff helpful . go couple evening 2 hour free cocktail , great . love location Embassy Suites - go jog early morning along riverfront towards statue liberty - really enjoyable . ( tunnel Towers run year - organise around hotel , special experience - find stayed 2 year ago decide go back take part ) . hotel short walk subway Chambers . 
 Oct 8 2008 	 get much money Embassy Suites ! 	 first , trying find good deal Manhattan Oct 3 - oct 7 , find Hilton / Embassy Suites website well rate travel search engine , like Expedia . secondly , ' ve ever stay NYC , suite $ 249 per night , absolute steal ! believe book least 3 month ahead get good rate . really top cake free morning buffet breakfast free nightly drink snack . nightly snack nachos beef / bean / cheese - enough call dinner . upon arrival , request upgraged room since Hilton Honors member ( never hurt try ) , give we room , 1028 , beautiful view Hudson river ( 10th floor ! ) . stay , try get view . room huge compare hotel city , clean . it be nice separate living area . , care TV LCD . work fine , get chance watch . website 's picture outside hotel must old , tall building condo block hotel 's view hudson river . , try get nw corner hotel Hudson river view . across street , leave hotel , begin beautiful walkway Battery Park , right along Hudson river . walkway safe beautifully light , beautifully landscape tree plant , plenty bench relax . dock yacht incredible see . next , people complain take 15 minute walk subway , maybe NYC may , pay $ 400 + stay close sightseeing sight . people lot walk visit NYC , matter stay . take we 10 minute walk subway , enjoy scenery . be stay hotel plan going uptown every day , thie subway cheap way go . sure get right trains- uptown Central Park Times Square- downtown World Trade Center Embassy Suites . find subways safe conveniently locate Manhattan . Little Italy China Town great site see , believe even get different subway train , not want walk . even walk far , we . overall , think hotel bargain emenitie provide . hotel bargain NYC , would recommend anyone . 
 Oct 5 2008 	 home away home 	 go Embassy 50th nurse reunion stay reunion . love hotel . staff friendly helpful . welcome place . 5 us group ( group also ) could not get cab 5 find limos van ready waiting take we want go little Italy $ 5 ! driver pleasant ( nursing student ) . room spacious clean . sofa bed appear new linen high end . extra blanket pillow room . highlight hotel one thing make special economic time aside quiet wonderful breakfast come room . serve early morning till 10:30 selection wonderful . make order omelet , pastry , pancake make front , juice , fruit , bacon , sausage , oatmeal yogurt . not know . staff always smile kind word dinner cocktail hour unlimited drink snack . hotel great . recommmend anyone . can not wait go back . 
 Oct 5 2008 	 one avoid - disappointing ` ` premium '' hotel . 	 Booked hotel part special treat once - in - a - lifetime holiday mother . request book couch make bed would use room sleep . arrive hotel tell someone attend sofabe . someone arrive 20 minute later , unfold sofa bed leave . point 4 day stay ever get pillow duvet - end use bed master bedroom . the bed also fold away every morning , mean every night fight unfold again . the kitchenette joke , kettle , tea , milk , fridge minibar . when ask reception tea milk tell contact room service - $ 21 pint milk ! ! lounge area tiny , old tv , desk phone aformentione sofa . there also internet cable . later . the bedroom pretty small , large bed wardrobe basically fill it . contain within wardrobe stain iron board break iron - nice ! bathroom fine , good pressure shower nice towel replace every day . having settle , need use internet . plug laptop discover hotel charge $ 350 + per night nerve charge $ 20 one day 's internet . I ' ve stay $ 30 day inn hotel broadband free - decade place stick , net not luxury anymore , 's necessity . then decide go dinner , 's mexican restaraunt attach hotel - avoid cost , 40 minute seat , still not even drink order take place quiet . you be well head uptown . speak head uptown , subway good 15 minute walk away , across west side highway side WTC site - mean will end spending taxi save get hotel midtown . it also make tired foot walk back long day walk around Manhattan . avoid concierge well , ask get price ticket Chicago despite openly tell cover price $ 103ea , expect pay $ 160ea - sure planet ? go tkts instead pay $ 65eaBreakfast turn fantastic however , great choice food , plenty place sit ( surprisingly place ) charge . I love New York City regular visitor , however safely say stay , literally nothing ( apart breakfast ) good hotel . entire purpose seem rip many people much money possible . I believe Embassy Suites part Hilton chain - ashamed . do favour stay midtown hotel , might cost little per night , will save money long run nice stay boot . 
 Oct 5 2008 	 Brilliant base 	 place great - perfect New York base . stay 9 day get hitch New York City area perfect . quiet , yet near everything . walk 3 block near subway not issue pedestrian crossing everywhere . harbour view room sooo worth money , view morning night fabulous harbour walk near awesome . free breakfast great good quality , nightly manager reception . room excellent huge ( especially consider size average hotel room NYC ! ) housekeeping good , make sure everything keep clean tidy . luxurious hotel , understate decor , good quality service offering , location comfortable bed good linen make one good place stay NYC . certainly stay come back NYC . 
 Sep 30 2008 	 good experience 	 , 23 we , come NYC celebrate special birthday , hotel give we 5 star treatment . 5 room room clean , spacious comfortable . checkin breeze , bellman nice friendly . gift deliver room Morris kind make delivery special . hostess breakfast buffet surprised room appetizer gift one evening celebration birthday , truly enjoy treat evening theater . breakfast buffet good well manager 's special , great time relax go . eat Chevy 's also good . would recommend hotel stay . thank Embassy Suites great experience ! 
 Sep 23 2008 	 view 	 Excellent holiday . fortunate book room 8th floor view albeit build Irish Memorial . hotel advertise waterfront position brochure website . however correct building front hotel . enquire concierge long building tell 5 year . incorrect advertising true description people want book waterfront hotel disappoint get request . shame building view fabulous waterfront . hotel update website . apart everything else great . 
 Sep 23 2008 	 Disappointed ` ` City View '' 	 book Embassy Suites travel baby need separate living area bedroom could put sleep . room adequate quite nicely furnish . live area window - move bedroom door bedroom window . location handy touristy downtown thing ( Ground Zero , Century 21 , South St Seaport , Statue Liberty , Wall St etc etc ) . significant walk subway . book suite online upgrade ( think extra $ 30 night ) suite & quot ; city view & quot ; rather & quot ; river view & quot ; request high level room available . extremely disappointed & quot ; city view & quot ; desolate outlook onto building across street . feel term & quot ; city view & quot ; extremely misleading would prefer river view . I feel price high suite ( think $ 330 per night ) , be get Manhattan . 
 Sep 21 2008 	 great place 	 hotel pristine condition good . not like plastic plate breakfast . say great hotel . upgrade executive suite fabulous . breakfast good . manager 's reception good wine serve tumbler wine glass ! - free food available . front desk helpful concierge could not . noisy neighbour one night call front dek contact security sort within minute . construction opposite day . close Battery Park safe pleasant walk along river . go Ellis Island Statue Liberty - ticket , get free tour ranger location . admittance museum Statue Liberty limit prebooked . Financial Centre Vesey Street Au Mandarin - Chinese die ! ! ! ! go escalator rear hotel atrium , turn right , go across road Financial Centre leave . take available reheat microwave like . good deli Chambers / Hudson . liquor store @ 90 Hudson . not USE LIMOUSINES call bell boy . meter try rip . one want $ 60 transfer La Guardia . cab fare arrival $ 31 + tip = $ 35 , limousine driver get $ 35 tip lot argue . also arrival beware ' shark ' prowl airport get vehicle overcharge . taxi despatcher outside airport - go tip $ 1 
 Sep 17 2008 	 attention DETAIL 	 native NYer . booked room overnight stay . get point : light bulb desk lamp ; mini bar empty dirty . view build construction across way front door open vacuum storage area . one Robe . ( book two people ) . tv 's outdated . drawer wardrobe did'nt close properly . Breakfast Cruise ship buffet type . never give voucher drink even tell . do not take room 1101 ! walk back late night area empty well subway stop . 
 Sep 10 2008 	 great Stay 	 great time . be really nice look hotel . thing be go travel lot throughout city take subway , be go little walk one station . besides , great would stay . 
 Aug 27 2008 	 Perfect Early Bird 's Nest 	 excellent stay Embassy Suites 9 night August . ( ) early bird holiday , suit we fine . could use Gym 5.30 , shower , dress back breakfast 7.30 begin get congest ( , warn prefer later begin day ) .bee little journey away mania midtown also suit we fresher air breeze river welcome relief heat August . staff professional courteous time room clean good standard . we would definitely choose stay next trip . 
 Aug 22 2008 	 Decor little outdated Hotel clean 	 stay hotel husband 1 - yr old long weekend mid - August 2008 . although furnishing somewhat outdate , hotel room clean . important newly walk 1 - yr old like roll around floor . bed comfortable , linen crisp . 15th floor ( Room 1509 ) look across Vesey Street . literally street construction noise , although cab truck constantly drive street . two - room standard suite perfect put baby normal bedtime allow we sit room watch tv without ultra quiet . there lot construction go rebuild WTC , pe walkways west side highway lot sign route right direction . multiple subway line close ( & lt ; 10 min walk ) , well various financial district attraction . the hotel conveniently locate walkway Battery Park directly across Irish Hunger Memorial great playground kid ( 0 - 5 + yrs old ) . walk way tip Manhattan see Statue Liberty one morning . walk along Hudson River path beautiful , well maintain highly traffic walker , jogger , bike stroller . the continental breakfast fantastic . issue long line b / c be early baby . many option , could not believe . standard continental breakfast item like fresh fruit , cereal , bread / muffin , yogurt ; , hot food line could order bacon , egg , sausage , pancake , etc . could also use paper / plastic to - go container take snack away later . practically unheard day eat cafeteria eatery . bus boy nice helpful get high chair , etc little kid . free evening cocktail reception location , breakfast area rope bar open . get voucher check drink breakfast . least 4 drink voucher night . hotel generous say least . I would definitely stay ESH NYC recommend friend whether travel young kid ( two - room concept obviously great kid ) . 
 Aug 20 2008 	 get pay - location room perk ... nice ! 	 pricey room , check realized:1 . hotel fantastic2 . room huge3 . breakfast family evening drink included4 . hotel 1 - 2 block Ground Zerowe extremely pleased . will stay come family / kid . 
 Aug 17 2008 	 brilliant hotel 	 ok , stay ago , think new york would add little review hotel too . we book hotel last minute great deal New year 2004/2005 NYC.We arrive quite late evening wait allocate group 2 room , boy worth wait ! 7 us split room 3 room 4 , 4 share 2 bed we 3 bed sofa ! concierge take bag tip , first time be not sure go , cope ! living area , sink.kitchen area , bathroom large bedroom 2 large double bed ! living area consist doble sofa bed , large tv cabinet , table 4 people sink area safe tuck undernath . also tea coffee make facility . the bathroom full size bath , shower , sink toilet . fresh towle give daily bathroom always spotless . the bedroom 2 large double wardrobe tv cabinet middle large tv , 2 large double bed . look office block lean right angle , see water ! hotel always clean , room lovely , staff helpful . there buffet breakfast morning , lovely , everything could imagine . eat well first meal day , provide lot fuel shopping sightseeing ! ! hotel distance main hub ny , short taxi away , cost much , maybe $ 10 most . would stay agine , definately , would invite everyone know stay ! ! ! 
 Aug 12 2008 	 Nice Hotel Families 	 family stay Embassy Suites - New York City August 1 - 4 , 2008 . book hotel room suite . travel two teen - age boy extra room great ! hotel clean staff quite friendly . first check wait quite long time get luggage busy people check . apologize wait eventually get luggage . free breakfast great however crowd prepared wait 5 - 10 minute omlette sometimes table . enjoy mexican restaurant ( Chevy 's ) hotel . salsa fresh margarita 's also good . southwest know difference good bad mexican . would definitely stay hotel . locate financial district , quite crowded area . we stay Time Square area Central Park area nice change hustle bustle city . close subway also many good restaurant . walk Little Italy , Soho , Chinatown . take cab Broadway 15.00 . 
 Aug 4 2008 	 impressed 	 group 2 couple book embassy suite due suite concept . consider cost saving 2 couple stay one suite complain much next time stay elsewherethe suite outdate old tv early mid 90 decor location convenient breakfast good way start long day shopping sight seeing . spend much time room ok plan spend time room would sorely dissapointe . that say clean service decent . 
 Aug 4 2008 	 Brilliant New York City Hotel Families . 	 stay Embassy Suites January 2 night prior join cruise great . we travel two year old seperate bedroom living room brilliant could put son sleep stay watch film whatever . the location lovely , enjoy able go straight water walk Castle Clinton oneday next five minute walk across century 21 shopping . the onsite restaurant make life really easy we could get takeout worry son would get tetchy jetlag restaurant . applebee really good well price . think pay $ 18 enormous meal we ! good value . the breakfast morning excellent , lot variety choice . fresh pancake egg . also little box could fill danish , etc could little snack go , brilliant idea ! small gift shop sell sodas snack right lobby next free internet stand . desk staff helpful concierge excellent . book we car right size right time take we across Brooklyn . very clean pleasant stay . especially love plate glass window front mean could watch arrival Cunard Ships early one morning without get go cold day ! would stay ? definitely . 
 Jul 29 2008 	 recommend Embassy Suites 	 stay 4 night early July Embassy Suites . one property would accommodate family 6 . hotel nice , appreciate convenience breakfast . get early start every morning , not much problem find seat , hear get crowd . disappoint refrigerator could use ... mini - bar charge automatically try remove anything . love Battery Park area ... walk path Statue Liberty ferry beautifully landscape . , playground nice . location along water overall nice quiet NYC compare Times Square area . use subway , little difficult find close station ( partly due construction . ) overall , great place we , probably choose stay return NYC someday . 
 Jul 23 2008 	 great nice hotel 	 king suite ( stay 4 ) 9th floor . room big clean , view river nice well . staff friendly . breakfast super ! 2 issue :1 . location 10 min walk tube.2 . come brekfast 8:45 ! ! ! NY wait loooooooooooong . enjoy ! 
 Jul 23 2008 	 Good Hotel great location ... 	 stay Embassy Suites Wife 2 child ( age 13 & amp ; 10 ) July 10 , 2008 July 12 , 2008 . stay room 1225 . stay use HHonors point . hotel great shape . arrive around 2 pm , check - in quick . everyone work hotel friendly . overall pleased hotel would recommend other . location : hotel excellent location tour low Manhattan tour Battery Park . room : hotel room nice , coffee maker , microwave , refrigerator , little sink . tv pay per view movie , Showtime . 40 channel . room large enough comfortably accomodate four we . BATHROOM : bathroom standard , mostly clean . little " mildew " type stuff tub wall meet tub . tub clean . water pressure good hot . light shower / tub nice . dining : manager reception good : free drink light food . free breakfast good . consist standard breakfast fare , include : cereal , muffin , donut , toast , bagel , fruit , yogurt , oatmeal , scramble egg , potato , bacon , sausage , grit , french toast & amp ; waffle , & amp ; make order omelet ' . 
 Jul 19 2008 	 terrible 	 unfortunately say one bad hotel ever stay at . although name suggest room large desperate need upgrading . second floor mean every night woken noise either street clean construction sleep ear plug . the breakfast worst ever see Hotel , one show table , service ever time break scrum people get food take long find table food cold . business Financial district location good anywhere near standard expect business Hotel , Hotel also extremely expensive offer save company money stay Holiday Inn , accommodation could not bad might get brownie point cost saving ethos ... 
 Jul 18 2008 	 really good value - especially kid 	 happy choose property . slightly contemporary motif , vs embassy 's . nice decor . helpful staff . location important think . close financial center virtually right water . also , right next world trade center site . want see thing close times square Rock , may want stay close -- prepare deal price noise . embassy , need walk bit close subway station -- several stop get times square city park area . fine , give value quiet . still , good deal hot breakfast -- pretty good -- manager special drink snack end day get back sight seeing . 
 Jul 16 2008 	 Great Place stay 	 Embassy Suite Hotel expect - Excellent . room hotel usual great place stay - good service - clean - friendly - etc , concern walk around area . think Financial District night might scary - . walk around area , subway problem . problem return subway 1:00 pm Broadway Show first night make wrong exit subway . walk City Hall area - lose one would help . ask policeman - speak break English know Hotel could direct we , flagged taxi address would help . last able flag another taxi really happy small fare take we hotel . other - stay great . would recommend New York ES everyone . 
 Jul 9 2008 	 Great Base location ny trip ! 	 recently return trip pay homage Yankee Stadium . home base Embassy Suites Hotel . find room clean , bed comfortable , lot room move around . 3 day eat breakfast hotel 2 3 day . can not say food great experience . buffet line cook order line . line long table seem lay well accommodate traffic everyone seem run . many people trying eat time peruse selection , see something like - well grab 'cause get back line . quality food average . nothing great . base average rating one staff - concierge work name Joseph . must email 50 time prior arrival , always answer question promptly possible never encounter & quot ; ' m busy & quot ; attitude . full suggestion get . arrange 4th July cruise Shearwater 100 year old yacht , great time - worth look . hotel locate Hudson river right Battery Park . battery park great place start , lot bench room sit figure day , sit watch boat statue liberty . hotel also walk distance Ground Zero honor fall tower . Firestation Station 10 right across street . go buy t - shirt , profit go widow fund . highlight trip Yankee Stadium , Yanks beat Red Sox make day . ( see pic ) .I upstate NY originally husband Chicago - typical NY ' ker snob attitude , even say & quot ; everything hear NY prove wrong & quot ; people great city ! ride subway not bad , fairly easy get we go . 
 Jul 7 2008 	 Loved Embassy Suites NYC 	 waterfront two room suite Manhattan free breakfast free drink every night ? seem good true , be . stay Christmas 2004 get ridiculously cheap rate , think $ 150 - surely be much . also stay Doubletree Times Square HH point - would never pay hotel rate - much prefer Embassy Suites . sure , be low Manhattan far away tourist thing - near subway station several block away ... prepare walk NYC get around use subway . , will see 's pretty easy . NYC definitely place timid anyway . free breakfast standard , like ES hotel - one lovely view street lot window . 's also ES ' ve stayed check room number enter - pretty lax checking ' ve stay dozen place . room typical ES although maybe bit small . minibar unwelcome addition try put jam soda have buy elsewhere ( refrigerator ) innocent & quot ; ding & quot ; & quot ; ding & quot ; come every attempt . course , time jostle anything , charge minibar item - come bill easily explain happen - not even check . get feel ' m one happen ! 
 Jun 29 2008 	 great value NYC 	 NY two night business early year . want good value near battery park . embassy suite turn really good find . complaint location room particular not lend good insulation room find middle night bit cold . convenient hotel work need do financial district . right next shop movie theater World Trade Center site . outrageous price charge NY hotel great deal . find room impeccably clean free breakfast fine . 
 Jun 26 2008 	 quiet clean across river 	 find quiet room Manhattan difficult , since 's busy city . however , tuck away quiet street across river , will find Embassy Suites . come NJ , could easily take train home within hour . prefer stay Embassy , since 's clean , quiet , spacious . manager 's reception great , along breakfast . huge movie theater within build well , make convenient , especially not feel like leave hotel . keep mind hotel downtown , away touristy midtown / Times Square area . block away former World Trade Center site , catch subway uptown . Lower Manhattan put close South Street Seaport Statue Liberty ferry . course , beautiful promenade walkway across street , follow river . take Battery Park City head south , end Statue Liberty ferry . so not mind stay slightly beat path be visit Broadway midtown , check Embassy Suites . will get quiet night 's sleep clean , comfortable , safe environment . ( also , check Roy 's restaurant , incredible hawaiian restaurant , locate Marriott Financial center block away ) . 
 Jun 19 2008 	 great experience 	 love stay . arrive bellman right help we luggage ( lot ) . service excellent . ask could room view upgrade we . would normally extra charge waive . breakfast good . little crowded selection great - pancake , omlette , hot breakfast item . room , lobby , everything spotless clean . book expedia receive amazing rate - lot low quote rate hotel website . agree traveler - need taxi subway get midtown , much ride . walk distance ground zero , right river , amazing view . I recommend hotel anyone . 
 Jun 9 2008 	 great stay NYC ! ! ! wonderful Suite Lots Space ! ! 	 second time ' ve stay hotel last year quality service consistent ! room clean spacious ! breakfast nightly free drink manager 's reception HUGE plus ! ! definitely recommend anyone look exceptional value , great space nice clean room ! ! 
 Jun 8 2008 	 Amazing Experience Hotel ' ve ever ! ! ! 	 read several review ( 50 ) place stay NYC , happy see one highly rate . take chance book room - first time NYC . stay ( June 7th ) .My flight long taxi ride airport exhaust , refreshing greet wonderful staff upon arrival . hotel lobby spotless staff extremely courteous professional . give fresh fruit upon check - in treat like prefer guest ! room beautifully appoint , extremely clean nice cool . great view Harbor well . order room service - though slightly expensive - person deliver food right top thing food excellently prepare plate . think something wrong AC one night stay call front desk . facility guy within minute , kind , professional even though error - not know work AC correctly - patient understanding . receive two phone call Guest Services Dining Manager - something never happen - make sure experience positive one everything need . I participate free breakfast manager 's reception . however , nice bonus ! Chevy 's cool mexican bar locate downstairs restaurant / movie theater right across street property . I zero complaint hotel . fabulous experience recommend place everyone know . rate decent , hotel beautiful , room excellent service superior way around . 
 Jun 7 2008 	 Great Value NYC 	 Embassy Suites hotel great value money stay New York City . although room rate higher stay 2003 , still bargain since price hotel city really go whole . hotel locate upscale Battery Park City section low Manhattan , block World Trade Center site . the Chambers Street subway station 3 block away , catch local e line subway service World Trade Center site block away . hotel gorgious . almost room overlook large 20 story atrium , room least 2 room suite , great family child need bit space . separate bedroom 1 2 bed , living room comfy chairs sleeper sofa . also wet bar microwave refrigerator . room actually large many Manhattan studio apartment . the breakfast bountiful , feature make order omelette hot breakfast item , aswell fresh fruit , yogurt cereal . also evening Manager 's Reception , complimentary alcoholic non - alcoholic drink serve , well snack . hotel great choice want get money travel NYC . location excellent , although must take subway cab get midtown ; subway actually one highlight trip opinion . also quieter hustle bustle find Midtown . disappoint stay . 
 Jun 2 2008 	 Excellent Hotel 	 probably one good , good , hotel ever stay . view Hudson wonderful . hotel walk distance Battery Park river , see Statue Liberty ... small ... see . Ground Zero view room window bittersweet feeling . area financial district Manhattan safe . bar downstair call Chevys excellent food friendly bartender . room clean bed comfortable . Embassy Suites , breakfast incredible . manager 's reception nice . also killer shoe store place well . word advice .... book third party discount site Priceline , Orbitz , hotels.com , etc ... save quite bit money ... however , attempt book extra two night hotel hotel ... would not believe astronomical price quote we . definitely book early online good price . overall .... excellent hotel wonderful memory . 
 May 22 2008 	 nice modern hotel Lower Manhattan 	 buddy quick weekend NYC stay . modern hotel , nice furnishing . perfect 3 guy , since two get bed third get pullout couch . unlike reviewer , not really notice noise adjoining room . breakfast area get little crowded morning , get omelet order , pancake available addition traditional buffet layout bread , bacon , sausage , cereal , etc . friendly , helpful service ; room service server , front desk staff , bell staff doorman proficient without overbear . for family NYC theater museum , location low Manhattan may turnoff . however , short walk subway station , quick ride Midtown . also , short walk Battery Park , make Statue Liberty little accessible . make Midtown location , not take long . consider price NYC hotel , suite good bargain , one well worth consider . 
 May 12 2008 	 Breakfast great . 	 stay Embassy Suites one night quick trip see Yankees play . book JetBlue vacation happy result . hotel locate outstanding location two day city . would say 100 yard World Trade Center Site quick walk Subway ( World Trade Center ) close path.breakfast outstanding ton choice hot . omlet cook order also yogurt , pastry choice pancake , cereal . room clean large . even Sofa make bed room walk around room . the staff willing hold baggage check $ 2 bag take see Statue Liberty Ellis Island catch 7 pm plane . 
 May 11 2008 	 Great new york hotel -a real find . 	 great value , great service , great space ! stay superior suite cost we £ 800 family 4 6 night . room comfortable spacious keep immaculately clean . nothing much trouble staff without exception . great include breakfast ( could bit scrum peak time food hot fresh plentiful . we family like comfort not disappoint . there restaurant hotel breakfast seek pizzeria ( also serve salad pasta ) round back hotel . and yes bit trek subway take 10 min max . overall great especially family whose child yet old enough room . Hilary Bedfordshire 
 May 10 2008 	 want leave 	 husband 8 night hotel want leave . this first visit ny , location great , enjoy come back quiter location hustle buslte NY.We stay hotel pope town , lot street block morning ground zero , bother we go back room watch service tv . there great restaurant financial area , love walk around area along river , particularly night great veiw New Jersey Statue Liberty . the hotel staff extremely freindly , free breakfast great bonus , happy hour , take advantage night : - ) husband drink much voucher , ( note one self do not helicopter ride book next morning ) get early breakfast though crow noisy , much morning person good time , dislike noise . I agree wall thin one night wake couple room next door ( make sex City ) . think funny . we veiw window construction site , bother hotel room long enough gaze window , hardly notice noise , 16th floor . our friend stay right middle Times Square wish book Embasy Suites , location quieter . would love come back 
 May 9 2008 	 super 	 large room ; well clean . excellent breakfast.frendly staff 
