great 	 arrive Hotel early afternoon decide move previously book Hotel . staff great find we room 19th Floor view Nob Hill partly Bay . rate good value include Executive Lounge access 2 day . the public area ground floor large well furnished . our room King large certainly adequate , view mention quite good downtown San Francisco . room well furnish , almost new , clean smallish bathroom . suffer somewhat noise room , bathroom anything go bedroom . the whole Hotel seem well adapt 4 star accomodation . every member Staff come across warm helpful , Bar Staff , Door Staff Reception Staff . the Hotel 5 min walk Union Square , one block away corner Powell Street , therefore easy access Cable Cars . could walk Market Street Trolley bus 15 min easy . never use Bart say far be . we dinner Hotel , try breakfast Executive lounge find Lori 's Diner opposite side Powell Street preferred choice . I know not pay Exec Lounge , probably good job , stay many similar Hotels Marriott chain chain , find Executive lounge poor value . open breakfast evening , yes get access computer internet free ( internet otherwise quite expensive ) , breakfast complimentry wonderful selection available , evening snack small size small quantity yes could free soft drink coffee glass wine come cost $ 8 per glass . we use bar evening , quite unusually , seem relax great attentive staff . there parking valet parking available hotel not use , not know cost . overall , excellant , 4 star accommodation good rate close popular part San Francisco . to get airport end stay , private limo hire ( Town Car , call ) $ 38 plus tip . take 30 min . 
 Jan 19 2009 	 Outstanding hotel - good bargain 4 + star SF - Enjoy 	 stay hotel Crown Plaza . location absolutely well - 1 block Union Squuare .. rumor exterior lobby renovation complete , reflagge Union Square Marriott . interior room renovation complete qualtiy outstanding . get rate probably abpout 1/3 pay Marriott flag go easily 50 - 75 % comaparable quality hotel area . front building renovate 's board warning noise . however , 20th floor four day stay hear noise detour around work . 
 Jan 14 2009 	 great location totally woth money 	 staid family 3 night . great location walk distance Union Square . Cable Car stop right next hotel . friendly staff , awesome room ( new renovate - formerly Crown Plaza ) suprisingly really silent . staid lot SF hotel , like Hilton etc . - good 4star hotel far ! 
 Dec 30 2008 	 wonderful hotel affordable great location 	 book hotel stay 4 night 2 month ahead get really good deal Travelocity 88 $ per night . hotel renovate , can not really see facade . , soon enter , perfect . 's beautifully maintain ( everything brand new ) . check late night staff courteous helpful . room service 24 hour , 's thing need watch . ask get room 19th floor- away street noise , pretty good view . glimpse bay even . high floor even well view still renovation . bathroom clean housekeeping excellent . not business center , computer attach printer print boarding pass check online - 's good enough ! 's right corner Powell Sutter - cable car line . getting stop much well walk union square line long . starbuck right opposite hotel . Walgreen Loris diner right across street . everything could need block away . repeat , location perfect ! sorry , forgot take pic room . bathroom toiletries bath body work . reception provide map direction place would want visit . chinatown 2 block away . union square block away . would recommend drive parking SF cost high public transport readily available . place cab drive away . 
 Dec 21 2008 	 confortable room -- expensive parking 	 single king room 8th floor large , quiet , comfortable coffee maker refrigerator . room clean newly renovate . bed sheet comfortable , towel rough . stay Saturday night , hear zero construction noise . room large desk comfortable office chair , small light one side provide adequate illumination . I think room rate $ 134 plus tax bargain area , park $ 46 plus $ 6 tax . nearby Sutter Stockton garage ( $ 33.50 ) option , especially long stay . 
 Nov 28 2008 	 great place stay 	 Stayed Hotel 480 2 night . great location . the room newly remodel everything new clean . the staff nice helpful . the couple thing wish coffee table refrigerator room . I would stay hotel totally recommend stay . 
 Nov 21 2008 	 Fantastic Hotel 	 look reasonably - price , safe hotel close . exceed expectation . believe renovated room , new room smell . room big modern , nicely decorate . bathroom small plenty shelve stuff , though could use towel hook . 18th floor view great , bit scary looking . work bother we since day . could hear noise outside bad , expect stay city . the staff nice helpful , call prior check - in question courteous . the location convenient safe , run colorful character one bother we . walgreen open 24 hour day great since luggage delay . ton small large restaurant cafe within block two . bar hotel empty walk , bit dark view . find flaw final day go check email computer guest 's use . would nice would keep stay . 
 Nov 19 2008 	 Engagement Night 	 spend night engagement Hotel 480 staff go way make special . help arrange champagne rose waiting room . give we amazing suite nicely furnish beautiful view . the hotel great location - block Union Square . close restaurant theater district . extremely impressed hotel value . live San Francisco not hear hotel reserve room online . reason , seem slip radar . well , see picture future upgrade go make hotel even well ' m sure go get notice then . definitely would recommend hotel . 
 Nov 16 2008 	 Nice Room Friendly Staff Great Location 	 stay one remodel room long weekend ( # 1105 ) . quiet . staff helpful . location convenient Union Square / Powell street shopping , good rate Travelocity . yes , not full hotel restaurant option remodeling . not miss bit option area . would stay . 
 Oct 24 2008 	 mundane good location 	 really good location 100 m Union Square beside cable car line . Apart hotel currently renovate may help hotel , mundane . everything avergae- check , receptionist standard room . would nice room tea coffee facility . stay , would recommend ask room high floor order decent view . 
 Oct 15 2008 	 Excellent ! 	 Loved hotel , staff door front desk friendly . orginally give room 2 bed book king room . immediately send someone take we luggage new room amazing view ! excellent location , everything right . Loris diner across street yummy ! also Walgreens across street ... handy ! complaint stay ! enjoy ! 
 Oct 12 2008 	 Great Hotel 	 stay great hotel , Union Square San Francisco end September . hotel remodelle , shroud scaffold miss restaurant ( hence 4 star ) , staff welcoming , location excellent . view . room 29th floor face across city , give panoramic view bay . room little date , bed comforatble new high quality linen nice smellie bathroom . the hotel excellent fitness room . we skip breakfast hotel go Starbucks bagel place road considerably cheap . Union Square definately place stay tourist visit city . close shop restaurant , great evening . hotel right cable car stop go attraction bay . 
 Oct 9 2008 	 price good average stay poor front desk service though 	 husband travel frequently SF book 480 week receive good review Trip Advisor get good deal . location great , block Union Square along Powell cable car line . we first put renovated room 8th floor , face Sutter nearly corner Powell . room good size king bed , sit area , great desk flatscreen TV , nice sized bathroom ( tub - shower combo ) . bed comfortable ! renovate room look like new Marriott Courtyards - one staff member tell we may become Courtyard point . unfortunately , street noise night ( Saturday ) awful . sound like window wide open room . honk not muffle , could sing along music loud car , actually hear people 's conversation street ! get times check window make sure close - . ' ve stay many large city many property around Union Square never problem . ' m sure issue eventually fix renos - right be work facade building look like glass window thin single pane ? rate , next morning - Sunday - head front desk request room change . first woman talk helpful assure we could move would like wait noon , people would check room would available . mention would good ready move ( i.e. , packed ) come back . when arrive noon though - bag pack - another woman behind desk , old asian lady . beginning not appear want help we even take time listen . hear much & quot ; & quot ; , & quot ; not know & quot ; , & quot ; can not ... & quot ; one word answer explanation first minute conversation . all want simple move quieter room , something not problem hotel big 480 ( particularly Sunday , many people check ) . not look big room , room view , even necessarily renovate room . something little quieter ! could achieve put we side building perhaps even move we floor . attitude would think ask moon star though . we finally get agree would LIKELY able move we would leave bag concierge come back person check hour - guarantee . needless say put bit kink sightseeing plan day point happy make headway woman . we eventually move - small room side building floor . room construction go around day ( somewhat inconvenient , particularly start glue - smell tile work one morning 4 ) . quiet night , look for . however , complete lack customer service willingness accommodate . time ' ve request move hotel - Grand Hyatt DFW Airport - happen within minute come room personally bring luggage new room ! experience early weeklong stay definitely sour bit hotel . Physically 's nice property though nice reno complete . still finish touch add - stopper sink one room not work , bathroom door pretty sticky , full length mirror one room , mini fridge yet , etc - continue quite bit rather noisy work day ( apparently be behind schedule ) .We find staff - particularly bellman , valet , clean staff - friendly accommodate . colleague husband 's arrive later week treat well front desk staff . even upgrade good - sized suite view Fisherman 's Wharf . but overall would not go way stay , unless offer good rate . many great hotel area ! 
 Oct 7 2008 	 excellent stay 	 end stay hotel need room week short notice - one sight - unseen booking . the hotel nice . construction go - never intrusive , never problem . find staff 50/50 nice helpful - snotty superior . lady bartender avoid whenever possible . I room 27th floor excellent view towards Coit Tower . room large , well appoint , bed wonderful . shower nice - shower head high enough ( ' m 6 ' 4 & quot ; ) . housekeeping crew keep room immaculate , seem pop proper time straighten thing . negative would juggle temperature keep constant . the hotel convenient - walk distance Moscone Center , two block Chinatown , quite bit reasonable dining within easy walk distance . if ever need stay area - have certainly go back Hotel 480 . 
 Sep 27 2008 	 Loved Stay Hotel 480 	 stay Hotel 480 2008 Oracle Open World conference . check desk personnel welcoming , room great ! hotel undergo major renovation . think may first one stay room renovate . fact still work room floor . room large bright . window fill one wall . furnishing nice , great color ! bathroom well light spacious enough . bed pillow - comfortable . odd thing lack full length mirror . , $ 10 / day internet service bit steep . Walgreen be across street , make several trip water , diet coke forget item . would definitely recommend hotel , would love stay . 
 Sep 26 2008 	 rip - off though heart comfy bed . 	 several night inn motel road trip , ready sleep nice fluffy bed equally fluffy pillow duvet . hotel 480 disappoint . check - in breeze , staff extremely courteous . location make easy walk almost everywhere want go , great , want drive SF ? complaint experience ; fact , would whole - heartedly recommend anyone ... , anyone deep pocket . internet access $ 10 per day , park approximately $ 50 day taxis . , ' m LA ' m use pay premium price park mandatory valet , $ 50 sticker shock , even . end , everything add almost $ 300 night room three - star hotel . good experience , good . 
 Sep 21 2008 	 good sized room location shame building work ! ! 	 family stay Hotel 480 3 night , book 2 separate room , upon arrival could see building work take place externally , check mention reception work note leave room state work would happen 9 am 5 pm . also although check - in 3 pm 1 room ready hour ! compensation building work 20 % diner across road first think great get Map area find anyone could get 20 % not feel satisfied . overall though room good size well equip , stay 23rd floor face towards Fisherman 's Wharf great view . although build work happen much day , think twice hear drilling . wish inform prior arrival . our overall satisfaction good well hotel work complete . 
 Sep 15 2008 	 great value s.f . 	 great place stay . ongoing construction , ( scaffold ouside building ) , bargain rate area . ( $ 89 ) many hotel area $ 200+.this right cable car route . just block Grant street entrance chinatown . stayed 10th floor . the room newly remodel nice . fridge microwave . buy muni pass across street walgreen allow unlimited bus cable car ride . 
 Sep 14 2008 	 great hotel great price ! 	 go San Fran late summer family vacation , great time ! other state , hotel 5 block walk slight hill BART station . stay Hotel 480 Sunday Wednesday , downtown car , BART , muni cable car provide great access wherever want go . hotel undergo rennovation stay , time notice noise 9 5 , noticed get elevator . room 2101 2102 , great little & quot ; alcove & quot ; shut two room main hallway . private . walgreen across street sell pass cable car , purchase whatever forgot pack ! eat Sears , 1 block steep Powell Street Sontano 's Grill , great happy hour , Roxanne 's Cafe great pasta . never eat hotel ; however , speak concierge restaurant choice Napa , chef help give recommendation downtown SanFran Napa area . Thursday Friday rent car drive Napa area ( stay American Canyon ) also nice get city . Muir Woods seem & quot ; cleanse & quot ; we noice , hustle bustle city . get chance , go Hurley 's restaurant Yountville , family - own restaurant great heated outdoor patio , good food great ambiance . also eat Cole 's Chop House Napa , good food well ala carte bit pricey . two 50 yr old two 21 year old , & quot ; favorite day & quot ; -- Alcatraz , Bike Bridge ( ' ve get , great lunch picturesque Sauscilito ! ) , Muir Woods . definitely worth return trip ! 
 Sep 2 2008 	 Fantastic Hotel 	 stay 5 night 28th Floor Corner Jr Suite . large window overlook city bay . room clean comfortable arrive quiet 2 story top . hotel go thru transitional period convert Marriott site construction issue we all . booked room thru Priceline save hundred hotel site . hotel 480 close BART right Powell Cable car line . check Piraat Pizzeria Sutter 600 block amazing pizza , Sears , 1/2 block Powell great food can not go wrong . the good breakfast San Fran ( many accolade ) Mamas Filbert 600 block Washington Square .. get early huge line develop one . we walk Hotel 480 couple time Mamas build good morning appetite ! ! try walk & amp ; Park .. go 3rd St Ballpark Market , way back Pier 39 , Embarcadreo , splendid walking . definitely would go back Hotel 480 enjoy another San Fran holiday . 
 Aug 30 2008 	 good location bt rude staff 	 reasonably price , nice hotel , good location . rude staff . wud stay . cleaner take sleep bag mistake could not return . clean hotel , gym be not work sound , wonder ever open . 
 Aug 29 2008 	 decent stay 	 stay recently . room comfortable . give we high floor since mezzanine level tear apart construction . good location downtown . problem encounter computer front desk sign state used print airline boarding pass use business center internet use . ( business center mezzanine level tear apart ) ask front desk could find computer internet use , front desk agent roll eye say snotty tone , & quot ; maybe read sign ! & quot ; tell read - go get sign , bring back pointed business center tear apart . got & quot ; oh - sorry & quot ; front desk guy bad day , alright . 
 Aug 26 2008 	 great hotel 	 check - in go perfect even arrive late . room clean , big . staff checkóin desk helpful . the location hotel city trip perfect , Union square 2 minute away . around hotel several Strabucks caffee diner . feel safe area busy inside hotel hear noise anymore . I would definitely come back . 
 Aug 14 2008 	 ' ve get much ' ve pay ! ! ! 	 husband reservation 1 month advance stay 4 nigth $ 99 / rate . room adequate size , clean , good bathroom amazing tube , wonderfull king bed . high floor wiew . Starbucks fron . cablecar corner . good location tourist : walk distance store restaurant even night ( feel secure ) . easy access MUNI . problem : make phone call providor ( wait long time line ) pay $ 10 / d internet staff rude . tip first traveler SF : Union Square good place stay . : not dare CAR ( $ 46 / night ) . 
 Aug 10 2008 	 great location would go back ! 	 get huge room 29th floor . two big bed plus settee . plenty space great location . five minute downtown , 2 minute union square . starbuck outside entrance plus range restaurant closeby.did tourist thing breakfast Sears 1 minute away . Got 8 am Sunday morning , queue . truly lovely breakfast . in , pleased . 
 Aug 4 2008 	 would stay ! 	 would stay . good rate . easy walk Bart 1 block Union Square . staff helpful , room clean , nice comfortable bed . everything might need ( Walgreens ) , dining , close . 
 Jul 27 2008 	 one good hotel ' ve ever stay . 	 second family pull hotel leave , treat own place . whole hotel non - smoking ... huge plus book . doorman desk staff , everyone concern stay good experience could . hotel well decorate ( fair share marble include ) , sparkle clean , smell great ... anything hotel negative . know may & quot ; plush & quot ; hotel ... include level service staff review hotel . would compare hotel service hotel ' ve stay Hong Kong Tokyo . look forward oportunity stay . 
 Jul 24 2008 	 Excellent value hotel right heart San Francisco 	 get hotel Expedia couple week arrive San Francisco start panic everything would sell . hotel rate also high , find one $ 120 night take chance . 's one block Union Square 3 Chinatown location ideal . room spacious comfortable , fact delighted saw room . really think get bargain . staff friendly helpful everything hotel clean smart - look . bad thing : charge extortionate rate wireless internet connection , stay much seedy , cheap motel hostel internet free ! 
 Jul 12 2008 	 Great Bargain 	 get San Fran every month hotel end great deal time time . usually find great deal travelocity orbitz . , ask corner room . two side full window , huge king bed , two sit area , also fridge . hotel heart union square eat place across street along walgreen . 
 Jul 11 2008 	 Perfect stay ! 	 many hotel choose San Francisco , hope select one could call Excellent Hotel 480 fit bill ! hotel room exceed expectation location perfect ! follow check - in helpful staff , walk across street hotel hop cable car - even 15 year - old daughter think pretty cool ! room large comfortable three we ( 2 adult , 1 teenager ) . husband drag we around city 11:00pm happy Starbucks opposite corner ! would definitely recomme hotel first choice visit San Francisco ! 
 Jul 2 2008 	 good stay Hotel 480 	 recently stay 3 night Hotel 480 compaint whatsoever . decent hotel great location . its close great shopping Bart well convenient major tourist option . solid hotel ! 
 Jun 25 2008 	 absolutely love ! 	 stay Hotel 480 honeymoon . upon late arrival greet curb bellhop help we bag cab . upgrade standard high - floor room corner suite look bay . view fantastic ! hotel staff great concierge helpful friendly every time need help . also arrange airport shuttle we . the location perfect , especially not rental car . cable car line right outside door streetcar subway stop couple block away . room spacious bed comfortable . first time San Francisco will definitely stay next visit . 
 Jun 25 2008 	 West Coast 's best ! 	 marvelous experience . travel San Francisco 83 year old mother May 08 . city perfect age visitor . beleive weather fantastic ! happen time heat wave 85 - 90 degree everyday five consecutive day . Stayed Hotel 480 near Union Square . never think four day stay hotel room could enjoyable . book junior suite - extra space . room meet expectation . spacious beautiful view city . city -charming , classy , eclectic , romantic , definitely easy navigate . many mode public transportation cable car trolley bus . course cab available public transportation offer real taste city . sure visit ferry building ( offer service Sausalito - beauty Sausalito blow mind ) farmer market weekend , Presidio , Fishermans Wharf Pier 39 see seal bask sun , Haight Ashbury ( real kick ) . time permit spend day Napa Valley - Sterling Vinyards offer tram ride wine taste $ 20 - good deal . & quot ; Stinking Rose & quot ; great restaurant North Beach section SF . great italian food . well worth cross - country flight east coast resident . ENJOY ! 
 Jun 24 2008 	 Fab stay Hotel 480 	 stay Hotel 480 June 21 - 23 . arrive early hold bag till could check later day . bellman front desk clerk friendly . offer great advice get ticket transporation city . bellman draw map write hotel phone # case get lose . hotel location fantastic . one block square . starbuck , Walgreens across street . our room large two double bed , large picture window overlook city . nice fluffy towel Bath & amp ; body work sample . bed comfortable . the hotel need upgrade pillow feather pillow foam . mini fridge would nice too . my girl enjoy play cd player room . nice size tv remote . would definitly stay Hotel 480 future . valet parking quite expensive . 's city . find one block Sutter / Stockton Parking lot 33.50 day . still high reasonable hotel lot city . 
 Jun 21 2008 	 Loved Hotel 480 	 beautiful hotel terrific location near Union Square restaurant trolley line . clean , huge corner room . nice staff , helpful concierge . 
 Jun 21 2008 	 good room service - bit noisy though 	 stay 18th floor hotel seven night . ( , wife three kid age 7 , 9 9 yrs ) room clean , service receive expect four star hotel ... toiletry towel replace every day , room immaculate return , etc . ( one two day room service lunch , inconvenience we little . however , call housekeeping correct balance stay . ) stay middle big city , noise expect . surprised however city policy collect refuse 1 am 5 am . closed window helped somewhat , use disturbing . the hotel extremely well situated city . literally two block gate Chinatown , three block main city block . need car time stay . ( , however , complete two week stint Orlando see park , family walk fit ) . wonderful walk hotel Pier 39 , return along one tram line . the hotel also quite accommodating provide additional blanket , early checkout . a value hotel situate across road Walgreens buy milk cereal save breakfast cost . opposite corner starbuck make reasonable Venti Cuppucino ! recommend . 
 Jun 15 2008 	 snobby hotel view 	 hotel amenity would expect , sort room would expect , etc etc , spectacular view ( stay 25th floor look directly Union Square SoMa ) . staff less helpful though , cool reception check - in , superbly attentive staff restaurant , porter offer help heavy suitcase already reach door . definitely cold somewhat snobby impression staff - even although everything would need hotel staff . later stay much cheap Powell Hotel get ten time well treatment . 
 Jun 13 2008 	 great value location 	 stay hotel February first visit San Francisco - extremely pleased location value . it be locate one block Union Square , trolley stop outside hotel . be also quite restaurant nearby , mention one 's lobby . also little deli variety breakfast food choose . not particulary impressed quality , handy . would recommend , however , recommend eat breakfast Sears Fine Foods ( 1/2 block hotel ) .Two thing like hotel : 1 ) room nice view bay Coit Tower . not normally get early enough watch sun rise , could not help view . 2 ) staff incredibly friendly we . this fine hotel 's reasonably price , great service terrific location . 
 Jun 5 2008 	 great place stay SF 	 stay property 1995 Holiday Inn , love fact right cable car line . recent trip , want spend night San Francisco , able contact hotel directly drive book room . request King room rollaway three we , upon arrival desk clerk suggest room would crowded way , suggest room two double -- fine , except married big guy use queen bed . nonetheless , , room comfortable , quiet . decor quite nice well , room clean . know would need car valet park , arrive , luggage carrier roof , inform would charge oversize vehicle parking fee ! also , one front desk clerk ( one check we ) , insist bellman take bag room , make feel obligated tip . must hotel image thing , necessarily need want bellman 's assistance ! also , expect pay use anykind computer / internet service ! think $ 25 day bit absurd , let alone 2.99 hour use business center . room charge reasonable San Francisco , beware & quot ; extras & quot ; get tack bill ! otherwise , fantastic place stay ! 
 Jun 2 2008 	 good location price 	 stay Hotel 480 Memorial Day Weekend . hotel great location , right near Union Square shopping 3 - 4 block China Town . got great deal $ 119 / night think good holiday weekend San Fran . staff friendly , bartender recommend restaurant fun piano bar block . room clean promtply every day . shower good . my complaint bed pretty hard . terrible enough feel back woke . also , wall thin , could hear neighbor . aside , location price right . 
 May 31 2008 	 great value excellent staff ! 	 stay Hotel 480 6 night holiday . price pay ( approx USD90 ) , great deal . hotel locate 2 block Union Square shopping food , opposite pharmacy / convenience store , border bookstore , right outside cable car tram stop ! major bus line , tram line , BART station short walk away . safe enough single traveller , road always crowd people . room decor old - fashioned , come everything need ( except minibar ) , clean comfortable . room , bed , bathroom nice big . despite age furnishing , do not smell date ! Frontdesk , bell , housekeeping staff fast , helpful knowledgable . wireless internet room , wire internet available USD10 24 hrs . lot problem getting connect , internet company good toll - free helpline . price , would definitely stay . 
 may 28 2008 	 Amazing - Economical gem 	 frequent business traveler stay hotel personal reason , not sure would get money . unexpectedly wonderful hotel . use priceline get 2 night $ 300 tax include -- steal San Francisco 's Union Square . great stay , good part staff . nice , helpful , caring . forgot shampoo , immediately ship we . really surprised get money . would stay minute . 
 May 12 2008 	 good price maybe worth rennovation do 	 company book hotel base location price . yes , location great , especially since ' m Bay Area native , live Central Texas look forward city & quot ; fix & quot ; . room decent size ( especially compare european standard ) clean . bed comfortable , housekeeping keep room clean . the main problem stay 5 night , 3 time heat . first time , worker came tell turn heat back want make sure working -- turn renovation another part hotel . another time , come back room thermostat turn . last morning , thermostat work all . I also come back one evening light entry way bath . fix problem dinner , opinion one many issue short stay . I might consider stay complete update ( hopefully ) stop play heating system ... 
 May 9 2008 	 great value - get last 	 3 night downtown SF ( one block Union Sq ) $ 99 per night . price , care tired decor ? Rumour ( overhear lift ) former Crowne Plaza gardening leave become Marriott - price surely rise . at moment , get large , clean room great location - wanted . 
 Apr 12 2008 	 pleasantly surprised 	 checking , staff friendly could not seem & quot ; encourage & quot ; upgrade nicety . mention pre - pay Expedia excuse check we without fanfare . everything good little stoic , disturbed maid still clean assign room . call front desk immediately get we upgrade room ( family suite ) plenty apology . suspect first desk clerk little tired distract not mood cajole . regret , room wonderfully large enough accommodate teenage daughter ' explosion clothe travel supply . hotel cable line stop corner . Rides Market Street almost unnecessary five block downhill nothing . come home go pier easy cable line . regret room look directly Cheesecake Factory two block away top Macys . think resist one night four , go sleep without slice & quot ; sin & quot ; ruin diet . need workout facility , hotel 's remodel . give & quot ; comp & quot ; card 24 hr fitness five block away . not offer first seem problem ask . eat & quot ; Sears fine food & quot ; across street block ( visible front door ) . mini swedish pancake fantastic . french toast pretty good well . overall , think enjoy good medium budget version downtown hotel . spend less get lot less . sure get much without really turn wallet . trip three day , buy Muni pass . cable car $ 5 ride matter short Muni subway bus easy figure . see every sight without car . truly mass transit city , take advantage 
 Mar 30 2008 	 Great Location fantastic price ! 	 good location , block Mall lot nice place eat , street car 60 foot front entrance . view , 28th floor wonderful view . would like stay sometime . 
 Mar 24 2008 	 Work Progress -- literally ! 	 stay Hotel 480 four night book Priceline reasonable rate . location can not beaten -- 's block north Union Square block Chinatown ( North Beach also walkable handle steep hill ) . can not complain room -- nicely appoint clean -- two major point contention hotel 's website experience . first , hotel 's fitness center OPEN . 's renovate foreseeable future , not know advance ( would nice apprise ! ) . front desk say make alternative arrangement 24 Hour Fitness locate five block away , 480 guest would pay $ 5 per day use facility . horrify expect guest pay something suppose include -- especially light fact 's WAY inconvenient use strange gym run downstair hotel 's fitness center . express , manager offer give 2 day $ 5 , accept ( way , gym pretty nice , be runner walker , be much well exercise outside get much workout -- kidding , city SERIOUS hill -- simultaneously get enjoy explore city ) . still irk , though , charge anything something promise book ( though see ' ve change website recently reflect situation ) .Secondly , wireless access guestroom . want access internet , pay $ 10 / day high - speed connection , go sit lobby pay $ 5 three hour wireless . get stingy ? consider San Francisco 's suppose one & quot ; wired & quot ; city country , fact hotel not even provide wireless coverage guestroom disappointing . well option $ 10 high - speed connection connect wireless network Sir Francis Drake Hotel ( locate across street ) $ 7 per day send pretty strong signal guestroom ( probably guestroom south side building ) . overall , staff fantastic , flaw leave feel somewhat disappointed . know issue book , would adjust expectation ( know , would still probably stay unbeatable location ) , not require in - room wireless use gym facility , would highly recommend 480 , , might want look elsewhere . 
 Mar 18 2008 	 good location average hotel 	 hotel use Crown Plaza still feel like one . everything refresh / update , basic . nothing particularly wrong , nothing wow either . location great front desk service exceptionally friendly helpful . however , price , feel like want something special . 
 Mar 16 2008 	 good value price 	 get great cheap price -- $ 160 / nite . excellent location shopping district Union Square . room clean partially update white linen duvet . wall seem thin , trouble loud noise . good workout room . helpful bellman , Perry , get bag back leave airport shuttle bus ! great value price 
 Mar 12 2008 	 Good Location - RUDE RUDE RUDE desk staff 	 stay business trip December 07 ( single female travel alone UK ) choose hotel 1 . get Priority Club point 2 . location . location superb - absolutely excellent , really can not fault central main shopping - even go back couple time non - work day drop bag . problem safety , going eat evening etc etc . however - front desk staff appalling . go empty safety deposit box prior check ( 10 min go ) wait line turn , go desk tell , rudely , wait bunch airline staff check . apology - ' would mind deal people first ' literally ' wait ' ! ! rude ! ! ! ! state plane catch well tell not matter ! regardless great location could not pay stay hotel . 
 Mar 10 2008 	 love Hotel 480 ! highly Recommend ! ! 	 get back weekend San Francisco ( Union Square ) . can not say enough . review complain renovation , must complete see sign . room clean staff always go way make we feel guest . view room overlook Union Square entire City unbelievable . sit bar late one night receive excellent service Thomas long time bartender . hotel cable car line give easy access anywhere want go outside Union Square . everything else restaraunt , night club , shop within easy walk distance . conciere helpful everything trip plan print boarding pass return trip home . look room Union Square area , highly recommend Hotel 480 .... soon become Marriot though . 
 Mar 7 2008 	 RUDE awakening .... 	 experience awful . conference , big ballroom . course- weak wireless internet access tell front desk -- - look like 3 eye . ditto weak net access room . joke -- can not get right ! first key do not work ( experience guy next checkin ) . rude front desk lady ( go unnamed ) keep insult intelligence say put card wrong . duh ... next one bellman take tip , hand bag back we -- true story ... say do not time take bag room . two positive nice concierge lady ( extremely helpful patient ) clean lady ( promote please front desk ) . wow ! front desk need alot work . teach internet guest get frustrate everywhere turn , nothing work . hey nice . several us try print boarding pass front desk . could not . would not let we look behind counter help . rudeness . instruct go upstairs business center ( read money grab ) fee joke , ( guess ) slow internet access printer toner . think ? right , way -- order . bad experience , start poorly manage front desk . hotel need brand , staff need retraining , GM ( nowhere find problem occur ) spend time guest . can not say enough experience start negatively rude front desk person zero help bell staff stand around . oh- mention tv volume control do not work ... call front desk , gm 's office , still wait call back ( check 3 day ago ! ) . stay westin next time . 
 Feb 21 2008 	 City Two half 	 spend month travel Austria , Germany , Italy Czech Republic decide three day stopover San Francisco way back New Zealand help get jet lag . book hotel travel agent ( agent never contact we say change name since book pay ) together flight . expensive thought Crowne Plaza name read Trip Advisor review would happy . book nine hotel Europe directly website read Trip Advisor review . wonderful look forward three night luxury San Francisco finish incredible month long trip . we arrive two flight Europe , 16 hour total check problem . take room 10th floor tell lucky huge one . think date happy two double bed instead queen king advertise , tolerably clean . disabled room equipment leave bathroom . room also cold . husband try warm air conditioning decide shower would help jet lag disappointment room . however hot water ! ! rang reception say hotel undergo renovation would send plumber . the long wait upset become go reception complain . receptionist say conference could little . explained pay $ 400 night ready leave . say would make exception reorganize thing upgrade we much high floor room King size bed . tired grateful could finally shower freshen . room okay , date clean hot shower . hotel undergo refurbishment people work outside window . rope man dangle outside . bad come though . finally get bed night realize bed back lift use continually 5 am . feel like still aeroplane . Earplugs not lessen noise much could also feel movement lift . as first time San Francisco make bad situation get tired possible seeing sight . weather wonderful great walk everywhere also take lovely Cablecar . amazing breakfast Mama 's Cafe ( worth half hour wait outside ) also nice dinner North Beach . I never book hotel accommodation travel agent think may assisted problem . I also never go back hotel spite good location . feel Reception probably laugh get one we lift problem spite pretend we favor 
 Feb 21 2008 	 great location 	 overall nice hotel , especially price ( $ 90 per night via priceline Valentine's/ President Day weekend ) . location GREAT - right heart union square area . staff kind & amp ; attentive , upgrade us jr . suite upon arrival , since sell regular room king size bed . room large , comfortable & amp ; clean ( carpeting bit old , believe renovate ) . would stay & amp ; ( picky hotel guest , will not step foot hotel unless be rate bare minimum 3 star ) 's say lot . be 4 5 star luxury hotel mean , would recommend nice weekend getaway want right heart thing - especially get good room rate . 
 Feb 4 2008 	 Hotel 480 still great place 	 ' ve stay Hotel 480 least 4 night past 7 year . Crowne Plaza first 6 recently become Hotel 480 recent stay . service remain top notch room comfortable . much change since name switch . difference note absence Crowne Plaza & quot ; sleep kit & quot ; , not much loss . mattress bed pleasant plenty work space business . travel family , suggest request one & quot ; Family Rooms & quot ; . room end floor . ' ve stay end - if like sound cable car , room locate Powell Sutter corner fine . want quiet , try get opposite end hall . the location fantastic many shop restaurant within easy walk distance . note early , two cable car route run right past hotel numerous taxis street . BART station Powell Street , easy 10 minute walk . the hotel go go year - long remodeling project . five floor time refurbish , sure ask work progress book . I spend quite night year hotel business always enjoy stay property . one addition hope make put spark site bar restaurant . 
 Jan 31 2008 	 Great Location large room good clean hotel 	 locaiton hotel great - right near shopping minute China Town restaurant . really enjoy stay - nice big room , perfectly clean spacious . luxury hotel certainly good quality everything need . turn Marriott think standard soon imagine . complaint - price good , hotel exellent location , nice clean , friendly people , great big room , lot channel tv - could want ? good restaurant call Daily Grill serve nice brekkie , lunch dinner - like upmarket diner - come hotel , walk straight hill towards Union Square - keep walk pass Union Square leave hand side Victoria 's secret right take next right see restaurant leave hand side . 
