Marriott 	 get back hotel . disappointment . Website represent 5 star hotel , claim robe slipper room , turn service daily newspaper . none prove true . website feature hotel look contemporary well keep . room assign small ( web say spacious ) need renovation . carpet almost bare , wallpaper dirty wood work bang . bathroom small door could even open wide would hit toilet 1/2 open . service spotty . several time come back room still dirty glass replace . we charge 3 pound print boarding pass . never hear ! good thing hotel location fabulous . neighborhod great walk around . one friend employee Marriott subsidiary . ask pay upgrade partner celebrate birthday . tell hotel room available - right ! not even offer complimentary breakfast . glad not work Marriott chain ! not go unless not intend spend time room . 
 great reliable hotel experience . 	 travel often business enjoy Marriott London Grosvenor Square . hotel comfortable nearly standard amenity . hotel gym small pool surround area safe outdoor cardio easy . hotel also convenient lot restaurant , shopping , tube ' m work . criticism wireless internet connection flaky hotel restaurant / bar easily accessible . want get drink nosh hotel bar long day , likely find pub restaurant ( Maize ) book , even bar stool . 
 Feb 24 2008 	 Superb location can not wait stay 	 husband , two child ( 8 5 ) stay summer . stay many amazing hotel must say , pleasantly surprise fantastic location hotel situate . walk everywhere - London Eye , Hamleys , straight park Buckingham Palace etc . lobby area stun small , would prefer room good thing rather lobby . bed comfortable ' ve ever sleep everyone polite accomodate . yes seem expensive , location think validate . would not hesitate stay child later year . 
 Feb 7 2008 	 expensive worth every penny 	 husband stay Marriott countless time schedulle May 2008 . Marriott 's flagship hotel London expensive well worth , particulartly London short time . 2 block Oxford Street , Regent Street piccadily i.e Selfridges , Marks Spencer , Fortnum Masons every conceivable store . bus run directly around corner place like Harrods Piccadily Circus , easily walk , although would fair hike . Hyde Park 3 minute away , like jog , wonderful . my husband find frequently stay upscale hotel London , English , tend snobby . husband Canadian English , judge fairly accurately . one wonderful thing Marriot never encounter . run efficient north american way . hotel concierge helpful gladly organize last minute ticket show . Marriot renovate since last stay . previously , bathroom luxurious joy give bathroom U.K hotel north american standard . presume still . follow negative thing say hotel : cost breakfast crazy many place close hotel pick something cheap eat . lobby quite busy evening , hotel numerous function never bee disturbed noise . cost hotel , London alone , single rate , usually stay cheap hotel . 
 Jan 23 2008 	 great hotel ! 	 read review hotel say nice surprised even nice thought . room lovely , clean staff nice helpful . location great convenient lot thing like shopping , restaurant tube . would definitely stay ! 
 Jan 23 2008 	 okay 	 stay hotel courtesy employer . staff polite , lobby room clean . room & quot ; typical London & quot ; , mean even though five - star property , fairly small . decor bit date taste , nice enough . bed incredibly comfortable ! carry renovation downstairs currently pretty noisy even floor action . be day though , not affect much . one little niggle , room notice & quot ; Eco & quot ; . annoyed find whilst turndown visit , dry towel switch clean , dry towel . major gripe hotel room , nothing make rave hotel friend . personally , would not pay amount employer pay room . 
 Dec 30 2007 	 poor price / value 	 first room put we right next construction heating sound like old Buick throw rod . politely complain , upgrade we another room window - small one overlook park . think price room expensive look regular rate room move we , stunned . could not imagine pay almost $ 800 room upgrade we . staff great location good , would not stay . 
 Nov 21 2007 	 Marriott quality 	 hotel live Marriott standard . service exceptional . public area bite disappointing , small lobby . location upscale safe area , convenient multiple metro line walk distance wonderful restaurant price range . we pay extra room view . not , review accurate . low brick ledge / wall outside window obscure everything top tree , roof sky ( see sky nice , really view ) . 
 Nov 6 2007 	 great location expensive 	 ' ve stay couple time , location excellent- couple block Oxford Street shopping , close Hyde Park , tube stop , etc . as hotel , room & amp ; bathroom smallish compare Marriott property stay , bed comfortable . staff friendly helpful too . my big complaint charge 20 pound one day internet service- $ 40 / day ! ! ! ! be ripoff . example , often stay JW Marriott hotel Asia , cost much much less ( ~ $ 15 / day ) . room nearly $ 600 / night , would think thing would complimentary ... oh well . 
 Oct 28 2007 	 ideal location 	 stay family one night enjoy visit . room sufficiently large enough sleep four we ( one massive main bed , sofa bed & quot ; rollaway & quot ; ) also access excellent & quot ; executive room & quot ; allow drink snack within price . Room immaculate service superb . Watched & quot ; Sound Music & quot ; palladium short walk Oxford Street . hotel ideal Oxford Street shop . staff friendly welcoming really nothing negative say ( aside loud event take place ballroom finish c1am ) 
 Oct 26 2007 	 Comfortable Stay 	 one nice feature Marriott Grosvenor Square offer room 2 double bed . quite difficult find high end hotel London . room large , bathroom . furniture traditional . the bed unbelievably comfortable . location wonderful ; quiet street 5 minute walk Oxford Street . the one thing unfortunate Marriott many London hotel , high cost phone call hotel room . Marriott Grosvenor Square charge 5.5 GBP per minute call North America . canadian dollar , close 15 dollar minute , price include VAT . 3.5 call Canada end cost 22 GPB , cost 3 english breakfast Cafe around corner hotel . english breakfast run 17.5 GPB inside hotel . highly recommend Grosvernor Cafe North Aubrey Street , 1 block west hotel . english breakfast cost 4.95 GPB , include coffee . 
 oct 9 2007 	 great location good service breakfast good not eat night 	 stay two night use Tesco deal token , good value en though can not take advantage special rate , pay rack rate . room standard double little small side average , guess , London hotel . quiet , nicely fit , clean , though bathroom could bit update also small side . staff lovely , pleasant helpful . check / efficient able check even though turn midday official check 2 3 o'clock . breakfast good , though expensive ( think £ 20 ) 's include room rate , case might want try one eat place nearby . dinner hotel restaurant ( adjacent Maze restaurant ) second night due lack time find anywhere else . food ok inspire great value money . stay pre - smoking ban mean smoker sit next we still eat , however will not problem ban come force . all , good standard hotel great location . 
 Sep 25 2007 	 ok ... awesome location ! 	 stay 4 night use point . ' m glad not pay retail 200 pound per night . conversion US would $ 400 per night . hotel ... would huge waste money . hotel location terrific . able take cab Harrods around 7 pound . could walk 20 - 25 minute . walk shop Picadilly Circus ease ... be walk ... be easy . be ... thing close enough cab would give take 10 pound . lhotel LOCATION remind Beverly Hills . exotic car people driver place . shopping area also high end 's good part town ... clean quiet . the hotel ok Marriott Standards . lobby remodel ... nice . room nice nicer new Marriott property US . , not awful ... & quot ; fine . & quot ; room king bed , desk , armoire tv bathroom large ... well appoint granite wall . nice looking . room necessary amenite . one highlite 3 week Europe ... hotel good Air Conditioning around . room always freeze . hotel also & quot ; Executive Lounge & quot ; use Marriott Membership . like US except nothing hot breakfast small bottle water take back room . concierge leave little desire . ask help twice . want eat Nobu sushi short walk . phone number memorize ... great ... however direction write we walk 3 block . second time give we info ok attitude bother . front desk staff fine too . ultimately , location great , hotel spotless clean , everything work major issue . however , ' m glad use point instead pay much hotel like several hotel US . know London expensive .... guess expect . 
 Sep 20 2007 	 Wonderfjul 	 great hotel ! room lovely , location ideal . big Marriott fan stay four Marriott ( Renaissance ) hotel London . solid service , good food , good . 
 Sep 19 2007 	 Poor Service quality Marriot 	 husband stay hotel four night September . three location Europe , Marriott 's . expectation high hotel unfortunately disappoint begin end . arrive take 30 minute counter get we check . get room give two twin bed reserve King . call say would move luggage dinner different room . spend next two night another room share wall construction area hotel put new suite . awoken morning 7 . platinum member guest one , regardless status , put room next construction site . addition , Iron not work room , air conditioner barely work . addition , none room stay hair dryer . demand next morning switch next two night . 10 leave hotel assure would move luggage new room . get back around 5pm move . even give thought get we new room . wait another 30 minute get another room 2 twin bed . say fine point tired want rest . get room key not work . call take three try get key work . also move luggage dinner plan not want wait long . 7 hour ! also access executive lounge . offer variation snack rarely even bottled water . last two night well , except wedding take place hotel massive party occur throughout hallway . location hotel good many hotel London . price experience would recommend hotel anyone . 
 Aug 31 2007 	 Great Location 	 stay hotel base tripadvisor review , admit location perfect , next oxford street super location many attraction area walk underground . room spacious , something not usually get england , service prompt.the price high side , ai not hotels london , stay executive floor plus , especially kid love snack every then.the staff friendly hotel kind causy . actually like point return back soon business trip . 
 Aug 16 2007 	 Great Hotel Location Service 	 enough Marriott Rewards Points stay world seven night . 50th Birthday decide spend London . look carefully Marriotts London decide Grosvenor Square location . at time life picky hotel , fact & quot ; free & quot ; nothing opinion location . dissappointe all . get : since 1000 hotel London , surpise driver know exactly hotel locate . good idea . let driver know one block American Embassy . we , say , turn leave Duke St. destination . the room : ' first floor room ' . one level lobby . upon enter find spacious room . ceiling 14 foot high , large window overlook Duke St. ( convenience store across street ) , large king bed comfortable . bath marble full luxury soap , shampoo , etc , shower excellent , great towel , robe , slipper heat towel rack . safe , fridge , umbrella closet . the Service ; upon arrival , greet door man . room ready . ( anticipate . ) reception quite courteous let we know would hour . take luggage go explore area . room , give complimentary internet access business center ' let folk back home know arrive safely'the Concergie : OUTSTANDING ! ! ! ! inquire various tour Stonehenge , Bath etc . arrange we . tour charge room course earn we Rewards point ! location : excellent ! ! ! small convenience store across street . exit hotel turn leave , small pub literally 50 foot away call Barley Mow . next block , 10 restaurant : Pizza Hut , 2 italian place , Garfunkles , couple Coffee Shops , Mid Eastern place . save lot $ $ $ eat establishment . Bond St. Station 4 minute walk . mini mall shop , McDonalds , ammenitie . end Block Oxford St . loaded store , restaurant etc . one Sunday morning , take two hour walk . Piccadilly Circus mid point . feel totaly safe . this great hotel . pay pocket US . expensive current exchange rate U.S. Dollar British Pound . 
 Aug 14 2007 	 do not take kid ! 	 attend wedding hotel decide book room family ( 2 kid - age 5 3 ) spend night . preference would book room 2 queen bed however even though available unavailable us max occupancy 3 ! book executive room £ 100 expensive kid sleep sofa bed ! also prebooke baby sitter , make reservation , 3 hour 9 - 12pm - tell rate ~ £ 10 - 15 hour would call back confirm detail . never get phone call plus check tell babysitter not order . image surprise panic baby sitter indeed show 8:50pm . go 2.5 hour - back 11:30pm - sign timesheet babysitter tell we rate £ 7 hour . on checkout present babysitting bill £ 87 ! ! ! min 4 hour - £ 52 ( never tell min charge ) Taxi £ 20 - ( never tell ! ) Booking Fee £ 15 ( never tell either ! ) overall , hotel room fine - little small family 4 consider expensive . breakfast nice . parking also disaster - parking available hotel - option pay street parking ncp ( bit walk away ) . 
 Aug 6 2007 	 multiple stay year 	 ' ve stay hotel least 10 time year say good hotel stay London . room comfortable staff friendly helpful . location wonderful short walk Marble Arch , Hyde Park , Oxford Street Regent Street . afford , would highly recommend hotel . 
 Jun 28 2007 	 Great well Priced Hotel 	 Booked hotel Priceline 's bidding site $ 225 per night . excellent value hotel worth much . staff helpful knowledgeable , room good size London location fantastic West end . 
 Jun 28 2007 	 think great ! 	 concerned review hotel mix , 3 night stay early June find hotel superb . the room average size beautiful . bed teriffic . bath amenity great . location great especially shop local eat . the negative note like everything else London , be terribly expensive .. concierge floor useful snack / drink / free internet connection period day . the service hotel terrific hotel restaurant area'si would definately stay hotel . 
 Jun 26 2007 	 amazing ! 	 amazing hotel .. highly professional staff spacious room ! great location . would highly recommend . 
 Jun 16 2007 	 Location ! ! ! 	 hotel 's location great . it be locate Mayfair two minute walk Oxford St. the hotel lobby small nice modern . the restaurant small good . the room really small , specially bathroom . nicely decorate . good thing hotel bed , one good bed sleep at . staff good hotel , werte really nice friendly ( except concierge ) .befor stay check rate Claridge 's elegant great rate ; hotel near . 
 May 22 2007 	 Great Service ! 	 Hotel centrally locate . Lobby recently renovate room adequate . set hotel apart service provide hotel staff . warm accommodating -- good service ' ve experience . 
 Apr 25 2007 	 Nice 	 stay hotel Easter break ' 07 find comfortable family four . location excellent . hotel clean staff attentive . restaurant expensive ( breakfast buffet $ 48 per person ) , eat off - site . pay $ 100 extra per night access executive lounge continental breakfast snack . ' m sure worth much money utilize . king executive room child sleep pull - out sofa make - up we every night turn - down service . sofa mattress great executive lounge always well - stock , otherwise complaint . 
 Apr 24 2007 	 great location great hotel pay 	 stay 5 night , use Marriott point . great location , close great shopping , good place eat close transportation Bond Street Tube site . room third floor modern , small , comfortable . bed comfortable , bathroom small , problem . hotelis great , , expensive ( U.S. $ 500 + per night ) , great place use point . watch charge , like internet charge , phone charge ( minute ) food charge . current2 1 pound dollar rate , hotel dollar great value dollar pay . 
 Apr 24 2007 	 good location maybe next time stay elsewhere 	 location wonderful . couple second walk tube , good food walking distance , great shopping around . central almost everything , seem safe part town . ( hear London actually safe day , surprised ) . know room London pricey , $ 500 / night , little dissappointe . Breakfast include . coffee kettle room work . shower drain drain call someone , time figure , be usually show . bed comfy though . next time probably stay something little character . subject . eat dinner one night roule guess old restraunt London . sooooooo good . well sticky toffee pudding ever , save room . 
 Apr 16 2007 	 nice hotel great street 	 hotel nice , recently renovate great location . hotel 2 block Oxford Street , great interested shopping . Metro access also fabulous . street also several great restaurant , many wonderful family . overall , great , clean well locate hotel . stay also County Hall must say get room top floor , nothing compare experience view . also , note property pool key travel lot w/ kid often need cultural break . 
 Apr 9 2007 	 well appoint Small room 	 stay Mariott Grosvenor Square past Easter weekend . hotel stately great location Grosvenor Square . take short 5 minute cab ride Apollo Theatre Victoria Square . deluxe room small , well appoint . bed advertise queen size , double ; however , comfortable . television set nice tv cabinet , set bed height level view person close tv . tell 1st floor room view rock garden - view screen hiding table chair front Executive Lounge . look sideways could see rock garden . bathroom , report review , could hold one person time , lovely granite tile , nice fixture lovely selection high - end aromatic shampoo , lotion , bath gel mouthwash . book Dinner / Breakfast Escape package . dinner less outstanding ; however , breakfast buffet next morning excellent . price pay , probably stay Mariott Grovesnor Square next trip London . 
 Mar 20 2007 	 Location excellent tradeoff - room 350 review 	 husband stay three night early meeting around corner not want stay & quot ; Radiation Millenium Hotel & quot ; russian spy poison polonium around corner . US $ 485 night not buy much London , especially hotel . location can not beat , neighborhood relatively peaceful , Barry concierge great , room small - way could open two suitcase time rearrange furniture room . room come tiny bathroom one we could time , unless one person bathroom . grant bathroom do nice marble free shampoo mouthwash , small especially consider price ' ve pay stay elsewhere - far less far spacious bathroom guest room . quality control problem property - sheet hole tear problem report twice new one put . complimentary bathrobe fall apart - report twice desk maid replace . receive apology note complimentary bottle wine , ask , hotel so - call calibre problem first place ? third floor hallway smell mold , strong cleaning solution cover mold smoke . ask non - smoking room assign smoking room air ( window open inch , spray housekeeping go errand ) . Carpet 3rd floor hallway heavy stain - hotel so - call five star calibre able well . climate control not great - room stuffy hot without window leave open . also duvet bed would work fine Arctic Circle , heavy heated hotel room - take duvet cotton sheet cover finally get decent night 's sleep Night 3 without wake overheated . breakfast food ok worth 24 pound / US $ 47 person , plus menu monotonous item every day . service spotty dining room staffer actually run vacuum people dine ( get mechanical sweeper crumb please ) also carefully wash table top spray clean solution onto salt pepper dispenser brush crumbs chair seat remove guest sit down . we get special rate include breakfast credit back toward mini bar restaurant purchase effectively daily rate still come US $ 400 per night/202 pound . would stay price - probably . company pay tab need near Grosvenor square , look Connaught , wrangle deal hotel inspect room accept it . take taxi head south Grosvenor Square well do walk south Connaught hotel taxi stand vs. pay 5 pound essentially go around block , across Oxford Street back across Oxford Street go south hotel Grosvenor Square . 
 Jan 5 2007 	 Average 	 stay hotel several occasion , due great location . pleased upgrade executive room , time , quite nice . however daughter stay we , forgot make bed , despite call 6 pm leave Theatre , remind . arrive back room 1145pm wait 20 min housekeeping come . our big disappointment however , breakfast . due open Gordon Ramsey 's ' Maze ' , small eating area , quality food terrible . always use nice breakfast , £ 24 , complete waste money , cramp together small space , choice quality food poor , bacon particular fatty look like week ! pass comment reception leave . 
 Jan 3 2007 	 location location location 	 stay whole week 27 dec - 3 Jan , room third floor needs de refurbish . wireless internet expensive , room service dish need develop . hotel staff professional , location really good Oxford street . in one word go shopping hotel stay . 
 Nov 28 2006 	 comfortable stay 	 stay hotel early year hesitation return weekend 24/25 November . first visit upgrade executive room nice spacious . recent visit & quot ; quality & quot ; room two double bed although spacious still adequate . room , overlook garden , well equip new Marriott bed good . tv reception BBC ITV channel bit ropy need bit fine tuning . the staff great . efficient , friendly professional . housekeep high standard . Grosvenor Square quiet night problem night traffic noise . mention hotel extremely well situate couple minute walk hustle bustle Oxford Street . agree reviewer breakfast price represent value money try get bed breakfast inclusive rate . obtain breakfast offer good choice top quality produce . all hesitation recommend hotel whatsoever . 
 Nov 25 2006 	 wonderful hotel - room 605 great . 	 hotel tasteful , modern furnishing . common area room look great clean . wireless internet provide room , expensive ( 20 pound 24 hour ) . business center ground floor . fitness center also hotel , think basement . room 605 , top floor overlook Grosvenor Square , fantastic . overall , fantastic place , highly recommend . book priceline . location Mayfair area block south Bond Street underground station fantastic . 
 Oct 12 2006 	 great service location 	 Marriott Oxford Street , enjoy lot shop good restaurant nearby . concierge service excellent -- extremely helpful suggesting tour , provide airport information get we cab airport . two thumb ! 
 Sep 19 2006 	 Fantastic ! 	 second stay hotel 12 month would move hotel live could . love . book standard room upgrade executive level king small sitting area . whole hotel complete construction beautiful . room also include breakfast main dining room room service small fee . staff excellent really complaint hotel . review hotel last August well love still love . bed replace new Marriott bed new linen package . bathroom large marble . really beautiful place lay back , less touristy residential location . truly would not stay anywhere else 
 Sep 19 2006 	 Good Bad cool 	 return week 's stay hotel . good : great location , couple block Bond Street tube , helpful staff , new update building , clean , modern , good bathroom , great bed , plenty hot water , ice machine , mini - bar etc . bad : everything London expensive , breakfast hotel include ask , $ 50 ! doorman ( great ) direct we across street little cafe price considerably reasonable . restaurant hotel also expensive . room small Queen size bed . doubt King would fit room . price 182 pound plus 17 % tax ! 's $ 425 per night . internet lobby $ 8 per half hour . access room , keyboard desk , could not figure screen . must require laptop . cool : travel hot weather , air conditioning hotel leave little desire . September warm London ( 85 degree one day 82 another ) . room warm despite run air full blast . ask send engineer . say running capacity . 6th floor . least 15 degree warm lobby . several evening gave open window entire night . drive car , security around American Embassy ( around corner ) make congestion . one mapquest search wrong location hotel . name suggest , sit edge Grosvenor ( pronounce Grove - nur ) Square , south Oxford Street , north show map service attach discount hotel website . concierge desk helpful arranging tour . charge room pick shuttle service hotel take Victoria bus station tour begin . Evan Evans day London tour $ 120 per adult worth . include several major attraction , wait line , extra admission fare , nice lunch historic pub , boat ride Thames end right Tower London . guide great ( name Trudy chance pick guide ) . concierge also access theatre ticket . taxi always wait door . might stay hotel . London exciting city , really not stay room much anyway . tube available nearly downtown , probably cheap place stay . cab ride Gatwick Airport $ 180 ! would true downtown location . reasonable shuttle airport schlep bag taxi , transfer train Victoria Station , fight crowd stow bag train train airport . People take subway Heathrow lugging luggage say would never . attend several meeting business attire several social event lot luggage . reason opt taxi . also car service , assume price would . Gatwick pretty far take we 70 minute quiet Sunday morning . 
 Jul 27 2006 	 could not fault hotel ! 	 return week long trip London lucky enough stay beautiful Marriott hotel Grosvenor Square first time . everything arrival departure brilliant staff courteous attentive . London meeting shop , amazed closeness Bond street tube station meaning could get meet city easily also walk Selfridges favourite london department store ( 3 miute away ! ! ! ! ! ..... however everything close hotel peacful feel like ' one family run ' hotel everybody seem know name ! ! ! ! two restaurant , one really swanky another gear towards hotel guest - enjoy view food great , staff always attentive helpful . room large funky great bed . I definately use hotel , highly recommend ! 
 Jul 24 2006 	 Nice Hotel 	 stay hotel 24 hour stopover return state business trip Africa . find staff helpful property clean newly renovate . when taxi driver trouble authorize credit card ride Heathrow ( due computer glitch ) doorman graciously intervene immediately offer pay taxi put bill . room rate include breakfast , nice full british breakfast Cobalt restaurant . I complaint . room -- King Bed -- first floor ( one floor lobby ) nicely furnish special Marriott bed . fyi : lobby small chair sit in . the room clean least floor recently renovate think entire hotel renovate judge prior review . concierge arrange car service back Heathrow next day , pay room effort avoid glitch suffer previous day . like early review note , bar rather small , service good . also notice good look sandwich plate come late people late night bite around midnight . room also look inner courtyard , quiet . notice early morning plumbing noise lot shower , nothing really bad . would stay hotel . 
 Jul 13 2006 	 Prime location excellent service facility 	 hotel prime location e.g . shop Oxford Street enjoy Hyde Park warm day . prompt , friendly courteous service . excellent extensive breakfast menu Cobalt restaurant . for space nice view Grosvenor Square may go executive room suite 5th floor . 
 Jun 28 2006 	 not fool great location 	 want stay hotel great location not care service receive , hotel might . location great shopping accessability however hotel staff rude service disgraceful . there almost lobby bar tiny turn breakfast area morning . try pay low possible rate internet whatever pay get small room . not belive room description internet ( say queen bed 2 double bed ) might end two single bed . happen twice . if expect attentive helpful staff not try hotel . the restaurant good not expect decent table run independently . I stay hotel time never good experience . many hotel around Mayfair try receive great service . 
 May 9 2006 	 anniversary remember 	 visit hotel 20th anniversary 6th may say begin understand royalty must feel - hotel go way make visit memorable . we arrive 10.30am expect leave luggage wander sight check time ... , greet ' welcome mr White , room ready ' . room ? take incredible suite , huge room , huge bed trimming would expect 5 star . after wander couple hour due lunch Gordon Ramsays maze restaurant hotel ( another incredible experience ) return room find complimentary bottle champagne ice congratulation card hotel . the executive loung really well stock everything could want whole experience one relaxed & amp ; informal top rate service . even location superb river , covent garden , oxford street Buckingham Palace walk distance . despite major american chain hotel , truly 5 star service 's good would reccommend hotel highly . 
 Apr 20 2006 	 Lovely Marriott 	 stay 4 night April 2006 . family 2 teenage boy . stay Executive King room queen sofa bed . spacious room access Executive Lounge . work well give we extra space extensive continental breakfast snack drink throughout day . Marriott recently refurbish - room nice , bed luxurious clean well - care . mayfair area great location . 2 block Oxford Street tube . lot nearby restaurant & quot ; reasonable & quot ; . favorite Spaghetti House Duke Street , Chungs also Duke Carluccios Cafe St. Christophers Place . would stay ! 
 Apr 18 2006 	 awesome hotel 	 great hotel ... big comfy bed ... clean , great amenity , big room , restaurant downstairs lobby look good ( though never eat ) ... close super duper cute row restaurant , orchard street , close tube , plethora taxis always hand : ) 
 Jan 28 2006 	 good hotel 	 comfortable hotel . renovation still ongoing see nothing . nice room access executive room . London large room , comfortable king bed , large marble bathroom separate sit area . tea coffee facility room well water , dress gown slipper . usual internet connection . room overlook interior courtyard quiet , room overlook street probably not . bar expensive though efficiently run . breakfast good quality though thankfully include rate . marriott staff , without exception , courteous helpful . however great plus , main reason choose stay Maze restaurant hotel . Gordon Ramsey 's late success simply brilliant . good visit restaurant leave building . 
 Nov 30 2005 	 Disappointing 	 base upon recent positive review , take chance stay hotel night layover London . unfortunately , review indicate worn nature hotel turn accurate . hotel old pre - war building . lobby floor restaurant nicely finish staff courteous helpful . however , get room floor , view change . hallway ( room ) strange pungeont odor carpet wallpaper look replace 10 year ago . room little well shape . comfortable bed large bathroom . however , carpet wallpaper bit worn . wall extremely thin door connect adjacent room even bad . noise pass wall connect room door like not even . hotel good 5 - 10 minute walk near tube station bit inconvenient carrying bag . restaurant , site nightlife limited area within short tube ride hotel . defense hotel , currently undergo renovation eliminate problem . however , would recommend wait renovation complete stay . 
 Oct 13 2005 	 Fabulous Hotel 	 stay hotel last week August could not happy . time stay , believe room renovate . stay recently renovate executive King room access excutive lounge . room contain seat area witha couch , table 2 chair . room absolutely immaculate large , bathroom . bathroom recently renovate well do marble . word caution though , careful get shower slippy . staff fabulous grant check even though arrive hour standard time . room service timely quite good . the location perfect long not mind walk around . want walk door hotel run Big Ben , right location . not mind take tube main attraction tube stop away fine we . bond Station stop within easy walk distance . also block away Oxford St shopping nice . bunch restaraunt area great accessibility cab . also avis car rental block away . I incredibly high maintenance traveler . sale executive mostly stay 4 star property travel . I travel extensibly year tell one nice hotel stay . definitely 4 star property . travel much Eurpope hotel much nice place stay us.that say , hints- execuitve lounge get pick fast want breakfast get reasonable time- refill everything good stuff early . renovation go lobby- could not care less not go London hang Hotel lobby , prepare . mention , bathroom pretty slippy careful get shower . great italian restaraunt 2 block past hotel Starbucks around corner . really nice corner store across street . overall , would never stay place else could not happy whole experience . not complain complainer : ) enjoy ! 
 Sep 14 2005 	 American Style Business Hotel 	 american business traveler feel right home hotel . large room , large bed , large bathroom , large closet , 115v outlet desk , even ice machine hall . usually stay small tourist hotel lot charm ( much cheap ) time town business . also , previous hotel always picadilly line , Circle / District line good line tourist . will make tube transfer come back tourist area . simple enough , slight inconvenience . make sure rate include breakfast , include would pay £ 18.50 continental breakfast . construction : final touch still go lobby : tile , plaster , sand , painting . stay top floor , construction , decent view city , include London Eye . 
 Sep 12 2005 	 terrific hotel 	 stay Marriott Grosvenor Square mid - August ... yes , renovation still go . loud noise checking , however , work bother we all . the room spacious well appoint , especially large comfortable bathroom ( lot counter space ) . room overlook courtyard , quiet throughout stay . staff friendly helpful , problem redeem Marriott reward point . if want see London tourist site , hotel may little way , want actually see / experience city , great location . close excellent restaurant , park , shop , pub ( enjoy Punch Bowl ) ... surround Mayfair neighborhood great wandering . 
 Aug 30 2005 	 Nice hotel 	 mid - August stay Marriott 4 night . despite massive renovation do lobby pretty nice hotel . complaint fact air conditioning room work . luckily window open otherwise room would unbearable . room nice staff courteous . look hotel easy access tourist attraction London would probably stay somewhere else . underground line hotel provide easy access site ( require connection ) . future would prefer stay somewhere along Circle District line . 
 Aug 21 2005 	 Great Hotel Great Location .... 	 travel London approx . month Grosvenor Square Marriott become ' home away home ' . 's location provide quiet retreat yet two block walk Oxford / Upper Bond Street Shopping area . several nice restaurant within walk distance also . the room excellent afford , Executive King quite nice . business traveler like broadband room though bit ' pricy ' £ 15 per day . book room Marriott website , make sure get breakfast include . though nice breakfast , hardly worth £ 16 pay basically buffet . if use main train station Victoria Paddington ( Gatwick / Heathrow Express ) , be 10 minute £ 6 cab ride , ' ve leave lobby airport check - in Heathrow 40 minute , 1 hour Gatwick .... side renovation be go ' for ever ' seem , side , be almost complete .... 
 Aug 13 2005 	 Wonderful 	 arrive finish extensive renovation two night stay great . hotel staff friendly room beautiful . travel London past 20 year , nice hotel visit . convenient much London . 
 Jul 20 2005 	 mix feeling 	 first , Marriot confirm reservation . arrive early evening tell could accomodate we pay extra 200 pound frustrating . end , end pay total $ 480 4 night not ensure reservation . hotel nice , air condition comfortable . little bit funny almost 10 doorman time . first time month Europe , hotel include breakfast . restaurant breakfast 18 pound one continental breakfast . go Ponti 's streat . pretty good location , one block Oxford Street Bond St. tube . go theater , matter tell , rush little bit , not walk ! ! ! took & quot ; 10 - 15 & quot ; minute walk w / a Londoner help we still wolf dinner 20 minute not miss show ! ! ( front desk tell _ mn , double ! ! ) would excellent room confusion , change room pay almost $ 500 . suggest call direct , ( Marriot 1 - 800 number ) confirm . 
 Jun 25 2005 	 average 	 look nice really outside lobby first floor renovate . mean noise day easily 6/7pm night . also seem popular spot wedding / party expect noise weekend . I find centrally locate ... easily walk Oxford Street Theatre District . also central subway line . the room average ... obviously pre - renovation suite . modern much like standard - issue motel . Tap handle break .... ( GASP ) $ 1800 cdn 4 night would expect lot ! ! 
 Jun 20 2005 	 nice hotel ... 	 stay weekend friend . executive room 1st floor . nice room , little small . good free lounge drink day . there party directly friend room loud music go 2 am . despite several call we , hotel would get music turn ( although tell we many call ) . hotel tell friend would offer compensation . none forthcoming , check cause scene . neither we pay anything room . bit result , still , problem unacceptable . 
 Jun 14 2005 	 Nice Hotel location little way site 	 hotel renovate room nice . location quiet near American Embassy . near Hyde Park 1.5 block lot shopping otherwise ' near site take taxi use Tube . another Marriott City Hall look nice middle site 
 Jun 2 2005 	 Snooty 	 Plan : stay hotel ( 5/05 ) arrange brother , Gold Marriott Rewards member , gift 25th wedding anniversary . time booking , also request upgrade payment 85 pound conjunction reward certficate . may executive suite leave book . confirmation & amp ; Marriot put upgrade charge onto AmEx card . reservation also include ' Healthy Start ' Breakfast . middle road breakfast - step continental - quite full deal . stay one night , family 4 & amp ; head train see Scotland . actual : assume well establish hotel Londonite would able point we right direction . , one ask - ' information ' booth , ever hear . even show print sheet address . luckily Underground ticket agent point we right direction - know American Embassy be . when find place , find desk staff snooty . know nothing 85 pound charge confirm onto AmEx card ; assure brother mistaken , ' just not make . ' morning , call argue Healthy Start Breakfast - bring 2 adult - kid . alarm sound one point , guest ask evacuate park across block await roll call ( never do ) & amp ; return hotel , one worker joke another & quot ; be get 20 minute break - hit alarm ! & quot ; know 25th wedding anniversary & amp ; daughter 's 10th birthday - lucky enough get 2 complimentary bottle mineral water - quite bubbly reviewer mention ; , not expect anything , happy . summary : ex - airline employee , ' ve alot hotel alot country . acutely aware little etiquette intracacie , politeness manner require ; family . never make feel unwelcome hotel find apologize family entire trip error judgement . luckily , hotel - none cost 50 pound night w / a breakfast - great time . 
