Coulde 	 slightly sceptical hotel read review site , like previous New York hotel ( similar review ) , decide go ahead book . arrival quite surprise much small lobby compare previous New York hotel ( Grand Hyatt ) , certainly not make less hotel . check 6 pm greet helpful polite man name Adelin something similar upgrade we corner room kitchenette amazing view . room nice clean , large comfiest bed ever sleep . staff extremely friendly , especially one valet 's . sure name either always wear large coat outside , always ask we enjoy day always stop chat . the location hotel not bad , walk bit hotel be talk 5 - 10minute walk Grand Central always Taxi 's outside ready business . I not try room service / hotel restaurant never normally pay price room service not seem expensive . get breakfast every morning little place corner 44th + 2nd call Plaza Delhi amazing pancake bagel really good price ( 2 cream cheese bagel + 3 large pancake syrup + 2 large coffee 's $ 9.95 ) .We not really try hotel facility pool gym etc , plan not really find time / do not energy walk around NY day . I would definitely stay hotel , stay thanksgiving get really good price hotel advance booking site . would recommend hotel anyone . 
 amazing view 	 would definitely recommmend hotel location panorama room . front desk staff could helpful though ! 
 great hotel .... quite walk shop sight 	 wonderful start hotel get upgrade huge room ( mini suite ? ) 39th floor . fantastic view high .... make sure really clear emergency stair ! room clean , staff really pleasant pool / gym good . my son wonderful time except distance shop sight . first walk Broadway 34th Street etc time get already ache foot . decide get cab fine cost really start mount . stay really need make sure get grip subway . 
 good hotel NY 	 Luxury hotel , cheap price , good service ... word ! 
 Aug 21 2008 	 almost fantastic 	 pick Millenium UN Plaza primarily close location city centre many good review TripAdvisor . the hotel reception nice , staff extremely polite ( exception 1 porter ) .The room HUGE , bathroom big I ve ever see hotel I ve stay . corner room ( room 3940 ) stunning view 2 side room floor - to - ceiling window ( see picture ) , directly overlook East River part city . the bed comfortable . complaint would age facility room . tv , light switch , telephone , air condition temperature control look like thing 1980 ( I m kid ) - clearly replace many year really let room . aside , room great . the swimming pool hotel great view window , although freeze cold ! maybe heater working day go there . the hotel 20 minute walk Times Square , find perfect far walk yet far enough away business noise Times Square attract . nearest subway station 10 minute walk away . overall Millenium UN Plaza great hotel , would perfect invest little money update facility room . 
 Aug 19 2008 	 great view ! ! 	 family stay hotel 2 night . location great 20 minute walk ' Times square ' many great site ! room plenty big enough . son 's room overlook Chrysler Empire state building ... view fantastic ! great hotel would stay . 
 Aug 19 2008 	 ok hotel 	 stay two night hotel pretty good stay . pro : - nice indoor swimming pool excellent view city- Joes diner breakfast ( locate corner 44th street/2 ave ) - room clean- comfortable bed- Minibar great selection drink snacks- friendly helpfull staff- nice view ofer river . would think room face towards city really great view wellcon : - decor ( tacky lobby black tile , mirror + gold ) room feel like ikea- date bathroom toilet work properly- expensive wifi ( $ 13 24h . also slow ) - location . Grand Central within walking distance , even though lot walk holliday think walk close subway far . take quite long time middle day want stop hotell drop shoppingbag whatever . as already state , good stay , con big pro . especially location stay hotell . 
 Aug 18 2008 	 Overall Great Place Stay ! 	 overall , find good place downtown Manhattan . location make easy access subway system Grand Central . staff unwaveringly friendly concierge give excellent food recommendation . cityscape room view nothing short spectacular . overall , would recomne place , small problem . first ask want smoking non - smoking room . room get clearly occupy smoker REEKED stale cigarette . bad enough wife pick air freshener room pass CVS first day . second problem lack hot water . two us 37th floor whenever whoever shower second always get pretty lukewarm shower . finally , avoid breakfast buffet unless money BURN . really tiny ( four chafing dish egg , potato , bacon couple cheese / fruit plate ) tell price advance -- SHOCKED spend $ 60 two people eat buffet restaurant would charge $ 10 Sunday morning . tell we price advance , would laugh , leave grab bagel around corner . 
 Aug 16 2008 	 love big apple ! 	 stay Millenium Un Plaza New York 4 night . hotel great spot clean . side daughter rollaway be not great teenager restaurant do not open evening summer . however , plus side , nothing much trouble staff , hotel spotless bar offer excellent food . we do not breakfast hotel , John 's Cafe top street corner 2nd Ave offer excellent food good value . we also excellent meal Grifone , think good italian food ' ve . 46th St 2nd 3rd Ave easy walk . 
 Aug 11 2008 	 solid choice Midtown East 	 stay one night use lot amenity , able comment WiFi internet availability , etc . the staff check courteous give upgrade suite . suite two level huge window level view river borough . carpet wear overall hotel use makeover hallway room . elevator work fine hotel seem overrun people . always cab available outside hotel bellhop friendly . store luggage next day not charge service ( unlike hotel Manhattan like Hilton Ave Americas ) . checkout smooth . use express checkout tv drop key lobby . entire process take 5 minute never long line lobby see reception staff concierge . I likely return Millennium UN Plaza especially get great rate hotwire . overall value price acheck - in process AQuality service BQuality bed , furniture CRoom cleanliness BCondition TV & amp ; light C 
 Aug 8 2008 	 Great Hotel 	 husband stay 5 night early August . we give room 34rd floor - great view East River also Empire State Chrysler Buildings . the room huge ! king size bed large walk - in wardrobe . also sofa lounge large window . the room clean tidy , modern furnishing - although bathroom little tired . seem ' ve renovate point , bathroom little mouldy etc - nothing bad . the location little way , not mind walking not bother we . 3 - 4 block Central Station great catch subway . the view magnificant really make place special . room quiet , hear street noise noise . keep mind put ' privacy ' note door unless like wake early housekeeping : ) pleasant staff , quick check check process . happy stay . thing would appreciate free internet , give hotel quite expensive thought may included price buy 24 hr period $ 13.very enjoyable stay overall . 
 Aug 8 2008 	 good location 	 stay UN Plaza tour US thoroughly enjoy stay . give corner room ( small mix reservation sort fairly quickly ) 30th floor brilliant view river . bed enormous , room extremely clean well equip AC welcome break extreme heat stay NYC ! ! staff friendly helpful . enjoyable stay ! 
 Aug 5 2008 	 terrific weekend stay 	 get excellent deal place Hotwire . complaint . walk subway 3 block away ( Grand Central Station ) , happen get room upper floor , view divine . 
 Aug 3 2008 	 Room view 	 hotel great location , within walk distance grand central station , 5th Ave Time Square . staff friendly helpful . I think room get view one reason choose hotel , great view New York City skyline 30th floor . pool also great view city . the room good size well bathroom . walk wardrobe lot space . room also clean modern . Millennium Plaza Hotel also great value money , would stay ! 
 Aug 1 2008 	 great ... 	 extraordinary hotel -- - fantastic view clean room . : quite diappointe renting policy : ( 2 adult , 2 teen ) , arrive 10.30 pm expect get reserve room , seriously give king size four we . confirm two twin . no way stay king size four people three night . we tell , they´re overbooke room leave suite additional 200 , - $ per night . time night didn´t chance accept , ... 
 Jul 31 2008 	 plce ! ! ! 	 stay 4 night July , love . room 32nd floor , great view city . room clean , large size , sofa , mini bar , large bathroom shower , everything need . do not try tennis court , swimming pool . weird feel swimming look 27th floor , amazing . only side location , fair walk lot main attraction , ok start , really drain we end . try stay West Tower , build work outside east . look offer , get $ 130 night 
 Jul 29 2008 	 like hot ! 	 well look review last three month time finally go put test . west tower th 38th floor give we view empire state well river . ask city view possible could move later date . the bathroom still hair previous occupant floor apart room spacious pretty good condition . share 16 year old daughter need twin bed limited choice room , apparently .The staff ok rather efficient friendly always think bell boy ulterior motive show enthusiasm hotel average ideal 5 day stay , want stay room N. . ? make holiday whole NY experience , noise , heat , people , taxi , car , building , light , shop name round corner another experience ! ! ! ! couple favourite time sq night , jersey boys broadway show , water taxi , staten island ferry , Sean john shop 5th , could go memory keep come back . so finish hotel job trip make rest thing , do not worry hotel enjoy rest . plan bite much excitement spontaity place would sleep box go back ! ps . do not shy use concierge dollar invest tip make thing lot easy old guy well young one dollar good investment . and remember do not let hair spoil trip ! ! ! ! ! ! ! ! ! ! ! ENJOY KEVIN X 
 Jul 29 2008 	 great value Manhattan 	 pick hotel week read review site other . decide offer good value money not disappointed . upon check - in upgrade corner room 30th floor . read much NYC hotel room small side room Millennium Plaza spacious . main thing room view - wow ! great view East River Midtown well . room modernly decorate within easy walk distance Grand Central Station subway . like other already do would recommend John 's Cafe breakfast also great 24 hour deli / store corner 44th 2nd . main gripe pay $ 300 night room would expect free internet room . case charge $ 13 day privelege . time States stay basic hotel offer free wifi room . fact , 5 hotel stay total Millennium Plaza one offer free WIFI . view size room get money , would say , NYC standard anyway , UN Millennium Plaza offer great value money would certainly stay recommend place family friend . 
 Jul 27 2008 	 soundproof 	 get excellent deal Travelzoo ( 219 usd breakfast ) stay Millenium UN Plaza 7 night July . get spacious superior room 36th floor wonderful view river city light . room comfy clean like modern scandinavian like design . everything seem perfect untill neighbor ( three guy mid-20s ) arrive . could hear everything next door - even normal conversation . wake 1 , 6am etc . come back . unfortunately hotel fully book thus could change room . also , surprise , traffic noise coud easily hear even though 36th floor . be light sleeper , bring earplug ! hotel four block central station mind last day - be stay week might get feed distance time take get destination . also want drop shopping bag hotel day , location might ideal one . I prefer Millenium Broadway location . never issue noise either . however , similar deal would stay UN Plaza spend save dollar shopping : ) 
 Jul 25 2008 	 good price great hotel 	 get great deal via LastMinute.com hotel thoroughly enjoy stay . clean ( spotless ) , staff pleasant , great midtown location , luxurious room great view . safe , great concierge help dinner reservation etc cab time outside . good bar tender bar downstairs - great guy load story ( unnamed ! ) dignitarie UN stop year . look special coupon deal hotel run - get discount voucher Macy 's stay , seasonal deal . downside , minor , reception desk get busy might short delay check . 
 Jul 21 2008 	 Great Value NYC Hotel 	 spend weekend hotel great experience . location great . across street UN building . close Grand Central Station wonderful bus route . hotel staff friendly helpful . room clean view river grand . think hotel provide weekend stay NYC great value price . 
 Jul 16 2008 	 great view 	 nice location . five minute walk Grand central station fifteen minute walk bryant park fifth avenue . even though center attention great base explore New York eastern part Midtown mind walk . good service housekeeping . spacious room spectacular view . view towards east river city . also pool sauna use every day . really downside hotel affordable price would recommend hotel . try breakfast Johns 2nd . 
 Jul 13 2008 	 terrific experience . great affordable hotel 	 fantastic experience Millennium UN Plaza . staff friendly helpful . let we use minibar fridge drink / supply . housekeep great job . incredible view 30th floor . night , would gaze window beautiful skyline . 2 adult young child ( 8 ) standard room , plenty room . would definitely return . 
 Jul 13 2008 	 mixed experience 	 stay two night Millenium UN Plaza girlfriend 4th July , mixed experience . first arrive , wait almost hour check , staff impolite . around 20 people queue , seem like hotel could not cope reason ( happen around 3 afternoon - check time ) .When eventually get room , bit strange - curve around elevator shaft 34th floor , unusual shape . however , nice view Brooklyn Bridge south eastern side Manhattan . actually two room , relative also stay hotel , swap take big size room , oddly give person , rather couple . room bit nicer , King Bed . odd thing hotel old everything seem . bed really soft ( soft ) , tv ancient , fridge positively Jurassic . also leak sink , mention check staff way - duly fix , reason , message also confuse think safe break , much surprise , next time return room , safe lock different code one set . maintenance man came explain , bit odd . stay hotel ok , overall left disappointed feeling . decor customer service scratch room . decor lobby unbelievable , gaudy mirror black counter . as whether location far , 's borderline suppose . say would prefer stay block centrally , would not main thing would complain hotel . terrible , great . 
 Jul 9 2008 	 wonderful stay UN Plaza 	 stay 29th floor fantastic view Manhattan ( Chrysler building v nearby , lovely view Empire state etc ) East River / Queens etc . friendly staff , lovely breakfast clean , comfortable room huge bed ! book via hotels.com choose option breakfast , however not tell arrival need voucher breakfast every morning , sort we fairly promptly . close enough everything without right Times square ( bit mad house honest ! glad away ) . search age try find ' right ' hotel us - ' m happy say pleased hotel . be late 20 right we , though may feel hotel little bit ' corporate ' taste may want something character . NYC want whole sky scraper , fab room thing perfect we . 
 Jul 4 2008 	 would definitely recommend 	 stay UN Millennium Plaza May / June 2008 4 night could not fault . build huge soar skyscraper definitely make feel like New York straight away , especially first trip . ask room view midtown see photo amazing view tripadvisor not disappoint . stay room 3520 , 35th floor , amazing view take UN Building , Lower Manhattan distance , Empire State Building Midtown . could lay bed see Empire State Building - could want well view ? ! room ' Deluxe ' room believe ( although ' m sure pay standard ) nice , modern decor . receptionist always friendly helpful , concierge one time require assistance . review comment hotel bit way , minute walk Grand Central , find area refreshing respite hustle bustle . lot place get food close , include indispensible 24hr deli end street ! reservation stay midtown find tourist - orient area , look sort cool bar scene nice independant restaurant usually mean go downtown . say would definitely recommend Millennium UN Plaza , especially first visit New York . 
 Jun 28 2008 	 horrible experience 	 nightmare . wife NYC originally , currently live midwest . neither we stay UN Millenium , brother work UN say hear positive thing hotel decide spend part honeymoon . big mistake . there two tower : one old disrepair . renovate decade . first room locate . immediatley upon enter room shock condition : old , stained carpet burn mark duvet cover stain well . bathroom light fixture mutliple break glass bathtub stain chip . call manager & quot ; available & quot ; assistant manager claim fully book could move we follow day -- new tower . not publicize dirty secret , support staff speak explain fact two tower , one recently renovate dump touch decade , get new room , tub cover dark , foul filth -- appear pipe may back . call clean 1/2 hour someone arrive clean tub . also corroborate fact two tower hotel history poor service . the front desk staff manager could care less . favor avoid hotel . many alternative NYC . 
 Jun 25 2008 	 Big Apple Greatness 	 husband stay Millennium UN last October 5 night . room nice - clean - great view . bed extremely comfortable . shower pressure super . hotel quiet - hear traffic noise noise room . pool huge - nice . fitness room easy use challenge equipment plentiful towel wipe rigorous work . view pool area awesome . love movie ' Conspiracy theory ' recognize smokestack see hotel high floor . hotel locate quiet area easy get anywhere want go . close Grand Central Station . great time would visit hotel . 
 Jun 24 2008 	 staying year 	 husband first stay UN Plaza back 1986 ( live NYC time want weekend & quot ; getaway & quot ; ) return countless time since . two kid tow , appreciate relatively spacious room , fun skyline view , swimming pool ever . yes , decor could use upgrading / update room fairly standard issue , trust , & quot ; standard issue & quot ; large will find elsewhere Manhattan price point . stay many , many , many postage stamp sized room will pay . 's true not visit NYC hang hotel room , four us sharing room , help space . many staff around year always kind helpful we . find location convenient generally quiet . wake 9/11 give proximity UN , security increase quite bit , time disconcert . not bother hotel restaurant -- 's dark feel like cave . will back next time be city ! 
 Jun 21 2008 	 gem Need update - still great : - ) 	 hotel select office travel person ( must adhere gov't rate ) read review prepare everything ! Robert - one hotel bellman / outside attendant , absolutely wonderful remembering name greet we name time see we . wealth information great eating place , direction , etc . hug night check ! view spectacular - particularly night . not think get room bad view hotel - window open ! ! good : - ( room , although large comfortable , certainly date lack many feature standard hotel industry today i.e. , flat screen tv - one room old working properly arrive , bathroom see well day ( crack floor & quot ; tile & quot ; , sink fixture leak , water mark toilet bowel , marginal cleanliness large portion enamel miss tub . person annoyance , room coffee maker ice machine floor . plenty room ( look custom - make wide deep shelving space right outside bathroom nothing 2 glass ) small refrigerator / microwave coffee maker room . really need bring date . gem staff nice , helpful people . go - tell Robert & quot ; Grants & quot ; say hey : - ) 
 Jun 21 2008 	 enjoy Millenium 	 stay 3 night hotel 3 night stay Millenium Broadway . first part trip pleasure part trip business . the Millenium UN Plaza much pleasant experience couple minor annoyance . 40th floor West Tower stunning view Manhattan skyline . room large attractively outfit . housekeep good job restocking room day . like first Millenium , bed way hard tv old . can not believe can not upgrade flat screen rate ! also miss coffeemaker , understand 's niche want . our rate include breakfast buffet Ambassador Grill day well - appoint delicious . service excellent restaurant . area many dining option part Manhattan fine every night except one night return late Yankees game . return shortly 10 pm reasonably price option nearby close . we order room service although pricey , food tasty service prompt . 
 Jun 21 2008 	 Fantastic 	 Fantasic hotel . big room amazing view . friendly staff . great location . close nice restaurant 2nd Ave relatively close Grand Central Station . definitely stay . also , fantastic diner corner 2nd 44th - end street call John 's . great breakfast reasonable price great staff . 
 Jun 18 2008 	 incredible view make place good 	 room large , New York , nicely furnish . stay every room fabulous view Manhatten skyline . hotel nice , fairly calm area . yes , be extra block Times Square , Rockefeller Center , etc . , walk distance . 's easy get cab 's nice neighborhood walk . , real reason stay get big , nicely furnish room , decent price , good view skyline . 
 Jun 17 2008 	 wonderful stay Millenium UN 	 stay last weekend daughter 's 7th birthday . purpose visitng city visit American Girl Place . choose hotel maily pool daughter friend definatly think highlight hotel ! able check room early ( around noon ) , front desk friendly helpful , find we room high floor available view guarantee amazing ( ) . room 3512 ... room large modern , comfy sofa lot pillow , huge closet big enough bathroom . view fact wonderful ..... girl spend alot time look sight outside window ... become even spectacular dark . go back room take break , enough room spread space relax . the pool 27th floor although small , many property Manhattan pool begin satisfied . pool also great view 3 side window . the lobby pretty , hotel staff helpful definately friendly accomodate ... wonderful time would definately stay . 
 Jun 14 2008 	 good hotel good location 	 book two room Millennium Un Plaza Expedia . hotel locate 44th Street 1st avenue quite heart Manhattan still good location . 10 min walk Grand Central , probably 20 Bloomingdales 25 Abercrombies / Tiffany / Central Park etc . we greet doorman help we inside bag . reception efficient rather friendly bell boy helpful friendly . our room top 38th floor good view face Empire State building . hotel two tower room face partially onto tower . however window reflective glass complete privacy . room good sized plenty space . one room king bed twin ( request ) . although room book seperate booking , hotel put we close . have email request this . the bedroom lovely - comfortable clean . tv range tv pay movie . desk chair provide well sofa . negative point room furnishing lack mirror . two mirror provide bathroom mean one we hold get ready use mirror make - up hair . the bathroom nice bedroom . nothing wrong need decorate - rust around door hinge crack ceiling plaster . minor point otherwise bathroom clean tidy . good size room good shower . toiletry provide ( Gilchrist & amp ; Soames ) .my one gripe air - conditioning . 's good noisy . not sleep well noisy room first night struggle sleep . fine not know whether affect room generally case throughout hotel . the hotel busy tourist world airline crew use well . tennis court 37th floor spa pool 28th . check smooth bell boy door man go way make sure get SUV taxi back JFK . really friendly give impression nothing much trouble . doorman even remember have 6 night Scotland . not speak since arrival ! not try hotel dining facility . would recommend John 's deli 44th 2nd Bully 's 44th Lexington . excellent breakfast . 
 Jun 10 2008 	 good remarkable 	 stay 4 night place back great review site . summary perfectly adequate hotel pay , view brilliant . height also help keep traffic noise minimum . apart not anything else particularly stand . would expect city 4 star hotel . we move room 2nd day next building site start 7 am morning . handle well hotel move stuff we whilst . however new room bit cigarette smell . quality room 3 star term finish ( bit rough around edge ) 4 term size . staff good helpful time . location ok , good GC station subway , probably little far east . next time would probably try stay downtown meatpacking district seem spend time . 
 Jun 7 2008 	 Great Hotel ! 	 stay five night hotel . room side side beautiful view . everything clean . near Grand Central Station . counter ask Barry , always willing help . ask room 3015 . bellhop alse always willing help get cab address information . certainly highly recommend great hotel . Judith I. Quinones & amp ; Jose Galarza - Rodriguez Puerto Rico 
 Jun 5 2008 	 Millennium UN Plaza Hotel great ! 	 Millennium UN Plaza Hotel great place stay NYC . right Midtown East , close Grand Central Station , Empire State Building , Chrysler Building , much . second time stay hotel impress first time . hotel staff wonderful , get hotel around 11:30 check not 3:00pm , room ready- great ! ! ! also make reservation us restaurant close , make sure treat well . bellhop always willing help get cab , transportation issue . the room modern cool New York feel . bed comfortable room always clean . view spectacular- could see Empire State Building , UN Buidling Chrysler Building . night city come alive view great ! ! ! Sunday brunch Ambassador 's Grill ( restaurant hotel ) little pricey , good . would recommend hotel anyone want great deal cool place stay . 
 May 29 2008 	 want hotel view ... 	 book hotel reading review friend daughter 's recommendation . we 2 room 33rd floor , opposite side therefore manage get good ariel perspective New York . view room simply stunning . the walk Grand Central Station 7 min direct , although stay stop John 's breakfast , , opposite corner . time resort taxi ( Times Square ) fare $ 10 include tip . family 4 taxi cost effective . as other say room need update , clean offer large accomodation . bed comfortable . brit downside hotel not tea & amp ; coffee facility room . recommend corner shop , 1 minute away open 24 hour day supply wonderful collection coffee croissant early morning fix . we not try hotel food can not comment , bell hop look suitcase last day charming man . quite frankly , reception desk far charming member staff contact with . the swimming pool worth look even interested swimming give view New York 3 direction . overall goodish hotel reasonable area good access city . 
 may 27 2008 	 great Stay 	 end get Plaza Hotel & quot ; name price & quot ; bid priceline turn excellent . beautiful view east river , empire state building , chrysler building , south east manhattan . hotel tennis court pool 37th floor amazing view . room big enough everything clean tidy throughout hotel.my negative , hotel park $ 46 day , not expensive NYC call ahead find price parking tell would $ 30 . allow carry bag , force use bell hop & quot ; safety reason & quot ; ( aka money reason ! ) , internet $ 13 day . , amazing view worth price alone . 
 May 15 2008 	 average 	 fairly good location tourist , feel business hotel . concierge friendly knowledgeable local area recommend nice place eat . the hotel room nice spacious , feel let dated bathroom . get good deal , well worth stay . 
 May 15 2008 	 worth ! 	 full month internet searching , finally choose Millennium UN Plaza . must say quite anxious sincerity accuracy review , since first priority good possible view Big Apple , Millennium UN top rate Hotel fit personal budget . so , 2 night stay absolutely superb experience ! start reception guy , always polite , friendly available answer kind question might , also able become personal NY entertainment guide person ! thank ! room large ( anyway , ' expect something less Superior King ) , clean , little bit date . hand , care decoration , awesome , magnificent , superb ! ! ! view room even bathroom ' window ! ! ! view stun hard drag away hotel ! unfortunately , 3 day ny walk around , leave hotel many hour day night , although hard decision make ! Grand Central Terminal 5 minute walk area absolutely safe ! conclude say anyone wand watch Manhattan ' Skyline room bathroom , must stop search ! : Millennium UN Plaza Hotel ! course he / she must take consideration price view quite expensive ( ~ $ 400 / night ) superior king , yes worth last cent ! ! 
 may 9 2008 	 good view ever 	 book superior king hotel read review site . want amazing view city exactly get .... give ' corner ' king room 37th floor unbelievable view city -empire State Building , Chrysler Building etc outside window -totally breath - taking . room , suppose superior king , really large , great shower comfy bed . hotel two side / building , one face river one face city . lead believe river view superior room ( modern , newly decorate ) give city room view . room furniture date , like picture website , view fantastic . go NYC stay room away ? ..... room service good , pricey always , find fantastic deli , round corner , 45th street ( Armish Deli ) sell fab fresh fruit , bagel pizza , eat . internet charge @ $ 12 every 24 hour , also quite expensive cheap phone . would advise place stay want fab view . 
 Apr 29 2008 	 ok hotel 	 stay 3 night although Reception area quite plush overall standard room 60 's . initially room 30th floor actual room big date . tiny window ask move . 37th floor suite much well . hotel little way we , easily get bus main part . there swim pool right top OK.We initially stay Westin Times Square far superior hotel . as say , ok probably would not stay . 
 Apr 28 2008 	 Fantastic Location view 	 wow ..... expect great view get fab ! staff great , concierge friendly helpful . Gym could update especially free weight , view excellent . breakfast food great good quality . 
 Apr 24 2008 	 good hotel excellent location amazing view ! 	 spend two night Millennium UN Plaza March , book british online travel company ( Airline Network ) cost £ 120 per night , room only . check - in fast efficient . present hotel voucher payment room , credit card incidental charge request room high floor view city . member staff friendly helpful , allocate room 4032 40th ( top ) floor . check head city , member staff address name pass lobby asking & quot ; find view ? & quot ; - attentive ! room far large expect ample space move around . despite room slightly date , everything clean tidy . television probably 20 + year old , work well good selection channel - not New York watch tv ! view ( particularly night ) breathtaking - Chrysler Building Empire State Buildings clearly visible . the bathroom clean , show sign age , call somebody show old shower work - be never happen . everything work though , lot towel , toiletry , etc . I find hotel location excellent - right next United Nations mean feel safe , police security patrol . Grand Central Station short walk away ( five minute ) find place want visit withe walk distance - Rockefeller Center , Central Park , Macys , etc . could reach 20 - 25 minute . check - out quick easy charge telephone call make - though ! get back UK , realise credit card actually also charge room error . call hotel report , rectify problem quickly incorrect charge promptly refund . I would definitely stay Millennium UN Plaza . excellent base explore city , impressed view room , helpfulness staff room amenity . guess , though , keep hotel area , need look renovate room near future , update bathroom , etc . 
 Apr 23 2008 	 good NYC base 	 stay NYC 4 night Millennium UN Plaza Hotel 2 week ago . reason place Hudson river view room even though request city view . staff move we second day city view room certainly worth . view fantastic Empire state Chrysler etc ... generally room clean ( think first room little tired appearance ) Room service expensive avoid ( Fantastic Cafe 2 minute round corner call Johns Cafe ) use pool , always bonus city hotel . also apparently indoor tennis court New York City . the location 10 minute walk Grand Central , 5 minute Chrysler , 15 minute empire state . fact walk 5th ave one day everything pretty much walk distance . UN building literally opposite . thought bar staff good laugh , Jeffrey chef , certainly look we . all would recommend hotel . 
 Apr 20 2008 	 Security Nightmare 	 arrive Millennium Un Plaza follow long haul flight UK late evening . book 2 adult plus one 9 year old child . show room provide King Size Bed dirty Bedspread upon . request replacement marginally well . replacement take sometime arrive rollout bed promise , deliver room . briilliant start something could hopefully rectify follow morning . unfortunately thing go ' bad bad ' . main reason choose Hotel indoor pool . daughter extermely keen explore Hotel facility accompany 7 first morning . whilst go look pool husband going take shower . go back room shock fearful find young man sit bed . appear vunerable state could understand . however tell Hotel provide access room whilst husband shower . arrive back room daughter raise alarm husband oblivious intruder . immediately call Security gentleman arrive door indeed man early let strange room . incident frightened daughter want stay Millennium Hotel long . extermely unhappy action Hotel concerned safety young man request notify Police incident . notification Police carry Hotel leave undertake . Hotel Manager agree arrange transfer Hotels move accordingly . incident include packing mean several hour first day New York waste . Hotel state ' mistake ' due new Computer system guy infact register guest albeit already checkout . Hotel Manager Director Security promise send follow apology email would availble upon return UK . incident happen 3 week ago receive correspondance . fortunately Hotel moved offer great sense professionalism able convince daughter safe stay New York . 
 Apr 20 2008 	 Fab Time 	 recently stay long weekend UN Millenium Plaza . great time although first give room ' not much view ' . ask move get room 40th floor disappoint . staff lovely & amp ; helpful , also hotel quite central position taxi 's seem fairly cheap , hotel Time 's Square around $ 5.50 . would recommend hotel stay New York . 
 Apr 19 2008 	 Fantastic Hotel 	 arrive Millenium turn away 1st night overbooke . handle well next day treat wonderful dinner Ambassador Grill would recommend great service , breaskfast also . room spacious view New york 's skyline leave awe - inspire little giddy ... find pool , tennis court spacious room New York , rare find .... close - oyster bar Grand Central Station ( 7 min walk ) try sample Oysters . brave try Oyster shoot ! 
 Apr 10 2008 	 good Hotel ever stay . 	 never treat wonderful life . hotel treat like royalty desk doorman . spoil entire staff want go home . would recoment place anyone . thank much New York Millennium UN . return . 
 Apr 5 2008 	 clean friendly 	 book hotel one important reason - kind expensive parking charge ( $ 40 per day good ny ) , say open WINDOW room . honestly , important , stay room seal window , get completelly sick , always call hotel booking . anyway - Manhattan ' hotel choose one promise wouold able open window ( little bit ! ) . well , true . come - friendly , pre - register 10 a.m. assure room ready 1 p.m . true either . ready even 3 p.m. ( official check - time ) . able get room 4 p.m . building look nice outside , lobby nice , inside - feel like walk Ramada hotel . nice , clean . room limited furniture , feel one little table least miss . bed noisy comfortable , shake high leg . not expect nice pillow either . Everythign minimized , - sure ENOUGH - expensive mini - bar key , charge . toilet clean , actual toilet dirty stain , water sink leak , water shower go away . view howere terrific , window seal , open stay air - condition room without ay fresh air , night sleeping room head heavy nose stuff , slight cold flu symptom . come reception talk Manager Marcos say room window indeed open , say move . = guess - . come reception - Marcos , girl , rude , roll eye like ask moon sky , even apologize , thus .. nice . hotel full child , look like thay have group deal overe , expect right middle high school pay much stay . feel like camping bunch boyscout . mind - sure choose hotel . mind rude stuff - sure choose hotel . prefer get decent service money pay - stay away , good place . even wonderfull view seal window help . also ask help book tourist tour - receive assistance . restaurant low quality sure enough - overprice . mind pay good food ny , pay $ 60 piece meat expect good piece least - . food Dennis ' quality . would say - 2 star motel body high glass building , be . advantage - location . really comfortable . right middle Midtown , easy walking distance everything want see ny . 
 Apr 4 2008 	 Perfect 	 Stayed Millenium 6 night , 20 26 March . book two triple ( six adult ) arrival upgrade we two bedroom suite ! ! ! amazing ! ! 38th floor , west tower , perfect view city towards river . decor bit old , room really spacious , well bathroom living - room . staff nice always willing help whatever need ( info , get cab ; etc ) . hotel locate calm part city , 7 minute walk subway station . really like location area calm safe . way visit , three four minute hotel , could find lot place breakfast . perfect . next time visit NYC would really consider stay . view get real treat . definitely recommend stay Millenium . 
 Apr 2 2008 	 view terrific 	 Millenium Plaza , one United Nations , excellent hotel view . just get back stay fortieth floor ! ! hotel spotless , room big , whilst bit mean hotel quiet . 
 Mar 28 2008 	 Fantastic hotel 	 arrival staff friendly ask see another room compare obliging . sure enough get one good room hotel ! ! corner room fantastic view empire state build one side , river . clean well everyday problem . reception staff help we advice go reservation . instead breakfast hotel ( expensive ) , go authentic american diner top street lovely ! hotel away hustle bustle problem noise all.sighseee : would reccomend hire bike central park . great way see whole park 2 hour , especially fantastic sunny dayrestaurant : Marriott Marquis revolving restaurant amazing ! although expensive lovely meal , even arrange special birthday dessert mother extra cost . perfect birthday meal . also recommend go korea town sample korean barbeque food cook front staff . 
 Mar 22 2008 	 another excellent stay 	 second stay UN Millennium Plaza . recommend book direct hotel ask ' in House reservation ' rather call centre . obliging & amp ; helpful . choose superior room refurbish East tower , upgrade Junior Suite , free charge arrival , advantage lounge & amp ; 2 bathroom . like NY sensibly price hotel , ' posh ' clean , spacious & amp ; comfortable friendly staff could wish . ideally locate opposite UN , quiet spot , 10 minute walk Grand Central Station & amp ; 15 min 5th Ave . eat hotel , turn right front door head John ' Diner super breakfast & amp ; treat like friend quickly feel like ' native New Yorker ' . super deli door away & amp ; Fabio ' italian restaurant , two door John ' Diner superb . 
