seriously 	 1st trip Las Vegas , stay Harrahs . gamble enough Atlantic City New Orleans room Vegas compe . check , go room discover view dirty pipe brick wall . go desk ask room change . tell desk clerk already upgrade junior suite ( news ) nothing available . cough paperwork hand back . check Monday afternoon leave Thursday . not spend one dime hotel / casino - go Bellagio spend ton money - service impeccable . 
 little disappoint 	 stay Harrahs whenever Vegas always satisfy . however , four night trip 46th wedding anniversay little disappointing . arrive around 11 tired flight luggage we . tell could get room 3 pm . ask anything available tell yes want upgrade . think extra money pay fact second year stay Harrahs anniversary mention many time stay would get pretty nice room . disappointing room ever . must small room hotel swimming pool outside patio door must upgrade . disappointed . thing noise room next door continue night long two night ( swear , cry , scream tv ) . 1st night could request move think maybe people would go next night . nope . one isolated incidence . really like Harrahs hopefully well experience upcoming stay . majority staff gem . 
 not stay HOTEL ! 	 start .... thousand dollar worth item steal room . door close lock properly ( video evidence ) security guard came make personal call room right front we . majority staff deal either care keep reffere us & quot ; Risk Management Department & quot ; seem comprise one man work 2 hotel . tell charge thing room clothe steal nothing wear . buy clothe tell could charge room . also tell would take three day & quot ; third party & quot ; review evidence . upon return home discover security guard never file report holiday . month half since incident nothing do . call hotel nearly daily update . one man say check lose find could find suitcase .... really ? MONTH later ? wow ! want compensation steal item somebody fix door . also , instal camera hallway elevator might help theifs can not come detect . not beleive security information find pamphlet room outdate , security manager tell we ! ! ! contact CEO run Harrahs among thng currently speak well business bueau Las Vegas . could write would take forever . not stay hotel , be good something bad happen ! ! ! ! ! 
 Aug 20 2009 	 Robbed Blind 	 rob Blind ? - althurman1 ? - TodayThe hotel age average condition Hotel staff min able good upon check find charge account $ 150.00 call comp upgrade anybody stay hotel need careful .. & amp ; apos ; expect kind amenity service would hope fore upscale hotel .I never stay shack give choice Vegas 
 Aug 17 2009 	 first time Harrah 's ok 	 stay Harrah 's first time recent trip divide time Mirage Harrah 's . always want stay . ( never go less hotel directly awesome one FYI ... lol ) stay comp still come 100.00 per night & quot ; incidentals & quot ; think ridiculous comp whatever ... make thing get start wrong ... walk room quick easy . Mardi Gras tower . I like Harrah 's breakfast buffet like fact player card also line pass long wait . say .. already knew like . might choose judge front desk folk . the room small worn cramp feeling . clean enough seem little dank something . suppose upgrade room really not know . seem little dumpy upgrade version ? know , know , hardly see room ... want place put stuff ! closet Chiffarobe . storage space take refrigerator price goody . lay phone floor outlet charge ! casino folk friendly . casino itsef little bit widy curvey tight old enjoy . walk access tbe strip simple except go thru vendor . the Valet parking little slow get valet parking strip Full Nightmare ... like say place okay will not go back stay . find another Harrah 's property . actually like IP much well far room concerned . 
 Aug 16 2009 	 Glad not pay heed bad review ! 	 one week prior trip Harrahs Las Vegas , daughter call state read recent review hotel regard poor service , security issue hotel casino , theft room , hooker , etc . book stay another hotel . since stay Harrahs property across US many year , tell seem unlikely thing could deteriorated much short time . thing bad check , would move different casino . from moment hit property , receive care treatment come expect Harrahs . check breeze ; wait staff exceptional - casino staff ; housekeep friendly great job . excellent trip ! ! ! ! ! ! ! perhaps complain , reason , , whine , whine , whine . look forward next trip ! 
 Aug 15 2009 	 Diamond Players avoid property . 	 reserve Deluxe Executive Suite comp offer website arrive practically beg turn oversized , rundown classic room ! outside large small standard room terrible . Harrahs seem take pride offend good customer ! Diamond Players stay away property ! 
 Aug 14 2009 	 Harrah 's remember 	 stay Sunday Friday horrible . room not ready almost 5 get 10 . complain get response . would never stay ever 
 Aug 14 2009 	 enjoy Stay 	 go Las Vegas bithday weekend . hotel room comfortable . room clean . leak tolet call maintenance arrive room within 5 min . arrive early even though check - in 4 pm , able check - in around 11:00 . check - in easy fast process . first visit Las Vegas Harrah 's recommend . really enjoy stay Harrah 's . 
 Aug 11 2009 	 Excellent excellent 	 stay Harrahs 5 night July 2009 . excellent location centre strip within short walking distance major hotel attraction . pay next nothing stay ( $ 16 night per person ) . overwhelmed welcome concierge frontdesk staff arrival . first visit Las Vegas , far good hotel strip . 4 adult share room sufficient space we include 7 suitcase ! also spend lot time pool area day find sufficient sunbed staff pool bar also welcome accomodating . not negative comment hotel excellent stay . 
 Aug 11 2009 	 great first time experience 	 husband aunt uncle las vegas week july 17 2009 thru july 20 2009 since first time ( spouse ) surprise stay harrah locate middle everything food good room always clean staff friendly always something hubbie since be young go club also gamble alot would recommond hotel friend want go already book next trip vegas walk strip visit upscale hotel elegant beautiful . would love stay one since first time harrahs hotel great we . 50th wedding annivarsary would splurg upscale hotel harrahs one sister hotel would choice ... 
 Aug 10 2009 	 pay view room not get refund 	 hotel room old , little worn . like one . okay . pay category . also pay & quot ; ROOM VIEW STRIP & quot ; per website . get room view parking garage partial view top building . charge rate full view room . upon complaint tell , well , kinda sorta partial view be good enough , worth additional $ 20 pay kind old , worn room SUPPOSEDLY VIEW strip.there million hotel Vegas , well deal $ 69 weeknight old room without view price class advertised web.there million hotel Vegas , almost well customer service . hmmm ... think Harrah be almost always available room ? Hmmmm .... ever occur one people stay one room might travel writer ? Hmmmm ... 
 Aug 10 2009 	 Good Time two Complaints 	 arrive Harrah 's Sunday , August 2nd depart Thursday , August 6th . always stay . plus side:1 . great location center strip , within walk distance many casino place eat.2 . good service staff . beverage server , slot attendent , check /check ( except one ) housekeeping.3 . house attraction : legend Concert show , duel Piano Bar , Rita Rudner show Mac King Show . side : Carnival court.4 . Free shuttle service Harrah 's properties.5 . Monorail access.6 . quietness room.7 . variety slot . ( not win much one anymore . ) 8 . Variey place eat . utilize Flavor 's buffet.9 . security personnel.10 . elevator , never wait couple minute . minus : 2 exception experienced.1 . upon check , card key would not function . believe lock mechanism become demagnetize . go elevator lobby check 3 time due give suite inconvience.2 . Diamond Card holder suppose receive priority service checking . occur go end line regular line . write Harrah 's regard .. like receive favorable response ? summary , enjoy stay choose property revisit Las Vegas , probably October . 
 Aug 6 2009 	 love Harrah 's ! 	 husband stay Harrah 's everything great - room comfortable . wait check - in room ready arrive . give we bunch coupon nice - recommend Mac King Comedy Show legend Concert - great . Harrah 's great location - & quot ; main & quot ; casino walk distance . always stay Harrah 's Atlantic City first time Harrah 's Vegas go back . highly recommend . 
 Aug 5 2009 	 Average 	 stay Harrahs July 28 , 2009 - August 4 , 2009 Mardi Gras Tower Room 1514 deluxe room . ask upgrade Deluxe Suite want $ 75 per night would move another room weekend not worth . room really small . think 's good one person . share bathroom mirror make single person . also , tv bathroom good sit toilet . not use . think people mention tv bathroom , kind mirror wrong . tub dirty ask housekeeping clean . tub sink would drain properly ask maintenance fix three day roll finally work properly . maintenance nice show quickly want thing fix first time around . housekeeping noticed cleaning give idea well clean ... room view Mirage Volcano hear music even balcony door close . not bother we not sleep time . room pretty quiet although hear toilet flush next door . side table move circle granite secure careful . the location awesome . 's McDonald 's next door cheap quick eat . eat Mings Table Cafe Harrahs mediocre food . would rather go eat place highly recommend Mesa Grill Caesars San Marco Venetian . take monorail walk everywhere . cab readily available free shuttle Rio . go usually problem may wait come back unless be seven Stars , Diamond Platinum player . spa Harrahs okay . facility mediocre massage okay . definitely go Caesars - awesome facility massage facial also awesome . property run summer special be excellent price . also manicure Riviera decent . pool Harrahs okay . 's place right side mister stay cool . 's also sundeck upstairs leave hand side . however , Caesars pool much nice even though construction around , noise not bothersome . casino small not lot choice . lose several thousand feel like not care pay much attention rate . $ 26 comp . feel Caesars much nicer take care . Ballys okay . even though room compe base previous play , not think would stay . boyfriend say would stay not room much . think never stay Vegas not need high class place , good place . next time , think will try Caesars . 
 Aug 5 2009 	 Horrible 	 get great rate expedia week . stay one night many ! start wait line check 30min 30 group 2 people check people ! finally get desk king bed room could give we room two queen ! great romantic vacation , wife room two bed ! say could upgrade 10 dollar get king bed room . hear happen many guest well . sound like scam make money go along review . remember customer service & quot ; sorry sir make mistake book , let upgrade free & quot ; lady front desk rude wife manager kid could care less ! ! ! never go back Harrahs las vegas stay MGM next two night pay 40 buck night get suite , great service wounderful time . Wish stay MGM three night ! ! HARRAHS SUCKS ! ! ! ! ! ! ! ! ! ! ! 
 Aug 4 2009 	 great time Harrah 's ! 	 please Harrah 's service . ' m high roller gal vacation greet every morning hall housekeeping . room small clean 's matter we . casino staff helpful well front desk . book king queens available check . pool area small big resort seem make sure used hotel guest . nice little outdoor bar adult beverage take cool dip . stay Harrah 's fall . 
 Aug 4 2009 	 good Stay July 31th thru Aug 3rd 	 stay newly remodel deluxe room 14th floor . room clean lot nice feature . large flat panel tv good reception small one bath also good reception . room quite slide glass door close . bed comfortable extra pillow set bed . buffet $ 5.00 price , good quality . drink service quick even play machine . duel pianos good act , twin two guy . outside band lively . great location strip , easy parking friendly staff . 2nd trip Harrah ' ; usually stay next door Imperial Palace . quality well Harrahs cost . would recommend Harrahs anybody look nice clean casino good location . 
 Aug 1 2009 	 good deal 	 would stay heartbeat . locate right middle strip . new hotel may fancier one strip . not know not go vacation sit room . hotel clean staff helpful . breakfast buffet good . would recommend 
 Jul 29 2009 	 Harrahs Las Vegas July 19 -24 2009 	 mid 50 's stay Harrahs twice . always enjoy friendly staff casino also short distance rooom strip . compe room time ask upgrade view . 6th floor Mardi Gras Tower . quiet short distance elevator . bed good linen comfortable . I spend one day pool . quiet relaxing , loud music day anyway . old crowd . young people kid . order lunch .. food good reasonably price . drink service good also . cabanas none use day . drink service good casino anytime day night . overall good midpriced hotel right centre strip . 
 Jul 27 2009 	 never 	 plan stay four night ( compe ) deluxe room Harrahs , supposedly one nicer renovate room . check first night never go back . I check Wednesday night six people check line ahead two clerk work . not take long take 45 minute get check . soon realize take long ; clerk completely incompetent move pace snail . check next morning woman help could slowest clerk ever encounter . first think clerk intelligent thinking certain purposely move slow . deluxe room give disgusting . bathroom look like barely clean . sort nastiness tub ... not even want shower . wall paper thin . bother loud noise night ; toilet flush , baby cry , kid party . bad night sleep . sheet , towle , really low quality . definitely expect maybe expectation appropriate Harrahs near four star hotel portray . never stay Harrahs . 
 Jul 27 2009 	 Prepared ` ` dirty '' Vegas 	 cheap hotel price airfare recently offer various travel website lure we Las Vegas week 4th July . airfare hotel 5 day 4 night , pay $ 375.00 piece . great price , bet . stay Harrah ' okay . , keep price mind . many note , casino smoky decor look old wash . list 4 star hotel would say like 3 good . two thing really notice trip Vegas . first one win anything , except crap table odd well . noisy , squeal slot , excite black jack player , nothing . bottom line , casino hurt need make lose revenue somehow . go day inexpensive food well . the second thing notice trashy everything , street , hotel , kiosk even people . , keep mind cheap price think understand mean . man stand outside casino give graphic escort card ' help much . feel sorry people young child . bottom line , going take advantage cheap price , make decision spend bit stay nice hotel Wynn , venetian Bellagio . realize ' want walk strip view trash , glad nice place go . 
 Jul 26 2009 	 negative otherwise positive trip ! 	 book 6 month 's advance ask take smoking room room close friend . stunk , call front desk see could change wait hold 20 minute answer . go front desk wait line another half hour tell empty room . 
 Jul 24 2009 	 fantastic hotel perfect location 	 worry one england hear hotel good time room clean comfortable staff friendly hotel clean . hotel good location right middle strip , room fridge tell need fridge medicine get one free charge . extremely happy can not find fault hotel go back hotel . 
 Jul 21 2009 	 good deal 	 least 4 yrs . high roller Harrahs , stay 18 time year ready go else . since new owner take go hill fast . everywhere look make cut . rase price food , give bottle water cafe buffet , place mat servere drink casino give napkin ask cut back making . name save money . front line employee still great will not find well anywhere even make cheapskate run Harrahs . understand Harrahs cut back maintain kind good customer service becasue lack personnel . if be main part casino peak hour security okay , stay hotel security prevent drunk thief follow onto elevator , happend . call girl even figure business . husband approche call girl Sunday 8 couple people tell thing happen husband , boyfriend son . Harrahs classie , safe place stay . would compare step Whisky Pete 's Stateline . overall cost worth . 
 Jul 20 2009 	 doubt ever return ! 	 not expect get quality service cheap rate ! would pay little extra money somewhere else well service & amp ; nice room ! can not find well place stay not look hard . take offer cause compe 2 night pay $ 45/ per night next 2 night ..... 
 Jul 18 2009 	 good place vegas 	 say enough great staff first day room request day leave last day become ill call EMS medical people put hospital make sure daughter room long need low rate think could go plus free nite kind food awsome get ill look forward go back agood time . s.spence 
 Jul 17 2009 	 Best Bed 	 hotel stay Strip , Harrah 's comfortable bed . long day af walk gambling take 2 second fall asleep . delight wake hour , fully rest achy all . the room bite small overall hotel well dumpy either . bed make shortcoming . 
 Jul 16 2009 	 head 's nice . tail nice . 	 may put overall rating 3 be like 2.5.first , truly dislike current practice offer low rate time reservation fly find 's large deposit require order check - in . whatever happen , & quot ; need credit card incidental . & quot ; draw ire considerably low rating . the good part stay location , parking , housekeeping . Harrah 's central strip , offer decent parking , housekeep kind consistent . not housekeeping , probably would ' ve check early stay elsewhere . the bad part stay involved check - in ( second bad ever ) old television room . think one room still need tv upgrade . some thing remain constant . range Steakhouse fantastic , gift shop find friendly , remain terrific base location strip ( go to move anytime soon . ) ; ) ' ve stay Harrah 's know be like thing nice nice . all - in - all consider Strip 's average casino . great location random surprise . 
 Jul 16 2009 	 will not back Harrah 's 	 disappointed hotel . start we wait almost 45 minute check . 's crazy . although get desk , woman pleasant enough . hotel casino need update . pool bad ! ring dirt around rim pool . tree cover kind . like swimming street New York City . almost get 2nd degree burn touch metal rail hot tub . go Vegas relax pool , find another hotel . room ok real amenity get pay , standard room . nothing horrible nothing special , either . get home , find iPOD docking station miss computer bag . put computer safe , dock station . definitely take stay Harrah 's . thing consider , would go back Harrah 's Las Vegas . 
 Jul 16 2009 	 Adequate - Pay Lot extra everything 	 stay Harrah 's early July 2009.the deal room rate good via Hotels.com . unlike reviewer room adequate reasonable view 12th floor . the room spacious clean bare bone - even coffee maker . the reason coffee maker whack [ lot ] absolutely everything . I know day 99 cent buffet long go [ want cheap eat anyway ] shock pricy dining Vegas . I pay $ 20 day basic breakfast , slice pizza coke $ 11 decent dinner steakhouse run $ 62 $ 97 one person . like previous reviewer security issue : check wait elevator man & quot ; help & quot ; hold elevator . way give tale woe buddy go home wallet airplane ticket luggage could not even get airport get home not cash . get floor continue story nobody would help tell call police become abusive threatening . guess thought fall hay wagon Kansas ' ve see creative scam Prague , Shanghai Bangkok . my check time nil apparently lucky generally long line every time walk ( see photo . ) not receive show comp not bother pay extra . also like previous reviewer notice marked drop machine payout strip . think par less local indian state - run casino . downtown casino bite well amazed fast money disappear . realize one expect lose every penny use let entertained hour two go . now . overall hotel adequate 's still fun see light glitz Vegas hold onto wallet not trust anyone . 
 Jul 14 2009 	 good overall show sign Vegas economic depression 	 stay four night Harrahs excellent rate 42.00 night . nice clean room pleasant enough atmosphere .. service hamper obvious cutback staff . check two staff queue hour despite peak time . arrive late night 12 hour drive check ordeal order room service . take 2 hour arrive harry none less pleasant server tell work alone . really sad see staff obviously depress worried still try paste smile professional . room internet free YAY ! work two four day ... thing notwithstanding still good choice mid strip location , old furnishing still comfortable room , friendly staff . 
 Jul 14 2009 	 great 2 Night stay 	 first trip Harrah 's Las Vegas say least good one ! deluxe room great value 69 / night ( one flaw Band Carnival Bar play 3 am ) . service great , everyone friendly . add prime location strip make great birthday weekend wife . would highly recommend Harrah 's anyone go back next time ' m back Vegas . 
 Jul 10 2009 	 last trip Vegas 	 travel friend Vegas July 3rd July 7th . 3 4 year . time stay Harrahs strip . Harrahs great location . right center action . not want rent car , perfect location since within walking distance Flamingo , Ballys , Cesars , Imperial Palace , MGM Grand Paris . get upgrade room check - in . ask fridge friend medication , say problem would deliver room promptly . check time ( line ) take 50 minute . room nice clean . comfortable bed ! however , fridge arrive wait approx . hour friend take med put & quot ; mini bar fridge & quot ; go downstairs gamble . get back evening , fridge still deliver . call front desk tell we would deliver minute . wait hour decide go bed . noon next day , stilll fridge . call finally 30 minute fridge deliver . friend change medication mini bar regular fridge . Harrah 's machine need upgrade . still old machine 10 year ago . new machine . machine pay we . machine local indian casino much well new actually pay ! prepared pay every convience Harrahs . charge 4.99 ATM 's money balance inquiry . charge 3.85 glass tea . 8 ounce bottle water 3.95 . 12.00 sandwich . extra 2.00 get anything go resturant . cost 5.00 use internet try access boarding pass . internet never work we put 10.00 . drunk second floor come Toby Keith 's bar decide hit hard butt try get internet access work . think halarious . 3 day still hand sized bruise butt . stunned action , would immediately call security . instead , wait 5 minute call get back room . ask front desk put 10.00 back tab since internet never would work . say nothing call internet provider get refund . tell man hit , connected security , tell call location happen . silly , think security camera everywhere . oh well , live learn . nice dinner four Outback Steakhouse . steak lobster tail we , 3 tea water tip 176.00 pay 60.00 per person Rio seafood dinner would recommend price . over course 4 day , use Harrahs card play sister casino 's recieve 41.00 comp . big surprise check . charge us 50.00 use mini bar friend medication . apparently , use room fridge anything personal charge 50.00 . exception ! ! guessing take 2 day get fridge deliver room . guess economy bad people spend much money gambling feel rob way make bottom line . anyway , last trip Vegas . drive 30 mile indian casino great comp , new machine actually pay treat respect . year Vegas probably 20 time . stay least expensive expensive hotel . find good way Vegas rent condo , rent car . way comfort home car go anywhere want go , anytime want go . condo usually 150 250 week car . condo usually sleep least 4 washer dryer , dish , cooking utensil , outdoor grill , complete kitchen , jaccuzi condo pool outdoors . 
 Jul 9 2009 	 good locationb DealBest buffetlove outdoor carnival theme ! ! ! 	 good time ever , great deal room nice good size away noise .Great selection economical food store one minor complaint staff harrah 's much attentive price not mind not look talk . definitely back ! ! ! 
 Jul 8 2009 	 Served well 	 stay property July 1 - 4 . complaint . check great room ready 10:30 a.m . Carnival Tower room face lift awhile clean everything need . agree post pool not good . 's bit cramp late day lot debris around ' ve clean . meal Harrah 's , certainly plenty option . love energy live music outside piano bar inside . use shuttle Rio check WSOP . good , low cost option great location . 
 Jul 8 2009 	 Excellent service 	 mom two boy stay visit family live Vegas . everyone great nice even boy . would definitly stay , great location great service . 
 Jul 8 2009 	 Vegas Surprise 	 husband stay Harrah 's vacation . read review scare death lot negative . Harrah be totally awesome . stunned . room neat tidy , roomservice excellent , husband upgrade room & quot ; view & quot ; , first Vegas trip . perfect view . could see full volcano erupt Mirage . perfect . learn thing first time Vegas visitor expect bad . feel obligated share.1 . lot negative review & quot ; smokey & quot ; smell hotel / casino . hello ! hotel build 1972 , people smoke EVERYWHERE ( could not escape ) . freaking sense people ! smoker go smoke hence & quot ; smokey & quot ; smell . think lot review dramatize . husband allergic tobacco smoke , one allergy attack . not bad all.2 . lot negative review & quot ; upgrade view & quot ; . ok , personally think people hear & quot ; view & quot ; think movie see whole strip . ai not go to happen Harrah 's , you re middle strip . view great not set disapointment . 3 . lot complaint room , plug , thing nature . not understand , would go vacation Vegas sit hotel room play laptop , text phone , watch tv . waste . room totally efficient go Vegas play . intention hotel . bad side room , house coffee pot . suck . there thing wish warn . 's tip first time Vegas vacationer . 1 . plan extra cash food , sooooo underbudgeted meal . 's cheap eat Vegas matter people tell . 2 . people handing & quot ; dirty & quot ; business card everywhere . teenage boy dream ! card end scatter ground easy slip . 3 . not get obliterate drunk Vegas . come on people , be ok drink know say . thank God big heart , help quite girl find hotel room could barely walk . one girl wrong hotel . good people . I personally think Vegas family , judge ? personal problem people baby stroller , walk around 1 . think 's way inappropiate . please people , Vegas great wish would little boy see LOVE , Volcano , Bellagio fountain . parent , know wait see stuff , plus video tape . overall Vegas adult town , recommend small child . opinion ! last tip : check Toby Keith 's Bar Grill . good food , great service . real hardworking sweet serve staff . 
 Jul 6 2009 	 check - out surprise ruin stay . 	 book classic room , upon arrive decide pay $ 15 night newly remodel room Mardi Gras tower , $ 20 sandwich trick fail score free upgrade . the room nice , include LCD tv . bed really nice , provide plenty pillow , duvet , believe . view kinda stank , none Harrah 's room offer really good view Strip . the bathroom also nice . Granite counter , nice tile , nice big mirror shower provide plenty pressure hot water . but , stay ruin upon check . leave cash deposit , visit front desk checking . inform owe $ 60 long distance charge . ask could , use phone 4 time , total 10 12 minute . clerk tell $ 11 fee connect . WTF ? justify ? can not ! charge ridiculous fee fleece unsuspecting guest . greasy ! 
 Jul 5 2009 	 go Vegas stay Harrahs ! 	 stay 6/27/09 7/2/09 pay extra room upgrade . roomcould use refrigerator coffee pot . stay Harrahs Atlantic City thetime new tower beautiful . can not imagine room would look like not pay upgrade . show good - comedyat Improv Legends concert . cocktail waitresses nasty . hadbooke tour Hoover Dam desk purchase ticket wewere never tell since Sunday would horrible traffice due peoplegoe home Arizona California . tour guide inform we wasalready late purchase ticket . woman desk informcustomer purchase ticket . lucky nothave plan evening otherwise would late return back thehotel . bus air conditioning hardly work everyone wascomplaine since 107 outside . tour guide great company not send bus - book Harrahs . pool ishorrible compare pool area . also , play slot 5 day couldn'twin anything . go across street Mirage ! ! ! day trip husband get ill call doctor prescription . when ask information desk close pharmacy tell therewa one near MGM . take cab find valet thatthere one right near venetian - next hotel near Harrahs . bemore inform . next trip stay - maybe try sister hotel . stilllove Harrahs Atlantic City much well . 
 Jul 5 2009 	 bowling tournament 	 stay rio , , what shame , , classie joint 10 year ago , , now bad corner juke shop , , courtesy , , jus money grabber , , ship bowling bag destroy bag would even refund cost shipping , , , never go people operate , , shame 
 Jul 2 2009 	 great room great time 	 get back 5 night stay . read lot review think go nightmare get correct room book . room compe Ceasers watch sight executive suite Harrahs available compe night . switch reservation take son first time Vegas 25 . think suite would better separate bedroom . also Harrahs right middle . arrive hotel prepared argument check ' even ask question give key suite . room . huge bedroom , huge bathroom Jacuzzi separate shower area living room . living room fold couch son . view never ask view . want view would take helicopter ride Vegas . maid service great . leave note return everything ask . absolutely complaint staff , helpful also ' lot question past . check breeze . check early use bell service luggage , line . pool ' great morning reading paper . thing great . go back month son want stay Harrah . weather 100 ' take monorail help get heat . good part trip 3 jackpot , 2 Harrahs 1 Bills . stay alot Harrahs resort Vegas AC never problem Vegas , AC . 
 Jul 1 2009 	 harrah enjoy life 	 overall good enjoyable experience . check ok make give credit card deposit $ 200 even though pay advance , way refunded mean oustande CC bill beware travel outside US lose out . the room 27th floor Mardi Gras tower everything want spacious nice bed bathroom fine . view great vegas many time hardly bother I . the facility hotel fine , try spa facility good nice gym sauna stream room etc.the pool fine , one lie pool bou swim poo good first thing morning swim inthe buffet well eat vea long time , cafe ok never try rest . I enjoy gambling , would prefer smoking ( finally ban ) get quite smokey there . location superb bus expensive taxi catch walk everywhere strip . I would definetely stop 
 Jul 1 2009 	 NEVER 	 first night , hot water , even warm , move we next day , room ready , take luggage bell station ( another tip ) , tell come back around 4 , stand line , walk ask key . , scream one front desk clerk , business work public , embarrase actually make cry , sick , run 103 , manager try make happy give $ 30 room service credit , check try charge . next 6 night room AC suck would go 78 , front desk people main problem , rude would never , never go back . Harrah 's hotel really go hill . 
 Jul 1 2009 	 Good Hotel Great Location 	 friend stay room 722 Carnival Tower June 25 - 27 , 2009 . good : Location ! hotel center strip . easy walk property & quot ; food court & quot ; right outside door . eat . starbuck right elevator . room fine 3 guy . little small not much we . room clean safe . harrah willing work price get door too . the bad : self parking garage confuse enter . table limit $ 10 even slow morning . Casino Royal right next door low limit . view room parking garage . big deal . 
 Jul 1 2009 	 Great value 	 room Mardi Gras tower , new room flat screen tv even one bathroom . room nice , little small side really not care wife . bed comfortable location can not beat ( Center Strip ) . good value . 
 Jun 30 2009 	 great locaton 	 would like start say room clean spacious bed comfortable . good part stay . would suggest put coffee pot small refigerator room . would nice able make cup coffee wake up . the negetive part make reservation tell hotel ask credit card charge card $ 100.00 per night stay , even room comp . imagine surprise want charge $ 600.00 without tell . hotel take card hold charge check . would highly suggest reservation people explain policy reservation make . 
 Jun 28 2009 	 happy stay 	 first stay Harrah 's travel first timer Vegas . read reviews problem check - in bit antsy . ( wife ) wait line 25 minute . could see unhappy people counter ( hear one person reservation thru travelocity not show Harrah 's system ) . friend arrive desk , clerk take reservation ( book separately ) ask tower know pay new room . able put we Carnival Tower ( think Mardi Gras new flat screen tv 's . . . whatever , not come Vegas watch tv ) . room 16th floor , comfy bed , view volcano Mirage . husband happy room . friend happy room well . overall , think Harrah 's easy get around previous trip Flamingo . also happy buffet cafe . 
 Jun 28 2009 	 great hotel .. pool .. ok .. 	 husband stay Harrah 's May 4th- 9th .. upon check @ 11:30 a.m. room ready , room 15 floor Mardi Gras tower .. room nice , nothing complain rave ... Vegas .. need big fancy room . impress Casino . layout make want gamble .. like casino Freemont Street .. much variety , waitress always around ! ! Harrah be right middle everything , go Revolution club Mirage .. wear heel not big deal short walk . pool ok , small alot Vegas pool , able find two pool chair .. till close time 6 .. drink 10 buck piece daquiri , guess reasonable .. overall stay end August guess get we come back .. ( problem smoke room non - smoker .. 
 Jun 24 2009 	 horrible ! ! never 	 stay Harrah 's June 18 - 22 . arrive , expect least greet kindly , instead , greet grumpy woman appear anxious clock . offer pay $ 10 room view , agree . needless say , walk room , old , smell bad , view overlook air conditioner . call front desk move renovate room , agree move we , however , since still & quot ; upgrade & quot ; , still needed pay $ 46 . girlfriend check evening give room extra charge . staff insist still upgrade charge need apply . one flexible give reasonable explanation charge . tell last time step foot hotel . 
 Jun 24 2009 	 horrible Front Desk Staff 	 say first person meet set tone remainder stay never know true . recently check Harrah 's get - away trip friend . get desk girl rude person ' ve experience long . McDonald 's drive - thru staff well customer service skill . look check guest seem equally miserable one prize . since could not handle check , ' Alame ' not get anything right room . process perceive problem go supervisor assistance seem unhappy job . , check - in terrible , room right , rudeness person set tone rest stay . 
 Jun 23 2009 	 Great Location Great Beds 	 get back first trip Vegas . birthday gift husband . Harrah 's Las Vegas great hotel stay . check quick easy . room average , , sleep 12 hour 4 day alot . can not say anything bad hotel . clean , everyone friendly , bed OHHHH comfortable ( especially tired leg foot ) . would stay , 's location strip . monorail stop right hotel , close enough action within walk distance strip . love . find smokey ( smoke ) . service casino quick . would recommend . 
 Jun 22 2009 	 bad price 	 first trip Vegas in - law travel love Harah 's stay . price definitely reasonable , room clean pool basic totally satisfying . however issue try get clean towel deliver room . tell management credit room small amount inconvenience . think pillow nice bed seem little hard taste . go back Vegas , would definitely pay little stay venetian , Wynn Mirage . casino ok nice hotel . upset order use fitness center , pay daily fee . much spending eat casino ( mention pay room ) , seem like no - brainer order annoy guest . hotel great location center many casino nice . 
 Jun 20 2009 	 Vegas need bed 	 Harrah 's good enough will drunk will not care 's three star hotel ! room clean might get room view ask , care , 's Las Vegas ! go drink Blackjack table forget issue hotel . do eat penazzi restaurant rather & quot ; Flavors & quot ; . 
 Jun 20 2009 	 hotel - good value money ; casino - run 	 Harrah 's offer reasonably price hotel great location . across street Mirage & amp ; Caesar 's Palace . upgrade room Mardi Gras Tower Carnival Tower find original room smell like smoke even though non - smoking room . tell room Mardi Gras Tower recently refurbish / update . view window important , stay away room # 506 even # 's room around floor face heating / air conditioning unit . room well appoint & amp ; spacious . could hear hallway noise could hear neighbor well connect suite door . like room keep cool , keep air conditioning set low temperature . think a / c might motion activate since find become cooler long back room not day long . pull curtain closed try keep room cool maid service pull wide open every day cleaning room . ammenitie bar set kind monitor system charge remove item spot want see , not even move ! bathroom spacious clean . towel clean . shower pressure good adequate . flat panel television bathroom nice touch . bed comfortable sheet & amp ; blanket clean . onto casino . unfortunately , nothing influence gamble . casino dingy & amp ; outdated . surprised Harrah 's let go much since also own many upscale casino strip . slot boring & amp ; table mundane . ' m sure theme hotel be try many thing many people time . would suggest hire someone clean glass door main entrance every 30 minute full greasy handprint time . nothing invite outside passerby stop & amp ; gamble . skip restaurant especially cheap steak & amp ; egg late night dinner . go Denny 's breakfast step street . will save ton $ $ . ' m predict casino next one implode cost update & amp ; refurbish start . stay , probably would reasonable cost , location & amp ; clean / comfortable room . hope enjoy stay ! 
 Jun 19 2009 	 well .... 	 book two adjoining room one handicapped husband one 83 year old Mother health issue . need keep close take needle diabete . arrive late around midnight March 22nd adjoining room available . clerk discuss something manager put two bedroom , three bathroom suite adjoining overnight Mother wake 84th birthday luxury deserve . let we stay 1 2 pm Susan Hayward ( believe name ) phone constantly reassure we would adjoin room available . within hour settle great room adjoin Mother thoroughly enjoy trip first class service receive everywhere Harrah 's . return . way go Staff ! ! ! ! Lynne Kowalchuk - Winnipeg , Canada 
