agreeable 	 locate nicely midtown easy access subway . lots selection eat shopping nearby . construction lobby minimally inconvenient . room clean well proportion , staff friendly helpful , even NYC . 
 Staff wonderful remodel underway 	 large group famile jump roper Macy 's Thanksgiving Day Parade . Staff get we room long bus trip always help detail . hotel undergo remodeling ( need many NYC hotel ) , clean comfortable . internet free lobby warm cookie available time bonus . busy time person receive individual attention service . Hilton standard , realize construction go , maintain . staff helpful take care need . New York hotel room small fact life . clean important group complaint . 
 Location good -- -but 's ... 	 always try stay Hilton chain .. hotel old run . construction take place Nov 30 , probably good thing . room really small sure hot . NYC , hotel turn AC winter . 1 choice , heat open window . noisy horn blow etc .. staff excellent one thing bad breakfast .... chef consider career option . restaurant business , could not believe put .... cold bland ...... wise , location great .... 
 Mar 2 2009 	 great mean 	 lobby hotel exterior would expect Hilton , room poor . first room give first floor mouldy , damp smelt musty , also look like not decorate decade pretty unhappy . ask switch basis damp switch room executive floor ( 17th ) helpful pleasant staff . room exactly layout , size decor far execituve time clean slightly big bed . happy do not put damp / mould . decide live average offering get frustrate could hear everything neighbouring room include wake call . would avoid hotel cost unless quality room noise important . plus side staff location spot . 
 Feb 27 2009 	 good location ; adequate hotel 	 typical overprice New York hotel ; small room expect , location good nearby subway easy walk many , many sight . would necessarily stay , would consider price right . the staff friendly helpful , front desk restaurant . restaurant reduce hour , beware . open early , even open 20 minute late one day . room service horribly overprice add fee . restaurant buffet breakfast ( include hotel price ) excellent quality ample . problem try charge young teen $ 25 join . resolve front desk offer voucher restaurant insist two voucher per room permissable ! room clean bathroom sadly deteriorate : break toilet seat , leaky faucet , mildew shower curtain , peel paint , break seat drain , break door lock , chip tub , etc . clean , shabby . Lobby joke — a clash style absolutely charm , care ? not entertain , humorous . great tv room ( although seldom use ) . nice soap shampoo . expensive mini - bar ( price list warning use mini - fridge personal item ! ) coffee maker room . quiet ( side away fire station ) . comfortable bed . wonderful chocolate chip cookie arrive . concierge bit snooty , helpful . 
 Feb 23 2009 	 Great Location 	 stay Christmas period two teenage child 16 18.We 2 room , room tidy comfortable nice bathroom . the location great within walk distance 5th Avenue Broadway . the side inadequate lobby space , part big group lobby small get crowd waiting meet . 
 Feb 18 2009 	 Good 	 Excellent location right next subway Metro Deli . nice staff , adequate room , good comfortable bed . coffee maker room would nice . big negative bathroom - musty , moldy smell cheap , thin plastic toilet seat . evidently attempt make redo bathroom area lovely tile direct contrast peel chip paint door obviously recylcle . sink area separate , also new ' trendy ' - towel rail hook nowhere set makeup , toiletry , toothbrush etc . room 3rd floor corner street noise obvious not bother we . may find noisy . 
 Feb 17 2009 	 ok not expect much 	 stay 1 night . clean place , although filth not would deter quick stay -- lobby , one , need improvement dinge , wear dirty furniture . room seem clean lobby far , ok comfort nothing exceptional ... definitely price tag stay reflect : bed sheet feel cheap scratchy , pillow decent . horribly busy firehouse across street even - number room , option heat & amp ; fan set thermostat- mean sleep noise firehouse crack window order avoid sweat death . staff friendly , although simple concern transfer telephone * seven * time . also try rip bill MiniBar- accidentally nudge sensor - protect shelf goody hand next day $ 18.oo worth charge food / drink consumed- take care , though willingly . internet access room would not work . 
 Feb 8 2009 	 good location shopping / sight 	 stay partner 24th - 28th Jan 09 , prompt check - in free warm cookie reception , 4 lift available floor , initially upgrade King Size room 2nd floor , corner Lexington Avenue 51st Street , room appear great go bed realise sheet bed previous guest . phone reception speak manager promptly send head house keeping room also arrange we relocate another room 16th floor ; room spacious clean ( see pic ) . bed really big comfortable , room iron ironing board , safe ( free ) hair dryer large tv available . bathroom Neutrogena product ( shampoo , condition , soap moisturiser ) . although refrigerate mini bar snack bar available cost move product , 15 - 30 second ( depend setting ) replace otherwise will automatically charge . there internet available room pricey , combat go reception ask internet access give access code use internet reception good 's free , ideal use confirm flight back home pick seat . there gift shop within hotel restaurant bar seem busy every night . gym location 2nd floor . a metro locate right next hotel . walk Times Square take we 15 - 20 min ( depend cold ) Rockefeller Centre 5 - 10 min walk , 5th Avenue ( Tiffany ' , Louis Vuitton , Abercrombie etc ) .overall good hotel location , friendly staff always helpful . would stay ? yes . 
 Feb 7 2009 	 Perfect stay great location 	 Doubletree Metropolitan New York , everything could ask . service great room comfortable . luggage lose flight , make sure supply room extra ammenitie lose plane ( toothbrush , deodorant , etc . ) . even give we two free drink bar ! location great able walk right int heart Times Square minute . room modern flat screen tv bonus ! two complaint though . find mold grow vent bathroom dinner restaurant less desirable . despite , would still recommend stay hotel . 
 Feb 5 2009 	 great way around 	 girlfriend go New York City see play . choose Doubletree , first , proximity theater , second , receive overall good review Trip Advisor . fly La Guardia $ 35 cab ride hotel . & quot ; carry & quot ; size luggage bellman never even approach we - prefer deal luggage . trip reward certificate Hitlon Honors 80,000 point two night . kathy front desk super nice honored request high floor ( # 1604 ) . ' m travel country boy think lobby look nice , never crowded Super Bowl Sunday . Hotel Bar & quot ; Met & quot ; bad many level . go one night Abdul bartender engross tv not notice several minute . Guinness another beer $ 13 + tip .. decor bar hodge podge 70 's flea market .. seem dirty lot food crumb floor hardly customer . staff maid Assistant Manager friendly - shock maids hall go way greet . one issue opinion lie least mislead female concierge . upon arrival ask go Statue Liberty try dissuade say would crowded normal ferry . much quick whip private cruise boat try get cruise . opt go Battery Park check -no line quick get ticket , quick get ferry go . room small functional , bed great get much street noise . there s coffee service room . Hilton Honor member get certificate go 17th floor breakfast . nice mainly carbohydrate type breakfast , muffin , fruit , cereal , etc . Sunday morning close front desk give we voucher eat restaurant . guy amazing way move people around good sense humor - complete hot breakfast . pro : nice location , friendly staff , great bedscon : concierge mislead we ; hotel bar nastyi would stay 
 Feb 5 2009 	 nyc2009 	 check previous review , bit worried room condition , actually check 1/25 , concern vanish . room tiny ( stay one night , bother we ) clean . furniture also look new pleasant ( guess guest unlucky get non- renovated room , feel room wear ) . bed comfortable , shower everything else room function properly . besides , several lamp room , bright , really plus . choose hotel good location cheap price , anything complain . 
 Jan 29 2009 	 Bait Switch ! will not back ! 	 exterior lobby suggest spiffy new image hotel , be like classic bait switch scam . while hotel previousl offer full array service , long even offer room service available day . can not even get pot coffee send room ! restaurant also open every then . when call complain , general manager never return call . call discuss issue , manager duty explain great sarchasm & quot ; life full disappointment . & quot ; will not back suggest many , many superior hotel New York within price range . 
 Jan 29 2009 	 good location amenity reasonable price 	 stay several time , be get well . room update little smallish ( typical Manhattan ) , giant flat screen hdtv , comfortable bed , clean bathroom . excellent location midtown . good place breakfast right next door . staff pleasant . free wifi lobby , $ 14 room ( nickel dim detest ) . coffee maker room , minibar want pay price . otherwise , bad choice get chocolate chip cookie upon check - in Doubletree 's promise . 
 Jan 29 2009 	 Bed Bugs Abound ! 	 wife stay room 806 DoubleTree Metropolitan Jan 23 - Jan 26.Both we bite several time . tell hotel , say send head housekeeping check claim , tell we find bed bug . also say call exterminator , find nothing either . there possible way could bitten outside hotel room . never really get freeze outside , could not pick Central Park . doubt pick subway , cab theater . 
 Jan 29 2009 	 well hotel New York 	 must one bad Doubletree Hotels , room small stuffy , bathroom tiny , sink bedroom rather bathroom , tea / Coffee maker due fact & quot ; guest keep steal take & quot ; quote front desk . careline staff great customer focus , front desk staff ok exception service industry ! lack interest rude . breakfast great get well deli next door half price , mostly dry greasy leave dish long . lot manager around one seem take charge hence bad getting check . get good deal put fault , would need make big change much much well hotel value . 
 Jan 26 2009 	 enjoyable 	 partner stay hotel 5 night January . upgrade king room , greatly appreciate ! complaint room , clean thoroughly every day , sheet change often want . bed extremely comfortable , nice big tv ( be go watch much tv be New York ! ! ) 15th floor , yes , fire station across road could quite noisy - really big deal ! never wait long lift , move quite fast , complaint there . Most staff friendly find concierge helpful . location great - 5th Avenue , Times Sq . Rockerfeller , Central Park , St. Patrick 's within easy walk distance - subway extremely convenient ( right outside door ) easy use , reasonable ... try get map early , familiarise ! real complaint hotel tea coffee make facility room ( even lobby ) , long day sightseeing , would welcome . complaint want store luggage , pay dollar leave bag - pay another dollar take bag ! ! charge $ 2 per bag ? ? ? matter principle , stay 5 night hotel , feel bit cheeky ! though - get good rate room , feel well worth pay , would consider go back ' m lucky enough get back New York . 
 Jan 20 2009 	 hotel . 	 price wise chepest get class downtown core . staff wise , friendly enough upgrade well room complain . clean , location excellent , price reasonable , get everything exception free wifi . pro : - reasonable price area- excellent location ( right next 52nd st subway station ) - friendly staff ( ) - room clean tidycon : - even 14th floor ( room locate ) , street traffic loud , loud enough affect sleep quality . Police Station right next , hear cop car go every hour.- not know design door , whenever someone close door , create LOUD bang . annoying.- be stay low floor , room small . ( not ) - lobby often crowd people.- terrible restaurant have.- lack parking 
 Jan 19 2009 	 dissapointe - try another Hotel NY 	 return weekend stay Doubletree Metropolitan NY . diamond member stay hotel 150 night year . outdated hotel need upgrade . staff rude . ask subways map , direction airport , restaurant recommendation , etc multiple occassion different people get blank stare like & quot ; dare ask Help . & quot ; never get response question . call front desk twice assistance time could say anything would transfer without even know want . stay 5 Hilton chain hotel NY . give Diamond member free hot meal free internet . place neither . get English Muffin pay $ 14 / day internet . positive side , parking garage nice . $ 30 / day be not bad city , location decent want hit 5th ave shopping , close subway ( 50 foot door ) , drink bar excellent . I give place low rating mainly poor customer service benefit diamond member like Hiltons City . choice , go Doubletree Suites Times Square . 
 Jan 17 2009 	 Great Location Comfortable room 	 corner Lexington 51st ( subway stop ) hotel convenient spot . staff friendly welcoming . queen room 16th floor back hotel quiet . room small small ' ve stay New York . new clean comfortable bathroom well appoint room help make 7 night stay plesant . starbucks accross street ' es - a - bagal ' around block ... upon check front desk agent without argument remove $ 36 charge room due faulty room drink snack bar . I would stay ! 
 Jan 17 2009 	 Good Hotel 	 boyfriend stay hotel Dec 31st Jan 6th , originally book three night New Year , great location price online Opodo extend stay here . I would say whole hotel seem nice , everything room clean , carpet be not wear bathroom area perfect condition . problem ever lift slow time day . staff helpful checking in / out give information direction place want go . end stay bill minibar three item , even open fridge nevermind take thing ultra - sensitive shelf , staff remove bill without fuss . room also face fire police station , think noticed siren maybe three time stay , problem all . when extend stay change room , allow stay room past check time next room ready 3 pm , upgrade king size room free bit big queen make lot difference , queen ok , bit small suitcase in . I would say one downside stay next nosiy guest 1st room next noisy teenager respect guest , twice security call quieten , personally think throw 2nd time would come around 4 - 5am shout scream corridor room . would seem wall bit thin . as say , great location , walk away time square , 5th avu etc , easily get subway station right next door get day pass $ 7 ! bargain ! eat pax breakfast around corner breakfast special cheap enough good quality , also try Ess Bagel Metro cafe next door sandwich salad . overall , good hotel would stay ! 
 Jan 11 2009 	 book 's cover hide imperfection 	 stay 1 night January . outside public area , hotel look quite gleaming . lobby area redesign remember 6 year ago . 's modern feel . staff friendly . location great many place eat nearby . subway station outside . parking adjacent lot $ 30 hotel stamp . bad part need leave car valet , need move everything car . standard room tiny . adequate single traveller , cramp 's small kid . tv desk new , bed furniture seem old . carpet quite dirty . internet cost extra . wireless bit spotty , ethernet work well . , bad handle imperfection . 
 Jan 6 2009 	 ok great 	 consider mediocre place ' m bit embarassed stay several time year several incarnation ( use Lowes hotel ) . room rather tired , lousy view a / c unit roof adjacent bldg . somewhat crumble mortar bath add feel . nice location , block remove Rockefeller Center walk distance great restaurant ( eg Rosa Mexicano ) . concierge helpful . Adjacent park $ 30 / night hotel discount , ok city . unless get great price ( like $ 150 ) would proably stay Beekman Towers block east . 
 Jan 6 2009 	 overall good great location glitch 	 stay Doubletree Metropolitan December 29 30th six year old son . stay past , become doubletree . overall stay good . pro ; can not beat location . hotel step Rockefeller Plaza St Patricks within walk distance Times Square Central Park . room good size , especially NYC shower pressuer great ! bed comfy , room mini bar gorgeous flat screen HD tv ! staff friendly helpful . con - site parking . parking garage ' ve arrange within half block , still hassle schlep luggage . also , go pull tell garage full tell hotel stay one night . Bear mind New Years Eve town pack already . leave however , several scratch rear bumper . course do not notice get home check car pull ! ! ! ! also , lobby unimpressive dungeon like . room service 4 pm be renovation restaurant . room coffee . also , service site restaurant slow . overall , good deal NYC rate $ 249 compare hotel $ 400 . definitely workable ! ! 
 Jan 5 2009 	 small noisy good location . 	 could take shotgun broken fan whir constantly outside window 3 night stay ... , mixed half - hourly mess fire engine / ambulance noise come part midtown Manhattan experience , mean stay not exactly relaxing . that say , actual location great - nice quiet place get breakfast morning , view Chrysler building right angle , 51st Lexington Metro station literally next door , hugely convenient 's right line get Statue Liberty ... 's east Midtown , be close Rockefeller Centre , NY Public Library 7 block North East Times Square . the room little bit big average , still felt cramp . 40 inch hdtv do not work - call engineer - tiny bathroom . there be & quot ; Business Centre & quot ; downstairs , accessible guest , 3 pc charge dollar 5 minute internet ( accept bill card ) , 50p per print page . bar dark foreboding , always pack happy people suppose can not bad . the cookie superb . good cookie . do not make slightly po - face staff though ( bellboy tv engineer nice , desk staff not ) .I ' m give place 3 5 central location subway station . 's good place 's easy travel , really - consider price , be not conveniently locate - 2/5 hotel . Noisy , cramp , tv break , staff not welcome . 
 Jan 2 2009 	 Past 's Prime 	 stay three night start Dec. 29 , 2008 room 832 . hotel great location , definitely past 's prime . lobby room dingy , dirty wear . first notable mention would dust cover surface room especially & quot ; food mini - bar & quot ; , make kind gross . whole room old thread bare break mini fridge cabinet door , chip furniture tired look grimy wall . bathtub faucet leak , sink drain back brown water , hot water disappear one morning , hall noise unrelente along crash sound closet , housekeeping show late day ( 6 pm ) . look another room ( # 932 ) hope find well choice , one look similar . hotel need major upgrade keep 's Doubletree reputation . disappoint hotel . redeem quality Doubletree comfy king bed . 
 Dec 31 2008 	 great choice ! 	 travel New York short notice accompany daughter job interview , search affordable hotel Midtown area . doubletree perfect deal pleasantly surprise hotel upon arrival . hotel , although luxurious , comfortable clean , staff accommodate . room large well appoint . daughter love bed . location hotel make hotel choice future visit . let forget mention warm , delicious chocolate chip cookie ! 
 Dec 30 2008 	 Pleasant Clean Hotel ! ! 	 stay Doubletree Metropolitan two night December 28 - 29 , 2008 . check quickly pleased room ( king size . ) PROS : bed comfy room good size NYC standard . bathroom rather small although sink outside bathroom , nice feature . flat screen tv HUGE great ! great floor ceiling mirror room well great big desk nice storage . elevator extrememly fast conceirge quite helpful . subway right outside hotel taxi . con : aware police station across street siren quite loud throughout day ( bad night . ) sleep take quick afternoon cat nap really possible light sleeper . also , bathroom fan blower , bother people . wall thin hear people pass hallway ( turn air conditioning heat high definitely help siren hallway noise . ) recommendation : check pax great breakfast spot . block away- 51st 3rd- everything bagel yogurt / granola parfait cereal hot breakfast . upstairs , second floor seat available people watch enjoy newspaper overlooking bustle NYC street . also , Metro Cafe right next door hotel great ! ! salad bar , pasta bar , everything quick bite eat ( like sandwich side dish ) munchie ( nut , fruit salad , cookie , chip ) freshly make sandwich panini . price not bad ( NYC ) will not blow budget . cornerstone restaurant great lunch spot block hotel 2nd Ave ( think . ) fun little pub style place top notch lunch menu . price great , ( NYC . ) enjoy ! 
 Dec 28 2008 	 never 	 reserve double standard room 12/22/2008 -- 12/27/2008 ... room # 1041 small , major need repair due mold bathroom grout shower , break tile shower , baseboard falling , tv useable 2 day ( major game miss ) . , heat room work . front lobby hostess lie tv problem . ask 11am day 2 , tell still work . ask 2 pm inform come duty could leave lobby check problem . inform speak 3 hrs early , deny . tv fix 5pm day 2 offer adjustment bill . this 5th stay Metropolitan last ! ! housekeeping staff great .. polite accomodate ...... charge rate ... look place .... place rate 3 star deserve 1 1/2 good ... happen ? ? ? ? ? 
 Dec 27 2008 	 Perfect Hotel everyone ! ! 	 hotel simply fantastic ! stay twice glad say book third visit next year ! staff wonderful . greet smile make feel welcome New York . even give warm fresh cookie ! ! room immaculate , everything look brand new ! room spotless big ! bathroom modern shower divine ! flat screen tv channel would want ( watch much tv New York ! ) . conceierge friendly polite huge knowledge see ! location hotel amazing ! short walk Time Square , Chysler Building Empire State . also gorgeous deli street perfect quick snack ! also go make sure visit famous Marilyn Monroe subway grate locate road ! 
 Dec 21 2008 	 LOVED NEW YORK .. Great Stay 	 stay Dec 13 thru Dec 17 . never New York little worried . room little small view , not come New York stay room . staff friendly helpful . problem purchase tickit & quot ; Wicked & quot ; overpay $ 60.00 ! ! ! ! complain tell we broker 's price . would liked know price hand , say would make we ... still wait . trip great . subway easy use cheap taking taxi everywhere . taxis great weather get bad . hope Great Time New York ! ! 
 Dec 9 2008 	 could not find single fault hotel 	 can not say enough good thing hotel . I take Mum away Thanksgiving weekend celebrate retirement . write hotel advance tell special event . could not believe room arrival - retirement card sign individually 20 member staff platter cookie . cookie replace everyday lovely lady clean room . the room clean comfortable . location fantastic shopping . boomingdale block north Saks block west . walk Times Square chilly crisp evening lovely soak atmosphere city . we well look hotel . call Careline also Accomodation Manager Mr Holmes check OK . mum feel really special holiday remember . will tell friend stay . 
 Dec 1 2008 	 Awesome stay family ! 	 fifth trip NYC , hotel rate top 2.the good location , block Rockefeller Center Radio City Music Hall . a 15 20 minute walk times square . we take trip two teenage boy , hotel perfect getaway , Loved walk city , even cold weekend November . this hotel spacious nyc.our family four enjoy stay . we arrive Friday 11 ; 30 a.m. front desk staff quickly check we in . our room 438 , double view front street hotel . nice warm cookie , nuts 2 warning state bold writing bag , staff inform parent child suffer peanut allergy , inform previous reviewer . the staff friendly , always greet warm Hello housekeeping door greeter outstanding ! ! room ; negative ... rug little worn , bathroom door , wide bathroom , shower roomy , thin wall , elevator slow 8 a.m 11 a.m. Concierge , busy morning , use late afternoon later . the positive ..... quick elevator besides time , security Saturday night ready room key .. friendly helpful staff , location , cleanliness hotel , awesome water pressure , almost much cold chap hand , unique high quality bath fixture , soap , shampoo , even sunscreen , tv , bed comfy ! ! ! helpful hint .. subway available right front door .. enjoy corner vendor , $ 3 . hot dog Roasted Chesnuts great ! ! great burger spot 3 block away call GOODBURGER.Amazing burger , fry shake . also one block away , tuck away next Taco bell ( hard see green sign ) across street McDonalds ESS - A - Bagel , good bagel eat NYC , boy love huge muffin .. 24 hour pharmacy across street Staples also . top rock walk Fifth Madison Avenue outstanding ! great experience hotel New York City , wish could stayed two night . 
 Dec 1 2008 	 enjoy stay Doubletree 	 stay Doubletree 11/27 - 11/30 Christmas parade , shopping , etc 16 year old granddaughter . nice hotel , helpful staff . east side Manhattan good walk site definitely okay . would stay ! 
 Nov 30 2008 	 Great Hotel location ! ! ! 	 great hotel ideal location . staff friendly warm cookie nice touch check ! room good size clean everything need except tea make facility however metrocity cafe next door hotel seem open hour serve great food drink issue nip tea / coffee . bathroom good bath / shower ( good size soft towel ! ) separate room sink big vanity mirror . hotel next 51st subway ideal nipping up / down town good location mean walk everywhere day . good place around block ( turn left ) breakfast ( metrocity cafe next door ) one serve eat buffet ( ask guy door detail ) . Catching Airport Express bus Newark / Liberty cheap quick ( go airport ) find NY clean safe worth get city pass site save lot quee certain attraction ( Statue Liberty one ) . Wrap warm go November weather cold dry ! ! ! ! would definitely recommend hotel would stay location value money . 
 Nov 29 2008 	 wicked location lovely staff fabulous cookie ! 	 go two friend hotel stay five night , 20th - 25 November 08 . really worried review read , not think could ask anything well . hotel well keep , clean lovely atmosphere . staff friendly helpful , would especially recommend use concierge service really helpful arrange anything broadway ticket helicopter ride . bedroom two double bed , bed really comfortable room clean . room reasonably size modern . the location hotel great aswell , within walk distance everything fancy get subway one right hotel . also great cafe next door hotel everything Pancakes sub salad ( would also recommend oreo cheesecake ) . would also recommend Grayline Limos really great company use airport transfer far cheeper other area , even upgrade we journey home stretch hummer limo awesome surprise rounded trip nicely . overall wicked time New York would recommend hotel people age . 
 Nov 23 2008 	 expensive standard - great location 	 great location midtown NYC , pay premium . overseas visitor feel price exchange rate , doubt think amazing suite could get money Sydney , Singapore Paris . room small expect , date overly clean . despite non smoking floor , constant smoker neighbouring room become overwhelming - although staff attempt deal quickly . hotel lobby tiny small amount people use wait transport check . Bell hop leave room discretion tipping , pay front delivery retrieval bag . much well experience Double Tree Hotels Chicago place . 
 Nov 22 2008 	 shabby 	 disappointing stay Radisson , 3 block street , decide give Doubletree try glad . moment enter lobby , staff professional , pleasant helpful . room small , mine 11th floor , room functional . heating work fine street noise level low . bed pillow comfortable room clean . tv small good picture , however , Comedy Central channel miss obligatory Daily Show Steven Colbert Report . internet $ 13.99 24 hour , pretty standard NY . Hilton loyalist , get coupon free breakfast 17th floor lounge . bfast continental style , pretty basic , bad free . subway station right outside hotel entrance make convenient like use train . think nice hotel good value NY . 
 Nov 18 2008 	 Nice Hotel Great Location 	 hotel nice money . room reasonable size quiet . staff friendly helpful . location awesome parking reasonable $ 30.00 day . also like idea window open 6 inch . BEDS AWESOME.I would definitely stay hotel . 
 Nov 18 2008 	 great location great price helpful staff 	 stay four night early October , pay $ 200 night . another hotel central location anywhere near price size comfort room- yes , bathroom area small , be small nearly every similar hotel - 's New York ! conceirge staff friendly helpful - give great tip good time see certain site ( even sell Empire State ticket price pay site - not wait long line get - zip front ) , provide great direction helpful idea . use confirm shuttle airport ( even though book line ) . eat hotel - other well choice close hotel . bonus , first day ( Sunday ) , street fair stretching along Lexington Avenue , well annual Polish Parade block . would stay - especially price . 
 Nov 17 2008 	 Fantastic Location Fantastic Budget Minded Traveler 	 good : hotel perfectly situate beautiful part Manhattan . everything need basically doorstep . e train take downtown $ 2.00 trip . & quot ; 6 & quot ; train take uptown Gugenheim Museum uptown destination . restaurant , coffee shop location right fingertip . we truly enjoy stay Double Tree . staff utterly courteous room nice bed , flat screen t.v . 's amenity need nice stay . the BAD : hotel show sign age require luxurious room . luxury requirement wife . require clean room comfortable bed . room . room feature little peel wall paper bathroom door not shut properly . sum negative identify . the UGLY . & quot ; ugli & quot ; destination . note , really nice stay . finally , mention booked room directly property use AAA discount ... $ 200 first four night $ 175 last night . consider price utter steal location . highly recommend Double Tree travel budget mind want nice place stay . 
 Nov 13 2008 	 Average Hotel 	 review , yes Doubletree abit dowdy front desk , room big expect , problem traffic noise even fire station almost next door . good point doubletree location , easy walk distance Times Square .. Central Park many place , trully rate Metro Grill next door , hate pick breakfast model plate ! ! ! ! ! free Cookies excellant . we get rip yellow cab go back JFK charge Tunnel toll actually go , appear go via back street driver know , poor compare taxi take we Airport Hotel charge $ 50 way includeing toll 
 Nov 12 2008 	 okay ! 	 book hotel good price location . $ 200 night , expect money . good thing hotel location . could walk almost anywhere subway door . look like hotel room upgrade , many thing update . bed comfortable , nice Neutrogena toiletry , wall carpet dirty old . bathroom small bathtub uncomfortable taking bath . 
 Nov 8 2008 	 Good Location 	 stay 4 night October . great location Metro main attraction . the room good size , large comfortable bed , nicely decorate clean . bathroom clean adequate towel shower accessory . room safe good touch . the lobby always appear busy coach load visitor appear arrive daily . not use restaurant , breakfast next door less half price . bit surprised charge $ 7 store case hour checkout . overall good hotel would stay . watch mini bar ( pricey ) top tray . item pick charge room replace within 20 second . 
 Nov 3 2008 	 want neighborhood try W Marriott 2 block south lex 	 pretty shabby : -- peel wallpaper everywhere , -- bathroom small hard turn around , get way door close it . -- water stain around window soil carpet -- coffee room lobby -- bill call not bill -- lobby small , unattractive , annoying maneuver throughlocation might good depend ( 6 subway two short block e ) . internet $ 15/ day 
 Oct 27 2008 	 bad NY Hotel year 	 literally one bad hotel experience year . lobby lovely , soon one leave lobby , one shocked ! hallway dirty , paint chip wallpaper peeling . room dirty . way control air conditioning room - call say engineer would come right one ever ! call twice towel . around $ 300 ! ! never go . 
 Oct 21 2008 	 ok Property Good Value 	 property great location , ok physical property , generally average staff usually decent rate , make good value , especially Hilton Honors loyalist . location affords plenty restaurant option , include several 24 hour market close Radio City Music Hall , 5th Avenue Shopping Grand Central Terminal . subway entrance 51st St. ( 4 , 5 , 6 train ) / Lexington Ave ( e v train ) station immediately outside hotel entrance , great . cab also readily available . property renovate several year ago room nice , show little wear tear . room small , even NYC standard , need large space sharing room someone relate , place . otherwise , fine long rate decent . great fitness room , plenty modern equipment . business center several computer , charge internet access . restaurant provide good , expensive , breakfast . not use meal . bar fun well populated . hotel tend well patronize , significant number tourist ( oppose business person ) feel crowd lobby not large ; bother , not stay here . all good value , long aware room size . 
 Oct 21 2008 	 doubletree fine 	 wife & amp ; stay ' Doubletree ' first 4 day October & amp ; find ' ok ' & amp ; nothing more . it start 35th wedding anniversary tour & amp ; want something nice start think part Hilton group hotel would nice , let say , HILTON be not ! first impression good , apart porter work relay team bag , ie- 3 demand tip , yes , know culture , true Yorkshire man , find nothing short begging . mean , one porter unload taxi , hold hand , pass another take reception desk ( 20mts ) hold hand , pass trolley third final journey room , bad bad start . however di - gress , room clean comfy bed & amp ; adequate bathroom & amp ; ultra sensitive mini - bar . find reception / concierge staff quite helpful & amp ; pleasant . location ' tree ' great , think price , look other , , ' ok ' . , late 8 pm flight Vegas , leave bag porter , charge $ 3 bag . . .. . . wait . . . . dropping & amp ; pick ie- $ 18 total arghhh ! ! ! would go back ? try somewhere else first know area , nothing available , yes ' tree ' would book . 
 Oct 14 2008 	 huge room NYC Standards ! 	 let us start room - huge - NYC standard anyway . bed comfortable location superb ( right next door subway 2 block away shop 5th Madison ) . lobby spacious modern perhaps gripe mine furniture room show age . 
 Oct 14 2008 	 fine location stay 	 stay Oct. 5 - 8 , 2008 . book directly website get rate $ 300 inclusive tax standard king good deal could find area . wary property negative review , however , positive experience . location great . walk distance shopping , Grand Central Station , Theater District . 6 subway line doorstep e line JFK one block away . room comfortable plenty room . mattress great pillow . bathroom newly remodel new vanity plenty water pressure hot water . 8th floor face 51st bother fire truck . elevator speedy . two small complaint : charge we store 3 piece luggage ( $ 4 ) . never pay service , , oh well . read charge snack mini bar site careful touching move item , find charge bill . promptly take without question . use workout room . 4 - star luxury hotel , price especially location good value . would definitely return . 
 Oct 8 2008 	 place get sleep 	 pro : comfy bed , modern decor , could not close 6 train . con : housekeeper relentless try clean room . early morning knock door forget DND sign . use DND sign , call room anyway , assume could not possibly still room sleep . say many people leave day w/o remove door sign mad room not make up.3rd day , begin change carpet room surround . advance notice . slam door , bang around , construction guy yell hall , radio play . ridiculous . doubletree say update room daily , not know one ahead time . bellman relentless try get one & quot ; car & quot ; instead cab plan take LGA . not need help w/ bag grab anyway get mad not give tip ! ! ! get charge merely bump item mini - bar . sensitive laser system . fridge , microwave , coffee maker . I never stay . ' m go back Muse 46th . 
 Oct 8 2008 	 great location 	 stay Doubletree Metropolitan Hotel 10/2 10/5 . pay $ 303 per night book hotel 's website back July . research hotel area 2 bed private bath , cheap could find , unfortunately . room - we stay rm 1937 . although like style decor room , clean comfortable . nice view , room sleep . bathroom small , expect NYC hotel . clean good water pressure . location - the location excellent . 10 min . walk St. Patrick 's Cathedral , Rockefeller Center , Fifth Ave . shopping . 51st./Lexington subway stop right outside door . access 6 train . e v train accessible Lexington 53rd Street . internet Access : free WiFi lobby . able surf net cell phone hotel room . believe charge actually hook laptop room 's internet . overall , would definitely stay , give location hotel . 
 Oct 3 2008 	 rate 	 would read good review hotel totally rate . hotel mediocre . bed old really comfortable . overall condition hotel , room , floor , etc . , good . colour scheme erratic . good location proximity subway high price get . must well choice area . also pay leave luggage storage , guess , pay return afternoon pick ! would not recommend anyone . 
 Sep 25 2008 	 Great Choice 	 location can not beat , subway 50 foot away front door . essential get want fast via subway . not use hotel car service , stand set one , two different people complain car hour late get airport . needless say use car service . staff nice hotel room clean plenty room . wait two day trip rate go way . would recommend hotel anyone . 
 Sep 23 2008 	 room smell bad 	 stay Doubletree one night ( thank goodness one night ) go Manhattan business trip . room unpleasant . smell like dirty , musty restroom . seriously . not want touch anything . wear slipper entire time never touch floor . luggage rack suitcase use iron board place suitcase atop . carpet gross leave floor . the room small , tv tiny . Hilton Honors Gold level member place executive level floor , room not reflect anything special . tiny desk small . free breakfast Executive Lounge next day - usual ceral , muffin , etc . I would not stay choice . 
