vile 	 book three night hotel , trip celebrate good friend 's birthday . want stay somewhere downtown , park car enjoy Fremont Street attraction foot . choose Plaza location price : big mistake . the warning sign early , start disgusting garage . check , order non - smoking room , tell smoking room available . elevator groaned squeal go , shudder shake stop floor . open door greet unspeakably awful smell , like mixture cigarette butts , vomit Lysol . flick light switch , room remain dark . enter , foot hit something metal send flying across room . ( turn large steel kickplate vacuum cleaner . ) grope around room find bathroom , turn light . fluorescent fixture flicker buzz life , find wish still dark . ' ve travel world , include third world region Asia central America , ' ve never hotel room disgusting . wallpaper deep yellow cigarette smoke , peel every seam . bathroom tile moldy crack . carpet dirty could barely see pattern wide variety dark mysterious stain . everything room ( lamp , phone tv remote , table ) sticky gooey residue , desperately hope not kind bodily fluid . open window try air foul stench , hinge open inch . I immediately call another hotel ( Golden Nugget ) make new accomodation . sadly , nothing available night bed one night Plaza . use toilet paper ( box tissue provide ) grab toss DNA encrust bedspread corner , pull back cover . sheet ( miraculously ) seem clean , settle night try ignore awful smell . bed rock - hard , strange crunchy feel sound , though mattress contain layer pebble . ( probably dry , crunchy foam rubber . ) try think pillow , variety mite pathogen surely contain . in morning , headache sore throat , inhale smell night . want IMMEDIATELY , hop shower . wonderful , hot water ! ! ! faucet sink work ok , clearly shower valve defective . ice water shower , way would walk around vile carpet , wrap hand towel around foot shuffle around shave dressed . seriously people , joint disgusting beyond belief , wretched petri dish filth . room fill head depressing thought , last thing want wake ... everything scream & quot ; flophouse . & quot ; deserve well . 
 Bad Stay 	 look cheap hotel get pay , hotel . Beds super uncomfortable , room look like use lot ... kinda gross looking . Buffett nice cheap guy like $ 2 beer . bus ride strip , close would like . 
 good cheap hotel 	 great hotel big room , great low price 
 Nov 6 2008 	 Basic budget minded 	 6th visit 1st time stay downtown . GREAT VISIT . stay weedend decide strip price ridiculous . love experience . hotel basic . room clean wear . great view Freemont worth $ $ . bath closet style 50's-70 's . tiny tv . need place crash fit bill ! coffee stand lobby along Mcdees , subway decent pizza stand . easy walk Freement experience . feel get tiny bit shady night El Cortez . not miss go see eat buffet Main Street Station . cool place ! ! eat bellagio buffet later week move strip like ambience MSS well . Golden Nugget great bloody mary 's real nickel slot . ( Thought miss real $ till hand get filthy nickel ) go summer golden nugget cool pool . bad thing Plaza horrible slow front desk . one person one point swear go backwards ! bell desk concierge super . take tour canyon take copter land boat ride river . worth every $ $ $ ! ! ! 
 Oct 30 2008 	 right across Fremont Street 	 girlfriend stay two night part Las Vegas / Grand Canyon tour late july 2008 . find quiet nice hotel . straight away great thing walk straight front casino across road start Fremont Street . bit distance main Las Vegas strip easy enough get taxi 's Las Vegas share cab friend might $ 4- $ 7 each . the casino seem extensive though near lively famous one along strip , not really bother not really get gambling whilst . not nightly show hold casino either there . the room stay nice look roof pool area . pool roof course bar , though seem though pool dump ground parent kid whilst stairs table poky . aircon room work brilliantly cool room outside daytime temp 110 F.Food wise ther buffet style restaurant downstairs nice reasonably price , well McDonalds food chain . this first time Vegas would say absolutly love tell truth kind glad not stay casino strip spending evening night wander around strip nice go back fremont street everything seem little less busy bit laidback hotel across road . definitly stay ! 
 Oct 7 2008 	 Awesome ! 	 excellent price ! lot friendly & amp ; downtown strip & amp ; everything cheap . . . include gambling ! will not stay anywhere else ! be go month . . . fourth time year ! 
 Oct 1 2008 	 plaza 	 Hi : friend stay Plaza , four night , bath tub drip , phone front desk never come fix , air conditioner noisy . like play bingo bingo hall casino , room clean , play get two night free stay reason . 
 Sep 30 2008 	 great time -had blast 	 great staff -compe breakfast every day -right heart freemont street odour grumpy staff - run 2 hooker 5 -no hassle -also run hooker caser -room huge -beds clean comfortable -water hot good pressure - view freemont pool south tower 14th floor room-320 flight 3 night beat -we blast -cant wait go back stay sept 25 28 
 Sep 23 2008 	 great price pay 	 stay 3 night September 20008 problem complaint . find quit good reasonable rate . favorite attribute Plaza $ 7.77 buffet ( great food ) Fremont Street right outside across street . reasonable walk away bus take one & quot ; strip & quot ; $ 5 per 24 hour ticket . bad ! thing consider prefer old Vegas often overwhelming & quot ; Strip & quot ; resort . fremont light show can not miss . 
 Sep 7 2008 	 good value unfussy traveller 	 manage get & quot ; petite suite & quot ; $ 59 Friday night stay , pleased value represent . sure , decor spank new slight mustiness place trust half bad hotel go Vegas postively reek . room ( 10th floor North Tower ) fantastic view Fremont St , could watch ceiling show balcony , air conditioning little noisy something would stop sleep ( probably need little noise drown Freemont experience noise pretty full go late night ! ) . love swimming pool 7th floor , great music playing , load sunbed bar . check fairly quick reasonably personable . negative clean standard ( ie balcony leave cigarette butts bathroom tile completely mildew free ! ) fact balcony door faulty lock , keep say would fix rather charmingly tell we would insure left belonging room steal , sure one problem would not affect room . already stay strip begin trip not miss would say Fremont St area quite different rest strip worth stay experienced strip offer 's relatively small contain area obviously lot less choice place eat / drink / gamble / just plain sightsee . want stay Fremont St area good value short stay bother pristineness plan spend time rather room ! 
 Aug 26 2008 	 get pay ! 	 stay one night March enough . nervous booking read review site . let say , picky hotel bad . hotel hallway room smell moldy musty . going stay bring airfreshener ( ) . room look like something straight 70 's . carpet stains . one cushion chair room many stain . bed super hard . stay high floor , take forever get hot water room . overheard couple elevator problem . air conditioner super loud . upon check - in , warn walk area also & quot ; becareful & quot ; dark parking garage . area border bad part town . really bad . pro easy check , bingo site ( be thing ) , excellent location walk & quot ; Old Las Vegas Area & quot ; , course be dirt cheap ! 
 Aug 26 2008 	 Wish would skip one 	 wish stay hotel . room dirty staff care need non smoking room . we check around 2 A.M. housekeeping wake usup 9 A.M . thing new room bedand everything else old . front desk staff notvery nice state read customer requestsfor room . stay . 
 Aug 26 2008 	 Get Pay 	 stay Plaza convention Las Vegas , pay $ 100 night room . room large , unfortunately not update time . hallway carpet noticeable stain throughout , casino par low - end resort Las Vegas . overall , staff pleasant stay uneventful . careful booking ; would classify hotel classy place one would want spend romantic memorable vacation . probably would not stay option area . 
 Aug 25 2008 	 really bad customer service ! 	 book 2 bedroom suite month arrival date . I arrive 3 pm say room clean yet guest still room . I check 5 pm still ready . I fly Chicago want take shower rest awhile . even offer courtesy room . 7 pm room still ready offer two adjoining room instead 2 bedroom suite . tell shove go straight Golden Nugget know treat guest . also try charge room cancel . the front desk manager rude snotty . do not stay ! 
 Aug 25 2008 	 Old 	 book total 12 room . South Tower website picture show . Noth Tower room TERRIBLE show Website . guest move North Tower . Front desk short staff . price great last minute make sure request South Tower ! even thhough room furniture tower . love 2 bedroom suite South Tower . 
 Aug 22 2008 	 good price much else 	 hotel quite old , area . Las vegas bear 20 's . People around usually old , pretty girl ... room big , price good . want save money , stay not worry ... 
 Aug 7 2008 	 Good Price Good Hotel 	 stay Plaza July 20 - 24th 2008 . get EXTREMELY good bargain ! check - in easy , right walk front door . 20 floor stay 19th . never problem elevator . room average ... much different would expect price be pay . pretty outdated could benefit update , fine we . two full bed , tv , small table chair dresser furniture . bathroom area really cool thought . bathroom small room tub toilet . bathroom vanity closet area could get ready . not problem bed uncomfortable anything although pillow suck . cheap pillow , pay , big deal . the casino like rest . nothing crazy . bar , sport 's book , machine , etc . 777 buffet extremely good opinion hell deal $ 7.77 ! also McDonald 's , Subway , etc . site little variety . questionable character bar Plaza later night . see sleezy woman ( assumably prostitute ) stroll throught casino , back forth scout . also see exact wome later next day Fremont street dress exact clothing . odd thing happened stay Plaza 23rd , sit bed room husband downstair something power go half minute room . Hubby say not go downstairs . well , later day , downstairs get chow power go ! time half hour ! ! ! could believe , bazaar ! ' ve never hotel lose power . maintenence people scurry around talk take stair roof finally come back . , feel pretty fortunate lobby time elevator bunch people stick elevator entire time . experience , nothing would make think twice stay . thing happen . Plaza GREAT location . be right end Fremont Street . walk way end canopy Deuce pick want ride strip . cab fare airport Plaza $ 35 . fare airport Plaza $ 42 . , really enjoy stay Plaza . if expect Hilton $ 30 night , will not get . go Hilton pay $ 200 night will get . 
 Aug 1 2008 	 dump ! 	 well arrvie booking & quot ; Dial flight . & quot ; complete nightmare meet we . the reception team great long female . the MALES [ -- ] ! ! ! ! ! give room have not dust hoover many month toilet do not work . go back complain do not get apology , give another room numer./ travle London take 24 hrs , tired . get new room be not clean previous people fag but , ( LOOKED like ) drug many thing floor . go back complain , cry look another hotel strip , move we delux room , ( still apology ) although sell suite . ( later find untrue ) do not eat be not really interested want somewhere sleep . honesty , will not stay , lack Customer Services far away strip . 
 Jul 29 2008 	 Excellent Value money . reccomment ! 	 old hotel comfortable . great value money ! 
 Jul 27 2008 	 Nickelgaye 	 girl family trip . nine we . stay four night . casino pretty good . room well get pay . book Worry Free Vacations choose cheap hotel come play know spend time room priority . even though could well . carpet nasty not walk around bare foot . not coffeemaker room service . hotel could use lot work . Vegas several time stay Strip . first time stay Fremont Street . absolutely loved ! everything need right party street every night . actually feel safe walk Fremont strip . security everywhere . want check strip $ 15 cab fare away . sister , girlfriend hubby be make another trip October stay Fremont . stay 4 Queens trip . read several review seem promise . like say , spend time room priority . 
 Jul 16 2008 	 RUDE STAFF outdate SMELLY ROOM 	 second trip Las Vegas time want see downtown book Plaza . check rude , unprofessional staff person never smile give we dirty look , know going go hill . get room find hole wall near bathroom , stain carpet toilet running would stop . spend whole day , really dread go back room . good thing stay walk distance really good casino excellent buffet eat . lastly , say check staff person wait we friendly , nice afraid would get one check we . 
 Jul 10 2008 	 great really cheap feel room 	 can not complain much husband take trip gift appreciate vacation ... nice hotel . bed really saggy , could feel springs mattress pad . room spacious , carpet dirty look . shower water pressure , faucet make horrible noise turn , furniture also look dirty . would not prefer strip , future would stay somewhere like Green Valley Ranch -- somewhere sleep away chaos venture want to . this perfect hotel someone plan . get tired take nap , spend time hotel ( uncomfortably ) . 
 Jul 8 2008 	 outstanding value excellent downtown location ! ! 	 state upfront dollar spend , location , # 1 spot Las Vegas , stay Downtown . stay Plaza two day late June . 2008.my experience Plaza excellent . room 8th floor ( handicapped room ) large , two queen bed , table two nice chair window , long chest tv top . ( see photo ) bathroom offer easy enter shower , sink vanity , stool , plenty room get around . room amenity adequate , shampoo , body lotion , soap , facial body . towel washcloth actually fairly thick , plush , enough every day ( 3 4 ) adequate need . water pressure excellent , condition wall , ceiling , amenity good condition . nothing fancy .. carpet could stand replace , could tell , Plaza undergo renovation . , replace carpet elevator bay , .. compliment , shut elevator . & quot ; step & quot ; proceed way . also say Plaza fast elevator ... go , wait , ' ve ever see Las Vegas . long wait would 20 - 30 second ! kid ! eat buffet several time , find $ 7.77 value could beat . wait line one time , 10 minute wait . live carving station , .. section Chinese Food , also Dessert Bar never get , satisfied main food station ! find dinner buffet Las Vegas $ 7.77 per person without coupon ( sometimes 2 - for-1 's available ) value without question . would quantity food would find $ 20- $ 30 buffet , .. food quite tasty , well anything get local buffet area . expect quality quantity 5 star hotel , fancy fancy table linen , Plaza suit least meal . early brunch breakfast lunch offering , buffet open , believe 10 10 pm . I enjoy gambling Casino . plenty slot machine , luck , well Bingo . large group spread Las Vegas , not get spend much time would like , visit . never even chance sit blackjack table , 's pity . I find casino help , check desk , bell staff , housekeep competent friendly , well would expect . look big well thing , never improve , stay , guarantee will back . also add Plaza host downtown Bingo available , .. thoroughly enjoy attend multiple session , good luck~ ! ! free beverage station coffee , juice , soda tea open session , not grab coffee get ! ! ! expect see , Plaza . look forward see improvement ' ve hear come ! ! ! ! 
 Jun 30 2008 	 great stay Plaza 	 book hotel $ 28.00 , book petite suite , upon check offer upgrade Penthouse Suite ! ! room huge , 2 queen bed , Bar , living area sizable bathroom . room show 's age , furniture chip / scratch , clean . recall carpet light pink thick step ! second stay Plaza would problem go back . 
 Jun 30 2008 	 good deal Plaza 	 think Plaza get bad rap . I think price great deal . room large clean . staff friendly , location good . we even see Rat Pack show there . not thing wife really enjoy ( get to keep um happy ) , not buy tix go 4 Queens save ( 50 ) buck . at time long wait elevator , care ? overall good experience & gt ; 
 Jun 21 2008 	 great money - improvement come 	 want glitz glamour , go pay $ $ $ $ stay strip . yes , place old . money pay , perfect want getaway party gamble . room well other , large ( except bathroom ) . recent improvement include new lounge open casino floor live entertainment night free . also get ready open new check desk first floor directly front main door . ' m sure make many people happy . elevator problem , couple north elevator service wait part . minor inconvenience fix . times ' ve stay ' ve never problem get drink whenever want one , tend make strong place . sure give waitress tip ( $ 1 ) will back often . like say , not expect glitz strip , will not pay price either . old Las Vegas Plaze give feeling . 
 Jun 21 2008 	 - 's bearable ... 	 pay little extra get view Freemont street ( nice view ) . room bad . bed clean ; carpet clean ; window clean . bathroom unacceptable . Shower darken material along tile edge base - look like mold . floor crack carpet near sink tear . the entertainment superb ! ! ! strongly suggest go see & quot ; Viva Las Vegas & quot ; performance ( do afternoon ) . night & quot ; Rat Pack & quot ; -- live band GREAT . show expensive - well worth money $ $ $ . let us face , get hotel pay ... Plaza seem packed - therefore maybe be see a / the need remodeling . , really can not complain much ... 
 Jun 16 2008 	 outstanding value top notch service ! 	 stay Plaza 7 night November 2007 7 night February 2008 . occasion extremely please overall experience Plaza begin end . Vegas several time use always stay Strip . Nov 07 decide try stay Fremont ever glad . atmosphere downtown far fun friendly Strip . day stay Strip do ... downtown . one main reason enjoy downtown far well strip hotel / casino staff . experience good , friendly service downtown casino , Plaza staff second none . every staff member encounter Plaza provide we friendly , quick , efficient service . example : - Housekeeping always keep room spotless handle special request quickly smile face ; - bar cocktail service super fast , good Vegas , well . , ice cake , staff friendly ; - dealer , table game slot attendant helpful friendly . happy take time explain game may know well , actually root win , seem genuinely happy . short Plaza staff make feel like value customer person . basically act job duty ensure fun good Las Vegas experience possible . hotel , ' ve always find room clean everything satisfactory working order . necessary amenity require . might add time stay group 8 people 4 room we . travel companion satisfied room problem . will not tell expect ultimate world class 5 star plus swank stay Plaza . let us remember stay one $ 500 night room place Strip . however , say , opinion , want stay decent hotel , clean room , comfortable bed , fun atmosphere , great service , Plaza offer probably good value money Las Vegas . , like people know , not go Vegas hang room . primarily want Vegas hotel room one clean comfortable basic amenity . Plaza get . get good price great around service staff . last couple thing will comment pool eat establishment . the Plaza one downtown hotel offer pool . swanky Strip pool big enough serve 's purpose plenty room sun tanning relaxing lounger . pool downtown hotel 's probably 2nd nice . the Plaza offer wide variety eat establishment , informal / inexpensive buffet , fine dining . ' ve try ' ve always enjoy meal Plaza 's establishment never experience problem . buffet extremely reasonable $ 7.77 breakfast , lunch , dinner . 2 stay Plaza good 2 trip Vegas . ' ve already book another trip plan stay . 
 Jun 11 2008 	 great place sleep . 	 yes , check - in desk 3rd floor , hard find . yes , furniture little worn date . one lamp room not work , see cable cord go door adjacent room . hand , room huge , bathroom small still functional . window room actually open ( appear attempt make prevent window opening ) onto faux balcony . ( would not call balcony 1 foot wide balcony , although someone leave glass . ) room clean , maid friendly . this vegas . , casino hope , spend much time room . get back gambling show 1 am , bed plenty comfortable hour sleep go again . the Plaza McDonalds first floor feel adventurous breakfast late night . the location excellent interested old strip , Fremont St. walk front door hotel , cross street , be . although new strip bit walk , find walk still fast bus . anything fast & quot ; duce bus & quot ; . granny could beat bus use walker . Avoid & quot ; duce bus & quot ; . take cab , check bus route area . one tip - ask additional toilet paper . may sleep maid stop , miss chance refill . 
 Jun 5 2008 	 heart downtown 	 arrive plaza san fran , check - in not easy find ... 's 3rd floor find , soon check room 10 day . room rear hotel , overlook carpark railway line . not bother we sleep . could see stratosphere distance . big enough , 2 double bed , tv , bathroom , dining table & amp ; chair , etc . clean 's ask . plaza 777 buffet ( $ 7.77 ) ok , edible spectacular sport bar overlooks freemont street . also host viva las vegas show free join player club , really good show think . also stage casino group / singer ( pretty good ) . nice sit cosy chair next bar watch hour . pool ( never busy ) 5th floor , along tennis court run track small gym ( not use ! ) casino small one strip , nice friendly . walk hotel , across road middle downtown . deuce bus stop 5mins walk freemont / LV boulevard . price pay , excellent value money . thoroughly enjoy stay there.one downside ; night hear train go past , train long ( long ) noise seem go forever ! 
 Jun 4 2008 	 Vive Las Vegas 	 ... entertainment dining option Vegas become less bargain ' 90 , find afternoon variety show last week Plaza hotel downtown satisfying . comedy , magic , little risque dancing singing - $ 10 ( free , register slot player ' club card first time ) . ... selection restaurant food counter building provide nice mix affordability specialty - quite refreshing , tenth visit Sin City New York . , agree consider stay Plaza future trip . ... hook Orleans past ten year reason , find Red Rock , SunCoast , South Point Silverton establishment also try hard appeal we ' common folk ' . Palazzo Wynn truly astounding - Encore , Fontainebleau City Centre surely , many thousand visitor justify hundred dollar nightly accommodation ? 
 may 28 2008 	 nice place stay 	 stay Plaza Hotel Casino pleasant one would gladly again . the hotel one old one Las Vegas room show age . clean , offensive odor sort staff friendly . end Fremont Street close entertainment . complaint length check - in . 3:00 pm long line , enough staff speed thing along . 10 window 4 check everyone . next time arrive much early see pre - check - in avoid crush people . even though overload staff freindly make quick check - in could . wait line 45 minute . plus side remodeling check - in first floor might comtributed delay . with player card compe free show , Viva Las Vegas , entertain would gladly pay . well do show . leave come home go Players Card window . enough point get big prize compe wife self $ 20 use gift shop . supprised get great stuff bring home we . our next trip Las Vegas Plaza . experience enjoyable would hesitate stay . 
 May 27 2008 	 Ya worth little spend ! 	 ok , spend 2 night strip Hooters ( Fun Place ) venture town Plaza .... try check hotel early , luck .. ok check bag bell man come back 2:30 .. still luck , check back 3 pm room still ready .. lady front desk give we diffrent suit look strip , ok ... want freemont view , that s pay . way staff help friendly hurry help anything ! get room Dingy , dirty bathroom seriously small , old , old , OLD ... oh ya sink back ! not waste even small amount money place go street stay Golden Nugget ! 
 May 27 2008 	 expect 	 hotel nothing fancy , old hotel next old downtown Vegas ( Fremont Street ) near Strip . stay one night Memorial Day weekend want somewhere cheap crash not far stuff . ( spend gas southern CA back room ! ) read good bad review booking , spend $ 10 extra get & quot ; high floor strip view & quot ; deluxe room . room large , 1550 south tower , good view strip be interested . non - smoking room not particularly smell ( ' ve bad one Vegas ) , plumb problem like people , hot water fine , shower head height fine . bathroom small , least sink separate toilet / shower . space hang clothe smallish part bathroom rather separate closet door , iron board iron . hairdryer coffee maker , plastic cup , 2 soap small shampoo / conditioner combo , lotion shoe shine anything . bed old low ground , sleep ok . air conditioner loud cycling , otherwise room quiet . other mention reception third floor long true . however , opposite side hotel parking ( valet self park next bus stop ) . would drop bag circle Fremont St park later . south tower parking , north tower Fremont St. reception area food . front desk not label queue , even holiday weekend not busy . buffet fast food not eat place . yes area around hotel slightly sketchy 's Vegas ! sex shop around especially downtown ! honestly not comfortable sex shop nudity not go Vegas leave kid home . overall good cheap place party people crash hour , bad weeklong romantic trip / spa trip / place relax room . get pay , satisfied . 
 May 26 2008 	 Plaza hotel- great stay 	 stay Plaza last ten year . much improvement . casino bathroom redone , 777 buffet well far horrible . hot water tub drain . maids excellent mean excellent . four star hotel want , not book . pool area bar never . always ask stay , year answer yes . problem hope correct soon 6 elevator north tower- 2 working . elevator share maid hotel employee happy . neither hotel quest wait sometimes ten minute . room clean stay much well last stay last 10 year . room six floor overloke Freemont Street worth 's weight gold . 
 may 20 2008 	 avoid Staying Plaza 	 stay hotel flight home cancel hotel contact full . would never stay . hotel 6 elevator two work , perpetual wait 10 15 minute . hallway smell somewhere musty mildly urine soak . one hallway someone sleep . room poorly furnish - old , tired clean . Carpet stain ; bedspread cigarette burn hole . toilet leak unless reach tank adjust mechanism ; engineer available make repair . room lack basic amenity : hair dryer , clock , kleenex . staff often curt . offer information ask specific question . 
 may 15 2008 	 Nice Casino 	 read review hope suite would nice room . room clean look like 20 yrs old . carpet stain , cabnet completly scratch trim lift miss , couch cushion sag 4 inch middle one sit yet , air conditioner noisy , bathroom paint peel fixture rusty , coffee maker suite ? ? . wireless slow frustrating , 50 % . upside room clean maid service first rate , great water pressure , fridge work great . casino every place eat clean first rate . give try , get great price , back stay Golden Nugget . 
 may 14 2008 	 bad horrible 	 read hotel booking figure hotel major tourist area could really bad . plus $ 48 price pay Friday night Vegas could not beat . first , hotel lobby smell badly Marijuana everyone work act smell not exist . upgrade so - call mini suite . room uncomfortable king size bed , table 2 chair another chair . room huge , plus fridge upside room . carpet old overly dirty , faucet make loud high pitch hum noise whenever turn hot water . tub stain dirt point would not even shower . whatever washing sink , wait next morning next hotel shower . view Fremont Street experience amazing . alone worth $ 48 price . probably would complain asked room another property , spend entire day Grand Canyon not check hotel around 10 pm , immediately go back night . it decent place go drop stuff use get heat . get cheap price like , great bargain , would probably pay stay elsewhere . 
 May 12 2008 	 complaint ! 	 ' ve see quite poor comment hotel , understand . although bathroom pretty small , good usable . room huge , clean carpet comfy bed . nice view window . for price pay ( $ 145 incl . taxis 3 night , one Friday ) , get well . down Town Vegas much nice stay Strip : human scale + easy park . the go Las Vegas Club hotel stay past . one poor comment well , not experoience . 
 may 10 2008 	 nice improvement 	 husband go vegas every year last 15 year . almost always stay plaza . past march pleasantly surprised find plaza make many improvement . new lounge call aqua lounge terrific live music great atmosphere . locate broken escalator . plaza also remodel casino restroom look awesome . trip decide talk casino host booking room . always use player card want see could offer we . amazed . request upgrade standard room deluxe . deluxe room new furniture nicely decorate . small extra charge nice room . host compe we deluxe room 3 5 night stay . arrive , host actually upgrade we 2 room suite ! great ! bed comfortable , room clean . pool since remodel also . dislike buffet . small blah . walk main street station awesome buffet price . huge ! eat mcdonald alot late night cheap convienant . slow food good . also try new sport bar dome . comfy view fremont street experience however can not hear experience . still think staff take lesson walt disney staff . wait staff restaurant staff least friendly act like inconviencing . ( would think would want tip ? ) front desk housekeep extremely nice helpful . also see viva las vegas show 5 buck ( player card ) . awesome price . husband tip seat usher $ 10.00 go choice seat . course take round booth front . showroom old las vegas love ! prefer downtown strip see alot walk drink easy get bathroom . also love drink bayou . refill 1/2 price . slot seem loose . ( go strip twice daytime , long tire expensive . ) recommend go downtown weekend vs weekday . live music stunt show . entertaining . end stay casino host compe entire stay ( base player card play ) compe we limo airport . ( usually $ 50 ) also get $ 20 gift shop food comp could use vegas club plaza . really pay use player card ! course hotel classy say golden nugget hotel strip , clean comfy right price . 
 may 9 2008 	 2ns wo hotel ever stay 	 stay nightmare . wish could post photo back dirty bath tub , hair bed , glass floor , filthy vent arrogant staff hotel manager.i sure , think felt bug two bed.i add photo laterthe sport bar comp , , matetr much sport bet one , player card work . Scammers bar annoying lady evening 
 May 8 2008 	 fade glory 	 stay 3 time past 5 year time increasily shabby . poor water pressure , room clean keep structurally , request non - smoking room put smoking room . alarm clock room plug ; call housekeeping move bed could find plug . big & quot ; pardon dust & quot ; sign downstair main area sure remodel . obviously room . 
 May 7 2008 	 reasonable hotel well stay Strip 	 Eventhough room non - smoking room smell real bad old smoke . room little shabby big great view Las Vegas . the Staff little unhelpful reception walk leave hotel would quickly encounter unsavoury character 's Old Town ! pool area good way near enough lounger lie towel concrete ! , ok get good deal upset - probably would great back hey day . 
 may 6 2008 	 pleasant surprise 	 book hotel Hotwire , horrified read late review . hotwire ( site ) definitely guilty & quot ; star inflation & quot ; ... google search bring many people website complain . Hotwire give three star , many late review Plaza make sound like nightmare hotel time ... urine leak ceiling , rashe bug bite bed , vagrant casino , etc , etc . contact credit card company dispute charge , tell nothing could . prepare endure hell hole ( way backpack trip Grand Canyon ) write brutal report Hotwire hotel . get hotel , mistakenly say book non smoking room south tower ( hear site North tower well ? ) get room expect bad , honestly was'nt bad ! stay many Vegas hotel convention ' ve go last nine year , include four five star . maybe two star room hotel , little wall paper peel old furniture , much well many late report . ' m sensitve smoke , room none , hallway casino usual Vegas second hand smoke nightmare . ... sure experience expect , would take advice other tower stay , price might even stay ! 
 Apr 30 2008 	 never ! ! ! ! 	 want smoking room , would ask smoking room . stay begin fateful night ! thinking would get little reprieve strip decide stay downtown . little know hotel one single upgrade since stay 20 year ago ! atrocious ! shower curtain rod hold bar soap . floor rot , write bed spread furniture seriously look like something would find garage sale . tv . place break . never stay hotel defunkt life . never stay . true disappointment lwere leave walk room gentleman pull back cover sheet foot bed , mask face spray sort chemical ! run hotel fast could moment ! ! ! 
 Apr 22 2008 	 downtown vegas 	 stay 4/16 - 21 part family reunion . 1st time Vegas family member stay . 5 room reserve come 2 day early . Sister call talk hotel personaly Mon arrival assure room would together North Tower . check @ midnight send South Tower . tell request guarantee . Room South Tower dingy , drippy faucet , soft mattress , light bright . hair dryer , iron , great view downtown . request move next day accomadate , fact give several key tell go pick one . enjoy stay move North Tower . McD 's , Seattle Coffee breakfast bufet good . hot dog stand 1/2 lb dog w/ chili & amp ; cheese $ 2.99 fantastic lunch . drink small potent . wave money air get bartender 's attention . really gamble casino old smelly old stale smoke nice sport book . good location downtown hotel fast friendly valet service . go Binion 's 11 pm good steak egg Vegas ! ! ! 
 Apr 10 2008 	 bed make concrete ! 	 wear old , dingy , ugly room ( huge . ) HAIR DRYER ! ! ! flat pillow . bed make concrete . carpet throughout hotel badly worn SORELY need replacement . slot machine set & quot ; inhale & quot ; ( take , not give . ) join prefer club ( prize signing ) . see transient come street , park backpack floor behind chairs lobby ( 3rd floor ) proceed stretch floor go sleep . Ugh ! point hotel desk clerk ; look like & quot ; want ? & quot ; bingo ( smoky , separate seat non - smoker ) . Buffet crap . McD 's Subway , be cheap eat live . Wished have pay well hotel . unless stay Golden Nugget Binion 's , everything else downtown awful . would definitely stay ! new mgmt buy place , construction 1st floor . could explain poor attitude staff . 
 Apr 7 2008 	 Disgusting ! stay Dump ! 	 receive hotel Priceline think go similar 3 star hotel stay since list 3 * website . say enough disgusting dump property ! family stay week - end wish would spend little money stay nice place . put south wing . guess two different tower place . room terrible stench moment walk . bedding look like not replace 30 year make - up pillowcase . afraid go bed stay casino long could . call front desk see could move we say would pay upgrade wing . joke ! call several hotel see could get room somewhere else , book . weekend really busy Vegas not plan get room last minute unless want pay big buck . chair room stain , dirty rip not even want get close . toilet clog entire time . pipe squeele turn water . 's water pressure shower sink drip entire time . hole wall carpet stain rip . wall thin could hear people next room snore , use toilet could repeat entire conversation . casino stank , hooker homeless people everywhere ! favor spend dollar stay somewhere else . make sure research use Priceline be stick gross place ! 
 Apr 5 2008 	 would rather sleep car hotel ! 	 WARNING ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! stay hotel , unless like pay $ 100 night stay filth . change room 3 time still satisfied . even ready say heck $ 300 pay let find another hotel convention town could get another room . amenity even call horrible . example , walk 3rd floor ( smoking floor ) get elevator . get room find outdate 1970 's theme complete stained carpet , hole furniture , bad patch job ( cover hole wall ) . tell people do not even dare take shoe . one room hot water do not work , dark yellow staine ceiling chair stuff come they . we eventually move & quot ; renovate suite & quot ; yeah right ! large rendition crappy room . bed feel like sleep floor , might reasonable alternative dirty ! save money , even hotel available Las Vegas comfortable car use truck stop restroom . 
 Mar 31 2008 	 depend room ! 	 choose place hotel usually like stay extremely expensive spring break . flight arrive 9pm arrive hotel 10PM . reserve nonsmoke room two bed . front desk clerk advise already book reservation request . 10PM , likely find another hotel room prepay . Plaza we ! partner walk room old , smoky carpet stain well linen , furniture upolstery . 302 distinction locate next elevator overlook roof rarely get clean . television work bed firm . I approach front desk 7AM ask move nonsmoking room . treat kindly politely curtly tell would & quot ; come back 1pm make request . & quot ; explain would away day , ask put list , fact offer remove luggage could ready room smoker . tell maybe & quot ; could call do not count anything . & quot ; customer feel like interest mind want help out . I get back 3:30pm see wait line 12 family decide stand line . later , call make request tell non - smoking room available . quickly go room 1215 find room hotel , less smelly . fact whole floor smoke - free . linen appear new smell fresh . the television come right 70 bed comfortable . spend next two night enjoy hotel bit more . the casino low key friendly . bar tender quick keep drink full player card good low end player . good part hotel Seattle 's good Coffee stand . barista good , efficient make good coffee . bell desk work well , helpful call airport shuttle . I would return early flight town late . would return wife anyone try impress . purchase room package , would estimate cost $ 70 per night . 
