nice 	 pro : - outstanding location Embarcedero Drive across Ferry Building- Large & amp ; Beautiful Atrium- Large RoomsCons : - room date , wear out- Bathrooms clean- Service adequateWe stay Hyatt Regency city would like say nice hotel , quite worth price stay . initial impression hotel good , incredibly 10 + story atrium hang light global ball greet we . hotel location superior close walk chinatown , Financial District , Fisherman 's Wharf . however check room , must admit room sub - standard Hyatt Regency hotel . big problem old , worn look feel room . carpet stain rough -most likely not replace . bathroom fixture old eyesore . old fixture noticeable hair bathroom not leave positive impression . not help dim lighting bathroom entry way not give room & quot ; bright & quot ; look . bed sheet rough typical & quot ; fluffy & quot ; high - thread count linen . room really big downer . not try many on - site service except fitness room bare couple treadmill recline bike light weight . new Stay Fit fitness center not open time fitness facility could well next time . for dollar 's worth , would not recommend Hyatt Regency . reason , would want stay location be pretty much . 
 Mar 17 2009 	 Pleased 	 book Hyatt business trip stay two night . location perfect , Market financial district . BART station right front hotel , make get SFO cheap & amp ; easy . hotel grand central area unique appearance . stay King room w/ balcony , clean spacious . great view bay city . hotel ammenetie large chain hotel ( gift shop , business center ) well convenience Walgreens liquor store right across street . bar downstairs busy stay open late . smoker , choose non - smoking room provide ashtray smoke balcony , table chair lounge . would absolutely stay next trip . 10th floor not hear street noise , neighbor , door slam etc . 
 Feb 22 2009 	 Regency Club like 5 star Hotel 4 star Hotel . Great Job Hyatt SF 	 7 fast free night need use Feb. 28 . take Cal train city spend 9 night Hyatt Regency . Hyatt Diamond Member upgrade Regency Club Level , Balcony Bay View , love every second , hard leave . Regency Club room occupy top 2 floor , club top hotel awesome view Bay Bridge , Bay , Financial District . night club wonderful spread hous d'oenuvers , morning generous continental breakfast . room renovate tastefully decorate large plasma tv room , tv locate bathroom mirror . staff friendly , accommodate , professional . would like spend special thank housekeeping staff friendly 5 star service provide . every morning return breakfast room clean ! ! ! amazing like know schedule . ' ve stay almost every Hyatt , one pet peave room clean 12 noon , encounter cold housekeeping staff . thank Hyatt Regency San Francisco , good Regency Club Housekeeping Staff , experience never forget . 
 Feb 16 2009 	 Disappointed Quality 	 book 1 night family weekend overnight . location hotel main attraction . book room view bay . room decent size , everything room date . second , everything cost extra . ridiculous hotel charge extra internet day . $ 10 / day . parking $ 33 / day self park , $ 55 / day valet . the hotel probably fine business convention , much well choice city family anyone want weekend gateaway city . 
 Feb 9 2009 	 nice getaway 	 couple year ago apartment book room Hyatt getaway girlfriend . time able get room $ 100 / not Hotwire . room large bed ultra - comfortable . bathroom also nice . enjoyed stay hotel thoroughly . good value get decent last - minute price . 
 Jan 20 2009 	 Great Weekend Tourist Experience 	 book hotel last minute trip escape cold weather take advantage sunny 70 degree weather SF . decide go 930am Friday 1/16 plane 230pm . = ) . bid hotel Priceline , tell would go $ 75 / night bid accept . Lo behold , . get hotel SFO via BART could easy - exit Embarcadero hotel right front . arrive late - around 10 pm . wait service friendly . offer upgrade harborview room $ 40 + / night . politely decline , know would rarely room anyway . clerk say problem , tell would get nice room anyway . not really believe , sure enough , 12th floor room ( 1 king bed ) great view port , Embarcadero Street SF / Oakland bridge . find room perfect - clean comfortable ( particularly bed ) . be safe , iron , coffeemaker minibar room . could tell room refurbish , little nice bathroom , tile fixture bit date ( still clean ) . water hot pressure fine . tv work well get plenty channel . use room service . other note , location optimal . 's 7 - 11 . Walgreens Starbucks right across street , bagel store right around corner . open , even weekend financial district pretty quiet . transportation , BART / MUNI station right hotel , terminus one cable car line . Bus Route 1 stop 2 block away , make easy get Chinatown Nob Hill . bus seem run constantly short wait catch . North Beach area quick 10 min walk . also easily catch streetcar Fisherman 's Wharf place . ton walking , hotel great base camp . 15 mile first day 's visit , go Union Square , Castro , Golden Gate park , along Coastal Trail . get tired , 's easy jump public transportation get right back hotel . sure check Farmer 's Market port across street . when need taxi 430am get airport , plenty available , along towncar service . give great price , awesome location friendly service , happy hotel definitely stay . 
 Jan 6 2009 	 Excellent location sightseeing 	 come spouse 's conference get $ 130 rate two . room excellent , partial bay view -- probably Gold Passport member . think & quot ; get pay & quot ; comment another reviewer true ; hotel also reward loyalty . the room fine , low floor away elevator per our\profile . small balcony ( bit warm drier ) would nice sit see bay Embaracero area . the honor bar touch - sensitive manage slide cheese top beer . ( note move something charge , consume , get take bill ! ) soap lotion amenity nice quality scented white ginger . morning coffee via small coffeemaker room ( ugh ) via $ 2 / cup honor bar atrium . coffee fine . Breakfast bufffet perfectly ok extraordinary . across Ferry Building food market , little planning get food bring back morning go breakfast . I tourist trip , find location superb -- flat easy walk , close ferry scenic ride , reasonable walk Fishermans Wharf / Pier 39 / the ballpark . right Embaracadero BART / Muni stop . Ocean Beach half hour , Golden Gate Park . definitely new favorite hotel SF . see man gray cat sidewalk bagel place , please help ! 
 Dec 21 2008 	 Weekend Getaway 	 ticket nearby show decide dinner stay City . book Bay View King ( Room 1128 ) Hyatt website decent rate , use valet parking -- convenient steep $ 50 per day . view nice , though lot view Embarcadero Center , rather Bay . pleasant nonetheless . big room desk two sit area . clean smallish bathroom . Atrium decorate holiday , Ferry Building holiday skating rink adjacent . tip : turnaround California Cable Car line step outside hotel . famous Powell Street Line , be still great ride often little wait . probably make stay holiday another special occasion . also , note book room : see many complaint post tripadvisor folk book room deep discount complain offer one less desirable room hotel . Cliche true : get pay . 
 Dec 19 2008 	 Unbelievable ! 	 husband stay Hyatt Regency one night last Saturday San Francisco conference . we book room discount price treatment receive Hyatt bad . give we bad room hotel , small , old , different room hotel ( stay time ) . price pay , room horrible . toilet small closet room dark . everything touch pay . careful stay : touch something minibar immediately charge . price expensive . well visit walgreen front hotel ! not know next step charge money breathing room . everything pay probably Christmas decoration hall . terrible ! well stay motel ! 
 Dec 14 2008 	 Great experience 	 stay two night annual trip City Christmas shopping & amp ; activity . first time Hyatt happy stay . staff friendly everyone meet greet we warmly ask could help we anything . upgrade Regency Club great bargain we , consider receive . bottled water , soda , coffee ( latte machine ) , tea juice available 24 hrs day . breakfast continental breakfast cereal , fruit , bagel , muffin , etc . snack nuts & amp ; cookie put mid - day . 5 - 8pm put self - service cocktail station mix martini mix drink ( beer & amp ; wine also available ) , great spread cheese , shrimp , crudite ceviche . 8 pm put dessert . the Club top floor use rotate restaurant . view Bay Bridge Treasure Island fantastic . board game , massage chair , computer / printer binocular use well . 4 yr old , really enjoy able utilize Club . able relax nice environment entertain color book ( provide staff ) , game bring & amp ; binocular . not spend money hotel ( crazy parking fee $ 57 per night ) go eat dinner one night eat Club first night ( usually end spend water , breakfast dessert ) .on location .. fantastic .... never stay Embarcadero area please . Ferry Building , directly across street , wonderful little foodie shop remind Paris shop specialize one product . day leave went pick fresh bread , garlic infuse olive oil , french pastry , cheese bottle wine take home . Saturday also farmer 's market 8am-2pm ( think ) . could not believe never Ferry Building year visit City . hotel Ferry Building plaza numerous booth item sale art work , clothing , etc . ' m sure , appear set everyday . Union Square 15 minute walk ( tell ) hotel . decide ride BART ( $ 1.50 leg ) , , can not believe never use year visit . great . Embarcadero entrance right outside hotel . take ride Powell station bring front Westfield Shopping Centre . Union Square 2 easy block . walk back Powell station ride Civic Center stop . walk ( 3 long block ) Opera House Nutcracker performance . area City beautiful City Hall , Opera House Symphony building ornate . nutcracker beautiful experience well . another option transportation cable car end California Line right front . go Nob Hill . also get California & amp ; Powell go Fisherman 's Wharf direction go Union Square . as restaurant , go Sinbad be right across street next Ferry Building . make choice close location want seafood . would return . service excellent , view , food fair price . next time would head Pier 39 via streetcar . not interested hotel restaurant not offer much seafood . all , complaint parking fee . really enjoy time definitely return . 
 Dec 2 2008 	 overall great hotel stay 	 recently stay Hyatt Regency San Francisco four day conference . overall , really enjoy stay . room come small tube toothpaste business travel know helpful . front desk staff great bartender main bar . love room great view bay bridge huge window slide open make feel like outside . bed comfortable room nice big flat screen tv . location pretty good . $ 5 cab ride take North Beach great pub italian food . walk distance find good place Ferry Terminal well Osha Thai across ice skating rink . walk China Town lunch wonderful dim Sum Hang Ah Tea Room ( kind back ally / dive kind place GREAT food ) . take cab airport avoid parking cost . gym crowd far small hotel size . ' 24 Hour Fitness member great club block away . overall , would stay . 
 Nov 30 2008 	 highly Recommended Hotel Great Location 	 stay hotel night positive experience . room bathroom large well - appoint quality furnishing product . need purchase souvenir hotel store would come back hotel late , well store closing , reception staff arrange hold item . really appreciate this . the location hotel convenient base explore San Francisco . rental car , forewarn hotel area parking option quite pricey . terrific restaurant area . 
 Nov 30 2008 	 great hotel excessive fee 	 get great rate via Hotwire family vacation SF . hotel nice - Embarcadero convenient location shopping , dining , public transportation nearby . hotel lobby / atrium beautiful impressive Christmas display holiday . housekeep great - responsive need extra towel , etc . the negative fee additional service somewhat excessive , IMHO . check , clerk try upgrade we & quot ; room balcony $ 40 & quot ; - decline , try get we join $ 75 club allow we exclusive access lounge hotel ( something like ) . tired want check , feel like buy use car ! valet parking $ 50 / night , self parking $ 30 ( try get street / meter parking ! ) . 's minibar room typical exorbitant price - 's computerized one charge soon remove food / drink item . can not even remove soda / beer temporarily use fridge item . note say could call fridge empty use - $ 30 fee ! course , high - speed internet access $ 10 / day , average high end hotel . anyway , business expensing parking fee , might care think fee little excessive pay pocket ! 
 Nov 30 2008 	 always great place stay SF 	 husband always stay Hyatt Regency Embarcadero whenever SF . quality room great service always consistent . plan stay next month visit family holiday . 
 Nov 23 2008 	 great location Wharf ! ! ! ! 	 stay Hyatt conference . since not room available last day stay , upgrade we Deluxe Room nice : great amenity , clean , flat - screen tv , comfortable bed . staff helpful super friendly . one complaint - use WiFi not really : end cost $ 10 refund add hotel charge - hate add new expense travel report - add rool charg . 
 Nov 22 2008 	 Book somewhere else 	 book hotel conference , not choose , say one bad hotel ' ve ever stay life . noisy hotel room span main foyer music event echo throughout whole hotel room also face road noise traffic , busker doorman 's whistle pretty unbearable . also complete rip - off not much choose food area except day cafe , even Saturday night could not find open pizza restaurant 2 mile radius 7 pm . everything hotel extra cost , example , room service add additional 20 % top $ 5 gratuity . 
 Nov 18 2008 	 give pass be seek luxury 	 wife ( mid - twenty ) stay hotel Saturday night romantic getaway city . while location hotel good , hotel feel jade . bathroom small , room extra - ordinary . hotel lobby alright , various place , wall paint , hotel give unfinished / not - well - maintain look . we really hope luxurious stay ( give experience Hyatt Regency hotel ) , quite disappointed end . live bay area love city plan getaway , Hyatt Regency Embarcadero certainly list . decide stay here:1 . Book Priceline ( name price ) - go little $ 70 night rate website well $ 200.2 . upgrade ocean view room - view partial hardly spectacular . way hotel building shape , doubt room provide clear view bay . 
 Nov 6 2008 	 nice location great hotel . 	 nice hotel well locate near Bay bridge ferry Terminal . helpful staff . particularly recommend upgrade Regency Club .many nice restaurant nearby main restaurant hotel close apparent reason 
 Nov 6 2008 	 treat upgrade room view 	 book room Priceline get room bargain . check , ask room view . not , tell $ 35 could get room view bay . view incredible . not want leave room check . complaint since old hotel , could easily hear neighbor cough lung throughout night . call requested ear plug . bring room within 5 minute . sleep like baby that . the hotel BART line , hotel straight shoot airport $ 5.35 way . convenient travel budget . the concierge staff knowledgeable downtown area , recommend great sushi restaurant ( Hana Zen ) within walk distance . I hope stay next time ' m San Francisco . 
 Nov 2 2008 	 Hotel 's crack 	 one pricy Hotels San Francisco Bay area locate near Fisherman 's Wharf . think hotel would live Hilton name reason book . bathroom small amenity old date . chip wood counter sink not Hilton quality . pay $ 215 night definitely feel could choose somewhere else cheap nicer . also friend come take dinner leave car Valet parking walk nearby restaurant , two hour later pick car $ 57 fee ! feel hotel living 's name alone need kick notch low price . 
 Oct 21 2008 	 almost sci - fi 	 hotel familiar movie buff , spectacular lobby area double hotel classic 70 's disaster movie & quot ; Towering Inferno & quot ; Mel Brooks vertigo attack & quot ; High Anxiety & quot ; .The lobby fact make hotel , big anything ' ve ever see remind hotel suppose look 25th century early science fiction film . extend roof hotel surround two side corridor room , upon opening room door 's fantastic view space , amazing curtain light create floor ceiling . multi - coloured glass elevator travel side lobby 's even white water stream flow garden reception area . worth visit even be stay ! location great , right outside subway station end point one tram line , across road Ferry Building next Central Business District bay . half room view Bay Bridge . 10 minute walk downtown / Union Square area around feel perfectly safe walk night . winter stay also large outdoor ice rink outside . room big one compaint be look little worn also quite cold . least quiet . definitely thrill respect , certainly lot shabby Hyatt Regency hotel ' ve stay in . everything else seem work fine , not try breakfast , opt instead Taco Bell sandwich offer excellent deli across road . look awesome ( albeit expensive ) dining experience , Aqua Restaurant 5 minute walk away . Crab House Bubba Gumps Fisherman 's Wharf also come highly recommend . highly recommend distinctive architectural style , also perfect place tourist , due downtown location far enough away hustle bustle Union Square / Fisherman 's Wharf , whilst still short tram / subway / taxi ride city sight . 
 Oct 20 2008 	 great place great location great service high end hotel 	 love hotel proximity everything ! cable car , streetcar , Muni Bart stop outside front door . close water walk . across street Ferry terminal , house number fantastic restaurant shop . locate good district , feel safe walk hotel . check location several hotel extremely pleased choice . upgrade Regency Club level , worth extra money plan use benefit . give much well room , like light breakfast , mid - afternoon snack evening dessert worth . use two three time day get money 's worth . hotel food good . service excellent . downside room small anticipate , huge shower , LCD tv patio door actually open make . bit street noise train early morning , early riser anyways . 
 Oct 20 2008 	 Loved Hyatt Embarcadero 	 husband return 5 day visit Hyatt Embarcadero . meeting come day early . love room ( 1623 ) .. clean great veiw water . really love Regency Club top floor . great continental breakfast great coffee snack throughout day lot food evening . could eat dinner there- would SF . 360 degree view , include block Bay Bridge fantastic . employee friendly , much interaction anyone besides RC help house keeping staff . really like hotel location across water Ferry Building . 
 Oct 15 2008 	 potentially good hotel degraded penny pinching 	 finish five day stay Hyatt Regency , conference . location great , room good view bay . architecture atrium continue impress . poor rating seem decide milk guest every dime possible minimize expenditure maintenance.-When get room , could get wireless signal laptop . call front desk produce wireless bridge work ( $ 250 deposit ) . stand hall laptop edge balcony , could get signal usable enough find want $ 10 day connection ! -The elevator call button floor damage second day arrive fix duration stay.-the in - room fridge sign use stuff would activate automatic charge room.-the radio one $ 5 Walmart special would keep tune station without fiddle constantly . it sad see potentially good hotel degraded effort nickle dime guest . charge another $ 20 , will not big change $ 250 bill , provide minimum day Inn provide free . 
 Oct 14 2008 	 beautiful hotel great location ! 	 husband stay business September 2008 . hotel beautiful . shocked get final bill though ! luckily , not pay . ' m sure hotel worth price tag not do lot research price hotel area . we beautiful view room . room really nice obviously renovate recently . bed comfortable pillow much appreciate . the location perfect , close shopping , 15 minute walk downtown shopping right front Ferry Building . much area . use Budget car rental hotel , handy onsite . Ferry Building lot nice little shop fresh bread , cheese meat . also eat Thai restaurant right next door , Osho Thai restaurant right next door delicious , great decor reasonably price . also handy Starbucks , 7 - 11 Walgreens across street . view area beautiful . would love stay next time be San Francisco ! however , price tag might sway stay somewhere else . 
 Oct 14 2008 	 Excellent location base visit 	 Hyatt Embarcadero old hotel maintain good exceptional standard . real strength location - away shamble Fisherman 's Wharf night - risky area near Union Square ( latter view statement authority risk spot ) . one cable car front door , major bus tram route next , easy walk across Ferry Terminal ( worth visit anyway food stall cafe ) . upgrade Club room entitle we ( amongst thing ) light breakfast top floor day look across Bay - great spot . 3 day find perfect base local touring . good value discount price pay . 
 Oct 13 2008 	 Great Overnighter Hyatt Regency 	 stay Hyatt Regency 1 night last December long flight Australia San Francisco . leave head Yosemite National Park next morning , disappointment stay long . initially bite hesitant area arrive hotel airport shuttle heat argument occur 4 intoxicated people taxi cab entry hotel . concierge , obviously see we arrive come escort we side entry avoid situation happen front door . the foyer area resplendant Christmas display include minature Christmas scence hang interior light must 11 floor high ! quite something see . check prompt , professional friendly . room modern , clean , spacious fantastic view Bay Bridge . bed soft welcoming fame Hyatt pillow we weary traveller require rest head long flight . the hotel central within walking distance everything downtown offer ( Golden Gate Park quite hike though - look public transport get ) . BART station minute road , also easy access taxis Amtrak office ( bus pick location ) corner Embarcadero Mission Streets . due late arrival do not get chance experience cafe bar , order full hot breakfast room service next morning quite pricey , first rate . book room hotel 's website special offer whilst would consider budget , quality location hotel would definetely see we stay . 
 Oct 13 2008 	 Parking Fees astronomically expensive ! ! 	 recently book two - night stay Hyatt Regency , Embarcardero Center , Hotwire get appear great deal . ( charge $ 109 plus tax per night . ) arrive hotel valet tell we ( horror ) charge parking hotel $ 57 per day ! give hotwire release name hotel charge hotel & quot ; INCIDENTALS & quot ; ( apparently parking consider ) prior pay room , take completely surprise . give non - refundable nature Hotwire booking , stick pay $ 114 park two night . we fully expect pay around $ 25 / day parking , charge half cost room highway robbery .. hotel nice enough , will not go back - ever .. 
 Oct 7 2008 	 one new favorite city 	 fiance want fast night refresher book room via Priceline $ 75.00 per night . happy receive Hyatt , since many pleasant stay past different location / city . disappointed location . ideally locate waterfront , can not imagine majority room not sort Bay view . pull professional valet staff quickly assist fiance car ( see post ' ve write car ! ) & amp ; front desk check . big beautiful glass elevator whisk away & quot ; Atrium & quot ; level check effortless & amp ; complete 2 minute . upgrade suite $ 150 could not wait see ! sit happily bar , order two drink & amp ; fiance back within 10 minute happy clam since sport car safely tuck next $ 200k Ferrari parking garage . chance door ding tonight ! assist valet car , effort tip politely refuse . drink gone head 14th floor find Bay View suite , suite . two large room , one living area couch , sized chair , coffee table , two person barstool & amp ; table sit next large slide glass window . mini bar , additional refridgerator snack , drink ect . flat screen Tv . way bedroom another & quot ; guest & quot ; bathroom , toilet & amp ; sink & amp ; build TV Mirror remote control ! cool ( : bedroom King size bed , work station / desk look City & amp ; Bay . bathroom large Jacuzzi tub plenty big enough two , toilet & amp ; separate glass shower excellent water pressure . balcony good part . extra large two set patio furniture , one table & amp ; chair set . two person love seat & amp ; table end . stare Bay night long pass ship & amp ; gleam light Bay Bridge . simply stunning & amp ; delicious place sit & amp ; cocktail appetizer . room clean suggestion hotel carpet maybe quick clean living area furniture . ' m picky tell poster ridiculous . hotel 4 star way , staff include . prefer business hotel low key guest like interact staff need . whenever , room service housekeeping use , beyond polite , fast & amp ; attentive . leave we alone relax & amp ; rejuvinate luxery spa room . definately stay future recommend anyone . take taxi Fog City Cafe $ 6.00 one way 10 pm . ( one many luxury San Francisco late night diiner ) do not know anyone would ever say close eat ! city foodie ! think outside box people , beyond Denny 's mentality . choice absolutely endless . Fog City fabulous usual , casual yet delicious . perfect two slightly buzz & amp ; starve traveler . drive another fast cab ride & amp ; back comfort room . stay , promise love , dont take advise 's say upgrade not worth , simply not appreciate ambience gorgeous city extra well worth dollar . thank Hyatt fabulous Sunday night stay . 
 Oct 7 2008 	 average stay ... 	 stay hotel 4 day SF business . remind much Marriott Marquis Times Square . room nicely renovate , view city bay . convenient location , right Bay , 1/2 hour walk Pier 39 quick 5 minute cab . also 15 minute walk & amp ; Ballpark . minibar not overprice , would pay beer bar . bedding pillow comfortable , daily maid service thorough . bathroom bit small , big deal . overall pleasant experience . 
 Oct 5 2008 	 good experience possible 	 book via Priceline less $ 125 night , Bay Side double bed . business trip . hyatt staff make trip excellent . internet connection slow , problem . 
 Sep 25 2008 	 Nice Hotel 	 find hotel bad comment write . great room view 6th floor overlook ferry building bay . find room nicely appoint . bathroom nice outside sink seperate toilet shower . bed nice along sheet blanket . tv nice flat screen although , watch whole lot . location good yes , transportation bountiful right outside door . one side feel evening little eatery around close 4 5:00pm . want dinner could not pick quick bite eat right outside hotel . tell financial district . and yes , convention 600 attendance , huge convention hotel . able walk easy catch Alcatraz boat . wonderful tour ! 15 walk . overall , Good experience 
 Sep 22 2008 	 ok 	 husband recently stay property couple night . generally like Hyatt 's property throughout US chain provide clean comfortable room professional staff . Hyatt Regency SF definitely cater business / event traveller although glaring issue , overall experience great . hotel bite dowdy dark need update . room ( 15th floor ) nice view bay yet one slide glass door track . small terrace deck furniture dirty . bathroom toiletrie pleasant towel ok ; bed linen comfortable . unfortunately shower 's combination water faucet / temperature control knob keep slide towards hot setting need constantly reset avoid getting scald . additonally , order room service breakfast arrive 50 minute later ( tell 30 minute placing order ) . additonally , request carafe coffee actually carafe hot water upon notify room service mistake , take additonal 20 minute coffee deliver . wifi signal result access room extremely spotty ( notice another reviewer mentioning may due high floor ? ) mention check , Hyatt kindly credit we daily fee . overall , Hyatt provide decent enough stay yet compare Hyatt property , particular hotel average average . 
 Sep 7 2008 	 Bed Bugs bite leg sleep ! 	 pay view room , nary sliver water could see . hotel look like stick 80 's . bad bed bug present -- know hear couple talk breakfast . stay away . definitely not pay extra view room may get ( ) . 
 Sep 5 2008 	 always good stay 	 stay Hyatt many time always great . SF holiday long weekend stay . hotel little date ( hallway even room design ) , bed update room flat screen tv 's . be always clean , staff helpful can not beat location . room city view bay view , fantastic . state , can not beat location . Ferry Building across street , walkind distance North Beach , China town Union Square . not want walk , every form public transportation right front door ( cable car , street car , bus , BART ) . be almost always easy catch cab . thing noticed time ' ve stay : high floor get good reception wireless internet , plan use wireless internet request low floor . room face Market street , open window get little noisy . overall , be great place . 
 Sep 5 2008 	 Great Location 	 mom stay 4 night , book via Priceline . we arrive early check - in ( around 9:30am ) give room right away . good : excellent location . right across road Ferry Building Farmers Market ( Tue / Sat ) . lot public transportation right door step : bus , Muni , BART , F trolley , cable car . nice 20 - min stroll SF MOMA.However , be shop , may hotel probably would want something close Union Sq . shopper actually enjoy quiet location ( night weekend ) here . the good : room 3rd floor angle view Bay Ferry Building . way room position make dark , despite bright daylight . room also locate farth distance elevator - good 2 min walk get there . the Atrium play muzak 24 hour day pretty loud actually . hear inside room night . good window insulation though not hear street noise . sag mattress ! way overdue . bed sag side close bedside table . side feel least 2 inch high . btw , 2 bed room full - size bed . room flat screen TV HD channel . parking tip : hotel charge $ 57 parking ( $ 50 + tax ) . park Embarcadero 4 garage ( entrance Drumm street ) $ 30 ( 24 hr max ) . need in - out priviledge , save bunch parking Embarcadero 4 . garage elevator , 1 - min walk hotel , convenient . garage open 7 day week 5 am til midnight ( 7 am weekend ) . 
 Aug 26 2008 	 Awesome experience ! 	 past Hyatt hotel experience , one far good . stay Hyatt @ Fisherman ' Wharf Hyatt San Francisco Airport . decide valet car hotel think park next door $ 25 difference . check - in breeze hotel great feel . construction right check desk idea start go elevator . make look like sign construction temporary wall . intrigue see look like complete it . I book room Hotwire little skeptical first could please . view amazing ! great picture Bay Bridge Embarcadero room . the room normal size really like furniture placement bed placement . bed look window / balcony ? ? window slide glass door open almost way . one thing ' like room bathroom setup . ' know feelin . must go Noah ' bagel breakfast visit . great coffee great bagel ! basically locate base hotel . stre shops/ cafe along base . I definitely come back hotel ! 
 Aug 24 2008 	 wonderful stay 	 great 8 night stay august 2008 . book Embarcadero suite stunning view ferry build bay bridge - superb sunset ... room large , 2 tele plus one tv mirror bathroom . nice luxurious bed plenty sofa space stretch out . there entrance / exit hotel via embarcadero centre worth use . take along raise walkway street fill shop cover seat area beneath bamboo tree ... lovely place stop coffee ... service hotel good , cocktail great enjoyable stay ... disappointment : Regency Club busy school holiday not & quot ; exclusive & quot ; feel - fact , breakfast busy time seat difficult find ... also could difficult get access either two pc internet access ( free wifi hotel room ) take kid manage get onto pc , would queue kid hover around wait vacate ... quieter time season , would great place hang .. breakfast good , nice light afternoon snack evening honesty bar .. however , school holiday quieter breakfast ground floor restaurant regency club ... fridge room system whereby moment remove something fridge charge room ... fridge room stuff ( eg milk coffee although coffee maker provide room ) minibar fridge empty content cost $ 40 .... make use tea / coffee regency club . for large hotel 17 floor room , 5 small lift ... option use stair slow many people go one two floor progress get room . we 15th floor room far end hotel overlook ferry building ... room could noisy night service elevator next room seem get unload plate trolley night ... also noise carry street , especially early morning , unless like 6 am streetnoise waking , take ear plug ... 
 Aug 13 2008 	 Convenient Affordable Great View - Hyatt Regency Embarcadero 	 stay single Tuesday night August . come San Francisco listen live music , need place crash concert . parking next door Embarcadero # 4 next door ( $ 30.00 overnight , ) , walk lobby check . believe hotel valet park $ 54.00 overnight . key hand within 8 minute - efficient . room 15th floor although give King City View , great view Transamerica Pyramid . the hotel convenient Ferry Building , hit Hog Island oyster wine go back room nap night out . Taxis plentiful get soma venue quickly . post - club dinner late - night restaurant , taxi quickly take we back . ride $ 7.We check 7 am work 9 be back Sacramento . we like hotel convenience shopping , eating , drink , dancing , downtown San Francisco . 
 Aug 1 2008 	 Hyatt Embarcadaro 	 initially stay JW Marriott transfer hotel 4 night . staff friendly accomodate . bell staff excellent , concierge go beyond call duty term helpful , maid prompt efficient overall enjoy stay . would highly recommend stay Regency Club level .... food , service amenity excellent well worth little additional pay . complaint relate room . bathroom small outdate , bed particularly comfortable room need general upgrading . staff well train serve , amenity good , place clean . room well would give place 5 star . 
 Jul 27 2008 	 Standard Hyatt experience 	 standard Hyatt , conveniently locate Embarcadero , mean take BART hotel access harbor Ferry Building sample SF food . staff accommodate , room clean , decor ok room reasonably large . room great view harbor . 
 Jul 25 2008 	 Heavenly Hyatt 	 travel San Francisco least year stay various hotel past . Hyatt Regency pleasant stay we . hotel clean , staff friendly . seem norm Hyatt general stay Hyatt Regency 's location great experience . would freely recommend Hyatt Regency San Francisco anyone travel . Kudos Hyatt . 
 Jul 20 2008 	 A+ Hyatt Regency Club ! 	 spend 2 night Hyatt Embarcadero San Francisco . ever see & quot ; deal & quot ; Regency Club - take ! $ 259 per night upgrade suite overlook Bay Bridge ( suppose & quot ; city view & quot ; Regency Club floor ) . room card go special slot elevator take private 18th floor . Regency Club include extensive continental breakfast ( bagel , lox , cream cheese , oatmeal , cereal , crossiont , etc . ) later mid - day snack : cookie , fruit , warm mix nut , beverage . 5 serve & quot ; appetizer & quot ; -artisan cheese , meat , olive , roasted vegatable , taco bar one night , bake salmon clam chowder next . 8 cake cookie . Beverages ( non alcoholic ) available time . come fantastic view bay ! purchase small lunch one day . food plentiful , top quality . staff gracious helpful Regency Club elsewhere . Hyatt Employee stop ask needed help look confused ( ! ) . give hotel A+ . unfortunately , spoil we forever experience . & quot ; deal & quot ; called & quot ; committment / celebrate & quot ; . hestitate take see ! thing : street car take right Pier 39 Ferry Building ( amazing Saturday Farmer 's Market ) right across street . 
 Jul 17 2008 	 Regency Club Rocks 	 Hyatt Regency San Francisco take elite club scene next level … . literally . stay property , discover hotel ' former revolving restaurant Equinox recently turn prestigious Regency Club Floor Lounge . top two floor hotel cater look chic exclusive San Francisco experience . Regency Club Lounge divide four hemisphere : dining , business , entertainment relaxation safe want unwind rejuvenate private , club - like setting . favorite space entertainment hemisphere , large plasma tv ; iPod listening station ; lifestyle business magazine ; Cranium board game . also enjoy relaxation hemisphere , perfect traveler like need quiet retreat end day place enjoy spectacular panoramic view . aside amenity , enjoy dining hemisphere , never stop serve delicious meal ( breakfast , lunch dinner ) , snack appetizer . lounge also great place meet colleague , could chat private , take amazing scenery nosh favorite munchie ! great city option , Hyatt Regency ' new club floor lounge hooked ! 
 Jul 3 2008 	 Fantastic Hotel ! not rent car ! 	 hotel even expect ! first time San Francisco . decide rent car . thank goodness BART , Muni Cable car right outside hotel . staff wonderful assist we . King Bed room 914 look side street , could also see Bay Bridge . get great price via priceline . restaurant little pricey , opt local restaurant . Walgreens , Subway , starbuck many small restaurant close hotel everything convienent . seem location perfect we . Union Square Fisherman 's warf area crowd feel area give we breathing room . even not take public transportation , walk SFMMOFA , Union Square , North Beach ( little Italy ) , Fisherman 's Warf not mind excercise . walk one way take cable car back . buy 3 day 7 day pass Port San Fran Embarqudero accross street hotel back . buy Alcatraz ticket line plan go sell . also walk & amp ; Staduim Giants game take Muni back . take BART Oakland 's game . 's 20 min . ride stop front hotel ( underground course ) great TRip , great hotel 
