sport 	 Staff wonderful , professional first - rate ! could not ask ! weekend special load fun ! 
 Apr 1 2009 	 Nice charming 	 stay Golden Gate 27 - 30 March 2009 . husband find deal internet $ 19 night past love gamble casino decide stay . Las Vegas get married weekend know would play run around night little sleep want spend high dollar stay strip basically spend time room sleep decide hotel . I pleasantly surprise . expect whole lot hotel since really old really fancy . however , room two queen bed , large flat pannel tv , closet bathroom . room really small two bed do not need second bed face street towards Plaza quiet . get noise Fremont all . the wall pretty thin could hear neighbor morning would get leave , really could noisy . seem like go room over . the bathroom disappoint part hotel . old update least break tile behind toilet shower curtain seem little dirty bottom . toilet run night figure need lift lid ( large toilet ) set plunger straight . however , shower water pressure perfect ! toiletry nice touch towel scratchy . we coffee maker room cable television use get relaxed sleep night sufficient . Maid service respectable hour see come go . check miserable . take young guy thirty minute work couple front we simply extremely slow ! buddy check next morning young girl fast . checkout extremely fast old woman friendly ! eat cafe several time food really good . thirty minute wait Friday night large party ( 8 we ) rest time long 5 - 10 minute want sit counter serve immediately ! another open cafe right casino floor huge dissapointment . would eat service terrible . line thirty people deep one evening two people work take we hour get food . grrrthe floor waitress serve crap table awesome . totally top drink . pit boss dealer lot fun well . I would totally stay . stay Ritz Carlton big city $ 450 per night service well Golden Gate although room really nice . however , bringing let know know hotel motel . Golden Gate charm 's look luxury place . however , look 's historical charm fact will not sleep much anyway Las Vegas perfect choice ! besides , get STEAL $ 19 per night . probably would pay $ 70 per night high bathroom . really nasty one . need something soon possible . my cousin stay across we Las Vegas Club double queen $ 80 per night . room twice large bed HORRIBLE . even jump one could get spring say hard rock absolutely right . think could sleep even drunk without pain . Golden Gate bed heavenly . extremely comfortable . stay Golden Gate get chance ! small charming great service excellent food ! 
 Mar 25 2009 	 Good Room - Great experience 	 room attractive newly renovate , could book non - smoking room online . nice touch window really open palm tree right outside 2nd floor window . 12 tv station , nice wide screen tv . 106 room , 12 10 10 foot square . avoid unless enjoy monk experience . guest middle class , middle - aged , multi - racial , pleasant cheerful . the location ideal visit low - key downtown Fremont St. area . Valet parking friendly efficient . would return anytime . 
 Mar 14 2009 	 Golden Gate great ! 	 say enough nice thing staff Golden Gate . helpful , friendly prompt person . hotel darling . love own historic nature property lot period touch . room re - do contemporary style feel plush cozy , even little one . bathroom renovate yet ; bathroom still original 60 's avocado formica , spotless . room stock coffeemaker , fixing neutrogena- nice upscale touch . location great- right top Fremont street . walk away room Plaza ( AWFUL ) book Golden Gate soon see room . , impeccable service . can not beat promotional rate $ 19.06 commemoration hotel opening . would pay . great stay ! 
 Feb 17 2009 	 Pleasant Surprises Bargain price 	 must walk past Golden Gate 100 time day never even think go inside . need cheap room President 's Day weekend usual comp hotel book . choose Golden Gate offer cheap rate town Sunday night , $ 19.06 ( $ 21.16 tax ) .I request double room online check give room # 302 right front Fremont St , almost corner Main St . pleasantly surprised . decor beautiful . ever see $ 19 room newly renovate beautiful dark hardwood furnishing , pillowtop bed , LCD TV , clock radio / alarm iPod docking station , Neutrogena bath product , coffee maker , etc ? neither . room need fridge line many 4 star hotel room ' ve stay . bed : pillowtop bed extra comfy high TC sheet . ' m 5'11 & quot ; 240lbs short another reviewer state . noise outside sleep well . Floor Space : leave Vegas , read , tell massage therapist would wait til next night Main Steeet Station massage . wrong . room plenty space massage table . fact , could hold cocktail party 10 - 12 adult # 302 quite comfortably . 's plenty room , unlike write review . bathroom : drift . guy will not mind lack counter top shelf space female highly annoyed . old fashioned shower work well plenty water pressure hot water , almost like aqua massage . Neutrogena toiletrie nice touch . plenty towel furnish size . closet : huge walk closet , deep rack hanger middle . strange . would add bathroom space waste space . noise : room three window open directly onto Fremont Street . great unless actually plan sleep point 7 am . Fremont Street Experience go til midnight , drunk stay til 4 am hoot , holler screaming . 5 am , service vehicle start day ; trash truck , street sweeper cleaner , delivery truck , etc . ear plug not help much . be like Bourbon St Mardi Gras . like noise action , request room # 301- # 310 . , ask quieter room location . casino : casino small much offer . enjoy play Viva Las Vegas video slot Elvis Ann Margaret . $ 120 bonus round head across street Las Vegas Club serve well beautiful young co ed type . drink service dismal Golden Gate . also , be plenty staff hang around not seem much block aisle . fellow patron well . food : not try cuisine ambiance look quite nice . relaxed warm hardwood decor . bottom line : would not hesitate stay recommend Golden Gate other . benefit far outweigh downside . location excellent downtown trip . note : parking valet directly behind hotel Main St. Elevator service adequate stair option . lot memory wall ghost . sorry . ask couple comment refuse . 
 Feb 8 2009 	 good stay @ Golden Gate ! 	 second stay @ Golden Gate , first stay November 2008 . room renovate last summer & amp ; art deco look . clean & amp ; everything work . small side , not matter since travel . window pop open outside , kind neat . mattress comfortable & amp ; sleep well . room 314 , alley , Fremont St. north . potential noise , wear earplug sleep . ' m glad say work well , not hear noise alley room . however , not stay plan go bed FSE show end midnight , will hear , earplug . since not get bed early , not issue . noise alley occasional delivery truck , usually mid - afternoon . overall , would easily stay , especially since give 5 night comp every quarter ! like gambling casino & amp ; little crap & amp ; VP action insure offer keep come . 
 Feb 6 2009 	 oh well 	 probably small room ever stay in . I Vegas superbowl , care ? wall paper thin , could hear conversation next room hallway . room clean nicely decorate . usually not spend much time room vegas , weekend get sick spend much time there . tv channel . gladly room face Main Street pretty quiet . room comp guess not complain . do not think would pay room hotel , free great . 
 Nov 29 2008 	 like prison 	 recently stay golden gate . miserable stay vegas I ve ever had.first room small room I ve ever stay view look wall . heat room , control air condition , construction noise 6:30am till dark - good luck try sleep.only 12 tv channel like spend little time room.the shower would go hot cold hot time shower.please do not waste time money stay hotel . claustraphobic.will never stay recomend anyone . 
 Sep 14 2008 	 Nice Hotel 	 Family five UK tour Nevada . stay one night bit concerned read review . believe complaint room size - enormous . brilliant location opposite Freemont Street noisy midnight . the room clean criticism would corridor need renovating - not sleep corridor ! staff helpful friendly first encounter valet parking . plenty area plenty place eat . price everything lot cheap end Strip . get back Las Vegas stay . not five star never book five star find good value money . 
 Aug 26 2008 	 like woman may . 	 stay Golden Gate Aug 22 - 23 2008 . roomrate cheap phone internet , pay $ 65 night . after read review , not sure expect Golden Gate . say place dump , other say clean , find room clean . as advise , request 4th floor room , tell someone activate sprinkler day early 2nd floor close & amp ; short room . give room 306 face Fremont St. I get kick view room , window open right Fremont St. , great view thunderdome cage . nice ' Vegas fun night , plan lot sleep , Fremont experience easily see hear Hotel . the bathroom ok , could well , seem bug girl , air conditioning could not keep morning . on Friday , $ 3 blackjack , Saturday , price go $ 5 , least add bikini table dancer compensate . I join Player 's club get 99 cent shrimp cocktail , able milk free card , dice calendar ask signup . I eat twice Bay City Diner , food good , price kind high . recommend signature burger knife stab , deep fried spaghetti . I probably stay , casino floor nicely remodel , bathroom & amp ; air conditioning could use work . 
 Jul 30 2008 	 stay somewhere else 	 visit Golden Gate casino several year , offer 4 night free stay , read review say heck , will give try . big mistake ! bathroom filthy ! ask maid service clean ... pick bobby pin leave , sweep mop ! exhausted go sleep . next morning open drape see filth everywhere .... floor , dresser , wall ! ! immediately pack thing go elevator , find bloody bandage floor ! check immediately , interestingly desk person not even question quick exit ! favor stay somewhere else ! 
 Jul 17 2008 	 hotel ok dining = horrid 	 hotel ? well , okay . small room , great access super cool Fremont street ( light 's show live music make wonderful ambience ) . fremont area much low - key strip , proivde enjoyable atmosphere good drink special ; ) . however , must caution one hotel 's & quot ; Bay City Diner . & quot ; bus boy spill water , manager tell & quot ; water & quot ; would compensated . shortly eat restaurant , get violently sick ( food poisoning ? ) . -- recommend area hotel , would not stay establishment poor dining . watch ! 
 Jul 3 2008 	 good Classic Las Vegas ! 	 reader , Golden Gate fun hotel ! right middle Fremont Street action , staff member friendly . summary 18 - 20 June , 2008 visit : associate Front Desk please check early , Room # 402 . friendly helpful . I see particular reason $ 20 bill trick Golden Gate . remember , try get something specific , like & quot ; View pool & quot ; & quot ; Fremont Street canopy & quot ; .The room small , yes . must know reserve . vintage Vegas , tall / very heavy visitor would happy room . , spartan surrounding part charm . there two live piano player visit : & quot ; Bandit Pianist & quot ; ( careful say ) old lady . superb , piano provide Old West atmosphere see anywhere else . I see $ 3 blackjack throughout visit , time day night . 's good way stretch fund . the food service good . get & quot ; Club 1906 & quot ; card order buy classic shrimp cocktail 99 cent . Bay City Diner excellent breakfast . park flat lot , shade . Valet require , $ 1- $ 3 tip need driving trip . valet crank AC , work well thought . Room AC facility fine . AC blank ground noise bus stop Plaza across street . light sleeper , ask 4th - floor room . my room rate $ 30 per night , one online site . weeknight June . price terrific ! vintage Vegas photo art plentiful ; see action shot Rat Pack , Casino ( movie ) , Pay Forward ( movie ) , CSI , art San Francisco theme . I visit ! congratulation , gg staff ! reader ask info atDrGPadgett @ ms.metrocast.netby enter subject line & quot ; Las Vegas & quot ; .Regards , Gene Padgett ! Starkville , msi return Golden Gate . 
 Jun 5 2008 	 Affordable Downtown Hotel without frill 	 Golden Gate Hotel original downtown hotel casino . located top Freemont Experience , quaint little hotel lot go it . firstly cheap . room small , find bed comftable room clean . stay time . bathroom tiny , little room move around , price , really can not expect much . inside hotel two place eat . Shrimp Bar Deli , locate near reception , variety sandwich , soup cafeterria style eat . real attraction 99c Shrimp Cocktail ( 99c club 1906 member , hotel 's Rewards Programme , free join , go ! ) story behind Cocktail 1959 , Golden Gate introduce Shrimp Cocktail 's vote Best Las Vegas year since ! worth 99c say ' ve try ! ! eatery hotel Bay City Diner , locate around back casino . actually miss first time around , glad eventually find . meal huge price really reasonable . place one favourite place eat downtown ... fancy , good food reasonable price ( open till really late ! ) hotel great people will not spend much time room ( ie , poker player hardcore gambler hahaha ) . experience loud neighbour last visit , wall do not seem thick , negative . negative check -in policy . can not check till ridiculous time ... think 12 pm , be plane arrive 7 am , wonder street ! ( well , allow we leave luggage store room , really inconvenient ) think well - worth stay short . 
 Apr 25 2008 	 paper thinwall 	 unless want hear neighbor go bathroom , love fact take shower water go hot ( extremely hot ) cold , oh want lopsided bed stain , lovely view brick wall , place . friend room 9 x 9 include bathroom . room right next eachother hop shower hear friend talk , yes talk , clearly ! take shower talk friend right next door , be not use phone either . good description room : prison . employee nice , place need renovation . would sure pay extra stay strip nothing else available downtown . oh picture room Golden Gates website probably take early 90 , room look near , oh airconditioner do not work either . seriously book place . 
 Apr 15 2008 	 relax charming small spot 	 read previous review still decide stay . completely content decision . place magnificent . compare large Vegas - strip hotel casino , , Vegas trip need extravagant . still , Golden Gate Hotel Casino make feel home . location perfect . close casino hot spot within Fremont Downtown experience . casino wonderful . great table play low $ 5 waging . can not find . music bar scene perfect want enjoy piece Vegas . if be craziness , head outside join crowd boardwalk Fremont 's experience . 's music plenty vendor . back Hotel , room bite old , well - keep . elevator bit slow , always ride alone . bed comfy smell room fine . one big recommendation , go eat East bay Diner . food well open 24 hour Saturday - Sunday . 
 Apr 15 2008 	 keep come back 	 stay Golden Gate New Years . stay hotel countless time . family come Vegas year kind relationship hotel . 23 come Vegas year . normally 5 - 6 time year . hotel small . staff check super friendly . normally Geri Debbie ( mother daughter ) . nice people . make sure ASK room 4th floor . otherwise tiny room . double room twin bed . get 2 queen size bed 4th floor . room much big room downstairs . everything really old fashioned . hotel people need place sleep . plan lounging room , stay somewhere else ! get coffee maker small t.v . room ( many channel ) . pool . hotel . really good compe room . go player card . able get compe 2 night stay really not play much . slot tight ! People well table . cocktail service good playing slot . waitress stay table . casino really small , take 15 min get drink . 2 place eat : Bay City Diner snack bar . food bland , price cheap . offer good special late night early morning . breakfast good pick . visit Vegas often stay many hotel . please feel free contact question . 
 Apr 6 2008 	 Loved Town 	 stay Golden Gate 9 day vacation Las Vegas delight choice . staff friendly helpful . room although basic meet need adaquately . love ' Diner ' food staff excellent especially Donna serve drink . always great humor ready bit banter . love Downtown area Vegas happy stay ' rush hour ' traffic people notice every time visit strip . 
 Jan 5 2008 	 room need remodel 	 stay Golden Gate December 30 31 . staff nice helpful . room need remodeling outdate . bed uncomfortable need replace . room coffee maker get newpaper door morning nice . also nice hotel small could run room quite often get something bring something without walk mile . well casino Golden Gate . think would stay definitely play . 
 Dec 31 2007 	 allow people stay ? 	 title say . expect anyone stay ? ' m far picky willing put hotel , absolutely disgusting -- exaggeration . rough 4 hour flight , excited get room relax . walk first notice odor . smell like public bathroom million airfreshner try cover . , stain carpet cigarette burn floor ( even though request non smoking ) . think , okay , will not hardly even much , deal . open window excellent view brick wall . yes , brick wall . room small , could not imagine one person stay .. bathroom . point enough rebooke hotel strip . place disgusting not care cheap , be worth old , cramp , smelly , depress place . stay . 
 Nov 15 2007 	 place truly haunt photo prove ! 	 hote awesome -- old hotel Vegas lot character / history . could feel history decide start snap picture hallway way room . friend hope catch picture orb get well -- actual picture ghost . take picture psychic say picture man entertainer 1970 's . know name picture evident . paranormal activity , place ! right go bed restless unusual tired . normally would asleep bed comfortable tired , -- feel , hear see shadowy figure walk right hallway room right bed ! hear footstep feel vibration person walk right well seeing move dark . amazing experience skeptic anymore ! paralyzed could not move stunned ! tell would love spend another night ghost seem non - threatening . not think would harm anyone -- seem violent . kind thing want stay ! 
 Sep 19 2007 	 horrid experience stay anywhere else bad Vegas stay ever 	 funny usually live TripAdvisor review somehow forget review Golden Gate book stay . happen desperation , 1 month prior , attempt book room Golden Nugget , Fitz Plaza full weekend Wisconsin Badgers play UNLV ( find later course uggggggggh ) . think Golden Gate since play $ 3 black jack do well . well positive experience Golden Gate . room extremely small , industrial prison cell style toilet bath match . bed warp tiny furnishing carpet date back origination 1906 believe . gross ........... piece de resistance right Fremont Street Experience sort music blaring 24/7 , play , blaring . course drunk fool scream & quot ; Air Ball & quot ; 2 hour also quite special . do not go Vegas sleep like rest 4 am 9 be even possible . ask switch different room course , Badgers town none available . favor do not stay Golden Gate . another review say , & quot ; tent would well & quot ; . ( also tall pimply face Security guard need serious attitude adjustment ) BUYER BEWARE 
 Aug 22 2007 	 Best Gamblin Vegas ! ! ! 	 read review go , must admit expect nasty distgusting hotel . though hotel & quot ; age & quot ; bad say . room old furniture etc , hey - $ 70 buck night . air bit hot room would like first - got settle quite cool . great casino - fact usually find Binions stay Fremont Street , spend time gamble $ $ Golden Gate ... A+ A+ . 
 Jul 5 2007 	 Great Gaming 	 first stay Golden Gate . spend night , sleep involved . Golden Gate fun ' ve ever game Vegas . wife grow really tired $ 10 minimum table everywhere went land Freemont Streetour last night . Golden Gate $ 3 blackjck $ 5 crap . grab chair settle night . dealer fantastic . mostly , , asian . one speak decent English really polite funny . cocktail waitress amazing ! ! ! drink never empty . make pretty penny wife tip . know drink justkept bring it . I never stay hotel , unaware issue casino floor , casino floor thing great . highly recommend make trip Freemont Street definately game Golden Gate . 
 May 29 2007 	 bad Hotel ever ! stay ! ! ! 	 worst HOTEL EVER.they not even queen bed , go family ask two queen bed give we two twin bed , itchy bed , feel old , ugly bathroom , everytime get inside hotel get scratch body , carpet feel nasty not even want take shoe , whole time . give we wrong tv remote . 
 may 22 2007 	 piece history 	 come people , look top , glitz glamour go stay strip hoard . Fremont St. . look nostalgic feel Vegas right place . Golden Gate old hotel , room small hey much time go spend room anyway ? be cheap work place crash . wander light Fremont St . experience right outside door ... grab drink $ 5.99 breakfast anytime ! really different stay strip enjoyable . 
 Apr 24 2007 	 one word .. trust ? watch stealno hot water small room 	 book room 2 come Las Vegas see 80 year old mother . look forward trip many visit family , meet Vegas . room hard find time cost high . know , book hotel . view window roof top , loud sound street night light show make room bright , hot water late eveing bath , light bulb burn , small room , old chair table , need good cleaning paint work room . put & quot ; disturb sign & quot ; door whole two day . always . like maid enter room aware . yet still & quot ; Ipod & quot ; take room sit top suitcase . rememner see Maid 's cart side room floor . put two two together ... can not prove , never stay ! even hall smell musty , moldy aged maybe . someone need take money come & quot ; downstaire & quot ; put use inprove upstaire old . could lovley place old charm history someone care enough clean alittle . Cafe open , food die , good patty melt . not forget must allow time , not hurry ! not . 
 Apr 1 2007 	 Living History 	 choose hotel old . room small hotel great atmosphere . location great Freemont Street Experience ... overlook roof ! ! ! ! .. say noisy expect noisy thing air conditioning turn go bed . spanish omlette breakfast well far . hotel food McDonalds across road food good ! Freemont Street Experience exactly ! ! ! ! brilliant party St Patrick 's Day trouble great fun . 
 Mar 31 2007 	 not Lodger Food great 	 always stay Strip , want consider statye Downtown next visit . feel table limit low downtown , seem win . great dining experience Golden Gate , shrimp cocktail huge price , wait minute get restraunt , casino provide we drink line . waiter excellent , funny accomodate , Prime Rib fantastic . 
 Jan 8 2007 	 Need Tent 	 would well tent ..... room small .. bath room roon TUB SHOWER CONCRETE FLOOR .. county Jail well shower .. bed make 5 foot kid . Iam 5 foot 11 foot hang way end ... can not think one reason stay ... 
 Jan 8 2007 	 terrible overrating 	 never never stay , sorry . give free room would turn . stay Gold Spike , Las vegas club , four queen , Golden nugget downtown vegas well hundred other different city country bad hotel ever stay . bed make small child . air work evening room average tempature 120 degree . hotel bad book another hotel . course could get refund . casino ok shimp cocktail good , not stay get item . video try update photo , tell whole story . 
 Nov 13 2006 	 could do well 	 want stay downtown stay property think would give Golden Gate try . promote small casino / hotel Vegas around 100 year . history hotel good reason check out . I read review Trip Advisor prior stay varied greatly one next make hard decide . the hotel outside look clean nice , nice frosted glass door brass wood trim . window little flower box outside - inviting . the inside , casino hotel check old fashioned looking . old slot machine display , wood wall , etcl look nice remind must like year ago . the room small like lot review mention , use old looking fixture room , door wood one closet really small . bathroom door hit toilet open door , cramp small . ever standard stateroom cruise ship lot like clean . the staff friendly security often patrol hallway hotel . build 4 story first story casino diner . 106 room total . we stay room 121 . apparently right maintenance department could hear roll door hour . noisy , window drafty , face alley 10 PM Saturday garbage truck come dump dumpster , loud . also soda vend machine next wall hear every 15 minute hum interval . vend machine stop take money one point go floor one vend machine work . informed front desk situation never fix . also travel small child may want reconsider - window open completely screen . bed spread feel nasty like dirt film sort substance . Underneath night stand could see trash , sure not go stick hand . could see dirt wall feel clean time . grout bathroom dingy could see sloppy repair make wall plumbing leak . toilet remind public restroom toilet , kick lever flush . plug outlet bathroom one outlet light switch . outlet mount upside hair dryer razor bulkier plug can not plug , plug dresser power strip . the old place lot history think would take time remodel room like downstairs diner casino would great gem downtown . 
 Nov 4 2006 	 Vintage Vegas 	 first stop look hotel . vintage , historic original . yes , old part charm . return Vegas stay Golden Gate . find hotel clean . room small , clean . bathroom small room two , like person . decore year ago . interested past , need stay . hotel build , top line . one place feel need keep Wynns Boyds . look history , walk around look photo wall old slot machine back corner . service excellent , registration desk , house keeping , dealer , cocktail waitress . pleasant always smile kind word . never stay another Vegas hotel recieve morning paper door . never many staff memeber ask enjoy stay anything could we . hungry , go far . Bay City Diner great little hole wall . food great price even well . shrimp cocktail $ .99 great snack mini meal deli . also great sanwiche fill . stay ? yes ! recomend friend ? one appreciate history 
 Jun 19 2006 	 love hotel . piano play casino shrimp great . 	 would rather stay Fredmont St. strip . love history behind hotel . yes , room small , sleep couple hour . stay Vegas want stay hotel room long anyway . 
 Jun 11 2006 	 do not rate Golden Gate 	 without question bad accommodation ever stay . book thinking would old world charm , could wrong . place need visit health inspector Fire Marshals . room dodgy electric , sink old hardly enamel leave . window would not close properly furnishing tired - exhausted . I take stair reception one day sprinkler system least 3 inch dust it . strangely , give say , eat hotel pretty good . shrimp cocktail superb take view sell much , fresh prepared front not worry clean kitchen . hotel superb location head Freemont Street , afraid live past glory . time major refurbishment . moment avoid like plague - unless want shrimp cocktail 
 Apr 23 2006 	 nice place Shrimp amazing 	 second stay Golden Gate Hotel , first back 2000 . enjoy stay love 99 cent shrimpthe room small simple nice . hotel locate & quot ; Freemont Street Experience & quot ; easy access casino Gitter Gutch strip bar . clean nice hotel staff great . if go Vegas want pay big buck stay hotel close everything good place . 
 Mar 14 2006 	 Old Clean 	 read review take trip , book room via Expedia , say 7 night excellent value money ! room modern clean . 
 Feb 2 2006 	 casino draw 	 casino small smokey historic Vegas gem , especially vintage slot display . diner excellent deal lunch , 99 cent shrimp cocktail deli counter back Vegas staple . the hotel old , room small non - standard get fair amount hallway noise , light sleeper . fremont street side , light show go midnight , music play right outside room . say , find clean decent place , although usually get well deal large room elsewhere downtown . 
 Jan 31 2006 	 te bad hotel ' ve ever stay ! ! ! 	 reservation 2 day hotel , not stay 2 day due problem . condition terrible . grant old hotel , hallway smell old , room ' m sure broom closet , small , 1 nite stand . tiny little soap packet size quarter package Australia . one adult , alone 2 could wash small soap , bring , unbelievable . coffee maker overflow coffee dresser would shut . floor , 4th floor street side never sleep nite due noise 24 - hour Vegas , siren run street nite . check early , ask money back 2nd day , receive . never apologize , never ask move we ( would never do ) unacceptable , be go run & quot ; old & quot ; hotel , well condition hotel . 
 Jan 30 2006 	 terrible ? ! 	 word TERRIBLE not even begin describe walk ! travel Las Vegas frequently business stay average hotel . however , since stay two extra day personal time stay place different . actually friend set hotel arrangement . arrive night end change room next morning window room give right bus depot . although next room not much well . old hotel expect little run , little noise WOW ! end take photo room . enter room greasy substance hand touch door . ' sign ' ! not think room ever dust even sweep . several wall stain not even want know . bathroom floor actually tile come foot step . could not get fast enough . 
 Jan 23 2006 	 live title ` ` old hotel Vegas '' ... 	 graduation present , boyfriend decide visit Vegas New Year 's . unfortunately , time book hotel , Golden Gate available , learn lesson stay ever ... room small bathroom tiny door hit toilet try walk restroom . also , since hotel old , loud room housekeeping begins round 8 am ( early ! ) . addition , gap beneath main door 2 inch wide , mean everything people say hallway audible room . top , last day ( Jan.2 ) , hot water room . call front desk , told & quot ; simply run hot water & quot ; not sure would fix . check immediately follow stay one night Green Valley Ranch , would highly recommend anyone travel Vegas . take advice- although Golden Gate temptingly cheap , pay little avoid place cost ! 
 Jan 8 2006 	 dump bad check right away ... 	 book hotel CES 2006 hotel available time booking . mistake ! hotel condemn . room absolutely filthy . like bad dream . downtown hotel stay Golden Nugget . nugget . apologize wife , proceed telephone hotel room availability . fortunately Excalibur room available . check immediately cut loss . advice , stay away 
 Nov 29 2005 	 go wheelchair 	 hotel room good deal money - especially people travel budget . room , small , clean adequate , however fridge , microwave , put deposit borrow hairdryer iron . staff courteous overly friendly . big caveat accessibility handicap guest . wheelchair spouse , place . put grab bar tub make room handicap accessible can not wheel tub toilet way ! room however , Fremont Street great ! closed vehicle , great place spend day . visit strip far prefer Fremont Street experience look forward next trip ( spend different hotel ) . 
 Nov 7 2005 	 great traveller tourist 	 relish unique travel experience ( ie real traveller ) love Golden Gate . hand tourist want pay peanut expect Bellagio not bother . we , jade sameness four five star hotel ( indeed fortunate stay much time business ) Golden Gate little gem . like go back time old original Vegas , real western style culture , genuine experience , manufacture phoney . room spotless plenty big price . food cheap good Reuben sandwich memory , shrimp cocktail awesome , chock - full - of fresh shrimp 99 cent . fremont scene nice alternative frenzy strip , long day luxury resorts outlet shopping happy come home relative tranquility Golden Gate . 
 Nov 3 2005 	 like 	 yeah room small , bed be not great room be not clean vegas . disagree reviews staff . play crap good dealer helpful friendly anywhere vegas . room view rooftop great view room reasonable check staff friendly good security . vegas use become town accomadating kid . see children establishment . another plus own harrah . 
 Nov 3 2005 	 Great Little Downtown Gem 	 4 - star hotel , 4 - star stay . old - school , downtown casino small , fancy room . room clean . great place experience Fremont street great price . expect luxuroius experience want someone clip toenail 800 sq ft room , Golden Gate not . want nice clean place sleep friendly casino lot charm - can not go wrong . the shrimp cocktail casino great 's wonderful entertainment sit watch piano player eat . gamble good , . 
 Nov 2 2005 	 loud old 	 place lot bad think read review . old run - room first floor louf , couldn´t sleep . hear bar casino whole night . check , tell we enough non smoking room , take smoke one - 4:00 pm ? ? ! ! downtown place people like see Las Vegas , senior citizen like gamble away busy strip . target group hotel . 
 Oct 11 2005 	 Love nostolgic 	 enjoy stay surprised quaint casino diner . excellent omelet breakfest reasonable . room small simple cozy . side door walk & quot ; Freemont Experience & quot ; easy casino strip sight open canopy . clean nice everyone enjoy fun . nice casino ( Golden Gate ) look forward go back enjoy sight away main strip . 
 Jun 23 2005 	 disappointment ! 	 never stay hotel , would consider , fond memory casino , really look forward get back recent trip . however , place go way downhill ! dealer unfriendly pit boss jerk . never see cocktail waitress Black Jack table , even though ask service . line shrimp cocktail move slow ask , really worth ? never go back ! 
 May 22 2005 	 Decent 1st time Vegas ... read ... 	 spend first week Vegas say ... wow ! ! ! ! hotel 's reveiw . first , .... research stay Vegas . 're & quot ; rich & quot ; afford stay fancy hotel , really picky big room , right Strip ... well , hotel . room fine -- small , size budget inn hotel . water pressure really good ! ! ! ( be important ' m take shower ! ) thing not like room not mini refrigerator . would like cold drink hot day . ( soda machine hall , cost dollar . ) casual place ... gamble fun downstairs , perfect first - timer gambler ( like ! ) . not miss famous 99 cent shrimp cocktail deli ... great deal ... food would give 3 5 , price average ... get MUCH well deal buffet hotels strip . wish employee help behind counter time ... sometimes wait long time shrimp cocktail . think parking improve .... 's small lot next hotel , be suppose free ... & quot ; valet & quot ; service insurance purpose . even see car right front , hand ticket guy drive tip dollar , think stupid . however ... dollar parking perfectly fine Fremont street .... ( * * Strip , HOTELS free self - parking ) location average ... be right Fremont Street experience load fun something experience .... within walking distance Strip . not want wander Fremont Street surrounding bad reputation dangerous . recommendation : family vacation -- not stay .... look Strip , Rio Palms hotel . perfectly fine first - timer couple still iffy spending alot room .... HIGHLY RECOMMEND rent car , really good decision ! ! ! ( use BJs wholesale club get discount Avis car rental ) not worry take bus cab every day strip ... ... get drive Lake Mead Hoover Dam .... forget bus helicopter tour ... drive ! Las Vegas awesome ! ! ! go back next year , will not stay Golden Gate . perfectly fine first - timer , next year will consider something Strip . Hope review helpful , lot luck Vegas ! 
 may 14 2005 	 great place gamble 	 well ... let say , always stay Golden Nugget would never consider stay Golden Gate .... , ' m Vegas tend spend time gamble Golden Gate . first , usually play Blackjack let Ride ... ' m willing spend $ 10 $ 25 hand . play 8 hour straight lose much , plus drink awesome . table get boisterous fun . 's small casino dealer not helpful not speak English well , opinion , know be order play . not offer breakfast anymore , deli great food low price .... 
 Apr 17 2005 	 Absoulte crap ! 	 far terrible hotel Las Vegas ( offence ) , unless old . room small room ever see . like closet . real ammenitie . cockroaches room first night put we another room . constant noise street & quot ; WEIRDOS & quot ; , crap go Fremont street . hear many siren go almost every hour feel like bad episode cop . total around 7 table game . bad SMELL . hall smell like expire food . bathroom small well . know old , GOD twin BEDS , KIDDING ? would never come ........ least ' m 60 ! yuck ! 
 Mar 28 2005 	 drunk broke door 	 bed CRAP , hard sleep , stay away room 336 , bed away window bad . drunk broke door open 3:30am , find lay room beer break door open . Strip club across hotel bad , want WAY much money lap dance ! ! 
 Mar 22 2005 	 Nice sleep ... though question 's ` ` handicap friendly '' 
 Nov 23 2004 	 way noisy 
 Oct 20 2004 	 look Hard Alternate 
 Sep 16 2004 	 spooky BORING 
 Sep 14 2004 	 dive ! 
 Jan 13 2004 	 reasonably price reasonable accomidation . 
 Jan 5 2004 	 really impressed ... 
 Dec 30 2003 	 Pleasant Vegas surprise 
 Oct 10 2003 	 wonderful place hangout 
 Feb 10 2003 	 Best Bang Buck 
 Jun 22 2009 	 ? ? ? ? ? ? ? ? ? ? 
 Aug 10 2008 	 Casino und Flair sind schön aber die Zimmer - nein danke ! 
