work 	 trip # 5 London past 3 year 5 hotel stay , feel Strand Palace work well . booked package Air Canada Vacations get reasonable rate include breakfast . assign standard single room small like London hotel room price range , clean , comfortable , functional home 8 day night . complaint . location great easy walk central London attrraction hotel within 5 minute walk 4 tube station ( embankment , Charing Cross , Temple Covent Garden ) . lot cheap fast eat handy well great dining theatre . hotel breakfast pretty standard english breakfast fare serve fresh hot . Seemed wait weekend . hotel staff friendly helpful doorman Strand welcoming . overall hotel rate well value price . would stay . 
 Aug 6 2009 	 good location great price 	 Strand Place well locate edge theatre district also close much London 's art classical music opera . hotel air fade four star grandeur cater - efficiently budget price - different market . one night stay € 100 good value central London . three star single room come price tiny warm - visible a / c ventilation - adequately furnish . room service fast staff meet efficient anxious help . recommend short leisure stay adult - good value three star experience four star wrapper . 
 Aug 4 2009 	 cheap cheerful 	 check heatwave discover room aircon ! even without heatwave London sticky summer . room allocate single tiny , window look small internal courtyard would stay open propped plank wood , ( helpfully provide previous occupant ) , fan provide work . bathroom tiny shower , airless night sleep breakfast ok buffet . check follow morning move Waldorf . staff slight bit interested leave early . this big , busy ( possibly ) good value money hotel central London not expect anything tiny room aircon charm ever . 
 Jul 31 2009 	 good value hotel 	 second time year stay Strand Palace . first stay March two night celebrate 40th birthday , need come London one night need decent hotel centre London not cost fortune , choose Strand Palace . be clean , comfortable central . reception staff friendly helpful twin club room clean comfortable . breakfast include price lot choice . good value money - would definitely stay . 
 Jul 28 2009 	 smile refurbishment 	 stay last week one night business trip . read review expect much , however overall experience pretty good . particular front house staff attentive never stop smile . club room refurbish accord desk clerk , inspection look like finished morning . bathroom spacious sparkle excellent shower . bed comfy room surprisingly quiet give central location . room service food fine breakfast plentiful ( get early ) . downside lack air con , would avoid hotel heatwave ludicrous £ 2 charge look luggage . free usual haunt central London . overall decent place get good price nothing get ecite . 
 Jul 28 2009 	 do not believe picture 	 back two night stay strand palace hotel would go back.my husband twelve year old son book week ago executive club room front view sofa bed , see picture read promotional stuff new refurb expect promised.the room be not ready till twenty past 2 get room 467 face brick wall average room room walk awful.i ask move give room filthy cigarette burn curtain bad bin bathroom unemptie sanitary towel , take photo go desk lady call barbera sort anther room excuse old hotel window bad could not clean properly.the room eventually syaye ok say nothing like photo god hot night.iwe do not mind noise window open 5 inch electric fan night.my son end share we refund give even though book room sofa , do not find helpful different staff every time go lobby , charge 2 euro per bag wait book hotel ridic.only thing go location . 
 Jul 27 2009 	 room hot 	 return strand palace hotel . hotel brilliant except thing first room hot fan room noisy . thing pleased charge pay keep suitcase £ 2 per case total £ 16 2 couple . breakfast great staff helpful friendly . club room small contain safe deposit box 2 bottle warm water day . room 4th floor centre hotel quiet night . friend standard twin room much large water safe deposit box . room 6th floor front hotel noisy night . would return winter time . 
 Jul 27 2009 	 well locate decent hotel 	 hotel tick box still leave feel another big bland hotel . breakfast worth miss load great coffee shop within second walk open really early . 
 Jul 27 2009 	 nice hotel 	 well ' read review hotel get back 3 night stay there . the check could little efficient , , room spotless need , bed en - suite bathroom TV . mean 's central London not pay view 's base se site from . the hotel large , central good amenity , concierge service helpful ask question . ' use bar partake breakfast , price quote room , previous reviewer correct get cheap locally . I would definitely return hotel semi - regular visit London . 
 Jul 25 2009 	 good hotel 	 stay one night . ask single ' club ' room , quiet location . lovely room , clean 9th floor , overlook side hotel . ask . good night sleep . room queen size bed . flat screen tv good choice chanel include german Spanish . nice bathroom shower bath . complaint room , one good stay . part hotel still refurbish include carpet . breakfast good . usual choice fresh fruit , cook breakfast , include egg cook order , good range bread . overall good hot . hotel ideal location Strand , opposite Savoy . short walk Trafalger Square . would certainly stay hotel , wife say would use short break London . complaint hotel . 
 Jul 24 2009 	 good value money 	 enormous hotel several hundred room several restaurant bar . conveniently locate close main sight Soho , theater also close river walking distance London Eye . clubtwin include breakfast 145 pond per night . think could got well deal book short notice since probably many room free even short notice large hotel like . room light decor almost scandinavan light wooden feeling . normal sized view towards grey inner yard . room warm air conditioning . fan room help little . room equip LCD television , safe coffee / tea make facility . hotel wifi free . strange unusual day . bar offer free wifi 30 minute never manage make work even get another code staff bar . bathroom look new bathtub shower . Breakfast serve two different restaurant . crowd risk queue staff make everything possible serve guest quick possible . buffet great could imagine . scramble eg , fry eg , bacon , sausage , pastry , cereal , yoghurt . coffee tea serve table . since large hotel often queue reception well organize express check work well . the hotel probably good value money consider normally pay hotel London room also newly refurbish . big minus lack air conditioning free wifi . 
 Jul 24 2009 	 nothing fancy excellent value great location 	 stay Strand Palace five one - week business trip five different Club double room since May 2008 . time , except one trip wife join . compare hotel area ( London general , many also stay 15 year business personal travel ) think hard find well value well location . besides proximity office , big advantage near Covent Garden easy cheap one - vessel journey Heathrow Airport Picadilly line abundance / variety restaurant within 5 - 10 minute walk . Wahaca particular favorite hard - to - find , excellent mexican food UK . tourist , think difficult find convenient location consider London 's popular site well access several tube bus line . this large hotel close 100 room per floor 8 - 10 floor . regular double room size Club Double room , not renovate recently hence slightly cheap . renovation seem progress floor - by - floor course several year floor Club room floor regular room . think small price difference justify Club room . hotel also single room believe triple . club double room size shape vary quite bit , typically small efficient flat panel tv ppv movie , small closet , safe . bit cozy wife , room ' ve stay since would give we space . Windows slide wooden shutter thin curtain . room typically small oscillating fan lieu a / c London week per year might issue . mini - bar room prompt not - too - unreasonable room service . Maids leave two bottle fresh water day . bathroom typically good sized , full tub well - than - average water pressure shower . hotel tourist - orient readily apparent soon enter lobby . Decor decidedly less - than - chic staff always courteous helpful . ask see room move happy let change twice . problem leaky shower promptly fix . would not recommend pay extra typically greasy somewhat dire english hotel breakfast buffet , be enough variety make palatable 2 3 day 's part hotel package . I recommend ask interior - face room since room front hotel get lot traffic noise Strand room back get lot noise morning garbage pick - up . Masque Bar downstairs one area stay open 3 4 am heavy trade beer bottle create decent racket getting dump back truck morning . 
 Jul 23 2009 	 great rom location price 	 stay many time year impress Club room design comfort . it excellent value money consider locayion . I pay £ 85.00 single Club room breakfast , acceptable , always worth breakfast early avoid lenghty wait 
 Jul 23 2009 	 wish stay somewhere else 	 begin ? hand - down one bad hotel ' ve ever stay , room - wise . objective , location pretty good service average . have book Club Room ( king bed ) obviously one would expect well average room . imagine surprise see room ! besides cramp ( put 2 average - sized suitcase , hardly room move around ) , incredibly warm . air - conditioning ( even small electric fan provide room , still hot ) , obviously one want spend money buying curtain room instead curtain , wooden board window ! grant , could open close board , really make whole place feel like prison poorhouse . adamant could club room go downstair check Club Desk indeed Club room , worse still , staff inform room recently renovate ! would not want see look like . bathroom also incredibly cramp furniture fitting look really wear old . hotel corridor long wind resemble confusing maze , scaffold floor ( 8th ) . housekeeping service leave much desire , return one evening find plastic left table still . bed seem make , housekeeper see fit apparently . I really really regret book hotel 3 night , especially realise Waldorf Hilton ( couple block away ) charge slightly . never return hotel , even pay . 
 Jul 21 2009 	 fantastic hotel ! ! ! ! Supprised 's 3 * 	 return weekend end stay fab hotel ! would read previous review book & amp ; honest far well would expect . I & amp ; partner book club double room 5th floor ( previous review moan lenght time take get lift & amp ; down - we never experience problem & amp ; 3 lift come quickly ) room corner room look strand , yes little noise busy strand room shutter shut almost noise ! room trendy , spacious clean . plus shower bathroom excellent ! warm week end yes hotel aircon fan room need . breakfast great ! major plus covent garden less 1min walk around corner , trafalgar square 5min walk road leciester square 5min walk road . we never use tube ! ! ! conciage great , well give info need get london also book show ticket , bus tour etc .i ' ve stay many hotel Londons west end well far mainly due 's excellent location great room . the negative could think hotel bar price £ 19 two vodka & amp ; coke ! ! overall would defenatly stay would recomend hotel must stay like thick london action ! 
 Jul 19 2009 	 Good Location Hotel need Air - con 	 great location , minute Covent Garden . carvery excellent value money drink bar top . queue breakfast rather long busy , relaxed start morning . we club room & amp ; layout lovely excellent shower . however , heat room overwhelming & amp ; stop sleep , stop stay . public area air - con , bedroom ! location want , take beating , sheer heat room could spoil stay . 
 Jul 19 2009 	 good LOCATION FRIENDLY STAFF 	 stay July one night , see show . good location theatre , staff friendly , room perfectly adequate , air conditioning , room come portable fan o.k . only side price drink , breakfast . pint beer local pub £ 2.50 ... hotel price bottle £ 4.50 .... also good breakfast side street next hotel £ 4.00 ( full English ) .would definitely stay would recommend . 
 Jul 18 2009 	 lovely hotel : shame airless bedroom 	 lovely stay two night hotel . room ready book well ahead time state confirmation . breakfast excellent plenty choice . dining room big enough popular time quite wait table . big problem lack air conditioning opening window bedroom . probably reason alone would stay . shame location really excellent 
 Jul 16 2009 	 excellent location value money 	 would definitely return value money via staff service location hotel second none . everything expect hotel London . the hotel big get busy breakfast time ideally position everything london offer . covent garden tube around corner charing cross street . room could air con london summers tho get quite warm . all - great experience strand palace ! 
 Jul 15 2009 	 would definately return 	 partner & amp ; stay Starnd Palce hotel 1 night June 09 & amp ; impressed . spend hour trawl internet trying find reasonably price hotel London find one & amp ; comparison price many London hotel much well . many people say location brilliant , 1 minute Covent Garden love . hotel clean , staff friendly & amp ; breakfast great - lot choice . negative would price drink hotel bar - would recommend go elsewhere . would defianately return hotel . 
 Jul 12 2009 	 Perfect Location ( not count lift ! ! ) . 	 title suggest , excellent location , go Adelphi Theatre could not got close try ! room hot ( fanatastic weekend weatherwise ) due health safety guideline could not open standard amount , fan provide happy see fan life ! hotel magnificant building , staff , brilliant - always polite . special mention - Concierge , fantastic . I not try breakfast , bit pricey - opt cafe next door ( bargain ! ) negative side : lift work seem vendetta 7th floor really not adequate amount people hotel . the Lounge Bar relaxing feel like waiting room . , fanatastic place stay . 
 Jul 9 2009 	 well bring travel iron 	 good quality bad quality hotel . first , bad . -they limited number iron . call housekeeping request one , tell . instead , & quot ; iron room & quot ; two floor iron . go incredibly hot room different floor morning guest could see . swear feel like hire help . -there air conditioning prepare . visit heat wave really unbearable . -Yes , London hotel room tiny . friend , one really , really tiny . good : -You beat location want near center action . be within walk distance much nightlife . - club single modern housekeeping clean everyday . - book club room , free access gym neighborhood . 
 Jul 9 2009 	 Great Location . 	 Stand Palace lovely clean modern Hotel . room hot air conditioning . bathroom spotless . breakfast great , plenty choose from . we walk place 's central . near London Eye , Covent Garden , Trafalgar Square , Buckingham Palace . 
 Jul 9 2009 	 Location Hard Beat Rooms ! 	 book colleague London . term location value Strand Palace hard beat . middle Strand Covent Garden theatreland literally round corner , hotel ideal business leisure trip . common area hotel well keep lobby particular give impression well - run establishment . similarly , staff encounter courteous , efficient know . doorman not seem interested greeting female guest come main door mere trifle . there problem stay - hotel clean , safe breakfast hearty - thing would make think twice make another booking . ' club room ' ( step standard ) far could make meant furniture match flat screen tv wall . room small - single London - , rest hotel , hot . heat a / c control room make electric fan full blast night ! gripe bed bedding . bed pretty hard bed great quality . perhaps club room upgrade pillow well trendy headboard ! problem noise . room 8th floor overlook sidestreet look onto Lyceum Theatre - mean noise early hour binman 5 am . , stay , ask quiet room . overall , good hotel term value location . 's ideal want base centre town . however , beware tradeoff make save cash ! 
 Jul 5 2009 	 Great Location 	 good thing hotel location pretty much central place . we arrive Waterloo train station 10 - 15 minute walk hotel . we stay Club room nice wih good modern bathroom great shower . downside air conditioning window could open far . stay one night guess not much problem . the breakfast good could want .We one drink bar although service good pay £ 9.00 two small bottle beer ! ! ! ! know 's central London home beer local pub stunning view harbour £ 3.90 . surely drink reasonable would sell ! plesant stay due hotel location doubt shall return . 
 Jul 3 2009 	 good basic hotel £ 90 great location 	 Super location Strand , 2 minute Covent Garden theatre district . one night stay single Club Room £ 90 via last MInute ( hotel site want minimum 2 night stay ) ; small clean , adequately furnish . a / C fan closet keep cool 30 C. ( 90 F. ) degree heat ; good bathroom could actually move around . consider british hotel disaster ' ve stayed , good value money . experience problem noisy neighbor .. 
 Jul 3 2009 	 great location would return 	 really could not fault hotel would definately return due location alone . close west end , Trafalgar Square , tube station , Covent Garden etc . room face away street noise , would recommend ask room directly street . also book via hotelclub double still need ring confirm want double room , twin . not realise end twin . 
 Jun 29 2009 	 great location disappoint hotel/ 	 pay hotel other have see look like lovely hotel great location . location good , close centre sight near Covent Garden CG tube . room , although refurbish , small dingy - King Size Double , standard room must small . staff helpful friendly room clean . breakfast good , usual stuff hot well prepare staff constantly crash crockery around clear around try eat . even though service mean finish 10.30 one breakfast room , clear food away relaying table lunch 10.00 make people still eat feel rather unwelcome . also astonish pay case watch hour go final wander round check . someone else say , money , pay decent hotel , seem bit mean - bit like budget airline . overall , good hotel ' ve ever stay would not want go . 
 Jun 28 2009 	 Great Location- room improvement 	 stay 2 night business trip . location could well . five minute walk Charing Cross bunch bus line taxis . booked & quot ; club & quot ; single room . pretty disappointed size amenity room . basic 4 star hotel . one twin bed , window ' open A / C , fan . bathroom ok clean . & quot ; lucky & quot ; get well sized normal single room ... perhaps size 1.50 m * 2.00 m ? ? , room move . check , ok & quot ; club & quot ; line , nothing compare & quot ; standard room & quot ; check - in line . club room advantage daily pass Virgin active gym step hotel . breakfast room pack ! ! ' expect quality , enough get day go . Wi - fi free 30 min lobby area . WIFI room . forget telephone charger , charge rate 2gbp ! ! bit chip 4 - star hotel . staff ok . nice job ... happen everywhere . would go back hotel leisure trip business . 
 Jun 26 2009 	 value money 	 Standard room twin small - nothing like picture gallery . pay extra 20 pound per day upgrade double bed none available 4 night stay . room hot stuffy reception staff friendly helpful - concierge cleaning staff good . bar fridge room spend two thousand pound pay six pound leave bag 2 hour check - money principle . convenient spot would stay . 
 Jun 23 2009 	 Great Location OK Rooms 	 Strand 's big advantage location , can not beat . one us conference nearby university tourist minute Charing Cross tube station , 10 - 20 minute ' walk major site terrific . standard room small tolerable two adult although one side bed jammed wall . room stiflingly hot though without fan , finally find hidden closet . room 7th floor look onto interior courtyard ; even window open 24/7 catch nonexistent breeze , disturb noise . breakfast buffet come room rate generous decent food ; get early avoid huge line crowd . not eat meal look high - price menu , compare nearby restaurant , deter we even think so . the hotel therefore good tourist hotel ; safe , reasonably comfortable , include breakfast , excellent location . the in - room wifi standard room outrageously price 16 pound day business & quot ; service & quot ; center downstairs similarly extortionist pricing printing document . would nice Strand re - think gouging probably will not . forewarned internet important . 
 Jun 19 2009 	 small comfortable 	 stay Strand Palace last week May & quot ; bank holiday & quot ; weekend . overall , nice stay . room small , enough space bed , desk , bathroom . though holiday weekend , never bother occupant really jammed room onto floor . count many map 30 . bed comfortable , room modern nice flat screen tv room safe . bathroom good size full shower . breakfast morning free sufficient good enough get start day tour photography . the downside finish renovation place still smell paint . first floor room open courtyard electrical unit could not leave window open ventilate . although bathroom good size , light led light ceiling . 's great energy saver appreciate attempt green , light bathroom sink behind ... try shaving like . could tell fume build far green . not spend much time room , would nice BBC channel , like maybe CNN . WiFi include choice one hour one day . unfortunately , credit card charge 3 % international fee every day get extra charge buy WiFi . also , checkout woman front desk ask want Pounds Dollars . not tell Hotel add additional fee conversion , addition fee credit card would charge . send letter , make adjustment . finally , Website mention free membership gym across street , never offer busy ask it . I would recommend Strand Palace caveat . 
 Jun 16 2009 	 not expect quiet night .... 	 stay one night never . constant noise night people tight corridor , inadequate sound proof room , television / conversation adjoining room , plant & amp ; machinery wall outside courtyard . bad night 's sleep long time . expect money . 
 Jun 8 2009 	 Excellent Hotel ! 	 stay club single room two night could happy . room small nicely decorate clean . all staff encounter super helpful friendly . you can not ask well location , hotel within walking distance many London 's attraction . 
 Jun 7 2009 	 good hotel 	 stay one night single room . cost £ 80 think good value good central location . room clean functional . bed comfy bathroom decent toiletry . staff speak polite helpful . drink Lounge Bar waitress give we free pastry even though not hot drink ( pastry free order tea coffee apparently ) . also cocktail Mask Bar open till 3 am . overall think nice hotel . somewhere would go want spend time hotel room great want use room sleep . 
 Jun 7 2009 	 excellent location - minor comfort 	 stay Strand Palace 3 night . location perfect explore city ( 5 minute form Charing cross station ) perfect visit theatre west end . hotel seem refurbish part lot detail remind u old house . example miss air condition , problem water pressure fitting bath room . get club room quite small ok apart detail mention . summer time would advice take room upper floor . : don´t try take breakfast ( include ) 9 10 , restaurant horribly crowd . u´r lookin place explore London u could get good deal Club room , ucould worse stay Stand Palace ! 
 Jun 3 2009 	 great location theatre land 	 stay one night go show , brilliant location 5 min durery lane . good price get 3 star accomodation . air con room hot , room small expect price . eat hotel restaurant show - 2 course deal well worth money 
 May 25 2009 	 never ! 	 stay recently 3 night short business / leisure stopover London . I ' ve stay pretty average hotel around world , one take cake . check ( pretty late night ) , everything seem well good . staff friendly , place look nice . got room , look good well . bad size London hotel room give pay ( 100 quid night Expedia include breakfast ) . bathroom nice , big deep bath good water pressure shower . breakfast downstair dining room decent . go sleep first night , think hotel pretty good . wake morning , really really nasty red rash body . know hotels bed bug , never suffer badly ( wear long sleeve PJ top long pj pant ! ) . horrible . mention hotel reception say nothing hotel maybe would come contact something allergic ... yeah , bed ! sleep top blanket next 2 night still suffer . amazingly enough rash disappear day check out . this ruin would otherwise pretty good stay hotel . 
 may 21 2009 	 disappoint 	 picture deceive . not fool nice look furniture -- hotel old crickety . plumbing need help . try avoid flush toilet leave room otherwise hear water running pipe 15 minute . hand , bed comfortable breakfast good . good location well -- ' ve definitely stay well 3 star hotel . 
 may 20 2009 	 good hotel great location 	 book single standard room . altough room small cozy , nicely furbish give nice feeling . corridor narrow lot door like train : ) location great staff helpful friendly . great hotel London , suit leisure , party business trip . near convent garden great pub shopping area . the hotel offer different type room different price . it atmosphere classic , big hotel . good value ! 
 may 20 2009 	 good location Central london 	 good comfortable stay people office Central London . take corner room big . GBP 100 - 110 good deal . breakfast Hotel 's sumptuous although repetitive . great Landmarks stroll away . London Eye , Lecister square etc 
 May 15 2009 	 Excellent break away 	 room good nice clean , breakfast excellent , could eat service good , staff friendly helpful location excellent theatre shopping . covent garden around corner , could also eat drink . excellent break away . 
 may 14 2009 	 Excellent 	 return second stay Strand . last year room face Strand , time look tiny inner courtyard boring . major roadwork go strand least extremely quiet ! room good size perfectly clean , feel perfectly home . service faultless , breakfast fantastic variety , something everybodys taste . obviously location hotel also excellent , arrive Gatwick , Express take Victoria 3 stop Embankment , 5 minute walk Hotel . perfect ! leave comment card reception leave thing regret stay fact would like room view interesting single person . next day get email hotel thank comment promise room front request & quot ; face Strand & quot ; next time . great service , back family friend recommend hotel . also , leave leave luggage check go airport , cost 2 pound day , reasonable . 
 May 13 2009 	 fantastic location excellent value money nice refurbish room will back ! 	 choose hotel weekend away stay 5 star Atheneum hotel last time , really disappointed ( see review ) . think would go hotel great location , reasonable , nothing fancy , result high expectation . in fact pretty impressed . great location , slap bang Covent Garden Charing cross tube , Trafalgar Square 10 minute walk , Covent Garden barely 5 . hotel undergo refurb , though bother - decorator one end day , quiet . area do look good . one refurbish room first floor . standard single . everything clean new , nice flat screen tv , bathroom power shower enormous cubicle . downside back , look onto quadrangle unsightly construction middle - view ! however , nice wooden blind keep shut fine . plus room seem hot first day , could not work ( radiator ) ; could not open window . concierge helpful , check efficient . queue breakfast bit long , though move quite quickly , lot choice breakfast . , good value place stay fab location , really impressed . would definitely stay ! 
 May 12 2009 	 improvement 	 wow difference … .. third time stay hotel honestly say , book . hotel management staff must congratulate improvement make fantastically locate hotel . I first stay 1997 think hotel hotel service room ok , superb location right heart West end . imagine disappointment stay year later , disaster ! ! tired room , honest ' look clean , breakfast service could describe comical … . staff run around like headless chicken – still fail deliver coffee mine neighbour table . disappoint ' stay hotel next visit capital , somewhat apprehensive book two - night weekend break recently . I need worried . like walk another hotel completely . atmosphere first thing notice , group guest sit chat newly decorate lobby , obviously , happy content enjoy stay . the check - in pleasant , speed , even though number guest arrive time . deal extremely courteously , room time . ok , ' go honest , book single club room little small side warm , spring day , would find room far hot summer . however , say , room obviously recently renovate fine job do . comfortable spotlessly clean bed , plasma tv clean pleasant – tiny bathroom complete room package . so ok room little tiny , want extra star , ' going think air - conditioning , ' mini - bar … . ? big improvement hotel make service restaurant ! breakfast morning efficient relax , unhurried pleasure … choice quality food available excellent staff , helpful superbly efficient turn table around quickly without ever give impression want rush people . full mark staff ! ! would stay , absolutely , ' already plan next trip … .. ' stop bad experience … .. consider give another go , yes still little rough around edge . room , single one least tiny … . hotel continue improvement keep level service , one return time time . 
 may 11 2009 	 great hotel great location 	 back two night stay hotel . single room although quite basic be not overly small view . . location great 's short walk west end . breakfast also good would stay hotel . 
 may 10 2009 	 great location stay 	 Strand Palace hotel excellent locate near Covent Garden , Soho , Leicester square etc . visit London leisure , almost not need use public transport . Lot 's great shop , pub , restaurant musical around corner . we stay standard twin bedroom , great size , good facility room clean everyday . free English breakfast excellent , enough fruit , different kind bread egg , cheese , sausage , croissant etc . room tend bit warm , always keep window open . great hotel , would definitely stay visit London next time ! 
 may 6 2009 	 lovely stay excellent location 	 stay 7 year old , room good size double sofa bed decent sized comfy double bed 2 tv 's excellent ! bathroom small ok need . hotel clean , do not good view could not complain noise strand . real issue heat room ar not air condition get pretty hot night even window open day , tall fan room help . reception staff lovely doorman polite . I read bad review stay slightly nervous first stay London , we perfect can not complain , location fantastic . even 7 year old hate walk 4 min Covent Garden 5 min Charing cross 10minute walk London eye big ben etc . go watch lion king ( absolutely fantastic show ) quite literally around corner lyceum theatre . I do not eat hotel be not much choice child many nice place eat around area . eat Garfunkles evening min road nice food reasonably price decent children menu . there tesco express close boot never far away need . hotel room toiletry although stay long night take tiny bottle . it say ( club ) room sky tv true pay otherwise get channle 1 2 3 4 5 itv2 , film wernt badly price pay Madagascar 2 £ 3.99 could watch ever like throughout stay . overall great hotel fantastic location would stay without doubt . 
 May 6 2009 	 great locationclub room tiny 	 clean room extremely tiny : ( ventilate major problem hot day even use hot shower / water room like steam roomfan shower stick dirtcleaning oklocation excellentservice staff ok 
 May 3 2009 	 one good 	 try many hotel central London use Strand Palace many occasion . find hotel beat Strand Palace . room good size hotel spotlessly clean ( seem army staff constantly polish away ! ) . staff pleasantly friendly helpful make feel like welcome value custome . time ' ve encounter problem mistake ' ve sort quickly without fuss . club room , although much expensive , excellent . location perfect tourism nightlife . highly recommend hotel . fact , negative aspect hotel become popular price climb upwards . 
 May 1 2009 	 Excellent Quality .. excellent location 	 Strand Palace beautiful lobby helpful staff . room nice price ok . concierge helpful map information London Tours . I also appreciate doorman courteous . thank ! 
 Apr 29 2009 	 Poor Service basic room ideal beautiful stay London 	 Basically , wait forty minute get breakfast morning , wait whilst get food ... whilst sit staff rush scoff breakfast . massive hotel tiny dinner area . lovely reception match low quality room . charge extra internet .. everything else . summary , okay business place stay somebody else pay paying would encourage find somewhere else . club rom offer Virgin Fitness Pass ... suspicious ! 
 Apr 24 2009 	 Decent Place 	 stay week bad . room view road view . the locaction good commuting within London , 
 Apr 23 2009 	 Excellent Hotel Excellent Location 	 recently stay friend hotel , purpose trip leisure , shopping , west end show etc . honestly fault hotel . location excellent , around corner Trafalgar Square Covent Garden . surprised size amount room hotel , be huge . location big plus we though . thing say waken housekeeping 9 am sure put Disturb sign want lie ! ! ! also pay £ 2 leave luggage day check flight evening , mind great value money know luggage safe ! never see hotel charge service though ! note also eat hotel can not comment food . overall would definetly recommend return hotel . 
 Apr 17 2009 	 room not look like website 	 Booked hotel Orbitz $ 110 . not appear like photo website . room clean old , bathroom large . bed comfortable , many tv selection . good part location , near theater district , within walk distance Traflagar Square , near couple underground station . skip breakfast hotel pick something pub , Exiter street ( egg , bacon , sausage , toast , bean , coffe / tea 4 pound ) . quite store across street , boot ( everything candy nail polish remover ) , Tesco ( grocery store fresh pastry everyday ) . beware , dial call cost 2 pound . 
 Apr 14 2009 	 Noisey price 	 well appoint hotel - and well positioned . I book theatre visit , wife child , want young 4 year old afternoon sleep prior evening theatre . impossible due loud drilling bang around we . when complain reception noisey 4 pm advise & quot ; due refurbishment finish 5.30 & quot ; ! -No room available . not weary traveller someone need afternoon peace ! 
 Apr 13 2009 	 Perfect location great service good value . 	 16 year old daughter go London 5 night . Strand Palace perfect location , minute Charing Cross Covent Garden tube bus . staff helpful pleasant , full breakfast fresh , bountiful , delicious . room simple , clean , quiet , spacious enough teen ager mother . staff good recommendation neighborhood food theater . would stay . 
 Apr 7 2009 	 really pleasant hotel 	 easy check fuss service . large really feel detract . soundproof good . management deal swiftly noisy guest floor . fan buffet breakfast good one , massive choice everything right efficient friendly team . club bedroom petit newly decorate spotless enough space work laptop . flat screen tv bath . convenient many west end theatre , also Covent Garden Soho . 
 Apr 4 2009 	 have Strand ... 	 book Strand last - minute , four night stay base review read Trip Advisor . not mind budget hotel , can not handle sub - par cleanliness . one review describe room & quot ; sparkling & quot ; , along budget , seal deal I . I reserve club room , include breakfast . long flight , show hope early check , prepared store bag take jet - lag tour area . agent front desk check immediately , give brief orientation hotel surround area , send way . enter room , first thing notice clean be . my room overlook Strand subject considerable amount road noise ; however , wooden shutter definitely help . weather could leave window crack night , make wonderful sleeping temperature . oscillate floor fan room A / c . probably would not use hotel summer , be . room definitely basic , will take basic clean luxury dirty day . breakfast great , notice several place short walk hotel breakfast could considerably cheap price . not eat , can not speak quality . Breakfast Strand plentiful , hot , actually tasty . last day , go later usual encounter long line . hostess promptly lead we one restaurant seat we . everyday variety pastry , bread , meat ( sausage , bacon , blood pudding ) , egg , broiled tomato , cereal , juice , fresh fruit , etc . , etc . breakfast , day never hungry dinner . overall , good choice . walk Thames , theater , Tube ease . Booth drugstore across street , Tesco food right street , several retail outlet nearby . great location ! 
 Apr 2 2009 	 A / C - Poor Management 	 yes , A / C , bad make worst pay use internet tv never work right , talk duty manager waste time , even tell we pick wrong hotel executive room not offer & quot ; executive room & quot ; offer . would never stay . 
 Apr 2 2009 	 Great Location 	 stay one night 30 March , Hotel great location Strand , 2 minute Covent Garden . several bus outside hotel . luckey check get big room 8 floor . 
 Mar 28 2009 	 Fab hotel great location 	 impress Strand Palace . choose pay extra Club room - one give overhaul - well worth extra cash . want stick normal fitness routine , Club option also include use facility nearby gym . king size room , comfortable modern . bathroom fab - modern beautiful fitting , shower fantastic . room back much quieter one overlook Strand . easy turn heating require , ' m sure cool heat summer , form air conditioning seem plug - in electric desk fan . the breakfast well worth include book really nice , choice hot , cold , full English , cereal , continental great fresh fruit - something everyone , buffet style much like . it close load famous sight heart theatreland . Covent Garden around corner short walk Thames . location go , excellent . 
 Mar 26 2009 	 Opinion experience : Recomendeed 	 stay hotel find quite old expensive offer . room actually advertise . 
 Mar 25 2009 	 great location great value 	 really good price , include breakfast . sure expect price happy . room ( club king ) although small , clean good shower - fine one night stay . reception concierge helpful friendly . breakfast usual hotel buffet style , good value fine want . would stay due great location good price central london . 
 Mar 24 2009 	 good ! 	 recommend hotel everyone ! location perfect - center London - need tube , sightseeing place ( National Gallery , British Museum , Westminster Abbey , Houses Parliament , London Eye , Buckingham Palace , St. pauls'cathedral , etc . ) short walk distance . thame 3 minute away - boat bring place away . the Club room large good bed . cleanliness good well . breakfast okay : typical English mixed continental food bathing facility . due location pick street noise ( closing shutter reduce lot - however , summertime temperature room rise .... airco , fan ) inside hotel find two restaurant , two bar concierge desk - 12 hour day 3 employee desk give kind touristic information . we book ' winter package ' EP 732 6 night - relation price quality really ok . should visit London certainly book hotel . 
 Mar 22 2009 	 would definately go back ... 	 partner stay birthday treat , be not look 5 * quality , I ve stay 4 & amp ; 5 * hotel london eqaully good , want something close action , nice comfy , clean bed sleep good hearty breakfast ( excellent ) wake . Strand Palace provide say , impressed . side ( minor thing ) would noise traffic , pretty much seem night , fault buy ear plug expect central London hotel ! . really fault hotel , literally 2 minute walk hotel straight hustle bustle Covent Garden . pay £ 111.00 club room full english breakfast . love I m already plan another trip back soon . whilst Ritz certainly exceed expectation long look luxury hotel excellent base shopping / sighteseeing / theatre etc . 
