Great 	 wonderful stay wife 1st Anniversary hope stay ! Got town early Friday , staff extremely nice helpful even though not room ready early . store luggage we even let we get item back already store . go sightseeing come back check - in breeze find give we free upgrade suite anniversary . room nice clean lot room spread relax . later stay , realize forgot shaving gel call front desk see help since run late dinner reservation someone room time flat shaving cream . one great thing hotel location . right middle everything Michigan Ave ! ! shopping could want ability run bag room drag town . quick access numerous restaurant short walk lobby , well bus stop across street take various museum point interest city . thing could see someone fault place noise Northwestern Hospital right next door . 27th floor noise bother we wife light sleeper . , Avenue Hotel great place stay enjoy Chicago look forward return soon . 
 Jun 11 2009 	 twice nice 	 Avenue Hotel twice . husband son , girl weekend . times fantastic ! location draw hotel first place , right near great shopping ! first time family , big room comfy king size bed we , pullout couch son . seem fine ! almost layout girl , two bed pull ! big , clean room , flat tv , small bathroom , fine . husband enjoy free internet laptop . service wonderful ! checkin go smoothly , girl check we time , nice , let know hotel offer . one good part ( trip ) concierge . knowledgable , time make great recommendation family girl night . even get free pass girl night Howl Moon , Martini Park ( two favorite ) . make stay enjoyable , rest staff , doorman Sami ( funny guy ) bartender lounge ( small place great view ! ) already reservation another girl weekend September , contact Vern concierge information ! can not wait ! 
 Jun 11 2009 	 Beautiful Hotel Great Location 	 stay Avenue Chicago within close proximity shop museum . hotel great rate weekend , pay valet parking . parking cost pay hotel Chicago decide drive . opt drive trip instead use public transportation get anywhere need go . beautiful lobby , room great staff ! 
 Jun 8 2009 	 worth Full Price 4 - star 	 pros : location fabulous . right Magnificent Mile , close Starbucks , Corner Bakery , Dunkin ' , 7 - 11 . walk everywhere ( except zoo ) not feel far . they offer free wireless ( typical four - star ) .great showerhead curve shower curtain rod give room shower ( typical four - star ) .Luggage storage check - out ( typical four - star ) upgrade we suite without ask ( corner room two wall window ! ) .They available Hotwire , mean ( ) pay full price . con : superficial furnishing seem somewhat new ( bed linen , decor ) , deep element seem old tired ( baseboard , tile , public bathroom second floor ) . overall , feel stay old building superficially spruce try meet four - star level . there proper concierge concierge desk ( , hide ) . seem front desk staff double concierge . day check ask information river architectural tour ( seemingly one popular tourist activity city ) . wait minute two staff member rifle desk find brochure . end , could find anything . one kindly give we map direction site one tour company -- helpful . , , however , expect four - star hotel . proper concierge proper four - star hotel would booked tour least ready access brochure detailed information . housekeeping come room without knock 2 hour check - out time ( check regular check - out time guest ) .The bed , uncomfortable -- slope middle tilt toward head . the staff , friendly , professional / formal would expect four - star hotel one large city country . exception one gentleman front desk might Mik , general manager . the lotion bathroom seal , seal break . not usually see seal hotel bathroom amenity , seal be break , make feel like use use lotion ... would stay ? would really prefer , even discount Hotwire price . expect 3- 3.5 - star level go . ok ( bed definitely bad ) . four - star hotel well & quot ; OK & quot ; . 
 Jun 3 2009 	 birthday ! 	 girlfriend surprised take Chicago birthday weekend stay lavish hotel , & quot ; Avenue . & quot ; word express dazzle , & quot ; Avenue ! & quot ; time pull check , everyone hand / arm assist we , smile ! felt welcome ! check - in quick easy , elevator quick smooth ride room clean , spacious date . great time , be go back , & quot ; Taste Chicago , & quot ; July host bachelorette party girlfriend , well another birthday celebration September ! can not get enough place ! oh , mention cozy bed ? : - ) 
 Jun 3 2009 	 thank make stay special 	 recently stay Avenue Hotel Chicago wedding anniversary . friend mine recently stay recommend hotel decide give try . upon arrival , greet doorman friendly . surprise , check wife , front desk agent congratulate we anniversary offer complimentarty upgrade lovely suite . mention purpose stay reservation ask purpose visit guess reservation agent go beyond relay message front desk . check , thank spend anniversary Avenue hotel desk agent could not resist post review thank staff Avenue Hotel make anniversary extra special year . 
 Jun 1 2009 	 back ! 	 stay hotel recent trip Chicago really can not say enough good . bad part give we wrong room beginning easily correct . stay one lakeview suite nice , well appoint room comfortable furniture , top line toiletry excellent view . location wonderful , spend one day wander nearby shop second day walk Navy Pier . would recomend take taxi anything outside walk distance traffic & quot ; interesting & quot ; area . never make Sky Lounge can not comment room service good Elephant & amp ; Castle pub excellent . staff encounter courteous friendly . be hope go back Chicago next year long stay Avenue certainly choice accomodation . 
 may 26 2009 	 terrific location poor service 	 friend stay 3 night Avenue Hotel win Priceline $ 99 per night . would pay . supposedly 4 star hotel ( Priceline rate 4 * ) service awful . interrupt housekeeping 9 am last morning , seemingly ask we leave , although tell 12 pm checkout . laugh us - er , ? front desk staff want , least want we . unhelpful smile welcome . porter , , surly ask leave bag last day . there good point hotel - location wonderful , step Magnificent Mile close Chicago stop Red Line . close lot pub , restaurant , shop . walgreen 2 block away snack water . give 2 queen bed 18th floor . travel friend , bonus bed . room not large nicely appoint nice toiletry flat screen tv.all , would go back , pay less $ 100 . swim pool top floor terrific view Sky Lounge offer cheap cocktail nice bar snack . 
 may 25 2009 	 Kid Friendly room 	 book room Priceline call hotel get upgrade kid room . extra charge , worth . room large Wii . kid age 3 6 love . also like kids amenity room . parking expensive , like hotel location . familiar Chicago find staff friendly helpful . go stay , would go adjoining restaurant , Elephant Castle . overprice food service bad . Corner Bakery block away much well option . 
 May 25 2009 	 Disappointed- Location 's positive note ! 	 stay Saturday night anniversary returning ! clerk check we could care less . not even go ask we tell we kind room get . never smile tell we nice stay , pleasantry ! elevator old small . one break stop fitness floor look around . dark door stick open little floor level . kind scared we get back another one ! ! everything hotel extra ! fridge room snack drink $ 4- $ 5 apiece kicker take one , cost price also $ 25 restock fee ! ! ! one Coke cost $ 29 ! ! ! ! parking still $ 48 unlimited out . take valet 20 minute get car though 's real speedy . well call alert go ! internet extra charge , want fridge 's extra charge ( scared use lotion provide we bathroom ! still watch credit card $ 20 charge one squirt lotion ! ! ) welcome book room say vend machine building ask comatose front desk attendant refer we Walgreens 2 block away . convienent ! ! came go several time one night stay never greet lobby staff . give stink eye guard smile say HI ! ! stay Palmer last anniversary go back . like family compare treat place ! 
 May 21 2009 	 great location ! 	 stay Avenue Hotel May . would not able afford place book right actual hotel website . go booking.com get room ( 2 queen sized bed 22nd floor ) $ 99 buck night ! great location though . walk everywhere ! room clean view pretty awesome . great Elephant Castle ( Pub ) right lobby hotel , excellent beer selection , super friendly staff . oh bed really comfortable ! parking , however , nightmare . park actual hotel 48 dollar night ... OUCH ! elect park public lot next door ( hospital lot ) 34 dollar night .. 50 hour Chicago cost $ 104 parking . charge PER DAY oppose PER HOUR . watch .. 
 May 21 2009 	 Fantastic Value 	 wife stay short getaway wedding not go take actual honeymoon summer . overall think hotel fantastic value get . stay many place downtown Chicago area , way overprice Hyatt Regency Wacker much small hotel like Rafaello Allerton . decide review pros con list . pro : -great value . pay $ 108.00 stay king bed suite - not easily find city.-the room . bed fantastically comfortable . spend many hour lay stare picture window . also , sleeper sofa living room nice pull watch movie , although comfortable.-Location . half block east Michigan Ave . great . also close Chicago Red Line stop want go elsewhere city.-the view . 36th floor corner suite look south . not well view city hotel . con : ( pretty picky detail ) -The tv bedroom old tube tv 24 inch . upgrade would nice.-the toilet * * loud bathroom . easily enough wake night . seem could hear room well.-the heating AC seem little strange . set 65 try cool room heat come . seem stay comfortable temp , set to.-parking . see many people complain $ 48.00 parking . common valet city , anywhere $ 40 - 50 . park block east hospital will pay less $ 20 per day . all rate 3 - star hotel fantastic stay . would definitely go , maybe bring earplug sleep . staff great whole fantastic hotel . 
 May 19 2009 	 Location Style 	 room clean , modern , attractive spacious . location great , staff friendly helpful . view fantastic . bed comfortable . 
 May 18 2009 	 Feel rip - off 	 beautiful one - bedroom suite , little small price GREAT deal . bathroom really small , however , call twice clothe hanger . really get $ 48 per day park car , disclose beforehand , end cost stay extra night . say , would stay next time not car ..... 
 Apr 29 2009 	 great value money ! 	 see many place rip provide bad service return , must say hotel finally exact opposite . value money great , staff never arrogant always helpful friendly . bed great , order room service portion big charge would charge restaurant around corner . it be good say place like still exist ! ! 
 Apr 27 2009 	 Great Location - Excellent Room 	 stay Avenue Hotel Miracle Mile Chicago 1 night recently . room great , fabulous king size bed , lovely furnishing full sized desk flat screen tv . bathroom small adequate really appreciate hairdryer additional magnifying mirror . parking steep $ 48 , find place Ontario St 2 block away , around corner Trader Joes ( another perk ) $ 32 . bed really great , sleep like baby ! friend stay Omni - literally across Michigan Avenue we prefer room . believe , definitely get well deal ! manage get great deal - like $ 100.00 's definitely place stay ! location excellent also could walk everywhere . Elephant Castle adjacent great breakfast . Sky Bar nice , cloudy day , sit fire dry lovely . 
 Apr 26 2009 	 great choice North Michigan Ave . adventure 	 nice place one block Michigan Avenue . block Water Tower Place , Gino 's East many great place shop eat . 3 co - worker spend 3 day conference . trouble find good food entertainment within walking distance . recommend Jake Melnicks ( casual sport bar w/ great food ) , ESPN Zone , Corner Bakery , Elephant Castle , great british restaurant pub right next hotel . get breakfast irish banger ( sausage ) . hotel , mix room , mostly great . one ok size wise , 3 large suite wonderful view downtown and\or Lake Michigan . make sure ask reservation staff get room size view want . reservation staff accommodate - non - profit group receive free upgrade ( suite ) friendly staff - nice ! room clean modern . bed comfortable . eight room floor sleep easy . quiet consider proximity Northwestern Memorial Michigan Avenue . be go get away noise immediate neighborhood . wireless internet access free work fine . parking valet . car always available within 5 minute request valet staff great . would spend dollar extra . self park one block away tempting , pain haul stuff back forth . front desk staff helpful attentive , except upon arrival . check around 10 pm 4/5 registration person indifferent . everything else good . would go back . think kid would like shoot outdoor pool weather get bit warm . 
 Apr 25 2009 	 IMPOSSIBLE well AVENUE ! ! ! 	 consider several hotel area , wife spend ( 9 ) night February ( 3 ) night March two Queen bed room avenue surgery Northwestern Memorial Hospital across street . the room large - bed among comfortable ' ve experience retire couple travel stay lot hotel say lot . desk , study chair wing chair comfortable . large flat - screen tv . bathroom nice rain - type shower head - - ample amount large , soft , thick bath towel , etc . housekeep great job accomodate . front desk people also accomodate - - among thing extend original reservation become necessary . front desk people know us name day . we eat Gino 's East ( pizza ) , Corner Bakery , TGI Fridays hospital cafeteria believe open ( 24 ) hrs./day.- - block away . the Avenue ( 1 ) block Michigan Avenue great store . as tell , happy Avenue - - already reservation couple night May . 
 Apr 12 2009 	 Steps Mag Mile 	 make reservation Avenue Hotel priceline bid $ 79.00 / night four star hotel downtown Chicago . hotel valet park $ 49.00 / night . the location hotel fabulous -- 1/2 block Michigan Avenue within close ( 2 5 block ) walk distance great shopping , restaurant , tourist attraction John Hancock Observatory . the lobby small -- greet promptly doorman arrange valet parking well person handle baggage valet . check smooth take 3 - minute . room 36th floor within 10 - minute pull front hotel . we eat restaurant visit Sky Bar , comment , son order cheeseburger fry room service one night . price reasonable room service major city , service fast food fresh . my teenage son call cell phone room , charge outrageous . dial wrong number $ 10.95 , reach voicemail another $ 10.95 , talk 3 - minute $ 15.00 . ouch ! ask room high floor receive . face city ( water ) child enjoy view marvel high ( 36th floor . ) room medium sized tastefully decorate brown , beige , ice blue ( up - to - date color scheme furnishing . ) bed comfortable comforter pillow . mini - bar ( $ 4 8 ounce Coke . ) second night realize 7/11 store within 2 block , buy drink turn night . tv 32 inch flat screen , coffee maker room make single cup pod . bathroom nice size clean -- bow shower rod extra room shower . hairdryer high quality , toilletrie sparse three people , ' m sure could ask form more . our room quiet . hear people hallway door slam . must well insulate . heater room , however , quite noisy , put pillow head muffle noise fall sleep . overall , positive experience . price pay location quality steal , would definitely stay . 
 Apr 7 2009 	 wonderful weekend getaway experience ! 	 thoroughly enjoy stay Avenue Hotel Chicago . checked ask could room fairly close friend come we . immediately accommodate request & amp ; upgrade we 2 suite 25th floor . room elegant & amp ; obviously recently redecorate . bed comfortable bed ' ve sleep great bedding & amp ; great pillow ! ! ! walk couple block Water Tower Place & amp ; enjoy great shopping well vicinity . breakfast couple morning little bakery / cafe street convenient & amp ; expensive . negative thing cost park vehicle 3 night - $ 48 per night ! ouch ! ! ! otherwise , enjoyable stay & amp ; would recommend anyone travel Chicago . 
 Apr 2 2009 	 simply great ! 	 stay Avenue Hotel 3 night late March could not ask well experience ! although room not ready arrive slightly 3 , bellman store bag go sightsee . return 45 minute later , pleased room 19th floor . addition king bed , leather couch , desk , plasma tv , small table coffeemaker still lot extra space include walk - in closet ! bathroom excellent lot counterspace , fantastic & quot ; rain & quot ; shower , great eco - friendly product . bed really comfortable great bedding . staff friendly always greet we return . since not many room floor , not much hallway noise door slam . sure visit Sky Bar . view fantastic Deacon bartender make great martini ! dinner Elephant & amp ; Castle first floor one night well . food delicious beer selection excellent . the location terrific shopping well catch bus museum part town . addition , taxis plentiful relatively inexpensive . choose save little money self - park across St. Clair Ave . hotel . addition , eat breakfast Corner Bakery street instead eat hotel . problem additional charge bill immediately clear call front desk . definitely stay Avenue Hotel next time Chicago . 
 Mar 15 2009 	 Awesome hotel great view great price ! 	 ( 6 ) stay 2 night AVE great ... service great , employee helpful kind , room amazing ! contemporary styling lobby , room , sky lounge cool ... room clean , huge big city hotel , view room 26th floor amazing ... absolutely love hotel plan stay AVE every trip take chicago ! highly recommend ! ! ! 
 Mar 2 2009 	 Great Chicago stay 	 room surprisingly large big city hotel . immaculate marble bath . nice large towel . great bed , amenity . lunch Elephant Castle Pub hotel enjoy . sky top lounge comfortable offer spectacular view city . son one bedroom suite , worth extra buck . large leather sofa separate bedroom window two wall . 
 Feb 26 2009 	 could great not yet 	 be Chicago , find Avenue Hotwire . pay full price ( $ 140 / night , oppose $ 75 / night Hotwire ) , would disappointed . lot little thing add make Avenue less 4 - star hotel be rate . bathroom fixture loose shower poor . toilet remind we public restroom stool . baseboard , furniture door scuff dirty . room poor job muffle city noise , even 25 story . hand , lot thing right . bed fantastic . staff service quite good . Sky Lounge impressive , feel exclusive ( good way ) reasonably price . people want explore Mag Mile Gold Coast , can not beat location . discover breakfast adjacent Elephant Castle restaurant exactly breakfast serve room service , half price . recent conversion mid - range hotel Chicago , Avenue try 4 - star hotel potential 4 - star hotel , visit , . 
 Feb 22 2009 	 will check Avenue Hotel first rate availability Chicago ! 	 niece , friend , take Hiawatha train Milwaukee one - night shopping / museum excursion Chicago . first stay Avenue , not think last ! great location ( 1/2 block Magnificent Mile ) , couple spacious , well - appoint room , friendly service , handy dining option , add enjoyment MLK weekend . view Sky Lounge wonderful , top Saturday night martinis fireplace . also enjoy hearty breakfast Elephant & amp ; Castle . make use iPod dock enjoy sweeping city view junior king suite . even sleeper - sofa use , plenty room move . unanimously agree would return hotel future without hesitation . 
 Feb 19 2009 	 good location value 	 Booked hotel Hotwire ' find hotel actually – ' know . room small side , change big room second night . many hotel , breakfast expensive avoid follow day . good asset hotel good location , walk distance watertower good rate get . list 4 star would rate " kind " property , old hotel – miss slipper room . 
 Feb 8 2009 	 great hotel great location 	 go Chicago one day teach symposium past week originally reservation Red Roof Inn part town close need go price right . read review Trip Advisor , decide give Priceline try . put pay Red Roof , say want 4 - star hotel , surprise , price accept Avenue Hotel . check website , immediately excited ! short stay not disappoint . arrive around 11 pm since train not arrive 10.30 pm . check quick , efficient friendly . receptionist ask conference hotel . tell , get map ask could give direction . nice touch . also ask wake call . nice someone anticipate need not get room call back , search direction next morning . room 21st floor ( room 2101 ) . room right service elevator , hear run occasionally . not bother , may find annoyance . find decore linen nice . desk large , like hotel , bit wobbly . next morning , get wake call time real person , think nice touch . love pod coffee maker room . check breeze room receipt immediately e - mail . ( way , wireless internet free , great . hate pay lot hotel shell another 10 15 dollar get internet . ) would definitely return hotel . 
 Jan 22 2009 	 one Best Hotel Experiences ever 	 first trip ever Chicago decide book Avenue Hotel mainly positive review find site . personally know expect find lot hotel big city often lose personal touch glad report stay Avenue set bar hotel expectation whole new level . 's bottom line hotel ... room would expect hotel class , service set Avenue apart . flight diversion end hotel 4 hour early plan , courteous front desk staff ( Angela believe name ) get extra - early check - in problem . even ask need direction anywhere provide map . doorman really friendly always greet see . final day stay ride airport fall front desk staff problem book last - minute shuttle reservation O'Hare . ' ve many hotel lately front desk act like not want talk doorman busy look way . host guest home go way make feel comfortable feel Avenue Hotel treat . would definitely stay return Chicago recommend . 
 Jan 21 2009 	 Luxury like site claim ok 	 hotel 's site mark 4star LUXURY hotel . clean hotel different moderate chain hotel . detail picture gravely decieve . lobby basically office elevator corridor podium serve ck in / out . closet literaly serve hotel office . curb appeal interior ambience . room old refurbish bed alternative plus . ' m sure 1st picture exercise room 7th floor one could use light , hand weight , large towel . minimal . want decent place sleep book . want feel ahhhh front door room price keep look . location good Michigan Av activity dozen other . I wish choose different one . hotel rate LUXURY room , staff amenity average . example , problem ck ( confirm 2 room hotel 1 list ) agent fix never communicate . keep stare computer typing . people person calm / tired customer . frankly not think know . 45 minute wait @ 10 pm get room . wait ? ? never tell find . heat work ( -5 outside ) 5 weary traveler stay room 2 1/2 hour warm enough sleep . bellman . ' ve determine must need job b / c not . ( 5 ) crawl taxi retreive luggage , pay driver get receipt never see bellman . inside lean wall . never move even 3 group ck have wait room . help ck either . hail cab everyday . like say hotel ok . 
 Jan 19 2009 	 Great Hotel 	 great location great hotel . room good size large city hotel . comfortable bed pillow , good coffee room , check early problem , great view Michigan Ave . stay recommend everyone . 
 Jan 4 2009 	 bad great ok 	 Stayed Avenue 12/30/08 1/3/09 , honestly would rate hotel ' ok ' . not bad , not anything special . stay 26th floor , room clean enough roomy enough two . one drawback hotel right next hospital , hear siren night , even many story high . obviously hotel 's fault , still minor annoyance . bed good part room ; super soft want bring home we ! flaw room : bathtub not drain , take quick shower avoid tub filling fast . second , hook back bathroom door fall right put anything , nowhere hang clothing towel . actually , bathroom least amount place put thing hotel ' ve ever ! be one suggestion would make management staff hotel ; lot people like bathroom small shelving place hang thing . one good point staff ... ask something , come right away . concierge also helpful making call find we restaurant like . other thing worth mention : mini fridge room , $ 20 extra request one . would like one , not want spend extra money . also , anything take snack fridge provide $ 20 replace , $ 4 pack cookie could potentially turn pretty expensive ! find corner store nearby get water snack much reasonable rate . 
 Dec 16 2008 	 future home away home 	 pleasant surprise . recommend hotel friend stayed decide give try . usually stay major chain brand due reputatation Avenue hotel convince try independent hotel future accomodation need . location unbeatable price reasonable . product service superb . usually write review fill comment card time feel obligate share experience . reservation agent friendly accomodating . front desk agent doorman greet like one vip . room large compare hotel area everything seem brand new . plan come back Chicago area soon plan make Avenue hotel home away home . 
 Dec 13 2008 	 great hotel great staff 	 recently stay avenue hotel want thank everyone hotel great service . also love fact hotel fully renovate sky lounge top floor offer great view downtown . minute check till check , everyone greet smile go beyond request . also love great location hotel , half block Magnificient mile . thank keep good work . definitely recommend avenue hotel anyone plan visit chicago area back . 
 Dec 12 2008 	 bad experience avenue hotel - chicago 	 ' m live avenue hotel chicago right dec 12th 2008 . hotel extremely bad service . call bring two spoon icecream call house keeping bring two siliver spoon . woman answer phone say many would like ? say two , woman reply surprisingly & quot ; two , serious ( ridiculous tone ) ? & quot ; say yes please . wait 20 mintue call spoon . woman answer phone say & quot ; wait another 15minute ok ? & quot ; . do not eat icecream end . say thank person deliver spoon grunt . thing minibar autosensore . take diet coke minibar . realize $ 25 put diet coke back in.they still charge $ 25 without even drink . little note say $ 25 / per drink tiny would normally skip see . overall room look nice , lobby bad . photo overrate . strongly recommend anyone come . rather go marriot peninsula ( right next door ) . 
 Nov 26 2008 	 Boutique Hotel 	 recently enjoy memorable stay Avenue . arrive Chilly November Chicago evening immediately warm glow fabulous fireplace hospitality . the location Prime business trip , enjoy ability walk meeting wonderful shopping . my large chic room equip wireless connectivity , large Imac ( although laptop ) nice size flat screen , make working room convenience . view room wonderful bed linen quite comfortable . sammy doorman amazing ! 
 Nov 19 2008 	 Stolen watch Avenue Hotel 	 hotel recently renovate , staff try good job . hotel doesn´t safety deposit box room . stay , wife leave running watch one drawer inside pouch . watch steal . hotel manager say couldn´t anything . talk $ 250.00 US . pay much stay . least could pretend care give couple night credit next stay . 
 Nov 17 2008 	 nice place stay- especially Northwestern Hospital 	 recently , unexpectedly need room near Northwestern Memorial Hospital . reservation , go front desk evening help Nanaly ( think spell ) . gracious arranged room great rate even though hotel full . also able extend stay need . even though standard room , large downtown Chicago . quiet perfect need . family member hospital , not get check amenity . location can not beat- walk across street hospital . restaurant lobby good too- good food fast service . eat several time . would hesitate stay ! 
 Oct 12 2008 	 good location comfortable room 	 nothing particularly special hotel . important thing : good location , quiet , good value - evident stay . staff hit miss , concierge annoy every time ask something postage stamp could get personal call , direction local diner rush . staff , however , friendly accommodate , still inconsistent . ( i.e. , not go Sky Lounge near closing - bartender upset ) although front desk agree late check - out , never enter computer . liked never wait 2 computer Business Center cheapie room one main consolidator loud though still bit loud time since right next elevator . still , could imagine pay rate get ( $ 135 ) . clean perfectly nice - quite 's bill website , hold true hotel ' m sure . also surprise shower water pressure weak . 
 Oct 5 2008 	 Loved Avenue Hotel 	 great hotel . stay 3 night last year Radisson . , come back 3 night year . upgrade hotel wonderful . corner suite 26th floor year magnificent view Michigan Avenue . room large sit area bedroom . hotel great location walk everywhere . Verne Avenue 's concierge tremendous help book city / river boat tour ticket Second City . breakfast rooftop superb , relax see skyline eat breakfast enjoy espresso . everyone helpful . definitely back . 
 Oct 1 2008 	 Contemporary Ellegance 	 stay Avenue Chicago weekend Sept. 27 . arrive , hotel manager lobby greet we , ask . reply tired due delay Amtrak . without ask , offer we large , upgrade room additional charge . impressed would offer without ask , find welcome upgrade . get room pleasantly surprised . room decorate contemporary nice leather couch large desk leather chair . bed , king size pillowtop , cushy comfy . absolute heaven ! ! upscale linen feather pillow comforter sublime . bathroom also nicely appoint marble countertop travertine tile shower . almost not want leave room nice . hotel great location within walking distance every thing could imagine . we definatley stay Avenue ever visit Chicago . would highly recommend . 
 Sep 24 2008 	 great stay Avenue . 	 stay 5 night August . great central location walk distance shop , restaurant tourist attraction . Clean & amp ; comfortable , quite spacious . friendly staff . small roof - top pool . the room modern little dark . hear ambulance noise various time night night ( hospital nearby ) not worry we much central location introductory price make worth small inconvenience . 
 Sep 21 2008 	 love Avenue Hotel Chicago ! 	 daughter go girl ' weekend shopping trip stay Avenue Hotel Chicago . truly love hotel ! everyone friendly helpful . location close fabulous shopping ( American Girl Place , Disney Store , Chanel , Boss , Brooks Brothers … to name ) great restaurant . decide get kid - friendly room please . room bright comfy ball Wii ! plan return close holiday definitely stay Avenue Hotel Chicago . 
 Sep 16 2008 	 Nice Hotel however extra 	 come Chicago Tool show McCormick Place - how awesome . hotel website talk view Sky Bar dining however , currently close not get liquor license yet . look forward go evening view city light mention website . & quot ; ' lot – drink dining 40th floor Sky Lounge & quot ; state website . ( not exist yet ) . Elephant Castle Pub wonderful , staff , food atmosphere great - price reasonable well . the staff friendly look anything extra , forget . complimentary umbrellas guest , not know guest . manager pub tell we even get one we . also weekend breakfast buffet available $ 17.95 person . look appealing , Elephant Castle wonderful breakfast menu half price . , nothing say buffet , happen stumble upon want go pool - rain prevent we door lock . the gym small nice .. several option cardio weight machine seem pretty new machine free weight . room could little cool water , towel disinfectant wipe available . the room comfortable , date decor bed clean . housekeeping staff courteous fabulous job . side room shower head high unless course 10 ' tall water pressure not great . 6 people group , 3 room 3 different floor ( 37th , 24th 21st ) agree . Vern Concierge helpful would recommend talk activity may want . arrange everything . arrange pickup ( Limo ) back airport cost reasonable well . overall nice experience - location great type hotel try present , work do . do not miss go signature Room Hancock Building - the view fabulous ! 
 Sep 8 2008 	 pleasant stay Avenue 	 return wonderful weekend Chicago pleasant stay Avenue . find great deal hotels.com little apprehensive might get less desirable room result . however , pleasant personable young man reception give we nice room 31st floor even let we check early . impressed size , decor amenity would definitely return . way , like Panera Bread breafast , one fairbank five block away . 
 Sep 7 2008 	 positive experience - certainly recommend place 	 Avenue Hotel contribute positive memory first experience Chicago . organize premise two - day business conference early Aug 2008 13 people . centrally locate , affordable room ( Corp rate ) , engage personnel concierge business representative , Avenue Hotel Chicago great deal . Christine , Sales & amp ; Catering Manager organize event , available , always ready help find solution . also impress fantastic upgrade room grant : broad stylish room large bed , big flat screen tv , I - pod reader , personal coffee machine , iron board , couch armchair … and nice view skyscraper around feature remember … . also pool roof . use go look view sea . in summary great experience . recommend . would go back Chicago . any side ? none really . front desk bit confuse checking maybe quick . foreigner hammer amount taxis : add service charge , sale taxis … come 30 % increase base price . local practice . one adjust guess … . 
 Sep 6 2008 	 great Room Great Location 	 trip last minute one we look hotel reasonable price . boyfriend stay one night Labor Day weekend birthday . price pay standard room well other look area ( great location way ) .The entire staff friendly not problem check . check quick easy . book room directly hotel website . elevator fast , room neat clean , view great . one night not get chance go pool Sky Lounge open yet Elephant Castle bar amazing ! great beer selection service quick friendly . good part ( opinion ) stay Avenue go Elephant Castle locate front door lobby hotel . bathroom room decent - sized shelf sink extra room love ' m light packer . water pressure shower right space extra product need . thing bathroom room hot cold cold hot shower confuse first . bed little hard side pillow blanket make mind . overall not complaint hotel ! location nice price even well compare hotel area . disappoint Sky Lounge open yet . 
 Sep 4 2008 	 Excellent training meeting Avenue 	 event go wonderful Avenue . attendee send many compliment regard hotel , room , food , & amp ; organization . staff helpful organizing event & amp ; last minute change take place . location ideal . course , wonderful weather weekend & amp ; air show definite plus ! addition , schedule dinner cruise Odyssey excellent . german colleague quite impressed firework display : ) 
 Aug 29 2008 	 nice room good location . 	 hotel convert Raddison ( ? ) March 2008 . stay July 2008 . room nicely do , completely modern clean . also location excellent - 1/2 block Michigan Ave walk distance Hancock Center , etc . complaint room , much hotel . old building large city , much work term floorplan remodel . elevator tiny , wait tiny corridor get ( sometimes lot people wait ) . really lobby whatsoever pool size postage stamp . however , want good room good location fit bill . stay chicago hotel like well . 
 Aug 28 2008 	 compare other first ... 	 impress rooftop pool location book . upon arrival , long wait check , retrieve bag storage room - bell person give we wrong bag ( luckily honest -- else someone would lap top ) . roof top pool cool , small really decorate . room decent , nice bedding , clean . & quot ; business center & quot ; 2 computer , busy lot prepare wait . elevator antiquated - functional . matter front desk staff friendly -- spot stay . barely say much hello time pass . 
 Aug 26 2008 	 Bad Customer Services 	 Customer service bad . need anything room not ecpect get help . 
 Aug 25 2008 	 Great Location 	 Avenue Hotel great location 's convenient walk restaurant attraction . hotel room large clean nice leather sofa , desk , plasma tv . bed extremely comfortable clean load nice pillow . small indoor pool , lot scream kid decide bypass pool . elevator slow , overall great place stay would stay . Elephant Castle pub next door great food , large portion , reasonably price lot beer choice great margarita . 
 Aug 23 2008 	 great experience ... definitely choose 	 hotel thing look Chicago hotel ... great decor , fabulous location step away Michigan Ave ... great service . well great bed / bedding ... deal breaker .... highly recommend . 
 Aug 21 2008 	 one word : GREAT ! ! ! ! 	 must write review : travel often first time find hotel like . real gem Chicago : close everything , great room , great offer package , great bath amenity , gret assistance , everything GREAT ! ! ! recommend hotel everyone ( business , honeymoon , vacation etc . ) find surprise precise professional assistance check - in , valet parking etc . we book well advance lucky use special offer ( opening package ) $ 99.00 ! ! room 37th floor ( high floor request ) view simply gorgeous . bed comfortable ever try bath amenity try ! definetely stay ! 
 Aug 20 2008 	 Best Hotel experience 	 ' ve Chicago eight time past seven year , hotel rank # 1 , tie much expensive InterContinental . the fact upgrade room corner suite honeymoon extra charge not hurt . view 34th floor great . the rooftop pool nice , Elephant Bar downstairs lively , service desk responsive every request happen make past three day . the location great , . block shopping ( wife ) , 5 minute walk loop . all , will come back . 
 Aug 15 2008 	 Terrific Pet Friendly Hotel Chicago 	 luckily enough find great , pet friendly hotel Chicago & quot ; Bring Fido.com & quot ; . stay Avenue Hotel Chicago terrific experience bischon , Mickey . the room large not feel bad leave Mickey . great walk area right Lake Michigan , 2 block . hotel convenient everything although accept pet would never know . quiet comfortable . would highly recommend Avenue Hotel Chicago anyone look dog friendly hotel Chicago . 
