Finest 	 business traveller look trendy , chic , amazing experience hotel , W Montreal finest find . treat professionalism cordiality minute walk lobby . room spacious monstrous bathroom copious amenity . concierge always strive perfection matter need . small boite bar lobby perfect place unwind capable bartende hand Paul . everyone remember name make feel welcome . Bryan ( one manager ) exact ensure every visit perfection . drawback lackluster restaurant ( own hotel ) . choose W Montreal one favorite hotel world . 
 excellent stay extremely ` ` WOW have '' 	 decide take one night trip Montreal stay Vermont Thanksgiving fabulous stay W. upon check , upgrade Extreme WOW suite amazing . bose surround sound , espresso machine , dining table , living room , huge balcony , 20 foot glass wall , 1.5 bathroom . fabulous really appreciate upgrade . even platinum starwood member , place upgrade nice suite , nice cash point rate . prosthe location great able walk around Old Montreal see site . highly recommend Notre Dame Basillica , maybe 5 - 10 minute walk Hotel . train station also really close Montreal subway . staff really great . hotel extremely clean everyone ask help extremely accomodating . order room service dinner , arrive promptly food delicious . upgrade suite great , room not ready , give two free cocktail bar nice gesture . the restaurant superb . lunch upon arrival food service excellent . meal around $ 25 per person include appetizer . consthe internet not work first day wait room 5 pm . upgrade not mind much , might annoying wait long room actually book . workout room kind small compare non - NYC Ws , still couple elliptical treadmill small free weight area . other stay perfect definitely return hotel next trip Montreal . 
 Ultra trendy 	 chic ! trendy lot fun . drawback high price tag go ultra modern chic ! 
 Definitive ` ` cool '' hotel 	 be look place stay Montreal 's close & quot ; everything & quot ; , little different traditional hotel , . located edge old Montreal , within walk distance Place Bonaventure , gare Centrale ( train station ) , Bell Centre , rue Sherbourne , etc . decor & quot ; cool & quot ; ; think modern trip - hop european dramatic muted lighting , square edge , light sculpture . room large enough , flat screen tv dvd player , & quot ; see - through & quot ; shower ( something either enjoy ... ! ) service impeccable , bar place see , see . 
 simply Superb ! ! ! 	 person stay hotel 40 time year , able compare constrast well worst many hotel offer . W Montreal rank exceptional hotel - ? yes location ideal , close good bar , restaurant , architectural building . yes ATMOSPHERE lobby , elevator , hallway fresh modern elegance class , set right mood evening . seperate rest simply amazing thoughtfull STAFF . bartini must visit . Sou Bartini able pour sinful drink taste bud may desire , provide personal attention warmth always expect , rarely receive . sou one example make individual like continuously return W , . hence amazing personal attention , location , atmosphere , make visit W Montreal , treat sense . can not wait go back . 
 ahhhh modern luxury traveler look fun relaxation ! 	 staff W Hotel Montreal always fantastic ability remember name ensure everything perfect . kind doormen Paul Ielovcich coffee bar morning - everyone concern guest excellent stay . 
 home away home 	 frequent business traveler stay W Montreal maybe one two time per month usually day stay . find hotel centrally locate one enjoyable stop business Montreal . the room quite nice W Montreal one hotel window open allow fresh air supplement central air find sometimes stale . bed quite comfortable allow great night ' sleep . the business center tiny enclose room get quite warm . plus hotel like . fitness center convenient equipment allow good workout . the bar hotel quite good diverse afford different setting experience depend mood . bartini first level small quaint allow & quot ; Cheers & quot ; experience speak . Plateau Lounge second floor great relax , chat , maybe people watch also great spot grab drink colleague work . bright spot hotel staff . obviously travel frequently hotel allow get know various staff nothing high praise professionalism commitment service . Doorman always polite offer hand . front staff , say . feel like home . arrive long flight greet name ask trip etc . always pleasant appreciate . catherinel particular always find way make fellow business traveler stay hotel special . overall , opportunity stay business hotel Montreal find W stylish hip affording level business professionalism well compliment . hotel nice often staid . highly recommend hotel . 
 May 27 2009 	 LOVED ! 	 come back Montreal terrific time ! w perfect . drive - up NY Memorial day weekend . man name Patrick greet we entrance basically take care we entire weekend . park car , bring bag room show call feature room . way , room sexy ! mega room bathroom basically size bedroom . shower great fit 6 people comfortably . bathtub cool sink area behind blue curtain . love ! Patrick tell we Acura service , car reserve take anywhere city free . main floor Wunderbar , nice , not like crowd Saturday night . definitely party Globe instead . relax drink go mezzanine level bar , be cool & amp ; comfortable . anyway , hotel cool service great . will definitely go back next time ' m Montreal . 
 May 21 2009 	 Great Hotel helpful staff 	 Montreal last week work try night W.It kind thought would like bit well . helpful staffand friendly also . it remind bit Standard LA ' W flavor twist Montreal class .. great lighting really nice view . stay scale Montreal hotel , good they . I would recommend HighlyJohn K 
 May 19 2009 	 great stay Great Vibe ! 	 Staying W hotel great . previously stay W New York City one surpass expectation term room design service . front desk staff friendly helpful . room stylish , lot space great view Square Victoria . hotel lobby couch cozy welcoming . overall , stay 3 day wonderful time ! 
 May 18 2009 	 funky trendy value 	 W part SPG family hotel include sheraton , Westins , four point etc . regularly stay Westins Sheratons work decide cash Starwood Points girl weekend good friend . we please arrive find right St Catherine 's street ( shopping district ) Old Montreal need car . however , park convenient hotel walk fair distance suitcase . doorman - staff - friendly welcoming . the decor atmosphere sleek , modern - dark lot chrome waterfall - unlike hotel have stay . room spacious . nowhere put luggage leave floor - take precious real estate . there nice touch - ipod dock , DVD library , lot magazine , big window , fantastic Bliss body product even funky faux fur blanket . mini bar - full bar , touch terrified price . having say , bottled water room $ 8 small bottle , coffee / tea maker - card say coffee could purchase hotel cafe , internet access $ 19 / day , room service come $ 5 charge 18 % & quot ; fee & quot ; , vend machine near ice machine could buy reasonably price bottle water pop , fact , everything place price tag attach it . the Bed : bed important part hotel room stay Sheraton 's fantastic Sweet Sleeper bed , compare . wake sore back every morning funky decor cause bed frame blend black carpet . stub toe frame five time put shoe next would make wide turn around ( hard small space ) .The bathroom : trendy . totally impractical . shower completely glass open whole room unless want see every bit travel companion shower , will take turn go coffee morning . shower suppose ' rainforest ' shower come straight ceiling , nice stand useless shaving leg , washing hair , etc . be romantic weekend , would probably great not pain . our complaint concierge go 7 pm first night ( sunday ) nobody give we restaurant recommendation . overall , fun experience pretty funky actually pay room , would really tick ... value . not mind expensive hotel room expect comfortable service detail flawless not feel like open wallet every time turn around . will go back regular Sheraton hotel fantastic bed . 
 may 8 2009 	 Trendiest happen hotel Montreal 	 stay many hotel city Montreal nothing compare W. location ideal sit downtown Montreal area old port anything nightlife restaurant shopping find . room far superior hotel city term trendiness even comfort . service impeccable . would definitely recommend hotel anyone seek great hotel experience . 
 may 3 2009 	 poor staff management 	 stay W Montreal 5 night Honeymoon . poor experience actually started arrive . ? well , call ahead inform Honeymoon ask would anything special , like hotel , example Westin Boston ( Champagne ) , Cottages Nantucket ( local chocolate ) Hilton NYC ( Champagne , Fruit upgrade ) . W Montreal even acknowledge honeymoon check , however privileged get check , give wrestler doorman arrive get queue trendy bar even allow enter hotel . room relatively good , could cleaner less dusty , technoligically , ahead hotel , good tv 's , electronic curtain , dvd , etc . evidence previous tenant , empty bottle drawer , etc . we number issue service bring attention management leave , however get response chase . give rather curt response , short apology . also recommend consierge go local restaurant , unfortunately poor expensive . stay away restaurant EMMA ! ! summary , start bad end bad . 
 Apr 24 2009 	 nice romantic night W Montreal 	 boyfriend go W celebrate Valentine 's day well one year anniversary . nice mega room bath everything clean . room quite big compare one W New York . portion price , get something lot big . also food deliver room Otto restaurant locate bottom hotel . delicious service nice cozy . agree 's well locate leisure since middle many building look stay business , think would nice choice . not want tourist , would nice . 
 Apr 21 2009 	 Location problem 	 husband travel around world look place accessible lot city activity , restuarant , nightlife transportation . W hotel nowhere nowhere land . much activity around area . quite walk main shopping area , nightclub even old town . nowhere . stay Hotel Nelligan ( old Town ) Fairmont Queen Elizabeth Sofitel . area busy well situated ton . do not make mistake . ROOMS : mine face half wall little window give glimpse outside world . unfortunately , window face office building . even see office . that s close room window . CONCLUSION : far well hotel elswhere . 
 Apr 5 2009 	 honeymoon remember ! 	 stay one night , January 3rd , much time money spend honeymoon . Booked Spin package ( chocolate bottle bubbly ) standard guest room . write honeymoon upgrade would appreciate . Believe , offer two complimentary drink big Extreme wow Suite ! ! ! two bathroom , huge bathub separate shower , din area , two full - window wall , living room ... pay around 300 $ room worth 1599 $ night ! ! ! 's good service ! ! ( Celine Dion even tell concierge ) . downside ... in - room service breakfast call cost 50 $ little plate fruit , one muffin , one brioche 2 cup coffee .. would not care less ! overall , impressed W Montreal ! 
 Mar 30 2009 	 Excellent service industrial nightclub decor 	 Stepping inside W Hotel Montreal like enter nightclub- dim lighting , chic ultra - modern decor pulsate techno music welcome 24 hour day . thing , will love ! room look like furnish straight West Elm catalog . eye adjust dim light , will find Bliss bath product smell yummy immediately call front desk . W stand & quot ; whatever , whenever . & quot ; not take true advantage service , find front desk folk friendly helpful . concierge give we excellent restaurant recommendation idea thing see around city . W hotel warm , cozy place , be clean , fairly well locate ( 8 minute walk Old Montreal ) be look something different , might give try . 
 Mar 25 2009 	 ' m believer W brand W Montreal ! 	 husband stay three night honeymoon . give & quot ; Wow Suite & quot ; 10th floor hotel . room two floor floor ceiling window overlook beautiful Montreal . hotel modern clean . staff always pleasant , helpful , friendly . hotel bar pricey line would pay major city : Toronto , NYC , Chicago , etc . hotel locate perfectly centre - ville vieux Montreal . Metro stop directly across street . would stay W second . 
 Mar 9 2009 	 modern look hotel way expensive 	 ' ve hotel one week . room ( mega room ) look nice / stylish . Most ( female ) staff nice . male staff welcome desk & amp ; wunderbar ass . not allow get wunderbar , room . ( colleague check moment , want get drink meanwhile . ) shame pay $ 19 / day internet access . first terribly slow secondly would expect $ 250 / day room least internet . I quickly notice everything hotel cost money . thing normally include price hotel , cost lot money . even water newspaper buck . it also shame find ' check ' automatically 5 day , pay ( $ 2000 ) debit card still pay 200 CAD . not call mobile phone whatever , check . pay , could go back room , forgot check , nothing room work ( internet , tv , phone ... ) take another day fix up . so short : hotel nice , keep mind be probably go cost twice amount expect . 
 Feb 23 2009 	 Beautiful Hotel small room ! 	 may wonder earth & quot ; W & quot ; stand .... well say hotel chain ... whatever want , whenever want .... everything anything could possibe need , want need do try accomplish .... amazingly wonderful job exceute .... hotel really nicely decorate ... room clean modern looking , however extremely small .... place store luggage keep plain sight , much room store clothing one amour room .... location awesome .. bit pricy , however would stay ... 
 Feb 17 2009 	 special surprise bathtub sum . thumb 	 hype W is- disappointed experience . yes , decor interesting ... funky sleek , room unique , definately worth price tag . for starter ... room suppose ready 3 pm ( fact & quot ; guarantee & quot ; ) . unfortunately , tell need room 4 pm overbooke cleaning , would call party 's room ready . hear . finally call front desk 6 pm say room ready already past hour , not call communication breakdown shift change ! ! ! get room .... tv working . take 2 visit tech people get work properly . look around hotel room realize ammenitie ( shampoo conditioner ... even free bottle water ) . , want something ... say bottle water nightstand .... price tag ridiculous . check room ( different completely expose shower ) ... actually look forward large tub .... notice pubic hair . Yes- PUBIC HAIR lace bottom tub . cross ' take bath ' to - do list . I would say one bad hotel experience ... especially price pay . give doormen positive review friendliness . great . maid service barging room though , ( take shower , sleeping ) would leave ' good service ' list . everything else get thumb .... include pulsate club music could heard room 3 am later ... be willing spend $ 18 +18 % + $ 5 2 egg .... go W. , not even consider . far well visit lobby , drink bar , stay somewhere get pay . 
 Feb 8 2009 	 pretentious extremely expensive internet charge 	 pretentious , pretentious , pretentiousinternet charge $ 19 + tax per day , slow . $ 25 + taxp day get bit well access . RIDICULOUS . next time go cheap hotel free internet acce . in lobby free internet poor quality , work . often not . soooo , walk street laptop consume anything , value hotel give free internet . but pay lot money room charge even $ 19 $ 25 + + per day internet . someone ( W explain ? ) .great room . little attention pay guest . take night turn light . actually find button turn ... concierge hotel morning might need help . concierge cater walk - ins come bar ? breakfast option . slow service . dinner beautiful lady serve ... frustration win , would stay , even recommend . contrary . 
 Jan 29 2009 	 LOVED W 	 stay W 2 night January 2009 business absolutely LOVED . arrive fairly late Tuesday night check breeze . upgrade gold SPG member room huge ! incredibly clean spacious great bed amazing bathroom . the internet work quite well . basic work quite well . tv choice nice . bliss bath product great . my room clean quite well day well . I use fitness center morning please selection cleanliness . we eat hotel restaurant- Otto- one night ( snowstorm prohibitie we go ) yummy ! check smooth . I much enjoy W would definitely stay get go Montreal : ) 
 Jan 13 2009 	 poor hotel business stay 	 upon arrival tell room available without upgrade nightclub , tell party till 3am . already spend 14 hour road , tell front desk would pay next grade room not time argue . upgrade room look law office library ( 25 foot across interior courtyard ) honestly one bad view ' ve ever hotel room . the decor hotel cool , staff ( especially valet ) nice , downstair bar fun , horrible choice business hotel . ' ve stay Sofitel much well experience . back , here . as write ' m try determine ' ve charge $ 1200 US two night , consider original room book approx $ 169 / night . 
 Jan 6 2009 	 funky place stay 	 husband stay W visitng Montreal romantic getaway happy selection . 's ideally locate within walk distance old city , shopping , metro . staff helpful friendly . room fun , bit small side bit dark taste . prepared glass wall shower experience ! 
 Dec 22 2008 	 Fantastic 	 fret review read TripAdvisor . worried would modern , cold , loud . reason worry : invite 30 friend family join we wedding Montreal - without ever visit city . bottom line : facility gorgeous ( yes , modern ) staff fantastic . we fall love w. guest . even 60- something , 70 - ish parent ( surprise ) .So not afraid - be open minded different interpretation & quot ; hotel & quot ; will probably enjoy W . 
 Dec 15 2008 	 nice 	 head Montreal concert couple day fun want stay nice place . book W Starwood website - get really good special rate . check : easy proficient . staff friendly . room : & quot ; wonderful & quot ; room . typical sized hotel room imo . room clean well appoint . definately dark ... light good opinion . voyeaur shower definatley interesting ( think really cool ) . plan stay hotel share room someone , make sure know REAL well will see . concierge friendly helpful . eat hotel restaurant go bar ( ) . location good . Central Old Montreal St. Catherine St. area . direct access underground / metro station plus , especially winter . use valet parking bit steep $ 40 / day . valet staff nice get car quickly want . overall great stay would stay . 
 Dec 10 2008 	 trendy hotel 	 W hotel Montreal great place seek good tune , central location business .... great hotel bar . wed night popular local , dress . food course pricey would recammend walk street Old Montreal .... lot cute place grab bite eat . of course be minus 30 Jan , Otto restaurant locate right beside / within hotel good bet ! 
 Nov 17 2008 	 Welcome Borg . Resistance Futile . 	 apparently trendy = black strange light hallway make feel like ' ve land Borg cube . look , think will enjoy stay - hotel convenient location , accomodation , devoid much light , nice ( would nice feel like actually read room ) . concierge quite helpful friendly great recommendation . hence , 4 star rating ( would really give 3 1/2 could ) . couple , weekend trip , be fine place stay . but , ' m sure lengthy stay ... day , think would really feel light deprive . get dark enough , early enough montreal winter ... 
 Nov 5 2008 	 Cool Hotel Excellent Staff 	 first time ' ve stay W , though ' ve dine visit bar several other . staff friendly minute walk . front desk doorman go way make feel welcome see assistance require . since one night business trip , not able really put test . ' m Starwoods Preferred Gold member , check nice din double upgrade room . hotel modern feel , though hallway room seem bit dark . facility excellent condition , location directly across street Montreal Metro easy walk Old Montreal . 
 Nov 5 2008 	 Loved W Montreal ! 	 hotel great ! husband go 1 year anniversary perfect seeking . trendy hotel great lounge really nice staff . room really nice , would not recommend family even friend shower glass wall look directly bedroom would not privacy would need 're significant . area fine we well drive get around quite easily . recommendation research restaurant / thing area hotel exhaustive list restaurant thing miss cool thing not research . 
 Sep 10 2008 	 Subpar brand 	 preface review say stay 80 % W Hotels throughout United States , quite enamour chain , Starwood generally . sadly however hotel fall short W standard quality service facility . staff young courteous , usual proactive service come expect w. room first give ( 3rd floor ) appallingly small , face interior courtyard office building , paint peel bathroom . highlight failing front desk staff realize upgrade give status hotel , however point tell suite available would not ready 2 am . say would check back morning , spend 30 minute wait 2 martini hotel bar ( give drink voucher delay ) .after stay night original room tell morning suite long available ( curious happen overnight ) , another Mega Room ( 7th floor ) . room excellent , top - floor suite see later also seem superb . ' ve never stay W Hotel expect impressed young chic look average service ; however , commonly stay W Hotels not expect par . expect staff slightly less helpful even indignant time ( quite opposite brand 's norm know ) . would recommend one take room 3rd floor ! 
 Aug 12 2008 	 Typical W hotel heart great city 	 W chain cool . sometime work , sometimes seem bit force . montreal location exception . common area well do , lobby roomy comfortable , staff friendly attractive . deficiency not really hotel price range . first thing tell hotel full not upgrade Starwood Gold member ( seem almost like standard line give ) . despite check around 4 pm & quot ; room assign ready yet & quot ; & quot ; see & quot ; 5 minute look computer leave assumedly talk supervisor , check clerk find room high floor , basically upgrade full provide first place . room clean , well appoint stylish , somewhat worn furniture , shower curtain miss shampoo etc room . quickly rectify staff outstanding . good service price do right first time . final point charge parking completely ridiculous . $ 40 Montreal way top , underground lot area post $ 15 - 20 park street free ( week would option day ) . location good across street Metro stop walk distance attraction , would consider little north east well tourist , especially first time visitor . , would recommend somewhere else price range go Loews , boutique hotel . 
 Aug 6 2008 	 pretty good 	 spend one night W wife , wanted & quot ; experience & quot ; W hotel . pretty good , room nice spacious , unfortunately party go beneath room noisy . tired fall asleep still bit anoye ... guess also part w experience . all pretty special , nice night , not think 's scene ... 
 Aug 6 2008 	 Crazy cool hotel ! 	 hotel cool . prepared see shower people ... see ! glass shower blue floor ceiling . not take kid hotel ! anyway , lovely stay . boyfriend say stay every ttme 's Montreal ! wait 3 check pack . also notice room not completely pick ... find open cd sit desk bath supply fallen floor . , ok . 
 Jul 16 2008 	 Perfect Location Jazz Festival 	 Hubby recently stay Montreal jazz festival . location perfect -- essentially , right Old Montreal grind zero festival . everything short walk away . our hotel room first night * tiny * well - appoint . love rain shower sensuous wall glass big enough two ( three four five , be inclined ! ) . starwood membership , upgrade spacious room , similar sexy luscious shower , follow night . we ' ve stay Ws , service one probably outstanding . every staff member , front desk concierge , eye candy genuinely friendly , knowledgeable helpful . ( e.g. , could upgrade big room first night , check - in person warn we room right club could remain noisy late night . get excellent brunch / restaurant advice recommendation . ) opt wait follow night , quiet room available , upgrade . one weird hilarious thing hotel : velvet rope front night , drive already long line 20 - something hottie wait get , -- dowdy road - trip clothe -- practically fight way crowd front , bouncer look we sketchily , demand immediately let . bouncer really nice helpful learned hotel reservation . check , want see hype frenzy . club ground floor turn half empty ! ! fairly large chi - chi bar / lounge second floor / mezzanine , sparsely populated , , patron . thing happen follow night -- line people outside get , club mezzanine bar even empty first night inside . bouncer obviously keep people unnecessarily , project appearance exclusivity . 
 Jul 5 2008 	 Hip Hotel tiny tiny room 	 companion recently stay W Montreal one night . like W hotel , hip , dramatic lobby , hip young employee , ..... room small walk - in closet home . small could not pass front bed time . cool room , give single guest . check mention front desk tell one floor . lucky we ! ! ! thing bug W hotel way nickel dime hotel chain . get point feel really try rip . even though every hotel , W 's seem take beyond acceptable level . 
 may 31 2008 	 Staff wonderful - even non - hip middle aged fat guy love ! 	 back four night stay property . the Good ; staff friendly helpful . one good staff hotel ever encounter . Daniel concierge great - what charm nice fellaThe bed incredible - the bath product great . Room keep cleanthe decor different - in good way . and well maintain . free Internet lobby Mezzanine . the good : everything pay outrageously expensive - a small Voss water $ 6 , coffee tiny pastry $ 5.85 , internet $ 20 day , restraunt crazy expensive room service . the mini bar outrageous . no coffee room free water room plat 's ( know publish bennie - but come on ) turndown iffy - and extensive . I upgrade fantastic corner & quot ; suite & quot ; ( large room ) fith floor . room quiet . hotel pretty busy . I would stay staff . 
 may 27 2008 	 ' m get old w experience . 	 think ' m get old W. love idea Starwood debut ten year ago , think W go part way . Cest la vie . 's typical dark edgy W feel thump music happen bar scene upwardly mobile thirty something ( maybe even little young ) , attractive bar staff front desk associate really quite kind . however , not sell & quot ; open & quot ; concept particular hotel . curtain separate bathroom living space , be . yes , 's water closet , really not want look stark white tile bathroom ' m sit room . huge stain fabric chair room ... think know , lack DNA test kit , can not say sure . regardless , chair not steam clean prior anyone occupy room . moreover , neighbor hall really noisy not care 3:00 buddy laugh scream hallway music blaring room . one manager 's response noise complaint hotel can not control guest . wrong answer far ' m concerned . yes , could diffuse noise offer switch room , 3:00 hardly mood uproot . check follow morning . 
 may 12 2008 	 Service fabulous 	 husband decide take weekend getaway Montreal use Starwood point book two night W Montreal . overall , really enjoy stay W. Service : W really shine . several day call concierge ask dinner reservation Saturday night . explain exactly look end reservation great restaurant fit request perfectly . arrive visit concierge desk ask breakfast place , transportation etc . information recommendation get great . Daniel , concierge duty , even give we card number case question way . rest staff great well overly friendly check - in gentleman front get we taxi give we bottle water leave with . room : room great . even though book room point , upgrade corner suite high floor ( SPG Platinum not always get suite upgrade travel point ) . receive email hotel manager several day arrival ask special room request request quiet room high floor grant . atmosphere : atmosphere like Ws , little & quot ; clubby & quot ; trendy . like decor lot . since pregnant , not visit bar lounge look like would expect W.Facilities : really major drawback hotel . sweat gym really lack . multiple cardio machine decent shape free weight weight machine one weight bench . compare gyms similar hotel , one small less equipment . also , like hotel class , many & quot ; extras & quot ; ( internet , bottled water room , coffee room etc . ) cost pretty penny . ' m use still frustrate I . location : location seem ideally situate travel Montreal business . however , also great location tourism . Square Victoria Metro stop right across street Old City Montreal short walk away . able get everywhere want go ( except airport obviously ) via walk Metro . I would definitely return W would recommend anyone want comfortable nice hotel great service . 
 Apr 5 2008 	 great stay impressed ! 	 Montreal business definitely want stay W. day prior arrival email hotel see special request let know SPG Gold Member upgrade two level standard room Mega Room . experience start finish AWESOME , every employee make effort make sure experience go well possible . place beautiful lively bar & amp ; lounge around lobby area . two roomservice meal deliver 15 - 20 minue , well 25 minute promise . negative thing note , much like many review state , music club downstair hear far 7th floor . overall , stay excellent not want leave beautiful room huge bathroom . would stay heartbeat ! ! ! ! ! 
 Apr 1 2008 	 wonderful service fantastic decor 	 hotel stay W Christmas present boyfriend , enjoy time . decor exquisite , staff friendly helpful . change reservation , add different room - request , lose keycard , problem smooth extra charge concerned staff . small error hotel bill ( due previous occupant maid move bottle water somewhere else ) , enquire , charge remove immediately . highly recommend ! 
 Mar 29 2008 	 Best experience ever ! ! ! 	 boyfriend decide roughly begin January would take trip money save . first want go somewhere warm , know usual choice live Canada want get away 10 month winter , look , throw idea take Canadiens game Montreal , something different originally decide upon . lose , begin plan right away . even month watch program tv various hotel see clip W chain hotel . first trip take together , decide heck , let . book room online website soon could immediately begin receive confirmation letter personal letter staff ask question stuff confirm reservation . impressed , not wait full day hear back someone anything need know . great . upon arrive hotel , soon get cab someone luggage lobby cart ready go . Simon check we pleasant , make small talk ask we trip . tell we everything hotel offer make point explain us & quot ; Whatever / Whenever & quot ; service hotel pride , way exactly sound like . instead take credit card throw key across counter , walk around desk , shake hand happy get welcome we hotel . another gentleman bring luggage room we , set luggage stand window , take roughly 10 minute explain different stuff room . absolutely anything everything could ask tell we , use telephone hairdryer locate . can not remember name make quite impression we . room amazing , stay wonderful room . like living dream .. king bed feather everything , ' ve never sleep well life , shower huge enough room we shower head locate least 10feet ground amazing .. like catch rainstorm every moring . truly ' Wonderful & quot ; experience . not service check awesome , room absolutely amazing , concierge service Unreal . deal mostly gentleman name Daniel Mireault absolutely hilarious earth , everything power help we question . tell we good restaurant go , easy way get around city answer typical tourist question . provide we map , book restaurant reservation without we even ask , even people stay hotel remember we name . boyfriend even ask know could get ahold ticket second hockey game take care everything we . get ahold people , make call information could imagine take time call we phone , ask day , let we know step need take order get ticket . come small town roughly 17,000 people barely make eye contact , service like blow mind . definitly go back , hopefully get see Daniel well . overall experience absolutely amazing hotel enough get we hook beautiful city Montreal . every single staff member W Montreal approachable , nice enough actually want stop talk see stay . want take Daniel home we meet family ! ! ! everyone extremely knowledgeable different thing , go get . ever want stay hotel way different anywhere else , place stay . feel like royalty entire week , extremely sad go . return W Montreal doubt mind another experience will not forget rest life . 
 Mar 10 2008 	 cool modern hotel 	 husband , early 30 be stay W Hotel March . stay several W Hotels state W Hotel Montreal far modern funky . first , bit modern furnishing room seem cold unwelcoming , actually get use . feel like funky club go mindset . starwood member book hotel cash point upgrade wonderful room 9th floor , overlook park . ' ve check starwood property often remind front desk SPG member , treat like royalty . hear noise club far . get drink Plateau bar first arrive drink tasty pricey side , expect W. also check Wunderbar get home one night heading room way clubby we . Daniel , concierge fabulous . think informative , friendly , enthusiastic concierge ' ve ever meet . sit we 20 minute get sense look stay Montreal recommend great restaurant thing we . also call make reservation we print card name address restaurant location . , great hotel , good location Old Montreal , right across Metro . service make hotel ! 
 Feb 17 2008 	 cool come 	 nice hotel . stay right New Years occupancy low maybe felt receive good service . the room normal W chic fashion . unique still comfortable . hotel lobby pure night club atmosphere , border & quot ; eurotrashy & quot ; , hospitality service make cold feel rave like lobby . bring dog trip put guy top opinion . service lay pet second none ! bring plush bed , bowl , biscuit menu . also offer dog walk extra . charge substantial amount make think twice bring little guy . retrospect certainly worth . seem employee somehow know dog 's name pet etc . extremely welcoming . 
 Feb 10 2008 	 Great Service funky room 	 stay W annual trip Montreal watch hockey enjoy city . warmly greet door provie hot towel wait check . great service flight . room modern clean . staff arrange transportation request always welcome . glass shower new experience great . great romantic . Dartmouth , NS 
 Feb 9 2008 	 love love love hotel : great romantic getaway 	 bit worried reading review WONDERFUL stay . ' ve visit hotel bar lounge love sophisticated vibe . book mega room celebrate special occasion . room fantastic ( would not call suite though ) huge king bed huge sofa almost big king bed ( length width ) . bed amazingly comfortable , like sleep cloud comfy pillow . bathroom awesome bathtub enough room two adult ( believe , be huge ) wonderful rain shower . not know other find hard shower water pressure low find case . wonderful alternated b / w bath shower . curtain seperate main room bathroom . good thing W service ( whatever / whenever refer ) . arrive , bf gave speak phone request thing ( hotel probably would not able ) room wait we check . room ready early ( 10:00 ) set rise petal scatter strategically everywhere . tell bf whatever want , could arrange , even private helicopter want . yes , true hotel clubby vibe may everyone . mid twenty like stay hotel not typical hotel chain feel . although 6th floor , hear music bar room although softly find nice ambience . definately family , especially young kid . ' ve stay many 5 star hotel usually like upscale elegance ( aka Fairmont chateau laurier chateau frontenac ) love W 's & quot ; different & quot ; feel . not go wunderbar time love Plateau lounge ( love mojito martini , especially La Rose ) although drink pricey ( 12 - 15/ drink ) quite strong ! summarize : love hotel , amazing service , expensive room service / drink great romantic getaway hotel different feel . 
 Jan 29 2008 	 great service awesome room 	 great romantic weekend stay W. First W experience back . definitely trendy place , sometimes fun . come close top , manage stay right side line . room big ( upgrade wonderful room ) . big , comfy bed , great view Victoria Square three massive window . location great . walk distance Ste Catherine shopping Old Montreal . wonderbar fun dinner Lounge bar look cool . service top notch , doorman , reception concierge . & quot ; Top Desirs & quot ; service come tough request get ready go dinner . wife love Away spa like gym . all , good urban retreat . 
 Jan 24 2008 	 solid place stay 	 boyfriend stay W weekend starwood point . read mixed review , primarily door - less bathroom clubby vibe entirely appropriate , bit worried get , find room much attractive person , door bathroom ( shower , bathtub sink separate bedroom part large curtain ; toilet door ! ) make room feel big . bed amazingly comfortable big , room quiet , bathtub indeed huge , ( though take fill ... ) rainhead shower virtually pressure important , not really heat . request bubble bath , bring we minute martini glass . doorman super helpful friendly , concierge front desk , book massage spa , complete little Zen sand garden ( rake ) great . gym well equip , individual tv per machine , well usual weight , ball , etc . essentially , complaint hotel , service excellent , clean , room quiet ( except night party go next door , anyway ... ) slight date club feel not quite fit price point . price , feel W hotel might need design upgrade ( dark lobby , lot electric blue , green red , suburban look crowd mill outside get bar weekend ) really nice stay . 
 Jan 21 2008 	 Great Location Friendly Staff 	 stay property September 2007 . arrive late evening subsequently relocate nearby hotel W overbooke . situation handle well return early next day . the W brand everyone , montreal property exception . interior dark , day night . electronic music softly pulsate public area scented candle sweeten air . hotel renovate office building . room face office building next we , overlook adjoining atrium . dark even Housekeeping could see dust cover furnishing . bathroom huge completely functional , instance , towel rack . nevertheless , staff friendly extremely accommodating . addition hotel 's location edge old Montreal close downtown ideal sightseeing shopping excursion . 
 Jan 12 2008 	 Overprice 	 spend one week - end Montreal W , mega room . megas room 659 $ per night . positive point : - good location - design hotel - nice bath , two easily fit - incredible bed - nice staff - hip place thatnegative point : - overprice ( 8 $ bottle water ... ) - Otto restaurant average expensive . dine wonderful Toqué ! restaurant instead , one corner away , almost price- lack attention details- loud music hobby , restaurant , mezzanine even elevator , - room view mezzanine noisy since hear music disco 3am- pay parking , internet access . include . room : design , big room , wonderful bed pillow imagine , large bath , huge shower . tv screen ordinary , towel rough , one even undo hem ( remember talk 659 $ night room ) small sample bath product , even bubble bath sample , wich shame consider wonderful bath disposition . restaurant : design , waitress really good look short dress , service slow supper . food average , overprice small portion . breakfast good , since light well , realize seat stain . much attention design ( modern cold ) , enpugh attention restavoid . find well reasonnable price . 
