awesome 	 hotel staff fantastic , location slap bang middle times square absolute awesome 
 Job 	 stay two night past weekend Renaisance Times Square . NYC dozen time past 10 year , however stay Times Square hotel . certainly faint heart . would recommend location anyone except enjoy pushy , loud , touristy crowd child . part city location convenient , not deal people inexperienced city walking sidewalk etiquette . say , hotel nicely modernize renovated boutique hotel . lobby good size update furnishing . guestroom high floor nice view TKTS booth . like king bed settee seating . love bathroom , expecially sink shower . negative thing room quite musty smell , almost like mildew . eat breakfast restaurant one morning . completely overpriced ! ! ! $ 60 total two people egg bacon . eat breakfast another morning block away half cost . staff great ! Oscar check super nice ! , never interact anyone else , fine we .... would recommend famile travel child , not mind crowd mayhem . 
 Aug 7 2008 	 Location location location ! 	 LOVE Renaissance . stay hotel past 3 year . every time visit NYC , hotel stay . room nice large . can not beat location ! 
 Aug 5 2008 	 Perfect NYC Hotel 	 perfectly locate theatre district Times Sq . , hotel exceed expectation two room three night stay . room large , modern , clean , every convenience imaginable perfectly suited pleasure business . rate fair actually value type hotel , would compare favorably high end NYC hotel , far less cost . Renovated remodel two year ago , good keep NYC secret . experience traveler , would definitly stay highly recommend . 
 Aug 5 2008 	 Loved Renaissance 100 % 	 Renaissance Hotel Time Square absolute find . pro's:1 ) staff friendly helpful arrange dinner reservation , cab ride etc ( smile face every time ) .2 ) Location - not get well ' look stay Time Square . right outside hotel entrance Subway , Jamba Juice , Starbucks , Pizza , hot dog , & amp ; Store , Olive Garden much . 3 ) room immaculate , well appoint plenty space.4 ) bed pillow super comfortable6 ) shock quite room consider busy street noise be . con : none ! 
 Jul 29 2008 	 Great Hotel Even Picky Travler 	 husband stay jan 2007 30th birthday . book hotel , use tripadvisor decide one good . time , top 10 hotel list . would totally agree sentiment . while year half since visit , finding hotel not change drastically short period time . excellent service staff enjoy location . price also great NYC hotel ! one good aspect hotel room . good sized room NYC clean . major issue . long day walk shopping street New York , room oasis . while say exactly like today - say REALLY enjoy stay . 
 Jul 24 2008 	 Oasis amid Times Square 	 great location wonderful staff ! whether 2nd floor ( 2006 ) 13th floor , could hear street noise ! noise outside room . trip include 17 - yr - old niece ( love modern decor ) , mother ( preferred prior ' old world ' decor ) . appreciate cleanliness , large room bathroom , fabulous bed friendly staff ( especially Tammy G ) . check - in , clerk notice high rate last night ( since weekday ) offer ask supervisor match weekend rate - successful save we $ 100 . hotel small other Square thus allow we become familiar staff guest . street - level seat area perfect place Mother ' people - watch ' bellman preferred rest want keep go . location allow we split , different thing nearby meet together easily - make trip perfect age ! ' ve read dislike take elevator 2nd floor lobby ( bellman take luggage 1st floor ) . not mind seem take we away street noise give feel step ' an oasis ' ! 
 Jul 18 2008 	 GREAT experience 	 stay Renaissance June 29th - July 1st 2008 . impressed hotel would stay heart beat . luckily , get great internet rate standard room rate kind steep . the hotel staff wonderful . room beautiful , clean , spacious great view . hotel impressive thrill select particular hotel . for complain check second level ... care ? elevator really fast never wait second . hotel wonderful would highly recommend ! 
 Jul 15 2008 	 wonderful Hotel ! 	 hotel stay first ever trip NYC 1995 . always remember nice , since expensive side , never return another stay past March . able get great deal 3 night Marriott Rewards , not hesitate book . hotel wonderful 1995 , recently finish renovate , even spectacular ! location perfect ! right middle , literally , Times Square . within walking distance Broadway , 5th Avenue , Rockefeller Center ( highly recommend Top Rock ! ) etc ... 's subway station right hotel get anywhere else quickly . room amazing ! king room spacious ! bed heavenly , nice flat screen tv , big work desk high speed internet ( $ 17 / day ) , comfy chaise lounge sit look street . be beautiful , marble walk shower , complete bath seat ! comfortable ! e - mail arrive book via Marriott website , & quot ; virtual concierge & quot ; offer extra ( course fee ) stay interested . choose selection soda bring , give 2 Pepsi 's 2 Sierra Mist 's , bring , ice , within 10 min arrival room . hotel employee encounter friendly accomodating . check early room not ready , stored bag go get breakfast . come back , room ready , nice able get early . two set elevator take get room . first go street lobby , street level bellhop , lobby room . not find elevator inconvenient , always quick . can not comment restaurant , bar , room service etc ... not use . 's lot wonderful restaurant area though . Ray 's Pizza street fantastic pizza ! not know 's full business center , not laptop , need use internet , 's computer lobby free internet -- rarity hotel ! renassaince wonderful hotel , definitely stay ! 
 Jul 15 2008 	 great property let dreadful management service culture 	 stay hotel five night 7 July 12 July . come combination business vacation . the Renaissance New York Hotel Times Square place - 's location fantastic , new renovation sensational , furniture fitting gorgeous , room size acceptable - way match appalling management service culture . 's cry shame . we great service several individual staff - one ground floor attendant great , great information helpful . staff concierge lounge terrific . completely under - staff concierge desk , seem little training empower make decision solve problem point serious problem way potentially brilliant hotel manage overall . on second night , toilet block , ( addition , housekeeping replenish toilet paper supply despite request concierge desk , three hour none arrive ) . blockage initially bearable ( trip lobby level 14 room whenever nature call ) , several call three visit concierge desk apparent & quot ; emergency call & quot ; maintenance , toilet start overflow shower use , onto floor bathroom . even , maintenance arrive concierge seem unable take decision move we another room ! finally , agree move we ( 2 hour - 10.00pm ? ) , hastily pack , rouse sleep child shift floor 21 - find entire floor still renovation , main hall cover sawdust build offcut dirty dish outside ' our ' room . several door propppe open room clearly full building material equipment , trade evidently go work room adjacent day stay . call concierge time speak ( politely ) duty manager & quot ; Greg ' hearing concern request serviceable room , perhaps anticipate claim compensation , offer earful attitude discount rate book & quot ; offer honour & quot ; difficulty ( time previously query , verbally confirm Marriott Customer Care staff verbally confirm book Australia time early ) .We wait least 30 min key card could provide another room , sit elevator lobby level 21 hastily - pack luggage sleep child floor amongst sawdust , husband wait attention concierge lobby . ( initially tell we wait would bring key time ! ! ! way - husband go collect wait imagine long would leave ) .The new room king rollaway - like previous commentor , rollway deliver grubby quilt cover , fit ( worn ) bottom sheet kind bed way small , fit bed , much strain keep roll edge mattress keep flick night , pretty much sleep mattress cover . spend sooooo much money undertake beautiful renovation purchase great fitting , get new bedlinen fit new bed ? , beyond waste effort seek help , let , know none issue receive prompt helpful response , want enjoy remain time New York . do . on upside , second move give pass concierge lounge , probably sort compensation , not explain we , ask day departure different card mean , not get use much . wait staff nice helpful make we feel welcome - first time feel welcome hotel all . my suggestion - plenty place Times Square price bracket , seem see speak traveller perhaps plainly decorate much welcoming . those hotel recruit concierge staff ground floor attendant rennaisance , leave rest sink . and Marriott really consider training culture management team hotel . jewel Marriott portfolio , be thing go wrong 's clear team run place far . 
 Jul 14 2008 	 love location ... 	 family stay 07/06 - 07/09 great time . location hotel perfect . right middle everything . hotel not impressive . decor lobby area terrible . room okay nothing brag . clean small . bed small , well . high floor , give we great view 7th avenue . staff exceptional , make shortcoming . husband anniversary arrive room upon check - in , card sign staff , chocolate cover strawberry champagne room we , compliment manager . even well , manager arrange anniversary wish display Hershey 's display , directly outside hotel . , staff exceptional . overall , enjoyable stay hotel . not spend much time anyway tour city . would definitely recommend hotel anyone look nice friendly staff super location ! 
 Jul 10 2008 	 's awesome middle ! 	 three generation gal visit ny ( two first time ) agree really enjoy stay fabulous hotel . want see could 4 day . the staff polite . we arrive Friday -before post check time bellstand hold bag we . bellstand conveniently locate first level hotel security team monitor come hotel ; check second floor . the elevator super fast like add security middle busy pace Times Square . stay Friday - Sunday room 24th floor right next elevator room extremely quiet . we adore view bed heavenly ! shower awesome roomy nice soap shower gel . we eat hotel wonderful lemon drop martini super nice bartender . bar snack mix good pre show snack . speak ... hotel close many thing : TKTS booth , restaurant row , double decker tour bus subway . walk dinner show nightly , save cab bus fare . first class hotel good service : even send email detail reservation virtual concierge email get special request . concierge give we advice get day ticket show ( use free internet lobby ) , show we theatre layout . find hotel refuge frenetic pace NYC . 
 Jul 7 2008 	 excellent location 	 stay 30/06 6/07 . great time . location perfect , right heart buzz light times square , want place ! staff polite friendly answer deal query straightwaway . 3 we share room really spacious enough room shopping suitcase . bathroom great too.we use free internet downstairs , get 15 min time us fine , computer always free adequate check email etc home . minor criticism would breakfast , normally would not bother breakfast hotel NY indeed great one place stay , one renaissance great - expensive even hotel standard quality / quantity average.all great place stay short shopping / city break trip new york . would definitely stay ! 
 Jul 3 2008 	 unfriendliess hotel ever misfortune stay . 	 stay hotel two friend May 2008 , problem start immediately arrival . first impression hotel good , 's modern great location . however , check , give room king size bed even though book room 2 double 3 we . staff seem totally bemused would problem . ask could change double room , tell none available hotel full would send fold away bed . tired argue ( 11.30 pm ) go room . two HALF hour later many phone call reception desk , foldaway bed arrive without bedding . take another 45 minute arrive , present dirty quilt cover . ask cover every day , never arrive . maid ( pleasant staff member come contact ) also tell we hotel not even half full , choose give we another room mystery . the room clean tidy , great view Times Square . stay 14th floor , amazed lack outside noise hear . rudeness hotel staff continue throughout stay , disintereste reception desk staff refuse give eye contact bar staff huff tutte point give we wrong drink order . really ruin stay , make we feel totally uncomfortable . on plus side , cocktail bar amazing , even though face wrath bar staff get . room well equip , although voltage low ( US hotel like ) struggle hairdryer , hair straightener etc . tip would use hairdryer provide rather try take one UK . wardrobe huge , plenty hang space hanger , bathroom spacious modern towel replace daily . room clean thoroughly every day , bathroom sparkle afterwards . unfortunately , due attitude hotel staff , would hesitate recommend hotel anyone , shame offer great value money wonderful city . will definately go back New York , take custom somewhere else . 
 Jun 22 2008 	 Good Hotel Excellent location ! 	 stay hotel weekend June . overall hotel clean comfortable . interaction staff pleasant . come Friday morning 8:00am surprisingly room ready . location heart Time Square . 17th floor exception occasional taxi horn ; pretty quiet room . actually , hear noise noisy guest hallway street . bed comfortable furnishing adequate . nice 42 " flat screen tv ( Plasma LCD ) . also nice view street . refrigerator mini - bar . internet $ 17.00 day . go 2 different elevator previous reviewer mention , not big deal , however , husband not like it . here information restaurant . eat Breakfast two location near hotel . first Evergreens 48th street . pretty tasty breakfast cost $ 20.00 tip . also lot seating . terrible experience Pax Whole - food . avoid place like plague . people rude overcharge anything additional . get meal 2 egg , toast , bacon , hash brown $ 4.95 . husband get pancake add side bacon $ 6.50 . get glass OJ total come $ 20.00 . ask much OJ $ 4.25 per glass ! ! ! $ 8.50 2 glass OJ ! ! ! 5 6 table full ' get eat get go . husband get 3 pancake give 1 small packet pancake syrup . ask additional packet say would pay ! addition rude behavior overprice OJ , food barely edible . pancake dry , ' fry egg completely ( mess fry egg ? ) toast terrible taste like rancid butter warm grill . sake , save money avoid PAX . positive note , Ray ' Pizza right beside PAX excellent Pizza . also , go Restaurant 9th Avenue call Renaissance . extensive menu excellent food reasonable price . every meal see came look terrific . we $ 36.00 tip two non - alcoholic drink plus portion huge . busy ' wait Saturday Night around 8:00pmOverall , would recommend hotel nice , clean , great location , friendly staff . value , stay free Marriott point comment price . 
 Jun 3 2008 	 Nice Hotel 	 return girl weekend New York . first visit take long time decide hotel . please Renaissance . super location right heart Times Square . arrive early 10 am lucky enough room ready . happy since check not 4 pm . 7th floor fantastic view Times Square . room awesome ! roomy two comfortable bed . bathroom nice spotless ! ! people complain take elevator one floor get Lobby not find problem . really big deal . interior lobby little funky modern , something would pick really not matter ! ! would highly recommend hotel everyone . 
 Jun 1 2008 	 Favorite Hotel NYC 	 stay location many time . rarely stay anyplace else New York business . staff accommodate love atmosphere hotel . truly lay back oasis middle Times Square . ' stereotypical NY experience look window see glitter billboard , love ! never use gym " business center " actually lobby sale office , room spacious clean consider fantastic view . doorman especially well verse area always go beyond . 
 May 14 2008 	 four Stars Sure 	 mother spend Mothers Day weekend recently renovate property . room 22nd floor wonderful view Broadway . window tilt open ventilation - something really enjoy alternative steady diet stale , manufacture air . the room clean , well appoint large New York standard . carpet clean appear fairly new worn stained area . bed marvelous would expect high end Marriott property . bathroom large , attractive supply Lather brand soap , shampoo , conditioner lotion . magnify shaving / make - up mirror nice addition . shower real treat - glass door , huge shower head produce soft rain - like flow generous supply soft , white fluffy towel . negative bathroom vent - common fault even fine hotel . the recently renovate ballyhooed lobby bust . furniture trendy overly comfortable . music loud poorly choose . attempt conversation friend lobby end shout obnoxious music like blunder Techno club . I would recommend Maxie 's deli corner 7th avenue 48th street . grat sandwich chocolate cappucino cheesecake mandatory . a good stay wonderful hotel . price - let us say fortunate able use Marriott Rewards point . 
 May 8 2008 	 Awesome Hotel Awesome Location 	 girlfriend stay renaissance times square may 2nd 5th , awesome room immaculate awesome view locate central everything , definitely stay . 
 May 8 2008 	 excellent like Times Square 	 mixed feeling hotel . would never choose since hate noisy location , switch last minute due construction Algonquin ( favorite ) . horrified see location get , RIGHT TIMES SQUARE . walk door time , day night , throng people look like broad daylight . 's really thing , like activity , really like hotel . good news : excellent service room . room overlook either Broadway Seventh Avenue , Broadway well view . room , 2509 , overlook Broadway , neon sign blink HERSHEY & amp ; m outside large window . not hear thing . room completely quiet . be oddly cozy , look Times Square giant , fantastically comfortable bed , watch big flat - screen tv , hear nothing . grow quickly . love desk room , two level plenty room hubby spread stuff plug everything never get 's way . large closet , nice bathroom vessel sink , marble counter , large shower ( tub ) , plenty towel , top amentitie . check - in extremely friendly , room wait , plus call see need anything ( Marriott elite member ) . location convenient , within block subway take anywhere ny , easy walk theatre , excellent restaurant . one evening dinner , sit bar drink appetizer , feel comfortable . never scare alone hotel . bad news : hate enter leave hotel crush people every time . even walk home theatre , get across Times Square take five minute . enter ground floor take elevator lobby level , pulse loud music hour , take another elevator room . can not avoid lobby . restaurant level far enough away can not hear music eat . not eat , look nice great view Times Square . on balance , would never return hotel like quieter location , enjoy stay convenience lovely room view Broadway . 
 May 6 2008 	 great Stay 	 Renaissance Hotel & amp ; Times Square , win combination . room comfortable , staff friendly . go New York good location stay one good hotel . 
 May 4 2008 	 gorgeous hotel wonderful location ! ! ! 	 Hotel GORGEOUS ! ! everything modern look newly update . room big clean . Bathroom nice like deep tub take bath . impressed hotel overall price pay . stay one night , would definitely stay . location could well . 
 Apr 30 2008 	 comfortable LOCATION ! 	 remember website terrific gathering OPINIONS ! yes , one . : ) good keep objective term hotel 's positive negative . first , problem hotel staff . honestly , hotel great location . TIMES SQUARE ! Woo hoo ! close everything .... important . the bed heavenly sleep . check fine wait room ready , one arrive early - simply leave bag bellhop go explore good place eat . do not eat hotel - get ! see Big Apple offer . try dine Rockefeller Plaza Cafe ( right people normally skate winter time , become great little outdoor bistro spring , summer fall ) . go indoor prefer -be ready spend NY dollar , oh good worth ! barely spend time hotel , moment , comfortable place clean . modern art deco preference , feather pillow bed . room view light Times Square ( could see ' CHORUS LINE ' lighting street directly outside window ) . however , soon curtain closed , pitch black . sound traffic noise street minimal -considere NEW YORK CITY ! ! downsize noise inside hallways - difficult time sleep first night due couple neighbor slam door ( although not think intentional , door close quickly ) talk loud hallway retire evening . people rude - hotel anything attitude traveler ! overall , great experience , terrific location . CLEAN COMFY . size room perfect two weary traveler need sleep tour Manhattan . 
 Apr 20 2008 	 cold sleek weird decor nice room though 	 someone else noted- weird entrance . like take elevator another elevator get room . front desk not look like front desk ... like restaurant host desk ... bit confusing . decor something like pervert spaceship design ... see belive ... not one notice . room nice clean . problem service . clean nice room . , like modern , nice room happy . location terrific . 
 Apr 18 2008 	 great location tourist ! 	 stay Renaissance 7 night Nov. 6 - 13 , use Marriott Reward point . wife never New York , go usual tourist thing -- Statue Liberty , Empire State Building , Central Park ( spectacular ) , La Traviata Met , Wicked ( 2 day strike ! ) , Radio City Music Hall 's Christmas Spectacular Rockettes , etc etc . we disappoint Renaissance complete renovation originally schedule , construction lobby take away experience , still enjoy stay . reviewer note , entrance 2 - step process , odd little elevator entrance real reception area elevator room second floor . newly remodel room 16th floor , big New York standard , nice amenity , comfy bed , attractive usable bathroom ( nice touch -- housekeeping wipe Rain - x similar product circle center mirror day fog shower ) , good TV.The remodel public area finish sort & quot ; retro modern & quot ; -- lot plastic round bauble space age touch -- really taste NY hotel , also bad would go . ( restaurant seem pretty pricey , eat , especially many choice area . tourist cocktail Marriott Marquis across street , fun -- sit revolving bar top Marquis least 3 revolution -- definite treat anyone want enjoy drink unusual view light city . ) besides central location easy walk access everything close subway entrance , highlight hotel Omar , concierge . recommend several outstanding restaurant within walk distance hotel . tell want good food reasonable price place would go take relative . every suggestion spot on . although can not really speak value room since use Reward point , would definitely stay Renaissance . 
 Apr 12 2008 	 Loved Times Sq . 	 Excellant hotel capture Times Sq . experience . recent remodel make comfortable trendy design . the staff helpful knowledgable . pricey , well worth cost . 
 Apr 3 2008 	 disappointed 	 recently stay Renaissance New York quite disappointed . book room high floor , additional cost , thought would get well room . room extremely small , even Manhattan standard room clean service spotty good . difficulty internet , disconnected 3 day , even though buy 6 - day package ; hotel staff unable assist . note : internet connection include room ; therefore , manually remove bill upon checkout . also , complimentary bathrobe room , well quality hotels standard feature . if look little luxury , find , look value money , find here . from account hotel go renovation could get good sense theme suppose , although think designer go trendy , edgy . concierge helpful finding taxi store luggage . we stay return trip New York . 
 Apr 2 2008 	 wonderful experience friendly staff 	 wonderful experience hotel . staff encounter bellman front desk staff extremely courteous friendly . room stay quiet , soundproof , not hear street noise . room immaculately clean . bathroom fairly decently sized NYC standard . 
 Mar 31 2008 	 overprice Unfriendly 	 leave property morning feel pay . much well option NYC . positive : location ( want near time square ) central literally top subway stop . property new facility reflect cleanliness . the negative : front desk staff unfriendly right rude unresponsive simple request . though Marriott pledge smoke free property room stink Cigarettes – complain receive " oh ! ' unfortunate " . wall room paper thin ( note early review mention sound proof room soak tub – must wrong hotel ! ) . room clean well – check find baby ' pacifier , old newspaper food wrapper bed . hotel staff make effort recognize participant Marriott ' reward program ( Platinum Elite Level member usually greet Hotel Manager check - in upgrade suite without even ask ) . upon check 4pm room ( three room $ 375.00 ( include tax ) ) ready tell come back later . room ready , non concierge level ( may even concierge level ) ( concierge lounge available we ) upgrade room treat bother front desk staff hotel ( note doorman valet nice , front desk ) . find hotel layout less convenient . get room street need take elevator Lobby , walk across lobby ( stare front desk staff face elevator ) get another elevator take ground floor – process take time allow privacy rude desk staff watch coming going . finally , people room beside we extremely loud . tolerate certain point . second night , people room next door loud need get early . midnight call front desk complain . send security , security came tell people next room keep ( room specifically ) complain make situation bad – people next room proceed pound wall talk top long next two hour – security never bother pass far could tell . give point watch tv . place horrible – think much nice place treat guest like value guest charge less . try Westin W near Time Square – stay feel good spending money property . appreciate hotel property appreciate guest . property ! 
 Mar 24 2008 	 wow amazing stay Renaissance 	 get back 6 night stay renaissance . hotel great location right heart action time square ! hotel staff helpful & amp ; friendly . room spacious , clean comfortable . pillow duvet hugh bed lush ! ! bathroom big walkin shower modern fitting . I would recommend hotel anyone would definately stay travel back New York . 
 Mar 13 2008 	 like well Marriott Marquis 	 stay two evening early March really like hotel . mean comparison , stay Marriott Marquis , Marriott East Side Marriott Courtyard Times Square South well . would rank hotel well bet tourist dollar really value full service , Courtyard ( excellent value ) right behind . great , clubby & quot ; W & quot ; feel , really like room . not get view Times Square would Marriott , not miss many time . renovation complete , well do . dinner , try Tony Di Napoli . great meal prior show . good luck stay , can not go wrong hotel nice property Marquis & quot ; , do & quot ; . 
 Mar 12 2008 	 one NYC Hotels ' ve 	 location hotel excellent , one block subway station block Times Sq . stop . king size room 12th floor . bed amazingly comfortable lot pillow douvet . like big walk - in shower , glsss door , seat shower . postage stamp size bathroom NYC hotel room . complimentary shoe shine service professional . room clean comfortable , large plasma screen tv , great view window . Yje lobby funky tasteful . staff helpful friendly throughout stay . 
 Mar 7 2008 	 great stay Renaissance 	 location hotel excellent , one block subway station . king size room 8th floor . room clean comfortable great view window . staff helpful friendly throughout stay . eat hotel can not comment standard food . loved hotel planning go back next year . 
 Mar 3 2008 	 Loved Renaissance 	 always stay Renaissance primarily location . since remodel room excellent . bed bathroom update . I always request room view Broadway . great lounge area another lounge construction . fall stay hotel restaurant , Chop Suey . 10 we eat none we could find something eat . end leave dinner Olive Garden . front desk great help we find different restaurant well make reservation ( place require . ) favorite hotel Marriott 's ! 
 Feb 28 2008 	 good location Times Square 	 spend one night hotel dinner show location nice hotel room important . hotel could situate well location WOW feel Times Square ; locate tiny triangle land Broadway & amp ; 7th avenue intersect , neat location . , busy hustle bustle area familiar may feel overwhelming . hotel entrance smallish area funky decor blue vinyl ( maybe leather ) sofa bellman desk . must go elevator get main floor small check desk . main lobby dark , furnish modernly coldly interesting . furnishing decor bite odd fun night two . theme seem body part decor obvious subliminal . hotel feel lack amenity not look could wrong . overall feel public facilite ie restaurant bar one small floor either side tiny check area . everything outside hotel , may hotel see . our room great , overlook Broadway . lot bright light night long curtain great job block light . little noise come we 6th floor . bed fabulous , actually sleep 11am idea sleep late . great big flat screen tv , mini bar , whole system video game , computer etc ... use sure function . marble bathroom beautiful . Shower huge , glass sit area . gorgeous unique blue , metallic earth tone tile ( hard decscribe ) shower would love home . comfortable room bathroom . hotel full check bit early 4 pm check problem . bell staff pleasant helpful . would definitely stay hotel night two due location great room interesting atmosphere . not know could stay long couple day though dark lobby area feel bit somber . 
 Feb 21 2008 	 Pros con 	 visit NYC , thing lack hotel . give benefit doubt 100 % do renovation . great location good price ( due reward member ) pleasant stay . it aggravate take 2 different elevator room time . the room nice sized NYC lot new amenity . bathrobe , surprising 4 star hotel . & quot ; room guide & quot ; miss page , include menu , call room service take bit long place order . room service prompt , courteous , delicious . surprised see Ipod docking clock radio since rage hotel , nice flat screen tv business center hook area . bed comfy , lot extra pillow chaise lounge great . the mini bar electronic , thing fall every time open . far , not see charge , guess put back quickly enough . bathroom fan not work , shower stall door close . not discover well settle not want move room . since know issue could involve maintenance man come room extend period time , choose ignore problem enjoy stay instead . our tile also crook bathroom . since be pretty much stare shower , bit funny . wonder & quot ; hurried & quot ; room meet renovation deadline ? ask newspaper prefer morning , say NY Times get USA today . little nitpicky item , want give accurate review . contact hotel FYI instead complaint let know . base location price ( $ 200 night us ) happy . pay rack rate $ 400 + , might voice concern loudly . 
 Feb 4 2008 	 Good expect 	 want stay hotel time , hear good thing . spend 2 night Jan. 25 - 27 . decide use Marriott point stay hotel . almost Marriott hotel Big Apple require maximum number point one night . otherwise , nightly rate Renaissance would $ 300 . even though read enough review Renaissance , still surprised arrive . example , hotel really small entrance , take elevator first floor , partly dark , since lounge area right next check - in .. initially give room 22nd floor , view Sixth Avenue well tall building , whole lot see .. not like room connect another room , went ask one not connect door . front desk kind disbelief reason want room change . frankly , hotels opinion guest prefer specific room . guest prefer specific room , good reason . good hotel go way give room want , without act like think be crazy . check - in area really small , like ticket booth instead reception . maybe still renovation phase . 
 Jan 29 2008 	 New Year 's Eve overlook Times Square Renaissance 	 4 week tour USA December / January 2007 , 3 old child ( girl , 22 , boy , 19 boy , 18 ) , go San Francisco [ Omni Hotel ] , Miami ( South Beach ) [ Beacon Hotel ] , Orlando ( Disneyworld , Pop Century Resort ) , Chicago [ Drake Hotel ] , New York ( Christmas ) [ Beacon Hotel – relation one Miami ] , Boston [ Omni Hotel ] , New York ( ) [ Roosevelt Hotel ] , day trip Niagara Falls . sometimes cosy - sometimes downright stressful - kid . anyway , review New Year ' Eve 2007/2008 Renaissance Hotel overlook Times Square New York . we always go NY NYE , would make plan vague notion Times Square . wise person advise & quot ; not go Times Square New Year 's Eve . million people . start line 10.00am . police close street 3.00pm , can not get . toilet . leave get food drink , will not get back . 's freeze cold will midnight . need book restaurant somewhere . & quot ; .From see time , say hindsight absolutely correct everything say . so start tool around internet , google something like & quot ; New Year 's Eve Time Square & quot ; . quite site devote ; highlight venue function night . restrict choice , many venue open 21 ( 2 not ) .One refer Renaissance Hotel . I email Hotel , contact , Michelle Galindo , brilliant attention organisation . prompt email reply , confirmation , explanation , phone contact . arrange package deliver hotel , include formal invitation , essentially , pass numerous police cordon work charm . last stretch , even police escort door Renaissance . the venue unbeatable . overlook Times Square , look right 's throat sign end , famous ball dangle . restaurant actually part neon sign structure opposite end Times Square . unless know 's , be almost invisible . seat 80 people . table 7 . imagine well , comfortable spot watch unfold . the dinner stunning - 5 star . open bar , Veuve Clique champagne hor derve ( even receive commemorative champagne glass keep ) . live band play . Party favour . the one thing note - expensive . mean really expensive . will not give away price - be interested , will find . make sure sit down . but get cost , simply want good New Year 's Eve celebration overlook Times Square , check Renaissance Hotel . 
 Jan 21 2008 	 nice place 	 come back 2 night stay hotel . get one remodel room , huge NYC standart . clean , conftable modern look . bathroom lot space big shower . location good like & quot ; touristy & quot ; , wife love , personally like stay uptown NYC . complaint kind abou hotel would stay te future . 
 Jan 15 2008 	 Perfect 	 stay januari 1 two night . room 24 floor overlook Broadway / Duffysquare . verry nice clean new room . large shower , bathtub . they finish complete overhaul hotel . service ok , friendly staff . restaurant great view Times Square . breakfast , service ok buth quality food not match expectation . nothing special average quality . when return New York definitly consider stay . 
 Jan 14 2008 	 Loved ! - Great New Years Eve 	 great stay renaissance - arrive new year eve - good view time square ! room lovely - bed well ever sleep ! 16th floor side view times square - staff great - position well - easy walk attraction - 10 min walk Saks Rockafeller , 5 min walk see Color Purple Chorus Line , negative room service average rest fabulous ! 
 Jan 13 2008 	 Renaissance Times Square - Big Hit ! 	 return celebrate good friend birthday NYC ! get us ticket off - broadway show want spend night . use Marriott point originally stay one Lexington new . glad change stay Renaissance Times Square ! redone room gorgeous ! check - in speedy room exactly want . two double bed high floor . huge flat screen tv , clean huge bathroom New York . tell get two double shower bath . king room shower . bar hotel cool bar tender great . decor lobby area unique . highly recommend hotel . 
 Jan 2 2008 	 Makeover successful - great service great location . 	 Renaissance hotel Times Square ( 7th , Broadway 7th split ) recently renovate . enter ground floor concierge\bag check locate , lobby one floor - wait elevator probably complaint hotel . ground floor entrance way redecorate 60 's mod theme , blue mold chair chrome body part wall art . thankfully , lobby / bar upstairs warm inviting . we avail bar , hummed activitiy , guest seem enjoy . lobby also three internet screen available . the service exceptional , staff friendly - even remember name meeting . pretty impressive give number guest . fairly long line check , service efficient line move quickly . the room receive 11th floor , view Times Square . room huge NYC standard , clean . small window open partially room ventiliation - enjoy , give unusually warm day city , room initially bite stuffy . around 50 degree , seem confuse room air conditioner , pour warm air room . open window help refresh room , hear street noise - fine awake , need close window sleep . air conditioner well next day , cool room desire temperature . we request receive room 2 bed - large bathtub / shower combo - curtain rail bow provide arm room . shower nice plenty hot water pressure - one important amenity - light shower . bathroom also pretty large NYC , make granite top warm color . like room , bathroom immaculate . notice room floor 1 single King bed walk - in stall shower tub . room large wooden closet iron / board , extra pillow , shoe shine basket , wooden hanger ( actually come rod ) dry cleaning service bag . also coffee service table mini - fridge bar . room safe - closet , pull drawer . bed comfy , fine clean white linen feather comforter duvet cover . plenty pillow . large , busy hotel , room quiet - hall elevator noise . everything room work - TV , light . combination radio\CD\clock player room . room internet connection available , large board connect portable dvd player tv . be also pull work desk station . the location hotel great , subway station access uptown downtown door . restaurant theater Times Square , block walk Rockefeller Center . all enjoy stay definitely return . 
 Dec 27 2007 	 Liked ! ! 	 stay overnight NYC opera ticket Saturday night . would prefer close Lincoln Center place northern block end Times Square . funky inside -- like lot . hear renovate look great . bathroom lovely colorful tile shower . large flat screen tv nice cushy Simmons pillowtop mattresse . blue headboard go neutral - colored room . location good . Noisy late a.m. though bring earplug ! room adjoining door , aware hear people next room clearly . would stay . 
 Dec 26 2007 	 great location . 	 stay Renaissance Hotel 19th - 22nd December . location Times Square fabulous . staff friendly helpful ( one exception management deal swiftly courteously ) . room clean feel spacious . bed andpillow incredibly comfortable ! ! view Times Square Restaurant real bonus . renovation almost complete certainly not bother we . hotel happy accommodate late check store bag whilst squeeze performance Chicago head airport . tip - like we four party quite bag ( ! ) hotelorganise large people carrier take we back JFK far luxurious yellow cab not cost much more . the trip celebrate son 's 18th birthday four us party - , husband , son girlfriend . hotel love us - stylish modern . recommend cocktail bar ! would definitely return . 
 Dec 12 2007 	 Quite Finished nice 	 Bellman nice service excellent . get early expect room might ready not . due renovation , lobby half intend size crowd . look like nice finish , right barely functional . go city come back room ready . room new nice . dissapointe thing room good view time square face hotel cover sign . also dissapointe nowhere drink overlook Time Square . lobby view . guess spoil Marriott Marquis . service excellent staff nice helpful . 
