Good 	 Staff friendly , room nice great view Chicago River close House Blues Harry Caray 's Resaurant , well , far Magnificent Mile . hallway dark elevator bit scary , overall great hotel . bar , Crimson , locate hotel great . bartender nice waitress like talk wall . 
 Aug 12 2008 	 Hotel SAX Chicago BEST place stay Windy City ! ! 	 husband visit Chicago least 1 - 2 time year visit family . though stay many hotel downtown , Hotel Sax far favorite . first foremost , location within city ideal . locate N Dearborn , walk distance Navy Pier , Magnificent Mile , etc . House Blues Hotel Sax Chicago 's neighbor , time stay accord schedule will walk across parking lot . locate inside Hotel Sax Bin36- FABULOUS wine cafe great wine , cheese flight , fare pair perfect wine suit taste . Crimson Lounge new chicago nighttime hotspot even 's & quot ; signature scent & quot ; . well know Dj 's frequent musical guest perform . drink list world though not time order menu- sound die for . another location inside adjacent Hotel Sax 10pin Bowling Lounge . think martini 's fingerfood instead beer pizza ( though ) .OUR ROOM.Room # 1119 . amazing . not want leave ! 2 flat panel TV 's mount wall consist vary patterns- modern eclectic . sit area large enough accomodate small get together , though husband ... spacious desk free WIFI informative city guide good room service menu ' ve ever see ! back wall make window , open , provide view city . breathtake . the bathroom incredible ! large enough family , spacious enough two we . double vanity product specially make Hotel Sax . stand shower .. , big enough 2 .. ideal water pressure . also large tub jet , oversized towel perfect water temperature . my stylish husband even say would like make bathroom home look like beautiful vanity black marble top , black white tiled floor , texture wallpaper , beautiful curtain ( include view Chicago ? ) parking.close , accessible , easy .... pricy . $ 43 / night . parking anywhere Chicago cheap . usually park block away , car usually accessible 24/7 ... want drag luggage city ? use valet parking pay $ 43 / night park gripe , lol . like know car right could get whenever need . ? 's Chicago . complaint ? really .. location : perfect . room : perfect . staff : perfect . style : perfect . ammenitie : Perfect ( happen Crunch Fitness Center though ? ? ? - not get workout stay : ( ) muster one complaint .. might pillow . good , husband sell mattress pillows- may little spoil . bed comfortable , pillow little flat- complaint , , HIGHLY RECOMMEND Hotel Sax Chicago . will not find hotel provide Hotel Sax . Hotel Sax , opinion , far BEST place stay visit & quot ; Windy City & quot ; . 
 Aug 10 2008 	 Average Average 	 stay Hotel Sax 3 night August . hotel almost try hard something not ! room service terrible . follow twice arrival food cold edible . contact service request replacement - never arrive ! room small bit tired . room read material mention minibar . think go insane phone customer support advise minibar room . advise read material mini bar ? ? ? ? think staff overly helpful either . plus side location excellent sightseeing . 
 Aug 5 2008 	 Treat Luxury- Book Stay Hotel Sax 	 believe Hotel Sax favorite hotel downtown Chicago . stay many place area Hotel Sax offer extraordinary experience . time pull driveway , wowed level professionalism warmth staff . know staff name treat like welcome need priority . Charles , valet courteous helpful . housekeeper , Tonisha make we feel home take care personal item great care , additon leave room spotless well stocked . pleasure drink Crimson Lounge meet Brad Matthew , host bartender . room beautifully decorate bathroom huge . shower head water pressure fantastic ! extra two bonus stay Hotel Sax parking House Blues . pay $ 42.00 out entire extended stay ! simply unherad downtown Chicago . House Blues literally 20 step Hotel Sax . check website www.hob.com see scheduled event . return guest whenever ' m Chicago . 
 Jul 26 2008 	 half good half bad 	 stay 2 night May . bad half : arrive early let know , check 3:00 join party room . wait 3:40 go front desk tell room ready would call housekeeping get update . meantime , start handle another guest stand sit couch 4:00 motioned desk . ready , apologize ask would like complimentary breakfast . still good mood , say not big deal say be okay , turn . walk away think not give , ask want freebeie ? telling not want give away anything unless cheap enough accept . be never happen like think odd . couple hour claim room state undress hear knock . grasp clothe could even say minute , door open hotel employee know room take ( obviously ) . get halfway room ( female ) could hardly speak English enough apologize quickly shut door . not report think harm do , mistake make sure chain rest stay . one morning breakfast join party three table order breakfast . know , not ask menu , ask cup coffee . twice . meantime , bring food , etc , never get coffee . like ignore came late not expect . not expect special consideration server , high expectation protocol . cream crappy weekend came get home whole week $ 400 take credit card & quot ; hold & quot ; , mean amount take away purchase ability . call hotel room hold incidental . check Sunday yet Thursday still . say bank release . not know story , company pay room , $ 400 snack bar movie ? not use extra check Sunday , not know hold take long clear . not call bank verify really responsible , 40 's , stay room around U.S. Italy never happen . like hotel good clientele not trust . good person , go flow , demand diva , may get take advantage like feel . probably do make stink issue happen , people can not take advantage unless let . however , Show - I attitude , not , will not come back tell everyone know crappy treat . dangerous demand customer . good : nice room , clean good bedding , nice view . good location . 
 Jul 23 2008 	 great hotel - wonderful staff ! 	 stay hotel Sax July 5 - 10 . unfortunately , wallet get steal metra way hotel . staff extremely helpful assisting obtain police report , etc . special thank Bernard , responsible security . husband appreciate every moment stay : great room 14th floor , comfortable bed cleanliness everywhere . service really make Sax different : smile , politeness willingness help ! will certainly choose Sax future stay Chicago . 
 Jul 21 2008 	 Fun Funky ! 	 always doubt trendy , urban place -- Hotel Sax nice ! go girlfriend lady 's weekend . upgrade we big room -- nice size , decent view , window open ! big flat - panel tv huge mirror , two super - comfy bed . get champagne one night walk lobby , nice . club first floor , little zooy , could not hear anything room . also go Bin ? ? great dinner . nice location -- close lot thing . complaint ask late checkout delay flight , tell we would cost $ 150 ! ' ve never hear , rather annoyed . otherwise , great location jazzy little weekend Chicago ! 
 Jul 16 2008 	 five different ! 	 first book www.skyauctions.com work perfect . great service ; receptionist arrival . concierge . Housemaid . lounge . room . complimentary coffee every morning . complimentary sparkle wine reception evening . complimentary internet Microsoft gaming room . big plasma lot channel . comfortable bed . spacious bathroom nice bath amenity . next house Blues . weekend lot people come Crimson lounge hotel House Blues could notice crowd close door room . ten minute walk Millennium park stroll Michigan avenue . several restaurant neighborhood . a different experience ( five different ) make highly recommend . well do , SAX . 
 Jul 16 2008 	 Great Hotel 	 Great Hotel , stylish . excellent staff . room fantastic . bar downstairs good . excellent breakfast Bin 34 downstair . location excellent . definitely go back Chicago would stay 
 Jul 6 2008 	 ever rate 4 star hotel never know 	 end Hotel Sax last minute booking stay Doubletree Magnificant Mile ( FABULOUS 3 star ) 2 day decide extend vacation day thrill score 4 star ...... get . upon check inquire know parking ramp not quite much money ( $ 42 per night pricey even Chicago ) tell not . bellboy help unload luggage tell husband parking ramp 1.5 block away $ 26 per night ( ramp next CVS Kinzie ) first send room 12th floor king size bed 5 we confirm day would nonsmoke 2 double bed room . contact front desk get switch room 2 double bed 11th floor certain minute walk smoking room felt look around note ashtray maybe mistaken . also room door connect another room usually never issue reason hotel maybe door paper thin could hear family next door casual conversation , hairdryer use , tv show watch ' m sure impressed child settle new environment . stay room long truly could stand smell note hotel smoke free throughout must recent thing .... first room smell take we second one saturate stale smoke smell . pool hotel , hairdryer could locate end stay keep closet room bathroom one might expect find . room decor taste bit tacky shadow chandelier wallpaper wall vinyl throw pillow bed along vinyl like bucket style chair desk odd 60 's like handle middle back . wall floor windows nice make nervous young child figure small pane open screen 11th floor . plasma big screen nice bathroom think one well feature - roomy tacky seem clean . staff part friendly - although since husband leave park car bellman take luggage place cart assume person take luggage upstairs husband tip guy since would not .... bellman walk we lobby act like go right behind we tell we go first elevator would next , surprise new bellman show luggage ...... hope second guy figure tip sit hand buddy pass we complete task . experience man staff microsoft room ( husband kid enjoy xbox 360 's ) & quot ; arrogant & quot ; rude accord husband .... seem guest get impression comment husband hearing room . People comment dark hallway elevator right .... artwork elevator wall bite creepy .... woman hold skull ? admit Blues fan maybe need really appreciate Elvira / Adams Family decor . location different appreciate South end Michigan Ave area come North end - fairly close Millenium Park . house blue literally right outside hotel door go plenty activity involve several police car night . 3 star hotel clean , fresh 2 pool right N. Michigan Avenue less money disappoint 4 star offer - 2 star would get exactly would expect would felt treat bellboy staff . 
 Jun 30 2008 	 good Overall . average Downtown Hotels . 	 good hotel overall . plus : champaign & amp ; peanut shell front desk upon Friday night arrival . large bathroom , ~42 & quot ; LCD fantastic , 6th floor computer / game roomnegative : enough lighting next bed # 1 negative bed par high end hotel ... think kind hard even . not agree previous review soft . comforter warm really turn room temperature . ironing board break use lay bed . Wife say enough counter space bathroom cosmetic . bath tub not sink tub . coffeemaker coffee available lobby although could better quality though hotel level . book via priceline & lt ; $ 120 / night good value . 
 Jun 28 2008 	 cool almost feel hip ! 	 Hotel Sax incredibly cool almost feel hip ! group consist 3 mom take teenager Chicago camp . mouth hang open first hour check discover room 6th floor & quot ; game room & quot ; . place huge ( pleasant ) surprise consider get Hotwire last minute . Monday night stay must key hotel 100 % book follow night . lobby small really unique use old store display counter fill antique cut glass item check desk . big jar cinnamon jelly bean hit . decor room plain out - of - this - world ! look like really hip design team great concept carry fine detail . the staff every point fantastic . get great advice concierge , valet funny personable , front desk warm friendly even run general manager elevator nice . extremely hip place like tend really stick - up staff ( think Delano South Beach , Miami ) people typical Midwesterners - nice , funny , unassuming . we two double bed room sheet pillow luxurious . shower head enormous blasted water like . bar Hotel Sax get see even not stop drink . separate nook huge couch chair . look like place meet be Chicago yuppy . we late dinner Smith Wallensky 's literally stone 's throw across driveway . view river beautiful warm summer 's night great . hopefully Hotel Sax keep great work look forward visit recommend everyone ! 
 Jun 9 2008 	 posh one night business trip 	 go 1 - night business trip Chicago hotel book . pleasantly surprised arrive hotel . check , give king size room 12th floor . view awesome love 42 & quot ; plasma flat screen tv . bathroom plenty towel tolietrie one night . small mini fridge liquor dresser- nice touch pricey- $ 4 oj ! group meet back Crimson Lounge . like music/ atmosphere , lady come around want we purchase table night . umm ... busy good . bar good . hotel area lot night life quick taxi ride anywhere downtown area . House Blues next door not pay cover since check near closing time , awesome blue . newspaper door early next morning ( 8 am ) . check - out breeze billowy white curtain entrance nice touch . 
 may 29 2008 	 love almost everything ! 	 two girlfriend booked room Sax Memorial Day weekend . get good deal . pick hotel base TripAdvisor 's suggestion 's good single . right ! sax definitely hotel people willing stay somewhere little different . lobby not big , comfy chair couch wait . doorman extremely friendly . front desk staff friendly well , although bit hit miss . Crimson Lounge definitely pro hotel . lounge seem new , decorate red black . drink bit pricey , bartender extremely sweet make sure get fantastic drink dollar . downside lounge close around 1:30am , place Chicago . room great . luxurious , comfy bed , huge bathroom , wireless internet work flawlessly , spotless every day . big downside - concierge . different people staff concierge desk one competant one - Christina Catherine . fantastic , other not really know anything . make several phone call find anything not even know way get place ! overall , would stay , know might investigate go get . otherwise , excellent stay ! 
 May 27 2008 	 Great long not use Valet service 	 sadden can not write rave review SAX . start great , room immaculate , bathroom , huge , flat screen tv access hd channel , wireless access seemless bed extremely comfortable soft . location excellent , short walk Miracle Mile Merchant Mart . husband contemplate extend stay hotel comfortable , well , perfect . , retrieve car valet lot day check . car ransack , every compartmented rumaged belonging scatter . luckily , remove valuable item car except quarter intend parking ( steal ) feel violate car vandalize like . complain hotel management , immediately say run valet parking service send guest lot since be right across way . , course , parking service not want take responsibility either . perception valet parking car keep safe place would not ransack obviously , kind service unacceptable . tired get runaround ask chared parking first night ( park street ) remove charge . decide extend stay experience indifference happen ruin experience hotel . 
 May 2 2008 	 different 	 book stay Hotel Sax Chicago Hotels.com , get good deal last minute too . on arrival impressed lobby area , small , bright airy crystal glass cabinet around . doormen attentive . enter lift bright airy feel dissapeared . lift nice oppulent dark , 14th floor , meet dark , slightly creepy nice way corridor . hotel must renovate everything immaculate . our room surprise , quite big even though decor little busy , like , bathroom large , good qaulity fixture . bath towel robe light fluffy tioletrie replace everyday . soap use lovely , wow great shower . room large flat screen tv mount wall , also floor ceiling mirror one wall floor ceiling window . bed super - king size bed comfortable . super fussy bed quality make sure bed pillow - top like big marshmellow . all fixture fitting , look brand new . warn though mini bar item , water , ect , snack place tray glass cocktail shaker free . room service good reasonably price . eat Bin36 breakfast time find nice indeed . there new Bar call Crimson Lounge , gosh place look like Vampire 's Lure , gothic , red dark , could hardly see person sit next table . busy weekend , lot young girl age around 20 - 25 , dress impress , cup tea really . we like Chicago , much NY manage see lot sight . Harry Carays nice bar ect . also SMith Wollensky honest bear waiter really put ut . Sax well place Marina , right next House Blues , watch blue eat good food , manage go Sunday Brunch gospel Choir , fantastic en experience . gripe view window , Corn Cob Towers , car park host first 16 floor , floor 14 , view spiral car park also noise . however great hotel well worth money . 
 Apr 30 2008 	 will stay somewhere else next time 	 first let say bed , 42 & quot ; plasma TV , staff service great . room always clean well stock plenty ( typically high price ) snack enough alcohol drop elephant . now way issue ... internet ... 2 wire jack not work wireless would not hold connection 30 second . ( accord hotel technician come check internet ) one good room wireless elevator . end could work hotel room . although supposedly freshly renovate , bottom row tile tub / shower soft sag water rot wall behind . no bar soap bath mat day 3.the ( probably comfortable ) arm chair room recover ... kid ... imitation vinyl TEXTURED snake skin . look horrid chair cold , uncomfortable squeak sit . use 30 second . no screen window . delight fly join room day 2.No vend machine entire hotel . none , zippo . guest book say hotel operator inform not go look . refuse open $ 7 bottle water room wander grocery store instead . and lastly , put pedestal sink hotel room ? counter space put toiletry typically travel end use toilet tank shelf . as much love bed tv personally would not stay . be look quiet place crash though might consider . 
 Apr 18 2008 	 Kinda Weird actually 	 company business rate location , Chicago area hotel ' m really shocked choose one . young early 20 - something colleague tend like location , ' m completely sell it . I find be try hard trendy become annoying . all contact staff pleasant . gettting room prove tough sixth floor dark , room poorly label . the room comfortable plush , try hard trendy . find bathroom odd . long walk shower sink counter top cold floor . stay long have request extra bath towel simply & quot ; carpet & quot ; floor . I use hotel 's internet service , use valet parking find expensive ( $ 42 Feb 2008 ) , probably par downtown hotel charge . 
 Mar 24 2008 	 Perfect 	 Junior Suite perfect 2 teenage daughter ! king bed wall mount flat screen living room area sleeper sofa wall mount flat screen . bed privacy issue , arrangement would work seperate 2 sleeping area sheer chiffon curtain . bath area gigantic floor ceiling window , 2 sink , large amt counter space . housekeeping attentive . evening concierge , Mario ... help print airline boarding pass certain time , even though be not even hotel time need print . accomodate Hotel close everything need . big city can not walk distance everything definitely middle . House Blues right across driveway hotel enjoy Sunday afternoon Gospel Brunch ...... buffet style ... time make back table , food cold happen every buffet . 2 guy prepare omelette . would stay sure ! ! ! adult atmosphere ... would not place would stay young kid . nothing gear youngster . good ! 
 Mar 12 2008 	 absolutely fantastic ! 	 husband stay Hotel Sax love ! attend House Blues , excellent location door . staff friendly everything make sure stay great one ! conceirge able get we reservation Foundation Room HOB , place ! Doorman absolute good ! new home Chicago ! 
 Feb 18 2008 	 trendy upscale hotel 	 great hotel ! ! bed area room small side , bathroom absolutely huge ! beautiful decor . jazz music playing room first get , nice touch . bed comfortable , huge flat screen tv mount wall . location perfect . walk distance almost everything downtown Chicago ( shopping , theatre district , Millennium Park , etc . ) although go , Crimson Lounge lobby look like great place drink dancing . great , romantic weekend Hotel Sax . 
 Feb 18 2008 	 Adored hotel ! 	 stay Hotel Sax past weekend birthday LOVED ! staff friendly , helpful courteous . location amazing , right next House Blues 1/2 block kind restaurant bar . concierge service AMAZING ! helpful , answer question thoroughly even give we pass get Howl Moon . also surprised birthday treat send room . decor really quite beautiful choice place eat , drink even bowl great ! actually come back hotel dinner time spend time Crimson Lounge 10 Pin wacky bowling alley ! 
 Feb 18 2008 	 exactly need 	 Booked Hotel Sax TravelZoo . decide go v - day weekend . got around 6 pm Friday wait check . give we complimentary upgrade deluxe king free bottle wine . take 9th floor glorious room . room huge king bed , big window , 42 & quot ; tv , mini bar desk . bathroom huge decorate really nice . careful mini bar electronic sensor automatically charge say 30 second . would go close 15 . 2 charge happily take . head 6th floor find STUDIO put together Microsoft . room would xbox Rock Band , Halo , Madden many other . surround couch never crowd . I skip valet parking rate $ 48 believe . instead park parking ramp one block away 36 entire weekend . take less 10 minute walk drive back . overall great weekend . PS - try Brazazz dinner . 4 block Dearborn food amazing . Brazazz brazilian steakhouse . 
 Feb 3 2008 	 trendy dark 	 hotel try hard . lobby nice lounge/ bar cool . however room dark hard see anything . one side bed dim lamp . small lamp desk dark floor lamp . plan read work room , hotel . 
 Jan 31 2008 	 swanky night Hotel Sax ! 	 boyfriend live Chicago want book night downtown celebrate 3rd anniversary . browse Hotwire come across Hotel Sax , use House Blues Hotel . I Interior Designer pretty blow away sophistication style hotel 's interior . feel like something New York City . room incredibly hip clean good ammenitie , bar downstairs Lobby , Crimson , swank . think definitely step - up tired old bar W Hotels Chicago . top , can not beat location . 's right Loop River North get choose adventure literally door step House Blues , 10 Pin Bowling , Bin 36 ( wonderful restaurant ) . overall , great time get steal ( $ 130.00 night ) would recommend anyone ! 
 Jan 31 2008 	 really nice surprise 	 happy Hotel Sax . nice decor , friendly staff bed sink . around good feeling hotel . impressed low price due great location . check hotel take another weekend trip suburb downtown Chicago . 
 Jan 29 2008 	 great hotel - impeccable concierge service 	 recently opportunity stay Hotel Sax Chicago brief New Year 's visit bring ' 08.my wife , along 2 teenage son 2 classmate , enjoyable stay hotel experience unmatched level courtesy service hotel staff . think computer game / activity room great idea wonder hotel not offer amenity like provide fun , safe convenient entertainment option kid enjoy , especially teenager . the concierge particular , Ms. S. C. , helpful assist we usual & quot ; see , & quot ; drill really appreciate personal attention many question request . asset organization . we would hesitate stay Hotel Sax look forward return visit Chicago , one favorite city . enthusiasticlly recommend hotel - Chicago - friend , relative colleague . thank , Hotel Sax , make visit pleasant relax . back.1/29/08jgs 
 Jan 2 2008 	 perfect weekend trip ! 	 family Chicago suburb decide stay 3 night could enjoy city- Chicago ! hotel meet expectation . game room 6th floor excellent place 3 child busy would get ready night . location perfect . go Chicago theatre ( walk ) Shopped loop Mich Ave . drive Zoo Navy Pier eat excellent new restaurant right next hotel call A - mano ! Yes- seem cater young , hip group . huge crowd Saturday Night club near lobby . great people watch ! pool however , kids care swimming . mainly look decent rate great location . think find Hotel Sax ! thank . hope help . 
 Dec 20 2007 	 Fabulous Hotel Sax ! 	 husband stay hotel Sax weekend December 14th , 2007 . utterly impressed entire experience ; hotel location , room , staff dining . ask well combination ! staff extremely friendly helpful , especially concierge . ' Chicago would like stay action , Hotel Sax place ! 
 Dec 18 2007 	 nice central location . interesting decor . 	 ultra modern hotel comfortable well equip stay . husband , two child stay Thanksgiving weekend . location great walk shopping area along one mag . mile . hotel restaurant , 36 bin great full breakfast , attentive staff excellent food . go outside hotel dinner . hotel staff polite willing assist easy check - in front door chivalry . find lighting hallway bit dim side , chalk overall style designer try achieve . room modern funky style , large , spacious , clean equip extremely comfortable stay . would stay Chicago . 
 Dec 15 2007 	 Hotel Sax need Turn LIghts 	 House Blues underwent renovation become Hotel Sax ( elongate & quot ; & quot ; speak child ! ) intrigue relatively reasonable rate chance see refurbishment . see could , give & quot ; mood lighting & quot ; pervade hallway room . stark white lobby , twenty - something asymetrical haircut wait companionably chubby middle aged midwesterner , ascend dim hallway use car - key flashlight insert key lock . nearby , print Old Masters hang benignly curly red laquered frame . if ever see movie & quot ; Beetlejuice & quot ; sense post - modern frou - frou define decor . key feature smallish - but - adequate king room large wing chair upholstered snakeskin vinyl . next midnight - blue floor lamp matching shade . ah ! light ! think , much light nearly - black lamp give ? paisleye wallpaper include startling flat gray silouette chandelier . oh light - emitting . bedside light next black padded headboard finally prove adequate bathroom large clean , although without adequate surface park cosmetic bag . king bed comfortable flat screen tv work fine . one look - see bar first floor leave we shudder update cathouse decor -- enough red velvet sink ship . edgy , yes , go look merely dim date couple year . be still glad go , other comment , location great restaurant . 
 Dec 3 2007 	 Modern Hotel 	 good hotel . sheet towel high quality . room clean . staff friendly . kid like game room floor # 6 . hotel great location . decorate modern fine . other might problem . would go back 
 Nov 19 2007 	 great style 	 stay House Blues Hotel interested see change . room fantastic . especially large room large enough stylish large flat screen . hotel certainly departure normal beige . the hotel handy location , waterfront , Magnificent Mile Rush Division etc . breakfast good although Bin 39 good atmosphere . the price pay £ 135 / night cheap good hotel rate . 
 Nov 11 2007 	 yes Hotel Sax 	 stay Hotel Sax last minute original hotel overbooke . staff hotel take care disgruntle people put we ease right away . bowling alley adjacent hotel lot fun finger food tasty . bar downstairs really nice cool place relax . room pose issue hotel little slow attending , consider everything else , minor not really change attitude towards overall experience . 
 Nov 5 2007 	 Style Substance - - great Modern Style 	 recently remodel property . room clean , sparse . cute decor . great lobby hotel bar heart downtown Chicago . Love BIN36 , restaurant wine bar 's connect property . 
 Oct 22 2007 	 Best Night 's Sleep Ever Hotel 	 great location south end loop . problem walk Mile shopping , plus block theatre district catch show . surround fabulous restaurant fun pub . beside locale , hotel staff helpful shopping dining tip . room good part . good night 's sleep ever hotel . first bed pillow heavenly . blackout curtain allow we sleep fun night town , room quiet not hear hallway neighbor noise . use Airport Shuttle express service hotel ease . definitely would stay . 
 Oct 4 2007 	 Hotel ` ` Slax '' 	 stay House Blues past anxious see Hotel Sax do makeover . hob funky Hotel Sax remain funky , decor cheap uncomfortable seem do shoe - string budget . dark hallway faux - candlestick tacky wallpaper Disney 's Haunted House feel . room seem like product rush & quot ; Trading Spaces & quot ; & quot ; & quot ; show massive change make short amount time small amount money . gaudy decor aside , bellman valet friendly inappropriately casual ( & quot ; thank , man & quot ; & quot ; thank , dude & quot ; response we ) clean staff miss broken glass front room drop tray neighboring room . room , large ( suite ) border elevator noise movement nonstop . lobby full case crystal stemware . unusual , lends crystal department retail store purpose unclear . point glass ? Chicago many beautiful hotel , would suggest stay someplace else . 
 Oct 2 2007 	 Swank Hotel Sax ! 	 Beautiful , swank hotel friendly staff . convenient location - walk distance Museum Mile shopping , Millenium Park , etc . mini bar & amp ; room service reasonably price . crunch gym location basement . be also great wine shop next door - sure visit ! Valet parking overprice - much less expensive parking option street level . substantially overbille & amp ; minor heart attack , staff personnel quickly resolve . visit House Blues , though initially intend . 
 Sep 8 2007 	 Hotel Sax great experience location 	 Hotel Sax one good location Chicago . half block Chicago River many room partial river view ( mine . ) couple block Magnificent Mile , couple block Merchandise Mart , surround many good restaurant city . walk place would want visit . recently renovate hotel modern luxurious furnishing room huge comfortable . great bed , large bath , huge plasma tv , window actually open let fresh air . internet room free wifi lobby . love fact floor elevator tv wall watch wait elevator . lobby lovely include reception desk front glass cabinetry fill beautiful crystal piece . front desk personnel friendly efficient concierge helpful . bellman . staff hitch reservation agent speak phone friendly helpful . complain survey receive leave hotel , manager prompt writing apologize promise remedy situation . lobby bar , Crimson Bar , .... red , red , red . huge decorate like luxury bordello . many private comfortable seat area sofas , large chair , etc . also , long bar friendly bartender . restaurant bar menu . try restaurant lobby call Bin 36 rather disappointed . loud , crowded comfortable . food cook request efficient gracious waitress say 's , reluctantly offer take back . note hotel survey since dozen great restaurant within easy walk distance hotel ( include several within two block ) , would reason return Bin 36 . , manager apologetic promise make well . overall , love hotel highly recommend . everything within hotel well do , beautiful comfortable amenity excellent . location ideal . get good rate stay . definitely stay . 
 Sep 4 2007 	 great location stylish decor 	 stay get great promotional rate online , otherwise not know could afford . lobby room stylish luxurious , lounge winebar next door . staff helpful friendly . 's easy get around , step outside be river nearby El . complaint parking , obscene $ 40 day ! 
 Sep 1 2007 	 kidding Right ? 	 stay hotel many time House Blues ( Loews ) , Lets say new company hit mark redo . thing think well flat panel tv 's room . decor awful cheap look ( maybe get great deal Ikea ? ) lobby white cold feeling ( ' m sure feel even cold winter ) . new lounge good . paparazzi wall ? know feel like star sit front . lol lounge staff zero personality , think bother order drink . staff remember time past Rico Wayne ( Doorman ) Catherine ( concierge ) three remember brite spot stay . not think stay again . P.S . anyone know staff old ( Kazbar ) lounge please let know . good . really hurt place leave . 
 Aug 28 2007 	 second stay loved ! 	 second stay hotel great ! bad thing ask & quot ; turn & quot ; service , come 10:30 pm ! already asleep ! ( kid , say ! ! ? ) come next night early & quot ; turned & quot ; bed treat ! expect little something review , nothing ! mint jellybean ! kid think turn service stupid ! ( agree ) anyway , hotel nice remodel clean . even ask micro wave bring we one right away . drawback parking . $ 40 day , lot right across street $ 15 day . Wish would use one spend $ 30 instead $ 80 ... come snatch car right away think thing . car never leave lot 3 day , really could park across street . room nice clean large . really fun stay right downtown . walk Michigan Ave . easily . enjoy kids thought & quot ; high class & quot ; even robe we wear , fun ! 
 Aug 24 2007 	 great location interesting place 	 friend stay one night . choose hotel 's next House Blues , be lazy . perfect location HOB wander Michigan Ave , Navy Pier , etc . throw lobby -- not sure hotel . staff encounter include front desk , housekeeping , valet exceptionally pleasant helpful . able check early always nice -- expect store bag day . room unusually decorate fake snakeskin wing chair , jewel toned upholstery LCD panel tv . complaint weak in - room lighting . shower head big dinner plate like take shower heavy rain , good way . would stay ? yes , be exactly thrifty option . 
 Aug 24 2007 	 Unique hotel great location 	 stay Hotel Sax convention town really enjoy stay . know hotel look like really great job ! ( almost feel like W hotel ) guest room stay huge comfortable , great amenity . helpful employee great ambiance , great location . thing dissapointe food come room service department . order breakfast pay $ 23 mini box cereal , small pot coffee banana bruise throw . hope stay town business . 
 Aug 3 2007 	 exciting cool Hotel Sax ! ! 	 stay nine enjoyable night Hotel Sax . House Blues center . hotel completely renovate new ornate ultra modern Bar / Lounge next front desk something see enjoy ! ! unique ! hotel close everything downtown World famous Michigan Avenue Shopping also within walking distance . restaurant , steakhouse ( Harry Carry 's , Mortons , Sullivans , etc ) within walking distance . Great Full Service Gym connect Hotel . staff friendly . concierge set private room Smith Wollensky ( sp ? ) steakhouse property . hotel give feeling stay exciting , unique modern hotel near everything Chicago ! 
 Aug 2 2007 	 Great Hotel Location ! 	 business / pleasure fantastic stay ! tell prior booking , lobby finish renovate ( smell great ) . problem . staff gracious kind friend . lounge downstairs excellent modern place relax good time . I stay cabin room small fit perfectly . would stay room one person would someone comfortable . room someone want privacy roommate . location great . short walk shop Michigan Ave . also walk Navy Pier . quick walk ( 20 - 25mins ) defiantly nice walk want see sight take time get there . House Blues , bowl alley lounge , jazz club etc ... plan stay ! find good rate orbitz via kayak.com . 
 Aug 2 2007 	 enjoyable stay 	 stay 7 woman bachelorette party . room average although bathroom big flat screen television fun room special high price . find hotel staff helpful , kind , friendly . location pretty good , perfect be go event House Blues . probably would stay without deep deep discount . 
 Jul 24 2007 	 fab plus 	 can not say anything bad hotel . staff fabulous , room upgrade suite . see standard room , good size . room service menu expensive , consider heart Chicago . truly great hotel good pricing , since renovation , book raise price . 
 Jul 7 2007 	 swank really bank 	 good part hotel staff . nice informative friendly . really wish say good . room service practically robbery limit menu outrageous price actually get , mention not item want settle something else . phone book room one two thing : 1 . call concierge get number charge $ 1 , ( not tell ) 2.get internet service room turn $ 9.95 ( find stay connected 3 p.m. ) went get ice machine not work floor go one floor one not work either . the bar charge 150 chapagne noticed brand liquor store probably 100 dollar less . location great room nice thing expect regular hotel miss posh place . think overall fundamentally well . 
 Jun 29 2007 	 need work quick . 	 use stay House Blues Hotel . really like even though teh room small really convenient people nice . lobby big cold white , invite . room still small , weird purple gray color minimal ikea kind furniture . people recognize last stay bellman . still great , seem hotel tell long allow temporarily park car next lobby . pick rental car Hertz go visit customer west . want run room check email gather thing , maybe 45 minute , put car garage . well , people start show show House Blues zoo come car . cost lot , take half hour get . almost late dinner . look like change bar , , bad . '' appear open yet look like go really loud , pretentious kind club . sure business people go react . quit stay Hyatt loud club . oh , price seem really high something still finish , . 
 Jun 27 2007 	 BEST CHICAGO 	 hotel fabulous ! regular room small side suite wonderful . husband celebrate anniversary HOB ..... great time ! kaz bar great drink superb service . not recommend family w / small child . 
 Jun 5 2007 	 nearly ready prime time . avoid . 	 House Blues Hotel undergo change last five month . call HOTEL SAX , yes , 's saxophone , play eye ? place problem : front desk currently fourth floor 16 - story 353 - room building . get pain . 's one work elevator whole place ! one elevator 353 room ! management decide keep place open renovate everything . disaster make ! stairway lead construction zone rope public . dust everywhere . movie channel work . newly renovate room still relatively clausterphobic far tasteful House Blues & quot ; style & quot ; ( lack thereof ) . still , someone fail homework . tiny desk chair sweat back something terrible ! wireless Internet . wait , maybe will ready primetime . meanwhile , think 13 clown VW Beetle , will know pain . 
 May 30 2007 	 good hotel - construction 	 great stay choose hotel concert plan HOB . room nice , little sparse amenity , comfortable beautiful large window look Chicago . hotel live rock roll image - dark hall , disturb sign aplenty , considerate housekeeping not bang around hall morning . imagine get loud late - night ( although issue noise ) warn . hotel new management ( soon Lowe 's , believe ) lobby speak . bit bummer since could not hang hotel bar show . ' m curious see change new management . 
