cool 	 enjoy 2 night ' theatre break ' City well pleased choice hotel . benefit greatly refurbishment enjoy ' upgrade ' check - in . beautifully appoint room , ( view onto back church not view ! ) nice sleek minimalistic line . pleasant staff . get good deal website booking find location ideal - easy walk Covent Garden Theatreland . 
 May 13 2007 	 convenient 	 room fine , sufficient space , window open ( ! ) & amp ; nice set - up make tea . bathroom tight , & quot ; moody & quot ; toilet . hotel convenient : walk distance tube , plenty transportation & amp ; restaurant choice . first & quot ; full English & quot ; breakfast terrific . hitch get coffee & amp ; tea order place . staff helpful friendly . hotel make good base touring city . 
 Apr 25 2007 	 good visit family 	 stay weekend 13th April , little concerned reading review , whole weekend go really well . staff polite time , well experience 4 star 5 star hotel . decor traditional , tidy . room clean , everything work ! ! ! bed comfortable . two small child decent single bed , feel safe room hotel . although front , turrete room , first floor , road noise fine , sleep well . fresh milk easily available staff helpful ! ! breakfast extensive , fresh well present . one moan- coffee instant - ground- tiny isue correct Pret manger ! definately stay would recommend anyone family go show ! ! thank Thistle Bloomsbury- super experience . 
 Mar 31 2007 	 Awful Hotel - Stay 	 hotel give we disgusting , filthy room . tile bathroom break bed literally hard rock . four star hotel - like one star hotel . furthermore , staff incredibly rude refuse help complain room . save money headache - stay hotel . 
 Feb 24 2007 	 good size room London 	 hotel convenient . easy access transport feel safe night . room good size London hotel . tv wall right end bed , mad uncomfortable viewing . public area hotel clean well present . 
 Jan 26 2007 	 great location average hotel 	 hotel excellent location British Museum major London site , also convenient public transport . entrance lobby bar area nicely decorate . however , room ( one stay least ) pretty date not get much light , although clean quite spacious . breakfast good somewhat overpriced . 
 Jan 10 2007 	 Good Underrated Overbashed Hotel ! 	 member school band trip London New Year 's parade enjoy stay much . first notice hotel 's great location near many attraction . second , front desk staff accommodate deal issue regard room room assignment . room ready us 5 1/2 hour regular check - in time ! room stayed well keep clean bathroom well odd - sound perfectly work air - conditioner get roommate 's room warm cooler whenever need . elevator 's work well appear newly renovate least new . negative stay inability get wake call time ask room smell slightly smoky , many establishment central London . overall , band 's six night experience Thistle Bloomsbury positive would hesitate stay future visit ! 
 Jan 8 2007 	 fairly nice hotel good first time London 	 stay hotel past August 2006 first time London . start location , great since walk distance alot attraction tube station . place like British Museum , Oxford Street , Soho , Covent Garden , theatre district several restaurant shop . must mention ' easy cafe ' good price internet access Tottenham Court Road . also near tube station like Holborn Tottenham Court Road . room basic european style . travel sister time , 2 twin bed good size 2 people . bathroom okay seem need refinish , like tile light . importantly spotless clean . one thing though , toilet need alot energy flush . maybe since toilet England not waste much water , ' m use North America . guess good thing . one thing enjoy include buffet breakfast hotel . food good arrive early , around 7:00 - 8:00 . usually standard breakfast fare , sausage , egg , bean , tomato etc . tire well worth long day tour not eat while . the issue hotel , second day door would not lock . hotel staff glad change we another room even deduct phone charge inconvenience . room move , location terrible . since 1st floor face street . look window see people double decker bus closely extremely noisy evening due nearby pub . overall , good stay Thistle Bloomsbury especially since first time London . definitly recommend first timer travel . 
 Jan 5 2007 	 tiny overpriced room 	 stay overnight two - day training couse . location convenient , first impression , hotel look impressive , nice reception area lounge . check - in breeze , eventually locate single room rabbit warren corridor , shock much charging give size room . barely room turn around , room service order arrive , awkward waiter get past room could set tray down . my food ok , burger order slightly underdone middle , whole thing smell bit stale fat ( seem theme Thistle hotel - see review Thistle Barbican ! ) . cheesecake make though ... food way , settle comfy bed read complimentary newspaper watch tv . room comfortable nicely furnish , bit chintzy . however , wake several time night , partly strange noise water pipe , partly rowdy people street behind hotel ( admittedly hotel 's fault ! ) .I not breakfast hotel next morning , can not comment . overall , bad stay , expensive get . much well thistle barbican though ! 
 Jan 4 2007 	 horror 	 work 17 country attorney , Thistle Bloomsbury truly unique experience . Booked hotel agency train station , put room ... kid ... ceiling fall . water stain piece fall corner room chair . question , manager advise & quot ; many room hotel management not chance check & quot ; . translate American , would mean couple week take water damage ceiling dry start fall , one management see hotel room . sad really . this second try , first try send room actual basement , elevator , nothing , steep flight stair basement suitcase . make want weep . dirty scuffed wall , peel wallpaper covering , kind permanent stain rug . sense despair trap . advise front desk fall plaster , get ( suggestion ) upgrade well room . say lightly , bad hotel encounter anywhere European Union . if must try Thistle experience , one near train station ( Charing Cross ? , not remember ) far less depressing . Paul . telcohr @ mail.ru 
 Dec 21 2006 	 Loved hotel 	 stay hotel last weekend love . great location , staff friendly helpful . room fine - room 527 . porter , particular , absolutely brilliant - great sense humour - believe hard - ' ve work Reception hotel - , helpful . bar staff also great good laugh . eat hotel restaurant first night meal one good ' ve hotel - great price wine fab . definitely back . 
 Dec 8 2006 	 not think bad ... 	 get great deal stay 2 night via Priceline . admittedly , spend much time hotel room . staff accomodate let check little bit early . room adequate size . spend day explore really return home sleep / shower / change , suited purpose fine . location great far Underground . price , think great value . 
 Nov 29 2006 	 Low Expectations confirm 	 first hotel ever book Priceline , feel dupe . Priceline confirm reservation hotel name heart sink . ( read previous review hotel . ) nothing could reservation , hope well . before leave U.S. , send e - mail follow faxes hotel front desk staff legitimate question , one ever respond . could not get re - confirmation room reservation prior departure . the Thistle Bloomsbury Hotel locate Bloomsbury Way , bus stop directly front hotel . bus # 38 run Victoria Station hotel GBP1.50.The room assign we fourth floor view , scaffold neighboring church . clean two twin bed lumpy mattress . white comforters sheet spotless soft mushy bed pillow extra pillow armoire . I feel like 1945 : two original separate hot cold faucet bathroom sink . swing cup hand back - and - forth mix hot cold water ! aggravate say least . bring electrical converter adapter , husband 's electric shaver would not work one wall socket . maintenance man try get shaver work , avail . ( room in - room safe break replace one working order . ) water pressure excellent shower , & quot ; tepid & quot ; chrome water heater unit towel place . breakfast include room rate $ 148.the room quiet night , hear hotel guest . floor & quot ; lobby & quot ; staircase elevator ( 2 ) locate . lobby , pass door 1/2 glass ( see oncoming traffic ) , lead 1/2 glass interior door depend upon room number . door may factor keep noise level down . this hotel locate next church , undergo exterior cleaning ( power washing ) , go day 5:00 p.m. ( would stop back hotel day assume power washing noise may constant . ) decor long past prime - believe Victorian . may grand hotel one point time . however , location excellent visit British Museum , around corner . the Holborn Tube Station close station hotel , 5 - 7 minute brisk walk - convenient . this may grand hotel past , drop moniker 4 - star hotel . good part stay hotel concierge , Salvatore . class act , , fact , compensate hotel 's shortcoming . unfortunately , be retire December , 2006.We recommend hotel . 
 Nov 20 2006 	 far 4 - star experience advertise 	 have hear great thing Thistle chain friend , look forward stay glamorous 4 - star rate hotel town see show . review say , location pretty good theatre , fifteen minute walk save we get cab show . unfortunately , stay leave something desire . first , check put single room even though specify double , go change room clerk act like big inconvenience . get correct room certainly long way four star . decent size relatively clean tidy , except toilet seat bathroom break . view , cable , frill . motel - standard , ordinarily would not complain , well disappointed bill luxury . hotel either need drop attitude low price , serious overhaul justify rating . 
 oct 9 2006 	 stay - would recommend anyone 	 pick hotel QANTAS Holiday book . talk FALSE ADVERTISING . room look nothing like brochure . suppose rank 3 star - like one . musty smell start leave small lift . smell room 304 disgusting . room small , dark , smell musty mouldy . fitting shabby bedspread carpet . bathroom tiny well light ( hide mismatch tile ) . hotel room next bar play loud music 2 - 2.30am . cleaner come 6 am crank music . will not get sleepthe window would not close noise music ( drunk closing time ) come - like sleep street . when go complain , lift door open empty pint glass lift - leftover bar suppose . book 7 night stay one . checked find another hotel across road ( ironically rank 2 star ) much well . the staff unhelpful suggest complain bar directly ! ! ! do not offer alternate room . could not wait till breakfast check ! ! ! ! ! ! ! ! ! ! ! . certainly taint first visit London . luckily get well check ! ! would not let mother - - law stay . 
 Sep 28 2006 	 Decent Hotel Decent Price 	 book room via priceline bid . stayed 5 night . basically , get pay . check , ask internet terminal locate tell not one . later find . 2a.m . check - in , receive wake call 6:30a.m . 6:35 a.m . neither request . room clean , smell similar urine time . definitely ask & quot ; quiet room . & quot ; wish . street outside incredibly noisy ; heavy traffic people singing shout throughout night . day concierge incredibly helpful professional . evening concierge exact opposite . be well find thing ask evening conciergemany restaurant nearby close early , find 2 open later worth mention . excellent greek dinner Konaki equally enjoy indian dinner Chambeli . highly recommend . overall , would recommend hotel not look frill . definitely 4 star hotel ( compare US standard ) , one well deal London . room clean staff polite helpful . Felt safe hotel surround area . 
 Sep 12 2006 	 well offer we cosy room .... 	 ' often read review Trip Advisor think ' ' fussy ' ' bad thing happen ' . realise lucky , truth ' do lot travel thing complain about….then come stay Thistle Bloomsbury … .The customer care Thistle Bloomsbury dreadful . particularly disappoint booked stay London birthday ; husband father dinner go mother book theatre ticket . we arrive hotel 3 pm greet ( reluctantly ) gentleman reception . advise room " yet ready could please wait " . wait fifteen minute offer refreshment , queue reception . time speak young woman behind desk . explain yet eat lunch nearly 3.30pm would like check , leave luggage reception go afternoon . duly go check - in procedure , bag tag left afternoon . we arrive back 6 pm greet gentleman reception , mumble need speak somebody else ask wait . another fifteen minute pass still sign anybody . eventually , duty manager turn tell experience ' book error ' system . basically mean single room available . disappointment disaster , least bed night – thought ! transpire expect share single bed ! two single bed four adult . husband 6Ft , way would slept wink . even receive reduction room rate , tell would give discount next stay ! ! ! ! ! ! time , go 6:30pm mother less hour get shower change travel theatre . ask duty manager could book we another room alternative Thistle hotel single bed acceptable . patiently explain run time need least shower evening . offer we hotel near Euston station would fine 3 pm go 6:30pm enough time get , get change get back Covent Garden theatre . tell insist stay another hotel could use facility Thistle Bloomsbury . want quick shower ! battle duty manager another ten minute finally relent allow mother get shower one single room . husband father sort luggage check we alternative hotel . the actual result okay ; stay nice hotel near Charing Cross . real problem really fight already pay . tell 3 pm error , instead ' check ' , would plenty time make alternative arrangement would perfectly understandable , mistake happen . lack communication frustrating ! even arrive 6 pm hotel immediately call taxi we , take we alternative accommodation , would ok . acceptable wait around , haggle suggestion four adult happy pay nearly £ 200 share two single bed . would book room simply complete lack customer care . 
 Aug 14 2006 	 like stay Grandma 's House 	 stay saturday night , be really nice . nothing like Ritz . room 215 , narrow room , probably 10 ft x18 ft . wallpaper , floral comfortor rufffle pillow atmosphere . bed small ' m use cozy comfortor . nice vanity desk area decent TV ( although news channel . ) bathroom great date fixture , towel warm , hair dryer fixing . reception super nice helpful neighborhood . Holborn tube 10 minute walk , neighboorhood nice . overall like last night London ( Heathrow next day different story ! ) 
 Jun 30 2006 	 charming old hotel great location 	 two we stay 2 night June 25 - 27 , overall quite satisfied hotel . Bid Priceline pay $ 110+tax per night , come $ 134 total . best point : LocationFriendly , efficient staffminuse : room small sideroom might equip 4 - star amenitiesWe arrive around 11 am try see could check , not surprised tell would wait till 2 pm . able leave bag concierge , come back around 5 pm , room ready we . Priceline guarantee room two twin bed , hotel tell call win Priceline bid , show , tell we & quot ; Double Deluxe . & quot ; first room give , mistakenly , twin room , soon go back desk , give double problem . get Priceline attitude anyone , staff ( 3 desk staff 2 concierge ) deal friendly helpful . check - in check - out breeze , also problem we leave bag one night have already check . however , since reception desk small , ever see one person work time , imagine busy , could wait . room small U.S. standard , terribly cramp . small loveseat well desk chair . window wide sill , put one suitcase , another floor front closet . bathroom older completely without evidence , imagine U.S. customer displease , fine . bathtub deep enough take nice bath , although shower work odd way take moment figure . ( order adjust temperature , adjust bathtub faucet ; make shower hotter , turn cold water bathtub faucet divert cold water away ! ) air - conditioning work well , although noisy side . the television small , probably 13 - inch screen , station ( probably 5 terrestrial one ) , not London watch tv not really care . clock , true three hotel stay England . internet available room laptop , make use bt pay internet machine lobby instead ( 1 pound every 15 minute , although go world , find internet cafe 1 pound buy 1 even 2 hour time . ) supposedly way set tv alarm , never need make use . ( could also get wake - up call ask . ) iron ( fairly old ) build - in hair - dryer . mini - bar room , big deal we . bed firm quite comfortable , use sleep without topsheet ( european custom comforter ) , hot first night ( turn AC second night ) . pillow also quite flat ( another thing seem common England ) , sure request extra pillow need . room quiet night . as other comment , old hotel . outside could good cleaning ( brick look grimey ) , part common area fade feel respect condition carpet etc . , although second day , replace part stairway carpet . however , also certain charm -- be nicely furnish sit area around reception desk , stairway chandelier - type light . location really convenient . 5 minute walk less Holborn tube station Picadilly ( blue ) line ( line go Heathrow Airport ) well Tottenham Court Road tube station Central ( red ) line . hotel easy walk heart Soho , well block away British Museum . all , think good deal pay one busy time London ( first week Wimbledon ) , even though admittedly low side 4 - star range . come back London one night away , get Cumberland Marble Arch , superb ; think have stay Cumberland Hotel first come Thistle Bloomsbury , would ' ve let , first hotel experience London , pleased . 
 may 26 2006 	 Charles Dickens sleep 	 , Charles not sleep , think Thistle Hotel group might inherit mattress use room 223 , give advanced age lumpiness . overall though , thistle clean , secure , convenient pie - a - terre time London . yes , be probably due renovation , get past dirty facade ( nothing good sandblasting would not solve ) odd patch duct - tape hallway carpet , feel good value price pay . part package deal , be hard say exactly pay Thistle Bloomsbury , probably work $ 150 per room per night . represent excellent value , base previous experience London Hotels . our room , bathroom walk - in closet ( ! ) spacious english hotel standard , feature convenience daily newspaper , coffee , tea cookie , iron trouser press , safe , even heat towel rack . room keep scrupulously clean well present cheerful maid service . rest staff not exactly radiate warmth charm , unfailingly polite efficient . the entertainnment option not much north american standard ( five tv channel plus radio alarm ) whole city London , ( west end ! ) doorstep , last thing worry . be five minute walk Leicester Square , even short walk near tube station . our rate include daily hot breakfast lobby restaurant . consist decent range hot cold breakfast item , serve buffet style , great start long day sightseeing . choice not vary much day day , food always hot , plentiful decent quality ... London restaurant price , significant saving eat breakfast . eat big breakfast 7 am , seldom feel need eat another six hour ! go rate hotel & quot ; neutral & quot ; consider value receive price pay , bump notch & quot ; average & quot ; . travel peak season rate , pay rack rate , might little less enthusiastic . so , people Thistle Hotels spend pound spruce property replace saggy old mattress , will back ! 
 May 17 2006 	 nice old hotel 	 nice old hotel . yes , could benefit update it´ generally fine condition . tell formerly elegant hotel still retain sense . nice hotel stay London $ 140 / night far . room large London standard ( would still bit small american first time visitor would likely expect ) room ( 225 ) even walk closet . room public area clean . mechanical problem stay . they reasonably price room service menu breakfast bring room add´l 3 pound fee ( assume already include rate , rate include ) . breakfast buffet restaurant plentiful good . find staff friendly helpful arrange babysitter short notice . hotel great location near British Museum shopping street . downside front lobby stroller accessible must go short set step . hotel staff always helpful case . 
 May 5 2006 	 great location poor hotel ! 	 good thing hotel location - right near Oxford St conveniently place theatre . , hotel nothing go ! stay one night enough put ever return . single room dark , dusty ( could see big clump stick wall ) extremely shabby . rip wallpaper hanging wall , mysterious mark ceiling tired , 1970 style furnish . view back hotel - terrible - lot industrial type fan etc curtain grey pollution presume . I specifically ask wake - up call check never occur breakfast huge disappointment late ( order room service ) - obviously sit somewhere kitchen long bring youghurt juice thick ' skin ' float top . fruit salad warm straight tin , hot chocolate cold . could barely touch expensive price , expect MUCH well . a huge let - down , avoid cost ! ! 
 Apr 29 2006 	 clean 	 first read review post Thistle Bloomsbury alarm try cancell reservation get thru Priceline could . pleasantly surprised . room clean , towel fluffy , bed clean comfy . staff great . call ice time weere minute ! nice little bar , eat retaurant order room service tasty . little shabby public room american 4 star . view window bit dingy quiet location beyond reproach . around corner everything , restaurant , cafe , pub , Covent Garden , Britsh Museum , West End . delighted busy touristy area like Marble Arch . get great deal $ 90 night Bloomsbury covenient ! bus doorstep ( literally ) short ride Harrods , Knightsbrige , Hyde Park Kensington , tube short walk , prefer get day bus pas $ 6.50 hop & amp ; . near cool stuff , Tower , Westminster , Big Ben , Parliament etc . yet distinclty quieter stroll Russel Square etc . never leave 4 block radius dining Pubs lovely safe area beautiful edwardian building . lobby cozy , grand , fireplace light could get coffee service . also inexpensive internet access machine . staff excellent . warn London expensive . would go back heartbeat . note : say coffee maker pot heat boiling water . supply assorted tea , coffee , sugar , biscuit etc . room . also iron iron board room . supply citrus scented toiletry , shampoo etc nice bar soap . bathroom decent wall mount hair dryer . 
 Apr 3 2006 	 good deal ! 	 good hotel get reasonable rate . helpful staff change errorly book twin room normal double room without hesitate . room spacious , shower bath fine . be really one might call modern design , really cosy clean . shortly : absolutely nothing complain . 
 Mar 23 2006 	 great deal price 	 not expect 5 star hotel , will not disappoint . location alone make worthwhile . hotel could use work , especially hallway . room stay good sized ( european standard ) , clean comfortable . staff helpful , problem room ' tv fix immediately . ' breakfast include deal ' eat , plenty nearby cafe coffee shop reasonably price . overall , good experience would stay . 
 Dec 26 2005 	 terrible 	 hotel price range much well . tell four star like four star stay UK . room overlook major road , ' stick ' bit double glazing offer noise prevention . bathroom desparate need repair - bathroom panel rot place patch ceiling . cleanliness real problem - headboards filthy crushed biscuit behind door last occupant . I want visitor UK think usual standard hotel . just know standard room , executive . perhaps decorate clean ? 
 Dec 13 2005 	 great location ... 's 	 look spacious room right near theater district reasonable price , Thistle Bloomsbury . thing care , read far . if care thing like work toilet hotel look like update since WW2 , probably right place . one particularly comical scene wife start scream side tub fall reveal never - never land dusty soot - cover pipe . learn experience unaware point tub ever manufacture anything one piece . laugh- although throw head back laugh unfortunately see crumble ceiling sure would fall everytime sink . report tub calamity front desk go evening one 's surprise , nothing . problem include charge 50 pound breakfast do not eat demand movie work . still , least get funny story . recommend : cheap accomodation heart LondonNot recommend : honeymooner , people without sense humor , people demand top - notch service posh surrounding . 
 Nov 26 2005 	 tired 	 happy Bunny . I stay 1 Night daughter . room ready 1300hrs . this typical chain hotelthe room circa 1975.only one lift working stay . and room ( 421 ) much need make over . the window dirty pointless look they . the shower ' work . the tv welcome message unreadable due tv turn in . the carpet land outside room repair GAFFER tape . the staff pleasant feel work odd build state in . please thistle sure well this . I give Bloomsbury miss next time 
 Nov 13 2005 	 hotel available ... 	 old hotel , greatly need renovation due unacceptable amount wear tear 4 * property . hot cold running water 1 hour Saturday morning due & quot ; hotel fully occupy lot people take shower time & quot ; ( accord message tv screen - barely legible , tune properly ) . water available , temperature shower swing freezing scald without warn . experience poor service front desk checking ( take 20 minute receptionist come correct bill ) . two stranger ( hotel staff ) walk room without knock separate occasion . quite probably great atmosphere moon hotel bar ( poor service , ) . positive point hotel ' location Oxford Street . however , hotel area good location , ' really much go . 
 Jun 27 2005 	 really good value money 	 stay hotel 1 night pleased room allocate . bed really comfortable , crisp clean linen soft clean towel bathroom . room also iron iron board plus . breakfast one well one experience London staff friendly helpful . hotel great location , short stroll near tube Oxford Street . agree review comment hotel could benefit little redecoration , London hotel adequate . would recommend hotel anyone look good value money . 
 Apr 4 2005 	 Fair value money 	 spend 2 night 2 adult 2 kid 2 room April 1st 3rd 2005 . book londowntown pay rate 97 pound something per room night incl . breakfast . the hotel locate conveniently near Covent Garden / Soho / Brithis Museum . Bloomsbury Way lot traffic however room orient back yard ( ugly ) pretty quiet . not think room face street use , window cover grime look like not open clean year . the hotel okay - especially price pay - , however prejudice might english grubbyness confirm . general hotel lack attention detail . carpet threadbare place ( bar , stairwell ) , lay unprofessional manner ( simply cut strand thread show edge ) - signpost miss number letter ( e.g . & quot ; non .mokin . .loo . & quot ; ) , door squeaky . carpet around hotel dire need vacuuming . generation dust form edge along corridor well room . behind bathroom door could find inevitable fluff curly hair . mattress quite new soft esteem . with right process little effort problem could fix easily - plenty staff around could job someone tell to . the staff especially restaurant concerge helpful attentive . have pay official rate 250 pound per night , would raise hell - however since excellent rate London standard content price / performance ratio . kid like electronic elevator voice announce & quot ; door closing & quot ; etc . perfect Oxford English could sample Queen 's parliament opening speech . 
 Mar 21 2005 	 Lovely Hotel Fab Staff Perfect Location 	 stay hotel three night 17th March impressed . agree review indicate good three star hotel , oppose four star , hotel need redecoration , room lovely ( even though mezzanine floor little natural light - perfect get disturbed light flooding window 5 am ! ! ! ! ) clean tidy , one comfortable bed ' ve ever sleep - bed home include ! ! ! breakfast selection good , although appeared capacity problem sunday morning , not spoil weekend . hotel perfectly situate planning vist theatre , specifically & quot ; woman White & quot ; 5 min walk away . Leicester Square , Piccadilly Covent Garden within 10 - 15 min walk away , Oxford Street round corner . all , lovely break would recommend hotel wholeheartedly . 
 Mar 9 2005 	 would definitely stay 	 stay Thistle Bloomsbury 4 night mid - February . room double executive , feel quite good size central London . ensuite bathroom enormous immaculate - problem rather noisy power shower . room also clean tidy smudge mark ceiling near ceiling fan . perhaps due fact off - season , noise hear outside room occasional slam door guest room . I trouble communicate staff find helpful arrange early - morning taxi . dinner service restaurant quite slow otherwise pleasant ; take breakfast hotel restaurant comment service . the location hotel extremely convenient - block holborn tube station Central & amp ; Piccadilly line , bus route Oxford Street ( stop hotel ) , walk distance Covent Garden British Museum . base overall experience , would choose stay Thistle Bloomsbury , especially could match great off - season rate able get . 
 Mar 8 2005 	 great location great bathroom great Bed 	 review read , leary , place great ! great price room , though cabbie overcharge we get airport hotel . bed wonderful bathroom quite large . America expect thing open 4 morning , nice able stay late bar downstairs lobby order room service , say 11 pm . , receive mixed review stay Soho , great spot . boyfriend able walk everywhere want go . record shop , clothing store , club , pub nearby . staff delightful guest meet . certainly give place chance ! great location . great bathroom ... big see Europe . , bed , not first time London , would never leave . 
 Feb 17 2005 	 4 star still pretty good 	 reading review Thistle Bloomsbury , really bum . particular concern comment room clean . thistle come cheap choice trip London crossing finger , book hotel anyway . honest , 4 star really 3 star . wallpaper peeling / scratch window dirty . rest room bathroom absolutely fine . room quite clean , nice towel warm bathroom water pressure shower great . , 4 star definitely ' expect boutique hotel style design pay feel get good deal . and complain staff speak English fluently , well , EU member country England prime choice people learn English . quite common especially service industry . personally not problem communicate staff . in short , ' say , great value , great location , great service . 
 Feb 12 2005 	 Perfect short break 	 family ( , wife son 5 8 ) stay family room . close king x station , British Museum round corner close West end attraction . also fact Bloomsbury relatively quiet area , make pleasant stay . the Hotel really fine , clean Consierge staff helpful . breakfast great would certailnly stay . people want Ritz , prepared pay Ritz price stop complain good hotel . 
 Dec 13 2004 	 Christmas present ! 	 spend excellent weekend London courtesy Thistle Bloomsbury . Booked Executive twin room three night , arrival tell Exec twin take upgrade suite extra charge . room spacious , clean , well equipped , quiet , comfortable decorate warm eastern style . check - in staff friendly welcoming , breakfast well present despite limited space staff work hard keep table available . seem like stay different Thistle Bloomsbury other comment hotel . negative ; smell tobacco smoke public area , guess cure smoking ban bar restaurant take effect next year current renovation church next door give entrance run - down look . definitely go back . 
 Nov 30 2004 	 oh anecdote hotel give 	 hotel earn unenviable prestige ' the bad hotel ever stay life ' ? ( ' ve pretty terrible one , include one Majorca nickname ' the cave ' ) . well let us see : * bathroom horror . deceased arachnid , toilet would not wish bad enemy bath apparently never see clean . get wash sink 's touch anything . * toilet hang wall , light fitting . * door not lock , force wedge chair handle . * feel uncomfortable hotel staff , especially one man insist walk door make sure could get keycard . try step inside room . * keep awake night strange singing church opposite ( think ) . colleague not know make , spooky also intrusive . * exceptionally difficult make oneself understand receptionist , good , disintereste bad , plain rude . this hotel like something bad b - movie . not late check , colleague would check right . would never recommend hotel , never stay again . the plus point ? give lot story tell world 's bad hotel . 
 Nov 15 2004 	 absolutely bad ! ! ! 
 Aug 23 2004 	 peel paint bathroom 
 Jul 16 2004 	 Lovely 
 Jun 10 2004 	 well expect - close everything 
 Dec 31 2003 	 nice old building .. 
 Dec 29 2003 	 dirty Shabby 
 Dec 22 2003 	 Good 
 Sep 10 2003 	 small Clean 
 Jul 14 2003 	 clean ! 
 May 12 2003 	 clean convenient . 
 Sep 30 2009 	 Muy tranquilo decorado con estilo bien situado 
 Dec 20 2008 	 Bella Posizione 
 Oct 22 2007 	 Einigermaßen gute hotel 
