good 	 second stay . £ 109 book late , day limited availability astronomical cost central London . as tourist hotel 's ideal location surround area bit drab . however , short walk West Brompton Fulham Broadway tube station 5 stop central London . different location would nice hotel . staff friendly efficient . room standard HIX . breakfast reasonable toast pastry , fruit , yogurt etc . surround area look dubious lot nearby restaurant include next door Turkish Vegetarian across road . allmost every type food within 10 min walk . try area around Fulham Broadway tube huge choice pub , Fridays , Starbucks , Nandos , supermarket cinemas etc open late . parking £ 25 per night . business trip use personally have look well price book ahead . otherwise , value alternative central London could good choice . 
 perfect choice look real quality standard 	 Though take time reach Oxford street West Brompton tube station , worth stay , forget ever stay creepy so - call 3 star hotel somewhere near Paddington . Holiday Inn really ok - one good hotel London ' ve ever stay - note never willing pay 70 pound / night 
 Oct 20 2008 	 great hotel not use hotel recommend taxi 	 back weekend stay Holiday Inn Express Earls Court . get hotel around $ 60 night Hotwire please price . room decent size warm clean . hotel , although central Oxford Street West end , 5 min walk near tube station ( West Kensignton ) around 5 stop main shopping district London ( Oxford Circus ) . room rate include free continental breakfast , offer decent selection food . staff also friendly helpful . however , word caution regard taxi company recommend hotel . quote £ 35 taxi hotel Liverpool St station , tell man reception standard taxi price would find cheap . decide price around first phone call local taxi firm ( Atlas Cabs ) manage get price £ 21.50 journey , third cheap hotel reception staff member quote . Atlas cab prompt even send we text message let we know taxi 's car make , model , reg number driver name . feel attempt make man reception hotel dupe we believe taxi firm recommend receptionist cheap ( viable alternative ) , fact , significantly expensive local firm . whilst great hotel look reasonably price accommodation London , would advise anyone stay hotel avoid use hotel 's recommend taxi firm instead , get quote journey local taxi firm . 
 Oct 11 2008 	 Great Value Hotel 	 could not fault stay Holiday Inn Express . room nicely furnish comfortable bed . room public area clean . excellent Continental breakfast include plenty choice item quickly replenish . hotel staff helpful pleasant deal . hotel busy road triple glazing room quiet . near tube 10 minute walk 20 minute London attraction . pleasant stay . 
 Oct 5 2008 	 good hotel price rip Taxi Company book hotel 	 good room , near tube good value money . clean . breakfast hard work plate bowl ok money . main problem may hotel fault however company use book taxi rip group off . the scam work like : go destination hotel case Pizza Express Clapham Junction . Arrive , taxi driver tell £ 30 's . say high . say hotel agree price . call hotel talk tell agree £ 30 be not . realise win situation probably attack not pay pay . reality person end probably ( hopefully ) hotel taxi 's control room friend . anyway , guess ? finish eat Pizza Express discover Clapham fact Battersea ! 10 min bus away . completely we . mention hotel . strange thing guy work front desk book , give name taxi company get driver name well bit strange , get regular update taxi would arrive . helpful maybe excellent customer service ? morning one part complain reception ( apologetic ) taxi journey log book booking ? way never know , always agree price first driver . would suggest use black meter cab fine ( £ 13 return journey ! ) . whether end right place final straw see warning sign driver ask we whether London ! good luck 
 Aug 29 2008 	 Great Place 	 search decent ( base tripadvisor review ) , cheap place stay London 3 nite month end early year . sheer luck timing , get great deal hotel via hotwire.com . clean , comfortable , quiet , excellent staff , awesome breakfast buffett , directly locate bus line . tube stop block away , oyster pass bus / tube usually hop bus get tube stop . location suit need perfectly . hotel staff encounter wonderful accomodating need . internet service hotel expensive , one front desk clerk steer we neighborhood internet cafe cheap . 
 Jul 11 2008 	 Best Value London / Amazing Convenient Comfortable ! 	 Earls Court great area tourist use Heathrow airport . quick cheap trip London 's Underground ... ( one easy , hassle free transfer get West Kensington tube stop ... fairly short ( 10 min ) walk Holiday Inn Express . ( hop bus 2 minute trip front door ) read previous review ... pay attention positive point make ! close tube right great bus line , bus every minute day . want walk Buckingham Palace .... probably you . the room supurb ( 2 ) breakfast wonderful , guest ( mostly tourist , like we ) nice , staff . would rate far well typical & quot ; tour & quot ; hotel & quot ; small compare huge hotel ... desk never swamp , ever line elevator / lift . above ... place SPOTLESS ULTRA clean .... Ice Machine Lobby ( rare opinion ) Big + although prefer side Earls Court ( east ) stay nice place .... next time ... will back Holiday Inn Earls Court . last point .... far well 4 Star tourist / tour hotel London . check ranking number TA consider much hard 1 , 2 3 star hotel break Top 100 .... amazing ( stay will understand ) 
 Jun 15 2008 	 good value London . 	 Piece cake reach -- take carryon Dulles Heathrow , tube straight West Brompton pleasant several - block walk . hotel impossible miss , 's modern - looking building neighborhood . lovely gritty location . helpful travel desk guy Heathrow tube stop sell we oystr card advise neighborhood little sketch , grow inside DC beltway feel almost home . day arrive great streetside market stroll around take , load little store & amp ; restaurant North End Road ( include convenience mart two tube stop hotel , late - night prepacke nosh & amp ; drink ) . nothing classy -- 's tube stop away -- nice time . hotel pleasant surprise front . modern room & amp ; bathroom ; internet access expensive joke 50p / hr couple door . breakfast nothing special highly serviceable get day start . Front desk staff friendly attentive -- fault throughout stay . room smallish , 's London ; worth pay . stay London pay , doubt would come back . pleased . 
 May 24 2008 	 Great Hotel far central London 	 nice modern hotel , far central London . staff helpful time . travel time central London Hotel long get international train station . time spare good choice . breakfast ok coulf selection basic contentinal spread . Family college kid USA . 
 May 8 2008 	 Great Hotel 	 great budget hotel . modern room , helpful staff . we arrive early first leg stay . staff store luggage without hesitation , let we drink coffee lounge / breakfast area . initially book we twin , ask double , give smoking room . bad smell , get use smell , help staff member spray air freshener room . however return 2 week later book disabled room , fet bit hospital like . good continental breakfast . great location , close tube station . little pub 500 m away serve great inexpensive traditional english meal ( 2.99 gbp ) . 
 Apr 13 2008 	 cheap cheerful : ) 	 book cheaply ( £ 75 night family room ) lastminute.com room suppose non smoking , unfortunately smoke room family 4 stank ! hotel unable move we full . area around smart , however 8 minute walk west brompton tube , step around dog mess . try kensington station late night extremly busy everyone empty pub . Breakfast ok , 9.30 everything run low ask tell would put , next day go early ! ! overall get pay ( compare london rate ) room apart smell adequate clean . tube / bus easy comute central london , taxi cost £ 20 covent garden . staff pleasant enough , free continental breakfast . 
 Apr 3 2008 	 great little hotel ! 	 recently return trip London Express great choice . 5 minute walk W. Kensington tube close many decent pub . ( enjoy famous 3 king Goose ) good part see ' real ' London ; often Americans area pub . although be outside city , two stop Kensington Hyde Park 15 minute ride Westminster . hotel clean efficient . two twin bed instead queen . ( actually blame travel agent , hotel . ) tv little small get 10 channel London much see never room anyway . continential breakfast quite tasty , cereal , yogurt , fruit , pastry . also juice good strong coffee . evening snack paper , hit ' Bowmans ' directly across street . stop every night always friendly ask enjoy London . 
 Mar 22 2008 	 great place stay 	 return 2 week holiday London , England . trip terrific , can not say enough accommodation . Holiday Inn Express Earls Court even hope . reasonable price enjoy wonderful room clean bright . contain needed make stay comfortable ( tv . , coffee / tea , kettle , hot shower ) good room soundproof , not awaken loud noise neighbour . staff hotel always helpful friendly , everything could make stay enjoyable . breakfast delicious help get day great start . location also terrific . within easy walk distance 2 tube station , never feel uncomfortable walk home alone dark . would highly recommend hotel anyone , look forward another vaction London distant future . make next trip , certainly book hotel again . thank staff Holiday Inn Express , Earls Court , keep good work . 
 Mar 3 2008 	 Clean Friendly Good Service Value 	 Hotel clean , good shower , nice bed , facility , friendly staff sort ( desk , cleaning , restaurant ) . breakfast lot selection continental buffet . definitely good deal . 
 Feb 29 2008 	 Nice Hotel 	 stay hotel Feb. 2008 4 night . location ok good , close major London thing , walk nearest Tube stop ( west kensington , Earl 's Court ) 10 minute . area vary quiet night , guess would not recommend walk metro late night . near area bit life Earl 's Court , 1 Tube stop away , end go dinner drink . , try book hotel close metro , can not complan 10 minute walk long . oh , watch doggy poop - TON street way metro not carefull step . exit West Kennsington metro upon arrival , turn leave walk hotel ( North End Road ) . arrive state easily purchase phone card small convenince store across street hotel . also , not feel like walk metro go get dinner , Dominos deliver hotel ( ask front desk ) . since go winter , remove hotel room key power slot leave room leave room cold upon return , since heat power room function without room key insert slot ( innovative regard conservation power , like say , freeze would return room ) . enjoy London ! 
 Feb 19 2008 	 Pleased Hotel would stay 	 stay recent trip London be happy stay . be fairly close two tube station , West Kensington West Brompton . use West Kensington first due one suggest hotel . find like West Brompton . seem actually close hotel nice old tube station easy enter exiting . station within 5 - 7 minute walk . area hotel situate , Earl 's Court , good stay bad way . never feel unsafe night arrive back fairly late . hotel nice . include continental breakfast serve airy lobby adequate . cereal , yogurt , cheese , pastry , bread , etc . start 7 am appreciate due we like get early go . room typical London size maybe actually tad big normal . clean functional . shower nice hand hold shower head . bed drawback , particular one mattress could bit firm . would recommend hotel highly one star TA state . 's least 3 star deserve rating . review mine also positive . shy away place offer Priceline like site . finally employee be friendly helpful . highly recommend girlfriend say 's favorite place stay London tenth trip . 
 Feb 16 2008 	 expect well 	 book hotel night stay partner 11yr old daughter . reasonable price bed breakfast review site good . however , hotel fall short expectation rather disappointed . - say though not major way , nothing drastically wrong - expect well ! be good . room clean staff helpful pleasant . breakfast ok - despite toaster burn one side leave white ( moral - stand check toast regularly ) . previous reviewer say 's buffet really eat much like . now bad . firstly , area seem little dodgy . 's 8 - 10 min walk hotel ( turn leave W Kensington tube station keep walk ) . would not feel happy 'd . morning pavement cover broken glass vomit . secondly , room , double bed sofa bed , cramp . also incredibly hot way opening window . aircon work make noise like drunken fridge freezer - loud none we could sleep . noise ( busyish ) road outside ' ve never stay hotel much noise audible inside - loud crack wall , hysterical laughter , toilet gurgle . quite disconcerting . double bed type tip occupant middle spend evening struggle get ! overall , wish have pay £ 30 extra stay well hotel . not think would stay would not put anyone perfectly reasonable really . 
 Feb 5 2008 	 great value 	 Booked hotel hiexpress.co.uk , pay 65 per room , per night include cold buffet breakfast . staff good check in / out , allow we use corkscrew bar wine . room comfortable , good bed sofa . bathroom clean . breakfast cereal / yogurt / toast / fruit , problem keep crockery / cutlery supply , get pretty busy . be bit dubious area never stay , fine - good indian restaurant nail bar round corner . also local tesco . visit . 
 Jan 13 2008 	 Express experience 	 hotel actually pretty good . get standard room thing actually would expect , comfortable bed , clean shower bathroom , tv etc .. wireless internet need get voucher reception , little pricey think around 6 - 8 pound 4 hour . room huge , sufficient . toilet little weird though , door bathroom open also act door toilet inside . clean room always nice staff friendly . one problem stay noisy airco system door room . seem make noise like toilet filling . even turn thing would stop come later . apart room quiet bed comfortable . elevator window look onto street go . street full great restaurant small eatery . try Lilly Indian restaurant around corner , good Masala Express find turn leave hotel , walk corner ( Lilly ) cross street less 50 m . small family run place food much tasty Lilly . also great vegetarian restaurant across road hotel , food fantastic . breakfast buffet consist bread toast , croissant , cheese , yoghurt , fruit , coffee , tea juice . also muffin individually pack , take day explore London ! staff friendly room always tidy clean daily . location bad , long do not mind simple 5 - 10 minute walk get underground . not bad hotel ! do not expect 5 * luxury service . 
 Nov 10 2007 	 nothing wrong place 	 easy ( ish ) get quick checkin . room clean usual Hoilday Inn bed , bathroom , etc . room surprising quiet London would stay . 
 Oct 26 2007 	 Value Money Option 	 stay 2 night get great rate booking pay advance . hotel clean , quiet great value family . site parking add bonus . 5 min brisk walk fom West Kensington tube- Tesco express handy half way stop point get supply etc . staff helpful friendly whilst breakfast little busy ( half - term ) fine . 
 Sep 22 2007 	 Brilliant cheap 	 love Express , stay express good , like regular Holiday Inn Express . room quick big bathroom nice sassy blue nightlight shin frosted glass . it be good location Chelsea fan go Earls Court , 5 minute take either . the bar good , expensive bring carry drink wish . there great view bar , exibition road Earls Court promotional girl & quot ; almost & quot ; dress leather drink break loli think cost we £ 80 per person 2 night , be completely worth . 
 Sep 21 2007 	 Loved Hotel 	 boyfriend love hotel . book double smoking room 3 night . expect small room consider hotel room London , actually quite big . nice sized television well sofa bed look nice . air conditioning keep we quite cool . feel like Heaven ! bathroom really nice well shower lovely . the continental breakfast good . like fact variety food choose croissant toast . small seating area breakfast , would suggest get soon possible else hard find table sit at . the staff knowledgeable London friendly . lobby well keep , hotel vend machine fully stock . lift hotel glass make beautiful view go up . to use hotel 's internet lobby bit steep . pay £ 4 half hour internet . 's bit pricey , near internet cafe look bit dodgey . there downside hotel . first , near tube station ( West Kensington , Earl 's Court like lead believe ) mile away , prepared walk lot not car . location not great , be nice restuarant nearby unless feel like walking bit . plus , one pillow ask pillow . one occassion , hotel staff come room clean even though disturb sign up . overall , good experience would recommend hotel . 
 Aug 17 2007 	 Loved hotel location ! 	 planning stay London book hotel . travel agent first book Ambassador Hotel Earl Court , read every single bad review place , use site , happy review hotel . travel agent change hotel one week departure . expect full , since hight travel season , reservation accept . shuttle take hotel Heathrow , prepared , take Underground , bus . like we , not want waste time suggest take taxi , cost around fifty pound . worth ! case , miss initial flight , wait till next day flight . recommend travel London week , since less crowd ! lucky , get check time arrive , rather wait official check time 12 pm . staff greet we friendly . accord brochure , get complimentary breakfast ( european ) , although include price room . not expect anything fancy , good hearty meal . include : several tea , coffee , chill water ( tap ) , orange , apple juice . jam , white brown toast ( toaster include ) , well croissant , danish , chocolate roll . kellog cornflake , krispie . well apple , tin fruit . pretty good , hearty meal keep full till dinner time ! room typical european hotel room , twin bed . room spotless , sheet crisp clean . towel plentiful , require iron board , extra pillow , ask front desk . need check e - mail , pay . four pound half hour ( give username password ) . th bathroom also clean , thing kind guest like gather hotel soap shampoo , disappointed . shampoo bottle squeeze , soap bottle well . want put light electricity , put card slot , remove card , everything go interest electricity efficiency . if look family orient , clean hotel , off - load stuff head explore city . place , not expect perk ... nice location ( Earl Court ) , close shop , pizza place , Vegeterian Restaurant ( never see open ) , Fish Chips shop ( five pound ) , also Internet Cafe near . bus stop around corner , bus number 74 , take town past Harrods Natural History museum . bus number 11 , go EVERY ! definately return , go Express Holiday Inn around world . 
 Jun 29 2007 	 new affordable comfortable hotel London 	 book two night stay early June ' last Minute.com ' . location within area 2 tube route , though 's edge . Tesco nearby buy dinner 2 night . hotel look new clean ! room spacious , hair dryer , shampoo , shower gel . although refrigerator . kind helpful staff , place go back go london next time ! 
 Jun 24 2007 	 nice room soso location 	 ' ve get 79 pound per night inc tax select leisure saver hotel websiteroom : clean , compact , nice air - con , see photosfor extra people charge 15 pound eachlocation : 5 - 7 min tube station ( west brompton station ) Unfortunalety , yellow green line close , vesy upset ! ! take taxi anyway . pay 30 pound st pancra ( 15 min Sunday ) feel little dangerous location compare stay around south - kensington , glocester earl 's court station.breakfast : okay be free ... service : 7 10staffs friendly slow workinganyway , give 3 overall . 
 may 30 2007 	 great base Chelsea Flower Show 	 stay two night whilst visit Chelsea Flower Show . good value money far West Kensington Tube station although area seem little dodgy walk alone night . hotel two tube stop Sloane Square station one near flower show . hotel facility basic clean staff helpful . 
 May 29 2007 	 Friendly Staff / Good Deal 	 wife stay location 5 night . room - small room clean . hotel - nothing fancy , continental breakfast essentially hold lobby hotel offer basic breakfast food . staff - exceptionally good staff - friendly helpful . consistently provide average service . location - approx 10 minute walk nearest Tube . feel like suburb . shop least 20 minute away limit restaurant immediate area . conclusion - give limited resource immediate area always face least 20 30 minute commute get area & quot ; interest & quot ; ( shopping , muesuem , theatre ) . not mind travel time require hotel good deal . 
 may 12 2007 	 perfectly pleasant good price friendly staff 	 return brief stay Holiday Inn Express Earl 's Court . room newish . bed comfortable . shower work well . wireless internet work well , although little careful -- tell log , can not log without new voucher . hard use phone call front desk take elevator . decent combination price London . I take Picadilly line Heathrow switch District line West Kensington station walk rolling bag hotel . roll cart , pretty good hike . meeting near Buckingham Palace walk without suitcase West Kensington station . convenient . do not find interesting restaurant area , though quite Earl 's Court Kensington area . woman front desk not particular suggestion . overall , happy place since look low budget hotel work business trip . 
 Apr 24 2007 	 great value money 	 clean tidy . friendly reception staff . great value money . 
 Apr 3 2007 	 good easy find car west 	 hotel easy find m4 small secure car park £ 12 night . hotel clean modern other say . staff helpful polite , problem get extra pillow reception . 3 criticism : ( 1 ) bar close 11 o'clock ; ( 2 ) breakfast area little small , especially Sunday morning , half hotel come breakfast time ; ( 3 ) desk / dress table room could mirror . would stay , would prefer Holiday Inn Express Hammersmith tube connection well . 
 Mar 18 2007 	 Dollar Dollar ......... Terrific Hotel Staff 	 stay London hotel 8 night wife 2 teenage daughter 6th March thru 14th . can not say enough good thing , .... basically brand new facility , clean , economical , good sized room London , breakfast plentiful filling continental varietystaff fantastic , well groom , polite extremely helpful direction eatery point interest , ...... 7 minute walk West Kensington Station 15 minute tube ride heart cityWe purchase Oyster card 23 pound piece ( 7 day pass ) allow we unlimited travel tube bus 9:30am anytime weekend , ... kid ride 1 pound accompaning adult , ..... become knowledgeable city route end week find entire system user friendlyWe travel stay many city throughout travel , stay hotel ( dollar dollar ) would rate one good experience , .... everything need reasonably price stay Jolly Old London .... thank London , Ontario , Canada 
 Mar 17 2007 	 Excellent hotel price ! 	 husband spend 3 day , make sure book directly thro Holiday Inn Express website , cos guarantee online offer cheap booking thro web page . book 75 pound per night , reasonable price book accomodation central London , have check many small hotel B & amp ; b similar area believe , can not find anything anywhere central london 75pounds kind environment service get Holiday Inn Express . hotel room clean tidy , electric water boiler room find useful make tea coffee , amenity simple ok , least ' ve get enough cloth hanger ; be sofa bed room well case ' ve get 3 people still share one room , will not charge extra room rate breakfast . breakfast continental least 8 kind bread , plus assorted muffin . ' ve also get corn flake , 4 5 different kind yoghurt selection , 3 kind fruit , 7or 8 kind tea . try coffee coffee machine breakfast hall , make well coffee starbuck London ! staff friendly helpful , especially provide tip transportation we . either take tube bus get back hotel . would recommend take bus ( especially use day pass transportation , take tube bus ) , bus no.74 take main street hotel around corner . get no.74 Knightbridge area ( street Harrods ) . take tube also fine do not mind change line main station ( try avoid tube cos fact time consume change line ) , either get West Brompton West Kensington , would recommend go West Brompton . cos direction West Kensington , will pass thro council flat ( public housing low rent offer local citizen ) , ' m afraid area nearby direction rough would feel easy run trouble especially night time . walk West Brompton tube station , nearby private flat business hotel like ibis small shop , overall environment feel safe walk around.if london , would definitely choose stay hotel give recommendation friend . 
 Mar 6 2007 	 quite nice ... 	 one thing commend hotel actual condition match similarly picture see website . Express Holiday Inn hotel Earl 's Court really quite contemporary , importantly , CLEAN . room small , love bathroom decor . one thing not fond location hotel . hotel not situate remotely nowhere , however , locate two Tube station : West Kensington West Brompton . hotel locate right middle two station , not really advantage one another . take 10 15 min walk either one train station , not great experience first arrive West Kensington station , drag luggage , walk hotel mild rain . location , everything hotel good . important factor nice clean room come back whole day sight - see walking , able take nice shower , get good night sleep comfy bed , hotel provide . 
 Mar 6 2007 	 stay ! ! 	 great hotel ! ... much large room modern facility similar place ' ve stay New York Paris last two year .... nice continental breakfast room ... bus right , tube nearby ... problem neighborhood walk around evening one week stay .... nice little historic pub five minute walk away Lille Rd . : Prince Wales .... stay ! 
 Feb 15 2007 	 Good Vaule 	 great hotel , room new large , bus door , metro 10 min walk , cheap London hotel ! ! ! area bit scarry night though , recommend sole female traveller walk back hotel metro station . 
 Feb 13 2007 	 good value money 	 stay business trip 2 night meet need perfectly . room reasonable size , clean , quiet , comfortable good shower . location good ; walk distance Earl 's Court Olympia complexe two tube station . breakfast basic plentiful . get choice cereal , fruit bake good . staff friendly helpful seem know local area well . although not serve meal breakfast , shortage good restaurant nearby . 7 minute walk south Fulham Road offer dining choice people would need . recommend Gourmet Burger Kitchen - good burger ' ve long time ! overall , good , practical hotel good price . 
 Jan 30 2007 	 good value 	 nice sized room . helpful staff , easy get metro sight area , good value time money 
 Jan 19 2007 	 highly recommend 	 highly recommend ; would come back . wife stay week Christmas . hotel new , bright , cheerful , clean , quiet comfortable . room large 'd traditional B & amp ; Bs London previously , quite adequate two us luggage . bathroom also large , facility work well . get decent price web ( include good continental breakfast morning ) book phone . staff friendly , professional courteous . hotel 1/4 mile West Kensington West Brompton tube station , 1/2 mile Earl 's Court station ( nearest stop Picadilly Line Heathrow ) . neighbourhood little down - market , seem sense community , feel perfectly safe even dark . good value money , certainly London standard . 
 Nov 28 2006 	 ok price beware tube renovation work 	 Fair thing first : price offer hotel good compare find elsewhere London . hotel clean , breakfast ok , room ok . neighborhood ok , restaurant food store around abundant . Tube station within short distance theory London station away . , really aware enquire day would spend series work carry tube weekend . Saturday West Kensington station close . Sunday take train West Brampton arrive Earl 's Court find District Circle line close station Aldgate / White Chapel . amount people ( resident tourist ) lose look could see matter we know get around . take we one hour arrive Westminster . want attend change guard ( St James station course close ) simply miss . regular weekday always delay line , sure train driver must tired apologize much delay . short gain price may lose time . 
 Nov 24 2006 	 Great Hotel Great Location 	 much search reasonably price hotel London , find Holiday Inn , book hotel website £ 75 , include breakfast . stay Oct 24 - 28 , 2006 . property fairly new clean . room small well - light well design . breakfast standard cereal / pastry / toast / yogurt , always plenty food . only hand bath towel supply - washcloth , ( also find place stay England Ireland ) bed duvet top sheet , little different be use usa.the hotel within 5 - 10 minute walk distance 3 tube station , West Brompton , West Kensington , Fulham Broadway . fly Gatwick , hotel website recommend take southern train , rather tube , West Brompton , £ 9 . take 1/2 hour . option take Gatwick Express , go Victoria Station , switch tube rest journey . train far well choice . walk back hotel Brompton Fulham station dark feel totally safe . fulham station shopping center . eat nearby pub call Jolly Malterer , Goose , Prince Wales . lot shop south along North End Road , include grocery store street vendor . avis car rental near West Brompton tube stop , pick car leave London . also internet shop nearby check email , etc . £ 1 hour . unfortunately , smoking still allow pub , suppose change July 2007 . hotel locate Zone 2 tube , buy 3 - day pass £ 15 per person . take we 20 minute ride city center . recommend everything London : Eye , London Tower , Westminster Abbey , Food Court Harrod 's , Cabinet War Rooms Museum , Queen 's Gallery Buckingham Palace , National Gallery , British Museum . also take play call & quot ; Voyage Round Father & quot ; star Derek Jacobi , excellent . also recommend Gloriette Patisserie near Harrod's . we would definitely stay hotel . price reasonable location excellent . even though not near attraction want see , tube ride city short neighborhood safe . London really busy city lot people hour . use public transportation not drive ! 
 Nov 21 2006 	 great night stay 	 stay sunday night able book incredible rate £ 45 / night family 4 ! hotel 5 - 10 min walk west kensington / brompton tube station . however walk west kensington tube pass tesco express + small shop . hotel new room clean , good tv , shower facility , bit tight family 4 , much storage space . check staff friendly . kid enjoy lift 5th floor external glass affair . buffet morning basic enough get go morning . although rugby scrum table , eat utensil , plate etc . fair school holiday time staff struggle keep number people . overall good basic hotel , fantastic value london small family ! 
 Nov 7 2006 	 good value 	 book £ 74 per night via hotel 's website . stayed 2 night . family four one room bit cramp whole 's good value money . great be plan spend much time actually hotel . 's clean , breakfast good value , service friendly unobtrusive . location brilliant find ok use taxi get back use tube around central London . tube station 10 minute walk away - think West Brompton slightly close West Kensington , various branch District Line bit confusing time newcomer ! ! could pay lot low standard elsewhere London whole safe bet . 
 Oct 29 2006 	 excellent value money 	 stay four night October delight hotel . room keep clean tidy . breakfast self - service continental plenty choice . available 10 am mean could lie - in ! ! easy get either West Kensington West Brompton tube station District line . plenty amentitie around hotel include tesco express co - op handy . we eat hotel one evening . limit menu tired quiet happy large portion pizza chip . choice chicken dish , scampi pork .... THINK.Really would recommend anyone want somewhere stay London excellent quality money , spacious clean . 
 Oct 21 2006 	 Nice Place stay visit 	 wife stay hotel 2 oct thru 8 Oct. find room clean well provide . staff pleasant helpful time day . many place reasonably price eat area short walk . West Brom tube station easy walk hotel . number internet cafe use much cheap hotel . overall , would use hotel . probably would book internet next time . 
 Aug 29 2006 	 good location 	 HI Express Earls Court West Kensington , 1 tube stop Earls Court . hotel 10min walk Fulham Broadway another 10min Chelsea football stadium , good location . 5min walk West Kensington tube station , turn leave walk north End Road . hotel new build clean fresh looking . complimentary breakfast adequate reasonable choice . perfect choice family price excellent . room spotless bed comfy twin roomAir con plus hotel . would thoroughly recommend hotel anyone want stay nr Earls Court 
 Aug 28 2006 	 exceptional price 	 Booked wife three son five night must say everything exceptional standard happy reserve room online full duration stay london think would hard extend reception think fully book time , review work , would definetely recommend . 
 Aug 22 2006 	 great place stay 	 return three night stay hotel husband two kid . hotel clean public area guest room , breakfast good - continental , plenty it . a limited choice evening meal available bar area ie choice kebabs pitta bread chip pint lager include price pizza , sweet sour chicken etc . hotel close tube make easy get central London within walk distance Stamford Bridge - a bonus book tour stadium . area feel safe . must mention ice machine lobby keep youngest amuse age ! ! ! one small problem reservation detail put right immediately point receptionist . staff pleasant . would definately stay again - in fact already plan next trip ! ! 
 Aug 20 2006 	 Great Value London 	 hotel bit beat path , clean , comfortable real bargin . real challenge hotel transportation option limit take extra 15 - 20 minute get major sight . willing make trade , many pluse hotel . plus 1 ) hotel seem brand new property ( major plus we endure tired old building typical type accomodation ) ; 2 ) room large air condition , 3 ) bathroom well appoint ( shower ) ; 4 ) check efficient lobby large bright , 5 ) lobby bar convenient ; 6 ) complimentary continental breakfast jut right , 7 ) many store restaurant area ( can not comment restaurant since eat area - many convenience / grocery store ) , 8 ) importantly , room spotless clean comfortable bed ! ! . public transpotation option fair - bus stop close hotel take High Street Kensington ( right outside hotel door ) Knightsbridge ( around corner ) . close Underground stop West Brompton Station ( District Line ) . price pay ( 75GBP ) high season great hotel ! 
 Aug 15 2006 	 Exceptional Hotel Stay 	 stay Hotel August 10 - 14 , can not find enough good thing report . checkin pleasant . assign room great ... seldom experience great housekeeping ...... even spoon coffee / tea make area handle point exactly direction . room / bath exceptionally clean , well light , everything work well ... enjoy heating / cool availability . Saturday evening , unfortunately fractured tooth , gentleman desk .... ' m sorry say get name .... find put touch dentist able see Sunday ..... yes , Sunday morning . believe outstanding service Hotel employee . everything hotel well keep extremely clean ! even though experience & quot ; nightmare & quot ; air travel visit .... hotel refuge . need lodge reasonably price , clean comfortable .... place . get anywhere London minute time 2 tube station minute Hotel , bus ... stop outside hotel front door . travel extensively , give Hotel high recommendation . 
 Aug 10 2006 	 great hotel 	 good hotel - standard Holiday Inn Express . not actually Earls Court Tube , West Kensington . short walk Earls Court Exhibition site though . be platinum member top floor , quiet night . small room , immaculately clean . breakfast good - cereal / cake / toast / juice / tea / coffee . I get rate £ 74 per night , good quality accomodation London . ( say room £ 99 outside ! ) slight niggle check 2pm , abruptly tell , able leave bag baggage room problem . hotel full night either side though . 
 Aug 9 2006 	 first time London 	 take first trip London . find difficult find decent hotel internet . everything expensive . like Paris ... experience Paris visitor ( know stay good get good value ) , second time London would well ... find nice hotel . readind review see candid pic , choose one . we book Express Holiday Inn Earl´s Court it´s website . we pay first night 56 £ two night 77£.hotel 10min walk away two tube station . good way take bus 74 earl´s court station . tkaes also Harrod´s Hyde Park ( 30min ) .lounge decent . elevator view nice . room little average . remind finnish hostel hotel . bathroom enough good , yes ... work airconditon great outside temperature +35C ( 95f ) tube +54C ( 129F ) July . we don´t know ... maybe lucky find hotel . know , pay 99 £ per night London still facility ( toilet , shower ) hallway . hotel didn´t give & quot ; wow & quot ; pleasant feel stay . get room , lock door room next . mean every noice hear neighboroug . okay unlucky ... wasn´t issue review . please mention hotel reception , want family room connection 4 sleep . stay hotel full . chance change it . however single bed good sleep . Sat - TV . tea - make facility . minibar . limited safeboxe reception . didn´t get one , hotel fully book . low - pressure shower . anyway spend time city hotel . breakfast ... eat past bad one Paris . you get coffee , boilded water tea cacao automat . two small vacum pack chease every guest take yellow one orange option one . well . hotel staff put one morning orange one consume kindly ask yellow cheese ; ) 2 small marmelad packing , peach , vege , fruit small box Kellog´s cornflake milk . self service . wonder reviewrs keep buffetbreakfast good one . maybe lucky hotel don´t think so . hotel surrounding remainde we occationally New york´s Chinatown Avenues , B , C. near hotel safe walk anyway . also famous earl´s Court arena Red Hot Chilli Peppers show . Won´t come back hotel . service okay billing exact . sure reserve hotel website site may sell without taxis 17 % check bill . for & quot ; cheap & quot ; fresh food eat London recommend Prett ! 
 Jul 23 2006 	 great stay London 	 stay 4th & amp ; 10th June 2006very good location-7min walk either West Brompton West Kensington tube station , bus stop doorroom large bathroom . bed comfortable overall cleanstaff great ( helpfull ) Good Continental breakfastwe would highly recommend brilliant price 77pounds night 
