leave 	 wife leave , find hotel stay renact movie & quot ; leave Las Vegas & quot ; . use one favorite place downtown , 4 year since last go downhill . seem like owner contemplate sellie land tear , strip alot unique feature place away . notice thing 's sister property , Plaza . room dirt cheap , cheap downtown . stay downtown property ( freemont street ) year , bad . room date dirty . back area casino convert makeshift R & amp ; B Club . sport book anymore semi - famous restaraunt second floor . asian theme restaurant coffee bar , be . well choice fremont street . Fremont street , free entertainment offer stay well see . 
 Feb 6 2008 	 ok .. money 	 love Freemont Street decide stay low price Hotel . can not say anything Casino go Gamble Super Bowl ( big ) Club long Sports Book . clean enough , pay extra North Tower , arrive section Hot Water , give we South Tower , refund difference . room comfortable clean enough . Mandalay Bay , cost like . easy access Freemont right front door , elect Gamble Plaza Golden Nugget . , cheap old , friendly convientent . I would stay room , nothing else update see far Bars Casino . say ok & gt ; 
 Feb 6 2008 	 look book ! ! ! ! ! 	 ' ve Vegas many time . first time stay downtown Vegas . normally stay strip . ' ve stay Stratosphere , Caesar 's Palace , Paris , Venetian . time stay Vegas Club budget . LOVED ! ! room clean , comfortable , conveinient need . not get wrong ... 's old hotel pay attention stuff like will notice . keep mind , knew not pay $ 450 / night & quot ; newness & quot ; Venetian absolutely delight stay . 
 Jan 9 2008 	 dirty great price 	 musty hallway dirty carpet slow drain hard bed good location great price 
 Jan 1 2008 	 bedbug include Gratis ! 	 stay Las Vegas Club National Finals Rodeo room 601 South tower , eat alive bedbug ! Las Vegas Club ignore we seek warn situation ( spend $ 200 make sure bedding home ; subsequently infest - sorry refund ! ) . contact Clark County Health Department . guess , find room infest shut fumigation . know ! love bargain , last time stay ( one upgrade room ) hot water North tower ! hotel atrocity , black eye Las Vegas . 
 Nov 23 2007 	 treat 	 not normally , go . after book hotel $ 30 night hotels.com think well sleep get showered room . arrive check desk assistant ask would like upgrade suite extra $ 70 night , think second wife say & quot ; $ 40 & quot ; imagine shock reply & quot ; ok & quot ; enter room could not belive size . place like apartment 30x30 ft living area , two bathroom jaquzzi main bedroom . four floor ceiling window great view strip . great value , really excelent room recently refurbish . would recomend place anyone . 
 Nov 7 2007 	 can not beat Location ! 	 stay November 4th two night . although stay Vegas Club certainly luxury experience , be decent bargain , especially consider price pay $ 31.50 night . plus , can not beat hotel 's location , right Fremont Street . 's also conveniently locate right freeway . use convenient Deuce Bus Line visit strip one night . bus stop near hotel easy use . be little slow lot crowd , use peak time . parking hotel free parking garage elevator take right front desk . check easy front desk agent friendly enough . arrive one hour state check - in time let check - in early without hassle . the room smell like smoke ... year year smoke ... smoking room ( room 711 South Tower ) could expect . bad thought would . open window run air little , smell get well . the bathtub drain slow back take pretty quick shower . water pressure excellent window shower nice . ten minute one day , drain tub start make really loud gurgle sound . keep expect something start shoot , never noise never return . part ceiling bathroom droop suspect water damage , $ 31.50 night expect go maintenance issue . t.v . remote not work , not Vegas watch t.v . really not bother much . change t.v . manually need . air conditioner work well able open window great . bed pillow pretty good , definitely comfortable expect read previous review . room overall fair shape housekeeper clean room day friendly good job cleaning room . stop hall ask could clean room next really want take nap . nice clean room right away . room smell much well . must spray something . if be go Las Vegas see volcano pamper probably not place 's definitely age . hotel people primarily want gamble need safe place sleep convenient location . 
 Nov 7 2007 	 Great Hotel 	 reading review decide go ahead book hotel 5 night , husband teenage son . cost £ 38.00 night 2 star hotel downtown Freemont street . bargain ! deluxe room north tower spacious clean bit run . Vegas Club nonsense hotel . check - in quick friendly . use reception safety deposit box - well control receptionist look we well . always hot water shower bathing . room service daily . fresh cleaning smell towel replace daily basis . coffee make facility fridge bedroom . bed quite comfortable clean linen . room 520 little noise , smokey odour room . find hotel safe area well patrol security . user friendly strip . Vegas Club affiliate Plaza hotel use pool gym facility eat $ 7.77 day buffet . live show Plaza ' Viva Las Vegas ' fablous excellent value money . barman Harry Sportsbar Vegas Club wonderful . worked room keep drink flow even bar pack . pleasure watch work , efficient nothing much trouble . would definitely go back hotel - place wonderful staff ! 
 Oct 30 2007 	 Place Sleep 	 bed lumpy , drain slow , be look place stay place work . 
 Oct 10 2007 	 aging clean 	 want try downtown since weekend time try . room clean wear . sit bed think go terrible sleep , could tell mattress wear , turn get great sleep . easy parking , room safe , quality shower pressure quick elevator . know Hotel . set high expectation , instead realistic choose old property DT fine . clean expectation . easy access DT hotel . honest , DT cup tea glad least give try . feel safe comfortable . 
 Sep 15 2007 	 strip action 	 Las Vegas Club downtown Vegas strip , exactly look . arrive 12:30am call reservation line book different website let know would arrive late . book Sept 4th Sept. 12th . it decent place put head end night . interested seeing start ( real strip ) Fremont experience hope for . there smell zone hallway , nothing rank , musty , desert smell . the staff helpful amazing small tip adaily basis get housekeeping . it be west end Fremont Street Strip South towerwhich understand not new North tower . except temperamental elevator , realissue not work ice machine every floor . stay 7and go 8 anytime want ice , meet great people theelevator ! shower drain slowly understand happen home / apartment aswell , turn show drain able keep up . since Vegas Club Plaza sister property able use pool fitness center laundry facility Plaza . ( bonus ! ) plane not leave 11:30pm hotel allow we check bag bell desk , could spend last day about . I would definitely stay . well worth 366.00 ( usd ) paidfor 8 day Vegas . 
 Sep 6 2007 	 vegas club hit ! ! 	 ok last minute end summer trip ... daughter 21 arrive Saturday Sept 1 . hot ! ! ! get early afraid would not room ready , surprise . book directly hotel pay 20 north tower room . ( n 2 week prior south tower ) room absolutley immaculate cold .... refreshing heat 4 hour drive . we nice view 11th floor seperate vanity mirror convienent daughter touch ! ! casino welcome daughter 's first time gambling ! ! little hear .... manage win 50.00 penny machiene , fact do not even realize till man sit next pointed .... hit 7 's 5time something ! ! ! little intoxicated , cash right away play deal deal ..... ! ! overall definetly spend $ $ north TOWER ROOM stay .... non smoking room do not smell anything like smoke hallway matter.the complaint shower /tub water do not drain fast enough , overall love ! ! 
 Sep 1 2007 	 Stinky 	 mid - week stay ( tue.-checkout Fri . ) , August 28 - 31 . Registered Hotels.com Summer Sale 25 % room rate ( $ 24 / night + taxis / fee ) . Standard South Tower room ( non - smoking / King size bed ) . room stinky . frill clean comfortable . a / c work well temp . outside exceed 100 degree F. high . Mattress firm prefer . one complaint : alarm clock . KUDOS Registration Desk Attendant let check - in early 11:30AM , rather make wait 3pm sign state . 
 Aug 15 2007 	 stinky 	 stay two night - say get non - smoking room everything smell terrible like smoking ! ! ! carpet old dirty ! spend dollar stay hotel ! ! 
 Aug 9 2007 	 dump even 	 dump , spend extra dollar stay somewhere else . smelly room , dirty carpet , bum casino sleep outside , crappy casino , 
 Aug 1 2007 	 Good Budget Hotel 	 Vegas Club Hotel great retire budget . room 15th floor ( 1515 ) south tower . room large , 2 twin bed , tv , write table chest drawer . bath area small adequate small closet area . overallthe hotel room equal good motel . come play slot lounge around hotel . so get great deal . our great surprise & quot ; Great Moments Cafe & quot ; . small dining room good food service ever Las Vegas . 
 Jul 31 2007 	 run 	 room large , good thing say hotel . carpet room hallway wear , stained , burn , lumpy come seam . I south tower room , family member north tower room ( four room ) 1 fridge coffee maker ) .All furniture shabby stain . bed hard . bathroom dingy . air conditoner work well . alarm clock room . daughter say room ghetto ! front desk rather rude , not listen act like interupte free time . try get room together , least floor , daughter wedding , put place . different floor , different tower . no one group go back Las Vegas Club . for dollar , get much nice room elsewhere . 
 Jul 28 2007 	 ok ... 	 stay 2 day overall experience ok . if price would give 1 star . hotel seem really old , evident room . bed hard , alarm clock room water , vend machine water ice machine ice . if do not like smoke / smoking stay away place . Lobby / hallway casino full smoke . for price find decent place neighbor downtown hotel 
 Jul 26 2007 	 Aviod cost ... 	 place simply terrible ...... lobby dirty full smoke ( always ) .... hallway dark smell rather strange , hotel staff especially receptionist rude arrogant good . room fine washroom dirty , furniture really strange look mattress really hard . overall bad experience las vegas hotel , ' ve vegas couple time place really turned worst pay almost would pay decent place strip .. find well place price ..... 
 Jul 19 2007 	 great hotel 	 stay Vegas Club two night business last week & amp ; would say pleasantly surprised ! negative review would read prior trip , not really sure expect , would say would stay . hotel little date ( fine ) , check - in staff pleasant , room reasonable & amp ; clean & amp ; be begin Fremont St . experience - could ask ! complaint take one elevator parking garage hotel , get & amp ; take another elevator room ( locate North Tower ) - 's something could live ! 
 Jun 25 2007 	 great stay Vegas Club 	 return 3 night stay Vegas Club . room 11th floor North Tower pleasantly surprise . room large , clean - importantly - find bed comfortable ! yes , show 's age way definately pluse negative stay ! would not hestiate stay future . 
 Jun 21 2007 	 Great Value - Great Location 	 like many say -- -- Vegas club one good value Las Vegas . after ' ve see sink ship , explode volcano impressive hotel strip , need come downton . Vegas convienience value meet like Fremont street . the Vegas Club no - frill hotel offer superb value . stay several time & quot ; deluxe north tower room & quot ; . room quite large size come coffee pot refriderator . room fancy bit worn . bed bit firm . staff property real star helpful . you ' ve get easy access bus transportation . use rental car bus get convention center . lounge Vegas club supply stong cheap drink . I love downtown not feel trap strip . 1 minute away hotel , casino restuarant . know downtown image dirty full bum . certainly case . long stay Freemont street totally safe . conclusion , great value awsome location , really try Las Vegas Club . 
 May 21 2007 	 Great Stuff ! ! ! ! ! ! 	 stay hotel 4 night . first trip Vegas dissapointe . okay , hotel Strip . big deal - actually fun first night stay bar Freemont street . plus area do not eat money quite like Strip ! casino okay , lot $ 5 blackjack do not want gamble big . plus area fet really safe . hotel $ 40 cab ride airport $ 17 dollar strip . bus that s leave freemont street $ 2 , seem take aaaggggge stick taxi . stay North tower room , belive worth pay little bit extra . room HUGE , big bed little seating area . also shower really strong lot hot water . need get rid hangover ! would definately recommend hotel . room clean , staff friendly , although Strip , belive ideal location - £ 35 night . BARGIN ! ! ! ! ! ! ! ! ! 
 Apr 19 2007 	 Bang Buck 	 ' go Las Vegas since 1979 . believe first two time visit , stay Strip , walk around eye mouth wide open , experience overprice hotel , tight slot , high minimum table , underpay video poker machine . third trip , ' ready stay Downtown . bring we Las Vegas Club . check insmooth , quick , efficient . request away noise Freemont Street , check - in clerk show map hotel ask whether Room - X would okay . the roomi stay south TOWER -- comment refer SOUTH TOWER only . the room spacious . two people move around without bump . paint , carpet , etc good condition . drawer closet space sufficient . bed comfortable . linen clean . the bathroom tiny ; sink locate outside bathroom . sink area contain adequate counter space . shower stream steady strong . water temperature constant . tub drain slowly , ' consider inconvenience . the A / c work well quietly . type A / c ' turn on / off base temperature . plus wake every time heater / AC turn off . the television small carry basic channel . there clock . the room contain safe -- important feature . pay additional $ 1.00 day . payment honor system . checkout , ' ask whether use safe . want die rich rather poor , say ' use ' remove charge bill . here ' something wife always care , ' mention . full - length mirror room . HOUSEKEEPINGI leave room morning . come back night , room clean . ask ? elevatorsthere two South Tower elevator . seven day never even come close thinking " ' take long " . efficient . SECURITYNo one check room key enter elevator . fail notice whether elevator security camera . security camera hotel corridor . security camera parking garage . parkingthere complimentary self - parking garage hotel guest . also valet parking never investigate . garage roomy easy navigate . LOCATIONLocated top Freemont Street , Las Vegas Club center action -- busy , safe area . SUMMARYThink Wynn Bellagio venetian top - of - the - line Lexus ; whereas Las Vegas Club Corolla -- frill dependable machine get want go economically efficiently . 
 Apr 13 2007 	 Vegas Club – another brilliant holiday Vegas Club 	 wife 4 week holiday States Aug - Sept 2006 stay Las Vegas 8 day . book Vegas Club good value hotel Downtown area , arrive young man counter give we upgrade North Tower , mention room ' view " . ' believe swung door open reveal floor ceiling window look directly strip . room amazing , love every minute trip , stay Vegas Club ! six month go Julie get marry . honeymoon , plan another USA holiday , stop New York , Vegas finally LA ( ) . book North Tower room 9 day stay email Vegas Club see could offer room . super quick time forward Yulianna , help we much lead trip . couple week go , Yulianna able confirm room stay . arrive Vegas Club , check , head elevator , swinge door open bring back many ood memory . honestly say may seem small bonus get room , know great time 6 month ago , honeymoon , want feeling . get ! magical 9 night Vegas , make well thank Yulianna . so thank Yulianna , anyone read , stay Vegas Club , go North Tower Rooms . ' disappointed ( unless ' use stay Wynn , case good luck bank account ! ) 
 Mar 29 2007 	 small casino large room 	 stay Vegas Club March 25 - 28 . check 2 people ahead we , go quickly . ask nicely free upgrade , clerk , broken English , say fill S. tower first ( old one ) go N. one . well , N. want base review . luckily old tower full , lucke . room 1219 , face Plaza , pretty night . disturbance door seem fit tightly , someone else go in / out , door , rattle . otherwise could hear thru wall , hear water run , etc . also three door elevator , pop & amp ; ice machine , nice , long walk hallway . even N. tower little rough around edge . book cheap room downtown Allegiant Air , sort know get . come 1219 , door open & amp ; maintance guy finish shampoo spot carpet . light tan color , would put shade hotel room ? ? ? course show every little spot . room clean & amp ; large . fact almost look like could use bit furniture . later evening bit trouble slow running drain , eventually water drain away . like convenience 2 vanity , one away sink area , like website picture show . casino area seem update . machine spit coin , gross ! other new ticket seem compatible . luckily , casino small could easily cash ticket machine would take . also , lot empty floor space add machine . one thing , window face Plaza corner Main Street Station . must hospital along somewhere could hear ambulance siren time time . eat supper one night Upper Deck ACG coupon 2 1 cheeseburger . good & amp ; huge portion . Bill $ 13 + tip , good price . because inconvience ticket situation gamble much . would stay price right well yet receive great offer . use Deuce go strip one day , course VC whole length Fremont Street away bus stop , bit walk need . I would compare VC Super 8 Midwest , budget hotel . 
 Mar 13 2007 	 ok price 	 stay Feb. stay south tower , room clean , plenty towel , bed hard , , neg . close everything downtown . downtown . price pay room well worth . maid service anytime ask . double deuce well worth , $ 2 one way , 5 , day pass . come around every 20 minute . would stay , would try north tower 
 Feb 18 2007 	 Great Value Low Price 	 first time stay downtown great experience . Booked Vegas Club Vegas . Com Website . avg price per night 45 buck Thursday Monday . stay north tower room -- large spacious room -- nice , clean , simple . ' m ritzy guy -- look simple place stay fit . far walk thru casino reach Fremont St , casino -- option walk Fremont St . stay Strip much well , far walk -- easy access -- seem like well deal downtown ( eg 2 1 buffet , Coupons , cheap -- lay back table game / casino ) great time well worth money -- would definately stay -- can not wait return -- especially downtown area . 
 Feb 17 2007 	 Frills Sweat 	 get back 4 night stay ( Feb , 2007 ) . 3rd downtown stay & amp ; far good experience . room huge ( Vegas ) shower good water , toilet loud . frill - room clean & amp ; safe room optional . good crew - friendly & amp ; change dresser still return room . place $ $ slot .... try downtown . old hotel & amp ; slot still give coin - go figure ! always enjoy downtown - close enough walk casino & amp ; good food . breakfast buffet @ Fremont ( pretty cheap ) & amp ; catch free shuttle Sams Town , . Mac 's right across road @ Plaza get sick buffet & amp ; restaurant wait .... , decent old hotel good price . 
 Feb 16 2007 	 Love Vegas Club ! 	 hotel pleasant surprise ! assume would dingy cheap ... refresh inexpensive price much expect ! literally good hotel deal Vegas . bed comfortable room big clean . staff friendly , 's restaurant top serve $ 2.99 steak egg 11 pm ! people budget ( anyone not want spend hundred dollar per night ) great place stay . ' ve stay twice - time North Tower , believe new South Tower . atmosphere Fremont Street much fun . plan stay next time go Vegas , . 
 Feb 14 2007 	 Home Sweet Home 	 get back another great Las Vegas adventure . stay Las Vegas club 6th - 9th Feb , 2007 . first time club . room south tower find much nice expect . room 's big find hotel town . look quiet place hang hat end night Vegas club work well . resturaunt property decent food good price . Fella 's like strong water pressure place well ! shower blasted hang - over right . Fremont st . great usual offering ton resturaunt pub moment walk front door . staff great ! ! ! check 11:00 problem . valet parking way go . gambling pretty good well . break even 3 day period . comp . drink norm . cocktail waitress make round regular basis . finally : Vegas big town everyone want see . look place wind end busy night place . Massachusetts Mike 
 Feb 14 2007 	 big Room low rate good value 	 know hotel old base low rate , expect much . pleasently surprised . room surprisingly large clean . staff front desk friendly enough . problem encounter tv remote control not work . pretty minor . thing not like parking garage ... filthy . fresh coat paint wall would wonder make garage pleasent place walk . casino small exciting that s choose stay . overall , LV Club good value . stay downtown much easy stay Strip , especially car . go room car much fast small downtown hotel mega - resort strip . plan drive around Vegas much , come go downtown much much fast anywhere strip take 20 minute get room car . let say forgot something trunk car ... that s 40 minute round trip retrieve ... downtown , 5 minute trip . 
 Jan 31 2007 	 get Pay ; remember ! 	 oh God ! ! wife planning trip Vegas last year trying find great deal airfare . finally , get deal century Spirit Airlines . Vegas go . get Las Vegas Club Hotel & amp ; Casino . Walk think bad . already knew not go well good rate get . get room key South Tower go . get BOOM ! bad think . 's cold outdoors one . wall look like not see coat paint age , carpet look worn , 's hole wall . HVAC unit appear outdated . turn , would heat . immediately call front desk complain . tell we boiler . go front desk intention check go somewhere else convince we relocate North Tower . get room little warm room much well shape . I see place far main strip . not stand . imagine pretty luxurious back day . 's need major renovation . breakfast pretty decent restaurant call Top Roof . ' recommend go unless ' mind outdated surrounding . 
 Jan 27 2007 	 happy North Tower room ! 	 recently stay Vegas Club Casino 3 night stay begin January pleasantly surprised . request 2 queen bed , non - smoking room North Tower read review North Tower nicer South Tower right ! room 10th floor large great view ! room clean , quiet , smell nice furnishing . nice bathroom also separate vanity area . plenty hot water although handle flush toilet loud . find room 2 queen bed nicer big room one king bed . boyfriend stay South Tower room nearly nice big South Tower elevator smell bad . North Tower $ 10 per night well worth ! be like totally different hotel ! restaurant 2nd floor ( Upper Deck ) good ! room service expensive dish stay outside room hallway day . would go restaurant . pool use pool across street sister hotel Plaza . pool close look small also use gym small nice one else use time . would pick Vegas Club Plaza stay . Plaza smokey . tip stay : North Tower must ! order chicken fry steak ! ( heavy gravy delicious ! ! careful order movie . accidently change channel try adjust volume & quot ; cleared & quot ; movie . front desk would restart movie us refund charge $ 10.99 overall stay nice room nice reasonable price . complaint get refund movie . 
 Jan 23 2007 	 run far away place ! ! ! 	 let start say husband LOVE Downtown Vegas . not flashy people not look glitz glamour Strip . stay property Downtown never problem . trip thought would try Vegas Club . big mistake ! ! ! ! get great rate thru i4vegas figure would ok . request North Tower room get . go hill . walk elevator FREEZING ! ! ! hallway carpet mess ripple way . anyone could easily trip part carpet . outside room huge ceiling vent blow freeze cold air directly . husband love cold even complain . room dirty . carpet vaccuume long time ! ! ! base board black dirt bottom . bed terrible . padding could feel every single spring . pillow pathetic feel like single piece cheap foam . bathroom actually clean part room . we never go back hotel . will spring extra $ 10 $ 20 buck night ( compe ) stay Fitzgerald 's Golden Nugget . there much well property / deal find . stay away Vegas Club ! ! ! ! wish could give negative star place - bad ! 
 Jan 22 2007 	 great price last minute booking . 	 originally book cal 9 night , find allow stay 6 7 night scramble place stay 3 night . find i4vegas web site book las vegas club 3 night , friday , saturday sunday night right convention , january 12 , 13 14 2007 . $ 185 3 night include taxis fee ( not use phone safe ) great price last minute ( 1 week ) . arrive put north tower , one upper floor great view main street bit strip . vanity area little small good enough 1 person . couch 2 chair could sit watch sight room . maybe negative right next las vegas club sign blink go night close drape little . one plus ask bellman let go downstairs weigh suitcase purchasing area make sure 50 pound airline limit . great save $ 50 bag extra . mention not use safe not remove $ 1 day charge . 
 Jan 20 2007 	 get not pay ... 	 look cheap alternative expensive strip , well find get pay ... cheap . stay 1104 South Tower Jan 14 - 17 . pretty tolerant dirty old motel sometimes , one bad list . read review think , would nice place , not . soon enter , noticed floor vacume , table dirty , dust bunny cling popcorn ceiling heater fan ( window ) . toilet 's plunger would stick flush , leak time . bathroom way outdate . king bed hard old . tv small 19 & quot ; . 5 channel . door gap , hear noise talk etc hall . well , $ 31 / night . elevator 60 's , ride risk . doubt hotel renovate 30 year . though tell desk clerk , say yes get complaint day South Tower room . say plan renovate South Tower . say checking , would give renovate North Tower room price . try ... be suppose $ 15 ( online ) . right Fremont Experiance . parking garage free . 's ... get not pay ! 
 Jan 18 2007 	 treat we well 	 spend 4 night ( Jan. 9 - 13 , 2007 ) North Tower Vegas Club Casino / Hotel . convention town late arrival hotel , south tower room ( book cheap price ) full upgrade north tower . second night stay , around midnight husband shower go bed , power go bathroom separate vanity area . call maintenance immediately ; however , hour , unable fix problem . really not want pack move hour ( 1 a.m. time ) choice . next day , speak manager , Yulianna , apologize take entire one night 's charge bill . pleased response problem . complaint would move , ask night front desk clerk , Mike , cart gave ask could leave hallway next room do ( dead tired - still Michigan time ) reply & quot ; & quot ; bring right back . finally send security security take cart back do . thank , Yulianna , take care we Vegas Club . 
 Jan 5 2007 	 stay Jan 07 . 	 receive 3 day comp get back today .. get south tower room , clean , neat , good bed . call pillow , hair dryer light repair , right fix everything . nice staff , confusing rule comp , tell one thing one day another next .. slot tight lost alot , come ahead black jack . beware & quot ; liberal rule ' table , bj pay even money 8 deck .. food upper deck . still like place . good value downtown get alot . pro : right freemont street , comfy room , frill . nice people . con : slot tighter tight comp rule change , easy get . may still go back .. 
 Nov 13 2006 	 Cean Comfotable 	 return Las Vegas Club . third stay husband fourth . always pleased stay . room clean comfortable . casino also clean . like fact return trip see face behind front desk , dealer new cocktail waitress . say great place large turnover employee . like greate smile , thank stay gambling hotel . comp great . home less week recieve another great offer free discount night . guess take go back week . 
 Nov 8 2006 	 great time ! 	 stay property 10/31 11/7 . easy get drive problem self park garage . say narrow not think problem . room 1225 North tower room great . roomy , light color decorate . king size bed , loveseat 2 wing chair . bed comfortable . like way bath set ... sink outside room tub toilet . way , could dry hair husband shower . housekeeping keep everything tidy ... complaint . use safe also fridge bring room ... ask checkout remove daily fee bill . casino alot fun dealer nice . would definitely stay . 
 oct 9 2006 	 5th stay Vegas Club 	 little play , first stay , sign gamble Vegas Players ' Club Card , Vegas Club send mailer comp discount room rate . stay North Tower . toke desk clerk $ 10 & quot ; pick nice one ! & quot ; . get king N / S . call housekeeping soon arrive get pillow , need . not wait ' till want go sleep . tip buck nice person bring . room always , clean , also , , bare . clock / radio / alarm . bring one ! hair dryer . bring one ! coffee maker . bring one ! ! ! bathtub commode share room , single basin sink share alcove open reach - in wardrobe . make - up vanity mirror , light outlet next bed . bar soap , shampoo , lotion include . carpet beige . brave , imo . artwork frame Mediterranean Seaside print . drape blackout . floor ice machine $ 1.50 Pepsi / Bottled Water machine . Upper Deck Restaurant good diner food , good , cheap , graveyard breakfast sale . great Moments Room great , advertised , close Tues we d. Public Internet access across gift shop snack bar . check - in/ Parking Ogden . liberal rule Blackjack , 5x Odds Craps , Roulette , let Ride , Texas hold them table game . lot slot vp . Keno Sports Book . staff friendly ! good luck ! ! ! 
 Jul 24 2006 	 would definitely stay 	 go Vegas twice year always stay downtown first stay Vegas Club . definitely will not last . location great . staff friendly . room large clean . North Tower seem upgrade somewhat . new wallpaper linen . carpet pretty old , nasty . walk barefoote without fear . comfortable bed hot shower . 's need Vegas anyway . complaint , big one , alarm clock room . not problem cel phone clock alarm , stay next time , will bring travel alarm clock . also , hairdryer , ask front desk , bring one within 5 minute . like previous review , also get free upgrade North Tower . book South hotels.com get ask North tower room , , move we free . , great hotel fun casino be luxury would certainly recommend . 
 Jun 28 2006 	 play not stay ! ! 	 husband stay two night 6/23 - 6/24.a lthough love casino waitstaff , room different story . plain tired looking , ice bucket liner alarm clock kinda inconvience . air conditioner blow light slow & amp ; 100 degree look forward go back cold room have . my husband find marijuana joint hall floor could smell entire top floor well . needless say go back favorite hotel Golden Nugget continue play Las Vegas Club . waitress wonderful drink great , would suggest stay unless really tight budget . 
 Jun 14 2006 	 need upgrading 	 stay large group weekend June 2nd . room South Tower . first , room definately need remodel . carpet stain need replace . amenity . hairdryer , iron coffeemaker , even clock . drain back take shower . icemaker floor go floor ice . say employee pleasant . not win much , other group win some . from heard , North Tower remodel , ask stay . 
 May 11 2006 	 great around 	 room clean , staff friendly . pleasantly surprised decent size room . two lady travel together great two vanity get ready . really good deal $ 37 night . aware nice bargin hotel amentitie many we come accustomed . hair dryer room gym pool Plaza across street . gym two treadmill , bike all - in - one weight machine ; room small least tv . pool area currently work would appear . open , 4 man tear part pool courtyard , bit noisey . get peak one room Plaza think Las Vegas Club much nice , large room pay $ 10 less night stay Plaza . the location perfect someone enjoy downtown atmosphere . plus , Golden Gate right across street easy get fabulous shrimp cocktail . really blow we away misplace $ 100 bill room , housekeeper find set night stand not even say anythign fact miss . , speak volumes integrity hotel . guess pay tip housekeeper ! would definately stay . 
 may 3 2006 	 Nice Bargain 	 stay last week find room quite nice . north tower remodel supposedly much nicer old south tower . check - in hostess confirm difference upgrade well tower . however , room not hair dryer surprise . not take mine year hotel , . Valet parking prompt friendly . pit boss personality . cocktail waitress not upgrade year , be ok . eat Upper Deck restaurant good . would certainly return . 
 Apr 30 2006 	 well expect 	 brother return spend two night Las Vegas Club . first , love & quot ; downtown & quot ; find fun well gambling strip . ' ve stay several downtown place year . end Las Vegas Club time could not get Main Street Station ( recent & quot ; favorite & quot ; ) due big convention . choose primarily base price review tripadvisor generally favorable . reservation south tower ( cheap old room ) ask North Tower check give extra charge . room large clean . shower / toilet separate sink helpful . bed comfortable . overall winner , particualry price be really gamble , hang room . comparison basis , think nicer four Queens Lady Luck nice Main Street Golden Nugget . & quot ; conclusion & quot ; be well reserve south tower ( less money ) try get well north tower checking . would definitely stay , particularly receive offer mail find be eligible discounted rate . 
 Apr 20 2006 	 great cheap . 	 Stayed weeknight pay $ 39 South Tower 4th floor . room good size , furniture wear . bed hard alittle lumpy . a / c not work luckily not warm since overnight , not bother change room . can not attest cleanliness carpet always travel slipper . even non - smoking room smell smoke , bad . shower pressure weak . check line short , service slow . location good 's Fremont Street Experience feel safe night . not sample restaurant . probably will not stay . stay El Cortez next night , California ( review ) . place well although area around El Cortez . 
 Apr 20 2006 	 great value ! 	 stay four night April Vegas Club . book South Tower , arrive ask could instead stay North Tower -- -the desk clerk shrug say okay give free upgrade . the North Tower room fit need nicely . room surprisingly large , bathroom shower / bath separate sink area . importantly , bed comfortable . ' m little picky bed one soft sheet quality pillow . the room also safe ( one dollar per day ) little lounge area loveseat , two chair table . television fifteen channel -- -- HBO . window face north California hotel / casino .... view probably well south - face room . I not eat Vegas Club restaurant . play casino never offer comp . blackjack pit boss kind jumpy -- -- worry card - counter . the Vegas Club location almost ideal -- -- 's California Main Street Station casino behind Vegas Club , Plaza across street , Golden Gate great shrimp cocktail across Fremont , step La Bayou huge selection daiquiris , Glitter Gulch nudie bar , Mermaids little casino deep - fry Twinkies Oreos . step Binion 's Golden Nugget . spend alot time casino .... even sit next guy Main Street Station make $ 25,000 blackjack two hour . I ' ve stay Luxor Monte Carlo previously .... Vegas Club doe not glitz attraction place offer , room nearly nice less half price . three trip Vegas ' ve decide ' m definitely downtown guy -- -- cheap , well rule gambling table , well payout video poker , vastly easy get around casino casino . 
 Mar 19 2006 	 great value 	 stay 3 night . one well value Vegas . great location . helpful staff . view room beautiful . stay significantly cheap nugget conference . would stay depend price . 
 Mar 9 2006 	 Loved ! 	 Feb24 - March3My hubby Vegas 7 night 25th anniversery . vegas 3 4 time always stay Golden Nugget . time since going long want something little cheap ( especially weekend rate ) . like stay downtown , busy strip . Vegas club quite surprise ! great rate plus like crowd . our room nice , view plaza mountains.housekeepe good . eat every morning upper deck ( compe ) , several evening meal , food bad . big spender food would rather spend money elsewhere . loved casino , start play BJ trip ok there . drink service could improve complaint think ! go back next yr grow kid prob stay ! 
 Jan 30 2006 	 good value $ $ $ $ 	 stay vegas club 2 night early Jan. book thru vegas get $ 29 rate . cheap , therefore bit worried . first could find reservation end name spell wrong sweet girl upgrade we delux king room North tower . remodel roomy please . great pressure shower ! food cafe cheap pretty good . service great . casino bit smoky luck slot . would definitely go back love downtown vibe . 
 Jan 21 2006 	 Clean Worth 	 read mixed review wonder . check Vegas Club , place great . top floor , 16 , South Tower . room clean , look highway mountain Plaza Hotel rigt across we . casino small busy Fremont really cool always busy music great walk around casino casino . Ya get odd person ask change asking & quot ; need anything good & quot ; live Toronto use downtown nothing everywhere . a short cab ride Strip easy get cab front acorss californias walk Nugget grab one . Vegas Club nice diner , decent food cheaply price . would stay sure . less commercialized compare Strip , affordable clean . attach pic area room . 
