ok 	 clean , comfortable . choose area O2 arena , although 7 minute walk Waterloo . sightseeing , good area . room comfortable , although wake Saturday morning 08:40 house cleaner see room ready clean ! ( bit early ) ! . check in / out fairly fast , although load people . breakfast good . major problem elevator . 3 whole hotel . luckily 3rd floor staircase , otherwise could 1/2 hour wait lift . staff professional . many London hotel , not like fact pay internet access . 
 Jul 11 2009 	 Great Location Friendly Staff 	 return week 's adventure London . stay Park Plaza County Hall London . since group 9 , require 4 room . great experience hotel ! staff friendly helpful , especially concierge staff graciously help we luggage , direction , even make airport van arrangement last minute . room clean , roomy enough , though large american standard , amazingly quiet considering block large hospital siren could hear day long . inside room would think country . bed comfortable , microwave refrigerator room , late night snack store extra food drink problem . package deal come breakfast include , say buffet morning wonderful . everything cereal fresh fruit scramble egg bacon , plus various bread , roll , croissant , etc . convenient pleasant way start day . good hotel 's location . well withe walk distance several attraction , London Eye , Westminster Abbey , river cruise , close Underground station want venture farth city . really thing fault hotel elevator system . generally slow , several guest hear complain elevator car go wrong floor push button floor . experience , end penthouse floor want get 4th floor . small inconvenience , really nothing think negative experience week 's stay . plan recommend hotel friend , definitely try make destination hotel travel London . 
 Jul 8 2009 	 budget allow try room # 1227- Jr. Suite view 	 spend four night Park Plaza mid June 2009 . book standard room view 85 GBP / night . arrive hotel offer upgrade corner Junior Suite additional amount include breakfast executive lounge-2nd floor , drink throughout day & quot ; Happy Hour & quot ; beer wine evening . room # 1227 corner suite spectacular view Eye Big Ben bedroom . suite master bedroom , living room , small kitchenette expresso maker , tea kettle microwave oven . bathroom modern separate tub rain forest shower . room rate include full english breakfast executive lounge . upgrade well worth additional cost . main breakfast room hotel madhouse breakfast . executive lounge quiet peaceful excellent service youthful staff hotel . hotel offer free internet , although serve mainly babysitter guest ' kid . hotel also offer free use washer dryer wash clothe happen road awhile . hotel good location near Southbank , Eye Waterloo Station . staff tend young somewhat inexperienced . lack polish , make helpful attitude friendly smile . engage staff conversation make new friend quickly . in closing , enjoy stay Park Plaza would certainly return . budget allow , least opt breakfast executive lounge . please aware sister hotel ( Park Plaza westminister - open 2010 ) build across Park Plaza hear construction activity room start around 8 am . work interior construction noise serious issue preclude stay Park Plaza . look good fish chip London ( arguably ) , try Masters Waterloo Rd . 's 20 minute walk hotel . 
 Jul 6 2009 	 Lovely Hotel - stay special occasion mention ! 	 partner , 26 stay birthday treat . book phone direct hotel mention partner birthday . book Superior room kitchenette & amp ; breakfast include vat price come £ 126 . couple day stay enquire early check . staff helpful advise early check not possible concierge would look luggage free charge . we arrive Waterloo 12 pm hotel 5 minute walk away . ( early ) check excellent , downfall lady serve us speak break english quite hard understand . give room 1225 12th floor , ideal scared height lift make glass room face huge drop restaurant ! upon enter room suddenly realise upgarded ( check lady may mention , can not certain ! ) . room lovely , main bedroom large tv , amazing bathroom seperate shower/ bath , living area another tv kitchen area . go downstairs drink bar , pint beer £ 4.25 , London expect price . manager Luke came offer we free shot Vodka , toast say & quot ; Happy Birthday & quot ; go onto offer we free glass champagne strawberry ! lovely touch would recommend let staff know celebrate . breakfast fantastic ( serve 6 am - 11 am ) ! serve everything could ever imagine full english fruit , cereal , pastry , cheese .... list endless . hotel fantastic since pay price stay Holiday Inn Covent Garden well worth money ! plus ideal location near war museum South Bank . return ! 
 Jul 6 2009 	 Old Fashioned Service New Shiny Hotel 	 stay Saturday 4th July 2009 . book standard room £ 136.50 include breakfast offer upgrade studio extra £ 15 . room large , well - equip bed Hypnos exceptionally comfortable ( firm ) .There bedroom LCD tv , vanity wardrobe . bathroom marble top soaker tub huge walk - in shower sunflower rain style shower head . lot marble . outside bathroom small kitchenette microwave , sink , minibar , cutlery plate , mug etc . kettle expresso machine little foil pack expresso shot . the lounge huge sofa , two chair huge picture window ( floor - to - ceiling ) plus desk large LCD tv it . soundproof air - con good . breakfast excellent . hotel one block behind Marriott County Hall therefore exceptional location much low room rate . the good point superb hotel staff . highly motivated courteous professional . we stay many high end hotel hotel compare favourably . 
 Jul 6 2009 	 love 	 location outstanding hotel clean , modern comfortable . offer upgrade executive room . room ! corner room full London Eye view . not get well : ) staff excellent , room amazing , location outstanding . look breakfast restaurant glad able breakfast Executive lounge . upgrade well worth little extra charge . yes , elevator slow ( slow ) annoy annoying enough ruin fabulous hotel . wish would monitor free internet child take playing game watch u - tube . report situation front desk manager straight away . use hotel base watch Wimbledon tennis match . Waterloo station less 10 minute walk away . also enjoyed walk along Thames river South Bank walkway . stay hotel excellent choice . 
 Jun 30 2009 	 Excellent hotel - perfect location 	 stay hotel 1 day June young family . much interaction hotel staff service tell room excellent every respect . new , modern , stylish comfortable . could find anything wrong room . absolutely love . location perfect , minute walk waterloo station Westminster bridge , Big Ben , etc . room bit pricy still recomend everyone . 
 Jun 25 2009 	 Great Hotel Great Location 	 5 minute walk Waterloon Station , London Eye , County Hall , South Bank - great location . check girl unbelieveably friendly helpful . room high standard - bathroom little small side fully functional . never eat hotel breakfast look pricey . Checkout busy still perform 5 min . would definitely stay . 
 Jun 25 2009 	 5 - star suite 1 - star breakfast 	 stay two night one 13th floor studio suite . suite perfect : comfortable bed , large living room fatastic panoramic view Houses Parliament - Big Ben London Eye , sleek design bathroom fully equip kitchenette ( even include Nespresso machine ) . double glazing keep outside noise . location good : next Waterloo Station , short walk away South Bank attraction . 5 - star room clash unfortunately below - average quality breakfast service , 's fault could find . in short : forget breakfast , ignore slow elevator , excellent hotel central London little 105 pound per night . 
 Jun 1 2009 	 well well last year 	 come back hotel stay July 2008 really enjoy . try check , lady front desk incredulous rate . see , guest relation manager see prior post say ever want come back contact . well give decent rate . lady come back tow supervisor . ask : & quot ; get rate ? & quot ; said & quot ; Francois give I . & quot ; oh would , reply go say lucky day honor rate , God know be not , probably would honored . -- rather give upgrade breakfast voucher -- instruct go kill time room ready ; 8 hour transatlantic flight . trudge restaurant , hostess concerned understood pay -- say least four time -- welcome we . staff restaurant mostly new . peevs : 1 ) cab hail we ; 2 ) toiletry ration : give one tiny bar soap three people . bright spot : doorman Luke ( ? ) concierge , latter extremely helpful reservation drive cotswold former recognize daughter last year ask we . finally , would recommend hotel ? yes . less block waterloo station , centrally locate new room . barely use room mostly time . 
 May 30 2009 	 Excellent Stay 	 wife choose hotel proximity Waterloo Station - five minute walk- enjoy stay Park Plaza Victoria December last year . soon arrive impressed efficient warm welcome . offer upgrade Junior Suite London Eye view reduce rate , £ 45 per night extra . not sure first eventally decide take offer glad do . the Suite spacious view fantastic . room everything would expect level spotless quiet . however , good thing upgrade access Executive Lounge terrace 2nd floor . breakfast serve ( original booking not include breakfast ) day open card holder unlimited hot / cold drink , muffin etc , six o'clock evening provide alcoholic drink snack . everything complementary . needless say spend fair amount time wthout excess abuse feel justified price upgrade . offer make available would advise accept . unfortunately spend much time Executive Lounge not make use hotel bar restaurant look fine price seem ok . health centre offer good range treatment unable book massage day want . tell would contact arrange another time nobody get back I . the problem encounter evening arrival first suite allocate bad smell - drain think . mention straight away concierge help we luggage move another suite immediately . the hotel well locate . several restaurant nearby one South Bank busy people queue . Westminster Jubilee bridge five ten minute hotel mean Westminster Abbey , Houses Parliament , Trafalgar Square , Covent Garden , St James Park etc . within comfortable walking distance . 
 May 21 2009 	 excellent choice ! 	 ' ve London several time , general standard hotel appalling , decide book hotel go London business trip . the hotel locate pretty much next Waterloo Station , ideal location . book hotel online , upon arrival , offer upgrade executive suite . package also include access executive lounge , private breakfast , coplimentary snack evening drink . the room large , sit room desk kitchenette , spacious bedroom . decor modern , relatively minimalist , room huge floor - to - ceiling window overlook London Eye . room clean , bathroom large spotless , soft towel bathrobe . the executive lounge offer free selection snack , muffin , fruit etc , well drink , include wine night . breakfast lounge well . selection not huge , everything fresh , apetize delicious ! , stay hotel enjoyable . bed slightly hard side , problem . negative experience aircondition go haywire , room suddenly turn swelter hot , since eighth floor , could not open window ... notify front desk , take next day fix , not get much sleep night ... except , experience great , would recommend anyone . 
 May 9 2009 	 Forget breakfast ... 	 hotel choice London - location suit purpose perfectly stone 's throw St Thomas Hospital , Westminster Horseguards . if lucky get really nice room - room still good - small turn air con . stayed & quot ; big snow & quot ; February room cold indeed . however - nice hotel - terrible food ( report previous review ) friendly staff . lift need reprograme seem mind - not good serve customer - staff need reprograme reception cut cackle give key . seriously interested nice stay chit chat . now come problem - stay executive room ( £ 40 extra ) get access executive lounge - decent breakfast - even get cup MUG . elect stay & quot ; normal & quot ; breakfast real bun - fight - last time stayed manage get cup tea three piece toast - sit bar area . unacceptable could mean leave hotel find another . simply many tourist business hotel . sad - true . 
 may 6 2009 	 really dissapointe 	 stay Park Plaza County Hall last year wonderful experience , really look forward repeat visit . check - in relatively smooth , hitch . however , get room - studio three person - notice room different shape previous stay , toilet adjacent bedroom . visit reception , greet extremely rude staff member , tell room exactly request type room within category . explain stay , lady look system - rather reluctanly - find stay , still refuse change room suitable one . lady also speak mid - conversation , incredably rude would expect Rezidor group hotel . whole experience even put , Silver Elite Goldpoints Member Rezidor Group - stay several Rezidor group hotel month - yet treat extremely rudely condisending manner . posative note , room nice , quite wanted ask . pleasant stay , let extremely rude member front desk staff - anyone would expect pay premium price premium service . result experience , return . 
 May 4 2009 	 Superb 	 return outtande stay Park Plaza County Hall . fantastic location - Waterloo station London Eye / South Bank 5 minute walk Covent Garden within walk distance one bridge . lovely staff . stay Junior Suite 12th floor . separate bedroom living room , view London Eye Big Ben bedroom . 
 Apr 27 2009 	 Best Plaza London ever .... 	 Park Plaza County Hall London , open early 2008.i rang book hotel surprise trip girlfriend finish master pass fly color . after book , rang explain situation say would sort something we . on arrival could not believe close hotel London eye . when check tell wait general manager .... ? ? anyway came congratulate girlfriend result say special room we . he get lift we show we door , top floor . at extra cost put we Penthouse suite ( get home notice site room £ 800 per night , Yow ) give we bottle Champagne , Chocolate cover strawberry , bouquet flower hand sign congratulation card manager himself . the room well , penthouse need say , open planned living 's top floor balcony stretch round hotel . the view amazing thame London eye . a huge bathroom shower , bath , twin sink really high standard . we load free amenity fruit bowl , two big glass jar nuts selection fresh coffee . there load cutlery draw enough family 6 , along plate etc .. staff really efficient even though none seem english speak english well friendly . breakfast hotel good , huge selection available . they offer lot good bargain website http : //www.parkplaza.com / countyhall_londoni stay treat respect receive warm welcome . overall 4 star hotel , expect nothing 5 star treatment . 
 Apr 27 2009 	 inept staff terrible infrastructure 	 disappointing stay . hotel present new shiny outside , problem start right front door , rarely doorman around . struggle completely bag tricky revolving door . real problem hotel large , number room guest simply overwhelm limited staff , public space restaurant . elevator situation disaster -- plan wait five ten minute lift , assume fight way one ( not get hand snap vicious door ) . hotel 13 floor , stair generally option . breakfast disaster . though stay three day eat different time , also total zoo . line get dining room snake door lobby take 20 minute work way . staff clueless -- polite utterly inept ineffectual unable solve kind problem . basic management issue -- run food number guest . bar well ; try get club sandwich one day lunch , bar staff ( far interested somekind busy work behind bar absorb full attention ) seem utterly flummoxed concept -- clueless set place lunch . this place need new management infrastructure upgrade . maybe work kink , , pay price ( cheap ) .The room ok , though small , one thing get right soundproof -- necessity since many room overlook Waterloo Station train yard . 
 Apr 24 2009 	 Impressed 	 stay wife young daughter long weekend recently , could not fault ( bar couple minor niggle ) . location excellent , westminster 5 min walk . ask river view ( wedding anniversary ) get ( can not actually see much river get impressive view London Eye , parliament etc . ) . room smart clean , sofa bed great kid . issue faint smell drain bathroom ( mention other ) , air conditioning adequate . apart impress , especially quality service - staff friendly efficient . would definately stay , well worth consider , especially child . 
 Apr 24 2009 	 fantastic - great hotel ! 	 sister stay hotel 5th July 2008 ... fantastic hotel 5 minute walk London Eye Aquarium .. arrive hotel quite early kindly let we check room luckily ready we ! pay £ 120 one night centre busy london quite happy ... however book twin room give suite ( grumble ) suite / studio apartment fabulous ... bedroom make setee living area ... kitchen facility bathroom amazing .... shower fit two people bath various facility delight .... Wished could stay one night .... Great PlaceAlso meal restaurant quite nice actually ! go enjoy ... ... ! ! ! 
 Apr 23 2009 	 nice view London eye 	 nice property near London eye , place pretty close Waterloo Station . although spacious Park Plaza Riverbank hundred yard away , place equally good aspect 
 Apr 21 2009 	 great service stuffy bedroom 	 stay first time recommend colleague . check service excellent , friendly welcoming . however room real disappointment . someone else comment funny smell drain first floor increase go room . air conditioning not work first night although fix quickly 2nd night . room overlook bar area mean quite noisy night face atrium area real window . make stuffy place . ' m sure good room think need check get closely . personally despite great service , prefer room Novotel . 
 Apr 18 2009 	 Friendliest service ever - clearly well - run hotel 	 Fabulous service arrival departure . trendy room , funky bar , cool restaurant , good food , great gym spotless facility ! 
 Apr 17 2009 	 Impeccable 	 must admit , one incredible stay ' ve . season traveller around Europe , establishment everything go - step Waterloo station heart London , vibrant electric ambiance , friendly helpful service direction guest manager . value affordable price hotel frequenter great well . tell review , place * * address choice London , argue . cheer thanks wonderful staff County Hall Valentine 's day stay . - Tahir 
 Apr 16 2009 	 stay ! 	 lovely , smart , exceptionally clean , contemporary hotel , good location Westminster sight , near Waterloo Station . execellent room , excellent breakfast , helpful , friendly concierge . stay business trip , one meal restaurant , good , beware price drink ! gym small air conditioning , can not everything ! 
 Apr 16 2009 	 Ideal every way 	 superbly locate hotel , two minute walk London Eye , ten minute Big Ben fifteen minute Trafalgar Square . lot bus route pass nearby , Waterloo underground five minute walk London bus tour pass close by . the family studio great , upgrade river view room , never room day , could not see point . contintental breakfast include read previous review 7.30 - always seat straight away service good , choice fine . family young child ( 10 & amp ; 6 ) fine choice capital . 
 Apr 15 2009 	 Fabulous hotel ! 	 stay partner day Christmas 2008.it 's great hotel - room modern , clean spacious , come kitchenette . location great - literally 3 minute walk London Eye everywhere walkable tourist interest . breakfast one good breakfast hotel . 's help large cooked breakfast choice , cereal , pastry etc etc . the hotel good value money great location . complaint staff mainly foreign hard communicate not affect fact really nice stay . 
 Apr 11 2009 	 nice hotel 	 nice hotel , clean spacious room , breakfast lovely , use restaurant good choice menu expensive , hotel really central everything , read previous review little apprehensive , gripe , staff friendly receptionist lose interest decline upgrade 49.00 per night , . stay studio room comfortable , go back london would use hotel ... 
 Apr 6 2009 	 supberb 	 return trip London 2 son age 4 7 . stay hotel 2 night fabulous time . room extremely comfortable fridge microwave kitchen area . child make welcome give welcome bag bubble bath game £ 5 voucher spend hotel . the food great excellent selection breakfast staff efficient helpful . the location perfect simple walk across road South Bank variety place eat load street theatre keep tjhe child entertain . we definately return ! 
 Apr 6 2009 	 could not ask ! 	 2nd time partner stay , time take friend along we too . on arrival , GoldPoints card holder ( loyalty card get free Park Plaza website ) , give free room upgrade junior suite . Amazingy , happen last time , know expect ! room spotlessly clean , spacious bag storage space . view full - length window amazing , overlook Gherkin Canary Wharf . kitchen area great , able make food use sink , crockery , cutlery microwave oven coffee machine great addition . the separate bedroom area clean , spacious comfortable ( little dark side natural light ) extra bedding too . the bathroom clean , bright love steam - free mirror ! huge fluffy white towel , bath robe slipper make feel cosy ! location spot - on , minute walk big landmark city . staff friendly , helpful professional well happy help . I would definately stay ! 
 Apr 3 2009 	 average problem 	 organise group booking towards end March 2009 . check - in efficient , professional friendly . upgrade Executive Rooms feature separate living / bedroom area , 2 flat screen tv etc bathtub bathroom . standard room small average shower bathroom . Bedrooms generally find feel clean modern . problem report include sewage smell bathroom . poor sound insulation adjoining room bothersome . odd bedroom layout standard / studio room . pretty disorganised approach breakfast Spectrum restaurant mean long wait table peak time slow replenishment breakfast item mean guest leave limited choice sometimes . staff friendly well - mean system need improve . this hotel good ( great staff ) could much , much well focused join - up management approach . would incline recommend reservation . 
 Mar 25 2009 	 Location Cleanliness ......... Park Plaza County Hall ................. ? 	 second stay Park Plaza County Hall time great , exception traveler must know ! room 1327 exec suitepros : check make quick easy upgrade Exec Suite , thank goodness offer room confirm city face ( later ) . pound upgrade also allow we Exec Breakfast use Exec Lounge room key . exec room make hallway build kitchen bathroom across . kitchen top class , clean ample supply coffee tea stuff espresso maker , mini bar mini fridge . bathroom small fantastic walk shower full size bathtub . everything clean presentation body lotion , shampoos soap top notch ! first room , fold sofa bed good sized came write table , flat screen tv large build wardrobe . safe , slipper , hanger iron / iron board . sofa bed HARD mean adult . second room , bedroom , nice two wall make entirely glass ! ! ! bed ok , plush , soft hard , kind lumpy short , 6 foot half long 9 foot wide . flat screen tv night stand end . clean new looking . con : toilet still make whooshing noise flush , deal ? later night water smell back - up sewage , early morning ......... bad , noticeable ...... Park Plaza water overflow pressure problem ? towel clean , look motor grease ? city view verse River View ....... thank goodness upgrade Exec Suite . city view full size glass wall face construction site new Park Plaza Westminster Hotel along construction worker ! , two window face direction third face river Thames ; draw curtain face city entire time . worker friendly give we wave , decide entertain way : ) future new hotel do ( 2010 ) would want stay city face room ! ! ! ! ! warn parent : little one aware furniture sharp edge ! ! ! ! end table bed close head height ( lay ) could literary cut head open night ! ! ! ! breakfast ; 2008 take breakfast option . glad every morning line form around hotel chaos . time breakfast include Exec Suite price Breakfast location would Exec Lounge . lounge small , table small breakfast terrible way . get fixing full english Breakfast , thing cold ( egg , mushroom tomato ) everything else ample coffee good . lounge relaxing , pressure stress server well . lot well go chaos ! ! ! ! ! go across street Starbucks ! Room Service ; get late one evening show dinner decide room service . selection limit 11 pm still nice variety item . caeser salad Salmon fantastic cheese plate cold beer . check - out : fast easy . problem check seem group tour depart one time . leave around 11 issue . staff helpful store bag charge check . last stay ; love location , fantastic staff comfortable room not think could stay due new hotel across street . new hotel overshadow County Hall typical english deficient city planning . option decent view diminish extreme cost involve Exec Suites Penthouse $ $ $ . may look Westminster complete go river Park Plaza . 
 Mar 24 2009 	 Good Hotel Great Location Fantastic Staff 	 get great rate though internet agent , get upgrade tell reception celebrate special aniversary . room trendy also extremely comfortable service throughout hotel first class . the issue queue breakfast Saturday morning , be typical London hotel enough capacity feed full house , cure room service Sunday morning . room service breakfast good ' ve ever see taste ! disappoint great hotel . 
 Mar 18 2009 	 dream ! ! ! 	 not understand negative comment hotel . two friend come back excellent stay plaza county hotel . the reception staff friendly . the girl help we almost everything , question answer could enter room immediately ( arrival time around 11.00am ) .the room ( studio ) perfect . large clean amazing view . my friend appreaciate expresso machine adore cookie ( free charge ) .We would recommend hotel friend . may new manager find read negative comment ! ! come back . 
 Mar 18 2009 	 holiday kid 	 hotel top notch stay crowne plaza put htis budget par get pay trawl interweb cost compare prorata hilt hotel par par location service cost come prity close top list do not get merc ford moneyp.s . book next trip stay plaza 
 Mar 18 2009 	 good hotel would return 	 read mixed review unsure say least stay . could'nt find well location central base closeness sight tube stations.staff friendly helpful times.if could answer query find collogue could . breakfast bad review , tappas bar ok , long wait hurry anyway . staff prompt keep informed delay give discount without even asking.room small space use effectively . clean tidy . bed hard comfortable.very modern decor style hotel.dident find wait lift bad & quot ; wait lift & quot ; .no que check out.easy get taxi waive hotel door.i would problem stay . 
 Mar 5 2009 	 good hotel family 	 get good deal hotel . room generally nice . parent also stay hotel - issue room warm . although staff try fix problem couple time unable . breakfast ok great . Hotel REALLY full stayed get breakfast early avoid long queue . location quite good though fun place stay couple night . one instereste thing try upgrade we penthouse check ... price course . never happen although not unpleasant bit strange ! 
 Mar 4 2009 	 terrible hotel - do not go whatever ! ! 	 originally book Park Plaza river half term 9 year old son . arrive early ( approx 11.00am ) tell room be not ready left bag room would ready later . leave great day sightsee London . on return hotel meet smarmy manager come strange story previous occupant room take hospital therefore could not get room clean ! ! obvious lie ( since admit hotel ) say would put we sister hotel - Parlk Plaza County Hall . eventually arrive 2nd hotel chaos . the check swamp surley staff could not find revised booking ! long wait eventually allocate room 11th floor . time wait lift -and wait ! ! 3 elevator slow ever encounter one service . we wait 10 minute average throughout stay lift . eventually get room due delay late ( miss ) London Eye flight pre book . eventually get go London Eye ( nice man gate understand problem ) . back hotel , room ok , furnishing however seem cheap coffee ( although fancy coffee machine ) mirror anywhere near plug socket dry hair etc impossibility ! room divide two partition tv ' portion ' room . you can not noth tv 's time watch tv child asleep effectively room . bed poor quality - especially sofa bed . if old 5 bed feel like plank wood ! ! toiletry also cheap bed stain . poor night sleep go breakfast meet queue snake around hotel lobby . moved give voucher executive dining room head . absolute disaster ! ! hotel bad service breakfast ever encounter . in ' executive ' lounge limited number table , other eat settee 's lap . staff bad temper service disgrace . the food run , cold poor quality - fruit ! plate wait age tea / coffee . take hour half second rate breakfast . floor dining room dirty cover food ( mainly egg frankly disgusting ! ) .Whenh return hotel later day go dinner , ask concierge recommendation restaraunt give print map explanation somewhere mile away ! discover great little italian round corner . son also lose beloved teddy room sunday late trip book breakfast service delay check hurry miss teddy bed . we contact hotel fobbed say would go laundry ( contact laundry great teddy find ) get impression child beloved toy small problem proper look / investigation . we get couple e mail housekeeping could not really understand ( lady French think ) apologised- good enough . in summary hotel give impression chaos quality skimp furnishing look ok really cheap nasty . dont stay want see London - spend time wait bad breakfast wait lift ! ! offer night free stay issue encounter hmmmm ! ! ! would rather stay Premier Inn near London Eye , much well value service ! ! 
 Mar 2 2009 	 apprehensive ? 	 & amp ; girlfriend stay one night ( bed & amp ; breakfast Saturday night ) Park Plaza County Hall & amp ; check check excellant . since book hotel read mixed review Tripadvisor since stay wonder apprehenive . firstly location . its central . its basically minute away Waterloo & amp ; Westminster Underground Stations . check prompt & amp ; efficient . I request room view river receptionist could not fulfill request . he apologetic . it one night not issue . I ask receptionist could breakfast room follow morning . that problem & amp ; surcharge add either . we request breakfast 11 am ( bit late breakfaston Sunday Morning ) , problem . room ( & quot ; executive suite & quot ; ) clean , spacious & amp ; modern . it two tv internet . it kitchette include microwave & amp ; sink . bathroom facility clean & amp ; modern . lot member complain slowness lift , 7th floor & amp ; do not find issue . bar area bright & amp ; modern . drink pricey expect central London . we not eat restaurant food anything like breakfast would complaint . we enjoy experience much girlfriend book week time return friend shopping trip . 
 Feb 23 2009 	 poorly manage - would not stay 	 Booked Junior Suite website promotion take kid London Half Term . got find access & quot ; executive Lounge & quot ; plus free bar 6 - 8 lot sof good thing . great start . go load walk hope retire room watch movie kid . try get movie find not work . call reception , 20 minute offer differnet room appear know fault tv room ( wer etwo tv - niether work ! ! ) . move stuff 10 flight new room find movie not work either . time get late watch film whole way go reception ask send someone next day fix . tha tpoint tell whole hotel - thank guy , could save moving tell early .... next morning go along & quot ; Executive Lounge & quot ; breakfast . wife order poached egg rather scramble egg offer - take 30 minute arrive ! ! arrive , buffet bacon , sauasage , fruit juice many thing ..... staff top . many people leave room without eat . next morning rang reception explain tha ti would rpefer breakfast main dining room due previous day problem - would problem say , would charge £ 17 head breakfast ! ! needless say , go back teh buffet & quot ; Executive Lounge & quot ; . queue reception dining room breakfast horrendous ... also take lift mean long wait two three working .... would not recommend stay shame , bit organisation staff would great hotel . location good , hotel new clean food ( arrive ) good quality - need new manager would worth return . 
 Feb 17 2009 	 good location ... 	 book valentine weekend break hotel think modern hotel would change usual old central london hotel . rate quote include breakfast indicate clearly confirmation email . arrive also freely confirm friendly receptionist . the room 11th floor one small window overlooking atrium , expect natural light fresh air . would fine except air conditioning , despite set coolest setting , nothing reduce swelter temperature room . despite we try everything bath / shower tap way get water bath tap ( matter persist overhead shower ) . relax soak long day sightseeing . breakfast bit scrum completely run bacon Sunday morning half hour breakfast service go inexcusable hotel ! come check 12:00pm quite queue reception . member staff run round offer people express checkout want check bill first . thankfully breakfast charge despite include rate . add around £ 65 bill ask remove . problem really start . receptionist obviously difficulty customer queue ahead came turn understand . girl clearly & quot ; unwell & quot ; . appear influence either drink drug stare blankly computer try amend bill . eventually , 20 minute nothing happen despite ask several time problem ( mumble continued stare blankly ) partner seek reception manager take receptionist sort bill quickly . obvious girl uncapable dealing customer ( incapable communicating actually ) notice much early - three receptionist work hard behind desk . apart hotel great location clean adequate . would not stay though . 
 Feb 13 2009 	 Bad Servive 	 stay one night 2 friend . hotel book pay upfront use friend credit card internet site . on arrival tell room pay credit card detail would take reserve room , however friend receive credit statement amount debit previous month . the receptionist rude snigger friend dilemma . unless want sleep outside would pay room again- tell card would use secure room would debit leave . we advise refundable charge £ 25 would apply case service use . at check friend ask enter credit card detail again- worried friend type pin assure one payment would take . on return total 3 payment taken- 2 hotel include £ 25 deposit . one take day leave ! friend contact hotel although refund extra payment apologise mistake . we give upgrade- expect something little special disappointed room dread think originally book . room 13th floor certainly prove unlucky we . cant fault cleanliness room smalloverall experience hotel poor . 
 Feb 6 2009 	 well London Standards 	 hotel great London standard . location convenient , although would call beautiful surrounding , close Waterloo Westminster Underground station , Houses Parliament , Big Ben London Eye South Bank 's beautiful riverwalk . would recommend Springtime summer , walk everywhere much nice cold winter like one , must rely london 's unpredictable public transport . hand , one interesting & quot ; new & quot ; area London , interested Tate Modern , Millenium Bridge , London Eye , River Boats , Westmister lively new river walk , place stay London . within walking distance , well highlight National Gallery , Trafalgar , Buckingham Palace , Westminster Abbey Strand . at 85 Euros per night offer Superior room , fact call standard room . room 710 bit large & quot ; superior & quot ; .room small comfortable . minimalist decoration , modern furniture , modern facility , small clean bathroom good shower ... , good : thick , dusty , stained , shabby carpeting , hate find british hotel . the staff really helpful polite although find one problem aware beforehand read previous comment : not offer adaptor plug . run soon , say 's high demand . not include one adapter plug every room ? . think many european guest obviously need they . I would stay next visit London 
 Feb 1 2009 	 Fab stay Park Plaza : ) 	 fantastic stay , upgrade birthday find staff amazingly attentive friendly , cater really well family . child room service dinner late theatre punctual lovely terribly expensive . staff wonderful , especially irish waiter Luke Francois little thing stay make completely perfect totally memorable . great location sightseeing fab , especially family , although not let put , would great hotel . 
 Jan 28 2009 	 Park Plaza County Hall please we 	 start Thanksgiving week trip London Paris first half Park Plaza County Hall . travel husband 16 year old daughter love figure underground ! essentially room , since nice sofa bed living room . cool modern bathroom kitchenette . originally want stay Marriot County Hall , end get room well half price via hotwire search four star hotel South Bank . good deal . block half Thames easily walk Big Ben attraction . cool decor color light hotel lobby , restaurant room .. first time use Hotwire pleased outcome . 
 Jan 26 2009 	 REALLY like ! 	 book directly Park Plaza call via website . book group . they entirely helpful , even special request extra charge - example , quiet room view . also upgrade Studio room . loved design hotel , everything seem clean efficient . check little slow , compensate free drink wait ( actually wait 10mins top ) . Breakfast need include cook , little canteen - ish ; staff exceptionally attentive cheerful . in fact staff hotel helpful friendly . I get annoyed wait lift , grumble , say lot ! stay cheap hotel central , many . would recommend hotel . great family , especially studio room , kitchen . 
 Jan 26 2009 	 Excellent Location 	 stay Hotel two night . check quick efficient common & quot ; wish upgrade ? & quot ; .Room Superior apparently ( two single bed , tv , desk chair , microwave , fridge sink view leave Waterloo Station right building site ) .I assume & quot ; standard & quot ; room one look central atrium outside view . room bathroom clean . room hot windows open take time cool thermostat turn low setting . breakfast fine first morning however line second morning long decide go starbuck across road . overall £ 110 per night B & amp ; b good location fine . if want clean room good location Hotel hit mark somewhere leave rave . 
 Jan 14 2009 	 good hotel overall 	 Booked hotel want somewhere could accomodate 2 friend 6yr old , room seperate bedroom / living area seem fit bill . room good , tv area , bathroom kitchenette well equip , hotel general clean tidy . also use executive lounge well worth add cost - breakfast every day - good selection cook continental breakfast , also visit 2 3 night drink nibble ! include . view little dissapointing request city view - not realise different river view , could really see Waterloo train station ! , lack slipper exec room happy hotel location . 
 Jan 12 2009 	 impressive 	 really impressed hotel . great look bar lobby . staff friendly helpful detached way . room clean well equip . microwave , plate , cutlery , bottle opener , lot glass etc.duvet thin.great location . 
