Top 	 mother stay weekend , get great deal Lastminute.com . 's fantastic hotel ( atrium area particular quite stunning ) , wonderfully attentive staff , comfortable bedroom literally stone 's throw away St Paul 's . room even view St. Paul 's , although suspect not . small niggle smell paint permeate part hotel bathroom deluge - type shower head , hair get wet every time shower . price breakfast would extortionate ( £ 23pp ! ) discover lovely Cafe Rouge road provide we reasonable option well view . but niggle - whole , thoroughly enjoyable experience . service impeccable friendly , porter reception concierge chamber maid . room pleasant , well stocked mini bar , tea make facility , comfortable bed black blind . bedroom divide across two building , could not comment room main complex , room far enough away hotel bar general bustle noise issue . really could not ask well location - St. Paul 's Tate Modern right doorstep good food option nearby not want pay hotel price . 
 great location - five star 	 stay weekend 27th-29th November . perfect location right beside St Paul 's , , nice hotel glitch . fire alarm go twice first night- apology post say somebody smoke ........ anyhow , reasonable people thing happen . bar busy night atmosphere service slow - major complaint London full good place go . main complaint shower fancy water Sunday morning nearly hot enough- big minus - what s wrong simple efficient power shower ? conclusion - good hotel , five star . staff pleasant , price excellent . 
 modern comfortable hotel 	 well appoint , modern hotel 2 minute ' walk St Paul 's Cathedral . spacious public area . bedroom large well decorate . shower little fiddly , work well . fitness centre advertise , available yet ( although reciprocal arrangement sister hotel 20 minute walk away Holborn . 
 great room great location business 	 price pay hotel , highly recommend ( steal 90 pound per night ) . great location , right next beautiful St Paul 's Cathedral minute walk 3 tube station . low price due fact part hotel build , see hear construction . room new & amp ; trendy , bathroom slightly small , however typical London hotel room . great stay town business . purpose see sight , prepared travel around 10 - 15 minute tube west end area . staff friendly . would stay rack rate . 
 Fantastic Hotel value money 	 great hotel money excellent location next St Pauls . our T.V work , ok sleepy arrive . they send everyone see could fix , could ... manager even come Director phone see could help .... end send we great bottle wine house say pay room service bill , rather large . staff polite really make feel welcome ... apparently open short time . say good luck future & quot ; Grange Hotel & quot ; , go , stay , love . 
 Nightmare ! maybe great day . 	 check - in Nov 27th rude front - desk staff make effort please we . come Paris kind immune staff rudeness big surprise shock hotel London pretend 5 star . despite could visibly see lot people check - out like typical business hotel Friday arrange early check - in . point speculate might relate fact get room via lastminute.com movement front - desk obvious certainly room available time ( ~10am ) .I typical accent work american company speak English every day . even use comprehend every part world lady front - desk show great difficulty understand require listening class give pretension hotel international class business 5 star . the big absurd however yet come . allow rest upon arrival really need rest night . fire alarm rang 6 am cause huge panic stop call reception inform we false alarm . rang 7:40am call reception ( well , think could recognize voice ) … start say inadmissible even allow finish phrase interrupt say would call back check need evacuate . well , write post 30 minute later 6:10am still wait call . differently front desk concierge kind make effort helpfull reason give service rate 2 otherwise would zero hotel average . I see failure rater , bath soak , two towel leave bathroom , etc . all even get via lastminute.com good value money least expect hotel place rest definitely could rest getting stress upset middle vacation . 
 oct 4 2009 	 Lovely Hotel still ongoing work Teething Troubles 	 stay Grange St. Pauls 4 night 22 26 September year book via well know Hotel Booking Site . the hotel mere 3 minute walk St. Pauls Tube Station close Cathedral great view roof terrace . couple minute walk bring River Millenium Bridge . the Receptionist check we charm efficient upgrade Executive Room 7th floor . arrive floor trundle luggage cable electrical work progress area outside lift door along corridor leading room ( 720 ) .the room spacious Super - king size bed state art bathroom - shame water temperature didn´t match bathroom decor ! 32 inch Plasma screen tv opposite bed rather limited storage space - one two wardrobe take ironong board Tea + Coffee make facility ; second , usable wardrobe 8 clothe hanger seem little stingy . free wall safe . decor attractive , new hotel yet fully completeld , furnishing already look worn dress table scuffed curtain hang track ; inform Recption curtain somone send within couple hour one side correct ! room spotlessly clean evening service well daytime main clean require . mention previous review , openable window room temperature control haphazard noisy need turn night able sleep - ok late September could stuffy hot weather . room stunning view St. Pauls Cathedral nice little touch dress gown , slipper good quality Toiletries replenish daily . newspaper deliver morning choice paper . we didn´t eat hotel Breakfast expensive excellent Artisan Bakers - DeGustiBus - next door could good cook English Breakfast great choice bread ( try Onion Rye - mmmmmmmmm ) five Pounds . also good choice local restaurant nighttime dining . Coffee Bar cost 7 Pounds 2 Cups - Pots available - 2 Biscuits . staff generally extremely helpful polite - apart one make we feel uncomfortable 2 occasion ; request internet use tell rudely hotel guest - ! - lift go service follow fire alarm ask long would back use Husband poor health walk 7 flight stair shrug seem totally uninterested . although free WiFi access room - didn´t take laptop - terminal hotel apart one room 336 eventually allow use . standard room see tiny , dark look brick wall opposite - wouldn´t happy stay there . there still considerable on - go work inside hotel adjoining building - tell increase complete time Christmas deadline - spa facility yet service . build work wasn´t intrusive workman pleasant chatty come across . hotel currently 2 lift service difficult busy time morning checkout delay several minute . all enjoyable stay Grange St Pauls . essentially business hotel good base day city sightseeing . stunning architecturally ultra - modern style perhaps lack little character , opinion , good 4 star rather 5 star establishment . would happy stay whilst room reasonable rate would probably look elsewhere pay rack rate . 
 oct 4 2009 	 Brilliant 	 stay hotel booking last Minute top secret hotel . wonderful like modern hotel . look something charm history stay . mum stay whilst girly weekend spot . check speedy friendly . room lovely , floor ceiling window , massive bed shower bathroom - WOW.Overall would def stay , £ 89 hotel quality central London can not sniff . thing would say last Minute descibe hotel right next tube station unless dim do not find another entrance not right next door , 5 minute walk - big issue worth note mobility problem . any question feel free ask . 
 Sep 29 2009 	 lovely hotel friendly staff much atmosphere 	 back long w / end St Paul 's . arrived greet friendly door staff , walk reception another member staff greet we smile get desk receptionist huge smile face , welcome place . check upgrade suite much delight . room 5th floor , gorgeous , Molton Brown complimentary product go treat , bathrobe slipper , huge bed , plasma tv . fault room window could open , first night feel claustrophobic adjust . say credit card swipe reception check use mini bar , night need water rang reception get bar unlocked , unfortunately unlocked need pay £ 150 deposit unless swipe card . ahh well . staff extremely friendly helpful , food nice abit cold time . hotel lovely rooftop area look city St Paul 's literally 50 step away . probably will not return next time due fact spend time Leicester Sq Soho . amazing hotel finish high standard . much atmosphere bar though . would recommend buisness pleasure . 
 Sep 28 2009 	 fabulous room location everything 	 stay hotel friend . book twin room hugely pleased see 2 double bed enjoy cramp 2 single . room overlook atrium , however could anything go - could not hear thing problem noise disturbance . good blackout curtain make sure sleep easy ! room lovely clean tea & amp ; coffee top room check evening . drink bar great feel mugged bill come - perfectly reasonable price ! one top tip note mobile reception ( orange & amp ; vodafone - sure other ) virtually non - existant room ( sure widespread problem ) not take phone charger . result phone constantly search network coverage phone go flat overnight .... take charger turn phone room . consequence , friend & amp ; lose next day end go separate way without say tara ! not amazing reliant mobile miss can not use ! aside fabulous time would thoroughly recommend . not eat hotel , plenty place nearby . 
 Sep 28 2009 	 will not go back hurry 	 good point ... clean , spacious reception / staff helpful . move onto bad point experienced ... hot water bath shower , pay double bed receieve two single push together , noisey builder half 8 saturday morning tap drill away . overall classified 5star hotel can not manage basic facility i.e hot water would not recommend rely hotel . 
 Sep 26 2009 	 great veiws - shame rest ! ! ! ! 	 book stay grange st pauls relaxing weekend break disaster start ! ! arrival receptionist fantastic everything else disaster room mean club room unfortunatly foot wide hole wall bathroom maybe tv screen adresse situation 5 different people absolutly nothing do hotel quite busy pay special rate presume give bad room 8 pm decide get ready go london find hot water ring reception tell could free breakfast do not really help night happen water do not come back till around 10 ish opt go late dinner appointment .i must admit next daty move & quot ; good room hotel & quot ; actually small good veiw st pauls good thing hotel one receptionist sort everything next day shame do not get name thank ........ 
 Sep 25 2009 	 back 	 night surf hotel site look bargain visit grange siteexpecte outcome notice new hotel reasonable price ( £ 97 inc vat breakfast ) book . result ! hotel situate 3 min walk st pauls tube station central line across road front cathedral . staff reception could helpful hotel beautiful . give early check complimentary room upgrade . premier inn city would cost we £ 85 breakfast really brainer ! whole place spotlessly clean top bottom tastefully decorate . can not wait get back ! 
 Sep 24 2009 	 Great Hotel - Shame Hot Water ! hotel finish 	 lovely hotel , great location , however hot water throughout stay . hotel building work continue Dec 09 . avoid stay building work complaint even though price attractive . 
 Sep 22 2009 	 1st Class Hotel .... 1st Class Service ! ! 	 stay daughter weekend treat birthday book West End Show . book hotel well know late deal web site do not know getting pay boy deal ! ! .... hotel stunning situate outside St Pauls obviously brand new 'cos still smell newness ! ! ! location hotel great get around London close west end , Convent Garden etc . booking , handle friendly helpful staff ... staff work .... manager well say .... everyone always smile face always polite could not enough we book taxi sort trip excursion we nothing much trouble . room beautifully decorate furnish high standard generous size ... bathroom beautiful ache foot end day shower amazing ! well stock mini bar ( pricey ! ) well stock tea / coffee make facility biscuit ! ! bed well big double bed ever sleep really good night sleep daughter everhad ! ! beautiful view ! ! praise hotel enough recommend enough absolutely anyone wish stay affordable , stylish hotel amazing staff . hotel staff make weekend extra special one back next year without hesitation . 1st class Hotel 1st class staff . 
 Sep 16 2009 	 good deal lovely hotel 	 spend age look hotel stay anniversary weekend , soon come across go . got good deal £ 190 2 night continental breakfast . get free upgrade check . sure fact have mention book anniversary , not full , not go turn down . check easy , staff professional . slight problem think card give check cover expense might occur stay , would pay room leave . actually charge room card check . get refunded use different card . possibly case lose translation bit . apart issue staff , actually , apart new guy breakfast bring freeze cold tea ! Executive Suite room lovely . other mention room brand new , hotel open month . lovely shower , massive bed , LCD tv , etc . everything would expect 4/5 star hotel London . lovely view St Paul 's right outside window , nice . location wise perfect we . want place centre be go pay . entire 3 day use tube 4 time , walk everywhere . depend lot weather course , walk back Buckingham Palace , take 45 min example . 3 station close , well connected . all love stay . luxury affordable price , would highly recommend 
 Sep 14 2009 	 fantastic hotel staff match ! ! ! ! 	 hello , wife , baby & amp ; stay St Pauls Sons 1st birthday trip London Zoo . book hotel well know late deal website package deal flight Manchester two night stay . stay London & amp ; pay lot lot less ! ! ( see review ) . new hotel still teethe problem really affect stay , moment arrive welcome staff come contact , difference hotel stayed actually seem mean . check seamless possibly good check ever , polite , engaging & amp ; generous .... ask . first time stay Grange Hotel upgrade executive room , do not know norm chain hotel getting establish put hotel less full , welcome though . hotel get build work going sometimes spot odd workman hotel quite clean would not know anything . room generous facility would expect , minibar usual overpricing think set place apart fact everything brand new . shower , & amp ; shower fantastic day stomp round capital , bed faultless comfortable sleep , there s T.V wifi .... work together give great stay . even try room service , Medium Steak order that s exactly get , well cook deliver another pleasant member staff actually seem bothered ! breakfast buffet type want continental full english avaliable tell want 5 minute later table , nice . hotel bang opposite St. Pauls possibly bit ot way Londons nightlife doorstep personally think bonus . art history around taxi tube theater , great place stay break use base . way Son love place , staff room . floor ceiling window room winner even could people watch ! good John 
 Sep 14 2009 	 great hotel unbelievable introductory price 	 need room one night check horrid Crowne Plaza Kensington . find Grange St Paul 's unbelievable price GBP90 . hotel two month ' old introductory offer . well worth . room spacious lovely . service good part except end , try check find add room service order night . wait 10mins tell charge card cos rush train liverpool . , hotel great . offer remain , grab . 
 Sep 14 2009 	 Superb value £ 85pn room rate 	 want great hotel rate do not bankrupt we . totally shocked hotel . ultra modern opulent . facility still ready , swim pool ect can not grumble pay little . the room decent size , large comfortable bed nicely finish . hotel lobby stunning , staff friendly attentive . food reasonable , drink expect pay London . Location wise , good St Pauls tube station be not far away , main bus route wish get . taxis £ 12 + way . hotel Covent Grarden guide . the main issue parking . set area outside lobby , need either find street parking ( like gold dust ) NCP road . good view St pauls cathedral main bar . would reccomend , grab bargain ! 
 Sep 13 2009 	 stunning Hotel ! ! ! ! 	 brand new hotel still wait 's spa pool finish ( xmas 09 tell ) sound workman . rest hotel simply stunning , nothing much trouble staff always smile bent backwards help . room spotless finish high standard . eat hotel restaurant food exquisite good top restaurant . set opposite St Paul 's stone throw millennium bridge . go back even full list price ! ! ! ! ! 
 Sep 7 2009 	 Beautiful Hotel great location ! ! 	 although hotel not quite finish already beautiful . be close St Paul 's station great view roof terrace . room really comfortable , large quiet . staff reception bar really helpful nothing much trouble . leisure facility be complete use say be welcome use facility hotel visit ... let know arrange ! definately use hotel would love see look 's finish . thank wonderful stay ! 
 Sep 4 2009 	 Excellent £ 100 great pay rack rate 	 's 7 pm Bank Holiday august Saturday night want somewhere cheap lovely stay . Premier Inn Greenwich cost £ 70 without brekkie place set back £ 100 inc VAT buffet breakfast . 's bargain ! ( limit lovely ) view St Paul 's , feel like remake Oliver ! large room comfortable bed , reasonable LCD ( 32 inch ) lot channel . lovely bathroom comfortable robe Molton Brown free goody . downside - sure would expect £ 300 ( rack rate ) ' m sure be worth full price . breakfast ( obviously ) little rubbish - inedible , great . oh wireless not work ( usual place ) good point - Veronica lady check we . friendly , helpful lovely individual ' ve yet meet . 
 Aug 21 2009 	 Brand new hotel wonderful location 	 hotel new workman still evidence , not put noise not problem , fact one quiet hotel ' ve ever stay . imagine would perfect trip advisor reviewer freak slight sign normal wear & amp ; tear . everthing brand spank new , modern highly comfortable . anything staff attentive . room attractive neutral colour scheme kind contemporary design prefer . room service summon prompt food excellent . the location superb street next St Paul 's cathedral area city empty weekend atmosphere calm central London . imagine hotel ideal business people right city , West end short taxi bus ride road . Blackfriars Station would close annoyingly closed refurbishment , St Paul 's underground staton pretty close though . if like thing pristine think would ideal choice . 
 Aug 11 2009 	 Excellent even finish 	 move grange city , grange st pauls , wonderful , stroke luck .. stay 6th floor room , room look 600 ft , brand new fitting , staff , inform open , reality constant process opening , view , feel hotel great , quiet air conditioning hotel ' ve ever stay .. , lovely bed linen , really comfortable room .. , awesome bathroomstaff excellent , helpful , cab call etc .. massive conference centre finish 1000 plus seat , dynamic bar , good food , 9/10 value , great place stay , think hotel spa etc finish , will work hard beat ' comfort ' style quality , top drawer .. 
 Aug 3 2009 	 Nasty Shock Pleasant surprise 	 have not book Grange St. Paul 's weekend July . walk Buckingham Hotel Bloomsbury Euston Station , 8 - minute walk , ready 3 day fun London . on arrival tell would & quot ; delighted & quot ; know upgrade Grange 's new 5 - star hotel near St. Paul 's ! anywhere near Euston Station ( point arrival / departure ) , British Museum ( meeting friend afternoon ) indeed want stay . my husband less delighted , make clear . communication new arrangement , give perfunctory apology manager Buckingham . would provide taxi .In fact , reluctance leave area go St. Paul 's , even insist Buckingham near Euston station ! ! graduate UCL , round corner , know area intimately leave bemused infuriate . good pr.however , wholly unsatisfactory start , go Grange St. Paul 's Hotel ( choice ) , excellent . the staff pleasant , knowledgeable , keen please . it be modern , somewhat bland building . yes , part hotel still build site ( open June ) , room decent size , quiet , clean lovely toiletry . Breakfast delicious , though coffee may cold time arrive kitchen , bitr way . plenty choice , service good . the bar side - view Cathedral , Millenium Bridge 100 metre away cross river Tate Modern South Bank . public transport , tube bus , nearby . we travel Old Vic tube National theatre bus easily . I would certainly go back , especially weekend rate . hope hotel maintain standard customer care . as Buckingham , Bloomsbury ............................ staff training would order , mention advance communication customer . and , never get see friend afternoon british museum . 
 Jun 21 2009 	 still build site potential . 	 return one night stay hotel 10th wedding anniversary . staff excellent plenty busy . book hotel realise long open . call central reservation number also go person local hotel chain ( Grange Bracknell ) . vague assure facilite would available . case ! spa - swim pool etc rooftop terrace . cocktail bar open think one restaurant one lift work . central lift still operational breakfast morning background drill workman site . three quarter ground floor still build site building material , carpet etc . we go one lift come dead end bare concrete wire etc ! room nice , clean etc , although mini bar safe yet . hotel quiet location right St Paul 's Cathedral minute walk Millenium Bridge , Tate Modern Globe . staff excellent annoy take trouble check special anniversary mis inform , would probably stay another Grange hotel know . intend work way chain put . opposite Youth Hostel may check next time . 
 Oct 6 2009 	 secret last Minute Nouvel hôtel extrêmement luxueux près du métro - 5 * - londre 
 Sep 28 2009 	 Muy buen hotel 
