identity 	 wedding wedding bell chapel Alexis Park . afterwards go bar hotel drink 3 guest identity steal . one hotel pick phone call call back . place horrible watch bank statement people 
 great price 	 resort clean , room large , stay two night can not complain thing . room $ 100 / night new year eve , hard rock hotel across street great location strip . would definately recommend stay . great accommodation . 
 never stay 	 place old try put & quot ; makeup & quot ; , pretty bad . would pack leave unfortunately book room Priceline prepay . arrive late , around 10:00 , wait homeless guy shuffle sidewalk could pull . manager check counter pleasant enough . ask want & quot ; two small bed one big bed . & quot ; note mention king size bed & quot ; big bed & quot ; queen . room . & quot ; resort & quot ; motel drive around park near room . glad carry luggage stair first floor . call , place lot individual walk around particular destination 10 pm , well , seem questionable . room big kitchenette , sit area ( sofa , seat ) , bed desk . room smell musty 70 call ask furniture back ! story ' m sure furniture could tell obvious see quite bit use . flat panel TV really look place welcome . bathroom , big tub , nice Toto toilet , bath & amp ; body work soap , small aged . shower head must 5.5 foot high . caulk around tub pull apart . bug see wander people outside seem meet 1 am start loud discussion . gunplay though , thank goodness . probably sleep total two hour . next morning glad see wheel still car . yes , feel get place . can not speak ground want morning leave . three star place ? please ! ! ! ! 
 Jan 12 2008 	 Distant staff 	 change room immediately upon book AC not work room hot . Staff seem uninterested general request not answer emailsprior arriving . lot staff not speak english inconvenient implication . Shower door come room not clean one day . find difficult get taxi often wait long time . 
 Jan 4 2008 	 great Stay ........ 	 great Stay ............. staff helpful . very large clean Rooms . attend meeting convention center beautiful . Restaurant Lounge nice ! 3 Great Pools ........ Piano Player lobby much fun . just step Hard Rock Casino Hotel & amp ; Cafe . we rent car ( inexpensive ) get strip minute , free Valet parking every strip property add bonus . Great Value / Great Price ! 
 Jan 3 2008 	 great place away strip 	 like hotel lot ; be nice outside corridor cluster room together rather cavernous floor elevator . be also nice able park car within 100 foot room stroll right . yes - car . be go book property strip , also book rental car . drive around Las Vegas easy ( long turn & quot ; aggressive mode & quot ; ) will appreciate able dive action come back suite Alexis Park . room vary fair amount , separate sit area wet bar include refrigerator sink - , drop local store pick drink snack . property like great give relaxed feel regular hustle - and - bustle huge place . be nice thousand neighbor ! reason not get five star room ' ve stay old feel need updating - not bother much will not stay ! 
 Dec 18 2007 	 Good Value Money 	 stay four day November , 2007 . got great internet rate , bit concerned base review read here . I surprise actually nice stay . okay , & quot ; resort & quot ; - 's like suburban apartment complex . room large , clean comfortable . rental car get around problem - actually nice drive away strip . parking near room not walk garage casino get back yoru room . it be close UNLV would good choice anyone go event there . it be good value money , would stay 
 Nov 30 2007 	 great value quite walk Strip 	 resort pleasant clean little bland , however put smoking room despite request non - smoking . suspect problem may booking website resort record request . unfortunately non - smoking room full . room spray help little smell . big concern regard distance Strip . walk front resort , look quite close walk , not deceive size casino distance . take solid 25 minute walk Strip past fairly smelly roadside rubbish . also little difficult get cab stop resort . overall , good value cheap price , not expect middle Vegas action . 
 Nov 26 2007 	 3 - star ` ` resort '' ? 	 book hotel Hotwire , tell get 3 - star hotel $ 54 / night , great ! find book Alexis Park Resort . thought & quot ; resort & quot ; WOW ! really not WOW anywhere . front entrance nice ground pretty . go room , expect new clean room like rest property disappointment kick . 's terrible room pretty clean except 2 year old daughter find pistachio try eat , ( not pistachio whole stay ) . room big , nice microwave refrigerator . carpet look clean bed comfy . wall paint several time kitchen & quot ; old & quot ; odor cabinet . cabinet kitchen bathroom old jacuzzi tub scary looking . shower work good need one shower day , hot cold throughout next shower . 3 child try wash problem , not want freeze not want burn , always interesting . away strip simi - quite . plane get loud time time . not always feel safe , lot people walk around not seem look like guest . will not stay , be worth spend little nice hotel . 3 star hotel notify Hotwire also . would say 2 star . 
 Nov 5 2007 	 enjoy stay Alexis Park 	 get back 3 - night stay Alexis Park . thoroughly enjoy stay . book mini - suite request handicapped room . get mid - evening mini - suite available upper floor elevator . explain husband could stairs , upgrade we ground floor full suite -- extra charge we . ground lovely , personnel , except gift shop clerk , courteous helpful . would stay . 
 Nov 2 2007 	 chilly reception 	 first time ' ve use Hotwire.com book room , probably last . Alexis one thing go . be across street Hardrock ! check - in process not bad expected reading review . arrived & quot ; motel & quot ; around 9:30 . sign behind counter state check - in 4:00 pm . sound right ? neither . short line check - in ( SEMA show town ) , take little long think get front desk . tell woman behind desk check ( 9:50 ) inform early would wait 11:00 check - in . ok , bad thought . beat wait 4:00 ! say could let room point , would cost another $ 25 get early . decline , wait additional hour check - in . get back line arrive desk 10:55 woman almost make wait additional 5 minute . ridiculous policy Alexis change ! finally get room ... nothing fancy , not expect Bellagio ! everything clean orderly appear work . bed uncomfortable trough middle keep try roll night . distance Strip excessive walk cab $ 7- $ 10 depend traffic much tip . 's close point . one MAJOR complaint hot water shower 3 4 day . ( read early review another visitor ) . , obviously , problem engineering department , obviously , not able fix . not go Vegas spend time room . basically use sleep take shower . bed bad hot water shower , hotel fall woefully short meager expectation . one bright spot ... restaurant pretty good breakfast buffet . would stay ? Alexis compe room half stay , might try . otherwise , WAY ! 
 Nov 2 2007 	 problem 	 stay weekend mid - October . got $ 60 ( plus tax ) per night Hotwire little leery give past review complaint . although check bank statement leave give nature charge put people 's card . not wait check - in ( perhaps cause arrive 9 pm ) , room not plush perfectly nice ( comparable Quality Inn , quite nice Holiday Inn ) room large- even small single - story suite large spacious . doubt even get remodle one - hear room close front property redone bit . bar quiet pleasant , NFL Sunday Ticket , good special everyday . less mile strip ; car good $ 7 cab ride Mandalay Bay . not Palms , not Mandalay Bay . nice enough kind nice across Hard Rock walk casino get outside . would stay . 
 Oct 26 2007 	 mixed bag .... 	 wife decide visit Las Vegas R & amp ; r book room last minute expedia come across Alexis Park rate unbelievable $ 60 night loft suite read review little concerned might get go anyway .. upon arrival forst impression great Lobby nice staff seem helpful polite sign paperwork eleven night give room key . room first class amazed ! probably one nice hotel room ever stay believe lot ! two floor Loft Suite , bottom floor wet bar living area size large hotel room , furniture look brand new tv work good even many channel choose . also upstairs section bedroom . bed large comfortable bathroom spotless spacious nice gas fireplace room also spa set stair landing , delight ! ! ! ! ! ! noe soo nice bit ! second day notice less money check account think use internet service Lobby extortion personify , 50 cent minute $ 5.00 minimum charge . look internet banking could see $ 50.00 day charge Alexis Park come huge surprise room already pay advance . talk lady behind desk bluntly inform agree charge . ? ask , charge ? advise charge fee damage . explain stole lamp would unable charge card leave charge $ 50.00 day & quot ; case & quot ; damage fee would credit back a / c , also go tell sign something upon check authorise . explain one actually read paperwork give sign esp 11 night tired practise ordinary tell thought need do make guest aware card charge $ 50.00 day ! i.e verbal notification sign initial process . so return home nice stay charge refunded problem . ... order Breakfast room one day okay nothing special expensive $ 35.00 pay wife credit card , return home saw week later wife card charge $ 150.00 fradulant transaction Alexis park restaurant someone currently look problem write week notify Alexis Park transaction matter still resolve though feel must point couple unsuccsefull call try resolve situation finaly find someone Alexis Park take ownership problem try sort we , stand head shoulder anyone else deal Alexis Park , doubt assistance get resolve . thank Crystal ! would stay Unfortunatley ! 
 Oct 25 2007 	 well ok guess 	 recently attend 3 day conference Las Vegas . stay Alexis Park 4 night . lobby fairly nice , front desk check - in go smoothly . get room , take look around find several thing not like . first , upon enter room , notice really bad , musty odor . leave door open next hour , help bit . then , hole bathroom wall right next toilet . look like someone kick foot . bathtub old wear quite badly , grout completely seperate edge bathtub wall meet , dirty well . the carpet wear pretty badly , look like could use good professional cleaning . couch chair old fashioned look grungy look . would call invite , appeal least . window open , disappointment . also filthy . bed , however , fairly comfortable . telephone work correctly . pre - set speed dial button , front desk , room service , etc . none work . call hotel operator ask get wake - up call 6 a.m. well , ' m glad bring alarm clock , never get wake - up call . next morning , story . tell manager later day , get & quot ; well , will engineer look . sorry that . & quot ; Period . well , ' engineering ' people never fix phone . turn could receive incoming call , even front desk . mention check - out , nothing say . apology anything . word 100 % ignore they . they advertise in - room brochure list allthe ' amenity ' internet service $ 5.00 . leave fact $ 5 laptop . , get so - call internet service , choice either : use computer front desk 50 cent minute , $ 5 minimum charge , $ 1.00 per page charge print anything . also business center , nice looking inside , thecomputer rate higher , 75 cent minute , $ 12.95 minimum charge plus , course , $ 1.00 per page print . option use room television set $ 12.95 24 hour period , start noon , end noon next day . take option . well , wireless keyboard dod work , several key miss . fine . call downstairs , someone came half hour later replace . ok , good go ? . fumble around , finally get screen agree pay fee , yada , yada , connect . service , due ' security reason ' would allow page thing activex , java , . short , really could anything . could check email , could use message board frequently browse . essentially useless . $ 12.95 waste . my room key work pool area , frustration , not even bother deal anyone . write one thing go wrong.\i credit allow stay past 11 a.m. checkout , 1 p.m. nice thing whole time , though . oh , strip ? would guess , least 1 mile away , possibly . walk Friday night , take quite . not take taxi expensive $ 3.20 first 1/11 mile , .20 cent per 1/11 mile . not quite understand 1/11 mile stuff , since odometer ever see mark tenth mile , eleventh mile . whatever . would stay ? heck . weather nice .... 
 Oct 23 2007 	 never ! 	 go vegas weekend workshop . since workshop hold Alexis Park friend figure stay well . room ground fancy mean , $ 119.00 / night get pay ! luck would go Las Vegas cold spell ..... well , air conditioner work great ! not need they . there barely hot water go take shower , informed front desk say something pilot light might 3 day tepid - cold shower . I think get total 5 station choose television , bad part screw bill Credit card incorrectly ' m try get straighten via telephone . if find somewhere else stay , would recomend .... decide stay Alexis Park .... not high expectation ! 
 Oct 21 2007 	 Classless Establishment 	 book Hotwire look 3 star hotel get Alexis Park . Alexis park 3 star . lobby look nice , room date rundown . however , nothing disrepair . wife , pregnant twin , not feel well morning 2 pm flight Las Vegas ask checkout could pushed back 1hr 11 am 12noon . refuse . tell have grateful could rest little long travel can not imagine turn room 11 12 ...... thereby suggest could simply clean room last . refuse . think often get make request guest want extend stay , invite view travel itinerary inspect wife 's belly will know ' m lie . refuse . like say , classless establishment . 
 Oct 19 2007 	 okay property - problem people 	 stay two night . 's casino property , okay we . nice unit , clean comfortable . ground attractive . not use pool , open clean . 's way strip , close Hard Rock . take shuttle strip car , drive Planet Hollywood park . really want exercise , walk . remember everything Vegas seem close really ! problem run circuit board door room read key card fritz , 1:00 morning wait maintenance let we room . apparently forget report , next day happen twice . end talk manager obviously think stupid open door , insist come checking . well , course would not open . finally get fix second evening ( leave next morning . ) spend two hour two day stay screw around issue . they give we free breakfast buffet ( okay , worth price be pay ) make problem key , 's definite lack communication follow - through staff . have fix problem first happen , would rate place much high . 
 Oct 17 2007 	 get pay 	 stay 3 night . room 20 building , smoking , 2 double bed . get hotel free satisfied . not know would satisfied pay . 3 pool , ice cold since hotel close airport would interrupt plane take every 3 - 5 minute . another thing pool lounge chair rip make uncomfortable . also tell shuttle strip however arrive thing . staff helpful , use maid service . another note , safes room , need one use one front desk give key . would stay , probably due issue , like say free complaining . 
 Oct 6 2007 	 great hotel 	 stop one night tour LA San Francisco ( via Vegas Grand Canyon ! ) .as part tour group get excellent price . lobby really nice helpful staff . three pool jacuzzi . picture attach room , include kitchen area microwave fridge . the bed really comfy room really clean . $ 7 taxi ride hotel strip . would definitely stay . 
 Oct 3 2007 	 good suite property 	 's Bellagio , suit large , tastefully decorate , comfortable . the room small fridge wet bar , two tv 's ( one bedroom one living room , couch , coffee table , love seat . desk high speed internet connection . room clean looked recently refurbish . property least 25 year old , ' ve keep good shape . the restaurant good , bit expensive be . if car , park fairly close room . , cab front frequently . proximity Hard Rock help . the tv get horrible reception ( even one lobby problem channel ) .If want nice quiet place relax not care lack casino , worth look , room rate good value get . would good hotel business travel . 
 Sep 26 2007 	 3 - star hotel Rude desk people 	 first , 3 - star hotel Priceline suggest , be marginally well $ 50 per night dive . second , room not clean stink badly cigarette . finally , evening front desk staff extremely rude stand behind counter ( sit office ) avoid eye contact folk stand line waiting service . worse , complained ignore , instead apologize offer kind word , manager actually suggest ignore & quot ; stand line & quot ; , ( ) .disgraceful ! 
 Sep 10 2007 	 great property 	 one good stay Vegas , cheap ! resort clean , room large , stay two evening can not complain thing . room $ 90 / night friend right across street Hard Rock pay almost $ 300 . great location great property - would definately recommend stay would . 
 Sep 5 2007 	 warning : long line overbooking 	 arrive , line check literally begin door snake way around lobby . wait hour half , tell queen non - smoking suite , fact queen suite . true reserve smoking / non - smoking ..... reserve queen suite none . woman desk ( employee nice -- none fault deal many upset customer ) offer we non - smoking double , king & quot ; upgrade & quot ; -- & quot ; partition & quot ; sleep area tv / sofa , smoking room . debate choose , decide king . Lo behold , suddenly available anymore . , minute later , queen nonsmoking parlor suite -- book -- available . clerk also mention king nonsmoking suite , not & quot ; ready & quot ; yet -- 5:30 . Checkout 11 ; checkin 4.We like room -- not ask anything fancy . bed great ; tv channel limit like sport will happy know 6 7 channel option . fiddle tv ; reception fine . furniture scratch , not care -- work fine . Shower not great water pressure -- be similar usually get southern Mexico . room quiet . never hear single airplane . leave , hear two staff member say , come night ( Tuesday ) , overbooke 161 room . so , really , hotel fine . spacious room , nice staff , etc ...... never wait airport line long wait check . take chance -- room pay may may available ; room may may available . we , be worth . first trip Vegas ; next time will stay different hotel strip . 
 Aug 24 2007 	 great property ! 	 stay resort guide tour group 20 - 30 year old country . ' ve stay many property Vegas great value . exterior corridor , plenty free parking . spacious , suite style room , date clean . common area well - maintain pool great . mile Strip , short cab ride mid - length walk . safe location . staff friendly call front desk assistance room within minute . deluxe scale MGM Grand Venetian , great place stay want affordability not need right Strip . recommend . 
 Aug 6 2007 	 great price ! ! 	 price , good hotel . room clean spacious , separate living area great . 3 pool great . meeting space also nice . complaint food ' ve never keen hotel food . several restaurant within walking distance , go offsite food . 
 Jul 28 2007 	 great hotel 	 read negative thing site little skeptical c / in Alexis husband arrive Bell staff great front desk staff awesome ask many negative thing write hotel respond please not listen everything hear . go room super suite wow amazing kinda like go honeymoon Hawii . entire stay go beyond exspecte besides hskpn get room one three day . would definitly recommend Alexis . 
 Jul 24 2007 	 Management need help ..... 	 stay family three week long dance convention . hotel lose group reservation ( 35 family ) make six month ago . poor front desk management . hotel understaff area . bell service team far good part hotel .. probably run place . horrible housekeeping staff . one speak english many thing miss room group .. wow , .. safes available valuable -- ouch ..... 
 Jul 23 2007 	 advertise 	 daughter Las Vegas ballet class unlv.the group put dance class arrange special rate hotel . two adult two teenager suite . suite , however , exactly match picture web site . good thing : room clean . good location , near UNLV ( non - gaming hotel ) . bed nice , two room good size small kitchen area frig . price food drink room service resonable . bad thing : tv work . internet access ( web site claim high speed internet ) . Microwave oven , schedule advance , room . frig door break . Maid service hit miss . never enough towel toilet paper ( call front desk tp , never come . go lobby get men room ) pool order . room run look , nothing like picture web site . go back Las Vegas would spend money one nice hotel strip . 
 Jul 20 2007 	 oh listen 	 oh oh listen post warning & quot ; Hotel & quot ; ? ? ? book stay online reading coment , think people mad frustrated write place sort revenge . could bad little bit doubt book head Vegas become bad & quot ; Hotel & quot ; experience ever have . first let tell ground gorgeous , outside clean well keep . praise end . arrive Friday July 13th 9:30 pm . book reservation make sure ask certain thing give fact would travel 8yr old , 6 yr old 7 week old infant . ask MAIN floor room ( due fact elevator stroller infant carseat lug around ) ask crib 7 week old baby . we ask room close front hotel , extreme heat fact 7 week old infant we . when check , none thing ask get tell verbally yes two day arrival , place BACK complex second floor . point call aske special consideraton get tell guarantee would try move we . front desk staff ( RUDE ) tell we Dance Competition everything full . could try call morning though try get move . ask could upgrade tell nothing available well . make room , find dirty really run . worry buy place , phone room service call get pillow ( none room ) . room service take hour arrive pillow ..... well show around 1:30 morning . awoke next more go lobby get moved still got tell nothing available even though see many people leave . tell come back 4:00 check start try luck . four ... get back hotel lobby find check line HUGE call room see could move . tell nothing available . ask speak Manager . darn answer yet score people check room ..... people go nothing available . eventually give fight stayed put . later find must something available two people travel , get move ask upgrade boot . live learn guess avoid HOTEL.By way , room never get CLEANED ..... actually ask clean towel . see maid ask need anything room say yes ... make ... sol ... throw bed together , take garbage , hang dirty towels.the front desk staff horrible care service , doormen rude , waiter restaurant ignorant rush , nutshell ... stay live everything mention . oh forgot mention still wait crib ask . 7 week old baby , gather pull hearstring Alexis Park Resort . 
 Jul 6 2007 	 word : nightmare ! 	 Hotel look nice internet . got part nice lobby . rest outdate wear . cement stairs room ( elevator ) sag . two tv room , cable not work . fan bathroom . several layer paint use cover many year wear tear . put wrong room first move next pool second level . yike . listen hip hop music loud speaker ( play hotel staff ) afternoon midnight . husband go complain noise level tell would turn midnight . folk actually enjoy pool party ( mostly staff ) somehow music need stay cranked midnight ! husband reservation convention two week , visit family decide cancel reservation never return . Non gaming not necessarily mean non partying ! family beware ! 
 Jun 19 2007 	 Excellent stay . cheap . right across Hard Rock ! 	 go 6 people . nice price . suite 2 bed , bathroom accessible bedroom living room . sofa couch love seat . mini - fridge keep alcohol cold . right across street Hard Rock . can not beat deal price . would HIGHLY recommend college student anyone tight budget . regret . 
 Jun 16 2007 	 much well expect 	 read bad comment expect worst turn rather nice . like courtyard pool area ( read free newspaper ) . 2 - room - suite spacious , carpet furniture bit worn ( want walk w/o shoe ) .while stay ( build 18 ) quiet problem sleep odd hour due jet - lag . location perfect we want spend time Strip well . conclusion : , would mind stay . tip : try stay right hand side , far back contruction site traffic noise leave . 
 Jun 4 2007 	 nice stay 	 12 year since last stay Alexis recent review make nervous . need worry , room large clean price can not beat right strip . would definately go back family . 
 May 16 2007 	 Fantastic Stay ! 	 stay Alexis Park 5 day Darinfest 07 . get home yesterday . perfect stay . clean room , comfortable bed , great service everyone connect Alexis Park . security place . feel absolutely safe time . food excellent affordable . understand negative review . not hesitate book Alexis Park ! beautiful pool beautiful ground . great plus casino premise . although airport close , never bother sound plane overhead . would definitely stay highly recommend . 
 May 14 2007 	 two stay differ experience 	 two stay 's party 4 April . first stay terrible , good start US vacation . first place we ( 2 couple ) room opposite end hotel ( large complex say ) . try get something close clerk asssure we good could . room noisy aircraft pass Airport ( something anyone else seem note ) . bed break , noisy thing ' ve ever sleep , everytime move creak croane wake we . shower ' dribble ' water drain block . overall room need good touch , look old tired . essence stay total rip price , pay lot less elsewhere trip get lot . return 11 day later vast improvement . get room two door , seperate room lounge area , comfortable bed decent shower . like 3 star stay expect . , summary hard hotel judge give two different experience . overall hotel pretty basic limited offering location strip fact slight nuisance ensure needed car get around . price good comparison strip hotel end day certainly get pay . think will head back strip return Vegas . 
 May 7 2007 	 would not stay 	 room design nice , actual suite living area kitchenette separate sleeping area . staff always helpful polite . really place cheaply poorly maintain . fake rock abound nicely conceive ground . coffee maker ridiculous . go nearby CVS buy one could coffee . room need many small repair touch up . hallway appear lit . 
 Apr 24 2007 	 great hotel location inconvenient 	 think great room . queen suite ( think queen , double bed ) fridge odd coffee machine ( filter basket coffee filter bag , one cup per brew ) . way could gotten nice room , room service price less restaurant strip , strip $ 89 / night NAB town . however , location probably well depend upon bus system cab get around . walk strip , want walk nearly mile strip die thirst hungry anything , spend five hour walk sightseeing strip ? additionally , take bus ( $ 5 24 - hr pass ) , stop not convenient hotel off - strip hotel . walk two block catch bus convention center bus strip block two well . end , may spend money save stay strip cab fare get around . could possibly fun enjoy Hard Rock across street understand Hofbraus ( short block ) excellent food well . end , although love room great room service price , place simply inconvenient location . 
 Apr 18 2007 	 little sketchy great price 	 bit nervous , read negative review , place really not bad . convention Vegas , everywhere book . unable find anything strip & lt ; $ 500 , turn priceline 's 3 * property , get Alexis park . the exterior hotel good shape -- three pool , nothing extravagant , nice . building re - paint faux - finish look , be nice , tad cheesy . I stay king non - smoking , room clean safe . everything room & quot ; worn & quot ; look -- functional , tell hotel business , not upgrade furnishing . the A / c unit ( two ) look brand new remote control . work well . the fridge look brand new . the jacuzzi tub look like war . shower head nice , though low . bath body work soap shampoos GREAT , surprise caliber hotel . the bed hard boxspring ( expose -- & quot ; bed skirt & quot ; frill joint ) show significant wear edge . bed home ( 10 year ) not nearly worn . a stain carpet , dirty wall , etcetera . I try check 1030am , ( course ) say unable , try back noon . get right noon - three hour early . trouble internet room , resolve quickly , front desk call back later make sure resolve . it walkable strip , be long walk -- 3/4 mile . 's bad get strip , walk around hour -- walk back long . taxi ( ) Aladdin ( Planet Hollywood ) $ 7 . typically walk strip , thing , taxi would back . depend timing , easy catch cab Hard Rock across street . overall , would visit , outpriced strip . strip hotel , even cruddy one , much nice . 
 Apr 8 2007 	 horrible service ... 	 first , arrive hour half early , make sure mention . receive room 2 double bed request single queen suite , later find exist . bring attention give we room heat , phone work , tv work room actually disable room actual tub . the room smell horrible soon open door smell musty stale moldy old . Yuck ! sleep couple hour horribly uncomfortable bed , order room service , cold take hour , check , mention concern agent , nothing , even apology . I RECOMMEND suppose resort . waste time money . worth extra couple buck stay strip get first class service . 
 Apr 2 2007 	 hassle minute strip clean ! 	 fiance want quick Vegas getaway , room $ uper EXPEN $ IVE weekend choose -- regular deal : ( , hotwired room end Alexis Park . uneventful check , problem , nice desk clerk . room upstairs build 23 , ( nonsmoke building ) . long walk room , property nice , pass 3 pool pretty landscaping -- -nothe frilly , nice manicure . open door really surprised -- $ 90 , room wet bar stool , fridge microwave ( like kitchenette ) , living room desk , couch loveseat , desk tv , bedroom another tv fireplace ( not think work , cute ) , bathroom big jacuzzi tub ( little dingy looking -- old , dirty ) . sure little worn -- -crack , chip tile , minor thing , feel pretty clean , bedbug check find none . $ 8 , 5 - 10 minute cab ride middle strip , get cab easy pie . room hairdryer , coffee maker ( coffee ) decent little soap , full length mirror . LADIES , bathroom mirror low lighting -- suggest put makeup mirror next desk , bright lamp . FYI . not kid , kid see seem enjoy -- pool fun water fountain - type thing seem make happy . nothing creepy happen , whole place pretty quiet tame , feel safe , would bring family . overall , nice easy cheap place stay deal strip . would not hesitate stay ! 
 Apr 1 2007 	 great service awful room 	 Alexis Park mixed bag . staff always extremely courteous , responsive helpful , say enough good thing . unfortunately , facility poor recommend it . I keep journal two day . not normally , unique experience compel capture every detail . : -- - Monday , 10:00 p.m. -- -i reach hotel check , wait line . non smoking room , sell night . ' tired , take smoking room . apparently can not make reservation non - smoking room -- make reservation hope well . enter room , 40 year date . ' sure one time height luxury . ' . go bathroom , tub half full water faucet drip plug drain close . reach water pull plug drain . water drain next five minute . the upside – room spacious , build - in wet bar ( alcohol ) . rug stain , sheet bed scare ' sleep sofa tonight . I piad money stay Mandalay Bay . might yet . after 20 minute sofa , decide ' comfortable , move bed . -- - Tuesday , 4:30 a.m. -- -I ' cold , wake . make sure ' hear drip faucet bathroom , closed bathroom door . little know heater bathroom , bathroom become icebox . heater right outside bathroom door , turn . open bathroom door , turn heater offset draft cold air come in . it ' turn go back bed realize window bathroom light outside perfectly align shine directly across pillow bed . choose cold bathroom light shine face sleep . I close door way , crank heater 76 degree . 15 chilly minute , able go back sleep . -- - Tuesday , 8:00 a.m. -- -i call front desk 8:00 request non - smoking room . say fine , could bring luggage front desk hold clean room , sell night , need clean room incoming guest . problem , say . I go take shower . two strange thing shower . first , shower head eye level . ' move never know capable try get head shoulder wash rinse . minute realize water pool bottom tub . drain open , mean water flow tub slow . end shower , stand ankle deep soapy , dirty water . next go plug iron . one outlet reach iron , move love seat ( sofa ) reach outlet . fortunately , iron work fine . I go breakfast . stand doorway next " please wait seated . " Sign wait seat . host / hostess . several we stand ten minute . finally , waitress wave table . let wait staff know people wait ' hostess . cover , ' obviously suppose do . the egg buffet cook . mean still liquid egg mix egg . -- - Tuesday , 5:00 p.m. -- -I go lobby , get new room problem . enter new room , first thing notice ' miss bar stool . worry really – ' I . then look remote heater , since room cold . ' miss remote , call front desk maintenance guy comes give one . then look bathroom , ' miss skin lotion . , big deal since never use stuff , would like get complete set . then try connect internet . everywhere else ' stay , ' five buck day . ' five dollar day , three hour $ 7.50 . hunh ? ' another five dollar charge , well , nothing top . call front desk , reboot work properly – $ 5.00 day . try check work mail . Slooooooooooooooooooow . incredibly slow , time brush tooth ' wait main mail screen appear . -- - Wednesday , 7:05 a.m. -- -I ' still kind awake , call front desk ask speak manager . let know not - on - duty hostess uncooked egg . pleasant , comp morning ' breakfast without ask . , great people ... ... comedy error . many great hotel , recommend try someplace else first . 
 Mar 27 2007 	 good price 	 Alexis Park Resort decent place overall . would bet use apartment complex transform resort . 3 swimming pool . main pool pretty big 2 average sized , big pool would find back yard . resort apparently attract many family lot child . the ROOM get low price range . like one bedroom apartment . reserve Monarch Suite web $ 104 per night Friday Saturday great deal . queen bed separate living area pull - out sofa bed . since husband , not use sofa bed . would good son would go . like convenience mini kitchen , microwave . refrigerator single - cup coffee maker . bathroom deep tub jet nice relax bath . love Bath Body work soap shampoo give ( like reviewer ) . CLEAN / SAFE : overall , place seem secure . security ride around little cart . parking free . housekeep good job . room whole resort clean . bug . something scent cat urine garden wedding area though . couple cat like hang . scent kind ruin pretty scenery . TAXI fare strip going run $ 8 - $ 10 usd . walk strip would fun kind far away 's lot traffic . unless like walk hour strip major walking experience . could walk Hard Rock Hotel / Cafe right across street . spend $ 60 taxi fare avoid drink driving . next time think would equal pay little room strip instead get taxi , would stay otherwise . 
 Mar 18 2007 	 Perfect non - gambling family 	 family love Alexis Park . husband do not gamble obviously 3 teenager can not . come Vegas 2 night experience city like want see Hoover Dam . hotel right strip could still see visit big - time hotel . would definitely siggest hotel want quiet , relaxed stay Vegas still want oppurtunity experience city ( outside hotel wall ) .by way- breakfast great 
 Mar 4 2007 	 Right Non - Gambler 	 like MGM Mirage . flashy glamour . setup room like apartment , much spacious . staff friendly helpful . parking ample right next room . place people not care smoke , light noise big Vegas high rise hotel . feel like home . 
 Feb 26 2007 	 NBA weekend 	 daughter 's entire volleyball team book hotel check tell would two night blare music pre - booked party come convention room surround area celebrate NBA Star game . every room hotel could hear feel music come room last 3 morning . unbelievable ! purchase earplug little store , help , enough go around . girl drag two day tournament play , college coach scout good player . travesty girl . bad part weekend try book audience general manager discuss plight blow we . 
 Feb 7 2007 	 Bad 	 return Vegas , stay Alexix Park 3 day . 's interesting layout 28 separate low rise building . suite two story , living room , 1 1/2 bath , fireplace , jacuzzi staircase . note : we gambling addict , casino hotel . nearest casino Hard Rock Hotel across street , take care crossing 's busy dangerous boulevard . stay hotel , might lot walk . case , house far end property , 's good hike . hear scary story folk website , major problem . water pressure really low shower . might want take heed concerns security hotel way secure building outsider . not leave wife alone room time read unfortunate incident . please note check - in time post 4 p.m./ Seemed kind late modern hotel , check - out time list 11 : 00 a.m. it be okay not mind inconvenience . 
 Jan 29 2007 	 's Ok 	 Alexis Park nice enough . stay convention partner attend go along free ride . , consider company pick tab can not complain . however , review purpose ' m give neutral rating . be fairly nice outside walk distance Strip ( make walk couple time ) . landscape nice cold swimp pool pleasant sit around sun . also get hour massage onsite - cost $ 100 rather pricey - could get back home $ 60 - $ 70 , convenience s'pose worth . ' ve nice little gym onsite - nothing fancy , clean functional . also hot tub sauna woman 's change room ( assume man 's ) .base would ' ve give ' above average ' rating ( four circle ) , room knock bit . ok - clean room service daily - tv 's heater work , etc , bed small ( brochure say two double bed ) , bathroom pretty outdated need repair . give old tile new life have paint - pretty good job , except paint chipping . bathroom really need remodel deal poor lighting skewed cabinet door , etc . consider price ( $ 169 ) location would probably stay friend , ( split four way become much reasonable ) . 
 Jan 7 2007 	 Heat Problem 	 Las vegas New Years great unless Hotel one book . stay suite 2 night . first night call let know heat working thinking would get fix friend . come back second night late New Years . still heat , call send maintence tell we work . complain front office even say sorry . quailty service menu suite resort . would never recommend place anyone fall apart treat customer like inconvience . get extra blanket instead heat . $ 250.00 dollar night consumer expect ? 
 Jan 4 2007 	 Great Price Quiet Close Action 	 recently New Years think great deal . first wary location find fine since next Hard Rock minute strip casino . reasonable price great room excellent service . bar staff great front desk even let we stay little past schedule check time . would definitely recommend great price , resort quality tranquility , still close proximity strip . 
