disappoint 	 try check around noon two room close one another . seem problem find two room close hotel 1800 room . tell come back 3 pm would give we key / card . fine , hurry . come back final check clerk rude not friendly . give access / card room across hall , anticipate newly upgrade room boasting , promise , room one stay year ago . new thing flat screen tv lousy picture . bathroom small one person toilet , actually room another person room . door would knock toilet close . friend take shower find huge hole towel go dry ...... WTF ? bathroom sewer fume rise sink ... eww . maybe invest drain cleaner ? mattress shake much lay , think husband put quarter .... bad . casino nice , lie good . got comp Sunday Buffet thankful not pay , hand bad buffet ever see ... note see , take sample , not eat much . orange juice / champagne ( mimosa ) awful bitter juice , spit . keep place open ? year ago , always line buffet Nugget , time desolate . also eat house restaurant , italian one , can not remember name ... tell impressed . good micro - beer . would stay ? not think .... location good , want jump casino casino ... that s . 
 great pool nice hotel downtown vegas 	 Downtown vegas much relax strip golden nugget good place stay . free parking round back building , short walk across hotel . room fairly standard , comfortable . swimming pool highlight , go shark tank clear slide . like vegas pool bite much chlorine pool , still fun . McDonalds street 99cent pancakes buffet across road freemont good value . Most people talk like golden nugget . not gamble , enjoy one night stay . 
 great staff 	 spouse great time Golden Nugget . casino crew outstanding friendliness professionalism . key not work open room , security quick respond allow access room . one drawback , would marriage Golden Nugget RCI time share vacation . not appreciate target & quot ; sign presentation & quot ; every time pass booth way room . familiar RCI time share vacation rental , knkow seem follow promise . , go back Golden Nugget future recommend other . 
 Sep 1 2009 	 good value stay 	 return 3 night Nuggett ( 3 Flamingo ) . first time stay Downtown . say pleased hotel Fremont Street . the hotel well run , clean good amenity . stay South Tower ( ie . non - refurbed room ) room still good . not see poor carpet furnishing other see . nice flat screen tv , comfy bed ( little soft ) robe provide . the pool area lovely , though indeed little cramp . open 8 , pool staff 10 . try italian steak restaurant . good value . while Fremont Street Strip , be fun place couple night not extreme walk associate big hotel . hotel surround Nuggett fairly cheap cheerful , gamble fair ( plenty $ 5 table ) . would not choose wander cover area Fremont Street , look rather heel , really little need so . would definitely recommend repeat visitor , see Strip sight . 
 Sep 1 2009 	 Loved ....... 	 stay GN 8/28 - 8/31 . book hotel husband 's air mile business card hotel offer strip stay . say , still research . check - in quick . arrive around 3 take maybe 10 minute , . end South Tower , Room 2296 . nice big king bed , large flat screen , plenty lamp light . good much view - not spend much time stare window . the bathroom nice sized - certainly not trouble turn water , showerhead , etc . stand outside tub , lie rinse hair - shower head great pressure . tub drain rather slowly , however . housekeeping quite efficient . one phone call pillow arrive ten minute later . room twice day - 8 am 3 pm . not want bother , put privacy sign out . I guess poster think south tower long walk never stay anywhere like Caesers , MGM strip hotel . south tower elevator straight hall pool , right leave little walk casino . convenient . never hear street noise room - never even hear neighbor people hall . the pool area great . fyi interested , look directly shark tank , sun hit leave side pool first , move across right mid - day , back leave late afternoon . plenty lounge chair ( great pad ) seat area couch - chair plentiful around 10 am get sparse . also two level cabanas pool chair front cabana open . pool open officially 10 am get around 830 - 900am get chair ; towel swim 10.food good - Grotto wonderful pizza . cocktail waitressess never really wait cocktail . play crap great time - even wussy bettor ! start $ 5 minimum 8 go $ 10 play low minimum stay it . only thing little annoyed charge room - problem several time gift shop sudden want I d ! suppossedly policy enforce across hotel tell check - in . minor inconvenience annoying . P.S . Thoes & quot ; people & quot ; outside south elevator want give & quot ; gift & quot ; ? time share hawker - imho way annoying porn slapper ! ! 
 Aug 30 2009 	 nice place . 4 star 	 return 3 night stay south tower . room quite way casino -- -a hassle every time want go room . room adequate fairly roomy . nice clean , rate 4 star think update carpet nice duvet -- -not old bedspread scary . check across street room 4 queen old , much different huge price difference ( $ 49 vs $ 22 ) . stay Xmas time new Rush tower nugget . hope lot nice . 
 Aug 30 2009 	 Gold Club room worth money pool area way crowd . 	 stay five night , get home two day ago . Gold Club room worth money . small , dark , even bedside lamp good reading . cover air conditioner , like small coffe table type thing , louver air pass thru . remove day room would get cool . soon pull could feel cool air flow throughout room . bathtub / shower combo suck . get tub turn everything . rain shower head pain , wife turn tub faucet lie order rinse hair , rain head would take forever . least three five morning awaken emergency vehicle siren street , 17th floor , room 1710 . swimming pool way crowded room spread . surround property go way downhill last five year . stay downtown , use enoy stay . want mention everyone boycott 6 5 blackjack game . Vegas property make game unplayable , use never see 8 deck shoe , double split pairs single deck . terrible blackjack game . enough people stop play highly unfavorable bj game revert back old rule . south Point double deck , 3 2 bj , dbl split , $ 5 minimum . look around find well game , not let casino get away change rule take money fast . Hope review help , plz e - mail u question regard Vegas trip . visit 3 4 time yearly , play poker , Blackjack , slot ( bored , lol ) . 
 Aug 29 2009 	 great hotel Classic Las Vegas style ! 	 get back Vegas happy pick hotel . room clean comfortable , discernable noise night street neighbors- soundproofing must good quality . south tower , request nonsmoke room . bit hike room ( farth away Fremont street ) do not mind good shape . People may find pain . would typically activity morning somewhat cooler back hotel early afternoon relax nap go evening , , really apperciate soundproof ! pool area great , do not problem get chair . hot tub area open late , great relax cigar drink end day . duece bus would leave every 15 min south end Fremont st . take anywhere want go strip . $ 15 three day unlimited pass well value- also good bus city . connection go outlet malls , convention centrer , etc . bus driver friendly helpful answering question . tip shopping- planning go outlet mall find enough buy one store- ROSS dress less strip beside Rivera hotel . get morning 930 good selection . male usually power shopper , make exception here- buy 5 pair shoe , 6 tie , 5 shirt , etc , etc 10 - 20 % retail , designer brand . hard argue Ralph Lauren silk tie $ 7.99 . bus stop front Slots fun Ross store across street little south . not gamble can not comment . recommend couple thing go to- atomic testing museum , West flamingo strip , reachable bus transfer . well worth $ 12 admission , uncrowded . also take bus west strip tropicana get Gun Store- indoor shooting range retail store . get target shoot almost gun- pistol fully automatic machine gun . choose WW2 package ( $ 99.95 ) please opportunity try .45 automatic , Thompson smg , mp-40 . M-16 paint pink lady . even child get shootin , supervised parent . staff helpful patient ! Liberace museum also way , would like take well . lot good food deal around fremont street area , Tuesday Friday eat seafood buffet Fremont hotel miss . Golden Gate hotel good shrimp cocktail $ 1.99 . agree previous reviewer say Fremont area clean freindlier main strip- folk fun . live band ( nightly ) street artist talente . also many shop sell every cheesy LV souvenir imagine- also sell cold beer make ! would recommend Golden Nugget do not mind answer question . enjoy holiday ! 
 Aug 28 2009 	 place stay Downtown / Strip 	 must stay Downtown , book North tower even extra add cost . large flat screen tv large room . comfy bed . Stayed South tower last year , change room twice due leak ceiling floor . UGH . stay North tower , not think would ever go back . the italian restaurant W - O - N - d - e - r - f - u - L . pasta home make food close Italy . choose place lazy drive town . surprise ! good location next Premium Outlet mall . 
 Aug 27 2009 	 Golden Nugget good value downtown Las Vegas 	 Golden Nugget good value money downtown Las Vegas get 4 star hotel reasonable price . stay seminar . offer VIP check - in additional $ 20 . well worth wait long check check line . go vip room around corner check desk . cheese , fruit , cracker , bag nut offer checking . room nice . great pool jaquzzi 's , water slide large shark tank shark fish swimming middle pool . many choice restaurant , good nite club balcony look downtown walkway two Starbuck 's inside . if budget walk Plaza hotel Mc Donald 's , Subway , reasonably price buffet . great buffet lot variety good food , dessert , drink include around corner Main Street station casino . price resonable get . want save beer two walk ABC market towards Plaza casino . Gold Spike shrimp cocktail $ 1.99 get player card shrimp cock tail 99 cent . eat Golden Nugget buffet comment it . it great stay . would recommend Golden Nugget friend go stay downtown . be especially good not car 's location want go strip take bus $ 3 way . 
 Aug 23 2009 	 good hotel 	 stay one night , hotel Strip quite expensive Saturday night , find good deal Hotwire $ 84 ex tax . Checkin line look long , take we 10 minute check . room good size , nice flatscreen . pool great , busy , much shadow , eat one many hotel restaurant food service fine . enjoy fremont street experience , litterally outside hotel . would come back , one night , much direct vicinity , prefer strip . 
 Aug 20 2009 	 Fun Hotel 	 hotel clean comfortable . pool fantastic , kid love shark tank . stay south tower room pretty standard . find shower cap wrap smoke detector room . previous occupant probably want get bust smoke non - smoking room . slight odor smoke , expect Vegas not complain . 
 Aug 20 2009 	 good value money perfect 	 Stayed group friend 3rd time past 3 year . location bad , love inside Fremont Street Experience . value wis fantastic , room start 39.99 , also get coupon book free buffet , drink gaming discount . room south tower nothing luxurious still nice , clean spacious considering price . refrigerator though . high - speed internet 12.99 $ per day , sound ridiculous 1 - star hotel give free . pool shark tank real gem , not miss waterslide . hard time get free chair , crowded whole day . construction new tower ongoing , hope build new pool well , otherwise place go crazy sidewalk Strip night ! 
 Aug 18 2009 	 Fun Spa Tower Suite stay 	 see video suite Expedia , always really want stay . look evoke fun old Vegas cheesy luxury ! suite end look exactly like video , nice . spa tower suite 1200 sq foot , two story window , view either overlook pool Fremont Street . room feel even spacious huge window two open floor . drape work electronically , cool . 's also large bar area coffee maker empty fridge , nice perk Vegas . upstairs bathroom huge steam shower big , comfortable whirlpool bath , separate w / c toilet bidet , vanity area , tv sink . even mirror king bed , try hard avoid look ! room clean well maintain ; small quibble room industrial type brown carpet cover stair entire upstairs , include bathroom . Sorta detract overall luxury feel room 's go , 's minor . check Vip area , nice touch ; find desk clerk bit cold , though polite . would stay room ? probably , enjoy strip , GN good hotel , spa tower room great special occasion find $ 300 night . 
 Aug 18 2009 	 really enjoy Stay 	 ' ve Vegas many time , typically stay strip . thing get old - litter , crowd night , bad gaming odd strip casino . spend night last trip Golden Nugget give downtown try . time spend three night ( Fri - Sun ) . trip , be sell downtown . south tower room , spotless , 42 inch flat - screen tv comfortable king mattress . hotel full accord desk clerk , soundproof room seem good . see neighbor hallway , never hear . yes , bathroom small strip standard , make - up desk mirror outside bathroom . shower head excellent ( one & quot ; rain & quot ; type ) towel plush . not try restaurant , lunch buffet one day breakfast buffet another . buffet gourmet , food selection quality adequate buffet dining room pleasant . the pool big attraction , small crowded actual swimming ( be good take dip look aquarium ) . not much difficulty find couple lounge chair . take couple minute & quot ; cruising & quot ; find someone leave . chaise close together , comfortable . much area shade time building , we 's plus since be still plenty hot prevent sunburn . every staff member encounter stay pleasant helpful . pay extra $ 20 vip check - in , think worth since busy weekend want assure get room type request long wait line . check 10:00 Friday morning , two woman vip desk give we room immediately without ask possible early . check Monday line main area , get help immediately vip room . have future coming weekend . anyone Golden Nugget read review , one question - go pool area new building open ? may genuinely overcrowded point . plug downtown general - amazed almost total lack trash compare strip . even Fremont street neighboring block north , clear street clean high priority . also , none obnoxious people pass girly card everywhere strip . must something different city vs. Clark County ( strip ) rule . also , entertainment downtown outstanding . major prop downtown association whoever put event . Woodstock Tribute Weekend band excellent . think might better original band cover ( & quot ; Jimi Hendrix & quot ; , & quot ; Janis Joplin & quot ; , & quot ; Joe Cocker & quot ; fantastic ) . crowd ample mood festive . also surprise pleased demographic downtown crowd . expect old downbeat , actually pretty much mix strip . visible & quot ; bum & quot ; either . throw gaming odd much well downtown hotel , food deal still plentiful , be easy walk around shade width Fremont Street . thought would spend least part visit go strip , end leave downtown . be long nightclub scene , would say one area strip hold real edge . will look first downtown Golden Nugget future stay . 
 Aug 17 2009 	 absolutely thrilled hotel service 	 husband get back 4 night stay Golden Nugget . happy hotel . last time Vegas stay Rio , love , want save bit money decide stay downtown . G.N . nice hotel downtown area . pool beautiful ! ! except sun go behind hotel noonish 2ish . long time try get tan ! ! love restaurant .... especially Grotto . nice great change diner type dinner . not thrill buffet G.N . relatively cheap food good . lot variety . room nice . south tower manage get update room new bed flat screen t.v . totally recommend hotel look R & amp ; r day great nightlife evening hour ! 
 Aug 16 2009 	 exactly want Vegas 	 spend long weekend friend April . offer really good cheap room know onsite make profit gambling . expect good quality clean room . the problem downtown take age get New Vegas Strip traffic get sso bad , that s really hotel fault .. also swim pool great ! 
 Aug 15 2009 	 spacious comfortable downtown hotel 	 alot renovation Golden Nugget , show . stay North Tower recently remodel , room slice heaven . check - in quick , front desk staff extremely friendly accomodate , room spacious clean . since travel 6 year old son , choose hotel attraction child , pool area tube slide go shark aquarium well expect . hotel right fremont street , restaurant top - notch , offer free valet . disappointment family lack tv channel ( husband stay son night ) , cost high - speed internet ( $ 12 ) . , , fantastic place stay ! 
 Aug 12 2009 	 go pool enjoy food Poker room slot ( well pool ! ) 	 decide since want go Las Vegas incredibly hot ( July ) , would base trip around Pools . Golden Nugget hotel always want stay , happy check ! arrive get check ( fairly regular stream people come check ) 20 people front we . check quick , wonderful check agent upgrade we without we ask ! get nice room ( sure like room , lot space , king bed , robe , couple chair write table . ) offer we room overlook pool would love take , double bed dh tall , need either queen king ! overlook canopy ( not really view though ) DH play poker say GN room one fave . find WOO slot keep occupy couple hour : ) find resteraunt overlook pool ( remember name ) split pizza really great . we go pool cool . many lounge available place , really do great job ensuring provide many . round bed lounger , regular lounger couch roof cover well . also go second floor sit lounger long private cabana . check see lounger third floor . however stand long lineup get slide . slide , go quickly , decide stand line fun unique be . we spend time pool cover side stare shark , use underwater camera get great video pic . eventually post . bar well hot tub around pool , come later night check pool area dark surprise see many people , hot tub drink bar . absolutely stay downtown Golden Nugget . really like room well vibe casino . service around nice seem genuine , right doorman . when wake check day , note slip door offer we extra night stay $ 40 next night . not room rent Monte Carlo , would absolutely take offer ! 
 Aug 12 2009 	 tank shark ... awesome ! 	 ' ve Las Vegas many occasion every time different experience . one course catch attention great renovation Golden Nugget recently . even though Golden Nugget build 1946 , hotel provide good customer service pool huge tank shark priceless attraction . arrive early morning thinking might room ready Carmen front desk absolutely phenomenal let we check super early . like room want room pool view . move room later . room nice view pool , night , light make magical illusion . room clean bed comfortable . Buffet hotel absolutely well far ever try Vegas . employee attentive polite , every time pass corridor elevator stop chore smile ask everything ok . music play pool invite stay long drink prepare really tasty . Golden Nugget truly golden treasure , definitely will recommend place ! 
 Aug 11 2009 	 like hotel . 	 like size room south tower ( nice big ) . bed extremely comfortable . Great T.V . set room , like old box style hotel still . couple downside find .. pool busy probably bit small number guest stay hotel . find hard get pool chair mid afternoon , short many people enough pool . also little turn young child eat plate nachos hot tub , pretty gross see bit food fall water ( clearly parent sight ) . would recommend old childless traveler visit Vegas outside summer holiday period . 
 Aug 11 2009 	 Super ! ! ! 	 leave read alot bad review scare death get ! ! ! everyone beyond wrong ! ! hotel nice room call horrible south tower room large ang clean . great time downtown street clean casino nice . take pack duece right dreadful strip construction everywhere street cover porn card ! ! ! see drunk girl getting arrest 2 pm get right back downtown ! ! give old vegas chance love 
 Aug 9 2009 	 3 Star 	 ! do ! choose stay elsewhere next time ... assign room ( 1781 ? ) two bed South Tower . room size large , bed comfortable , sadly discover big tear top sheet , bathroom floor rug available , tv cover fingerprint dirty mark , tissue box cover , coffee maker unclean , use gum air - conditioner unit . morning awake early door slam , loud voice squeal cart - wheel - yes housekeeping staff start day outside room ! love pool . loved shark tank love hot - tub . will stay elsewhere next time . 
 Aug 7 2009 	 FANTASTIC 	 first visit Las Vegas first stay Golden Nugget hotel . good hotel experience ! room nice clean . staff friendly courteous , never dull moment hotel . pool fantastic , clean also ... kid love . also love Freemont Street experience . always something fun happen nice family atmosphere around . definitely recommend Golden Nugget anyone ask return future ! keep good work Golden Nugget ! ! ! : ) 
 Aug 6 2009 	 great room beautiful hotel perfect location cruddy pool 	 love Golden Nugget . hotel beautiful feel one italian hotel strip . everything freshly do clean . room beautiful remind Venetian , surprising consider Golden Nugget 's price quarter Venetian 's . casino nice , nightly live entertainment nice selection restaurant . the real plus hotel location . ' ve never stay Fremont Street , take night stay . split trip strip thoroughly enjoy Fremont Street 's tacky glory . two small , hideous casino nearby give free Mardi Gras bead every time walk bring many free drink will not able walk leave . plus 99 cent twinkie ! thing not like Golden Nugget pool . take giant fish tank tank cast shadow majority remain space . water cold . chair nice find one . lot crazy drunk galavante around , partly annoying , partly hilarious . plus , people take magazine , towel anything find like 7 a.m. mark chair day not come back use 2 really annoying . 
 Aug 5 2009 	 disappointment 	 stay Golden Nugget several time parent 50th wedding Anniversary want stay book package go . time walk golden nugget treat terribly .. front desk , person hold luggage room ready . suppose North tower get south tower disappoint north tower room . parent blow dryer , rip wall 5 day stay get another one . talk manager apologize ! never , ever stay . not take much please rude associate hotel tolerance embarrsement since celebration parent . many place stay Golden Nugget .. Queen 's room nice south tower people much friendly , food well service shine 100 % . Shame Golden Nugget treat guest way attempt make well . 
 Aug 4 2009 	 second stay month ! 	 stay three night Jul 27 ~ Jul30 . second stay GN 4 week . staff general vibe guest upbeat . Fremont Street Experience always cool . pool scene busy . say vacation part ii great one June . plan return next 2 month ! price right locatiion little mature . 
 Aug 4 2009 	 would definitely go 	 group lady celebrate bday Vegas . make reservation late not want spend $ $ $ strip opt Golden Nugget much affordable weekend ( $ 60 / nite ) . stay suites strip last year get marry Mandalay unsure stay downtown .... pleasantly surprised . got south tower room ( perhaps room 22111 ) beautiful view , clean , bed comfy , big huge flat screen , 2 robe closet . love pool ( pic advertise make look alot big , every casino market way ) , love shark slide . tequila shot ice block cocktail poolside great price - $ 7 pina colada ! breakfast wandered fremont Fitzgerald 's $ 2 breakfast plate - tasty ! remember see $ 2 blackjack table somewhere around ( might ' ve 4 queen ) . place not reek cigarette smoke like casino staff mostly attentive . hit Gold Diggers night club not impress balcony view Fremont pretty cool . good place people watch ! Ladies Weekend , probably will not stay good club $ 20 cab ride away , money try save stay Nugget end spending transportation . for quick Husband Weekend would definitely stay ! Hubby do not drink have happily designate drive anywhere . like kid come cool pool love cheep gambling . think family might good time ... although can not certain child experience they . I love place ... ' m easy please , need good pool hot Vegas day ! 
 Aug 3 2009 	 Fantastic 	 stay 4 night book hotel not realise downdown Freemont street & gt ; location fantastic real Gem place . pleasant flight BMI & amp ; delta Airlines arrive find upgrade suite . ( night ) well say like something 20 's pure bliss 2 floor art deco furniture & amp ; decor Lcd bathroom whirl pool bath sauna shower room dress area mirror ceiling electronic curtain huge window . hubby & amp ; heaven . but did'nt bump back earth next 3 night standard room need sllep get shower . love hotel casino area spot real good staff area hotel love . plan another trip Vegas & amp ; consider stay . excellent hotel would definetly stay againx 
 Aug 3 2009 	 Lovely stay 	 return stay Las Vegas August 1 , 2009 . select Gold Nugget away strip appear cater old crowd disappoint , room nice need . king bed room south tower . quiet return evening ( loud noise room , rowdiness hallway ) . also check week ( Wednesday ) , line big crowd . process smooth . decide elope Vegas Golden Nugget close proximity marriage license bureau chapel select . also want experience abit old Vegas . venture strip one day go sveral hotel casino glad return Golden Nugget . we enjoy breakfast buffet . also dine Vic & amp ; Anthony 's wedding dinner ( staff great , ask Annette , top notch server ) . return Vegas 1st anniversary stay . beware slghtly annoying timeshare people position elevator . say interested politely keep move . run Florida Mexico keep move not bother approach anymore ! Hope review helpful . 
 Aug 3 2009 	 stay middle action . 	 second stay Nugget - friend four night July . tired long walk high price strip stay Freemont St. large clean room not spend much time ! . pool area excellent - poolside bar , great attentive waitress five pool side Black Jack table beautiful dealer five dollar minimum . spend hour ! night casino close . many option cheap beer , Black Jack , poker entertainment . great dinner buffet Nugget several late night snack 24hr . Cafe . good food cheap . also try buffet Freemont dinner Magnolias Four Queens , must stop good sit - down meal . G.N . good spot downtown stay . down terrible water pressure shower annoying timeshare people . Head Downtown regular folk hang bargain . 
 Jul 31 2009 	 Best Place stay Downtown Vegas 	 wife Las Vegas several time always stay strip . want try something new decide stay Nugget . love place ! much , much nicer expect could easily fit strip . room extremely clean newly furnish . hotel pool aquarium unique great place relax . Night Club play great music people friendly . say enough good thing Golden Nugget . Vegas fanatic look something different strip , highly recommend stay downtown Golden Nugget . disappoint . 
 Jul 29 2009 	 wow- Hidden Gem perfect way end trip Vegas 	 start strip 4 night end Golden Nugget last 3 night stay . hotel room amazing . Front Desk Staff super accomodate we check early morning . bell staff give we amazing recommendation thing around Old Vegas place eat . pool nice people serve food beverage pool far well get get food drink . annoying thing time share people near rear door starbuck ..... great location freemont street staff make real gem . housekeeping staff amazing super friendly . can not wait come back relax . 
 Jul 29 2009 	 well do ! 	 husband stay 25 - 26 July 2009 . room , nice . check suppose 2:00 p.m. arrive 11:30 a.m. check problem . eat one meal GN . lunch arrive . eat Carson Cafe . grill chicken sandwich . pretty good . chicken breast huge . husband cheese omelet overly impressed . love pool ! complaint want chaise lounge , get early ! ! ! ! first day get 1:30 -- take . second day get 11:00 -- take . second day find glass pool , close pool 1:00 not reopen till next morning . would happen hot , humid day ! get two hour swimming . ' m Nebraska bar restaurant non - smoking smoke really bother . know will never ban smoke Vegas . Fremont experience must - see ! see lit night VEGAS ! ! , amazing experience . willl return Golden Nugget . 
 Jul 28 2009 	 Best downtown hotel 	 Golden Nugget provide terrific vacation hotel wife , drawback : A / c room marginal , room minor maintenance problem arrive , pool area open long enough day ( 10 8 pm ) . despite drawback , Golden Nugget far positive attribute . include : extremely comfortable bed , surprisingly quiet room , fantastic location , good race sportsbook downtown , excellent staff , cool pool area , great restaurant . overall , want stay downtown Las Vegas ( think real gambler , ) , Golden Nugget good place ! 
 Jul 26 2009 	 Underwhelmed Golden Nugget Las Vegas 	 say underwhelme stay Golden Nugget downtown Las Vegas . book non - smoking room give smoking room . take 15 - 20 minute get change . room move believe one save emergency . light tub not work , a / c awful , door not close tightly unless slam . a / c set 60 try cool room never get 78 80 . miserable . slam door get close ridiculous . room clean , nothing write home . stay Bally 's 2 night room nicer , big , cheap . would recommend hotel anyone . play casino probably will not stay hotel . 
 Jul 25 2009 	 Felt like queen room 	 never stay downtown , always stay strip past , time , great rate $ 52 night plus free extra , decide go . great hotel ! impressed ! hotel well maintain elegant . fabulous swimming pool water slide see watch people come . swimming pool waterfall drench youself . room large posh . ornate curtain hang window bed . feel like room fit queen . addition splendid accommodation , right Freemont Street night 60 's street party . light music everywhere , join together canopy enjoy ambiance . great time go Golden Nugget ! ' m frequent Vegas visitor , know would stay Golden Nugget ! 
 Jul 24 2009 	 good deal ! 	 two thing talk concern & quot ; Golden Nugget & quot ; first ( course ) location - locate Casino Center , strip . ask , be well - crowd ok , big . second thing pool - 's small fpor crowd , be surround high building , nothing claustrophobic paranoid people . everything else ist great stay Vegas . highly recommendable ! 
 Jul 24 2009 	 nice ... real gambler always stay Downtown Strip ! 	 first , primary reason come Vegas gamble , 's foolish stay anywhere Downtown Fremont Street area . want absolutely clear anyone try decide Strip Downtown . big boy Strip decide fight recession gouge table . hotel / casino visit part Harrahs , one own MGM / Mirage not offer REAL BLACKJACK REAL price ! take note . blackjack tables Strip visit pay 6:5 blackjack hand , oppose real blackjack , pay 3:2 . raise house advantage pretty substantially . ' m hope will not like rest dope casino throw money away obliviously , think be play blackjack : ai not . ' Nuff say ! , Golden Nugget ... first time stay , snag deal month beforehand Continental Vacations . usually stay next door four Queens . usually Four Queens cheap , time . Golden Nugget reputation & quot ; Wynn & quot ; Downtown . ( Nugget Wynn 's first casino . ) hotel nice , really much nice Four Queens . 's much big , layout distance different area require walk shoe . room old , clean well - keep . television South Tower , stay , old ; really acceptable level . bed comfortable room fairly large . oddly , mini - fridge , housekeeping never give we shower floor towel . room , though , quiet , service good , A / C ( vitally important sauna climate ) work well . I avid runner , want use workout facility . spa / workout room nice , cost & quot ; nominal & quot ; $ 20 use ... per day . hate that . very cool pool area , circular pool water slide surround ( slide go ) shark - infest aquarium . bottom line Golden Nugget nice , personally would not pay four Queens cheap , usually . say , Golden Nugget please people . 
 Jul 24 2009 	 expect - secret ! 	 husband stay Golden Nugget week , love . review look great rating 5 , wonder stay . last year stay Vegas Henderson scope strip never time get Fremont area . strip great , not get wrong ... love walk walk walk ... much busy - ness , be ok evening outing two . fremont especially Golden Nugget far one nice place stay past year . spend apprx 60 night year various hotel room travel cross - country year can not wait go back next year , Golden Nugget sure . staff awesome , extremely helpful recall conversation week . desk clerk Laura wonderful , extremely attentive helpful . housekeeping staff also helpful remember name whenever stroll hall . please not forget tip housekeeping , work hard , recommend $ 5 min per night . bar - keep also great , remember we night . want hussle - bussle extremely large hotel sure & quot ; one remember name & quot ; go Strip ... otherwise , head beautiful landmark , Golden Nugget & quot ; everyone remember name ! & quot ; cheer ! P.S . renovate hotel midst add another tower , room absolutely beautifu / luxurious . trust we , picture web - site not justice , even nice person ! BOOK , stop look ! 
 Jul 23 2009 	 fun place stay middle action 	 stay cheap room available actually nice . ( aware $ 20pp charge 2 people room . ) pool area really fun close early . 8 pm . enjoy fish , feel kind sorry ... seem like tank small . appreciated fact several lifeguard around pool help keep eye kid . 
 Jul 23 2009 	 Golden Nugget – pleasant surprise family vacation 	 reserve room Golden Nugget start western family vacation , pleasantly surprised pleased stay . our room south tower , low cost room type available book . recently renovate , good condition , include flat - panel LCD TV , air conditioner leave room well cool one summer ' hot day , low table entry make - up mirror , two comfortable bed . business traveler , desk adequate workspace , cable wireless HSIA available $ 12.99 per day . owe status old hotel , guest room bathroom well - appoint , small . while room rate show $ 50 per night , call make reservation , quickly escalate $ 75 tell reservationist seven year old child would we – – elect pay extra $ 20 charge order able skip long check - in check - out line work vip lounge instead . , give length line saw arrive , $ 20 well spend . food beverage good , . Casino Café serve standard fare ( steak , burger , sandwich , pasta ) service prompt . ' try restaurant , busy seem fine . the treat family pool area water slide / tube shark tank . kid love , make dozen trip tube afternoon . cost shark tube slide , even busy day , maximum wait 10 minute . pool area small – grab chair early plan use day . H2O bar area nice , top . another treat Golden Nugget pool - side Blackjack table . evening entertainment , Fremont Experience outside hotels section downtown Las Vegas cheesy entertain . parking free hotel guest deck behind rear hotel . overall , ' recommend hotel low - cost alternative pleasure stay Las Vegas , commend Golden Nugget ' keep hotel fresh downtown casino environment alive . 
 Jul 19 2009 	 great location middle everything 	 hotel well expect read trip advisor . pool great overly crowd time . complaint many hooker walk around . would stay whole trip . 5 night much . 
 Jul 19 2009 	 complaint ! 	 get back several day Vegas teen . stayed one night Golden Nugget South tower get feel downtown move Mandalay Bay . check breeze retrospect much appreciative wait elevator . ( wait line elevator Mandalay Bay ! ) adjoining room face parking garage , care ? room clean comfortable get good night 's rest . pay $ 52 per night ( make reservation night ) get coupon book use half price breakfast lunch buffet . evening Fremont experience right outside Casino door spend hour two evening . kid get pool 10 open enjoy slide shark check time . complaint ! 
