Love 	 Service hotel exceptional - wonder specifically hand pick staff - great . consierge Gina wonderful Jamie gal go way please staff . room nice - lovely linen comfortable clean bean . great separate little kitchenette also . suite 18 year old dcaughter could privacy.the breakfast great - huge delicious - bar man night great buzz - great cocktail . greet lovely bottle red NSW . coincidence be great well thought .The location convenient get within easy walk distance transport action . everything within walk distance plenty see mention eat . the would say room get tad warm air con set winter temp experience several time - management however try fix wherever possible quickly . worth every cent - nothing miss hotel - ( free shoe polishing ) - professional friendly staff GM also friendly gentleman take opportunity pay attention detail - staff also really appear like n - make wonderful workplace culture ' m sure shall return next year Benjamin - enjoy wonderful city - every minute 's hectic pace - can not wait get back 
 Sauna 	 stay one night November . back - room feel like sauna . try turn heat , use AC , open window . still sleep without cover pjs ! November ! completely unacceptable . otherwise , good location business midtown east . good size room clean bathroom little microwave sink area . bed comfortable linen scratchy . 
 Dec 21 2008 	 Benjamin 	 husband , daughter go NYC fall , favorite time visit , stay Benjamin second time three night October . obviously think Benjamin lovely hotel since return trip . please check review last visit TA . trip , suite similar nice view layout different access view available bedroom . balcony nice view small , bathroom window unlike previous suite . my gripe reserve suite August pay advance lock rate save dollar . reservation make directly w / the Benjamin . notice couple week trip rate suite lower approximately $ 125 / night less pay . call Benjamin request low rate . leave hold hung call back . third time manage speak appropriate person , request refuse . right , course , can not say stay . pay $ 758 / night . would not recommend pay advance , obviously . otherwise , lovely stay . 
 Dec 3 2008 	 Fantastic Stay .... 	 fiancee return first visit NYC choose Benjamin soley base positive review see Trip Advisor . quite surprised see negative review 4 night stay complaint whatsoever . location great ( 10 min Time Square ) , staff polite , curteous helpful . hear traffic throughout night , nothing expect close Broadway , Time Square etc interupt good night sleep . love city much come back NYC , would reservation return Benjamin . Cheltenham , UK 
 Dec 2 2008 	 not want sleep 	 stay great example go wrong hotel room staff ignore obvious . room , seem , path heating system rest hotel . mean heat turn evening hotel , room get 80 degree . try turn air conditioner could not cool room fan sound like jet engine last leg . complain . apologize . send maintenance . maintence try could not fix problem . complain . apologize . 4 day , complain apologized . oh please ! ! ! end , apologize take money . never stay hotel . right expect proactive . least move we another room problem could fix . 
 Nov 30 2008 	 Avoid Benjamin 	 return 3 night stay Benjamin NYC Thanksgiving weekend ( Thursday , Friday Saturday night November 27th , 28th 29th , 2008 . annual Thanksgiving pilgrimage . past stay Plaza , Palace Parker Meridian . due economy , try save little money year book Benjamin , still spend $ 4,800 3 room ( $ 500 / night ) . would return hotel follow reason : •we reserve 1br Suite 2 small room . arrive 5:00pm , one room ready.•the hot apple cider pot lobby ( apparently offer guest ) empty.•luggage arrive promptly notice wet yellow stain ( apparently pet urine ) beside bed 1br Suite . imagine housekeeping could miss . •I go front desk ask allow pet hotel … and tell yes . explain situation ask move another Suite , nothing comparable . front desk clerk ( Selena ) nice , compassionate helpful . give free breakfast certificate carpet clean eat dinner out … that option.•I need drink find hotel bar close 8:30pm.•the next day make dinner reservation concierge , ask pet bring we New York . respond 2 dog leave home . say oh , ask stay pet floor . disclose booked room ask move . •the hotel 2 elevator service 200 room . elevator wait long car often full upon arrival.•we Floor 14 ( Pet Floor ) noise fire police siren keep we sleep well nights.•when time depart , unable print boarding pass flight back home hotel printer work . ' it … live learn . hope help traveler . thank Tripadvisor . 
 Nov 28 2008 	 Excellent Stay 	 teenage daughter stay hotel November 13 - 16 . rate decent NYC hotel ... especially $ 299 weekend rate . location excellent : block Rockefeller Center right around corner subway stop . front desk helpful direction . doorman take time learn name daughter really love . use concierge several time -- notably get Lion King ticket . on - line broker contact , suggest go directly theatre day show . end 2nd row ticket , show fabulous ! room small adequate 2 people . use small refrigerator store delicious cheesecake purchase Junior 's . bathroom tiny nice . bed large comfortable . order pillow menu . daughter LOVED lullaby pillow allow plug mp3 . enjoy walk New York . restaurant wonderful , people - watch amazing . something new trip visit flea market next Times Square Saturday -- check $ 5 cashmere scarve $ 10 high quality sunglass . I definitely recommend small , boutique hotel anyone visit city . 
 Nov 14 2008 	 nice hotel 	 lovely hotel , excellent location , road Astoria , 15min walk Times Square . high price ( although really NYC standard ) pretty small ( , standard NYC ) nice finish touch - Elemis toilertrie bathroom , & quot ; pillow menu & quot ; choice 10 type pillow etc . helpful staff , free internet . 
 Nov 10 2008 	 everything ask 	 stay 2 night Oct.11 - 13 2998 . Got deal website $ 299 . per night think excellent rate . usual site quote $ 100 night . arrive early flight able get room 11 . reservation queen ask could get upgrade king know full well allow internet special . surprise surprise , lady checking ( wish write name ) able override computer upgrade wife king room . bed comfortable choice pillow nice amenity . upon leave ask late check let stay 2 pm . everything ask , give . great stay thank Benjamin ! 
 Nov 8 2008 	 many negative ! 	 unusual review , 's review hotel 's review . happy make reservation , despite eloquent report , balance report make we cancel reservation . function TripAdvisor , must thank contributor . would expensive gamble stay Benjaminn , despite manager offer we personal attention . perhaps attention direct big fault , sofa bed ! book another hotel Upper East Side , stay . well safe sorry ! 
 Oct 29 2008 	 drab wear overprice 	 talk stay doubletree metropolitan travel agent usually spot . time . agree 9/29/08 review & quot ; much well option area & quot ; 9/25 review & quot ; disappointed & quot ; . sofa bed awful even camping - love son could not sleep . furnishing suite well worn . bathroom size postage stamp . staff go way help . food average well . plus new comfortable bed . however absolutely nothing exceptional expensive hotel . ambiance & quot ; boutique & quot ; hotel . anywhere near worth price . 
 Oct 13 2008 	 Benjamin Exceptional ! 	 sister - in - law spend past weekend NYC sightseeing , attend Broadway show , shop , enjoy wonder magnificent city . stay Benjamin several year ago , familiar hotel . location 50th Lexington Ave . perfect starting point get anywhere town . subway station around corner , taxi abound , walk everywhere exceptionally easy . walk Broadway show two separate evening . stay one bedroom king bed suite ideal privacy since one we bedroom sofa bed living room . room exceptionally clean furnishing relatively new . housekeeping staff gracious waiting set sofa bed go evening . way could enjoy space living room . small kitchenette ideal breakfast snack . of importance friendliness helpfulness staff . front desk staff helpful pleasant . Sarah staff Concierge Desk prepare special map we day highlight easy explanation get us destination . fortunate Jonathan doorman entire stay . low key , helpful , kind . real gentleman . we could ask well accommodation visit . JM KaneWashington , D.C . 
 Oct 10 2008 	 great time 	 wife stay Benjamin Honeymoon great time . would read Trip Advisor booking Benjamin seem good review , agree . book one bedroom suite huge really comfortable bed , sit area comfortable small kitchen useful . Hotel give we complimentary platter fruit cheese along wine nice touch . the staff friendly helpful doormen/ porter concierge front desk staff , staff like really add something extra hotel . the slight disapointment bathroom bite small suite , would expect full size bath , bit tired chip bath , discolour grout dislodged shower head . maybe next refurb space take huge walk - in cupboard/ wardrobe adjoining make really great room ? warn visitor , book front facing room take ear plug reduce traffic noise , central New York ! upside nothing far away , subway across road , tour bus stop next street , Central Park Broadway within easy walk distance , handy diner Hotel deli back block great breakfast . this cheap hotel get value money , find great hotel comfortable bed generous size room good central location friendly staff . 
 Oct 2 2008 	 FAVORITE place stay NYC ! 	 stay 10th aniversary rain entire long weekend , spend time usual room dry warming ! upgrade already wonderful studio suite king 1 bedroom heaven ! comfortable bed ever sleep quiet night 's rest , sleep peaceful ultra - comfortable . order delivery chinese one night stay FANTASTIC , fast delicious . shower hot great pressure . bathroom clean well - stock . never see maid , room clean day towel stock . front desk fast check - in check - out staff helpful polite . professional friendly staff around . base experience , would HIGHLY recommend hotel anyone visit city . location central Metro , bus line , cab everywhere ! easy walk distance great food , site attraction . 
 Sep 29 2008 	 much well option area 	 Benjamin seem par NY hotel area , either price value . although room relatively clean , furnishing carpet old wear . hotel definitely see well day rate lead expect something . be well nearby W DoubleTree . would not stay . 
 Sep 25 2008 	 Disappointed 	 return Benjamin totally disappoint . arrival give corner suite king bedroom sofa bed living room . sofa bed use daughter open surprise break mattress wear tear . go front desk applogise tell we come back 40 minute would different room we . leave luggage first room return hour later find second room ready . tell go back first room would ring we new room ready . another hour later nothing happen go front desk eventually find we different room . to cut long story short sofa bed still unsuitable . sofa bed 10 year old accord label bed mattresse thin feel metal bar stick back . really need replace . after discussion agree place second mattress top original make bit well . for money pay hotel quality expect . 
 Sep 6 2008 	 Big Thumbs Benjamin 	 review May 2008 , forgot confirm post , ' m re - post it . I stay Benjamin last weekend good experience . live Brooklyn treat & quot ; birthday & quot ; present book one - bedroom deluxe suite . stay Library Hotel back March ' m work way top hotel choice city . check - in quick easy . walk hotel room less 10 minute . check - out take two minute bill accurate . book non - refundable room directly hotel website week prior stay feel like get good price . two elevator , service little slow time , never wait four minute . all staffer encounter extremely courteous helpful . management send birthday cake ( tasty chocolate concoction ) note hour arrive , nice touch . front desk wish happy birthday person phone , well . call pillow room service request meet reasonable amount time . my room , # 2601 , huge . 's top floor hotel rather large terrace friend enjoy drink cigar ( remember , smoke inside ! ) . terrace overlook Lexington Avenue nice view RCA Building Waldorf Astoria . be certainly good view Central Park , like cityscape view spend lot time terrace . the room reasonably well - appoint furniture clean comfortable . work station / desk big helpful , hook high - speed internet access breeze ( complaint think 's stupid hotel charge ' net access ) . climate control fine particular room east west exposure , open window suck city air . big , flat - screen television living room bedroom . light good light work . the galley area include sink , microwave , dish refrigerator . room service quick . food average , late snack , ' m sure entree like . little pricey , be expect . main thing miss room sort dining area / table . the bedroom nice big , bed ( king ) extremely comfortable . pillow menu nice touch take advantage . huge walk - in closet safe bathrobe . the bathroom rather small , shower great . be difficult get big bathroom old hotel ( , believe , renovate apartment building ) , size bathroom not big deal . I drink Emery Bar nice little place catch quick one . service bit slow crowded bartender service table also , work hard pleasant . everyone different experience , would like address one previous reviewer say feel look upon staff . not get vibe . wear jeans t - shirt throughout stay look bit dishevel arrive ( much birthday celebrate night ) . never felt look upon treat utmost respect . friend visit also wear jeans t - shirt not catch negative vibe . I really enjoy stay Benjamin would suggest hotel business leisure traveler . some pointer folk stay : - din two door hotel serve good grub fairly inexpensive . additionally , couple quick - service restaurant block Lexington inexpensive . Cafe Metro ( 51st / Lexington ) offer good salad sandwich pick breakfast . large convenience store two block away ( 51st/3rd Ave ) good place stock snack , drink , etc . plenty restaurant nearby good bar within block walk.- 6 - train right across street . 's one - stop south Grand Central Terminal , transfer shuttle ( nominally know S - train ) take one - stop Times Square . ' ve get number subway line take virtually anywhere city . e - train also one - block north take shoot east - to - west midtown . always , visit NYC , suggest take minute study Subway map . 's actually easy navigate system 's convenient virtually every local train system ' ve ever use ( U.S. overseas ) . Benjamin may centrally locate , 's well - locate provide good access public transportation easy transfer get around city . 
 Sep 3 2008 	 great stay Benjamin 	 spend four day NYC . first visit Big Apple . travel 12 year old son . good part stay come back clean quiet room Benjamin . location perfect . around corner Waldorf Astoria stop double decker tour bus route . everything stay Benjamin perfect . son particularly enjoy choice pillow & quot ; pillow menu & quot ; . room clean small kitchenette microwave fridge handy wine , popcorn , etc . ice tea lobby nice treat hot day site see . would definitely return Benjamin ! London , Ontario , Canada 
 Sep 1 2008 	 bad experience 	 date : Sept 1 , 2008 , San Diego stay Benjamin last 6 yrs , twice yr , Labor day , Thanksgiving Christmas . rave Benjamin everyone , ask stay visit NYC , always suggest Benjamin . love ambiance , service , little touch like milk cookie ' frig arrival , course pillow menu ! .We always request ( got ) room . studio , even though small , two us fine , lovely view , could see Waldorf window . staff always friendly courteous . this trip , however , disappointing . trip , decide get 1 bedroom suite , book April ( 5 mo ago ) . book 1 bed husband make arrangement meet client , feel living room area would great place conduct business private . this happen ( not let happen book Benjamin ) ! Approx 1 mo . prior visit contact Benjamin , speak someone reservation , request would like one bedroom balcony ( say balcony ) , also request get room like one show Virtual Tourist ( view ) , one similar studio stay past , except 1 bedroom . assume 's . however , call Sunday prior trip , front desk clerk say nothing indicate regard request , two reservation , one . say would problem cancel 2nd reservation make error , suggest room 912 , everything request first time . day trip , contact Benjamin , want make sure request reservation . front clerk say , previous front desk clerk error tell we & quot ; guarantee & quot ; , say room never guarantee . no problem , explain horrible experience previous hotel year ago . ever since always try get room request . ' ve never , ever problem Benjamin . when finally arrive , get room 912 , however open door , almost faint disgust . room terrible stench ( like smoke , non - smoking hotel ) . carpeting dirty stain . definately expect . , call ask another room , time give room 1012 , bad 912 . tell clerk not room show Virtual Tour , tell ! tell two room never renovate like one show Virtual Tour , photo gallery . this time ask speak manager , first say not room available night , check find one available , room 1710.this room well , large , smell well , take . however , carpeting stain fray end ( take picture ) , pillow bed , pillow sham . sheet bottom sheet , comforter , thin bedspread . husband cancel business meeting embarrassed meeting room . last least , check go pay bill , 2nd reservation never cancel , charge high reservation show . eventually take care . basically , not treat respect usually get high standard think Benjamin have . however , love NYC , weather beautiful , see everything want ! 
 Aug 27 2008 	 slip Benjamin 	 Benjamin use . eighth stay period 5+years time feel enough money . the suite high floor corner small bathroom . sofa / bed tear put 2 ( 2 ? ) cot living room crowd use . precluded guest come up . the air conditionne individual unit noisy . even 17th floor , lack proper window isolation make room quite noisy . the elevator functionne efficiently bellman continously use service elevator transport luggage . front desk people welcome attentive . next time go somewhere else renovate 4 * 
 Aug 18 2008 	 love Benjamin 's staff 	 check Affinia 50 awful walk 2 door Benjamin .... Jonathan night frontdesk manager fabulous . offer hotel computer make reservation , show room go way make family stay enjoyable . staff fabulous .. room nice .. suite great king bed pull - out cot 2 teen . pull broken put mattress floor , cot good . tell front desk cot , discount room give free breakfast remainder stay . offer new room stayed put . concierge great - friendly , knowledgeable . great location , great staff , room service night ... could make sure happy .... would recommend . 
 Aug 17 2008 	 Loved ! 	 absolutely love hotel . going go cheap , scared review read choose hotel base lot great review . although not room much , really nice stay . hotel staff friendly always smile . pillow menu- bring pillow choice night ! bed comfortable . room slightly large Manhattan room stay . pack light b / c weekend- amenity include lotion , shower cap , soap , etc .... 19th floor , not much view side , not mind . clean hotel would definitely stay . not get check pool workout facility can not comment . 
 Aug 10 2008 	 worth ... 	 although Benjamin decent property , way worth pay . demand soften NYC , chain slow low rate . need room two people , Priceline way go Manhattan . depend demand , frequently get Hilton ( block comfortable property .. ) less $ 140 . Manhattan not blow budget ! 
 Aug 4 2008 	 charming hotel 	 hotel clean staff nice helpful . one bedroom suite excellent size 4 people ( one bedroom separate living room area futon ) . washroom little small clean . love complimentary ice tea apple availabe around hotel . great location , right metro . would stay highly recommend . 
 Jul 29 2008 	 Great Value - Benjamin 	 return New York , first - time visit teen - aged son . stay 5 night Benjamin , overall great experience . staff great , although Concierge could little knowledgeable certain direction . one bedroom studio nice , would liked book one bedroom suite since old teenager . Book early . kitchenette serviceable , although little small . nice access microwave refrigerator snack . Room clean matter time vacate , check several time / day towel , trash removal etc . opportunity visit spa . would definitely stay , great central location not - exorbitant rate . 
 Jul 25 2008 	 great Stay Benjamin 	 July 25,2008 complete 5 night stay Benjamin . Husband , wife 12 yr old daughter . great deal research TripAdvisor , select Benjamin thoroughly pleased stay . room 1610 corner room one bedroom queen bed , fairly large living area popout sofabe galley kitchen . book room hotel website 4 week advance . we request room balcony able meet request . room small balcony overlook corner 51st Lexington . room spotlessly clean . utilize galley kitchen fridge coffemaker . everything room working order glictche . reviewer mention wait elevator , believe hotel full experience problem elevator . negative , wife think enough space bathroom counter , small . all interaction staff pleasant . seem eager please , smile . utilize fitness room restaurant , go bar one evening nice . would definitely stay return NYC . good cafe 2 block away , reasonable price , Morningstar Cafe , 949 2nd av also check EssaBagel 2 block away , good . 
 Jul 25 2008 	 Whatahotel ! ! 	 great staff lovely New York hotel ! ! 
 Jul 24 2008 	 wonderful hotel 	 stay four night king suite Benjamin Hotel . location wonderful across Waldorf - Astoria walk distance Grand Central Times Square . Staff helpful . suite hold king bedroom large separate living area desk . also small kitchenette full sized refridgerator microwave . coffee supply room . bed comfortable pillow menu nice treat . warn bathtub slick ! slip get shower first time come close really hurt ! go pleasant bar downstair eat restaurant room service can not comment . would definitely stay hotel future trip NYC ! 
 Jul 24 2008 	 great hotel excellent service 	 stay kid three night . great place family . two big room , small kitchen maybe tiny bathroom , ok . room clean well keep - nothing break hidden corner experience often . sofa bed little soft . location heart manhattan great , sightseeing trip also view window ( television kid ... ) . service excellent matter ask . quick respondent . forgot backback little son trunk taxi night arrive . little teddy backback sad cry really hard . offer little teddy free first night . concierge ( especially Gina Bianco - thanks ) try hard find taxi driver call many number get backback back . really get find ! also check : sure amount minibar . deduct sure without even argue . summary : really happy hotel , really great place stay vacation New York city . would recommend hotel anytime . 
 Jul 20 2008 	 often Great Choice 	 stay Benjamin number time business trip New York - close firm 's NY office , become default choice , assume availability . quite expensive , place New York time time , highly recommend one important condition : book one two room suite ( accommodation sort ) , terrific . book regular room , might look elsewhere . for price , two room suit excellent . living room , pull couch , chair , desk , tv , kitchenette microwave , coffee maker , refrigerator . bedroom bit small , comfortable bed , closet , small adequate bath . one spread bit , set work sitting room , use kitchenette coffee , etc . , obviously reserve bedroom sleep . single room deficient largely room fridge icemaker make noise , light come door , room bit cramp . ( recent visit , notwithstanding & quot ; loyalty & quot ; establishment , summarily downgrade regular room , nearly comfortable usual . ) room small balcony great view ; other tuck inside , lack view , super quiet . depend preference . the room well - light , reasonably well - functioning , though bit noisy HVAC system . Benjamin 's specialty & quot ; sleep concierge & quot ; service , multiple pillow choice , etc . fitness center -- small , crowded morning rush , ' ve never & quot ; shut & quot ; workout . two elliptical , two recumbant , two treadmill , small assortment weight weight machine . hotel offer spa service . never eat restaurant , bar pleasant uncrowde . staff always polite professional , show couple time , begin recognize . high speed internet ( wire ) reliable , another nice touch , room printer fax machine , usb capable . the Benjamin height New York luxury , sure , great reliable alternative behemoth around mid - town east . be short walk Park , many restaurant choice 50 around 2nd 3rd , course east side subway line . book suite , price point similar regular room Waldorf similar establishment , grab ; please comfortable . 
 Jul 17 2008 	 Happy Benjamin 	 10 - year old daughter , friend , stay Benjamin spring . little cost double room , suite large separate living room sofa bed big enough accommodate two girl . despite review say , plenty light several floor lamp , room , 17th floor , quiet New York standard , even window open . nice touch : hot chocolate ' on tap ' lobby afternoon , fresh apple reception , fully - equip personal office living room ( fax , phone , internet cable , large desk ) . kitchenette small useful . internet access bedroom wireless instead cable ( free living room ) first tell would pay extra discussion give free wireless key . facial beauty salon good relaxing . concierge knowledgable helpful . location can not beat -- good museum , Central Park , restaurant shop within walking distance . 
 Jul 16 2008 	 great stay Benjamin 	 stay Benjamin 25th Anniversary . King Suite lovely . clean comfortable . staff extremely friendly work hard make sure happy stay . surprised quiet room . awesome time New York return ( visit ) stay Benjamin . 
 Jul 8 2008 	 definitely return 	 return first trip NYC . one - bedroom king suite expect . good rate $ 264 per night ... low see two - month look ... almost expect get bad room hotel not . room 801 actually right next elevator overlook Lexington . see complaint board elevator horribly loud slow ; experience . perhaps one time wait long three minute elevator . we not experience hotel restaurant bar use room service couple time . yes , bit expensive typical room service anywhere . breakfast would either go Luncheonette next door night would pick scone muffin store 51st / Lex next morning . also load snack drink convenience store SW corner 47th 48th lex . ( store much large other close hotel ) . great italian dinner DeGrazia , head east 50th St past 3rd Ave north side will see black awning & quot ; DeGrazia & quot ; white lettering lead bottom floor building . I can not say enough hotel great include staff nightly turn - down service . location great , close enough everything far enough away regain sanity day Times Square , Soho , Rock 5th Ave shopping . 
 Jul 7 2008 	 great suite 	 four us party - 2 adult 2 teenager - King Suite perfect size brilliant NYC . great space , great location , friendly staff , could not ask . worth pay little suite , offer much space . 
 May 28 2008 	 Nice Hotel pricey 	 trip New York celebrate engagement early year . lot research hotel finally read lot TA review , decide upon Benjamin . hotel seem posisitve positive review . soon arrive hotel please . greet immiediately make feel welcome . room nicer thought would clean . little disapointed hotel know get engaged thought champagne room would nice touch none see . Benjamin ' pillow menu ' choose room . choose range 10 pillow snore , relaxation etc . little gimicky selling point fun . like hotel decor find staff friendly . concierge deserve special mention . email concierge arrive happy make recommendation eat make reservation we . also recommend Broadway show . the main problem price everything . price seem steep none 5 * touch use . one evening order hot chocolate room service tell run hot chocolate ? ! next evening order time arrive , taste quite revolting opinion , set we back $ 22 horrife not even come biscuit side ! call old fasione , $ 22 would expect something quite spectaular ! also make mistake breakfast hotel first morning , meet $ 80 bill ! 's true say portion fairly huge even , think little top . location hotel quite good , especially New York shop . close fifth avenue big shop . quite walk site ok us - enjoy walk around take NY atmosphere . all good trip . ready spend money NY feel little ' rip ' Benjamin . service ok staff helpful 's quite top hotel stay lack extra little touch make feel special . 
 May 22 2008 	 nice weekend getaway 	 first New York experience Benjamin help we enjoy immensely . book Priceline , despite another reviewer say , get Priceline room . however , book us room one double bed not go work , wife , eight - year - old daughter . quick call front desk upgrade we room king - sized bed charge offer we cot charge . the room comfortable even daughter comment & quot ; well place usually stay & quot ; . location great shopping trip New York . close Fifth Avenue , Central Park , Broadway . staff always courteous wife enjoy massage . two nitpick : wait elevator excruciatingly long time . also , lay card breakfast 10 pm one night still door next morning . worry , though . not charge we ! thank , Benjamin , two happy girl life . 
 may 14 2008 	 great stay Benjamin 	 book 3 room Priceline sure expect great stay complaint . one room get upgrade accomodate roll away son another back hotel greatly appreciate street noise ! ! problem staff unlike previous reviewer . carter check Doorman get we elusive cab find courteous helpful . the Pillow Menu go storm party think go every possible option 3 night stay . we find location excellent need walk Central Park , Times Square course , , proximity bloomingdale . we back one day ! ! 
 May 11 2008 	 like Benjamin 	 ' ve Benjamin twice . city would overprice , NYC 's & quot ; good & quot ; deal . help nice , friendly , responsive . son love ( free ) hot chocolate almost always offer lobby . room large bed comfortable . downside bathroom ( uneven - small well appoint , mother 's large ) restaurant price . we find offer many kind pillow amusing gimmicky . 
 May 11 2008 	 never 	 second time Benjamin last . first time perfect room great request room open door . weekend book room top floor terrace champagne food place room check ! ! call many time make sure everthing good go . upon check lady front desk say room ready time 3:30 ! ask could put room without terrace tell fron desk plan trip 3 week ahead time do not go . put suite 1609 room terrible view , small terrace stain carpet .... suprise since last time stay perfect . plus wine food place room find ... come 45 minute later . never return hotel . 
 May 10 2008 	 Priceline guest Priceline treatment ... back ! ! ! 	 stay Benjamin read great review TA also amazing win Priceline . look forward leg trip ( Washington DC prior come NYC ) , could wait get check top class hotel . on checking - get assurance via email Arcenia Olson ( one Benjamin 's manager ) would get & quot ; priceline & quot ; room i.e elevator shaft , faulty equipment face brick wall light ... guess . told & quot ; oh wonderful room set aside & quot ; smile man front desk . tell , decide check room allocate . & quot ; ask , elevator shaft ? & quot ; reply & quot ; well , yes & quot ; . explain probably would noise issue . ask alternative . say another room could , ... face brick wall . lovely service guy . exactly sort room sure Priceline / Hotwire people want read about . so initial disappointment , check room elevator shaft . noise time , could hear elevator loud thumping footstep room . footstep help sure part parcel hotel . annoyed Benjamin obviously take account preference believe assign room can not charge full price - Priceline room . email people promise intention keeping . the room good size , despite initial issue bed comfortable . although pick pillow ( anti snore pillow ) street noise air conditioning unit bellow loud noise - assure boyfriend get guarenteed good night sleep every night . anti snore pillow rubbish , work slight boyfriend end use normal feather pillow leave bed sleep . as state - air conditioning unit obviously break something . never experience loud unit one room . could bother complain turn night . whir fridge go ... guarenteed good night sleep money back say .. ok .. wil 6 night worth back ! ! area drawback , would think planning stay hotel read review . metro station top street . ... 6 run . 6 run downtown attraction towards West . hotel East . go cross town get attraction .. easy have not New York City . find pain rear try navigate metro train actually go east side . 6 line make use stop hotel transfer line downtown bit . go block another metro line run station go cross town , change train . NYC never think beyond I . maybe experience local expert TA correct time walk West East be not much choice . bear mind stay side . yes , nice near TS ESB - AINT ! main thing problem believe previous reviewer Toronto say . hope Benjamin Manager , Mr Labetti take note - STAFF ! ! whilst could help notice upscale hotel much geared businessman . alot suit coming go also dress couple - everyone look important . partner vacation - jean shirt . feel totally place staff feel somewhat look we , get feeling be not good enough stay . get room , bargain sale pay top dollar do not get treatment . sometimes , door man do not get door , even though . want change money , room number , passport , credit card - feel intimidate though ( Front Desk ) quiz every time withstand fact stare coldly black lady long braid time guy quiz . eventually go Macys change money . pay use Travellers Cheques . I spa massage , good masseur friendly would not cash cost ! good job . charge $ 78 do not know think advertise leaflet $ 65 head / shoulder massage 30minute . still do not bother much . a couple exception : Katherine Concierge - one people treat we respect though beneath . helpful reading - big hello Katherine thank help stay . 2ndly - housekeeping . great job room , bit untidy somuch stuff unpacked present buy DC place , tidy well really look wonderful come back sightseeing . friendly courteous chat time always smile . do not think hotel appreciate hard work exceptional job . recommend theNew York Luncheonette good breakfast nosh cheap price . load good restaurant area want walk onto Lexington Avenue . , would come back hotel . partner feel despite room nice , do not take notice request . despite post TA , think get & quot ; priceline & quot ; room . shame feel priceline winner hotel bear mind . may get & quot ; good & quot ; room . wrong totally treat people differently feel happen look forward much come here . I would come back 2009 even sure want come back NYC time question whether traveller cheque genuine forgery - even passport ! really encourage people spend really . anyway , overall quite nice time stay side town , hotel .... ( come back NYC ) . 
 May 8 2008 	 Loved Benjamin 	 Overall , boyfriend love Benjamin . pick property great review Trip Advisor location . location turn excellent close enough everything , yet set enough side 's less noisy congested . check breeze leave we bottle wine strawberry room anniversary . staff friendly concierge helpful . stay Deluxe Studio Suite perfect size even small kitchen . room decor nice flat screen tv great touch . bed amazing ! good sheet ever . problem sleep street noise , bf find little annoying used earplug . get free breakfast thru package book , otherwise breakfast hotel restaurant ridiculously expensive . pay $ 7 half grapefruit ? ! good news 's great cafe , Cafe Metro , around corner serve really tasty , affordable breakfast . the two downside hotel ... elevator super slow quite frustrating . hotel not provide free internet , even lobby business centre . , believe change near future . 
 may 7 2008 	 overly impressed 	 thing like hotel , service issue really leave unimpressed property general . big problem inefficiency concierge . ( one lady particular ) . travel husband 2 boy ( 6 9 ) vacation . e - mail concierge week prior arrival get detail top tourist attraction . ask Statue Liberty Ellis Island tour . tell get ticket Battery Park early morning . also ask tour arrive hotel . well , get battery Park 9 ( weekday ) tell since not advanced reservation would wait line get ferry . line unbelievably long turn nearly 2 hour wait . not concierge tell could purchase ticket advance wait line ! ! really upsetting . ask desk upon return day , say not sell ticket ! tell via e - mail ( inquire week prior arrival ) arrive ask day ! concierge also give we incorrect direction via subway get Museum Natural History . obviously clue b train not run Saturday . wait quite someone station tell we never come ! , waste time ! impressed ! also call concierge night prior museum outing find time open . tell 10:30 . guess , open 10 . , call hotel manager day prior departure express displeasure . never return call . upon checkout , tell clerk leave message manager leave New york . assure would contact home . well , home nearly 2 week nobody bother call . housekeeping also issue . come back room , around 5 pm day turn . still shower etc . go . call ask fresh towel morning clock fix , never happen . hotel fine . carpet room dirty , bed comfy . water pressure excellent . tv be also nice . little kitchen handy well . sure would stay , not cheap ( 400ish per night ) give level service . 
 May 5 2008 	 be go back another Visit 	 husband decide try Benjamin March 2007 want intimate experience large hotel provide . disappointed . staff exceptional , lobby elegant get room , please comfort luxury . feel pamper every need meet . love much , return weekend ( May 2008 ) annual trip NYC . doubt Benjamin hotel choice whenever visit New York future . 
