perfect 	 stay Hotel Mela wonderful experience . boutique hotel staff ambiance make immediately feel home . lobby small comfortable . accommodation spacious comfortable , bed luxurious . location great , block walk mall nightlife would interested . look forward return NYC hesitate stay Hotel Mela ! ! 
 Chic Oasis Central Location 	 stay Hotel Mela Thanksgiving week , visit friend city . overall find hotel centrally locate , modern decor friendly service . the hotel centrally locate , block Times Square . service lobby friendly professional , decor chic . arrive room , find Superior room quite small , recently redecorate , chic decor . everything clean find expect amenity ( tv , closet , fridge , etc ) - appreciate free wifi . bed extremely comfortable . I would definitely stay . 
 Convenient 	 husband stay Hotel Mela 5 night Thanksgiving Holidays . lobby small , trendy . check - in smooth , dealing staff . elevator tenth floor room quite slow . minor complaint . room good size NYC . stay Executive King please amenity . shower toiletry great . the real complaint comfort bed . use pillow top mattress fould Hotel Mela 's firm . also , pillow weak . big complaint smell come A / C unit . know urine smell hit nostril moment step subway ? well , smell fill room whenever turn air . would slept window open , window face air shaft full trap , stagnant , hot air . think typical room Hotel Mela . unpleasant , think weird , fluke thing happen stay . let add , smell faint moderate , present nevertheless . overall , great stay . conveniently locate heart action . hotel literally step away Times Square . probably stay simply b / c enjoy try new hotel , good buy moderately price traveler . 
 Fantastic ! 	 great experience . first say staff Hotel Mela nicest helpful ever encounter . go way make sure stay enjoyable . upgrade we free , gladly hold luggage , answer question actually seem happy . read room ridiculously small definitely . grant two twin bed room comfortable . decor pretty clean . yes , bathroom small lot counter space shelf sink hold great deal . course location fantastic ! half block heart Times Square ~ could ask for . I would highly recommend Hotel Mela definitely stay next time go NYC ! ! ! ! ! ! 
 Mar 10 2009 	 great location clean 	 second time boyfriend stay New York , previous stay Royalton , guess turn majorly high standard compare anything else . room small , expect base previous review . nicely decorate , however , room face onto back hotel , guess interior designer decide not necessary provide curtain actually close . fine exhibitionist , great not . especially since back hotel face onto tiny courtyard mean always fairly dark light turn , sure guest could see much we could ( good ) . door not properly seal either mean could hear everything , kind remind back university hall . apart , staff friendly ' m sure would provide we map , etc ask they . the hotel business centre second floor . charge $ 8 15 minute internet , stupidly , discover later shop beside Subway deli , two door provide internet service $ 1 10 minute . location hotel fantastic , especially theatre lover . glory Time 's Square step away ... advice shop around get good deal . book £ 400 four night , superior double , room alpha room . would not hae really worth , since subway system good end Manhattan matter minute $ 2 single/ $ 7 day ticket . bear mind ... money save , spend . sure visit Century 21 Cortlandt Street , near ground zero , fab designer label discount price , everything guess Jimmy choo , suprise ! ! 
 Mar 9 2009 	 great location well appoint clean friendly accommodate staff 	 daughter plan trip NYC couple day , read Trip Advisor review , book room Hotel Mela . room huge , clean , well appoint perfect stay . staff extremely accommodate check , give direction recommendation . 
 Mar 8 2009 	 perfect central location 	 lovely small hotel , central location ( theatre district ) great explore Manhattan . room tiny , New York , not much point stay hotel room ! helpful concierge suggest fantastic steak restaurant - Ben Benson 's Steak House . 
 Mar 7 2009 	 ok 	 room extreamly small even though upgrade two level regular room location key . not impressed hotel staff great . stay three star hotel superior service right Broadway . like euorpean style hotel good choice you . the traditional room service well cheap hotel serve 's purpose . 
 Mar 6 2009 	 great location explore Manhattan 	 Hotel Mela great spot 44th St Broadway 6th Avenue make perfect central location explore midtown , great link Upper East Side , Upper West Side Lower Manhattan . despite close Times Square , room front onto road , find room relatively quiet . whilst street noise could heard window close , certainly not enough disturb sleep , anything we enhance experience ! not go NYC quite holiday , enjoy reminder go outside room . for 4 night stay opted Deluxe room pleasantly surprise amount space city centre location . room well furnished , clean , comfortable bathroom pleasant bright . the staff friendly keen offer help wherever appropriate . we not make use fitness centre - much walk fancy - make use free option check print boarding pass return flight . this great holiday hotel . would definitely recommend already think book next trip New York ( although get home today ! ) 
 Feb 28 2009 	 Best Priceline bargain year 	 make ridiculously low bid Priceline hotel Times Square area lucky enough get Hotel Mela . stylish room lobby . love little boutique hotel . would happily return pay full price . 
 Feb 26 2009 	 hotel good staff mela top draw 	 stay many hotel quallity staff Mela make huge difference . room usual nicely decorate although sight seeing / party shopping thing stick double room rather shell junior suite . the Mela Midtown cost $ 10 get meat packing district Soho ( include tip ) Midtown actually get decent breakfast lunch . tyrone worth chat , know get thing do . realy tell otherwise see rate go key team member poach eh ! ! ! do not usualy write report feel little nugget worth shout . RegardsSpencer ... 
 Feb 24 2009 	 Best trip ever ! ! 	 sister stay Mela Hotel 5 day truly amazing time ! be ever think go New York day , Mela Hotel place stay . room clean , right next Time Square pretty much everything else ! hardly cab anywhere , since walk distance place . Service Mela excellent ! everyone welcome truly helpful . excellent bed pillow ! really comfortable . , wonderful time would stay Mela Hotel , without doubt ! 
 Feb 22 2009 	 realistic : Good Bad 	 ' m go give brief yet descriptive description trip . arrive hotel 5 am significant , exhausted hoping room would available even though check - in not 3 pm . first front deskman bit rude warm we ( guess not morning person ) manage find we small room one book happy take rest travel . never life front desk person call room 5 minute walk make sure suitable . ( ' ve stay many nice hotel ) . simple show customer service already go outstanding . around noon another call room place say room book will not available night would stay opinion EXTREMELY small room , almost dorm like . clean yes small taste figure nice hotel . fairly annoyed see Valentine 's Day quickly remedied situation free breakfast upgrade 2 room size follow night since stay 4 night total . next room much big nice minus & quot ; modern & quot ; shower really not great water kind splash . big deal , let know bathroom little room put toiletry counter lack . woken construction 8 am ( 5 am California time ) . say least piss . manager extremely apologetic , offer move we immediately , dinner restaurant next door . believe Kevin Nick 2 manager speak , also give we bottle wine , bottled water , juice inconvenience . also get choice 3 different room , 2 different layout . overall , customer service outstanding . never well service almost everyone nice accommodating . 5 star hotel ' ve stayed not give crap be number would like something extra , good luck unless want pay lot . be look huge lobby walk 10 people front desk greet option restaurant bar hotel , not place . give idea elevator can not hold 4 people . be look hotel amazing location , clean , great service , nice people , decent room place . walk anywhere restaurant bar place within 5 minute walk . 
 Feb 19 2009 	 one great bellman ! ! ! 	 recently stay Hotel Mela New York : wonderful boutique hotel heart Times Square . hotel pleasant enough really sell wonderful bell attendant , Josh ! ! ! OMG , rule ! ! ! guy wonderful ; helped carry luggage - not enough - charm brain witty pun ! daughter wife could take eye damn handsome ! broad shoulder ripple arm , move gracefully jungle cat . professional knowledgeable , be incredible not front desk manager GM ! ! ! needless say , tell great give huge high five ! awesome job Josh , love ! ! ! 
 Feb 18 2009 	 location great staff really helpful 	 get back 4 night stay Hotel Mela . we wife 's birthday valentine day . location great 's step Times Square everything will need . also really handy get around major tourist site . everything foot , apart financial district bite out . the room really nice lot big thought would . lot space lovely comfy bed too . the staff really friendly always happy help . John Paul help we book theatre ticket river boat cruise . if get chance , go see Chicago .. brilliant . would definately book stay . 
 Feb 17 2009 	 Excellent boutique hotel Times Square 	 love hotel . pro hotel far outweigh con . need remember stay NYC unlike stay place , need consider size , location , service , noise factor . want clean , well - appoint , european style hotel central location friendly staff , not overlook great , small hotel : pro : -Hotelmela.com great web site explain hotel amenity accurately - when reserve phone , honor low rate find web ( hotels.com ) -Clean , recently renovate , well appoint room bathroom - free wireless internet - friendly helpful staff attend need quickly ( unlike big hotel ) -great , centralized location right Times Square - we get free upgrade Executive Jr. Suite join free desire program pay $ 188 / nite plus tax ! -excellent room short business trip couple getaway - we arrive early hold bag check in - we get late checkout 1 pm hold bag day - we request quiet non - smoking room , high floor , away elevator outside traffic give we exactly want ( expect desire , room view - buiding , street - exactly need Times Square order get sleep ) -good food / bar nearby ; subway nearby ; cab street whenever need ; near parking - Turndown service Dove chocolate ( sure Valentines day previous day ) -overall great value price amenitiescon : -small lobby ( exactly expect base boutique hotel ) ; wait room around corner near elevator ; crowd check time - small room ( different boutique hotel - get square footage compare hotel area ) ; would not good week 's stay ( great 1 - 3 nite ) .-small elevator ( 4 people max ) .my goal find nice hotel Times Square one night hotel perfect ! 
 Feb 16 2009 	 Tinny room poor hot water restaurant inside front desk could better job 	 , - second time . view wonderfull - WALL 
 Feb 15 2009 	 would definitely stay ! 	 great location ! great staff ! comfy room , large enough space nice . near everything get room high back 's quiet -- except pigeon ! : ) love , stay sure ! 
 Feb 13 2009 	 would go back second ! ! ! 	 well , start ? go NYC business since Friday , decide bring husband along long await night away home ... hotel great ! ! ! ! can not get place like amount pay Midtown time year ! ! ! hotel staff excellent . hotel centrally locate , half block Times Square ( Crossroads America ) ... room great . desire program sign get room , already pre - pick snack drink wait . room clean , bathroom clean , turndown service night put little chocolate pillow ! ! maid service excellent .... would definitely go back . thing construction work right next door , little loud day , hey , middle Manhattan . would definitely request room high floor next time go back , maybe would able lose street noise . , stay relax fantastic . oh , go , really nice little irish bar right around corner call O'Lunney 's 45th Street 6th 7th -- check -- great food , great bartender great people ! enjoy stay Hotel Mela ! 
 Feb 10 2009 	 second time good first ... 	 stay Hotel Mela September great location comfortable , decide stay . , everything exactly need . terrific location , great bed / bedding , attentive staff . front desk staff bit stuffy , everything comes sound little scripted impersonal , valet warm eager help . Joel great , stay . one hiccup .... check - in , assign room previous guest smoke , even though non - smoking floor ( almost completely non - smoking hotel ) ... worry , give different room immediately . in block - italian place across street good , food service . bar door ( Jimmy 's Corner ) great little dive . Times Cafe / Deli good lot stuff , breakfast snack , whatever . 
 Feb 10 2009 	 great location ... Great Hotel ... Outstanding Staff 	 wife stay Hotel Mela two night ( Saturday Sunday ) . instant check second depart , everyone staff friendly helpful . travel extensively throughout world seldom find friendly hotel Hotel Mela . additiionally , hotel room beautiful , well design , well insulated sound Times Square . scale 10 , would describe experience Hotel Mela 10 . definitely stay wholeheartedly recommend wonderful hotel anyone want stay Midtown NYC . 
 Feb 6 2009 	 Hotel Mela wonderful ! 	 go NYC show book Hotwire , first time . skeptical rate reasonable , review good go . happy . hotel intimate , squeaky clean , staff could friendlier helpful . love go New York special occasion see Broadway show , happy find great new place stay . 
 Feb 4 2009 	 Excellent Location Excellent Staff Perfect Boutique Hotel 	 partner stay hotel January seven night minute arrive minute leave could enough we . front desk staff excellent particular benny , Chris Swaim assistant manager sorting issue . location hotel could well thirty second walk time square 8 minute walk port authority bus station subway . if tourist ideal hotel excellent location pub restaurant around area exspensive look special deal pre threatre deal pint beer average price $ 8 find excellent old fashioned traditional american pub four door away hotel towards time square call JIMMYS CORNER fantasitic get beer sensible price $ 3.60 pint night bring around free basket chrisp do not put outside pub must . another must sensible food sensible / cheap / budget price JACKSON HOLE serve huge burger , platter consist chip salad big pure 100 % meat burger ever see cost $ 12 excellent value must also wide varity food local use restaurant drove little tourist path well worth . another restaurant worth visit AKDENIZ mediterranean turkish cusisine lunch time special $ 22 + vat four course excellent , start bread selection , start , main , dessert , tea coffee food excellent good big portion service waiter excellent keep bring bread throughout meal keep fill glass ice cold water , 19 west 46th street . back hotel people say room small get free upgrade due stay seven day plenty room room high standard ( hotel full one small room would upgrade ) . breakfast serve next door hotel restaurant nice excellent quality $ 40 two include tea orange juice toast full english breakfast . hotel also special offer discount ask book special offer , leave morning paper every week day , small fitness room get water piece fruit cost . desire agent front house get car give direction whereever want go , make sure guest get desire holiday hence name . 
 Feb 4 2009 	 Brilliant location 	 hotel Mela look . go 3 nite short city break . location good part , step Times Square within walk distance main sight . would recommend hotel other . warn though room small , do not mind look big luurious hotel somewhere come home long day ! 
 Feb 1 2009 	 top quality centrally locate hotel NY 	 recently stay Hotel Mela find fine example would hope Manhattan hotel . staff : staff encounter ( apart one ) friendly , efficient make effort go way assist . reception doormen hotel cleaning staff - pleasant . room : room small , yet sufficient mid - town Manhattan term . extremely comfortable well lay . free internet huge bonus . location : Superb . step away Time Square , close bus , Subway stop etc . want Midtown location - ! flaw business centre . wish check - in online flight go . lot airline list , mine . want check - in online list airline 's free . list ? would pay $ 8 fee use machine minute . use phone call reception meet verbal shrug ( response & quot ; yeah , guess will pay ... * dead air * & quot ; ) . & quot ; oh , sorry airline not list , & quot ; might proactive , helpful response - especially be 1 sheet paper be talk ! seem odd hotel feel 's fair expect customer pay $ 8 something guest get free . small gripe , nice hotel , seem penny wise , pound foolish gesture . kind annoy - shame mark otherwise perfect stay . all - nice hotel , get good deal , be certainly , decent choice ! 
 Jan 26 2009 	 bedbug bite 	 teeny tiny room -- hang coat door knob . chair . one good thing -- window open . one robe per room . bad -- bite bedbug . hard reconcile hotwire 's 4 star designation reality . 
 Jan 25 2009 	 impressed 	 bit apprehensive hotel staff make trip one 4 year old daughter always remember . location could not perfect , room much well expect daughter want move family & quot ; Big City & quot ; . thank Hotel Mela ! ! ! 
 Jan 23 2009 	 one problem : could not stay long ! 	 even two - night trip NYC splurge we , hope well search hotel & amp ; plane rate rating online . Hotel Mela show part & quot ; save buck & quot ; air + hotel package Expedia . first , everyone encounter -- front desk , bellman , housekeeping -- , friendly . one bit & quot ; since be NYC , folk yokels & quot ; really put damper getaway . feel important value every minute . the location tremendous : not even occasion use subway get JFK . easy walk Port Authority bus terminal iterally two minute Broadway theatre ( reason trip ) .I request queen room queen home -- cram double & quot ; vacation & quot ; -- expect barely room move . surprise ! book Expedia something well available , king room also include desk comfortable chair . ( sure happen , enough room ! ) yes , elevator small , much room need ? 3 , even one full , next moment away . noise problem . request & quot ; courtyard & quot ; room : ' m sure look , not face street . not room view , anyway . my 2 big concern hotel cleanliness price . Mela get a+ cleanliness . budget , price stretch , afford another & quot ; Broadway getaway , & quot ; not think ' m going even try look well price . reasonable NYC ( especially consider Times Square location ) , not think would risk unknown great stay ! 
 Jan 22 2009 	 Miss Hotel Mela 	 unsure whether stay Hotel Mela , . 's great hotel ! deluxe room , cute , clean , well decorate bathroom great . I love . good thing New York . go back stay , sure ! 
 Jan 18 2009 	 totally love 	 stay Thursday Sunday second week December nutshell , ABSOLUTELY LOVE . arrive rainy day around 11:00 a.m. , able get room immediately oppose waiting check - in time . travel daughter change room double bed accommodate request upon arrival . front desk personnel extremely courteous helpful . room nice , clean , great decor well bathroom . location superb , step Time Square . definitely stay highly recommend hotel . 
 Jan 11 2009 	 Mela 	 Began stay Mela late 2007 . find property perfectly locate Mid Town , personnel staff incredibly attentive courteous . room comfortable Hotel overall present great value today 's business traveler . staff comfortableness Hotel make Mela perfect Hotel I . also happy say , since begin stay Mela - I introduce several associate Company -- begin stay well 4 - 5 trip annually 
 Jan 8 2009 	 stay hotel Mela guarentee will BEST time NYC ! ! 	 Anna Romania . I warmly recommend hotel ! 9 night spend new year eve birthday . arrive hotel surprise , stay 9 night upgradeed room deluxe executive room . like wonderfull & quot ; welcome hotel mela & quot ; ! JFK airport take yellow taxi . make 40 - 45min price 45 $ ( good value ) .The staff helpfull smile . guy concierge fantastic ! help we everything need teach we NYC great time . Tirone & quot ; man & quot ; ! good job . send 2 mail reach hotel ask diferent stuff email we back quickly . arrive hotel reach help patience we advice give we great ! , reach guy concirge guarentee will answer need spending time NYC . deserve tip willing give ! room comfy , bed huge lot pillow , pretty small wardrobe enough ne need , also desk bathroom spotless . executive room ( recomande book room like ) perfect ! small room , lot space even dance u whan ! : ) ) say room , clean . the location hotel make money . like 1 minute Times Sq,3 minute theater Broadway,5 minute 5th avenue,7 minute Rockefeller center . all minute walk .. slowly : ) . heart Manhattan . heplfull tip tourit : -we great time Washington DC , full day trip 145 $ .-we diid not take touristic bus cold windy metro cards-7day card 24 $ -one start see nyc.-for eating , restaurant across street good , french italian one also . also Subway way Times Sq . find supermarket Times sq.-try get show Radio City Hall , fantastic ! -you miss Top Rock Empire state building.-don miss Liberty statue.-the impresionant small trip Manhattan helicopter ! amazing ! 20 minutes-240 $ hope give detail need great time like ! miss stay Mela hotel ! time life ! ! 
 Jan 7 2009 	 Great Location Comfy Beds 	 Hotel Mela perfect solution we Thanksgiving . seeing play Hotel block theatre district Times Square . room huge clean decent . measure great hotel always bed . lousy pillow ruin night ' sleep . happy report one comfortable bed ever sleep . staff ' friendly helpful . breakfast adjoining restaurant fantastic . Hotel Mela Waldorf , intimate feel enjoy . 
 Dec 31 2008 	 Hoitel Mela great stay 	 lovely hotel , well locate 44th ... near 5th avenue shop broadway theater . staff exceptionally friendly helpful -- even print boarding pass computer trouble . bed extremely comfortable bathroom roomy . 
 Dec 29 2008 	 Great Location Service 	 wife stay Hotel Mela couple week ago really enjoy . location fantastic staff attentive . room small sufficient modern decor . definately back ! 
 Dec 17 2008 	 Great Hotel 	 stay Hotel Mela last weekend ( 12/12 - 12/14 ) mom . visit NYC celebrate birthday shopping . absolutely love hotel ! location convenient everything . even though 1/2 block Times Square , street surprisingly quiet hear little traffic noise . front hotel decorate beautifully Christmas , leave great first impression ! lobby sleek stylish , still cozy . always smell really good ... like bake apple pie something ! can not say enough staff . always several staff member lobby ready help whatever need . check in / check quick simple . everyone courteous helpful . room little small , expect understand 's typical city . stylishly decorate , though , clean . love bed - comfy - plenty pillow . bath product amazing ! great experience - would definitely stay ! 
 Dec 12 2008 	 Mini - hotel not . good location . mediocre good . 	 work move office near Times Square figure would try different hotel figure well . try Hotel Mela trip overall leave unimpressed . the good : staff friendly helpful . location near Times Square . easy get to . the bad : not really enjoy stay . hotel 's elevator tiny . ' m big guy , cramp could hold 3 4 people max . my room tiny . stay standard queen room small room ' ve ever stay . closet instead tiny Armoire . problem fill safe wine chiller wine glass , thus hang clothing not possible . thus , hang clothe bathroom . room also small flat panel screen two tiny nightstand attach wall . room dark well light . nice light would great . room room luggage one foot large bed , thus , place sit walk around . bed , door bathroom . comfortable - remind ibis hotel Europe + Ikea furniture . bed comfortable clean though . floor stain capet . the bathroom marble nice clean . shower number hair slight mold build - up . could not get hot water night , though work extent morning . bathroom small fairly comfortable . H20 spa amenity nice . other problem thin wall . hear absolutely everything neighbor could hear conversation hallway . also , construction next door promptly wake 7am . construction extremely loud . know , would not stay over . the Mela middle price range . think much well value around Times Square place . room nearby hotel much big . if get amazing deal ( i.e . $ 200 ) would consider stay , otherwise much well choice . 
 Dec 2 2008 	 nice stay little expensive got ! 	 stay Hotel Mela honeymoon 9th 16th November . location fantastic , 's good thing hotel ! literally couple minute Times Square . reception staff overly friendly rude either . room small adequate two we , clean could not hear much noise outside . much hardly spend time room ! 's restaurant next door hotel not eat . Virgils BBQ ( take leave leave hotel ) , lovely food , huge portion though careful ! ! might want share ! Red Flame ( diner style ) close hotel ( take right leave hotel ) good breakfast . pay € 2157.23 seven night , room , stay Hotel Mela could not really fault think pay top got , thing could think pay location say fantastic . ' m sure alot reasonably price hotel Manhattan equally good location . would return Hotel Mela get good deal ! ! John Paul helpful friendly thank ! ! New York great definitely return . 
 Nov 30 2008 	 Mediocre good 	 go NYC Holiday getaway expect $ $ . arrive Friday Thanksgiving 1 person work front desk . staff friendly , overwhelmed , thing take long time ; definite favoritism give lady walk full length fur entire Louis Vuitton luggage collection . room small , clean . bed extremely uncomfortable , pillow hard rock thin . switch room first night bed uncomfortable well . surprised , well , lack local knowledge staff . one concierge ' comfortable ' answer question give suggestion . two time ask restaurant suggestion disappointment . first time food awful , want simply leave . second time , restaurant not even open . I disappoint never stay Mela . 
 Nov 30 2008 	 LOVED 	 stay 2 nite Hotel Mela cruise love . great location , friendly staff , right middle Times Square . Room decorate funky get to love Boutique Hotels . defintely stay next time Big Apple . 
 Nov 24 2008 	 interested create return business 	 past company use hotel several regular meeting , book block room time . one time meeting reschedule , hotel refuse even offer credit , despite fact rebooke month advance . work we , would ' ve receive 40 night per year company , instead , take business elsewhere . 
 Nov 23 2008 	 like everyone else 's experience - clean bit small nice 	 free wireless , clean room great bed linen , excellent business pleasure ... could want ? get deal $ 240 night extremely pleased experience . location major factor except allow easily walk train station . 's right Times Square though , one hope not become touristy time . definitely one keep list though . top mark around . 
 Nov 21 2008 	 would recommend stay 	 staff helpful . arrive around lunchtime able check without problem . room small , would go big room next time . clean excellent location . close 5th ave , times square etc 
 Nov 20 2008 	 Town Business 	 book stay Hotel Mela base upon many positive review . town 1 day training , want place close Times Square , wireless access must . stay , reserve double bed . room somewhat small , fine one person . room clean well keep . staff friendly , helpful . half block center Times Square , basically 1 minute walk everything . keep mind close Times Square also mean will not quiet place , usually not go NYC sleep . overall would say Hotel Mela experience worth amount pay one night stay . plan stay next trip NYC . 
 Nov 18 2008 	 Loved Hotel Mela 	 Hotel Mela great boutique hotel heart Manhattan . clean , quiet , great amnetie . service exceptional . close everything . highly recommend hotel . 
 Nov 17 2008 	 great hotel great location 	 stay Mela 09th 12th November 2008 . hotel locate adjascent street right meter away Time Square . stay Mela Suite big expect like everybody say ... New York . room extremely clean impeccable bathroom . decoration pleasant furniture cozy . the room locate 14th floor away street ( back yard ) even possible sleep open window ( know Europeans ! ! ) . reception staff clean staff helpful . use restaurant next door breakfast perfect . day departure able keep room 1400 great . excellent hotel . negative point make first size room second almost non existent possibility store clothe / luggage . definitively come back hotel furture . 
 Nov 14 2008 	 excellent value great location 	 Hotel Mela locate less half block Times Square . friendly staff helpful . room well appoint comfortable bed , flat screen tv great work area ( executive room ) free WiFi work well . find hotel ideal business travel . rate reasonable nice reasonable restaurant outside front door ( Bistro , handle room service hotel ) . 
 Nov 11 2008 	 Great Weekend ijn NYC 	 wife opportunity stay Hotel Mela Times Square , NYC , past weekend . stay time past , completely enjoy visit . hotel location great time would want visit NYC , well continue high level service provide entire interactive staff . furthermore , room stayed provide would need visit . overall great weekend ! 
 Nov 7 2008 	 Great Hotel Location ( look cab story ) 	 great modern boutique style hotel great location ( see Times Square bedroom window albeit 100 m away ) . little pricey 's different hotel generally area . room great . thing watch story 's feed weary traveller catch yellow NY cab hotel 's valet airport service . tell NY cab run airport run meter astronomically expensive traffic . lie - yellow cab flat rate ( $ 55 - 60 include bridge toll tip ) . hotel car $ 75 . soured end trip slightly otherwise great hotel . 
 Nov 6 2008 	 Hotel mela BEST hotel NY best price ! 	 ever want visit NY pleasant stay hotel , definitely book hotel Mela , perfectly situated , 44street ( 30 meter times square ) , clean , twice day room check , room comfortable , everything room private bathroom . price really good , cheap get compare hotel NY . couple hotel facility every one , fitness room , congress room restaurant next door . order breakfast deliverd room staff friendly trustworthy . ( forgot sunglass watch send overseas within 4 day ) overall pleasant stay would definitely book hotel next trip.the photo 's website hotel make other site room really like . see website hotel get . 
 Nov 3 2008 	 Great Hotel ! 	 husband return 4 night stay Hotel Mela . trip celebrate husband 's 40th Birthday . never visit New York impressed city Hotel . would certainly recommend hotel without hesitation anyone plan visit city . location perfect central everything need / want see . style hotel really good - modern clean . room exactly appreare website . we arrive 2 pm - desk staff friendly efficient room ready ( read review room ready , half expect ) . room , although small , clean everything need . service every day visit clean bed linen towel . concierge great , help we totally unprepared heavy rain ! also managae hail cab 5 pm rush hour ! hope go back New York one day would book hotel ! love ! ! 
 Nov 2 2008 	 great Stay Mela - can not really fault 	 good point : helpful friendly staff - always help receptionexcellent location - Times Square one side 5th Ave , noisy all . small cosy - large chain hotel quite personal feel not crowd . room - book Amex rate free upgrade King - size Superior room ample size nice modern plasma tv nice bathroom . superb shower , powerful need walk around day ! bad point : view room straight another building think dance studio view straight room - curtain close not really problem not stay room much way ! overall really enjoy stay defiantly go back . also worth register website email update give promotional rate ! stay check Red Flame Diner one block right Hotel Mela serve really good breakfast ! 
 Oct 28 2008 	 good boutique hotel mix feeling 	 stay 1 night Hotel Mela husband . town see show . since stay Saturday night , quite bit search , Tripadvisor internet , acceptable rate good hotel . since Hotel Mela rank top 50 hotel New York Tripadvisor , think would good choice . fortunate secure & quot ; mela sale & quot ; rate superior queen room . prepare extremely small room poster note . Americans , prepare : hotel small use . lobby small , front desk accommodate 2 people behind , concierge desk 4 step behind front desk . 3 elevator , two small , one large ( ADA requirement wheelchair bind guest ) . two small elevator accommodate 4 people one carry - on type bag . lot luggage , wait large elevator , one right . arrive noon , front desk advise us room ready , could another room instead . turn executive King room , two room category book . upgrade free . room probably size hotel stay New York , include Hilton Times Square Westin Times Square . room beautifully appoint ; poster ' photo accurately depict room bathroom . find enough space handle toiletry bathroom , plenty space main bedroom we thing . , stay extended period time , would recommend size room . room also clean . room & quot ; interior & quot ; room think another poster describe , view none speak minimal natural light room . make quiet night sleep , though . 's start mixed feeling hotel : service hit miss . get service other site rave ( i.e. , employee smile , say hello , etc ) . front desk clerk check - in adequately polite . check , clerk check we simply ask charge , say , thank we stay . couple check behind we help front desk clerk , ask stay , offer hail cab , etc . really care in - your - face - what - can - I - do to - help - you ? style service , like check least offer courtesy . also strange incident room . return show around midnight , notice room turn ( ice bucket , chocolate bed ) bathroom floor cover inch water . call front desk send engineer . engineer could find source water , call mop bucket clean . , bathroom restore order 15 minute . however , front desk never check we , offer move we , extend courtesy inconvenience . credit , handle situation quickly professionally . room quirk also lead mixed overall impression : flat screen tv stand minibar . snack basket part refreshment center sit front tv . move snack basket every time want watch tv . in - room coffee maker work well . door room gap around top side , let light . realize quite minor personal issue , may feel huge concern , want explain feel way hotel . overall , say , mixed feeling . would stay ? first choice City available ( Westin Hilton ) get good rate , would . really beat location -- 1/2 block time square . clean modernly decorate . offer room service 7 be 11 pm , price pretty comparable room service menus see . let review discourage . hotel taste personal . guess prefer big brand hotel , like good boutique hotel great amenity outstanding service . good boutique hotel . great amenity . however , think service could well , since think boutique ability compete win repeat guest . try . be definitely good option New York stay . 
 Oct 25 2008 	 Great Hotel ! 	 Booked hotel part Virgin Holidays package . really impressed stay . hotel fantastic location , 1 min Times Square . staff friendly helpful . room small expect New York . bathroom amazing ! clean order room service twice excellent . ' ve stay hotel New York , happy , far good . 
 Oct 21 2008 	 everything need ! 	 stay Mela last year half . yes room small , small expect ! 4 day sightseeing plenty room need ( one suitcase go two come back pack full bargain ! ) location excellent - Time Square 2 min walk away quiet enough street sleep ! maid service amazing ! go first day come back find room spotless clothe leave floor fold bed ( do not leave clothe floor feel bad ! ) happy price ( hotel + flight 600 ) . staff helpful even sorted ticket show we ! 
 Oct 19 2008 	 tiny room ( not take hotel since 's typical NYC ) 	 book Superior room . tiny . enough room large sized trolley bag , carry - on bag laptop case . ( travel three week combination business pleasure . hence , extra luggage ) . be two adult be brigne one carry - on luggage two , may advice book least Deluxe ( make Executive ) room ? almost guarantee Superior room enough space comfortably fit two luggage . that say , Hotel Mela 's superior room actually quite well - sized New York price range . result , one can not really complain size room . as room , actually nicely equip clean . 26 - inch lcd tv ( large enough without overpowering room , mention channel selection include HBO ) , mini - fridge , fully stock mini - bar , closet safe large enough accomodate laptop . closet , however , close useless . factor safe , bathrobe , ice bucket glass , be enough room hang one jacket . be . nothing . bed quite large comfortable . like flexible stalk read light . bathroom pretty nice large expect . combination tub shower , way , rather simply stand - alone shower . wallper floor 's tile pattern give bathroom degree personality appreciate . likewise well stock necessary toiletry . , room clean , well maintine look quite new . however , interior room low floor ( 3rd ) . hence , view , little sunlight plus sort machinery right outside . good thing machinery never night ( maybe able sleep hum ) .The staff nice actually take time greet guest smile . mention free internet access via Wi - Fi ? location wise , be great love Times Square . hotel be exactly Times Square close . hence , get easy accessibility Times Square without deal crowd noise Times Square . all - in - all , would rate Mela 3.5 rather 4 . less 0.5 tiny room . yes , yes , even know room size standard New York City price point ( i.e . USD350 + per night ) . , still express displeasure state affair , can not ? 
 Oct 9 2008 	 Fantastic 	 really like hotel , room small think typical NYC . room light fresh immaculately clean . staff friendly courteous could not enough help . check quick easy location fantastic . regular business visitor NYC favourite boutique hotel far . not know compare price - wise other , not think have disappoint stay . tip NYC get Times Sq head two block 9th evening , get much well food , away bustle experience NYC really ! 
 Oct 8 2008 	 big hotel lack space 	 good place stay , nice modern room , helpful patient staff good location . downside really size superior room : small . no place ! even leave luggage . image city like NY always come back hotel end day , least , one shopping bag . ' impossible feel comfortable room floor full thing . ruin trip , course , concern space money get suite executive room . 
 Oct 7 2008 	 Nice Hotel ... 	 stay 4 night business trip . friendly staff . got early check 9 am add cost . Hotel centrally locate middle Times Square tuck away small street 's noisy hectic . modern , clean , well decorate . Nice H2O ammenitie . problem dark room . light poor sunlight window since be another building close proximity hotel . price $ 525 night , would probably stay big hotel view ( sunlight ) 
