never 	 fan Travelodge ( normally ) . nothing posh usually know get say . unfortunately case one . long queue check could not happen till 3.00 sightseeing luggage ( try narrow spiral staircase Tower London . room peel wallpaper , hoover part leave room clean , mug wash properly , bathroom dingy . ask think receptionist leave , convince anything would do . weird thing Travel Lodge seem split two . new frontage see trip adviser photo along Shaftesbury theatre doubt interior new , entrance Drury lane old bit allocate . not know get allocate new end seem list separate t.l . perhaps T.L . management read explain ? . 
 Excellent Location good price 	 room 217 good , clean bed linen towel change daily . hotel budget price excellent location . five minute theatre Covent Garden within easy walk distance China town . admit place could face lift lick paint ! cafe / bar area breakfast serve cold small definitley need face lift first place see booking . would good idea screen entrance door dine cold air whips round area , pleasant eating . would stay though purely location price . 
 DREADFUL ACCOMODATION - never ! ! 	 stay ROOM 226 . stay 2 night . good thing say hotel location . room appalling - wallpaper hanging , mouldy tile bathroom , dirty shower curtain , light bulb work , furniture look like come skip . whole room smell damp musty . comment food choose eat . would never , ever stay hotel . 
 stay hotel ! 	 bad Travelodge ever stay . leave luggage facility , go Charing Cross station pay £ 8 per bag could not check hotel 3 pm . overnight traveller overnight bag ridiculous situation mention time take traipsing around underground , would not minded pay leave bag hotel . slow reception staff , room key card work arrive room 1 pm morning yomp back reception . window bedroom screw shut sort security lock no - one seem key ? Hope never fire escape window . carpet wall filthy , would say carpets stair wells vacuum millenium hole guest could easily catch heal fall . breakfast bad wait age cutlery food become cold ! would recommend hotel unless really desperate , even think twice ! ! ! ! ! 
 could lot well 	 check slow . get bedroom realise toilet paper , ask - give leave roll another room . realise one set towel 2 people ! next day return day , dirty coffee cup leave room , restock coffee , tea milk - go reception replacement . realise one set towel leave ( willing use previous day towel remove ) . back reception another set towel ( ask toilet roll ! ) .breakfast poor/ - croissant fresh . Yoghurt available one day next .. OK 's budget hotel GBP 210 2 night 's cheap . their staff polite friendly obviosly problem ensure bedroom check service correctlythey need get act together . add insult injury , online questionnaire ask one question say & quot ; thank complete survey & quot ; - obviously company interested customer think . 
 Apr 14 2009 	 Location 	 spend easter hotel 3 night good Friday Easter Monday . pay £ 9.00 per room per night 3 night £ 27.00 total .... outstanding value .... location fantastic , not ever need travelcard thing doorstep . only negative bed , old uncomfortable , seriously need replace ...... could put £ 9.00 per night .......... 
 Apr 12 2009 	 Great Location Great value 	 book hotel 10 month ago order go theatre . pay £ 29 double room worth every penny . minute walk theatre Covent Garden load good place eat . also easy walk distance Trafalgar Square , Westminster Thames , manage area coffee 2 hour . location great . admittedly traffic noise , expect centre London . I think lucky new 2 building big room view across London , comfy , clean bed bathroom ample towel . also tea / coffee make facility TV.We pay £ 21 24 hour parking centre London not pay taxis public transport all . as lucky get good rate , think excellent value money . ' m sure would happy old building know . would go back could guarantee room building . 
 Apr 7 2009 	 great location clean comfy bed night city 	 spend great night Covent Garden , reception staff friendly helpful , room plenty big enough bed clean comfortable . £ 32 ! ! plus 24 hour car parking £ 15 , bad city centre . location excellent , short stroll Covent Garden , British Museum , Leicester Square , Soho Shaftesbury Ave . shame price breakfast , all - you - can - eat £ 7.50 , would never eaten enough make worth much , find Frank 's cafe around corner , husband full english tea £ 4.50 . nice italian meal ' La Ballerina ' , also around corner Bow St , intimate atmosphere friendly italian staff . great greek meal busy bustle Real Greek next night , food take back greek holiday . might glow praise Travelodge paid £ 100 night , keep eye open sale get great place lie head end busy day sightseeing ! 
 Apr 4 2009 	 shocking hotel 	 location hotel great want night Covent Garden area , that s compliment pay pit hotel . do not think complain street noise stay hotel city centre , particularly London , agree early reviewer - try Rome want noise night ! majority noise come hotel , much easy feel angry . spend one night ( We d night ) happy offer room 7th floor ( well away street noise think ) . unfortunately constant noise night imagine build air conditioning unit ( thing exist build old dilapidate ) another exceptionally loud noise think might boiler start early morning . as hotel room - book website building room look nice . whoever take external photo obviously Photoshop genius , since paint much nice picture reality offer . since lone traveller book standard double room , get room contain single bed . shower gel , sign iron / board anywhere , tiny slit - like window , old carpet mark wall . ' ve stay well student hall past would unimpressed offer room hostel tenth price . pretty disappointed pay £ 100 privilege , espcially give constant noise night . area London short hotel - although admittedly expensive , anything worth extra comapred hotel . Travelodge need sort act redecorate hotel actually look like room photo website . what make bad ( , really , get bad ) can not check 3 pm pay extra £ 10 check early . would avoid , luggage storage facility hotel ( apparently due security concern ) , either carry bag day pay extra . next thing know charge extra £ 1 get toilet roomand £ 5 shower ! know people complain staff , helpful courteous - quite achievement since seem get constant grief people . 
 Apr 1 2009 	 awful even Travelodge 	 definitely one cheap hotel probably good location London , ' ve give star all . I not really want rag staff know get awful job . . . actually hotel staff member tell could not give telephone number cab company . proceed tell way could get cab pre - pay happy dial number ! fortunately , happen know completely untrue . also , buy time internet expect use leisure stay . hour use continuously £ 10 per hour . starbuck well deal . shove old part hotel Covent Garden proper . elevator ( although elevator two building , force explore looking room ) . room tiny window wall extremely thin . feel extremely & quot ; expose & quot ; night room face constantly busy court yard . siren pretty much non stop , ruffian hang court yard , patron loudly stumble hall . I mean , get , cheap ( London ) . not cheap expect staff incompetent keep night noise outside . fully recognize City Centre . . . hotel 's clue install double triple pain window . also , iron room -- - pin like hair dryer hanger ? Premier Inn chain may hotel Britain not iron room common area . Travelodge wait cue , take iron ( potentially extremely large board ) upstairs back reception . oh funky rash return stay -- - sure bed bug cheap detergent . 
 Mar 31 2009 	 Great Location Great Value 	 return 3 night stay Travelodge Covent Garden , new building 6th floor . hear traffic noise would get city centre location ( try centre Rome really know noise night ! ) .We family room ( king size bed , sofa bed , flat screen tv , tea & amp ; coffee make facility , bathroom shower bath ) find good size , clean tidy everything need . stay Travelodge property know expect . think lot complaint property people know limitation Travelodge brand . look & quot ; extras & quot ; & quot ; luxury & quot ; will not place . London go look clean room good location good price get want . I book well advance manage get room £ 32 per night price excellent . also pay late check - out find well worth extra £ 10 give we couple extra hour last day . location great theatreland ( going see Hairspray theatre literally next door ) , Covent Garden Soho also doorstep attraction within walking distance . little worried previous review property not . great stay would hesitate recommend definately use next London . lastly would recommend little cafe top Shaftesbury Ave ( 2 minute walk hotel ) call franx cook breakfast £ 3.95 ( include tea toast - bargain ) .hope information might help . 
 Mar 24 2009 	 total lack service 	 never go near hotel again.1 ) LUGGAGE ROOMS / leave luggage service ! ! ! London 40 - 50 time stay lot different hotel . never , ever experience hotel without service luggage room . 's big deal check arrive long store luggage . carry luggage around London hour arrival departure day . not even occur hotel provide . say & quot ; security reason & quot ; . totally hopeless ! 2 ) first two people see enter reception , man extremely dirty stain Travellodge fleece jacket trouser . rest hotel would ? make say & quot ; & quot ; breakfast hotel.3 ) finally get room , pay £ 10 early check , room ok . bed bathroom quite clean , sofa room grey dust full staine . not event want put suitcase . Yuck ! 4 ) never see smile receptionist , except girl arrive try help well could within Travelodge limit . thank Audrey ( think name ) try . 
 Mar 23 2009 	 Great Value Money 	 Considering pay £ 45 night hotel great . check Drury Lane hotel tell build 1 min walk problem ( look nice one ) great location could hear noice road outside . walk show , restaurant location excelent ! would recomend anyone else use hotel future 
 Mar 19 2009 	 money- EXCELLENT 	 return two night trip London stay Travelodge Covent Garden . read reviews Tripadvisor booking decide take chance due excellent location . pay full price room ( £ 217 2 night include early check - in late check - out ) say still offer good value money . visit London , say , twice year stay regular hotel ( within 5 minute Travelodge ) cost excess £ 250 night . hotel offer would expect Travelodge- clean room , comfy bed little else ! long except check , will not disapointe . check straight ' new ' building ( read review website ) locate High Holborn Grape Museum Streets . build NCP car park beneath 5 minute walk Holborn Tube . staff efficient enforce 15:00 check - in time . towel scarce initially happily provide request . location exceptional theatre ; 1 minute Hairspray , 10 minute Lion King . 5 minute walk get heart Covent Garden Soho . going spend time out - and - about use hotel facility save money- stay Travelodge Covent Garden . 
 Mar 18 2009 	 World 's bad ' Hotel ' ? 	 good thing hotel location . spend little stay somewhere billion time well . 1 towel two people room little large prison cell world 's saggi bed . horrid plastic loo seat loose detach 's moring ! least place clean . since leave try try call hotel leave something important behind . needless say , joy . tv receive 5 basic channel BBC 24 ; freeview would not go amiss mask horrendous noise street / other guest . know warn noise price charge would expect double - glaze minimum requirement . no - star hotel service , ameniteis thanks return visit ! 
 Mar 15 2009 	 impressed 	 earth anyone get deal £ 32 per night do not know . pay £ 90 rate be not v good value ( yeah book age ago ) . Room noisy ( Holborn building ) baffle window appear double glaze sound seem come wall . supply one towel talk find ( one group 4 get one room ! ) . bed awful , duvet horribly stain inside cover , do not know toilet roll last tonight spare sightyes v basic get lot cheap ok rate paying do not stack well would look else 
 Mar 14 2009 	 good value budget room 	 stay one night6th floor , traffic noise . good spacious room , clean , comfy bed . good shower / small bath , fantastic locationNo frill e.g . shampoo hairdryer soap towels2nd time stay , would stay , recommend friend 
 Mar 7 2009 	 unbeatable location budget hotel London 	 Good old Travelodge , ever reliable , right centre London . one world 's exciting city outside , not generally stay hotel long besides sleep ! predictable , clean room , powerful shower , comfy bed , be need London , factor not actually come together often part london unless double triple pay Travelodge . downside fire alarm go 6 7 time 2 day stay - remind uni hall - 5 - 10 second time , not leave room . despite , would definitely stay central London . 
 Mar 7 2009 	 excellent location great value money 	 clean room , check problem , bathroom look brand new decent tv room . excellent location , easy walk distance Covent Garden , Leicester Square etc . far Travelodge go could not really expect much . room 414 hear little noise either within hotel outside . would definately go back . 
 Mar 7 2009 	 Great Location - Good Money 	 stay hotel 3 night early March - people stay Travelodges suprise - say probaly ugliest travelodge stay - outside ! ! Managed get 3 night two people central london £ 150 - get pay ? ! ? get Standard Run mill Travelodge . Hotel room Clean - get normal ammenitie room ( shampoo etc - normal ) hotel approx 300 m Covent Garden underground station apporx 700 m Leicester Square . hundred bar restuarant around - also less 500 m major theatre . ( go see Lion King Lyceum Theatre 400 m hotel ) Trafalgar Square Westminster bridge Strand also walkable ( 1000 m ) - hotel split 60 % main building building far away . comment - yes bed softish side although bad , website clearly show check time leave luggage service . never stay travelodge basic hotel chain get price match - still get clean tidy , roof head room although 5 * comfortable . 
 Mar 4 2009 	 Basic comfortable 	 Hotel basic comfortable cheap pretty good location . nothing write home be budget spend much time room hotel 
 Feb 18 2009 	 clean simple room great location 	 husband travel London another family 2/9 - 2/13 . stay Travelodge Covent Garden . the first thing note Travelodge luxury hotel . look really nice hotel pamper , probably want stay . we look place clean , affordable , good location sleep day sight - seeing . point Travelodge deliver . hotel make two seperate building across street -- stay 7th floor High Holborn building.- great location ! walk everywhere . not want walk , tube stop Covent Garden , Leicester Square , Holborn within mintue walk . within five minute many theater , British Museum , lot decent restaurant . - clean , simple room - include bathroom . pretty spacious understand London hotel . tv water boiler + instant coffee / tea . flip side , simple mean toiletry ( except little bar soap ) , borrow hairdryer / iron front desk return be do . also , phone room . internet fee.- staff polite helpful experience . check Drury Street Travelodge direct Holborn building room . not crazy ( pour ... ) small inconvenience quickly forget get room nice warm thermostat control . not problem noise there.- not breakfast Travelodge . instead , recommendation another reviewer ( thank much ! ) breakfast franx around corner Shaftesbury Avenue get full ( filling ) breakfast less ? 5 . Pret Manger ( go near Leicester Square station , be everywhere ) also good place eat light breakfast . 
 Feb 17 2009 	 good location + value money 	 one night stop London see Hairspray ( great ) 2 daughter . I want somewhere convenient - easy tube access & amp ; close theatre . delighted find Shaftesbury theatre virtually next door , especially cold night . we stay & quot ; tower block & quot ; 7th floor , room 776 - spacious family room . ghastly view empty office block small , high window , hole wall bed , bed okay , staff pleasant helpful , everything clean . eat breakfast bar cafe - could not recommend , child eat free , can not really complain price . plenty restaurant nearby . get pay , want somewhere pretty / stylish look elsewhere . overnight stop certainly worth consider , especially get reduce rate . also pay £ 10 late check , give we shopping time . cheap put 2 case leave luggage station . 
 Feb 17 2009 	 Perfect budget 	 pay £ 32pn family room say perfect . allocate room HIgh Holbourn building , London , roomy , clean comfortable . position West end really good able walk show mean save taxi not use tube night child get realy busy . great size towel flat screen tv plus basic tea / coffee facility . staff - particularly breakfast evening bar / food staff excellent . seriously consider £ 10 early check late check want get rid bag early leave late final day . for family two free child find breakfast good value may possibly choose eat elsewhere pay full everyone . try avoid peak eating time want little / no queue . 
 Feb 8 2009 	 great location covent garden 	 great location minute Long Acre / Piazza maybe 5 min Leicester Square.if do not like queue avoid 3 pm check - in time . fast staff get process speed.despite people review hotel noise problem 2 days.we enjoy top floor view london west end . - room 716only complaint tap en - suite not good could replace 
 Feb 5 2009 	 good wheelchair user 	 stay third time 2 week ago . time ' ve give room modern tower block High Holborn excellent wheelchair access . think floor may one adapt room mean ' ve never problem booking . adapt room spacious large bathroom wide door . bathroom walk - in shower ( bath ) , tiny sink toilet . handrail around toilet shower fold seat shower ( although quite small ! ) . space beside toilet allow level transfer leave ( seat ) necessary . annoying thing bathroom little space put toiletry ie shelf , basin useless want anything wash hand . think presumably people ever shower never want wash face ! also never yet encounter plug washbasin ! room , shall say , minimalist clean , comfortable contain basic . bed comfortable , bit soft , reasonable height . long ' dressing table ' really worktop adequate legroom beneath conveniently place mirror electrical socket ( take hairdrier ) . 1 small heater room keep room warm enough find need put coat bed keep warm enough night . ( hand husband warm ! ) . room noisy take earplug , however one main source noise , nightclub behind hotel , apparently close end January ( shame clientele good news Travelodge customer ! ) long replace construction work jackhammer help . there several good sized lift . restaurant also reasonably spacious although access little restricted peak time enough accessible table around edge prepare wait minute necessary . think breakfast fine ( apart egg ) , well , bad - breakfast heaven sake . bit disorganise busy time though . breakfast buffet style notice member staff help another wheelchair bind guest travel . generally find staff friendly helpful . not eat restaurant evening menu look ok . hotel excellent location wheelchair user - see review - 5 - 15 minute load place , Covent Garden , Soho , China Town , Trafalgar Square , British Museum , National Gallery , Theatreland , Oxford St , mean not need bother Tube taxi etc - massive plus . 's easy get around area , wide pavement drop kerb main street , pedestrianise area crossing etc , may negotiate occasional kerb obstruction side street should not much problem . may problem though find somewhere ( hotel ) eat drink . load restaurant pub around area lot quite small closely pack table . also Friday Saturday night full . try 7 pub Saturday night find space one ( run beer half settle lager ! ) . find nice italian restaurant Soho call Bertorelli 's might part chain , spacious , good access good food . ( not know whether accessible toilet - not investigate ) . not particularly cheap overly expensive either ( depend many glass wine ! ) 10 min walk . Corner Frith St Bateman St particularly handy Jersey Boys ( although went see Hairspray ! ) basically hotel would hard beat weekend stay London , particularly wheelchair user , location , comfort convenience important ambience . place romantic weekend special treat might bit depress stay weekend exactly expect Travelodge ? 
 Jan 29 2009 	 clean basic bargain 	 book room 6 month advance , pay £ 19 . bargain . location fab- although walk deserted Drury Lane show 22:30 bit creepy . we room ' the extension ' . look beter main building , whose entrance concrete monstrosity . like guest , queue 10 minute check in . staff efficient polite . over road building , much modern welcoming . room 7th floor . clean functional . breakfast know would loads cheap well place around . wise move not look appetising . for price pay room , absolute bargain , would definately stay . 
 Jan 28 2009 	 great location need cheer ... 	 two night London take sight see re - vamp ' Sunset Boulevard ' - ( Brilliant , show review ) .arrive taxi dingy flight step flood concourse entrance area . finally paddle hotel reception soak wet foot advise pay another £ 10 check 15.00 ( 13.45 ) . great start , 0/10 first impression . room , though small , need purpose visit across rooftop could see London Eye , top Nelsons Column . the restaurant seem open limited time , take advice early ' Tripadvisor ' take breakfast bottle vino plonko nightcap . for £ 62 night , good thing Covent Garden TL location , present need ridiculously expensive London tube use . the entrance area welcome could lot ' cheer ' though ..... 
 Jan 21 2009 	 good value 	 book three room five we two night Sunday Monday go Oliver , theatre less 5 min walk away . fact good location lot theatre . two room 5th floor one 7th one 7th need revamp , clean great shower flat screen tv , phone nearly everyone mobile problem . pay £ 29 per room good value , read review wonder people want money thing book early get good deal can not look another hotel last min deal . light sleeper noise outside go keep awake buy earplug London goodness sake . check little slow take 15mins two speed dead slow stop . Pitty leave luggage pain agree . breakfast buffet £ 7.50 eat hot cold , aviod food warm plate warmer working soon plate cold , scramble egg solid block could cut chunk build luggage room . go hotel turn leave , leave light leave onto Neal street Franx cafe leave good breakfast fiver . warn pub sunday close 10 pm 10.30 also watch fot restarant 12.5 % service charge read small print go . 
 Jan 20 2009 	 great location 	 spend night hotel , double room 7th floor . could not fault . clean excellent value £ 19 , definately return good location . 
 Jan 19 2009 	 would not bother - unless get cheap 	 arrive ( book quite time advance ) 20 minute check queue . one member staff - everyone pre book surely must know point everyone would want check ? another lady come reception 5 min potter decide help check big queue form ! ask hairdryer give without doubt cheap could find market tell bring back reception first thing morning ! ven thoughcheck mid day . say woul not tell must come get morning ! reception staff give impression one whole building . think ridiculous . the room not clean room shabby . pay £ 90 room think priace . pay like other £ 9 £ 19 would happy room . the good thing London see Oliver ! fantastic show admittedly hotel great location walk distance theatre restaurant covent garden that s end ! 
 Jan 19 2009 	 Typical Travelodge 	 stay girlfriend January reunion go road . hotel easy find load people say hotel two site within walk distance one another . think lucky site seem lot new inviting outside , obviously can not account inside hotel . book family room £ 99 think quite expensive . reception , cafe etc , look lovely . room fine , typical Travelodge not bother take pic . clean spacious . nice tv tea / coffee make facility . one night perfect , excellent location theatre 's , Covent Garden etc . would definately stay . may worth take ear plug slightly noisy due location . 
 Jan 13 2009 	 not know expect ! ! ! 	 read previous review apprehensive hotel . 7 shopping party , girl . book 3 family room , £ 29 per room . book 1 room early check store luggage not waste shopping time . problem check , allocate large room 12 noon . return 6.30pm pick key 2 room . room clean spacious . 6th 7th floor . could traffic not issue . location FAB . walk Oxford St 5 min . Covent Garden doorstep , Mama Mia Ivy 10 minute walk . fantastic shopping weekend , would not hesitate return . leave luggage Charing Cross station departure day . 
 Jan 9 2009 	 great location ; great value money 	 comeback 4 night stay well impressed . firstly price- pay £ 19 night . location excellent . fact end walk Piccadilly Westminster ; be well place . go couple show - Piccadilly Drury Lane , near . go alone feel leave theatre unsafe , even underground Stations . busy like early evening . just use sense around Capital . keep handbag tightly arm , mobile sight . eat hotel , want snack , ' subway ' couple yard road , various coffee place , offer breakfast etc . indian restaurant Thai one opposite . also , chemist opposite convenience store , well provide ! ! Covent Garden station , 7 min away , & amp ; foodhall opposite handy teh odd thing . staff great helpful . first room ( 3rd floor ) fantastic modern ( see pic ) unfortunately move window draughty . 2nd room ( 7th floor ) plush , clean adequate warm . read previous comment , yes 2 building . one Drury Lane , next dental practice . side road next Shaftesbury Avenue . maybe room well building , can not say , certainly not dirty . I know staff would happy move satisfied . building 's car park underneath £ 15 day , think v. reasonable . bear mind next time . I use underground bus ( bus great luggage tired save step , walk escalator face underground station ) . get one day travelcard great value , lot diff . 3 day one . use bus tube . Sorry 's long review , be thing would like know book . 
 Jan 5 2009 	 hot water 	 arrive London get tube Convent Garden , walk around find Travelodge , Covent Garden . approach see nice clean huge Travelodge . booking send road another Travelodge , ( sure go wrong Travelodge first place , normal procedure ) go lift go double room , room basic , would expect travelodge , wallpaper wall filthy double bed 2 single bed together be not comfortable . telephone contact reception hot water last morning . will not stay . know travelodge basic , stay never trouble complaint previous Travelodges stay 110 stg night , defo worth 
 Dec 29 2008 	 Great Value 	 stay Covent Garden hotel Family Room £ 9.00 ! ! ! ! ! fantastic ! ! ! room massive clean - complaint ! already know hotel split across two site ( close ) problem . park NCP next door Travelodge guest give special rate cost we £ 18.00 day half ( tip - Travelodge validate ticket feel leave car park - ticket cost £ 12.00 plus extra hour low rate ) meal drink main Travelodge nice reasonable . very close everything ! would def stay ( wait next special offer ! ) 
 Dec 29 2008 	 's expectation 	 second time stay Travelodge admit , slowly , become fan chain hotel . one 5 - star hotel service , bother . useless complain shower gel , telephone etc . know prior booking . want clean , warm room decent bathroom , nothing beat Travelodge value money . stay Holborn hotel . admittedly rather confuse Travelodge distinguish hotel one opposite street Drury Lane . reception staff wonderful along . room quite spacious spotless sheet importantly , warm . bathroom facility good well . breakfast decent , although time seem like staff find hard keep food good supply . we eat Bar Cafe one night . food edible nothing write home . great advantage Travelodge central position . walk good number attraction . also close Holborn , Tottenham Court Road Covent Garden tube station . , another pleasant stay Travelodge . might worth pay full price , find bargain offer make sure not let pass . 
 Dec 29 2008 	 covent garden 	 back , stay fri & amp ; sit night , book family room , hotel Holborn high rd , room massive , nice flat screen tv , tea & amp ; coffee make facility , good value £ 69 night,10 min walk covent garden , find lovely pub call two brewer monmouth st , really good food , would stay . 
 Dec 28 2008 	 Godawful ; save lot hassle not bother ... 	 bad hotel ' ve ever stay follow reason : - £ 105 room rate conditional paying upfront ; mean Travelodge money since April 2008 , yet arrival wife direct towards grotty room convert office block , road - hardly justify early , priority booking ; - hotel basic , frill resemble hostel rather hotel , nowhere near justify £ 105 night room rate ; - first room show broken lamp fitting , valance bed ( bed base showing ) , chip broken old wooden furniture , poor tv reception , resemble bad cheap accomodation could imagine ; - complain , second room show little well first : icy cold due broken window frame let freeze cold air , plus tired old fixture fittings- third room show , back main block , little well two least new , modern furniture . after hour , find barely acceptable room , crunch : expect nothing bed , wardrobe , telly bathroom . shower gel ( go buy would forgotton ) one , tiny soap bar ; biscuit bottled water ; telephone even though would use , least ring reception need query something ; traveller information ; iron board ; hairdryer . represent basic hotel accomodation , £ 105 , frankly appalling . Travelodge even audacity suggest supply complimentary extra , could save money pass save onto customer . exactly save pass remain see ! pay April refund anything ! furthermore , operate 3 pm check - in/ 12 pm checkout policy . if turn early drop bag , option pay £ 10 get early room , carry everything around 3 pm . Staff refuse take one small pull - trolley behind reception . DREADFUL ! ' m really upset experience many thing fail live expectation . save hassle really disapointe trip , avoid hole . 
 Dec 13 2008 	 great value central London 	 ' ve stay hotel 3 occassion , twice work weekend friend see show . location brilliant , walk distance theatre & amp ; covent garden & amp ; price £ 105 double room brilliant . ok , room basic , frill , toiletry etc light pretty poor , clean , functional bed comfy . see get elsewhere London excellent value weekend break . would skip hotel breakfast & amp ; use little cafe directly opposite entrance Drury Lane , wonderful breakfast £ 5 cook order much well buffet hotel . Princess Louise pub ( Sam Smiths ) Holborn beer £ 2 pint , 's London ? hotel two part , one Drury Lane , across road Holborn , bit confusing & amp ; need ask direction sure ask either street Covent Garden , short walk take find Covent Garden tube . 
 Dec 13 2008 	 never - not bother 	 book near Covent Garden really not close . actually 2 hotel within walk distance walk first second ! could not leave bag either . checking get key find room not change clean . Complained get fresh room . room basic wall dirty . bad aspect noise night - warn ambulance / police route presumably hospital - hell . even helicopter circle overhead four time one night . room unbelievably hot high window open fraction - also could not leave open long room back onto side street even Monday Tuesday gang scream abuse bottle fly , girl scream police siren blaring night . overall staff well polite unknowledgable area - quickly rectify problem . breakfast basic rush adequate . not bother meal - hear someone complain . understaffed - staff work really hard breakfast obviously double chef / reception . if alternative hotel book - one last resort . 
 Dec 2 2008 	 great location 's 	 stay family play West end . luckily check location leave home despite 's name hotel Covent Garden . will not complain location though - 5 minute walk Oxford Street . the room particularly clean , mattress see bit much action sag wrong place . order family room two adult one child , yet 2 towel sofabe prepare . breakfast fairly lousy well - cheap possible product hot . go breakfast hundred cafe 's around area , stay Premier Inn 's last time great breakfast . overall , standard Travelodge 's stay , shame brilliant location . 
 Nov 27 2008 	 frill GREAT LOCATION 	 ' ve stay travelodge usually outskirt town city . surprised find one right centre London . read reviews tripadvisor also past experience know expect . I book Travelodge website get amazing deal £ 29 Sunday night £ 59 Monday ( non - flexible rate ) .Tripadvisor member state request room & quot ; New Building & quot ; . nearer time visit email Travelodge request tell contact hotel direct . rang number almost 2 day without answer give since direct email address decide fax request . response receive , arrive prompt 3 pm deal matter minute allocate room new building . ( room 1362 ) room top floor view across London . extremely spacious although basic inside , line Travelodges . clean warm . breakfast offer discount booking since sample , decide book . however see breakfast available , pay morning cost £ 7.50 . wide selection buffet breakfast include hot cooked breakfast . .... bad value . the hotel locate 5 min walk Covent Garden Tube Tottenham Court Road Tube right next door Shaftesbury Theatre . an ideal location well worth money ! ! ! 
 Nov 24 2008 	 budget hotel fantastic location 	 ritz carlton not ! expect people gripe hotel bit naive think basic budget hotel , get top notch service quality room budget price ! ! Wise get pay ... room sixth floor clean , tidy basic bathroom - problem . street noise night expect city centre weekendThe location hard beat 5 minute walk covent garden tube 6 minute walk holborn tube , 14 min walk oxford street 5 min walk aldwych theatre dirty dancing show 
 Nov 21 2008 	 dump 	 expect basic clean suppose new travelodge . nope , fair bed clean bathroom house strange alien goo , water drip bathroom ceiling , lift dodgy , breakfast dirty cup bowl really care staff . with difference price park plaza hotel £ 20 , know will next time go London . dont waste cash . 
 Nov 20 2008 	 dear God Pit ! 	 check Friday night , lobby pack waste lad laddette ( one step hurl ) , literally grope girlfriend skirt wait check . room dirty phone , clock , hairdryer -- furniture bed . drunk people shout hall night . location earth good enough stay hotel . book week long stay horrendous Travelodge , check first night -- move asap lovely Holiday Inn Mayfair , beautiful room locate right across street Ritz Green Park Underground stop . not much expensive , approximately 1,000 percent well unmitigated dump Covent Garden Travelodge . 
 Nov 8 2008 	 Good Value 	 problem hotel . ask extension . break fast fine . fantastic location Drury Lane . great value money . would stay . staff great . 
 Oct 10 2008 	 good hotel ! 	 arrive place build accross street . really large , clean comfortable room second floor , friendly staff provide we extra towel , tea coffee hairdryer morning ! student hall residence opposite building , slightly loud night fresher week ! window shut , do not hear anything street . great location , would stay ! 
 Oct 2 2008 	 good location 's 	 not expect much luxury arrive Travelodge handy location not disappoint . staff pleasant check - in could apply room fairly tatty . like plastic sheet mattress fact soggy could feel spring . duvet cover grey shade white shower curtain even bad . Carpet sofa little stained place . bathroom function well apart loose loo seat , upon request , sufficient towel provide . room front hotel Holborn Street extremely noisy even window shut . traffic , siren even loud voice street could easily hear difficult sleep soundly . 
 Oct 1 2008 	 Grubby hotel perfect location 	 hotel one thing go , 's location amazing ! walk distance many thing , Covent Garden course , theatre land , Trafalgar Square , British Museum , Oxford Street etc ... hotel basic want somewhere sleep fine . try get room high noisy . they silly thing check even minute 3 pm might long queue , silly staf probably sit around much 3 pm . really need review this . the room bite grubby ok one night . breakfast fine , enough anyway eat area small get late queue . might good book breakfast eat one many eat place around about . would recommend ? yes night 2 main reason recomende location much else . 
 Sep 30 2008 	 would stay 	 pay would leave late book room , cheap could find vicinity . we stay old building , easy find short walk Holborn underground . the check - in queue long have check around 3 - 4pm . the room hot , despite leave window ajar have go , still hot , would not recommend stay 's warm , room stay air - condition . bizarrely , corridor outside room ! find noisy stay third floor , view housing block outdoor swimming pool . the bathroom clean . bed clean . yes room need tiny bit refurbishment , overall absolutely fine . room also quite big , flatscreen tv . ( have stay 4 star hotel Bloomsbury last time- & quot ; superior room & quot ; small comparison . ) would stay close need . however , would stay colder month , would book advance take advantage low price room . 
 Sep 29 2008 	 good location shabby accomodation 	 well , say ? Shabby , smelly room , bite bug , uncomfy bed , dreadful ' sofa bed ' expect child sleep , security issue poor breakfast ..... good thing hotel location . minute away Covent Garden tube station . feel positive point make . fortunately stay 1 night . leave window open room strange smell - kind like sweaty sock ! ! sofa bed fall apart child impress informed sleep . bed not much well . lumpy could feel spring . upon wake morning cover bite . leave valuable room . someone else party also stay give key card room upon open door thought room turn already use hotel guest belonging . good job honest people shut door immediately go back reception . breakfast not good value . 's bare minimum . sure would get lot well one many eatery around . 
 Sep 20 2008 	 great location value money 	 hotel fabulous view lucky enough get room building corner High Holborn & amp ; Museum St locate high floor . room huge although feel spartan . first room mattress keep awake night due able feel spring top layer . secure different room 2nd , 3rd & amp ; 4th night mattress much improved . big bug - bear hotel poor value money . pay £ 102 per night room . view unless get discount stay one night room present high standard every night ( i.e . 's 1st night every night ) . Travelodge not share view - bed change miniscule bar soap last 4 night . have pay £ 29 per night ( Travelodge continually promote £ 19/£29 offer fine want stay Sunday November ) would not minded . we London business - pay room feel nothing cheat . hotel bit like bus station checkin laboured - queue order reception staff treat huge favour let pay £ 102 stay . luckily ' ve find b & amp ; b agency rate half Travelodge . 
