ok 	 tell cut back . know times hard charge $ 300 expect fast service . room service take way long late meeting . 
 Jan 25 2009 	 still classy place stay ! 	 book stay Drake Hotwire , not know staying have pay ( get excellent deal , though - 60 % go discount rate ) . bit skeptical reading review , thank , know potential pitfall . when check , ask room renovate floor . clerk ask want one bed two , ask one . 's figure room put we , say , & quot ; oh , well , be get renovate room , will first people stay it . & quot ; also get upgrade lake view room . complaint ! front desk staff polite several occasion visit they . as state lot review , concierge staff extremely helpful well . book dinner reservation well help we get two spa appointment time Saturday morning couple hour 's notice ! complaint parking - 's valet - only , be expensive . aware be drive . stay one night , parking charge $ 48 ! good bet would find self - park garage area - realistically , not pay $ 30 per day park , least , be save almost $ 20 , . still , be great location , right Michigan Avenue , near shopping , be within walk distance Rush St. nightlife , weather 's nice , be right across street beach lakeshore . definitely glad stay . would stay ! 
 Jan 22 2009 	 Great experience 	 stay New Year period 2008/9 experience New Year Ball , lovely black tie event . hotel service excellent elegance age hope . location also superb stay city . walk everywhere walk long . our room face front ( South ) fine uninspiring though room face North offer spectacular view ' coast ' . find hotel bar ordinary expensive , well one around corner ! try ' Grill Alley ' great meal wonderful bar . I believe major refurb plan Feb 2009 . 
 Jan 8 2009 	 Grand Old Hotel 	 Drake realy one timeless hotel . even though date age , one chane tend strip personality hotel , Drake Stands . location superb , right tip lake michigan , Michigan Ave . food great , somewhat pricy Cape cod room worth . atmousphere splendid . first time take fiance home Ireland , perfect . compliment quality . hotel industry tend picky . not think quite make one ' the world top ' type hotel , far spend grand night hotel , top league . 
 Jan 8 2009 	 Fabulous Drake ! 	 lavish , overdone , hotel make average person feel like member royalty , night . wide hallway rich , elegant décor add charm old world luxuriousness grand old hotel . great dine even good shopping choice make one Chicago ' elegant palace . ' stay Palmer House Ritz Carlton . great Drake top hand . 
 Dec 28 2008 	 pain write review 	 not usually stay Gold Coast area Chicago many year since Drake stay . fond memories guess keep way . hotel still bit former glory see slow decay . beautiful crown molding still lobby impressive ever , room age become evident . Hilton do work hotel continue go win battle major overhaul . room Gold coast suite 2 room , average nightly cost room $ 1,100 . amenity room include quite thing never , simple pretty major ; bolster pillow , complimentary beverage , large arm chair Ottoman , turndown service night , newspaper . work area suit well , however light bulb anywhere room 60 watt hard read anything . hotel also noisy , door heavy close hard every time someone came leave hear door slam . staff use accommodate rather aloof exception maid stand chat hallway , always say hello . suite bathroom decor 80 shower mold appear start 90 thick . also pop spill wall mini fridge check clean whole week stay . bedroom suite bathroom also distinct smell vomit make go buy strong candle keep room . disappoint , back stay hotel . would recommend restaurant however , wonderful . 
 Dec 10 2008 	 well expect give review 	 look stay pleasure thought would wait till experience business give relatively low rating give reputation hotel . must say Christmas time hotel beautifully decorate majestic . room bit outdate 's historic hotel . Carpet bit dungy complaint . bedding comfort top notch . service find good . would search internet discount rate hotel worth 175 night top compare would find Sofitel Affinia comparison update room arguably well service . 
 Dec 8 2008 	 refurbish perfection 	 late visit grande dame hotel allow see first hand renovation come along . junior suite one revovate floor , result fabulous . everything brand new , old flavor hotel still remain . room two large flat screen tv 's , great bath , completely restore woodwork detail , tremendous view Lake Michigan . old detail hotel perfectly restore , allow none old character lose . know anybody would stay place else place . Palm Court absolutely hop weekend great jazz music dancing , timeless feel elegance palpable . they redo one floor time , make sure ask room one renovate one . 
 Dec 4 2008 	 never 	 first , hotel gladly book room discount rate bill credit card 100 % stay prior arrival . btw , discount rate $ 325 per night ! know . arrive choose leave due problem lose money . rate early departure high give problem experience . problem , may ask ? bathroom black mold ceiling . ceiling main room crack ceiling light fixture back frame wall / ceiling . every time open shut door room , plaster fall bed . carpet GROSS point ask another room due mold smell . refuse another room . coffee mug . call 8AM mug arrive til afternoon ( handle break ) . 8pm ask CLEAN robe avail . call front desk midnight advise yet receive clean robe . boy quick ! bring roll away bed . HUH ! ? gym ask extra head set since none rack . , avail . later explain long provide head set due sanitary concern . Gee , apply concern toward hotel room would black mold problem . want eat breakfast via room service prepare wait morning . place breakfast order early delivery ( 7AM ) . finally arrive 8:30 nothing plate resemble anything order . two bagel plate bowl fruit ... ? huh ! ? speak weekend general manager state nothing could adjust bill pre - pay . give we four complimentary meal voucher good use fine dining facility . last day ! go complementary meal voucher last day . invalid day depart . valet car tell call 15 - 20 minute prior pick event busy . ! wait 45 minute barely catch flight Chicago . folk rate hotel & quot ; 5 & quot ; , assume accustomed stay 2 star hotel . hotel filthy need MAJOR face lift . also , fluent spanish teaching foreign language 30 year , still difficult time communicate spanish speaking staff . 
 Nov 28 2008 	 finally get ! 	 Stayed Drake first week November , fact arrive Chicago day late celebrate Obama 's victory . work Chicago back time , somehow never get stay wonderful , timeless landmark - opportunity present whisk partner away 5 day . disappoint . junior lakeview suite spacious , classy , comfortable well equip - bed die ( & quot ; HH Collection & quot ; topper , douvet egyptian cotton sheet rival Sofitel 's opinion ) . heat little low / uncontrollable side bath bathroom incredibly small suite . forget watch tv bed - need eye eagle Drake go widescreen ! although décor look little tired , hotel class , real class . Chicago 's [ great ] answer London Savoy Ritz indeed Chicago Ritz . complaint front desk bar staff ok , ok . drake lose one star we . concierge bell team however humorous , helpful prompt . .The Drake still steep nostalgia story ( else rest cocktail Joe DiMaggio carve Marilyn Monroe 's initial bar ) . reckon hotel still place end lug Saks Bloomie 's shopping bag Magnificent Mile ! 
 Nov 23 2008 	 Nostalgic Hotel 	 Drake nostalgic hotel locate block Water Tower . lobby beautiful continue hold grace make famous . breathtaking view Lake Michigan myriad upscale boutique . hotel Christmas tree erect middle lobby stay absolutely gorgeous , surround animate Santa 's angel fly overhead . lunch Palm Court restaurant , harpist play add bit magic overall ambiance . overall , room nice clean . one bit information Hilton Honors guest difer HIlton property must booked executive suite order allow onto concierge level- matter Diamond VP . although impact stay , find interesting . overall great stay . 
 Nov 4 2008 	 Family time Drake 	 check around noon Sunday room available ( 1 queen two Murphy twin bed ) ask woman check could find we another room since Chicago 24 hour touring plan want get room . put we upgrade room / suite two queen bed sleeper sofa two bathroom price . wonderful ! decore bit date clean old - world elegant . concierge wonderful . recommenede wonderful architectural boat cruise ( worthwhile ) amazing itialian restaurant ( Volare ' ) block Michigan Ave . overall stay memorable . however , find rediculous even hard believe could get wirleless access laptop Drake w / out pay fee even public area . two three star hotel offer free . drake slpurge ( business account ) extra fee insult . the thing favoraable heat room could regulate roasted night .... uncomfortable total waste energy money hotel . 
 Oct 28 2008 	 drake : ` ` Classy Chicago '' 	 return Drake . stay wedding past weekend . love hotel . elegant . walk lobby amazing . hotel wonderful charm . service excellent . staff helpful . great location . plenty restaurant .. harpist play tea hour near lobby . just amazing hotel . good wish .... MaryRichmond , VAAt Drake hotel 10 - 24 - 10 - 26 2008 
 Oct 20 2008 	 Classic Chicago 	 Drake classic Chicago hotel . good location Lake Shore Drive Michigan Ave , hotel . hotel never ruin sort modern update . classic logical feel great room character . the lobby wonderful drink fountain must elegant experience classic hotel . 
 Oct 20 2008 	 Classic need update 	 stay Drake recently close customer account . hear great thing Drake past , fact price within company 's frugal allowance seal deal . arrive late night , lobby elegant well appoint . check - in breeze , board old elevator 3rd floor room . upon walk , two thing cross mind : generously sized room see 19 inch tv outside yard sale time . the detail rough around edge . wallpaper peeling , paint chip , tile grout loose , sink stopper float around . bed new , shower big walk - in type . Drake Bros restaurant serve breakfast , Hilton Gold membership compe normally $ 24.95 buffet . good , $ 25 good ! find thing overprice begin , downtown Chicago obviously exception . overall , 's decent hotel company pay . well hotel area slightly money , however . 
 Oct 12 2008 	 Time renovation 	 Drake classic old hotel , long past 's prime . lobby still elegant , room long need renovation , routine maintenance defer long . old carpet stain , peel wall paper , dirty window . great location . stay twice business meeting , group come back . seem problem get people room book . 
 Oct 9 2008 	 Save money 	 find Drake Hotel huge disappointment . reserve executive floor . give another . go back desk ... give we reserve room . noisy , inside . second night call ask shampoo soap . next morning call ask coffee cup we first night . wait 45 minute cup . actually , housekeeper want clean room tell ready still wait cup . bring within couple minute . twenty minute later leave , coffee cup become available another unit hotel . bed nice sheet comforter . find odd other show . staff downstair bar seem extremely rude . go back Drake . many Grand Hotels Chicago . 
 Oct 8 2008 	 wonderful experience 	 good fortune stay Drake last three year , ' ve excellent experience time . common area hotel wonderful . furnishing decor make feel though could sit lobby century ago . be great tea appetizer bar watch people come go . several dining option , though ' ve hear Drake Brothers great dinner , ' ve ever eat breakfast . breakfast wonderful , though - buffet ala carte . ' ve banquet business meeting hotel well , food always well would expect kind thing , think safely give catering service high mark . year , ' ve stay three different room type - city view suite , city view double lakeview king . suite king great . say city view double show age , figure expect grand old hotel . want trendy , new furnishing plasma television , go stay new hotel . want history , grandeur tradition , stay . will also get REMARKABLE service ( think good reason stay ) . ' ve always great service check - in check - out bellhop front desk staff , housekeeping service great ( room always spotless ) concierge can not beat . able get ticket hot show day get great seat . folk complain location - say 's central enough . admittedly , end magnificent mile rather middle , think lake view proximity high - end boutique Oak Street perfect complement hotel . also , good restaurant ( Spiaggia , etc ) within block two . overall package location , room decor GREAT service , really not think Drake beat . 
 Sep 29 2008 	 nice 	 husband stay Drake Hotel 3 night September . good time see Chicago crowd minimal . hotel ...... super fancy decor AMAZING ! fresh flower lobby design fantastic . staff extremely professional approachable ( like Ontario ) . thing impress extra charge . want use fitness center ( tiny ) , fee . internet must ' buy ' even bring laptop . amount money pay ( would pay do not use hotwire.com ) , would think would include item extra charge . .... overall nice stay . would pay $ 390 room advertise , could get another deal , would stay . 
 Sep 22 2008 	 another disappointing stay Drake 	 want like hotel , condition room not match cost staying . sofa hole , lampshade burn mark , tear wallpaper , wear carpet . unfriendly uncooperative unprofessional appearance staff . would even consider late check . bathroom clean check . visit bathroom clean . 
 Sep 21 2008 	 Uninspriring view window bed ! : 	 Chicago business book hotel approve list . advise book Drake colleague - tripadvisor review largely good not bother . my room good size upgrade suite ( oh well ) .my negative comment would room fairly dark even curtain open day light night , wardrobe quite small notice noise room next door ( talk telephone , alarm clock moring , etc ) .On plus side bed get well ever sleep comfortable . coffee machine room make acceptable coffee shower work fine . Old fashioned decor taste good order . good location even oblique view lake room ! 
 Sep 19 2008 	 interesting hotel lack attention detail 	 hotel book Hilton Honors . Diamond Member . lakeview room twin bed sit area deliver promise . nice room excellent view . good location adjacent Magnificent Mile far Navy Pier . the hotel clerk book we appear understand reservation , reason , make two night separate certificate . subsequently confirm receive whopping bill first night 's stay . review hotel desk assure charge reverse balance & quot ; 0 & quot ; . checkout follow day ask assure charge . today discover charge credit card . drake promise remove would take week . could print receipt checkout & quot ; 0 & quot ; charge . newspaper deliver room morning . executive lounge require agility climb approximately 25 stair . ask disabled guest inform staff member ask thing arrive hotel . real answerthis hotel expensive magnificent lobby , elevator good room . however , lack enthusiasm towards guest seem care please rankle . like location attitude . would stay pay $ 375 night . 
 Sep 4 2008 	 Gorgeous hotel - great rate available look right place 	 book Hotwire pleasant surprise . middle summer get room $ 99 arrive 2 pm day check - in give free upgrade end suite two queen bed two bathroom , sofa armchair two tv - HUGE ! really get enjoy city centre head Magnificent Mile . people hotel book we onto architecture / sightseeing cruise next day really wonderful stay city thank Drake . this hotel highly recommend location perfect . staff courteous load history read connect Drake . if get good deal place real treat ! 
 Aug 28 2008 	 Beautiful Hotel convenient location 	 Drake Hotel excellent choice anyone interested stay along ' Magnificent Mile ' . arrive hotel 8 am pleased upgrade jr . suite immediately give room key . room large beautifully decorate . hotel convenient good shopping well Oak Street Beach area , fun visit well . ' complaint ' particularly close walk grab cup coffee , small price pay beautiful hotel location . I would definitely recommend hotel . 
 Aug 26 2008 	 Disappointing 	 last month 2 high school friend meet Chicago brief mini reunion . arrive 3:00 check - in time tell room not ready yet would soon . wait wait , still room not ready . hour , request hotel treat we tea wait . tell could cups tea ( extras ) . finally 4:30 give key room tell bag send . go room discover key work . return desk , woman say one cell phone probably demagnetize key . key never near cell phone . go back room discover bag send , call send . night call check could get car 6:00 follow morning . tell call 10 - 15 minute need car . next morning call one answer , leave voice mail . call little bit later still one answer . go get car , , clearly man charge car receive message . end leave Drake 25 minute intend departure . stay fill customer survey describe event stay . ' ve wait month hear anything back Drake . admittedly one problem awful , add , make less perfect stay . error happen , truly fine hotel apologize take responsibility mistake . drake may 4 diamond hotel , today rate make think 4 diamond . 
 Aug 25 2008 	 Great Location Grand Hotel 	 great location marvelous mile ! drake retain charm character recent room renovation . my room large , recently renovate , clean , quiet . hallway well lit . I ' problem note recent review . non - smoking floor ; furniture linen obviously new . 
 Aug 5 2008 	 Perfect family weekend ! 	 husband bring mom Drake March ' 08 celebrate 60th birthday . great thing Drake winter , be able get fantastic room unbelievably reasonable price . believe two club - level room overlook Lake Michigan less $ 200 night . the room de rigeur Drake - well appoint ample size . love stay Drake & quot ; old Chicago & quot ; feel always get , always shock back Hilton reality come service . drake employee always seem rather put , big example three we ( rather venture freeze snow ) opt dinner drink Palm Court . waitress literally scowl face every time ask something . ' m travel snob , ' m never fan server downright rude people actually , quite nice friendly . tip leave reflect dissatisfaction . but , not go Drake service , go history fun location Michigan Avenue . 
 Jul 8 2008 	 totally deceive 	 many problem hotel 's even funny . first , room horrendous . be lime green wallpaper 70 's . see website . be like check Four season staying room Motel 6 . room show website one suite , one standard room . second , guest service rude pointless . ' m talk people behind desk . ' m talk across board . parking attendant . restaurant server . manager . wife could not believe . example , check , put we room # 125 . 's first floor corner Michigan Ave . & amp ; Lake Shore Drive . loud ! 's room not even offer guest . ask could switch room instead give we another room , ask would rather check ! ask hotel sell evening . say . huh ? , hotel sell , comparable room available , will not let we switch ? ask manager , put we smoking room . besides horrible smell , ugly old - look first room . nice , people . my advice anybody travel Chicago want stay nice hotel Michigan Ave , stay Park Hyatt , Marriott Four Seasons . ' ve stay Drake not even come close comparison . oh , not even get start restaurant . let us say 's step McD 's make take bank loan . 
 Jul 7 2008 	 Perfect Weekend Getaway 	 choose hotel online special hotels.com . surprise find fabulous hotel character elegance small price . room 7th floor tell recently renovate . nicely furnish large flat screen television . walk - in closet safe thick bathrobe inside . bathroom spotless marble floor large bath / shower . staff encounter could helpful friendly . thing could possibly find fault bed . really hard . course , like firm mattress , would plus ! 
 Jul 5 2008 	 lovely hotel lot character 	 stay 5 night town convention . lovely old - school hotel large guest room plenty history ( see press kit hotel website list past guest ) . decor quite old - fashioned , would expect place like , give character - want shiny , minimalist modern book one many chain hotel town instead . room clean quiet , nice bathroom ( love Crabtree & amp ; Evelyn toiletry ! ) bed extremely comfortable , complaint would light ( dim light fairly standard hotel ) . internet access quite expensive 's cheap weekly rate be stay day . yes , minibar expensive , be expect high - end hotel - 's 24 - hour walgreen couple block south Michigan Ave pick snack drink quite cheaply , not find problem . location excellent - near lake , Michigan Ave ( block north Hancock building ) great shopping , dining sightseeing . buffet breakfast hotel really good , excellent selection healthy not - so - healthy item . find staff talk friendly helpful . would definitely stay next time ' m Chicago . 
 Jul 2 2008 	 Amazing 	 visit Chicago first time hear much Drake hotel . tell boyfriend want stay surprised book us room . must say service excellent . check go quickly smoothly . staff helpful considerate . room large , well light , linen beautiful . order room service bit pricey tasty . recommend people stay Drake enjoy wonderful hospitality offer . would definitely go back ! 
 Jun 29 2008 	 want splurge ... 	 gorgeous hotel ! love place story & amp ; try stay member hotel Historic Hotels America . drake live reputation . building , linen , service , couch elevator , everything beautiful . hotel thankfully cleanliness standard . ' ve find sometimes old hotel need update , Drake one . negative price . room almost $ 500 per night , include taxis . not free night Hilton reward , would stay . hopefully , will able stay . 
 Jun 21 2008 	 wondreful grand dame hotel 	 recently stay Drake Chicago attend conference . staff top bottom polite , cheerful attentive need . room well appoint maintain , quiet comfortable . house restaurant pricey comparable other area . combination delightful staff grand dame hotel make great stay ! 
 Jun 20 2008 	 excellent round love place 	 lovely hotel , business , go time future . single female alone , nothing much trouble , staff attentive room lovely clean , well locate 
 May 29 2008 	 Classic Drake Experience 	 wonderful stay Drake Hotel . facility impeccable condition , service top notch . agree bed comfortable ever sleep ! suggestion , park Drake Tower Garage East main entrance $ 30 / night . 
 May 25 2008 	 Excellent hotel 	 Drake Hotel disappoint ! feel like home check - in check - out . staff extremely pleasant , friendly helpful . get Junior Suite Lake view . room huge , well appoint well maintain . bathroom really nice well . room clean twice day never disturb . breakfast choice great . recommend lunch Coq d'Or - tasty tasty tasty food . location great well . really love Drake ! 
 May 18 2008 	 Grande Dame need get time 	 stay Drake last week conference . go certain expectation , stay modern near - by property week early . although confirm Hilton preference advance , first room try stick low floor . second room smoking room size closet . last room finally get , perfectly adequate , need update . bed comfortable ( especially compare hotel street ) . bathroom small . tv old small selection station . federal government employee check tax exempt form . know , finally figure , still bill incorrectly get straighten . ( hey , want save taxpayer money , pain ! ) conference facility , room tiny hot , even though outside 60 . session end , wait elevator ridiculous . ridiculous wait lady room session break . choice hotel Chicago , would definitely look option return . nothing compelling -- room , staff , location -- would make want stay . 
 May 16 2008 	 exceptional location wonderful service ! 	 mother book 2 night stay Drake . say ? first , hotel right Lake Shore Drive , conveniently i-55 , Michigan Ave . block away , close wide variety shopping restaurant , ( eat Mike Ditka 's place 7 - 8 block away . wonderful food ! ) check - in process speedy efficient , request accomidate . consierge desk open 11 pm helpful . thing self - parking $ 30 per day valet parking $ 45 per day . take advice SHELL EXTRA $ 15 ! ! parking garage full check wasted hour drive around downtown look parking . finally go back hotel luggage bring room , quite quickly might add . request ( additional towel , wine glass ) also address promptly . good part bathroom . sooo spacious ! two woman belonging strug everywhere still lot space move around . bottom line : clean room , attentive staff , close Michigan Ave . , Shedd Aquarium , Contemporary Art Museum Chicago much , much . LOVED DRAKE ! ! 
 May 15 2008 	 Historical Chicago good 	 one historical hotel great place stay want Miracle Mile . Drake Chicago landmark . room handicap access room nicely appoint ( room floor 1 two bathroom large living area ) . old property , keep mind . want modern , place . everything grand , room update furnishing . $ 20 nice glass wine hard swallow . ask list mistake . 's disappointing , bartender make feel less another person line service . $ 12.95 internet another Hilton gouge . not forget price item consider Drake . otherwise comfortable stay nice , albeit & quot ; historical & quot ; ( read & quot ; old & quot ; ) , four - star hotel . would gladly stay historical significance , avoid bar rally fair internet price . 
 May 9 2008 	 stay away smoking floors ! ! 	 attend conference Drake reserve room several month prior . hotel beautiful request non smoking room guarantee late arrival . get midnight ( ! travel delay ) tell smoking room available -- nothing else . assure would move first thing morning . stay stinky room late nowhere could go . wake several time smell stale smoke . clothe smell hair smell attend conference ! not relocate 4th visit front desk 3:30 next day . second room beautiful absolutely complaint . however , compensate stay smokey room pay leave , even though state disappointment . will see even hear . never stay smoking room ! price Drake , not ! ! ! 
 May 7 2008 	 hot room non - caring staff 	 wife arrive getaway two - night adventure ok . bathroom charging , room clean , tidy savoir faire . room & quot ; hot & quot ; tho , ( 76 degree ) would cool approximate 45 minute change first night . call management say would take care . return 1:30 night town , drink , room temperature unchanged -- hot ! call management totally unresponsive , basically give blow - off . after cleanliness , ( temperature ) important part good hotel room compromise . money , stay somewhere else .... like Sofitel ! 
 Apr 30 2008 	 Nice hotel 	 stay business hotel nice . room bite old comfortable bed ! food excellent staff friendly . interenet connect stink . 
 Apr 20 2008 	 could use little work 	 recently stay Drake Hotel business meeting . public area hotel absolutely beautiful . architecture stunning floral display perfect . sleep room could use litlle work though - paint peel ceiling , carpet filthy . housekeeping not well - cobwebs room hair - not mine - tub check . thing would overlook cheap hotel - price pay Drake , expect well . 
 Apr 15 2008 	 good 20 Century experience 	 location great tourist / business trip . Michigan Avenue right . nearest subway station 6/7 block away , bus run right next hotel . service great , thou hotel quite old ; pluse negative . room spacious great lake view , however decor would call & quot ; granny like & quot ; . tell hotel & quot ; & quot ; place 50 year ago , think need bring 21 century . room service fairly quick . I conference partner attend , money probably would stay somewhere less & quot ; old flashy & quot ; substance , place good gym wireless internet room . nothing wrong hotel , personal preference . 
 Apr 10 2008 	 beautiful hotel full history . 	 drake gorgeous hotel locate less block away & quot ; Miracle Mile & quot ; look historic beauty great shopping ' ve find perfect place ! staff member knowledgeable local dining power room went restore less 10 minute ! 
 Apr 7 2008 	 ` ` disappointed '' love city . 	 return weekend stay . Place beautiful not give much care housekeeping room . surprised first go bathroom look like someone put clean towel leave everything else . use bar soap , pick rubber mat take shower someone else 's hair . yuk ...... housekeeping really bad . traveled stay many place , management inspect room give someone . think clean room basic . lot small thing also ........ speak head reservation RESERVE lake view , reservation do awhile visit . get Hotel 12 noon 2 room request book . even give reason like never reserve room , not even pay talk reservation manager insure booking need ..... something bother first morning use coffee pot day supposedly clean room refill coffee bag , sugar , creamer etc . follow day . must management problem , next time spend little money go another hotel . great thing location buffet morning . loved food . 
 Apr 4 2008 	 fantastic stay Drake 	 go Chicago 10 night holiday Drake quite simply good hotel ' ve ever pleasure stay in . check staff friendly helpful . room reasonable rate , room enormous , large walk wardrobe , flat screen tv extremely comfortable double bed.we free box chocolates bottle mineral water deliver we arrive , housekeeping service excellent - room always spotless free chocolate night weather report follow day nice touches.we 7th floor , quiet comfortable.all staff hotel friendly ready help out.the coq d'or bar ground floor great - friendly bar staff drink not pricey thought would be.the hotel locate top magnificent mile , across road bloomingdale close john hancock centre , macy 's , h & amp ; , borders victoria 's secret . be also right beach lake michigan . lot bar nearby.i not bad thing say hotel , wonderful not want leave ! problem hotel stay future compare drake not think anywhere beat price , luxury service . can not wait go back chicago stay . 
 Apr 3 2008 	 Pricey - Nice ! ! 	 ' m regular Drake . stay every couple month last two year . LOVE hotel ! ! lakeview room die ! nice , airy , roomy . comfortable bed city . staff ultra pleasant helpful hour . check check efficient friendly . restaurant serve delicious food hour . location perfect . right N. Michigan Ave . walk distance shopping restaurant . a bit pricey , well worth money . drake give nice pampered feeling away home . 
 Apr 1 2008 	 Big britche 	 stay Drake business event . event go smoothly staff accommodate . however , room less expect price . reduce rate $ 160 / night , ( + junk fee & amp ; taxis ) acceptable downtown Chicago season . several thing seem character hotel notoriety.1 ) charge Internet Service - travel extensively business expect free internet much expect clean sheet . charge additional $ 12.95 / day insulting.2 ) Fox News Network - stay hotel watch tv , expect popular channel available time catch news . FNC lead cable News Network provide crazy.3 ) tub properly drain , time do shower , water calf . 4 ) charge something mini bar use . ( remove bill without problem , never begin . ) 5 ) charge local call seem silly day & amp ; age well , admit , never even think cost make call . $ 1.25 cancel dinner reservation fault . know well . generally speak hotel service well average . hotel beautiful old hotel , little worn around edge , basically well maintain . one bright side concierge service . make great recommendation get we dinner reservation want . 
 Mar 21 2008 	 nice somehow disappointing 	 Stayed Drake ... can not quite put finger disappoint . perhaps not stay $ 500 / night room , expect & quot ; & quot ; $ 250 / night room . clean comfortable small . nothing complain , , view Oak Street Beach lake . snow quite picturesque . 
 Mar 15 2008 	 mix history 	 Drake around many decade , yet hotel still exude elegance & amp ; sophistication . beautiful room 5th floor overlook northern view Lake Michigan . room clean quiet . hotel staff accomodate knowledgeable . location Drake nice , however prefer location Marriott Magnificent Mile . overall , stay drake average would recommend friend family . 
 Mar 6 2008 	 disappoint 	 book junior suite lake view , expect show web site -- big , open large suite . get small bedroom small sitting room . 3rd floor , lake view marred view roof portico HVAC pipe . there burn light bulb bathroom , hair dryer die first use . man maintenance room hour . want ? take dead hair dryer , leave we dinky little piece junk hair dryer . little counter space bathroom . there leak toilet pipe wall bathroom onto floor , obviously long stand . report management form request we fill . yet word apologize problem . the guy front door first rate . People talk housekeeping nice . room disappointment , ' ve already steer two people away hotel visit nest month . 
 Feb 29 2008 	 beautiful lovely kind staff 	 husband , , son grandson stay three night weekend January 18 - 21 , 2008 . book two family room . the room large spotless , hotel itsself clean , could see one speck dust 50 plus chandelier . grandson become friend Carlos doorman remember every time come back hotel great museum . my grandson special need kindness show always stay . Thank Drake hotel Staff.p & amp ; j brochsteindetroit 
 Feb 27 2008 	 Drake great hotel ! 	 stay Drake business great experience . location fabulous lobby breath - taking . room large 2 bathroom however not expect see much city view . fine mostly sleep . would definitely stay . 
 Feb 21 2008 	 Terrific Hotel 	 Drake absolutely wonderful hotel . combine old world elegance modern day amenity . add terrific location room view , hotel clearly one good Chicago . restaurant overlook Lake Michigan great , lobby bar upscale , room unbelievable . room large stay business trip . also include size marble bathroom . bathroom oversize tub marble shower . coworker completely impress excited make return visit sometime soon . 
 Feb 19 2008 	 Grand Dame still 	 husband stay Drake one night weekend visit Chicago . ' ve stay , variety room , always pleased . drake always certain mystique , grow area aspire stay , be always element & quot ; arrive . & quot ; course , & quot ; arrival & quot ; mean one grand hotel lobby around , lush furnishing , huge flower arrangement , ornate fitting , accouterment Grand Dame hotel require . spectacular form . we not upgrade executive room , lake view , sometimes , little sleeping time . room nevertheless attractive comfortable , expect amenity , though bathroom could use touch updating . bed quite comfortable , room temperature right -- important outdoor temperature single digit windy . the Drake modern hotel , comfortable stay require amenity , plus touch history old - world charm , 's winner . 
 Feb 11 2008 	 love Drake 	 stay Drake twice recently - January February 08 , stay several year . love Ritz Carlton usually stay - pricey . get excellent bargain Drake - $ 135 last weekend - good price January - & quot ; room select check & quot ; . seem way room terrible view . ask move , politely tell room category reserve would similar . room however , lovely , bed supremely comfortable , bathroom small nice , great hotel great location . loved tea Palm Court . Breakfast Drake Brothers fantastic - January bargain include free breakfast - good buffet ! dinner Drake Brothers weather cold not want go - great . read reviews people reserve Priceline unhappy room - think get good bargain , can not expect get good room . trade happy make stay lovely hotel remarkable price . 
 Jan 29 2008 	 good stay Chicago .... 	 stay Drake Anniversary last weekend . pleasantly surprised upgrade Vista Suite . view spectacular . seperate living room bedroom . wet bar well . we surprise bottle wine , appetizer , small cake room service . Executive Lounge close . give voucher appetizer Palm Court well full breakfast buffet next more Drake Bros. restaurant . dine Drake Bros. excellent service food wonderful . one table seat , although late dinner . dance Palm Court great jazz .... fantastic weekend . thank entire staff make wonderful . 
 Jan 28 2008 	 's right 	 great place ! spacious , comfortable room & amp ; bed , considerate service , outstanding restaurant , trouble - free high speed internet access . nice location many good restaurant within walking distance . classic glamorous hotel . 
 Jan 17 2008 	 Best Chicago 	 stay good hotel Chicago Drake , daughter stay two night . treat like deserve treat . would fire one staff own . good suite house not charge say . good service luxury standard world class hotel stand test time return 
