Trendy 	 stay last week 4 night great time ! ! & quot ; wonderful king & quot ; 21st floor trendy pretty spacious amazing comfy bed ! ! ! ! ! location fantastic bang middle Times Square ! ! ! staff really helpful friendly ! ! 
 Wonderful 	 spend 5 night W week honeymoon hubby 40th birthday . request room overlook Macys Thanksgiving day parade get one room 2904 . arrive little early check give we voucher free drink bar wait . room great size plenty room storage great flat screen tv . staff great friendly . hotel right Time Square be not noisy night 
 family great stay trendy hotel -- feel like celebrity ! 	 family stay W Times Square July . location perfect -- right hustle bustle Times Sq locate fairly quiet street near cute restaurant delis . doormen friendly ! love walk waterfall - adorn ground entrance . enter lobby , feel like be trendy club , be definitely pretentious . staff nice accommodating . whenever request , respond right away . room decently sized ( New York City ) , quite chic . view amazing . delicious dinner Blue Fin ( restaurant locate downstairs ) . make sure save room warm cookie plate ! be good ( seafood ) . concierge also knowledgable patient lack NYC knowledge could spend load money w store . finally , can not beat Bliss bath product glass - enclose shower ! 
 Sep 27 2008 	 budget motel would better ... ! 	 W certainly not live usual w reputation ! attractive thing lobby . dark ( dark struggle find floor button elevator find stuff suitcase room ! ) . service average - wait room 20 minute bag , call concierge ask tell bell boy way . 10 minute later nothing be arrive decide go town without wait luggage .... discover trolley bag still wait lobby ! ! end take bag take room - hotel staff see we one ask question offer help ! stay 25th floor still noisy feel like Times square inside room . hotel seriously consider change window proper double glazing . the nice thing Blue Fin restaurant - fish lover , be highly recommend . the Whiskey club fun , full teenager extremely annoying time . 
 Sep 19 2008 	 excellent room fun atmosphere loud morning 	 stay W business arrive , impressed décor hip atmosphere . the room clean excellent amenity ( love Bliss product , flat - screen , beautiful bathroom wonderful shower ) . bed beyond comfy ! however , morning really loud : know hotel Times Square expect street - level noise . not expect sound dish collect ... 7 . sound dish break . sound cart roll hallway . sound construction cause side building shake make loud , repetitive squealing noise . overall , high recommend W chic trendy hotel , heart Times Square fabulous bar ( comfy seat ) wish mngmt little bit mindful noise early morning . 
 Sep 11 2008 	 uncomfortable experience 	 Dark , dingy , cramp , loud poorly keep property . way overprice . small cramp room overfill crappy furniture . claustrophic dark windy corridor . three different elevator bank poorly mark , hard find , ridiculous layout . loud club music lobby - even check area . staff young offer basic , exceptional service - especially rate . loud , noisy , dirty intersection Times Square . stay Time Square hotel full . what waste opportunity ! standard W Hotel property - need help figure mess ! ! ! ! ! ! 
 Sep 8 2008 	 overprice dirty room - bad service 	 spend 3 night pay two basis would prefer pay stay another placeour room bathroom fact dirty e.g . stains coffee table , rust stain ( wobble ) tile bathroom etc .. complain twice reception indeed take note send someone clean despite & quot ; extra care & quot ; tell take , even close would expect type hotel . finally , two day leave rang twice wife believe leave earring room . lose & amp ; find people tell we occassion would investigate get back we .... call ... would go back . 
 Sep 3 2008 	 Fun ! 	 FUN ! great weekend 4 friend W help make happen ! beautiful view fun Lobby bar . room bit small , stay room long NYC anyway ? ? ? look forward renovation . back ! not recomend family stay . 
 Sep 2 2008 	 convenient location 	 stay W Times Square business one night . overall , decent stay good expected give price . decor modern like W hotel almost feel like hotel try hard black wall door hallway ( creepy ! ) black comforter . kaleidoscope room look windows nice touch always appreciate high end linen comforter . bathroom spacious New York standard love Bliss toiletry . accidentally leave pair pant ( blend black comforter ... ) call immediately day check see could recover . three phone call never get pant back . : ( disappoint say least . pant black decor aside , location stellar - Time Square convenient subway . 
 Aug 27 2008 	 nice reasonable special 	 stay long weekend find hotel staff good . staff helpful informative regard sightseeing location , get , approximate cost depend transportation . room clean great condition great view Times Square . would highly recommend . review mention room small , be NYC able 2 adult 2 child feel cramp . 
 Aug 22 2008 	 Great Hotel Times Square 	 W Hotel Times Square heart Times Square Manhattan . convenient many Broadway theater great restaurant . hotel urban chic , good friendly service . room somewhat small , cozy nicely keep . elevator fast , important high rise . rate reasonable quality hotel Manhattan . 
 Aug 21 2008 	 awful ! ! ! 	 one bad hotel ' ve ever stay . stop New York 3 night way Dominican Republic stay W Times Square . return journey book somewhere else ( Ritz Carlton Battery Park- wonderful hotel ! ) thank god ! lobby W not bad . be dark still rather tastefully decorate . however soon step lift floor room horrify . carpet dirty , window barely light terribly dark . room not much well . bathroom filthy absolutely tiny ! & quot ; city view & quot ; room view onto another skyscraper across road . leave blind whole time could see right room . although bed comfortable sheet clean , cushion bed stain . would not recommend stay hotel . 's far four star claim . certainly never stay anyway ! 
 Aug 15 2008 	 Stylish 	 stay W TImes Square last summer impress soon car pull outside . immediately greet professional friendly helpful doorman . lobby incredibly stylish - sort place would feature scene Sex City . secure lift guest room key card need gain access guest floor . room decent , perhaps little small would like , nothing worth complain . not sure bedding material question whether style important hotel comfort . whenever return hotel end day , doorman recognise always greet . certain time night see people ask door room key , always good security . see hotel could give pretentious air bear resemblance New York City nightclub , hey - pay security suppose extent exclusivity ! think much young adult hotel - constant music lobby light around hotel feel like club , even middle day ! really enjoy stay , love style . look forward return ( might try W Union Square next time get sick Times Square ! ) 
 Jul 29 2008 	 cool experience - treat like vip 's 	 feel like be visit nightclub arrive true form , get check - in 7th floor , be W bar 100 foot behind . service excellent atmosphere casual professional - treat like be happy be stay . flight cancellation miss stand - by next flight home , obviously pretty tired pissed point - 11 pm ( 10 hour airport ) . gentleman reception realize make we feel welcome relaxed . not bag ( Delta hold ) toiletrie we . within 5 minute get room deliver two seal black paper bag , toiletry pack toothpaste , deodorant , hair product , razor shaving cream . room small decorate well - modern . slide door washroom frosted glass . Shower need sealed water basically pour glass door - use 3 towel mop . locate right Times Square night stay , not feel like . obviously , walk distance everywhere restaurant place ( chain other ) . would definitely go back ! 
 Jul 21 2008 	 dark 	 ' ve book close Time Square New Year 's Eve ( need book restaurant table get access without stand cold hour ) . food hotel restaurant creative good . hotel room surprisingly spacious , whole hotel incredibly dark - may consider stylish , difficulty find right button elevator , draw line . none computer business center work , concierge helpful printing boarding pass . overall bad hotel , well option nearby . 
 Jul 18 2008 	 horrible W New York Hotel 	 horrible , horrible , horrible . dark corridor . dirty carpet , dirty wall . Noisy noisy . can not wait check night 's stay 
 Jul 15 2008 	 Happened W - it become disgusting hellhole 	 stay W Times Square number time past really enjoy , travel desk tell excellent rate , jump chance return . mistake ! ! ! ! hotel become disgustingly filthy hell - hole . hall always little dark , positively cave like wall completely scuff carpet tear wear . maybe keep light see dirt . room dirty bathroom filthy mold grout line . call ask clean room , tell rate & quot ; non - renovated room & quot ; ( know catch rate ) refuse since fully book . wallboard bubble around bathroom carpet damp mildew . take shower , drain back flood carpet area room . 7:00 renovation work begin sound like jackhammer hall , plan sleep in . the health club close renovation squirt noxious perfume around place cover mold mildew smell . and mention place flthy , disgusting hell - hole ? 
 Jul 14 2008 	 Urban cool look tired round edge 	 locate right centre Manhattan Times Square , W clearly position epitome cool . certainly , welcome experience bear - beautiful water feature enter , stunning lounge area 7th floor genuine easy go friendly welcome staff ( , course , way well dress . ) beyond lobby , other note decor veer toward dark industrial . corridor particular like peculiar black hole ; mildly off - putting , general calming effect make sense - 's unlikely will spend much second area be pass through . first impression room positive - get fact room disappointingly small price , overall , ' cool ' vibe carry - flatscreen hdtv , glass desk , view Time Square , mood lighting . bathroom well appoint great shower refreshingly , good set toiletry , include decent face wash clear New York grime . bed simply one good ' ve hotel - need , hustle bustle Times Square outside well keep awake . alas , short room begin notice shine gloss wear thin quite rapidly be clearly evident room dire need major facelift . wallpaper peel corner wall , dust collect skirt board , air vent not clean month . tap bathroom dull tarnished ; sink crack year use . lamp yellow , cover complimentary ' soothe ' cd look like find bottom bargain bin Virgin Megastore across street . in low key hotel cheap price , would probably let thing pass - premium hotel premium rate , lack attention detail unforgivable . clearly , rest clientéle - mix fashionista , medium type & quot ; Sex City & quot ; wannabes - seem happy enough , , probably not fret foot bill . 
 Jul 12 2008 	 W Rocks ! 	 Perfect W experience ! great location , helpful staff , great room ! 
 Jun 29 2008 	 one hotel feature : overbooking 	 review short . 2 couple decide spend weekend W birthday event . get check receptionist tell we come back later room ready yet . call come back tell room clean key ready . as soon get , finally tell we computer problem room suddenly happened take . service . 
 Jun 28 2008 	 stay away ! 	 room one small ever see . make Microtel seem spacious . 's hard pull modern contemporary look property date . 70 's style & quot ; contemporary & quot ; . location unbeatable . price outrageous even New York standard . thing positive say Blue Fin restarant great . excellent food great service reasonable price . 
 Jun 25 2008 	 nothing special 	 stay hotel June 2008 birthday treat 21 year old daughter 16 year old son . pick hotel location , right Times Square think daugter might like modern space age theme . book two room intercommunicate . Booked ' spendid room ' treat , arrival reception offer two room newly renovate 15th floor , first guest stay . son daughter highly impressed ultra modern decor partner quite disappointed . corridor lift area gun - metal grey wall , ceiling carpet begin look quite smart 3rd day feel stay prison block . room reasonable standard hotel size previous review state , bed comfortable . ' grey ' theme repeat throughout room . feel like hotel try make hip fashionable failed make comfortable . although twin room small bath , king - bed room shower little disappointing . note bathroom , entire wall make glass , although frosted see people inside , therefore absolutely privacy , couple get , daughter share brother big no - no . lot room decor hotel general , decorate show , take consideration practicality . another mention 3 morning awake 7.30am loud drilling , guess floor still work , avoid room 15th next week . a note staff , feel everyone image consicious really proper customer service . consiege UNHELPFUL ever come across stay New York many time . in , daughter love hotel trip , would not stay , much prefer comfortable Sofitel couple block away . 
 Jun 22 2008 	 one good hotel Midtown 	 book hotel Starwood Corporate original stay Sheraton Manhattan Times Square go wrong ( see post full detail . ) stay many W hotel past , one rank one good . suite absolutely beautiful . large bedroom , 2 full bathroom , living room , two large screen tv , multiple sound system ... work . good part room room full balcony . amazing view , perfect anyone look entertain two dozen people comfortably . separate room , sure party disturb neighbor . also balcony come handy smoke , room non - smoking . the club basement hotel okay , tho never draw big crowd . great bar main lobby area W ( 3rd floor ) , great place unwind . restaurant great food ( sushi blend ) , expect pay usual NYC fare . room service par restaurant , satisfy almost need anytime . go along W 's motto : whatever , whenever . would recommend hotel anyone look stay Times Square . 
 Jun 16 2008 	 need facelift 	 originally New Yorker , go back see Times Square change 30 year great Love N.Y . past year stay W - Times Square - use stay Paramount W. open ; WOW . ! ! year start seeem like need bit work . carpet small stain , room not change least 3 year , bar love ( BLue Fin ) great corner view jut onto Times Square enclose glass need replace chip glass chair stool . honestly love hotel , go every year would hope Management recognize 's time facelift . 
 Jun 15 2008 	 W Times Square GREAT ! 	 main purpose trip NYC see & quot ; Grease & quot ; Brooks Atkinson theater , Taylor Hicks role Teen Angel . weigh option ( closeness theater foremost ) , choose W Times Square . glad ! theater hotel block . this hip place stay , locate Midtown Theater District . though hotel nice eatery around pricey , worth it . also , convenient sightseeing via hop - off / hop - on double - decker bus tour - 's stop right around corner hotel , Roxy Deli ( size sandwich ! ) .The w staff fantastic . room quite comfy . mention , 's & quot ; hip & quot ; hotel - mostly young crowd , & quot ; living room & quot ; ( lobby ) bit noisy -- NYC noisy ! really enjoy stay , look forward go back . 
 Jun 4 2008 	 W 4 ! 	 return long weekend hotel , fab time . hotel situate right hub Times Square . think noise would problem 25th floor face one side street , unfounded . room twin room two double bed ensuite bathroom . fair size two people could live long , chance ! ! fresh towel provide daily bar stock well , tad expensive . bliss product bathroom replenish daily brilliant . staff excellent , friendly courteous time . bar bit expensive although chic prefer bar square surround area . ever eat breakfast hotel okay , plenty . would return hotel love , location big comfortable bed ....... 
 May 29 2008 	 Great Hotel 	 ' ve recently come back 3 night stay New York . take trip wife birthday present . I visit New York 7 year ago always vow go back . recent bank holiday seem like perfect excuse . first thing notice booking trip expensive hotel become New York . hotel seem around £ 200 night mark . look ' cheap ' hotel still around £ 150 , think , go treat , book nice hotel . much deliberation book W hotel Times Square . after read couple review little appehensive . lead believe hotel pitch black techno music boom ear bleed ! case . when arrive hotel first thing strike close centre Times Square . literally bang smack middle . several bar outside hotel , well deli 's eatery . hotel also short walk Times Square Subway stop . you enter hotel basement take short lift 7th floor . 7th floor reception / live area hotel . enter basement word ambient spring mind . dash purple light ceiling mount water feature . nice little touch regard enter basement hotel employ security evening make sure hotel guest enter . the reception area hotel something else . totally understand everyone come tea personally think fantastic . 's dimly light tradition purple light ambient colour reproduce . Music seem play 24 hour day whilst . good genre describe would ambient beach music . personally quite like . not loud reviewer suggest . there bar reception area several seat option . atmosphere lay back friendly . bar staff excellent . also within room concierge . generally not bother concierge normally quite unapproachable . hotel . walk desk greet plaque say ' whatever ' . pretty much sum attitude . course stay bombard pretty much whatever come mind . time oblige . produce plaster wife foot , book dinner reservation book helicopter trip . fantastic . the lift room split 2 section . one low room one high floor room . give room 48th floor . wow , room great . read story room small unpractical . totally untrue . shower walk affair plenty room bathroom . bed fantastic nice touch surround . also get plasma tv , alarm / radio several hotel standard . one thing must mention bliss bathroom product . easily good quality hotel bathroom produce come across . still use body butter , that s another story ! summary , hotel great . staff generally quite young incredibly friendly approachable . location great pretty much bang centre town . I enjoy bar hotel use Whisky bar lcoate underneath hotel . however , tell produce hotel card door would receive form vip treatment . also , use Blue fin restaurant hear good review whilst hotel . one great recomendation receive concierge worth mention . breakfast eatery call brooklyn diner nearby . want authentic New York complete waffle , pancake etc .. that s placetotally placeLyndon 
 May 25 2008 	 chi chi hotel great location 	 little old brand hotel stay w time recently . GREAT LOCATION ! GREAT FOOD ! take elevator reception floor ground . check usually pretty crowded . site place eat good area pack hotel theatre district well midtown location . room small side well design comfortable . hallway dark taste seem part w define cool . lot benefit business traveler hotel clearly target young professional bar scene . dvd 's borrow well diverse tasty room service menu . nice comfortable place 
 May 19 2008 	 's Alright 	 live minute away Times Square every go online check hotel bargin . W come often . girlfriend check tourist night . be always fun . I like W pass along tip . first noisy . expect hear drunk two hallway . second corner room face Times Square bright . hotel need install blackout shade badly . thirdly , happen year ago . class people seem go downhill quickly . go supermodels baseball cap punk girlfriend overnight . ( W build Hoboken . either mean Hoboken cooler think W brand use ) .The positive hotel ? still great Time Square view . staff still good . room still cool . 
 May 18 2008 	 Fun Place 	 stay hotel twice - pleasure 5 night Thanksgiving 2007 business 3 night March 2008 . wife travel trip absolutely love hotel . room large , room Asia comparison , could large New York standard . equip shower , great Bliss tolietrie ( one reason wife love hotel - dedicate product ever since ) , coffee machine probably good in - house movie system come across . great want chill night Mrs . mini - bar expensive leave hotel leave hand side deli serve breakfast , beer , evening meal whatever want , honest never use mini - bar , want drink room bring couple beer way in . as reviewer say lobby area become bit club / bar night part appeal hotel . use elevator reach reception lobby bar basically open - plan area reception . window outside may feel drink 1 am actually 10 pm outside . waitress hot ! cheap outrageously price either . the gym quite small functional . eat sushi bar groundfloor excellent , bar front hotel excellent seafood platter combine nice bottle Sauvignon - Blanc two afternoon full , ( ) . staff quite young helpful . friendly , informative seem genuinely interested customer . point feel obliged tip , honest pleasure . elevator operate key - card security good . I one people window open night , New York noisy prepare . window closed noise negligent . hotel Times Square bright blind window good . would expect good selection bar restaurant area well try Budda Bar meat - Packing District , ( take taxi ) , unbelievable . also great meal Grand Central Station , ' m sorry can not remember name place - look main concourse . overall , look place stay tourist would recommend hotel . look hotel large public area may want try one Grand - Dame NYC hotel may pay high price . would certainly recommend W Hotel hope go back day . 
 may 14 2008 	 great classy place 	 wife stay honeymoon 5 night absolutely love W. 's great classy place stay . corner room view Hudson uptown . slightly small room , unlike New York hotel . room always clean . room service breakfast amaze belgian waffle get free bottle champagne complement staff honeymoon . 
 May 12 2008 	 Times Square room 	 & quot ; hallway dark , feel like ' m going mug . & quot ; be direct quote manager surely apply W 's ' ve stay . aside , room typical W - although slide bathroom panel , seem flimsy . happen bathroom door ? stay particular hotel , sure request room border times square movie screen , unless sort experience look . kid might think really cool . business , keep think time 's square come room blind surely keep out . I jean send valet laundry order incorrectly complete . promptly take care charge 7 am next day . hotel staff great - every single employee encounter kind courteous . gym nice usable . a good place stay Times Square - would recommend hotel Westin . 
 May 11 2008 	 Aging Fast 	 W Times Square great location be city theater . , problem ... second stay property , first since 2004 . entry hotel 47th street , elevator lobby take 7 main lobby ( Living Room ) W like say . daytime , lobby nice enough space check locate alcove . night , lobby turn nightclub . source revenue hotel - limit pay guest public area within hotel gather relax outside room . there also whiskey bar separate Lobby street level ( part Blue Fin Restaurant , think ) , W feels also need turn lobby nightclub well . seeem work pack loud every night . hotel guest , annoying . the room small exception end 10 11 , limited view ( face either Marriott Marquis office building ) . room end 10 & amp ; 11 face Broadway north toward Central Park , high floor , may even Park view . actually , room end 11 seem large floorplan sit area . 10 room per floor 57 high floor . what notice visit room age - well . not find dirty , read previous review . everything nice & amp ; clean . seem date . W market trendy , boutique hotel . also try sell luxury image . find hotel fail category . furnishing room pretty beat , seem cheap . ' chair ' use white leather - like cube arm . basically , be ottoman sit corner absolutely function chair lounging . physically sit , long comfortable . leave bed place room sit . less expensive property , would one thing . price quite high hotel participate several luxury hotel collection ( Amex Fine Hotels one ) , indicate certain level luxury service . mind , rate property 3 star . I will list positive negative stand : Good ( addition location ) : + Bell Staff attentive seem genuinely interested guest service+ nice flat panel tv 's nice range channel ( though HD ) + good deli next door , prove necessary Blue Fin restaurant open limited hour . good selection food reasonable pricing+ comfortable bedthe bad : - Rooms small & amp ; furnishing greatly lacking- small bathrooms- lot noise come hallway room ( seem like much hotel staff servicing room day ) - climate control room ( forget thermostat wall ) - limit usable public space restaurant choiceSUMMARY - great location theater nice , comfortable bed sleep . especially trendy , age fast . 
 May 11 2008 	 ' W'onderful stay : ) 	 take Mother New York weekend 50th Birthday really want splash stay somewhere nice good location , W ! staff could not nicer wish Mother happy birthday apon check . later night even send piece birthday cake card . ice cake . ( pun intend : p ) 46th floor ( ' spectacular room ) view onto Times Square , noise not bad since high , room blackout drape blink light light sign not bother we night . the bed oh - so - comfy , love music always play room . we order room service breakfast day delicious ! well prepare present . real treat : ) check lounge 7th floor fab , always someone around help we luggage , question city simply get we cab . ( sometimes hassle downtown ) anyway ! w wonderful choice can not wait another girl weekend go back sometime soon : ) 
 May 10 2008 	 good hotel despite 	 confess : hate Times Square . be over - rate 's impossible move without fall particularly dim tourist . stay convenient meeting , generally like starwood chain decent hotel relatively reasonable price . but W actually pretty good . ' m ( ) 50 like modernity 's well - design . room not particularly big be nicely lay - out ; staff generally friendly welcoming . the $ 8 bottle water bedside one less good idea deserve lose rating point alone , people not like big city may found neon creep blind night bit distraction . but generally like corner room give -- - view tacky Square one side , Hudson west -- - find food Breakfast good though certainly cheap . overall expectation , would go back business trip - though vacation might head either north south touch civilisation doorstep . 
 May 8 2008 	 nice enough . 	 first , ' m huge fan whole W concept may tend negative bias . negative first : hotel try HARD hip be almost laughable . however , not think people really hip would ever actually stay Times Square hotel . much less hotel moderate high price NYC standard . browse gift shop kind giveaway . pretty low - end merchandise . the room quite small bath room tiny . bathroom slide door frosted glass panel . serve dual purpose seem hip , helping mitigate tightness bathroom . supposedly room upgrade ( corner room ) regular room must even small . room nicely furnish except random , cheap - look throw pillow . almost surface public area black charcoal gray . color scheme , combine cheesy mood lighting make difficult see . 's annoying , W Murray Hill even worse far go ( nice way , ) . agree reviewer say bathroom not maintain . ' m go room small want jewel box . lobby elevator ride front entrance . go separate elevator bank get room . floor mislabele , seem though high floor really . minor inconvenience . the positive : pretty nice view . bliss product stock room nice . there restaurant right front entrance area suppose pretty fun . there pretty long line check - in handle really , really well . go quite quickly desk staff friendly efficient . bellhop terrific . friendly fast . concierge nice , helpful . not knowledge request frustrating watch surf internet slow could . however , request probably standard rush , can not really fault . good could . housekeeping also friendly . quiet hall would immediately push elevator button see come . little thing , evidence training . overall , small , dark hotel trendy decor partially distract 's shortcoming ( lipstick pig ) . surprisingly nice professional staff . would disappoint go back short trip . 
 Apr 29 2008 	 Hip Hotel thick Times Square 	 book king room 53rd floor . rate tax $ 452 per night . we arrive 1 pm . lobby chaotic . difficult tell line begin . wait 20 minute leave return try around 4:30 . thing move much quickly smoothly . check take less 10 minute second attempt . if arrive 3:30pm recommend leave bag , go business return late afternoon . there wireless wire internet room . $ 16.95 per day . the room small , expect , attractively modern minimalistic . bathroom little space toiletry hang bathroom bag would come handy . toilet offer little privacy wall door translucent glass . there hair dryer , iron iron board room . mini bar well stock Heineken , wine , booze . w 1567 Broadway ( 47th Broadway ) walk theater , great restaurant , 7th Ave shopping , MOMA . good location find . hotel lobby bar attractive bar tender get quite lively separate club bar call Whiskey pack . if look real New York nightlife within walk distance try Touch . club come go place April 08 . short walk hotel 240 W. 52nd . ask concierge complementary admission ( not forget tip ) . card get free , might way get busy night . crowd young energetic . DJ get everyone dance early . club already busy arrive 11:30pm . this W Hotel not nearly accommodate four Seasons location well . Marquis slightly well location W half star opinion . 
 Apr 24 2008 	 hip good 	 hip , contemporary hotel great location . terribly user friendly . elevator dark , almost guest ( comedically ) search button floor . lobby / lounge noisy dark ( ) can not really hear see . 's public internet access day disappear bar start go . 's great place hang people watch , though . food generally good , bar overprice service indifferent , still not mind crowd interesting . front desk staff good friendly . wait staff feel like be favor wait . room spacious comfortable . colleague lucky cramp musky room . expensive , hip , attitudinal . 's fine place stay Times Square , would suggest part city want well hotel . 
 Apr 23 2008 	 Style Comfort 	 W hotel great location Times Square hip stylish , daughter stay shop Broadway weekend , not wow . first , bathroom clean , especially floor , around tub , corner . be go white bathroom , well clean . also not like design bathroom , wall white , plastic translucent wall far light- sound - proof , create lack privacy well problem someone try use bathroom other sleep . think go kind modern look , would far prefer standard , sound - proof wall ! sleep area , many thing seem grimy , dusty , sticky , include phone , table , remote control radio . not think item wipe quite time . room quite small , would expect Times Square . book hotels.com , pay extra put high floor , not get . front desk say need proof pay extra hotel.com 's receipt suspicously vague detail , recourse matter . traffic noise definitely problem unless one top floor . amenity outside room . one lounge area , basically bar . family friendly , comfortable want hang wait someone . also , always doorman , day check one help open door ( hand full ) help we flag cab . , not seem like friendly helpful place , especially family . 
 Apr 23 2008 	 so - so 	 fair - hotel Times Square ( NYC generally ) massively overprice nice . w exception . location excellent - right heart Times Square ... however , room small , desperate need fine touch , bathroom old clean water pressure horrible . internect connectivity slow almost useless . on upside - staff competent bit lack polish bar area lobby great place meet people hang friend . 
 Apr 21 2008 	 good hotel 	 good hotel Times Square . check quick , employee friendly , room clean , bed comfortable view west great . little advice bed . appear padded head board actually two removable pillow . not realize like 2 morning foot would hang bed . think bed short not , head board pillow take 5 inch length bed . second thing , bottle water beside bed label top & quot ; bottle provide service guest . consume charge bill room . convenience staff refresh daily . & quot ; bottle water $ 8.00 buck . [ side note , work hotel industry ... sometimes bottle room month replace . unless bottle water complimentary would suggest drink . ] good stay . 
 Apr 9 2008 	 Stylish Overpriced Hotel Great Location 	 husband travel NYC work hotel book . ' m glad pay hotel otherwise would feel overpay $ 400 + per night . overall , comfortable place stay excellent location Times Square close theater . would book hotel personal stay . while ' m sure hotel room excellent one point , room , especially bathroom , little dingy . grout line bathroom tile could use extra scrubbing . bathroom small barely counterspace , , many lady agree , make little inconvenient get ready morning . the hotel stylish trendy , great restaurant attach . bed ultra comfortable , soft pillowtop make easy sink . bed good thing room . good hotel price charge , GREAT hotel . 
 Mar 31 2008 	 Fun funky 	 stay company event thrill stay nice place . corner room ( 2501 ) great view overlook Times Square . room good sized clean , though seem hair product lotion something bathroom sink . bed great , comfortable . staff friendly helpful enough . hotel secure , use door key go anywhere elevator lot staff around . great time dance club Whiskey , locate beneath hotel . though trendy modern , place dark . elevator hallway incredibly dim . shower toilet pretty noisy use , not really hear noise room around we . real issue stay discover rattle car exhaust not present left car valet service . we really enjoy stay would recommend hotel other . 
 Mar 27 2008 	 Fan - Tas - Tic 	 Brilliant location , excellent view room . love design lobby lounge . staff friendly , breakfast great . especially door team great ! room small , especially bathroom well design , nothing miss , w great time ! 
 Mar 24 2008 	 Trendy Small room . old People ( 45 + ) go 	 locate great area . walk distance center times square . really like location . like hotel dark time . especially do not like howsmall room . bathroom 3x3 bad super small .. recommend old adult . would highly recommend 21 - 35 year old . nice furniture 
 Mar 24 2008 	 Dark funky ! 	 Conde Nast Traveller magazine UK edition April 2008 ( page 44 ) give description hip New York hotel dark reviewer find thing . ' m fairly certain describe W Times Square . wall black , lift button extremely difficult see . suffer poor vision , look family hotel plain old , probably give miss . luckily wife excellent vision 40 , great time . W achingly hip make apology . main lobby huge stylish bar fill young beautiful New York make quite noisy Friday eve arrive , prefer think full life . staff incredibly friendly welcoming . book ' wonderful ' room small , put we corner room great view , provide complementary cheeseboard wine . room quite small , middle New York expectation , neither particularly noisy even window open . seriously , not understand people complain outdoor noise light . Times Square , cry loud . not like noise , stay city , be simple that . I would point clothe hook bathroom seriously lack , bathroom could touch - up , nothing deal - breaking . the location unbeatable , metro right across street half - price theatre ticket booth around corner . concierge friendly informative , point we toward good restaurant bar area . 2 convenience store within 5 - second walk front door stock treat drink , rather high - price minibar good . btw tapwater perfectly drinkable , bottled water snob there . later stay move one suite 53rd floor , fantastic view , nothing rival Manhattan skyline sunrise king - size bed ! breakfast Blue Fin restaurant twice excellent time . much pricy nearby deli , get pay for . we pay £ 175 per night would definitely check , fact ' m keen check W hotel future . special thank go Walter front desk good cheer top - class service , Dana spa great massage . end , 's staff make hotel wherever , hesitation recommend W. unless allergic black paint , . 
 Mar 22 2008 	 Great Place Stay ! ! 	 return three day stay W Times Square nothing nice thing say . moment get cab , treat respect staff friendly . arrive several hour early room not ready . hotel store luggage we go sightseeing . give we call room ready . hotel fantastic location Times Square . staff great reccomendation sightseeing get destination . yes , be little dark , yes 's hip place , not know big fuss . come NYC see sight sound spend 99.9 % time stash away room ? everything need room ; two double bed , frig , bathtub , tv , iron board , etc ... be look place stay literally step door be middle Times Sq , place . want stay room 24/7 miss excitement everything NYC stand ... well not know send , would not stay place like . really want stay locked ... ' m sure will let stay . 
 Mar 19 2008 	 W times square stand wonderful ! ! ! ! ! ! ! 	 March 16 , 2008just return New York city , see broadway show attraction , hotel fabulous , great location , hotel staff fantastic , hotel modern . room spotless decent size . two double comfortable . walk distance every want go . good friend daughter fourteen daugher 13 year old absolutely love great weekend always remember . ! ! ! ! ! ! . 
 Mar 17 2008 	 lot style much substance 	 light dark - even could read lift number get room . room small dingy ( grey monochrome ) . bath shower room . hardly space bathroom toiletry . much space hang clothe . no TEA COFFE SERVICE ROOM BREAKFAST INCLUDED v. expensive room rate . room service charge ridiculous price delivery room tip delivery person well . US taxis add big amount see actually pay . hotel look fabulous small detail let . stay 3 night first morning woken bedside alarm clock ( set previous occupant ) 5.30 ( could find instruction turn evenutally move bed unplug ! ) .. thoughtless staff cancel sort thing give pride whatever / whenever ! order room service pizza one night DREADFUL - really bad can not get decent pizza esp New York - complain ( begrudgingly ) refund account value point spoil night 
 Mar 11 2008 	 not Waste Money ! ! ! ! ! 	 waste money say . travel agent New York City many occasion . normally stay Crowne Plaza Times Marriott Marquis ; however , want try something different . check - in everything fine head hotel room . enter room , vast space portray image hotel 's website merely illusion . room small . Crowne Plaza Marriott much hotel space expensive W. staff rude bathroom dirty . complain situation hand staff correctly move another room . although new room dirty . neither would book client would ever return hotel . trust , stay disappointed . please , waste money hotel ! ! ! 
 Mar 10 2008 	 Perfect hotel perfect location 	 stay W hotel anniversary . greet pour rain one valet carry umbrella help we bag easy . direct go Lobby 7th floor . check quick able get room right away . room decent size Bliss Spa amenity , flat screen , view Times Square ( blackout curtain sleep night ) comfortable bed . go Lobby Bar drink Blue Fin grab lunch . service amazing friendly . location perfect shopping , go theater anything . thing complain minor , update hair dryer ! : ) would suggest bring . overall fantastic stay . think find new home stay ny ! 
 Mar 7 2008 	 would rec . hotel 	 stay @ W Times square working convention . staff wonderful hotel awful . lobby sophisticated , impressive though pretentious . wall black throughout hotel - even bathroom . difficult see . hotel individual thermostat control room 40th floor - could barely breathe hot open window could not sleep due Times Square noise & quot ; never sleep & quot ; - either . dingy dirty . like try sleep night club - outside light disco night long . engineer tape blind block light , give we humidifi fan still unbearably hot dry room . midtown holiday inn actually well hype hip hotel ! 
