knickerbocker 	 time arrive leave , Knickerbocker great experience . staff courteous , service outstanding . room bright clean food service restaurant superb . 
 back 	 stay 4 day nothing wonderful thing say hotel . concierge super helpful nice . staff super helpful nice . like location Michigan Ave shopping . hotel lovely . booking read Trip Advisor review really like fact hotel respond even & quot ; bad & quot ; one . good hotel good customer service 
 Oct 31 2008 	 Awesome Staff Perfect Location 	 hold wedding ceremony reception Knickerbocker October satisfy wonderful modern room , friendly & amp ; knowledgeable staff , hysterical doorman . approximately 70 guest stay 35 room hotel hear happy hotel . location also perfect Michigan Ave shopping , head lake , Oak Street boutique . many restaurant nearby concern eat staying area . overall , wedding great day life Knickerbocker play large role make way ! 
 Oct 28 2008 	 Loved Hotel ! 	 stay hotel four night October . hotel great location , Michigan Avenue . room small , expect city centre hotel . want bath room , unfortunately room bath available . however , double shower excellent . housekeeping staff excellent reception staff . thoroughly enjoy stay hotel would definitely staff future . 
 Oct 27 2008 	 renovation hit ! 	 third stay Knickerbocker ... LOVE newly renovate room ! bathroom elegant design solution make use every available inch space . combination full massage bath rainhead shower next bath behind glass door solve one issue bath ... 's easy final rinse . also like ecological toilet give choice low high flush . the bed uber comfortable ... flat screen tv great . course , give lot room around bed . I would definitely return ! 
 Oct 13 2008 	 Excellent Wait Staff 	 hold conference Knickerbocker wait staff excellent ! rennovate room also nice . 
 Oct 4 2008 	 location nice service 	 location convenient price stay could beter invest Westin street instead . room small , right across clean storage closet next elevator . mention noise front desk say & quot ; oh , sorry & quot ; make offer help . clean staff terrible , basically make bed not clean andreplace water glass coffee cups.overall , unimpressed . 
 Oct 1 2008 	 Meeting Planner 's Dream Location 	 meeting planner , experience one dream usually never come fruition . Millennium Knickerbocker Chicago site two association meeting last week one good meeting ' ve recent past . everything initial contact billing go smoothly imagine . give Knickerbocker staff high rating every turn make sure detail take care even suggest change make thing well . wish could book site every year ! 
 Sep 23 2008 	 fabulous ! 	 daugter 's wedding reception hold Millennium Knickerbocker Chicago , could well experience . 25 guest stay hotel weekend . make reservation thorugh wedding site other make special rate find hotel website . matter reservation make ; everyone excellent experience . hotel employee , bellman catering director , friendly , service - orient , concerned comfort need . hotel beautiful . room recently update marble bath new furnishing . spend time piano bar downstairs - awesome ! ballroom historic magnificently appoint . hotel step Magnificient Mile could convenient sight , restaurant , shopping , transportation . not miss ! 
 Sep 20 2008 	 great new room ! 	 spend two night love . fast check , ask could free up - grade give corner room , roomier bright . room nicely do , brand new . comfortable bed pillow , nice flat screen tv , refrig coffee maker room . contrary review , fitness center second floor . staff friendly , bellman remember name . park parking garage across street $ 30 / day since plan use car . hotel charge $ 48 / day in / out valet service . great location beach , Michigan Ave Rush St. would definately stay . Booked Hotwire treat like special guest . 
 Sep 14 2008 	 Best Value Miacle Mile 	 stay Knickerbocker last week August , 2008 work downtown Chicago . pick Knickerbocker 1 ) close motel jobsite 2 ) price reasonable . disappointed . motel locate top Miracle Mile within easy wake distance great shopping , Hancock tower , Newberry museum , lake front . make reservation , upon arrival quickly check whisk room record time . room small ( city ) extremely well appoint totally comfortable . ample , modern work space , nice large flat - screen tv luxurious king size bed plenty pillow . also impress luxurious shower . large " rain shower " showerhead hand hold sprayer make relax enjoyable bathing . tub , shower , long soak like , disappointed . hand , enjoy " shower friend " ' perfect . house restaurant quite good , room service impeccable . order arrive correctly quickly taste quite good . everyone staff professional , friendly , helpful . concierge bellman spot direction local attraction , shop , restaurant . housekeeping do room 10 am every day . since take train city , ' need worry parking , ' comment . stay premier hotel 13 country around world , hotel par . opinion , Millennium Knickerbocker good motel value Loop great place stay Miracle Mile . five star motel three star price , highly recommend . 
 Aug 29 2008 	 Saved Knickerbocker 	 visit Chicago frequently child attend one local university . say stay various hotel get flavor city resource . last stay Knickerbocker Chicago . hotel go renovation see classical complete . hotel wonderful location , near lake / beach front one end famous Michigan Avenue , shopping meca . on trip manage leave medication room realize arrive airport . immediately contact hotel route supervisor floor stay . supervisor go room , locate medication call back report find well car key ! ! medication car key send immediately . grateful appreciate professional attention response receive situation throughout stay . definite destination return visit . 
 Aug 14 2008 	 would stay 	 stay one night . remodeling apepar complete , atleast room . room nice clean . bed comfortable pillow . 40 inch lcd tv nice addition . bathroom cool , nice glass shower enclosure overhead showerhead . one complaint , wake twice night cigarette and/or cigar smoke smell come ventiliation system . 
 Aug 3 2008 	 Great Rooms Knickerbocker 	 first trip back Chicago 7 year perfect ! choose Knickerbocker read room recently renovate top great location Michigan Avenue , Rush Street downtown Chicago . must say impressed guestroom ! stay prior definitely refresh ' see photo 's post review . guestroom nicely decorate modern feel good sized historical hotel ! bed wonderful – need get pillow top mattress home ! use internet access issue LOVED large screen tv ' . shower fun different type shower head choose . bathroom fresh new granite tile . ' anxious get back Chicago ' 7 year ! would highly recommend hotel – fantastic guestroom , location staff ! ' add digital picture room completely different one ' see previous review new renovation . 
 Jul 22 2008 	 Nice Hotel .. 4 star Hotwire would believe 	 nice hotelgreat room ! bathroom bed 5 starThe hotel fitness facility pool ... sure receive 4 star . this great Location Chicago .... across Drake , many hotel nearby .... Hilton Suites next door , Residence Inn across Rafello block away ..... room staff set property apart ! would stay ! pay $ 140 Hotwire $ 166 tax $ 48 parking ( standard part Chicago ! ) bad experience , would consider hotel close next time visit Chicago 
 Jul 18 2008 	 Comfy bed great location 	 never use Hotwire - nice experience end Knickerbocker good price . negative awaken 8 am renovation work room close . wonderful consierge though - beautiful small room . 
 Jul 15 2008 	 disappointed evening staff 	 arrive check 6:00pm . travel 2 people reserve room double bed . upon arrival tell room double bed available ; however , would give suite 1 king bed couch fold bed . agree . room one king bed , suite , couch . call reception ( speak employee ) , say suite available . bring rollaway bed small uncomforable . speak doorman valet parking ( $ 48 per day ) ask someone would bring luggage back car . agree would . wait nearly hour , return lobby speak bellhop . luggage . leave car send garage ! another 20 minute later , receiv ed luggage miss part event purchase ticket . fair , staff shift friendly helpful . 
 Jul 3 2008 	 great ! ! 	 Millennium Knickerbocker exceed expectation . yes , ask renovated room . tell room renovate . ask upgrade possible since stay 6 night . able accomodate get mini - suite - new , clean barely use . first room see also renovate standard room , good large . room indeed renovate hotel average locate great area , truly Maginificent Mile . 
 Jun 30 2008 	 K - bocker pretty good 	 get 2 night Knickerbocker Chicago hotwire . last weeki get newly renovate room 10th floor - nice & amp ; quiet & amp ; compact . I could see beach front windowI think staff excellent enjoy stay . providing get new room , be one good location city . would definately return herebutwhy 4 * hotel charge $ 10 daily internet ? ? also tea / coffee fridge room 
 Jun 6 2008 	 millennium 	 ' m sure Millennium Knickerbocker nice hotel . even one nice , heyday . 's good thing be renovation ... although stay 6 day , able accommodate request renovate room . hallway third floor smell funky . bedsheet big pink stain . furniture bad shape . tv tall cabinet , mean strain neck watch tv bed . showerhead spray bathroom ( ask replace - new showerhead nice ) . one evening , open door leave dinner hallway line mattress - replace floor . 's good thing ' m skinny , else would not able get hall . say fire hazard ? elevator also block mattress cart use carry . food hotel hit miss . yogurt parfait always delicious breakfast time ( although try every day explain not want raspberry , waiter get wrong every single time ) . burger get room service crazy salty - inedible . also get turkey sandwich alright . fries delicious time . very convenient location be Chicago shopping fancy store Michigan Ave ( Magnificent Mile ) . lot hotel area , though , assume nicer Knickerbocker . warning : lot reasonably - price restaurant within walking distance ( recommend restaurant / bar Conrad Hotel - 's get open - air terrace nice view , amazing albeit pricy food , nice staff ) . 
 May 9 2008 	 Love Chicago Knickbocker could use update 	 Millenium Knickerbocker nice hotel , definitely good deal dollar Chicago . feel one nice chain , definitely need remodel . love historic feature tale hotel staff share . guest room decent size could use new bed linen , etc . however , bad part bathroom . far small bathroom hotel ever stay . business difficult get ready event small bathroom ! would consider rebooke Knickerbocker 's ideal location , maybe renovate . 
 Apr 26 2008 	 stay request renovate room ! 	 rough time get Chicago stay first night Hilton Suites ( Nice ) . overall trip not great . staff Knickerbocker however , make want return hotel Chicago . experience doorman , room service , housekeeping , front desk , catering , manager . one nice , attentive , accomodating . go way make comfortable possible allow enjoy trip . hotel construction . room poor good . clean , disrepair old . floor one renovate . ice machine break afraid get showerf old unlit . bubble ceiling peel wallpaper paint everywhere . staff make want stay . bring robe , extra blanket , delicious room service extra coffee . bellman , Greg , helpful luggage make sure know everything room . renovation complete , staff remain , WONDERFUL hotel stay Chicago . location perfect hope visit soon . 
 Apr 24 2008 	 much well review ! 	 book hotel steal pricineline ( $ 99 ) wary review since 's 4 - star , figure could not horrible . well expect . room one recently remodel .. although 100 % complete . light fixture doorway mount fully instal . room bathroom small , comparable ' ve find Mag Mile area . new bathroom design strange - 's window right shower look bedroom . tolerable odd . love new asian theme decor ! pleasantly surprised service , especially concierge . definitely worth money stay high end Mag Mile - right near Louis Vuitton good shopping . I would recommend hotel stay . 
 Apr 13 2008 	 stay anywhere 	 book Knickerbocker last minute attend conference , note 4 - diamond rating . please . hotel undergo renovation , tell time booking , every corner ( room , elevator lobby ) dust dirt . bathroom smallest ever , furniture chip tired . one night , cancel second move across street Drake $ 40 - drake pure heaven . maybe Knickbocker well renovation complete , right pit . 
 Apr 10 2008 	 good location date 	 recently stay attend conference hotel usually stay conference hotel convenience . read review contact hotel directly concern . give superior room already disocunte rate . room clean furniture look come tag sale since nothing match . bathroom marble spotless tiny . staff accommodate . location tops- right across Drake Hotel Bloomingdales North Michigan Ave . bad choice get good rate outstanding location . 
 Mar 25 2008 	 nice Stay Good Location shopping ! 	 get room priceline pretty good deal . room little date , clean . bathroom extremely small ! another poster note towel softest . overall though , enjoy stay , especially consider get good deal priceline . location great shopping first week December , spend alot time Michigan Ave . Loved Chicago look forward return . would stay hotel get deal priceline , not think would pay full price . 
 Mar 20 2008 	 hair hair hair 	 staff nice , friendly accomodating . keep change room find look like pubic hair blanket . last room give , well fill hair bathroom floor . take 's much well blanket . hotel old , mildwey , date . renovation . could not print check sheet system . suppose send via emailm yet get email week . room service breakfast not bad . 
 Mar 14 2008 	 renovate room lovely 	 ' ve stay Millenium Knickerbocker several time , always positive experience . room , 426 , one newly renovate fine shape , lovely linen beautiful new bathroom . find staff , come rainbow background , extremely professional helpful . admission clerk concierge head bellman , Craig ( serious shopping Michigan Avenue , end 7 suitcase ) , go way make trip enjoyable one . ( course , many staff , suggest come prepared lot single tipping . ) complaint terrible wine room service . ' m wine snob , glass Cabernet recommend room service manager duty bad send back . choose Sauvingnon Blanc replacement , pretty lousy well . order food room service . bellman recommend excellent Tempo Diner couple block away , particularly enjoy breakfast pancake . believe diner open 24 hour . happy Millenium Knickerbocker plan stay . 
 Feb 26 2008 	 GREAT location ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 stay Millennium New Year 's Eve get great rate priceline . right street famous Drake Hotel right North Michigan Avenue , truly lovely area . minor problem internet connection clean service , overall stay Millennium fantastic . would definitely stay . 
 Jan 21 2008 	 terrible reservation center 	 try three day use & quot ; in - house & quot ; reservation Knickerbocker . ' ve stay great . however , Knickerbocker must change hand service AWFUL . first central reservation record wedding party reserve block room . second , keep getting send in - house reservation ( state business hour ) repeatedly get message agent available . talk front desk third time , woman argue tell see . tell not answer phone continue argue saw come . well , suspect must Nick 's bagel one answering phone ! Love Knickerbocker , hate reservation service . 
 Jan 14 2008 	 Priceline 	 book hotel adult weekend away Priceline , pay $ 85 think good price 4 * downtown Chicago . location great . hotel minimally OK & gt ; Unsure get 4 * rating . old though clean decor definitely jade need face lift . staff pleasant overall good stay . however would NOTrecommend hotel . would rather pay $ 100 get something update - trouble old tend look somewhat seedy true case . my suggestion BOOK PRICELINE CHICAGO ILAND ASK 4 * almost sure get ..... good ENOUGH PRICELINE . ! ! OPINION . 
 Jan 2 2008 	 place real dump 	 stay away ! ! ! hopefully renovation create 4 star hotel . however , moment , far 4 star hotel . would happy holiday inn / well western . priceline 4star , N. Michigan ave hotel NYE get . last year , priceline 4star hotel North Michigan ave Westin prompt .... know disgusting Knickerbocker truly , never would do . room hair . dangle lamp , bath tub , sink god know could see . room small , big deal . fact go sideway bathroom bed doorway little annoying . whole room shabby , wallpaper bathroom peel ( hair stick ) . toilet hard flush .. bed tattered pillow lose fringe ( yes , throw thing fast possible . look like harbor bacteria ) . bed old sank could barely get ( weigh 110 pound not massive frame cause bed sink . recommend anyone use priceline.com hotel remove 4 star choice . 
 Jan 1 2008 	 Historic mean old ! 	 extemely disappoint questionable 4 star hotel . describe historic luxurious . ! old need remodel . king room 6th floor end hallway view Westin roof neighboring building . , view . room tiny woodwork paint , crack peel . agree other write temperature . either hot cold . bathroom . cheap , small , smelly . musty smell . nothing luxurious bathroom either . cheap fixture tile work . scratchy towel . the linen bed okay 4 star quality . would rate hotel 2 star . nice Super 8 room stay road travel . elevator old also need remodeling . help less helpful . basically , help ingore guest . use fitness room , everything need good workout . however , machine cram hotel size room . pool whirlpool . offer 6 block south hotel . want venture cold weather walk far cold ? positive side , great location ! great weekend take show , restaurant , Bears game . go bear ! Priceline , please take 4 start list ! ! ! ! ! use Priceline stay Chicago terribly disappoint time . hotel lack amenity feature 4 star hotel . place sleep stay city . sincerely , faithful Priceline customer 
 Dec 31 2007 	 Fabulous ... Best Customer Service Chicago ... 	 bad low review happy , say least , Priceline pick Knickerbocker Chicago 4 * hotel Christmas two day break . surprise . upon arrive late evening welcome two extremely lovely helpful check representative although busy kind friendly . the elevator conveniently locate right next check - in . upon get room getting situate noticed slight problem . I call front desk within two minute one front desk personnel room ( believe manager ) . question ...... & quot ; make happy ? & quot ; state want stay hotel try another room . immediately go find another room ; check room first make sure perfect . express satisfied concern quickly show fast worked find another room . the room beautiful clean comfortable . the great thing room hotel : * * * * beautiful furnishing * * * * comfortable bed * * * * beautiful lighting mirror * * * * quaint bathroom high end shampoo soap * * * * fast room service - include night service * * * * great housekeeping * * * * high end linen pillow * * * * location .. location .. location .. * * * * friendly staff hard work bellman valetsIf side would : * * * * expensive valet parking - $ 44.00 per day * * * * Menu childrenoverall stay Knickerbocker every time Chicago either business pleasure ; without child . check hotel website price reasonable type hotel . hotel would normally take change Priceline Hotwire ; would rather spend extra dollar peace mind know totally satisfied hotel . take chance , see . fabulous old quaint hotel good location Chicago . sincerely , Elizabeth Wahl Vo 
 Dec 28 2007 	 Yuck . 	 Hotwire Priceline hotel reservation . request 4 star hotel near Michigan Ave . still pay decent amount stay hotel . mom come Chicago Christmas shopping stay Friday night . hotel block Michigan Ave . entrance , hit smell cigarette smoke overtake lobby . bar / lounge main entrance walk back hit check desk . check front desk clerk quickly accomodate request room 2 double bed . head room leave ALOT desire . not know rank four star hotel . room tiny , old drab . look behind desk , number & quot ; pellets & quot ; - source mom try ignore / not think . area around / behind bathroom sink also dirty nasty . overlook alot amenity hotel , filth hard tolerate . ok sleep , temperature room vary hot cold awoken throughout night people leave elevator , close door , make whoopee ( even room next us - hall ! ) . next morning , check left bag . use automatic checkout . breakfast newspaper provide . return later afternoon , sit lounge relax pick bag go . although other bar snack drink , sit 1/2 hour without one person ask we need anything , despite fact someone walk around . finally got frustrate went get bag , turn tag clerk take another 15 - 20 minute retrieve bag . also sat chat fellow employee time give nod saying & quot ; would minute & quot ; explanation . keep say mom - put tripadvisor . still fun trip , hotel suppose birthday gift , hotel damper . many hotel Chicago , recommend avoid one . 
 Dec 17 2007 	 Girls Night Downtown .... 	 take Mom sister property Dec. 14th . live 40 minute outside Chicago love staying area around x - mas shop , eat , walk etc ... great old hotel , classic . may modern standard lot traveler use , be wonderful . would describe hotel nice boutique hotel european feel . ' ve stay year friend family never excellent experience . you can not beat location , awesome go walk Michigan Ave holiday ! right across street Drake , ' ve stay well not enjoy nearly much , way overprice . room bathroom little small , unless plan spending lot time room really not matter , 's comfortable decorate nicely . stay enjoy ! not worry bad review , let people spend three time much foot bathroom ! ? ? 
 Dec 16 2007 	 disappoint 	 travel extensively stay wide variety hotel property , Super 8 level Ritz Carlton level . also stay Millennium property . hotel noticably par compare would expect hotel reputation location . nice lobby , hide room , real issue . wife one double bed room . room large perhaps 10 foot 12 foot . obvious worn spot carpet , especially near room entrance . bathroom , include shower , 3 foot wide 5 foot long . temperature fluctuate drastically throughout night ( 20 degree outside ) . would set thermostat 75 feel way hot -- least 80 . would reset 72 shiver 15 minute . bed one cheap bed ever sleep . feel like trampoline . slight movement either we would transmit throughout bed , result difficult sleep we . next time will choose Radisson Sheraton something like , be likely get money . 
 Dec 10 2007 	 good option travel Budget 	 hotel conveniently locate 1 block Magnificent Mile ( Michigan Avenue ) infront Drake Hotel . I not really decide purchase hotel , since blindly purchase Hotwire . result convenient rate , good locate hotel . if like luxury hotel option , since room old , limited stylish . confortable , not really feel lack . it be use book fancy hotel , sensation , low category hotel . by way staff hotel really helpfull friendly . 
 Dec 4 2007 	 Perfect Place 	 quaint , warm friendly place stay ! accomodate .. 2 dble bed bathroom fine .... bit small compare USA hotel .... compare european travel ... place palatial ! would def . stay . location great ! 
 Nov 30 2007 	 problem Knickerbocker ! 	 happy Priceline deal hotel . staff one friendly hotel stay in . we generally priceline Chicago trip , would stay hotel get good price . bathroom likely small guest would ever experience , , old charming place . room clean , towle linen . , staff 4 star folk ! 
 Nov 27 2007 	 Adequate would stay 	 recently return stay Knickerbocker . fourth trip Chicago . location north Michigan Avenue excellent . however , room small , particularly bathroom make pricey ( even Chicago ) stay worth . , front desk staff inept condescend . friend issue bill , staff fail comprehend , end bill checkout service incur . 
 Nov 22 2007 	 great location nice hotel 	 Booked hotel priceline $ 73 . first time Chicago & amp ; arrive dark & amp ; abit worry whether hotel would neighbourhood feel safe . hotel great location right near John Hancock Tower , lot people around & amp ; handy shop N Michigan Avenue . room huge & amp ; shower - bath . price great . charge internet access connect laptop & amp ; ready pay $ 10 fee use wireless connection plug - in desk not charge - presumably system not know room ' m ! would definitely stay . 
 Nov 16 2007 	 Knickerbocker - charming little shabby 	 Location wonderful ! 's right Michigan Avenue quiet street near gold coast . staff extremely helpful pleasant . hotel certain charming , slightly shabby feel . room small , plenty room one person ( two spend time elsewhere ) . bathroom large enough vanity counter personal item . second day really tired get ready use narrow sink ledge . everything slide sink onto floor . wireless access bar area mezzanine free everything else seperate charge . would stay ( ) one night location price . 
 Nov 6 2007 	 great location guest happy thank Ashley ! 	 reserve Knickerbocker guest stay wedding mile away Lincoln Park ' happy . book total 20 room hotel flexible allow we guarantee guest book also . Ashley help we every step nothing positive guest . the positive : GREAT location ! cookie cutter hotel , charm . wonderful service . the negative : small room ’ ideal people expect McMansion dimension . ? ? ? , great value ! 
 Oct 27 2007 	 Gulag 	 preface state nobody ever use Priceline . book well advance October - stay visit family . arrive 5:30pm instant check - in . lobby nice , martini - bar adjacent , smoke unbearable . take elevator 6th floor , corner - room . room disappoint state least . dirty carpet , peel baseboard , stain ceiling . Hotel 's website states & quot ; high - speed & quot ; internet access room -- access phone - jack desk dial - up break . not test modem connection , rather , jack smash . force check email PDA . call front - desk answer , & quot ; room high - speed time & quot ; . interest another room would already unpacked . minor annoyance , fraudulent state room equip . the furniture chip poor - quality . tv close antique - status . ice machine break floor . bed reasonably comfortable , linen wear . bathroom clean , absurdly small . unable keep bathroom door open due spring - hinge . annoyance , 's source potable water room . the overall condition room deplorable . ' ve never college dorm room poorly finish . Millennium make clear be simply milk property be worth . never patronize another Millennium property . 
 Oct 23 2007 	 disappointing 	 stay Chicago Knickerboder Hotel 1 night October . hotel 's central air conditioning system not work . wake several time night add clothe . turn thermostat 85 degree . heat . next morning complain hotel front desk simply say , ' we know problem . ' try ask compensation hotel reject . never go back . yes , bathroom extremely small lobby , elevator smell cigarette smoke . 
 Oct 3 2007 	 well review give credit 	 book hotel priceline terrfifie see review , almost point dread trip . return today could not wait write review . staff extremely helpful . consierge wonderful able answer question . bed comfortable thick comforter . room two double room enough room family 4 . would definately stay . pleasantly suprise glad get hotel . location fantastic already mention staff great . thing could make well free wireless internet connection room , continental breakfast big dresser put clothe . enjoy hotel great deal . decoration little strange see candid picture hallway little musty smell bear smell like urine review state . not afraid get room price line . great stay grateful staff . 
 Oct 3 2007 	 Hmmm much ! would choice 	 conference book hotel check arrive little disappointed . however location great one block Michigan Street find great shopping eatery hotel martini bar lobby look invite . ... far room , request king get two double , remote control work view yucky . hotel note historical hotel - history place . find amusing size difference closet bathroom . closet walk - in night stand inside bathroom small could wash face sink , shower flush . towel rough fluffy ( historical ) wash cloth . photo well really . property rate 4 star would stay ( terrible well location ) . like historical ... . 
 Sep 26 2007 	 Knickerbocker well ok 	 recently return Chicago stay Millenium Knickerbocker . read review forum worried would find . yes hotel old , well maintain . bathroom mention post small . room smallish side like we Chicago stay hotel room . bed comfortable thing clean . location great ! 1/2 block N. Michigan avenue . staff also nice helpful . would stay minute . 
 Sep 14 2007 	 fantastic staff - great room - great location - book 	 think negative review read really isloate incident - yes room likely ding baseboards least old , tall , deep baseboard - 's old hotel show 's age spot - think still elegant graceful however . much time spend room anyway ? Chicago place get experience - week want two cover really want see - fantastic city . the hotel staff greatest ever experience - upgrade room immediately minor problem bathroom - go way make sure great trip . great front desk staff management - amazing concierge , can not say enough good thing hotel - terrfic location . 
 Sep 11 2007 	 great hotel know expect 	 husband return 3 night stay property , fine . staff friendly helpful , especially concierge desk ( deal least 4 differenct concierge , GREAT . ) perfect location , plenty within walking distance , plus ride bus Michigan Ave quite bit . hotel old decor little funky , know expect think great . room nice , end hallway . bathroom small not seem problem we . love window open , nice breeze one point ! , know expect , hotel fine - would stay heartbeat ! 
 Sep 3 2007 	 need renovate 	 hotel bad room stay last 10 year . first room give we shock . tiny bathroom joke , , step inside , move way shut door . furniture disgusting wood trim beat paint 100 time . transfer we ' executive suite ' room tiny bathroom .. mean tiny ! furniture hideous dirty . it 3rd level hear every conversation street traffic loud . impressive part lobby .. not fool . .. floor look like need major overhaul .. room worth even $ 100 per night . stay year ago get stick Priceline deal . not think want Priceline Knickerbocker 4 star Hotel not ever want go back . 2 star well dumpy Knickerbocker . ashamed even allow guest stay room . Boomer . Naperville , IL 
 Sep 1 2007 	 ok give try . sorry . 	 base previous review little apprehensive stay . friendly staff ? . find AMAZINGLY RUDE STAFF . moment check , greet Hector front desk could rude . check , bellman shock ask luggage bring room . , ask change Helen Front Desk , simply tell " " explanation . the interior room describe shabby - chic previous review , honest well describe rundown shabby chic . wallpaper peeling , carpet shred torn , woodwork crack peeling , furniture chip stain . air - conditioning unit smell something awful one room . hall smell odor mask . if get $ 100 / night might ( repeat might ) good deal . otherwise , would advise anyone avoid hotel . redeem quality hotel could find hotel area , little thing make hotel visit special non - existent . 
 Aug 31 2007 	 serve 's purpose - great staff 	 wife spend 3 night anniversary . hotel perfect location 1/2 block north side Michigan Ave . John Hancock build 1.5 block away . arrive hotel 4:30pm Sunday . pull door bellman help we right away . ... friendly helpful . take luggage valet man take car check go . check breeze ... wait . mention room 2 full size bed say & quot ; , queen & quot ; tap button give choice 2 room King size bed , point one end hallway , would little foot traffic , view beach / lake . would nice . say will take one view lake . tap button say & quot ; look like can not give one , put one . & quot ; end even well room 12th floor small building view beach lake . arrive room first impression bad . old , decoration / theme little odd , little small , clean acceptable . bathroom small , go complain , get room $ 75 / night + $ 40 / night valet parking . hallway distinct smell , would say bad , one kind . room fine though . hot stay , still open window , always provide nice strong consistent breeze come lake . shocked find little road / traffic noise could heard window open . the hallway could noisy busy floor , get lucky not seem many people coming go night , not get bang people door talk hallway . I leave memory stick digital camera room not find till get home , not picture . call hotel right away transfer maid service . talk Lucy professional , nice , courteous , unfortunately unable find memory stick , ' m still sick , must say nice know resort still treat like guest even stay . 
 Aug 27 2007 	 Old Hotel Good Location 	 stay hotel business . locate good location , northern end Magnicifient Mile . check - in okay ... extremely efficient , good enough . the hotel & quot ; historic . & quot ; however , really need spruce . bathroom tiny , decor ... lack well word ... interesting . the noise street constant , think 's price stay hotel busy section city . ' m sure Drake across street also get noise . I use fitness center business center . however , ballroom absolutely stunnne . 
 Aug 26 2007 	 great hotel pay 	 please hotel . think hold true 4 - star rating . book hotel hotwire $ 99 / not . keep mind 's old hotel . 's beautiful lot character . stay 10th floor . room look though remodel . king size bed comfortable . bathroom small , everything new modern bathroom . room clean even smell great . read review take advice request new bathroom , maybe get nice room . 3 4 elevator small . doorman & amp ; bellman get two thumb . never help we bag even open door , actually stand way . , concierge get two thumb ! ! ! need advice go see talk Paul . wealth knowledge nice person . give we map take 20 min we . take advice thing suggestion always great ! hotel great location . 1 block Michigan ave . , want catch L 's 15 min walk . 5 - 6 block . complaint thermostat room not work either hot cold . never complain since stay 2 night room sleep . overall would recommend hotel . we love restaurant Carmines rush street . we love Chicago Trolley Co. Hop - on - hop - off tour ( take double - decker bus instead trolley ) cub game must . ( take L ) Breakfast Tempo ' geattake ride around brown line L ( great sightseeing ) not like restaurant Hugo Frogs Rush street . Hope helpful enjoy Chicago ! 
 Aug 25 2007 	 great historic hotel ! 	 return stay Knickerbocker fantastic . staff incredibly attentive location outstanding . love Martini Bar food really good . concierge help plan day stay able maximize Chicago visit . would highly recommend hotel definitely return ! 
 Aug 22 2007 	 well expect 	 little concerned see mixed review hotel get . find outstanding value money . room small clean , bed comfortable . bathroom clean . husband , two teen age daughter share room find enough space . staff helpful location excellent . stay .. 
 Aug 21 2007 	 OK 	 stay Knickerbocker 10 year ago feel decrepit elegance . plain old decrepit . bathroom size would expect interior cabin Carneval Cruiseship . grout tub rework many time , archeologist could make study . arrive long hair adhere shower curtain . wallpaper curl spot ; ceiling plaster patch , etc . plus side , window room actually open , location great . 
 Aug 21 2007 	 well expect 	 stay July 27th-30th , husband take grandaughter 7th birthday american Girl Doll Store . I book trip Priceline read review quite upset , priceline refund know stick . call hotel stay request 2 bed say could promise we would wait date trip request check - in . highy upset tell operator horrible review read not want stay hotel stuck . sweetheart , name Catrice promise would make worth please give hotel chance go read . arrive find beautiful display chocolate cover grape cookie cold glass milk grandaughter . add special touch trip Catrice right , glad give hotel chance , turn perfect , yes bathroom small bedding location hotel make that . we great time grandaughter love american Girl store . luncheon American Girl well worth . would recommend one take daughter grandaugher . 
 Aug 15 2007 	 average place find good deal ! 	 book Priceline get 1 - night stay $ 110 plus tax . give location , would say price ok .... high would disappoint . lobby decent enough room old bathroom , though clean , not would expect 4 - star heart Chicago . , location main concern , happy reasonably nice place stay , book $ 125 night .... could live choice ! 
 Aug 8 2007 	 pleasantly surprised 	 Attended convention hotel . request king non smoking room . arrive early room ready not fault . keep bag we go explore city . come back tell we room ready . sixth floor face courtyard sort . view not mind quiet night time . room rehabe recently . surprisingly room two bathroom . half bath full bath . set shop nice . hotel build 1927 historic hotel ledger . entrance way grand say park boston nice . staff friendly helpful especially concierge . not eat hotel . way price . good eat around rush street restaraunt short walk away . Navy pier 20 min walk . hotel good location . walk shop vertical mall price designer shop . walk distance zoo area beach bike walk trail along lake . make thru whole trip without need cab . hotel wireless internet free hotel lobby wire access room 9.99 24 hour . worth trek lobby free access . hotel provide USA today weekday . room service price . steak 40 buck . Chicago nice city . clean . people nice . would stay hotel . want posh lux not stay stay drake across street . want nice place stay charm good attentive staff stay . parking might add bit steep 40 buck per day in / out privliage ( valet ) . alert . pool kid might want look elsewhere . elevator small also quick always available . 
