would 	 stay Loews hotel November 2009 book non - smoking twin room . arrival give smoke double room . point error tell room type guarantee give little way apology . meet similar response issue raise check . addition poor service , hotel look tired need refurbishment . location good much well hotel area similar price . 
 Jun 13 2007 	 pleasant stay 	 nice place stay ! couple block Madison Ave . Central Park . 3 we stay suite kitchenette , living room , king bedroom 2 bathroom , plenty closet space ! ! ! ! room clean tastefully decorate . clutter ! bathroom little small fine enough . bed clean comfortable ! ! ! couch cushy comfy cot bring one we . extra blanket bring soft request , come dryeer warm : ) housekeeping clean bathroom daily nice . towel clean ( ' ve hotel towel ! ) even though mini bar pricey , still enjoy : ) not eat restaurant lunch Library , nice , tasty food ! room service pricey , food good nothing special . good bet would hit local grocery . hotel staff include housekeeping , maintenance doorman friendly . 10th floor near elevator hear noise , not bad problem get sleep shopping day ! ! ! pet friendly hotel notice several guest dog , never hear bark place not smell pet . plan stay closeness Madison Ave pleasant stay ! 
 Jun 4 2007 	 Regency aim please ! 	 get back weekend Regency NYC wonderful experience . go significant daughter . goal book hotel room comfortable plenty room three we . book Executive Suite work perfectly . room king size bed french door open second living area queen pull sofa . also two bathroom - nervous would take away spacious living area . bathroom small everything could possibly need include great water pressure clean staff excellent job straighten replenish everything . plenty drink snack touch bit pricey . would definately stay Regency . overall hotel clean staff go way make feel comfortable , door man , folk front desk , room service , even parking garage , pleasant experience . 
 Jun 1 2007 	 favorite NYC 	 hotel first choice New York , although frequently full expensive . luxurious city , even close , room comfortable staff excellent . food good , forget breakfast . hotspot breakfast meeting want ' accidentally ' run someone NY real estate scene , average hotel guest can not run grab bite . however , excellent choice nearby . do not forget bring home Hero Stars , dog . 
 May 29 2007 	 Excellent location - close Park shopping art 	 can not say enough wonderful Regency . stay Memorial Day weekend . staff friendly always accommodate . numerous taxi Park Ave location , everywhere go weekend within $ 5 taxi fare . shop around corner 5th Ave . excellent restaurant along Madison Lexington Ave , one block away . room great , even view typical New York - face another nearby building . internet connection good . 
 may 26 2007 	 NYC base sure 	 really unpleasant room NYC hope good experience here- get ! hotel lovely verywell situate we ; get transatlantic flight take nice hot bath , feel great ! give lovely huge room 11th floor , right next elevator sound like subway- much noisy we . go could nicer exchange , give we key 3 room tell we pick . select room 630 face Park Avenue , even big first , small hidden kitchen facility- perfect keeping drink cold snack handy . could please . super sensitive smoke scent get whiff , worriedabout prior reviewer note . NYC certainly expensive hotel one gem , excellent value price . love bed staff , nice view along Park deep bathtub . my nit - pick would bathroom- someone lousy job painting bathroom door leave swipe tile . sink think crack , seem unacceptable room caliber . but sure new NYC base feel fortunate find . 
 Apr 4 2007 	 Regency excellent choice ny 	 Excellent location Park Ave , 5th Ave etc . , friendly staff , classic oversized room , terrific service . afternoon tea Library good way rest busy day . 
 Apr 1 2007 	 avoid low floor 	 Reviews call slightly fade beauty correct . dull safe uptown location , big room , hd tv , friendly staff , near lot attraction subway short walk park . big warning : low floor use movie interview session thousand cigarette smoke . result 3rd floor room absolutely stink like thousand dirty ashtray . industrial air purifier room seem like perk realize fight lose battle stench . even smoker want insist high floor non smoking room step outside . 
 Mar 15 2007 	 great hotel 	 stay hotel annual basis Show dog Westminster Kennel CLub dog show Madision Square Gardens feb , staff friendly , welcome we back year precious poochie , Loews truly love pets . one bedroom suit lovely massive size , great little kitchen ( fridge Microwave , sink , small oven , kettle ) come handy store little goody , Library lobby great place quick bite late night snack drink , doorman front desk staff greet every time enter hotel . location hotel amazing , walk almost anywhere , get cab issue time . room come cheap $ 850 nite one bedroom suite , hotel worth every penny ... 
 Feb 17 2007 	 Terrific Spot 	 husband stay business one two night time , 8 time year . travel weekly across US 's lot hotel . staff pleasant . room big compare many NY hotel price range . unique place city right size offer enough amenity personal attention . always first choice hotel travel together want stay mid - town . 
 Jan 31 2007 	 great stay Loews Regency 	 sitting bed Regency write review : ) trip NYC start another hotel , pretty dirty . ready get heck property Regency ! check - in fast , even though error reservation hotel fault . I stop concierge ask question . funny kind eye . sound funny , know feel someone genuinely nice . I head room happy walk ! believe room standard room . decorate minimalist decor , love . load space , lot counter space , 2 closet large tub . ' desk ' really marble counter extend full width room . large plasma tv , stereo , Bloom bath product . the robe great ... never bother robe . silk soft terry lining . water pressure excellent . bed hard . Select Comfort home generally find hotel bed hard , one really firm . beautiful linen . this room SPOTLESS . possibly one clean ever ( hundred ) .I not usually let anyone room check ... housekeeping , room service , turn . not like it . today housekeeping neighboring room get back ( 1 pm ) . lady practically beg let clean room . go ahead let . nicest lady ... concerned guest room . , seem fake . tip well , not really think expect . really . meet guy ( suit ) elevator talk clean staff ask hotel ... inspects room clean ! maybe be spotless . the mini - bar electronic , able run Whole Foods buy food whole stay stick fridge . great ... hate eat out . there 24 hour mini - mart around corner last minute purchase . free hot chocolate ( rich ) elevator evening , apple too . the doorman really nice walk past day . attend Departures magazine presentation yesterday talk 5,6 7 star ( yes ! ) hotel . try explain we value rich . well , probably one least demand traveler ... need good location expect clean , clean room , good amenity , service quality furnishing . hotel meet simple requirement genuinely nice employee bonus ! hope get stay . 
 Jan 9 2007 	 tired Looking Hotel Passing Luxury - Good Location 	 hotel nicely locate 61st street Park Avenue - easy walk subway distance place Manhattan . the lobby attractive , large inviting . room stay large ny standard could tell decorate nicely luxurious room year ago - however , 's tired shabby need facelift . maybe pet allow ? not know reason renovation order . I not really complaint hotel service not deem luxury . the bathroom fairly large need facelift . bed comfortable room mod - con . 
 Dec 27 2006 	 lovely ambience friendly staff 	 husband two small dog spend couple day Regency would . inexpensive hotel . Valet parking alone $ 50 per day tip expect expensive . ( husband hand doorman $ 20 bill , ask change tip , doorman give back $ 10.00 bill ! ) , room nice good size tasteful decoration . room service prompt efficient . dog enjoy Loew 's love Pets menu . location excellent staff pleasant . overall , enjoyable experience would repeat , say , even remotely budget minded . 
 Dec 27 2006 	 classy hotel 	 free certificate Loew 's hotel bad experience another Loews hotel . hotel lovely . lobby understate , staff , welcome . room gorgeous -- nicely appoint home touch , something would see Metropolitan Home Elle Decor Magazines master bedroom . room huge entry way include large closet large bath double sink , separate shower deep bathtub . room several chair , lounge , king bed lovely linen . give nice fruit bowl two bottle Fiji water Hannukah chocolate turn . location wonderful . able walk Lincoln Center 20 minute leisurely pace . pleasant experience Loew 's redeem . 
 Oct 17 2006 	 everything hotel fabulous 	 hotel one good New York . friendly staff , doormen concierge ! ! beautiful comfortable bed . close everything ! 
 Oct 1 2006 	 fantastic hotel 	 hotel great location , especially subway Bloomingdales ! recieve room upgrade might effect review staff friendly . when cold outside , quite often February , free hot chocolate marshmallow lobby ( next lift ) store bag free check . 
 Sep 23 2006 	 Regency Park Avenue good boost need 	 ' ve stay Regency Park Avenue many time count , ' ve always enjoy hotel , even minor quibble . stays result business trip . ' ve notice Loew 's , own hotel , place name prominent place alongside word Regency Hotel . month stay one night , Thursday Friday , rarely think Loew 's luxury - orient chain , think 's reason thing terrific Regency . the bathroom toiletrie less deluxe ; seemingly Loew 's generic ; whereas Regency use provide high - end toiletry . towel still good ; bath towel especially fluffy large . I stun hear , around 8 a.m. Friday morning , woman Housekeeping knock door floor . be absurd much early . never happen recently 2005 . happen . woman tap door ignore . even try door , extra & quot ; chain - like & quot ; security catch link , could not get in . the Reception Desk personnel friendly , quite deluxe . avail Concierge . various uniformed gentleman front door always friendly provide greeting . little understaffed Friday afternoon need get cab airport . the bed good ; air conditioning / heat fan system work well . room quiet , clean , pleasant . standard room consist large comfortable bed , crisp sheet , dresser , mini - bar ( yes , nuttily overpriced ) , desk , good size closet . carpet fine , although cosmetic cleaning would not hurt . view 12th floor window pleasing . away Park Avenue , silence golden . big complaint Room Service , actually blame long wait period - get - fact raining outside . ? send food ? food promise one hour - ridiculous since kitchen know menu foodstuff premesis . ' ve always find 30 minute norm high - end hotel . order Room Service around 9:30 p.m. as food , well fail . order bacon turkey club sandwich , really not club sandwich , two large slice toast italian bread dull lifeless sandwich item within . bread thin , thus hardish . sandwich cut two section panini club . french fry coolish . difficult provide hot french fry . hate cold cool french fry . sorbet fine , well - chill bowl set ice ; therefore not melt hate entree . chicken soup good , plentiful . , course , absurd & quot ; delivery fee , & quot ; find , still find , always find offensive . able go get food ? not call ROOM service nothing . fee actually insult . not mind normal 16 % , 17 % , 18 % tip fee - live , delivery fee tacky . the Regency great location quick step Madison Fifth Avenue . one big problem want & quot ; corner store & quot ; & quot ; deli & quot ; service , will not fnd along stretch Park Avenue even block Madison . try . will need walk Lexington maybe Third . shop Madison begin high - end run , Barney 's anchor corner . regency around 62nd Street Park . look , consider fortunate work allow stay deluxe hotel . people never even travel , let alone get stay well around country . , hotel promise luxury need live claim . Regency slip . room clean pleasant . overall , hotel need little boost . high - end mean luxury . be use expect receive Regency . make return . well toiletry bathroom would start . stay average , wonderful . definitely four Seasons style . 
 Sep 10 2006 	 great location wear hotel 	 hotel fabulous location Park Ave . block good shopping Madison Ave . price pretty decent size room , location NYC general . staff courteous friendly NY standard . we verly large 1 bedroom suite . hotel well - maintain clean enough . two phone room work . doorknob fall . hallway carpet stain worn room dusty . housekeep weak - i.e . throw empty soda unless put directly trash . bathroom small .... two . I would pay stay well hotel next time .... even pay stay someplace like W would new , fresher feel . this place really stale . 's shame . real potential b/ location size room .. 
 Aug 31 2006 	 nice experience 	 stay Regency 5 night . weather greatest , can not fault hotel . ; ) stay Luxury Room adequate size two people . unlinke other note & quot ; worn & quot ; look hotel , find issue room . bed sheet comfortable . bathroom nice , bit small side . the concierge fairly helpyful come restaurant sightseeing recommendation . doormen attentive weekday ( business traveller ) , less weekend ( family ) .We try room service quite pricey . clean staff courteous part exception incident below . we process change clothe dinner time go evening , without knock warning , cleaning lady walk room . let concierge know incident , really much say & quot ; Sorry & quot ; .One tip ... want use internet , purchase daily access pass multi - day access pass directly WayPort , hotel directly . pay $ 8 / day internet , rather hotel 's rate $ 15 / day . the nice touch free umbrella provide door one rainy day . nice umbrella . 
 Jul 19 2006 	 Fantastic Hotel ! 	 husband stay two night hotel perfect we ! everything large room hotel staff terrific honestly not single complaint . hotel offer lemonade day go get glass finish . happen hotel staff person see not get call get lemonade make call room inform we fresh supply ready we ! every single staff member come contact stay give we good attention service . our favorie part stay amazing large bathroom . probably big NYC apartment . even small television ! good part room use reward point stay still able get spacious room . Regency Hotel also within walking distance many attraction . could not pick perfect hotel weekend getaway . look forward come back soon ! 
 Jul 17 2006 	 Regency .. Winner ! 	 stay Regency July 7 - 9 , 2006 . hotel locate Park Avenue 61st street . location excellent want minute Central Park upscale shop Madison 5th Avenues . hotel clean , room spacious ( NewYork ) comfortable . bed great ! Feinstein 's , restaurant hotel beautiful , price like hotel restaurant . enjoy yummy breakfast Viande dinner locate around corner Madision . Lunch La Goulue French Bistro treat ( Madison 64th street ) . go Sunday brunch . be expensive ( $ 38.00 pp ) , be delicious . great italian restaurant recommend concierge . 's call La Scientalla . huge portion . share entree . excellent service high end neighbourhood restaurant . usually stay Omni , prefer quiet luxury Regency . 
 Jun 11 2006 	 Sad Tired 	 Surprised see excellent review hotel . staff nice , room old tired . king deluxe room , bathroom small . one sad chair ... fine alone business little awkward travel couple . wallpaper room mess obviously replace along time . furniture also quite worn . go city weekend much well hotel money . positive side , Feinsteins Regency great place hear live music intimate atmosphere . 
 Apr 10 2006 	 great Stay -- Perfect kid 	 stay Regency three night April . travel 2 1/2 year old child . PERFECT HOTEL KIDS city environment -- within quick walk distance park ( Zoo , fly horse ) , FAO , Dylan 's candy bar etc . staff incredibly friendly , especially daughter . give gift upon arrival , welome basket kid nice amenity well . stay standard room find room spacious city standard clean . not feel cramp even crib room . the bathroom small well appoint . really complaint stay . Ritz not pay Ritz price . overly nice staff make willing offer great suggestion dine child - friendly excursion . 
 Mar 29 2006 	 Love hotel ! 	 family stay Regency 4 night love much ! 3 room 2 corner room big beautiful room . loved & quot ; library & quot ; ( bar , tea room & amp ; salon , guess ) grandmother hang go dinner . one problem one one room key working well father could not enter room time . Everytime , need fix room key card go 3 time pleasant .. besides , adore hotel . really get upper side new york feeling . 
 Mar 19 2006 	 Perfect Manhattan ! 	 ' ve stay Regency several time past couple year . first visit make we loyal return visit well last ! location absolutely perfect staff amazing . visit ' ve see movie star , sport star famous politician . ' ve hear among celebrity 's know & quot ; Hollywood East & quot ; . guess 's good enough . . . be good enough we . may nicer hotel somewhere Manhattan 15 year search have't find one . be always nervous recommend hotel friend , perhaps will not like much . one three hotel America would recommend without hesitation . several friend actually come back thank we profusely let New York & quot ; secret & quot ; . 
 Mar 18 2006 	 nice hotel expensive 	 nice hotel . expensive . staff accomodate . room quite spacious . hotel carpet room need replace . hotel nice , expensive get . 
 Mar 9 2006 	 10th stay 	 stay Regency least 10 time last four year . staff friendly stay average room couple suite . hotel vintage therefor room slightly different . always good experience occassionaly see celebrity obviously choose property value privacy . hot chocolate winter lemonade summer ! ! ! favorite hotel Big Apple ! 
 Feb 28 2006 	 good great stay .... 	 much research stay NYC , choose Regency want try hotel Upper East Side . husband first check inquire type room would . standard could buy 120sq.ft . additional $ 40 per night . decide check room first decide stay , figure would not spend lot time room anyways ( not ) .the room furnishing nice New York standard room not small . complaint bathroom . bathroom small also warn . bathroom door chip corrode bottom . another review mention seperate tub shower , room . plus mold shower soap holder . okay , one complaint , norm see housekeeping cart room service trays hall way never vacuum . our beef price room service . know would not cheap , price almost gouge . 2 people order 1 hamburger piece , price would $ 60 without tax without something drink - ouch . however , say , stay nice . location wonderful staff , friendly , helpful accomodating . , next time think will return Midtown stay Sofitel , stayed thoroughly enjoy . 
 Feb 17 2006 	 Loved Regency 	 first room small dark bathroom light work . point get upgrade fantastic room . staff willing help responsive . stay cold period hotel really wonderful hot chocolate stand lobby .... good hot chocolate . near Central Park . 's good walk theater district fine . 
 Feb 3 2006 	 wonderful experience ! 	 , two daughter , mom , spend Saturday night Regency , could enjoy experience ! ! ! first phone call Regency , leave hotel , impeccable service , unforgettable experience NY ! trip plan Mom 's birthday , surprise . executive suite allow we stay together , ideal . living room area suite allow family gather birthday cake dinner , relax allow we comfortable together . Brunch Library next morning quite treat , waiter , everyone front desk , concierge desk , doormen wonderfully solicitous , provide excellent service . would love make stay Regency annual treat incredible experience . 
 Jan 19 2006 	 favourite hotel 	 Regency favourite hotel anywherre , ' ve stay four time rate highly . room comfortable , maid service first class feel home soon lie bag down . my favourite thing hotel gym . easily good hotel gym ' ve use - like free weight 's ideal . gym staff ( like staff ) friendly helpful . walk gym first time visit ( 6 month previous visit ) greet name one guy work really blow mind ! 
 Jan 8 2006 	 Great Hotel 	 Regency might one good city possibly country . room service good . would definitely stay . 
 Dec 11 2005 	 pretty good hotel service charge - ouch ! 	 stay 3 night . not expect view location not . middle NY city not expect tranquility either traffic heating / aircon . room big ( not know 's standard ) , bathroom not feel small espeically 's separate shower - tv curiousity consider reception terrible . housekeep excellent . bed fanstastic . food neither good reasonably price neither room service fast . yes , 21 % service charge , $ 5 per person ' delivery charge ' , course waiter still expect cash tip top ... although try hard be always something missing order , since simple thing take least half hour arrive give . chill seafood salad room - whole , shell lobster , 3 giant prawn ( still ' shrimp ' ) tasteless , mountain shell crab salad . couple dollar less order lobster salad Library , get half lobster leave ! not amish chicken - 's truly uptight ! wire internet mystery , hook unsecured wireless connection - perhaps that s laptop not work now . the location excellent shopping , central park , museum art gallery . staff courteous try please - ask late checkout try oblige although full . overall pretty good hotel - ' m glad expense , not bother food . 
 Oct 26 2005 	 luxury good first class 	 location good ny . hotel nice first class hotel ; home - away - home -type accommodation . House keep keep room clean . bathroom old tile ( back build time ? ) new stone floor counter top . lot high - quality towel change daily . ventilation bathroom . some part little date need fresh - up . room service breakfast expencive automatic 21 % gratuity . stye many real luxury hotel never meet 21 % tip . record high ? 
 Oct 6 2005 	 feel rip ! 	 recently stay Regency 3 night rate $ 400 . per night plus taxis . room dark dingy . sheer white curtain beige , window not soundproof feeling room not update year . bathroom marble stain grout fall . complain say room available . upon checkout , bill minibar charge $ 50 . refuse pay . never open minibar receptionist say smart catch since people not ! Hmmmm . well , will not go back . 
 Aug 13 2005 	 little sad Regency 	 stay Regency 4 night . ' ve stay encounter problem , time different . able check till around 3:45 pm , though request early check . room need repair , though small , area ceiling need repair carpet small area need repair . closet door not work one light not work well . stay go fine cleaning staff excellent job . would rate hotel time 5 star . think time update least room . ' m sure , get room special rate maybe room little less expect problem upon check . 
 Aug 8 2005 	 first time love 	 stay Regency first time three night late July , great . location great Park 61st , easy walk museum , shop Central Park . room large look like redone recently high quality furnishing . staff attentive helpful . typically stay downtown East Fifties hotel area , pay Regency ( $ 279 per night website ) pay downtown Regency well hotel . 
 Aug 4 2005 	 New Year Regency 	 stay Regency Hotel Dec 04 stay new year celebration . hotel set excellent location , literally couple minute walk bloomingdale subway station . set park avenue , bonus city feel bit calm side . xmas time bloomingdales / fifth avenue shopping area especially sak extremeley busy - people quee 10 pm night get bargain ! turn corner hotel feel like really wind . find room well maintainte , modern luxurious . even balcony overlook city - fab ! visit new york new year great ! go times square feel must warn 4 pm even get not really provide entertainment wait , hourly countdown ! fancy times square would recommend rockefeller centre . performance Maroon 5 , Duran Duran also guest presenter like Jay Leno . screen times square keep show rockefeller centre say , jealous ! regency totally relaxed end many day manic sight seeing would definately recommend anyone . 
 Jul 14 2005 	 Elegance East Side 	 parent 's 60th wedding anniversary occasion gather Regency . treat like king , queen , prince princess . service excellent . slip need get room re - keyed key long work inexplicable reason . hotel staff attentive friendly , make feel like belong visitor . overall hotel rather expensive restaurant pricey , one breakfast . reasonable eatery area , not hard keep within budget . however , upper east side Regency place stay tight budget . great place stay special occasion . happy hotel . parent receive complimentary Mumms champagne sweet . location good shopping , Central Park jog walk , close enough 5th Ave midtown get walk quick cab ride . travel agent warn old NY hotel & quot ; tired & quot ; , case Regency . whole hotel well appoint furnish . since kid , room choice double / double . size room fine four people two closet , kitchette , table chair upholstered sit chair . get see room king bed , think great plenty big two adult ( i.e . leave kid home ) . not think hotel much offer term view room ; look rooftop . nonetheless , Regency well know well - respect hotel , frequent many celebs & quot ; power & quot ; people . consider classic ny experience . 
 may 24 2005 	 Attention deficit disorder 	 maybe get wrong time , staff member Regency game stay hotel . there numerous time 5 day visit greet upon arrival , address leave . summon cab family four separate occasion . every room floor newspaper door , every day . get newspaper door two morning . bath robe ? lack one , request . robe deliver , retrieve next day , without replacement . not think worth $ 10 daily tip get thing back . internet access $ 20 day , one site able explain hookup protocol . the employee kind polite , majority speak English Spanish fluently . the room well keep , maid service good . the restaurant ( & quot ; Library & quot ; ) serve excellent breakfast , wait staff completely attentive . hostess provide free newspaper include foreign domestic . ( care competent hostess ' ve ever meet New York , 25 year travel . ) recommend restaurant unhesitatingly . hotel solid 3 Star Facility , experience encourage return . ( unfortunate , go NYC frequently . ) 
 May 24 2005 	 great location -- never leave Upper East side . 	 enjoy hotel staff issue iron check . arrive 11:30 tell clean room available . return 1:30 pm tell thing . 5:00 pm , return third time tell room overbooke would move inferior room would include $ 25.00 daily rate reduction $ 365.00 day $ 339 . per day manager duty helpful willing correct room problem speak . reduce total stay reduce rate $ 319.00 / daily later book weekend rate . also arrange room upgrade since belong Loew 's First . spend one night small overbooked room remainder trip much nice room low daily rate $ 319.00 per day . room large NYC . 2 closet perfect -- one walk closet small safe . 3 4 different place sit room , although bathroom limit space . love everything room except 20 + % rate add laundry bill aware discuss expense steaming veil formal dress hotel . even two issue , hotel perfect vacationer . notice lot pet around property belong guest . cute . would stay try stay somewhere different trip city . stay Royalton Park Central back early 80 's . mid 80 's , stay Shoreham St. Regis Hotel . stay Paramount , Parker Meridian Barbazon early 90 's . hotel offer something meet expectation visitor 's taste . check hotel other list well . come highly suggest . 
 Apr 22 2005 	 Excellent Location 	 lovely old hotel right middle & quot ; right & quot ; part Manhatten . first arrive give massive 1st Floor room face Park Avenue . noisy night move without hesitation suite 20th floor face cross street , much quieter . the early morning guide walk entral Park lovely way start day , Breakfast Feinsteins . if prefer intimate ' family ' run hotel one NYC . like corporate brand sterile blandness w block away ... excellent staff , excellent location , Excellent Value money . 
 Mar 23 2005 	 well far 	 we ve stay new york five time far good hotel yet . staff friendly curtious . room service good , clean tidy nice spacious room . would definately go back 
 Mar 8 2005 	 love regency 	 hotel perfect . room clean , well furnished , extravaganza ; right . in bathroom , bath big showerseparate .The bed dream.the staff efficient friendly . the room service quick , food fresh , excellent . in hotel atmosphere joyful jazzy . 
 Jan 9 2005 	 Wonderful usual Regency 	 frequent visitor New York City like stay modern , luxury hotel nice , convenient location . often travel 14 year old daughter belove 4 year old terrier , look place welcome kid dog ! Regency fit bill count . last visit Christmas holiday . arrive Christmas eve stay three night . deluxe luxury king turn one large room ever stay city . furnishing tasteful classically modern , sophisticated cold . plenty place store clothe ( travel lot ) , book , etc . room large desk , table small banquette , another area , comfortable chair great reading lamp . the bathroom particularly large , well appoint plenty counter space . also contain large tub separate shower stall european fixture - great we since husband like bathe shower . although quite full , hotel staff could not nice , although service bit slow small library like cafe eat breakfast . there also great fitness facility hotel , free guest . important , one good job provide many extra ( yoga mat , fitness ball , etc . ) not get hotel . we stay number time definitely return . 
 Dec 14 2004 	 Decent great 	 get luxury king room Park Ave view . lobby nice intimate elevator dark unpleasant . staff , general , hospitable , particularly housekeeper . room quite spacious , would agree other bathroom bite small luxury property . stylish venue , location superb . generally speak , average experience value . 
 Dec 13 2004 	 could make - over ! 	 daughter 18th , think trip New York top would stay lovely hotel . choose Regency , good move ! first impression lobby small honest think little glumy . room dreadful even disabled shower court yard view . ( lead believe LUXURY KING street view ) . room go company night ask new room . tell hotel full , persist offer another . improvement carpet bad stain tiny bathroom , look dark tie . manageress ( sweet ) think know room scratch say would try find well room we next day . 15 minuet later ! much hotel full ) . room last minus stained carpet ! call kitchen nothing except sink , fridge 2 tea towel . cutlery crockery even kettle . complaint absence coffee machine , surely New York 4 * + hotel afford offer guest warm beaverage long day without pay breakfast unlike european hotel cost . overall love New York Regency . upset tell daughter go posh hotel know face disappoint . also mention carpet need good clean paint work brightening . 
 Dec 5 2004 	 Pleasant Stay 	 husband stay Regency Dec 1 3 , 2004 . room nice staff could accomodate . usually stay west side find location convenient . would stay . 
 Dec 2 2004 	 wonderful Thanksgiving 	 stay Regency 5 night Thanksgiving weekend . lovely , large room , well design well maintain . excellent service around ; maid leave we hand write Thanksgiving note , housekeep quick request , concierge helpful arrange theatre ticket restaurant reservation . think room service food delicious , would note service slow ( hotel seem full holiday ) . great location walk everywhere . leave personal item room , realize JFK wait flight . call speak housekeeping send someone right away room ; item receive FedEx two day later . would happily stay . 
 Nov 10 2004 	 Service nightmare 	 rent suite 890 per night - because allow pet , eye irritation room : request one day laundry service laundry return - call night , finally 10 pm someone tell go receive - I explain leave morning - they say would get back not - then next day say send morning dry cleaner would back - speak manager assure would fedex clothe - clothe yet return - have call hotel - no one return call ! room service food goodmost irritate not handle issue . use stay regularlyNo 
 Aug 30 2004 	 Excellent Hotel 	 Regency excellent hotel . spend night Westin Times Square , Regency quite refreshing . spend two night 24th 25th August . originally book standard king room courtyard view , ( book Loews Hotels website $ 199.00 per night ) however , upon arrive front desk representative ask would like upgrade free charge luxury king room street view . room huge small kitchenette , sit area , table chairs desk area . bathroom tv phone ! one nice hotel room ever stay . staff excellent- concierge even call airline confirm flight beofer leave airport . location great- relaxed neighborhood away hustle bustle city , however , literally right around corner 5th Madison Avenues . highly recommend hotel ! 
 Aug 12 2004 	 Designer 's Viewpoint 	 Regency pristine location Upper Eastside , mere 2 block southeastern corner Central Park , two block Bloomingdale 's , one block Barney 's close many designer boutique along Fifth Avenue Madison Avenue . convenient near museum , yet remove midtown crush . quite world - class restaurant nearby ( Aureole could see room window ) well excellent bistro intimate local dining spot . specific : stayed & quot ; Superior King & quot ; Room . 12th floor . Bathroom approx . 5 7 half foot -- probably small luxury hotel nice modern appointment . bathroom floor ceiling polish Botticino marble tile vanity countertop granite generous porcelain undermount sink modern faucet . tub generous ( deep wide ) showerhead powerful . wall wall vanity mirror flank side mirror . magnifying & quot ; Shaving & quot ; mirror good lighting . small counter tv well phone bathroom . amenity include 1600watt hairdryer , vanity set provide cotton ball , ear swabs , kleenex hotel chain toiletry include facial ( glycerine ) soap , bathe soap , lotion shower gel . hotel provide ( 4 ) large bath sheets plump thirsty , washcloth , hand towel , good bath mat large cotton bathrobe . bathroom convenient towel bar , hook shower grab bar -- thoughtful . negative bathroom lack fan . hallway : frame , full - length mirror ( great see ball gown wear Met ! ) light hall closet shelf . hall closet convenient iron board iron good hanger ( include padded one lady fine clothing ! ) . bedroom closet kind small -- 2 ' 6 & quot ; X5 ' , personal safe -- great . main room approximately 23 foot 13 foot -- generous Manhattan hotel . feature generous , chenille cover club chair ottoman . pedestal table ( 2 ) upholstered arm chair -- great eat - in room service . bed flank ( 2 ) generous nighttable glass top lamp . mattress firm comfortable . bed white waffle - weave matelasse scallop border -- discreet , elegant clean . make 80 % cotton , 20 % poly . look brand new label 2003 write ink magic marker . sheet crisp unhappy threadcount -- unable verify . usually accept nothing less 400 threadcount feel like 250 -- serious bedding criticism , one hotel standard address . pillow awesome -- hotel pride give several option , generously attractively pile bed . also ( 2 ) decorative Mohair neckroll , comforter inside grey - color fabric could quite identify . fabric probably one design choice would make aesthetic reason . across foot bed large attractive bowfront entertainment center / armoire . unit house 30 & quot ; Phillips TV , convenient remote . also mini - bar , stock usual suspect . also provide goodie basket item candy , bottled water , dog biscuit -- since Regency pet friendly . basket item expensive mini - bar item . window side room wall wall granite top desk / executive area . area ingeniously house room air conditioning unit could control wall thermostat . desk area multi - line phone , keyboard internet ( interactive TV Screen ) , Regency guestbook / service guide . good area , executive swivel chair roll wheel fabric upholstery . drapery consist cornice board run width room thick drapery another set sheer drapery . easily adjust pull wand slide drapery along track . bedside also feature another multi - line phone alarm clock / radio . detail : room crown mold attractive carpet . wall cover wallcovere visually soothe -- slightly textured appear like plaster . artwork consist several black white photograph natural theme -- flower , tree , etc . attractive black frame . furniture rich mahoganys -- slightly masculine stylish contemporary brass pull . overall color scheme sandy tone / puce / taupe -- call Armani Bergdorf Goodman color . overall impression discrete , elegant hip . comments- hotel staff friendly professional . hotel manager also helpful always top thing -- actually manage . complaint think minor -- reason , unable make french Toast breakfast , even though breakfast menu . overall , Regency outstanding hotel -- first class accommodation , service , location . find home come Manhattan . 
 Aug 11 2004 	 terrible service 	 room comfortable front desk personnel way manager quite rude even small thing access business center ( incidentally , internet access pay per minute use , day free wi - fi access everywhere , hear ? ! ) .For price stay ( $ 250 / night ) , service lack far . stay Hilton W instead . 
 Aug 7 2004 	 nice hotel 	 suite , subtly decorate , luxurious , comfortable . know 's good hotel bathroom tv bidet . bed comfortable , nice view Park Ave . convenient location . great restaurant nearby . pricey side , be ny . good cd system well . would definitely stay . 
 Jul 23 2004 	 Loved Regency 	 July 15 - 19 , 2004I stay plenty 4 5 star hotel past , Regency Park Avenue far one good . go meet mom spend last & quot ; girl & quot ; weekend together wedding - hotel could not perfect . 's prime location Park Avenue one street Madison Avenue , 2 street 5th Avenue ( heart NYC 's shopping district ) make perfect full day dress fitting , sale shopping , visit museum posh night town chic restraunt . ( try Park Avalon Park Avenue quasi formal , intimate dinner , Coffee Shop Union Square quick bite Giesha , right around corner hotel , asian fusion / sushi . ) staff Regency could not nice , julian concierge desk fantastic , check - in / out prompt , room service pretty quick ( great morning coffee ) doorman always smile ( one even rendition singin ' rain hand we umbrella start rain ! ) downfall hotel - wall little thin , carpet hallway need replace , not expect get 2 double bed get 2 twin ( though comfortable - emphasis - great sheet , fluffy comforter , air conditioning run night without get cold waking morning stuffy nose , decorate typical hotel art nouveau style ) book hotel $ 180 night ( stay 4 night ) mom expedia blow away great ( location , staff , comfortability ) usually stay Righa Royal close $ 500 night , love Regency would definity stay ( especially bargain fare like one get ! ) 
