stay 	 travel San Francisco every week business . like switch stay Union Sq . wharf change scenery . Argonaut definitely place stay week stay Wharf . love everything place . staff great . miss wine hour 5 minute check give voucher glass wine bar . room clean comfortable . be right around corner Ghirardelli Square , take advantage cool evening go get cup hot cocoa . next morning pick breakfast Starbucks walk across street nice morning beach go office . location great . love Argonaut look forward go back couple week . 
 eagerly Anticipating Next stay Argonaut 	 already plan next visit hotel . stay three day anniversary company little bichon wonderful experience . staff amazing , incredibly helpful , always treat little dog like value guest well . love attention doorman front desk time come . Argonaut truly make we feel home . purchase three day pass cable car / trolley car / muni system cable car turnaround right next door hotel make easy get around San Francisco Fisherman 's Wharf . we plan give Argonaut gift certificate son daughter - in - law Christmas year . can not think hotel San Francisco would rather share . 
 Jun 15 2009 	 great place stay Wharf 	 stay Argonaut Hotel Fisherman ' wharf June 9 – 13th genuinely impress aspect accommodation . staff excellent upgrade we Bay View room without surcharge . really enjoy wine taste hour ( 5 – 6pm ) service top notch appetizer Blue Mermaid great ! ( ' normally eat hotel restaurant , try one favorably impressed ) .A great historical hotel normal " brass glass " palace many upscale facility become . much character hotel build recycle brick ( trendy ) 1906 fire , use cannery many year subsequently designate civic historical site restore present facility . SF several time recently stay downtown . stay wharf occasion , would strongly recommend consider proximity cable car ( right across street ) , great dining ( many fabulous restaurant within short walk , starbuck build ! ) accessibility many tour activity tourist may interested . one " hide gem " find Buena Vista Cafe locate directly across cable car . definitely one premier pub area great place breakfast reasonable price . would strongly recommend hotel type traveler ( yes pet kid friendly – Wii set kid wire hour keep everyone occupy ! ) would stay give opportunity future . 
 Jun 12 2009 	 Left Bad Memories ! 	 review one year late , guess try give whole episode endure chance somewhat recede memory , . stay valet park car , please careful . second day vacation last year June 2008 , go Muir Woods Argonaut 's valet retrieve car . bring make - up bag apply make - up along way . well , get back hotel , go room realize have forget camera car . call ask could retrieve , tell could would get , . later , realize also leave makeup bag car , , want bother , decide could wait next time go out . the next morning , valet retrieve car , realize makeup bag . think , & quot ; wow , someone steal makeup bag ! & quot ; , not overly concerned remember place 2 carat TW diamond earring deep pocket bag ! know , dumb thing , also know valet hold door open 2 small kid jacket souvenir get car , almost inevitable may forget something , do . I extremely upset , contact manager . police come , report file , hotel immediately let know parking contract , therefore theft nothing Argonaut responsible ! ! know parking contract ? ? entrust car Argonaut ! put key Argonaut 's hand far concerned , expect leave something car , fine , upstanding , highly ranked hotel make sure return . boy wrong ! convienient ! give number insurance company handle valet issue . course , 2 day file claim , send denial letter say responsible item leave car . theft ! turn key Argonaut ' representative , park 3 block away , tell & quot ; Bad . & quot ; talk horrible way start 10 day vacation ! luckily , move another hotel rest stay . the hotel accomodate . basically wash hand , give we $ 50.00 restaurant credit ( use ) even charge parking fee write Kimpton 's main office , hotel manager call reversed charge , $ 200.the bad thing entire time feel though think con artist , decide travel way , 2 kid tow , rip . choose hotel base Tripadvisor ranking . location wonderful . room adequate . theft personnel leave bad taste mouth hole husband 's pocket buy ( insistence ) replacement pair earring . I see other comment far less serious issue hotel , appreciate people take time give opinion , feel fair not continue keep . ' m sorry silence cause happen anyone else . as say , beware careful . luckily able let ruin whole trip , thoroughly enjoy beautiful city surround area like Monterey , Carmel , Santa Cruz . San Francisco wonderful , can not wait return one day . 
 Jun 11 2009 	 enjoyable stay 	 first visit San Francisco . excellent hotel friendly extremely helpful staff . busband ill stay staff could helpful . extremely clean pleasant bedroom bathroom . central - enjoyable hotel . 
 Jun 10 2009 	 Great Hotel 	 stay Argonaut start tour two night , Staff professional knowledgable , room decor hotel good . location great wharf front door tour bus around corner . eat hotel restraurant except breakfast ok . would definatley recommend hotel good base explore San Fransisco . free wine taste bonus . 
 Jun 9 2009 	 enjoyable ... 	 rather enjoy hotel ' m sure would bypass option stay . love location room decor wall thin could hear everything go next door . husband staying week business join weekend . ask room change weekend , room view . surprised unable acommodate request since week . oh well . bell hop entrance terrific always joke nice thing say . attach restaurant good outdoor dining set really nice . 
 Jun 8 2009 	 probably good hotel ' ve stay ! 	 can not think negative stay Argonaut . first get room , hear & quot ; gurgling & quot ; come bathroom sink . loud annoying . bellman , bring luggage room , call maintenance supervisor door quickly . explain minor problem room 's HVAC drainage could fix hour . sightseeing anyway agree go Fisherman 's Wharf . come back little soon expect fix . speak supervisor nightly wine reception evening ( not miss ! ) express gratitude quick repair . entire staff happy meet need answer many question city . concierge service superb . doorman always greet we smile quick question day ' adventure . minor issue slow service Argonaut 's restaurant . , serve , enjoy fine meal . wife 's scallop delicious . crab cake also tasty . , get room view bay . fantastic view beautiful sunset Golden Gate . 
 Jun 7 2009 	 Perfect every way 	 live San Francisco Bay area decide stay night enjoy fine dining stay City . feel like mini luxury vacation . valet parking reception lovely room Bay view , stay delightful . plan go back recommend hotel town guest . also accomodate dog . would never know . place clean . bring dog sleep crate quietly disturb guest . great location walk City people dog alike . 
 Jun 7 2009 	 Perfect hotel ........... perfect location ! 	 spend 5 night hotel wait return . room lovely , large , clean comfortable bed ! especially love nautical decor ......... different standard hotel room , overdone . also nice toiletry . the staff friendliest encounter long time , really seem care enjoy stay . they card room fill would like print boarding pass convenient . fly Southwest make sure print early enough get we section . everything hotel great highly recommend look forward return . 
 Jun 7 2009 	 Comfy hotel 	 room nice hotel - clean , good facility , spacious etc . sometimes little noisey - do not think wall particularly thick ! not try restaurant always look full popular . the wine taste evening not good expect - would though whilst California would give US wine , choice tasteless italian white red . staff friendly helpful . location little far along Fisherman 's Wharf , take quite walk city be afraid little walk be bad . 
 Jun 5 2009 	 Great Location San Francisco 	 stay hotel three night part two week stay California . Hotel locate approx 10 min walk Fisherman 's Wharf . arrive via taxi SFO ( approx $ 45 excl . tip ) . check go smooth , problem . hotel room spotless , complaint . bed extremely comfortable . hotel locate adjacent tram stop easy access around San Fran . do eat hotel comment food . have never visit San Francisco - three night sufficient see majority major tourist sight . 
 may 31 2009 	 Excellent stay not stay anywhere else . 	 quick getaway Los Angeles 22 month old . choose Argonaut base upon reviews Tripadvisor hotel perfect we . family young child even without child , hotel great location . close tourist area Fishermans Wharf , far away enough quiet . far hotel A++ . staff , amazingly friendly accommodating . room super , super clean roomy . manager amazing person keep place perfect . come back stay . child Friendly , couple friendly , solo traveler friendly . simply well around ! ! ! ! 
 may 28 2009 	 wonderful experience 	 read alot good review Argonaut Hotel , decide stay couple night stay San Francisco . absolutely wonderful . doorman , dress accord hotel 's nautical theme , helpful friendly . lobby colorful tasteful decor . stay room 344 everything . skeptical space , see people complain room little small , family four , perfect . trouble space carry we three suitcase ( two large one slightly small ) . room decorate nautical theme well absolutely adorable . bed comfortable . even bathrobe socks closet ( animal print ) , like , buy ! think clever interesting . bathroom large sink nice shower . especially like & quot ; Forgot ? ' ve Got & quot ; feature . forget something home , go get . thing complimentary ( straightener , curl iron , etc . ) pay $ 2- $ 4 . overall , love hotel would HIGHLY recommend . definitely stay . 
 May 28 2009 	 Argonaut work we ! 	 concern noise prior arrive due previous review . Richard give we room 4th floor definitely quiet regard street noise . hear outside noise . wall room thin however like other report . could hear well enough hear exactly people say room next . sorta weird . location good staff contact nice . Valet parking expensive report . shock discover . think 's ' ve ever experience find parking limit sf.overall enjoy would recommend . 
 May 24 2009 	 lovely hotel nice treat ! 	 agree many review : room lovely - garish website make look - bed comfortable capacious , Blue Mermaid restaurant fabulous breakfast nice dinner , restaurant check - in staff friendly . location good - mercifully right middle horribly tacky part Fisherman 's Wharf , 's whole block away ( nasty ) . cable car right next door ; tram / streetcar nearby . splashed bit , get room view sea , glad . late check - out available $ 50 . free internet , hotel charge nose short international toll call . only one thing bit odd : day due leave ask concierge whether / how could pre - book taxi get airport . idea , seem utterly disintereste finding , though would thought common request . ask doorman , abruptly tell we thing possible . anyway , order car we limo firm . bit strange give funny look would think routine request . day arrive hotel , doorman spend age try flag taxi someone else , get bit shirty : , need get hotel airport - anywhere degree urgency - suss option early . overall , though , would recommend Argonaut highly . would give 4 half 5 could . 
 may 23 2009 	 not stay anywhere else ! ! 	 interested stay around Fisherman 's Wharf area , hotel well ! clean , wonderful room bed , great service , 5 o'clock wine tasting , good area restaurant , etc . , etc . place . recomment anyone think trip area . ask top floor bay face room . mouse quiet spite active area hotel locate . get early wine tase ... busy time . hint Bay visitor ... DRESS WARM ! ! froze buy jacket , scarf , knit hat especially go anywhere boat . 
 may 23 2009 	 Nice Hotel 	 recently stay 4 night decent stay ( 2nd stay ) . upon arrival room bottle water / fish cookie / note staff ( nice touch ) . room nice dark . wall thin hear neighbor . 4th floor ( top floor ) . room even though 2nd 3rd floor still street level hotel hill careful not want close street level . heavy foot traffic area noisey bother we . double vanity suite . Valet $ 45 / night . self park nearby $ 30 / night . park several night without need car , lose ticket pay max 1 night ( self park ) . valet mess stay . request car 15 minute ahead time get downstair , car . proceeded wait another 10 minute still car . ask valet person deal , tell never get request car . go inside ask front desk person speak , call car clue . basically blame mistake . quick dial phone not work room . call front desk request ( valet / bell / maid service ) . internet connection slow . room nice view bay , roomy , clean comfortable . front doorman nice previous review . free wine 5 - 6pm . 
 May 19 2009 	 treat 	 stay four night @ 250.00 / night rate . wonderful staff , wonderful location . clean , cute room . staff management friendly , smart helpful . adjoining restaurant , Blue Mermaid good . pet friendly . free wine ( good wine ) 5 - 7 pm week night . highly recommend hotel . 
 may 10 2009 	 lovely hotel great location 	 location hotel quieter end Fisherman 's wharf build beautiful conversion . whole hotel hotel immaculate . room spacious decor garish expect photo ! staff excellent service could fault . love fact hair straightener include list item could request reception free ! hotel put drink reception evening free wine , not get chance try seem busy . can not fault hotel would highly recommend . 
 may 7 2009 	 lovely place stay 	 huge , well - furnish room . Decor work far well thought might picture . evening wine - taste also nice touch . good location Fishermens ' Wharf near tram bus stop . 
 May 7 2009 	 great trendy hotel 	 husband stay first part honeymoon . neither we San Francisco , location Argonaut extremely convenient . could walk couple block see many great thing San Francisco . room clean unique expose brick wall . service excellent . definitely one favorite hotel ever . 
 May 4 2009 	 great location - Fab Hotel ! 	 great hotel right middle Fishermans Wharf area , view Alcatraz front hotel old tram leave hotel , sorry nearly forget Ghiardelli Chocolate shop block two away ... location great base see San Fran beware food / drink area tourist rate make sure wallet ready busy time . room standard queen ( see photo ) - quirky nautical theme love , big room great bed , good quality linen / pillow etc - help jet lag . bathroom good quality , big enough two share Aveda toiletry boot , bath quite big enough two perhaps large room case . Front desk staff friendliest meet trip – smile would go miss . job complaint . valet busy chap ok ... grumble price ... $ 6 advertise per night + sale tax expensive luxury , cheap parking find ' mind lack valet . food – Blue Mermaid good starter , staff great ( brain get special mention ) House Chowder – Crab Corn ... ' yummy ' ! eatery complex also good incl . Las Margaritas ( mexican ) good quality spicy ! food reccs . pier 39 ' Eagles Nest ' ( 2nd floor ) fantastic breakfast , hash / french toast combo awesome . trip – open bus tour , great 2 day hop on / hop ticket ( highly recommend ) also Alcatraz tour fab ( leave Pier 33 think ) beware must book advance especially busy time . 
 May 3 2009 	 Excellent Service friendly staff great location elegant 	 hotel past 4 year business trip . even far business meeting close hotel , still choose elegant hotel . need travel downtown , walk 1 block take Bus # 30 , since Cable Car maybe long wait . Taxi always possibility . like part city see people commute part citcy . stay hotel 2 kid wife past 2 year . kid love hotel goody could select kid 's thresure chest front desk . hotel clean , secure , elegant offer really work free internet access ( wire ) . time request upgrade well room manager friendly accomodated request . , first choice travel San Francisco . also , hotel 's restaurant decent good quality food celan . eat fish sandwitch never dissapointe . I highly recommend hotel . 
 May 2 2009 	 Convenient 	 stay one night Argonaut Hotel . not get room view , outside window , see wall . , 4th floor , quiet . room nice . especially enjoy showerhead . good write model number order one online . location great easy access Fisherman 's Wharf excellent restaurant . walk Gary Danko Ghirardelli Square , two favorite place . downside cost valet parking . car not want park street public lot ' m sure allow park overnight . 
 May 1 2009 	 Awesome 	 husband stay hotel April 18 - 23 , unexpectedly April 27 - 29 . nothing hotel fault . amenity , helpful staff , cleanliness room hotel general describe first class . moment walk room lovely start finish . Queen Queen Bay View room look window could see Alcatraz . , , really site behold . would San Francisco 's good keep secret . advise friend travel area place stay . second return miss connect flight booking room 2 am , staff helpful sympathetic even give we outside view room view city . nice stay second return feel like go back home . beautiful . thank staff make stay pleasurable ! 
 Apr 30 2009 	 Excellent - staff location surrounding - can not fault ! 	 far action Fishermans Wharf , close enough enjoy without drummed throat day , close cable car - great way travel ! friendly , helpful staff - good ' ve come accross time ' ve travelled- would certainly go back stay return San Francisco . room brilliant - free daily wine taste good meeting place - even apple juice non drinker .... many ... ' ve never experience place staff excell customer relation - not come accross one person not helpful , cheerful , ( seem ) happy working - rub - even grumpy jet lag brit arrive be long haul flight polite ! concierge fantastic - ask direct we local restauraunt could accomodate 6 we without booking- send we Nan King financial district - have read review would not go - go wonderful place full atmosphere ! owner give we menus - decide new take we bring we 7 delicious course ever taste - dumpling really something else - beer total $ 140 - cheap meal San Francisco - full - ' ve ignore review ( queue ! ) go - admittedly 40 - 50 min - stand line 10 min wait table queue really grow left . 
 Apr 28 2009 	 awful Start Finish 	 first let say stay six Kimpton property . ' m say tell manager check . stay begin ignore two bell man try pick girl walk . woman check we OK . reserve bay view room . tell second floor ask room available . say . room small view build across street . wall paper thin . sheet dirty bathroom hair tub . phone work . hear phone ring people conversation easily wall . think one thing good say stay except one night . 
 Apr 28 2009 	 great location Best hotel Fishermans Warf 	 stay Argonaut Hotel 3 night . opt room view Alcatraz Island . disappoint ( see photo ) . hotel locate opposite maritime museum could see old ship window . hotel locate Fisherman ' warf great spot handy tram , ton place eat price range usual tourist shop . there also place hire bike right next door . do eat hotels restaurant expensive , opposite side road great seafood restaurant reasonably price great staff . wine reception hold lobby guest nice idea wine offer good . room fairly large bathroom tiny , also wall hotel thin , place use old warehouse alot wall make wood . hotel pet friendly lot guest dog they . the hotel great atmosphere staff friendly helpfulIf stay San Francisco would stay Argonaut . we look hotel area Argonaut opinion well situate . a pleasant stayenjoy ! 
 Apr 26 2009 	 romantic hotel great location 	 staff hotel courteous helpful . room little small hotel , charming bed comfortable . room bay view romantic wake every morning . hotel close many attraction wharf cable car turnaround next door . complaint lukewarm water ( tell pipe work ) high parking cost . 
 Apr 24 2009 	 wonderful hotel 	 firstly , room huge comparison many hotel city practically suite size . decor nice , well suited nautical theme establishment location along Warf . bed extremely comfortable linen high quality . toiletry bathroom provide Aveda , offer lovely brand natural product . service hotel fine , say , not service outstanding nature - everyone polite accommodating . valet parking service touch expensive , $ 43 per night , take long time get car morning . tell go collect car take 15 minute , think bit long - minor complaint . certainly stay hotel recommend friend . great location walk around Warf go great restaurant , bar sightseeing option along water . 
 Apr 23 2009 	 Great Hotel fantastic service 	 spend 4 night end trip memory lane Dad . write ahead ask room view first time California 45 yrs ( live Ireland ) . arrive great room view complimentary wine welcome us long drive LA . staff friendly thoughtful like hotel character another hotel - by - number , . location great wharf also cable car street car get near Union Square . would definitely stay . 
 Apr 21 2009 	 GREAT HOTEL GREAT LOCATION COMFORTABLE 	 return 3 glorious day SF stay Argonaut . 2 connect queen room 3rd floor everything perfect . quality decor , cleanliness quietness room ensure plenty rest . nice Aveda toiletrie bathroom comlimentary tea / coffee facility treat - rare USA hotel ! Mermaid restaurant next door serve wonderful breakfast good french Toast ever ! . location simply well - overlook Hyde Beach opposite terminal cable car . staff friendly helpful every way - everything go together smoothly . in term near restaurant - try Cuppuros accross road good italian fare favourite far SCOMAS - excellent seafood great atmosphere market ! . would recommend hotel anytime - love ! thank ! ! 
 Apr 17 2009 	 wonderful Stay ! 	 wife complete 5 day stay Argonaut hotel absolutely love ! stayed & quot ; city view & quot ; room overlook neighboring courtyard area . day actually serenade musician ! hotel room comfortable , large , modern , smartly decorate clean . also enjoy nightly social hour , meet lot nice people share many story glass wine . the staff first rate- always smile , friendly never let we walk without greet we . I travel moderately business result stay fair share hotel . first rate hotel exceed expectation ! would highly recommend hotel other . 
 Apr 17 2009 	 great location outskirt touristy area . 	 hotel great location be right edge tourist area , close enough walk anywhere . hotel nice nautical decor . room clean large cozy bed high quality linen . also free internet service . picky cleanliness hotel would give 5 star , room smell fresh clean perfect condition . big downfall hotel noise . could hear people talk room next door not need turn tv could hear perfectly . would say wall thin ! another problem 3rd floor kid run back forth us midnight . complain front desk send security room noise stop shortly thereafter . finally think peace quiet start hear rap music loud bass ( boom ! boom ! ) . outside window face side street . call front desk tell we could not anything call Police . well , answer want hear . tell not go pay room would speak manager morning . phone rang 15 minute later send security outside find cause boom ! boom ! find car park street . finally call police noise go , 1 am needless say terrible night sleep . next day manager nice offer we room 4th floor ( top floor ) view bay . move quiet much enjoyable stay . staff friendly although not concierge ask restaurant suggestion front desk knowledgeable . helpful , friendly knowledgeable person doorman . sure name , wonderful offer great advice go . right Fisherman 's Wharf , Ghiradelli Square , Pier 39 , cablecar turnaround walk anywhere location . actually take cablecar Chinatown walk back hotel . 's great area rent bike ride Golden Gate Bridge . would recommend hotel , stay 4th floor want peaceful night sleep ! 
 Apr 14 2009 	 Loud Tourist area 	 ' expensive hotel , still well option would probably well suit girlfriend . want switch hotel location , financial district / union square area water , guy play drum across street , kid scream next door , kid back flip we would prefer something less family / touristy go slightly mature scene . give free wine Lobby probably numb kid yell . pro view Alcatraz , price fair , tourist fun least 1 hour fair amount T - shirt shop , tour dungeness crab place . con nautical theme might drive insane take psychedelic drug , loud , tourist Traps heavy number . next time going stay away area . 
 Apr 14 2009 	 Argonaut - perfect family ! 	 work travel documentary producer last 10 year , stay share international hotel . however , service level Argonaut display family four turn April , blow away . enter hotel , everything & quot ; yes , TAKE CARE & quot ; . unlike posh 5 - star hotel , absolutely stiff upper lip . room ( no.444 ) beautiful , big enough family . also great view Golden Gate Bridge . free wine taste lobby 5 pm 6 pm brilliant move , make easy natural guest mingle meet totaly relax environment . location excellent , short walk kind public transport , fringe tourist area . make easy avoid touristy area , time , give access plus side location . plan stay San Francisco , recommend Argonaut heart , superb perfect establishment close 5 4 star . 
 Apr 11 2009 	 everything hope ! 	 want meet family , comfortable / quiet see Bay . tremendous stay meet exceed criterion . every staff person friendly helpful - especially John Doorman . room gorgeous , top floor Bay view . roomy enjoy nautical theme . shutter keep light night . part wharf quiet - outside inside noise . bed comfortable ! location allow we walk around see lot . enjoyable - return ! 
 Apr 9 2009 	 great SF find would stay 	 grow SF Bay Area stay city many time . teenage daughter want make quick trip city spring break find incredible rate Argonaut Expedia decide go . stay one night April 6 , 2009 . review mention , staff excellent . leave cell phone car valet take park , phone back bell desk 10 minute . lot kid hotel ( spring break ) family us kid stomp around . call operator ask could contact room noise stop within five minute . rest experience great , hotel overall quiet especially compare many hotel around Union Square hear garbage truck middle night . downside not water ( filter otherwise ) workout room ... hotel caliber provide . otherwise , would hesitate stay ! 
 Apr 8 2009 	 Nice hotel location thin WALLS 	 good hotel comfortable bed stellar location , especially family . loved decor , wine tasting , proximity run bike path well cable car main transportation line . wall like paper . stay teenaged daughter wake every morning ( middle night ) amorous neighbor . side family young child .. also loud . really not loud could hear everything ! hesitantly recommend hotel hard management guarantee quiet room . 
 Apr 5 2009 	 great place stay 	 like reviewer , lot search book Hotel Argonaut March 18 - 21 . favour hotel near Union Square partner want near water . many year ago would stay Fisherman 's wharf figure Hotel Argonaut far enough away tourist & quot ; tackiness & quot ; .Got think good price expedia.com 4 * SF hotel . miss Deluxe King Room book Standard King . need somewhere really comfortable long haul flight disappoint . arrive late morning warmly greet John Doorman ( be nautical pith helmet ? ? ) Kevin Porter , pleased find room ready . desk clerk allocate we & quot ; quiet room top floor & quot ; certainly be . the room big expect comfortably furnish . bathroom good size lovely Aveda toiletry . all staff deal friendly helpful . evening Doorman ( sorry , not remember name ) suggest italian restaurant nearby delightful food delicious . I ' m sorry travelrunner bad experience day we . hotel Argonaut everything hope . room blissfuly quiet ( unlike have stay Union Square ! ) , bed super comfortable convenient location . 
 Apr 3 2009 	 Fun hotel 	 stay week fantastic stay . the bed pillow extremely soft comfortable , room spotlessly clean well decorate , well stocked mini bar , tv , dvd game console . really nice touch wine hour . bur good staff , great doorman Steve , Kevin , Brett other whose name not get , worth special mention , could not get well . also want thank Jose top wine glass , thank much . excellent hotel well position see SF . 
 Mar 30 2009 	 Fantastic Hotel 	 lot research opt hotel believe disappoint ! bill boutique hotel certainly be . excellent theming , polite corteous staff , great size room good amenity ( inc . starbuck filter coffee ! ) . great location visit sight get around . large room overlook courtyard leave side hotel couple occasion even treat music say courtyard - pleasant . couple breakfast hotel ok many choice around problem . no hesitation recommend . 
 Mar 29 2009 	 back sure ! 	 spend 3 night Argonaut love everything . husband , 17 year old 13 year old room 2 queen bed plenty room . love brick wood beam room - it completely different hotel stay . bathroom not huge adequate shower great pressure . Liked Aveda bath product . negative room could hear kid floor we run around early morning . People elevator comment well . far staff go , really enjoy bellman , especially Ernie Kevin , go way nice we time walk thru lobby . husband enjoy wine hour lot people . the good thing location hotel . Hyde street pier across street , Hyde street cable car right next door Buena Vista ( enjoy irish coffee ) Ghiradelli Square close Fisherman 's Wharf short walk away . enjoy Ben Jerry 's property N Burger next block . also rent bike Blazing Saddles ( property well ) bike Golden Gate bridge . stay next visit San Francisco . thing hotel need kid eye pool , much S.F . need . 
 Mar 23 2009 	 great stay 	 partner stay 3 night first leg 3 city tour . staff , especially doormen exceptional - helpful , patient informative . standard room good size . marine theme decor nice touch huge circular mirror partner love . complimentary evening wine taste front open fire place enjoyable . hotel place good location middle hustle bustle close enough action . pier 39 short walk away well Ghirardelli Square tram stop Union Square . try check & quot ; Dirty Martini & quot ; wine bar come night club , locate around corner . the downside view room - window room hotel . concerned stay short time spend much time room . 
 Mar 21 2009 	 comfortable fun launch point explore San Francisco 	 wife spend five night two teenage daughter . true Argonaut tourist area , far west end away concentration T - shirt shop junky store still within walk distance meeting point tour cruise . hotel great location adjacent National Park , historic ship , beautiful waterfront park view bay . one great thing location proximity cable car turnaround ( step ) , F Line electric trolley ( two block ) , number 30 bus ( two street south ) go Marina neighborhood , North Beach ( italian ) , past Chinatown Union Square area . think get well feel city stay use various form public transportation take we many different neighborhood part town . ( highly recommend multi - day muni pass cover public transportation . ) first room restaurant could hear restaurant music . complain , immediately move another room find quiet comfortable week . staff friendly helpful - encounter bad attitude . wife agree would come back Argonaut even come without kid . use hotel restaurant room service . 
 Mar 21 2009 	 great choice 	 great hotel , clean , large room , get one face Golden gate bridge cable car turn around . staff helpful friendly . PERFECT location , cable car door , bus one block away another cable car 4 block away , trolley line two block away . get muni pass . stay three night March 16 - 19th could well , 
 Mar 21 2009 	 Great Hotel- definitely stay 	 great two night stay Dec 2008 . hotel staff accomodate 18 month old- provide cot , toy stroller . staff friendly upbeat . room also upgrade . dissappointment food downstairs restaurant- way expensive meet expectation . 
 Mar 15 2009 	 Nice hotel ... 	 review say , hotel loud . stay room 240 St Patricks Day weekend , perhaps not always noisy . people we stomp around night . man hall scream obscenity . need wake 5:30am race . noise not sleep even though bed comfortable . hotel beautiful & amp ; fun , probably would chose stay loud . 
 Mar 15 2009 	 Great Rooms Exceptional Service 	 girlfriend stay November 2007 . room great . room tad small bathroom nice . room clean . entire staff exceptional . staff always willing go extra mile bend backwards . highly recommend . 
 Mar 15 2009 	 Excellent hotel 	 thoroughly recommend Argonaut Hotel would stay . book room 5 night Feb en route UK ski trip Utah . request quiet room advance please situate away elevator towards end corridor . view internal courtyard matter quiet important feature we . enjoy 5 pm wine reception helped break ice chat traveller around welcome fire reception . we find location excellent end Powell -Hyde cable car free ride purchase City Pass . well worth $ 59 cost entrance several museum include Alcatraz well unlimited public transport week . all staff welcome helpful especially manager respond promptly direct advance email seek advice transfer etc . 
 Mar 11 2009 	 great Stay . 	 sometimes hotel stay go well simply much say . staff management Argonaut great job make hotel confortable place stay . evening wine tasting lobby great extra good way connect guest . stay Argonaut 3 night find clean quiet . location can not beat even take time get away tourist area interesting place quick taxi ride away . we would highly recommend Argonaut other . 
 Mar 10 2009 	 great room helpful efficient staff fantastic city 	 five we stay 3 day February , book double room ( husband ) triple room ( daughter partner son ) . arrive reception 10 hour flight UK impress immediately , checking - in take 2 min present voucher continental breakfast stay ( husband see hotel website think people book directly hotel , therefore pleasantly surprised find everyone stay hotel February give voucher ) .Our room lovely large everything could think i - pod docking station coffee maker . realise leave straightener home therefore telephone reception ask , within 10 min set deliver room use whole time stay - fantastic service . triple room roomy two queen sized bed ample three people . courtyard view though great not bother we plan sightseeing time there . after long day sightseeing pleasure get back room bed comfortable ( every hotel stay stay state comfortable bed ) could sleep late morning . continental breakfast UK usually croissant coffee maybe fruit juice , Argonaut . choice fruit juice either muffin , croissant toast , three we go toast two go croissant . food arrive delicious fruit bowl fresh fruit tasty four slice toast pot butter jam , croissant huge . plan continental breakfast eat something bit substantial later , need really set we day . at 6 pm wine taste lounge , manage get one night lovely fantastic way start evening . the staff hotel really helpful reception staff concierge John doorman manage pack five large suitcase 4x4 2 minute ( take we half hour leave ! ! ! ) .The Argonaut situate right Fishermans Wharf want , cable car terminus across street really nice bar restaurant along road hotel . prefer shopping hotel near Union Square would better you . San Francisco beautiful city people friendly helpful sad leave three day say ( ) return S.F . would definitely stay Argonaut . 
 Mar 4 2009 	 terrific experience 	 attend conference Argonaut stay hotel well . stretch nautical theme far humanly possible , staff service great . large room , great view bay convenient SF wharf area . need take cab public transportation want go downtown restaurant , concierge doorman helpful get transportation . 
 Mar 3 2009 	 great location beautiful hotel ... 	 2 full day San Francisco . three night stay hotel . hotel well keep , spotless fact , nautical theme / design pleasing eye , endear . require hotel service soon arrive , since forget bring key unlock luggage . within minute call reception maintence guy come help we . prompt service ! room spacious , king bed ( view - choose king bed instead view , since would outside sightseeing anyway ) . location great access everything need activity ... start cable car line block away ( never hear bell ringing room ) , public transport line ( F line ) also couple block away . pier 39 10 - 15 min walk away , be pleasant stroll take sight shop . bicycle hire shopfront right next door Argonaut , aswell another one block away - great since decide last minute would bike Golden Gate bridge one day . hotel restaurant - blue Mermaid - tasty crab & amp ; corn chowder , order room service final night due busy day schedule ... food Blue Mermaid - great meal . busy out - and - about take advantage daily free wine hour hotel offer 5 - 6pm . 's nice touch would indulged , time . enjoyed stay SF quiet retreat beautiful hotel room make enjoyable relax busy day sight - seeing . highly recommend Hotel stay SF . 
 Mar 1 2009 	 Novelty style fun first time visit San Francisco expensive overrate . 	 stay Argonaut Hotel last week February 09 family vacation . boy , age 8 & amp ; 11 , want see Golden Gate Bridge , watch Expedia deal plane ticket & amp ; hotel accomodation trip combination come special price . seem like would great overall value we . read lot great review Argonaut Hotel , figure long get great price trip , would certainly great time , well . we book queen / queen room view bridge . warn -- be quite distance away , not plan great photo room -- could not even see sometimes , fog . room seem really small -- enough table surface , 4 we stumble whole time . be definitely small comparable room regular chain hotel room . bathroom not even lock -- pocket door , be exhaust fan , either . shower great , though , will let part make rest . ok , 's boutique hotel , room not go . well , amount money spend room , would hope least get pastry muffin morning , alas , even cold continental breakfast cost extra , mean ~plenty~ extra . prepare leave hotel want get food even halfway reasonable price . get late first night get dinner anywhere around , order room service else starve ... two pathetic chicken & amp ; cheese quesadilla cost we nearly $ 30 . good way start stay . staff nice enough , willing direct place get less expensive meal offer there . I also not find location convenient amenity Fisherman 's Wharf hope would , either . everything want several block away , Jefferson Street close Pier 39 , example . get pier Alcatraz Cruises exceptionally long haul . suppose depends be look be . , would spend money well location food rather novelty hype , really not worth we . 
 Feb 28 2009 	 great location unique decor 	 stay King Deluxe room overlook Cannery Park . got great rate Travelzoo . Loved stay ... especially bike across Golden Gate Bridge beyond Sausalito Tiburon ... back SF ferry ! get massage Susanne Beach Street ( much well deal hotel ... $ 75 hour ) staff nice hotel .. issue ask get airport public transportation . staff keep pressure we take taxi shuttle instead BART . end find way take bit long save money bit adventure .... spend money save lunch ! great hotel would definitely return . Fisherman 's Wharf middle touristy area . one end next door cable car . even Ben Jerry 's Starbuck 's building make we happy : ) highly recommend hotel ! 
