disappoint 	 rude staff ; good value price ; security check go room ; small & amp ; claustrophobic room ; inconvenient bed ; loud music bar first floor could fourth floor late night . go . 
 Cool hotel great location 2 minor fault 	 really enjoy stay hotel , be perfectly place explore Central Park , Empire State , Rockerfeller , Times Square 5th Avenue , within walking distance . room cosy yet funky , although two minor fault are:1 ) light bathroom bright enough - could barely see apply make - up come back bushy eyebrow ! 2 ) towel rail hook hang towel , not dry properly use . would not wash often somewhere dry . 
 perfect hotel perfect location 	 first time stay New York hotel first plus ! nice welcome , helpfull , attend , ... room spotless , spacey ( stay Queen room ) , breakfast large variety choice hotel amenity ( pool ! ) perfect ! would definitely go back . 
 Good Hotel avoid room number number 205 ! ! ! 	 hotel great location , clean small nice room , medium size good breakfast ... first stay room 305 bar run music 2 am level difficulty talk room ... argument receptionist , could finally move another nice room fifth floor . we recommend hotel make sure room third floor … . 
 little gem times square 	 stay 5 night begin honeymoon . not expect great deal 3 * hotel heart Times Square , however , pleasantly surprised ! ! arrival , reception staff friendly helpful offer we help advice make short time New York . take elevator 10th floor , first impression hotel look bit & quot ; motel - like & quot ; neon orange lighting , deceive . room compact well design little storage area bed , plasma tv , dvd player , ipod docking station , telephone , aircon , iron , hairdryer , self - stockable mini bar , wetroom separate toilet . room well maintain clean towel daily . bed comfortable bed ever suspend high window look crazy NYC comfort duvet ! hotel offer we continental breakfast ( think room basis ) , yummy ... pastry sweet savory , fresh fruit , cereal , egg , tea , coffee , toast , juice etc . serve 06.00 - 12.00 ! pool really lovely touch soothe ache foot sightseeing ... complaint would temperature need bring degree ! sauna steam room ! pool clean , music playing , swim - up bar , twinkly light ... honestly feel part hotel many guest miss enjoyment , could not understand ? ? ! ! highly recommend hotel , location perfect ! A+ 
 May 19 2009 	 Cool decor 	 first let start say love design vibe hotel . hat creative team come design idea keep mesmorize walk around hotel . lobby : Cool lot orange . giant aerial photograph Manhatten wall , view pool area neat little check - in , tell also double & quot ; room 's mini - bar & quot ; . magazine , drink snack available purchase desk . I arrive early , room ready yet , Christian store bag day . return around 6:00 p.m . quickly give room key . soon get elevator realize give smoking room , call desk quickly fix . hotel long ask check guest prefer smoke non ? room 1201 , pay $ 120 Hotwire.com . immediately drop bag take next 30 minute explore various feature room . truly unique design really good idea , although building perspective idea seem impractical . the shower ( tub reviewer 's state ) light . even light vanity light toilet area still quite dark . shower drain work slowly , due design bathroom , water flow vanity area toilet area . mean remainder evening use toilet one cross wet floor shower . the wood trim around base toilet room pocket door also seem suffer water damage due design shower area . the toiletry , , unique . however , try use product , liquid inside flow . bottle impossible squeeze due design shape bottle . I really like idea dimmer bathroom light . double night light evening . another reviewer state , little water pressure shower . shower head look great , , design stop short actually pratical . the slide glass door also nice touch . bad security device stop door open inch . render balcony outside unusable , guess idea first place . there fridge safe room . the air conditioning , although good , loud . loud mechanical way , loud massive wind turbine way . a / c powerful , maybe fan little powerful . complimentary apple room nice touch , daily forcaste weather card bed . nice clock radio/ iPod docking station . the platform bed cool practical . great way enlarge typically small NYC hotel room . load luggage storage bed , room 's build dvd player also build in . the bed soft comfortable . many reviewer complain breakfast . since european hotel , find breakfast keep exactly one would find travel Europe . great espresso machine , juice , yogurt fruit make muslii , bread toast bagel . also cold cut cheese . think quite nice touch free , NYC always welcome . breakfast crew great job stocking thing , clean , generally keep thing move . , design breakfast room amazing , overlook pool skylight let natural light . seating make difficult eat without make mess . the pool area center piece hotel . located 1/2 way first second floor , visible lobby ( even street ) , breakfast room , bar , steam room . double bar , lounge , sport bar ( big screen projection wall pool show sporting event ) . stadium seat area pool area comfortably equip cushion lounge chair . in short , hotel one experience truly appreciate 's unique nature charm . 
 May 17 2009 	 Hipster Hotel bustle Midtown 	 highly recommend look great location , rate scenester feel . though small , room attractive comfortable . hotel simply cool perfect short trip heart city . breakfast tasty always crowd . nightlife hop even Monday . staff extremely friendly helpful . stay . 
 May 9 2009 	 small good 	 hotel compact . get lot small space . bed comfy . room comfortable good feature , ipod dock , fridge , heat control . great view 4th floor , times square , do not expect much . super clean . blanket duvet look bit suspect also untreated water damage around bathroom . fun comfortable place stay . 
 May 7 2009 	 nice 	 overall hotel ok . enough space ( bed , toilette , shower ) , exept breakfast room , people wait find table also breakfast - buffet , could hardly turn around , food good . arrive saturday stay 1 week . 7 night could hear music bar party first floor 2 o´clock morning ( third floor ) . disappointing issue pay shuttle bring we airport , wait 30 min shuttle . 
 May 6 2009 	 Hip Hotel without try hard 	 great fun hotel ! Tim front desk , everyone , friendly helpful . great place young hip set not feel like stay Aunty Rose 's house ( Marriott style ) ! ! ! ! ! ! ! perfect location -- step Times Square . make sure room not pool bar plan sleep in~~ 
 May 6 2009 	 great price fantastic location friendly staff 	 can not get nearer Times Sq hotel , room small luggage tuck platform bed , room clean bed ultra comfortable , love rain shower . staff friendly helpful , breakfast small good enough . music loud be room can not hear . , price reasonable . will definitely come back ... 
 May 5 2009 	 promise lot 's quite different real 	 room small , actually small price pay . be chair de room small write . bed take space . enough space hang / space clothe . Bathroom ok , shower terrible : be hardly waterpressure big showerhead . offer bath , offer good shower ! hotel offer swimmingpool , sauna steamroom . many time could not use space reserverd private party ! nice relaxation long day walk shopping NY . breakfast nice , be hardly space sit ! wait long time table , take plate take breakfast room sit pool ! think promise lot , be big dissapointment real . think pay much ! 
 May 4 2009 	 Room Mate Grace Fabulous 	 Perfect location , courteous friendly staff , room clean , kind small well appoint , love Eurpoean vibe hotel , breakfast wonderful . 
 May 3 2009 	 Great Location Tiny Room Funky Place 	 frequent city , accustomed small average room size . , however , small room ( even upgrade ) . room appoint OK . internet flaky . lobby cool . care Monday night pool party activity . night fine . location price terrific . bar restaurant next door , Times Square around corner . gym joke - Central Park close enough great run . would recommend someone plan room look place stay close Times Square . need conduct business require bed room , may want consider other area . 
 May 2 2009 	 great room reasonable price . level can not find well room . 	 love stay hotel everything hotel . room nicely decorate layout room excellent . good , mattress ultra comfortable . love nice feel egytian cotton linen . the plus free WIFI useful . soap shampoo get nice packaging smell lovely . great frill taste luxury top . if go NYC , go hotel . highly recommend ! 
 May 2 2009 	 well service reception . 	 well service reception . well service reception . well service reception . well service reception . well service reception . well service reception . 
 Apr 30 2009 	 shoebox close broadway 	 room even small describe platfor bed take 1/2 room . cushion shape couch foot platform face away tv one could use . single plastic chair tiny table small eat . light poor . open shower curtain & amp ; tiny piece soap & amp ; shampoo . 3 star advertize . 
 Apr 29 2009 	 small room funky hotel great location 	 Hotel basically Times Square , good location unless want avoid tourist . room small 's expect NYC . Hotel well - decorate pool / bar unique touch ( though B & amp ; ) . breakfast good . fitness center 2 bike would never use pool swim lap ( likely someone spill drink previous night ) .We spotty maid service overall happy hotel . 
 Apr 29 2009 	 good hotel good price 	 appreciate cleanliness room , , comfort bed - really first class . petite room really small fine need , bathroom good . like buffet breakfast set . staff helpful , little overwhelmed time number guest require attention . location , Times Square short walk Fifth Avenue , handy . criticism would light room particularly bathroom . , dim useless put make - up ! would stay would specifically request well lighting . 
 Apr 26 2009 	 Living Grace ! 	 like hotel , quite enough sized room comfy bed nice staff ! though hotel bar , saunas pool really trendy cool , disturb night sleep ( want ) . great , good night 's sleep , serve nice continental breakfast second floor . great location , Time Square . staff really helpful maid really nice , forth . 
 Apr 25 2009 	 club hotel 	 idea Grace cool bar well hotel . pool attract kind record spinning night hip - hop , tequila launch gay disco . interesting come back hotel late night find downstair bar pool still busy . add coolness already great trip . ; let put - rarely hang around long ... noise nowhere feel upstairs room . the hotel well lay - wet room shower flat screen tv etc etc . breakfast ( include ) actually delicious croissant bagel , well choice cereal plenty fruit . staff front desk ( also kiosk - style shop selling drink confectionary friendly hip New Yorkers helpful . 
 Apr 18 2009 	 Excellent Stay -- highly recommend 	 get great deal Travelzoo could not resist . clean , comfortable , good breakfast , quiet room , close heart NYC . pool , sauna steam room perfect way unwind chilly weather walk . perfect stay . 
 Apr 17 2009 	 trendy hotel close Times Square 	 wife spend weekend NYC enjoy stay Room Mate Grace . however , like hotel room NYC , fairly small . however , expect , ok . 's less block Times Square near TKTS booth , case look cheap , same - day theater ticket . room : mention , room small ( clean ) fairly trendy - rest hotel . room bathtub nice tiled shower instead . shower toilet adjacent ( separate wall ) use slide door . door cover shower , cover toilet area vice versa . room also safe big enough laptop , small refrigerator , iPod - compatible radio free WiFi . also include small flat screen tv , instal wall , watch tv bed . Exercise Room : small include exercise bike weight . also small tv room , attach machine . room overlooks 45th street window shaded privacy . room also include water cooler . food / Drink / other : hotel restaurant serve breakfast area dedicate . serve coffee , toast / bagel , fruit , yogurt , etc . front desk sell limited selection snack drink ( include alcoholic drink ) . bar adjacent pool , always appear open . think could even get drink pool . not try pool bar look nice . also sauna / steam room pool area . , nice yet trendy hotel . everything clean , great . 
 Apr 17 2009 	 Great Hotel Great Location 	 enjoy four day visit New York Easter weekend family , stay make well experience stay Room Mate Grace Hotel . great location Times Square within minute stroll 5th Avenue . staff friendly helpfull , maid service excellent . room small european standard price comfortable non less efficiently lay . bed must comfortable ever sleep 48 year old bad back be say something . breakfast add bonus , extensive enough choice keep everyone happy . would recommend hotel anyone , cheap ( $ 240 / room / night ) term New York price well worth . 
 Apr 14 2009 	 Great Hotel near perfect location . 	 love stay , standard room big room NY . comfy bed , great breakfast free coffee day . pool area Steam room great busy day set nicely evening . would defo recommend hotel £ 100 night easter pretty much bargain ny . great trip stay . 
 Apr 8 2009 	 great value near Times Sq . 	 stay smoking room b / c non - smoking room , bad . small smartly decorate , modern room . 
 Apr 4 2009 	 planning next trip already - definitely stay ! 	 look around forever find hotel short trip NYC . go alone , know want something safe near Times Square business . show way check - in . bag store offer take cell number call room ready . get room ( guarantee check time ) , shocked - thought must upgrade petite room . ( check check indeed petit room - corner little large . ) small dessert table two chair , well huge bathroom . yes , one room toilet , large counter sink , two rainfall shower head . lot lot hot water encounter problem water pressure . room thermostat could control room temp ( take advantage ! ) . info book helpful - local place ( menus ) recommend ( deliver hotel ) , hotel info , well tv info . free wifi ( get code front desk ) fast problem . in - room safe small fridge awesome use problem . small closet offer safe fridge , small ironing board iron , extra linen , hair dryer , small set plastic drawer storage ) . bed ... beyond word . could stayed day . under - the - bed storage smart easily use . room quiet ( 5th floor , room 501 ) bother . location ideal want near action , away craziness Times Square . breakfast awesome . typical egg / hashbrown - instead offer cereal milk , bagel , bread , pastry , deli meat cheese , orange juice , huge coffee machine ( ' m coffee drinker , look impressive ) , fresh fruit ( raspberry , blueberry , pear , orange , banana ) , yogurt . go later ( 9 10 ) not crowd . Monday night , DJ pool / bar area . could hear walk , hear nothing elevator . check room key be go upstairs , like . check breeze - ask need bag store ( yes , please ! ) either shuttle / car / cab airport . everyone encounter polite , helpful other , different hotel . drawback find - door / window & quot ; balcony & quot ; drafty . though , keep curtain pull , fine . ' m already dream next trip city , stay . 
 Apr 2 2009 	 great find ! 	 hotel great location , 45th 6 7th ... perfect everything . breakfast awesome healthy , huge bowl raspberry blueberry , fresh yogurt bagel , excellent coffee . staff nice friendly helpful . room clean large bunk bed overhead huge bathroom shower . negative window porthole , overlook building pipe . everything want sleeping , breakfast change theater . loved hotel ! 
 Apr 1 2009 	 Location Location Location ! ! ! 	 grace 4 day 3 night . nice little european style boutique hotel . location ideal . situate half block action Times Square . theatre buff , location ideal . number Broadway show 45th , cross 7th . rest one two block either direction . couple cool pub literally next door couple little market / cafe type place right . room small stay NYC , know get . basically bed bathroom , need . bed great however bathroom little odd . rainfall shower head artsy functional . bald , worry , girlfriend could wash hair , might issue . shower curtain either . hotel sparce cool . nice look pool / function area . DJ / bar / pool thing rather quirky make great people watch . allow people outside pay cover party pool / bar . get pretty rockin ' . would recommend get high floor get away noise . good & quot ; deal & quot ; continental breakfast . Food NYC pricey free breakfast nice selection food morning cool . pretty nice espresso cappuccino machine , . open late , ... 11 week noon weekend . gym , small . 2 exercise bike , hand weight ( 5 25 lbs ) , excercise band ball . get decent little workout , would typically like . voucher something daily admission Gold 's Gym MIdtown . staff friendly awesome experience . would say goal place crash refresh , place . 
 Mar 31 2009 	 Freaky Weird Fun ! ! ! 	 oddball hotel . fact , be even kinda weird refer place hotel , 's part night spot , part people watch place , part mini - mart , part hotel . arrive get good rate pre - pay couple day leave Indiana . hotel near Times Square lot lovable feature : -mini - fridge in - room safe ( fridge CLEAR safe candy apple red ! ) -my room feature sleeping quarter 4 , 2 set plush bunk bed , be separate television could literally pull wall mount inch face lie bed . yes , four separate tv 's room.-rainfall showerhead , separate room toilet.-include continental breakfast FANTASTIC ! ! ! ! fresh croissant , ham cheese , blueberry raspberry , cereal , yogurt , OJ ( murderer , juice ! ) , good selection breads.-include top - of - the - line cappacino machine would find Williams - Sonoma store probably $ 2,000.00 . free latte , espressos , etc include free breakfast.-awesome steam room , tiny fun pool , little workout room sauna.- got to love free internet ! ! ! among negative hotel : -breakfast room get crowd insufficient seating.-lighte hallway hotel dim . actually hard see bit depressing hallway , quite honest ! -Because tv 's set , actually difficult room watch tv together.-staff friendly , somewhat aloof unless be go way engage conversation . the next comment criticism , merely observation . hotel cater fair amount gay couple international tourist . , criticism ! frequent traveler , kind stuff know people would interested know plan trip . never make feel funny uncomfortable , be . I have happy stay future provide rate reasonable . lots character uniqueness make memorable experience worth give try ! 
 Mar 26 2009 	 never stay hotel one NYC . 	 hotel like vacation unto -- 's hard tear away walk outside 's door ; yet , , be heart Times Square two block Broadway theater . place fun , fun , fun . 
 Mar 25 2009 	 Cool convenience pool ! 	 partner decide treat last year trip New York , budget obviously ! hotel conveniently situate right next Times Square , within walk distance many sight sound , yet manage retain sense calm tranquility . think triple glazing help ... room fairly large , bed platform thing offer amazing view city wake . shower excellent , huge mirror wall , lot amibient light controllable air - conditioning - bliss ! breakfast generous ( must bagel ! ) relax . try pool day heat nice , bit short proper swimming good chillout - especially bar next ! sauna good , fitting chic . gym small equipment modern seem good order . hotel reception staff really helpful too . all great place stay would thoroughly recommend friend family ! 
 Mar 24 2009 	 grace ... Great Value 	 Grace offer excellent value cleanliness , service & amp ; ambiance , right Times Square . style ' mod ' romantic . hotel 's personnel friendly helpful , comfort top priority . room , small , comfortable clean ( afforable ) . near center Times Square , hotel surprisingly quiet night , yet also somewhat hot spot , stylish poolside bar ground floor attract hotel guest local alike . right next door Perfect Pint Connely 's quant irish Pub excellent food drink . there Starbuck 's midway block toward Times Square opposite side 45th . I would recommend hotel anyone look stay near Times Square business romantic getaway Manhattan . 
 Mar 24 2009 	 oasis calm comfort 	 Location could well - a block Times Square , 3 block major subway stop ( W 42nd St ) , close countless restaurant ( highly recommend Becco restaurant row ) , theatre . short walk much - from 5th Ave shopping MoMA . lovely breakfast include day . fresh fruit , ihome room along small refrigerator safe . spotlessly clean none clean odor plague hotel . european style , small room - ours long narrow . utterly comfortable king bed duvet high quality linen . Ledge run around bed , flat panel tv wall mount . light wall mount . floor ceiling mirror slide cover wc shower ( large tiled rainfall shower head ) . small table chair reading & quot ; nook & quot ; near bed . room well plan take advantage space available . full array toiletry - I love orange shower gel . staff uniformly friendly , informative accommodating , help make long weekend NYC pleasant one ( let we check early , hold bag last day , get we cab instant - in rain ) . room would accommodate family would suitable elderly handicapped . we , oasis calm comfort plan return . 
 Mar 22 2009 	 great find terrific staff 	 real find -- quirky enough memorable still comfortable . pros:1 . desk staff can not beat -- helpful friendly , willing room switch otherwise work guests.2 . downstair pool swim - up bar . quite happen spot weekend night , morning , pool quiet , dimly light red blue light new age - y music -- relax place take breakfast sit water . ( pool shallow , wade sit -- lap pool ! ) 3 . free breakfast outstanding -- high - quality filling , include cappucino / espresso machine . great pastry , ham cheese selection make bagel / croissant sandwich , fruit , egg , etc.4 . platform bed extremely comfortable , top - quality sheet comforter . Cons:1 . room , otherwise nice , bathroom door ( relic single - occupancy hostel origin ? ) bit jarring be travel someone . be important , specify bathroom door book ( , staff happy switch room upon arrival ) .2 . shower pressure 8th floor barely adequate , 12th floor literally bare trickle showerhead -- disappointing light cool new rainfall - style shower . book , ask -- low floor might well pressure.3 . bar / swimming area get noisy weekend night , room 4th floor get away noise ( ask room away street noise issue -- remember , Times Square ! ) .despite minor gripe , really enjoy time would happily return next NY trip ! 
 Mar 22 2009 	 Modern central 	 stay room 1305 ; deluxe room over - look 45th street . room always clean well make . sirens New York , quiet . breakfast continental style , efficient staff never shortage . occasionally breakfast room little over - crowded however could escape sit pool enjoy breakfast . location excellent , 30 second Times Square . however need move away area eat , Meat Packing District , Soho , Greenwich Village even Brooklyn ( try first stop subway L line uber trendy Williamsburg bar eatery ) offer different , cheap side New York . 
 Mar 21 2009 	 good bed ' ve ever slept 	 recently spend 2 night Grace . happy design style hotel . pool area nice clean . staff nice well . stay one small room , style room make size . the bed sheet probably well ' ve ever lay . mind blow . even though 's step Times Square , room still quiet not light - polluted . stay St. Patricks day , even though street full crowded two bar next door , room perfectly quiet . my complaint staff little slow look thing . probably could do fast computer . 
 Mar 20 2009 	 Nice Hotel fantastic breakfast 	 stay grace hotel 6 night . spend lot time look hotel main factor price we . really enjoy stay , definately young people party atmosphere night young people pool bar . good point breakfast free frseh great choice . room clean good size new york .. location great , times square . initially concern noise hear nothing 11th floor room . the good point feel room slightly bare do not cosy feel say , hardly , literally sleep there . at breakfast be not enough seat everyone little cramp get early fine . the bathroom within room never see actually o.k couple may hard people share couple . overall young like trendy clean hotel Grace perfect , like homely boutique old style hotel , would not recommend . overall enjoy stay . 
 Mar 18 2009 	 trendy hotel great mid - town location ! 	 stay hotel twice . great hotel great location Time Square . music get loud night ... request floor 5 safe side . do not Floor 3 . breakfast free healthy . coffee good + espresso machine . find employee nice accomodate . Cool Trendy hotel . good irish beer food ... visit two irish pub next door ! Dave ( Lynchburg , VA ) 
 Mar 18 2009 	 terrific location 	 stay one night hotwire rate ( $ 109 ) . hotel superbly locate be town theatre ( ) . be tuck back far enough 45th Times Square not much noise street , sleep soundly without earplug . room small efficiently design . Mattress comfortable . towel good , sheet excellent , everything clean . front - desk staff helpful kind need . would stay short trip location value . 
 Mar 18 2009 	 great hotel would stay . 	 beautiful pool , nice decor , wonderful bed . nothing good thing say Room Mate Grace . 
 Mar 18 2009 	 great service location 	 wonderful stay ny . staff friendly helpful desk staff bartender . room efficientl ; design comfy bed . breakfast notch standard continental fare . special rate incredible deal especially location 
 Mar 13 2009 	 cutetrendy great location . 	 stay four day march- thoroughly enjoy ambience style place . Location fab . ideal place short sight seeing break . breakfast fine , nice coffee . 
 Mar 11 2009 	 cute modern super small room 	 hotel cute , well decorate . nice staff . great free continental breakfast ( well usual free fare ) . cool bar pool area . night pool / bar super busy loud surprisingly sound not travel towards room 4th floor super quiet . complaint room unusually small ( even NY standard ) place really put anything ( keep use bed table ) . decent hotel price get discount ( full price ) . location pretty good block away mid town shopping Center . 
 Mar 10 2009 	 read wonderful review expect 	 book hotel hotwires usually great deal : 4 star hotel fraction price . maybe spoil . hotel decent room , well ergonomically organize , comfortable bed , big shower huge shower head . unfortunately water pressure week hard wash soap . hotel serve breakfast unusual New York . quality produce low : damp cereal american cheese . pay almost $ 200 taxis could find much well deal money . come back . 
 Mar 6 2009 	 great option location 	 boyfriend stay Valentine 's Day & quot ; night & quot ; city . really love pool / nightclub area - unique ! room clean - although small . price heart city would def recommend ! 
 Mar 4 2009 	 Perfect Location Cool Vibe Affordable NYC 	 stay Hotel Grace Saturday , 2/28 . read & quot ; bunk bed & quot ; Amtrak travel magazine figure ( since price $ 300 reasonable NYC ) would make fun story . hotel surpass expectation ! hotel public space dark ( yet safe ) clubby vibe . be like step look glass swanky , yet comfortable club . case point , first 3 floor hotel build around central , indoor swimming pool mix brightly color furnishing steam - room style , millwork wooden ceiling . room clean functional . lay corridor . toilet shower area ( two separate space - super convenient ) one end hall ; sink , glass wine fridge , counter area center ; bedroom end . room even little dining area . room bunk bed , less novelty functional . bottom bunk queen size bed - comfortable . top bunk twin - also comfortable . secure . linen decent quality . far hostel college bunk environment fear ; ) night weekend , hotel turn sort night clubby - 20 - something frequent hotel bar swimming pool - swim - up bar . definitely early mid-20 's set . bar price high , be NYC ! free breakfast standard continental fare . our snag upon check - in , registration desk staff could friendly ( seem inauthentic overly script , detached manner ) . rest hotel staff ( bartender , housekeeping , morning breakfast staff ) could friendlier accomodating . case point , one point , housekeeper retrieve supply closet door partially block hallway try pass . instead step wall , close closet wait we pass - literally close closet ensure not cause we delay ! bit overboard , sweet ! front desk staff seem cold , bored , annoyed guest ' existence . 
 Mar 4 2009 	 something Different NYC 	 Cool check , bar / swimming pool great breakfast . sunken bar pool chic . room small interesting lay out make lack space . first room door bathroom - ok single two people . hall dark kind spooky . staff great . breakfast well do - again cozy dining area . place european flair allow stand crowded space . 
 Mar 3 2009 	 lovely room unique amenity 	 use live New York City ( Bronx ) , come back visit . always look hotel midtown Manhattan . stay several past year , Grace Room Mate Hotels get vote . clean neat . reasonably price consider expensive stay New York City . love platform bed ! complementary breakfast pool lobby , grace trendy , chic , unique . stay next visit . 
 Mar 3 2009 	 small room difficult bed never ! 	 stay NY 1 night thought would try different hotel normally . Room Mate internet special go $ 165 night include & quot ; upgrade & quot ; deluxe room . check problem go room . shock small room least problem . request king size bed wife 6 foot tall give queen size . ( immediately call front desk tell king available ) bed surround 3 wall way walk around bed . get require step bench permanently fix wall crawl one another get bed also . inside person get night , watch ! ! ! room clean good shape , extremely small . small plastic chair sit bench go along one wall . deluxe room , can not imagine normal room would like . the breakfast rave read review , basic . obviously , never ! 
 Mar 2 2009 	 great location cool design LOUD 1am 	 husband stay hotel one night . 's great location modern looking . real complaint 1am return room ( 305 ) , could hear bar / pool party , though party . not shut 2 am . exhausted keep last hour . request room high floor plan turn anytime 9pm-2am , 
 Mar 2 2009 	 watch air conditioning 	 noisy air conditioning , could sleep night long ! ! 
 Mar 1 2009 	 Great Night NYC 	 husband spend 1 night Room Mate Grace perfect want . need something clean , comfortable , near Times Square ! location perfect ! free continental breakfast great ! ( although fast grab table ! ) staff friendly attentive need . the room cleanbed comfortable . they great job limited space . cheap parking validation NYC ( $ 25/24hrs ) . * * watch buy drink kiosk ... pricey ! * * would strongly recommend young couple look trendy place stay city . 
 Feb 27 2009 	 Wish party ... 	 stay hotel many time last stay bad . love location , tiny gym , sauna , pool , healthy morning breakfast . think word get local 's cheap way throw party clean . rent room Grace ! swim pool ! Party night screw actually need sleep ! would stay would request high floor . 
 Feb 27 2009 	 Surprising trendy perfectly locate comfort staff 's warmth ... 	 next time go NYC , surely stay incredible place . 
 Feb 27 2009 	 close Times Square yet pretty quiet 	 stay three night mid February HotWire price pay please . the location great – super close Times Square ( maybe close people ) yet 11th floor corner room quiet . reception staff cheery helpful room perfectly adequate , clean comfy thermostat could control . bathroom large expect walk shower room lovely kiss face product ( paraben free ? ) . also free internet ! thing lovely include rather dark drab hallway wall 11th floor housekeeping service ' good second day , leave water bottle windowsill leave we . also , effort green , hotel give we option leave towel floor want fresh replacement . however , towel rail bathroom easily hang towel leave towel floor use kinda thwart green aspiration . all great stay . Breakfast include great little touch ' get many NYC hotel although ' use , people ( young night family plus old guest morning ) seem really enjoy pool . 
 Feb 27 2009 	 lovely place stay ! 	 european - type hotel great find Hotwire ( get $ 253 / night deal ) . LOVED free ( yes , free NYC ! ) breakfast , could even make latte . room small , clean quiet . hallway breakfast room dark , perhaps give relaxed feel . great location near Times Square Broadway show . staff professional oh - so - helpful ask change room . even move luggage . would definitely recommend stay -- real gem ! free high speed internet access also real plus . 
 Feb 25 2009 	 Best Hotel Manhattan 	 girlfriend spend past Saturday night blast . first , location die . everything stone throw away . staff delightful . lobby , pool bar splendid . room good size . free breakfast also delicious . find place good bang buck Times Square . trust ! ! ! ps- go swimming 4 am , else Times Square ? ! ? 
 Feb 24 2009 	 HOtel good ... service good 	 receive email right arrive ask need anything welcolme we ... upon arrival , find pool , bar sauna close evening 9 pm til close due private party .. plan meet daughter friend hang dinner .. express dissatisfaction prior notice ( least email welcome email ) change hotel ammentie , management offer nothing return appease dissatisfaction ... sur woill retun due ... 
 Feb 22 2009 	 terribly impressed 	 young person 's hotel . european young person , like . room sparse Ikea . 
 Feb 19 2009 	 Hmmmm ...... good 	 stay 3 night 12 - 16 feb , fab location , great bed , good helpful staff smile every one come across , breakfast fine private party 2 3 night mean prove stay hotel allow , annoying pay guest . also put we use pool bar 3rd night allow ( gee thank ) use pool bar area.most review accurate none quirk private party thing bother book . 
 Feb 18 2009 	 exactly wanted ... even well expect ! 	 Room Mate Grace amazing . minute step door , welcome smile staff . travel 12 year old son could happy hotel staff . talk , ask go city treat like special guest . location well ! center Time Square step away . Planet Hollywood corner starbuck across street . love Time Square , able quickly walk theater , tour subway station . pool bar area hot spot people enjoy area every night . since travel 12 year old , join night life , look like fun place hang music indoor pool daring . yet classy , sign anyone drunk rowdy , people enjoy . would leave music crowd behind enter elevator everything quiet . never disturb noise guest . bed ground , make perfect storage space . room slide door room bathroom , plenty privacy . son love flatscreen TV iPod station . room small simple , large stay previously NY . need . rest hotel decorate clean modern look great color . breakfast great way start day . muffin , cereal , berry , ham cheese cressent roll , hard boil egg , course lot coffee hot chocolate . even go back later day coffee hot chocolate warm we . pleased hope return one day . 
