absolutely 	 everything hotel excellent , staff could not enough overbearing way , arrive leave look brilliantly , room gorgeous , breakfast lovely , set beautiful , can not say enough hotel staff , would love stay .... 
 want leave ! 	 Montague wonderful , really list enough compliment express happiness facility service receive staff member . location extremely convenient - right next British Museum , Russell Square Tube stop block away , walk distance Covenant Garden , West end . hope return ! 
 Warm 	 use Hotel many time theatre trip , shopping sharing weekend friend Chicago . never fail deliver ambience , staff attendance round friendly atmosphere . the room beautifully appoint feel luxurious . I personally soft spot Jorge one Consierge 's funny , efficient , kind , hardworking . gem Hotel , Red Carnation Group proud 
 Jun 20 2009 	 Spoilt Rotten ' Harrogate ' 	 20 month old son come stay husband work London mini break . look well Montague , staff friendly attentive could enough help . make travel toddler easy hotel truly feel like return day explore . food hotel superb little boy get fantastic service restaurant breakfast time , special highchair . wait return . 
 Jun 19 2009 	 Quiet London 	 stay Montague May 2009 husband . hotel comfortable .We enjoy glass champagne overlook garden late afternoon .It peaceful , almost forget London . room lovely bright . , premier room , air con great easy work , bathroom small .There one fix shower head , work ok drown everywhere process . breakfast good , service good staff friendly .The underground 5 min walk bus around corner . lovely walk back Covent Garden hotel . would stay 
 Jun 17 2009 	 great base Bloomsbury West end theatre . 	 want near British Museum stay Montague twice [ discover Tripadvisor ] staff splendid , even nipping round B.M ticket sell line . also easy walk Charing Cross Road Bookshops .I would come like shot . sumptuous breakfast keep we go afternoon tea . 
 Jun 15 2009 	 Thank 's make stay London truly memorable 	 everyone hotel extremely kind helpful exceeded expectation . particular would like thank Vincenzo , Marika Hanka respectably concierge , reception housekeeping . backthank 
 Jun 10 2009 	 home away home 	 location service excellent . want peace quiet withineasy reach entertainment transport . Montague offer couldhave hope comfortable attractive room . the Montague truly live , ideal nothing big small tocater . happy return continue . 
 Jun 9 2009 	 gem hotel 	 bad experience another hotel signing trip adviser , want make sure next stay hotel good one . previously stay Russel Square area London Christmas like area central clean . find Montague Gardens trip advisor book read great review . well fail impress say tin .... service exceptional motto & quot ; request big detail small & quot ; definiately true . the room bathroom , although small side , beautifully furnished , clean lot little touch show hotel care clintelle stay there . it close covent garden , 10 min walk , close tube , Russell square , piccadilly line access city great . after go theatre , find room service , sheet turn slipper ready , tea coffee also replenish . the breakfast also good service great . I say one good hotel stay probably good service . 
 Jun 9 2009 	 travel Women - One 's 	 end several week tour friend decide splurge final three night London long flight home Antipodes . research web , include Tripadvisor , lead we Montague Gardens , 15 Montague Street , Bloomsbury . my friend eache book double room checking decide accept offer upgrade small additional cost . delighted decision . room individually design - hard soft furnishing perfecrtly complement . wall line fabric well sound insulate impossible believe London outside door . luxuriously thick blind curtain also keep room beautifully dark aid privacy sleep . plenty lighting option room king bed comfortable . bathroom beautiful particularly appreciate & quot ; Rain Water & quot ; style shower even though bath . towel robe , slipper , properly light make - up mirror , iron facility quality toiletry also add indulgent feel . breakfast standard fare , plentful - coffee good - cafetiere fresh coffee would appreciate . bar lovely live music early evening . but fele safety , security serenity set hotel apart - particularly welcome female traveller appear cultivate niche clientele . plenty staff appear well train enthusiastic duty . service value highly hotel management appreciate effort . Montague exceed expectation many way - brilliant location , literally around corner Britsh Museum , well offer wonderful accommodation service - furst class hotel worthy title . 
 Jun 8 2009 	 not want leave ! 	 recently celebrate ' big ' birthday treat night lovely husband . literally moment step door treat like royalty . welcome genuine warm , feel home immediately - treat usual anon . hotel city around world . the room perfect real sanctuary middle London . breakfast feast behold serve friendly attentive staff . fact every member staff encounter short stay give nothing less top notch customer care - thank every one , make stay perfect ! know return consider night two ( three ? ! ) London - real home home ! 
 Jun 3 2009 	 London Comfort 	 Montague Gardens offer comfort style traveller 's dream ! locate wonderful Bloomsbury location around corner British Museum within easy walk distance three tube stop ( Russell Square , Holburn , & amp ; Tottenham ) . room overlook garden quiet tastefully decorate remarkedly comfortable bed delightfully light , spacious bathroom . small intimate feeling hotel , charming restaurant , elegant bar outside dining area overlook garden , importantly gracious , responsive hotel staff certainly justify high rating Montague . first stay , hopefully first many London favorite destination theatre museum . stay possible , least go tea dinner restaurant charming serve delicious fare - summer 's even barbeque lunch deck . 
 Jun 3 2009 	 great hotel central location 	 Montague perfectly position Central London nicely place close west end , Bloomsbury require , City . room beautifully lay staff happy help difficult guest like . think hotel represent terrific value price ' reflect level service , comfort location get . restaurant one favourite London – great food eat al fresco overlook quiet garden . ' find fault hotel would highly recommend anyone whether business pleasure . 
 May 31 2009 	 outstanding customer service staff throughout stay 	 staff hotel provide high standard customer service ever experience hotel . nothing much trouble ensure meeting accommodation aspect run smoothly high standard . what strike outstanding member staff ( grade post ) unfailingly polite courteous even deal directly ( e.g . pass corridor ) genuine concern appear . often , stock customer care phrase trot little eye contact engagement individual - none hotel . staff training clearly excellent . 
 May 29 2009 	 good location great service 	 wife stay Montague 9 night great experience . location one good London ( we ) conveniently near British Museum , well good restaurant friendly pub . concierge , Mustafa , well inform full helpful information ; ready aid arrange activity well transportation . suggestion : get oyster card easy travel tube bus ; eat rearby restaurant : Tas , Paradiso , Swan Pub . also Pizza Express , would try except recommendation friend , good especially like thin crust italian style pizza . Bella Italia , near Victoria Station , good . ( precede reasonably price , especially London . ) return Heathrow flight , ask Mustafa book car much convenient ( 35 pound hotel airport ) usually take less hour . two nice day trip Canterbury ( 2 hrs train , 22 pound / ticket ) charming town Henley Thames ( 1 hr train , 13 pound / ticket ) . 
 may 29 2009 	 simply one good hotel ever stay 	 much say except service incredible . anything could ever want need , ask staff willing assist . notice would helpful vend machine cold beverage either floor least one ground floor . 
 May 28 2009 	 Personal classy 	 staff Montague wonderful . remember take Eurostar back fire break Channel Tunnel disturb cross - channel traffic mid-2008 . concierge everything could help we find adjusted departure time Eurostar Brussels ! 's little extra really make feel home Montague . example . concierge staff always willing help . that be come back Montague ever since first visit early 2007 simply love . great value always offer special room rate ! weekend leisure traveller hotel add lot extra room rate stay two consecutive night ( Friday Sunday ) .I enjoy Montague lot wonderful , quiet hotel great breakfast facility wonderful service . be also perfectly locate Central London . walk Central London . everybody Montague superfriendly ! 
 May 28 2009 	 absolutely fabulous 	 husband stay lovely hotel 8 night moment step door treat like king queen . everyone else see overhear . food wonderful large breakfast ( friendly attentive staff ) start day good possible way evening dinner fill excellent food serve wonderful diverse staff . everyone kind leave inquire go return . ; ) little , tiny thing would give pause configuration bathroom . be little old step shower little tricky minor matter . location ( 5 minute walk Russell Sq . underground station ) , amenity overall peace mind , place stay London . must go London , stay lovely , comfortable friendly home away home . 
 May 27 2009 	 place calm midst London 	 real pleasure stay Montague Gardens , & quot ; olde worlde & quot ; charm place . service excellent , nothing much trouble staff . hotel well situate near British Museum , also discover Bloomsbury Square around corner ! enjoy much , return friend October . 
 May 25 2009 	 hide gem ! 	 stay 4 night , choose mainly due good review site - not disappointed ! greet reception one good ' ve ever experience , like way show around hotel facility . room quite surprising , two level overlook garden rear . slight quibble would lack drawer space underwear item - plenty room chest drawer tallboy provide one ? otherwise bed extremely comfortable bathroom well appoint . the level service exceptional round must mention concierge take trouble find special bus shuttle Chelsea Flower Show leave print door ! staff friendly efficient feel , comfortable surrounding . on last night eat Blue Bistro ( lovely food ) problem , thing , bread - slice ! husband speak duty manager accept thing not take 45 minute solve , tell we meal would charge . thought might offer bottle wine amazing , leave we feel well disposed management . we thrill find beautiful little gem hotel nice part London , definitely return next visit . 
 May 25 2009 	 understate luxury hotel next door British Museum 	 Montague Gardens understate appearance street . appearance belie hotel great room , great service really top - notch breakfast buffet . the room nicely appoint comfortable bed , flat - screen tv , luxurious bathroom setup . room meticulously maintain housekeeping staff throughout stay . breakfast buffet ( include room price ) cold cereal , delicious muesli , nice selection fruit hot breakfast selection ( egg , bean , sausage , etc . ) . hotel conveniently locate near Russell Square right next British Museum . 's short walk theater district , shop Oxford Street Soho . the hotel little pricey notably business - class hotel London ( major city matter ) . enjoy week - long stay much . 
 May 24 2009 	 beautiful top decor combine fantastic service 	 Montague totally top ... really good way . yes , room small , fantastically well appoint therefore great value . great location right next British Museum , heart Bloomsbury right next Holburn . staff great service ethic . nothing much trouble ... without obstrusive . the bar price could little ' competitive' . overall , quality service good , unique boutique style make great place stay . I ' ve many time business pleasure ... intend keep come back . 
 May 19 2009 	 great service great location . 	 wife return two night weekend break Montague impressed . staff well train make we feel welcome soon walk door . book Bloomsbury King room receive complimentary upgrade suite . room would discribe large clean well appoint - bath shower excellent . bed one good ' ve sleep hotel must say not hear sound night despite room 1st floor overlook road ' m light sleeper . within first half hour receive complimentary nibble deliver door least two phone call check everything ok room etc . also get short tour hotel let we know everything - nice touch . criticism would breakfast standard hotel buffet fare , late , get bit cold - tea good though . location brilliant hotel within easy walk distance two tube station , Museum , Covent Garden various theatre e.g . Dominion Adelphe . also great bar near - would recommend Belgo mussell , steak great continental beer menu Princess Louise character good beer good price ( be Sam Smiths ) . rear garden space ' m sure would nice summer - bit chilly there . overall delighted stay would recommend Montague quiet , intimate comfortable hotel . stay . 
 May 18 2009 	 ` ` oasis centre London '' 	 second stay lovely hotel hopefully will not last . arrival allocate upgrade bedroom four poster bed room garden view . ( pay extra £ 20 per night . ) room lovely shower one flow ceiling . however , reflection time spend ( 2 night ) would happy standard double room cosy . four poster bed nice feature felt take running jump get onto bed quite raise ! late night supper lounge think soup reasonable filling lot bread . treat pick choice ( part deal ) afternoon tea . decadent include glass champagne well cake sandwich . however , would not pay full price afternoon tea choice feel expensive receive . service hotel outstanding highlighted fact member family join we Sunday breakfast ( non - resident ) staff make welcome . nothing much trouble . breakfast good especially enjoy poach egg ! not realise could breakfast terrace remember next time go back stay . hotel conveniently locate theatre , museum shop . bonus 7 bus Paddington train station stop opposite hotel . can not wait next visit ! 
 may 14 2009 	 truely exceptional experience 	 stay Montague several occasion , business pleasure London . staff attentive time , atmosphere hotel ooze class , sophistication time pleasantly relaxed . hotel restaurant first class , lunch evening meal , regularly change menu mean always good selection seasonal dish choose from . very highly recommend ! ! 
 May 10 2009 	 absolutely fantastic ! 	 stay many hotel none come standard , staff especially Sal go beyond call duty make stay memorable , celebrate 25th wedding anniversary present plate & quot ; Happy Anniversary & quot ; write chocolate also truffle plate , dinner Sal give we glass Champagne ! hotel also give we upgrade room ( beautiful ! ) daughter birthday take show stay night wonderful hotel ( 11/05/09 ) stay anywhere else future , find perfect hotel ! ! well do everyone Montague ! ! 
 May 8 2009 	 wonderful business facility wonderful staff 	 hold three client conference Montague time thrill attention detail , level service . conference room large comfortable , Conference Events Manager attentive . nothing much trouble staff , timing lunch change day , pose problem chef . staff recognise conference organiser name one visit ! definitely use Montague future event . 
 May 7 2009 	 warm friendly welcoming ~ outstanding customer service 	 throughout five night stay treat utmost courtesy friendliness . from reception staff concierge , nothing much trouble . room bright airy welcoming , clean perfection day . succumb flu feel somewhat unwell . hotel provide customer service receive . personal guidance doctor sincere genuine concern wellbee , highly recommend wonderful hotel ' delivery family value good old fashion warmth . a true gem find ! 
 May 5 2009 	 Great Hotel Staff really Understand Customer Service 	 spend 3 night Montague city break husband love . say , staff excellent - warm welcome door reception , bar restaurant staff - nothing professional , courteous , prompt efficient service . detail follow : Location - Bloomsbury , literally round corner British Museum , 15 minute flat walk Leicester Sqare . near Russell Square tube . Public Areas - beautifully ( dramatically ) decorate like small scale country house hotel . dinner - eat pre - theatre dinner restaurant ( think ) £ 24.95 two course food good . want dessert order come back theatre nice touch . breakfast - breakfast include pkg not know much individually . good selection hot cold buffet . bedroom - standard double small SIDE ... be 5'11 & quot ; 's good job be married ! lot luggage like lot space bedroom ... take note ... room bathroom small side air condition , kettle etc , bottled water ( replenish ) comfy bed . third floor overlook entrance hotel quiet night undisturbed . bar - eat good . food serve 1030pm . good selection . usual bar / London price good choice quality ( think small snack later ) ... bar open 2am . Afternoon Tea - part pkg . think £ 24 inc champagne although without , 's £ 14 think . nice . good selection sandwich & amp ; cake , leaf tea , beautifully present . safety - have feel happy stay own . gym - not use comment . 
 May 5 2009 	 Loved hotel 	 nothing good thing say hotel . stay 4 night 2 teen kid grandmom . room modern tasteful -- love shower head ceiling . interior room ( garden side ) quiet comfortable , ' m pretty particular bed pillow ! staff exceptionally friendly helpful -- sad say goodbye . food bar Blue Door Bistro good London . eat twice ! conceriege friendly , happy , always give we good information . location , right next door British Museum , great place stay . hop on / hop bus stop end street convent garden within walking distance . would definitely stay hotel and/or look use another red carnation hotel . 
 May 5 2009 	 outstanding service marvelous experience can not wait go back . 	 Boston trip France London wife three old ( 18 , 21 , 25 ) child . stay Montague business meeting book employer last year . be difficult find accomodation group 5 adult . write Montague immediately tell could accomodate we 2 room , king wife , room three single kid . wonderful ! upon arrival , greate warmly , know come .... change comparison service receive France . staff incredibly accomodating . 3 night feel like become friend everybody . breakfast great , dinner one night restaurant ...... outstanding . young son say go Montague week , wife feel though favorite ( city ) spot time . lot british charm , super people , feel like home ( well ) . highly recommend Montague ! 
 May 4 2009 	 Excellent service - cheap value money 	 fourth stay yet impressed excellent level friendly service . book special package direct hotel would recommend . ( think make small saving book another site , end pay odd breakfast taxis not include . ) pay roughly £ 150 night two night include breakfast choice treat throw . opt free afternoon tea , worth £ 40 two we , lovely - sandwich , cake scone , tea course , serve pleasant room overlook gardens rear hotel . bedroom bathroom pleasant clean comfortable bed . bedroom small , though adequate short stay , occasion upgrade spacious room overlook garden . sometimes stay much utilitarian hotel ( President Russell Square ) two - third price be look something bit special without pay horrendous price , not think could better Montague . location perfect we 
 May 4 2009 	 delightful hotel 	 Faultless service - nothing overlook much trouble . room compact , clean , tastefully decorate . like idea switch illuminate sign let chambermaid know makeup room . located quiet street Bloomsbury around corner British Museum . breakfast excellent . nothing negative say . 
 May 2 2009 	 Friendly London Hotel 	 Montague conveniently locate near Russel Square tube station attractive nicely decorate . room , though small side , well appoint food well present enjoyable . however hotel 's great asset staff without exception friendly , welcoming , hard work helpful - help make short weekend break special trip . 
 Apr 30 2009 	 impressive customer service 	 yet stay Montague Gardens , like already . cancel 4 night stay flight US abruptly cancel last minute . deadline full refund pass . call emailed asap , kindly advise would charge usual first night charge airline cancellation . call good customer service , good business policy hotel heart ! definitely stay sometime soon . 
 Apr 29 2009 	 Fantastic ! 	 great stay : friendly staff , excellent breakfast , great location , nice room . give we free upgrade room forgot ring checking , housekeeper search everywhere , find send home : - ) . recommend ! ! 
 Apr 27 2009 	 Lots character ideal London set delightful staff 	 hotel gem . make really stand attitude efficiency delightful staff team . together provide guest sense ' home home ' immediately put ease , forget big metropolis outside . conference need support well ; would recommend venue planning conference 100 people , pleasant atmosphere conducive exchange networking . food superb , particularly fruit smoothie freshly bake raisin cookie , fresh mint leave , serve coffee break veranda .... hmmm . room recently redecorate high standard bed comfortable . hotel tastefully decorate , suitably elegant - give Bloomsbury set - ' over top ' . easy find , minute British Museum underground station . perfect ! want go back soon . 
 Apr 24 2009 	 Charming room ambience friendly service good value 	 stay 4 night April Bloomsbury Deluxe King Room . room decently size , great layout separate sit area . shower simply lovely . deal include breakfast hearty ( though ' m breakfast person ) 2 course dinner one night . everyone hotel extremely friendly helpful . location convenient , close Russell Sq . tube , across street British Museum , walkable Picadilly , Trafalgar . go back London , would not think stay another hotel . 
 Apr 22 2009 	 great location splendid staff old fashioned service - really excellent 	 21st April 2009made one night stay absolute pleasure . charming staff , helpful . breakfast quick acceptable . handy British Museum Theatreland . would defininely stay 
 Apr 17 2009 	 perfect break Gardens 	 choose ' the Montague Gardens ' birthday break partner close Theatre Land , Covent Garden British Museum around real bonus . a warm welcome wait us arrival hotel . we show room . spacious ' ve stayed beautifully decorate quite stylish , good en - suite facility . breakfast restaurant perfect start morning . the friendly staff attention detail make lovely couple night warm , cosy atmosphere . 
 Apr 15 2009 	 perfect boutique hotel 	 spend one week February . everyone staff include maid , reception , breakfast hostess concierge , kind , caring , accomodating . room ( king deluxe ) quite roomy 2 adult child . daily breakfast ( extra ) include wonderful assortment fruit , meat cheese choice egg ( course always sausage bake tomato . dine restaurant meal wonderful dessert bar night . hotel across British Museum , quick walk tube , 15 minute walk theater district load restaurant , fairly quiet & quot ; neighborhood & quot ; location . 
 Apr 14 2009 	 Excellent hotel book superior / kingsize ! 	 stay hotel 1 night go Holburn . excellent location close Holburn station ( central line ) Russel square ( Victoria line ) , opposite British Museum . central location quiet street especially also book 3rd floor room . lovely garden relax weather nice too . hotel / check -in : hotel look grand entrance staff exceptionally friendly helpful . unfortunately wait room , check 2 pm arrive 3.30pm wait hour . apologetic give we complimentary drink include champagne , coffee , beer nuts ! bother really much rush . room : however dissappointe room . book superbreak.com get bargain see ! small room ever smallest double bed ever see 2 we could hardly fit . room tiny could stand time squash , tea make facility ( although free coffee downstairs morning help ) bathroom great lovely hot powerful shower need think total sleep bed ! ever stay would get kingsize room . despite room every clean tidy . breakfast : great buffet breakfast none cheap yuk sausage ! lot fresh fruit , seed , nut , yogurt everything looked freshly cook . staff ball , coffee always top , always check toast full restuarant ( easter weekend ) impress . overall : would stay get bargain large room . nice peacefull location nice environment escape busy London . feel get value money room forgive little gem find , friendliest staff ever ! 
 Apr 12 2009 	 get breakfast ! 	 usually stay quite spartan ( tho cheap ) hotel London . pound low dollar , splurge charming hotel Bloomsbury . really gem -- other note . great location -- block British Museum , walkable Covent Garden Leicester Square , convenient several tube spot , near student area good cheap restaurant pub . the hotel old - englishy , good way . first room give we cramp much traffic noise , surprised have request quiet room . cheerfully move we another queen room first floor close street quieter unknown reason . modest - sized huge ceiling ( hotel several old townhouse put together ) , lovely furnishing , stupid shower ( yup , one spray everything 's half show door number ) , electric tea kettle , good tv , lovely comfortable . we get good special Carnations Hotel website , include one dinner breakfast . dinner great , fine ( expensive ) restaurant hotel . breakfast ! huge spread , get full buffet -- cold cut , fruit , cereal , pastry , juice next room egg , bacon , bean , sausage . really fill every day , not need much else dinner time . the staff plentiful , far american hotel , pleasant accommodating . hope afford stay MOntague , ' m spoil ! 
 Apr 11 2009 	 difference room size make ! ! 	 return second stay Montague difference large room make . everything hotel amazing ; decor set especially staff - nothing much trouble . first review hotel give 4/5 room exceptionally small give hotel negative time . 5 5 evrything . pay little extra King Size room great , well worth extra . we eat pre - theatre meal bistro service incredible . starter main dessert serve return theatre 10.45pm . sit terrace ( heater switch , blanket provide case chilly ) cocktail staff buy we dessert - wonderful finish evening . breakfast conservatory also brilliant . the attention detail hotel amazing ; feel well care look , though guest time - brilliant ! ! would recommend place everyone . 's wonderful hotel although little pricey , not mind pay get top class service . London hotel pricey , one worth . 
 Apr 10 2009 	 friendlyefficient helpful ideally locate 	 arrival greet welcome fashion , staff anxious make overnight stay memorable one . dinner excellent , cooking value money . leave early morning staff arrange breakfast we ahead normal time , start journey good spirit . thank staff management team make stay peaceful enjoyable one . 
 Apr 9 2009 	 Perfect except ... 	 great hotel one major failing . first , good part -- great location right across side street British Museum , Bloomsbury wonderful ethnic ( Thai , turkish , korean etc ) restaurant two minute walk ; room small ( standard UK ) adequate ; service reception desk , concierge , bellhop , chambermaid , especially breakfast service absolutely superb ; breakfast great buffet plus hot egg toast coffee order . be like , especially London value money hotel quite rare ? internet . cable connect wifi room want 10 pound per day ( $ 15 ) privilege . absurd today charge electricity plumbing ! wife travel laptop need professional contact wife keep touch friend . would cost we $ 30 per day internet . ridiculous ! wife able pirate open source connection whole time use two day , quite irritate ration connection way avoid large charge . hotel apparently like many hotel outsource service private contractor gouging , would much well make fix rate contract company charge guest 3 pound extra per night whether use internet night pay cost alienate guest like we use internet spoil otherwise perfect hotel . 
 Apr 7 2009 	 Genteel quiet relaxed attentive staff 	 lovely hotel , ideally situate ( near British Museum ) much site see foot beyond . staff EXTREMELY polite attentive . hotel decorate old english style one room even 4 - poster bed . one criticism - room fairly small - 's get old build hey - much time want spend room swinge cat ? get enjoy site . bathroom lovely , toiletry bath robe provide . lounge / wait area fill sofas sink , arrange little huddle group private . Breakfast delicious , little hectic , great staff although wait around 20 min table Monday morning . sum - lovely . 
 Apr 7 2009 	 can not believe rating ? ? 	 stay hotel 2 night find extremely ordinary . Decor horribly date ( although refurbish room ! ! ) ground floor , room tiny bad smell . mini bar / fridge room . we tell telephone arrive would give Bloomsbury room time arrive ( 2 hour later ) change & quot ; classic & quot ; room . aside , reasonably price expensive Base2Stay Kensington ( love check due power failure ) .I not particularly like location Bloomsbury either . yes , short walk tube British Museum much else . unfortunately many positive staff seem nice . 
 Apr 4 2009 	 Excellent Service Excellent Accommodations Excellent Location ! 	 five member family recently spend six night Montague Gardens Hotel please hotel . granddaughter , age 11 15 we thoroughly enjoy british touch . full english breakfast wonderful ! location Bloomsbury convenient . many ethnic restaurant nearby ; British Museum directly across street ; three Underground station within easy walk distance . staff friendly extremely helpful ! Dr. Mrs. J. W. Smith , Waco , TX USA 
 Apr 3 2009 	 GREAT HOTEL . GREAT LOCATION 	 second time stay Montague garden . occasion four night visit . we please level service staff , always keen anything make stay pleasure , polite take time talk . concierge polite always need taxi . the wait staff pleasant meal good vegetarian option available . afternoon tea worth experience . coffee news paper hand breakfast . the room well appoint , clean comfortable air conditioning . bed especially good good sleep . the hotel nicely decorate kind victorian style worth look that . the location great , garden square step away , far enough away main stream close enough underground , use taxi almost cheap convenient , within walk distance shop , theatre museum . we would recommend hotel . pleasant stay . 
 Apr 2 2009 	 Soooo lovely 	 say ? hotel , nice . staff know job extremely polite ; room quite luxurious restaurant excellent . we stay twice period three week , four night , one night head home Sydney . location hotel good close British Museum , far underground railway , walk distance Covent Garden , Picadilly Circus Westend . we book Deluxe Bloomsbury Suite ( Regent Suite ) first stay , order extra room luggage . exchange rate little pricey , like fluffy white towel , thick bathrobe , soft slipper , large comfortable bed , plenty wardrobe space , iron board , safe , mini - bar tea / coffee making - 's worth every cent . we enjoy breakfast every morning - egg order , bacon crispy soft style , mushroom , bean tomato . keep lovely warm , top regularly . coffee great orange juice taste freshly squeeze . toast come white , multi - grain , wholemeal mix bring table ( instead wait dreadful toasting machine ) . condiment hand ; fresh butter , marmalade jam . great meal start big sightseeing day . the restaurant meal excellent well , quite reasonable compare place around London . nice table corner away diner , enjoy tasty , well - cook food nice wine . on second stay book type suite upgrade Queens Suite . heat towel rail , double sink , plus view Duke Bedford 's private garden . quite splendid ! able late checkout 3 pm small fee could stay 5 pm order shower change late flight . wonderful indulgence . before leave enjoy champagne heated patio outside ( heater blanket supply ) look garden . concierge kindly check we onto flight online print boarding pass . it nice experience . something never forget . 
 Apr 1 2009 	 Pleasant Stay 	 husband stay two night . stay hassle free deciede book Bloomsbury Deluxe Room , room little dark taste much furniture . room & amp ; bathroom spotless , decent cup tea room water also . breakfast good plenty choice fresh , staff helpful freindly . the style hotel old fashion cosy good location walk easily Osford St , Covent Gardens etc . would recomend hotel & amp ; would stay . 
 Mar 31 2009 	 Excellent hotel high value service atmosphere 	 take wife away week London Montague recommend we . not disappoint atmosphere decor hotel high interior qaulity albeit hotel room small oozed charm character . service good incountered Hotel stay internationally nothing ever problem . food excellent bar female pianist create great ambience mood . greatly situate Knightbridge shop course British Museum . would highly recommend unique comfortable establishment anyone visit London . 
 mar 30 2009 	 Weekend Break 	 wonderful hotel location escape too . but still centre London . every London within walk distance . the room comfortable large due historic building part . staff , food , comfort service always amazingly good ever time day . we many time good , include New Year . would stay else London 
 Mar 23 2009 	 great hotel great location 	 situate next British Museum & amp ; close theatre , location we perfect . hotel lovely style & amp ; comfortable attentive staff . good food , well present & amp ; reasonably price . 
 Mar 22 2009 	 experience simply hotel 	 colleague visit Montague Gardens whilsy business capital . use hotel area , find noisy , uncomfortable treat like sheep herd guest decide try Montague . glad ! Montague Gardens offer personal , individual service wonderful environment . staff friendly polite ensure requirement meet without intrustive ( quite skill , believe ! ) . room comfortable provide wonderful noise pollution protection 3 am London traffic . Montague Gardens small hotel comparison many secret ! service facility second none nothing really much trouble . find food excellent , service bracket need wait breakfast hurried rush . fantastically place West End University disappointment , find early would & quot ; endure & quot ; hotel around Russell Square . talk guest , return guest people plan return furure , member latter . intend visit pleasure later year family doubt shall stay - Montague Gardens . pleasure stay Montague Gardens , experience simple hotel stay try , will not disappoint book early avoid disappointment . thank complement management staff . P.S . gardens fantastic ! 
 Mar 14 2009 	 Nice bug we way way much -- probably well $ $ 	 , first nice thing hotel -- decor fantastic ( quintissential British ) , nice sit area , good service , close museum . con -- little out - of - the - way show ( stay little south Covent Garden ) , get wake lot hotel staff despite do - not - disturb light switch , run hot water ( though british thing -- not plumb well ) , food restaurant not great ( , british thing -- want eat well UK , go indian restaurant ! ) give price , ' m pretty sure could well next time -- be early / non - jet - lag riser 's museum gobs cash burn , might place . 
 Mar 13 2009 	 great hotel fantastic service 	 stay hotel business trip would definitely return personal break London . my room fairly small everything else hotel make . staff extremely efficient helpful , especially doorman always happy run Russell Square hail cab we . the room spotlessly clean seem clean twice day - day evening turn service . nice little touch voucher free drink bar , bowl fruit room first evening small box fudge pillow follow evening . room front hotel overlook road , 6 am delivery beer one morning , hardly hear sound outside . this good hotel ' ve stay London - thank staff Montague ! 
 Mar 8 2009 	 great place stay 	 wife 's birthday present . weekend London see ballet . little gem stole show . tuck away little used side street , five minute five pound taxi ride king Cross Train station , sit & quot ; Montegue & quot ; . hear birthday present , get upgrade room full english breakfast throw . thing well hotel , staff . Front Door reception bar waiter maid staff , make feel right home welcome . always smile help hand . 
 Mar 3 2009 	 Fantastic Service Old English Style Hotel Central London 	 stay 30th Birthday weekend perfect hotel spend ! arrival , check - in quick take one double bedroom second floor . part package chill bottle champagne wait well Birthday Card Happy Birthday sign chocolate hotel ! room spotless feel hotel think everything might need free bottle water , blue light bathroom night not turn main light get middle night , iron , hairdryer couple nice comfy seat , etc . kingsize bed comfortable room quiet night . the breakfast morning great choice hot cold food . cook breakfast buffet excellent freshly cook , high quality meat egg etc . throughout entire stay staff always great breakfast area could feel bit busy time number staff walk around . suppose need turn round table table finish everyone breakfast . the location good ( quiet ! ) next British Museum main road . Holborn Russell Square underground station within easy 5 minute walking distance . one night walk Charlotte Street excellent chinese meal Dim go Soho couple drink . easy 10 minute walk hotel . if stay central London hotel would definately stay recommend friend . 
 Feb 28 2009 	 refreshing change ! 	 stay 2 night visit British Museum round corner . look several Blomsbury hotel pick one good review . thank fellow reviewer ! room nicely decorate comfortable . staff brilliant . friendly helpful service throughout stay . London hotel make real change definitely go back Montague next time . 
 Feb 23 2009 	 Glad 	 look dozen hotel settle Montague . find ! good location . lovely decor . scrupulously clean throughout . great breakfast . good value . yes , glad find . stand though ( ' ve stay lot hotel ) staff : friendly , efficient , helpful , attentive - could find adjective get picture . return theatre first night , even message housekeeping room phone check happy everything wish we good night . negative ? sure room small everything need let us face . go London sit bedroom . so save hour dredge hotel website . one definitely return . well do ! 
 Feb 23 2009 	 wonderful location 	 stay Montague 3 4 time year travel London , usually take West End show . staff always welcome we old friend nothing much trouble - rare commodity . bar snack always something look forward presentation excellent . yes , room bit small hotel construct town house . plus pay little extra Bloomsbury room , always big . luxury one also separate sitting room . possible space . bar , conservatory lounge well appoint always plenty staff around take drink food order . hotel within easy walk distance West end theatre taxis tube necessary . concierge knowledgeable many year . make arrangement need guest . a jewel tranquility city madness . back week time ! 
 Feb 21 2009 	 wonderful service . great location 	 nothing much trouble staff . spend two night marvelous hotel . travel 21st function . daughter time go hairdresser leave Edinburgh . speak member concierge team saturday morning arrange immediate appointment , 5min walk hotel . daughter delight result . breakfast include package daughter , fussy eater , really enjoy . would definately go back . 
 Feb 21 2009 	 really hide gem 	 well locate hotel friendly , welcome helpful staff . room comfortable - a real London . however attitude staff make attractive hotel . 
