mostly 	 arrival four night arrive tired late travel San Francisco . inform Hotel Policy request $ 150 per night credit card , bond cover incedential ( I.E . do not trust - guest ) . likely use facilty hotel indication likely price , tell $ 150 dollar would take , $ 600 dollar four night . show one small room hotel , could get warm -window find open , stuck . thankful duvet . bed fine comfortable , shower leak water bathroom floor door wide space . opinion much style little practicality . staff helpful , would single concierge -Yenni . customer orient . also night staff duty 1st December , could helpful early morning start . would recommend hotel -not value money , convenient location . 
 luxurious Respite heart Midtown Manhatten 	 Royalton exceed expectation hotel midtown Manhatten , provide luxurious welcoming retreat long day tour city first trip NYC . location wonderful - quiet street step subway , Bryant Park , Times Square - short walk Grand Central , Theatre District , great restaurant , Rockefeller Centre - even Macy 's Empire walking distance . historic georgian stone building , set appear old & quot ; tony & quot ; area , Hotel Algonquin across street , NYC club Harvard club step away . service prompt friendly - unassume welcoming - open greenhorn tourist question . bathroom bed wonderful - especially mirror tile huge tub shower - feel wonderful ache body full day walk ! price internet special put price range Manhatten hotel less quality - hard get anything $ 250 cdn . reviewer mention , lighting dim get use , seem soothe - flicker light large fireplace shadow scale modern architectural detail beautifully appeal sense . curl leather couch front big fireplace glass wine long day huge & quot ; ahhh ! & quot ; moment . great little deli / coffee house couple step away grab quick breakfast bring coffee room . also enjoy Jewel India - street price quality food . restaurant area likely good expensive ( Algonquin across street Jazz supper club - expensive great rep , although not try ) short walk cab ride 9th Ave Hell 's Kitchen , great , less expensive food ! 
 Superior Customer Satisfaction 	 spend 5 night Royalton Thanksgiving holiday month say extremely impressed . stay Grand Hyatt , Marriott Marquis , Millenium Hilton name , level service family receive Royalton second none . moment arrive bellman front desk staff delight work with . our room spacious desk couch , bathroom large one good shower head experience ! bed comfortable room appoint nicely . highly recommend hotel visit Manhattan great location great staff . 
 Apr 28 2009 	 luxurious excellent sound - proofing 	 think hotel underrate lead travel web site recently demote 4 half star 4 , view least 4 half - star hotel . location unbeatable tourist - close Times Square transportation hubs side street hence quiet . hotel , room extremely well - appoint find staff unfailingly courteous helpful throughout . artistic flourish may add confusion mystique , depend view , initially hard find check - in desk elevator somehow work decor - hotel well - identify outside - certainly elegant . good , room seem well sound - proof . approach room late one night sound loud party audible hallway emanating neighboring room much concerned . yet get room close door would know loud partying next door , degree sound - proofing , believe , welcome also somewhat rare . would love stay Royalton time . 
 Apr 22 2009 	 fantastic atmosphere unique style room 	 hotel far , one unique relax hotel ' ve stay . enter hotel , literally feel like ' ve enter relaxation mode . forget hussle bussle outside light huge fireplace put new relaxed mood . lobby area great bar lounge seating everywhere , great place hang meet other . check bit slow , hey , be relaxation mode , right ! hotel dim lighting , elevator quick , small . room big NY , comfortable bed , great desk area , flat screen tilt ever sit . the bathroom modern , tub , full glass shower . great shower head , could stand day ! amenity wonderful , different soap choose , hair dryer , separate makeup area . again , lounge area good ' ve ever experience . restaurant great . recommend fry artichoke lamb chop ! 
 Apr 21 2009 	 Trendy Modern Hotel 	 husband stay NY business . enjoy hotel . room bathroom modern , sleek clean . room large quiet comfortable . hotel lobby hallway little dark enjoy cause add modern look go . lobby bar excellent drink relaxng fireplace chill . also excellent location walk distance Times Square . negative , own hotel , expensive parking garage next door . also need leave key wait car u ready leave . 
 Apr 20 2009 	 Excellent Honeymoon Royalton 	 excellent hotel traveller mention outside look like old building inside different world trendy modern edgy not modern do not stay enjoy ! stay design hotel world would say well give quick run : bedroom : stay queen size room large room queen size bed view enternal court yard / restaurant hudge 4 ft bath ! bath amazing bed comfy room spotless maid even come turn service . whilst NYC experience heavy rain quick cal reception someone come light fire room romantic also give we opportunity dry clothe ! bar : bar expensive compare bar time square much experience staff really friendly good laugh enjoy job meet lot interesting people bar trust ! want quiet drink bar go Friday Saturday strangly enough empty ! location : could not fault location two block away timesquare shaddow rockafella centre absoulutly amazing ! would recommend hotel people like something different want impressed ! want answer question happy please message : ) 
 Apr 17 2009 	 Private Funky Oasis 	 want something ordinary , hip , touch romance , stay Royalton . outside look old proper . however , go double door transform another world . hotel 's location easy navigate Manhattan Grand Central subway station easy walk away . personally love soak tub , candle BED . noise experience morning guest exit room hear door close . I stay three night NYC night stay different hotel ( feel adventurous ! ) . hotel book Priceline $ 100 / night least expensive favorite . look forward come back husband , even pay full price . 
 Apr 15 2009 	 trendy noisy ! 	 foyer cool . Fire , Fur rug , candle , dark wall , gothic style door ... nearly bit spooky look sit good cocktail watch beautiful people prance bar corridor . hotel quiet pretentious staff helpful . also really good concierge direct good hot spot new york . also get us reservation really good restaurant usually month waiting list table ! room smail , learn , new york hotel room . corridor feel like walk dream .... curvy dark . balcony room could sit watch famous N.Y skyline . restaurant good food wine , bit stuffy . 
 Apr 12 2009 	 Excellent location 	 standard room soak tub get Priceline great price . walk hotel feel like walk trendy bar , definitely scene , always find staff friendly . like many other say , lobby , elevator hallway dark , light fine room . room ( 1019 ) face air shaft back building dark , spend little time day room almost street noise , plus . one night noise another room turn fan white noise take care . room kind musty really notice would first walk . room size fine - little tight maneuvering desk coffee table get closet fine . could see , though , two people stay room lot luggage would tight squeeze . bed fine love comforter top sheet - standard Royalton ? discover right go bed not want deal turn fine never ask . warm weather would issue . the shower excellent water pressure think plenty room bathroom . find tub little awkward get not plan use soak tub , might want request room shower . I find tv channel little limited snowy ( analog channel ) . wireless internet work fine ( able watch video Hulu ) . would appreciate room information , like use internet service , tv channel available , whether charge local telephone call , info area attraction restaurant , etc . room bath clean , except moved ottoman / footstool , carpet dirty underneath . banquette look kind worn comfortable enough reading watch tv.the location great - could walk Rockefeller Center , Times Square , St. Paul 's , subway , International Center Photography . 
 Apr 5 2009 	 Trendy Elegance touch Weirdness Midtown NYC 	 strange hotel middle New York City , popular street pretty close everything . say weird narrow building mark outside , walk right past look hotel across street . ancient Algonquin , City Club Iriquois Hotels area . my Priceline rate $ 100 night , plus fee taxis bring two night charge $ 245.77 . really good price hotel location walk Bryant Park airport bus stop two block south . 5th 6th Avenues 44th street , hotel great spot . the hotel part little know Morgan Chain property pride unusual , think . get booking though Priceline rate 4 star , think deserve , especially give post price $ 500 - 700 night category . hotel measure other demand price ? probably , price , great . for anyone go New York City first time , usually shock discover city state nail visitor much 25 % taxis , fee anything else think add hotel bill , always smart consider accept quote hotel charge without fee add - on cost . my room certainly elegant , lousy view nothing nearby roomtop . bath amenity superb bed , linen light excellent . large flat screen tv great . hotel sell everything ( kind stuff ) room , large contianer shampoo body lotion tee shirt , hat & quot ; intimacy kit & quot ; two version . refreshment , nut , wine , etc . usual exorbitant markup . staff check - in check great . bell staff helpful freindly . the lobby , bar 44 large lounge area , popular busy night . entire area , ( lobby ground floor facility ) , dark , depressing , remind one night club rather hotel lobby . problem , think hotel great place family 's & quot ; scale & quot ; sophisticated appeal child . at price , would go back , post rate , hotel would choose . 
 Apr 3 2009 	 Ignore bad review place great 	 travel roughly 40 % time , stay hotel awful 5 star . Royalton 's 3 star fully earn . address negative thing ' ve read ; yes , place dimly light . 's intentional . like . service always attentive friendly . lobby atmospheric , , sure , place edgy . elevator small , nicely do . room fully size NYC standard , immaculate attractive . would return heartbeat . location excellent . umbrella provide guest room IPod dock . room sucky view , , rate get , ' m complain . anyone give negative review hotel receive serious thought easily dispel concern personally tour property . 
 Apr 1 2009 	 amazing ! 	 friend book place research read TripAdvisor . not disappointed . air understate elegance get fantastic location - somehow quiet right middle action ! think boutique hotel staff might little snooty , go way help we . flight cancel could not get New York next day , call , make note file say would look forward see we next day . appreciate fully within right charge we night . when get hotel , put we wrong sort room , move we profuse apology point . concierge happy make recommendation reservation we . the room quite small , beautiful . candle little postcard bracket around room amazing bed good pillow ever . surprise fall asleep afternoon arrive sleep next day ! agree comment make ' atmospheric ' lighting , sometimes difficult find room dark corridor , trendy hotel - totally unexpected . imagine 's hit celebrity - no - one would ever able make dark ! overall amazing stay - rave place anyone listen ( lot will not , well ! ) 
 Mar 30 2009 	 another great stay Royalton 	 hotel beautifully design centrally locate ... recently stay 2 night kid deluxe double . great service start doorman onto everyone else . room clean nice toiletry , rain shower tub . be great able return lively lobby night town ! .... can not wait stay ... 
 Mar 30 2009 	 terrible terrible 	 hotel absolutely awful . bad thing anyone low vision fact bellman call & quot ; recession lighting . & quot ; dark could see thing time enter front door get room . almost light hallway . room also , small compare hotel area charge much room . get room another hotel right away - worry safety . 
 Mar 28 2009 	 Fabulous hotel 	 husband get hotel priceline not sure expect . hotel fantastic priceline price , feel hit jackpot . shock get lobby 's chic fancy got , check go room , thrilled . room far big many new york hotel ' ve stay , complaint . extremely clean well - design . bathroom lovely shower come super luxurious rainshower . love toiletry . lot pillow super comfortable bed . fall asleep easily , difficult someone picky place sleep usually get insomnia home . service top - notch , impressed ! 
 Mar 26 2009 	 great location 	 great location minute walk time square , many attraction e.g . fifth avenue , rock fellar centre central park . lovely hotel , beautiful interior overall good service bar staff rude . exspensive e.g . bar dining . nice diner opposite hotel call red dragon great breakfast excellent price ! ! ! 
 Mar 21 2009 	 fantastic hotel great location 	 hotel great . stayed 3 night . excellent , attentive , service . really nice room magnificent bathroom . large room ever see certainly big enough we , great bed , sofa desk . Room keep impeccably clean serviced . plentiful supply luxury toiletry . the lobby bar area attractive , watch expensive drink : one bottle beer one small white wine cost $ 28 tax / service etc ... ! ! however negative thing could say Royalton . 
 Mar 19 2009 	 wish have bring rubber duck 	 partner stay Royalton two night February . have request Deluxe King arrival tell have upgrade Loft Suite HUGE 5 ft round bath tub fireplace . honest spend stay bath ! room not huge definitely comfortable functional - great comfy bed amazingly soft pillow ! staff friendly always great atmosphere lobby - would definitely reccommend bar . room service overprice suppose expected - be pay $ 20 coffee muffin breakfast not want tell pay 15 % service charge $ 5 delivery charge top that . we request reception last night fire lit get . phone ringing reach room , head facility say could not light fire night run fake log something , slightly disappointed . however bring 20 little oil lamp candle light fireplace instead lovely - great attention detail . hotel really centre although road 's ' quite quet unassuming be less block 5th short stroll Times Square . 
 Mar 4 2009 	 Sheik Sleeze 	 return Royalton Hotel NYC . entire hotel entrance , room , elevator , hallway one word ... claustrophobia . hallway accommodate 2 people walk opposite direction comfortably , room walk space , bathtub window normal size narrow , elevator fit around 3 4 skinny peeople nut shell darkness make feel sleazy . I awake room hard time catch breath . ( trouble respiratory system ) . room ' air stale damn hot . go downstairs exit go outside - 2 am . need water forgot fridge upstairs . staff around whatsoever people couch make drunken people walk around hotel . bizarre weird . staff whatsoever anywhere site people clothe top kissing . kind brothel hotel ? finally finally find staff person tell hotel bottled water ' like could go corner store buy water $ 10 ? ? ? serious ? hotel charge $ 200 / night water offer pay client . Santa must come sleigh big body fit one narrow opening restock water room ' fridge upstairs . really shocked sleaziness place 2 am NYC zero personnel site . dimness plus detriment hotel ask . give dreary tired feel ' experienced would never go back . kid , run place stay somewhere respectable . 
 Feb 21 2009 	 nothing bad say ... check 	 husband book two night stay Royalton . Morgans Group email we & quot ; Buy one night , get one Free & quot ; deal take advantage . pay less $ 400 two night stay , unheard NYC . experience start positve note & quot ; Neil & quot ; greet we door , take bag , walk we check - in , show we complimentary upgrade room . room spacious queen bed , seat area , completely mirror dressing room . drawer room lie clothe hang much could closet . room locate right front elevator experience minimal noise noise room nearby . our problem Royalton occur gather belonging leave . apply makeup ( keep makeup bag suitcase ) notice two product miss . use two product morning , first morning Royalton . search entire room unfortunately , could not find . religiously put product back makeup bag use , even ' m home . stay many hotel across US never personal belonging take . dishearten think someone go suitcase take something . alert front desk though apologetic , nothing could . since & quot ; Lost Found & quot ; run housekeeping department , product surface probably never . ever stay , would lock suitcase belonging . 
 Jan 28 2009 	 Christmas Royalton 	 stay Royalton sister week Christmas . standard room extremely small 1 bed ask move large room still one bed give we roll away bed . room 2 bed expensive . bathroom fantastic , slate floor wall , lot mirror . room clean date . loved hotel one exception , absolutely Christmas light decoration anywhere inside outside hotel . 
 Jan 24 2009 	 stunning hotel 	 walk lobby hotel totally seduce . 's cool place hang , drag away 5th Avenue Times Square doorstep ! 
 Jan 21 2009 	 Anniversary Getaway 	 find Roylaton Trip Advisor . love website since get good bad review . take consideration fact folk say place & quot ; dark & quot ; decide stay anyway . dark , romantic , chic sort way . dark , & quot ; be try hide something & quot ; manner . upon arrival doorman help husband unload car go inside check . go smoothe . lobby nice fireplace welcoming . bar small simple , serve creation look delicious ( try bar check review purpose , course ! ) . room ready upon arrival away go room 1203 . room small , cozy really , perfect two people . bathroom great fabulous shower . folk steal towel , however , opt shower head ! mini bar fully stock , bit pricey , not mini bar ? bed great , comfortable , comforter plenty pillow . also balcony spring would spend great deal time outside watch NYC sight . take pic balcony quickly decide cold people watching put bottle champagne chill instead ! can not say enough service hotel . outstanding . NYC not always friendly staff hotel , however , reconsider make statement . example : think hairdryer miss room ( hide bag hanging wall ) call another within 5 minute . husband give rose anniversary bring along trip place room , however , forget vase home . mention staff bring one room . husband egg not come prepared request breakfast one morning ask waiter egg recooke order . staff apologetic bring another plate , well large bowl fresh fruit eat waiting replacement . check also easy . car come back garage without long delay damage . excellent service Royalton ! ! ! would like mention one thing location hotel . easy get , drive city via Lincoln Tunnel . miss hotel first time 44th upon go around block look little hard hotel , find . hotel great location walk major attraction 5th Avenue , Macy 's , Rockefeller Center , Radio City Music Hall . put comfortable shoe , not say close , within walk distance . thank staff make 3rd Anniversary one remember . hope stay Royalton next trip NYC . 
 Jan 13 2009 	 Noise problem 	 really like room Royalton , especially huge , round bathtub shower . comfortable bed good lighting , even bit dark side . breakfast also pretty good . unfortunately , single - pane window , noise street absolutely intolerable . could sleep wink night constant noise garbage truck street . hotel calibre charge much room ( try hard modern ) excuse . Morgans Hotel Group need invest double - glaze window shut excessive noise -- mention energy saving . also , hotel reception remember companion , even though book past , Royalton , several Morgans hotel around world . with many excellent option NYC , Royalton would first choice . 
 Jan 8 2009 	 stylish hotel great location attentive service . 	 arrive hotel New Years Day . little early check staff take luggage inform us room would ready . the lobby lounge fantastic , well design funky fire . really dark atmospheric . not look hotel ( boyfriend book ) not know expect really impressed look staff soon get there . the location great ( 1 min 5th Avenue , 3 min Times Square , 5 min Library ) .returne afternoon , along dark , moody corridor room ( 10th floor ) . room really comfortable . huge bed lot comfy pillow , sofa coffee table area , desk , iPod dock , mini bar extra ( toiletry , clothe , adaptor ) small wardrobe safe , iron , dress gown umbrella ! large flat screen tv wall adjustable arm watch bed , desk sofa . I love bathroom , look great really well think seperate sink make - up area . Hairdryer plus lot great toiletry candle . bath fantastic look use - big ! towell great quality , realIy fluffy . we eat restaurant food delicious - prawn cocktail starter . staff really attentive professional . the hotel expensive side aside pricey Pinot Noir , think price accordingly quality service , certainly feel like stay . I would stay definately reccommend friend although think particular style perhaps would seem dark mysterious people . the slight negative night could hear lift room . think consider put bubble bath room go amazing bath ! 
 Jan 7 2009 	 never Disappointed Royalton 	 complaint Royalton , almost impossible find affordable deal room . favorite hotel New York City , past 15 year . comfort perfect , service staff incredibly efficient helpful , restaurant bar always excellent . past , find front desk staff indifferent doorman absent , trip wonderful surprise help need luggage , nice helpful front - desk personnel . 
 Jan 3 2009 	 Horrendous Service Overall Worth money 	 stay hotel business trip . service horrendous . staff appear care little guest hotel . example .. try get table drink bar . table label ' reserve ' not allow sit , despite fact would buy many drink pay guest hotel . may know not ask not listen . try get coffee one morning bar business meeting . despite promising send someone take order , not show . generally whole experience . felt ignore , good memory place mention , despite spend 4 night there . the room ok . decor good . atmosphere pretentious unfriendly . doormen & amp ; receptionist check - in friendly , good service stop there . I stay much nice higer rate hotel New York , always fantastic service . would definitely recommend hotel business let alone pleasure . 
 Dec 29 2008 	 Nice Renovation 	 Surprised see property show Hotwire , November business trip New York . stay Royalton several time previously generally find acceptable , bit utilitarian boutique hotel . since last visit however , do extensive renovation work modernizing room , think make big difference . everything stay solid - comfortable bed , quiet room , even nice oversized bathroom . staff efficient friendly , midtown location convenient particularly charming . would stay . 
 Dec 26 2008 	 Brilliant hotel 	 girlfriend return New York 4 pre christmas day shop general indulgance . trip awesome make well exellent Royalton hotel . lobby hallway hotel modern classy room comfortable , good size bathroom beautiful . the staff friendly helpfull location hotel could well shop times square . if someone knife throat force make one criticism place would say drink bar bit expensive else expect posh hotel . if think book hotel unsure comment book cos trust brilliant ! ! ! 
 Dec 24 2008 	 something Different change 	 look typical hotel grand well light lobby , full marble , expansive check - in desk go somewhere else . hotel place sleep , 's experience . realize head different type space get door . look like something old prison . hotel disorient . dark draw . able see find check - in desk elevator look around . continue walk space look every grotto right . leave intimate space group people enjoy music cocktail . experience continue elevator , hall finally room . room . slate floor shower , glass chrome everywhere , dimmer every lightswitch set mood . I 
 Dec 19 2008 	 Awesome hotel great central location 	 great hotel . stay 3 time seem get well . locate 44th street ( 5th & amp ; 6th street ) NY tourist , improve location . pretty much walk distance everything . Central Park , /Columbus Circle , Saks , Rockafellar Centre , 5th Avenue shop / Plaza Hotel / Trump Tower etc etc . one day walk Greenwich Village hotel lovely walk market green park . the hotel do dark muted tone common area , do not understand first stay , later realise suppose resemble ship . move hotel room , modern crisp white linen . room size fantastic compare NY generally ( even stay one bottom line room ) . service good high desire assist fantastic restaurant nearby include db bistro across road . would highly recommend hotel business traveller tourist alike . tick box . 
 Dec 12 2008 	 LOVED Royalton 	 stay Royalton Hotel week November - arrive , room not ready even though ask early check - in staff room make we immediately settle amazing room ( even though be standard room ) . decor hotel divine - totally Philippe Stark . location literally less 5 min walk Time Square . happy hotel service would definitely return . 
 Dec 4 2008 	 cool school fun stay least 	 Booked hotel day Hotwire $ 200 pleasantly surprised . midtown location close enough shopping entertainment district without overwhelmingly chaotic . someone misfortune stay chain hotel every month , think refreshing change . be definitely try make statement absence signage , dark lighting grayish - blue tone throughout hotel , include hallway bedroom . service good , room clean bed comfortable . unless kind person want spend half day hotel room , not think go wrong place . 
 Dec 2 2008 	 Fantastic Honeymoon 	 fantastic hotel . the service great , room ( suite ) amazing luxury whole hotel good . they make we feel special advice would book suite afford worth . 
 Dec 1 2008 	 consider Royalton - not 	 never disappoint hotel life . look website & amp ; ' reputation ' really look forward stay . however , seem staff actually believe hype hotel group generate . moment doorstaff watch pregnant sister struggle suitcase stair know go nightmare . if like battleship grey , see dark not suffer claustrophobia love bedroom . upgrade & amp ; still much well . even ' suite ' small . one tip - not take anything minibar , half bottle wine set back $ 45 , room service price bad . look pay $ 60 two coffee , orange & amp ; two small danish pastry . one reason book ' 44 ' bar downstairs . would love could actually got table . place busy , bar manager place ' reserve ' card bar table every night mean resident can not get place sit , regular well cater . honest two well bar street anyway actually see drink & amp ; get smile staff . all ' boutique ' replace ripoff hotel . service poor , room awful & amp ; standard fitting poor . take advice , money book proper four / five star hotel like Sofitel , Jumiera Essex House Hilton . 
 Nov 16 2008 	 Nice not plan return 	 husband stay one night due international flight layover . hip contemporary design . overall staff helpful friendly . concern hotel dark . hallway , lobby room dark . room clean although room request . reserve high level room exhaust travel not bother try change room . not know would handle request change . nice enough experience many great hotel New York price range . think probably try different hotel next time . 
 Nov 12 2008 	 nothing complain 	 stay Royalton two night November 2008 . Standard Room book Hotwire week before . check - in breeze . front desk employee nice helpful . luggage deliver room without problem within 10 minute we check ( luggage check valet day arrive early morning ) .although complain darkness , thought go well urban / modern ambiance hotel project . the room clean , spacious contrary rest hotel , well light . concierge helpful suggest restaurant well book we broadway show . location amazing . within 1 minute walking distance 5ht avenue shop within 1 minute walking distance middle Times Square . can not ask anything well first - timer New York tourist thing . , travel quite frequently stay many hotel , good bad . case , find Royalton hotel quite impressive , especially consider relatively low rate location compare Sofitel Algonquin locate directly across street , would recommend anyone consider . 
 Oct 10 2008 	 almost ... 	 surface , Royalton Hotel , New York City exactly dream luxe boutique hotel step Times Square . much day door staff hip 20 something dress casually fashionable guest hotel lobby 's popular Bar 44 . understate check - in desk easy overlook - especially busy evening , across equally unobtrusive concierge desk , look someone sit alone black MacBook . criticism hotel dark well found night darkness see mysterious , day reminiscent subterranean . find check - in desk turn far less challenging actually check - in . already find stay , part package book August , unexplainably cancel day phone , tell booking cancel note account . standing bag , 6 hour connect flight assure do . find we standard , book deluxe , room one night deluxe room next allow we put situation behind we tell would change room afternoon . morning , person work check - desk idea talk note account . sensing pattern , proceed day push nagging ' wonder room tonight ' feel head . even confusion upon return afternoon , ' no note account ' assure , move deluxe final night . standard room , though small , chic , comfortable bed , quality sheet , desk , sofa LCD tv . unlike lobby hallway room could well light include touch dimmer candle . first blush indulgently sized bathroom really impress floor ceiling slate wall , glass - in shower float counter make thick cut glass . despite attention design still stand inch water poor drainage improper slant shower floor . the deluxe room share counterpart 's stylish design aesthetic , minus sofa , offer room walk around significantly natural light . addition , deluxe room wood burn fireplace , despite use , imbue air rather woodsy scent . bathroom , another decant use space , use abundance mirror , mirror tile , slate , angle lighting create oasis charge - up unwind oversized circular tub . disappoint stand inch water shower see need re - grout calk corner new renovation . separately issue Royalton would attributable wrong place wrong time , combine seem indicative poor management . Royalton 's proximity pulse New York City exaggerated , style elegance stuff movie , truly many staff could make stay , help imagine would bit effort . 
 Oct 9 2008 	 Great Location Comfor 	 locate Midtown NYC ( 44th St 5th & amp ; 6th Ave ) everything close . walk distance good shopping world ( 5th Ave & amp ; Madison Ave ) & amp ; 2 block away Broadway & amp ; Times Square , location well . get suite lot space , fireplace , King Bed , desk , seat area & amp ; amazing bath , equip huge rounded bathtub enough three people ( luxury many hotel NYC offer ) fantastic rate . service friendly ready help ( front desk , concierge & amp ; bellboy know name , help we request promptly nicely housekeep perfect 10 score ) .my travel companion book room directly get great rate frequent guest . hotel first choice future trip NYC . 
 Oct 4 2008 	 Amazing Hotel 	 stay 5 night good friend first trip NY 3rd . first , ppl complain room size ... ny , expect room small hotel . room small side lack space make style comfort ! everything convenient spot great quality . bed .... omg bed .... almost wish city boring could lie day ! cushy warm luxurious ! love extra pillow , definitely add lie - down - and - never - want - to - get - up feel . 3 phone room , first think weird , actually work one right next bed ( lazy call ) , one desk , one bathroom . use every one point . request room amazing mirror tile bathtub ! be huge beautiful . also love glass shelf across sink we put toiletry , closet surprisingly deep able fit two suitcase dress . window look brick wall , not care since room pretty much sleep get ready go ! ipod dock super smart touch , many dance party room system great sound quality ! tv sleek plasma swivel watch movie bed long day / night . housekeeping staff incredible , leave everything spotless every day , even mail hair straightener leave ! never problem light either , even light - up vanity mirror bathroom give enough light . hallway smell slightly cigarette smoke , faint not ever come room barely noticeable . bellboy friendliest man ever meet half address we first name , nice touch ! wear black look like bar staff , little confused first , see hotel , make sense work well . front desk staff friendly well help we concern . concierge great making reservation restaurant ! know good spot good time go . location perfect well , far away enough Times Square able breathe , close 5 min walk away ! ( 2 long block ) .there 's little delis , corner store , casual restaurant , fine dining , within block hotel . also , go half block East be 5th Ave ! 2 block Bryant Park , home Fashion Week ! always seem something go . love get pastry fruit deli breakfast one many little table gigantic tree ! find end spend time village , be much culture real sense NY . be $ 10 cab away , surprised happy cheap cab ! overall , place great find lucky stay $ 250 night ! leave ton extra money shopping show ! 
 Oct 1 2008 	 Great Hotel 	 truly impressed level service receive recent stay Royalton . staff friendly extremely helpful , even take personal interest stay - provide newspaper article regard special event come NY see . hotel beautiful , clean , easy navigate . bed comfy , room huge . shower also fantastic . order room service breakfast last day , say ( many room service breakfast great hotel ) good hotel breakfast ever eat ! regret eat hotel . overall , would say postive experience , would love stay ! 
 Sep 28 2008 	 bed acceptable price ( love decor ) 	 Royalton beautiful hotel -- renovation lobby great . front desk staff good -- personable ' ve around . however , give price , stay really not worth . pay $ 449 ( tax ) superior room , weekend . room run $ 749 Thursday ( think compare mortgage payment . 2nd level room -- close expensive . ) price , experience perfect . matter nice front desk staff , matter beautiful lobby , element room , place worth price . the reason -- bed -- hard . sheet rough , starched . ' ve well sheet Hampton .. much less per night . scratchy , crinkle . posh all . the toilet paper rough . hall noisy . birthday party room near we ... go 2 am ... cigarette smoke waft . ( call front desk -- since 1 -- desk verify people guest go , 2 -- food poison partner take care ( fault hotel ) ... not time argue night clerk . ) door slam 2 am . fireplace room . use ? not know since instruction room . wireless internet ? use ? not know -- , instruction room . ( call front desk ? ' m pay fortune ... not waste time call wait . ) menu item sale room , well info Morgans hotel , minibar pricing ... good know since check charge $ 38 mini bar usage not use ... none item charge match anything list ( never tell item . ) yes , correct , indicate problem . call correct . price ? $ 449 ( think pay $ 700 / night -- doubt give well sheet ) -- totally unacceptable . love style Royalton . take look photo -- cool place . can not recommend place anymore price . in - room quality not justify . check hotel well bed well night 's sleep -- will not trendy , will not nasty bag eye . 
 Sep 19 2008 	 poor choice business traveler 	 choose Royalton client 's list approve hotel - quite look forward terrible choice someone work whilst there . I not care overall decor hotel ( dark ) - room small know . light insufficient work order desk lamp - twice - never arrive . first line phone not work result important message go Voice Mail without knowledge . 6 am wake call come 6:40 ( also set alarm excuse wake call late ) not serve hot breakfast via room service 7 am . time take continental coffee ( not eat muffin , etc ) , make expensive cup coffee ever consume ( $ 35 ) . not receive newspaper asked say & quot ; try spread around & quot ; - spread around ? maybe could gotten one section ? addition air conditioner sound like jet engine ( work improperly , not invest quieter A / c unit ) result virtually sleep 2 night . and one pet peeve - note bathroom say hang towel reuse - hook . artfully hang towel around room still replace ..... bother print note ? great experience round . 
 Sep 1 2008 	 Nice hotel clean quiet comfortable ... small single room 	 hotel came highly recommend try 8 - 30 - 08 . hotel 's decor dark . easy walk check booth ( sort hidden along wall ) even walk right past elevator tuck away . elevator tiny way .. small . hall dark room # illuminate . book single room $ 371 plus taxis ( $ 424 taxis ) . include valet park voucher hotel breakfast two . decent deal midtown manhattan saturday night labor day holiday . room quiet , sleep well . bed comfortable . crazy decor extremely small ( single room ) . also toliterie full size one sale . course small one bathroom . room do not bath , shower . fine , nice shower head good water pressure . overall would say hotel Ok little overpriced ( get good deal , overall price would expect something little bit fancy , little bit tad big ) . ok would maybe stay could not find something well area . 
 Aug 31 2008 	 cool great location 	 hotel great location tourist trap . 5th Ave , Times Square , Empire State . the bar build cool breakfast fantastic . seem pricey menu include good option . do not stay food evening comment . overall hotel good , trendy bit rock star experience always rate opinion nothing bad travel long way bored hotel . the bedroom end large bathroom large enough simple get ready although large circular bath room spa seem little pointless go effort fill 2 us design do not seem suited lounging around . however big bath stop shower water get bathroom . housekeeping be not brilliant either do not really feel like sit bath . I would stay wanted part town , get catch beer bar 12 buck downside mega trendy hotel . another downside room seem open fire effect , great winter expect summer leave room bit smelly . interesting find , real sign make sure know go taxis idea . 
 Aug 23 2008 	 Great Location 	 wife stay Royalton two night room comfortable design minimalist style please eye practical bathroom little space set toiletry . hotel run hot water one day 5 - 6pm , maintenance arrive immediately call . Maintenance fiddle shower valve call boiler room advise boiler run 150 degree properly function , many people must take shower ? ? ? real issue hotel , read review problem property . bring attention staff upon check tell " first ever hear problem " good answer tell clerk read current TA review look post . pay top $ , sort accommodation offer . love hotel even though problem , convenient many corporate office frequent tourist close Times Sq . also suggest try greek restaurant Kallari , across street hotel . 
 Aug 20 2008 	 excellent stay . perfect would return . 	 staff nice helpful . ' m particularly sensitive noise problem let see different room decide one . conceirge lovely recommend great italian restaurant . lobby relax funky good place drink head out . noise problem . stick interior room escape street noise matter interior room outside generator / air conditioner produce constant hum noise ( room right come lift low floor bad other ) . people probably bother ( partner not ) drive bit mad . we go superior room decent size dressing area . bathroom great shower Korres ( favourite ) toiletry . bed comfortable also small double . a niggle - nothing major : door handle room keep come . mention member staff fix . also one light room bulb blow replace stay seem little careless . bed quite small double decrease comfort factor . annoying ( ) coffee / tea make facility room - hard get go morning without caffeine first thing ! even niggle would still consider stay overall nice hotel New York . 
 Aug 11 2008 	 great hotel Royalton 	 go spend time NY city , hotel absolut great ! friend spend 5 night august 2008 marvellous time . friendly personel , nice clean room , rain - shower even balconny . bose i - pod dock not work , give ring reception time work dock ! hotel hip athmosfere cool bar . highly recommend ! 
