great 	 stay Carriage House 1 week Halloween 09 . return hotel 1st visit 2005 impressed upgrade room hotel receive . book 2 room son come we room large comfortable . reception area also renovate good quality furnishing . staff helpful courteous . visit Utah Death Valley whilst stay time , easy day trip . lot building work carry strip Monte Carlo Bellagio hotel ( far Carriage House ) make area dusty . also entrance Harmon Avenue strip change , not much problem something aware drive Vegas . Vegas fun city plenty , Carriage House 5 minute walk strip give welcome bit peace quiet turn night . hotel could benefit small bar restaurant strip close 's essential addition management make . would definetly stay Carriage House retune Las Vegas . 
 Jun 17 2008 	 pleasantly surprised -- Great Value 	 Carriage House one block strip MGM Planet Hollywood . room view monorail , we entertain . one - bedroom suite clean , well stocked , comfortable . kitchen equip cooking utensil , pot , pan , plate , etc . bathroom stock extra towel . likely one - bedroom suite sleep 4 ( one bed , one sofa bed ) . since two we mean towel . suite also two T.V.s , three telephone , full kitchen , dining area , living room . room third floor face monorail could hear street noise night . sound issue recommend room upper floor favorite : ear plug . downside lack restaurant continental breakfast . carriage House provide delivery ( fee ) various take - out restaurant grocery delivery . all - in - all can not beat price , location , comfort . 
 Jun 16 2008 	 well expected 	 stay Carriage House 7 day / night . good spot , right strip , maybe 5 minute walk . hotel casino kind nice . king size bed queen pull sofa . 4 adult room make little tight get ready morning , , fine . 's Vegas , course not sleep much , least not anyways . room clean furnish . hotel bus come Sunday afternoon take grocery store , nice convenience ! ! hotel foot bill ... course , tip driver though ! ! one downside pool location . large , tall building tower pool , thus allow much sun pool sunbather : ( overall , pleasant stay would recommend anyone . clean simple . 
 May 30 2008 	 love 	 party three adult Netherlands stay Carriage House 1 week . the frontdeskmember week polite friendly . the grocery service great long travel . the room clean , big enough three adult . just short walk MM shop planet Hollywood location perfect . no long row front desk . there be construction around not give we noise problem . we like stay . 
 May 5 2008 	 great stay family 	 Vegas wedding wife 16 month old son . want quiet casino hotel Carriage House perfect . thing could find wrong foot get little dirty walking kitchen floor . 
 May 2 2008 	 Best las vegas 	 want first class comfortable hotel strip near MGM grand want walk mile enter hotel get room hotelvery smart good kitchen amenitieslovely big room good view las vegasthis one 
 Apr 14 2008 	 wonderful ! 	 wonderful time Carriage House . be luxurious spacious , clean comfortable . living room , bedroom , full kitchen bathroom . great price , great location . near strip ( 5 minute walk Miracle Mile / Planet Hollywood ) away noise traffic . staff friendly , conscientious . go extra mile please . would definitely return little gem strip . 
 Mar 29 2008 	 absolutely Best Place stay Vegas 	 stay Carriage House Las Vegas March 7 - 14 2008 attend Con Expo Convention . abosolutely nice place stay Vegas ... ever ! ! trade week Interval International home resort Carriage House room absolutely wonderful ! ! nice bed ever sleep year travel , do plenty ! ! room absolutely spacious maid service well ! tell would clean room , change towel , us dish ... even ! ! impressed return Las Vegas stay Carriage House . good king size bed fluffliest pillow anywhere ! ! everyone front desk staff , concierge staff , driver take we grocery absolutely accomodating ! ! 
 Mar 28 2008 	 Excellent Family Retreat Location 	 excellent place bring family . wife 2 teenager stay 2 suite . 2 sister family stay 2 additional suite . carriage House glad put we floor , great . room come full size oven , could keesh breakfast one day . 1 bedroom suit room living area large enough 14 we get together eat ! place quiet enough night , could get good night sleep . block half back strip MGM Planet Hollywood , be excellent location . go Strip , take right , walk Bellagio see awesome fountain Paris hotel . take leave strip walk MGM NY NY , Excaliber Luxor . Walgreen 's CVS store couple block away , really come handy snack , sodas odd end need decent price . , one favorite place stay Vegas ! ! ! 
 Mar 28 2008 	 great location could clean ! 	 complete 12 night stay Carriage House . location great suite amenity ( full - size kitchen ) perfect business traveler , extremely disappointed daily & quot ; maid & quot ; service . aside make bed provide new towel bathroom , seem little , , attempt clean rest suite . vacuum clearly priority . moreover , not think clean bathroom one time two week stay . addition , pool open last four day stay . would think twice stay Carriage House . 
 Mar 26 2008 	 terrific place stay ! 	 family 5 ( include 3 child ) stay property 3 night March . separate bedroom pullout sofa living room well kitchen . spacious room hotel property keep clean . provide tennis racquet basketball play tennis court . court swimming pool separate structure locate parking lot . pool undergo renovation week , allow use gym pool Marriott hotel . use gym pool . take minute walk LV strip . within walk distance MGM hotel right across street Planet Hollywood hotel shop . New York , New York , Excalibur , Monte Carlo Bellagio hotel close . kid enjoy look & amp ; store ( 3 - d movie upstairs watch ) , block away walk towards MGM . terrific place stay visit LV . would recommend family large group people whotravel together . 
 Mar 21 2008 	 good holiday ever 	 stay carriage house Jan. 08 . birthday surprise husband 60th . know expect , read poor review . Ican say perhaps people satisfied must research accommodation amenity site booking . the apartment specious . comfortable chair sofas . the kitchen well equip dish washer.the bathroom clean lot white fluffy towel , shower . bed room large bed . must say , comfortable bed ever sleep holiday . iwould return bed alone . we feather pillow pillow top mattress . ensure excellent night sleep . we trouble building noise either . lot go around . get restaurant , bar . new book . plenty food drink outlet door step necessary.the location carriage excellent , strip . all good holiday ever . great escape carriage house peace noisy hectic day vegas 
 Mar 1 2008 	 Unethical Business Practices 	 book hotel Interval International trading time home resort . book two week . first week studio style hotel room . second week , however , suppose 1 bedroom 1 bath style hotel room - clearly upgrade first week 's accommodation . the first week go without incident . time come we move upgrade accommodation , however , number problem Carriage House . first , Management Hotel claim knowledge upgrade . produce proof upgrade , appear reluctant honor agreement , state & quot ; people change room & quot ; .Second , become apparent Carriage House book second week 1 bedroom 1 bath style accommodation another party . , unable move we request . order dissuade we , front desk staff management advise we would clear room , wait lobby six hour luggage , see room available , notwithstanding fact write confirmation Interval International . give 69 year old oxygen , proposal unacceptable , essentially force return studio style accomodation . in conclusion , would recommend Carriage House anyone book Interval International . find business practice quite deceitful unethical . 
 Feb 29 2008 	 Excellent Hotel 	 book RCI 1st exchange outside Portugal little apprehensive travel far without back travel company . worry unfounded Carriage house new block strip cut Miracle Mile shop Planet Hollywood cut corner ( maybe get lose ) please one bedroom open plan apartment King size bed also divide screen section living room sofa convert queen size bed . fully equip kitchen include dishwasher , fridge / freezer full size cooker , microwave , coffee perculator , iron , hairdryer list go on . everything spotlessly clean staff polite helpful . we already plan return next February 
 Feb 16 2008 	 great value nice place close strip 	 nice property close strip . decide stay extra night could not find anywhere open room Saturday night big fight go . 1 bedroom king suite queen murphy bed available good price . I will definitely keep mind future visit Vegas . 
 Dec 11 2007 	 great place stay . 	 trade week time share hotel . great location . People work great . book smoking room need non smoking room . even though full manage make change . quite relaxing . would stay . 
 Dec 1 2007 	 Service could well 	 come second week vacation , way back Maui . get beat tired . give room , room 2 double bed reserve non smoker king . change king next day , thing happen . second day new room tub / shower drain back wife take shower . give key take shower another room . return key , ask want move room . figure issue , . next early morning 3am smoke detector go chirp low battery alert . maintenance man say change battery chirp . un acceptable . would not send enemy . 
 Nov 28 2007 	 Perfect retreat 	 first time Vegas ( 11 - 16 Nov 07 ) glad choose Carriage House . location ideal , tuck behind Planet Hollywood MGM , minute casino , shop mode transport . long day investigate big impersonal hotel hustle , bustle noise generate , Carriage House perfect retreat . problem check , spotlessly clean well sound proof security first class . really nice get back facility eat drink whatever fancy , not always want bother venture find somewhere eat . use hotel website grocery deliver room ready arrival . wise move part , quality ist class . 21 hrs travel feel like search restaurant etc . highly recommend go back Vegas Carriage House 1st choice . useful tip , take plenty one five dollar bill , useful tipping lose less gambling , take taxi airport , 13 dollar quick . 
 Nov 26 2007 	 nice little hotel 	 return 2 night Carriage House . daughter Las Vegas see Beatles Love Show Mirage Jerry Seinfeld Caesar 's . hotel plenty free parking , conveniently locate . walk home Caesar 's problem night ( like walk -- take maybe 15 minute ) . right across street huge shopping mall Planet Hollywood -- ton mall store place eat . hotel clean attractive inside . room 2 double bed , kitchenette stove , microwave , frig , sink . free high speed internet . good sound - proof room quiet . two woman , security great . room key - card use elevator enter lobby 10 pm . staff helpful . late , give perfect direction quickly drive Mirage park avoid traffic . on way airport , pick grocery breakfast sodas Von 's Tropicana check , hear nice , new , close Albertson 's market not know leave . if want nice hotel kitchenette reasonable price ( $ 119 ) , convenient Strip ( 3 minute walk ) , would recommend hotel . 
 Nov 2 2007 	 Fantastic 	 stay way Hawaii back , staff friendly helpful . room good size clean.3 minute walk strip , good location . 
 Oct 24 2007 	 Great Surprise 	 arrive long flight pleasantly greet friendly staff . hotel not large well pleased room . view MGM Signature mountain distance . hotel location within 10 minute walk main strip well light night . facility excellent include nice pool . highly recommend wanting relax little away bright light . 
 Oct 22 2007 	 great place u want p 	 ` around 2 year ago ` change much.only complaint get rid joey ` restaurant bar top floor excellent , do not know .so u look thru rci ` description wrong . anyway , check , wee problem room be not ready 4 pm , check staff helpful upgrade superior suite excellent.room spotless maid service 1st class.the hotel quiet even construction beside planet hollywood.which way 3 min walk love place.you 5 min strip ok , do not use pool tennis court really facility look fine.they cheap ticket steve wyrick magic show planet hollywood u get cheap tx tonite , would ` love place drink b4 hit sack night ` , want beautiful suite friendly staff combine quiet place stay you . get JOEY ` BACK GREAT ! 
 Sep 30 2007 	 great hotel ! 	 stay 6 night Carriage House Hotel impressed . location great - two minute walk strip one minute walk back entrance Miracle Mile Shops Planet Hollywood . book directly hotel website get 20 % discount AA member ( AAA USA ) . actually book room give corner suite perfect ; everything could want - 42 & quot ; flatscreen tv , massive bed , fully equip kitchen ( sparklingly clean ) , dress room load hang space , iron ironing board etc . also borrow network cable front desk free high speed internet access well . all brilliant hotel unbeatable price ! 
 Sep 17 2007 	 well run establishment 	 simply wonderful , book reservation directly hotel phone reservation available online trip advisor partner . think nuisance , get well rate phone see net nuisance end . hotel stand like dwarf amongst casino hotel surround within one block walking distance Las Vegas strip . we get suite two couple , parent sweetie I . when get suite find spacious pleasing eye include good size bedroom King size bed , full living room could entertain visitor full kitchen . after check pullout bed living room realize ' accommodate two adult ( contrary opinion reservation folk phone ) . little concerned somewhat disappointed go front desk deal finding . the front desk folk " " attitude within second find we suite two adjacent room . one spacious room king size bed small kitchenette adjacent room drop Murphy bed real queen size mattress fully equip kitchen . charge extra get two room instead original suite . I mention kitchen , although ' use . fully equip new silverware , utensil kitchen stuff need . ' car staff take grocery store everyday around noon go shopping . amenity ' use like pool tennis court more . simple , affordable , convenient , comfortable- job well do ! 
 Aug 22 2007 	 Loved Carriage House 	 stay 4 night Carriage House love ! quiet , even though remodel construction across street . front desk friendly . 1 bedroom suite kitchen spacious . housekeep excellent job cleaning . bed comfy . wish breakfast restaurant close hotel . 
 Jul 22 2007 	 Excellent Hotel Location 	 first time Las Vegas hot July . Carriage House locate prime area . crowd strip . perfect place . long walk strip across street PH Miracle Mile Mall . hotel great . clean great staff . love idea get room feel safe . Washer Dryer almost every floor big help . use computer bad know people would long . thank make 1st trip vegas great ! yes would love stay . 
 Jun 19 2007 	 excellent place stay ! 	 great place stay experience Las Vegas ! husband 2nd week June , first time visit . carriage House incredibly convenient almost everything , non - smoking , non - gaming suite hotel . use timeshare exchange well worth . place well maintain nice , small perfectly adequate pool . staff friendly helpful -if ever come back Las Vegas , definitely stay . 
 Jun 11 2007 	 absolutely love place would stay ! ! 	 stay last week June 2 - 9 love everything place . security top notch . room common area spotless . one bedroom suite everything brand new spotless . large large bathroom , full kitchen , dining room living room . bedroom king size bed large comfortable mattress ever sleep anywhere . leave load extra towel bathroom drawer huge closet extra pillow blanket . staff accomodate pleasant . stay Marriott Grand Chateau last year also suit / timeshare enjoy Carriage House much . even clean room every day time share . wouild never think cook vacation , nice extra room . alll appliance brand new . think negative thing say . would recommend anyone stay next trip Vegas . location convenient , ! 
 Jun 4 2007 	 love place ! ! ! 	 stay first arrive Vegas 3 day come back california . love place , convenient strip , convenient shop forget pack something small . nice spa ! ! . safe key system not allow anyone elevator room key . wish internet service everyone , wireless pay use hotel computer . everyone carry computer vacation . also get upgrade one bedroom suite last stay , really nice , comfortable place . people helpful . even give direction go death valley , print ! ! concierge helpful . 
 May 29 2007 	 carriage house good time 	 stay carriage house four night memorial day weekend . travel two kid , wife mom . room huge kitchen . pool nice outdoors Vegas sun intense . hotel far anything , hard get around , especially kid . hike MGM Planet Hollywood nearby . hard use public transport far away ( monorail ) traffic bad might well walk . point : Vegas kid . staff carriage house nice go way helpful . place quiet weekend , Marriot next door construction , noisy week . 
 May 25 2007 	 good value average room . 	 stay May 12 - 16 . like many people want pay $ 200 + per night room new mega -deluxe & quot ; resort . & quot ; go midweek usually much cheap , charge additional $ 27 Saturday night . stay hotel 7 year ago happy see keep well . construction go around , pool close hotel parking lot small . well . great location . 1 block New Planet Hollywood shop , 2 block strip . room clean staff great . take time answer question detail . I like kitchentte room . ' m big breakfast person first day stock food . great relaxing morning instead get dress go get something eat get up . I read review construction noise take ear plug . maybe room location , construction noise problem . think noise would bad try relax pool , not bother either . air conditioner would minor complaint ... annoying . glad ear plug . this excellent value size room location . mean elegant luxurious . good hotel . hope not get squeeze everything go around . seem way thing Vegas ... old , new . let us hope keep traditional hotel we & quot ; regular & quot ; people . 
 May 21 2007 	 Loved Carriage House 	 stay Carriage House Las Vegas last four day 11 - day trip . small hotel , nine floor , one ( long ) block strip . access Miracle Mile Shops one block away great place cut avoid heat day . conveniently locate near strip , free ample parking . casino hotel , access room quick easy . access hotel monitor keycard must use enter building 10:00 p.m. time access elevator . great security ! king room small kitchenette . perfect need ! come everything need cook simple meal nice break eat seven day row . hotel supply everything need kitchen , include coffee pot , micro , stove stop , fridge , towel , dish soap , etc . we receive room third floor away construction take place around hotel amazing pace . disturb construction noise . otherwise , small buzz background , nothing disturb we . the room immaculate . bed comfortable cotton waffle - weave blanket instead velour blanket hotel seem use . front desk employee always helpful . pool open 10:00 p.m. enjoy several evening long day strip go back evening touring . snack vending area supply we ice cream treat reasonable price ( 75 cent $ 1.25 ) . pay $ 3 bottled water strip one day , could really appreciate value ice cream treat 75 cent ! ! ) would recommend hotel whoeheartedly anyone . $ 70 night , 's value can not beat & quot ; off - strip & quot ; property . 
 may 3 2007 	 another great stay 	 second stay Carriage House . last year , really want suite hotel see good review one tripadvisor . year not really need suite decide stay anyway . 's right strip walk Dessert Passages Mall ( turn Miracle Mile Mall ) Planet Hollywood Casino ( formerly Aladdin ) . even last July live tell . great place stay want break crowd dodge slot machine -- casino . staff friendly helpful . problem drain tub fix right away . would definitely stay . 
 Apr 18 2007 	 good value location 	 stay three night one bedroom suite mid April . follow instruction find hotel easily enough could park close entrance . small comparison Las Vegas hotel , make smooth . coffee available morning . swimming pool , smallish handy . basketball court ( kid love ) , overlap tennis court . our suite not huge , work fine . slightly odd smell room , could open window slightly . good sized kitchen area . lot construction work around , many part Vegas . could noisy night , one night approach problem . might want check would could problem ( although would appear common problem Vegas ) .Easy walk Desert Passage onto Strip . we pay $ 95 - 129 night seem real bargain . certainly would stay peaceful strip non - casino ambience , location value . 
 Apr 12 2007 	 Carriage House - Excellent Value 	 spend two night Carriage House one bedroom suite . much room dining / family room area sofa bed pull . complaint comfort sofa bed , pillow foamy & amp ; stiff . bedroom quite large large vanity / sink area . normal size bathroom one sink & amp ; bathtub / shower good water pressure . every kitchen supply one fry pan . cook four , would helpful ! spent couple hour pool . crowd nice water warm refreshing ! front desk helpful request taxi service airport . fancy , perfect family want little quiet time . many good hotel free attraction within walking distance . go Eiffel Tower night see light ! 
 Apr 11 2007 	 great location much construction 	 three we stay nonsmoke one - bedroom unit ( 524 ) April 2 - 5 quite comfortable . southeast corner unit large , especially compare one - bedroom unit ( stay family member ) locate upper floor middle west side . room clean pool fine . front desk staff helpful . unlucky coincidence , road behind hotel repave start night arrive , addition jack - hammer asphalt truck back - up beep , inconvenience difficult entry parking lot . pave complete time leave , still huge construction project next door across street . enjoy near Strip almost across street nonsmoking Desert Passage ( Aladdin / Planet Hollywood ) shopping area , also give we alternative walk route Strip , connect we right crosswalk Bellagio . one evening walk Carriage House Monte Carlo , Treasure Island . within 1 mile hotel . family , able park right outside , walk casino , kitchen strong recommendation stay small non - gambling place . construction widespread next time call hotel directly get specific nearby project book anything near Strip . 
 Feb 6 2007 	 Loved unit 	 book 2 bedroom , 2 bath unit RCI exchange . pleasantly surprised overall size unit decor . although use due time year , hotel nice pool hot tub . Daily maid service plus , something use timeshare . hotel 2 short block strip across street Alladdin . secure environment , snack machine lobby , 24 hour man front desk , security guard duty , high speed internet access room , computer lobby . enjoyable time , would definitely recommend hotel . also , not miss Fremont Street ( downtown ) . wait till last day go wish go first - affordable Black Jack Roulette . 
 Feb 5 2007 	 Great Hotel Great Location ! 	 great hotel great location , couple block strip . be next Aladdin . the suite huge , 4 we comfortable . room clean quite , hear construction noise there . it great return quiet room night noise smoke casino . definetly stay ! 
 Dec 14 2006 	 great place Strip ! 	 hotel great place stay want escape noise Strip . room self - contain , great we sick fast food . pool bit small , apart , great . 
 Dec 8 2006 	 great place long stay 	 stay Carriage House 7 night November 06 part 2 week vacation Las Vegas . first week stay casino / gaming hotel ( see review Orleans Hotel & amp ; Casino ) upon return trip Grand Canyon , check Carriage House . staff friendly even remember wedding anniversary ( mention booking ) . book suite , absolutely wonderful . box chocolate await we dining table card think nice touch . sit - room area really huge , big comfy sofa large coffee table . 2 tv set suite , one bedroom one sitting - room area . bedroom king size bed good quality linen spare bed large closet . also iron board , iron vacuum cleaner ! round dining table 4 chair , breakfast bar 2 stool fully equip kitchen full size oven , electric hob , dish washer , microwave , fridge coffee maker . cutlery crockery spotless , fry pan , pot , bowl etc reasonably new good condition . supply we dishwasher powder washing - up liquid , tea towel etc . fault could find suite bathroom small compare place stay , bath large walk - in shower instead . not plan spending time bathroom anyway , not much issue . pool hot tub situate across lobby need use room key access pool area mean nobody wander street . the pool heat able use even though pool area shade large part day . also tennis court , although use personally , see couple enjoy couple set . carriage House within easy walk distance Desert Passage Aladdin , load shop place eat . minute walk take Strip wish buy show ticket , advisable get large Coca - Cola shape ticket booth around 10.15am . shutter open 11 am find line start form early . currently build work go EVERYWHERE around Vegas , never seem much construction work happen time . also mean lot dust , heavy traffic congestion certain area . also two large construction site adjacent Carriage House worker start early morning . light sleeper may disturb noise , much ask free pair ear plugs reception desk . find , however , 3rd night get accustomed noise bother much . otherwise really nothing find fault hotel . laundry room coin operate washer dryer , internet access terminal lobby laptop / notebook connect room . hesitation recommend anyone wish stay busy , smoky , game hotel . be travel kid want relax , quiet environment place . definetely stay next time head Vegas . 
 Nov 26 2006 	 nice respite hectic strip 	 lot go Vegas find Carriage Housea nice break action . facility clean . staff hospitable . tennis / basketball court , fence pool internet access , concierge service , vend machine , parking site . conveniently walkable Aladdin Passage Mall . plenty venue dining , convenience / quick market within mall strip block North . hotel within reach well . gaming machine will find nearby . rate reasonable . refrigerator , microwave stove top save money convenience throw something quick together not want go eat . there number construction project within Las Vegas may cause inconvenience hotel number other area . will find property good value . 
 Nov 15 2006 	 beware cancellation 	 make cancel reservation use hotel 's website . e - mail confirmation . however ..... charge we 1 night stay anyhow ..... take three phone call get credit . happen overlooked cancellation ! 
 Oct 28 2006 	 beware -- timeshare ! ! 	 stay Carriage House Las Vegas 4th July weekend . came highly recommend accord Trip Advisor user , disappointed . staff tell we block half strip think teen would easy time get back forth strip . long block half road construction almost entire way walk street . every time get elevator , use room make sure button press right time not go anywhere . challenge carry anything hand . need ice . ice 9th floor ENTIRE hotel ! ! go get ice , floor total darkness afraid get . staff fine kitchen area nice enough clean . pool regular pool , cross parking lot get . happy hot tub . one tell time share property explain . would never stay . 
 oct 4 2006 	 nice NON - CASINO Hotel 	 first trip Las Vegas friend suggest stay non - casino hotel since neither we smoke . check tripadvisor , decide Carriage House . call hotel directly get reasonable rate . I ve always find get good rate call hotel directly ... sometimes , depend talk end agreeable be . the noise issue read not really affect we ... hardly noticeable . King Room 8th floor , backside . quite honestly , A / c kicking ( remedy turn fan position ) botherd we more . the hotel 1/2 block Strip Harmon , near Alladin ... 15 minute Airport . quite place eat nearby Alladin Mall , Harley Davidson restaurant corner Harmon Strip ... good BBQ ... tamba indian restaurant nearby good . 1/2 price ticket booth north Harmon side street . every visitor stop see show ticket available discount .... sometimes 50 % ... sometimes 25 % . never hurt check daily . staff friendly . we walk almost everywhere hotel , make exception attraction away .... Freemont Street . drive Hoover Dam take 40 minute . ' ve post & quot ; las Vegas & quot ; review talk , rate attraction , etc . the pool hot tub adequate - nothing spectacular . room clean spacious need . spend little time ina hotel travel ... rest hour afternoon , come back sleep . one thing notice small bathroom way door situate ... difficult enter close door . access lobby restrict 10 pm , also need room key access upper floor via elevator ( pool area ) . think pool area open later 10 pm . several time , long day , would like get spa , area close . all , enjoy Carriage House could park inside 1 minute without walk mile througha smokey casino . be close everything 's clean friendly staff . definitely stay . 
 Oct 3 2006 	 Oustanding Staff 	 check Carriage House 4 night celebrate pre birthday Vegas friend . rate great place okay - definitely need update speak . construction 3 side property ask quiet room . non - smoking room end okay , smoke - even though make sign agree pay penalty . need work modem bedstand quick work maintenance staff modem move across room . staff also change every piece linen room put air clean rid room smoke odor . even give box candy birthday ! location 2 block away Desert Passage entrance never feel scared nervous walking . hotel need spruce - staff everything could make stay fabulous ! ! 
 Sep 7 2006 	 well value casino hotel 	 stay 3 night August please . short walk back strip benefit space kitchen make . could stay casino hotel , big queue breakfast . room one newly refit one good . even towel bath mat fluffy new . review say old room bit tired refit soon complete let put . like fact use room key lift , one could wander in . the complaint cost short call UK $ 45 ( £ 25 ) vodaphone network work Nevada Arizona warn travel mobile network UKIf return Vegas stay 
 Sep 7 2006 	 Vegas oasis 	 spend time hotel Vegas ( work conference ) , appreciate Carriage House . not walk 10 15 minute inside hotel destination -- elevator step lobby entrance . grateful walk smoky casino start end day . able make breakfast instead stand line restaurant every morning treat . the staff friendly , helpful , fast little thing come . suite less cost room Strip , enjoy fully equip kitchen living room relax well . recommend hotel anyone want close Strip away appreciate convenience kitchen normal - size lobby . 
 Jul 14 2006 	 Disappointed 	 Stayed Carriage House 2 night end 2 week holiday visit Mammoth , Lee Vining , Yosemite , Beatty Death Valley . we notify previously construction work around hotel tell 7.00am . our first day Independence Day therefore work second morning work start 4.00am ! ! not worth ask move 2 night warning ! room fine bathroom small american standard . pity eat hotel pool small .We stay Tuscany Suites 3 night begin trip hotel cheaper much well , dining facility much nice pool surrounding . would not stay altho ' agree friendly staff . 
 Jun 2 2006 	 great stay 	 stay Carriage House week start May . four adult share room find spacious comfortable . bathroom lovely large well equip kitchen . staff friendly helpfull we stay . Located Strip quiet . would certainly stay . 
 May 29 2006 	 pleasant suprise 	 get home feel need tell reader site . stayed week , read forum leave look forward , guess , good . arrive early resort unlike other check 4pm . room 405 , get , refuse , want daylight view , top palm tree right glass shame really room excellent . ask move get one 3 day , upstairs 517 similar room daylight view 15 hotel / casino . staff facilite good complaint all . nice pool , free coffe 6 10am . welcome meet full good truthful fact hard sell excursion timeshare . take advice concierge eat MAX 's Desert Passage opposite boy boy deal Breakfast lunch $ 3.99 menu acceptable , use it . overal great week , well locate 5 min walk desert passage strip . room service every day - resident approachable friendly make lot new friend return year . keep Carriage House . 
 may 12 2006 	 Perfect week stay 	 firstly , yes disappointing Joeys close . travel total 18 hour look forward , never mind . the hotel perfect group friend stay Las Vegas . one bedroom suite double sofa bed , 2 single sofa bed , double bed bedroom . kitchen well equip fridge/ freezer , ice machine , microwave , coffee maker etc etc . swim pool nice size jacuzzi inviting . location great , 10 minute walk either aladdin mgm ( monorail station ) . build work never affect we window block noise . great choice week holiday . 
 may 4 2006 	 great stay Joey 's Bistro Go ! 	 read previous review hotel decide stay due location along strip . arrive hotel early around 10 am guest service clerk hotel excellent friendly . able get we room early room nice . room face new construction build bother could barely hear noise window close . pool also nice well keep . arrive weekend 28th April . hotel block away strip walk short one strip next Aladdin Hotel . would recommend eat Harley Davidson resturant get chance food reasonably price good . disappointed see sign hotel state Joeys Bistro close indefinately . wish know prior book hotel since nowhere eat hotel . would like least continental breakfast hotel since Bistro open . would stay hotel enjoy stay would recommend other . 
 Apr 28 2006 	 first impression wrong ! 	 first impression Carriage House good . least twenty year since last drive Las Vegas take hour drive couple mile Airport- manage miss Carriage House block least three attempt . moment hotel surround large building site first impression good . happily impression wrong , inside , build work problem . suite top floor renovate - brand new furniture fitting . staff friendly helpful . carriage House well situate 100 metre entrance Passage Mall Alladdin easy walk strip attraction , also nice little way crowd strip . need Taxi go underground parking area Alladdin taxi rank . taxi do not seem like come hotel well go find one . we certainly stay Carriage House Las Vegas . 
 Apr 22 2006 	 great location friendly staff . 	 Overall really like Carriage House Hotel . oasis casino , one block strip easy find , right behind Aladdin . one issue would spoken reservation agent phone say large suite two pull out would suitable two child . say would book online later . however , arrive , room pretty small especially sofa bed pull . past midnight speak person front desk offer rollaway . next day transpire large room not allocate book online . shall remember next time . never mention reservationist . the suite overall fine kitchen area large , clean well equip would great long . bathroom small shower , tub . goody include shampoo , lotion soap though pick show hat reception . pool across car parking though photo look much close . construction work go nearby not hear . restaurant apparently close right though course million place eat . would definitely stay could get one big room not feel cramp . staff friendly helpful . 
 Mar 25 2006 	 Hotel great taxi service poor 	 Carriage house perfect hotel every way transportation walk destination . need cab hotel . average wait taxi 20 - 45 min . cool need ride airport catch plane . hotel shuttle service would helpfull . 
 Mar 22 2006 	 Family vacation - non gaming hotel 	 stay central strip Carriage House good family hotel . suite large living room , dining area , full kitchen . heat pool jacuzzi . non - gaming hotel place lovely quiet , good place rest full day sensory overload . friendly staff , good family restaurant top floor hotel , Joey's . Rates reasonable location excellent . 
 Mar 20 2006 	 will back 	 spend two night 1 bedroom suite Carriage House early March 2006 . hotel staff friendly upon check - in open door room know hit jackpot ( not Las Vegas gamble ) . find place extremely clean . plenty room space especially consider queen size pull sofa 2 twin size pullout oversize chair , well full compliment linen . kitchen full size refer ice maker , stove , dishwasher microwave . well stock glassware , pot , pan , etc . kitchen table 4 chair clean sturdy . bathroom large , handicap ready . even in - room safe . 1 block Strip . never move car entire time stay Carriage House . however , concern construction noise go across street ( whole area ) . wake early hour morning , however , not seem bother wife two son . regardless , next visit sin city Carriage House . 
 Feb 13 2006 	 live good review 	 busy weekend stay lot casino sell . stay single friend mine weekend getaway kids significant want close strip able go easily without hassle shuttle . location great , right behind Aladdin Desert Passage mall , within easy walk distance Las Vegas Blvd ( strip ) . room large comfortable clean , well stock towel size shampoo / lotion etc . pillow great , fluffy hotel pillow bed firm comfortable . lot closet space , iron w/ ironing board enough hanger we multitude outfit go . shower GREAT ! hot water lot water pressure , well shower home . even real bathmat bathroom , towel one . kitchenette nice eat leftover breakfast ( PF Changs Aladdin take - out great next day late night munching ) . overall please likely staying go back Vegas husband . would highly suggest place family kid . another busy weekend would probably stay casino resort simply two gal want go party , long stay family would recommend Carriage House . 
 Feb 12 2006 	 Perfect family ! 	 stay Carriage House 5 night first trip Las Vegas -- -2 adult & amp ; 3 kid , & amp ; another along way ! can not think anything negative say experience ! good : -took time get car room since 's casino place , important since kid would pass time get back hotel - our suite roomy , almost 700 sq . foot not get 's face , even importantly ! -we save $ $ taking advantage full sized , well equip kitchen & amp ; breakfast every morning room - staff helpful , polite & amp ; friendly - dinner Joey 's upstairs reasonably price & amp ; taste pretty good ! & quot ; create pasta & quot ; night go $ 7.99 ! plus 15 % hotel guest discount coupon - hotel quiet & amp ; peaceful , compare strip hotel - wash machine / dryer come handy we since little one sick time trip - tho rental car , Strip close , minute away ..... ( adult 's pace ! ) overall , family small child , wonderful place stay , especially rent car & amp ; enjoy valet parking everywhere go ! 
 Feb 9 2006 	 Excellent . perfect location . top staff . 	 marvellous location . excellent , friendly , helpful staff . room great well equip kitchenette . free internet connection laptop . large carpark . easy walk strip . we stay two week go back . definitely consider place not want walk noisy casino every time go come back . the alladdin desert shop across road ton eat place , great shop indoor thunder storm ! ! try Todai buffet . grab Las vegas guide magazine anything collect coupon ; will save lot eat show . 
