nice 	 planning anniversary trip , want find place away craziness strip . Red Rock Hotel perfect alternative . not gambler change pace welcome . 's flashy noisy typical strip hotel . also plenty site like movie theater bowling . be within 20 minute Red Rock Canyon park 25 minute strip . unfortunately , cool enjoy pool check also nice . workout room little small side everything need get decent workout . we family live Vegas typically try visit every couple year will definitely go back Red Rock . 
 Nov 18 2008 	 9 day relaxation - Awesome 	 Booked vacation US Air Vacations . Stayed 7/11 - 18/08 . stay wife two kid . love . two room enough space make kid feel special . staff great us kid . resturant good food court great lunch . movie theater bowling alley perfect match family vacation , another reason pick RRCRS . spent day Grand Canyon , go strip twice . eat Mesa Grill time . rent car 's worth . casino smokey table pay . sport book nice bar great well . resort charge ( @ $ 22 / day ) worth tte water , fruit workout room . rr business trip . want keep kid away strip , RRCRS perfect . thank ..... come back . 
 Nov 18 2008 	 fancy mall . 	 stay three day youth soccer tournament . first bad … reading list amenity bowl movie theater many restaurant lead we believe Red Rocks might good choice . needless say multiple team , parent coach book quite room . team make well behave teenager , boy girl , multiple state adult assign room team age 15 18 year . soon discover youth friendly hotel " mall like " kid friendly food court kick anyone 18 directly accompany adult 7:30 pm . 7:30 seem little early game schedule run till 9:00pm . well behave youth 15 18 year ' need hand hold mall food court . mention cost feeding multiple group team different schedule 20 plus time non food court restaurant price start around $ 18- $ 20 ! kid like pizza , burger , fast food readily easily available restaurant . movie theater bowl curfew policy make hotel poor choice need . wrong thinking people go Las Vegas casino resort ' go watch movie go bowling ? whole place make think glitzy plastic mall restaurant bar floor room . mention other bathroom open shower door curtain allow entire bathroom become swamp . good gimmicky little LCD wall tv inset bath room mirror one slip - slide standing water ? good … the adult well table , bartender main lobby bar good , staff friendly set northwest strip near foothills nice . 
 Nov 14 2008 	 Fantastic Hotel ` ` Deserts '' 	 sit away ' Strip ' edge Mohave Desert , Red Rock Hotel outshine competition style , design , service , view luxuary . go , Vegas , climb magical Mohave Desert . smart hotel cheerfully accommodate clink lobby laden climbing gear morning grubby return evening freshen luxuriate sensational spa . open two half year , entire hotel building fixture immaculate , staff start ; loyal , attentive , informed , unobtrusive . if want garish excess downtown Las Vegas , glitz , crime continual in - your - face marketing prostitute , stay one ludicrous plastic theme - park dump Strip . want quiet luxury , peace top notch service , Red Rock you . you drive take courtesy transport Vegas sample without contaminated , return relative sanity , big beautiful bedroom breathtaking view desert , gorgeous pool area four poster sun bed , , gambling set well away main guest amenity , really could tempt go anywhere else . having stay hundred hotel , Travelodge Ritz , easy impress , impressed . first hotel definitely want return , unforgettable view red rock glowing across magical desert landscape . 
 Nov 12 2008 	 wonderful property ! 	 husband end book last night Vegas property Caesars Palace space final night . glad ! pick resort courtesy shuttle Strip ( Fashion Show Mall ) check Caesars . shuttle basically limo bus much well hail cab . check greet bottled water bag bring room promptly , even allow check noon- instead wait 3 state . room floor 17 overlook Red Rock Canyon ( give option choose strip beautiful ! ) . room huge flat screen tv room floor cele window , bathroom seperate glass enlose shower separate tub flat screen tv tub . nice watch today show check : ) resort great , go bowling onsite first night great ( kind expensive ) dinner Terra Rossa . restaurant great pasta , crowded , nice open kitchen . resort fairly easy navigate public area main floor , casino . also non smoking slots- much appreciate well . little chilly get pool sun besides . nice zero entry pool 2 hot tub well big courtyard call & quot ; backyard & quot ; . 
 Nov 9 2008 	 Fabulous ! 	 book hotel base low price seeing stay one night , get wish stay long . standard amazing ! staff friendly great chat . room unbelievably beautiful low cost ! clean nice decor tv bath ! apparently 's casino movie & quot ; 21 & quot ; film at . it be $ 35us taxi ride strip ok , catch free shuttle bus can . the problem people room next we loud obviously party whole night away tell staff keep ( ) kick morning . we would definately stay . 
 Nov 9 2008 	 pretty nice place 	 nice hotel isolatedI work convention . grand old time . & quot ; Salt Lick & quot ; restaurant one good BBQ joint Las Vegas . the pool quite nice staff friendly . the problem separate strip . nice casino visit want get strip hang local . 
 Nov 3 2008 	 Red Rock Rules 	 spend four day convention , king room wonderful mountain view . pleasant stay , enjoy pool area spacious lounger . bring beverage pool , good waitstaff ask need drink . service considerably well casino offer Petron margarita ... exquisite . food good area include buffet . Dinner Bones restaurant ok . other party rave steak Lobster . room far elevator ok . other might want request one close pool elevator . use complementary shuttle strip work well . movie theater bowling alley onsite , not use . great time casino , video poker , Monopoly Wizard Oz slot . ton penny slot . something everyone include not gamble . back . 
 Nov 2 2008 	 Awesome room ! Awesome view ! 	 stay Red Rock recent convention trip . fabulous stay , great room . room sumptuous , average . bed heavenly , stay numerous hotel bed . bathroom great . huge , deep bathtub welcome retreat long day . stand alone shower separate toilet area great well . careful mini bar touch sensitive mini - bar , item remove 45 sec charge . come small child , warn child level . I lucky enough wonderful mountain pool view , fellow traveler overlook parking garage distant strip view . truly awe inspire see mountain every day . lobby may impressive strip hotel , surely welcome , property family friendly oppose many strip property . I would say hotel restaurant leave bit desire . burger place , LBS okay , experience property sit - down restaurant , service painfully slow . restaurant , well food court hotel . sandwich place food court one good experience far food property . many reviewer touch , property u - shape property , elevator locate center , chance room far haul lobby elevator . another set elevator go pool . hotel shop also leave bit desire , forget anything would like late night snack , guess hotel want order room service , shop little offer , besides over - price clothing . there shuttle strip plan head , make sure pickup schedule concerige desk . run limited hour , cab $ 50 trip one way . shuttle run Fashion Mall , make sure planning use shuttle get clear specification catch shuttle way back . pick low level mall , gap . helpful info schedule say North Entrance , mark well actual mall . overall stay Red Rock great , watch small pitfall . prepared relax wonderful sleep fabulous bed ! 
 Oct 31 2008 	 enforce swankiness 	 ' m big fan LV conference # 2 , little cranky stay . time stay , hotel periphery LV past Summerlin , well beyond strip . get via $ 50 cab ride airport . shuttle airport run every 2 hour . lobby room elegant modern sort fake LV way . service lax . take nearly 45 minute room service . casino look like , huge several restaurant . , good thing place pool , mean lounge cocktail . service ok . one ever hurry . apparently , hire 20 - something year old brunette woman 5 ' 2 & quot ; waitstaff pool insist wear Juicy Couture type sweat . ( realize might appeal people ... want cocktail reprieve conference blah , blah , blah . ) encourage we check use keyboard room ; battery miss mine . another instance ' just sort shrug shoulder ' service . , hotel like lot other like charge every service , like wireless , resort ( be stay one ) , find annoying . 
 Oct 31 2008 	 great ! 	 arrive Vegas Friday stay Rio wonderful ! move Red Rock Saturday Sunday . suit reserve give away regular room available . room dirty hair tub . next evening move suit . " disturb " sign post find clean crew room . tv bathroom ' work provide we one robe ( room suppose two robe ) . certain charge compd . come find , many charge credit card . last day eat buffet breakfast waitress extremely rude . needless say , stay ever ! 
 Oct 20 2008 	 surprise ! 	 recently attend conference Red Rock love spite fact strip . room spacious nicely appoint . spare expense property hotel spectacular . problem coffee maker room . quite assortment restaurant choose even food court family tight budget . issue Service receive look material send hotel tradeshow . one could find even though clear signature tracking form .... great stay even money casino . suggestion would rent car want make trip Strip cab ride costly ... cost $ 55 airport hotel $ 45 dollar strip hotel . 
 Oct 20 2008 	 mixed review 	 stay Red Rock three night attend travel conference . conference facilite highly recommend . well design high tech . the hotel beautiful fantastic pool area . lot lounger ( never time use ) several small pool extend huge main one . great area sun worshiper . several dining opportunity Feast Buffet Cops Steakhouse . also food court area lot & quot ; quick & quot ; dining option . casio large several thousand slot every game possible . the room bite weird . good size bed comfortable 42 & quot ; plasma tv could never quite figure . room however dark . even light turn still problem see . bathroom although good size awkward two lady share room open configuration . toilet privacy shower curtain . several attendee speak set sure know get decide stay type room . another drawback hotel opinion far Stripe getting cost $ 75.00 taxi . if want heart city hotel . want away glitz could place . even movie theatre bowling alley . staff frieindly overly . housekeeping staff slow picking room service trolly . sure would stay next trip . 
 Oct 15 2008 	 Best Hotel ever 	 Red Rock good hotel ever ! would want stay even not Las Vegas . hotel clean smokey . room beautiful spacious . plenty entertainment option besides gambling ( e.g . bowling , movie , shopping , fine dining ) . pool amazing free use fitness area spa , unusual Vegas . restaurant awesome . spend perfect afternoon bar Salt Lick , eat BBQ , drink wine , play video blackjack . say enough good thing hotel ! one drawback pretty far airport strip , however find free shuttle airport ! ! ! can not wait go back ! 
 Oct 13 2008 	 not stay value sleep ! 	 luxurious hotel decorate art deco style . room large well appoint , plenty dining option cover wide range cuisine pool area beautiful . staff friendly courteous . problem hotel 's night club , allow blast loud rock music 3 a.m. Friday Saturday night . bass percussion clearly audible guest room face pool area . type noise block make sleep extremely difficult . call complain , give two option : move another room use earplug . ( already try earplug ) seminar substantial amount clothing belonging we , move practical , especially middle night already dress bed . staff well aware problem night club , receive many complaint tell we & quot ; feel sorry & quot ; guest . recommendation : not stay actually want sleep night unless willing pay extra & quot ; strip view & quot ; room . 
 Oct 12 2008 	 great place 	 great accomodation ( room , space decor hotel ) fantastic pool ( lot chair ) , staff cordial eating place choice . concierge ( purposefully ) not want mention across street Olive Garden , mexican great asian restaurant , plus Costco wine . Shuttle stop pick - up strip 9 pm difficult get back show disadvantage fabulous resort . 
 Oct 7 2008 	 Beautiful Hotel - Service good 	 stay Red Rock weekend . hotel beautiful aspect service excellent still troubling issue . 1 . long morning pool Friday ask order lunch . tell hotel long serve lunch pool Weekdays would need buy food foodcourt . complain serveral different level shockingly one know new policy ( ) .2 . wait staff pool young , inexpereienced , interested service . contribute factor could fact not earn tip , tip automatically add bill.3 . concierge leave alot desire . first call regard show ticket , tell could not help call Ticketmaster . second call dinner reservation consist put hold , tell would receive call back . never call back . for high end resort Red Rock would expect much high level service . several employee speak seem infer economy blame . surely hope . 
 Oct 1 2008 	 Outstanding Stay Red Rock 	 beautiful hotel well worth stay . not single complaint . lay not go casino get room . room plush , two plasma tv 's . bed comfortable high quality linen . separate shower bath tub . room two queen bed large . also , view Strip 15th floor outstanding . 's easy park near room cover garage difficult find . eat LBS great place . hamburgs veggie burger . also go buffet outstanding . highly recommend stay Red Rock Hotel . 
 Sep 29 2008 	 third visit still great ! 	 not want repeat everybody else say , yet another excellent time Red Rock . ' ve notice many people issue Front Desk . check - in could go smoothly . call week ahead speak somebody front desk would check ( work quite well hotel ) . confirm reservation special request . arrive , everything ready . Valet , Bellman , Front Desk , Housekeeping treat we like big shot ( be ) . eat T - Bones Steakhouse Terra Rosa . like steakhouse , usual , italian restaurant seem put quantity quality . hate waste food , portion way large . however , server & quot ; entertain & quot ; we story chick really dig . food fall short expectation , really fun ! sure rent car , try local retaurant outside casino , Concierge always helpful . fun careful , times tough crime Vegas . 
 Sep 24 2008 	 Red Rock rock ! 	 Highlights:1 . Onyx Bar . well drink price tiny humidor . staff lovely . 2 . room . simply utterly gorgeous . italian marble EVERYWHERE . sumptuous bed ever sleep . 15th floor good view Strip . tub die . ( ' m still try figure way take ! : p ) 3 . food . everything cheese steak almost South Jersey worthy upscale dining . leave hungry , be damn fault ! 4 . view Strip mountain side . can not lose . 5 . amenity : imax theater , kid place , kick [ - ] bowling ally.6 . bowling alley 's food . oy . cheap hell OMFG good ton . 7 . room pricing . MGM Quality room price . 8 . front hotel look like hotel . casino upstairs right . 99 % hotel Vegas , first thing get slap casino . be loud , be noisy , may Vegas make 's money , slap right bat bit disconcert . paraphrase friend : Sensory Overload . adore hotel WAIT get back . 
 Sep 22 2008 	 Nice Change Pace Preschooler 	 return two night stay Red Rock . first , read hear family friendly property , eager see offer . pregnant travel preschool - age child . looksthe room , hotel , casino , restaurant , pool area spotless modern , complaint . thing easy enough navigate quickly . check easy set apart rest casino area make relax quiet arrival transition resort . two Starbucks foodcourt addition buffet restaurant . layout later . chargesas another reviewer mention , quite extra charge potential extra charge irk we . resort fee daily seem excessive . work room charge ? make sense ! know do , say , not like one bit . RoomsFirst view spectacular- right red rock . 9th floor . love wake early every morning see mountain glow . promise mention reviewer , bed amazingly comfortable , pillow great , robe slipper wonderful . consider purchase take home ( pricey though ) . bathroom spacious spotless , well stocked . deep tub flat screen tv . daughter think really cool . unfortunately , 10 different box snack food right toddler reach level . box remove long 45 second , charge . constantly jockey daughter try explain first day . actually really appreciate snack available absolutely nowhere hide existence make known . would prefer cabinet minibar ' ve see hotel . , since know travel child , could remove put high . kind thing irk , sure request removal advance . 's worth , quality snack goodie pretty good- adult kid . bunch snicker coke . on second night , interrupt three time housekeeping staff try turn - down service . Thought make clear first time not need . adjoining room , first time answer door , say thank . come second door , though call , & quot ; thank , be set & quot ; use card key enter room anyway , terrify daughter . maid insist handing chocolate , daughter could stop ask ( already bed brush teeth- argh ) . conveniently notice fancy & quot ; disturb & quot ; light button doors- finally asleep . this picayune , cable channel not great kid . realize be watch tv helpful . PBS , Nick Disney . kid movie available pay movie service , either . odd . easy fix one hope make . PoolThe pool area lovely . group pre - reserved cabanas nice , little far main pool area ( not choose cabana , fault ) . take hour arrive stock fridge promise . kind , literally tell four time two staff member & quot ; take care & quot ; not come age later , get selection one kind juice soda . able bring we breakfast goody , coffee , snack later day ( entire pool menu available , course ) . cabanas area back , get bit windblown we . entire area well lay plenty chaise cool bed / cabana also reservable , pool completely cool shaded late morning . maybe nice prime heat summer . time year bit chilly , kids hotel congregate jacuzzi tub , taste , big pool cold even sun blaze pool . big pool absolutely perfect small kids- major kudo design . wade area around entire edge safe lot fun pre - swimming set . fun waterfall right middle . lot chaise lounge come right edge pool , convenient ( be comfy , ) . pool area snackbar / cafe area , pay $ 18 virgin colada mum icecream sandwich daughter . um , wow . get three different flavor ice cream- one would fine . sometimes simple well kid , eh ? get towel way day , day scoop folk . first day actually happen twice , come water shivering find someone take . upon request new one , pool staff go way back check - in area grab new ones- notice first attend vip rope area attend we . maybe need towel station locate throughout pool area instead check - in . perhaps need absolutely sure everyone enter pool area well stock towel people not feel grab other ? Room ServiceAlways nice thing young child . $ 6 box cereal . can not order tea coffee in - room without order entire carafe . mean $ 8 cup tea coffee . could not order single cup , tea bag coffee machine room . Sigh . Guess want go starbuck . however menu lengthy child - friendly item . order process smooth , delivery fast . kid ActivitiesThe arcade crowd fun . bowling alley- neat place something different we Vegas- surprise even 3 year old enjoy . make use KidsQuest apparently vaccination record required- plan use service , plan ahead . 's movie theatre , ( Regal Cinemas ) . food court good selection different type kid - friendly food ( italian , Ice Cream , Chinese , etc ) though cater food group weekend ( delicious service excellent ) . child - friendly amenity opposite end hotel area , will cut casino smoke chaos get . walk get little long , suppose can not change . bring stroller . spaspa lovely one good treatment ' ve ever . usually get type treatment whenever use hotel spa ' ve good comparison . excellent . check quick . list available service extensive- massage salon service include manis pedis , body wax ( ? ) , first time ' ve see glaring omission , especially nice hotel . ServiceFor we important thing hotel travel kid service respect get parent . especially true Vegas primarily playground adult . nobody want feel like second - class citizen kid , certainly feel way casino / resort . say Red Rock deliver excellent service respect 95 % time . every contact check - in check - out , bellman casino security arcade staff restaurant staff , always smile happy make we happy . friendly , summer camp kind atmosphere make feel really take care entire weekend . mom dad need pamper make possible . will back ? probably yes . think like good Red Rock feeling take care , despite minor inconvience plan ahead / troubleshoot next time . staff really friendly beck call . bed dream room intensely quiet . love view . though not use & quot ; Adventure Spa & quot ; idea guide hike hot spring kayak wonderful idea would love take advantage aspect Las Vegas . Red Rock close activity make apt them- plus gambling , great pool wonderful spa . pretty much everything would strip , plus outdoors activity , extras kid . 
 Sep 2 2008 	 Love Red Rock 	 first visit Las Vegas 1994 stay Flamingo . Vegas not glitzy food extremely cheap ( $ 1.99 turkey dinner ) want gamble pretty much adult playground back . Boy change . in August 2007 go second time go Red Rock love love . really hear reality show Hells Kitchen really want meet winner ( not boo hoo ... hehe ) . moderately price compare strip 's 5 star picture website fantastic give try say fall complete love place . travel year love place continue grow . we always rent car whole Vegas strip thing always feel happy happy return little oasis mountain . 's great place chill relax . pool area disco loud music ton kid quiet pool lucky kid not take . always find chair chair extremely comfortable . never worry towel . plenty many want . waitress pool constantly come great get really thirsty Vegas August . room great . clean spacious bed comfy . 's casino hotel actually sleep . pump oxygen air Red Rock not keep husband sleep . curtain keep sun really well basically sleep day need .. lot restaurant choose . eat fairly cheap go fabulous fine dining experience . wonderful steak dinner Tbone . opt burger Fat burger pizza slice food court . course buffet quite reasonably price food not bad . player card get discount . last year go Wynn hype buffet . wait line almost 2 hour wait line station finally sit eat food cold worth $ 50 per person price tag . absolute favorite part Red Rock poker room . 's great place play . dealer actually quite sociable not wait long play . 1/2 limit high stake game . ante hidden fee rake not even notice Canada pay $ 6 every half hour Niagara Falls . Red Rock run professional poker room compare really impress many hand could actually play half dealer fast sufficient . complete pleasure play . one night drive strip figure would play Belaggio say well . ante 's rake rude pit boss say see ya later drive back Red Rock nice relax poker experience . lastly year actually drive Red Rock couple time breathtaking . beautiful ! ! ! suck relax time Vegas . Stress free holiday Vegas even possible ... ? sure place . can not wait go back ! ! ! Happy Travels 
 Aug 28 2008 	 new favorite Vegas 	 6th trip Vegas , far good , stay Red Rock . resort incredibly clean , stylish modern , extremely accommodating . check desk ( free apple bottled water - great desert - day ) staff courteous . give mountain view room extra charge ( usually premium ) . review correct , room long walk hallway ... big deal , worth note . get room , incredibly impressed . massive plasma tv hang wall , Bose sound system play special cd , bed soft comfortable , bathroom HUGE , marble everything , fantastic shower . pool also must - visit ... lounger soft umbrella easy get , big change strip . food / drink pool overprice , be nothing new Vegas . casino fun , not win much , not lose much either . slot club get discount buffet - try . especially breakfast , place plain awesome . hotel 20 minute drive strip , be well worth drive get stay great hotel . ' ve stay strip many time ( Caesar 's , Mirage , Monte Carlo ) , stay Red Rock . one note - throw heck 4th July party firework ! 
 Aug 23 2008 	 Loved Red Rock Casino Resort ! ! ! 	 husband stay Red Rock casino reosrt July . vacation Las Vegas many time always stay strip . stay Red Rock never stay strip . impressed minute arrive . staff valet people lifeguard wonderful . check - in go smooth front desk people kind . room wonderful ! ! view mountain . bed comfortable bathroom emaculate . casino great . like food court casino , convenient . pool clean Sand Bar Grill pool area delicious food . love eat lunch pool . Red Rock , thank great vacation . Vicki Strongsville , Ohio 
 Aug 18 2008 	 beautiful building trouble desk . 	 resort spa beautiful modern . casino resturant accomidate . problem resort far away strip . kind stuck resort not rent car . rent car . will regret not . pool beautiful . throughout resort security abundant . actually kind annoying . one day room key stop work . go front desk , act like fault . security escort room could check ID . outragoue ! guy front desk smille security arrive , expect make run ! seriously think lieing . tell never stay would let everyone know treat . 
 Aug 12 2008 	 worth price look hide add - ons 	 Red Rock try portray upscale , sleek , luxury hotel resort , experience frustrating , good . several issue hotel room hide charge : room : room nice , $ 300 / night nice . additionally , room electronic sensor snack tray , lift package nuts examine 's tray 45 second , get charge . Christ 's sake ! hotel mistrust supposedly upscale guest much install electronic sensor ensure not steal 45 cent package nuts hotel mark $ 9 ? give break . sort behavior -- treat guest poorly behave small child -- ridiculous , leave bad taste mouth towards hotel . pistachio mark $ 9 , anyway ? not hotel make enough money $ 300 / night , plus whatever guest spend casino , bar , restaurant , cover expense without ridiculously overprice nuts soda room ? really steams clams . hide charge : REALLY steam clams $ 20 fee hotel add bill cover & quot ; concierge service shuttle strip . & quot ; ? ? joke ? kind hotel mark bill concierge service , especially not even use ? Las Vegas local , stay hotel see concert pool area . car not need shuttle service strip ( besides , stay hotel property whole night ) . also not use concierge service whatsoever . call front desk ask charge , inform surcharge add guest room bill , regardless whether guest use concierge shuttle . also tell could remove bill . enrage ! book trip Orbitz , check , informed hidden charge . would cancel reservation principle drive home concert know absurd ripoff . Red Rock Resort nickel dim guest ? actually trying destroy goodwill may otherwise generate ? Red Rock great job pissing never stay , recommend town guest . nice go goodwill front , Red Rock ! elevator : look olympic - length walk room ! hotel crescent - shape , unfortunately , genius decide place elevator one end crescent , room extend along crescent begin elevator . ' m healthy , in - shape male , walk 500 foot get room elevator -- halfway crescent ! pity end . tiresome walk , especially luggage . 's much hotel , advice get bellhop deliver luggage room , instead carry wheel yourself . restaurant pool : perhaps highlight visit . Salt Lick , BBQ joint premise , outstanding . pool area gorgeous great place see summer night concert . 
 Aug 12 2008 	 Best Family Hotel Vegas 	 stay Red Rock five time past two year time wonderful experience . Red Rock Canyon ( course ) beautiful , great change pace usual Vegas strip view . hotel within five minute several good golf course Vegas . excellent mix table casino range low stake high roller . plus - poolside blackjack summer ! hotel gorgeous pool top three Vegas ( recently feature movie & quot ; 21 & quot ; ) . room modern , clean , beautiful , bed extremely comfortable . first visit actually buy pillow bed sleep every night . yes , Red Rock far strip , be look relax resort vacation actually plus . Summerlin beautiful neighborhood excellent dining option . plan go strip , good option rent car airport . be much cheap cab convenient shuttle . kid great deal Red Rock well . addition pool bowling alley , food court , movie theater , arcade , Kids Quest . hotel also number family friendly restaurant ( particularly recommend rock shrimp burritos mexican restaurant ) . staff Red Rock helpful courteous . two visit actually get hotel early give early check . always feel welcome appreciated staff . never major issue hotel minor one handle perfectly . bottom line - good hotel Vegas be travel family . want strip vacation number perfectly good hotel Las Vegas Boulevard . be look relax resort vacation ( spa , dining , pool , golf , outdoor activity Red Rock Canyon , perhaps little gambling ) place stay . 
 Aug 7 2008 	 Nice noisy 	 first time property . extremely nice hotel physical standpoint . great architecture , nice room - size , amenity decor . long way anything else , however , plan visit strip area attraction . strip view like look though wrong end pair binocular . we problem noisy neighbor block party midnight one evening . multiple people floor congregate delightfil neighbor 's room . call front desk see could intervene say security would right . security party continue additional 1.5 hour . other , service great bar restaurant well maid service . neighbor stay home not mind seclusion would home run property . 
 Aug 4 2008 	 Rockin ' like Rockstar Red Rock ! 	 first time stay Red Rock Resort two night awesome . Modern tastefully design property amenity could ask chic strip hotel & amp ; spa . place huge , world within without cheesiness permeate Las Vegas . room super clean quiet , bed comfortable view strip amazing . request quiet room promptly accommodate 17th floor ( mention view fantastic entire wall floor ceiling window ? spacious room include large flat screen tv , deep soak tub second , small flat screen marbled bathroom . service need respectful want privacy . food option abound , range inexpensive food court , two buffet high end sushi steak house . several stylish bar , night club course , casino equally welcoming . gambling focus , Red Rock offer 14 - plex movie theater , bowl lane arcade young family member . incredibly impressed pool scene . good music , colorful towel , lounge chair cabanas arrange circle around main pool , sport numerous additional pool throughout . spa pool lough area , make nice want little distance family child . bar complete misting keep hydrated sip wide variety cocktail offer menu . casino hotel easily access centrally locate pool area . the hotel spa impressive automatically gain access resort fee $ 20 day , give opportunity schedule treatment still use spa . Red Rock Resort offer free , prompt shuttle service ( be actually small bus ) airport every two hour . cab cost $ 55 , depend time day traffic . wake call right time bellhop , front desk concierge staff friendly helpful . arrange go hike , bike ride kayak short distance away Red Rock National Park area . not get take advantage can not review activity . you can not go wrong stay . thing keep mind though : pool close 7 8 pm staff security oust area hour . would like see resort offer area sit outside chill , away casino evening . also , mini bar snack tray electronic sensor . typical Vegas , touch , pay . Red Rock Resort fantastic alternative say strip ! go Rock ! 
 Jul 20 2008 	 incredible hotel ; incredible stay 	 Red Rock Casino incredible hotel ! room cool & amp ; mod ; big expect hotel service much well massive Strip hotel 's du jour . rest hotel geogeous well . the pool accomodate bunch room spread . swam one 7 small pool ( ) middle day ! speaker play bit loud everywhere , never problem find place sun . casino cool inviting - many , many drink short amount time : ) LV hotel , smoke issue asthmatic wife . mandalay good hotel issue , rr ok job ceiling architecture fan pull smoke upwards . everything run circle around central bar ; table game close center slot friggin ' place . room extremely cool ! much big West Wing MGM , & quot ; decked & quot ; Paris Mandalay Bay , hip / mod design . stay 15th floor rr view , stunning . initially , view overlook pool , RR canyon , beautiful ! long walk room ( high go - long walk ) , big deal grand scheme thing . love stay strip ! trip vegas vacation without strip hassle . take hotel shuttle 2x , come handy . $ 60 cab fee airport not take shuttle time . could avoid have plan flight / transfer well . love hotel . ' ve vega 6 time , Red Rock good trip . Mandalay Bay good strip hotel ' ve stay , will go rr . 
 Jul 19 2008 	 real beauty 	 first thing like Red Rock airport shuttle bus downstairs . one level regular shuttle ( somewhat difficult locating shuttle airport , think would shuttles ) bus , driver , give we bottle cold water , much appreciated , hot . get hotel , simply stunning .... check pleasant ... small bottle water apple enjoyment . , room alllllllllllllllllll way hallway ...... away elevator , ok could use walk . the room stunning , lavish .... marble bathroom flat screen t.v . bathroom treat . tub shower separate . , stunning . bed , oh goodness , like dream come true . comfortable relaxing , not want leave ..... large flat screen t.v . , view , construction , even not bother . casino , Starbucks , buffet place ( get couple dollarsoff meal station card ) movie theater place go bowling . night leave curtain pull back , able enjoy lighten show . can not wait go back place . even though near strip , everything little heart desire fabu hotel . 
 Jul 16 2008 	 nice hotel terrible service 	 beautiful hotel recommend one business partner . upon arrival , two room available checkin understandable . front desk rep robotic . tell we would take hour would call we cell . three hour later call ( 345 pm ) . arrive front desk one room available . could get second room later . people check continue wait second room minute ask could get second room . say room already assign clean . , apology , sympathy . seem feel lucky customer . ask could cancel room ( 3 night stay ) go somewhere else . say would pay one night room . Vanessa , manager , get involve kind enough allow pay one night one room . feel unreasonable , since never room , priveledge hang around lobby four hour even publish checking time . ask see superior say could speak would give answer . say meeting would available later . option leave pay one night one room wait . opt checkin room ( second one become available ) check next morning without penalty stay next two night another hotel . unbeleivable . management hotel processing cattle . could care less . honor customer . finally speak Joe Saldana front office manager . agree position assure would speak Vanessa . ask could make amend . tell nothing . not want anything . ask compensation . want greate nicely , provide room timely basis , treat human enjoy stay . none thing happen . want fun Las Vegas three day . get find another hotel force stay Red Rocks . would recommend Red Rocks . would look hotel focus customer service . 
 Jul 15 2008 	 Love hotel aware nightclub noise room 	 2nd stay hotel . come Las Vegas business love comfort hotel live similar building ( 450 unit 19 story highrise ) we be like home . say use long walk hallway get room general noise come slamming door noisy neighbor . first time stay issue , except construction strip view side hotel , not noisy slightly disturbed sleep . current 2nd visit , trouble free ( ' m currently type room busy sleepless night ) . make reservation Strip view room ( ) , get room ( nice high 15th floor ) pool side . immediately greet boomy music pool , be fine pool close 8 pm . getting tuck bed , 11 pm wake loud boom music . turn Cherry nightclub 's open 10:30pm - 4 am . call front desk , get hang leave hold put clothe go . switch us strip view room 6th floor . 5 am get wake cement mixer front work parking structure directly outside . , 6 am booming techno music start come know room ( speak experience live high rise really hard determine noise building come noise travel large building ) . keep mind sleep ear plug even provide relief . think neighbor next door going hallway turn . survive hour booming finally subside 7 am . bottom line , like sleep not get red rock view room , get strip view room almost do parking structure construction directly outside hotel , work landscaping cosmetic part construction ( see pic ) . yes , construction across street 's far enough away could hear ( pic include ) . 
 Jul 13 2008 	 absolutely Loved ! 	 know hotel go way Strip ; however , think picture website make drive worth . luckily , right ... big way ! hotel divine ! loved interior decorate ... everywhere ! hotel way make every guest feel 5 star . financee absolutely loved . be sure would stay place Vegas ! 
 Jul 10 2008 	 Fantastic Red Rock ! 	 stay Red Rock Resort 7 day fantastic ! check - in swift efficient . request room elevator ( helpful room long walk elevator ) , even though strip view room available , give we ( expensive ) canyon view room rate . staff helpful friendly request . ( check room miss one bathrobe , one phone call , bring within 5 minute ) . restaurant , casino , movie theater bowling ally site , much , pool area magnificant ! one tip though avoid severely overprice food pool grill -- $ 14.00 hamburger ridiculous ! however otherwise terrific . head Charleston Blvd Strip , be 15 - 20 min drive ... bad ! highly recommend resort would stay ! 
