Good 	 overall good hotel enjoy stay . facility good staff helpful . we annoy 11 dollar charge use phone local call even connect second . outrageous price . not know food like , always eat even breakfast . 's plenty choice around . Wifi expensive payable day , though free internet terminal executive lounge . 
 May 31 2009 	 Location Location Location ! 	 good thing Hilton go central location . 's short walk Central Park , Times Square , Rockefeller Center , theater district , many good eatery around . hotel huge , large , busy lobby . room standard Hilton room - impersonal clean comfortable . recommend eat breakfast Astro -- busy coffeeshop Avenue Americas 55th street . 
 May 28 2009 	 terrific location adequate way 	 stay Hilton New York 4 night mid - May HiltonHonors award point . Hilton Gold member , receive coupon beverage pastry lobby Starbucks day ( though NYC one place could easily find inexpensive much well breakfast ) get free internet access & quot ; MyWay & quot ; benefit ; internet work fine , though connection slow . our 2 double bed room 36th floor reasonable size , clean , well maintain except peel ceiling paint bathroom scruffy , bang safe closet . small , nice touch 2 luggage rack . mattresse low point ( pun intend ) . need 1 bed , try . ok , sag considerably night stand side . another annoyance center night stand . manage pull little side table somewhat near side bed hold glass , etc . night . north - face room tiny view Central Park even tiny view Hudson River , nice see tall building . noise level inside outside remarkably low . the staff courteous , though exception housekeeping staff person check we , would not characterize friendly . never wait long help . Hilton Club huckster 2 booth lobby aggressive annoying -- well avoid . finally , good thing Hilton New York location , be easy walk Central Park , Lincoln Center , Empire State Building , much . be also course near Times Square , far enough away ( plus book ) . subway station bus stop nearby . though hotel large impersonal , really matter little us goal enjoy city -- Hilton 's location make perfect home base . 
 May 25 2009 	 ok Manhattan Hotel 	 stay standard two - double bed room Memorial Day weekend . room large size ' ve stay NYC , nice . bed comfortable . bathroom tiny . overall , room clean . ok , 's good stuff . only two set towel provide , took forever get extra . despite 4 set hang morning day 2 , return afternoon - two set towel . another wait additional linen . check - in nightmare . line & quot ; non- HHonors & quot ; 8 people long , keep let HHonors people priority registration agent . 40 minute line , finally make front - tell ( 2:30pm ) room not ready come back stand line time 3PM . MO 3PM - wait HHonors guest get first dibs registration folk . needless say , join HHonors program - think 's plot ? ? overall , guess get past check - in . might consider stay . location great . 
 May 25 2009 	 Beautiful Quiet Roomy 	 room great , quiet . ask quiet room non - connecting get end room . 
 may 22 2009 	 relly nice hotel 	 visit NYC 8 day , book 2 room suite . this place awesome ! evrythe stay great rain.who care , NYC . 
 May 20 2009 	 nice place nothing include 	 come back New York girlfriend stay Hilton . place nice room clean . staff friendly helpful . bed super comfortable . thing find suck nothing really include . ask water bottle room want $ 5.50 , might well go across street Pharmacy get one $ 1.00 . internet free either usually catch wireless signal building across street . bag storage free either , roughly $ 3.50 per bag . ' m sure like everywhere New York place , bag storage include price room . location excellent , however . block central park 10 - 15 minute walk Times Square . really close flagship store fifth avenue , be go woman , might want hold credit card . also , close Rockefeller center pay go see view . 
 May 19 2009 	 great location good hotel . 	 stay hotel mid - may weekend visit Manhattan . first visit look hotel near Broadway tourist attraction . location perfect - take subway Penn Station stop block hotel . Room seem recently renovate ( king deluxe suite ) . bed comfortable room wide - screen tv couch . bathroom full - size shower sink toilet area remind cruise - ship bathroom . stay Hilton brand hotel often business find property consistent other . two negatives:1 . staff sell timeshare aggressive even NYC standard . allow shout guest walk by.2 . $ 3.50 per bag charge store baggage checkout . 
 may 18 2009 	 stay Radio City Music Hall 	 need hotel close Radio City Leonard Cohen concert choose Hilton location . hotel large busy , floor ( 36 ) quiet window could see small slice Central Park . room clean attractively decorate . bathroom , small , clean marble sparkle . small patch peel ceiling bathtub / shower humidity . staff encounter friendly . housekeeping greet we whenever pass hallway . concierge help we reservation nearby restaurant ( IL Gattopardo ) enjoy . dinner $ 118 two wine dessert . check quick pleasant . city show hotel perfect close venue nearby din save we time . 
 may 17 2009 	 great Location clean good base tour New York 	 want good hotel could use base recent trip New York . we not want need 5 * hotel would spend day night around Manhattan . the Hilton NY great location 5 min Central Park , 15 min Upper East Side 5min walk Rockerfeller Centre . good choice mid - town location . the room recently refurbish plenty big enough . would certainly use Hilton NY leisure business . 
 may 16 2009 	 great stay New York 	 stay four night ( Wednesday - Sunday ) New York Hilton . the hotel well run large place ( almost 1000 room ) , big New York , busy place . if get good deal recommend hotel . I order e - upgrade $ 30 per night executive level , include continental breakfast executive lounge internet access ( lounge , room ) . think worth price . we tourist ( use New York Pass visit tourist site – also good deal plan lot ) , location excellent we . if business , ok , ' expect personalized service . especially weekend busy tourist . the elevator ok , see one fail , major problem . all , great stay we reasonable price . 
 May 11 2009 	 Great Location .. decently price 	 take family long weekend trip NYC business traveler stay dedicated Hilton brand naturally select hotel due excellent location . pleased hotel service receive . top line Hilton make location , cleanliness good customer service . negative & quot ; hard selling & quot ; Hilton Towers sale associate put patron enter lobby . eager sale rep bark sell upon entry exit lobby rather irritate . would almost interested listening opportunity beyond bother constant circus barking . also close lobby bar 10:30 pm not another one visit hotel ...... long day sightseeing walk tired ole dad need DRINK ! ! ! ! ! 
 May 4 2009 	 Average Hilton 	 stay one night average Hilton . room clean , bed good , bathroom OK . get room $ 125 Priceline , bargain basement buy NYC . good stay . 
 May 1 2009 	 Hilton New York ok price good 	 one available help we luggage . check Kiosk , line horrible lobby , room ready noon . the hotel keep nice , large lobby area lounge , set nice convention . one lounge open whole 5 day bit crowd one . room clean , strange smell arrive , open window , know , never notice upon return day trip . room large enough NYC room size , bathroom rather small . shower nice . room acceptable . I free internet Hilton hotel since honor number , $ 18.95 day room . could get work , seem like care , let use business center charge . woman business center say lot trouble lately , hotel staff tell . business center $ 22 day not computer along . never hook internet , miss . I call concierge 's room put hold long time , walk , figure busy , go line stand there . the concierge 's helpful direction , much help suggest thing ask place eat near . hotel restaurant buffet breakfast . cook order . the maid nice seem day . good job too . when check ask check bag 5 hour tell $ 3.50 bag . travel hotel least month never pay service hotel stay . floor . realize New York , never even New York . really turn . small thing , high price place.convention business type hotelI 
 Apr 30 2009 	 rate 	 room clean , usual Hilton Chain absolutely sign coffe maker . want coffee downstair , cost 7.00 one cup . room service coffee , 12.00 . walk block McDonalds morning fix . 
 Apr 28 2009 	 great Stay ! 	 husband & amp ; stay Hilton 3 night April would not hesitiate use hotel . second trip New York . our room ready us & amp ; good size , well appoint & amp ; clean . iron board miss one bring straight away request . location great . 's easy walk Broadway , Central Park major shopping street ! ! 's abrilliant deli across street ( go side door garage ) use good mix tourist & amp ; New Yorkers breakfast . love . although hotel busy time always feel safe . good security late night . good base sightseeing , shop theatre - go New York . would recommend . 
 Apr 25 2009 	 Nice Hotel Lots Extra Charges 	 renovate room spacious , nicely decorate , clean . bed extremely comfortable , bath small clean tile bath granite counter top . note elsewhere , location terrific . complaint extra charge , definitely feel like nickel dim every turn . almost $ 50 parking per day , $ 50 use gym ( ! ) , $ 3.50 per bag check bag - coat / jacket count bag . encounter delay elevator , nearly long people note - perhaps hotel full visit . make sure mention be Hilton Honors make reservation ask renovate room . find lobby odd , almost seat except couple circular seating area around busy registration area . huge hotel , comfortable area sit , area lay people want conversation , read wait meet other . almost like lobby plan force people use lounge area want sit meet people , feel compel purchase drink . would still recommend hotel could reserve renovated room . aware perk offer free hotel cost . 
 Apr 24 2009 	 not waste money 	 get great deal hotel hotels.com . hotel lovely outside , porter helpful bringing room . ( suppose be tip ) , appear forget about . there minibar , locate room , behind cupboard door . open cupboard door , first break plastic tab insert key reception give . course , want peek look inside not take anything . closed door lock . go stroll sight city never sleep , bite eat . on return notice new plastic tab , put cupboard door . could put member staff although understand hotel , feel privacy invade not expect anyone hotel room . would expect anyone room , have check ! ! ! not request anything hotel either . sound funny , ' m sure know mean . secondly big complaint lift ...... 3 elevator serve floor 24 - 34 porter use lift luggage . always wait least 5 min lift . aircon appear work hotel either always hot waiting . low could set temperature room 75f . could not adjust this . one evening , 9 year old son unwell . decide rush back hotel feel go throw . guess ? ? ? wait lift good 5 min poor little lad , throw floor outside lift ground floor . hubby call member staff could ' roll eye heaven ' see happen . line deal Reception long ever see 2 receptionist . wait line . apology receptionist wait . BIG Complaint cost service within hotel $ 3.50 per item hold bag ' ve check $ 5.00 3 slice toast top ' room service tax ' something similar room service delivery € 4.50 ! ! ! salad something like € 18.00even starbuck downstairs within hotel charge $ 1 cup Latte one across road . madone thing say , be bed fantastic . comfortable . not make poor shoddy service . come 10 night Marriott Orlando , comparrison service . unfortunately Marriott New York full . ridiculous price . know Hilton , unfortunately will never stay , due poor customer service , apparent lack friendly courteous staff . 
 Apr 23 2009 	 great hotel ; awesome location 	 moment arrive service excellent . check - in take minute hotel staff member helpful polite . hotel lobby spacious beautiful . room beautifully decorate perfectly clean . hotel quiet bed comfortable . well location city . everything within walking distance ... Times Square , theater , 30rock , Central Park shopping . breakfast buffet great especially kid . defintely stay hotel next trip . 
 Apr 22 2009 	 name Hilton enough - . 	 get good offer , make worth money . hotel crowd due Easter celebration wait time elevator ridiculous . except , enjoy everything . 
 Apr 22 2009 	 really enjoy stay 	 lot research eventually select Hilton . spend four night suite , move double room two night neither room type available whole stay . email hotel advance request renovate room . however ..... none suite renovate - last upgrade 5 year ago . Hilton offer upgrade standard therefore renovate room last two night deluxe point website say suite renovate . renovate room class deluxe charge high rate . first impression walk corridor 43rd floor suite great . bit shabby - dirty dusty - well wear tired . suite large though . two double bed large room , double sofa bed lounge plenty room rollaway bed require . huge walk wardrobe store luggage hang clothe . bathroom small extremely clean , tile good , grout look new . two teenager two adult , space great . would happy stay suite rather move deluxe room suite full . Hilton staff ( exception dour face staff Exec lounge ) fantastic make move easy - allow we move suite 6 pm compromise day . deluxe room good - certainly 4 star . bathroom small well equip immaculately clean . location Hotel , can not beat ..... 5 minute walk Radio City Rockerfeller Center , 10 minute walk Times Square , 5 minute Fifth Avenue . would stay Hilton .... DEFINITELY . would recommend ... DEFINITELY .... not expect grand corridor modern fitting standard room ... clean 3 star offering . want sure get modern room flatscreen tv black granite surface , go deluxe room . 
 Apr 21 2009 	 Charming wonderful first stay big apple 	 long flight delight lovely hotel . the location prime ( 5 minute walk Central Park , Times Sq . , Rockefeller Center famous Burger Joint ) . staff friendly helpful ( especially bellman ) , room cozy nice , bed comfortable , closet space stuff , clean tidy . Starbucks Pret outside hotel ( good source breakfast ) .also - lovely New York view window ( face brick wall ... ) .Got hotel Priceline , low price stay hotel much well ! would definitely stay . 
 Apr 20 2009 	 Great Location Comfortable Room 	 spend 7 night start Easter weekend quite satisfied Hilton . give recently remodel room high floor reserve Hilton Honors member may made difference . the hotel deliver important requirement : quiet , bed comfortable , location great . air conditioning system work well . downside , hotel reception level elevator lobby number elevator woefully inadequate size hotel . busy time every day unusual every elevator stop floor cram people . sometimes wait fourth fifth elevator one room board . the satellite tv system glitchy might might receive network would like see give moment . bathroom small , especially compare relatively spacious room . clear point tub remove instead shower big enough four . would prefer bathroom floor space shower floor space . but small problem offset convenient subway station ( 57th St. 6th Ave . Rockefeller Center ) , short walk Central Park , Times Square , many theater , 5th Avenue shopping . never eat hotel can not comment . 
 Apr 20 2009 	 good choice business 	 Hilton NY well locate business appointment midtown NY . room update comfortable - nothing special complaint either . get fantastic price ( $ 200 ) money terrific . nice fitness center . downside extremely crowded , cause long wait elevator , front desk , concierge , etc . low maintenance traveler , fine choice . expect personalized service , look elsewhere . 
 Apr 19 2009 	 Hotel Stay 	 stay three friend Easter 5 night . Air Conditioning good , room warm could alter temperature room , would like height summer . felt room service scratch . Tea & amp ; coffee faciltie great , buy refreshment . price lobby bar outrageous - careful drink , rip . 8 white wine sprtizer cost we $ 127 dollar . service charge rediculous . location excellent would stay . 
 Apr 18 2009 	 great place good value money 	 Hilton new york convinient someone want central location Manhattan . hotel fantastic room view overlook central manhattan . service quality good food reasonable . security measure put place ensure feel secure inside . pricing reasonable give central manhattan . 
 Apr 17 2009 	 good location big busy impersonal . 	 go 10th wedding anniversary Easter weekend . lot school trip lot noise kid ! ! school teacher annoying ! hotel central still prepare lot walk . look romantic break personal touch not choose one - not think speak anyone hotel apart check even staff unfriendly treat simply number ! room deluxe king would not class deluxe . go Venetian Vegas day later . luxury ! ! Tip - not use room phone - cost small fortune ! 
 Apr 17 2009 	 love view room 	 holiday US n first stop new york ..... 16 hrs flight room like home need must admit hilton new york not disappoint ..... hotel locate right city center ..... view kind awesome ...... room kind big enough .... n service well hotel reputation ..... simply awesome 5 star rating ....... 
 Apr 14 2009 	 Good Location bad « money value » 	 good location , near atractive place . many noisly student ( group 30/40 boy girl ) . room clean , old 220,00 USD / per day , without breakfast . expensive . staff service - regular . 
 Apr 14 2009 	 Great Hotel - disappoint 	 stay Hilton New York Easter long weekend . hotel recommend friend disappoint . ROOM - stay executive level room . room good size comfortable king bed comfortable chair . bathroom nice - great shower . housekeeping clean room soon leave day . service - staff check - in concierge desk friendly & amp ; helpful , never wait speak anyone , even hotel busy group . food - not eat hotel restaurant , breakfast & amp ; evening snack lounge 44th floor ( include room ) find food good , busy & amp ; noisy - need big room number room access . always lineup morning , wait 10 minute . also parent let child run free lounge . drink expensive - 20 25 dollar 2 drink . drop price , maybe people would order drink . LOCATION - one good thing hotel ... locate short walk everything ... Central Park , broadway theatre , Lincoln Centre , Rockefeller Centre , Fifth Avenue shopping district . within couple block Carnegie Hall , MOMA , Radio City Music Hall . easy subway access get anywhere else . take subway Guggenheim , Ground Zero , Macy 's & amp ; Greenwich Village . overall - good hotel . stay . 
 Apr 6 2009 	 good location average hotel 	 stay hotel weekend get good deal Priceline $ 110 night . Good• Location , location , location ! Perfect Times Square shopping Fifth Avenue• Beds comfortable beware , room quite small . queen room ' probably standard size midtown , like comfort , book king.• Near subway ( NYC everywhere near subway ! ) Bad• check luggage day departure could attend matinee day . charge $ 3.50 per bag . ' stay many hotel include Hiltons New York never pay luggage before.• phone ahead see could get double room instead queen person answer phone " make note " arrive , request could accommodate . ' attribute fact book Priceline think hotel allow certain room available bookings.• Minimum charge wi - fi $ 15.95 per night ( go Starbucks instead ) Ugly• park parking garage official Hilton garage , management stamp ticket . park 56th valet parking hotel read site $ 50 night . garage attendant tell would give $ 7 night discount get ticket stamp ( probably know policy ! ) front desk refuse stamp even little rude it• elevator - OMG , wait ! ! ! ! 7th floor convention 3rd floor . time meeting , almost impossible get lobby unless ride ride back . guess could take stair depend floor . I ' use Fitness Center eat restaurant ' give good review facility . realistically , probably going spend much time room much see New York say base bad ugly , probably ' stay hotel . 
 Mar 31 2009 	 fabulous location 	 friendly staff throughout hotel . queen size room little small norm New York . high standard cleanliness room communal area . room service expensive expect 4 star hotel . book priceline.com save fortune ! ! location perfect , 5 min walk Times Square Central Park . would def stay hotel . 
 Mar 25 2009 	 great location infamous NY manner . 	 way valet parking check practically tackled salesperson want give Hilton Honors point stay another Hilton property next trip . aggressive took minute disengage politely . go check front desk first word person say frustrated & quot ; wait , ' m ready yet , & quot ; hand stop gesture . pretty much sum stay . room not ready , either . 22nd floor alot room construction remodel around we start relatively early morning , noisy keep hall busy day . even , be nice , big hotel great location walk distance Central Park , 5th ave , Times Square , Grand Central , MoMa , etc . room charge reasonable everything else - valet , internet , coffee shop pricey . prepaid $ 170 room , $ 48 park one night , $ 18.95 internet service lunch buffet casual restaurant $ 30 small tip . staff nice courteous other stereotypical brusk & quot ; whaddaya want & quot ; old school NY attitude . would definitely stay hope well welcome . 
 Mar 24 2009 	 happen hotel ? 	 Hilton New York downhill side splendor , sign resurgence . wonderful hotel slip luxury tourist class representative one would expect Hilton name New York City . fact , may even worthy Howard Johnson . location need dire renovation even house Executive Levels property . furniture room deplorable , elevator slow insufficient handle amount group traveler house within . property evolve business hotel group tour property , anyone aware hotel , high occupancy , high abuse occupancy well . , hotel fill high school student run place . with group high number occupant room , elevator completely insufficient number carry load make bad bellman cart utilize passenger elevator . contact Concierge , phone rang wall night even voicemail option leave message . simply rang wall . also , timeshare solicitation overwhelming burden guest time walk past desk , impossible come elevator . another indication lose class property . in short , property choice continue operate tourist class property invest significant dollar get property back level expect Hilton New York . due size property dificulty secure loan , anticipate remain tourist class property well future . the location , however , perfect New York experience , try accomplish . season traveler , strongly suggest choose another location New York City hotel . standard and/or expectation set high , disappointed . 
 Mar 23 2009 	 5 star location 4 star hotel 	 stay Hilton 6x , always 4 night Thanksgiving weekend . husband Diamond hhonor member . although hotel one good Hiltons hotel general NYC , always come back location . come NYC always run ... pack day night full sometime see 2 show per day + dinner + walk thru central park + shopping 5th ave . walk everywhere . diamond member get room upgrade free ( always ) , free access fitness center , SPA - you call phone # come room massage , pretty good SPA experience money , also get free WIFI . always eat 1x hotel main restaurant , take advantage free breakfast evening hor dorve executive club b / c always pack ton kid touch food /runne around ignorant parent tend kid ... sorry pet peeve ... room large NYC standard well appoint / recently remodel , bath adequate sized , large desk area 2 phone line . odd thing main bar overlook 54th street , nice w/ alot plasma BIG bar not open evening ( like 6 pm 7 pm ) , even T - Day , everyone come back Macy 's Day parade thirsty , bar close ... could make kill selling drink instead everyone sit in / at bar drink bottled water / coke get way back parade , Saturday night show go dinner around 10 pm , try 5 restaurant around hilton/ close , eat Warwick across street , guess bottom line plan ahead be open when / where eat late dinner . hotel huge , poeple may like , b / c always little corner / sit area could go talk / watch people . limited amount shopping hotel . check - in / out easy bill correct . complain cost hotel NYC find reasonable . always arrange car pick we LGA , almost price taxi driver meet baggage claim 1st time NYC make easy , pay sedan - they send stretch limo SUV ( almost always , book small car ) . bottom line want convenient location , good , clean hotel frill , hotel . tip : stay NYC atleast 12 time pleasure husband town business 1x per month question hotel ( midtown upper west side ) would glad help , send we email . 
 Mar 23 2009 	 good location watch timeshare pusher . 	 good location - away bustle Times Square close major area interest . expensive actual standard hotel understand rate appropriate New York . I stay Executive Floor ( 42nd floor ) extra $ 10 per night access complementary facility Executive Lounge . executive room nothing special bed comfortable . the food hotel add - on service eg . , $ 3.50 bag store luggage hour , high . Heartland Brewery two block away provide similar standard food half price . behind scene fire escape 42 nd 44 th floor obviously use infrequently . cigarette stub leave place 4 day visit . computer server / LAN switch wall behind fire door wire / conduit hang . one item irritated lobby desk adjacent lifts sale people try get anybody pass sign - up sale promotion attend 90 minute presentation new accommodation facility Hilton convert two block away . however Hilton sale people wrap approach , hard sell attend timeshare promotion . find tacky downmarket hotel suppose high standard facility . would stay location recommend facility other also look well alternative . 
 Mar 22 2009 	 great location 	 stay Chrismas great time . staff helpful problem noisy pipe , repair man minute ! fantastic go beyond call duty . the location great , short walk moma , Radio city , central park etc . we not eat think dear local deli hard beat . the room good size bed comfortable . my one complaint ask every day tea coffee bag . 
 Mar 16 2009 	 Clean Comfortable 	 Hilton New York great location , decent amenity ( 2 bar , restaurant , Starbucks , pool , pricey wireless fee ) , clean spacious enough two people ( double bed room ) . maids noisy however , even though high floor , sound street loud , though inevitable . would recommend hotel . 
 Mar 15 2009 	 expectation 	 stay Hilton World Congress . check ok despite request late check note . gym cost $ 50 per day - even book executive room executive floor . pool . service exec lounge poor ; end clear table breakfast . continental breakfast ok . hot food . canape evening poor limited choice ; clear idea vegetaren choice either ; cash bar aperetif . the room clean nothing suggest exec e.g . poor toiletry replenish ; bathrobe / slippers/ poor choice minibar although wine bar - glass wine room ! conference facility good though . 
 Mar 10 2009 	 Rip - off 	 tick almost moment arrive . find park 50 $ night , would already give car . much cheap garage right street . room tiny , might true large city hotel , make claustrophobic . bed uncomfortable . , check , 180 $ spa bill receipt . not even know spa . call transfer three time someone grudgingly admit not use spa take charge bill . would expect hugely apologetic , make customer keep call around solve problem hotel 's error . since stay NYC check - out time , leave small carry - ons concierge 3.50 $ apiece . 's exceed rip - off limit . go get car , 30 minute wait long line almost everyone seem dispute bill . , choose stay , scrutinize bill carefully , prepare charge everything not nail . 
 Mar 9 2009 	 Great Hotel Conference Travelers 	 hotel great 29th floor deluxe room mable counter top , great view , marble bath . well worth value price although little expensive store luggage fee $ 3.50 still worth stay . plus bright side many food drink choice restaurant not even leave hotel food . food bit pricey . overall still great hotel would def stay . 
 Mar 8 2009 	 convenient location great price NYC 	 stay one night feel like get great rate $ 189 deluxe king room . location hotel right center midtown convenient sightseeing area . maybe 10 - 15 minute cab Soho , depend traffic , course . the hotel huge lobby remind big Vegas hotel pack people , even though pretty . line park car valet long park somewhere else glad b / c leave Sunday wait valet get car 15 people deep . also line check hotel although move pretty quickly , gentleman check we friendly . kiosk lobby try sell timeshare , walk guy try get come talk offering & quot ; free & quot ; gift . tacky sure . long line also get cab front hotel - well go street get one do . as room , recently refurbish ( rm 1347 ) nice clean . small side adequate . nice furnishing , flat screen tv , small nice bathroom . love windows open bit fresh air . also motion sensor night light come step bed night handy . not like use key minibar big deal . friend old room definitely look age wear wallpaper bathroom dingy carpeting etc . make sure request refurbish room b / c make big difference . concierge helpful least phone since call multiple time never pick . not try talk lobby . for quick trip city would say hotel adequate midtown $ 189 feel like get great rate . really huge feel bit impersonal serve purpose short stay . 
 Mar 1 2009 	 Good Location Bad Accommodation ! 	 good thing hotel location . hotel lobby look like 4 star hotel behind scene 2 star accommodation . room need updateing smoke alarm hang ceiling . corridor lead room did'nt look clean . drink food expensive hotel would recommend go restaurant side hotel . 
 Feb 27 2009 	 Customer Gold Vip card 	 Hilton Gold Vip surprise offer we room 8 th floor five night stay key minibar saying & quot ; free bottle water & quot ; . really huge hotel wonder would room Executive Floor level ' m Gold Vip man Executive Reservation Desk say hotel crowd . say also card Marriott hotel maybe go another hotel . find we room 40th foor give we key card total silence . many Hilton hotel around world feel come reservation desk Hilton Chicago . hotel reservation internet site Hilton 's lady desk eager tell ' m go to get Hilton point stay although expect . experience make time Hilton New York City reservation Hilton site help we . Hilton hotel around world always greet we say like & quot ; welcome Hilton hotel & quot ; . maybe different USA wonder friendliness cost thing . even one experience lack hospitable episode room Executive Level go daily breakfast find also man staff always reply say hi , hello good morning . usually say first random get response . now might think kind people really well tell normal typical europeian academic couple fifty encounter remarkable difficulty Hilton , Marriott , Intercontinental , shangri - La etc.hotel . Vice versa example Hilton Vancouver give we good room without ask also Inntercontinental Beverly Hills . even mention hotel Asia always give everybody expect service certainly know . of course totally minor thing certainly know also customer we . vacation kind situation affect mood like not . so expect moon sky little bit hospitability Conrad Hilton advertide video tape customer ( ? ) .this maybe also first Hilton hotel ask customer comment stay left . ' m write here . otherwise room huge location hotel great . expect service Mc Donald 's right place you . anyway save tip . 
 Feb 27 2009 	 Great Hotel Friendly Service ! 	 stay fiance Accounting convention 7 day . hotel beautiful ! Great Location walk distance central park , rockefeller center , times square ! checkin / out breeze , coincerge ( ) helpful ! nice shop even little restaurant inside . view awesome , look see & quot ; crazyness & quot ; concrete jungle ! room great tv , desk , comfy bed ! bathroom great well , glass shower , marble sink ! would say great hotel ! highly recommend ! 
 Feb 24 2009 	 not stay : Personal Items go missing ! ! ! 	 stay 2 day January attend conference ( ' m attorney ) . bring along two t - shirt - one sleep , one work . chilly room last evening wear . one extra soft & quot ; Life Good & quot ; shirt hubby get trip shirt Obama campaign give we return donation . Jan 30 , check early ( around 8:30 ) get conference . pack belonging - two shirt shop bag . big mistake . pick two bag afternoon drop nearby hotel ( husband join evening weekend NY ) . around 7 pm , unpack can not find two tee . think - well , maybe leave room ( although ' m 95 % sure travel alot business pleasure ' m good triple checking room depart ) . anyway , run across street - see security . take room ( clean unoccupied ) . nothing . nobody return shirt lose & amp ; find . check baggage check area - pay $ 3.50 day , presumably keep bag secure . response . ask fill report , slip number call & quot ; Mike security & quot ; week check see shirt turn . next week . Mike basically tell & quot ; idea & quot ; tell call . really ? guest item miss either room baggage area SECURITY & quot ; idea & quot ; ' m call ? especially gall since SECURITY give & quot ; Mike 's & quot ; number first place . explain Mike . also ask name Manager hotel , think maybe know . tell : & quot ; tell right not go care . will refer right back we [ SECURITY ] . & quot ; say & quot ; oh , baggage claim Hilton - 's third party contractor . & quot ; reply , & quot ; nice try , hotel 's responsibility end day , hotel know theft occur premise . & quot ; also mention THursday , January 29 , rudely treat maid floor Sophia . 's happen - go back lunch break go room watch television . remote control go . since room clean see Sophia hall , walk , said & quot ; excuse , ' m stay room , remote ? & quot ; not respond . wave away . ask . point LOOOONG hall : & quot ; go ask she . & quot ; turn away . walk end hall ask poor woman , whose name , unfortunately , not get seem actually care decent job treat guest respect . said & quot ; Sophia clean room -- hold , will find ... & quot ; walk hall ask Sophia . Sophia , annoyed , said & quot ; ? talk about . & quot ; poor woman say & quot ; TV REMOTE ! clean room ! ? & quot ; course , Sophia - take room reason put another could not bother answer question . course think , well forget leave two tee room , maybe oh - so - helpful Sophia would & quot ; forget & quot ; see tee although someone would steal two tee will never know . mentioned & quot ; Mike . & quot ; effect . a week later , get call David H. security ask call . think - wow , maybe find laundry something - 's great . call back . nope . David want know whether receipt tee . flabbergast . prove ? time make story two tee worth $ 30 ? explain one tee get trip MD hubby October 2007 - , uh , would not receipt . Obama tee - gift campaign way priceless . explain guy ask - said & quot ; well , need know worth CASE ' re LIABLE . & quot ; um , ok . I still plan contact hotel management . ridiculous , aggravate downright obnoxious experience EVER hotel . like say , travel alot business pleasure never something go missing . also feel like so - call SECURITY Team completely unintereste plight . mean , say - yea , get , be two t - shirt , big deal , t - shirt like . would like recover . whole thing leave bitter taste . terrible hotel . terrible service . terrible follow . stay Warwick London . Hilton go hill . never stay Hilton , anywhere , ever . 
 Feb 20 2009 	 New Yorks fine 	 family stay enter New York Marathon . stay 5 night upgrade suite stay , give we use executive check lounge 44th floor . also add bonus complimentary continental breakfast enough fuel us day sight seeing . also provide complimentary wireless internet access tea coffee soft drink cake etc serve throughout day . room huge sleep 6 we easily . 2 x king bed double sofa bed lounge , also free cot provide stay . although suite pricey still good value thoroughly enjoy stay . 
 Feb 16 2009 	 great location good value pay 	 book two night stay Priceline pay $ 110 / night . arrive hotel early request check 9am . desk staff able find we room 45 minute happy take whatever get . room small Queen bed comfortable . base rate pay nothing complain . warn however large convention base hotel cater group . always long line check dude lobby try sell we timeshare ask map . thing really leave bad taste mouth check leave bag bellman late flight . charge hold item $ 3.50 per piece . ( top tip bellman take bag ) maybe New York thing appreciate . get pay . 
 Feb 11 2009 	 BEST BANG BUCK ! 	 hotel everything want New York City hotel . clean , comfortable bed , good service , reasonably price ! one best thing hotel fabulous location : 5 minute walk Central Park , 5 minute walk Times Square , 5 minute walk Rockefeller Center . would stay heartbeat ! 
 Feb 10 2009 	 Great Location Poor Service 	 pros- great location , minute Times Square- MODERN room decor- fast internet , even though cost $ 14 - 18Cons- POOR service Front Desk . example , staff do customer , walk & quot ; empty & quot ; spot , staff keep tap computer 2 minute , not look tell go another counter . general attitude check staff get job do exactly welcome hospitable . - RIDICULOUS bag storage fee $ 3.5 per item - free , expensive- minor room decor scratch , blemishes- SLOW check - in process , 1200 + room 4 check - in staff , check - in slow processgenerally , would recommend hotel base location , service . 
 Feb 3 2009 	 excellent stay business hotel 	 hotel centrally locate NYC staff friendly view room night amazing primarily business hotel feel bit place family camera tourist guide nice wireless , connect room , excellent room service menu lovely bath would stay even bit expensive worth 
 Feb 3 2009 	 nice location close Central Park 	 stay two night conference close hotel . nicely locate short walk 4 block south Central Park ( obvious map north - south block much short east - west ) . main asset location , otherwise large hotel , appear well - run . lobby room match impression one receive exterior hotel , bit date functional . would recommend like stay conference conference rate.ps - note charge hotel internet seem high , roughly $ 16 & quot ; medium & quot ; speed $ 19 & quot ; high & quot ; speed . 
 Feb 3 2009 	 good hotel 	 good hotel , be big , comfortable , modern amenity , professional , full range service eg little box office sell theatre ticket . staff friendly , room comfortable . good location well . the room size though . room queen king size bed small two double bed , be well get room two double bed travel other , claustrophobic . Hilton good restaurant downstairs Starbucks ! get nice feeling first walk . 
