bad 	 friend check W Hotel Court high hope will similar W Hotels . let beginning till checkout . first , hotel elevator constantly break , even ridiculous thing hotel blame US stall elevator . not even ask okay , instead try cast blame we break elevator . even ridiculous thing not even shut . two elevator , avoid break one , since interest plummet death . not know name staff work Court , recognize none friendly situation we . secondly , room key never work , get new room key everyday , say magnetic strip & quot ; de - magnetize & quot ; easily . not even bother try day 1 , go front desk every time come back hotel . thirdly , hotel housekeeping non - responsive request cleaning room , live cheap either . three day , bathroom pile towel floor dirty . time get good service order room service . overall , good trip . 
 good hotel right price ... 	 reasonably impressed W Court . the room clean nicely decorate although starting look little bit tired around edge . get corner room probably help impression hotel . like lot hotel & quot ; somewhere 4 5 star & quot ; category one much pay . get cheap rate , pay $ 200 night feel good value money . be pay lot might start feel like 's rip off . the staff friendly efficient . example , one guy bag taxi ready go whilst check walk straight cab leave finish . 
 sadly go downhill . strongly recommend stay elsewhere . 	 background : stay twice W - Court 2007 2008 , respectively . strength experience previous stay , book two night stay Thanksgiving holiday year . sorry stay W - Court particular trip could disappoint subpar service , amenity room . first , hotel 's elevator fix throughout duration stay . two elevator adjacent fit 5 - 6 people max . imagine , one , nearly impossible get hotel without 10 - 15 minute wait elevator . 11th floor , not really option we hike . instead , wait wait . situation get frustrating desperate guest would pile elevator ( imagine 10 people elevator design 6 ) , would cause elevator get & quot ; stuck & quot ; floor . , imagine wait 10 minute elevator go room , getting say room find key hotel room long work hotel inadvertantly & quot ; locked & quot ; room . exactly happen we . twice . second , internal phone W - Court work . call front desk , say , ask wake call room service , ring busy ring ring . finally try call external line get . tell front desk attendant internal line not work , acknowedge problem say & quot ; switch phone company cause inconvenience . & quot ; Note stay hotel November 26 - 27 another reviewer site note problem November 16th ! 's 10 day non - functional phone ! okay , get front desk use external phone order room service Saturday morning . hour half later , still food . go downstairs ask whereabouts room service tell food & quot ; accidentally deliver W - Tuscany ( note W- court w- Tuscany immediately next door eachother ) & quot ; . although front desk offer send another room service order , decline , give whole room service business . lastly , bathtub drain need serious repair . water pressure shower quite good , even get shower , tub back water . time do showering , stand 3 - 3.5 inch stagnant water . ask front desk fix discover problem Thursday night , one ever come . stay room 1104 management incline reading review fix problem . upon checkout , speak Aline Urkumyan ( manager time ) problem characterized & quot ; small issue . & quot ; suppose right , outlined & quot ; small . & quot ; however , look event aggregate , make aggravate unpleasant stay . would never , ever stay suggest read thinking stay , please avoid unless make vast improvement . otherwise , great disappointment . 
 Feb 28 2009 	 Loved W ! 	 spend 4 night W court part birthday/ treat holiday 2 week NYC .. W court first stop certainly not disappoint ! flight arrive mid morning arrive hotel 11 be expect able check .. not problem ask special room upgrade we suite ! ! - fab - dream come true ! great view Chrysler building living room bedroom window ! bed comfortable .. , complaint would heat noisy quite lot street noise honk etc .. get use .. location great fantastic Indian Restaurant across Rd call Nirvana definitely worth try ... 
 Feb 25 2009 	 Great Hotel ! 	 boyfriend friend stay New Years Eve near friend hotel apartment relatively close bar go . usually stay Hilton family hotel since ' m honors member generally redeem point free night two , one area book time make reservation . bit walk place go , mostly cold hard walk anywhere . I little nervous previous review ' m kind picky hotel , think really nice . wait lobby area extra hour check , hotel incredibly busy time everyone get New Years everyone run around try get room ready quickly possible . make kind nervous room go end quite clean , fortunately not case . the room nice , much much nice room friend hotel pay around per night , staff friendly . also great let we check hour late since flight back home left evening . bar little expensive pretty par hotel bar , cute place grab drink two group we went wait other get ready dinner . do beware elevator , though . two whole hotel 's busy might take get one . would definitely stay , especially book peak time rate reasonable combine promos ws usually ! 
 Feb 25 2009 	 Great Business 	 great hotel stay several time business ! love ease hotel small side ! safe . stay many time hotel even upgrade couple time . staff friendly nice . great business hotel . 
 Jan 18 2009 	 great place 	 stay 1/16/09 1 night . hotel nice . room large ( book wonderful room ) also clean . would def stay . staff nice helpfull 
 Jan 4 2009 	 fantastic place stay 	 book fairly last minute New Year trip New York expect get average hotel never mind one brilliant . room immaculate , bed huge , staff extremely friendly overall luxurious feel place . the location fantastic , close attraction , end get one taxi whole trip manage wlake rest trip ... although back leg need rest ! although hotel main road ( hotel ) ! room quiet minimal noise traffic . couple go end little noisy room take quick chat reception move within hour . I would highly recommend hotel anyone stay New York return would first choice . 
 Dec 31 2008 	 true NYC Fabulousity 	 husband ticket SNL tap . stay W three night want leave come back reality . one good hotel either we ever stay . top term receive celebrity treatment people crave visit NYC . New Yorker three year hear great thing W chain . thing hear true hotel live high expectation . room exceptionally clean , modern , chic . extra bonus receive Bliss spa product . product within room create total w experience . designer really think everything right include W CD end purchase online get home w store . restaurant / bar fantastic beautiful . staff gracious polite . since trip , whenever possible try find stay W city travel . disappoint crave celebrity treatment . 
 Dec 24 2008 	 good hotel stay NYC 	 wife stay 5 different hotel NYC W Court far good hotel stay thus far many reason . service fantastic every employee eager assist we way possible . concierge know every restaurant town even buy we bottle champagne upon arrival restaurant . room surprisingly big ( room NYC ) three we staying room 2 double bed issue space . finally & quot ; Wet Bar & quot ; great place start night end night drink . hear lounge hot spot celebrity etc . time trip conclude drink 3 celebrity . staff young , attractive entertaining . avid traveler recommend W court . 
 Dec 22 2008 	 great location good deal - highly recommend 	 stay one night mid - December . course be dark , be annoying trendy music common area , expect ? 's W. Room spacious expect staff tremendously friendly helpful . highly recommend anyone come NYC business pleasure . can not beat location , definitely well choice many old hotel neighborhood . anything $ 300 night would steal . 
 Dec 21 2008 	 Awesome Birthday @ Court W Hotels 	 stay hotel New York 10 year . always great home away home staff know name take really great care . stay suite time Court .... Suite 1507 wrap around terrace . great suite chance request ! ! ! ! make sure utilize Acura Car experience well prove quite valuable tool experience city offer . the staff location top notch always toe . mention title , go birthday arrive card extra acknowledge birthday . quite nice surprise totally beyond one would expect . thank W ! Hope see soon ! ! ! ! ! : ) 
 Dec 15 2008 	 fantastic place ! 	 not understand negative review ! absolutely love hotel would definitely recommend anyone ! service fantastic , room gigantic city , let alone New York . bed super comfortable . minor negative issue small bathroom , really kind laughable . perfect Bliss amenity make ! not eat restaurant , prefer breakfast one various diner area . drink bar go , fine , spectacular . the people behind reception general manager helpful . 's free car service whoosh around town give enough notice . we definitely come back be back New York ! 
 Dec 4 2008 	 one stay list 	 property scuff dingy place , scarcely worthy W name . grim lobby gym house round picture . however , really problem ( off - and - on issue W property ) fatal nonchalance front line personnel . grown - up understand problem crop . hospitality complex difficult business . get . tell sorry send little pot tea cookie . cookie bite margin much , say sorry sincerity , follow . 99 % time . off . 
 Dec 1 2008 	 nice ` ` little '' W 	 little apprehensive Court review , get great deal starwood point cash , location 's great ( 3 block Grand Central , easy walk Macy 's , Union Square , back west Times Square night , etc ) , decide stick see happen . man glad ! second walk front , everything awesome ! doorman friendly checkin quick easy . even get upgrade , ' m guess , mini - suite , thank status SPG . room stylishly furnish , fully equip , , contrary reviewer write , perfectly clean . sure , wish double window view Chrysler Building rather fairly grungy block Lexington Avenue , be huge deal - like go spend time sit desk look window . upon enter room short foyer , find nook leave minibar closet , plenty room two small suitcase . right sit area chair ottoman , king bed - probably seven foot side bed wall . side bed , proably three foot desk window . bath , include space take tub , seven foot six , nice large ( frosted ) window , actually open ! Bliss bath product not really taste , job . use free ride Acura service head shopping - hassle , nice touch . later , head back drop purchase dinner , find complimentary cocoa & quot ; Living Room & quot ; nice welcome back/ get back night town , apparent Wet , bar lobby , bit scene - loud music , young crowd 40 - something self . front desk folk check early mention , though , Audrey , bar next door W Tuscany , alot peaceful & quot ; grownup & quot ; . back room , problem noise room hallway - course , knock back good deal libation night , might notice anyway ! morning , course , need coffee pretty badly - call room service pot , tell would within twenty minute . show even eight minute place order ! way , staff member offer store bag , , say be go head home , offer we ride . nice see would not even ask . , obvioulsy , much different experience Court many reviewer , really great experience . would absolutely consider stay next time be NYC ! 
 Nov 28 2008 	 stay away sack * * * * * hotel ! ! 	 ' ve stay W Hotels NYC -- usually glamorous , little crowded , comfortable . time find good rate W Court stay . EWWWW ! ! ! ! ! shabby , dirty -- real fleabag fake fur throw & quot ; glamour & quot ; . even much vaunted W wonderful bed sag sheet never feel clean . tiny window open airshaft . bad , beg plead management get someone make room ( fault , supposedly , leave Disturb sign door noon ) . oh , room put anything bathroom . mess ! $ 250 per night good manhattan , would do well sleep friend 's sofa buy nice thank - you gift money . dreadful ! awful ! not stay ! ! 
 Nov 26 2008 	 terrible service otherwise adequate hotel 	 first , room lobby actually quite nice ( except picture frame fall wall room ) . BLISS bath product nice bonus . ... service hotel TERRIBLE . get early need leave bag could go play . take forever gentleman come take bag , nervous missing show . when returned check , ask bag bring room . never HAPPENED . instead one we come lobby , FOUND unattended BAGS , take ! staff never even notice bag go .... mean ANYONE could take bag . but wait , be . book suite . sheet foldout sofabe . take 45 minute request sheet come . spring sofabe , meanwhile , ground mattress terrible . next ask towel . one hour.and finally , get charge roll bed ! pay suite . bring attention agent - extraordinarily rude ! & quot ; well ask roll bed & quot ; say . certainly ! try take charge , inform luggage fiasco , even FLINCH . 
 Nov 11 2008 	 good location - Fair experience / great value money 	 bad . Gramercy Park , St Martins Lane London , lot cheap . think main consideration get value money ? simple hotel . essentially bar room top . house music scented candle lobby mean happy pay 35 % elsewhere . answer probably . good sized room , simple decor , bathroom little tired , hey , NYC complain . think next trip might opt hip hotel thing stay somewhere little cheap , probably much overall do . conciege pretty good , avoid bar , bit protentious ( i m londoner ! ) vastly overprice . overall , good stay , great location . 
 Oct 30 2008 	 good value . good location . comfortable . 	 get excellent deal hotel depend date , well value Ws NYC . service good around -- friendly efficient . location terrific . close business meeting , walk distance Times Square major shopping area . Grand Central Station block away . very clean comfortable room . Quiet well . I upgrade , imagine regular room small , NYC standard size room quite good . the flat screen hd plasma great , IPod dock welcome . bed comfortable , cosmetic amenity fine . breakfast price predictably outrageous , get breakfast sandwich corner store next block bring back sit comfortable lounge eat . many breakfast option surround block . apple fruit infuse water reception desk . 
 Oct 26 2008 	 great Room NYC 	 first , will say book hotel Travelzoo special & amp ; get room pretty much 50 % hotel 's normal rate . way would pay normal rate . say , NYC standard , great room ! could not believe big room ! stayed & quot ; spectacular room & quot ; 2 queen bed , 10th floor face Lexington Ave . nice flat screen tv DVD player , ipod dock , super comfy bed , unbelievably large walk closet , nicely decorate . bathroom big enough 2 girl get ready & amp ; well stock yummy smell bliss product . bathroom feel little old . definitely feel like boutique hotel . restaurant not quite taste , great option right across street -- Deli , japanese , Thai , Chinese & amp ; italian within 30 pace . also , 5 min walk Grand Central terminal & amp ; food joint there . there broadband room & amp ; free WIFI & quot ; livingroom & quot ; AKA lobby . also ask borrow laptop front desk use lobby -- think great little service . the bar lobby quite happen little spot Fri & amp ; Sat night . drink pricey , , hey , NYC . bar 's high energy dance pop pump lobby elevator day make every trip feel like mini dance party . cameras elevator , ' m sure watcher get good laugh silly elevator booty shake . few area improvement : bathroom , previously mention , elevator sometimes take 5 - 10 minute get . frustrating be 10th floor . Lexington Ave also quite noisy taxi horn siren . be light sleeper , would recommend earplug . overall , would definitely recommend friend and/or stay without hesitation . 
 Oct 21 2008 	 carefull 	 suite -- room nice size & quot ; pull - out sofa bed & quot ; unusable cushion rip . bathtub not drain properly , stand water immediately upon take shower . room service fast courteous . unfortunately , watch ( super - nice cheap , either ) go miss room . fault use safe , still , put damper thing . 
 Oct 13 2008 	 Fabulous Hotel 	 impressed W - Court . check process smooth service impeccable . gold status acknowledge check offer upgrade room . lot space plenty amenity . concierge Barbara great suggestion attention detail much appreciate . also take advantage Acura car service . fantastic service really ice cake . highly recommend use service . the location residential within walk distance subway . nice quiet evening . I would definitely stay recommend hotel other . 
 Oct 8 2008 	 Loved W Courtbb 	 people post shabbiness W Court must vastly different room one stay . room sophisticate spacious ( 2 queen bed , walk closet , ample bathroom , good desk , sense humor amenity ) . delight every turn ! internet access fast easy work room . teenage daughter friend ( business , fun ) love . right amount attitude , style comfort . love ! 
 Sep 28 2008 	 Shabby Faded need Refurbishment 	 spend two night W business disappoint . thankfully , client pay , price , worth half charge . first , everything wear need replace . desk , bed , chair , lamp , etc . show multiple bruise scratch year hard use . second , elevator tiny slow -- spend 10 minute minimum waiting elevator . secret stay low level floor walk ! third , bathroom small plumbing need replace . tub serious drainage problem , showerhead water pressure non - existant . fourth , food room service awful . Bland , sparse , overprice . get well breakfast mid - brand hotel chain half price ! lastly , nothing boutique - y Court . feel large , faceless hotel . absolutely individual charm nuance . when Business School 10 year ago , W hotel coolest place stay interview work trip . , everyone move Mandarin Oriental . starwood announce chain - wide revamping tarnish W brand , stay away ! 
 Sep 27 2008 	 Faultless ! 	 actually describe standard place ! amazing , I ve stay many 5 star hotel outshine even 5 star ! ! ! can not explain people front desk & amp ; concierge go & amp ; beyond help make stay perfect ! I ve read lot review glad do not listen , fact negative review decide write ! trendy boutique hotel amazing location . say would not recommend old people may get decor , atmosphere chillin ! room enormous basic one , huge bed , massive flatscreen , minibar , IPOD CHARGER & amp ; SPEAKERS ! ! beautiful bright bathroom , internet would not work ask pay fee something ( find later ! ) be not complain enquire even wonder send 2 bottle wine & amp ; strawberry , much way people go customer ? ? would completely recommend , hidden gem ! 
 Sep 17 2008 	 FANTASTIC choice .... GREAT LOCATION 	 Stayed W Court New York last minute descision , change New York Helmsley .... fabulous choice ! ! problem check ... travel agent book 1 person instead 3 , hotel give we free upgrade suite . hotel staff extremely friendly , hotel immaculately clean , location fantastic .... minute walk Grand Central . nothing much staff ..... whatever / whenever ! ! hotel restaurant little pricey fabulous , hotel bar great place relax unwind ..... however atmosphere change 11 pm local come get lively great fun ! ! overall , fault hotel would love stay future . 
 Sep 7 2008 	 Nice ... ! 	 choose hotel base price fro SPG hotel . town ride NYS Century Bike Tour . book via SPG.com get Wildplay Package ( 2 cocktail free parking ) . service great . concierge Hotel staff , Valet guy great . ask Room upgrade , apparently SPG card holder low todem pole fro Auto Upgrades . W Hotels card holder come first , SPG holder . very Chic New Age type atmosphere , cool dark . room- large ny standardsneed update , nice big 42 inch flat screen , awesome bed . bathroom need update . bliss product . wall , could hear several people get LUCKY ! wet Bar- way expensive . Mojito $ 15 ! ! ! ! cool atmosphere . female bartender alittle high maintanence . place get go till 11 pm after . they give Late Checkout @ 3 pm , nice . would probably stay agien though . nice place Couples single , definitely kid ! ! Valet Parking 60 $ plus $ 11 tax parking , expensive ' ve see ever . 
 Aug 20 2008 	 W hotel slip 	 issue : room : visible , dirty water stain ceiling . shower old well do . water leak place shower . none phone work . could call front desk , etc 2 cordless phone . towel replace / throw age ago . hotel bar small whatever 
 Aug 12 2008 	 great value service 	 wonder reserving see comment , happy report overall average experience . staff wonderful -- helpful , friendly , knowledgeable , respectful . room * away * large expect NYC price . eat restaurant one night find good well . , waiter top flight , service good , food average mid - price hotel restaurant . highly recommend . 
 Jul 16 2008 	 great room price 	 although W see upscale hotel , like . think people rude room awful . could hear people next door wall thin , hole sheet . price pay hope could get something little well , dissapointe . 
 Jul 8 2008 	 really nice romantic 	 wife stay W Court 4th July weekend , favorite stop . great neighborhood , GREAT view Chrysler building ( beautiful ) , bright spacious room , hi - def tv , dvd collection borrow free , etc . one high floor , like room much stay one morning watch movie instead go see sight . need get around , be less 10 minute walk Grand Central Station . this second W New York , opinion service ambiance great . would stay . 
 Jun 27 2008 	 whatever 	 recently DISAPPOINTING stay w - COURT NEW YORK . RECEIVED EMAIL UPON RETURN , ask anything & quot ; less PERFECT & quot ; . RESPONSE - send 24 hour ago , responded : travel quite extensively , disappointed W - Court ! .......... reserved & quot ; spectacular suite & quot ; 5 night request view . first , disappointed condition suite . look like old apartment need rehab : chip paint , burn light bulb , view wall , shower drain . addition , rollaway request son turn uncomfortable deflated air mattress , sofa bed also poor quality uncomfortable . manage get light bulb replace shower drain take care next morning , however nothing else address . phone front desk morning arrival explain frustration someone not seem care whole lot say would manager call cell phone . hour pass without response . call back , find record prior phone call , tell unhappy could check next morning . W mean & quot ; whatever , whenever & quot ; ? seem like & quot ; whatever & quot ; ! decide stick accommodation , request least get real rollaway replace deflate air mattress . request finally handle , unfortunately rollaway unbearably uncomfortable , son sleep overly soft chaise lounge living area . ice cake & quot ; security department & quot ; . checking , call inquire camera turn , come attention pack miss digital camera . receptionist offer connect security , turn voice mail . leave detailed explanation , name cell phone number , ask may turn , also want inform hotel chance could taken room . , response phone call . overall disappointing stay , really leave bad impression we W Hotels . 
 May 5 2008 	 whatever ` ` whatever whenever ! '' 	 recently stay W : Court Bachelorette Weekend . many friend live city bride live Manhattan year . , like location , moreso edge Murray Hill . not know location would work much never NYC plan tourist site . stay many W property always appreciate unique hip design well attention fun detail . stay suite nicely sized & quot ; okay & quot ; decor . ( look little rough around edge tile bathroom , etc . ) bathroom kind tiny size room walk closet , expect New York hotel ! say , focus service . truly truly terrrrrible ! front desk people 1 ) openly rude , 2 ) would stare blankly ask question , 3 ) would direct us & quot ; hold & quot ; second chat answer lengthy telephone call . service people would ask three time ( minimum ) bring sewing kit couple plate . truly painful . example , literally take Act Congress leave key friend arrive late luggage store room . 20 question whether person guest ( therefore require 50.00 charge stay room ) , scold potential key de - magnitized ! odd . lunch restaurant food fine , , service disaster . become joke end trip W 's tout & quot ; Whatever Whenever & quot ; & quot ; whatever ! & quot ; 
 Apr 21 2008 	 Comfy Quiet Location 	 ' ve stay many W Hotels around country ; one nothing spectacular , be really nice way . be small quieter W 's ( esp . W Union Square Times Square ! ) decor smart staff pleasant . reason Starwood website offer hotel $ 220 night ! ! book glad do . the hotel participate promotion Acura automobile . guest entitle complimentary ride anywhere Manhattan stay . save money taxis subway ! think promotion run December . location 3 block subway easy walk Penn Station . 
 Mar 28 2008 	 Good Hotel central 	 first trip New York 10th wedding anniversary , excited city . the hotel reception small dark atmospheric , desk staff , friendly . receptionist discover travel ( Ireland ) , upgrade room & quot ; wonderful room & quot ; & quot ; Spectacular Room & quot ; .To honest , would not call room spectacular , fine . city hotel , room small , nicely decorate , everything could expect , large screen HD tv ( not use except see storm NY would affect we ) , nicely appoint bathroom , room safe , Etc . we not eat hotel , can not comment dining facility , bar look like hip trendy place , especially weekend night . the location hotel fantastic , cross street Lexington Ave Park Ave , right beside Grand Central Chrysler Building . like walk , walk Manhattan , New York great city that . overall , staff friendly anything could help , place well appoint bit small , hotel help we enjoy whole NYC experience . 
 Feb 18 2008 	 Great Hotel - bit cramp 	 be family four , kid 10 14 , stay overnight night NYC . could get double ask King cot . pleasantly surprised find double check . service excellent . Blue Fin good sushi . room small , keep step . overall good experience probably come back since will need space . 
 Dec 21 2007 	 Nice Staff not make cheap room 	 stay W Union Square , Times Square hotel Court 39th Street . BIG MISTAKE stay COURTThe Court , can not even believe W ! ' ve travel lot high end hotel work vacation ws always first choice . bellman sweet one guy old , feel bad & amp ; politely refuse help luggage . girl front desk sweet girl set upgrade . disgusted walk room ! bathroom trash not empty , bed spread do , sheet stain area none light work . second room get , bathtub would not drain hear noise street . call complain manager lady tell noise typical NY . believe ? ! almost $ 400 night basically tell & quot ; deal & quot ; ! work lot people industry know overreact will not get response want . seriously , think nice staff make cheap shabby room ? not get wrong , call talk girl front desk , sound sincere embarrassed . manager another story . decide drop make trip anyway . when check , minibar charge call speak manager . get lady ! explain drink way could use . also remind problem say could not remove charge would award frequent stay point . seriously ? ! 
 Dec 11 2007 	 like bad location . 	 husband book hotel thru Starwoods . hotel nice , beautiful lobby lounge area . room furnish well , come , cramp New York hotel room nice furniture . not make nice seem want . exception bathroom . fantastic ! Bliss spa product great ! big problem location . not lot little shop , cafe , restaurant etc , area . book tear Court Union Square location . decide Court want close show go attend . ( theatre Times Square ) since end take cab theatre anyway go Union Square . end spend time . way area 's charming place walk around . overall W hotel experience great , would choose Union Sqaure next time . 
 Nov 23 2007 	 good location great suite size overall expect 	 wonderful place stay friend be young couple . love ambiance W , be everyone - 75 yr . old man speak elevator disturb & quot ; loud , bang lounge music & quot ; . be trendy , urban like ws , lounge / bar area get crowded 20 - 30 something look mingle work weekend . book suite four girl 750 sq ft . huge - two room separate short hallway , flat screen tv . read review seem regular room tiny , suite way go ! wonderfully soft bed great bathroom amenity . heater / AC unit make bit noise bad car outside rush hour traffic . typical NY noise imagine bad Times Square location . I like location 's smack middle tourist area , really close subway , Park Ave , restaurant be never far need . 
 Nov 22 2007 	 's NY ! 	 take mother NYC 85th birthday need hotel centrally locate not walk long distance . definitely much old W 's target market great time nonetheless . walk lobby , light low music bar blasting laugh . check take time staff could not friendly . small lobby short walk quick elevator relatively small room , be ny ! space premium w lot little space . bed comfortable , chair room closet nice flat screen tv . bathroom small certainly adequate great toiletry , $ 399 per night , pretty good value ... ny ! location we perfect fabulous weekend . 
 Nov 9 2007 	 Great Hotelwould wonderful someone turn light lobby . 	 Hotel really good read bad review suprise room etc maybe 4 * state central 5th ave EmpireState good bed nice room problem darkness reception maybe 40 I m hip cool enough appreciate thissort ambience anymore . stay 4 night could stay NY hotel . 
 Nov 7 2007 	 great location great service nice room 	 great location . nice room 5th floor overlook street . comfortable great shape . also pretty reasonable time . 
 Nov 6 2007 	 Hated Place 	 take wife special birthday celebration NY ( first time ) want special pay $ 550 per night include taxis spectacular room W Court . book W Hotel website , tell nice property either W Tuscany W Hotel Lexington . find later , probably stay Tuscany perhaps W . lobby dark small , read review , agree probably hide many imperfection generally old unkept look hotel . room small enough room kingsize bed , write table , chair . ask nice view get see Chrysler building window room probably measure 3 foot 3 foot . bathroom small good part fact sink bathtub drain slowly water calf upon finish bath . call desk get someone fix , . third time front desk get room keycard change , could get room , even overhear someone check room front desk , thought leave even though still day leave reservation . simply many little thing add spectacular experience we . pay consider high price , certainly could justify good service least decent room , single redeem part time hotel could point could salvaged turn terrible experience . many fine hotel year , business pleasure , far bad value money . not go .... first time ever slag business online use type review website extensively make decision go first place , think people know decide spend hard - earn money place not deserve business . 
 Nov 3 2007 	 great surface ... smell sheet first ! 	 guest room good condition overall , however number scratch scuff mark item wooden furniture room , namely desk also chest drawer closet area . bathroom , air vent floor come apart . noticeable fade white stain chaise also armchair bedroom . plastic look though fall unsightly wire stick side . window frame bathroom also paint mark around edge look wear old . cordless phone room also work . could get dial tone matter button line press . there small glitch public area hotel . number finger mark , nicks scuff mark glass door entrance hotel . need good polish wipe . first arrive , one lift not work engineer busy repair tool strew across wide area lobby . towards end evening , lift work need good vacuum . filthy inside dirt , piece drop paper even piece trodden - in chew gum stick carpet . overall , feel room hotel excellent term size decor - bed soft , shower powerful clean - TV ' large great sound ... also feel number teethe trouble come service yet fully meet standard & quot ; W & quot ; aim for . essentially , appear lack communication staff lead unnecessary delay confusion guest . example , extra towel deliver room mix - up room go . nobody hotel think inform request going fulfil . come whatever / whenever request mouthwash middle night , also complete talent could not find item look . New York , city never sleep , get hold item pharmacy early hour morning probably one easy thing accomplish , yet hotel fall short occasion . also confusion front desk breakfast serve . ask Welcome Agent , Jennifer , inform breakfast serve 8 am . however , W Hotel guest information room , states meal serve 7 am . point Jennifer , apologize . make mistake think weekend rather weekday . one small , slightly irksome error , special car service hotel promote - Acura Driving Service . Joe front desk inform we car service available 7 am morning . turn false . car service actually begin 8 am ! mistake could easily forgive , however guest planning Monday morning commute work plan take car 7 am . find run specifically tell night would , infuriate . when Jennifer tell we car run , receive kind apology . tone attitude someone show kind empathy understanding . also not even bother offer book we form transportation . show kind & quot ; deal & quot ; attitude . catch guest guard somewhat . kind service expect relatively small boutique hotel - perhaps large hotel maybe , W , surely ? say , small - ish problem iron , service become polished , become pleasant hotel stay . 
 Oct 23 2007 	 tiny room ! 	 suite prepare wedding . really two small room link door . worth money ! 
 Oct 6 2007 	 beware -- stay away room face 39th Street ! 	 husband & amp ; take short weekend trip Manhattan ( Sept. 23 , 07 ) . usually stay low part city , decide try W -- Court -- b / c get medium - sized room $ 270.00 night & amp ; review Trip Advisor decent ( Hudson -- be familiar ) . would stay follow complaint : believe room . 510 -- overlook 39th Street . read post book say noisy place , shrug think maybe people use sound city . ' m use sound traffic , etc .. kind noise bother night . however , bar lobby face 39th Street patron outside scream yell 4 am ! sound like room top fraternity house . noise loud could even hear nasty old air conditioner ( also pretty noisy ) . keep AC mufflle noise come bar . , barely sleep first night . request ear plugs second night . keep mind , 's sign Concierge 's desk say W -- whatever ... whenever . person speak say would send ear plug , never . someone else say not ear plug . could not care less sleepless night . request room change , say hotel full . say would get back ear plug , never . obviously , buy ear plug second night , would expect provide -- least . the room decent size & amp ; clean , bathroom old deteriorate . tub dingy grey stain bottom water would not drain shower . would not even think actually take bath . also , OUTLETS bathroom -- make impossible dry hair front bathroom mirror . vanity space product , make - up , etc .. annoying . addition , window room dirty could barely see . state eariler , room decent size , bathroom piece crap . space immediately around bed , rest room useless . large walk - in closet ton extra room around mini - bar area ( would perfect place mirror outlet b / c large counter mini - bar area ) , outet part room . make difficult use ironing board . , space waste , expand bathroom waste space . room dire need make - over . also not like location ( Murray Hill ) everything want low Manhattan . waste much time travel back forth hotel . although , great orgainic / diner style sushi restaurant near hotel call Josie 's . sushi delicious organic wine tasty . hotel clean though & amp ; nice fresh scent pumping hall . bar ( Wet Bar ) great place drink dinner . lobby way tiny , clean nicely decorate . 
 Aug 27 2007 	 low key ` ` W Hotel '' nice nevertheless 	 stay W New York - Court one night 08/25 . arrive 9:00 surprised find room ready . room nicely appoint flat panel screen television , chaise lounge chair , nice bed , etc . stay W Hotels New York ( W 541 Lexington Ave , W Times Square ) , notice one & quot ; scene & quot ; other . lobby low key seem function meeting place hotel guest . one feature hotel W location receive & quot ; brownie point & quot ; free one - way car service . perhaps well keep secret hotel . find ask concierge restaurant recommendation casually mention & quot ; car & quot ; & quot ; minivan & quot ; could drop restaurant . car turn black s - class Mercedes . nice ride . driver drop take taxi back dinner . next day , driver drop Port Authority catch bus shop outlet . pleasant surprise tip driver concierge generously let secret . overall , great stay would stay , although wish lobby area happen scene . 
 Aug 21 2007 	 nice location great service age hotel thin wall . 	 Usual & quot ; W & quot ; chic appeal excellent midtown location , close everything , nice locate quieter part town . pro include large room , flat screen tv , nice view , amazing service front desk / concierge / maidstaff . room design nice , dark side color . con definetly age hotel random carpet stain hallway , room , elevator . paint seem old tired hotel room also . layout room little weird . thin wall mean hear everything , something worry people start chat hallway late night drunk . mold near air conditioner closet . dont eat restaurant - really bad food , high price . 
 Jul 23 2007 	 Nice Midtown Location- Hotel Nothing Special 	 Stayed W Court 4 night recently long weekend . location great look nice central Midtown location far enough away touristy Times Square area . everything else ok / fine . room clean , bed fine ; bathroom fine ( toliet crack ) ; window quite dirty . not really typical W ' scene ' hotel either . be really fine place park stuff & amp ; catch zzzsoverall , get good price like quiet boutique hotel , would not hesitate stay , not expect luxury typical W atmosphere . 
 Jul 17 2007 	 Bad Service hip 	 stay one night W Court next W Tuscany , literally side side . move two one considerably less expensive Friday night vice versa Saturday night . annoying , it . my take w chain whole consider 's hip rude inattentive . W & quot ; Dick 's Last Resort & quot ; hotel , reference translate globally . get bad service 's suppose cool . here snafu 2 night . , Saturday morning , check Court order check Tuscany next door , literally 15 foot door door , usual blackout window noon checkout Court 3 p.m. check - in Tuscany , cause we need leave baggage one place . court implore we entrust -- would physically take Tuscany ( 15 foot away ) . . spend afternoon return Tuscany 6 , plan change clothe theatre night . check - in , tell baggage not transfer yet . say would go retrieve , insist , would bring promptly . 6:45 phone room tell would forthcoming shortly . 7:30 take theatre still jean . finally pick bag bell staff 11 night . it anniversary , hotel put bottle champagne ice room Tuscany , place 5 p.m. check Saturday . elect wait open return theatre later night . point , however , ice melt bottle not cool enough . get ice W , ring front desk wait , tip deliverer , annoying . rang request , call 30 60 minute later , 90 minute , midnight , call say & quot ; forget & quot ; go bed . the next day around 11 a.m. go exercise 90 minute nonresponsiveness , check , rush airport , leave unopened bottle room . to fair , room clean bed comfy . ' ve satisfactory stay every Comfort Inn ' ve stay . 
