good 	 Stanford well situate Korea town , close Macy 's good shopping . although NYC business also downtime able enjoy delight city offer . room small side , one elevator present huge problem we . bathroom clean sheet towel smell freshly launder . back hotel overlook window present problem either quieter street side . crane neck could see sky able see weather dress accordingly . breakfast bagel , doughnut carby thing - bun , roll , toast etc , ok . staff helpful pleasant . mid - town struggle find restaurant korean one stay open late . 
 Jul 6 2008 	 Stanford Hotel good hotel right price NYC 	 locate midtown Manhattan.200metres Empire State Building . very clear comfortableAir condition work wellSafe box room includedSimple breakfast include hot coffee ( american ) , bread , milk , tea , orange juice , croissant , butter cheese . only jam miss . internet free access . refer price : goodconsidere hotel rate NYC.I suggest everybody budget traveller 
 Jul 4 2008 	 Excellent ! 	 friend lovely stay Stanford . close main attraction , convenient . room clean & amp ; simple , perfect , be sleep ! staff friendly , breakfast absolutely fine ( sometimes get really crowd , big problem ) . already plan next trip New York definitely stay Stanford ! 
 Jun 29 2008 	 Great Location good service 	 give 5 star excellent location . near subway , Penn Station , Broadway , Macy 's F & amp ; b outlet . book twin room . look exactly hotel website . 's little small care crash ? unfortunately , two window , face brick wall 4 5 foot away . claustrophobic ask change ' room view ' . upgrade . give double room . least look street window let light . $ 10 , exclude tax , worth staff courteous professional enough think give work swap room . breakfast nothing great - bread roll orange juice , tea coffee . cereal , egg , bacon . breakfast everyone else talk serve Martinique Cafe round corner hotel . want leisurely full breakfast , go . 's great place hang . 
 Jun 29 2008 	 Nice Hotel right place 	 other say nice , clean hotel nearly nextdoor Empire State Building right place . small downside picky one lift , get busy morning . Breakfast , whilst adequate fantastic , bagel , roll cake - gripe jam ! love grape jelly . serve one end cafe attach hotel . space big enough . another room renovate moment ( June 08 ) not know normally use breakfast . final criticism air conditioning control centrally somehow . would prefer contol room . regardless criticism would recommend hotel would stay . 
 Jun 15 2008 	 Great Location 	 friend stay 3 night . great . subway right outside Hotel . easy get . hotel next Empire State Building , Macy 's Penn Station . little seating area across road sit watch world go by . the complimentary breakfast good . room quiet good sleep . 
 Jun 4 2008 	 great location say tin 	 fantastic location near Macy 's , underground station , Madison Square garden . room clean bed comfortable . could redecorate though ( stain carpet wall rather scuffed ) . not great experience breakfast small cafe wait somebody else get hurry could get seat table . Breakfast ok ( bagel , croissant , banana , apple , bread roll ) feel bit hurry due limited number table . however great value money fantastic location . would stay . 
 Jun 1 2008 	 nice hotel ! 	 stay 6 night hotel , really like . staff friendly polite , room clean . I look lot 's hotel decide book one . not regret . cost / benefit great . be great location . even think simple hotel , believe provide essencial thing good stay . clean room , cordial staff , great location . would stay . 
 May 26 2008 	 nice clean excellent location friendly staff 	 location superb , near Macy 's , metro station right corner . room clean , big bathroom , wonderful bathtub relax long sightseeing day . complementary breakfast wonderful start day . staff friendly , well maid . certainly go back ! ! ' ve read review problem AC , work perfectly . room fresh every time come . 
 May 21 2008 	 good budget hotel 	 clean room , comfortable smallish lovely ensuite . tea coffee make facility room even though say . great coffee shop next door nice well price coffee make . coffee shop also complementary breakfast ( thought inlcude price ) consist bread cake plenty coffee , tea OJ . fridge room . staff helpful , give direction excellent map . great location , could see Empire State building room . overall pleased 
 Apr 28 2008 	 great stay stanford 	 stay apr 10th 14th.room clean large expect nyc , fridge bonus , also safe handy personal items.our room 12th floor look 33rd st , hey go new york sit room ? ? ? ? love bath body work toiletry . front desk staff always smile helpful maid . location perfect , macy 's manhattan mall around corner , 10 block time sq around block esb . check speedy 's deli ( LOVED speedy 's ) across street fantastic food jamba juice end block ( 5th ) yummy smothies.the subway end block trip afield.the bad thing heat room , bit stuffy time thermostat not work could not turn ! fantastic trip NYC make well fantastic location stanford 
 Apr 24 2008 	 Great Hotel 	 stay Stanford hotel 3 night , April 10th 13th 2008 . hotel 's location perfect . close great store nice deli across street ! . friendly staff really comfy room lot space fridge . would highly recommend hotel visitor NYC . 
 Apr 22 2008 	 Nce affordable accommodation 	 ideally locate , couple min away macy 's . room comfy clean , problem noisy central heating system night . hotel staff friendly . Perfect visit shopping trip within walk distance shop . adequate breakfast provide aswell , tea , coffee , juice , fruit , bun .. would def go back vistite nyc 
 Apr 10 2008 	 clean convenient 	 get back 7 day stay Stanford Hotel . location convenient , subway literally corner great place eat morning . hotel breakfast average , cornflake banana , croissant ( jam ) , pastry . first impression 11th floor room & quot ; be clean & quot ; , definitely enjoy Bath Body lotion shampoo . bit stuffiness room true could not ever get AC , however leave window open sufficient . do not think could stayed come summer time . definitely inquire air conditioner , maybe do not turn time year . overall price location great . 
 Apr 7 2008 	 ideal girlie shopping trip 	 stay 4 night april . organise trip , sister 21yr old neice birthday treat . great trip . hotel exceed expectation - 's brillaint value money ( stay one room ) , location ideal - shop see sight ( ' safe ' area ) staff friendly helpful . would recommend other - bear mind 2/3 star ! 
 Mar 28 2008 	 good hotel shopping holiday 	 many time perfect hotel go shopping holiday . 2 minute away Macys 34th Street perfect head back bag purchase , sit , relax bit hit shop againstaff extremely friendly anything help . couple time room hot , say reception fix we never issue . breakfast perfect , pastry , toast , cereal , want ! : ) breakfast room get little overcrowded time since buffet style breakfast people long 20 minute go againroom nice , clean spacious . recently stay supposedly superior hotel last week NY times square , double price Stanford Hotel ( free tho , that s go ) would never go back . room tiny many problem room . good alli would definitely recommend Stanford Hotel look something central , cheap , somewhere good shopping 
 Feb 29 2008 	 Perfect location 	 hotel perfect location see many sight right heart Manhattan . one minute nearest underground , Madison Square Gardens , Empire State Building , Broadway theatre land Times Square 10 minute walk away . cafe adjoining hotel entrance one side bar . not venture bar cafe perfect get last minute latte go ! hotel reception staff friendly maid . breakfast alot desire though - abit let - plastic cutlery paper plate , paper cup etc ! ! breakfast 7.30am 10 am , good get queue 7.30am otherwise seat leave . 's usual bread , cereal fruit , tea , coffee orange juice - nothing grand enough set lunchtime . room fairly small double , bed seem small UK double . room hot thermastat do not seem work , sleep window open quite noisy - though , great hotel , perfect location , amazing city ! 
 Feb 24 2008 	 Sleep Depravation 	 unlike online description , hotel average every way . lobby , room desperate need updating , staff barely speak English , willing accommodate guest ' need . frustrating sauna like temperature hotel . room individual climate control ' work , hotel 's central heater , controllable room , continuously blow hot air , hover 82 degree . room hot ' sleep night even window wide open winter air . complain assured heat would turn . nothing happen . 2nd night finally push point ' leave front desk actually act multiple promise . stay want waste time fight staff get night 's rest . 
 Feb 24 2008 	 great hotel can not fault ! 	 arrive Hotel Stanford , expectation base ( relatively low ) price pay Hotels.com . however , upon arrival expectation greatly exceed find fantastic though low - key hotel perfect midtown location service amenity would expect much expensive lodging . the staff front desk , well catering cleaning staff doorman friendly go way support help we visit . one point request change room due clanging pipe noise throughout night . room switch without incident ( although unfortunately noise new room ! ) - not spoil stay . the hotel clean room make every day , fresh towel toiletry provide . loved shower gel Bath & amp ; body work ! good thing hotel location . adjacent 34th St subway stop 2 block Empire State Bldg , could see window room . second good size room - much , much big expect New York big city - centre hotel ' ve stay in . breakfast good - great selection cereal , toast , bagel , doughnut , pastry fruit , hot cold drink . transport airport also arrange , well entry city 's attraction . in order address complaint elevator , would simply like comment european city hotel , would lucky elevator , often would walk several flight stair . although admittedly fast elevator world , far ruin experience hotel ! could well stay New York , would definitely return Hotel Stanford . 
 Jan 30 2008 	 Good Place Great price 	 hotel wonderful location ( Herald Square ) near subway . go 3 day vaca . kid ( wife ) . room small clean clean private bathroom . fridge room handy . staff friendly helpful . also affordable parking ( $ 25 / day ) across street guest . downside slow elevator room smoking want nonsmoking . also continental breakfast minimal , do not get end . downside big deal . 
 Jan 11 2008 	 Stanford great value money clean well locate 	 stay Stanford 3 night December . previously stay hotel 2006 please money , room clean , relatively modern basic facility include room safe , small fridge , flat screen tv etc ... problem one double bed room tilt mattress ( many overweight visitor past ? ) . report hotel reception apologetic fix end day . excellent service . I would stay hotel recommend location value money . 
 Jan 10 2008 	 Excellent Location - Nice Hotel 	 Boyfriend stay hotel Chritmas Period . hotel excellent location shopper locate door step Macy 's & amp ; Manhattan Mall . empire state building rear hotel , penn station 2 minute walk 10 minute walk times square & amp ; 5th avenue heart shopping . stay 7th floor . room small include bathroom . sleep window open night could control room tempeture . stuffy ! one lift hotel hold 8 person slow peak time . depart hotel suitcase , wait 20 minute lift ! ! ! real pain . staff pleasant . excellent resturant around corner hotel face Manhattan Mall ( can not think name ) . breakfast every morning great . great menu fast service . 
 Jan 6 2008 	 Pleasant Stay ! 	 return 2 night stay Hotel Stanford . employee contact pleasant eager assist we . stay standard room 7th floor back building . room clean , quiet ample space 2 woman visit shopping trip . continental breakfast something basic every taste . , location ideal hotel within walk distance Macy 's shop Herald Square entrance step subway line . 
 Jan 6 2008 	 great location great service 	 stay friend Hotel Stanford Dec 3 night . my first choice would Hilton Garden Inn due Dec really busy available decide go Stanford Hotel . when get Hotel disappointed . reception area not look nice cold quite empty looking . staff friendly speak little English hard we check ! room ok - clean comfortable . nothing special not expect anything fantastic need quite comfortable . room bathroom good size tv Dining table . problem noise New York City expect ! ! location fantastic - around corner Emipire State Building Macys really good . I SHOCKED include breakfast ! ! MILK ! ! ! could not cup Tea Coffee even cereal ! ! seem pretty strange ! another guest ask milk staff not understand shake head ! think well can not cereal toast .... ... butter ! ! anything put toast ! thing could cream fill chocolate doughnut ! make sharp exit go cafe around corner hotel lovely typical american breakfast ! eat breakfast rest stay ! last two day lovely staff reception desk really helpful query . look great location comfortable , clean room would brilliant . 
 Jan 6 2008 	 great value 	 come back Hotel Stanford . can not beat price . great location - near Macy 's , Madison Square Garden , two step subway stop . ask front desk let know special Hotel Stanford rate internet cafe across street . room small clean staff friendly . continental breakfast toast , danish , bagel , cereal , banana apple . , would go back second ! 
 Jan 4 2008 	 Modest well locate 	 stay five night Christmas . give book holiday quite late , not know price pay value money , find rating TripAdvisor reviewer give Hotel Stanford quite appropriate . our room smallish comfortable . furnish well enough could unpack make feel home . however tend feel quite stuffy time despite winter . try fiddle thermostat avail . bathroom fine . real view speak narrow slice building uptown ! housekeep good service provide rest hotel staff fine well . never go breakfast area can not comment that . now location really fantastic , especially first - time visitor NYC . go back will definitely endeavour stay somewhere bit ' cred ' like Village , Stanford right heart Midtown . empire State Building right around corner , Macy 's fancy shopping . new home Second Avenue Deli block east , great Christmas Day breakfast ! Times Square block north . plenty subway station nearby , plus Penn Station Grand Central Terminal little away . area expect always little busy could consider pretty safe ( NYC day ) .The annoying thing Stanford tedious get single elevator peak period ( 11th floor ) . close ground able , would take stair ! wait elevator ground floor , not forget check frame letter 1927 write hotel letterhead Hotel Alcazar . 
 Dec 27 2007 	 Stanford stay 	 hotel stanfor nice experience . not extrodinary hotel nice say least . price service not great perk falt . check bumpy front desk clerk barly could speak english hidden expence 100 dollar add something . not plesant man . get room nice bathroom hold together duck tape . weird . however great bellman/ housekeeper run place name Victor make stay much pleasanter experience . location great ! continental breakfast nice however well keep . juice milk warm room way small . though bump great time . 
 Dec 24 2007 	 Ideal Location 	 stay room 308 , double double room 3 night . four girl shopping trip ideal . this fourth time NY ' ve experience hotel , pay high price ! room good size , 2 dbl bed , pull sofa , fridge tele . the breakfast start 7.30 , consite cereal , bagel , croissant , juice , tea etcThe bathroom small job , shower be not powerful twiddling , work fine . the hotel 2 min walk Macys , get sub ground Zero Century 21 short stroll away , look cheap cheerful hotel ! 
 Dec 4 2007 	 Excellent value 	 ' ve get back stay hotel find excellent value money adn wonderful location . OK 's one lift get bit tiresome never wait long chill . double double good size New York comfortable bed , plenty storage space , fridge good maid service . I would recommend hotel anyone want clean , comfortable , convenient budget hotel . 
 Nov 24 2007 	 good location old good condition 	 really problem find good value hotel New York City . Stanford old , average condition item ok . room ( bathroom ) big ; problem want stay family 4 ( ' stay wife , son niece ) . locate street korean community ( find many people street time ok want walk around late night ) . close Empire State Building 2 corner Macy ' , Madison Square Garden 2 subway station . but like breakfast hotel , forget about … Stanford breakfast serve small bar inside hotel almost impossible get place sit . 
 Nov 8 2007 	 never mind roache ( ) 	 family four ( include two teenager ) stay 5 night Oct 30 - Nov 4 . got room 815 2 queen sized bed one & quot ; fold sofa & quot ; . large room nice bathroom , small fridge tv - set work okay . good cleaning . problem get extra towel need . pay $ 1950 , i.e . almost $ 400 / night , inclde taxis . hotel try charge $ 100 extra ask original price manage find booking get price . friendly staff reception doorman . complimentary breakfast nothing fancy get cereal , fruit , toast different kind , bagel , donut , coffe / tea / juice . nb ! lot space breakfast room , avoid rush hour . finish breakfast go lobby take elevator since take long time wait elevator outside brakfast room ( first floor ) . Location Hotel Stanford perfect visit New York . get everthe around corner ; i.e . empire State Building , go leave outside hotel entrance leave around block ( early ! ) . subway 20 meter away ( 34th street station 32nd street stair , good know first time go subway hotel ) . would go back stay location . never mind roach ( yes , see couple hotel ) , part traditional New York experience ! 
 Nov 4 2007 	 exactly need holiday 	 stay 5 night Hotel Stanford October 2007 . three 20 something girl come New York shopping trip . hotel exactly need . central , perfect location . 5 min walk Macy 's 10 min time square . subway stop right outside hotel . we , basically want somewhere clean , safe central certainly deliver . recently refurbish ( although necessarily taste ! ! ! ) spotless . room big enough 3 we share ( 2 double bed ) cheap . think pay £ 240 5 night . originally book 6 night BA overbooke get compensate £ 420 stay london hotel return follow day airport shopping money ! hotel staff nice refunded first night stay proof BA . bathroom clean new shower massive large & quot ; raindrop & quot ; head . stay 5th floor could hear thing . air con hums night fine we . new flat screen tv room . also , small window look another building never see natural light not mind room sleep . , would definately stay , especially want save money shopping ! ! 
 Oct 31 2007 	 Perfect Location 	 stay hotel week shopping sightseeing March find reasonably price perfect location . subway stop right door , Macys around corner unique location Korea Town . room decent size , lot wardrobe space shopping ! bathroom also good size . tv good variety channel room clean daily basis . stayed 13th floor noise ! would definetly recommend hotel base week fun New york City ! 
 Oct 17 2007 	 love hotel ! 	 daughter ( age 11 ) stay August 2007 three night love it . the location perfect : two block Empire State Building one Macys , bus subway stop nearbly anywhere want go . really feel right middle New York . the room huge , perfectly fine consider reasonable price , everything need : telephone , television , good drawer desk space , well- equiped bathroom , clean . view window show enough New York skyline keep we happy . staff unfailingly kind , polite helpful . Breakfast take place karaoke bar ( music , breakast news ! ) . smile staff hand cardboard plate , adequate selection tea coffee , cereal bagel , , daughter 's delight , chocolate doughnut ! fellow traveller mostly mixture Koreans ( situate Little Korea ) Europeans , include several Italians , family group . I would definitely come back bring rest family . 
 Oct 17 2007 	 Ideal Location shopping sight seeing 	 say enjoy stay Hotel Stanford . ideally locate . exit hotel leave 5th Avenue right Broadway , Macy 's , Gap , H & amp ; , forever 21 , Payless , Manhattan Mall many around corner , could not believe luck . Penn Station 15 minute walk away metro around corner . reception staff extremely helpful . breakfast good nothing exciting , pancake ......... restaurant Radisson next door fab pancake ! ! ! ! side hotel one lift least 12 floor patient . bedroom basic like every hotel NYC , bed really comfortable , shower fab nice strong room clean every day . overall enjoy stay go back . 
 Oct 1 2007 	 mixed feeling experience 	 mixed feeling experience Hotel Stanford . plus side , price reasonable Manhattan room clean . location convenient subway number downtown attraction Empire State Building Macy 's . husband town attend wedding Marble Collegiate Church , Hotel Stanford short three block walk church , major factor decision stay hotel . , however , hotel 32nd Street ( full booked ) might equally convenient without drawback . on hand , room clean , extremely small . barely enough room one we move sideways around one side bed . air conditioning room anemic good , room feel stuffy entire time . 's central air conditioning , street noise become much , find wish white noise effect in - room unit would provide addition keep temperature bearable . we come Thursday night wedding look forward watch season premier Office dinner . apparently , accord bellhop respond call , antenna top building not get NBC , room hotel get station tv . , however , proudly point excellent reception CNN , not really help point . , be decent budget hotel good location . 
 Sep 19 2007 	 good value good location noisy 	 pleasantly suprise Stanford . stay four night mid Sept 2007 . good value money room clean large , bed comfortable location excellent ( near Macy 's , 15 minute walk Times Square ) . detraction noise ( get ear plug ) possibly exposure cigarette smoke ( sensitive ) . info see . overall though happy get would stay recommend friend want pay top dollar . noise : would suggest try get high floor possible and/or room face street due noise . third floor face street first night buy ear plugs definitely city never sleep ! fine term noise , curtain heavy could sleep want . issue although tell non - smoking room , sensitive wake first couple morning sinus bother slightly puffy eye . cigaratte burn comforter detect slight musty smell associate cigarette corridor possibly also room , think may residual cigarette smoke . however , could also react thing clean product pollution - happen ( bad ) hotel major city . check friendly efficient . room good , everything extremely clean , good daily cleaning ; furniture pretty good condition ; suprisingly good room size ( king size deluxe ) , much big used money ; comfortable bed pillow ; excellent bathroom , lot towel good toiletry , although fan incredibly noisy . we take laptop pay broadband access room , convenient . my husband try breakfast one day - bar area enough seat everyone want eat . think food basic pastry , cereal fruit , ' cook ' breakfast . cafe ground floor close renovation . we try korean food friend tell we hotel 's restaurant one good . try vietnamese place street good . very good location , within walk distance lot important tourist site shop . 
 Sep 10 2007 	 perfectly acceptable -- Ritz affordable clean 	 ok -- read review rest site afraid stay , not really option . training schedule NYC place book . want company pay , be would stay . well let preface say , neat freak . can not eat communal bowl food shower bathroom clean . well , perhaps people review bad room -- know renovate . . . room perfectly fine . price , can not expect well . room clean well maintain . bathroom spotless save mildew corner shower -- big deal -- mildew happen -- be eat show people . . .Sheets clean smelled fine -- whole room pass sniff test . check go smoothly -- maybe 10 minute top . water pressure fine . think people stupid know use shower . three handle -- strange -- figure one work 's problem . issue shower head spout time . may seem like watter pressure -- however , turn spout shower head fine . perhaps hotel bad past , find people friendly , accomodation clean acceptable , close everything -- incluide several subway ... final note -- would stay choice ? probably -- would probably shell little stay somewhere little nice , 's elitist talking . . . short weekend want close almost everything relevant quick subway ride away rest -- stay . 's clean cheep -- buget , important thing ! ! ! 
 Jul 25 2007 	 Nice 	 stay hotel sister mother - really enjoy stay - shop trip us location fantastic round corner Macys need say ! staff friendly especially porter front door - really helpful ! room clean could little refurbishment . bathroom clean . breakfast grand . bar nice could refurbishment . price hotel reasonable . overall really enjoy stay . 
 Jul 5 2007 	 pleasantly surprised 	 need place area , hotel fit bill . room clean , bed comfortable , bathroom spotless . maid service extremely friendly competent . expect one elevator drawback , reason , rarely wait . one downside lack 24 - hour business center -- send place across street 's open business hour week hour weekend . also , see couch store side end hall not leave good impression . would say hotel little average compare other , way average value . 
 Jun 26 2007 	 Trust Hotel 's Limousine Service 	 stay Hotel Stanford weekend trip . location great . staff quick accommodate concern . however , sour note use car service suggest hotel leave . driver say would $ 40 plus toll ( $ 5 ) . driver know mother would drop different location airport . drop last person add $ 10 charge service . never mention car drop mother Delta Shuttle . know , would get mother take airport shuttle airline check . , act like not change . , trust hotel 's suggest car service . use bait switch tactic . 
 Jun 20 2007 	 problem 	 stay Easter . 7th floor , queen sized room . room cozy real nice marble bathroom . lift quiet slow time walk always wait lift going room , major problem walk wait . would stay location perfect restaurant hotel lovely variety ! sub - way right hotel also make everything easy get . would recommend hotel problem , want however ritz style hotel go : ) 
 Jun 6 2007 	 one bad far 	 check call front desk soon open door . huge metal vent sort side window , therefore way tell dark light outside . first night call toilet paper . , 3 . shower moldy , comforter wear . bed hold piece plank , use hole carpet . try change room book . front desk nerve tell we get suite & quot ; much nice room & quot ; . not dare try complimentary breakfast , could not clean bathroom tile know else not clean . mention hot stuffy friend wake middle night clean regular window AC vent circulate cool air . weird website pic soo nice , room look like hole wall . never ! 
 May 31 2007 	 Clean Nice ; love Stanford ! 	 pleasantly surprised come Hotel Stanford ! room 11th floor face outside , do not find noisy night . room king deluxe sofabe , nice clean , definitely average price hotel New York City ! ! ! Wi - Fi internet service extra $ ( one downside ) , pay ( $ 25 72 hour ) , internet nice fast ! another downside one elevator , take long time get . also , sofabe comfortable , otherwise room great ! bathroom extremely clean , shower , sink toilet nice . the breakfast downstairs 2nd floor alright : bagel , croissant , danish , coffee , toast , nothing special . get quickly , bread bagel run ! also , door lock 10 , you re plan sleep , do not count breakfast ! otherwise , price , hotel excellent ! difficult find another hotel like NY incredible price ! also , korean restaurant ( hard find area MANY ) , would go wood - chip barbecue across street . check Pinkberry couple door delicious frozen yogurt topping ; line - up 24/7 ! 
 may 21 2007 	 great place stay ... be homeless ! ! 	 start ? ! Hotel 's website look great ... price not bad ... book online .. check 3:00pm .. upon arrival .. tell we room not go available til atleast 3:45 .. conveinant hand full bag place ! ! argue good 10minute ... say could give we another room .. ( time ... bag already room suppose ! ) switch room .. hassle .. manager say would extend check 3 pm next day .. plus- think ! ! reserve non smoking room .. room move we definatly linger stench old stale cigarette ! discuste ! ! room oven .. way contol temp ... a / c crank come hot air ! ! ! shower water pressure .. close impossible try control water temp .. take lovely scold hot shower ! ! get back room next day around 2:15pm .. suprise .. lock ! ! ! apparantly .. decide give we late check PROBLEMS ... never think reset card let we room til 3:00 ! ! ! .. whole hotel situation complete nighmare ! ! clean .. could understand staff ... big incoveinance ... would reccoment hotel anyone ... unless course ... be homeless ! ! ! ! ! 
 May 6 2007 	 LOCATION LOCATION ! 	 block Macy 's , two block Empire State Building . could want $ 240 New York . April 19 - 25 , 2007 , five us split suite two double bed pull - out couch . discover couch 's mattress thin lumpy , staff quickly bring cot trick . 5th - floor room clean surprisngly big bathroom good shower pressure five woman ! in - room safe bonus thing miss coffee maker . luckily , notice online not come one bring small one . breakfast need fruit apple banana ( disappear fast ) staff 's reluctance let we take tray back room instead dine inside annoying . 's easy carry cup flimsy paper plate ! , staff helpful quickly fill request towel ice . the window partially open , day hot weather make room stuffy air conditioning -- -- not work well . our first room mistakenly non - smoking switch next day . not face street like first room great -- honk horn throughout night ! sure elevator small , big deal wait take stair . would recommend hotel budget - conscious traveller want convenient location . 
 Apr 15 2007 	 exceed Expectations ! 	 check Monday 4/9 show lovely , large - ish 5th floor room front hotel , face 32nd St . big & quot ; & quot ; hotel stanford sign outside window , curtain adequate block light night . room king deluxe ( sofabe ) . room tidy clean , comfy . bath large exeptionally clean , appreciate ! heating issue , get cold outside room warm much . Windows open , love . hotel staff awesome - ask extra pillow & amp ; blanket & amp ; receive quickly & amp ; smile . prepare long elevator wait , 1 lift whole place , big problem . tough get ride , take stair often rather wait . never wait go , problem get elevator check - out day bag . Cafe Muse downstair coffee & amp ; pastry nice . price high dine , FYI . never try breakfast offer 2nd floor lounge , Maxim . not find karaoke , dismay ! Guess 's quiet mid - week . front desk staff wonderful . know korean first language area , prepare . hotel 's korean restaurant , Gahm Mi Oak , nice . NEt Zone across street offer internet access hotel coupon $ 2 40 minute . can not beat . encounter issue mention previous review block fire exit & amp ; fume , tho confess concerned read February 07 review ! problem . check Thursday complaint . great neighborhood , excellent hotel staff front desk housekeeping bellman . hold bag checkout Thurs & amp ; help we get taxi & amp ; load later day . great experience & amp ; would happy stay . 
 Feb 28 2007 	 strong petrol fume block fire exit ! 	 book Stanford read average ok review website , give excellent location price . we check evening give tiny shabbily decorate double double room . request reception move 11th floor question , although room stifle ( offer adjust room rate downgrade queen room , available booking site ) . notice extremely strong fume lobby lift shaft , put something outside street day . the bathtub new room not drain several hour , fume consistent actually strong throughout night ( come room ) , heating could turn . cap notice fire exit end corridor block three mattress - morning husband find fire exit also block furniture . excuse give reception fume boiler / boiler room clean day . reception manager actually conversation porter say & quot ; smell anything ? ? either & quot ; . exit block due building work 12th floor . check two night early move Radisson next door , slightly expensive infinitely well . 
 Feb 27 2007 	 stay 	 stay Stanford Febuary 20 - 22 . ' ve stay business , location great price unbeatable . however , time hotel unberable . room extremely hot dingy . bathroom floor hairs tub ring soap scum around . second night encounter huge roach crawl right across bed . call front desk offer kill roach . minute argue give another room noisy unkept not sleep entire night . never stay would advise spend little guarenteed clean bug free room . 
 Feb 27 2007 	 location low quality . 	 Location excellent hotel , right next door empire state , macys , broadway . cheap taxi ride anywhere island . downside quality hotel . junior suite , room hot , even heat minimum . radiator bang clonked night , room full static electricity , may sound issue , ! ! bed old make metal , bathroom ok , shower tap etc old . one lift , really huge issue , wait minute . hotel lobby staff good , address issue , order taxi , etc overall location excellent , room poor . many thank 
 Feb 25 2007 	 great bargain NYC 	 good : Big Room couch renovate bathroomGreat LocationVery Friendly StaffThe PriceThe good : room hot sleep window half open ( 25 degree outside ) still 75 degree room . it block know Little Korea every newspaper korean thhe staff , communicate bit problem . 
 Feb 25 2007 	 would not recommend ... 	 stay Hotel Stanford one night early February 2007 , three move one night . the main problem bang pipe loud find impossible sleep , room warm mean turn temperature petrol - like smell lobby corrider ( could also smell room ) .Location good , thing really go . complain 6 am could bear long , still pay full sleepless night . ' m much complainer , minimum hotel room ability sleep ! ! 
 Feb 16 2007 	 Location Location 	 stay Stanford Nov 06 . could not fault hotel location . budgeting trip New York , look . reserve suite little $ 249 night take 5 people comfortably ( 2 double bed pull couch ) . bathroom modern , room clean spacious . location amazing , right across Macy 's 5 min walk Times Square . right teh centre everything . staff approachable , since speak check , do not care ! ! anytime need extra towel ice anything , deliver promptly . hotel look little shabby clean . one lift everyone day , never problem . would thouroughly recommend hotel . 
 Feb 15 2007 	 great value 	 good rate compare similar hotel area . clean , safe , many amenity perk , care ? great , convenient location suitable leisure traveler go spend lot time hotel . negative think follow : low water pressure showerroom warm , way regulate temperature . only one small elevator entire hotelregardless , come back recommend other . 
 Feb 11 2007 	 Great find 	 great hotel downtown NYC . location : be less block Empire State Building , two block Penn Station , practically across street Macey 's . price : pay less half people pay next hotel . book Stanford 's website , cheap hotels.com - type sitesservice : excellent . staff definitely gear toward international customer , not expect trouble that . room : small , quite livable ( expect NYC ? ) . be recently renovate clean . caveat : not plan sleep , extra charge check 10 a.m. , increase long stay . not expect much view , either ; alley . thermostat room break , arrive uncomfortably warm , open window ten minute solve problem . great hotel . 
 Feb 8 2007 	 good value hotel brekkie karaoke ! ! 	 good value hotel great location 30seconds subway , 5mins Macy 's Empire State . this hotel right middle Koreatown korean run . whilst hotel not provide luxury , get decent sized clean room breakfast ( bagel , donut , toast , juice , coffee , fruit , instant korean noodle ) throw ! small bar seem specialise Jazz Karaoke . go quite late Friday night incredibly friendly good fun , good quality jazz appal quality karaoke ( except obviously ! ) seem regular , mostly musician pop night progress . in response early review , 1 lift little slow hey holiday rush ? room hot initially room thermostat whihc work able open window . ( say -15 outside glad bit warmth ! ) say hotel not provide luxury ( say average mean price ) going see New York , inside hotel room give hotel go . 
 Feb 7 2007 	 Excellent Location 	 stay 6 night September 06 . location excellent Empire State Macy 's literally round corner , 10 minute walk Times Square subway station end street . Friendly & amp ; helpful staff , clean room service every day . room small basic location price 's great place stay . complaint , would recommend . 
 Feb 1 2007 	 budget reason 	 stay hotel 2 night . double bed non - smoking room come little $ 310.00 couple night . front desk agent doorman nice friendly . always smile . unfortunately , soon enter hotel , strange unpleasant smell lobby , later find also elevator hallway . fact , whole building reek ! odor similar mixture gas cigarette smoke . way , give breakfast coupon upon check - in . breakfast hotel , ' know kind breakfast food provide . elevator slow . room fourth floor lower , take stair . ' fast way . the hallway small narrow . enough room stretch arm . my room 8th floor might smallest one hotel . maybe double bed room small . bed ok , little bit firm . small tv basic cable vcr room . decent size desk refrigerator closet . need use iron ironing board , request housekeeping provide . also small safe closet , ' use . window small view outside nothing spectacular could see parking lot next building . actually like bathroom . small neat . basic toiletry – soap , shampoo , shower cap , small toothbrush toothpaste seal plastic wrap , ' recommend use . now major complaint stay hotel:1 . loud clank noise come heater . sound like actually construction room ! noise sporadic . could hear minute morning , afternoon , evenings.2 . room actually warm . ' think since ' winter ' need A / c . open window get hot room ' turn heater . think control actually broken.3 . enough light bathroom bedroom . lady , need put make - up kind light , forget . 4 . mention smell elevator hallway ? plus , non smoking room , somehow still could smell . ' budget like , mean , stay place . ' hard please , ' fine hotel . besides , location ' beat . ' midtown , 3 - 4 minute walk distance Macy ' , Manhattan Mall , Victoria ' secret , etc . less 10 minute away ( walk ) Madison Square Garden . subway stop ( N / R / W / Q ) literally step away hotel . but extra money spend , please find another hotel . way , Lincoln " taxi " cab front charge less other . driver see Korean ( make sense since hotel Korea town ) . trip JFK cost $ 45.00 plus toll fee ( $ 4.00 ) tip . ' take Lincoln cab charge $ 60.00 $ 80.00 . 
