small 	 second visit Hotel XIXe Siècle . locate Montreal 's old town block port block away tourist shop abound area . free on - street overnight parking weekend , meter day , valet parking also available . lobby hotel hold different interesting art exhibit time . staff accommodate , quick help restaurant suggestion direction . lovely meal restaurant recommend . room spacious appear even large 14 ' ceiling . furniture european well keep . nice art wall . bathroom provide everything need , include nice shower good lighting . lighting room also good . package include breakfast - dining room nice bright , food typical hotel breakfast buffet - cereal , toast , bagel , fruit , yogurt coffee . the location hotel great ; close sight old town bad walk downtown Montreal shopping . also bus run close . would highly recommend hotel romantic weekend getaway extend stay . 
 expectation meet 	 read review hotel expect boutique jewel wonderful city . hotel clean , neat room small - really mean solo traveler - breakfast include package price disappointing . hotel middle Montreal would expect french bread pastry , stale , tasteless croissant mediocre fruit coffee . staff attentive pleasant . restaurant recommend we first night arrive definitely one would choose end go elsewhere - want rely staff . also smell cigarette smoke last day know permit , ... definitely fill hall . see several room last day would much well - wonder hotel would let we know available , well suit couple . especially since many empty room . 
 Nov 6 2006 	 Excellent service ! 	 stay 3 night Hotel XIXe Siecle . experience excellent service , friendly staff great room cosy comfortable bathroom . soap , shower gel etc . marvellous ! ! breakfast good cheap ( room service ) order bit piece ( not order set breakfast put menu ) . two capuccino , croissant , rye bread fruit salad , pay 6 CanDollars ! excellent locate old part Montreal within easy wakling distance city centre . 
 oct 9 2006 	 well - locate hotel great period feel 	 husband , teen daughter spend three night hotel second weekend October . find property well - locate , room ( especially bathroom ) clean , bed abundant comfortable , staff eager help . this & quot ; luxury & quot ; hotel , luxurious touch -- include plush terry robe hang behind bathroom door , whirlpool tub , delightful high - end toiletry beside sink . high ceiling ( sure look admire artistry ) period decor delightful change same - old , same - old chain hotel . complaint bathroom small three we ( hotel bathroom large enough share teenage girl ) .I recommend hotel location : edge Vieux Montreal walk distance historic ( tourist ) sight , also block Metro take downtown shopping , Botanical gardens & quot ; restaurant row & quot ; .speake food , eat breakfast hotel ( pricey ) , choose instead , walk short block & quot ; Eggspectations & quot ; -- fun , funky eatery serve breakfast food -- american , Candian , French , -- desire . ( try Brioche Beauty ! ) not jump -- -- negative conclusion front desk staff recommend restaurant . Friday night , return hotel late could not get reservation anywhere else . reluctantly , let book we Bistro Boris . not expect much , turn delightful choice . ( quite picky cuisine . ) 
 Sep 24 2006 	 Great Location Elegant Decor Friendly Staff 	 return week Montreal Hotel XIXe Siecle . day realize & quot ; XIX & quot ; roman numeral name mean 19th century . overall , pleased would return . attend conference Palais de Congress ( convention centre ) short block away -- much close official large convention hotel . otherwise , find location great see multiple part city -- be situate one edge old Montreal 's great see part city downtown easily within walk distance concert McGill shopping museum downtown . Place de Arms metro stop right convention center . staff friendly greet time walk . time one two attractive guy open door help luggage . eight stair go one enter front door , one guy carry suitcase check checking . room seem vary widely size base fire escape map door could see walking room maid clean . 's likely consequence convert bank hotel . room one window , room two window seem big . ceiling window tall get quite bit light room . room towards back hotel likely get light parking lot next door back room versus another building towards front . though room cozy , adequate size . friend join second half week , little tight two suitcase manage fine . Shampoo , conditioner , body gel , lotion , shoe polisher , haircap provide . iron hair drier also room . my rate not include breakfast think 12 dollar . never try breakfast . eat Olive Gourmando couple block away eggspectaton across street . wireless internet work well , free . pay whole week 20 25 dollar buy less time well . phone call one dollar per local call -- price call list anywhere call ask much would . ice machine , ask bar front desk get bring room . lobby sit area grand tall ceiling ... fun sit watch coming going ... complaint window dirty entire stay . part cover sheer , annoyed pull back . 
 Sep 24 2006 	 Love Hotel - stay . 	 stay July 2004 like much ( find travel website ) . decide go back Montreal honeymoon , look one hotel , decide go back one - great decision . everything good hotel 2 year ago even well . service excellent - everyone speak french english . give we wonderful recommendation dinner , housekeep quiet , discrete , thorough . honeymoon , hotel kind enough include continental breakfast room - come back , definitely opt . lot yummy food , fill . dining room beautiful ( tho little noisy - tall ceiling , clink dish reverberate bit ) . able breakfast , snack mid afternoon , hungry dinner . hotel 's location also excellent - right Old Port , one beautiful area city . Square Victoria Metro stop 1.5 block away , downtown easy walk well . internet access ( wifi high speed ) available , pay - to - play . $ 22 ( US time ) 7 day , bad deal . we plan return , look forward time . place would consider . if visitin first time , consider follow attraction : Le Bateau Mouche boat tour , art gallery along Rue St Paul , exhibit Archeology Museum , Science Museum IMAX . Parc Mount Royal also beautiful worth long walk . 
 Sep 15 2006 	 little bit overprice 	 hotel two night Sept.9 , first night room face St. Jaques street could sleep noise pass car . kind road work pathole cover steel plate car go would make terrible noise . complain morning nicely give we new room , suite , opposite side hotel would hear noise . room large well appoint . thing miss room frigo bar 4 sta hotel find odd . inclusive package , room+breakfast+parke , taxis include bring price night close $ 300 find little bit much compare hotel Montreal category . breakfast good location excellent , step Notre Dame cathedral . sure would return hotel . 
 Sep 14 2006 	 Liked 	 stay 2 night Hotel XIX siecle . we like it . room big , clean confortable . our rate include breakfast ( good ! ) parking . service good , true stairs arrive carry bag / luggage yourself . we really enjoy lounge . if price good , would definitely consider stay Hotel XIX siecle . 
 Sep 12 2006 	 first see 's construction nearby ... 	 husband take surprise anniversary getaway . location great -- block subway reasonable walk several part town . however , street noise considerable even Sunday , 7 a.m. Monday , construction noise outside unbearable . might problem early riser , really look forward late morning . desk staff apologetic ; guess , ? husband book room whirlpool tub queen bed ; upgrade we , say , & quot ; suite & quot ; -- really large single room . not tub have hope , stay king bed . everything room comfortable , like toiletry , shower good . lobby lot nice sitting area . 
 Sep 11 2006 	 Slipshod Service 	 wife stay Hotel Xixe recently baby . general would give Hotel fair rating good room size , excellent cleanliness , excellent location . would give Hotel failing grade service . moment step hotel receive essentially help whatsoever . begin failure staff set crib infant -- generally not big deal , arrive cry baby midnight , certainly ! staff take leisurely 30 minute bring crib . second absolute failure staff complete lack knowledge neighborhood . stay 4 day think know neighborhood restaurant well . third example poor service failure attendant provide help bring baggage stroller stair . numerous occasion would watch we , struggle bag baby . help receive another guest ! finally , price per night WiFI internet service complimentary , isn't . this clean hotel , large room excellent location . give level service really feel like overprice room house , 4 star hotel . 
 Sep 4 2006 	 decent hotel nothing special 	 hotel pretty clean staff generally helpful . room good sized clean . bed comfortable linen change frequently . water pressure good bathroom stock nice toiletry salon next door . favorite green tea soap . everything within Old Montreal within 10 - 20 minute walk . metro entrance couple block away . hotel quiet area town weekend . daylight hour weekday seem louder much busy . the street low lighting near deserted night . internet access computer hard find bring laptop need get online . breakfast nice expensive 's part package . instead go across street . ask front desk restaurant recommendation . bias towards restaurant partner with . there lot thing see around Old Montreal real shopping underground downtown - get via metro . Most everything montreal accessible via metro well time well label get . point interest : International Fireworks Festival fantastic hold La Ronde . La Ronde tiny amusement park kid long line short ride . place spend time wait firework . the Botanical Gardens huge beautiful . buy Biodome ticket together Biodome really nothing indoor zoo ( disappointing ) .biosphere nothing skeletal min - version Epcott Center . see right since panel make nice picture right background camera . 
 Sep 2 2006 	 Great Place 	 Hotel XIX Siecle , MontrealStayed hotel 8/21 - 8/24/2006 . exterior hotel architectually interesting . lobby elegant . room large high ceiling . everything clean . Loved terry cloth robe . coffee offer lobby morning . staff polite , helpful , friendly . particular Carol Joel reception help we find nearby store purchase cell phone even map we . even get great rate line . save $ 70 night regular rate . would return heartbeat . 
 Aug 28 2006 	 Charming hotel 	 hotel charm inside . staff knowledgeable help anything need . night staff especially talkative direct fun time . request high floor face street give floor 2nd floor face parking lot ... truly ugly scene . however may lucky massive construction street back traffic way street . room nice high ceiling . bathroom , definately clean ' ve ever see , ridiculously small . barely room put toothbrush . location couple block square old Montreal Notre Dame walk downtown get long be tired . overall , nice hotel think would stay ouside old montreal future , due lack nightlife 10 . 
 Aug 19 2006 	 Beware Bait Switch ! 	 book room two queen bed arrive 4:00 afternoon show room one bed . return desk , say room two queen bed sofa bed . appear available room two bed reserve , apologetic offer discount . attitude take leave . sofa bed really cheap , four inch mattress single blanket pillow . even worse , part room sofa bed curtain . 
 Aug 18 2006 	 Quiet Elegance 	 stay two night another four - star hotel disappointment , switch Hotel XIXe . stay pleasant delightful experience ! although one large , deluxe room , small corner room paint warm color soft eye outfit firm comfortable bed plush pillow duvet spacious bathroom high quality toiletry fluffy , white robe . continental breakfast , locate peaceful beautiful room white table clothe friendly staff , include usual -- assorted bread , fresh fruit , cheese , cereal meat -- quite tasty . hotel close everything Old Montreal , could see spire Notre Dame Basilica window . overall , staff friendly helpful . would definitely stay ! 
 Aug 4 2006 	 Luxury Snooty 	 hotel pleasure . staff helpful . location superb - close old city , river , tourist site . room large . bathroom beautiful whirpool tub ! toiletry awesome , large size soap , nice shampoo conditioner . problem plumbing help 's way minute call front desk . highly recommend . 
 Jun 26 2006 	 always pleasure 	 4th time hotel . room well ever . bathroom always clean look new . soap unique . room excellent , large space couple . excellent location , heart old city . service good . cheap , however always pleasure 
 Jun 25 2006 	 hotel name XIXeme siecle 	 book hotel attend meet Palais des congre - -which turn one block away . price Expedia 127 + tax -- come 150 usd . hotel excellent -- staff attentive -- attention detail superb -- room spacious really comfortable . although part Montreal little noisy , hotel quiet restful . hot Montreal month , airconditioning work great . people desk amazing -- real sense humor , helpful , go way accommodate need . way - -this month , Madonna come Montreal stay 1/2 block away Hotel St. John . hotel look similar XIXeme siecle . another note -- name hotel really XIXeme siecle . pronounce ' dix - neuvieme siecle ' -- taxi driver seem know place small . tell address Rue st.-jacque . block Notre Dame 2 block grand city hall . , really old Montreal , great restaurant closeby . ' Ecole de pasta ' ( pasta school ? ) around corner , excellent . TomScottsdale , AZ 
 Jun 22 2006 	 Honeymoon Montreal 	 husband get marry want something different honeymoon . stay Hotel Xixe Siecle fall love . hotel great . room spacious , bed clean comfortable staff helpful . location also excellent . miss breakfast . full entire day ! would definitely stay . great time ! also take short train ride Quebec City . , see city . 
 Jun 7 2006 	 could well experience ! 	 drive NYC saturday memorial day weekend fiancee ( girlfriend ) . pay approx . $ 155 / night w/ parking breakfast include pleasantly surprised well keep hotel . get room , astonish big - bed , queen - sized also plush comfortable . staff , excpetion one gentleman , friendly helpful . ( although warm first day ) . although , could answer question , certainly make attempt . bar hotel always staff reasonably price , breakfast absolutely incredible ! want enjoy luxury Montreal without break bank , place ! montreal great place get engage ! ( reccomend Westmount lookout ) 
 May 1 2006 	 Charming 	 quiet hotel Old Montréal perfect spot romantic get way . hotel staff friendly polite knowledgeable city attraction . location great look quiet retreat , option explore many facet Montreal . ' 5 minute walk heart Old Montreal easily spend day walk around enjoy little shop architecture , 10 minute drive Montreal shopping nightlife district . also several restaurant area choose from . the hotel warm inviting provide relaxed atmosphere . continental breakfast include fresh fruit juice , hard boil egg variety cheese wonderful pastry . we stay Jr. Suite clean spacious . decor high ceiling make feel grand , bed comfortable . bad point first floor view construction site . take advantage weekend package feel inexpensive , would certainly pay price ambience service . 's worth visit . 
 Jan 31 2006 	 Loved hotel ! 	 husband stay one night love . can not wait go back ! clean quiet , bed comfy , bathroom spacious , decor lovely . would highly recommend hotel . 
 Jan 13 2006 	 good location good facility 	 stay 2 night last September . location great since Old Town 10 minute away . room rather small dark , relatively clean well maintain . would not go back hotel experience , 's good value price . be try save money still want good basic quality place ! 
 Dec 5 2005 	 Beautiful Hotel ... 	 boyfriend stay weekend November one nice hotel ever stay . not expect king size bed upon arrival disappointment comfortable pillow know . open lounge walk front entrance beautiful art work sculpture . decide retire lounge dinner feel right home . staff friendly helpful . 
 Nov 2 2005 	 great boutique hotel heart Old Montreal 	 reviewer spot ! love Hotel Xixe Siecle ! ! ! husband stay 3 night think wonderful . hotel 's location perfect - block half away Notre Dame Basilica , short walk site Old Montreal . also easily walkable downtown sight well . the room really nice . super comfy bed comforter crisp white duvet . spacious well really high ceiling not feel cramp . nice fluffy towel , good bath product robe ! lobby warm invite comfortable chair couch , free coffee available morning , along apple . the service first rate well . staff encounter friendly knowledgeable . Valet parking $ 20 canadian per night , privilege need . will need car since everything close . would definitely stay return Montreal . 
 oct 22 2005 	 spacious room terrific staff 	 stay 3 night husband 18 year old daughter . room large high ceiling window contribute sense spaciousness comfort . quiet also -- never disturb noise neighboring room . bathroom clean , unlike early report , problem hand shower easy place holder use fix shower wash hair . location Vieux Montreal outstanding term quiet , charm ( sure go inside two historic bank building neighborhood ) terrific place grab cafe pastry . good part hotel helpful front desk staff , particularly young woman name Sandy . give we great recommendation place eat tour ; direct we via draw map and/or tell we Metro line stop use . also make dinner reservation we . patience , good humor genuine desire find whether enjoy suggestion make excellent customer service provider . thank Sandy ! disagree reviewer say hotel lack certain something . would happy stay recommend anyone prefer place elegant charm . 
 Oct 21 2005 	 certainly will not forget Montreal ... 	 know , kind forgot stay hotel stay Hotel XIXe Siecle Old Montreal . the first thing one notice lobby not feel like lobby . walk short flight stair 's sit area charming , little bar side . interesting artwork , comfy couch , shelf book wind staircase welcome guest be house , rather hotel . be away home , kind nice , right ? room stay massive . must 600 square foot 20 foot ceiling , ' m exaggerate one bit . tell upgrade quite busy - bad . would imagine might find size floor , go first level - space never hurt weary traveller . the bathroom bite tight give fact room , , large . 's absolutely counterspace , definite thumb hotel developer / designer one . location superb ... anti - hotel type claustrophobic - one ! 
 Sep 26 2005 	 Excellent hotel 	 spacious clean room , comfortable bed , modern bathroom , helpful front desk , excellent location : walk distance hustle bustle St. Catherine also near old town . bad thing hotel & quot ; recommend & quot ; nearby restaurant name Boris may bad restaurant ' ve ever . really hotel 's fault , lack knowledge local restaurant prevent give hotel 5 star . 
 Sep 9 2005 	 charming expect 	 hotel beautiful old part Montreal . room large clean however feel another reviewer hotel lack atmosphere . also free wi fi room hotels canada free local call matter , mini bar , tea coffee make factlitie although concierge bring we complimentary coffee ask . find room noisey would recommend overlook street although interior bang door also real problem . hotel well price think would return , think spoil pay less lot Toronto . 
 Sep 6 2005 	 wonderful Hotel Old Quarter 	 hotel perfect . room decorate attractive manner , bathroom large modern , climate control work great , important , bed comfortable hotel quiet . additionally , room huge , staff excellent . rate quite reasonable comparison 4 * property Montreal . thing could quibble really good reading light room near bed ( lamp bedsize table really not focus well ) , lot hotel problem not think hotel guest ever want read bed . not minibar room , either , sort surprised give level hotel fact enough room one . not stay long enough care much , might liked put cold drink one stay long . good location Old Quarter , plenty restaurant within walk distance day , , could convenient close metro station , also . someone else say Place Victoria close couple block , impression place d'arme close much farth ( hill ) . 's fine want come / go day area metro . 
 Sep 6 2005 	 good outstanding 	 choose hotel strength review find tripadvisor . hotel good location , find room fairly basic . spacious though . staff friendly helpful . not know ... felt lacked atmosphere ? ? overall , good outstanding 
 Aug 30 2005 	 Excellent ! 	 hotel huge room clean comfortable . staff friendly helpful breakfast wonderful ! 
 Aug 14 2005 	 nice hotel 	 stay 6 night July . service efficient , friendly helpful . room delight . nicely decorate spacious . fixture fitting alll high quality new . the bar area quite pleasant , staff make every effort make , provide snack lighting candle . however , sort bar would want stay long , indeed people leave brief - doubt explore retaurant bar Downtown Vieux Montreal area . breakfast lovely ; generous tasty . various fruit particular excellent . would stay . subway nearby allow easy access anywere want go . alternatively , good restaurant bar within short walking distance , interesting part city . also main tourist attraction beautiful cathedral minute away . 
 Aug 14 2005 	 Charming Property 	 stay Anniversary week end . property well decorate quassai 20 's style . the Room ; clean , good sized room comfortable bed . tall ceiling window match . bath new toiletry great . complaint hand hold showerhead . thing truly hand - hold . option mount wash hair . hate thing . several week kind showerhead South East Asia Europe , hope would never see one . alas , hotel siecle . aside little thing , complaint bathroom . towel exceptionally large fluffy . room clean comfortable . smoke , 3rd floor hotel siecle smoking floor . much delight odor . hotel Old Montreal allow smoking . staff : staff always courteous even busy . felt pamper well take care 3 day . direction always give smile , highlight map , perfect English . parking : Valet parking $ 20 ( canadian ) per day well worth . travel know pay extra parking downtown metropolitan area expect . valet always prompt courteous . car never leave unattended front hotel key . reason car double park , would stand street - side direct traffic . location : great location couple block Rue St Paul & quot ; action & quot ; . close enough walk , yet far enough good night 's quiet sleep still Old Montreal . warning drive hotel . nothing Hotel Siecle , everything Old Montreal : Old Montreal full one - way street . alternate direction . lay semblance logic like Manhattan Philly . Rue St. Jacques ( street hotel locate ) one way head toward hotel RT 20 . suddenly street become one way go opposite direction . turn leave ! ! ! turn right end another highway go gawd know . first obstacle . one way not alternate direction , horrid street sign road construction , take we min 1 - 1/2 hour find hotel 6 block radius every time try get back . many street sign post building ( corner like US ) nearly impossible see night . Rue St. Jacques sign anywhere ( could find ) corner need turn find hotel . street sign Old Montreal small decorative french script add frustration . traffic light really odd . example ; red light light solid , green light flash . arrow . clue signifie . bottom line ; get really good detailed map several set direction go . good detailed map , navigate old Montreal would much easy we . summary : find , Hotel Siecle great place stay . 
 Jul 28 2005 	 Excellent Location Ambiance 	 Hotel Xixe Siecle bless charming decor centrally locate picturesque heart Old Montreal ; easy walk several subway station well variety excellent restaurant eatery . the staff friendly , helpful informative ; one corner suite -- vast , elegantly - appoint pleasure come home every night . special request ( e.g . extra pillow ) promptly courteously accomodate , cold buffet breakfast -- include room rate -- delicious . delighted variety edible , cereal , fruit youghurt legendary Montreal - style bagel . excellent way start day ! 
 Jul 12 2005 	 Hotel XIXe siecle 	 Bon jour ! second time ' ve stay Hotel XIXe Siecle . really enjoy Old Montreal boutique hotel fit bill . walk take Metro local site . we find time around facility WIFI , need laptop , provider , give 30 minute free access . afterwards , charge fee . there valet parking - $ 20 per night/ privilege . park , believe 's $ 12 , privilege . our package include breakfast ( $ 12 per day w/o pkg ) . breakfast great . time around cyclist club hotel run mueslix ( fav ) . croissant delicious ! year local act singe lounge area . treat . the staff accommodate instruction information . know , may back next year . 
 Jun 30 2005 	 wonderful anniversary 	 strength charm boutique hotel staff . extemely helpful patient- ask many question direction . also make excellent dining suggestion reservation . location great get bearing . would stay every time ! 
 Jun 14 2005 	 Charming ambience 	 great location Old Montreal - roughly two block subway station ( Square Victoria ) . lot sight restaurant within 10 - 15 min walk area , subway / walk St. Catherine area . friendly hotel staff provide excellent service excellent restaurant suggestion . Hotel & quot ; Library Bar & quot ; appear guest every night ( albeit , Formula 1 weekend Montreal , every place quite busy ) . room charming . high ceiling , clean , tidy . bathroom amenitie top notch . complaint Room 315 wifi reception - literally walk hallway , go lobby get internet . inconvenient , minor problem especially much offer city weekend . 
 may 19 2005 	 quiet elegance perfect service 	 stay Hotel XIXe siecle five day may much need spring vacation . hotel near tourist activity extremely quiet night . staff member courteous immediately able answer question help we find restaurant service . standard room spacious give we great view architectural detail build across Rue St. Jean . coffee send room first thing every morning , never wait minute deliver . eat breakfast hotel last day head airport , sorry not every day . great selection serve serene room street . definitely stay . 
 May 18 2005 	 boutique hotel ... 	 recently stay 3 night partner , adore charm incredible service employee . quite experience would reccommend hotel everyone . hotel perfectly nestle heart OLd Montreal , peace quiet , awhile would hear horse carriage go . room magnificent everything imagine build 120 year old . night , leave staff choose eat , restaurant Laloux , exquisite . , trip fabulous , thank go staff Hotel XIX Siecle , treat we like royalty ! ! 
 may 3 2005 	 high mark 	 hotel recommend friend know upcoming trip . rave location , service price . go high expectation surpass . staff encounter extremely friendly helpful . even let office print airline e - ticket . honest restaurant recommendation spot , get we popular place busy Friday night . bar tender give french lesson help phrase . leave 3 day see Quebec city return find upgrade we suite final stay ! room clean , tastful amenity one would expect price point . view speak not care . suite wonderful spacious . suite use old bank vault . room dead quiet . bar lobby area elegant great place relax socialize . location perfect downtown old town near subway station . return Montreal 9 month later somewhat disappointed . put we standard room , previous stay . price go even early Spring offseason . none staff encounter . standard hotel experience . goes show difference good staffing make . 
 Apr 19 2005 	 disappoint impressed . 	 stay weekend April . location , short walk train station ( Bonaventure ) , even shorter walk Metro ( Square - Victoria ) around corner Notre - Dame Basilica , good part stay XIXeme Siecle . otherwise , hotel profoundly unimpressive . not bad , mind , sense not quite finish renovation yet . fixture sub - par , room position upgrade , yet light poor bed odd size double queen . value money deny . certainly superior motel accommodation similar price . mean feel overpay not complain . however , picture imply level finish style simply not hotel . breakfast across street Eggspectations . good . would recommend attend 11 am Mass Notre Dame . choir organ absolutely fantastic . ( reminder take picture service . woman front we warn . ) Sandy Front Desk hotel helpful excellent dining suggestion . staff day find knowledgeable . Chez L'Epicier - Old Montreal , long walk , nice , neighbourhood atmosphere . quality food , well prepare present . ( $ 130 ) Holders - West Old Montreal , convenient Metro , bistro fare . less expensive L'Epicier . need eat quickly 8 pm show catch . service deliver smile . ( $ 80 ) Le Jardin Nelson - Place Jacques Cartier . yes - be right heart touristown pleasant atmosphere lunch serveuse ( Elyse ) friendly helpful . ( $ 70 ) St - Denis - spend day St - Denis , shop sitting cafe . time well waste , say ! excellent coffee La Brulerie ( might name ... ) .You will need reservation well restaurant . sandy front desk helpful get we first two place mention . also enjoyable late night drink Crescent Street ( be party time Saturday night ! ) - enjoy live music , band everywhere ! 
 Apr 2 2005 	 19th Century charm plus 21st Century style 	 return 4 night last week XIXe Siecle . location Vieux Montreal great -- block Notre Dame , Old Port , shopping , dining , Square Victoria Metro Station . staff great , friendly helpful day . european - style breakfast elegantly present stately room cheery attendant croissant OUTSTANDING ! love stay . review site help make choice stay , hopefully help make . 
 Mar 22 2005 	 Charming Hotel 	 hotel superb . charming handsome concierge upgrade room master suite , extra charge , even superb . go mom weekend ; staff , except one , enthusiastic patient provide we idea night , etc . style room neo - classical / post - colonial , high ceiling large bed ; style somewhat spare seem furniture could use decorate interior . the bathroom clean well - equip requisite toiletry . complementary breakfast buffet lovely , include cheese , hams , fresh croissant , bagel . overall , delightful experience ; God bless concierge ! 
 Mar 11 2005 	 nice 	 Nice hotel , good location . high ceiling , spacy room . clean , helpful staff . watch price drink lobby bar - $ 10 shot . overall , good value money pay . 
 Mar 9 2005 	 fantastic place atmosphere 	 stay five night february Xixe Siecle would love tocome back soon possible ! staff excellent , helpful andtaking care we ... room cosy huge , bathroom stylish andthe breakfast room great ! excellent location Old Montreal closeto nice restaurant . come Europe find little dream placein Montreal .... highly recommend hotel ! ! ! ! 
 Mar 9 2005 	 Safe Boring Choice 	 building beautiful , appear upscale exterior . room somewhat utilitarian , real style ... homey tho , will feel tho be stay grandparents' . the staff warm terribly helpful , fact somewhat disintereste . tv not work , water run 5 minute become hot . stay Saint Sulpice ... laughable list category ... sulpice mile XIX every way especially far service . 
 Feb 24 2005 	 Heater noisy respond concern 	 book one night expedia hotel . Heater noisy keep awake night . turn heater 's cold turn heater . water drink , coffee morning . water bath hot . room photo show Expedia quite different room get . will not even give try come back hotel . 
 Jan 4 2005 	 great small hotel 	 stay hotel night New Year . hotel well expect . impressed soon walk lobby since look even nice picture website . room high ceiling , comfortable bed , nice amenity . staff also courteous helpful . would definitely recommend hotel . 
 Dec 22 2004 	 Good Place stay watch extra cost ! 	 wife , baby stay August 2003 three night . the staff courteous , room great , location Vieux Montreal could beat . eat breakfast every day wonderful restaurant call Eggspectation , street . the thing ask hotel laundry . ask one load , well . however , outrageously expensive , something like $ 50 ! ! ! ! 
 Oct 25 2004 	 wonderful everything expect .. 	 wife spend wonderful long weekend Montreal celebrate 10th anniversary . stay Hotel XIXe siecle enjoy time . hotel 's location Old Montreal convenient explore city 's history , staff willing please extremely helpful arrange dinner reservation , direct we good site see , make stay pleasant . however , athough great time , seem something miss Hotel XIXe siecle can not put finger . not bad experience account ( would definitely recommend hotel other ) not amazing either . 
 Sep 28 2004 	 WONDERFUL STAFF WONDERFUL HOTEL ! 
 Sep 7 2004 	 Classy establishment 
 Sep 1 2004 	 great hotel quiet location 
 Aug 18 2004 	 Classic Comfort 
 Jul 29 2004 	 home away home 
 Jun 30 2004 	 would definitely stay 
 Jan 23 2004 	 good value something miss .. 
 Jan 20 2004 	 Repeat Lodger 
 Oct 21 2003 	 would recommend Hotel XIXe siecle 
 Sep 29 2003 	 Fantastic Small Hotel Old Montreal 
 Oct 25 2009 	 REPOSANT 
