ubiquitous 	 room decent size , clean quiet . excellent location good value money . 
 Feb 25 2008 	 wear around edge decent hotel 	 expectation hotel upon walk , apart read review tripadvisor.com . first impression amazingly hip stylish hotel area . soon notice hotel really stick past quite worn around edge . lobby cheesy artwork seem stick early 90 's -- hold - over 80 's neon - damage . room decently proportion furnished , carpet well - wear . bed bit saggy , nice linen . ceiling light room oddly differently color , old new lightbulb intermix . bathroom functional , add bonus heat fog - free mirror . the minibar typical London hotel fairly limit -- expensive -- selection . pay - per - view antiquate well limit set movie rotation . air conditioning / heater work well add bonus window open fresh air . wifi room expensive , ordinary London hotel . not try room service , dinner hotel bar , tasty ( alas restaurant book due Valentine 's Day ) . big bar comfortable good selection . one bonus ( least mind ) -- get see hotel mouse reference review . cute , drop peanut floor , make mental note request upper floor next visit ! can not comment breakfast , since Saturday morning line long get restaurant . I ' ve hear story colleague hot water problem issue hotel , corporate discount great value money . something go seriously wrong , will back ! 
 Feb 24 2008 	 Good Bad experience 	 friend ( 40 & amp ; 51 year old female ) stay Park Plaza Victoria part coach tour weekend break see Grease . unfortunate terrible journey London ( 10 hour journey Yorks ) due variety thing course hotel fault , however upon arrival imagine stress tired . first impression hotel good , issue twin room request clean well present . draw back overlook large building project feel able shake hand builder site close curtain room not close totally ! also air con blow warm air window restrictor , ventilation awful . after visit theatre return back hotel approx 11:20pm decide retire straight room hope good night sleep . approx 11:50pm , sit bed look map London try plan follow day event knock bedroom door . two female alone obviously concerned decide ignore . minute later another louder knock door decide look spy hole . outside stand 2 man call door want . said & quot ; security , open door ! & quot ; imagine scared refuse open door . friend phone reception tell happen . tell report loud hence security call . explain sit quietly bed make noise ! whole situation totally unacceptable . not hotel reception ring room feel issue , rather send two security guard room 2 female occupant . follow incident neither we able sleep 4:30am friend suffer severe migraine physically sick . eventually go breakfast 7 am excellent plenty choice . one thing watch mini bar room - not remove anything move item around computerised automatically charge room . make mistake move Mars Bar get £ 1.50 charge , however explained cancel . shame bad experience hotel , aspect good , feel need make traveller aware , especially female travel alone . 
 Feb 24 2008 	 good location good service ... 	 location great , right near Victoria . get reliable breakfast one well breakfast ' ve come across . however , service terrible several occasion . 4 time stay always problem either check bill . ' ve book corporate rate simple - never be . one morning upon request iron - come 1 hour 45 minute later . another time housekeeping inform us & quot ; iron & quot ; . typical business hotel . for pay , really worth . 
 Feb 21 2008 	 Super Hotel 	 super Valentine weekend London . pleasantly surprised arrive Park Plaza across road Victoria Station . super welcome lovely reception staff able take room straight away 10.30 bonus . could not fault . stay every time go London . anyone like indian food small Indian Restaurant corner opposite breakfast room , call & quot ; Spicy World & quot ; . Super indian food take wine ! excellent . 
 Feb 18 2008 	 second stay VPP dissapointe 	 second stay VPP dissapointe . like other write arrive weary 20 hour journey quite early check time . able check hour wait well standard check time . stay 4th floor couple door lift trouble noise . temperature fine hot other state . service good restaurant continental breakfast quite adequate . room clean well maintain . try King bed Queen sixe bed fine . room reasonable size . as other , location cause we return . proximity Victoria Station tube really plus . go around corner see Billy Eliot hightly recommend . internet access weekly rate stay steep unreasonable go starbuck around corner access ( internet anyways ) . italian restaurant street quite good Willow Walk Pub . we enjoy Golden Tours Bus tour Windsor Bath well day trip Paris stay . would stay VPP . use face towel not forget bring , supply . also stingy soap . regard 
 Feb 14 2008 	 love location ! 	 Gota good rate hotel disappoint ! great location lovely big room ! well worth price , staff also nice hotel huge bar area would definitely go ! 
 Feb 11 2008 	 poor customer service 	 appear old maxim & quot ; customer always right & quot ; mean hotel . suffer disappointment reservation , give hotel another chance again . I make reservation early January non smoking room king size bed . reservation duly confirm . arrival hotel 5 week later , check room queen size bed . record , previous stay give smoking room , book non smoking room . go reception try change room give dose utter bs girl , despite hold piece paper confirm reservation , try argue reservation subject availability . ask wait 1.25 hour lobby room become available . arrive hotel well check time way , fact simply ignore reservation try palm something order . 20 minute , show room king size bed . room dirty distinct view management hotel let deteriorate . IMHO fall short 4 * accomodation . day 2 leave room 0700 look & quot ; please make room & quot ; sign hang door . not one hotel appear use . result arrive back hotel 1530 afternoon , tired need privacy , coincide maid go room clean . despite fact already floor leave morning . complain , unbelievably , thing happen next day . my wife call front desk complain , put onto someone management totally unsympathetic immediately go attack offer apologyOn checking ask enjoy stay , relate experience . employee checkout request speak assistant manager . really want hurry , agree think might helpful know bad experience guest . some officious youngster approach we , explain disattisfaction immediately say complaint small thing fussy stay 5 star hotel . , spend majority life travel stay whole range hotel know issue complain normally experience 4 star hotel . still , obviously view far could see , attitude part problem solution . need apology , realisation frustrated offer look annoyance . would probably stay . luck . guy young , arrogant inexperienced position put front customer . top management hotel need take close look manage customer relation . treat customer like , would business leave . the young man seem oblivious tro fact large majority complaint establishment relate staff indifference . do not stay , way , not think ac room work stay . 
 Jan 25 2008 	 trendy hotel good location 	 stay business trip although favorite London Mandarin try bit tight budget . disappointed . room good size modern , need . bar good selection drink especially whiskey try several nice waiter tell we special characteristic whiskey . location really good say . 
 Jan 16 2008 	 bad 	 husband stay hotel 2 night Christmas . Park Plaza Victoria situate awesome location . 2 min Victoria station . arrive airport , take express train Victoria , walk exit close McDonald 's see hotel 2 - min walk . husband really like hotel , think would good nite sleep . room quite big , really nice bathroom . must say ventilation room expect . extremely dry , like crank heat constantly drink water keep dry . really like room wake middle night use bathroom . big cockroach bathroom mirror . BIG ! see , could not sleep rest night . we come back hotel second time Jan 2008 , right fly back Vancouver . time , give we big room also complimentary continental breakfast . not expect much breakfast . eat London . wifi available high price compare rest hotel stay . , like hotel . would come back hotel super convenient . 
 Jan 4 2008 	 thing free lunch 	 come back hotel wish apologise last stay.offere we either free lunchor dinner -we accept . on arrival electricity -not error ok . unable check we till later due fault fault go shopping . on return advise we taht could offer we dinner restaurant close Jan. error . ask one tell we -no response ! offer we dinner bar - accept . dinner atthe bar -awful take 10 min get serve 45 min starter arrive ( SALADS ! ! ! ) . Complained infromed complain much . resolution eat outside hotel . do stay holtel look nice really customer service . 
 Jan 2 2008 	 Outstanding Service Hotel 	 choose hotel 's proximity Victoria Station . able take train Gatwick Victoria walk 1/2 block Hotel . staff perfect . Christmas day go tour whole day nothing open breakfast . front desk give we box breakfast belong tour group . rest staff could enough we . rate $ 175 per day room bath excellent size cleanliness . excellent turkish indian restaurant within block hotel great 5 day vacation London . caution : public transportation close Christmas tour available . 
 Jan 2 2008 	 great location shame ..... 	 New Years Eve , stay one night . great location right centre Victoria , London . hotel contemporary appearance inside , staff friendly . however , sad see lack attention detail . firstly , book executive room lounge access include breakfast . arrival tell lounge closed breakfast would main restaurant . give drink voucher 2 hr period evening . restaurant booking suppose 9 pm book we 6 pm . morning go main resaurant breakfast tell go Executive lounge open . go could not get not correct access card . room reasonable size warm air conditioning unable seemingly cope . room clean , nice bathroom . come Park Plaza , alot good hotel London , really sloppy ! 
 Dec 28 2007 	 clean safe friendly 	 second stay hotel . last time stay husband , time . stayed one night , time permit would stayed long . make two theatre trip ( bus ride 6mins Trafalgar Sq ) . room bathroom nice clean . also feel safe . staff friendly enough also efficient . handy train Gatwick journey home . join loyalty programme will use hotel . 
 Dec 24 2007 	 will not back 	 wish positive thing say Victoria Park Plaza , find hard come positive negative . let start reservation . request room away lift view . light sleeper , not want hear people discuss day way room . neither request fulfil . fact first room allocate literally back onto lift shaft . good start all . location good , near Victoria tube / bus / rail station , handy two theatresreception . arrive little early check - around 130pm . meet describe chaos reception . bus tour arrive ( use hotel lot bus tour ) . wait 30 min check . understandably not allow hotel room , leave bag concierge . come back around 245pm , yet another queue another 20 min wait find room not ready . not one tell , people little understandably irrate . reason give able room people late check . good start , shopping come back 415pm . still queue people try get room another 15 minute wait . waste almost hour try get room . ask concierge would bring bag room & quot ; ' ve get 200 bag , get chance & quot ; . absolute appalling service . then get room , back onto lift shaft , room hot ( floor 7 ) despite turning & quot ; air con & quot ; . request , rang hotel twice befor visit ensure could meet request . husband ask change room . way , full . need ring back 7 . want put clothe wardrobe . husband ring back try get we room away lift ask speak manager . admitted & quot ; late check room & quot ; perhaps could wait 7 one deem free . husband ask late check room could not swap room . 15 min later move room 437 . away lift comfort cool ( not aircon , not icy cool air come vent ) . 515pm . we pay extra executive package . not large room , bathrobe , slipper , flannel , comb , toothbrush golden delicious apple , mandarin banana . also give access & quot ; executive & quot ; lounge , tea / coffee , ( cold water machine order ) , danish pastry , evening wine nibble 1 hour . would not say worth money , much easy go local pub . the room average sized london room . 1 chair ( room mean 2 ) , furnishing unlike holiday inn ( lightwood furniture ) . room 437 stainless steel basin , unlike prison issue sink . glass basin obviously break replace inferior fitting . bed comfortable , bed protector matress , stain mattress underneath . pillow thin lifeless . as stay VPP know breakfast tend one long queue weekend ( unlike reception ) , breakfast room , well worth £ 6 supplement , food hot plentiful . must say last 5 year VPP go downhill place use want stay one will not stay again . I write manager stay , 4 week stay , still not letter apology . think sums attitude hotel . much well hotel money Victoria , personally look place stay future . 
 Dec 24 2007 	 terrible ! 	 stay business book two non smoking room directly hotel express time strict non smoking room . arrive find allocate smoking room tell hotel full could move ensure smelly room night . also put people wander floor one smoking ( think law ? ) staff ok state & quot ; oh lot Air France crew ingnore UK law smoke freely & quot ; ! ! good enough , ask part refund refuse ... will not stay mean another hotel get company business . 
 Dec 21 2007 	 love 	 stay weekend 7 - 9 december , bit worried heating mother 8 year old daughter , ok room warm ask fan use first night , everything else hotel love , spacious room lobby area great location , staff great definatly go back next year , 
 Dec 16 2007 	 o.k well place money 	 stay 2 night December 07 chilling weekend . look hotel near Victoria bus / coach station well ideally situate , also 10 minute stroll Buckingham Palace short taxi ride Harrods . also Apollo theatre 2 minute walk away moment ' Billy Elliot ' , really worth see . pay £ 280 think average London hotel room look onto building site literally . hotel class 4 star find average , clean enough nothing special would pay money next time stay somewhere bit well . would go back hotel ? really , enjoy location stop somewhere else next time 
 Dec 11 2007 	 great location 	 great location . couple hundred yard Victoria rail tube station . really make big difference consider rain every day . proximity tube station mean get soak rain . very lively area , include pub , shopping , theater . another reviewer comment room hot . would agree . cool outside - th 40 night ( Farenheit ) even , would turn thermostat , still wake sweat every morning . either thermostat faulty hotel inadequate air conditioning capacity . internet connectivity well design . 's different charge wireless connection , vs. wired conection . two service can not figure connect room , get bill separately . wire connection get bill room , wireless connection pay credit card . be intelligent . 
 Dec 5 2007 	 interesting experience ... 	 stay Park Plaza night November 24 November 26 . decide splurge bit get Executive upgrade . interesting … what LikedPerfect location . less 5 minute Victoria StationRoom size – large expectedcomfortable bedlot hot water morning . what ' LikeHair dryer closet hallwayThe hotel really hot night . two inquiry , tell someone would take care , third request finally find A / c turn , way cool room even bite open window . good location , noisy location . leave window open long could night . some staff seem disinterested ' know answer simple question hotel areaWeird bathroom layoutsheet change two day row . spill bit cola sheet first night , area normally cover duvet . bed always make return , reason believe sheet change . upon pack leave morning departure , pull back duvet make sure everything , discover original spot . mention upon checkout , clerk ' seem think big deal . our ImpressionsThere ' lot interesting design hotel . room large well furnish . seem like much design really functional . pillow bed look great bedding , comfortable sleep . minor irritation . we ' check another hotel area next time ' London . beautiful hotel , taste . 
 Nov 28 2007 	 love hotel staff 	 love hotel . close train station . spacious room clean . staff delight maybe little nudge breakfast restaurant staff quite friendly . maybe bit early ! ! ! ! ! got touch hotel direct special occasion could friendly . luke- Jozef guest relation manager superb make stay memorable . will definitely use would definitely recommend 
 Nov 24 2007 	 great hotel near Victoria 	 stay 1 night mid - november shopping weekend London love Park Plaza Victoria . 1st time hotel book website Dble King - Deluxe roomupon check - in , tell King - Dble sell finallyreceive Apartment free upgrade ! nice touch give we apartment almost twice size dble - room guess ( see pic ) , comfortable . room great , large , clean , warm , nice marble bathroom , kitchen , dvd player Hifi stereo . sit aera also provide well tea / coffee facility . thing wouldrecommend new tv ( LCD Plasma ) comfortable Bed forsuch room . otherwise ok . the Victoria Station 2 - 3 min walk well Bus Tube station . conveninent long day shop busy street London . try Pub right next hotel ( Willow ) . wagamama restaurant shopping mall nearby . theater Music hall right corner . surely come back next time . 
 Nov 21 2007 	 Great Value 	 book hotel Lastminute.com find want great value money . the hotel clean modern pretentious like pokey , chintzy hotel stay London . the room good size hot ! bathroom fine would agree difficult turn tap shower screen get way ! however , really nitpick . I would definitely use hotel tend quite fussy stay ! 
 Nov 17 2007 	 room INFERNO 	 stay 4 night Mid Nov 2007 . GOODThe hotel FANTASTIC location 60 second London Victoria . room good size ( downtown hotel ) bathroom spacious well equip . staff friendly , restaurant bar really nice offer good food . overall hotel nice fresh clean feel it . the BADDespite turning heat leave window open 3 day room remain incredibly warm throughout stay . mention front desk several time tell hotel warm . appear A / c room . the major gripe pillow . akin sleep stack newspaper bad pillow ever see . bed ' ok ' compare Westin , Marriott etc far cry blissful qualititie ! speak manager last night give fan room complimentary drink bar . assure we problem going resolve next day . would probably give hotel another go aside temp many great quality place stay ! 
 Nov 6 2007 	 Nice Hotel Shame swelter room ! 	 book Park Plaza Victoria basis rank write up site not disappointed , first ... staff polite cheery however miss several bit information speak booking - concierge fault . drive need somewhere park book hotel partly fall outside congestion charge zone enquire availability car parking either hotel nearby . tell Hotel parking £ 30 per night NCP outside zone £ 22 . cool , think save quid , however get NCP without go cc zone that s another £ 8 , pay £ 30 per night park .... happy ..... check efficiently room clean fairly spacious ( Superior King Size ) decent TV SkySports - always winner eye . however room soooo hot start sweat within 2 min ask someone come look tell room like due unusually warm weather November . bit odd 4 star hotel decent aircon . still least not cold ! ask aircon unit second time ask get one . bed comfortable actually kingsize 2 large single matresse plenty blanket stop problem , kingsize base - minor issue bit cheat . bathroom clean & amp ; well stock great shower & amp ; plenty towel & amp ; shower gel etc . good wardrobe space , safe , tea & amp ; coffee make facility & amp ; ice bucket . one gripe half knock stuff mini - bar arrival ask check ( 4 pm friday ) saturday night / sunday morning 12.30am get knock door ( asleep ) come check . amuse . all nice hotel good staff & amp ; muppetts crap aircon.heate system . probably will not go unless fix heating / aircon . check next time come London - please let know ! 
 Nov 1 2007 	 Good Location 	 Hotel great Location stay business trip easy reach Paddington station . room average price pay , unbearably hot . disturb 3 time morning departure house keep staff want clean room appreciate one morning lie ! whole though staff reception pleasant check hotel , always someone around need . breakfast beautiful ! 
 Oct 17 2007 	 Nice Quiet Central Location 	 stay Victoria Plaza girlfriend part week - end theatre break . upon arrival , first impression great . hotel not look anything special outside reception look bit odd ( lot pair pair jeans stuff reed decorate window area ! ) however check reception concierge service superb , staff meet stay polite helpful . guest room good size , clean , modern light nice view great balcony . upgrade excecutive package include robe slipper room , sew kit , hot chocolate , couple biscuit , chocolate piece fruit , shaving kit comb . also receive complementary drink snack executive lounge 6 - 8 ) . probably worth money upgrade item provide usually give standard 4 * hotel . breakfast buffet style breakfast , plentiful lot variety , although & quot ; hot & quot ; food warm . serve executive suite upgrade relatively small . number guest ask return later eat main restaurant . the hotel great location , quite central within easy walk distance Victoria train tube station Victoria Theatre . lot cafe bar , restaurant snack bar short walk away . however , hotel nice quiet location little noise night ( always plus London ! ) look good quality hotel great location , will not disappoint one . 
 oct 9 2007 	 nice hotel good location - walk distance several London sight . 	 Trafalgar tour book room - excellent choice . clean room - close Victoria Station , theatre , London sight . staff nice - especially restaurant - waitstaff attentive friendly . breakfast good - great variety . would recommend hotel friend . 
 Oct 8 2007 	 fantastic weekend ! 	 book hotel chance lastminute.com one top secret hotel . chance pay . visit London weekend treat 30th birthday back middle July 2007 . happy . 2 room book room modern , spacious , clean , light airy comfortable . book 2 Executive room note birthday believe free upgrade double size room book not small ! nice little personal touch ( although secretly hope ) ! meal hotel weekend breakfast morning . lovely huge choice . everything would expect cook breakfast front serve buffet style , along large selection cereal , fruit , pastry , cold continental meat , fruit juice etc etc . need lunch ! ! location hotel another huge plus . ideal follow tourist trail . 2 minute walk Victoria station , approx 10/15 min walk Buckingham palace 30 min walk Big Ben London Eye . and last mean least friendly staff . check check always & quot ; hello & quot ; smile pass . so basically nutshell , would definately stay recommend friend afew time since . ( shall touch commision ) ! ! thank play big part make 30th birthday event definately never forget . 
 Oct 4 2007 	 little disappointed visit . 	 regularly use Victoria Park Plaza good value week - end convenient Gatwick Express . always book executive room come Club Lounge access bedroom usually stylish . late visit could not check early significant problem concierge look bag . finally check , room disappointing executive room little jade compare normal . club lounge day rather waste time coffee machine croissant leave breakfast . complimentary alcoholic soft drink available 6 pm 8 pm bit piece snack . club lounge breakfast excellent however . previously rate hotel 5 trip advisor need work hard get old . next visit London probably see we stay elsewhere . 
 Sep 26 2007 	 3.5 Star Rooms 1 Star Service 	 stay week mid - September ... Perfect Location , 2 minute walk front lobby hop Gatwick Express . National Rail , London 's Underground bus also Victoria station . good base we get around 1 week Oyster Travel Card £ 24 per person Zone 1 - 2.Front Desk : Checking - in 2:30pm smooth although front desk clerk not seem like job much ( i.e . overly friendly ) . also want pre - authorize additional £ 25 per night cover incidental problem we may guest , forewarn limit high enough cover lengthy stay . conciege friendly book we fast - track ticket Buckingham Palace 's state room open useful save we 2 hour lineup outside . room : standard King - clean & amp ; spacious room , large London standard - typical north american hotel room size , come EU N.A . format wall outlet , convenient . a / c nice & amp ; powerful . view adjacent construction site ' ve always keep drape closed issue we . & quot ; King Bed & quot ; actually 2 twin push together mattress topper feel gap underneath bedsheet . bathroom : design leave lot desire . Shower - Bath combo shower curtain full door , half fold door sufficient keep water shower unless crunch inside front tub . ( see pic ) . absolutely stupid design . shower pressure non - existent : completely limp . toilet seat look well worn , towel like sandpaper cheap Holiday Inn Alabama . internet access : internet £ 2.99 per hour £ 9.99 per day 56 k connection - use 56 k day ! ? 's 2007 ! we not live cave regular high speed £ 12.99 24 hour , double major US 4 Star Hotels ( like everything else London ) . find cafe next door hotel also double internet cafe basement . charge £ 1 35 minute quite useful we . housekeeping : 's real fun begin . describe one word - terrible . never travels encounter terrible housekeeping 4 + star establishment . fact , ' ve well housekeep 2 star Florida motel , rate service measely 1 star . where begin ? towel stain multiple occasion ; toiletry always miss one two item replace ; kleenex ( tissue ) box replace run ( box not new check ) , neither toilet paper one night ; window always leave open day construction site immediately next us - let dust noise upon return ; sheet change - night prior departure ; coffee & amp ; tea never replentishe cup wash several occasion . miss item ask practically every night bring . make bed replace towel , much 1 week stay . the Bottom Line : £ 160 / night + tax really expect well , want non - existent service okay room would ' ve save 2/3s money stay hostel . joke call 4 - star hotel . not location would ' ve regretted terribly pick Park Plaza Victoria Hilton London Tower Bridge much deliberation . location place save grace . 
 Sep 12 2007 	 one nice hotel area .. 	 stay hotel twice year ( 2007 ) . hotel short walk Victoria station GBP 90 / night , think 's good deal . room good standard , clean bed comfortable . everything else room work . try breakfast / dinner hotel can not comment . 
 Sep 9 2007 	 nice room great lobby bar 	 stay week . room average size place London , somewhat average size center city . closet space however tiny . window look back ally . Room AC work well bed confortable . bathroom spacious shower stall seperate bath . breakfast include price good selection nice atmosphere . staff friendly helpful . bit adventure go morning run , cross several busy street adjacent Victoria Station order make way St. James Park . nice residential neighborhood outside door pub restaurant . nothing fancy , lot casual dining choice . 
 Sep 7 2007 	 Good Value London 	 book hotel base Tripadvisor review pretty pleased . stay standard room decent size - particular bathroom separate shower bath . furnishing quite nice modern although room maybe little bare . staff polite helpful bit pleasant surprise country . hotel convenient Victoria station ( couple minute away ) sight like Buckingham Palace , Houses Parliment Tate Britain within walk distance . area immediately around hotel fine plenty bar restaurant - 's also Sainsbury be nearby . overall would say Park Plaza good value hotel central London - get rate £ 116 night hotel 's website . one thing bear mind buidle work go opposite hotel although room side not troubled noise . 
 Sep 4 2007 	 location location 	 Modern , clean hotel w / in short walking distance Victoria Station ( bus , tube , train ) well sightseeing bus nearby . walk Buckingham Palace , Westminster Abbey St. Paul 's Cathedral ( would recommend ) .room good size , great bed , bathroom large . not care mirrored look though - a little revealing taste ! many good restaurant nearby , w / in walk distance . enjoy stay centrally locate see much able eat dinner close long day . try Willow breakfast - can not beat full english breakfast 2.5lbs - so , cheap London ! eat hotel - too expensive , lounge ok , staff ok , well other . basically sleep work we . would definitely go back . 
 Sep 3 2007 	 disappointment 	 book 3 night stay hotel base Trip Advisor review . long flight Heathrow Dulles , take subway Victoria Station , finally locate hotel time drag luggage . upon arrive midnight , desk clerk immediately say & quot ; good news bad news & quot ; . bad news due alleged computer glitch , fill room ( re - confirmed reservation couple day depart ) . Saturday night , skeptical . absolutely room available , & quot ; good news & quot ; book we Hisperia couple block away ( high - end hotel chain ) . would pay difference , one night , would re - pack drag bag back Park Plaza next morning . , real pain . would prefer stay Hisperia , option . the hotel management apologetic , not understand confirm reservation ( notify advance late arrival ) give another party . the room sufficient - nothing memorable . location noisy , convenient Victoria Station . 
 Aug 31 2007 	 great hotel ! ! ! ! 	 great hotel , great location , right round corner victoria train station , side fire alarm middle night , return room settle back sleep tv come blare apoligise fire alarm ! ! apart lovely , good selection breakfast , check fine , would recommend anyone 
 Aug 25 2007 	 enjoy hotel ! 	 stay London several time hotel far good . location great , across Victoria station . room spacious update . bed clean comfortable . book 3 king room receive 2 king and1 queen turn fine . would definately stay would recommend other . eat hotel 17pounds ( $ 34 ) breakfast bit pricey ! 
 Aug 17 2007 	 impress 	 spend 8 night Wife 2 small child could happy . receive great rate include full english Breakfast ( serve Executive Room ) impress everything . location great many restaurant nearby . one try fine although disapointe Bumbles . Staff Hotel helpful ( front desk organise online check return flight print boarding pass ) .One tip . arrive train Victoria huge amount luggage even though hotel close would much manage small child . british Rail porter good one agree take we way hotel even though supposed leave train station . 
 Aug 17 2007 	 hotel good staff average 	 select hotel reading review Trip Advisor . real problem hotel . location good , road Victoria Station , near theatre pub etc . easy get around use Underground . Most staff eastern European ( seem like staff every shop London eastern European ) generally terse unhelpful . as example , tea / coffee facility room , stop replenish . go reception get tell uncertain term level room ( standard queen ) qualify free tea coffee . point give receive harsh response . let go , return room , rung reception say wrong , get , would send . housekeeping staff member duly arrive minimal amount coffee satchel , surly attitude . small example , typical several episode week stay there . overall rating - reasonable hotel , great location , poor staff , 
 Aug 11 2007 	 Nice Hotel 	 stay hotel 8 night end July . room spacious clean , especially bathroom . location ideal . close Victoria rail station , restaurant etc . staff efficient find overly friendly . say rude , not overly eager assist , first time visitor England , want know get somewhere . restaurant nice friendly staff although quite expensive . 
 Aug 2 2007 	 poor service 	 accommodation spacious hotel clean . could not hear traffic noise room - real find London . however , service really poor . breakfast £ 17 addition room cost day wait buffet breakfast ' top ' would run nearly everything , toast queue also tideous toaster actually not toast require several trip toaster become anywhere near satisfactory . the conceirge probably bad ' ve ever meet - ask recommend good fish restaurant not pricey recommend fish chip shop Waterloo ! ! ! ! ! 
 Jul 24 2007 	 reliable ever 	 stay Park Plaza monthly virtually decent business - class hotel near Victoria station - ( unfortunately ) speak wealth experience regard competition . while street location hardly call charming , convenient - perhaps 3 minute walk Victoria . tourist inside , hotel modern . renovate room , creaky floorboard , work air conditioning / heating , work modern fixture , work wireless internet ( expensive ! ) . will need 7th floor high view anything . decent exercise facility basement ( not often use prefer outdoor running ) . Restaurant Italian - themed , passable . breakfast buffet okay sometimes overrun include room tariff . staff ( Eastern Europeans part ) friendly ( always get & quot ; welcome back , Mr. * * * * & quot ; ) . back - up queue check in / out allow extra time . executive room ( extra $ 50 ) not seem worth - much difference size , be much $ free breakfast / happy hour 2nd floor lounge . 
 Jul 19 2007 	 extremely convenient comfortable good restaurant 	 really enjoy stay - town conference ExCel London , want nice hotel near Tube , work perfectly . staff really excellent , room comfortable clean . basically location within reach Victoria tube / train station , block half away . go local Sainsbury 's basic , treat delicious meal hotel restaurant one evening . , enjoyable stay , remember location future stay . 
 Jul 18 2007 	 one good ' ve ever stay 	 wonderful hotel . room exquisite , staff lovely breakfast good . location also good , access London nearby station . 
 Jul 17 2007 	 Excellent Service 	 cousin return weekend stay Victoria Park Plaza Hotel , must say hotel offer really great service employ really helpful staff . we arrive 12 noon wait 2 pm room - normal hotel problem . concierge helpful take bag recommend thing could area room ready . the hotel excellent location 2 - 3 minute walk Victoria station - easy get around London cheap efficently , anyone go see show Wicked Billy Elliot perfect also 2 - 3 minute walk show . we near everything walk Buckingham Place , St James Park London Eye 10 - 15 minute away . room spacious clean bathroom . thing would fault room fact not proper curtain use lace try keep modern appearance hotel - much sleep morning due light . hotel bar comfortable drink hard day sightseeing , breakfast option available also enjoyable . the staff helpful go way try help time . certainly stay hotel next London . tip : look show go see London - would really recommend Momma Mia great night entertainment miss ! 
 Jul 8 2007 	 great location 	 Victoria Park Plaza great location close Victoria train station quiet area people work sweet always helpful . room great except problem magnetic strip keycard ( lock day stay ) break massage shower send plastic thingy hit toe real hard ( ouch - nothing wrong water pressure ! ) .please note : breakfast might include , plenty good place eat breakfast area . 
 Jun 28 2007 	 great location ! 	 stay 2 night . fantastic location ( 5 min walk Victoria Station ) . check smooth room reasonable size London . bed comfy ( double king / queen ) . bathroom good size seperate bath shower ) . proper hairdryer wardrobe safe / mini bar ) . wall seem paperthin ( maybe surround noisy people ! ! ! ! ) . eat drink hotel . lot bar / pub around hotel ( worth explore tourist trail - lot local resident pub nearby ) . overall good experience ..... 
 Jun 27 2007 	 Close Victoria Station 	 stay hotel four night . check - in staffer indifferent , although concierge pleasant . ( example , able print airplane boarding pass day leave . ) business center computer work . room clean comfortable ( goosedown comforter ) , although spot hole linen . mirror bathroom heat , A / c satellite tv station ( include station spanish , french , italian , german ) . one good feature room : desk , US power outlet , well EU UK outlet . ( use adapter ! ) morning opt pay breakfast hotel instead eat nearby cafe . last morning , try hotel breakfast . 12 pound continental buffet , additional 4 pound full english breakfast . opt continental buffet , include cereal , fruit , fresh pastry , yogurt , juice , tea / coffee . ( notice full english breakfast also set buffet style . ) hotel close Victoria train station/ underground ( tube ) station . shop restaurant inside station . hotel would especially convenient traveller fly Gatwick , Gatwick Express train connect airport Victoria Station . alas , fly Heathrow , therefore need take taxi Paddington Station catch Heathrow Express train . , hotel serve purpose place rest sight - seeing , London , would consider stay hotel . 
 Jun 27 2007 	 Best Four Star Hotel London 	 Greetings , stay fair share hotel : four star , five star , occasional ( regrettable ) three star , mostly four star . favourite four star hotel London . consider hundred hotel compete good four star , ' quite accomplishment . the Park Plaza Victoria become favourite London hotel Luke - Jozef Francois know make guest feel special , take care pesky detail rarely occur typical UK hotel . might guest relation manager , hospitality business , care guest much Luke , yet meet one . stay , Luke ( exceptional team ) make we feel like ' stay gracious friend anticipate arrival . ' easy guest please . american live work England , never grow accustomed tiny , airless , drab , date , appalling room , many UK hotelier pawn unsuspecting guest . Victoria Plaza antithesis : room bright , spotless , efficient modern . art throughout common area , add buoyant feeling hotel . choose kind pillow want pillow menu every room ; elevator actually move floor ease . eat bar ; restaurant , executive lounge ( snack breakfast ) one dozen option , within block hotel . naturally , room service , come , ' London , ' want hang room , nice be . give option , go upgrade deluxe room , junior suite . ' elbow - room . ' american , get junior suite . right . thing might think , probably : yes , air conditioning work well . window ' open much one complaint hotel . window need open . wonderful , knowledgeable concierge always steer right direction . ask . ' couple block Victoria Station , one London ' popular train station . easy walk , even luggage , Victoria Station hotel . time . public transportation excellent . catch bus ( take bus , ' see ) almost anywhere within couple block . back hotel : water pressure good . bathroom tub shower , sometimes separate , sometimes together . thoughtful toiletry . towel nice weight ( thin ) executive room ( ) come robe slipper . housekeep good . sure leave tip . work hard . paper request deliver door . get Guardian . broadband coffee / tea make facility room . give option ( upgrade ) breakfast Executive Lounge . physically appeal main dining room downstairs , food service excellent . get early , will not get table . ditto happy hour wine , mostly miss day . a lot Yanks seem stay , probably good 4 - star find state . hotel work equally well business pleasure . ' cater wedding / conference crowd , want . Christmas good time stay London . get excellent deal time year . thing wrong hotel , especially fully book . thing go wrong ( ) difference care enough sort quickly . care enough consistently provide welcome environment . hotel , say . visit London , whole - heartedly recommend Victoria Plaza Hotel . Viva La Vida ! 
