nice 	 FS quite special basic room decide try something different trip Vegas . get rate $ 330 night include tax . fs far new favorite Vegas Mandarin open check . look place away gambling sound crowd , perfect place . basic room , room spacious quite large bathroom . bed extra comfy view mandalay pool area . fs pool area exceptional . pool staff walk around give fresh fruit , lemonade , sunglass clean evian spritz . great lunch poolside , highly recommend grill cheese sandwhich tomatoe soup . odd thing pool drink menu , waitress say , ask want will see make . would nice special drink least list basic drink menu . brunch restaurant bad $ 35 pp , especially hungover night want something close . spa gym facility excellent well . attendant gym handing towel , water , gatorade . hotel guest use steam room spa even spa treatment . service around usual fs polished treatment guest use matter FS stay . negative think end strip , attach mandalay bay kind hike get middle strip show dinner . not bother we want stay little away , might issue other . 
 simply good ! 	 return eight night stay Four Seasons . celebrate anniversary . could make well choice hotel . upgrade Premier View Strip Suite advance simply stunning - view , amenity acre space . celebration cake selection fresh fruit await we room first night thoughful much appreciated . thoughfulness seem sum hotel . staff need never intrusive - make feel safe outset . several time stay message leave answer machine on - duty manager check everything go well anything need . we eat Charlie Palmers , in - house steak restaurant one night . quite expensive - wine list particular eye - wateringly , although food good experience mar considerable extent noise come nearby table . expect quiet intimate dinner ... hotel 's fault disappointing nonetheless . although extreme south - end Strip free tram run Mandalay Bay Excalibur . get around easy . book see three show town problem travel . monorail frequent , fast way travel point interest . we buy item buying realise would able take back cabin luggage . expensive keen put aircraft hold . quick word concierge staff arrange in - house business department package post home UK - prefer UPS FedEx ask . marvellous ! stay couple rival hotel visit - Bellagio venetian name two neither come close Four Seasons . fancy treat go - will not regret . read reviews people complain noise McCarran Airport . room overlook airport noise not bother we - fact interesting sit huge floor ceiling window glass wine one hand watch world roll along . we will back ! 
 Jun 28 2009 	 Outstanding 	 Exceptional service . wonderful amenity . loved secluded pool . fresh watermelon slice special treat . Access Mandalay beach wave pool kid . 
 Jun 25 2009 	 good could well 	 Four season Las Vegas want get away hour overkill casino 's , noise , heat people . tuck away side Mandelay Bay hotel capable give look feel relaxed quality . the service good excellent reception , swimming pool breakfast . the room spacious , well furnish one need . remark though , one get free WIFI connection States RV park , hotel , café 's etc , hotel charge $ 14.99 one day connection . world communication standard long option expensive hotel one WIFI free . one remark noise 35 floor come room . unfortunately double glasing use could well . the swimming pool small amount people use . four Season quality involve enough space around swim pool soft music make stay pool enjoyable . case hardly free space pop / rock music may blend well Las Vegas , , loud relax . other great hotel , compare rest Vegas , heaven earth . 
 Jun 23 2009 	 not want leave .... 	 say wow . finally oasis serenity , service elegance chaos ugliness Las Vegas strip . not think something like exist Vegas know well . 's look mean , check not leave . hotel cater every need comfort . need little action one night , go Mandalay Bay , take look soul lucky enough stay four Seasons , hustle back . 's plenty expensive hotel Vegas be poseur whose idea service allow priviledge overpaying stay tacky property steroid . would love Four season already , not idea be Entertainment business . four Seasons hospitality business difference show . three cheer . love look forward go back soon . 
 Jun 19 2009 	 Superb - hotel come close ! 	 read review resort oasis , think probably market spin . tell . place unbelievable many level . almost freaky would walk strip Mandalay Bay entrance , peace , serenity quiet induce big sigh relief . hectic , crazy pace everywhere else Las Vegas , wonderful decompress . service unlike anywhere ' ve ever . like private staff butler service . unbelievably thoughtful , helpful , personal imaginitive come way make life easier well ! use scooter , health need , top ! consistently go way sincere concern . always seem happy help - lf business strategy could not tell , person seem sincere supportive . room elegant , plenty room . amenity plush comfortable . bed bit soft , put bed board perfect . pool pleasant level service amazing . anything need want get . want move chair get sun will move everything set fresh towel . give pitcher water orange lemon , keep ice fresh 's cold . come around frozen fruit , popsicle , evian spritz face , juice sample , cucumber wash glass . 's first class pamper . housekeeping utterly amazing . can not even list touch thing make room special , orderly neat . one challenge stay resort location strip . regardless , would definitely choose four Seasons , use taxi . course 's non - smoking place , wonderful we . enjoy able go Mandalay Bay gamble eat . pool Mandalay crowd hectic we . prefer peace Four Seasons . 
 Jun 12 2009 	 well 1st visit Vegas 	 2nd visit Las vegas 1st nearly 3 year ago . first time Bellagio time four season Mandalay Bay . hotel fantastic private pool area away big group Mandalay Bay although use pool . kid Mandalay bay well massive pool wave machine couple want peace quiet four season every time . the hotel situate right South end strip 's advantage way really big crowd make go strip bit long walk . 20 's - 40 's fine 60 stay middle strip save leg : - ) .I would recommend hotel anyone , go back would high list stay might try new Palazzo Encore look great hotel went look . 
 Jun 11 2009 	 Perfect wedding 	 spend week four season Las Vegas daughter 's wedding late last summer . spectacular magical . wedding outdoors ( behind waterfall near pool ) relatively cool windy night . banquet ( Kosher ) superb suite room . spend considerable amount time relatively small mostly private pool . restaurant food wonderful . night go different show strip ( since four Seasons extreme end strip lobby top floor Mandalay Bay Hotel ) . not gamble , Mandalay Bay casino next door doorway . expensive , well worth . ' ve stay Bellagio Wynn well . 
 Jun 6 2009 	 good world 	 perfect base experience amazing Las vegas . spend three night strip view room ( highly recommend can not stop look window ! ) room fabulous well stock everything need . friendly helpful staff beautiful pool surrounding . really centre excitement step away action casino hotel . however end long night bliss walk calm private elevator room whisk luxury comfort fabulous hotel . not really chance stay luxury hotel often , would highly recommend spend little staying , really perfect antidote sometimes overwhelming hustle bustle Vegas . 
 Jun 2 2009 	 miss already ! spoil ! 	 wonderful hotel . expensive wonderful ( high - roller room get compe casino ! ) fiance go Las Vegas celebrate 50th birthday . live New York City want relax pool nothing want night life , . stay 8 night , want treat like queen birthday . find birthday , go send cake room . explain ' m diabetic offer sugar - free cake , ask fruit instead . well , send fruit room every day whole stay ! , first day actual birthday , send fruit cheese platter ! everyone work four Seasons address name everyone extremely helpful friendly - Front Desk staff maid . speak maid , phenomenal job . thoroughly clean change towel , etc . , twice day ( request reason ) . pay attention need not ask . example , use lot towel shower noticed start bring lot towel put shelf bath area we . never ask extra . shower excellent ( separate tub ) - great water pressure . separate toilet area roomie tinkle private be brush tooth . room darken curtain great morning late night - could not tell day night . nice big flat screen tv . comfortable bed ( king pillow - top mattress ) . lot great pillow . wonderful bed linen ( soft cotton , include duvet cover , be never touch anything someone else be behind touch ) . lot little touch like bottled water bed every night , great thick terry cloth robe ( one ) , pair slipper ( be pretty cheap disposable slipper - nothing write home , last week nicely ) . get upgrade & quot ; strip - view & quot ; room . understand , exception view , room identical & quot ; superior & quot ; room , not see room . view strip big deal day night , neon go , be really cool . live high building home , maybe day view remind home be small town , will amazed view . I think room could big acceptable . would like see suite ( try upgrade full ) . guess incredible . free WiFi laptop otherwise access internet via tv 's $ 14.99 24 hour 's flakey . be well use PC 's business center . run credit card get first 10 minute free ( , however , be $ 1.00 per minute careful printing anything ... be $ 1.00 per page print ! ! ! ) . two phone room one bathroom toilet . phone bed cordless , handy . safe room easy program . iron , hair dryer , really nice soap , shampoo , conditioner . lotion , shower gel bathroom . full control central A / c room , work well . unfortunately , open window , though . if put & quot ; disturb & quot ; sign door , extremely respectful ... order something room service forgot sign door . delivery person not knock door , instead , walkie - talkie office call we ask ok person knock ! speak room service , be great , be really expensive . say , tell will 20 minute , 17 minute ! mini bar room tray delicious look snack food be expensive not make use - except bottle Fiji Water . concierge helpful not expect able recommend anything inexpensive . not seem grasp espensive restaurant ask recommend something reasonable . research find inexpensive option . use concierge make reservation restaurant hotel . speak , two restaurant hotel excellent . Verandah nice food , serve breakfast , lunch , tea , dinner . also really nice outdoor seat area pool . addition , serve source food order sit pool . good . restaurant Charlie Palmer 's Steakhouse . amazing food service . top notch . the hotel 's private car ( Cadillac SUV ) available anyone hotel request go within 3 mile hotel - 's first come first serve , walk outside front door , ask doorman car available . , take taxi , available , be free ( tip driver ) , really comfortable , wonderful option . will not pick wherever go , though , be , be get back ( taxis easily available everywhere go - not cruise strip ... get one taxi stand hotel store ) . hotel really oasis serenity , advertise . pleasure come & quot ; home & quot ; peaceful lobby casino and/or hotel . stay 9 day , begin Memorial Day weekend . madhouse everywhere weekend - like Spring Break Cancun ton young 20 - something . Noisy , crowded , overwhelming . hotel . oh , busy - full . place sort issue pool . well , & quot ; issue & quot ; - 's way people pool holiday weekend time . easygoing relaxed crowd . unlike right next door mandalay pool thump loud music waaaay many people . way , stay Four Seasons , use mandalay pool vice versa . use Four Seasons pool ... simply relax well class clientele ( drunken loud kid show boob implant ) . order lunch be lounge pool . bring tray food really good . poolside service excellent . slow day ( non - holiday weekend ) , come spray water cool , offer free popsicle , frozen melon ball , even ask need sunglass clean ! casino ... none . Mandalay Bay actually part build Four Seasons Casino . not see every hotel say - think Bellagio nice casino ' ve ever see . think venetian beautiful hotel casino nice . think MGM Grand stunk cigarette smoke , even restaurant . would able gamble . think Caesars horror show give bad vibe start finish . Mandalay Bay 's casino relatively small be table player . ton slot / video machine , though . ' m blackjack player . non - smoking area , not bad . smoke really bother not thrill . night , can not find anything low $ 15 minimum - bet table . - 's really easy get Four season . not leave building get . be play . would great Bellagio casino close simply not feel like jump cab go . gambling , walk ( virtually unmarked ) door go loud , boisterous casino quiet , clean , peaceful hallway private Four Seasons elevator leave noise smoke behind . aaaahhhh .... wonderful ! ultimately , pleased choice stay . book Bellagio occur holiday weekend might crazy . boy , right ' m glad choose Four Seasons instead . expensive worth money . go back , be ' m stay . my complaint : odd smell part lobby entire time another guest tell last year . spa beautiful hot tub / jaccuzzi . mandalay one pay $ 30 / day use walk casino massage come mandalay - would un - relax hurry . also , although bathroom & quot ; soaking & quot ; bathtub ( deep ) , also jaccuzzi jets curtain glass door around , hot bath get cold quickly . oh , chocolate pillow night , LOL ! ( can not eat anyway dream , can not ? ) 
 may 16 2009 	 wonderful 	 thoroughly enjoy stay Four Seasons , Las Vegas would stay anywhere else . staff fantastic - front desk valet housekeeping - impeccable service around . spa beautiful , gym amazing , pool lovely ... love Four Seasons . 
 May 11 2009 	 World Class Service ... World Class Stay 	 wife return trip Vegas Four Seasons . hotel absolutely fantastic regard . must admit loyal Ritz Carlton fan regularly choose RC brand choice , stay may change . staff truly focus outstanding service begin first walk door . porter open car door ask last name checking . , greet last name . actually quite impressive . equally impressive service pool spa . room nice would call & quot ; standard & quot ; RC FS brand . robe true terry cloth actually nice RC robe ( spa robe ) . slipper terry cloth well comfortable RC ( spa slipper ) . bed nice sleep well complaint . black curtain truly good class enable really sleep without sign light come . towel ok , quite nice would expect ( bit worn thin typical RC towel ) . bathroom quite nice shower good water pressure experience quite time . absolute good part hotel casino noise . want casino right next door easily accessible , not walk way room . departure ask cab airport porter inform we would hotel car ( black escalade ext ) take we . cap absolutely perfect stay . , Four Seasons exceed expectation absolutley make hotel choice future visit Las Vegas ... 
 May 10 2009 	 Elegance near Vegas Decadance 	 stay resort two night trip Utah hiking Strip View room . extremely elegant , quiet respite loud Vegas scene . love spa , restaurant pool overall service . room small side , view make . stay Vegas hotel , recently Wynn , find Four Seasons offer true relaxation ability get casino vegas - style action within minute . love fact never line cab one could arrange spa service time one desire . pool area small beautiful attendant helpful . 
 Apr 23 2009 	 Top Class 	 ' ve visit Vegas time first time Four Seasons . standard high would expect hotel chain , real bonus escape madness town , short step away form Mandalay Bay . young child we find ambience service second none . 
 Apr 22 2009 	 accessible room Par- Spa Spa Staff great 	 stay one year ago . birthday trip 83 year old mom . check smooth Spa treatment ( suprise gift family member ) over - the - top fabulous . family member also suprise we Champange Chocolates place room upon arrival . flower deliver birthday send family member Cake compliment Four Seasons nicely do . mom first facial love ( think esthetician great ) . extra long ( 180 min ? ) massage seem little decadant one good deep tissue massage ever ! warmly greate spa / gym staff every go work gym . gym small ( year ago- hopefully fix ) individual tv 's treadmill control remote control dedicated treadmill tv . woman next keep point remote direction change tv . could irritated ! also , Temp control accessible Spa shower tempermental glad present help Mom , otherwise , drastic change hot water could cause problem . spa area smallish luxurious nice staff . we enjoy breakfast afternoon tea ( reserve ahead ) Verandah . room service breakfast wonderful toiletry luxurious . however dissapointe accessible bathroom . standard tub fit bulky huge bench / chair nothing sit shower . disappoint response recieve front desk call ask shower chair Mom . & quot ; one . & quot ; shower chair accessible bathroom spa end pack everything big tote wheel Mom spa could nice shower ( iffy temp . control ) . spa staff gracious feel little bit like couple ragtag refugee schlep shower every day know Four Seasons could afford get $ 45 shower chair send room . ( huge bathtub chair woud fit shower ) .I also unimpressed front desk staff one occasion problem key - card . mom pool approach front desk ( push Mom wheelchair ) ask could get another key card us use . front desk attendant look we say & quot ; need see ID & quot ; . load - down pool / sun gear Mom wheelchair . explain wallet safe room . basically say ( ' m paraphrasing ) : & quot ; bad & quot ; . really would nice offer send someone room we could check ID . enjoy non - gaming oasis quiet retreat resort , two incident lackluster staff really leave we feel lukewarm ( good ) four season Vegas . choose stay Bellagio year experience every staff member wonderfull accessible room much well shower someone disability . 
 Apr 22 2009 	 great location good four Seasons ( must get deal ) 	 husband stay various four Seasons . Las Vegas modern , certainly pretty , clean , perfectly locate . enjoyed set apart business Las Vegas close enough hop Mandalay Bay casino . stay Las Vegas special leave Sunday . Saturday , discuss extend stay Sunday evening stay Monday front desk person . say could stay reduced rate could make decision point . husband call early Sunday morning tell could match offer fact , rate much high . give occupancy hotel - confuse . end leave another hotel get much well rate . also annoyed find valet parking $ 19.00 day - clearly indicate anywhere every hotel area offer service free . would self - park know . last , not understand internet service $ 14.00 four season free virtually every low budget hotel . date expense update - mention double - bill ( later correct ) . pool gorgeous return , pool reason . overall , good location well - keep ground feel nickel - and - dim quite bit . 
 Apr 22 2009 	 well 	 first stay Four Seasons . stay four season Easter Weekend . assign room pool view . associate front desk top notch , associate check - out impersonal . hotel understate scent luxury . room , 38th floor , clean perfect condition . Room Service staff cheerful polite . front desk spa staff seem cast call Sunset Tan - valley girl . compare Canyon Ranch Spa Venetian , spa lounge tiny . not give hotel 4 5 star - morning jet across freeway would start engine 6 am - take time not want get 6 am . ugh . ' m take time around Memorial Day Arizona decide stay JW Marriott Camelback instead Four season - not want take chance quiet would distrube . 
 Apr 18 2009 	 Perfect stay Four season Vegas 	 read great review hotel , decide check rate internet . hotel running & quot ; 3rd night free & quot ; prromotion , end pay average $ 189 per night , put around pricepoint high end strip hotel . room beautiful plenty space . large bathroom serparate shower tub large vanity . bed large comfy . room small sit area fine husband . casino hotel , however connect Mandalay Bay , easy access casino ammenitie . love utilize mandalay 's amazing pool area fun lazy river wave pool , lay four Season 's private pool area relaxation . four Seasons pool area first class . love order frozen drink appetizer poolside spritz evian water poolside attendant . this hotel first class way . nice oasis hustle bustle strip , close enough action . 
 Apr 16 2009 	 absolutly wonderful - brilliant ! 	 one good hotel ever stay . hotel Las Vegas stay . peaceful quite . staff incredible knowledgeable want enjoy stay . though expensive hotel Las Vegas well worth get away regular Las Vegas slot machine , rude staff , lot cigarette smoke . word say enough palace . stay Five Star hotel Las Vegas include Bellagio , Wynn , Venetian . stay , never stay traditional Vegas hotel ever ! 
 Apr 14 2009 	 Welcome change Vegas 	 stay Easter weekend . check - in fast wait . request room face away airport avoid noise other complain . room overlook unattractive parking garage super quiet night . room large bed comfortable would expect four season . housekeep fabulous job prompt request . overall , great stay be regular Four Seasons , low expectation slightly . service spotty usual standard would expect . Vegas crowd , especially pool . 's still good option Vegas . 
 Apr 13 2009 	 5 Star Service 	 Las Vegas least 20 time year , direct flight Pittsburgh , use stay different hotel end lately Belliago , trip Easter stay four Seasons . service Four Seasons top perfect ! Presidential Limo . pick we take we back airport $ 100 round trip , great / prompt . minute exit car , attendant four Seasons reconize we name , check room 10 am . room good , great bed , nice bath , nothing complain nothing special , view pool mountain , nice room Vegas . Breakfast Veranda perfect , good egg eat ... order lunch pool 3 day , order something different day meal well next , love Tuna 3 Ways . pool attendant incredible , 8 attendant day , pool area small size 8 attendant make feel like everyone get personal attention . free ice water w/ lemon constantly refill , evian spritzer face , fresh fruit fruit juice day , sunglass cleaning , fresh towel galore , mini massage foot hand , 15 minute $ 35 , 30 miniute $ 65 45 minute $ 95 include hand , worth get every day . venture Mandalay Bay day ( 15 minute ) way crowded , love little corner world Four Seasons . SPA treatment 2 day , love Dessert Oasis husband . taxi Ceasars Shops $ 11 + tip even though far end strip 's cheap taxi ride . good description husband come , Four Seasons & quot ; old money & quot ; necessarily point behind say true , Belliago ' ve stay ( love ) & quot ; new money & quot ; . attention detail four Seasons quality guest top notch . guest friendly , chatty probably one & quot ; poor & quot ; ( everything relative ) couple . definately back . 
 Apr 6 2009 	 Oasis 	 stay Xmas / New Year ( 2nd year run ) , stay Suite whilst expensive worth every penny . hotel absolute bastion calm , quiet elegance . lovely spa , downside not manis / pedi . Charlie Palmers serve perfect steak . valet car couple minute . room warm comfortable . perfect ! 
 Apr 1 2009 	 beautiful hotel expensive worth every penny 	 beautiful hotel fist 4 night honeymoon . be cheap get pay . love fact not casino consequently much quieter majority Vegas hotel . also , airport end strip , be busy . stay Premier Strip View room indeed amazing view strip . treat fantastic & quot ; free & quot ; firework display New Years Eve watch room 18th floor . service hotel faultless . roomservice plate remove second place outside door . whole hotel immaculately clean . eat Veranda restaurant one evening meal beautiful attentive service . everything would expect 5 star Four Seasons hotel . 
 Apr 1 2009 	 another quality stay FS 	 become & quot ; regular & quot ; fs property . love dependable , always get pay . say little disappointed & quot ; blah & quot ; room decoration , minor . check - in : Easy . arrive 11:30am Thursday strip - view room ready . nice since want lunch 2 pm spa appointment . ROOM : Strip view nice , honestly sure worth tremendous jump price regular room . night cool see light . . .but could also walk outside night see . would definitely pay view , although appreciate other ' recommendation . think would wonder miss -- know . bed -- typical , comfortable , clean nice , cool , soft sheet . bath -- not like shower here - the water pressure actually hard , way adjust shower head make soft . know , picky , picky , everyone like blasted shower . Desk / chair / tv : utilitarian . could anywhere . . .not comfortable FS property . food : brunch hotel restaurant -- 's bit pricey probably worth . food & quot ; typical & quot ; brunch food , & quot ; Buffet & quot ; Wynn 1/2 price , really comparison . remainder meal eat next door Mandalay bay -- nothing would return , include much - herald & quot ; Burger Bar . & quot ; good , $ 25 burger fry ? ? ? pool : pool area lovely , pool warm . attendant great -- constantly check , even bring nuts chip want . spend afternoon definitely relax day . SPA : facial lovely . facility top - notch , service comprehensive . people & quot ; stand - by & quot ; generally walk - in request same - day service . also generous sample product use service , helpful commit hundred dollar new routine . CASINO : hotel attach Mandalay Bay -- casino disappointing , Luxor , also close . easy tell difference old casino new one . definitely & quot ; old . & quot ; location : big drawback otherwise nice stay . f far away everything constantly rent cab . . .it 's 3 mile Bellagio , 6 mile Wynn / Encore , nice walk unless dressed dinner show . . .this also main reason would return property . 
 Mar 23 2009 	 Ultimate Luxury Las Vegas 	 ' vacation Las Vegas , ' stay Four season honestly proclaim never stay anywhere else future visit ! hotel immaculate — the design , casino - free atmosphere , pamper service … all top - notch . stay " premier strip - view room " 36th floor window floor ceiling offer sweeping view entire strip . simply breathtake look day night — the good part location Four Seasons top floor Mandalay Bay tower fact far end strip , middle , see everything half glamorous hotel . room spacious comfortable 4 adult . also love pool area beautiful , quiet retreat rowdy Mandalay Bay wave pool , although could go whenever want desire soak party atmosphere point . awesome four Seasons guest option use four Seasons pool Mandalay ' pool , mandalay guest stay Mandalay . little thing love stay lounge pool 5 day hot July sun amenity pool . throughout day , attendant come around offer we mist evian eucalyptus - infuse chill towel cool we , well periodic offering fresh fruit , cucumber eye , popsicle . also pitcher ice water refill constantly throughout afternoon , plenty server take food drink order time . fabulous menu order breakfast lunch pool , actually bring nice tray fit lounge chair could eat right without get ! comfortable . one primary reason select four Seasons luxury resort like Bellagio Wynn fact even though resort nice , still huge simply offer level personalization quiet pool area feel Four Seasons offer . want pamper luxury personalize attention throughout stay , highly recommend stay Four Seasons visit top hotel dinner shopping night . non - gambler , another plus we , even gamble recreationally still want top - notch service luxury , disappoint Four Seasons . suppose reason stay elsewhere would really need step away table slot non - stop party atmosphere casino hotel . we , love Four Seasons , next time find fabulous Las Vegas , Nevada find check four Seasons without doubt . 
 Mar 19 2009 	 Casino Hotel - fantastic ! 	 four Seasons Las Vegas heaven away terrible crowd - season not Casino directly attach ( one - belong Mandalay Hotel access 1st floor ) . mean : long wait valet parking , endless waiting check , concierge etc . four Seasons entrance pool 's top Mandalay Hotel ( feel nothing ) . careful make reservation : room & quot ; airport view & quot ; ( hotel directly locate opposite airport ) , noisy - especially fighter aircraft take . get room first night . call reception get free upgrade & quot ; Strip - View - Room & quot ; .The concierge helpful , & quot ; more - than-5 - star - experience & quot ; : reserve ticket LOVE Mirage . pick shock : 1 - 1.5 hour wait ! cancel go back Four Seasons . tip arrange ticket bring directly hotel could spend day well thing wait row . also recommend restaurant ( Brio ... ) good , tour ... Valet Parking also great . car always already turn up . except noisy part room can not say anything bad four Seasons . case go Las Vegas certainly would stay . 
 Mar 17 2009 	 beautiful away crowd 	 tour hotel strip go show , etc ... LOVED able get away come time rest go sleep . hotel beautiful serene . crowd whatsoever . check breeze , lot room pool , comfortable room , service friendly helpful . spa georgeous one good ' ve ( love go spa ) . also not charge extra thing like gym use , dvd player , pool use , etc .. really great place stay . thing cautious room face airport might bother plane traffic be light sleeper ( ask room away airport quiet ) . 
 Mar 16 2009 	 good customer service comfort Las Vegas 	 return first stay Four season Las Vegas last . begin end entire staff treat we amazing customer service ever experience . luggage room turn key door . long line check . casino bling congestion . quiet classy lobby safe relax crazy LV blvd . world . address name restaurant phone call front desk , service employee , bell captain etc . room clean comfortable wonderful city view . bed beyond description . one good night sleep ever . high end hotel strip , offer nice accommodation thousand room people service never get personal touch hotel offer . hallway clean day night , elevator swift upon call , pool area spa quiet relaxing . get Mandalay Bay easily want transition casino environment . negative comment would hotel close airport , depend wing room locate hear jet noise time . also far end strip close walk access Lexor Excalibur . need use taxi , car tram get hotel . factor keep we away , gem hotel good strip want treat like respectful pay guest room number ... 
 Mar 11 2009 	 Hospitality personnel wonderful 	 Texas girl visit western United States , never know type service go get . time service haughty lack genuine personalization use get southern state . four season Las Vegas exceed expectation . staff welcoming , treat like person rather commodity . husband visit Las Vegas first time 20th wedding anniversary . arrive receive delectable chocolate mouse cake & quot ; Happy Anniversary & quot ; beautifully writen . also going pick new puppy visit area , Four Seasons go beyond lie doggy bed , bowl , treat wecome new family member . first night also order room service phone cheery attendant . also helpful wine request . room service arrive prompty smile waiter also helpful information food wine . dine , make phone call someone came pick table dish . great service ! topper , leave hotel forgot jewelry glass sink . ask front desk clerk check quickly call security within minute jewelry deliver lobby sip morning tea . definitely look forward next stay four season Las Vegas ! 
 Mar 8 2009 	 beautiful hotel great service ... 	 stay many Four season one nice . quiet , away strip , access Mandalay Bay casino , shop restaurant want . big complaint airport noise . plane start around 6 am . north wing face airport . not know escape airport noise along Strip airport pretty much adjoining Strip . side note -- access Mandalay would also give access pool big wave pool . not bring kid trip , would consider Four season get access pool . 
 Feb 24 2009 	 lovely stay - bed ! 	 stay Four season New Years Eve . first , boyfriend 4s devotee . 's prodding stay one awhile , finally trip . thing like : * excellent service - mean excellent . match thus far MGM Grand Skylofts . * bed ! oh gosh , bed . good bed ever sleep , without doubt , hand . ' m try figure sell . would get never want leave , not good come time go . : ) good comfort , hand . not sleep bed come close . * room service stellar delicious . * spa fantastic treatment . interior unremarkable otherwise , quality treatment amazing . * quiet . * close casino ( Mandalay Bay ) . * room staff stealthy hyperaware - would go 45 minute lunch come back spotlessly clean room . dislike : * not deposit casino floor , door lead 4S Mandalay casino floor rather hard find way . not bad , guess , irritate nonetheless . * ' m huge fan mandalay casino ... not help ! * room fairly small understate , okay , boring . * ' fun ' amenity ( ' m constantly find interesting stuff MGM Grand Skylofts example - like television situate strange place , personalised stationery , etc ) , nice , would stay 4 season locate elsewhere , Vegas think well option . 
 Feb 22 2009 	 relaxing 	 refreshing walk hotel Vegas peace quiet surrounding . casino , loud music , smoke people . deluxe room huge bathroom . clean nicely appoint . flat screen tv lot movie order . also DVD player watch stuff . breakfast room service , prompt food delicious . nice dinner Verandah . also Charles Palmer steakhouse restaurant not eat there . I couple treatment spa . relax enjoyable . pool getting renovate March , not get experience . definitely place people want get away craziness Vegas . want gamble , take main elevator Mandalay Bay casino . 
 Feb 20 2009 	 good issue 	 happy choose stay Four Seasons might think twice stay . 's good & quot ; area opportunity & quot ; . part , service atmosphere excellent . one exception deal staff member try resolve billing error . unnecessarily difficult uncomfortable fix thank not - so - pleasant front desk receptionist . otherwise , refreshing treat well . Christian , bell stand staff , may reception pleasant professional . pay $ 100 upgrade large room . get strip view . instead get lot airport noise ( start 6 am Sun - Wed , 5 am Thurs ) . also next ice machine / room . times night woken noise ( either door slam ice machine ) . bed nice comfortable signature bed LV Westin bed . room wonderful though . room service several time . dinner good breakfast overdone way -price . room service order always correct ( yay ) always ask bill . server never offer . nice special access separate elevator Mandalay Bay area . kudo staff though really make stay pleasant . 
 Feb 19 2009 	 truly Outstanding 	 although occasionally stay nice hotel , try keep lodge cost reasonable . attitude basically typically get late sleep shower , spend fortune , particularly tend spend one two night one place . trip finish , change itinerary due bad weather . go check available travel web site find think incredible deal Four season - $ 200 , credit . never stay Four season curious see like . word , fantastic . first , upgrade suite . expect nice , roomy place . get huge place , large living room large bedroom . large bathroom bedroom something never see , half bath living room . love huge LCD television living room still large one bedroom . floor ceiling window give dramatic cast suite , even though probably not good area view . decor modern , extreme . everything suite high quality fit finish excellent - squeaky door loud , obnoxious heating unit . finally , bed good ' ve sleep towel bathroom plush wonderful . service excellent . quickly bring refrigerator need store medicine . Valet bell staff quick pleasant . pricey ( 2 pancake 2 OJ 's $ 58 - luxury hotel , ) , pancake well ever . want leave . delightful . good , fact , get similar deal future , intend go several time year relax enjoy room . be frugal , indulgence worth splurge definitely one . 
 Feb 19 2009 	 Great Hotel -- little away craziness 	 Four Seasons Las Vegas little away centre action . however short cab ride away walk hot . however , look excellent service quality peach quiet , place stay . the pool area Four Seasons lovely . room perfect -- spectacular view strip view room . gym also great . love hotel ! ! 
 Feb 6 2009 	 worth view tranquility 	 book hotel reading review could ignore . 1 hotel Vegas . decide splash premier strip view room get marry Vegas want stay extra special . good point ; view room ( floor ceiling window ) amazing especially night . hotel quiet relax . quiet hotel ever stay . Vegas crazy lovely walk & quot ; secret & quot ; door hectic Mandalay Bay Four Seasons away hustle bustle . hotel immaculate , clean staff polite . stress free check , need long flight ( notice massive queue hotel check ) important money object , book hotel . however .................. location wise , southern hotel strip ideal ( taxis quite expensive lot traffic ) eat buffet breakfast Verandah well ever although expensive - $ 80 2 we . room service breakfast wedding day $ 50 bagel , toast , grapefruit , coffee orange juice ( receive 1 get charge 2 ) be not worth $ 10 . ring find try get ready wedding ( take nearly hour deliver ) end room service one evening ( choice - Mandalay Bay chaos restaurant queue outside ) good pasta reasonably price although ring twice get collect dish ideal exhausted want go sleep ! nothing free room ( one bottle water tea coffee ) mint mini bar get charge $ 6 ! do not get anything & quot ; special & quot ; hotel ( know getting marry ) disappointing . wedding dress iron hotel ( apparently day service ) collect early Saturday back room Sunday evening panic set . come back stain look however no - one ever come back . take room without plastic cover sure cover ? could say 100 % hotel fault though although apparently inspect garment work . charge $ 75 ironing fee . NB Vegas stay 5 star hotel ( Le Blanc spa ) Mexico . price per night , amazing room / view , inclusive treat well honeymoon . 
