great 	 stay 3 kid . connect room . spacious , quiet , comfortable , nice pool , nice restaurant , great location , good value . nothing complain . 
 nice accomodating 	 stay Park Lane 6 night business . proximity Tube outstanding . concierge front desk always helpful never overbear . stay Room 431 , standard room . view , could not care less . room probably 90 % size room would expect States . travel Europe , know pretty good sized room . everything clean . breakfast , ask conierge send little shop block away North Row . much cheap well breakfast . another review right . lot great restaurant around . enjoy go Marlborough Head pub standard English fare hand - pump beer . everyone nice there . only con : daily charge wireless internet . 2 - 3 extra fee tack roomservice ( delivery charge , tray pickup charge , etc . ) safe travel ! Mark 
 Apr 1 2008 	 great friendly staff 	 Park Lane Marriott across street Hyde Park 75 yard Marble Arch great location . the London subway right outside door well great shopping Oxford Street . room quiet , comfortable large London . staff well train helpful . provide great service . lobby much talk , functional , staff make difference make feel home . Park Lane Marriott good value get , compare hotel London . would stay recomendthis hotel not need 's 's factor . 's importantspend money stay somewhere else . 
 Mar 31 2008 		 show 4 not think wait 40 minute get room call 5 * hotel . also not like tell repeatedly front desk clerk , doorman go find since one desk arrive , go wait cafe attention ( although would relief listening staff lobby complain job ) . not like get wake call . really not like opinion survey place pillow every night . get great deal Priceline be ok . , use big buck otherwise charge hotel well manage . 
 Mar 25 2008 	 Great Hotel .... want go back ! ! 	 daughter stay Marriott Park Lane one night go see Sound Music . arrive Hotel 3 hour check allocate room top floor view Hyde Park Marble Arch straight away . enjoy swim pool follow day visit Gym well . opt Continental Breakfast daughter want cereal toast . pleased see charge 1 breakfast though fair . staff friendly attentive every need . can not wait go back . walk back Hotel Palladium sound music show ( fantastic show ! ! ) take 20 min . shop close , include Selfridges . fantastic time would recommend woman travel alone young child consider Marriott Park Lane will not disappoint . 
 Mar 3 2008 	 great location average Marriott 	 Marriott Park Lane right next Marble Arch tube station , across Hyde Park behind Oxford St. could ask well location London . however , room small although clean update , Marriott ' ve stay , price much high average Marriott . overall think despite wonderful location , hotel good value might well stay somewhere outskirt London commute city center tube bus . might even money leave enjoy wonderful city ! 
 Feb 28 2008 	 lovely stay 	 return 3 night stay . Hotel centrally locate underground , shopping , sightseeing , etc . room large Marriott room comfortable bed . hotel boutique feel rather grand Park Lane hotel add comfort . entire staff wonderful ! 
 Feb 15 2008 	 Great Hotel 	 hotel far good one stay Europe . two friend ( mid 20 's ) stay 3 night go Amsterdam . staff friendly helpful everything tell we pub go get around city . bartender also nice . even show make Jeager Bombs . keep bar open we one night even though supposed close already . room nice great view huge bathroom . great location access Underground Hyde Park within second front door . one night throw football front Hotel 4 morning door guy join we . Australia never throw football show . would think hotel would frown Hotel friendly customer like . go back London , would without doubt stay . 
 Feb 11 2008 	 lovely stay Park Lane 	 stay one night Marriott Park Lane , two child , interconnect room . staff welcome , room large , clean comfortable , ( especially bed ) pool excellent . food great , inclusive breakfast fabulous , hot food pancake ! generally feel whole experience would want , location near Oxford St Hyde Park lovely . 
 Feb 1 2008 	 great Stay London 	 follow week Paris visit family outside London , husband decide last minute go London remain 3 night 2 week holiday . book last minute name price website incredibly pleased luck ! price pay less half advertised rate incredible 5 star hotel ! staff could not enough we , even though hotel completely full . bed terribly comfy , room large , everything top notch . however , 5 star hotel London , everything site expensive . in - room wi - fi 25 pound per day , one cocktail one tonic water bar nearly 60 usd price room service & quot ; full English & quot ; breakfast , 25 pound ! ! nearly 60 usd pp ! ! ! ! ! thankfully , concierge happily point we toward tiny cafe step hotel 's entrance delicious full English , well snack sammie lunch , 6 pound breakfast ... full taxi driver construction worker , & quot ; real & quot ; London ! hotel across tube station well park Marble Arch . tourist , one double decker bus tour stop front hotel , convenient ! location , convenience luxury , certainly stay . 
 Jan 17 2008 	 Location Comfort 	 stay 2 night go Amsterdam . use point upgrade room . nice location bit high cost would expect . wait hour check get room really good . get room well enjoy stay . might try another hotel next trip Europe really complaint . concerige good give we recommendation thing see . cost taxi Heathrow $ 150 usd costly maybe next time let hotel arrange taxi , scary ride tell driver several time slow . 
 Jan 6 2008 	 great Stay Marriott Park Lane 	 great Stay Marriott Park Lane New Years 4 night . recommend priceline great deal hotel . hotel locate corner Park Lane Oxford street . Hyde Park across street . shopping galore Oxford street good place eat within short walking distance hotel . staff wonderful -- everyone friendly helpful departments.the room wonderful england europe . roomy , clean , coffe tea facility ( free ) comfy king size bed great bathrrom . in - room safe , robe , heat towel . ice machine hall . good location use tube -- half block marble arch tube connection circle line believe -- easy change Bond street jubilee line green park ( buckingham palace ) westminister ( big ben westminister abbey ) picadilly line knightsbridge ( harrod 's ) one way picadilly cicus covent garden way ) .. also easy point central London . $ 10 usd day pass also 3 day pass save $ $ $ . try avoid tube rush hour get mighty crowded stop pretty close . Taxi 's also easy get almost everywhere London . efficient friendly . the dollar go far England London especially , look bargain like wonderful time money New York chicago . try Marriott Park lane , know enjoy . one note : pay way ( like we ) business account would recommend upgrade executive club $ 100 extra day worth opinion . however , ask upgrade park view room run $ 50 . bad regular room fine well . enjoy ! ! 
 Jan 2 2008 	 great location good service 	 book place Priceline $ 200 / night good price consider hotel around normal price $ 550 / night . check 5 day New Year check New Years day . location corner Park Lane Oxford mile pure shopping . marble arch front hotel Marble Arch Underground station front hotel . also across street Hyde Park tour bus pick . service knowledge concierge desk awesome . helpful . several staff member go way help we . room good size nice bed ... especially compare other experience across Europe . bad experience although come clean room twice day couple day forgot bring we new soap face clothe . call instance , first bring we fresh face clothe 2nd time never show go find maid retrieve . great stay good service . try hotel look nice . 
 Dec 19 2007 	 love 	 great hotel . hotel room large unusual european standard . service average especially conceriage go way we . highly recommend 
 Nov 19 2007 	 ideal location great service 	 stayed Marriott point use want central London location , ideally shop . can not ask well shopping location hotel , right corner Oxford Street , within walk distance Picadilly Leicester Square , feel inclined . travel London train even walk back Paddington ( Hyde Park way ) .The room large London hotel , everything would expect 5 * Marriott . might say unusually London , service friendly check departure . this hotel not wow factor like 5 * hotel , ' m sure would stay part money , nothing fault hotel , location , service , decor good . 
 Nov 13 2007 	 great hotel great location 	 book hotel Priceline get decent rate around $ 200 / night October 21 24.as reviewer point , hotel close bus stop Tube . able get pretty much everywhere need public transport . our room good sized comfortable king bed . the staff friendly helpful . although would not good deal book Priceline , be hopfull will able get hotel come back next year . 
 Nov 13 2007 	 Great Hotel tour London 	 stay hotel November 8 - 12 two daughter , 14 10 , Priceline , suggest reviewer , book excellent price $ 200 per night . upon check , GM Gavin , mention another reviewer , excellent knowledgeable helpful . room stay large room two single bed cot bring 10 year old . bedding bed comfortable . room locate second floor , view , miss . room clean , comfortable nicely decorate , bathroom also large clean comfortable heated towel bar . location hotel perfect sightseeing . Marble arch tube station bus stop step away . hotel beautiful indoor pool daughter love , well beautiful gym . staff courteous helpful . would definitely stay recommend hotel friend family . 
 Nov 10 2007 	 Nice hotel great location 	 Park Lane Marriott nice property Marriott portfolio ' m sure would check . location superb , directly across street Marble Arch Speakers Corner Hyde Park . subway station 20 second doorway ( 5 second take large step ) .The check - in smooth front desk staff extremely friendly . staff great , especially concerige . the major disappointment room . large anticipate , contain two single bed . not sleep single 25 year . expect , certainly room , two twin . make matter bad , bed caster move slight shove , sit put shoe move away wall . single not terribly comfortable either , may add . mine droop middle . bathroom nice contain hot towel rack . good part heat mirror , steam matter foggy room get . I eat restaurant pay slightly access Executive Lounge . lounge well stock nicely decorate oddly hot breakfast offering include sausage bacon egg ( ? ) . espresso machine nice touch . I ' m sure whether would stay . location great , Grosvenor Marriott block away bit upscale . 
 Oct 31 2007 	 Concierge Superb 	 also book hotel via Priceline . first little disappointed location want close theatre district hope Saint Martins Lane . fear short - live contact hotel room request receive pleasant e - mail GM . moment check moment leave service excellent , Staff well train pleasant . Gavin concierge probably one good concierge be ever deal . would definitely stay highly recommend . 
 Oct 24 2007 	 Excellent Priceline Win 	 Bid Priceline get two night hotel $ 201 + tax / fee per night . upon checkin give huge gorgeous room unfortunately 4th floor , smoking floor . ask immediately move non - smoking room place one floor small room , smell much well . the bed heavenly , bath adequately sized clean , staff wonderful location convenient transport shopping . I would hesistate book hotel . unlike Priceline win ( Le Meridien Piccadilly ) feel place inferior room due nature booking , place Marriott Park Lane top list bid Mayfair district . 
 Oct 9 2007 	 great service lovely property 	 spend 3 night book also Priceline 240 $ per night find great value ! ! ! ! ! give nice twin 1st floor view ( not care ) . room lovely though small side , expect spacious room . housekeeping great , provide we additional fluffy towel hot chocolate . everything room work . thing not like - could not manage open window . the staff really great ! everyone friendly helpful , especially bellboy / porter , reception housekeeping staff . course LOCATION could not beat ! next stay will try book hotel ! 
 Sep 30 2007 	 terrific hotel visit London 	 terrific hotel visit London . book two room four day Priceline $ 250 per night include tax , consider quality location hotel , cost hotel London , bargain . location hotel excellent . hotel right across Hyde Park near Marble Arch . block Oxford street half block Marble Arch tube station . location beat get around London . hotel much 5 start hotel represent . room tastefully do , extremely comfortable . one room large London standard one fairly normal size . look hotel floor plan back door , room vary size layout . ask large room book ask upgrade large room check . room small balcony look Hyde Park & gt ; ask one one large room . room look small light well room 15 foot across . make sure get one , care view . room well decorate comfortable . bed bed excellent , seamless king bed . bathroom excellent well sized . staff friendly helpful direct us destination . hotel pool exercise facility basement , overprice business center . need access internet , go couple block Oxford Street internet cafe . Priceline seem arrangement Marriott . well worth try Priceline book hotel discount . consider quality location hotel well worth consider visit London . 
 Sep 29 2007 	 Amazing Hotel 	 stay last 2 day 2 week trip amazing . spacious room clean nice . bed super comfortable make hard get . staff really really friendly helpful - take bag get early room come back later night . concierge friendly help find restaurant , make reservation , etc . 1 min walk marble arch tube station . bar nice resonably price part . also around corner slew souvenir shop whatever last minute thing need friend / family . look clothe shopping - souvenir shop street big clothing shop - can not remember name will know see - million crazy woman go grab clothe - faint heart . price pretty good - wife get pea - coat however spell 15pounds/ 30 dollar . can not say bad thing hotel except entrance little odd - 's side entrance hotel - not grand entrance . I would recommend hotel everyone . 
 Sep 12 2007 	 great location need facelift 	 stay Marriott Park Lane 3 different occasion past several year , recent July , 2007 . love location , staff generally polite responsive . lobby small , bit congested . bar cozy , restaurant nice , though scad well dining option within 5 minute walk property . Executive Lounge ( poorly , opinion ) locate lobby level . water , soft drink light snack serve access . room show sign hard use . wallpaper suite rip , connect door lock break , bed sag furniture generally tired look . use point trip could not complain , would sorely disappoint pay $ 600 - 800 night room . 
 Sep 1 2007 	 Loved hotel 	 stay one night enjoy every second it . from moment check late check reception allow we without even blink eye lid , ourstay wonderful . the room spacious lovely bed soooo ... comfy especially extra pillow . great indoor heat pool fitness room ... girl breakfast room lovely ... mention weather great immediately take note pad tell forecast follow day .... 's first time ' ve stay 5 star hotel London actually expect hotel staff little snooty pleasantly surprised really helpful .... fantastic location right Marble Arch station corner Oxford street Hyde Park .... use Marriott award certificate stay , ... would definitely recommend hotel ... 
 Aug 25 2007 	 Marriot - Park Lane - London - great hotel 	 London weekend ago travel one child , book room Priceline on - line auction system . great luck book Marriott Park Lane . hotel locate central part London , near tube , shop far nightlife theatre . the room large spacious , staff go way helpful make matter complete sun 3 day stay London . I would gladly go back hotel , suitale work pleasure travel . 
 Aug 24 2007 	 great location 	 recently book two room 4 night Park Lane . good location . Marble Arch tube stop corner . double decker bus also corner , convenient . use Marriott point stay , include breakfast . food good . make pancake french toast request . one room King size bed small face wall build next hotel . view . room two double bed quite large , also face wall next door building . since busy intersection , quiet room blessing . the trouble hotel personnel speak English . accent hard understand . Daniel , Concierge helpful . would recommend Marriot London stay would stay could get nice room view . London expensive pound 2:1 dollar . find inexpensive restaurant eat . EAT , Pret , ASK within walk distance hotel . buy ticket Tower London line go- avoid long line get . 
 Aug 20 2007 	 comfortable great staff 	 back week London vacation . use miles room , great room . the bed comfortable , high thread count sheet . nice ! desk plugs american electronics , great laptop . executive center downstair good continental breakfast sausage bacon , free wi fi exec center . Great Fresh squeeze OJ ! find staff friendly helpful . totally bust concierge singing & quot ; walk sunshine & quot ; katrina wave late one nite saunter . funny , good see staff lay back , yet accomdate time . the bar lay well , bartender great mind puzzel ponder drink . tube stop ( Central Line ) right outside hotel , get around easy . tourist likely however want jump picadilly line , hyde park station 1/3 mile walk . I ' m happy recomend hotel . will likely stay next time go fun . 
 Aug 8 2007 	 Great Place Quick London Weekend 	 UK resident live abroad , stay hotel whenever return visit London . I believe hotel one good location town , immediate access Oxford Street easy cab ride West end attraction restaurant . generally choose go one executive park view room , offer exceptional spacious room large bathroom . even regular room , experience extremely comfortable bed usual amenity . small downside would comment room really tv ( quite badly position early Sunday morning tv viewing ) online check never work ! ! ) .We never try restaurant room service ( would many great restaurant London ) , 140 Park Lane Bar good , good selection cocktail liquorsyes , room rate high compare place world , quality London accommodation need remember – get pay ...... overall , would fully recommend hotel London 
 Aug 2 2007 	 great location ; complaint 	 stay weekend stop head back state . location great -- right across Hyde Park next Marble Arch tube station , convenient . tour bus also stop nearby ( , depend preference , good bad ... ) . location central , also busy . room reasonably well appoint -- everything work well , late plasma tv , etc . also huge , comfortable 1 2 people ( king bed 4th floor ) .Bed quite comfortable , good shower . internet access pricey , however -- 15 pound / day . 
 Jun 17 2007 	 enjoy recent 5 - night stay 	 quite enjoy hotel , two primary reason : room nicer & amp ; spacious ' standard ' find London . two , business pay way . London expensive , hotel seem high side ... service - friendly attentive . although staffer bite trouble english . Lounge / Restaurant - bar service friendly , incredibly slow ( understaffed ? ) . good rye Canadian Club ! ? food , never eat hotel restaurant breakfast . room - mention , well appoint roomy . bed slightly average . bathroom small , work . notice much hallway room noise . window 2nd floor view whatsover comment street noise thru window . location - good access park , shopping , Paddington station , several good restaurant / pub area . bit hike visit touristy Westminster area , maybe be good thing ? 
 Jun 15 2007 	 Posh ( UK ) Great Location 	 hotel locate posh street ( Park Lane ) nice location - near shop right tube . room large comfortable , pool healthclub excellent . nice atmosphere staff helpful . I agree previous review regard downsides:1 . expensive2 . sometimes confused Marriott Marble arch3 . tv channel selection ok . they not wireless interent access yet , high speed connection expensive - work $ 30 / day last visit . business center use computer buy time card . this prefer hotel London , although mention , pricey . 
 May 1 2007 	 nice hotel other 	 absolutely lovely hotel . problem need lovely bank account balance sort vip status truly care . arrive late 4/23 find & quot ; room inn & quot ; . not even find place walk we yet , dishearten . manager duty send we bar get complimentary drink figure . round whilst find place . news upon arrival annoying go we hotel hop go , move hotel hotel . miraculously , find we room hotel cryptic & quot ; call States & quot ; ... dunno , matter get room . accessible room , make spacious , not bad . front desk staff member , Homer , gracious . rest front desk staff act cool uninterested us rest stay . concierge staff bell staff , though , absolutely fantastic ! rate include breakfast , good idea get . breakfast staff need work attentiveness . pain get come give we coffee / tea toast . buffet selection not bad , stay away & quot ; scrambled & quot ; egg ( look like porridge ) . gross ! instead , order egg make order everyday ( include buffet price ) . belgian waffle great ( also include ) . evening staff bar restaurant , hand , WONDERFUL . yes , bit language issue , not native english speaker . interact culture part european experience . worth figure need clear order communicate : ) room nice ! get follow complimentary thing : fresh fruit tray , 2 beer , Walker 's Shortbread cookie ( replace daily eat ) , lovely box full tea , coffee , cocoa , creamer . GREAT plug - in tea kettle use every night . mini fridge space personal item ( unique nice ! ) . CAREFUL jostle thing ; get charge nut hit fridge door ( front desk take bill ) . bed new Marriott bedding package , be comfortable . light confuse heck : many switch control many light ! in - room safe GREAT . tv choice AWFUL ! need channel non - british english speaker . the hotel location convenient tourist want Underground access ( be right outside front door around corner ) access tour operator ( Big Bus Company Original Tour Company right across street Hyde Park ) . be great , horrible dining choice Overall Tourist experience . hotel 's menu choice ok . 's italian restaurant , Fino 's , across street ( bad ) , expensive asian restaurant , Taman Gang , around corner right Underground station . 's also Sainsbury 's Express across Oxford Street , nice want get sandwich grocery tidbit . , virtually place eat . good feel sort trap . indoor pool nice , gym adequate . Executive Lounge nice well . would not stay many place stay new experience . ok first time London . 
 Apr 12 2007 	 great location Great hotel stay business 	 great location Oxford Street , across Hyde Park near tube . hotel update room , great service good set business travel . expensive , 5 star hotel London cheap ? can not go wrong unless look bargain . 
 Mar 19 2007 	 quite nice little expensive 	 wife stay Saturday night Hotel seem busy , door staff porter good check - in normal . lobby impressive smallish hotel accomodation important . room size would expect major city , tasteful great bedding good amenity . comfotable back hotel nice peaceful . breakfast restaurant good quality produce service ok include room rate little expensive £ 21 buffet . locaton Marble Arch good hardly Park Lane price reflect . overall reasonable standard pleasant stay . 
 Feb 10 2007 	 breakfast poor problem 	 stay 3 day business , room clean comfortable door staff helpful . the service breakfast awful , staff problem understand english . food overcook ask want toat . one colleague accost prostitute bar evening much amusement bar staff . great Location standard five star hotel 
 Dec 23 2006 	 Mixed Feelings Hotels 	 recent stay hotel leave mixed feeling . on positive side find room rather spacious well maintain comfortable Marriott bedding package . location good . however negative side service uninterested check - in well check - out higly unimpresse lobby seem take age . hardly natural light room one window building right accross street . Marriott Reward point stay post gold elite room upgrade happen . first - timer Marriott Rewards - maybe lucky far . in general would unfair say bad hotel - sure not . room quality localtion certainly average . also surely not make feel welcome seem take much interested . give rate charge room alone not probably would not stay . 
 Oct 8 2006 	 definitely five star 	 Marriot Rewards Member use point 6 night stay hotel wife I.I immediately dismay appearance lobby entry . spend stay London truly five star hotel like Dorchester Inn Park , lobby nothing area 1000 square foot realitively tiny reception . the room give second floor view wall adjacent build 10 foot away . the style room layout typically american ; lack character reasonable size small bathroom . main complaint follows:1 . room clean turn service inconsistant.2 . waiter restaurant , although considerate , Eastern Europe could well understand english.3 . amount point give room satisfactory , hotel rating far optimistic.4 . bar intergral part one dining room therefore table close bar reek tobacco odor . the positive : Location , Pool Fitness Room . 
 Oct 2 2006 	 expensive ...... 	 standard far cheap Marriott property worldwide . room cost £ 275 ( $ 400 ! ! ! ) include breakfast . partner stay two night give room 436 - small , much get around bed , careful negotiate tv cabinet require . room clearly proper double would acceptable live area junior suite . window open , tv need upgrade , armchair , desk chair . service check unfriendly - welcome even smile , woman desk , although concierge staff bell boy helpful courteous . I stay many Marriott 's loyal brand stay . leave dinner suit hotel , find housekeeping - show definate lack usual Marriott standard . for money , stay somewhere else . 
 Sep 5 2006 	 Poor Service - Run 	 stay last year love . unfortunately , property well kempt since . staff rather indifferent you- unless drive Bentley . pool nice miss tile furnifture rusty . feel unwelcomed underwelmed . Save 500USD per night find nice B & amp ; b . 
 Aug 26 2006 	 never 	 experience Marriott Park Lane meet expectation . will not stay - many good hotel London bother one . first , upon check - in suppose get room upgrade . unfortunately possible , ( front desk explain we ) , several large family Middle East book 3 upper floor hotel , suite . room service menu Middle Eastern speciality . end room low floor view wall . would nice know advance hotel especially cater wealthy Middle Eastern clientele part group , will not get good room service . see woman drape head toe burqas would unsettling , stay . also , service breakfast room slow coffee bad . end walk nearby starbuck every morning . positive side , room decent size location pretty good . pay , overall good experience . 
 Aug 12 2006 	 Good Rooms Decent Service 	 London Marriott Park Lane offer comfortable place stay downtown London . convenient locate right near Marble Arch Tube Station . stay one busy time year , Farnborough Air Show still excellent service attentive staff . high regard go concierge staff great job make sure guest well take care of . if somehow get room hotel 150 - 200 pound night , book . definitely enjoy stay . 
 Aug 7 2006 	 Great Stay 	 not know not write review yet , last stay ( probably stay # 18 ) figure time write review . travel London frequently almost always stay Park Lane . 's location convenient everything- either 20 - minute walk Whitehall 5 - minute cab ride . be right next Oxford street across Hyde Park Knightsbridge shopper . the hotel room small size ( room London miniscule ) clean well appoint . fitness room pool wonderful well . the real difference though staff- exceptional work hard make stay comfortable . hear honeymoon immediately upgrade room send bottle champagne strawberry without say word . I love stay there- 's luxurious hotel world 's definitely nice will well take care of . and person complain soda machines- 's Sainsbury 's market across street could buy soda much cheap hotel ( well snack grocery ) . 
 Jul 15 2006 	 great hotel 	 stay week dubious location give London traffic fear prove unfounded . welcome well run establishment : get room quiet air conditioning excellent . meal restaurant breakfast afternoon tea fine ; aftrenoon tea delicious . staff helpful efficient never face . great location Oxfrod Street convenient via cab walk Knightsbridge . say impressed hotel stay 
 Jul 11 2006 	 Nicest Marriot ever stay ! 	 great place ! use point stay two night . comfortable , clean new . negative room A / C would get cool enough us - hot sunny day . concierge floor nice executive lounge gold card member drink , continental breakfast snack . nice room nice layout food beverage . 
 Jul 10 2006 	 ? 	 ice machine soda machine . way expensive . Conceige say Marriott Park Lane sure right hotel ? would recomend hotel . 
 Jul 8 2006 	 wonderful 	 stay hotel use point 3 night , three room point . please every aspect hotel , room large bathroom clean , pool healthclub great restaurant quite good . entire staff friendly helpful could please . travel London fairly often stay many well hotel yet feel sure London hotel . 
 Jul 7 2006 	 real Marble Arch Marriott 	 although Marriott call Park Lane .. really right marble arch front entrance quiet side street , North Row . room spacious modern huge comfie bed fluffy pillow duvet . big bathroom plenty towel make deluxe hotel . across street Hyde Park bus tube stop step away . take walk tour Mayfair , fascinating . British Museum 10 minute bus ride well worth visit . couple good pub wine bar within block . helpful staff beautiful spa - like swimming pool make top notch hotel Marriott chain . 
 Jul 7 2006 	 Excellent area 	 Park Lane Marriott wonderful place stay London . room extremely large enough room one adult two teenager . the room bright comfortable , simply elegant . hotel bar lively night , good place get light dinner 11:00 . breakfast restaurant pleasant experience . the staff could friendly helpful direction , dining recommendation billing question . the location great , tube stop right corner , make hotel accessible virtually anywhere London . neighborhood nice , restaurant amenity right front door . I little hesitant stay major chain hotel european city , one nice charming hotel ever visit . pool also lovely , relax large , rarely crowd . would highly recommend hotel . 
 Jun 5 2006 	 Fabulous 	 really could not fault hotel way . room spacious extremely comfortable . staff could not pleasant & amp ; helpful . breakfast amazing , much choice . say ? simply fabulous ! 
 Jun 2 2006 	 absolutely brilliant ! - Beautiful Property Wonderful Staff 	 mother fortunate choose stay Marriott Park Lane five night early May . stay many luxury property , find hotel competitive respect . as mother old not sure energy level trip , wisely upgrade room Executive Lounge Privileges suggestion Matthew Kent , Guest Services Manager . although locate floor lobby , Executive Lounge wonderful spot relax day complimentary daily food presentation tremendous . although two bed room hotel twin ( rather double queen ) bed , find room spacious - extremely luxurious large bathroom separate shower long six foot soak tub . we American Mother 's Day Brunch Hotel Restaurant impressed quality presentation food . pool downstair truly magnificent - comparable Ritz Hotel Paris . I add special mention Gavin Concierge Door Staff . take great care us doorman make sure mother always make safely taxis . this hotel special - find similar luxury boutique property small scale well personal attention staff . please contact question . 
 May 21 2006 	 fine hotel 	 convenient location - especially shop Selfridges rest Oxford Street . tube station Marble Arch practically door . staff encounter friendly efficient check check . room excellent ( club level - give access executive lounge look nice free snack stay smoking allow ) . room large London standard view Marble Arch corner Hyde Park . new style King size bed large extremely comfortable . lovely duvet plenty high quality pillow . bathroom spotless bath shower excellent . pool basement good mood light steam room . breakfast buffet good quality swift service . like coffee however . double glaze excellent , street noise although ask window unlocked allow fresh air noice ! highly recommend hotel . 
 Apr 3 2006 	 great family stay 	 stay 5 night 2 boy spring break vacation . room huge european standard nice view Big Ben Thames . room well keep , huge walkin closet huge bathroom . front desk concierge helpful . London Aquarium , gaming arcade McDonalds building hotel , great kid . Waterloo station 4 minute hotel , Eurostar train leave . take advantage make day trip Paris . a pretty expensive hotel , beautiful room central many activity London . 
 Mar 27 2006 	 great hotel shame staff 	 hotel lovely , new , plush surrounding , bedroom massive UK hotel , let alone London ! whole ambience really special . however , front house staff really let hotel . concierge reception surly border rude , unhelpful . receptionist upon check , however , friendly , one cleaner corridor smiley cheerful . however , first people see reception / concierge , create negative first impression . 
 Mar 5 2006 	 Superb Birthday Stay 	 book hotel Birthday stay wife , request early check - in . arrive 12 noon check expect able access room bag put leave luggage , surprise give upgrade ( might helped member Marriott reward program ) .the receptionist professional personally take we room . upgrade suite , world . from Suite entrance hall door lead huge living room overlook Marble Arch , another door entrance hall lead Large Bedroom view Marble Arch Hyde Park . two bathroom , one entrance hall Living Room part Bedroom Area . bathroom attach Bedroom large , seperate bath shower . the Bed comfortable hotel , room well sound proof city traffic blackout curtain make peaceful night sleep . we dinner hotel 's 140 restaurant , food excellent good value use UK toptable website restaurant booking service . we swam superb hotel swimming pool ( picture marriott hotel 's website accurate ) , great breakfast . the minor caution room rate include 17.5 % vat ( tax ) , know stay . I pre - ordered chocolate cover strawberry wife , not room due upgrade , assure would later , chase arrive deliver surprise complimentary birthday cake . highly recommend hotel type stay , family city break romantic weekend away . 
 Jan 25 2006 	 one good 	 Stayed day last December , room beautiful modern service outstanding , excellent breakfast bar . highly recommend worth penny pay compare hotel maybe charge less offer poor quality service . 
 Jan 21 2006 	 Fantastic Find London 	 husband stay week Marriott Park Lane tour London . pleasantly surprised choice . staff extremely friendly go way helpful . refreshing stay upscale hotel staff fun friendly instead normal snobbish type tend employ sort hotel . room somewhat small , clean , quiet cozy . location great easy access tube , double - decker bus stop right across street within walk distance Hyde Park ( across street ) . also great little restaurant / delis within walk distance hotel . ask concierge ' m sure will happy point right direction . the thing slightly disappointing quality bed room - not really comfortable pillow average . would expect bit upscale hotel . however , would definitely stay ! 
 Jan 4 2006 	 fantastic staff Marriott Park Lane 	 staff incredibly wonderful , friendly easy ask question give advice . two join room huge well maintain . love room tea service , bathtub , huge English Breakfast buffet ( especially waffle sausage ) . pool perfect come handy great break kid . Kudos concierge staff go beyond honest advice . hat Mr. Johnson help keep electronic game charge ! want hotel great access Tube ( 100 yard away ) , shop ( selfridge 1/4 mile away ) plus quiet walk Hyde Park , place ! 
 Nov 27 2005 	 Loved Marriott London Park Lane 	 family return US London . 2 connect room hotel think everything perfect . service exceptional start check - in efficient friendly . room top notch large - huge european standard . bathroom spotless room . bathroom modern lot marble . concierge staff terrific - Gavin , Kieran , Philip David knowledgeable sensitive request , expense . always give least 2 option everything . definitely great hotel great location . would not stay anywhere else ! 
 Nov 14 2005 	 Good Hotel 	 nice hotel attentive staff . decor wonderful room give large room . overall , would recommend hotel would definiately stay future . 
 Jun 30 2005 	 Marriott Park Lane wonderful 	 Truely one nice hotel ever . beautiful , modern clean , great service . confuse Marriotts near not nice . one Speaker 's Corner Hyde Park- near Marbel Arche . indoor pool life - saver late London Heat wave . 
 Jun 12 2005 	 love 	 great hotel great location . service excellent . room clean modern spacious . nice view Hyde Park Marble Arch . Loved would definately go back . 
 Apr 17 2005 	 Gem Hotel ! 	 stay London Marriott Park Lane April 8th April 13th , absolutely thrilled experience . hotel centrally locate across Hyde Park conjunction Park Lane Oxford , within easy walk distance attraction . not mood explore city foot , Marble Arch tube station literally step away hotel . super power - walker , find Westminster Abbey , Buckingham Palace , St. James Palace , Kensington Palace , Harrods , Victoria & amp ; Albert Museum Green , St. James , Hyde Parks well within comfortable walking distance . everything else , tube mere step away , easily navigable . , location hotel perfect . hotel lovely , clean , modern , well - maintain , great amenity . staff customer - service orient , thankfully lack snootiness lot british hotel personnel seem ooze pore . room large ( London standard ) , neat pin , colorful , quiet ( , London / city standard ) , comfortable hotel bed ' ve ever sleep . bathroom , huge , not cramp clean whistle . feature marble vanity amazingly huge deep bathtub ( 6 foot tall , could stretch full totally submerge ) hand - hold shower . utter stickler cleanliness , aspect room bathroom beyond reproach . clean staff dedicate friendly , good ' ve ever encounter . one small critique could offer , consider minor one : hallway funny , musty stinky smell sweep , funky odor clear not persistent . people imagine like hotel would search british , old - fashioned historic property . old Grand Dame like London Sheraton , personally charm age facility , matter story might . honestly , hotel surpass expectation , think superb value , thing consider . great combo - reliability chain hotel , small boutique touch personal attention . whenever travel London , stay London Marriott Park Lane . ' ve business loyalty , be say lot . 
 Apr 11 2005 	 good Humor Park Lane ! 	 enjoy 3 night stay Feb 2005 Marriott Park Lane . although hope stay close river London Eye area , satisfied location Marriott . tube stop right outside front door , double decker tour bus also stand across street . first time visitor London find bus terrific way view sight around town . price right hop hop feature convenient . staff Marriott pleasant funny ! concierge doorman relax friendly , instead snooty proper - refreshing ! ! restaurant pretty good , nice view park happen get window seat . room small , face rear hotel , look tired old building , vent . however , face street park would make noisy night time experience ! bed extremely comfortable bath squeaky clean marble ! would stay , price right . 
