far 	 great fortune stay Intercontinental Park Lane Hotel , London , last 2 day . Medical Conference , stay hotel ( well cost conference ) pay Abbott Pharmaceuticals ( ' thank ' help produce drug protocol ) . Conference hold ExCel ; 10 stop DLR another 5 underground - leave Conference grumbling distance travel get hotel ! well .... would travel twice distance hotel ! arrive Reception 7 pm , horrible queue check - in , meet smile face lady book . make absolutely reference fact give luxury suite - simply give room ( suite ) key , informed 1st floor ask require anyone carry bag . decline offer carrier ( bag not posh , not want embarrassed ! ) take lift . say , wonder door say ' spa Intercontinental ' get , exhausted throw body door . open door expect see exactly one find every hotel - bed close door , tray near door kettle , trouser press etc . .. oh . actually greet open door opulence ! ! shine black tile floor , gleam wooden door . put light , still sure look , see door front , assume door leave bedspace - , ... ! stunning walk - in wardrobe , bar - area prior ! loo large standard downstairs toilet - area 1st close door . .... open heavy double - door face , find ENORMOUS bedroom , beautiful bed , curve sofa one end , chaisse - longue . Glass finishing everywhere , , think have see , another door huge bathroom illuminate Spa , wet room rainforest shower another loo ! view window ParkLane Picadilly Hyde Park ( splendid German Xmas Market ! ) one main reason write review stay lot place lifetime ; ' ve stun 5 - star hotel SWitzerland skiing , across Europe , Americas wide world . hotel profess probably aspire , none quite deliver , opinion , profess . intercontinental seem play description ! know not expect opulent stay ( 3 - day conference work ! ) expectation fairly low ; however , since ' ve return home find description Spa suite website ! room , incidentally , 106 . really lucky , believe Pharm Co over - subscribe , therefore upgrade . however , seem wonderful staff take enormous pride ensure stay match luxury stay thereafter ! not grumpy face amongst ! lovely lady offer ' turn ' , cheerful Kimberley sort extra night - ( ! ) yes , stay hotel staff see remain ! HUGELY impress night security man , John . unfortunate temporary ' loss ' handbag bar one evening like shot , despite incident hotel . scrutinise CCTV find bag ; remember perfect gentleman ( tell ex - military ; - however think impeccable manner credit personality , rather military background , well hotel ) oh , way , bag mislay - course ! finally , We d 25th Nov , beautifully relax illuminated Jacuzzi bathroom , come ever - so - reluctant check , could believe lovely lady behind desk ( wish have get name - think French ) offer help carry bag outside , also insist leave post come outside walk end road could show Tube Station ! never care attention yet , say , stay high quality hotel life , generally ski leisure . I highly impress wonderful place would give eye - tooth return one day . however , sadly , not think would ever able stay Spa Suite , room 106 ! memory ! thank Intercontinental Park Lane unmatchable hospitality . would love could put picture 106 site , , great staff , really proud ! kind regardslouanne mccabewinchesterhampshireuk 
 Jun 1 2009 	 really Best ! 	 wonderful experience . stay Intercontinental celebrate mother 's birthday . manager surprise lovely bit birthday cake plate fruit room . we arrive 10:00 a.m. find room available we ! room spacious , two bed , large bath . everything clean , operational , well thought . iron board , two robe , Elemenis toiletry , large , flat screen tv , Bose radio , effective black drape . room bath spotless . tea service , mini bar , safe . plenty storage , plenty room move around . comfy chair foot rest . hear street noise , noise hall neighboring room , include nothing door connect inside next room . from moment walk staff clearly make we feel welcome comfortable . service executive lounge attentive friendly . two free computer use leisure . breakfast good variety tasty . we absolutely stay intercontinental . pleasure stay pamper guest . 
 May 24 2009 	 Fantastic Trip ! 	 stay 2 night 22 - 24 May 09 . Wrote letter advance state silverwedde 50th birthday . do not expect anything , knock receptionist congartulate double celebration ! upgrade Superior room , hotel great , breakfast superb . if stay long wuld try Sundy Brunch , £ 40 3 course Champagne drink ! good deal London surely.would gombacktomorrow . 
 May 10 2009 	 great location comfortable friendly 	 room great -- nicely appoint bathroom amazing shower . staff fantastic , easy get heathrow . 10 - 15 minute walk bond street / picadilly 
 Apr 29 2009 	 perfect - parfait 	 room upgrade -wonderful service - price / quality 10/10 
 Apr 27 2009 	 Outstanding Hotel 	 husband stay hotel two night , along parent actually England , extremely happy hotel . service excellent , room clean nice furnishing , location ideal . stay numerous InterContinentals , find London Park Lane one well - especially price . would recommend hotel first time visitor London people spend lot time London . 
 Apr 23 2009 	 4.5 star ! Good Location Quiet Rooms Pleasant Staff 	 want rate hotel & quot ; 4.5 & quot ; TripAdvisor , 's option . perfect rating also question , & quot ; 4 & quot ; , regret . would like single special praise pleasant helpful attitude entire staff . would collectively rate one good ' ve encounter . this hotel classify five - star property , review take fact account . feel quite & quot ; classic & quot ; five - star quality ; be George V , Berkeley , Four Seasons . luckily , pay four - star price . good : location , room quality , bathroom , staff interaction , quiet roomnot good : insult cost incidental ( wi - fi , minibar , phone ) , service hiccup , wi - fi accessi room eighth floor April 2009 ( Easter ) , book opaque provider Hotwire , pay average usd $ 175 per night , inclusive . a month two check - in , send personal letter manager indicate several special request . shock discover request accomodate ( non - smoking , high floor , early check - in ) even though book Hotwire ( Hotwire / Priceline guest often receive less - desirable room hotel ) . also upgrade deluxe room , though request expect it . the interaction ( though necessarily result ) staff always pleasant earnest , detect hint condescension even though ' m kind scruffy traveler . fact , desk staff check could treat well . during stay , service ( though need much attention ) somewhat lacking , might excusable less property , five - star hotel must hold high standard . even get ice bucket room promptly prove challenge . however , incident minor . on flipside , management provide complimentary plate Easter sweet ( separately ) bottle water . the room rather nice ( , context five - star property ) , well - appoint , fussy top . rather small five - star , room still large enough feel less cramp . enough storage space two bag , not room much else wardrobe ( storage provide ) . one would expect five - star , room quite clean . balcony door close , room quiet , never disturb outside noise ( exterior , hallway , neighbor , etc ) .The hotel decent location , Hyde Park Corner tube station close ( although flight stair involve reach station ) . however , many dining / drinking option immediate neighborhood . easy access restaurant pub important , hotel may perfect choice . a brisk 20 minute walk get one Piccadilly , Westminster , famous place London . Hyde Park ( ) next door , Buckingham Palace short walk away , Harrod 's 15 minute foot moment via tube . across road Harrod 's proper ( Brompton ) grocery store like ( ) pick water , bread , drink , whatever keep room . all usual five - star amenity present , include Frette linen , robe , slipper , Bose radio , handily wall - mount Bang & amp ; Olufson television . room large balcony ( love balcony ! ) , could see exterior , many room balcony . the programming international , many language . ESPN ( american sport channel ) available , first time see international travel . british tv channel , along SKY news , CNN , english - language station . several electrical outlet provide , various voltage configuration ( USA , Great Britain , mainland Europe ) .The minibar well - stocked ; price shockingly high . automatic device , guest unable remove item ( store purchase , example ) without charge . careful accidentally remove item . do not use in - room phone either . charge , like incidental hotel , insulting . the bathroom , though small , well - fit ; bathtub traditional hand - hold showerhead always - appreciate & quot ; rainfall & quot ; showerhead well . water quite hot , pressure fine . internet access , however , serious issue , poorly handle property . wi - fi available room ; wi - fi public area . bad , charge internet wi - fi outrageously shamefully high . charge £ 5 ( usd $ 8 stay ) one hour 's worth access , £ 15 ( usd $ 23 ) 24 hour worth . charge wire in - room wi - fi internet service . the public area nice , enjoy ( , expensive ) lounge . comfortable , welcome place . also good macadamia nut ever taste ( serve drink ) . dine either two restaurant , breakfast property . 
 Apr 13 2009 	 love 	 daughter share room four night . comfy bed , easy walk Hyde Park Corner tube station Picadilly line . hotel smell nice , hallway elegant . stay . one drawback , not drawer space , weird ! 
 Apr 12 2009 	 Luxury Hotel 	 visit Intercontinental Park Lane February 09 . stay weekend book meal Gordon Ramseys resturant Murano 's . arrive Friday lunchtime show suite ready . simply divine luxurious . suite could fault , view Aspley House request , extremely clean well stocked bathroom product - elemis . on Friday evening dine Theo Randells resturant hotel - food fabulous service impecable . definately return . follow day sightseeing return hotel . evening dine Murano 's food fabulous service impecable . overall hotel service staff include reception club lounge excellent . would recommend hotel hope return soon . 
 Mar 31 2009 	 Ridiculous 	 try book Intercontinental . family 2 adult 1 child 2 half 1 baby 7 month . tell can not child room . honestly expect put another room age ! ! reservation rude unhelpful . 
 Mar 29 2009 	 Beautiful Hotel 	 stay Intercontinental visit London company Christmas dance . stunning hotel magnificent location corner Hyde Park / Park Lane . friendly efficient check staff - arrive 9:30 ask could store luggage room ready , staff member check we find room allocate we , albeit view inner courtyard . hotel well appoint throughout reception corridor lift deserve 5 * status . room comfortable - massive , visit London stay room ! high quality BOSE TV / Sound system room , write table good wardrobe / storage iron / ing board etc . bathroom modern high quality fitting . bed - wow ! ! ! comfortable . do not meal restaurant can not comment , buffet breakfast good . drink quite expensive , stay 5 * hotel 's expect . would not hesistate recommend hotel anyone 
 Mar 28 2009 	 great location ! good hotel .... 	 get excellent deal hotel Expedia can not beat location . quick walk Green Park tube stop right across Green Park . hotel smell like rose walk , nice touch . room bit small , typical London . portable bed roll son , bring right away . restaurant okay , go one local restaurant pub good english breakfast . complaint television remote end miss twice 5 night trip , right maid clean room . hotel bring new remote take quite awhile locate one . overall though , good experience . 
 Mar 22 2009 	 overprice overrated 	 stay , like , hotel go hill sure . start , be expensive Priority Club not give point book advance rate . charge fortune anything extra , internet access . the room ok clean , bog standard Intercon . gym great . however lift super slow , two break , whole hotel rely one sometimes two lift . take forever . location also great be work city . big snow London , could anything ... without cab really can not hotel ... much well city . fact price , think much nice hotel London stay . 
 Mar 20 2009 	 Pricey worth treat 	 go wife night ! absolutely top class . ' m regular user Intercontinental group hotel one good . bar though bit crap stay long hotel bar anyway ! perfect couple business . 
 Mar 17 2009 	 's happen light ? 	 stay suite 2007 2008 . good hotel , newly renovate ( 06 ? 07 ? ) , clean modern , expecially give hotel ( inside room ) London pretty old . quite area , close underground , taxi always . 5 min walk Hyde Park underground . 15 - 20 min walk Harrods , good walk ( along Hyde Park ) weather nice . definately come back holiday . business hotel , suite stay 2007 ( top floor ) 2008 ( lowerest floor ) pooly light desk lamp joke . move standing lamp ( one two ) next table be still bright enough ( dark wood/ deep colour background ) . struggle work / read write/ , romatic atmosphere 34 - 35 . doubt anyone work candle light 1 hour . seem standard room light colour ( yellow / beige ? ) maybe light work - friendly . 
 Mar 13 2009 	 good hotel stay ever 	 book Intercontinental Park Lane treat husband 's birthday go sale shopping , use free weekend night certificate Ambassador pack . book studio suite , however arrive inform we upgrade luxury suite ( triple upgrade happy ) . butler take we room , absolutely massive , especially consider location overlook Hyde Park Corner . marble floor , guest cloakroom , large dining sitting area , separate large bedroom huge bathroom . elemis goody bathroom ( full size soap moisturiser guest toilet ) .The club lounge refurbish stay , hotel turn part ground floor bar lounge Club area . facility Club access give easily worth extra money . everything could want breakfast Cookbook Cafe . afternoon Tea lounge area sandwich make especially we ( allergic dairy ) wonderful little chinese style tea pot around fifty varitie tea lovely surprise . good bit evening cocktail hour , must bottle champagne we , choice pink champagne classic champagne cocktail , would not ? restuarant closed , room service dinner , ok nothing special . not use gym spa look brilliant , individual new water bottle roll towel every machine gym . club lunge close get free internet access business lounge . this time stay hotel expectation surpass . service perfect staff helpful beyond call duty time extremely polite , without fussy . even chocolate cake wish husband happy birthday room arrive staff know name room whenever query . can not really express great hotel , much well Hilton Park Lane , hotel . definitely go back . 
 Mar 4 2009 	 wonderful 	 Fantastic hotel ! great location , great room ( executive suite ) . always try stay intercontinental hotel / resort whilst travel yet deliver . the hotel locate favourite part London , within nice walk distance hotel , bar restaurant . the foyer check desk little impersonal due size hotel , highly recommend . 
 Feb 15 2009 	 gorgeous hotel ! 	 wonderful hotel , elegant , perfect location , comfortable bed good shower ever use ! food excellent , staff absolutely good .... show , queue taxi long due event , hotel provide private car make show minute spare ! thank Hotel Intercontinental ! would return hotel , plus highly recommend ! ! 
 Feb 15 2009 	 nice hotel poor club lounge 	 Stayed week course overall hotel quite nice good value . club room disappointment . room large comfortable , bathroom small decrepit bath / shower combo appropriate 5 * hotel . the club lounge main problem hotel . staff bore helpful , food quality poor . fact alcoholic beverage serve 6 pm 9 pm reflect poorly hotel . pay extra use lounge drink complimentary day , need take leaf ritz carlton 's book . plus side , club lounge nice room fantastic view . overall good great hotel , would stay give option London Sofitel St James Renaissance Chancery Court 
 Feb 13 2009 	 Superb Hotel 	 stay InterContinental Park Lane one night Feb 7th excellent . check quick efficient . staff really helpful question snooty may expect . dress jeans trainer day walking treat exactly people louis vuitton drip every pore . room comfy comfy big bed , utter silence room - can not hear noise room . location great - tube stop within 2 min walk , bus stop within 1 min walk town centre doorstep . be feel lazy still £ 5 cab ride leicester square night . also perfect location sunday morning wander past buckingham palace ( 5 - 10 min ) see change guard 11 am along mall shop 
 Feb 11 2009 	 Excellent hotel London 	 hotel prime location London City . many sight within easy walk distance Underground minute walk road . staff professional room clean impeccably . I can not comment hotel restaurant dine outside hotel . 
 Feb 9 2009 	 not stay Hotel ! 	 not stay hotel ! reception put & quot ; Intercontinental Club & quot ; floor . go use Club , however , inform actually intend & quot ; use & quot ; Club , would ADDITIONAL charge $ 200 . stay make local call - check tell hotel charge $ 5 per MINUTE call local cell phone . ask not see tariff sheet next phone advise not bother look card since never occur hotel would charge $ 5 per MINUTE call local cell phone . collosal rip - off . 
 Feb 7 2009 	 enjoy Hotel Staff 	 stay Intercontinental Hotel & amp ; Suites London , experience fantastic . staff helpful make we feel like royalty , kid . open bed sheet afternoon provide slipper night . always try get top floor city view trip different . hotel block Buckingham Palace long green park . enjoy site whenever walk . we see Big Ben , Eye London , take Thames River boat tour see London bridge , include famous Tower Bridge attraction include shop Harrods . London expensive , enjoy stay indeed . ah , famous London black taxi look small , big inside ! * * recommend fabulous city anyone . * * 
 Feb 4 2009 	 wonderful time 	 stay Connaugh two night intercontinental report intercontinental well hotel . staff young really work take care you . the room good size intelligently think . bed good also . the food could well , commerical hotel . lot good restaurant around . good location Shepard 's Gate close 15 minute walk St. James . 
 Feb 2 2009 	 convenient location 	 Idealy locate infront Park Lane . walk distance Picadilly , Harrods , Buckingham Palace 10 minute walk much ... arrive London Eye Big Ben without take taxi . room nice , friendly staff . originaly book Hilton quit hotel noicy wind tall floor problem . intercontinental 7 floor ' m wrong will not able see window room Buckingham London Eye Hilton , sleep pleasant . just warn review bill quit hotel , charge Red Bull & amp ; never take : ( . absolutely recommend location 
 Feb 2 2009 	 disappoint 5 * hotel 	 expect weekend stay luxury , disappointed lack personal service hotel . initial greeting somewhat average even offer help luggage . room ok definately deluxe , lack attention detail room various damage furniture various lighting work . ask wish receive newspaper deliver opinion 5 * service , offer deliver ? book several day prior visit dinner Theo Randall restaurant find do rebooking arrival find attend dinner still book somewhat upsetting leave lack faith luxury stay 5 * accomodation . 
 Jan 16 2009 	 ` ` 	 first time hotel , numerous previous visit London . ... will plan stay ! location perfect -- walk distance many sight lovely local neighborhood . ( miss nearby , hide , Shepherd Market area , wth small pub , restaurant , shop , Belgravia , walk Piccadilly hotel ) .The hotel room , include bathroom , beautiful . bed superbly comfortable ! housekeeping impeccable , twice day tidy / clean - up even slipper lay bedside evening . room bathroom always spotless . unfortunately ( we , ) Theo Randall 's restaurant close Chiristmas - box Day weekend , do not get chance partake . menu look wonderful , reasonably price . staff service -- second non , e anywhere ! ! talk go way guest ! ! one staff , Malik , walk two block freeze cold weather help bring luggage hotel . have make wrong turn , daughter go ahead , mention , wrnt wtihout even jacket , rescue . wish could recall name front desk door staff . ar alwasy ready smile genuine courtesy -- Malik , Husein , other , thefront desk reception staff . concierge desk deserve special mention . Bravo GUIDO ! ! ! MILLE GRAZIE ! be interesting , extremely knowledgeable gentleman answer question , matter trivial seem . do not know -- will soon find ! seem ot know everything London . colleague Caroline John great too . to staff , GM , huge thank provide excellent service beautiful hotel . location place -- one exclusive area London -- not & quot ; turn head & quot ; prevent offer professional , helpful , genuine friendly service . real class ! ! 
 Jan 14 2009 	 bad check club floor 	 stay last November , check employee tell we upgrade big room back site hotel , give booked room away , make reservation phone lady tell already grade we suit park site . there nothing good , hotel fully book first change site would Sunday 14.00 , don´t want wait hotel whole day change stay room , site rebuild another hotel noisy . the service club floor bad , attention staff , drink snack every day , sandwich afternoon tea dry need lot tea handle it . for service get hotel overprice , pay 399 , - pound night next time go another hotel . 's shame ambassador member Inteconti chain 
 Jan 13 2009 	 overall good hotel 	 wife , daughter ( 10 & amp ; 12 ) stay bit week Xmas thru New Year . adjoining room , view speak , comfortable we . hotel really 4 Star business hotel 5 Star deluxe , well locate -- 1 block subway easy walk restaurant , Buckingham Palace sight . the service attentive pleasant , trouble English ( mostly Eastern european ) newspaper coffee / tea service room never quite right . cold winter never seem doorman door ; seem show get start come in . that say , nice hotel ; good value location quality . 
 Jan 6 2009 	 gorgeous room fabulous location 	 visit London NYE celebration , well 1 - year anniversary . upon receive hotel Priceline , email hotel information special occassion , informed would upgrade we Deluxe Room overlook Hyde Park . wonderful ! upon arrival 10 am , room ( 742 ) not ready , invite use Club Lounge morning afternoon room ready . treat ! gorgeous view city , great spread free food drink . wonderful way relax long flight . give room 2:30pm , ROOM ! gorgeous decor , stunning bathroom , super comfortable bed , even balcony overlook park . service hotel stellar , employee go way make guest feel welcome . standard rate rather high , full - service hotel Park Lane Central London , be go pay ! plan visit London June thinking book Club - level room swing rate . food service Club well - worth extra expense . great stay fabulous London hotel ! 
 Jan 5 2009 	 warm friendly nothing much trouble 	 book one night stay ( New Year 's Eve ) Intercontinental London Park Lane indirectly via Travel Republic website . part surprise , special New Year 's trip London girlfriend . make hotel aware via book form . hotel , locate Hyde Park Corner , recently undergo major refurbishment exterior unlikely ever live old , grander London hotel , find interior superb - contemporary luxury , without fussy try hard . doorman welcome friendly ; Jana check - in desk helpful , efficient friendly . girlfriend felt immediately warmly welcome personally matter . give upgrade room 8th floor , view , excellent condition . huge room , feel London probably good suited need perfectly . club lounge facility also highlight we pay additional amount enjoy part hotel 's New Year 's package . facility also available time additional charge include certain room . special treat , form tasty dessert two , also deliver room gratis , another lovely touch . breakfast next morning delicious take Theo Randall 's restaurant . room improvement , would probably around ensure breakfast item always available , least minor delay , item ( glass , plate , egg , bread ) perhaps little slow replensishe time . however , staff always appear pleasant good resolve issue quickly could . plus side , mean food always taste fresh never leave stand long . fabulous stay would much enjoy return visit sure . Intercontinental may chain , experience feel personalise nothing happy memory stay ! 
 Jan 1 2009 	 definitely 5 star hotel 	 return stay intercontinental Christmas week . originally plan stay short term apartment rental end work , stay intercontinental last minute . able get 2 connect room child we . man front desk accommodate help we configure room comfortable manner family five . cot add one room right away ... room 's size decent . however , decor drab even look tired despite fact hotel renovate 2007 . bathroom 5 star hotel quality ... one sink , shower require shower curtain liner already line bottom orange mildew ... well , grout new tile already show orange mildew . heating / cool unit extremely loud running . service cookbook cafe bar area slow expensive . although , really think overall food good . in general , good 8 day stay consider circumstance . not understand people claim 5 star quality not really exist . 
 Dec 9 2008 	 high standard yet little impersonal 	 hotel typical example big hotel chain offer . reasonable expect high standard service indeed get . location excellent visitor , either he / she visit London business , shop sight seeing . short walk take Hyde Park Corner subway station Piccadilly line access major site . Oxford Street , Bond Street , Regent Street , theatre attraction also walk distance . the standard room big , well equip high - end audio visual equipment , heating system effective area generally quiet . proximity Hyde Park offer great view room although room face inward chance may view , unless consider guest ' room view . room generally darker need try get glimpse sky , check hotel book . the room nicely decorate , british touch , extremely comfortable bed bathroom also big , stylish -above all- functional ( visit traditional hotel UK , especially year ago , know mean ) .service typical big hotel chain . staff well train efficient . room keep clean , room service fast privacy respected time . I able breakfast think experience perhaps one reason could give hotel five star review . problem personally tea toast bread arrive within minute , nevertheless witness two couple serve 20 minute complain ( twice ) .I want misunderstood believe treat work people respect increase chance get well service genuine smile back . people think pay service treat like king even demand absurd . case truth somewhere middle exist problem exacerbate . way see , hotel provide essential item like hot beverage bread buffet item always demand allow staff efficient take order serve many table . could cost - cut reason bad planning , case result justice hotel staff . buffet item sufficient suppose nevertheless nothing extraordinary . overall , hotel nice , green quiet location lively exciting city . standard high really find serious flaw apart problem breakfast hall fact unique character . often get feel hotel could part world , find often case big hotel chain . & quot ; blind & quot ; room face inward also something avoid plan spend lot time room . with mind would second thought recommend hotel planning romantic trip honeymoon . Apart take ensure quality problem - free stay . 
 Dec 7 2008 	 Outstanding hotel ! 	 Outstanding hotel ! stay week end November begin December everything perfect ! admittedly , suppose busy week London , however find come back hotel early every day come back lovely room ! lovely seclusion relax ! room gorgeous , everything bed view tv , furnishing etc bathroom refreshing retreat beginning / end day ! breakfast one high point stay . english breakfast include room rate , mostly help Continental breakfast delicious . waiter / waitress friendly helpful . reception staff courteous ever experienced detail Intercontinental , decor etc lovely . perfect location , be right Hyde Park Corner accessible Park Lane one direction Picadilly Circus , Hyde Park Corner tube station right outside hotel . Londoner , ideal location thing within walk distance Picadilly line good everything Central London . would love come back ! 
 Dec 1 2008 	 great hotel perfect location 	 spend three night Intercontinental Park Lane end Nov 2008 . first time visit impressed . usual 5 star quality would expect , pleasant , efficient staff fantastic breakfast . location really convenient shopping tourist area able walk place . standard room sufficient city break - excellent , comfortable bed , great shower & amp ; lovely Elemis toiletry . not eat hotel although read restaurant menu ( Theo Randall ) & amp ; sound great . drink expensive lovely atmosphere bar good nightcap . would definitely return ! 
 Nov 11 2008 	 London - Rememberence weekend 	 spend Friday / Saturday 07/08 Nov hotel . hotel indeed luxurious , nearly respect would expect Intercontinental . check - in smooth , efficient friendly Maria coincidence check we also . Ambassador member upgrade executive room nice view Hyde Park also late check Sunday 4 pm . basket fruit , box biscuts mineral water together invitation art gallery send room Saturday . relax time hotel give score 4 issue Club lounge , lovely set nice breakfast morning .. downside staff entirely pleasant , temperature area little cold inducive staying long , snack / canape well match Abu Dhabi Interconti , could well variety day evening . also tea drinking nation please learn art make hot cup tea ! ! probably little picky , though not let put go hotel really nice . location convenient sight , walk everywhere issue location . 
 Nov 5 2008 	 DSD 	 go day ago bar internet continental hotel , experience bad . when arrival bar nobody say hello we , sit table still dirty staff people stay before . after ha call waitress come clean table we finally order . the drink come 20 min.our order nobody cheque satisfaction offer we something else . in opinion 's definitly expect go 5 star hotel plus price ! ! ! futur never book room place sure ! 
 Nov 3 2008 	 Nice hotel expensive 	 stay one night Intercontinental get good deal Priceline . hotel typical 5 * chain hotel , immaculately clean everything would expect , nice turndown service . shower amazing , Elemis toiletry lovely . convenient underground , literally outside hotel ( Hyde Park Corner ) . however , food drink extremely expensive warn ; breakfast £ 29 head ! lucky enough upgrade superior room smoke standard room leave ; however , must say superior room well standard room Marriott wonder standard room Intercontinental like . would return get good deal , pay full price could well elsewhere . 
 Nov 3 2008 	 great Start Great Weekend Treat 	 book night Intercontinental , Park Lane Priority reward point part wife ' birthday celebration include Orient Express Paris . we often stay Holiday Inn , Mayfair think even though close proximity would spoil little extra luxury . previous post also give impression would safe hand . my concern size location room would provide use point , London . worry unfounded room high floor , partial view Parliament Westminster Abbey large . ' stay many hotel London , literally open wardrobe door turn bed night , spacious standard . a king size bed , lot pillow cushion , sofa seat area flat screen tv Bose sound system clock , even fair size bathroom . after check receptionist offer advice regard transportation station trip Orient Express follow morning . nothing else create impression aware itinerary another couple guest . mind ' usually simple thing appreciate more . a long day spend walk around London encourage we indulge couple nightcap hotel lounge . typically expensive , part weekend prepare spoil remind work hard live . although quite busy bar waitress attentive service courteous , surly way . price however expensive , £ 10 175ml glass wine £ 11.50 spirit , ouch , ' intention count penny trip . when return room usual turn service also leave bottle mineral water , fruit bowl , packet chocolate biscuit birthday cake wife , lovely touch . state early ' usually little touch appreciate . overall hope Intercontinental Hotel Park Lane . would recommend ? yes , pocket deep enough . would stay ? probably , reason Holiday Inn , Mayfair reasonable term cost , comfort location . however , start point weekend luxury spoil excellent , plan similar trip , would return . 
 Oct 24 2008 	 weekend dream getaway 	 start ? ? ? planning involve 4 day weekend consist month plan arrange fantastic help Alixandra Hotels Concierge division . idea going even go . know love someday go ask spend rest life . take right work ; bag already pack car passport hand . fly Heathrow London drop luggage trip hotel , pick next flight know nothing Paris day . ask beautiful phenomenal girlfriend marry Eiffel Tower tour fine area hot spot Paris recommend Alixandra staff consult . take first class ticket Chunnel train back London we want get Hotel , little know go experience ! rose throughout room master bed shape large red heart , champagne ice prearrange do magnificently . top Alixandra arrange 2 large bar dark chocolate , fresh cheese , biscuit strawberry . Alixandra also arrange we upgrade single bedroom suite even describe . workmanship detail cleanliness compare . detail miss room hotel . they also arrange we vip pass 7th floor private member club enjoy spectacular selection food throughout day service could challenge . Suite one never ever ever forget . mirror bathroom even heat would not fog enjoy rain shower oversized bathtub . daily paper deliver little satchel nice touch obtain daily weather report fresh extra every day . amenity even could dream give dream girl . bose stereo system B & amp ; flat screen tv 's great closing touch superior quality room . view suite 7th floor breathtaking park , Big Ben London Eye . fresh slipper day oversized robe easily forget could high quality toiletry automatically replenish day . we would stay week could ! travel always try stay fine location within budget strive always get good service might never match . Alixandra arrange everything perfectly leave small detail unturned . staff throughout Hotel compare location ever attend . maid , doorman , server , front desk friendly ' stop thank enough , life change holiday extended weekend full love romance couple could ever expect even deserve . want thank Alixandra , hotel terrific staff make weekend one hold heart rest live together . stretch go financially flight worth every penny see we back . ( promise ! ! ! ) thank involve make spectacular weekend live ! ! ! ! truly appreciate every little detail ... Stephen Gordana 
 Oct 17 2008 	 Great Hotel expect ! 	 start say feel little bad writing review think worth mention people honest understanding expectation . I will start say intercontinental set hotel simply great . stay Ambassador level guest clearly put money review be . the London Intercon fun area city offer great morning walk office city work . be head Big Ben area walk right main causeway past Palace kick day wonderful way . also position well great walk long day pint & quot ; mate & quot ; .The hotel physically well appoint staff friendly . stay complimentary ticket Royal Galleries ( although time use ) .so , basic cover cover well . my disappointment room choice . guess expect Platinum Amabassador Intercon many year would put small room low floor without access standard business lounge . probably oversight book front desk people 's one costly . stay 50 + night year hotel chain expect / grow accustomed hotel home away home . major failure transaction . my second point contention , admit minor none less annoying , flat rate point accrue stay Intercon . reason determine regardless much ( lot ) spend stay ( day case 5 day ) simply get 2000 point . put perspective - need 25k stay basic Holiday Inn property . , gripe exchange $ 2200 + night get bill slip door . HI property would graciously deposit 22,000 point bonuse another 11,000 . would allow frequent traveler like either extend vacation another day , in - law stay comfortably & quot ; & quot ; , etc . so , be point person frequent stayer - go enjoy . be marketing person intercontinental surfing web try figure & quot ; voice customer & quot ; read review match date story email send Customer Service team . will able find call . record : & quot ; yes , point & quot ; ! 
 Oct 9 2008 	 Attentive Lush Location really great ? 	 ' ve stay find washroom luxurious . think could many way water come show time . room properly make however seem like try predict time would room - sometimes wrong . first day , room make arrive back 5 freshen dinner . put & quot ; please make room & quot ; sign door knob room make everyday 2 - 3pm someone actually check satisfied room . room make around 8 pm & quot ; night time & quot ; mode . location , actually convenient . Picadilly Circus 30 minute walk close convenient store 15 minute . essentially tourist site require change tube bit annoying well . ask local seem everything require connection . lastly , maybe 5 star hotel wish wait hand foot ' m someone not like wait need dial room service 3 cube ice drink , ' m bit put . 
 Sep 29 2008 	 Pleasant Stay 	 wife stay Interconti one Saturday night use Priority Club point . outside building uninspire concrete block , Hyde Park Corner location one good London especially enjoy wonderful park road . the lobby opulent dramatic 5 star hotel , elegant , understated air like . check friendly efficient . arrive 1030 expect room ready , simply deposit luggage , however , indeed ready add bonus . the standard room small 5 star standard , adequate , beautifully furnish luxury fabric dark wood furniture . bed big comfortable . bathroom , small side nicely fit lovely bath shower . we nice afternoon tea lobby lounge cake could eat . post - theatre dinner Theo Randall restaurant within hotel delicious service exemplary . eat breakfast hotel ; weather beautiful take Sunday morning stroll Hyde Park enjoy breakfast overlook serpentine lake , perfect ! perfectly memorable short stay London . 
 Sep 29 2008 	 enjoyable stay 	 stay 2 night recently enjoyable stay . standard room nicely present superior furnishing quality ' Bose ' Bang & amp ; Olufsen ' electronics room . standard room not huge bed comfy bathroom good standard . hotel great location easy access tube ( Hyde Park Corner ) , taxi ( £ 10 Euston Station ) walk ( 15 minute Piccadilly ) service within hotel - Room Service , Gym , Restaurant , Bar etc excellent . would recommend staying would stay next trip London . 
 Sep 29 2008 	 great hotel great staff 	 stay hotel weekend visit London . really great experience . sometimes find big hotel chain little soulless impersonal Intercontinental Park Lane could not case . staff sincerely friendly always willing help , reception , concierge restaurant . the public area hotel clean relaxed room large , clean modern . I would hesitate stay . well do Intercontinental ! 
