fantastic 	 Hotel great location , across road New Scotland Yard within easy walk distance Westminster Cathedral , St. James Park Houses Parliament ( whichever direction choose take ! ) superior room book large sofa bed provide child double bed . preparation Christmas underway arrive ideal hotel want kick - start festivity . 
 Great Hotel : victorian elegance 	 Beautiful Hotel splendid historic decor . friendly staff , clean cosy prime location tourist . notice review good price pay competitive decide take gamble well worth . superior room package non smoking room maybe go superior room ? / 
 May 6 2009 	 incredible Priceline Value US $ 60 per night 	 stay 3 night Bank holiday weekend . Caxton Street ( Westminster ) location perfectly central - step away St. James 's Park tube 10 15 minute walkable distance Victoria Station along smooth street . location must one safest quiet London ! friendly helpful staff . room clean fully stock . hotel old ton charm character make forgive occasional carpet wear spot , paint chip , tiny elevator room layout . bed much firm taste . arrival drink charming bar expensive food bar price result eat drink many nearby pub restaurant . use luggage scale conciege desk . cost one Pound save much airport overweight charge airport repacke embarassment . great London experience . 
 May 1 2009 	 's city centre . 	 's locate city centre near Buckingham Palace . stay cause go group friend run London Marthon . 's one old hotel need refurnish urgently . staff friendly service bar & amp ; restaurent great . 
 Apr 26 2009 	 clean basic shabby 	 stay attend conference hotel . beautiful public area ground floor remind day go room urgent need update . tiny , wear old looking . nice staff 
 Apr 25 2009 	 GREAT Location Jolly St Ermin 	 book hotel night London Priceline get good rate $ 120usd night . give mixed review , sure would find . hotel easy enough find . take Tube Heathrow St. James station ( one change ) sign direct we hotel . outside , standard look building . inside , lobby gorgeous . large sweeping staircase , fire place etc . check staff friendly , even let we check several hour early post 2 pm check time . give room 107 , first floor ( entrance level ground floor , next level 1st floor ) . view parking lot street , quiet . safe location Scotland Yard building around corner planty police presence patrolling area . standard room nice , small U.S. standard , european standard , roomy . clean come uncomfortable king size bed , desk chair , club chair , closet iron / board , dresser , mini bar . may get recently update room reviewer bite modern update several black white photograph London sight frame wall . bathroom nice large counter top , marble tile floor , big bath tub adjustable shower head . Hair dryer also provide , take find bureau bathroom . hot water plentiful water pressure good . room hotel completely nonsmoke . previous reviewer note , light good . poorly place bedlamp read lamp far away bed read night . free internet service hotel . purchase $ 12GBP 8 hour , $ 6gbp 4 hour . discover time expire calendar day , roll . purchase four hour , use around 2 hour , next day expire . comment restaurant eat hotel . many good cafe pub within walking distance . hotel PERFECT sightseer . less five minute walk Buckingham Palace , Westminster Abbey , London Eye , Parliment , Big Ben , Thames River , St. James Park , etc . , good stay , would defintely stay . 
 Apr 24 2009 	 blood stain duvet ! 	 year stay hundred hotel , never ghastly experience . boyfriend stay Wednesday 22nd April clamber bed long hard day confront big dry blood stain duvet ! ! ! housekeeping not notice idea , suggest cleanliness hygiene actively lax hotel can not say rest room communal area good shape . receive prompt response staff duty ( general attitude staff seem save grace ) move another room , thankfully bodily fluid free , damage do . urge people think stay find somewhere else . Sure 's good location kind like clean bedding . add fact room generally tired poor standard , breakfast complete rip - off ( £ 30 continental b'fast , bottle water coke ) queue check least 30 min wait Thursday morning . we consumer not vote foot hotel like never raise game . disgraceful . 
 Apr 5 2009 	 nice location 	 stay one night NYE . book twin single room . single room small . hotel situate good location round corner underground . furnishing start show age wear tear place . lift really wide enough one person prove difficult exit back lift try get out . I pay extra booked upgrade . upgrade worth extra money complain give refund . breakfast nice staff reception breakfast room pleasant . 
 Mar 26 2009 	 beautiful decour 	 Read review hotel many site admit extremely concerned , upon arrival find hotel old extremely beautiful . yes room could use lick paint room stay big , clean , bright bed huge ! ! ! ! ! ! close everything need 15 minute walk piccadilly circus . Breakfast lovely cook cold option great . would definately revisit hotel . 
 Mar 25 2009 	 oh dear ..... 	 stay business book colleague . still speak , ! know ' ve get problem taxi driver pull face say be stay . mine spend night hotel recent snow less impressed . I.On positive side , location fantastic , public area prime example fade grandeur staff good . Breakfast seem ok , though colleague disagree . think cereal , fruit , pastry etc well cook food not fancy not try . but - wallpaper stain peel wall room carpet dirty threadbare , much have try cover hole electrical tape . glad have take slipper . luckily bed bathroom clean . light incredibly dim badly place difficult read - perhaps hope state room would less obvious . know push upgrade check . ' ve stay bad place think disappointment great could much well give location grandeur building . 
 Mar 24 2009 	 nice outside - ok inside 	 Stayed hotel four day last week . room get 6th floor clean , & quot ; worn & quot ; . ' ve never see kind quilt cover bed . wrap two sheet around quilt - 's . ask last changed quilt , tell week ago ... hm , not like .... anyway , get clean quilt , ask . maybe end practice ? view room nothing write home . quiet . not wan na open window night anyway . outside window pile dirt pigeon . breakfast ok - well average english one .... hotel own italian , lot italian guest .... noisy , gesticulate - bit impolite .... 
 Mar 19 2009 	 absolutely beautiful 	 really nice hotel , room spacious , lot facility , problem hot water etc . checkin quick , give two room key automatically . staff polite . little worried havie read review , people likely complain something wrong , concerned . breakfast really good , nice wide selection something everyone . room nice warm . standard twin view main entrance , London , else could get . hotel main road , close bus stop tube station . go Leicester square , hop bus ( allow traffic ! ) , go Central London , hop tube - even Victoria station ( underground , overground , bus coach ) five minute walk . , really happy hotel definitely return . 
 Mar 16 2009 	 great hotel 4 star 	 excellent hotel , service , breackfast ( ... amazing ) .the 2 negativite were:1 ) room cold , not heat 2 ) mattress trouble , old ruinthe location good , not close Victoria station ( around 3 km . ) Westminster Abbey ( 300 mt . ) . ' m satisfy . 
 Mar 9 2009 	 good location victoria railway station buckingham palace 	 book hotel part package include theater trip . hotel locate 10 min walk Victoria railway station good restaurant excellent pub ( Albert ) nearby . upon arrival reception man 2 people - 1 help customer , phone . quickly check - phone call end ... hotel - room - bit tatty - hotel relatively clean could fresh coat paint new carpet . breakfast good - self - service buffet hot food . lucky , food bring kitchen ! tell 4 star hotel - personally reckon good 3 * ! 
 Mar 7 2009 	 nice location ! 	 stay Jolly St. Ermin July 07 . GREAT location ! take train Paris . station minute hotel . book central location . hotel close basically everything . short walk river , St. James Park , Westminster Abby , Hyde Park , Big Ben , Buckingham Palace . double - decker bus also stop quite close hotel . basically walk everywhere stay , take bus use taxi 's sometimes . walk hotel turn right Scotland Yard , end little neighborhood like area really great coffee place breakfast place . turn leave Scotland Yard , end go towards river , St. James park etc . also pass great pub beer fish & amp ; chip . room average , nothing exciting . hotel clean comfortable . lobby nice place sit relax . hotel also nice restaurant outside pretty good food . verandah outside lobby also nice place sit . overall nice experience . love location . 
 Feb 17 2009 	 much bettter expect 	 book hotel deal find internet . say ' Top Secret Hotel Westminster ' . not find hotel pay , bif risk ! ! check hotel Trip Advisor really worry review poor . happy report pleasantly surprise . give ground floor room clean modern large shower room . staff really friendly . hotel obvioulsy lot room hundred people stay . breakfast busy plenty food choose . close Westminster Abbey , etc although fair walk theatre enjoy lovely walk . even walk Liverpool St Station last day ( 3 half mile ! ! ) see lot sight burn lovely breakfast ! ! 
 Feb 16 2009 	 deffinately italian Hotel .... 	 whilst Italy stay pretty bad hotel London price pay expect well . location brilliant , room pretty clean although not happy find long curly hair tea cup drink from . the main problem hotel heating / hot water . arrive London cold weather 20 year room break radiator ... room air - conditioning seem blow cold air set 30 degree . water tap hot .... never think would think problem past experience tell generally lucky lurk warm water establishment .... not know ; water tap include cold plumb water come boiler . adjust temperature impossible shower pretty much un - usable . the fixture shower also rust position mean even cold water working would struggle adjust temperature . overall half way trip around UK far bad experience thus far ; hotel 4 star purport ; would suggest close 2 half . I would close say bad place stay ( although many downside ) however rate charge purported & quot ; reputable & quot ; chain ; like 3 star hotel would find outskirt Venice . positive : location great , breakfast pretty good , bed good sleeping , early check - in allow . negative : in - ability shower without 3rd degree burn several day . 
 Feb 15 2009 	 Histoic Hotel Division Bell 	 stay one Saturday night base see Lion King Lyceum Theatre . lovely quiet location interesting view . ideal theatre go thank underground system many closure weekend , check first . show wonderful . hotel fantastic architecture interesting building . give free upgrade , sure . mean double room give suite . clean large bathroom . need refurbishment , give we value money central London . would give 3 star , 4 . breakfast dissapointing , basic buffet include bread , cereal & amp ; cook . low quality & amp ; expect well 4 * hotel opinion . table clear stage & amp ; waiter service tea , coffee etc . bar area lovely open fire ( gas ? ) . 
 Feb 2 2009 	 well expect 	 book stay hotel via airmile sure expect review find make think unpleasant stay . however fear unfounded . yes hotel look bit outdated ( sure grand place ) , however everthe clean assure stay lot bad hotel charge alot promise more . on arrival bit worry put we room top floor smoker without say - snag hate smell smoke form . however ask put another room delight . a large fresher room back hotel - ok view nice dark mean noise street street light ! hotel go give room view price . the hotel busy weekend service great breakfast reception . lot nice area quiet time outwith room , good access computer , nice bar . great location step tube , small walk St James ' Park / Buck Palace etc . would rec . . learnt hotel arrive happy room , always worth ask another one . never know may accommodate . good check soon rather later help . someone room near lift shaft / reception etc first request change may help . 
 Jan 28 2009 	 Jolly St Ermin 's 	 stay hotel 3 night December 2008 . light reception dark gloomy . hotel staff friendly . standard room ok 3 star hotel except floor carpeting really dirty clean several year . Daily shower nightmare water trickle shower head . despite several call reception , action take improve water pressure . , location great 's less 5 minute walk St James 's Park underground also walkable Buckingham Palace Westminster . 
 Jan 27 2009 	 Nice Jollie 	 Lovely Hotel would defintley stay staff nice polite great choice breakfast check 12 courstey room bag great location 
 Jan 26 2009 	 much well expect 	 book hotel read review , not expect much , thankfully experience Jolly St Ermin good one . after initial mix give single room move large double enormous bed settee room first floor . breakfast pretty standard , plenty hot . room clean quiet hotel excellent location right next door New Scotland Yard . would say though , need update bit qualify 4 star , pay £ 74 room include breakfast not think pay 4 star price . so weekend sight seeing would recommend would go back . 
 Jan 10 2009 	 Dreadful Hotel 	 one poor hotel stay . standard room give night one cold , dark , drastic need overhaul . sheet stain hole , bathroom mouldy , carpet tear hold together duct tape , wallpaper peeling . lack internet access safe room also problem food poorly present somewhat average . unfortunately staff particularly helpful , could speak English , communicate one another regard various concern . request heater room cold , second night upgrade deluxe suite cost £ 50 . second room like another hotel - warm , comfortable , clean modern . however difference beween standard room deluxe room vast . due experience first night lack helpfulness staff , never return hotel . 
 Jan 9 2009 	 would go 	 go , 6 we , spend New Year 's Eve . we book trip September 2008 , pay 500eur 7 night - think good deal 4 * hotel ( time , euro weak , pound ) .The first 2 - 3 hour enter room , shock : could not believe real , 4 * hotel : ( ! .the room 10 - 12 sqm big , 2 bed , 2 table ( 1 tv one ... we ) 1 chair- barely space move around bed : ( . 10 hanger sort ... niche , absolutely shelf drawer - force keep t - shirt , sock underwear bag entire staying , absolutely place put , room : ( ! room unbelievable cold ; window wooden frame poor condition 1 layer glass - like freezer next ; anyway , look like ever since hotel build : ( .the bathroom 40 % size room - seem pretty big we , could actually turn around without touch something around , ( oppose inside room ) : ) ... pressure water ok wc shower , low tap - & gt ; take almost 1 minute fill glass water , rise mouth tooth brushing . 53 sec fill 1 glass water - watch front ! ! ! imagine washing hand & amp ; face condition : ( ... room . 2 room ( 6 together ... ) , would mention : one room , window look even bad , one crack , split window 1/3 2/3 ! ! ! let us remember 4 * hotel , end December : ( : ( ... room , new windows PVC frame perfect glass , make room quite warm , compare other ; return , bath room 2/3 size , pressure water lower everywhere ( toilet , shower tap ) , quite bad ( funny we : ) ) : poor guy need flush toilet ( pray ! ! ! ) 3 - 4 , even 5 time , everything ok : ( : ( ... , be look & quot ; romantic escape & quot ; - hmmm .... maybe .... : ) .ok , besides ... air - conditioning great ; set 24c actually get 24c room ; even friend crack window warm room entire staying . the room clean arrange every evening arrive back ; fresh towel bathroom , also new shampoo , shower - gel soap . I agree previous comment regard lift- small , work perfectly ; make fun 's size name & quot ; intimate & quot ; , call & quot ; vintage & quot ; look old , use every day . the public area ground floor superb ! ! ! room breakfast beautiful ( cold : ( : ( : ( ! ! ! ) , Caxton Bar look great- nice spend evening , couple evening , play card drink bar . the breakfast good ; wide variety choose , personnel attentive efficient . generally , personnel hotel kind helpful , need assistance get direction , call cab , locate shop London , etc . the location hotel PERFECT : 10 minute walk Buckingham palace , 10 minute walk Westminster Abby , 5 minute Victoria boulevard ( shop , pub supermarket ) , 20 minute walk Trafalgar Square , 25 - 30 Piccadilly Circus . subway station right around corner ( 2 minute ) post - office front hotel- great buying stamp , tourist : ) : ) ... end day ... bad : ) .The room small , stay much , anyway ; cold , AC work perfectly ( much save planet : ( : ( ; 2 layer window , least one , good- use AC 24h per day : ( : ( ... ) , breakfast good , public area hotel look great , location , already say - & gt ; PERFECT ! , one ... would recommend hotel friend go London tourist ; certainly & quot ; romantic escape & quot ; ... 
 Dec 21 2008 	 let level 	 stay 11th - 15th Dec 08 romantic getaway Capital . public area lovely old victorian deco give wow pity room awful complete contrast public area . I book alpharoom thought get good deal £ 100 per night include breakfast disappoint . book double non smoking room tell could either non smoke twin room double smoking room neither suit romantic get away . stand firm receptionist & quot ; find & quot ; non smoke double 5th floor . I agree previous comment lift - ancient scary take stair 9/10 despite 5th floor ! room small , dark , well light , windows old do not shut properly interior glazing do not close properly either bit noise cold air although back mean back alley ! curtain do not meet middle lucky December pretty dark outside time ! air conditioning do not heat room cold time despite put control 26 degree . the carpet old wear dark wooden furniture tired bathroom although clean need renovation . there open suitcase without cause obstruction round bed bathroom door . the wall paper peel dirty part constant musty smell return day . although central main reason book hotel try get good deal Hilton Canary Wharf - fantastic modern clean warm quiet room safe area London . upside - location , 2 minute James Tube station , 10 minute Victoria , plenty local shop doorstep high street shop restaurant Victoria Street . breakfast disappointing - much choice hot food cold morning . get late weekend do not restock food leave croissant cup tea . feel like school canteen - table line row , certainly romantic breakfast set although room breakfast serve beautifully victorian . dont go ! 
 Dec 17 2008 	 yes today 	 London business , stay Jolly St. Ermin 's Grange Fitzrovia . price , Fitzrovia easily twice good St. Ermin 's . St. Vermin 's appear cater primarily tour group Spain . large swarm people descend lobby every couple hour . important unless want pay extra £ 50.00 ( read right ) deluxe room , way internet sit lobby . tell - signal strength never get 5 % three day stay , despite two troubleshooting session guy . near internet cafe ten minute walk away . room directly opposite door lead elevator , lot hallway noise . people room next door moderately noisy - London party . headboard simulate furniture screw wall , except screws pull plaster dangle off - kilter , look like going fall second . lamp next bed bulb dim read . try swap lamp desk , lamp cord thread wood side desk prevent move steal something like . apparently not one problem , plug obviously replace . end move mattress bed . know tempt hotel base location , will never stay . 
 Dec 8 2008 	 leave feel Jolly 	 decide extend stay London another day , require additional hotel one previously stay vacancy . book Travel Kiosk ( forgot name ) find Victoria Station . Saturday close Christmas , hardly hotel available . decide book Jolly St. Ermin 's Hotel close already locate , 4 * although bit expensive £ 177.00 left option book . although promise could check straight away , tell reception room would available another half hour . enter double room , partner displeased say least . 4 * hotel . room tiny , little space move around . bed far firm lighting poor . choice television channel also low standard , standard terrestrial would come expect addition however , number foreign channel badly tune . although room awful , find customer service hotel good . require iron bring room within minute . additionally , allow extend checkout time hour run late . the concierge helpful allow we leave bag hotel checking - out could utilize rest day without drag along suitcase . all find stay mediocre , expect lot see pay high price hotel 4 * . location great , minute away St James Station , addition customer service receive good point hotel . 
 Nov 21 2008 	 big hotel small room 	 hotel location quite good , entrance lobby area nice , room really small ! need upgrade pay extra big room . room renovate still small , look nice clean . old one carpet old dirty , opening wall , etc . also safe box room ! breakfast terrible ! orange juice like water colorant , way get expresso ( coffee ) even pay ! 
 Nov 13 2008 	 entrance wonderful room less 	 arrive , tired day travel working , hotel not actually book . eventually find room fade , particularly clean ( although might illusion something need paint ) generally bite substandard price false advertising front entrance . I recommend hotel people may bad room - although review seem agree ! maybe stay room . 
 Nov 11 2008 	 Tired quiet 	 stay hotel 4 day October . good location ; 2 min walk St James 's undergound station close shop . lobby impressive staff polite friendly . lift horrible , tiny like coffin take stair every day . single room , bed narrow not wall , also wheel , everytime move whole bed would move ! first night , move bed every night annoying least get proper sleep ! room general tired , wallpaper peel place bathroom although clean old . noise outside minimal good consider area however could hear fair bit noise room . room light big window double glazed room air con . wifi expensive room service average . final day , long queue check move slowly . ultimately , would stay quiet convenient location would advise upgrade double room move bed ! 
 Oct 28 2008 	 overall good stay 	 enjoy trip London would return hotel . centrally locate - minute walk Houses Parliament , Westminster Abbey attraction . Approx 1 - 2 min walk near tube station . find hotel quiet night - problem sleep ! helpful staff - arrive early allocate room normal check - in time , meaning could leave bag . also , last day , allow leave bag hotel day even though check early morning . find room clean , although could refurbishment furnishing , wallpaper etc bit worn . 
 Oct 28 2008 	 get tired ? hotel asleep . 	 really enjoy stay . end smoking room , book non smoking , stank stale cigarette cheap air freshener . room overlook bin group drug dealer . bad hotel ever stay belive rate 4 * .the location great would never stay . shower barely trickle . hotel shabby leave relatively elegant entrance reception area . I pay £ 99 not bother complain . pay normal room rate £ 200 ish would have . you could tell staff take lot abuse complaint unfriendly abrupt . complain shower say would let maintenance know even hint apology . 
 Oct 27 2008 	 hot water room bad attitude Reception 	 stay two night attend wedding hotel , entry room nightmare due faulty door card several time , get Saturday morning hot water day guest shower prior attend wedding , boil kettle wash , Saturday room clean , Sunday 9 be onward every 15 minuet staff drive we mad get clean room ? ? ? breakfast like attend school dinner warm food tray fry egg chief cook , table arrange row , waiter could tell difference tea coffee stand table smell pot decide , bad part stay bad attitude Reception Staff need learn talk people , young woman reception never look answer dismissive time approach , personal pattern use guest . smile would nice give cost call deluxe room shabby . build without doubt beautiful deserve much well treatment . I would recommend hotel anyone 
 Oct 20 2008 	 three star disguise four 	 dreadful . behind fabulous lobby area lurk tired , threadbare , dingy hotel . bathroom clean say . request non - smoking room put smoking room . various cock - up ensue room keycard malfunctioning . Bored stress staff . one avoid . glad pay £ 90 night Lastminute.com - pay rack rate would arm . 
 Oct 16 2008 	 get tired 	 read mixed review Jolly hotel ' sure expect . overall however say find fine stay . the location hotel excellent Victoria Street ideal explore London . hotel old victorian building grand entrance . marble floor beautiful spiral staircase give impression somewhere special . check process slow wait quite long time two guest complain something one else available reception serve . 5.00pm busy time surprised short staffed be . when eventually get check make way room top floor . get past reception hotel be not grand could new coat paint . lift tiny literally fit two people . room quite small although clean functional . little bit date compare hotel use London . the breakfast excellent good choice room heaving go 8.00 . busy seat table guest ' particularly like like space . leave breakfast room huge queue spiral round corner 20 - 30 people . far people hotel handle breakfast . overall hotel ok , could well money would certainly consider Hespiria Riverside Park Plaza ahead one . 
 Oct 6 2008 	 need makeover 	 stay hotel change last minute alpharoom , look internet quite impressed ! arrive still impressed hotel look lovely outside , impressive lobby . however , get room , bit disappointed . room reflect rest hotel date desperate need makeover . bathroom small also water pressure almost non - existant , shower half hour try rinse shampoo hair ! however , room bathroom clean toiletry also good . we also charge £ 2 morning paper never 4 star hotel ! 
 Oct 2 2008 	 Lovely Hotel 	 second visit St Ermines year . we returnedbecause enjoy previous visit January much . it impose hotel safe central area London times standard room back hotel comfortable . I vouch previous reviewer 's complaint computer access sure would able work available light room . a huge amount extra usually availabe hotel room provide . as well usual toiletry , toothbrush , toothpaste , razor , shaving cream , sponge , comb , shoehorn provide . breakfast serve assume ballroom elegant surrounding staff attentive . my one critisism huge buffet breakfast non meat eater choice hot food limited visit compare previously . only scramble egg , tomato , mushroom along sausage bacon . however would still return hotel extremely comfortable stay . 
 Oct 1 2008 	 jolly Jolly Hotel ! 	 impose facade much less impose room need re - decoration . bathroom stank cigarette smoke cigarette hole burn bedspread ! redeem feature room service - meal good excessively expensive . thoroughly recommend fruit salad nothing else . 
 Sep 17 2008 	 Avoid Ermin 	 stay Jolly St. Ermin 5 night business . hotel simply acceptable business traveler . internet service room . wireless available lobby fee . room dark , extent 's challenge get dress , way dark read work room . mattress room terrible . breakfast , notably coffee , bad . hallway noisey . plus water pressure shower good . 
 Sep 3 2008 	 good 	 stay one night weekend celbrate friend celebratory event . the staff less friendly quite frankly rude ask help check in . we book large double room give twin despite book month advance . tell nothing else available apology . addition husband develop red itchy reaction bite arm , back , face leg throughout follow day would appear bite throughout night . email hotel say would investigate get back we , far reply - another example glow customer service . friend room appear suffer bite hopefully issue isolated room . on positive point queue breakfast tasty main part building stunning . 
 Aug 20 2008 	 pretty good ... 	 jolly sumptuous decor stone 's throw St James tube . bathroom room clean well - appoint , although room small even London standard - walk room much excess perimeter bed . the bar lovely open fire crackle merrily , however pretty pricey even brand spirit . great pub opposite tube though sellle good wine beer reasonable price . in morning queue breakfast check - out astonishingly long additional staff / capacity guest info advise early / late breakfasting would welcome . 
 Jul 28 2008 	 great location - take upgrade option 	 location fantastic other mention site parking reasonable ( £ 24 per 24 hour stay ) . find staff whole helpful , barman bit strange would sell wife champagne cocktail straight glass champagne price ! hey ho buy bottle £ 33 instead 1 cocktail £ 9.70 work end . concierge great knowledgeable , know London well even rate expertise advice make first port call . book Lastminute.com top secret hotel section get great deal opt upgrade room £ 50 two night . room large , clean , well equip everything ' expect even mini bar reasonable London £ 3.40 large foster . ( ' £ 4.00 pint pub ) ' breakfast hotel , partly review saw partly know good place call Broadwalk Cafe 1 minute walk front door full monty breakfast £ 6.00 . thoroughly recommend , may look little scruffy clean food service fantastic , even wife use 5 star hotel business ' fault give try . ( even go back Lunch second day tell high praise ) overall think hotel good price pay ' go back next time plan trip town . location really mean ' need get cab sight within 15 minute walk big bus tour right around corner Tube station . nice hotel London sure , opt room upgrade get good deal pleased choice . 
 Jul 21 2008 	 wonderful staff – woeful breakfast 	 like hotel . Minutes Parliament , almost next door St James underground walkable 3 Covent Garden ! look like solid old hotel , british stiff upper lip . old lobby impressive place look grand . staff mainly spanish Italian , must say offer standard service often neglect UK – pleasant accommodate . however love affair stop front entrance . stair room become threadbare single room small antiquated . pay pay upgrade , allow room swing preverbal cat ; however happy , London space premium . breakfast ! read previous review hotel … . cook food appalling : boiled egg heat black , bone dry bacon , sausage taste like sawdust ' even want think scrabble egg . management , please take e chef local hotel get retrain . provide hot fresh taste breakfast buffet always challenge , plenty place succeed . ' eat full fry daily , balance would probably return , pleasant european staff . 
 Jul 14 2008 	 cold egg 	 first morning , ask hot scramble egg tell egg table finish . point cold , tell , could get hot egg finish . ask fry egg egg sit dish . reply , scramble finish . eggs morning.2nd morning , breakfast ask hot water , reply get point direction buffet table , young man tell pour tea coffee . as use walk stick get around would nearly impossible carry . bathroom , hot water take nearly five minuet get lukewarm , loo take nearly fifteen minuet refill flush . I report reception help give . two reception helpful rest . still nothing do . I would stay hotel , Jay Jay . 
 Jul 8 2008 	 Charming need serious face lift 	 nice building lot charm convenient area London tourism . lot government building nearby may good address also business trip . room however need seriously renovate . single room real old style single bed ( i.e . tiny ) ' m sure tall strong build man could actually fit . bathroom plain old ( change room first shower function ) tv work . staff polite people send fix technical problem room totally useless . breakfast ok nothing special quite varied . 
 Jun 8 2008 	 Great Location Nice Staff English 	 wife stay St Ermin 's final three night honeymoon last day May 2008 . nervous hotel beforehand since many hotel London affordable one we far place want go . London time , still want close . end perfect need . this hotel location wonderful . almost sleepy little corner London , next New Scotland Yard , feel pretty safe . hotel close St James tube stop 8 minute walk Westminster . maybe 15 minute Trafalgar Square shopping . hotel lobby beautiful large . however stay bedroom nice smallish . however expect . bed full , bathroom tiny everything need staff helpful need iron shirt . hotel own NH Hotels love little touch add . like shoehorn shoe polish . overall would say hotel need go spend time tour around town business trip . lavish , really enjoy stay . would recommend friend . 
 may 28 2008 	 Pleasant Stay 	 stay two night London Chelsea Flower Show . we get tube Heathrow delight see hotel around corner station ! impressive entrance lobby . upgrade superior room standard room leave . check way quick easy . our room nice smoking room smell abit cigar open window let fresh air , do not bother we think would ask non smoking . room could probably update bathroom small . we eat breakfast first morning disgusting ! ! ! sausage skin like leather , hash brown deep fried could not even cut , orange juice taste like water water ! ! ! ! do not bother breakfast second morning ! ! ! ! hotel cental , 10 min walk Big Ben , Buckingham palace etc , would def recommend hotel tour central london ! overall pleasant stay would recommend breakfast ! ! 
 May 20 2008 	 Excellent Disabled 	 return weekend stay hotel mother & amp ; sister . choose hotel disabled & amp ; parking facility . parking fee waive disabled . meet arrival show use mini lift provide , show disabled room alarm cord appropriate place : bed , toilet ' walk shower ' . breakfast room small flight step also fit mini lift . staff friendly helpful , nothing much trouble . taxi would outside wait we within minute ask . taxi 's fit disability ramp able push wheelchair cab . location hotel able walk back London Eye . the service disable also fautless Prince Wales Theatre London Eye . we enjoyable stay London woud hesitate return Jolly Hotel St Ermins . 
 Apr 14 2008 	 Nice Stay 	 stay week March 08 . find hotel satisfactory . room clean breakfast acceptable location great . hotel less ten minute walk Buckingham , Westminster Abbey Victoria Station . location major attraction . also able find rate approximately $ 200 per night aboutrooms.com . give price location compare similar price hotel London great stay . expect four star advertised site would say solid three star . however , staff nice breakfast include adequate hotel clean . complaint matress around long . 
 Apr 7 2008 	 40th birthday 	 stay Jolly St Ermins Sat 29th March . room double , think reasonable side clean , hotel staff good , breakfast good make sure 's stay cost £ 16 per head . 5 min Palace , StJames park , Big Ben Houses Parliment . 20mins theatre land . leave battery charger camea room , 6 day later phone , hand send cost . 
 Mar 19 2008 	 nearly get charge item purchase 	 stay overnight hotel whilst business trip . check fine , receptionist ask want breakfast ( company pay hotel not book breakfast , fine ) decline . I nice snack hotel bar meeting later night room comfortable enough . expect bit 4 star hotel though . room squeeky floorboard , extractor fan bathroom fill filthy dust , broken tile wall bathroom , tv small , internet access room WiFi lobby free ( pay £ 6 hour could not send email use personal SMTP server , obviously block network port ) . finally , lift tiny - wide enough one person long enough four people total . on check put charge bill not understand ( £ 16 ) pay ask ( explanation give ) . tell breakfast , not item not say breakfast name one hotel restaurant code letter . , kick fuss , ask charge breakfast not . unfortunately , manager could not give explanation not apologetic resolve situation satisfaction . so , be stay hotel , not bring wide suitcase , not use WiFi want send email mail program double check bill ask every item mean . 
 Mar 7 2008 	 good get deal 	 pick excellent deal stay St Ermins . pay anything close typical internet price would unhappy . hotel look nice lobby area use film nice place sit relax . however room date poor upkeep . room tiny cold aircon building opposite loud get cheap rate expect get poor room . not excuse condition room curtain can not get completely cover window . on plus side location perfect tube sit St James tube station faily safe wal night next Scotland yard always police nearby . 
 Mar 6 2008 	 see call St Vermins ... 	 book luxury top secret hotel Lastminute.com recognise hotel description stay previously . never . first room twin . call reception request double , book , tell uncertain term book twin Lastminute booking twin room , despite book confirmation . room swap double small not enough room bedside table one side bed . mean undisturbed view chip pipework run along wall , though . main lamp not work minibar would not open . side bed close bathroom ( , believe , close ) stain . time take check change room , not time request another room . however good rate might appear , not ! 
 Feb 12 2008 	 Jolly St Ermins 	 lovely hotel , set quiet spot heart Westminster . location fanatastic , 5 minute walk Wesminster Bridge , London Eye , Parliament etc . the staff hotel extremely helpful friendly would certainly return 
 Feb 8 2008 	 price waste money sub - standard 	 stay one night end Jan ' 08 , room tiny , 1.5 & quot ; gap bedroom door , curtain not fit window ( approx 4 & quot ; gap bottom ) , bed lumpy uncomfortable , bath rusty tile bathroom mildew . bar food portion extremely small . 
 Feb 1 2008 	 time warp hotel 	 spend night . hotel seem stuck time warp . public room straight Edwardian era- magnicificently tired architecturally wonderful . use couple movie . the bedroom could refurb . bed creak away every time turn . heating system room bit hit miss . use air con , radiator do not work . food . dinner , breakfast lunch . dull say least . straight 1960' . great tube St James 's Park station round corner 200 metre . Heathrow take underground Barons Court change District line St James 's Park . from Gatwick catch Express Victoria catch cab short distance hotel . there load restaurant Victoria St area budgetsand taste . 
 Jan 25 2008 	 Lovely Hotel Perfect Location 	 pleasant stay 3 night traditional elegant english - style hotel locate quiet area Westminster , easy 10 - minute walk Victoria Station . London attraction include Westminster Abbey , Parliament , Big Ben , Buckingham Palace also nearby within walking distance . hotel old creaky building keep beautifully . hallway like maze hotel seem wander everywhere . individual room bathroom clean , up - to - date excellent condition . hotel wall bit thin , could hear guest late night hallway . single lift tiny hear throughout rest building . front desk staff friendly , efficient helpful . wonderful english breakfast buffet large variety choice . overall lovely hotel perfect location ! 
