great 	 you´re bothererd fact toilet outside room share guest floor , it´s issue . you´re cuty luggage , won´t problem either . NYC many time , there´s need stay midtown anymore ... make hotel location perfect . it´s charming place owner really sweet person , always smile face . it´s spotless housekeeping really nice work . room cozy , small , tiny window make bit claustrophobic ... anyway - pay $ 150 taxis well locate Manhattan sometimes worth . 
 Sep 26 2008 	 Felt like home ! 	 along majority people , discover Chelsea Lodge search recommend hotel New York City Tripadvisor wonder small privately own hotel , seem cheap , amongst well review hotel Manhattan . read many review decide contact hotel directly ask basement room available . whilst research hotel find basement room large normal compact room also en - suite whereas room share bathroom . hotel mention cost little extra work around £ 10 standard room . additional space en - suite , think worth . hotel situate Chelsea neighbourhood West Side New York City borough Manhattan . hotel locate couple block 23rd Street Subway . sign hotel indicate 's Chelsea Lodge make sure take note street number building otherwise could quite easily walk past without realise . hotel two minute walk many shop , deli 's , bar restaurant pretty much everything would need within 5 minute hotel . recommend ' Lasagna Ristorante ' really nice place eat . 's locate corner 8th Avenue , 20th Street . arrive hotel , greet man reception . friendly check we quickly make sure everything need . stair information leaflet / booklet attraction card great discount . recommend take look could save lot money decide two attraction . take we room basement . spacious , en - suite ( shower , bath ) air - con . the bed comfortable two pillow . arrive two Hershey 's kiss pillow . nice touch ! phone , alarm clock , hairdryer bathroom free soap shampoo . flat screen tv cable around 1000 channel . great football ( soccer ) channel also show live Premier League game . wake , watch live football game go discover NYC ... life ! could come go time give key hotel front door also room . also not mind bring back takeaway . basically could treat like home . hotel look quite old fashioned . lot old picture wallpaper room look bit date guess make seem homely hotel . overall , highly recommend inquire basement room want bit extra space maybe not fancy sharing bathroom other . hotel cheap , clean , close subway plenty shop place eat safe neighbourhood . make bed change towel daily . could not ask . negative hotel , guess could sign something let people know 's hotel would nice kettle available tea coffee guess could british thing ! overall .... great ! 
 Sep 25 2008 	 stay ! ! ! remove fear unknown 	 put lot research stay happy decision stay Chelsea Lodge . thank honest review Tripadvisor property other 6 night August 2008 blast . it lovely treeline street short walk 7th Ave , pharmacy , shop numerous place eat nearby . arrive late , 2 morning problem . go straight bed settle account morning , relieft 30 hour travel ! room good , see pic . toilet clean , quiet non issue . least 2 floor one wait . room slope little add character , mean old city . great shower . a short walk subway , great bagel Brooklyn Bagels . agree other , stay NEAR TIMES SQUARE never see NYC . New York neighbourhood , tourist attraction . 
 Sep 21 2008 	 absolutely great place stay ! 	 stay Chelsea Lodge Tripadvisor review glad . prepare though , normal mid - America Holiday Inn type hotel experience . however , long research , will not surprised anything . room exactly picture many review bang . everything clean quiet stay other write , share toilet total non - factor . price , be really great hotel neighbourhood ! love area treasure early morning come back late night adventure . feel quite safe 24/7 restaurant pedestrian traffic 8th . couple day , begin feel sorry tourist stay near Times Square . sure check nearby Empire Diner , Sarabeth ' Bakery Chelsea Market , Murray ' Bagels eat , although ' sure many other miss . pre - trip research , notice Tripadvisor submission hotel , anyone connect Chelsea Lodge read review , please accept heartfelt thank play large part make visit memorable . 
 Sep 21 2008 	 wonderful stay ! ! 	 husband stay Chelsea Lodge Sept. 14 - 20th thoroughly enjoy stay . stay deluxe room ( # 1 ) basement private bathroom plenty room space spare . well worth extra money spend upgrade room . clean well ( smell clean solution upon arrival not strong ) . bed definitely not comfortable ' ve ever sleep , little cave middle , not horrible . long busy day could fallen asleep floor ! tv cable movie channel could ask great time relax . the front desk staff nice enough , get good morning every day nice enough call ride we back airport . take taxi Laguardia lodge cost $ 43 tip toll include ( wait 5 min taxi ; long line car wait airport take & amp ; city make sure not get rip give slip rate state ) . city guarantee get rip flag taxi outside lodge get back airport , recommend get flat rate car shuttle service . ask desk staff day leave arrange car pick lodge ( service cost $ 46 w/ tip toll ) .As New York learn pointer share . first , plan take 1 line ( subway ) South Ferry Statue Liberty , make sure one first 5 car train otherwise will not able get last stop need get . also , careful get express subway train . skip lot stop ( black dot stop ) subway map ! second , skip top Empire State building & amp ; go top Rockefeller Center . cost actually get Empire state Central Park picture . third , look quality & quot ; Coach , Versace , Luis Vuitton & quot ; purse ( C 's look like c Q G ) go Canal street fake purse shop . even see obvious fake purse ask Coach ( wait ask want Coach purse ) show secret stash take hide upstairs room . aware : would not alone ! take lock van one point not happy one alone , feel unnerving . start walk away store likely go car say & quot ; & quot ; not want that . as show , see Phantom Opera , Young Frankenstein , Hairspray . last two excellent funny , Phantom good , kind play . not decide see show day , watch raffle do hour show . Young Frank , Hairspray raffle $ 25 ticket 2 3 hour ( respectively ) performance . raffle YF actually front row seat excellent . not win raffle allow we purchase wonderful balcony ticket price . not forget cash though , card accept deal ! not want take chance wait long purchase ticket go www.nytix.com one time $ 4 membership fee give promo code play 40 - 70 % ticket price buy Ticketmaster even go trip . forget waste time cash tkts booth ! last tip : not forget cash ! ! ! surprise many small restaurant , rental place ( boat @ Central Park ) , ticket booth take cash . great trip not hesitate stay lodge . can not wait come back ! 
 Sep 20 2008 	 great value convenience Broadway Penn Station Restourants 	 wife stay one night see play & quot ; Equus & quot ; .We enjoy stay staff hurry , helpful . room clean quiet . staff recomende breakfast dinner place , street , good . Cheers Chelsea Lodge 
 Sep 18 2008 	 lovely hotel brilliant location 	 love hotel would recommend anyone . brilliant location , load nice restuarant near Lodge close enough mid downtown make easy get everywhere else . yes room small perfectly adequate especially plan time . toilet never busy whole place clean beautifully finish . love ! 
 Sep 3 2008 	 Lttile gem Chelsea 	 book room first trip NY , base Trip Adviosr review dissappointe suprise . industry , stay pretty sweet property , price Chelsea Lodge could beat location great . room small toilet hall , never room except sleep , really not matter shower room , convenient . think weather bad need hang room , would real drag , much NY , not need alot expensive space main goal sleep leave . would recommend single couple focus see city spend money great meal fun stuff cool neighbourhood . 
 Aug 24 2008 	 nice hotel 	 nice place stay . staff friendly , location great room nice clean . change reservation week advance problem . would definitively stay . 
 Aug 24 2008 	 great budget accomodation 	 enjoy 5 night stay Chelsea lodge June . property locate lovely street heart Chelsea . room quite small , shower sink room . though toliet outside room , not problem , never wait . reception staff little strange , overly friendly , helpful require anything . air - con room really noisy could not night make sleep quite uncomfortable high humidity ! hotel 20 block centre , mile , easy walk . area hotel get lot nice restaurant , fast food place , bar cinema . recommend Mai - vietnamese restaurant round corner . also Qdoba Rub BBQ near - tasty ! ! overall , great budget accomodation & amp ; nice location . great base explore NYC offer ! 
 Aug 21 2008 	 Love Chelsea good value hotel 	 read review tripadvisor book , Chelase Lodge expect . room small , much room move . however , room clean interestingly decorate . toilets hall ( 2 floor ) , always clean free , never wait one . room air - conditioning essential New York summer . aware lift carry luggage stair . love location , Chelsea much fun ! great restaurant nearby touristy , seem quite residential area make area interesting . subway short walk hotel . give much hotel room cost New York , think Chelsea Lodge great value would definitely stay . 
 Aug 14 2008 	 great place price 	 girlfriend stay go New York stay weekend New York sight seeing search nice hotel $ 200 / night would go day anyway . for price chelsea lodge really great hotel - read review think room would small could barley even walk door - not bad . bed comfy & amp ; room big enough get ready head hit town . the shower little small though , work ok . the toilet hall hassle - never wait issue cleanliness - actually hotel make clean & amp ; nice impression . we get fresh towel every day could store bag day check - out still shop downtown . great place , great price , would go back anytime ! 
 Aug 13 2008 	 good single person 	 great hotel single person New York hotel price expensive . however , think would bit cramp couple . shower wash basin room wc locate corridor . hotel clean AC fan furnish art craft furniture . location quiet need take subway get action New York , however easy walk Greenwich village . I find great restaurant close call Cookshop 20th street corner 9th avenue . great price single person quiet area 
 Jul 17 2008 	 ok .... 	 boyfriend spend two night Chelsea Lodge November 07 . plan trip Italy decide spend 3 day NYC since also want go elsewhere along west coast . check hotel rate surprise expensive NYC hotel find Chelsea Lodge read positive review tripadvisor feel lucky immediately book .once get find entrance nice , people front desk welcome helpful , neighbor also pluse ( close subway , restaurant etc .. ) disappointed room ! depress ... small ( place luggage ) , old run furniture , bad smell , noisy old heater . room also clean either ( dust everywhere hair shower ) ... especially compare bathroom despite common , spotless ! problem always available need despite lodge fully book . shower room worst ... tiny , water run well impossible simply warm ... either cold hot . additionally take shower room water vapor everywhere ! expect 4 star hotel expect decent room ! uncomfortable shower last day take wait get next destination hope would well . I can not say not stay not expect anything not believe positive review .... con pro opinion ! Unfortunaly would recommend place .... need clean , renovate room ( nothing fancy 1960 's furniture ! ) change shower ! ! ! 
 Jul 11 2008 	 clean good value location ! ! ! 	 want go New York seven day could not believe high price hotel . find Chelsea lodge trip advisor though could not believe low price , great value ! hotel easy find good central location , within walk distance attraction . the staff friendly helpful face , like . room penthouse New York not spend much time hotel . bed comfy clean , fresh towel spruce - up every day . sink shower room clean , load hot water good water pressure . T.V drawer also . the toilet across hall , clean always free . bit worried seperate turn problem . neighbourhood safe worried walk aroud night . place breakfast nearby dinner check Dallas BBQ 23rd 8th great chicken rib ! not order starter - portion massive : ) Tips ! ! go emipre state 8.30am queue ! Macy 's souvenir basement one place find last day run around huge store week ! go Canal Street cheap souvineer watch carriage ride Central Park - worth money ! 
 Jul 6 2008 	 love place perfect 	 book lodge friend look lot place , check price review website . Chelsea Lodge good review reasonable price go . bit nervous shower room toilet hall , absolutely fine . nice method work read magazine watch tv whilst come shower ! 2 toilet floor never wait one . everything wonderfully clean bed comfy . window look back property onto little garden garden adjoin . room bedroom sized , big enough sleep suitcase open shopping everywhere . chair sit little space hang thing . also look like old writing desk drawer could use put clothe tv stand . quaint feel building , could almost forget New York inside . desk room actually sew table old sewing machine underneath ! store luggage whilst spend last hour city even bring outside get back late taxi wait , ( ahem ) ! ! third trip new york , ' ve lucky time accommodation , definitely favourite . quiet street , walk metre 8th Ave , shop , plenty place breakfast , lunch dinner . Tube stop near greatly locate go city , . I m always go recommend place anyone go , would certainly stay next time go . 
 Jul 5 2008 	 would not stay anywhere else ! ! ! ! 	 get back wonderful 4 day trip NYC greatl experience stay Chelsea Lodge . go fully aware room small , yes , spotless charming . call LODGE ... be exactly feel like . staff nice welcoming . share toilet problem . great air conditioning ... need hot . located safe street Chelsea ... step away many restaurant cafe . great morning coffee pastry try La Bergamote 9th Ave 20th . the Lasagna Ristorante 8th good well . stay Chelsea Lodge make u feel live visitor typical sterile hotel room . expect 5 star luxury hotel ammenitie probably disappoint Chelsea Lodge .... want affordable , safe clean accomodation lot character right middle everything ... u beat place . could go day pleased . great find .... DEFINITELY back . 
 Jun 30 2008 	 Chelsea Lodge great find ! 	 husband stay Chelsea Lodge 2 night town see concert Madison Square Garden ( Pearl Jam ) . book hotel 2 reason : price location . price excellent consider location .... okay hotel Times Square nice , clean & amp ; fairly quiet neighborhood . it take we minute walk MSG also walk Times Square lodge . feel safe entire time room quiet . expect share toilet issue ... must say bathroom keep clean ( least third floor ) . hike step room drawback ... though 3 floor , unfortunately leg use steep step . the staff pleasant overall feel lodge quaint . would definitely stay . 
 Jun 6 2008 	 ok . 	 price location great - not happy lodge . room tiny - sink & amp ; shower stall , bathroom hall ... convienent go middle night . husband & amp ; felt cramp . lot luggage ( 2 carry - on suitcase , duffel bag & amp ; 2 backpack ) leave little room manuever . the bed uncomfortable way adjust temp - fairly chilly room night & amp ; freeze death . if stay area - must go Lasagna Ristorante - 's absolutely wonderful ! ! ! good pasta ever ! 
 Jun 5 2008 	 great base explore city 	 return week stay one ground floor apartment . find studio apartment spacious well equip 's small kitchenette . the location superb , lodge attractive quiet street feel safe , relax busy day . find staff helpful appreciate wireless internet . 
 Jun 2 2008 	 okay money 	 hotel excellent location . feel extremely safe subway ( red blue line ) 3 block walk away . & quot ; lodge & quot ; could use work . bed extremely hard . long day / night walk last thing want hard bed . also dingy smell place , tolerable . stay first floor share toilet . rarely otherwise occupy really not issue . shower sink work well room . get pretty warm outside one day , , fairly warm room . turn ceiling fan sprinkle dust bunny , kinda gross . much closet space , 4 hanger , bring extra plan hang clothe . desk dresser drawer appeal place store clothe , opt keep everything suitcase . flat screen room , channel not come well . however , rarley watch tv not really big issue . wall thin hear whenever someone else talk . reason place & quot ; average & quot ; b / c cheap NYC , safe , conveinent location . use chain hotel , place may take little getting use , worth $ $ $ save stay . 
 May 21 2008 	 could not stay anywhere well ! 	 read excellent review choose Chelsea Lodge stay New York April . ( book November though great demand ! ) get NYC point view great base , 5 min walk red blue subway line ( make sure get 7 day pass $ 25 , bargain ! ) also , easily walk towards Madison sqaure / empire etc bother .... plus get see sight way . the Lodge village Chelsea , find residential area . one great point . walk neighbourhood local , great , tourist sight ( well apart ) .Eating Chelsea superb . originally intend goto chinatown , little italy etc evening meal , sample eatery Chelsea think bother sit subway there s great place doorstep . we heartily recommend dish breakfast Italian / pasta place corner ( name escape ) evening meal drink . ppovide great food service cheap . rip - off tourist price here . although indulge meal Rainbow Room Grill one night 65th floor Rockerfellar Centre overlook Empire State Building . Google , brilliant place ! ( expensive ! ) hotel spotless clean , complaint . downstair basement one deluxe room private bathroom / toilet shower . great , towel change everyday . quite hot week , ceiling fan 24x7 , silent great job could kept night . 's cable tv room also . all 3 staff dealing lodge helpful . see people might find old chap little dour unhelpful , that s persona , helpful we allow we use internet terminal prebook seat etc journey home let we print boarding card leave case recpeption room day check out . we reservatition recommend Chelsea Lodge anyone . okay , ritz , cheap cheerful hotel heart Chelsea District . do not bother Tourist Trap Hotel , get Chelsea Lodge , will not regret . 
 May 18 2008 	 Chelsea Suites Rock 	 arrive morning drop luggage proceed JFK return car . take LIRR back Penn Station ( twenty minute 17.00 $ two weekend ) walk 8th ave Hotel 15 minute . James , manger duty ( great guy willing offer load information kind ) already take luggage put suite . he show we everything need know suite helpful information neighborhood . the subway 5 minute walk neighborhood fantastic location . there great restaurant place two market within 5 minute walk . also Whole Foods within ten minute walk . the Chelsea Market ( emeril film show ) ten minute walk away must visit explore gourmet food bake good . great coffee morning . the Chelsea Pier sport complex also ten minute away . check web page activity there . for 229.00 night find suite garden ( huge ) great neighborhood anywhere else Manhattan . stay like apartment Manhattan Brownstone beautiful tree line street perfectly safe walking late night . the room hotel 124.00 $ night . they small hotel suite ( five door hotel ) impeccably clean . the suite huge beautiful white marble bathroom look like belong Trump Towers room probably small start 1600.00 & amp ; night . could rave hotel night long probably say much already raise price . , hotel wife stay visit N.Y. City . 
 May 16 2008 	 Woke Chelsea morning first thing hear ? Birdsong 	 travel family group seven book two suite - one parlour one garden . hotel arrange level really useful . room queen size bed , sofa bed , chest drawer , tv cable , chair coffee table . parlour suite face street hot , small shower room , closet kitchenette . garden suite closet , large shower room small kitchenette . the staff helpful accept delivery book order US bookstore even return two face cloth take laundry mistake . both comfortable sleep , convenient subway , local shopping restaurant ( Empire Diner two block west two block north ) .Our teenage child feel confident enough go around feel comfortable allow to . would come back - definately ! 
 Apr 22 2008 	 good find 	 definitely worth stay Chelsea Lodge for:1 ) price2 ) location3 ) local amenities4 ) cleanliness room facilitiesI go expect like nice hostel ( i.e . clean , basic room , breakfast share facility ) not inaccurate , little touch ( fresh towel daily , new tv , complimentary toiletry etc . ) reinforce status guest house . would even well kettle room , understand probably much ask kind accomodation . tips : also problem morning ( 6.30am ! ) noise radiator room ( 2 g ) . however , people mention , really warm room anyway , ask guy reception turn we ( can not , involve unscrew cover ) - job do ! would also recommend request room 2nd floor ( sure 3rd basement , might ok ? ) , would not fancy stay ground floor lobby . 
 Apr 21 2008 	 simply good value NYC 	 want clean , friendly , helpful , no - nonsense place crash hard day 's sightseeing NYC , not hesitate book . small room , shower , tv , clean bed . watch upstairs room though- ridiculously noisy pipe , although moan ! situated pleasant , tree - line avenue Midtown Manhattan , short walk Empire State Times Square , far enough away avoid traffic noise . Mike guy helpful arrange transport , sort checkin would sleep - arrive 1 am - course , point great diner breakfast . luggage leave late flight checkout . entrance hall cover award , include Tripadvisor 's , book confidence . 
 Apr 21 2008 	 could well .... 	 stay basement garden suite 5 night . wonderful location convenient Subway , Chelsea Art Galleries , Meatpacking District , West Village . room spacious NYC standard & amp ; also quiet ( except foot traffic noise room ! ) Kitchenette poorly stock , boil water microwave . overall decor slightly tatty need updating . also superficially clean , not look closely fixture & amp ; fitting bed ! Garden neglect patch scrub . these issue outweigh excellent location vibrant neighborhood . pro : location , location , location . con : need refurb , neglect garden , kettle kitchen , poor cleaning . 
 Apr 21 2008 	 great base expore 	 stay Chelsea Lodge last week ( 12/04/08 ) four night really love time . room basic rather small everything need perfect especially not really intend spend much time not . room check daily bed make clean towel leave . guy reception helpful let get stay , feel safe secure . also like Chelsea great place kickstart trip lot shop bar cafe nearby well subway link uptown downtown area really quickly . I would definitely reccomend friend . 
 Apr 5 2008 	 Lovley . 	 room small compact , contain shower , sink , double bed desk . free WiFi . not let share toilet put . cleanliness excellent decor lovely . room stay 3 night back build quiet . find location Chelsea lodge great 2 minute walk away near tube stop . partner stay budget accomodation NYC far good . definately stay . surprised rank # 13 ! 
 Apr 4 2008 	 pretty good con 	 room probably one bad building , face street one end lobby end . quite noise street ( luckily W 20th Str pretty quiet street ) guest enter building / lobby . also kind waterpipe running room everytime someone use shower could hear water go pretty loud . despite noise , not keep awake night pretty tired walk around day long . the room though cute . yes , small , space available use effectively . clean well . even small flatscreen tv , channel offer basic . have mixed feeling staff . clean staff friendly , one guy behind desk look like kind stranger enter building . weird guy . the location pretty good , be short walk 23th Street subway stop . plenty place get good breakfast . overall pretty happy stay . room improvement , feel offer good value money . 
 Apr 2 2008 	 Charming room great value ! 	 stay Chelsea Lodge 2 night february 2008 . be look hotel New York ( even hostel budget thing ) , ' ve already find expensive ! will spend least around 150 usd per room per night . would say , give money something be worth go Chelsea Lodge ! ! ! great location beautiful street , 2 block subway avenue find great deli 's ( good breakfast place 8th avenue ) . room small not bother we , 's room enough two people , even shower , read table suitcase . room adorable , charming color nicely decorate ( be use budget hotel , even expensive hotel look like : & quot ; god could ever decorate room ugly & quot ; ) . important , spotless CLEAN . bed shower good . toilet across hall , clean never wait . staff unfriendly we . incident heater suddenly make lot noice morning ( call staff something ) , probably not happen everyone time . not look not hesitate , find great little secret fantastic city ... 
 Mar 31 2008 	 Great Location Great Price Bad Sleeping 	 stay three night early March , definitely glad find little place ! room small quite clean , toilet right across room never occupy need ! shower room cause little heat , easily resolve open window crack . the street noise bothersome , hiss radiator become alarm clock , reliably & quot ; go & quot ; around 6:30am every morning . plan get early enjoy trip , not big problem , visit place winter plan catch extra hour sleep , warn ! 
 Mar 25 2008 	 Home home 	 stay Chelsea lodge March year amazing time . I arrive massive rain shower drip wet staff could helpful . room 2nd floor perfect homely . whole place feel homely quiet st actually feel like live like new yorker . room look back yard wake every morning sound bird tweet , love would rarity hotel . staff always friendly talkative ask previous day plan current day . even clean staff really nice friendly room towel clean everyday . there great cafe round corner 8th 20th 21st call Dish go every morning breakfast food staff amazin . complete feel new yorker get know staff like local would . I 5 night total complaint stay be not long , hey that s fault . go return NYC next year would even think book another hotel stay whenever return now . dont delay - book today concentrate trip without worre hotel like , book gaurentee will not disapointe . 
 Mar 23 2008 	 bad room room probably well 	 pros- Clean- Shower basin room- Comfortable bedCons- Toilet hall ( although never wait ) - mixed quality staff - experience one reasonably friendly one extremely unfriendly person behind desk- Street noise - attempt sound - proof window all . room extremely small not issue . however , bother location room , open directly onto reception desk / entrance hallway . felt expose like privacy every noise could heard door , include conversation people enter hotel reception staff . stay , make sure give room . complain tell room available . concerned would kept awake night guest enter hotel end lucky ( stay one night ) - would big gamble , though , give room . also uncomfortable walk across reception get toilet . overall , rate hotel 3 star clean , lucky enough guest keep awake night stay , imagine stay upstairs would much privacy 
 Mar 19 2008 	 Pros Cons 	 pro : great place stay . great price clean ! lodge give guest feeling live real New York City Apt . great community locate near Subway ! unique different ! con : staff friendly familiar area help need . willing assist . stay research trip take laptop . sheet change ... maybe stay . leave something willing help get back . say , & quot ; ! & quot ; ... check area leave . community restroom . 
 Mar 17 2008 	 nearly Perfect ! ! ! 	 stay Chelsea Lodge 4 night extremely close perfect stay . from read previous review know expect term room size , toilet share etc issue . room : room , although small , extremely clean really everything one could need . problem 6 ' 3.toilet : toilet sharing issue . never wait toilet spotless . 3 floor enough go round . location : location Lodge probably real selling point . New York twice previously occasion feel actually live like New Yorker . fantastic area . safe , buzz load restaurant bar . really fantastic end come back area couple night . staff : helpful without go win award friendliness . small talk definitely order day 24 hour issue . noise : Lodge lose final star . noise street New York busy issue . hear guest relatively minimum ' go long . noise issue heater room . 2 g every morning 6.30am heating kick radiator begin hiss steam ridiculous noise level . go 2 hour morning . not make deal get early price good extremely irritating . all would recommend lodge great value , amazing location clean . go prepared term room size possible noise will not problem . 
 Mar 1 2008 	 Great Price ! ! 	 not check close midnight due flight delay , staff friendly . also let we keep luggage 8:00 p.m. flight leave . room indeed small , feel cozy homey decor . not think beat price quality NY . room get quite toasty especially shower crack window cool . could also hear anyone hallway next door wake we several time . 
 Feb 11 2008 	 Perfect Budget - Friendly Girl get - away 	 great location ! Perfect not want spend lot money . room small , already know go . try ask b room . seem little big c room . really close subway station . safe clean . share toilet great .. clean bother . food hit Murrays Bagels right around corner 8th Ave . Great brkfast big day . also Empire Diner 10th ave/22nd - great french toast ! ! ! ! ! 
 Feb 11 2008 	 definately back 	 stay Chelse Lodge week New Year period absolutely love . single female alone New York , feel like stay spare room friend 's house rather hotel . room 3H really quaint nicely decorate , bed one comfortable sleep anywhere room clean fresh towel replace daily . James , Mike Jose work behind desk , could not friendly really make feel home . also happy neighbourhood , enough restuarant / supermarket choose immediate area well 2 Starbucks . breakfast - Galaxy Diner cnr 8th Ave 19th street must . burger - Better Burger cnr 8th Ave 19th Street also must , karma ketchup devine . use subway cnr 8th Ave 23rd street everyday never problem . plan another trip New York 2009 definately stay Chelsea Lodge . 
 Feb 6 2008 	 great hotel 	 well place well city . great price hotel . ' m sure back soon . 
 Jan 30 2008 	 Great Value Fantastic Location Clean 	 yes room small , stair steep toilet hall , stay Chelsea Lodge , be great neighbourhood , be pay arm leg , be minute subway stop . place charming , central , clean great value . want New York ? ! ! tip : great coffee , turn right exit hotel , cross 8th walk half block will find Cafe Grumpy . quick coffee muffin / pastry be good go day . 
 Jan 29 2008 	 stay one suites - live like new yorker ! 	 stay one garden suite , house main building new year , ten night highly recommend ! bathroom big clean . kitchenette useful - could not eat 3 time day american size portion breakfast ( captain crunch ofcourse ! ! ) head morning ! bed big comfy room large ( something often find New York apparently ! ) . fresh towel daily room clean late morning every day . as location perfect ! Chelsea feel really safe number restaurant , mile well quality near Times square tourist area ( also eat Grenwich village ! ) couple block subway station take everywhere come back suite quiet tree line street perfect ! go 10 night not want centre thought would get bit much - sooooo many tourist ! ! get away time subway ride away anywhere New York ! recommend chelsea lodge suite would stay ! fantastic place complaint heating little noisy night would occasionally wake , lovely warm even though flippin ' freezing outside ! ! tips:1 ) arrive airport GET YELLOW CAB ! ! law NY journey airport manhattan $ 45 , $ 60 toll tip . queue look massive zoomed . see load people getting rip left airport approach private driver say queue would take hour yellow cab would cost $ 100 dollar - cheap ! not listen , true ! ! ! get yellow cab ! ! 2 ) need supermarket come chelsae lodge , turn right , go end block take leave , go two block corner cheap supermarket find near chelse lodge ( want semi - skimmed milk 2 % fat milk ) 3 ) use unlimited subway pass save fortune ! ! 4 ) safe room padlock suitcase use lock valuable insteadenjoy chelsea lodge suit rest New York amazing time ! ! 
 Jan 28 2008 	 place live review ! ! ! 	 research many New York hotel come across Chelsea Lodge . glad find place . close everything want see . subway stop block away . easy walk . definately stay return New York , room describe . small need . bed , dresser , desk , tv . not need anything else . shower room toilet hall . one ever use bathroom go not big deal . maid service make bed day provide fresh towel . room sleep . go rest time sight see . would definately recommend stay . 
 Jan 25 2008 	 delightful litte hotel great location ! 	 come NYC want place stay will not break bank , can not beat Chelsea Lodge . yes , room small , cute button , immaculately clean even sink shower . two toilet & quot ; hall & quot ; ten pace away , never wait one . someone comment street noise , room second floor face interior courtyard not stairway , never hear sound night . staff friendly -- let borrow computer check return flight print boarding pass . room size really not issue -- sleep night , since hotel three block away subway , get around NYC could not easy ! get corner block treat great view Empire State Building -- sure see night since be light colored light . side street quiet neighborhood feel safe , even walk midnight . so bottom line not mind small room , can not well even pay much somewhere else stay Chelsea lodge . price , cleanliness location make unbeatable ! 
 Jan 25 2008 	 finally -- -a charming hotel NYC without break bank ! 	 husband tour East Coast , NYC one stop middle trip . stay Manhattan 5 night feel fortunate get reservation ( several month prior ) Chelsea Lodge help make stay wonderful ! yes , room small , charming , cozy way . whole ambience room make feel like be stay family member 's guest room , unfamiliar hotel . bed surprisingly comfortable feel home snuggle night . also , location Lodge awesome -- 's cute street Chelsea district Whole Foods 5 minute walk away ( every morning breakfast ) . also , subway also 5 - 6 minute walking distance . not guess already , stay : , price unbeatable , book early ! definitely stay ! 
 Jan 23 2008 	 Disappointed hotel 	 spend five night Chelsea Lodge son , daughter son - in - law . stay garden suite , ( separate building ) son , ensuite - tiny , kitchenette . daughter son - in - law main building room tiny ! room clean , however , whole place well past ready refurbishment . three large window room bright , however , two white venetian blind third cream curtain take eye mask help sleep . 
 Jan 18 2008 	 Fun socialize chance sleep 	 location great , room clean quite special shower room indeed luxury NYC price . : not expect able sleep queen bed not use good earplug . hole door floor make 1 cm - noble old house , indeed , nothing do even cheap soundproof . will definitely enjoy location look inside - enjoy hear every room reception time one 's bed must deaf man 's dream . 
 Jan 16 2008 	 incredible bargain - brilliant find 	 impressed place : would certainly recommend anyone look budget place stay NYC – incredible bargain $ 150 / night far nice hotel room brother pay twice much couple block away . our room ( one two deluxe room basement ) big many building ( fact plenty room three suitcase lot shopping ! ) full ensuite include toilet – definitely worth extra $ 20 / night mind . take peek one standard room - compact perfectly adequate sink shower toilet - high ceiling make feel less claustrophobic . imagine standard room ground floor hallway could noisy though , people coming go . obviously Chelsea Lodge facility " proper " hotel – check pretty much leave alone get – someone desk day evening need help advice friendly quiet sort way . room spotless , décor quirky fun , shower powerful , hot water plentiful , clean towel provide every day bed standard double size , perfectly fine . the location fabulous - convenient midtown downtown nice quiet street safe area good local facility include several nice place breakfast . the negative hot room – though ceiling fan ( A / c summer ) - find could open window ( feel perfectly safe bar net ) , fine . do not hesitate book stay place - 's good review suggest . thank Chelsea Lodge great stay , tripadvisor helping find ! 
 Jan 10 2008 	 love 	 decide not want pay NYC price mediocre hotel room think would look something little different find Chelsea Lodge . read review Tripadvisor decide book not disappointed . yes room quite small ( everything need place hang clothe , set drawer , tv etc ) , perfect wanted never spend much time hotel anyway . shower ( lovely hot powerful ) basin , toilet outside door never wait . one good thing hotel clean , would much prefer slightly small room stay somewhere describe spotless . the location fab , good bar , restaurant shop nearby ( try dish breakfast Billy 's bakery wonderful New York cheesecake cup cake ) . also subway nearby use quite regularly get place NY know want see also husband run marathon save leg ! Chelsea Lodge fab little find would definitely stop . 
 Jan 9 2008 	 major complaint 	 stay Chelsea Lodge last 4 night honeymoon early November ( 2007 ) . location wise ideal , short walk nearest subway station although tend walk place see . Chelsea friendly neighbourhood would highly recommend . Chelsea Lodge beautiful brownstone pretty street . bedroom small clean , tidy everything need . shower sink room shower excellent . share toilet 3 metre hall , although initially apprehensive absolutely fine , clean , fresh importantly always empty . stay ' include breakfast however problem find excellent place eat near Chelsea Lodge . grievance place owner rude . previously come excellent B & amp ; B Boston receive superb service even apparent . welcome helpful ask question area . return back end day would simply stare we acknowledgement . find incredibly rude would use Chelsea Lodge future reason . visit NYC realise customer service compare receive part US however intimate b & amp ; b setting expect well . disappointing ! 
