wonderful 	 completely satisfied hotel . room amazing , love kitchen area complete fridge , microwave , stove , dishwasher . everything spotless clean loved huge bathroom . location quite nice ( ten minute walk heart downtown ) Harry Carey 's House Blues across street . staff kind helpful . free breakfast , evening appetizer , evening drink excellent bonus . stay ! 
 Nov 11 2008 	 Smallest Residence Inn Rooms ever 	 husband , teenaged son stay last weekend . one bedroom suite small square footage ever ! rearrange living room furniture open sofa bed . bedroom enough room king bed 2 nightstand one foot area foot bed walk . hotel new ( less year old ) furnishing , tv , bathroom kitchen area nice . two tv flat screen . not tell property join Marriott Springhill Suites hotel share minature pool top floor ( also share exercise room ) . take forever clean room Saturday ( come 4 p.m. go day ) . breakfast good . also room front hotel valet -- jockey spot street load unload . 
 Oct 27 2008 	 Excellent stay ! 	 stop search over - price hotel ! picky 35 - something couple want stay affordable , yet accessible activiite downtown Chicago . Residence Inn really easy get . forget rent car , hop CTA blue line O'Hare get Clark / Lake Street station . , be literally 7 minute walk hotel ! staff service excellent . check receive spacious studio - king room 24th floor face east . super quiet hotel - could not believe large urban city . hotel offer great breakfast every morning . pastry , egg , cereal , home cook waffle , yogurt , fresh fruit , pancake , sausage , home fry ... etc ! ! ! book rate $ 189 / US per night Thurs - Sunday AAA directly Marriott site . issue whatsoever . can not say enough great hotel super CLEAN ! ! ! stay , forget waste hard earn money & quot ; & quot ; hotel along Michigan Avenue noisey extremely expensive . 10 minute walk Michigan Mile , State Street theatre district . fun ! room 2414 great , highly recommend ! 
 Oct 25 2008 	 Excellent hotel location 	 would agree almost previous positive comment . yes , odd ' split/ 2 level ' lobby welcoming , food quality breakfast ( especially evening ) could well . also , bathroom basin main bathroom , bedroom . but , otherwise , great stay . location convenient , several good restaurant nearby [ include modern italian one 200 yds away nearer river N Dearborn St , french one ( Brasserie Jo 's ) around corner ] & amp ; safe ; staff friendly helpful ; room clean comfortable , ( rare large hotel ) well sound - proof ; house - keep staff always clean dirty coffee cup filter every day ; request room location meet ; check in / out quick , could access room 5 hour early ; perhaps slightly off - season mid - week , problem crowd breakfast slow lift , room key work ok ; convenient breakfast include . notice hotel laundry room , could useful . still build work take place next hotel - West well South , maybe worth ask N e face room 
 Oct 20 2008 	 great hotel pleasant experience 	 ' ve stay quite hotel downtown Chicago definitely one pleasant stay . room clean new , really take back friendliness staff . every time see staff member , ask stay go room anything , even run elevator ! hot breakfast good breakfast diner Chicago hearth room comfortable inviting . would definitely stay ! 
 Sep 1 2008 	 ` ` Great Hotel '' 	 Great Hotel stay two night , Staff great ! ! ! 4th trip chicago , stay hotel . shop around great deal . 
 Aug 18 2008 	 great family young child 	 spend 4 night Residence Inn River North downtown Chicago 3 young child . fanastic experience - my son say favourite vacation ever . hotel brand new employee definitely rookie - everyone speak polite , helpful cheerful mood . hotel clean . include breakfast abundant . room spacious clean . child stay living room pull - out couch cot without complaint . use exercise room pool every day . pool great afternoon activity dinner everyone tire walk around Chicago . hotel 's location excellent . easily walk Magnificent Mile , river , Millenium Park , Sears tower many attraction . park car never use whole time . kitchen room note 2 burner cook top oven . microwave . grocery store - Jewel Osco , within walking distance not want use hotel 's free grocery delivery service . great time definitely stay Residence Inn Chicago city US . 
 Aug 14 2008 	 early check - out Beware 	 originally book 2 night hotel . close stay date , decide make stay short . call hotel see need cancel second night . inform need cancel check day early would okay . enjoy one night stay check next day 11 . give card clerk ask everything okay check ... said & quot ; be set & quot ; . dismay , hotel charge us night proceed send we invoice indicate check 12:59 second day . beware make sure get receipt . 
 Aug 13 2008 	 nice hotel 	 stay hotel August , 2008 - family four - 2 adult 2 teenage boy . one bedroom suite other write , small plan spend much time room . bed take entire bedroom unfold sofa , take living room . fortunately time appreciate able walk everything - Hancock Tower , Michigan Ave shop , Art Museum , many restaurant ( Hard Rock , Harry Carays , Weber Grill ) plus : nice selection breakfast , though much crowded weekend day ; great location ; clean ; complimentary internet terminal ( two ) ; friendly staff ; kitchen convenient . negative : ask towel every day , give we 3 4 people . sometimes call twice . wait elevator frequently . incredibly heavy door room , though quiet , perhaps block noise ? odd arrangement enter one lobby take another elevator main lobby , especially carry luggage . all , would stay . 
 Aug 11 2008 	 vacation 	 staff Residence Inn exceptional . pleasant helpful . lobby large clean . however request early check receive . arrive shortly 2 pm room ready . regular check 3 pm . also request extra towel room , extra room . we corner suite suppose floor ceiling window , not quite way ceiling .... - window smudge previous people room put hand glass ... kind gross . sleeper sofa matress cover pull hair . make bed sleeper sofa bed clean . rest room clean well . breakfast good . traditional make waffle , cereal , dough nut also egg sausage . problem breakfast day check . Breakfast serve start 6:30am day food not bring 7:00am . inconvenient since leave hotel 7:15 catch Amtrak home . would stay though . bed comfortable staff friendly . 
 Aug 6 2008 	 great location cramp four people 	 family four ( 15 20 yr old kid ) stay long weekend . loved location , course standard Residence Inn ammenitie free full breakfast , in - room kitchen . location good - ten minute walk Mag Mile , 15 minute walk Navy Pier . Jewel Whole Foods Trader Joes five minute walk away . movie theater , etc also short walking distance . exercise facility 12 machine ( treadmill , bike , eliptical trainer ) well weight . pool small - splash size . nice view city facility . we reserve & quot ; extend studio & quot ; - large regular studio , request fold bed . arrive , tell hotel provide fold - up due fire code . make bed 15 yr old son floor ( push small kitchen table two chair corner ) use couch cushion extra set sheet / blanket . aware sofa bed extend , meet foot regular bed , crawl night get . son floor well , precious little room spare ! 
 Aug 5 2008 	 heart downtown 	 place great big room nice lobby . good place go working room . would recommend hotel anyone travel Business pleasure . able get anywhere train cab nice . 
 Jul 29 2008 	 good hotel stay Chicago yet 	 wife stay & quot ; work vacation & quot ; July 19th July 27th . considerable amount luggage since stay nine day . bellman courteous efficient help we luggage arrive leave . able check we immediately even though arrive 1:00 pm , two hour early . corner room floor ceiling window 27th floor ( pay extra $ 10 ) . nice view west . room not large unusual configuration , kind & quot ; U & quot ; shape wrapping kitchen , dining , sleep area around central bathroom allow view outside wall . make seem small , fine . 's close fire station . two glass wall , even 27th floor could hear siren several time day , not problem . full kitchen . Nicer counter top home . refrigerator great leftover deep dish pizza snack . close many good restaurant train . 's new hotel everything immactulate . breakfast buffet well . dining area get crowd not quite large enough . stay next time visit . 
 Jul 29 2008 	 overrate 	 First positive : furnishing nice comfortable , fitness room nice , breakfast fine . that say , arrive one help we bag lug luggage car seat second level check room . importantly , room ( studio suite ) tiny . pullout couch pull , barely room walk . example small poorly design room , bathroom door enough swing area would get stick toilet try close . room would fine person travel solo , family four forget . . . even solo travel would likely get claustrophobic . bottom line -- overrate . 
 Jul 28 2008 	 Loved ! 	 book hotel Priceline get exceptional deal ! complimentary breakfast great ! also social hour evening weekday one day , band open bar ! ! ! location excellent , walk distance shopping area . tourist attraction nearby , get taxi $ 10.2 issue : 2 elevator 19 story hotel wait time . parking $ 45 day , expect metro city . overall , would highly recomment hotel anyone . 
 Jul 21 2008 	 Loved hotel ! 	 review tripadvisor.com decide stay Residence Inn / River North . ' girl weekend & quot ; trip . greet bellman take car vallet parking help we bag . staff helpful get we room . pay corner city view room . ask we want high floor could see . ( 27 floor ) mom thrill idea 12th floor . still decent view could see mostly construction . upon enter room find small kitchen completely equip stove , microwave , full - size ref small dishwasher . small dinette set window . room shape shape staple . bathroom nice sized sink dress area separate shower toliet . bedroom kingsize bed . double sofa sleeper . tastefully decorate could tell recently redone . quite bed quite . two thermostat could control temp two room . breakfast nice offering sausage , egg , waffle , french toast , potato , oatmeal , cereal , fruit , yogurt , bread , muffin , ! rain hard left . car bring back bellman walk us car umbrella head put luggage car . heart . acrosse street & quot ; Holly Cow & quot ; Harry Carry steak house . two street Michigan Ave . want 4 block right Rainforest , Hardrock Ginos pizza . also , double decker bus tour stop right . take tour highly recommend . nice stay would tell choose Residence Inn / River North next stay . 
 Jul 13 2008 	 Excellent Hotel - Service Exceptional ! 	 brand new hotel great location - easy walk Magnificent Mile . hotel crowd , good reason . entire staff fabulous , nice helpful . great family breakfast include , nightly reception 6 pm . right across Harry Caray 's first class restaurant . thing disappoint one side corner room , view hotel construct . staff apolologize give extra Marriott Rewards Points . would DEFINITELY stay . rate get $ 199 , think real good . 
 Jul 10 2008 	 Residence Inn great find ! 	 stay one night Residence Inn call receive good rate . stay many hotel Chicago , top list . walk hotel not lot fluff like large , grander hotel . security , ground level go lobby floor check . take another set elevator floor . door room heavy seem like security design . staff nice friendly . staff even take time get dog travel family bone . room everything would want room . clean silverware , bowl , refrigerator , microwave extra . give negative would pool small side , deepest 4 foot . not hesitate great find Chicago ! 
 Jul 5 2008 	 beautiful Stay ! ! ! ! 	 brand new Marriott Residence Inn ! 's comtemporary decor , clean brand new ! nice location . bad walk Navy Pier . Taxi to / from o'hare $ 36/ $ 40 . breakfast really nice well expect . plasma tv , business / computer / internet fax area nice view . staff help . door man Bell staff top every need ... open door , hail cab , give suggestion direction . bed comfortable . 12th floor pretty good view . visit pool area 27th floor . cvs right corner around block far . buy thing cook suite beer / liquor snack . beer , juice snack expensive Marriott R.I. mini market . $ 5 single bottle beer $ 3.25 small bottle Ocean Spray Cran / Grape juice ... ouch ! hotel connect another Marriott hotel & quot ; Springhill Suites & quot ; think 's call be right next door obviously brand new ! great cost location . highly recommend . stay Thursday , July 3 - Saturday , July 5 get late check 2 pm ! regular check 12noon . 
 Jul 4 2008 	 great new hotel downtown Chicago ! 	 go Chicago Memorial Day weekend — I originally go stay ' Hare shopping come across great deal Residence Inn River North section Marriott ' website . since dread hour - plus El trip back forth plan spending trip downtown anyway make reservation . ' hard - press find convenient amenity - laden hotel price — it ' Magnificent Mile Loop , El stop couple block away . thing 's weird one building contain two hotel -- one side Residence Inn , SpringHill Suites , Marriott property . this brand new ( open April 2008 ) all - suites hotel , contain full kitchen , free internet , flat - screen tv gorgeous décor . hotel offer free grocery delivery service well delivery local restaurant ' feel like cooking go . ' baseball fan near El stop red line easy access Wrigley Field ( Cubs ) U.S. Cellular Field ( White Sox ) . ' worry walk around night — this good area . staff excellent friendly . eat around pricey ( seriously , people , know be going get rip hotel food , bother eat ? ) definitely take advantage kitchen -- 's Jewel / Osco supermarket right near El station . quibble not remote printer could connect room ; use business center 's two workstation , seem constantly occupy people spamme Facebook . nonetheless would absolutely stay would recommend anyone want stay downtown Chicago ' want sell firstborn afford hotel room . 
 Jul 4 2008 	 Good Central Location 	 Overall , good hotel good location . include word & quot ; overall & quot ; couple issue . great hotel family kid business travel expect & quot ; luxury hotel & quot ; service . love Marriott line stay Marriotts hotel usually stay & quot ; regular & quot ; Marriotts JW Marriotts be use aware noticeable difference level service . book 2 - bedroom suite 5 night family 4 ..... mom , dad , 2 teenaged boy . would stay travel boy . we , favorite Chicago . thing liked : location good . easy access & quot ; L & quot ; use . central location be shop , site see business . the room spacious nicely appoint . good decor picture show online accurate . free breakfast morningbathroom .... always like sink area separate toilet shower room thatgood laundry facility -- 8 10 front loading washer dryer good job $ 1.00 per wash $ 1.00 per drygood fitness centerfree wireless room work wellnice new flat screen tv 's living area bedroomlove full kitchenOur room desk kitchen table great workspacefriendly / helpful staffthings not like : location .... huge hotel build directly south Residence Inn . end side building , cityscape view -- window dusty view construction , be high enough , roof top . original 2 bedroom suite view ask move . front desk manager accommodatingThe & quot ; living room & quot ; furniture look good layout horrible watch tv .... chair comfortable & quot ; couch & quot ; really good sitting ..... although work well sleeperno mirror living area ..... always like case get ready timeNo room service -- know go stocked kitchen . also snack / beverage sale near front deskthis new hotel staff new hotel work show . dealing 2 different front desk manager -- name Katie -- fabulous check person desk could not answer seem basic question hotel / location , valet never ask need cab ( cab readily available ) card - key serious problem we . go probably 10 key .... know , bring home say need destroy protect credit card info ..... diligent keep away cell phone , etc keep de - magnetize something replace mean head back elevator front desk . no pay per view movie video game . bring video game system hook tvtips : want good view adjacent construction go , request room window south sidewhen switch room manager show room Springhill Suites side hotel . corner king room face north / east actually get glimpse river lake . view great like decor Residence Inn well ...... Springhill Suites & quot ; retro & quot ; ' m age group already live furniture life look old : - ) parking $ 41 day valet park surface lot directly west build less $ 20 
 Jul 4 2008 	 wonderful ! 	 new property , expect hotel good - exceed expectation big time ! corner studio suite amazingly comfortable king bed , plus sofa bed , adult son sleep find comfortable enough . additionally , kitchen table load load window ! 15th floor even glimpse river ! breakfast good staff extremely friendly . location superb . fault ! 
 Jun 27 2008 	 great location ! 	 right heart downtown , hotel within walk distance ton site Chicago . staff friendly , always greet we warmly . breakfast buffet include price room evening beer / wine happy hour lounge . love ! room fantastic . upgrade one bedroom , love space - downtown hotel , think really large . 
 Jun 21 2008 	 comfortable property vibrant location 	 visit brand new property week Memorial Day thoroughly impressed . suite spacious elegantly decorate art deco flourish . service , start car valet front desk cleaning staff , flawless , friendly , without attitude . wish could say previous visit Pen overprice & quot ; lux & quot ; property & quot ; Boul . Mich. & quot ; suite 's kitchen ( equip range top , microwave , full size fridge , & amp ; dishwasher ) give we latitude get quality , economical meal Whole Foods Market 4 block away . let we occasionally splurge many quality restaurant nearby -- try deep - dish pizza Lou Malnati 's 3 block away ! property 's River North location make easy walk everywhere . Michigan Avenue wealth shopping 5 minute walk , vibrant restaurant establishment Rush St ; Art Institute Millennium Park 20 minute away foot . less inclined walk , bounty cab eager spirit away . surround wherever go magnificent urban architecture constantly evolve good antidote suburban boredom . sure bring camera ! 
 Jun 13 2008 	 FABULOUS new hotel ! ! would recommend anyone ! ! 	 hotel INCREDIBLE ! ! first one ever stay room , perfectly clean & amp ; beautiful ! ! also one least expensive hotel around , high quality ! ! Breakfast Bar huge , ton great food option include fresh waffle , fruit & amp ; yogurt parfait , donut . decor modern chic elegant , staff friendly ! ! also love exercise room , personal tv 's every piece equipment . pool small side , top floor view spectacular ! ! right Magnificent Mile & amp ; Theatre District ! ! block away Rainforest Cafe , etc . many good thing say hotel ! ! ! ! ! ! ! 's FANTASTIC ! ! ! ! ! ! ! ! ! ! ! 
 may 30 2008 	 1st guest room 	 great location . interesting entrance . room great . 1st guest room , spa great view top floor , enough elevator handle busy weekend Cubs Fans ! ! ! 
 May 28 2008 	 Brand new hotel great location 	 stay brand new property Memorial Day weekend great price $ 189 night , directly hotel website + tax $ 41per night park . studio suite small adequate kitchen , table two , pull - out sofa chair flat screen tv . nice shower comfortable bed . every person encounter professional service - orient . hotel within walk distance Michigan Ave , Millenium Park Navy Pier many restaurant . complaint : breakfast area inadequate handle increase number guest weekend . overhead manager say completely book Saturday night , follow morning line 20 - 30 people try get glimpse muffin large average seating area overflowing . two people work could keep area stock , although give good effort . fault people work management , also work diligently clear table , poorly design serve area hotel size . nearly many problem Monday , although still quite busy . otherwise , hotel perfect every way , would stay , bank get free breakfast . 
 May 20 2008 	 Brand New Hotel ! 	 stay hotel May 13th , great experience . fly Midway take train Loop . quick 4 block walk hotel . ( two hotel , Residence Inn SpringHill Suites . Brand New . ) able check - in early ( noon ) offer different floor option , nice touch . stay 3rd floor , another reviewer note , main lobby social area 2nd floor . problem noise , room brand new comfortable . issue remote control room , quick call front desk new remote . studio , not use kitchen , full size fridge nice amenity , really like workspace strong internet connection . also , LCD tv great , able see anywhere room , picture clear . bed comfortable , bathroom nice clean . really like option glass door shower instead tub , Speakman shower head great . that evening stop complimentary BBQ ; hot dog , hamburger , beef BBQ even beer . SpringHill Suites side hotel host Grand Opening party , even food drink . social area ton sofas , flat screen tv wall fireplace . next morning stop free breakfast , top notch . the gym top floor well stock cardio equipment weight . great view city well . overall great stay , convenient location Michigan Ave Loop . staff friendly , amenity great . would recommend hotel . 
 May 19 2008 	 Great Hotel - Great Location 	 return four day stay Residence Inn - Rivernorth . great new hotel wonderful location . find easy walk Clark / Lake ( Blue Line O'Hare ) , close downtown Michigan Avenue location . since new , room nice full kitchen , nice furniture , comfortable bed nice bathroom . breakfast good staff amazingly pleasant . 
 May 15 2008 	 Great Hotel 	 spend 4 night new property . nice Marriott Residence Inn ever stay . additionally , staff great . every person front desk valet polite attentive . build downtown 3 block Michigan Avenue . 's easy get valet right front . car always take care call advance , every time ! lobby level 2 floor will not believe be Residence Inn . hotel one half Residence Inn one half Towne Place Suites . Residence Inn room much nicer . everywhere look , will notice detail . unlike Residence Inn 's , place look like regular upscale Marriott / Renaissance Hotel . studio nice . great view 23rd floor . kitchen nice granite countertop stainless appliance . furntiure modern comfortable . bed great . lcd tv HD . bathroom even nice . oppose useless bath tub 's , actually instal walk - in shower good size look upscale . grant , not cook ' m travel , kitchen ( primarily full size fridge ) great . Breakfast standard Residence Inn , egg , sausage waffle . however , always fill not take 10 minute 9:00 . every staff member extremely courteous make stay great . 27th floor great gym new cardio equipment TV 's attach , weight , smallish size heat pool spa . also laundry facility . overall , would choose stay Marriott Michigan Avenue , Renaissance Wacker two Courtyards Downtown . place great ! 
 May 11 2008 	 great hotel 	 wife , , mother 5 year 10 year old stay week early May . book two bedroom suite two large bedroom , one queen bed one King bed . two boy share sofa bed big come across hotel , adequate two . bed comfy . king bedroom full bath Queen walk shower . la arge sit room full kitchen . two bedroom plasma tv 's large plamsa sitting room . there free breakfast good selection include , scramble egg , sausage , potato , fruit , waffle maker , cereal , hot oatmeal various bread cake . there also free manger reception Mon . Thurs . 6 pm 7.30pm include nice selection hot cold food wine beer . there small well equip gym small pool 27th floor . not try pool believe quite cold ! hotel locate central area minute walk shopping area North Michigan Ave . State Street . nice restaurant nearby include Harry Caray 's , Maggiannos kid , Rainforest Cafe huge McDonalds . the staff friendly helpful , particularly Kozi reception . overall great time would return . 
 Apr 8 2008 	 Loved Residence Inn 	 husband stay last minute great deal offer grand opening pleasantly surprised ! staff enthusiastic , friendly helpful hotel well appoint . also fantastic location transportation hire week McCormick place conference . destination ( shopping Mich. Ave . , restaurant art museum ) within walking distance . would definitely stay ! 
 Apr 7 2008 	 great Stay Residence Inn River North 	 stay two bedroom suite three night ( 3/31 - 4/03 ) . room bed excellent . pool fitness facility nice . breakfast great . kid like well Embassy Suites . even though hotel open three day early , everything run smoothly . 
