great 	 enjoy stay Martinique first time visitor New York New Zealand - central everything want everyone helpful . eat restaurant three night stay New York meal great . especially enjoy able get meal 11.30pm show Broadway . would definitely stay . 
 Jan 2 2009 	 Central New York 	 although hotel old lot offer . centrally situate within 5 minute walk Empire State Building , Macy 's 10 minute walk Times Square . ask quiet room hotel give we one top floor great . huge comfortable bed four people could slept . furniture furnishing please bathroom well equip . overall well pleased hotel although say breakfast awful . amazing America give Britain buffet breakfast idea compete good british breakfast anymore . 
 Dec 31 2008 	 great experience ! ! 	 great experience Radisson ! ! family four visit Christmas holiday . stay 4 night . room fairly small , add charm NYC . receive complimentary full buffet breakfst every morning . food yummy buffet hold good variety satisfy even pickiest eater . everything cook perfection . nice fresh fruit , . inside room fifth floor . mean view ... courtyard middle building . fine we , though , never keep awake sound street . get good night sleep extrememly important enjoy day . go Empire get view city anyway . new towel clean room , bed make day , except Christmas day . little short staff day . fine . certainly make bed 1 day staff person home family holiday . next day , thing clean nicely again . we greet front desk competent soft speak friendly man help we check - in . bell hop ... arrive leave ... extremly helpful large disorganized mess luggage bag . doormen Awesome ! ! ! can not say enough good thing . help we humor smile . arrive congested busy . stop traffic help we get car spot , unload stop traffec get we parking garage . check wheel luggage across street parking garage wait we car bring . load thing car ask thing NYC enjoy . also ask we planing leave city . want make sure know get traffic . everyone hotel extremely nice we see staff nice guest . can not say enough quality kindness recieve observed staff ! awesome job ! hotel centrally locate place interest we subway get . easily able go Metropolitan Museum , St. Patrick 's , 5th Ave shopping , Grand Central , United Nations , Empire , Times Square , Broadway Rockerfeller , Ground Zero , Wall Street show night . pack fun even though weather cold rainy . grand time . thank Radisson . make good time we ! 
 Dec 31 2008 	 great service location 	 move Walcott , hotel need . book weekend shopping trip Mum birthday staff Radisson really great , find we quiet , twin room make sure everything ok we right way stay . hotel food good ( breakfast ) location perfect shopping round corner Macy 's ! ! terrible start weekend Walcott Hotel , Radisson great . 
 Dec 31 2008 	 wonderful experience 	 wife stay Radisson Martinique 12/24 - 12/29 wonderful experience . stayed & quot ; Club level room & quot ; book room Hotel web site find cheap expedia . Radisson change rate & quot ; low Rate Guarantee & quot ; 25 % Expedia rate . room $ 217 plus 20 % New York City taxis , check two day early line Radisson web site . room card ready arrive 2 pm . along room card 10 buffet breakfast ticket 10 happy hour drink coupon . room large New York standard . kitchen area microwave coffee pot neither use . safe snack refrigerator . breakfast buffet substantial scramble egg egg onion pepper . Bacon Sausage . french toast pancake . large bowl cut fruit also cereal bread . Coffe , tea , juice , etc . one day ten minute wait line . turn big meal day we usually another meal late day ( recommend Hop Kee 21 Mott street Chinatown . try crab cantonese ) number korean restaurant 32nd street outside hotel entrance . go one call PHO pho soup . Macy 's one block away hotel . go day Christmas twice . wife buy coat boot , shoe item . buy Fossil computer case . everything 50 - 60 % plus 11 % town pass Martinique front desk . loved location . please see rest trip New York City Christmas . 
 Dec 30 2008 	 Location -YES ! yes ! yes ! - come 's ! ! ! ! ! ! ! ! ! 	 first , arrive , seem lovely - go inside ! reception man two staff therefore check slow , loose cable / wire hang ceiling reception elevator floor . the room tiny ... actually tell . petite classic room may squeeze bed regular double good . noise outside room a / c rather annoying ( stay 8th floor still hear cars street noise single glazing ) ! breakfast good get early ( 8.30am ) otherwise queue 20 - 30 min . housekeeping hit / miss situation . one day room servicing . ask help tell due union rule may get help past normal work hour . end department manager clean / service room ! ! ! ok .. ok know seem like syae negative also add positive . the positive fabulous location . exit hotel right , walk 5 step 32nd street subway . get place without change . walk 10 step Broadway within sight macy' . the hotel also place immediately korean way cool restaurant karaoke ( be thing ! ) Times Square approx 10 - 15 minute casual walk . beware though one currency exchange nearby trouble system whereby able change money . bank nearby not change currency unless account hotel change currency full stop ! sum - not care room wether get enough sleep , want FAB location hotel , you . if need get anything do ask manager front line staff answer shirty response may even get reply one staff member ask housekeep issue- & quot ; will ask can not promise anything get do , sometimes bother ! & quot ; 
 Dec 29 2008 	 awful service Holiday time 	 location good , service terrible ! ask 3 time make room , one show . room clean . find lipstick mark glass . room service do not take away dish , stay room 2 day think away aisle . the room ok price , service disappointing . every time return room expect clean , several complain , nothing change . awful experience ever . 
 Dec 26 2008 	 Great Location ; price 	 let say little nervous booking due review read . however , ' m glad make choice stay . LOCATION perfect . first night 's sleep interrupt noise emanating pipe wall , upgrade brilliant , large room ' sleep number ' mattress . give voucher full american breakfast restaurant charge $ 20.00 nice benefit . ( breakfast buffet excellent . later tea cake restaurant late one night excellent jazz group play 11 pm ) walk door New York . want see play ? walk TKTS booth . ( PS Seagull perfect production ! ) subway line conveniently locate 15 step lobby ! staff upon leave keep bag safe could tour city one last time arrange ride Newark Airport . recommend hotel . 
 Dec 18 2008 	 second room Much well 	 reading af review think hotel go average . the first room small could even fit throught gap bed . it clean bath room . we spend first night room ask new one . after get new room much big give we room 12 floor , ( hear much trafic hear , would request high room view ) right next elavator hear all . the room sleep number bed still comfertable . the room 2 free bottel water also chair . the breakfeast humugus line do not think free . the consieare little weird helpfull . there 2 gift shop bar tv witch nice foootball game 
 Dec 11 2008 	 Disappointed 	 stay three night sister two child shop sightseeing weekend . location excellent , within walk distance shopping sightseeing . find reception staff awful , arrive 3.30 be tell ' wait 4 pm check , fine time state behind desk . decide something eat Martinique restaurant wait 10 minute menu shortly order present bill ! ! ! food took forever apparently oven switch , pizza not cook food arrive overcooked , disappointing . 4.45 return desk check room still not ready ! ask wait staff member unhelpful . wait 15 minute eventually speak another staff member . short discussion seem manager beckene we say offer we executive room due fact room not ready . room adequate small . would hate see original room like ! find bell boy staff excellent helpful , restore may faith hotel ! martinique restaurant lovely food , especially breakfast sadly service terrible , waiter listen order , arrive wrong drink , tea , butter , side order , etc . four we not difficult . busy service disappointing . hotel excellent location maybe unlucky experience wait long check travel Ireland unacceptable . 
 Dec 11 2008 	 great hotel location fab 	 arrive hotel check - in ask upgrade husband Radisson Gold card member . upgrade suite free breakfast ! ! aside , find hotel clean staff pleasant , though think room could bit paint ! bed SOOOOO comfy widescreen tv handy catch news . air conditioning bit date noisy , anything complain about . I would recommend hotel anyone . one block Penn railway station half block Macys - can not ask well location . subway route right hotel . I stay place find hotel good value . 
 Nov 24 2008 	 Outstanding Service great location 	 without hesitation would recommend Radisson Martinique . location , can not beat . right heart downtown Manhattan within two minute walk Macy 's Penn Station / Madison Square Garden . the staff courteous ever encounter . breakfast good plentiful . food restaurant delicious moderately price . try seafood pasta - unbelievable ! stay cruise Bayonne . suggest use hotel 's Towncar Service , concierge book . $ 80 fix price Bayonne cruise terminal . think great value , take away doubt taxi might charge . also clean right time , say last NYC ' limo ' company use ( see review . ) be golfer might interested see plaque outside entrance commemorate fact USPGA hold first ever meet hotel 1916 . Paul Azinger also name victorious ( boo hoo ! ! ) Ryder Cup team 2008 hotel . do not listen - try . will not disappoint ! ! 
 Nov 22 2008 	 complaint 	 stay one night business love see . spacious room ( consider suite possibly ) king bed , two full bath sit area entrance room . 3 window overlook front hotel street corner room service pricey good . entire room immaculate surprised size room 2 full bathroom great we get ready wait one finish person get . bed sleep number bed actually get full night 's sleep hotel room rare . side low floor city awake 24 hour get street noise siren pass otherwise hotel quiet . close need midtown shop right across way . great korean bbq rest . block too . will go back ! 
 Nov 20 2008 	 center beat path 	 recent visit NYC friend bachelor party pleasure stay radisson martinque . room small , visit NYC , should not spend much time anyway . rate .... hmmm ... tell friend pay , say ' that s almost free ! ' close everything , every taxi ride inexpensive . even walk several destination . great walk door go block look Empire State Building street Macy 's . take Amtrak city good 3 block walk Penn Station can not beat ! every doorman bell hop helpful friendly give NYC new image ... especially Joe Pesci 's ' sound ' alike , Ronnie . even teach PGA form inside building stay . can not wait return fun ! 
 Oct 19 2008 	 good hotel great location 	 stay long week - end NYC . great hotel , good service , clean , delicious breakfast perfect location . walk distance store 5th avenue , Central Park , Library Times Square . close subway station macy´s . 
 Sep 28 2008 	 love NY love hotel 	 hotel magnificent . great location . within walking distance Macy 's Empire State Building many must see place . also place board subway right outside hotel . staff AWESOME , willing answer question help way . good room bed . clean . a+++++++++++++++++++++++ ! ! ! ! ! 
 Sep 17 2008 	 great location 	 read horror story hotel , area etc . give GREAT room , 2 hour check - in time , 18th floor , direct view Empire State building . ok airconditione noisy - ? calm wear ear plugs night . service ok - nothing outstanding adequate enough . make online check - in hotel room indeed , key everything ready arrive . work well we . hotel locate subway ( orange yellow line ) GRRRREAT move around . Accross road Macy 's . good restaurant ground floor . overall , good experience appreciate receive nice large room . 
 Aug 31 2008 	 highly recommend ! 	 stay hotel week read previous review , bit dubious . arrive hotel 1.30pm serve friendly lady call Angela . check room ready , advise return 4 pm . return 15 min early Angela recognise advise room ready . my room lot big expect , especially offer we 2 double bed room , 2 we stay ! even get view Broadway Speedy 's outside ! room high floor problem smoke room safety problem encounter other . get 2 bottle complimentary water first day everything replace daily , apart first day housekeeper come check replace within one minute . the reception , concierge bellhop friendly helpful . hotel locate centrally , next metro stop also 2 block fast food chain shop also round corner Macy 's Empire State Building . also shop call Walgreens 2 block away , round corner Empire State Building , purchase many american goody decent price . not eat hotel 's restaurant can not comment , Speedy be conveniently across road . , lot place eat , starbuck every street NYC ! negative hotel opposite building work , room face side hotel , beware construction work could wake 7 am ! be early riser sleep anything , will not problem ! overall , find hotel fantastic , great location would highly recommend ! not forget bring $ 1 bill tip everywhere city ! 
 Aug 20 2008 	 Adequate problem look .... 	 stay hotel long weekend August ( 08 ) two boy ( age 13 & amp ; 11 ) . ' good bad hotel ; ' lowdown : location – ' midtown , one subway stop south Time ' Square , lot activity plan . also Central Park World Trade Center museum list , centralized location come handy we make little easy plug down - time we kid mid - day . another plus , subway station N , R , & amp ; W line literally hotel ' front door right . the hotel corner 32nd Broadway . 32nd street east Broadway Korea Town , primarily one street go 3 - 4 block see . ' time explore neighborhood much go 32nd street way . the bad location ' midtown address mean high room rate find . boy , good central location seem worth extra dough . ride subway extensively three day however , realize take thru city speed think , absent need kid , one could better hotel , say towards Battery Park , new cheap hotel locate . service – Check Saga – real problem hotel upon attempt check Friday afternoon . hotel , check 4 pm . arrive early tell might able get we room early . good thing ' count stall we till past 5 pm , claim someone else " still room , " , staff " check room . " overhear similar excuse give guest realize play game we probably short staff housekeeping way behind get room ready . after give hour past check - in announce front desk ( loudly ) need bring manager point family " disappointed " go . desk clerk try put promise room check say ( also loudly ) " not MOTEL 6 " ' expect see problem hotel like Radisson . manager notice guest ' manage delay hear head back way , suddenly find room available would meet need . find 17th floor – Executive Suites floor – ' little clubroom free drink , snack internet room floor . ' NYC , let add ( 1 ) hotel decide inconvenience , effective complaining get result ; ( 2 ) hotel old building city small , old room . executive floor room get consider one good room – ' anywhere near big nice even low level room say , Marriott DC area Virginia . ( 3 ) , find executive floor , whether design luck ( us ) , breakfast serve executive club room continental spread – breakfast probably get free ticket book downstair buffet full spread egg sausage bacon . service – Hotel Staff - mix bag we . staff , especially bell hop front door people terrific . order carry - out hotel ' restaurant one occasion find staff deal always willing happy help . one occasion guy deal try overcharge take bit back forth get straighten , need like hole head 10 pm ( ' open 24 hour , rare good thing ) . staff work executive club room part friendly helpful one notable exception – one lady apparently one hell bad week . cost – book hotel thru package Expedia.com – get we optimal set long weekend . think room come around $ 360 night , find similar comparable chain hotel area . choose stay chain rather independent . room service restaurant cost par part city . so be travel , particularly kid , not bad hotel short stay , prepared go bat encounter problem ! 
 Aug 19 2008 	 Great Budget Hotel 	 family vacation New York first time late July . wonderful hotel price . staff ( especially bellhop ) kind helpful . standard room clean ; comfortable bed w/ goose comforter pillow . small problem w/ AC unit first arrive , repair immediately . hotel lobby nice . hotel restaurant nice , food so - so . hotel centrally locate , ( 1 ) block Empire State Building ( 2 ) block Macy 's name brand store . drug store locate next hotel subway front door . wonderful time would stay hotel ! 
 Aug 18 2008 	 Robbed Radisson Martinique NYC 	 stay Radisson Martinique 5 days/4 night conference August 13 - 17 , 2008 . enter room little 3 pm within first hour , employee enter locked room upon see husband , said & quot ; sorry ... checking & quot ; hastily leave . aghast . husband lay nap shortly , second employee enter room say exactly thing first hurriedly shut door leave . I lay nap husband around 5:30 pm awoken phone call 9 pm daughter say woman call house upstate NY say find purse . could believe . doubt purse room fall asleep sit put receipt wallet purse husband sleep . I also put cell phone floor bed would hear NYC friend call meet we . also take . someone enter room sleep remove item ! quite nerve - wracking know someone enter room ( ! ) , right head sleep ... would / could happen one we awake ? o_0hotel security help . Front Desk manager ( ) help . would call police make find walk near precinct . Manhattan MIdtown South Precinct want know call 911 report robbery tell Radission say could walk Precinct . Police tell well aware Raddision Martinique management obnoxious way want police lobby reflect poorly guest . find outrageous . confront head security , state emergency could use 911 regardless police tell . real . the conference meeting planner make hotel give new room lot arguing want . one last day , receive call security purse find outside door new room . security refuse discuss investigation two employee would try enter room without knock anything . would give printout information company ... nothing . my personal feeling definitely & quot ; inside & quot ; job hotel anything shut till go away . not want hear anything reflect badly . not recommend hotel anyone stay , wish luck . 
 Aug 15 2008 	 Great Deal Fantastic Location 	 live NYC area occasionally need stay City business . many choice hotel perfectly situate frankly beat far quality cost . far bad price still great area subway entrance door hotel . 
 Aug 13 2008 	 Big Apple 	 back four night Big Apple . stay Radisson . staff courteous helpful . room clean tastefully decorate although bathroom small side . hotel right beside Empire State building Macys department store safe neighbourhood . arrive JFK , take yellow cab hotel . flat rate $ 50 anywhere Manhattan . also minibus service hotel cost $ 19 per person journey long tedious , stop various hotel along way . get get good rate hotels.com include breakfast delis cafe place . Speedys opposite hotel excellent price food per weight plate ! . also delightful small park right beside hotel offer refuge heat nice way breakfast and/or coffee alfresco . beware tip epidemic New York . expect restaurant even include bill . not intimidate . tip good service . motto rude taxi driver lose etc . big attraction go early . ferry Statue Liberty 8:30am , otherwise ticket sell afternoon . buy Grayline ticket sighseee open topped bus . really give feel city get main attraction . hop day . would stay New York would recommend friend . overall brilliant city break . 
 Aug 11 2008 	 Housekeeping ...... 	 spend day hotel New York . my room 15th floor . room pleasant . two king - size bed , spacious room . nice bathroom , thing need . spectacular . wich bathroom USA spectacular , standardroom ? ? location hotel excellent . walk hotel famous shop surround . good place . lobby small . pianist welcome . Litlle shop . take elevator take quiet long time . friendly staff . .... housekeeping problem : bathroom clean . find hair ont wall , bathtub . ; dirty traveller find . the wastebin empty well . cause flight back Netherlands late evening , want sleep hour day . but housekeeping : smash door , vaccuumcleaner hit door constantly , shout eachother . : not disturbe sign door , mean , please silence . understand housekeeping - emplyee work , sometimes make noise , way experience hotel . much . I ask little silence succesfull ! please member housekeeping : respect sign door , guest appreciate this . I hope staff hotel read view well , know guest experience . 
 Aug 8 2008 	 Great Location Good Hotel ! 	 Family Friends book hotel we . family 5 . friend first check receive one room not well understand . move give second room . room nice good layout room . room two double bed kid small enough ( 11 , 8 , 7 ) still fit three double bed arrange right . family five , quickly take space , plenty room take care four S. Sleep , shower , shave , let figure last S. long day tour new york , watch today show live , go met yankee game , bed enable we recharge battery good night 's sleep . hotel perfect location . take amtrak new york easy stroll union station . subway station right side hotel . part hotel staff friendly helpful . would take family , yes hope next year new stadium open . 
 Jul 30 2008 	 good solid chain hotel 	 arrive late hotel check quickly room 7th floor . stay two night , staff polite helpful throughout . room spacious ny standard large bed sofa / table . bathroom fairly date clean enough , shower excellent . slight niggle auto - pay minibar ( hate ) lack safe room . the good thing hotel 's location . easily walk Central Park , Soho , meatpacke district etc 15 - 20 minute , be right subway stop . overall , mean luxary hotel , price ok NY , be fantastic location mean 's great choice enjoy amazing city . 
 Jul 29 2008 	 definitely return ! 	 let clear ... give hotel experience excellent rating base fact lock $ 175.00 / night rate ( will get moment ) . service great arrival , room clean even view 32nd & amp ; Broadway . subway entrance right outside hotel convenient . right around block will find Macy 's ton amazing shopping . back price . still wonder get great deal , be secret ... Radisson 's Best Price Guarantee ! ! ! 's ... find low online rate , book room radisson.com , submit claim form ( find website ) within 24 hour verify low rate , match minus 25 % . get good deal , also not pay front . 's way go . say , pay full price , would high expectation see poor review . guarantee lock decent rate , please overall experience . 
 Jul 28 2008 	 would high score issue 	 book get good price stay 3 night say offer internet access . well , first night go download picture take day could access internet . call suggest come get bridge help signal . do still service ( funny thing could get service everywhere else around , include hotel next door , require cc use ) . call give number internet help desk ... pointless waste minute cellphone ( not use room .50 / min toll free call ) still nothing . sporadic laptop teh right place right time , want sit lobby . keep say work get fix use . problem breakfast buffet . decide eat hotel last morning check . Buffet $ 15 well big one less money . service bad , food mediocre glorify continental breakfast ( eaten simlar super 8 / best western free ) . may stay , verify internet work room eat meal . 
 Jul 25 2008 	 Great Stay 	 arrive early Saturday July 19th , know room would ready check bag bellhop go see matinée Broadway . return short wait check - in , front desk staff great pleasant . sign - up free gold point reward program check - in give free upgrade king executive room . great way start vacation . upgrade also give we access Martinique Club , provide free continental breakfast morning cocktail appetizer buffet evening . housekeep great keep room nice clean , even bring extra towel right request even still warm dryer . stay hotel every time visit NYC , close subway within walking distance Times Square Theatre District . check Tuesday July 22nd bellhop hold bag day evening flight . great time Martinique definitely back . 
 Jul 17 2008 	 right rate Radisson Great ! 	 choose stay Radisson base price location . Radisson low rate guarantee policy - find low rate anywhere on - line match minus 25 % ! find cheap rate hotels.com submit information Radisson - guarnteed room low rate - fantastic rate hotel New York City . location good - centrally locate close Macy 's Empire State Building . also easy Subway access use alot stay city . room bathroom small functional . not plan spending alot time room , okay we . the bellhop service excellent . travel another couple bellhop excellent unloading sort many bag . also hold bag we checkout could finish tour city without worry luggage . when write review Trip Advisor rate Radisson $ 444 / night - would not classify Radisson $ 400 hotel . excellent value around $ 200 / night . overall great stay Radisson ! 
 Jun 29 2008 	 great location Great Service Good Hotel 	 stay & quot ; penthouse room & quot ; last week overall satisfied . roomthe room large NY perspective ; bedroom , bathroom , also separate section desk large closet . sleep number bed great , clean standard good bath room good condition . two complaint though ; 1 ) hotel wireless network rather cable solution guest room internet access . room ( maybe top corner ) poor , , access . 2 ) small issue , easy fix , bathroom door open , force navigate around tight space get close . the ServiceCleaning good , room service quick , front desk new accommodating . guest services representative checked see fine towards end stay ( nice touch , would make sense contact guest early stay ) . complimentary breakfast serve 17th floor adequate . good serviceThe location32nd Broadway . 12 block Time Square , avenue Madison Square Garden . great location tourist . 
 Jun 26 2008 	 Glad Reviews hotel wrong ! 	 return New York 6 night stay Raddisson half confess relieve experience read review ! arrive room ready problem , bag sort Mike porter desk really helpful nice , staff encounter . room overlook Empire State Building really make we realise yes big apple ! room not massive would describe small either , 14th floor . bathroom small enough space we , hotel bath room experience small event . request none smoking room exactly get , chest problem email expedia reading review ensure would get smoking room email manager hotel ensure room would smoke . the location hotel great , two block Macy 's , Empire State Building also around corner Times Square 5 minute walk away . not eat hotel restaraunt locate next door , look nice find many nice place eat area , hotel convieniently situate sightseeing , shopping , everthing really . subway relatively easy use figure way travel . thing want see distance away Statue Liberty Ellis Island access via subway . the hotel arrange car take we hotel airport day leave continue trip Boston , Rebecca Concierge desk sort helpful lovely deal , would stay , value money , conveniently locate want . 
 Jun 17 2008 	 Good Hotel 	 stay Martinique 3 night . book expedia get good deal . cheap book direct hotel airline website . no problem check room fantastic . the hotel single room one 1 2 people room view Broadway . it 16th floor clean well fit , write desk armchair reading lamp . I read review point view bathroom little small problem . the hotel 3 lift front hotel 2 rear problem people mention lift review . do use mini - bar need corridor vend machine soft drink $ 1.25.the air conditioning room work ok.very convenient position Midtown , would go expedia choose hotel . 
 Jun 9 2008 	 horrible problem 	 book weekend trip NYC stay hotel due location reasonable price . unfortunately , first experience hotel good expect . arrive early check , expect , room ready . be fine . leave bag siteseee . return hot tired 2:30 . quite long wait check , half hour . finally get room go find someone else . back go woman front desk argue one assign room one . insist . go time manager get involve . give we free drink coupon tell we go bar could resolve . really want hear point - want room . hour half total , manager give we new room right next door . leave we rather bad mood begin trip . as hotel , okay , nicely maintain expect . room small . much room even walk around . bathroom also small hard maneuver . room fairly clean , need repair . bed linen stain sheet hard scratchy . comfortable bed ' ve . Cafe Martininque , inhouse restraurant okay . small , , need little updating repair , food bad . location convenient Times Square area subway right outside door , be easy get around . 2 block Penn Station . overall , good location , impressed room service receive . 
 may 31 2008 	 great hotel 	 stay 24th may -28th may great time hotel staff really helpful friendly . location great near many attraction macys round corner empire state build 10 min walk away every thing else 5th avenue 25 min walk . use subway side hotel hotel help adviserd we get subway . bedroom little small bathroom really room much much see new york . would recomend hotel price really good . 
 May 30 2008 	 Great Time 	 first book Expedia , Raddison Martinique available , book Hotel Pennsylvania . however read see various report Penn , decide ring Expedia change book RRaddison available , although Expedia charge £ 85 change booking . from see Penn NY 22nd May 28th May , glad pay extra change . from saw compare two . I suppose good reason many flight crew stay raddisonwe get hotel 12.30pm wait 1 pm get room , 14th floor smoking smell smoke , air con fine could turn , bathroom small , not know go ny sit bathroom . Location fantastic , 2007 stay Roosevelt , well hotel close everything raddison . staff pleasant , room clean every day big enough two , location great . overall really good , go back next year book 
 May 22 2008 	 Marvellous Martinique 	 love Martinique , location Excellent around corner Macys , Victoria 's secret many shop . reception staff friendly . number bed great fun daughter sleep like log get perfect number setting . bathroom small norm NY . security door give peace mind night hot . would recommend upgrade Club Level value money many eatery around get . stay many hotel ny , continue use hotel good value money , leave pocket shopping . go NY special occassion forget revolving restaurant Marquis Hotel . shopping - Woodbury Common must , also visit Century 21 World Trade Centre worth visit . 
 May 21 2008 	 great location stay well hotel 	 good - midtown location great get good deal via expedia . good deal offer time , go . New York hotel expensive rate hotel 's website much high pay , always check expedia similar site book via website . there free wireless internet work well room . read report connection weak inexistent , maybe depend floor - 3rd floor . the bad - & quot ; non smoking & quot ; room smell smoke . air conditioner noisy , sound proof inexistent room . filthy pyjamas bottom bed look like vaccume . impressed service front desk . Tips - 's Speedy 's opposite hotel great buffet meal . not waste money eat hotel , many eatery neighbouring area . Macy 's close Manhattan Mall even close , great option be budget . 
 may 14 2008 	 Nice Place Rest Head 	 go New York honeymoon book Radisson base okay review . look something clean , half - way decent , super expensive . exactly get . book executive room hotel website $ 474 night . take advantage Radisson Online Rate Guarantee end get room $ 266 night ! ! ! hotel extremely nice hotel lot amentitie . nice place rest long day walk around New York . would stay could get rate . look luxury , stay . concierge Rebecca helpful nice . bellman Ronnie also nice . give we coupon Jack Dempsey 's Irish Pub ( locate block away ) . eat 3 time trip . good food ! hotel restaurant good service terrible . eat twice bad service time . definately take advantage subway locate right outside hotel door . intimidate subway system ( ) , take time learn . beneficial allow get around city MUCH fast . 
 may 14 2008 	 Great Trip New York stay Radisson Martinique Hotel - Phil Ireland 	 stay Radisson Martinique Broadway May 2008 . arrive 3.00 p.m. 3rd May 2008 room ready able check immediately . helpful gentleman desk . daughter book double room good , bathroom bit small . great location get around . breakfast Hotel morning 15 dollar buffet breakfast + tax service . housekeeping staff friendly good job . staff Hotel courteous although wait staff helpful . would stay . 
 May 2 2008 	 Rude Staff charge Room not stay call Liar Mocked Staff 	 honostly say past 13 year travel least twice month never thoroughly disgust every aspect hotel . visit family book 2 sepparate room 2 night 5 we . arrive tell book one room nothing could . way would booked one room 5 people ... proceed call & quot ; liar & quot ; QUOTE ! ! ! hotel manager speak go around corner mocking say goofy voice . confront turn around start laugh another hotel clerk . never treat rudely life something 100 % fault . we end speak almost every level management hotel finally tell we would let we stay , let alone entire family . leave find statement $ 657.00 charge credit card not even stay HOTEL ! ! still work , far help receive credit .. never stay another RADISSON ! ! ! 
 May 1 2008 	 Great Hotel 	 New York expensive . definite compromise . hotel location perfect location , right Subway , Empire State far Times Square Broadway Theatres . nothing Hotel , make mistake book Shuttle Service ( Super Shuttle ) Expedia , Airport Hotel . TERRIBLE . driver treat we like cattle , jibbere away mobile phone whilst drive dangerously ( even New York standard ) . avoid . hotel excellent . originally get room without view , smell smoke . call Front Desk apologise profusely move we room great view . room comfortable , small downside sound proof not great . minor compromise really . recommend ! 
 Apr 29 2008 	 Radisson Martinique New York City 	 stay 3 night , April , 2008 . Great Location , subway practically underneath hotel , Macy Dept . store 1/2 bllock away , Empire State Bldg couple block .. 15 minute walk Time Square / Broadway Theatres ... Located Korea town lot Korean Restaurents , massage place . business center free use computer internet . check 4 pm leave lungage get early . cost $ 28 - 32 taxi fare LaGuardia . negative .. would old hotel room view , window look window see city street . weak concierge sevice , locate together gift shop cashier ... give we Club Level room ( eventhough book pay Club Level , cite record ) Club Level Rooms top two floor 15 & amp ; 16 access snack service ... executive level nothing high floor 12 special room privilege . having stay Radisson Lexington New York City 5 month ago , old hotel , noisey Radisson Lexington lot construction building , bathroom small Radisson Martiniques . location much well Martinuque Broadaway . Radisson Martinique Broadway use Holiday Inn . 
 Apr 29 2008 	 great position 	 book medium price hotel expedia package include virgin flight . great position , 2 minute walk macy 's back look ( ! ) empire state building 10 minute walk . staff really nice helpful ( find everybody new york ) . get grand entrance marble everywhere . bar restaurant good . breakfast first day , would not bother - pricey good . room fine - clean , well furnished , bit small side bathroom . ( however much - much see ! ) good hairdryer iron full sized ironing board . complaint , room natural daylight ( 706 ) look straight brick wall . would check see room . unlike one review , ask could keep room long 11 am time tell would cost 50 dollar . would still recommend short stay , definitely . 
 Apr 22 2008 	 Great Location Round Good Choice 	 stay Radisson Martinique 4th - 10th April . use ' price promise ' offer website state would match price quote site give extra 25 % discount . book direct , quote well price list Hotels.com receive email accept claim confirm rate $ 207 per night , less half price offer hotel website ! hotel , sure negative review hotel speak experience whole good . room big enough accommodate , wife 12 yr old son , two double bed , en - suite comfort would expect . decor throughout hotel good obvious on - go ' touch - up ' carry . buffet breakfast available restaurant , offer good choice hot cold option $ 15 adult $ 7 child 11 . location hotel excellent ; 10 block Times Square , across road Macy ' subway station corner street , access whole city simple . also good selection bar restaurant around Penn Station 2 block west hotel . all - in - all would recommend hotel , provide secure deal price . 
 Apr 18 2008 	 great place stay 	 read review travel bit concern hotel great . central-1 subway stop Times Square- station right outside hotel- easy safe use ( get day pass $ 7 hop day - great value ) room exactly show web site - clean , load clean towel everyday , complimentary toileterie bed change even though 3 night adjust firmness mattress suit . friendly helpful staff . next street Empire State nice area . problem - would stay & amp ; recommend anyone . must visit cocktail lounge top floor Marriott hotel Times square - revolve room 360 degree view Manhattan FAB champagne coctails- expensive real treat . 
 Apr 16 2008 	 love stay 	 first trip New York say enough hotel , first experience bellhop notify we Martinuque club 17th floor wonderfull experience light snack . four room read ot review little apprehensive would find , however work fine we . the towel bed wonderfull highlite doorman Ronnie ? delight , would come back . subway stn right next door within walking distance every thing . M & amp ; Chilliwack Canada 
 Apr 13 2008 	 much well expect ! 	 return 6 night stay @ Radisson . book hotel directly without pre - pay room . 2 adult & amp ; 2 child 11 & amp ; 8 . moment arrive front door , treat like true guest , problem encounte checking room size arrival , quickly overcome fellow airline crew guest stay regularly , advise we lift inspect first room allocate , request room floor end & quot ; 9 & quot ; .So instruct request room front desk please size room particualry bathroom . room 16th floor smell heavy smoke air con / heat work fine . breakfast fantastic hotel discussion front desk child include complimentary also . person Radisson staff encounter friendly , professional customer service drive speak English . overall great hotel experience great location first trip fantastic New York City . 
