RUDE 	 hotel rude person customer service base job ever misfortune encounter . lie , accuse lie , obnoxious completely incapable work hotel reception . people skill quite clearly ability deal genuine complaint . brief time hotel hoverheard 4 seperate people make complaint facility . we book 3 double room family break , travel seperately other party arrive partner book . arrive tell ' receptionist ' double room leave would tripple , say come 12 pm follwe day could change room double , reluctantly accept , make way tripple room . room would expect travelodge ( see photo ) . bathroom dirty dirty towel remove , hole bathroom door , grout around bath sink grubby , dry rot skirt disgusting brown build something unidentified around join toilet tile , soap , plastic disposable cup clearly use guest we ( toothpaste stain etc ) dress table / desk chair , look like brown liquid stain wall top bottom ( god know happen room ? ! ? ! ) look like either vomit hot chocolate stain side tv unit finaly mould around window . disgusting . avoid cost . photo post reviewer REPRESENTATIVE ROOMS HOTEL . FLOORS RENOVATED ROOMS.As suggest night go reception ask room change , receptionsist ( different one ) say fine tell we pack bag preparation move . tell come back afternoon double room would ready . return original rude receptionist back duty- cut long story short - double room available , deny person speak morning even exist , counter say woman not work ! ! ! ! deny tell we check could swap room , basically accuse lie making . hotel overbooke option stay room find another hotel . appear ok hotel give someone else double room book pay arrival refise point blank give we double room someone else yet book even although mean splitting party 6 . end two we move another hotel . arrange we pick taxi move another travelodge . turn taxi unmarked driver drop we 10mins away travelodge . idea go hail black cab take we . get second hotel record we move ! wait hour deputy manager able give we room . sort mess . fussy , expect room standard pay , pay £ 59 per night ( room ) , cheap London standard . expect palace expect get double room , get clean room staff treat bit respect dignity pay customer . 
 Jan 8 2009 	 sure people expect 	 stay one night enjoy london shopping trip . stay travelodge shopping trip . key book well advance sign email . way get inform £ 9 sale . pay £ 19 family room one night . less fiver . yes room basic clean everthing need short stay . hotel quiter travelodge king cross little station , less convienent walk night . breakfast deal fab staying child eat free . pay full price would little disapointe cheap price london fab place stop . manage book famiy room august nine pound night bargin ! 
 Jan 3 2009 	 would not ! ! 	 book hotel internet request 1 double bed extra bed 2 year old . £ 19.00 night can not grumble however pay full wack would horrify . arrival find give 3 single bed . great small 2 year old . stay 3 night end grumpy due lack sleep thin single bed ever see - plus 1 small pillow get do not help matter . website say parking available . bad car park ever see life .... bargin £ 15 day ! Hmmmm . 5 min walk tube station , pleasant walk tbh however laughts & quot ; adult & quot ; shop opposit hotel window display latex outfit ..... say ! ! would not want stay hotel ! 
 Dec 29 2008 	 expect 	 book travelodge overnight stay could see light Christmas . pay £ 19 per triple room , per night . get pay - basic accommodation quite central location . the triple room tiny really suitable accomodate three bed - dread think pack would three adult . decor run , sink massive crack . overall run down . but £ 19 per night , cleanish , bed narrow fairly comfortable . would not choose stay , would not recommend quite disappointed part Travelodge chain . luckily kid not notice still lovely time London - go ! 
 Dec 24 2008 	 Buyer Beware : fine Print 	 book Travelodge need know : credit card charge advance may see full amount refunded cancel . book week location month advance trip . travel plan change go online cancel . try call customer support never able get . cancel reservation online refunded total minus booking fee £ 1.50 , legit , £ 20 wifi access , . nothing book form indicate wifi service would unrefundable . contact Travelodge email say could use service future trip . since one time trip London US , doubt much will ever use service . ' m contest , know book charge advance , may hidden fee , customer service easily accessible , especially be UK . 
 Dec 8 2008 	 cheap Clean ! 	 stay 4 night . booked hotel well advance Travelodge website 29 pound / night . price , adequate . good sized room , comfortable bed , tea coffee make facility . advise Travelodge website , provide toiletry shampoo , shower gel , etc . one bar soap provide stay . room extremely clean , . problem poor drainage shower , get foot soak everytime use shower ! 10 minute walk king Cross / St Pancras station , 5 minute # 63 bus . trip , also stay Easyhotel price . travelodge room 3 - 4 time size Easyhotel room , definitely go Travelodge get good deal . 5th floor face inner courtyard , room quiet night . heater work well also . overall , good deal London . 
 Dec 5 2008 	 can not believe Travelodge 	 like another writer , book Travelodge think know go get - simple adequate bedroom , meticulous cleanliness good breakfast site next door . room nice one - heater break secondary glazing would not stay shut , let lot street noise cool air . bathroom basin crack , . public part hotel disappoint - inadequate lift shabby condition ( 2 3 order stay ) ; cold lobby totally inadequate number people gather - often jam queue coach party . ( automatic door street seem jam Open . ) totally inadequate breakfast accommodation , cause long queue form cold lobby , cause search empty chair carry table . warn - right hotel look restful hustle weekend London , place get bit work do appointment . large part clientele make coach party noisy - though experience rowdy - crowd teenager . repeat , room basically ok food provide breakfast ok - not would expect Travelodge . 
 Dec 5 2008 	 Nasty Little Dump 	 horrible little dive . I take early Eurostar train decide would lot easy stay night near St Pancreas rather get public transport South London crack dawn Sunday . I also quite well aware Travelodge no - frill chain . simply need decent place spend night . also stay Travelodge similar reason . bear mind though branch way expect find sort price . check inthis take age . one girl desk 15 people queue . keep vanish office reason arrive could see huge queue no - one attend guest . how find roomwe 2nd floor strangely take lift 2nd floor walk downstair get . room find way dark stairwell peel wallpaper worn carpet . the RoomIt dark . bed tiny uncomfortable . bathroom acceptable nasty grubby shower curtain hairdyer . most worryingly telephone room could call reception sort emergency . like we , no - one call keep awake night sound someone 's tv NIGHT , follow pleasure hearing bedhead bang wall accompany various moan . the Bar Area / FoodThis hotel exactly hub king Cross place eat pretty much non - existent decided eat there . Bar staff - pretty hopeless . one person take order pour one drink wandering . someone else pour drink take food order also wander . ask third person bill could pay . helpfully pick 2 knife fork proceed see many time could touch bare hand give we . food pretty much expect : sub - standard motorway service station . breakfastwe leave 7.30am breakfast area darkness . check OutEven though pay room service mini bar telephone can not rack bill reception area desert . I one bad night ' sleep ' ever , place grubby , run staff pretty hopeless can not speak English well . there load hotel area . many probably bad . part chain would expect consistent standard accommodation throughout chain . branch horrible . not stay . stay Premier Inn . 
 Dec 3 2008 	 frill good value 	 Travelodge Kings Cross Royal Scot situate 10 minute walk king Cross / St Pancras station . 's prettiest hotel look - 's convert office block show . reception area not do much hide either . look every inch office security front desk . bar / restaurant locate side reception , look bit bad wear slightly unloved . chair bite old table slightly worn . resemble something direct work men social club ( think Peter Kay 's Pheonix Nights ) .The lift bit squeeze . will fit couple people medium suitcase , probably more . the corridor never end . walk along feel like walk along cruise ship . corridor seem stretch mile , wall adorn heavy wooden door , floor cover thick , wear carpet . speak door , first challenge learn close door quietly . can not do . door slam behind , even careful shutting , nuisance neighbour roll ungodly hour night . our tv reception bit rubbish channel toilet not flush well - need pump rather flush clear toilet paper bowl . but , , hotel pretty postive plus point . room clean bed incredibly soft comfortable . hotel fabulously locate weekend capital , close enough KC city foot , far enough away feel totally bombard . be look value money , can not get much well . get two night less month Christmas £ 64 lot . ok , be exhuberent luxury Hilton Marriott , be go spend day look base place put head night hotel job . 
 Dec 2 2008 	 Pleasant stay 	 stay hotel three night Saturday 15th November . take group six 17yr old student study trip . find room satisfactory . pay £ 49 triple room per night . central London hard beat price wise . pupil comment favourably room . 10 minute walk KX / St Pancras . real grumble really poor pressure shower . take breakfast , partly cue massive Sunday morning . request make staff deal pleasantly efficiently . overall pleasant experience . 
 Nov 24 2008 	 Nice hotel ! 	 mate stay 3 night November 08 . nice hotel clean room . 10 min walk king Cross / St . Pancras . definitely stay next time ` London ! please visit restaurant Konstam , 50 meter hotel , nice food ! ! try breakfast hotel , recommend buy cheaper well breakfast one cafe nearby . all , nice cheap hotel ! 
 Nov 21 2008 	 good base get good rate 	 stay several time last year . 's 10min walk king Cross / St . Pancras station , reach pretty much anywhere London ease . nice part town late night , ok . Travelodge often excellent sale . book ahead room may cheap £ 9 ( usually like £ 29-£49 ) - v. good central London . room fairly small basic , small bathroom . be look bit worn , usually clean . kettle tea & amp ; coffee provide . room overlook central car park area quiet - road much noisy . hotel bar breakfast area . usually breakfast elsewhere - many nice cafe nearby . 
 Nov 6 2008 	 good value money 	 know london hotel pricey , pick place sleep shower . arrive hotel check - in time hotel staff allow we check 1/2 hour early . room bathroom decent size , enough good night sleep hot shower ! ! 
 Nov 1 2008 	 Nice Stay Budget Hotel 	 look alot review Royal Scot sure store . however pay £ 29.00 room stay Central London ! must say think review mean . room clean tidy could update . staff reception helpful friendly restaurant fine . location also good close main line station west end less 20mins . really sure people want budget hotel want five star service pay alot £ 29.00 per night London ! . 
 Oct 28 2008 	 late 	 stay last November 5 night . room great shape experience problem here . its handy visit London plenty food / drink outlet nearby . the room small however clean warm bathroom spotless ! would happily go back . 
 Oct 19 2008 	 good value night 's stay 	 stay number Travelodge hotel always aware basic budget - class hotel . therefore not expect world stay one . we stay one one night cost £ 59 . close king Cross rail station close enough noise problem . restaurant around hotel , takeaway outlet close by . the room double - glaze window fine could not open window fresh air ( hotel air conditioning though ) .We stay double room first floor , room situate face front hotel . room clean tidy , bed little soft like major problem . staff freindly knowledgable need extra towel problem all . the hotel allow food take room good night 's sleep . the next morning choose full breakfast ( £ 5.25 ) want bit toast . hotel kindly allow we free ! think great they . all happy stay . 
 Oct 7 2008 	 Beware Hotel 	 stay hotel one night use eurostar . let start good point : LocationNow stuff good : could not sleep due constant train noise throughout night ( fair warning website ) noise tremendously loud . the room small dirty date . window single glaze curtain make room really cold electric radiator useless . the bathroom small , filthy basic . i.e shampoo 's etc . consider pay £ 87 one night value money . they provide two small hand towel bathroom double room . like try get dry napkin . this bad excuse hotel ever witness life stay long would complain simple find somewhere else stay . 
 Sep 23 2008 	 usual Travelodge standard - well avoid 	 disappointment . persuade family book Travelodge always know go get - wrong ! always think Travelodge real value money especially one lovely cheap deal - clean , tidy comfortable decent size room bathroom . well one . first impression walk not great , nicely present ' m use get lift heart sink , brass door inside filthy obviously time - streaky - need bit Brasso elbow grease ! bedroom bathrrom tiny - sheet towel clean 's thick layer dust table load crumbs bit glass top ! ! good description shabby - furniture batter scratch room corridor joke - health safety would field day - carpet loose place black tape put make safe loose flapping - probably hazard ! ' ve stay chain hotel 's London Euston London Eye IBIS Travel Inn ' ve fine . Sorry Travelodge one really let side - hope London place well . this not horrendous say 3 room back side quiet great , overall - one avoid . 
 Sep 23 2008 	 Perfect wanted 	 stay family room one night , use stop due early train Eurostar follow day . double bed double pull sofa bed . room spacious consider two double bed . bathroom fairly small , clean tidy . room basic pay £ 50 not expect 5 * standard . people expect pay peanut still get lavish room - go happen ! ! check quick , staff courteous literally 5 minute walk St Pancras stay . would not want honey moon stop hotel perfect . would read review hotel prior stay not massivly bother one night stop , say pretty harsh . problem hotel right critical wot want ! ! 
 Sep 4 2008 	 great 	 like other , find wrong Travelodge King 's Cross first . direct correct property . arrive lobby madhouse . think tour bus arrive . check seem chaotic . assign two twin bed room , request double . unfortunately deny . since one night decide fight . room locate second floor directly dumpster alley behind . two old break air conditioning unit room . know hotel not air conditioning , suprise see old break unit . phone clock room . small 13 & quot ; tv suppose clock / alarm feature not work . bed linen seem clean . window open top bottom not close completely . overall room run seem quite dingy . three elevator hold two people luggage comfortably extremely slow . morning people start walk hallway , door room rattle every time someone walk . restaurant / bar lobby , eat . price London , expect , give choice would stay . 
 Aug 23 2008 	 Hotel Gone Downhill ! 	 ' ve stay hotel many occasion adequate - get pay ! last stay disappointing ; entrance lobby / porch litter debris glass door smear dirty . lift - smelly hot , brass wall panel filthy litter corner lift compartment . room small much space move around storage space 1 bag ; fairly clean apart bathroom black mark corner wall tile around bath . tea coffee facility ( mug , tea , coffee , etc . ) kettle . repeat request bore receptionist eventually produce one 30 hour later ! customer care not seem priority ! breakfast ; endless queue , coffee / tea machine order . not think food hygiene training follow kitchen staff - fresh food tip top stale food dish buffet . would suggest go one several cafe 's hotel king Cross Station get freshly cook English breakfast less hotel charge . 
 Aug 19 2008 	 good xxperience 	 never stay travelodge hotel know budget hotel chain call & quot ; Premier & quot ; stay many time . to fair pay £ 19 one night also cost whop £ 81 first night . could leave bag hotel prior book inconvenient poor customer service . prepared let check early / out late additional £ 10 , helpful view late check time 3 pm . ( be £ 6.50 leave bag King 's Cross 24 hour ) literature hotel room advise hotel service trek hotel reception iron , offer iron , board . welcome 21st century . in addition one set towel room another trip reception necessary , check shower ! budget hotel far could tell ex Thistle hotel appear clean enough . £ 19 excellent rate hotel £ 81 . budget chain offer far well value ! 
 Aug 11 2008 	 pleasantly surprised 	 return 2 night stay hotel feel write review never do , booking , read review site , end almost dread stay , review good ! husband , 2 young child , parent , feel almost guilty booking read previous review . however , find extremely handy king Cross Station mean could use king Cross leave luggage facility without interrupt holiday trek across London collect case trek hotel . make way back king Cross end day , short walk hotel bag . also handy last day way around . staff friendly helpful , particularly impressed breakfast . much eat buffet cook English , choice 4 cereal , fruit , croissant , toast , yoghurt , juice , tea / coffee , even chocolate muffin , impressed breakfast baffle exactly expect ! ! ! yes , hotel could done refurbishment , yes bit noisy night , blame hotel location , king cross Central London expect quiet country retreat ! price think excellent value , mark 3 star illusion 4 5 star , obviously , want write put people mind rest may book like panic cruel review . 
 Aug 5 2008 	 threaten swear deputy manager 	 young reccomend hotel . pay online room went check inn straightaway accuse fraud . shout swear front colleauge , deputy manager , take bank card staff room check contact bank find fraud really card . come back give card even aplogise . ask happen reply ' come ' l sort ' threatening fight . colleage refuse let use phone call police . absoultley disgusted way treat . 
 Jul 28 2008 	 Basic - good value one night 	 stay one night return holiday France . arrive hotel 2 pm , tell could not check 3 pm ( problem we ) , however , bizarrely could check early pay £ 10 . Hmmm ... appear frill hotel cash like frill flight company . will weigh bag next ! , hotel fine , clean , room ok sized . breakfast £ 7.50 basic slightly limit english breakfast - ok honest , little cafe dot close hotel might well value . 's complaint - ok . a good 10 - 15 min walk king cross weary heavy case - 's worth walk good value hotel . staff ok - nothing write home about . not top notch , not want - pay . not mind check 3 pm stay one night - have def recommend . 
 Jul 25 2008 	 Value money 	 stay one night way Belgium , cheap hotel double room £ 30 night ( exclude breakfast ) . room comfortable reasonable size , bathroom bite small chair provide lay bed watch tv bit uncomfortable . ` recommend anyone stay hotel much 2 night current charge £ 81 per night would bit expensive even London £ 30 reasonable . 
 Jul 16 2008 	 Great 	 stay Royal Scott 5nights whilst London , room £ 81 night triple . hotel exterior look pretty grubby inside fair well ' m afraid . check go room room small actually hard try walk straight bag , room clean kinda grotty , stain wall like water something- not know furniture Fixtures almost fall apart . electricity go room three time figure electric kettle- not get replacement . room small stuffy even window open night hard sleep comfortably , last night go room door would not close properly , key card put side close break lock jut much door close . hotel clean need serious updating asap , problem report reception address straight away . would not really recomene hotel feel worth price pay . would however recommend Travel Lodge- Kings Cross ( Royal Scott ) seem overall well standard hotel nearer Kings Cross Station . 
 Jul 9 2008 	 bad 	 's fair say not great expectation hotel , must admit thing leave little disappointed . ' ve stay travelodge , ' m well aware good , other much . one fall latter category . I book room 2 night advance pay discount rate 49 pound per night , have pay full rate would horrify ! hotel not attractive outside , quite handy king cross station - major factor decision book . decide reserve judgement see room ... find broken chair ! report reception , guy polite assure would make sure replace ; however return room 7 hour later , break chair still ! ge replace next day fairness , would think something clearly safety hazard might bit high priority list ... go . the bed comfortable , can not fault , furniture look old tatty , get quite cold night could not get heater work . also , inone room face car park , ledge outside window people clearly ignore smoking ban sneaky one window dropping butt , disgustingly filthy smell awful . we never eat hotel can not comment food , seem quite people eat breakfast morning would assume not bad . all , would say hotel fine want somewhere lie head night ( ) spend much time , be worth discount rate . not go expect much , disappointed ! 
 Jul 7 2008 	 Dirty 	 husband stay one night get Eurostar next morning . say place dirty . lift door look clean dirty water . bar area look shabby way eat there . our room tiny keep trip thing not enough room walk . Room shabby want good clean . would not stay pay . 
 Jun 25 2008 	 bad Hotel ' ve ever stay 	 avoid hotel like plague . everything awful , food , room , service , general condition everything . fire alarm go night ( twice one night ) , mean get little sleep . would rather camp park go back hell hole . 
 Jun 25 2008 	 Filthiest hotel ' ve ever see 	 dirty , small room ( even chair fit one ) dirty bathroom , barely pice soap . noisy . unclean breakfast room , cheap food , one fresh , dirty table , dirty elevator . unpleasant unprofessional manager . assist various discussion client . unpolite . not stay not want spoil stay London . Dr . Umberto SebastianiRome Italy 
 Jun 17 2008 	 good breakfast . 	 stay hotel husband 2 child . pay cheap rate 26 Pounds night . we stay 5 night . find hotel clean , basic family room quite big . bathroom small , expect 26 Pounds night ? service front desk good . restaurant great , day sight - see , good able feed 2 tired child lot money . breakfast fantastic child eat free . the area around hotel ok bit distance centre London , 1/2 hour foot bus . overall hotel good especially since rate cheap . 
 Jun 3 2008 	 without baggage room ? shampoosoap etc . ? chair ? 	 ' ve end May 4 night . receptionist attentive , quick friendly . give room 1st floor , view mainroad . noise outside loud enough bother we . room clean well maintain , bed comfortable , linen clean . shower toilet clean OK , shampoo hair - drier give . tea / coffee place , tea , sugar , etc.were re - stock every morning .. breakfast adequate , menu everyday . : drink tea coffee chair ? guest manage case floor , instead absent table ? baggage room last hour check - out get city ? review : adequate price , simple thing do . 
 Jun 1 2008 	 Bad London 	 stay travelodge , London part UK , one ok . prior arrive , call ask could check - in early tell could £ 10 early check fee , good could sightsee afternoon . arrival fine get room 12 pm . understand previous reviewer allow check early tell 3 pm check - in time - good . anyway , room ok - bed bathroom , although bathroom small good shower bath . decor bit tired one night fine . bar good open 1 am . drink bar reasonably price choose eat italian corner opposite fantastic . fine room could re - vamp . 
 Jun 1 2008 	 place sleep 	 bring family London two night stay bit worried reading review place . cheap hotel conviently close king Cross tube station make get easy . bar area nice although food be not . room decent clean enough price pay corridor lift bite mucky people run around night time do not help get sleep . though would recomend place long do not mind rough bit . area be not good would not say rough , read review think people must scare shadow . 
 may 30 2008 	 keep expectation low .. 	 find great offer triple room travelodge website see be cheap . pro : 1 ) 10 minute walk king cross underground / St Pancras.2 ) bar look impressive although admit not use it . Cons:1 ) reception refuse let we leave bag behind desk morning carry round day ( 3 pm early checkin ) 2 ) elevator corridor wall disgusting.3 ) wall small room dirty.4 ) toilet roll holder rip , toilet dirty shower head diconnected.for price fact bed sleep suppose trick , anything else avoid cost 
 May 28 2008 	 cheap hotel cheap area 	 hotel strange mix modern old . seem Travelodge take exist hotel build another wing back two stay old room ( redundant air - con unit ) common garden Travelodge room . room face car park , usual every Travelodge ' ve stay , window not job keeping noise out . make mistake , king cross really grotty part town . not let nearby glitzy St Pancras station fool - would not recommend place tourist really let side . also nice place eat , unless frequent kebab shop regular basis . cheap , clean - ish place stay ( make sure get good price booking way advance ) , Travelodge okay . 
 may 26 2008 	 Grubby - use Travelodge Euston Kings cross Grey 's Inn Road 	 usually not bother review many hotel stay business , think place go make change ! end somehow twin room , two single bed , something be never happen ' ve away business - even Premier Lodge generally get two double twin room . ' m well 6 ft find impossible sleep . I go get one bed find bit grotty use ! air conditioning unit disabled , assume not look still operation . Wardrobe dropping bit . the room evidence recent re - decoration , however mean painter go woodwork paint wall gloss paint . the chair missing desk , impossible work . Shower wc average standard . shower gel , seem quite regularly happen Travelodge site – assume ' anymore . ' use one road actually nearer king Cross – one Grey ' Inn Road , modern quite nice . amazed big hotel chain could mismatch standard . also new Travelodge Euston – assume also quite nice . ultimately place tired , need complete re - furbishment room floor – quite bit money , assume ' sucker coach trip etc odd business person ' get book one one ( like ! ) . 
 May 17 2008 	 basic clean 	 be look frill , basic , handy hotel room , look little place . 5 min walk king cross station underground , room basic , £ 26 night twin room , complain ! breakfast bit unorganized , take time refill item , apart , great ! roadwork outside , could not hear room 
 May 12 2008 	 Awful room Easy get around 	 hotel suppose refurbish ? ? ? cushion lobby sofa sink inside ( tiny ) lift look people spat . every time ride , hope many people would enter would not stand close wall . furniture room look worn shower curtain mouldy . the first room give suppose one well one , & quot ; view & quot ; main road . hotel supposedly strict smoking room stank smoke even think window leave ajar . unfortunately , window stuck position , road noise come . air con noisy . resign room realize would not lock closed outside . we complain reception faulty lock tell slam door bit hard ! usually take one attempt make sure door lock . couple time , almost come blow burly guest neighbouring room ( understandably ) upset noise . intimidate , husband ( 5 ' 5 & quot ; muscular ) go reception explain get another room . thankfully , one available , although two single bed . new room drawback : & quot ; beautiful & quot ; view parking lot dumpster , tiny bathroom , air con work ( problem London experience hot weather visit ) . next , discover safe could use . accord receptionist , safe either disconnect removed room ! although put & quot ; disturb & quot ; sign , housekeeping enter room . not bother try environment - friendly hang towel towel rail , will change anyway . yes , tea coffee make facility room comfortable enough want sit around cuppa . if coffee drinker planning breakfast cafe recommend stay away coffee 's terrible . walk road towards King 's Cross station will find little place italian name morning cup . the thing like hotel sheet clean 's close King 's Cross station . 
 May 12 2008 	 great Cheap Base Hotel area shabby 	 stay Travellodge cheap theatre weekend two daughter 9 - 11 May 2008 . ten minute walk king Cross Railway ( tube ) station . £ 11 taxi ride Covent Garden daytime . weather incredibly warm not appear air conditioning work hotel . staff helpful find we fan plug fuse socket bedroom . staff helpfully move we bedroom inside hotel ( hotel triangular shape internal courtyard / carpark ) much cool quieter . apparently large Travellodge country . plenty takeaway directly outside hotel nothing else interest . purely cheap base ! pay £ 53 night book advance . lot large foreign coach party arrive day night lift struggle time . room bathroom immaculately clean . bed comfy . certainly shabby ! 
 May 10 2008 	 well least cheap ... 	 will start good part : get cheap deal triple room , bed comfy clean . the general state room bit tatty - black mould corner shower ; hole rip hand - towel ; break pedestal bin ; miss part ' converter ' swap shower bath . the staff , say , worse useless . second day re - book ... mention . anyway , keycard not work , fair enough . fifth floor . take 4 trip back forth reception one actually come ( reluctantly ) ' test ' card - let we master key . explanation not work , merely could get re - program come back ... like 3 time ... wall , thin , italian student next door wake we night . the curtain not fit window properly , mean bed next window get sun face early hour , argh . we order pizza bar downstairs , completely disgusting something avoid . I not mind general area , alone would feel quite unsafe . 
 may 8 2008 	 not go 	 awful hotel , would recommend anyone stay . lift area lobby smell urine . first room allocate dirty curtain hang rail . second room bad , thick black mold around bath , shower not work socket hang loose wall . third final room substandard already see maybe good hotel offer . stay peril 
 Apr 30 2008 	 cramp room ! 	 book triple room massive hotel December one - night stay meeting next day . not really problem although have intention early night would ' ve sorely disappoint ! really require cheap accommodation central area meeting that s get . can not say complaint hotel , get pay ! check - in fairly swift even though busy easy enough navigate way room even though hotel huge . triple room really twin room extra bed , sleep fairly close together 's well good friend otherwise could ' ve uncomfortable . travelodge room , basic be stay one night , space luxury require ! eat nice italian restaurant across road would recommend good laugh ever not mind go gay bar please visit Golden Lion around corner , make welcome definitely drink next time visit . the near tube station 10 minute walk away , king Cross . hotel seem book lot young people perfect explore city easy get back night beware look good night sleep young guy run hotel corridor outside room let fire extinguisher 1 am , would got never bother we people family early rise could pose problem . decoration room really shabby corridor look old tired get really messy . understand can not clean 24 hour day step takeaway carton , juice bottle etc way lift room . to sum , be look somewhere rest head party place ideal not expect great night sleep not expect luxury , book expensive hotel look ! 
 Apr 27 2008 	 Pretty Poor ! 	 return university reunion London , stay one night hotel could not get king cross station travelodge . 2 triple room book 4th floor . 3 we go check room one side floor other otherside . dismay room key card occupy walk straight someone else room ! go find friend find problem , however young lady staying room come back room find 3 sitting bed . mortify think stuff room key ! go recepetion complain un appologetic receptionist . worry safety belonging tenderhook think stranger could walk we anytime ! room less basic , cramp , strange smell , 2 towel even though triple room , one flat pillow even chair , think standard even Travelodge 's ! morning , checkout till 12 noon take advantage try lie disturb twice maid try clean room , surely know check ! 8 am morning hear awful heavy door bang make room shake ! know budget hotel one well travelodge standard need serious attention , do not bother stay ! 
 Apr 19 2008 	 great value hotel 	 return trip London 2 daughter stay hotel . find hotel clean , room adequate ( tea / coffee make facilite - always plus ) breakfast good quality . would definitely recommend would return future . 
 Apr 7 2008 	 reasonable Hotel . 	 stay 2 night start April 2008 , short visit London , book hotel via website ' Early Saver ' offer , bed breakfast basis . we arrive early check problem . take little long usual , new employee learning , cause problem we . advise room would procedure breakfast , go Level 2 . room quite way , right end corridor ( Room 231 ) , find corner room two large window overlook quiet cresent green area . room good , large size . large wardrobe hanger , dresser , television ( cable channel ) , large bed . bathroom small , clean polished . shower curtain tact power shower indeed powerful , hot time day . towel clean change morning . downsize toiletry soap . the bed large find comfortable . sheet immaculately clean , change . also two bed side cabinet lamp , adequate evening lighting , main light not necessary . the side room corner wall paper peel slightly , curtain come away curtain pole , allow street light . although major issue , let little we . hotel use mixture tourist lot foreign school / college party , belive mixture spanish , italian French , time reception busy . experience noise room though . also find group eat breakfast hotel 9 am , honest , rarely see they . breakfast adequate , ample seating . however self service service bar area far small number people try get food . ; tea / coffee / juice , toast , yoghurt , cereal , hot food include sausage ( find grizzly sausage nice ) , bacon , scrambled egg , bean , mushroom tomato . food hot fresh , run quickly due number people eat . the near Tube king Cross St Pancrease station , ten minute walk away , find convinient access system travel quickly around London . Tube well sign post easy navigate . hotel keep leave luggage due security ( understandable ) , secure leave luggage facility king Cross Train Station ideal , check 11 return train not 6.30 pm evening . also find lot cafe , shop resturant around hotel grab snack meal . although area little run , feel safe time problem all . overall , would stay able secure ' Saver ' rate , feel £ 80.00 + charge per night full rate little steep . find hotel great base explore sight London . 
 Apr 7 2008 	 good value 	 book hotel great value rate . reception welcome hotel room decent size clean . I problem window lock open position . street level noise terrible . get maintenance fix it . I get wake times night people slam door , walk talk outside building . I not get good sleep , clean hotel great price would stay . 
 Apr 2 2008 	 get pay ! 	 stay hotel really make realise get pay . pay £ 29 one night £ 49 two night 3 bad night sleep . bed terrible - soft like airbe inflate . seem old spring leave . long overdue replacement . reception helpful persistance let we view room . look 6 bed total pick well bad bunch later find even though bit life other horrendous roll together . first night keep awake early hour group talk loud voice corridor outside lift . could hear people next room use loo lay bed try sleep ! ! sleep well second night thank tired wake early housekeeping knock door even though put appropriate sign door ask disturbed . on third morning hope bit lie go train evacuate fire alarm 8 am . leave stand outside without commumication staff . the Hotel room small - accept . bathroom miniscule impracticle . acceptably clean . the hotel seem lot international teenager / student group stay . believe lead problem i.e noise corridor false fire alarm . hotel use mainly couple family issue may arisen . summary will not use Travelodge spend bit get well night sleep . accept room budget room space premium . however bed reasonable condition must . 
 Mar 29 2008 	 nice decent hotel 	 stay seven night Easter . nice room , however sheet change whole time . young girl book counter need education London . guy desk really helpful . avoid resturant possible 's really nice food overcooked . area shocker , begg doorstep . 
 Mar 25 2008 	 good value good location 	 although be three month since stay Royal Scot , amazed recent poor review think time pull finger write own . I excellent , clean , good - sized room beautifully tile bathroom . also storage space usual hotel grade . room tea coffee make facility ample supply . maybe lucky , room still renovate work still progress . find desk bar staff courteous helpful . find 6 - 7 minute walk king Cross Station , although part king Cross Road towards station particularly pretty , certainly dangerous . 's minute walk Bloomsbury direction . thus easy walk towards centre public transport option extremely good . be also ten minute Islington . although get good deal stay would certainly stay even good price offer . 
 Mar 24 2008 	 absolutely disgusting ! 	 unable book Travelodge Kings Cross book place instead . the Royal Scot always bad reputation , assume upgrade , wrong ! total disgrace , ; even chair room plug snk ! carpet tear fray furniture least 30 year old . I pay £ 81 would well booking cheap hotel street king Cross . I amaze anyone say good time . 
 Mar 4 2008 	 make reservation hotel 	 hello , haven´t succeed book hotel hotel website , give credit card number , system never confirm reservation .... never problem credit card . then try phone Portugal hotel phone number , number doesn´t work Portugal outside UK ... impossible book .... succeed one room arrive airport , hotel already full fo night . I reallt didn´t sleep hotel , hotel hasn´t give means book correctly ! stay Premier Inn , happy stay . so never try book travelodge . : ( 
 Mar 3 2008 	 reasonable get good price 	 like Travelodge chain -they tend offer clean accomodation reasonable price . however hotel plus point minus point problem . close king Cross need hotel area walk 10 min , cheap -we get room Saturday night £ 50 pretty good value ( although book well ahead ) . room clean bathhroom . first room give curtain hang curtain pole one hook could close curtain - immedaitely offer another room ! chambermaid come 9.30 morning despite we leave sign door say want sleep . insistant tell check - check 12.00 impressed . say would well ahead midday deadline appear want specific time soon well . would say - probably stay short time need close king Cross could get really good deal might consider . could chose another hotel slightly high price would chose pay bit try elsewhere . 
 Feb 29 2008 	 Dreadfull Hotel ! 	 Terrible Hotel , room small clean noisy . first room screech pipe noise every 10 minute , next room fifth floor even worse - dirty , undecorated - entire floor look like completly different hotel Travel Lodge forget ! final room third floor , well small , grubby noisey , really lound door bang , pipe creak even lift make nosie . Staff helpful would recommend even £ 30 per night ! ! ! 
