nice 	 agree great service nice room . upgrade one bedroom suite feel like apartment NYC . nice apartment . everyone helpful . now onto opinion side thing . great hotel want residential part NYC close big attraction . want party , stay meatpacke district . party hotel . nice bar downstairs , get night stay . rooftop dissapointment enclose stuffy much view . wan na party , stay Standard . want rooftop , check Gansevoort . hotel seem dark stuffy . W - Union Square , close close hustle bustle , look airy people hang lobby . I think look little bit fun hotel . hotel good place want quiet getaway NYC want stay room . not know look ? Celebs not want paprazzi ? & quot ; nice hotel & quot ; look time NYC . 
 Jun 11 2008 	 overprice disappointing 	 positive thing first : design room great spacious . roof garden far well see New York overall atmosphere hotel hope . location excellent . hand , hotel definitely live expectation , admittedly rather high , give steep price , ever New York . staff helpful , service roof garden painfully slow . Maid service poor ( dirty towel apparently use clean leave sink , soap etc re - stocked , etc etc ) . call twice take hotel 24 hour safe open leave open bolt lock previous guest . shower absurdly small , give rather spacious bathroom . window old absorb outside noise . roof garden close private function 3 night 6 night stay . trouble access Rose bar - bar always empty even intend drink ... concierge kind , end manage secure we table one highly recommend restaurant , even Sunday night . all , think hotel overprice offer , service , room style find New York hotel ( Royalton , London NYC ) well much well value . stay 
 Jun 7 2008 	 appalling 	 huge dissappointment ! half brain not bother go .... service completely non existent across board . staff useless , seem worried try cool completely lack guest attention . evrythe take forever get . one bad stay ever hotel 
 May 22 2008 	 Poor Service Dark room .... not live ! 	 Gramercy quite disappointment . roof - top staff unbelieveably slow guest . service priority - not even friendly . pour coffee - take 15 minute make - go . room - upgrade suite - toilet shower one room - bathroom door hit toilet room small . could not open show door bathroom door time - would hit each - other . picture -- small bathroom ! ! sink , hallway , bright light fixture one side mirror , nothing ( except dark brown wall ) . absolutely impossible putting make - up , etc . asian restaurant excellent - good part stay . the mostly - male hotel staff seem look service . time look someone help we door in / out Hotel get cab time , . 
 May 13 2008 	 great room service level unacceptable . 	 hotel beautiful boutique affair overlook peaceful Gramercy Park area New York , definition little quieter buzz nearby Broadway 5th Avenue . design decor hotel fantastic , hotel 's japanese restaurant eat first night . however , standard hotel simply not accept expect follow problem : - book 4 - person car pick we JFK arrival , greet car ask pick single traveller , could fit luggage . hotel 's mistake . - arrive early tell would call mobile let we know room ready . not happen . - travel companion book room already occupy . definite & quot ; no - no & quot ; hotel world , shock unacceptable.- pay deluxe suite give tiny , old room . argue get upgrade . disgraceful . - find Rose bar 's admission policy unacceptable overly pretentious , favoured guest outside hotel . even book table night , find ignore neglegted host arrival bar . - collect bag coat prior departure last day , manage lose coat search everywhere find they . it seem place expect pretend celebrity description , everyone seem pretend ! sort service state affair Rose bar , place would great . unfortunately we . 
 May 11 2008 	 horrible service overrate overpriced 	 horrible service , inattentive staff , non - existent client - customer relationship experience , worth price . food mediocre good . 
 Apr 23 2008 	 horrible service ! ! ! 	 stay Hotel 4 night last week - service terrible - stay Ian Schrager property far bad - water room - glass restaurant still orange pulp lipstick mark previous user - Smokey Rooms , water room , Arrival Martini Glasses finish still dirty room check - terrible $ 725 rate pay night - would certainly go back - Rose Bar fun get even guest hotel - still beg ! ! ! ! Good Luck ! 
 Apr 22 2008 	 Awesome hotel 	 third visit 4 month can not get enough hotel . it exceed expectation time stay . typical sterile New York hotel . location Gramercy Park perfect everything want New York Everything hotel unique interesting . start unique decor terrific artwork , outstanding part customer experience . greet door man check , concierge , room service , everything perfect . entire staff expertly train make sure everything need happy stay . roof top bar wonderful place cozy cocktail Rose Bar happen place 11pm . food isoutstande Wakiya well . the total experience create one enjoy highly recommend . 
 Apr 20 2008 	 expensive worth special treat 	 book hotel website save bit money upgrade deluxe loft . arrive room not ready give complimentary drink roof terrace , whcih lovely . unfortunately service rubbish - take age order drink even long receive . lady reception come bring we key , nice say would call mobile . the room even beautiful expect , massive . bed really comfy , sofa though need use cusion . quite dark room , even light , day fine roll blind night cosy . let hotel know boyfriend 's birthday come back next day birthday cake table nice gesture . room service prompt breakfast really good . however , service brunch roof terrace rubbish give food another table wait even long ! Rose Jade Bars lovely - Rose Bar pool table fun . ask concierge book table . cocktail yummy . one night eat restaurant ( Wakiya ) taster menu $ 60 - tasty . we not really speak concierge seem bit snooty , door staff really approachable give good tip local dinerThe hotel channel tv view hotel bill check remotely - not work old fashioned way . we not manage time check park good view room . whole area smell dog poo ! beautiful expensive hotel full elegant rich people , worth experience luxury amazing art work . 
 Apr 12 2008 	 nice ! 	 great boutique hotel perfect location ! upgrade corner suite check , far one nice , stylish hotel room ' ve stay . great atmosphere , though corridor dark . can not say enough room , furniture , tv 's , bathroom , everyhte perfect . cheap , worth money 
 Apr 8 2008 	 nice decor atmosphere bit stick 	 pick Gramercy Park 's location , & amp ; look though would cool modern hotel . deliver , & amp ; also great sized room ( book loft room ) good . arrive , service doorman & amp ; concierge good , bit mixed , except great cocktail waiter Rose Bar . 's hard put finger , people not seem genuinely friendly , particularly interested give good service make stay memorable one . lot place ' ve New York ' ve come across people seem genuinely friendly & amp ; love place live , hotel largely lacking , & amp ; seem interested thing book policy bar 10 pm , even not busy . so good element stay , would probably try somewhere else future , expect well money pay . 
 Mar 22 2008 	 Loved Staying Gramercy Park 	 return three night stay hotel . son visit New York University want stay hotel different every day hotel experience . hotel disappoint . yes , hallway decor little dark . love ! 's nice aroma lobby elevator -- smell like cedar wood perhaps perfume oil . find pleasant . the actual room somewhat light -- although definitely bright . wall room light blue , brighten decor -- plus plenty lamp one always open blind day . bathroom nice , toiletry product . 's in - room safe refrigerator / bar area . the television room set leave bed , not really bother we stay day evening time land , read bit go sleep . the hotel front desk , concierge doorman helpful friendly . housekeep excellent timely job . the location great highly , highly recommend Sushi Samba block block hotel . delicious trendy sushi restaurant . if list con -- would be:1 ) rooftop restaurant lovely , $ 32 breakfast meal ( omelette fancy ( tasty ! ) hashbrown ) , along $ 8 orange juice $ 9 coffee little much . enjoy one time , however , food delicious.2 ) opinion caffeine addict , always coffee pot coffee provide free amenity hotel -- especially hotel class . other , nothing negative say experience Gramercy Park Hotel ! 
 Mar 11 2008 	 Dark smoky bad service - shower great 	 husband , live NYC , stay overnight birthday . greet nicely receive excellent service front desk staff , , disappointment . receive nice upgrade gorgeous room overlook park . , room smell overwhelmingly cigarette smoke . even open window . contribute dark feel hotel try evoke . , frankly , find bit much . pay per view function tv work ; call repair twice guy never come . forgot coffee room service ; take half hour guy come back call . drink bar , waitress MIA would like another round . disappointment . 
 Mar 11 2008 	 almost love Gramercy Park Hotel 	 first stay Gramercy Park love decor , vibe , furniture . room set - up wonderful , king size bed , big dining table two end chair couch , work , entertain , etc room . restaurant wonderful roof top garden restaurant great breakfast lunch . problem : heating / cool system renovate radiator loud clank time heating element kick , thermostat constant problem , even replace new one . bathroom small , room , although cool design , dark cave , even light . say , enjoy stay stay next trip ( ear plug ) . location perfect , service excellent , food fabulous , room service great quick . 
 Feb 26 2008 	 lot problem especially relative price 	 spend weekend hotel . $ 695 pay & quot ; deluxe loft & quot ; room expect more . first , room dark . not enough lamp furniture dark . be bit depressing . hotel also dark general - corridor almost black . the price everything exaggerated - mini bar , hotel restaurant , room service , especially international phone call - charge $ 10 / minute international call ! small glass orange juice $ 10.We not go Gramercy Park since see room winter look like cemetery , park . be also small . the service hotel not good . request early check , come 11:45 wait hour room . also ask Champagne put room arrive not - remind hotel staff wait additional time . get complementary chocolate cake birthday celebrate ( however not tasty ) . also email hotel come champagne not get reply . in addition , want use & quot ; business center & quot ; ( tiny room printer ) print something always busy lobby ( one person use ) , upper floor printer not work . location good - quiet , still close Union Square , Broadway etc . to summarize - be expert NYC hotel , think kind money could ' ve find something well , maybe less & quot ; stylish & quot ; well value money . 
 Feb 18 2008 	 5 star hotel price 2 star service 	 great location $ 600 per night do not free coffee morning . bad service front desk like talk 5 year old . reservation get mix ! kind money stay real 5 star hotel ! bathroom need update 
 Feb 7 2008 	 style feel 	 hotel style annoy , well gosh , stay Marriott Marquis . way , Grammercy Park one hotel really pull high - style look comfortable , even homey downtown way . king room , do rich color lush fabric , ample , almost large super bathroom sink walk - in shower . flat screen tv I - pod sound dock really appreciate , bed huge , firm deck fine cotton . do not hear peep neighboring room street , 12th floor . loved rooftop garden make great nightclub ... guest breakfast little meager sub - par fruit , hope spruce . love bar downstairs lovely waitress , nice bartender well - behave local crowd . concierge doormen outgoing easy eye ! do not like , sorry something right .. could stay inside hotel weekend feel like really NYC .. 
 Jan 16 2008 	 elegant naive 	 hotel superbly furnish common part room , although bathroom really small . two bar fantastic popular well chinese restaurant , apparently one good ny . negative comment service : concierge bar staff helpful expect , essentially little experienced make arrogant & quot ; popularity hotel & quot ; . hope practice customer host help fill gap image substance . 
 Jan 3 2008 	 Chic 	 choose hotel celebrate 25th anniversary ultimately pleased choice . stay one night . arrive 11 room already available . read site noise bar distract guest low floor . never hear bar problem 12th floor . hallway extremely dark ( must part glam decor ) room nice . furnishing print eclectic well coordinated . room clean comfortable . go rooftop ( enclose ) bar drink dinner . evidently , hotel guest access bar . nice great view . since tell hotel ahead time anniversary , provide complimentary champagne -- nice touch . the neighborhood nice convenient . overall , pleasant worthwhile experience . 
 Dec 5 2007 	 Cool different 	 book , follow recommendation , wedding anniversary . arrive 20 hour fly look forward relaxation . wife shopping ! entrance impressive , warm dark , fill exclusive scent GPH candle ( $ 115 ! ) . book standard room , typically New York tiny . hurriedly upgrade Loft room , great . I book massage spa relax completely , wife go shopping . the bar bad crowded ten , rooftop area really great , view around Manhattan . I would definitely stay , although cheap ! 
 Nov 13 2007 	 Dark Boutique Hotel 	 hear lot cool thing Grammercy Park Hotel , read several positive article . stay two night one room suite . comment follow : -Our room 4th floor dark , whole aesthetic red curtain , wood floor , funky furniture really fun hour two , functional . stand test time . hard see , heater fan loud , outdoor traffic / siren / garbage truck make room noisy . one full length mirror dark closet , iron board , funky switch lamp . swat several fly two day stay well . kind tire . bed comfortable flat screen tv room nice.-if stay , go Rose Bar , good music crowd , sure make reservation , preferably around 10 11 p.m.-upstair rooftop spot really nice , lot plant candle friendly waitress , empty cocktail hour around 7p.m Sat night . continental breakfast follow day okay handful people there.-spa one two small room common change area ( wait turn use locker shower - unisex ) .Website make sound like tremendous spot . case , small place lounge / decompress beforehand . got great massage , room next workout area hear everyone talk work out.-workout area use , come across comprehensive website make sound . couple treadmill , weight machine big freeweight set . workout area bright window , plus.-staff young , nice part us.-Hotel conducive get quick go coffee newspaper , check e - mail house computer one.-general area 22nd lex nice , restaurant drugstore nearby . summary : fun experience , move another hotel NY next trip . 
 Nov 13 2007 	 cool spot ! 	 husband town wedding decide stay theGramercy Park Hotel read cool spot . tosay one memorable stays - and good reason . thestaff always hand need . husband hadnever see broadway show concierge arrange us ticket . ourcar service always time . really feel like true vip . oh anddid mention celeb sighting Rose Bar ? definitely aneexperience . 
 Nov 9 2007 	 Style substance 	 excited stay Gramercy Park . take celebratory trip father three day shop eat NYC . advise colleague friend - base New York- place go rooftop bar late bar see see . often case much hype ' trendy ' hotel , quite scratch real luxury hotel . give boutique hotel , guess would say thing might different old fashioned luxury type hotel . can not help think pay much room - even highlyfashionable / trendy / boutique , still expect perfect service , food luxury room . room fashionably decorate , little small . room two double bed guess use space clever . airconditione centrally control could change temperature . staff friendly helpful ask immediately disappointed upon arrival check around 10 pm Sunday night front desk automatically offer take bag . bit old fashioned ? figureat rate late night- somethingthat automatic matter ' cool ' hotel might . find amusing have hear much rooftop bar yet night arrive drink one . think , ok , maybe Monday Tuesday will celebs come play- night check bar , barely anyone around . also amuse young couplefrom abroad staying catch we lift say hear could go celeb spot rooftop bar . must say , get think whoever pr hotel . fantastic job give impression . perhaps New Yorkers already bore haunt . eat Wakiya room downstair breakfast find quite good tickle father order japanese breakfast miso soup find miso soup fill seawee salad plate . either breakfast chef get clue japanese food someone still recover night .. maitre somewhat embarasse luckily hungry good mood . claim none staff asian morning . funny asian restaurant . , stay mostly pleasant . luckily , cityhotel people not really expect stay hotel day one would resort . say though , sometimes experience like trendy hotel make think good old fashioned luxury place service perfection worth large amount money one pay stay . 
 Nov 1 2007 	 love ... 	 several thing love hotel : product awesome , shower fantastic , entire hotel great smell , bed super duper comfy , window open fresh air , access rooftop fun ( star sighting ) floor hard wood , say & quot ; clean carpet ! & quot ; , much love hotel , several service problem encountered:1 . slow : check 5 6 pm room not ready ! checking take almost 30 minute ! 2 . park : got key park front desk . not give key , instead send bellman let . bellman suppose come back get 20 minute , bellman never come back . even call hotel twice . lovely neighbor key let . 3 . BIG Mistake : make reservation one day , want stay two . said & quot ; problem , will take another room will move belonging you . & quot ; & quot ; problem , & quot ; say go day . go get new key go new room , walk people already give room ! get apology , ? get anything compe , ! not know happen behind desk , 's good be really inefficient.4 . dvd ? order dvd list never ever come . all , love hotel , make ton mistake . would never pay stay , 's list corporate prefer hotel , yes , would stay , dollar . 
 oct 22 2007 	 Disappointing 	 agree negative review . feel hotel try many thing many people . be fashionable nightclub - type place New Yorkers attempt hotel well . stay room roof top bar thump dreadful . fly Europe want rest private party go we . way see be either hotel be nightclub , . least sort noise insulation . pls pls pls repair screech lift - 's embarrassing . leave 1 am first night . 
 Oct 6 2007 	 drink stay elsewhere ! 	 style substance . stay last night anniversary . I work 10 block away live NYC suburb stay hotel NY . much acclaim roof bar close private party . restaurant get awful review Times week cancel reservation . schedule massage & quot ; spa & quot ; . call confirm upon arrival , tell reservation , leave hold 15 minute figure . & quot ; spa & quot ; 2 roomd paper thin wall small gym without music , candle threadbare towel . could every step treadmill . therapist arrive 10 minute late previous appt . downtown . to top , return room 11 pm dinner , boil hot . a / c functioning . someone come unable fix , manager offer we new room , gleefully say upgrade ( gee thank midnight think get car drive home ) .Needless say good anniversary . fairness , must say apologetic caharge room . lot well choice NY 
 Sep 26 2007 	 Great experience 	 stay Schrager 's hotel ( Mondrian , Delano , Hudson ) , look nothing like . Gramercy Park personality , like , interesting decoration . 's serious art lobby , bar even room ( Basquiat , Twombly , Hirst , Warhol , Schnabel ) overall feel bohemianthan modern . 's garden bar roof hotel guest , really beautiful , chinese restaurant Nobu open right stay . staff attentive , despite short stay , manage remember name — the mark great hotel . 's shame tourist not normally get see Gramercy Park area , would highlyrecommend GPH anyone want completely different type experience . 
 Sep 19 2007 	 treat like Royalty 	 moment handsome doorman open cabby door usher art fill lobby Gramercy Park Hotel , know weekend stay Ian Schrager 's hotel one would remember forever . impressed size bedroom remember hear story small Schrager 's hotel room know . feel immediately home unique room -- though home certainly would not compare glamour space ... drink amazing Jade Bar - love intimacy little bar - perfect place sneaky afternoon glass wine -- roof terrace gorgeous ... ' m surprised not bus tourist try get good view city . I would recommend grammercy park hotel anyone need TLC weekend new york . 
 Sep 18 2007 	 love public area hate room 	 Rose Bar Private Roof Club great -- enjoyable , lovely atmosphere , ( especially roof club wonderful afternoon drink ) even not balance room anticlimactic feel leave room appreciate ! roomservice disappointing morning coffee always cold arrive . despite book multiple room ( travel big group friend ) , try reserve table Rose Bar , staff uncooperative . worse yet , give we problem door friend join we not guest hotel -- problem , mean quite rude ! would definitely recommend W Court day -- room big , bar nicer , staff much friendly . 
 Sep 18 2007 	 never life bad experience 	 fiance decide treat weekend city Jetblue flight California cancel . take long write review get upset thinking . service absolutely abysmal . $ 500 + night , one would expect treat like guest . . leave tear Sunday . 
 Sep 18 2007 	 non pareil ! incredible ! 	 incredibly chic , incredibly beautiful , aesthetically pleasing way . anything need hotel room already , beautiful crystal , luxe cotton velvet drapery , mario badescu bath product bathroom , hand set ceramic tile , deep english bathtub ... exquisite color scheme , sage green claret , walnut floor . noise whatsoever room . attentive gracious staff . thing make hotel choice NYC . beautiful one could come room never leave see city . Jade bar adjoining salon romantic . 5 star . 
 Sep 17 2007 	 Beautiful Hotel beautiful service 	 ' start good point ... bellman wonderful inviting . bellman engage professional everytime come contact . lobby beautiful original royal feel . room English feel dark colored wall rich fabric , think room amazing bed comfortable . location close everything neighborhood pretty quiet posh . roof top bar wonderful view charming atmosphere . bad side hotel stay placement suite third floor , unfortunately right bar night weekend stay open 4:00 . call three time noise , first around 11:30 tell music would turn . leave hotel hour half could barely hear movie rent . we come back noise still loud ( continous thumping bass ) , call front desk tell music would turn . 2:30 , call one last time say music loud tell front desk complaint bring manager 's attention turn music already . time also tell hour half leave bar close late could change suite time . hard time diplomatic noise main reason people go hotel place sleep $ 800.00 night expect able go sleep 4:00am choose . lack hospitality front desk room attendant vacuuming outside door 9:00 next morning add dislike service ( remember awake 4:00 ) . speak front desk follow day , inquire bar would open till 4:00am Sunday night say & quot ; & quot ; , explain sleepless night , get shrug & quot ; oh Really & quot ; , sorry anything make stay pleasant . feel & quot ; beautiful & quot ; hotel invest hospitality training also open awhile , know place people room bar due noise weekend . matter nice hotel look , feel even well .... 
 Sep 7 2007 	 excellent gramercy park hotel 	 gramercy park new gorgeous hotel new york , trendy , sophisticated , beautiful lobby ( mix contemporary gothic ) stunning terrace brekfast evening drink.room big good size ny confortable bed , service always attentive restaurant ground floor really excellent , tuch newyorker social life.we find hotel much well old fashion trendy soho 's hotel mercer soho grand.only consierge friendly.i defintly suggest gramercy like new fashion chic hotel . 
 Aug 20 2007 	 wonderful stay . . . 	 co - worker get back weekend Gramercy Park Hotel . really look forward outstanding location beautiful property hotel repute be . on check - in service excellent , though offer upgrade poor view / quite small room . could see hotel capacity . the room lovely , great furnishing , nice touch . service excellent . rooftop breathtaking drink evening well breakfast next day . rooftop personal top 10 thing miss nyc.the slight issue encounter Rose Bar . couple friend , midnight reservation arrive around 9:30 . tab $ 700 drink tell we may ask we leave table reserve . tell , fact , reservation . say may still move . appreciate need accommodate patron busy ( August ) guest hotel . never mention , apologize , never quite know stand leave around 1:30 . certainly make , least , feel less welcome . and another note , next morning housekeeping come door twice ask we twice long would check . not ask ? ? two slight consideration , experience lovely , well run , beautiful hotel wonderful highly recommend enjoy well hotel want avoid big boy ( Ritz , Mondrian , etc . ) .and could review hotel without mention sheer joy surround magnificent artwork . 
 Aug 18 2007 	 Grand Hotel eyeblink Art 	 Grand Hotel . want say first . get know GPH , surprise you . I stay three night NY Palace ( 50th & amp ; Madison ) change hotel last night NY.This hotel 5 star NYC Hotel easily understand different . it be grand hotel . 's Gramercy District , Lexington finish Gramercy Park . great location want visit SoHo tribeca . it staff luxury hotel . management must organized sort competition among nice girl guy ny find employee . beautiful girl reception goodlooke bellman black tie ( different uniform form hotel luxury hotel ) welcome arrival . mention even friendly helpful Concierge Staff . beyond entrance door , lobby , Warhol Basquiat painting make step back . everything lobby taste art . have drink play pool onthe red leather pool table Jade Bar . will see NY move place ... ' ve personally try one Suite Bedroom . great ! many amenity modern luxury hotel maybe ... iPod nano ready - to - go playlist jbl stage II Speakers give rythm stay . also appreciate 2 26 inch LCD tv , Mario Badescu Lotions , design bathroom Frette bathrobe great italian Linen . once ' ve see room know Bazar ... BUY anything SEE ROOM , bed mean , umbrella , ipod , crystal glass price often high . poor Breakfast . breakfast include rate get will charge 10 $ cappuccino ! ! ! ! pretty unfair pay hot beverage one form hotel mention ! ! ! price . get deal suite 400 $ ( offer August ) price raise vertically ... normal rate suite go 1100 $ 3500 $ .Try GPH least go ny . ' m sure will not regret previous Grand Hotel . 
 Aug 13 2007 	 worth every penny ! 	 stay Manderin Oriental Soho Grande , high expectation want change .... special occasion hotel staff make certain everything weekend wonderful . room outstanding ( though need move , since first room view ) , location perfect roof top bar beautiful . concierge could responsive , use NY ( old part & quot ; beautiful people & quot ; ) .if willing spend little bit , great choice romantic weekend . location well Mandarin staff accomodate . we definitely back ! 
 Jul 27 2007 	 Fabulous hotel 	 husband & amp ; stay Gramercy Park hotel weekend July 21st . book room hotel website , special weekend rate . part deal include free upgrade base availability . arrive early morning redeye able check substantially upgrade room early . can not say would please hotel give & quot ; entry level & quot ; standard superior room ' m sure significantly small love loft category room . room bite dark lighting not functional bed wonderful , bathroom product great decor truly unique . rooftop bar closed party saturday night wander day could see would great place cocktail night . plan visit Rose Bar 9 pm sure make reservation , hot spot NY . complaint would food Room service food expensive ( surprise NY ) tasty . , hotel beautiful attentive staff cool vibe . 
 Jul 22 2007 	 good hotel NYC 	 really , 5 star rate Gramercy . exceptional . much hotel . to give idea reviewer , husband fortunate work stay good hotel world . Hands - Gramercy Park Hotel absolute favorite , first stay . the reviewer Barcelona say good - place phenomenally gorgeous , staff offer service graciousness Gramercy B & amp ; B , everything top notch . worth every single penny . every single employee Gramercy warm , attentive , relaxed vibe . Philip Max door prompt , gracious , fun chat . David Mareno , manager concierge , delightful . David driver ( yes , get free ride 400 class Mercedes 20 block anywhere ! book concierge ) kind remember name live first ride . regret remembering front desk staff 's name , every person encounter incredibly generous kind . we book suite last minute , everything could hope . gorgeous , roomy , nice lighting detail . book suite without preference , not park view , front desk offer we complementary upgrade 2nd night without ask ( bring baby trip - want move ? ) . perhaps mention review full access Gramercy Park - highly coveted private park unfortunately happen museum - like stuffiness . ' ve know life - long New Yorkers ' ve never enter gate park . ask door guy let , call leave . ( get picture ? lovely , however ... ) roof wonderful drink / food expensive , real selling point Gramercy people . can not go enough . finally ask one door guy - really everyone act ownership place - say work comfortable family work together year , even Gramercy . ABSOLUTELY UPTIGHTNESS PLACE . 's comparable come home . truly ! important mention , stay beautiful place , will run snooty bellman stuffy front desk . perhaps request extra toiletry , attitude arrive . Gramercy however , housekeeping bring bagful soap smile . I could go & amp ; beautiful interior , reviewer describe Gramercy immaculately . simply put - return relaxed like spend day holiday instead 16 hour workday meeting . we make friendship wait return home NY . immediately book corporate rate frequent trip . will never stay another hotel NYC . convince ? 
 Jul 16 2007 	 love stay Gramercy Park 	 husband stay week 4th July honest weary stay Gramercy bad review read site . week check call concierge Thomas get we reservation Nobu Peter Lugers ticket two play want see . service great arrive hotel treat really well employee . love room would definetely recommend hotel . last hotel stay Soho House although enjoy area overall like service room Gramercy . 
 Jul 8 2007 	 Sexy beyond belief Gramercy worth every dime . 	 excellence Hotel Gramercy Park begin moment walk revolving front door sumptuous , delightfully fragrance lobby . immediately upon super early arrival 7 am 4th July , accommodate room . phillipe , bellman , solicitious we well running interference we " colorful neighborhood type " apparently visit lobby quite often . bring room , 14th floor , " Deluxe Loft Room " ( price $ 2,712 4 night include taxis daily breakfast two = approx $ 678 per night ) . however , view . request view , pleasant manner , call Jamie front desk . explain boyfriend ' first visit NYC would really appreciate view . move we room 1704 , arguably good room hotel entry two double window park separate bedroom glass door lovely velvet drape ( everywhere ) bed area . later find " Park one bedroom suite " usually go twice price room booked pay ! amazing every way . room wonderfully photograph Gramercy Park Hotel website , will not bother description terribly say everything excellent condition , clean , well maintain . literally stack upon stack fluffy white towel bathroom . explain , toiletry amazing . at night , turn service light special scented votive lovely red cut glass hurricane lamp . believe scent lobby – wonderful candle buy hotel $ 90 . worth every penny remind place . this special hotel : sexy beyond word . gym spa microscopic , sure , well lay maintain . two treadmill view park two elliptical machine partial view . massage Ernst one good life . refrigerator full pint - sized bottle water also bowl apple upon – stock save , ' important . ' priority man , splurge room service often . room service food fantastic . , different occasion , salmon caviar plate ( super good generous amount smoke salmon salmon roe , toast point , crème fraiche ) , tuna tataki ( tasty , fresh bright red tuna unfortunately chop bit – oh – watermelon – mixed ) , macaroni cheese ( fantastic swirl mac enough cheese coat spiral toast breadcrumb top ) , cookie plate ( sort " meh " fresh baked chocolate chunk cookie well average spectacular ) . breakfast room service way go ' make amazing roof terrace . breakfast include could get favorite american breakfast egg , meat , toast , potato , coffee juice . get continental ( usual coffee , allow substitute double cap extra charge , fresh squeeze juice , bread – include dang good pain chocolat – would add yoghurt every day ) . food always come super promptly ( warn call long take even one busy night , take 30 minute say could 45 ) appropriate temperature . the mini bar ( call " English Bar " ) simply fantastic . yes , price typical mini - bar high , mini bar good stuff ! ' list , favorite bottle Diet Coke ( little old - school mini bar bottle ) , Godiva liquor , Dean Deluca cheese straw Orangina . lot goody buy mini - bar , well , though $ 90 hotel signature candle seem steep . also bar spot insert iPod hotel loan one ( ' lose set back $ 750 ! ! ) blare tune suitable loudness entire room . the rooftop private club good reason book hotel . love spend nearly every wake moment , pretty much homebody comes travel . variety environment roof , may bring guest guest enjoy experience . various seating area , two massive flat screen tv ' CNN play day . would prefer something else play ( volume anyhow ) , never bother ask . help always accommodate every way , quickly serve we food drink little wait , even busy Friday night Saturday cocktail hour . I find , fact , service quite good , utterly flawless , department . example , everyone always pleasant check back see need something another . hand , evening order glass Veuve Cliquot rise along late night crème brulee dessert right champagne . send something blonde , pink . call room service tell would send proper glass bubbly . call back say needed glass wrong liquid return . seem bit cheesy ask , though course oblige . another hand , send two shirt July 4th ( holiday ! ) midday , ask could back next day evening , actually get back mid - afternoon . shoeshine also quickly turn around , thing , complimentary . on another service note , discrepancie attention replacement toiletry room . initially check , conditioner shower . sometimes get new shampoo conditioner , well replacement facial wash lotion . sometimes . never get fresh soap 2nd day , find oddest . occasionally would get two shower cap cotton kit . ask twice mini bar restock bit shame , would happily gobble ( hotel ' profit ) stock daily basis . the concierge helpful remember request nightly reservation Rose Bar . door boy ( none old enough call door man ! ) always sight exit , would appear outside hail us cab . one evening fortunate enough able utilize town car happen front hotel . cost 20 % taxi pleasantly luxurious . as side note , secure reservation ( , American Express Platinum concierge help ) , try eat per Se . divine . to sum experience , would definitely stay Gramercy Park hotel , could afford . certainly inexpensive ( bill mini bar , Rose Bar , room service equal 4 night room stay ! ) , value superb comparison , example , stay Hotel de Crillon Paris Hotel San Clemente Venice . also , sexy chic – place certainly brag people , , like mate Delano Florida , glitz unequalle nearly hotel Big Apple . 
 Jul 7 2007 	 unacceptable 	 yes place look cool , fact hotel employee encounter great well . price shower need drain , toilet paper holder break . $ 600 one night hole drywall suite either . hallway paint check , shoddy workmanship abound . final gripe upon checkout see $ 15 charge WiFi connection . whole far much money considerre poor quality . would stay . save money look place not stay . 
 Jun 28 2007 	 style substance ..... 	 Gramercy Park Hotel hope different Schrager hotel typically age badly awful service room . the communal area downstairs roof deck highlight hotel . typical Schrager property , great place visit night , 's zero reason stay . evening , call ahead book access bar downstair roof deck . definitely stay elsewhere . money spend bar downstairs . hotel cheap , shoddy room : shower do not work properly , wall paint peel room 810 . $ 800 night that s unnacceptable . Breakfast order never arrive . staff apologetic , be not charge . error happen . unfortunately confirm GPH typically schrag : style substance . 
 Jun 23 2007 	 great friendly athmospere 	 short , vibe hotel great . soon walk lobby greet nice musky smell emanate fireplace back lobby . the staff extremely helpful friendly service rooftop restaurant / bar great . immediately make feel welcome young concierge 's rest staff , helpful cool talk . often hip hotel , staff do not seem care customer , be definitely case Gramercy . I do not try bar ground floor , one hot place NYC right queue evening 's prove . decor look nice outside . unfortunately do not time check bar . breakfast great roof top view . the room ... small . decor everything top line bed comfy , tub bathroom space toiletry . also , chic design lamp bathroom obscure bit mirror , stupidly enough , shaving bit difficult since squeeze side mirror . provide toiletry great 's plenty towel etc . my room also dark window alleyway . hotel seem prefer dark since hallway lobby pretty dark . know colleague room also dark . the comfortable hip vibe friendly staff definitely make comeback Gramercy . location great everything quite close be also enough peace quiet . 
 Jun 23 2007 	 Sensual Textures color 	 richly paint green , red blue wall room splash royal blue throw bed , hotel sensual experience ... oh , pillow amazing . really ! email hotel find could get . take two month respond , email pillow goodness sake , big deal . stay Hudson Hotel , another Schrager creation , shock size spacious room Gramercy Park Hotel ! ( indeed , Hudson design spacious . think read somewhere goal get room . ) anyhow , bathroom fantastic Gramercy Park could double sauna deep , rich woodwork shower huge ! fantastic toilettrie well -- definite plus . back room , love room iPod docking station certainly big draw hotel would texture fabric richness color room common area . not see rooftop yet hear 's fantastic . also , Rose Bar must forewarn cocktail obviously crazy over - price . 
